every 	 book 4 night think would King Superior room . hindsight check reservation email carefully , state King Interior . something would go , say email miss that . on arrival , give room 2nd floor right back hotel , room big nicely furnish clean . view back courtyard . suppose call King Interior ! time day , go discuss disappointment room , 's location , view lack fairness Hotel , offer we alternative , upgrade cost even room sister hotel road . praise Staff that . sadly , initial contact / room Hotel make mark we want . leave Hotel consider refund accomodation pre - pay bill go walk . let consider room put we ....... view , small , 2nd floor back corner HotelWe go Marriott , couple block near Union Square $ 70 cheap Orchard Garden 2 night $ 2 cheap 2 night , able secure room much large , 19th floor wonderful view even well furnish . even throw Exec Lounge facility couple day . back Orchard Garden , eventually agree refund last 2 night accomodation accept promptly move Marriott . for initially pay room Orchard Garden initially give we , value money . yes accomodate room , not stay long enough sleep . read review need take account alongside previous guest review . 
 great hotel 	 like reviewer write : lovely hotel , comfortable bed , friendly staff great location . 
 Jun 10 2009 	 love hotel ; will back . 	 green hotel city , yet not cut luxury ! recent hit economy , price way affordable , leave budget eat excellent Roots organic restaurant downstair . they decent wireless internet , well wire terminal room . be free , long stay get new code front desk time time . big annoyance . internet access good enough able watch Netflix movie laptop , say something . the hotel block Belden lane ( whole row four - star restaurant ! ) , within sight tourist entrance Chinatown . not forget Bart block away . muni access equally close , though not know Muni well enough tell easy would get , e.g. , Fisherman 's Wharf . business trip SF involve walk office near Ferry Building / Embarcadero Bart , mile hotel . I find room quiet -- even one street side . be SUPER sensitive noise , request & quot ; inside & quot ; room , view not nice , be completely silent . a / c system digital work great . oh , except one thing : forget temperature set leave room ( keycard require operate A / c ) , go ice come back , will need reset temperature , unless like 72 degree . Overall 's favorite hotel area , ' ve lot ( go SF month , average ) . 
 Jun 10 2009 	 great hotel great location 	 top class hotel excellent staff . the hotel ideally situate china town doorstep . 
 May 29 2009 	 LOVE ! 	 2nd visit Orchard Garden ~ both celebration . 1st time 4 night mom 's 75th & amp ; sister 's 50th , 2nd visit 5/20 - 5/25 daughter ' 21st & amp ; 25th & amp ; 49th birthday . long story short , reservation customer service , nothing good accommodation outstanding service . many fond memory share . wish could remember name people make we laugh & amp ; smile think stay . remember , great thank yous MaryJane Haney , Reservations Mgr ; Jim Bruels , Director Business Travels ; Ben Wakolbinger , Sales Coordinator ; Aya Shiba , Front Desk Mgr ; art & amp ; Davis , good doorman ; Sarah , Front Desk ; housekeeping make visit much like home welcome share city we . leave imprint city Orchard Garden treasure year come . aya , thank work reservation Great Escape allow we benefit saving $ 500 + five night . wicked package originally book $ 204 / night + $ 25 3rd person , last minute Aya graciously make reservation change . 's great customer service ! location , Location , Location ! hotel near Chinatown Gateway , easy way give taxi driver direction , even occasional language barrier encounter . walk distance shopping , museum , cable car , muni , & amp ; bart . Breakfast Sears Fine Foods - yum ! Lunch Working Girls California melt starter . valet park , 3 woman , worth $ 45+tax / night , car keep safe call 10min prior depart find car wait always smile & amp ; warm send . 7 am departure , car heat wait , load perfectly art~ airport meet , Mahalo & amp ; Aloha HAWAII ! back soon ... 
 may 27 2009 	 Best Hotel price 	 stay 2 night Memorial day weekend . disappointed find inside room overlook air shaft . front desk lady could not nicer . upgrade we view room overlook Bush street additinal charge . room spacious sparkile clean plenty room . I love hotel stay future trip location price room unbelievable request outside room . 
 May 25 2009 	 Best Value Location San Francisco 	 stay Orchard Garden hotel numerous time , business pleassure . top - notch location San Francisco , within walk distance Union Square , shopping cable car line . boutique hotel give character . service cleanliness room unmatched . room small ( heart city ) , eco - friendly , iPod connection , flat panel tv , COMFY bed , mini - bar , Aveda bath product granite appoint bathroom . would recommend hotel visit San Francisco ! 
 May 24 2009 	 nice comfortable place environmental plus 	 go Orchard Garden May 2009 . completely new building build accord demand standard US Green building Council . very nice room , comfortable sufficiently spacious , clean , lot attention give detail . feel home come back . there well place want stay Financial District SF . 
 may 21 2009 	 Great Location Nice Rooms 	 take wife San Francisco / napa birthday April , 2009 . choose hotel much research not disappoint . property well locate within walk distance union square even wharf really ambitious . one recommendation be go see museum - buy CityPass get entrance moma , deYoung , bay boat ride , Science museum , well unlimited free transportation public transportation , include cable card , BART . cost $ 59 person well worth , buy first day still pay . back hotel - nice quaint . room modern , clean small , not care much small aspect not room part . suspect suite would obviously large . wife please stay . 
 May 20 2009 	 Great Room . Great Value . Great Staff . will visit ! 	 stay San Francisco weekend baseball getaway . make last minute reservation Orchard Garden . got great rate fine location - easy walk Union Square train & amp ; Park . lot casual bar restaurant right block . continental breakfast nice , add egg affordably make full breakfast . overall - great value new , clean , nice hotel friendly staff . 
 May 13 2009 	 great value great location great staff ! 	 grow daughter stay Orchard Garden several night Feb please accommodation . location coud not well tour city staff extremely helpful . room could make well addition fridge maybe microwave ... otherwise lack nothing . definitely plan stay next trip San Fran ! 
 may 6 2009 	 clean room excellent service good location see San Francisco . 	 speaker recent conference choose Orchard Garden recommendation local client . service location could not well . comfortable walk Muscone Center Chinatown right around corner . would good location stay see San Francisco . sustainability high priority list without give comfort amentitie . highly recommend business pleasure . room large adequate . nice roof garden view city . 
 May 6 2009 	 Excellent value location staff 	 pleasant stay . location absolutely perfect ( right next gate Chinatown ) . room squeaky clean staff could not helpful . the thing bring rare previous negative review seem take care . sign construction ... everything appear beautiful complete . recycle available room 2nd floor street face room quiet . 
 May 4 2009 	 clean new hotel small room much else 	 let start say hotel new clean , comfortable stay in . my complaint room small , hardly enough room turn around . there fridge use , one stock expensive drink can not remove unless pay they . there much offer besides room , breakfast not include room rate . free wifi good continually log annoying . I also disappoint booking month advance mean pay much much room book week travel . oh well : ( 
 Apr 29 2009 	 Clean quiet eco - friendly hotel excellent location 	 really enjoy stay Orchard Garden Hotel . boutique , eco - concious hotel great central downtown location . room small comfortable . bed linen awesome . nice size bathroom EO Organics toiletry . room also quiet , hear street noise guest . eat restaurant can not comment . also nice rooftop deck table chair . would definitely stay . 
 Apr 29 2009 	 right 	 hotel right us - middle everything , clean , quiet , comfortable ! pleased price per night find trip advisor . definitely stay ! 
 Apr 28 2009 	 Loved ... great value SF 	 can not beat location , friendliness staff , get dollar , especially San Francisco . absolutely love experience hotel . book standard double / double , upon check - in upgrade 7th floor deluxe ... corner room ! room huge city . spacious , clean , beautiful -- great flatscreen tv dvd player , beautiful granite bathroom , ridiculously comfortable bed linen , powerful shower hot water day . minor complaint room mini - fridge one sensor - type minibar , can not store perishable food might purchase . stay 3 night , second night , unfortunately obnoxious neighbor ... 11 pm play guitar , singing , bang bongo burn incense ! ( ' m extremely light sleeper , room quiet -- street noise , even loud neighbor somewhat muffle noise . ) call desk , especially incense bothering ... take seriously . not merely call room ask quiet , send team security ... noise immediately stop , well odor . next day , check see people would room next , -- however , desk tell note make computer incense noise , people firmly warn would ask leave immediately problem . someone frequent business traveler , ' m kind use sometimes blow front desk , Orchard Garden take complaint seriously . next night , problem whatsoever . the overall negative really not like hotel 's restaurant & quot ; Roots . & quot ; food mediocre , overpriced , great service . definitely drawback city ton dining option within walk distance . one fantastic feature free Wireless internet ! absolutely stay hotel next trip SF . 
 Apr 24 2009 	 lovely room elegant chemical smell anywhere ! 	 hate chemical smell hotel , . least , think , stay Orchard Garden Hotel . lot hotel lovely . one make feel good ! service great , amenity average , bed one comfortable ' ve ever sleep . question , would stay heartbeat . great location . 
 Apr 23 2009 	 FABULOUS ! ! 	 totally care staff beautiful hotel , third visit 
 Apr 22 2009 	 good location overall 	 walk distance Chinatown , Union Square , Market Street public transportation yet far enough crowd , Orchard Garden hotel vacation business SF . 
 Apr 17 2009 	 5 carefree night San Francisco 	 Orchard Garden Hotel surpass expectation . staff manage everything telephone reservation 4:00 check profesional efficiency . property impeccable clean . double / double room 9th floor quiet . view spend great deal time room . appreciate comfortable bed , heavenly linnen , fluffy towel , bathrobe . eat breakfast Roots restaurant . good breakfast city . Sarah help restourant recommendation airport transportation . 
 Apr 15 2009 	 green hotel great location 	 stay hotel 3 night part long trip around western usa.the location hotel excellent tourist business traveller alike close Union Square , chinatown business district . Fishermans wharf nice walking distance away want blow cobwebs . the hotel lobby relatively small narrow , fitting boutique theme , small bar , small restaurant small business centre couple pc . ' try restaurant , great french breakfast place opposite . I find room excellent . modern , light wood , glass really make thing hotel green credential . free internet always good thing , room particularly spacious , comfortable bed good bathroom . the hotel solid 4 - star good alternative name brand chain hotel nearby . ' definitely consider next time return San Francisco . 
 Apr 8 2009 	 Clean Comfortable 	 really enjoy clean , comfortable soothe color hotel . free internet great service . Valet parking expensive , San Francisco . root restaurant fantastic . 
 Apr 8 2009 	 Organic Delight 	 room sleek , clean environmentally responsible . staff friendly especially valet . food , appetizer wine selection fantastic along guide environmentally conscious shopping / eating . never bad steer . improvement could continental breakfast somewhat uninteresting , bland non - organic . 
 Apr 4 2009 	 lovely hotel 	 lovely hotel downtown San Francisco nice departure large chain hotel . lucky get extremely attractive rate hotel promotion . - comfy beds- exceptionally clean- friendly staff- well - appoint room include DVD / CD player , iPod doc , flat screen tv ( even CD help get sleep ) , pod coffee / tea maker mini - bar want more- excellent location - walk North Beach Italian , chinatown asian restaurant downtown shopping- Free wi - fi- Excellent bath amenities- Green hotel - insert key enter room engage electricity move turn everything leave room - similar ' ve see Europe good ideaWe eat attach restaurant , & quot ; Roots & quot ; , menu look good . decor guest room soothe pretty . large mirror wall near bed . get room view can not speak car worry parking . overall pleasant stay highly recommend hotel visitor city . 
 Apr 4 2009 	 excellent 	 beautiful hotel , great location : China town start corner subway airport two block away . staff friendly helpful . business centre available free , although fee printing . room quiet , lovely , spacious clean include tea / coffee make facility . Union square 5 min walk , go breakfast Sear ' . hotel great location explore city foot car rental two block west want rent car get city day . nice hotel ' stay quiet time would highly recommend ! 
 Apr 3 2009 	 perfect small hotel heart SF friendly atmosphere comfortable bed day City . 	 totally enjoy Orchard Garden Hotel particular note cleanliness room bathroom . leave thing worry theft staff small friendly seem genuinely care make stay pleasant one . bed super comfy luxurious ! room front hotel , 8th floor , overlook city street bright cheery totally quiet . could hear anything inside room . free Wifi another enjoyable bonus . would definitely stay recommend friend family . 
 Apr 1 2009 	 great beautiful quiet comfy favorite SF location ! 	 ECO ! strange new carpet paint smell - new hotel nice . loved linen , decor , bath product , bathroom large - quiet hotel - unusual old hotel upgrade .. excellent job property . also good area city stay - walk distance Union Square , China Town yet - relaxed area night . Cafe Presse across street - one good breakfast haunt SF Lululemon Yoga block away ! good Sunday a.m. team ! 
 Mar 31 2009 	 two Thumbs ! ! ! ! ! ! ! ! ! ! 	 well greet staff . helpful checkin process get quickly settle stay . I get good tip immediate area . parking , place eat ( choose Irish Bank ! - cool ) proximity building one . the roof garden must see . quiet serene . the room great . quiet , clean , new flat screen tv plenty channel PPV movie . room well lay seem nice . cozy comfortable . I totally enjoy stay . 
 Mar 30 2009 	 ' Green ' hotel great location ... 	 stay Orchard Garden pleasant . stay ( see Nov 6 , 2007 review ) management mess reservation give we free breakfast include package . write manager never receive reply . mention front desk check March immediately give we room upgrade two free glass wine apology . say hotel clean great location would stay . satisfied staff . definitely stay . location great - close Union Square . Cafe de la Presse across street , good breakfast dinner . chinatown around corner . ask inside room , view quiet . roof top garden nice spot late afternoon drink . 
 Mar 20 2009 	 good vibe hotel staff comfortable stay . 	 hotel representative check we nice , upgrade we interior room one view . comfy bed , flat panel tv , nice scented toiletry : overall really pleasant stay . hotel 4 - 5 block Union Square ( close financial district , much well close Tenderloin ) 10 - 15 minute walk Montgomery BART station . get great advanced purchase deal hotel 's website ( $ 120 / night ) . overall , pleasant stay . 
 Mar 19 2009 	 Excellent Hotel ... 	 stay Orchard Garden Hotel two night , wish stay long . hotel beautiful , clean staff friendly . would definitely stay , not even think would look anywhere else ! 
 Mar 14 2009 	 love outdoor deck room location 	 weekend visit daughter , great time . location walk restaurant sight perfect , rooftop deck perfect visit daughter friend . suite room since price right , large , spacious bed insanely comfortable . can not say enough good thing stay , feel good knowing & quot ; green & quot ; . 
 Mar 14 2009 	 Great Location / serene surrounding 	 room live name . decor space fine . request upgrade exterior room great . noise come room disturb . stay area Orchard Garden choice . feel restaurant little overpriced appear breakfast busy time . however place eat nearby . 
 Mar 13 2009 	 nice ! 	 nice check early fly DC ! clean bathroom ever see . quiet comfy . great location . plenty fun , site , history , food shopping w / in easy walking . 
 Mar 12 2009 	 great value wonderful get - away weekend 	 husband return weekend SF . book hotel website great value . use tip see ride BART , hotel breakfast , good advice , try weekend away expensive . relax weekend . room great , bed comfortable . stay inside still street noise ( say hubby , light sleeper ) hear noise , need judge base normal tolerance noise . middle city heavens sake ! easy get around public transportation , also walk alot . staff , include front desk , good we . not miss roof garden . nice place sip glass wine , view city light . drawback .... discover shopping area close ... want trip girl . ( cheap ! : ) 
 Mar 11 2009 	 Clean 	 Hotel new & amp ; modern , like energy efficiency card key turning power , in - room recycling bin . free wi - fi internet excellent . bathroom roomy enjoy toiletry . bed extremely comfortable . love bath robe & amp ; slipper . room face street hear street noise light sleeper like , not choose street view . 7th floor hear street traffic day & amp ; night even double pane window . like decent size room , make sure book superior room size . breakfast : not eat hotel , try place like Lori 's diner near Sutter & amp ; Powell . bell person , valet & amp ; security friendly & amp ; helpful . however , beware front desk staff . request room change due street noise & amp ; downgrade standard room face back ( book superior room ) ! much argue phone front desk guy tell & quot ; reservation standard room & quot ; , & quot ; room face interior standard room & quot ; & amp ; get real upset , finally say & quot ; speak reservation department & quot ; , eventually upgrade junior suite . day checkout , request check 30 min late , deny girl front desk , cite & quot ; many guest want check late & quot ; . husband travel lot never deny late check . basically front desk staff put we make stay hotel unpleasant . front desk staff unprofessional need training customer service well people skill . 
 Feb 27 2009 	 pleasant surprise ! 	 cut short , would well say dislike hotel:1 ) view window courtyard instead streets san francisco . guess misfortune .... ; P2 ) allow open window . apart , simply love super - central , cosy , modern , comfortable , squeaky clean hotel ! 
 Feb 21 2009 	 like hotel ... 	 mix feeling Orchard Garden Hotel . girlfriend stay late January , 2009 birthday trip . travel San Francisco 4 - 5 time year pleasure . liked:1 ) location hotel absolutely good . chinatown , right outside front door . Ferry Building Plaza Union Square easy walk . 2 ) plenty good restaurant less mile away . 3 ) great accessibility . get San Francisco airport , jump BART ( $ 5.35 ) , take Montgomery Station walk hotel . 4 ) staff extremely helpful . upgrade we file complaint room . 5 ) first room ( Junior Suite ) , although bit small , fine nice comfortable bed . what not like:1 ) could hear way much go next door room . awaken couple next door make love literally could hear pillow talk afterwards . surprised nice new hotel not design include adequate sound proof . problem definitely deal breaker complain front desk next morning . extremely helpful upgrade we one top floor Terrace Suites great . say , tear . really like hotel . unfortunately , hesitant go back . girlfriend , hand , willing give another chance . , stay , sure mention want room quiet ( especially middle night ) . 
 Feb 18 2009 	 great hotel fantastic location 	 belatedly review hotel stay early June 2008 4 night . got terrific rate Expedia reading review decide give go . fantastic central location right next chinatown entrance , short walk main shopping area / Union Square district . walk Fisherman 's Wharf area take around half hour . the room great , much view ( overlook back alley ) bother , nice quiet throughout . king size bed extremely comfortable , bathroom decent size , nice flat screen tv HD channel , small couch area . first time see separate recycle bin paper / plastic etc . great idea use hotel . not like fridge , room store purchase item , one weight sensor deal could not take item without getting charge . firmly believe hotel give guest option least store item purchase outside hotel fridge . fridge locked reason not even bother ask get unlocked ( glass front door could see inside ) .Did not eat breakfast hotel , plenty great choice nearby area anyway . overall really enjoy hotel , location great , room terrific , applaud take initiative go ' green ' . ever return San Francisco would stay without hesitation . 
 Feb 17 2009 	 beautiful quiet convenient ... 	 stay Garden past weekend love ! room clean , simple elegant . bed comfy sheet super soft . room kind small not much space unpack suitcase , bathroom huge gorgeous , large tub separate shower . ' m sucker beautiful bathroom ! also love dvds could borrow watch room not feel like leave hotel . front desk folk friendly helpful accommodating . eat dinner root restaurant share delicious organic salad , free - range , organic pork chop yummy dessert . dinner , order cocktail bar wandered rooftop garden take view . overall , lovely time plus feel like gain good karma point stay . : ) 
 Feb 16 2009 	 wonderful overall 	 husband get back stay Orchard Garden Hotel San Francisco . business get tag along discover city . hotel immaculate staff nothing accommodate friendly . room clean comfortable . Valentine 's Day well find restaurant us day short notice . also able provide we variety recommendation eat day . regard interaction front desk staff , able help plan get around city . hotel wonderfully locate . street China Town , block Union Square , short walk variety transportation system . fantastic time San Francisco really enjoy stay Orchard Garden Hotel . 
 Feb 10 2009 	 fantastic boutique hotel 	 hotel always price range . see $ 99 per night Expedia , jump chance stay upcoming conference . regret . fact , wish could always afford stay ' m San Francisco . short walk Montgomery BART station , warmly greet front door man front desk . professional helpful . tell good room house , right . get room 10th floor face Bush street . beautiful view downtown San Francisco . ' ve stay variety place Union Square . room Orchard Garden quiet . bed comfortable bathroom enormous . full tub separate shower double vanity . great bath product . flat screen tv dvd player grace room , along free wi - fi room well . make sure get code front desk . room large contrast room downtown San Francisco . complaint whatsoever . great stay . 
 Feb 9 2009 	 Nice Place Stay 	 stay four night business last month pleasant although perfect experience . location great , right next Chinatown close Union Square , lot place walk food coffee . the room good , get upgrade superior king view Bush street . room quiet , bed linen great , love recycling bin right room . bathroom large lay pretty well prefer water pressure shower , long thick hair feel like take half hour wash ! loved EO product provide , especially grapefruit mint glycerin soap . would prefer receive USA Today rather local paper , never see USA Today available lobby mention room , oh well , be biggie . fitness center nice machine three ( ! ) - one bike , one treadmill one elliptical plus small area mat excercise ball . know 's big hotel IMO machine available , minimum two treadmill least free weight . also think gross sanitizer wipe machine - yuck . luckily , lot cardio available city : ) room service since many option nearby - Starbucks kitty corner hotel , Working Girl 's Cafe go way ( awesome place ) Cafe Amici block ( would not really recommend one ) . favorite restaurant trip ? Capurro 's wharf - great seafood , pizza steak , awesome happy hour fabulous service . like much go three time four day ! lunch Nonna Rose wharf like alot , go trusty Boudin tasty inexpensive food . also go Irish Bank Bar Restaurant would never recommend anyone - horrible food , service place dirty . two three we get stomach ache dinner . , would choose stay Orchard Garden . 's favorite hotel certainly fill bill business trip . 
 Feb 8 2009 	 Fantastic Location Rooms 	 stay Orchard Garden Hotel 7 night December 2008 San Francisco business & amp ; pleasure . could ask well location - area safe quiet , centrally locate within walking distance Piers , Union Square , many tourist business section town . also close several different cable car line , make get around city easy quick . hotel room amazing - comfortable bed ' ve ever sleep ! ( ' ve lot hotel US abroad ) . sheet comforter make feel like curl cloud every night , nice long day meeting and/or sightseeing . room look onto street great view still quiet , never hear people neighboring room , sleep easy . hotel & quot ; green & quot ; wonderful environmentally - theme decor stylish recycling receptacle room , greatly appreciate . flat - screen tv awesome , dvd player room free dvd available front desk - recommend & quot ; Escape Alcatraz . & quot ; front - desk staff friendly , hotel willing accomodate several special request . 's also roof - top terrace wonderful view . definitely stay return SF highly recommend hotel ! 
 Feb 3 2009 	 Pleasant 	 stay last wk good experience . perhaps front desk improve TA complaint excellent , prompt customer service . Front desk guy friendly helpful . also rush assist we hail cab , carry luggage etc . we also please see hardly homeless people badger make feel unsafe five night stay . accord many review SF hotels chronic problem . be sure attribute to- apparently mayor ask people give homeless handout avail exist service perhaps hotel 's location better- Chinatown Union Square . someone else complain mattress uncomfortable- think quite comfy- kind firm foam rather box springs firm . Linens excellent quality- seem cotton high thread count . climate control good room could make cool enough night enjoy duvet . our & quot ; superior & quot ; room two double bed face front hotel quite roomy another room face back king bed quite small . hear almost noise guest five night king bed rear report noise issue . street noise also minimal 7th floor room . bar service nice enjoy free appetizer drink seem quite pricey probably standard big city hotel . dinner menu look good fear hotel dining ... often mediocre . we eat breakfast one morning across street Cafe de la Presse- really cute fake french place . atmosphere great would definitely go . breakfast tasty although order toast taste kind old stale .. espresso drink acceptable great . we also eat dinner one night hill Bush St Bar Crudo . high quality ingredient pretty good great unless fan sashimi .. think go italian disappointed mostly raw seafood menu . seafood chowder creamy good except cubes lardo swimming . would improve plainer less exotic . have alot disappoint dining experience despite read Zagat SF Chronicle Best . RW Apple steer we wrong Tadich Grill- poor food nice atmosphere private booth . maybe ask hotel staff suggestion didn't . our good meal Ferry Bldg . Slanted Door ( vietnamese ) excellent busy expect wait even reservation . also , face ferry bldg , taqueria bldg immediately leave quite tasty lunch . Miette Bakery Ferry Bldg divine pastries- bring package cookie home gift . my minor criticism hotel daily maid service adequate marginal despite leave good tip day . eye detail- hotel management might want consider hire females- sexist .. maid service marginal say .. keep thing clean nicely straighten up . would stay ? yes , good rate available . also consider 480 good expedia rate . Orchard Garden 's location close ideal . 
 Jan 22 2009 	 hotel gem ! 	 second time stay Orchard Garden highly recommend . staff wonderful always find easy relax unwind room . ambiance soothe much appreciate emphasis natural fiber product . also appreciate extra : wireless internet free , room safe , bath product high quality , newspaper deliver every morning etc . town conference one large hotel . get much well rate ( internet special ) Orchard , compare note , stay much pleasant friend stay conference . 
 Jan 20 2009 	 Good without extra 	 overall hotel decent : -central location - spotless , new room - good heating - some friendly front desk employeesbut : check , charge credit card extra amount without detail reason . call , take mention , say missing item room , bill we . concern never even consider housekeeping make mistake never contact we ask we take item . know take item , one woman speak , would even consider housekeeping could make mistake , feel insult treat like thief ! costumer unacceptable ! speak two supervisor charge , will not stop imply take item . experience described circumstance , would decent hotel , middle touristic zone , jewel . go , make sure count pillow , sheet , towel , curtain , menus room repeat process housekeeping come room ... every DAY ... make sure report change .... 
 Jan 4 2009 	 Nice Hotel great room unprofessional staff front desk 	 well book hotel hotel website good price previously stay hotel phone hotel mention look room 5 night previously state ther 10 night early year checking rate return guest . price give 100dollars night site mention web site well price 100dollars less say way must error website open laptop open site pc guess change price & quot ; someone ! ! & quot ; hold 15 min ... way customer service poor pass ther hotel street orchard garden back ther orchard garden hotel . decide book anyway guess get email back 10 min say sorry error CANT provide room price employee rate decide ring get VOICEMAIL guy do not telephone call well get voice mail email back tow decide honour rate delight previous experice stay hotel good room excellent mean excellent , pity front house . I meet colleague hotel check give credit card usual deposit case use telephone drink water etc mini bar fine totally understand proceedure . room excellent , clean , comfortable etc breakfast terible rip coffee luke warm , bread hard leave ham ok ceral ok that s u shelf table ham , cheese yogurt 2 juice 3 ceral bread u could not eat unless u toast , cook breakfast availalbe coffee voil , service like coffee luck warm coffee one those flask give kid go school disappointing breakfast overprice brillant french place accross street & quot ; cafe de pre & quot ; 12dollar u get pancake juice real coffee etc jem . oh din room breakfast serve door go bar open time u see drain etc pipe machine filty would turn anyone breakfastto see lease ther seem manager around keep eye what s happen front desk little boy club chat press button keyboard etc good hotel location wise , brillant room lacking service front house breakfast need change asap departure hang card get bill also get invoice sign invoice americans call check guess 3 week later colleague 's card get charge give credit card check card book internet give receipt invoice etc unprofessional someone , embarrassing work colleague get charge credit card , phone hotel get usual Voice mail leave message reply send email ask would someone return call luck phone still wait ther call Summary great room clean , comfortable , Front House & amp ; Admin staff unprofessional terrible breakfast 
 Jan 4 2009 	 wonderful Time 	 50th birthday weekend organize family not lot travel . comfortable happy accomedation location . like walk great location - union square , chinatown , north beach , financial district , cable car . beautiful hotel , clean , attractive , staff friendly , attentive , courteous helpful . feel pamper rest . Room nicely appoint comfy bed . room quite even though face street . 
 Jan 4 2009 	 Cramped Nice 	 Orchard Garden conveniently locate downtown , absolutely spoteless without much character price . double small hard two people get room . hand , bed super , use hotel sleep 's fine . we stay # 208 face Bush , double window keep street noise , could say interior . could hear next door conversation , & quot ; disturb & quot ; tag hang New Year 's Eve . housekeppe knock door 9am , well neighbor , collective vocal & quot ; go away & quot ; could heard floor . much sleep New Year 's Day . much think management 's part . maybe less focus & quot ; Green & quot ; little investment insulate room . seem overpriced get value , unless get deal -- $ 150 
 Jan 2 2009 	 Beautiful Hotel Great Price Amazing Location ! 	 stay Orchard Garden hotel twice , business pleasure . experience fantastic , fall love ! room clean , bed sheet exceedingly comfortable , staff friendly helpful . convenience free wireless movie rental thoughtful show care management put facility . location right outside gate China Town make wander city easy , close proximity Powell St. BART station make travel breeze . the ice cake special hotel run , lower 's nightly stay $ 150 , well 's fantastic happy hour special ( buy drink , get appetizer free ) .We recommend hotel everyone ask , enjoy ! 
 Dec 31 2008 	 great staff service quiet room 	 spend 5 night Orchard Garden holiday . travel lot business , family vacation 12 year old son . hotel stay life would rate among BEST ! ! ! primariily friendly staff aim please . need help set son 's new video game system get grandpa want try hotel tv . even though hotel engineer leave fot day already , someone come front desk gave get hook ! bed bed comfortable , room exceptionally quiet even though second floof street . everything clean work well . big -- son two double besds stuff pretty well fill , well - lay comfortable . only drawback , low - flow shower less strong like , good environment , sparkle clean work well . service friennly , restaurant food little interesting -- organic , creative , tasty , . 
 Dec 26 2008 	 great stay great area great hotel 	 first trip San Francisco enjoy stay hotel . first think stay area Fishermans Wharf , read good review decide stay Orchard Garden Hotel know : perfect choice perfect location . we arrive long flight Germany greate smile name right walk . party 3 adult room 2 double bed enough space we . room quiet everything might need stay city hotel . bathroom lot space bathtub shower one . even bathrobe provide . also say , sleep well bed place ! room clean love eco - friendly ammenitie . there lot restaurant shop close easy get around hotel , also cable car far all . I absolutely recommend Orchard Garden Hotel would choose future trip . 
 Dec 11 2008 	 1000 US dollar deposit withhold ny account 	 bunch swedish doctor attente newly hold ASH meeting . room prereserve ar Orchard Garden San Francisco . room prepay travel agency . despite hotel take deposit aroung 1000 US dollar fom credit card . despite comment incorrect action take , nothing happen . leave hotel monday still , 3 day later , money release apparently use . e - mail hotel three time show arrogance respond . certainly , attend astablishment ! 
 Nov 26 2008 	 exceptional experience Orchard Garden 	 hotel exceed expectation ! elegant green . no chemical , perfume -- breathe easy whole visit . the staff member also exceptionally gracious . location also good , half block Chinatown Gate block walk anything want downtown SF , BART bus want go far . we recommend ! 
 Nov 26 2008 	 great location 	 stay disappointed second time . location excellent . room fresh new . bed extremely comfortable . love green aspect . use computer business center useful also . Ferry Buliding yet , definitely give try . 
 Nov 24 2008 	 absolutely love 	 stay Orchard Garden comfortable effortless . everything perfect — the staff courteous accommodate ; room beautiful , spacious , clean . add satisfaction support environmentally - conscious business without experience drop - off quality . little worried & quot ; low - flow & quot ; fixture particular , water pressure plenty strong . linen every bit soft would expect luxury hotel . the hotel 's location optimal : right next Chinatown , stone 's throw Union Square . lot shop restaurant . close BART ( get Orchard Garden SFO surprisingly quick ) .The hotel 's restaurant , root , excellent food excellent service . coffee good San Francisco . in , can not recommend place highly enough . easily good hotel stay ' ve year ... 
 Nov 17 2008 	 nice alternative big hotel 	 book hotel almost solely upon recommendation Trip Advisor - usually stay either Hyatt Westin chain San Francisco , refreshing change & quot ; big hotel & quot ; experience . stay .... appreciate & quot ; green & quot ; movement nice touch like recycling room ; like european style hotel lobby breakfast include ; like contemporary minimal decor ; want close Union Square affordable hotel . do not stay ... like big hotel room lot amentie ( be pretty basic ) ; want outstanding service . on pro . room nicely decorate , obviously new bed extremely comfortable . tourist level hotel , pleasure turndown service available scrimp amenity ( shampoo , etc ) like lot big chain . everything spotless bathroom spacious enough . include breakfast basic ( think european continental - cereal , fruit , bread , meat cheese , yogurt coffee ) , although could splurge pay extra full & quot ; american & quot ; breakfast . city relatively expensive dining option breakfast , particularly nearby Union Square , breakfast nice touch . the hotel really central want visit Union Square Chinatown , close California Street cable car line . lot close restaurant , hotel happy give recommendation ( follow one - french restaurant across street , happy ) . con .... room tad small nowhere put suitcase closet small . & quot ; roof deck & quot ; anything special - 's table 10th floor roof - really great view boot . exercise room clean , basic . boast LEED rating , really important , please note actually score really low . bad part front desk service , however . check , front desk person seem ADD keep pick phone engage co - worker rather focus task check . result , take inordinately long time . one could tell $ 10 & quot ; special breakfast & quot ; Nike marathon participant .... would not take extras buffet day store fridge free ? upon check , front desk person totally unable figure use different credit card room reserve , result mother pleasure charge stay . take e - mail phone call fix mess . stay look new , tourist class hotel relatively affordable . not stay need special request expect anything front desk staff . 
 Nov 15 2008 	 love place 	 get great last minute rate probably would happy pay standard rate . attractive , super comfy room , excellent staff - friendly , helpful , get great recommendation dinner nearby . also terrific location , street Chinatown gate . 
