go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Oct 2 2008 	 another great stay 	 second stay Tuscany dissapointe . the room great , service every day load clean towel plenty tolietrie . staff friendly helpful . book via Expedia get great rate , may 5 - 10 min walk strip amount money save room take odd taxi ! ! food Marylyns good , steak egg $ 4.00 lovelywas also lucky casino cocktail girl great , sometimes good know mean .......... much Johnnie Walker one night . my friend stay week could not believe good accom be . great pool area also . would not hesitate return . 
 Sep 30 2008 	 bad ! 	 stay Vegas last week . reasonable price close enough strip . actually great time . stay Ballys last year , Ballys bed comfy , room service , etc ... also pay whole lot Ballys . room Tuscany good size , AC work almost well , like tub seperate shower . eat Marilyns Cafe Mexican cantina , love . great service , price reasonable food well cafe Bally 's ! ! eat Marilyn 3 time mexican cafe twice . really like slot selection , not win whole lot not lose quickly either . drawback find loud bathroom fan be bathroom . ( toilet seperate room tub shower , fan toilet room ) . get 4 5 channel tv , not bad since watch go sleep . would stay , would prefer huge hotel strip ! 
 Sep 14 2008 	 Tuscanny suit great 	 really love Tuscanny Suites would definatley book . room large clean comfortable . AC good keep room cool , temperature 110 degree 's day . block B wich near front rd , handy get right near reception facilitys . Tuscanny gardens restaurant fantastic would really recommend , go couple time , steak Lobster tail fantastic , also lamb chop be another night lovely . restaurant beautifully decorate , elegant staff really nice . top class restaurant price quite reasonablemarilyn cafe great , breakfast nearly every morning , think really good value money plenty choose , portion quite big , pancakes maple syrup yummy staff lovely . there take away place sell nice sandwich beef sandwich one day salad , pizza 's good . join player club casino get point card , get free meal , money , restaurant , take away even use pay late check , make enquiry join , give instruction join , give info ( join player club every casino ) 's worth join 's free casino 's get free shirt , key ring , free Buffy meal there s 7/11 round corner stock fridge water , wine , beer etc , be quite cheap well , go main reception turn leave leave main entrance , walk petrol station cross forecourt 's back garage , far walk all . there bus stop outside tuscanny suite one waitress Marilyn 's tell we get day pass get $ 2.5 instead $ 5.00 strip , handy know , not take advantage get tell last day nine day take taxi , hey next time , hopefully next time , enjoy much . long term partner get marry , not use tuscanny chapel though look beautiful , use little chapel flower brilliant , fantastic holiday , also family we , love Tuscanny suite love Las vegas 
 Sep 2 2008 	 love place ! 	 hotel great ! first time Vegas , hotel perfect family . build pretty ! part family not like fact take taxi everywhere . be little mile strip .. Vegas weather .. would long walk ! first day invite Rehab Hard Rock . luggage bell hop wait room .. staff great .. able dig luggage bikini get taxi Hard Rock . towncar within couple minute . we always able get taxi within 5 minute take we wherever . the room huge maid clean everyday . would definitely stay ! 
 Sep 1 2008 	 Great Place Stay 	 stay Tuscany three day August 2008 . love hotel . restaurant good not eat anywhere else . food great reasonably price . casino much large expect , lot fun . ground beautiful lot shade walkway . room huge , lot extras clean . staff , check - in desk , casino employee , groundskeeper , restaurant maid friendly helpful . almost forget mention lounge , really nice , great entertainment . would not stay anywhere else Las Vegas . 's close strip airport 5 minute drive . 
 Aug 27 2008 	 Great Place Location 	 stay Tuscany Suites Casino last week really enjoy stay . place may apartment complex timeshare . many building walkway ( 3 story high elevator ) . room incredibly enormous clean king bed extremely comfortable . safe hairdryer break , maintenance came immediately replace . a / c work fine . bathroom HUGE also clean . large room vanity / sink area , separate shower stall separate bathtub .. another door toilet . room end hallway .. right near doorway building also elevator , still quiet even though hotel full . fridge microwave , come handy bring home leftover meal . build short walk main pool casino main building . like good size room , comfortable bed , cleanliness fact nice quiet ( away hustle bustle strip ) . locate right behind Bally 's two block ( may little bit walk get strip , could do easily other ) . need handicap parking , sometimes spot take time , park little away building , still far . car rental great could go anywhere .. use many side street back road get main hotel strip .. many back entrance . not eat , like terrible .. one block , great deal buffet ( $ 4.99 breakfast .. $ 9.99 12.99 dinner ) . be also ton place eat street ( Flamingo Road ) walk distance hotel . pool area lovely also quiet meet nice poeple . plenty towel lounge chair .. also plenty palm tree shade sun much ( temp 103 degree ) . also , book via website receive great deal $ 50 / night plus tax . could not figure negativity place .. lovely hotel ground ... complaint would stay . 
 Aug 23 2008 	 Loved ! 	 room huge , clean comfy . amenity . great location near Strip , quiet spot . thing miss we kiddie pool . pool deep 3 year old play . would definitely stay . 
 Aug 18 2008 	 Great Family Stay 	 get back trip Las Vegas , stay Sunday thru Thursday Tuscany Suites . book tripres.com . sure would use . would probably go right hotel . hotel put $ 60- deposit room credit card incidental , etc . get back later . hotel locate Flamingo Rd 1- 1/2 block strip . Tuscany Suites hotel . book , make sure tell exactly want . want king size bed , two double . also specify need microwave / cook top . believe room come coffee maker small refrigerator though . two double suite . want kind double , apparently locate near one another , settle double . tell ( tripre ) 6 people could fit suite . correct get king suite pull couch order additional fee roll away . roll - away allow room 2 bed per NV law ( ? ) check in / out rather quick desk several agent work . room key get building pool area . towel provide . room clean contain 2 double bed , small breakfast table , refrigerator , sink , coffee maker . toilet separate rest bathroom . bathroom stand shower . soak tub . ( nothing fancy , normal tub . ) nice size sink vanity combo . Suite somewhere around 500 sq foot . bldg close strip . parking breeze far walk vehicle unlike many Las Vegas hotel . pool easy walk way open 10 pm . tell LV hotel pool open 7 pm . enter Flamingo Rd , try get street behind able squeeze fence walk . nice little casino well 3 restaurant . sign player club . spend little honestly , able get back either restaurant gift shop comp ! kid eat pizza pizza restaurant . not impressed , think thin italian style pizza use to . check btwn 11am-12 unless prior arrangement make . end get stuck time share presentation , leave teen age kid credit card key . sadly , wait 2 hrs lobby , able check problem . this hotel perfect location check sort location around town . Caesars Flamingo within 10 minute . /PM 7/11 right around block . another sleeper casino little Flamingo Terrible 's Casino . Sign player card . 's good deal ! breakfast dinner buffet . bad all . general tip travel . bring bottled water . hot get 121 deg . 90deg 0700 . stop shop Cesar 's bottled water ( 2 water +1 Gatorade= $ 14.50 ) pay price . go McDonald 's get one . also buy local $ 1 bottle . fremont area gift shop get 3 buck ! not try see everything one day / night . space . strip hotels park valet parking tip couple / few dollar . much easy ' self parking ' ! Wish would try soon trip ! time share : two . first one get 6 ticket secret Garden $ 20 match play Tropicana . bad . second place get $ 200 . quite bit long first hard sell . everywhere see free info tour , discount tour , etc , read timeshare ! fine time either could possibly interested timeshare want gift . Haggle well stuff . say 's block away , laugh . way past airport , & quot ; day center strip & quot ; ! eat several buffet , might worth review separately ! 
 Aug 17 2008 	 great hotel outside strip ! 	 stay 5 night July Tuscany . loved hotel ! yes block away strip hotel friendly ( love friendly atmosphere ... ) room BIG , clean nice . pool ok ( free towel ) try lap pool morningswim- nice cool water yacuzzi afterwards . Tryed Mexican Cantina one night- do not like , Marilyns great ! friendly , nice simple food right price . ( salad great ! ! ) want eat little well try italian & quot ; Tuscany Gardens & quot ; nice food ! ! price level hotel much low strip ( stay strip stay ) pay 6 dollar 2 GT Tuscany ! ! 
 Aug 10 2008 	 problem ... restful 	 stay 5 night read previous review ( thank much ) bring supply home equip kitchenette , drive Tucson , make easily possible . the first room assign next elevator , make horrible noise stop third floor ( 1st ) . next morning staff move we another building problem . room clean , smell fresh , feel safe relaxed entire time . even casino good we . Marilyn 's Cafe 50/50 . food great , service often ! like previous review , Winn , pay Winn price either . get good value dollar definitely back , much Marilyn 's . 
 Aug 9 2008 	 Good Hotel Great Price 	 please hotel check - in check - out . book 2 room arrive late night . hotel clerk make sure receive adjoining room . reserve King Suite Double Suite . room clean ; comfortable , large . thing not like , microwave oven , slide closet door keep fall track , room . bathroom average , come bathtub , water pressure good , really important . pool nice , lot towel available . eat Marilyn 's Cafe , good food good price , can not speak dining establishment hotel . pleased choice Tuscany Suites . please review picture take , hope help . 
 Jul 30 2008 	 Liked Tuscany 	 husband stay Tuscany 9 day . we attend convention . tuscany hasmany different building , arrive day theconvention start could get good room / building . we build C , ask close pool without pay extra premium 40 dollar nite patio . room handicapped room , fine . large sit area small dining room table . small dorm fridge coffee maker . hear stovetop and/or microwave . neither ask desk microwave , one get back dinner . be advise , condo . , , I plate , silverware , pot type cooking utensil . quick trip superwalmart Boulder Highway . buy toaster $ 6 , blender $ 13 along paper plate , plastic silverware food . save tremendous amount money breakfast lunch pool . housekeeping spotty , always bed make andtowel . weekday housekeeping staff clean weekend staff . matter , clean . first floor room , read ceiling / floor soundproof . yes , hear people we , be not room long enough issue . limited tv station , maybe 10 - 13 , , , basic channel , premium one , problem we , every night anyhow . door bite weird . handle work well pull instead push . wiggle card time get unlock , demagnetize easy . have replace , other replace dozen time . slot tight , do not see many people win slow economic time , figure would not loose anyway . they could chair around pool . our group 800 + people , maybe less 100 chair . the mexican restaurant great , large portion , good food ! Marilyns Cafe , , , good . go , wait almost halfhour do not even get wait staff even acknowledge , leave . another time go friend , get meatloaf , inediblle . other like wing pancake , do not give another chance . car could leave hotel dinner . all , intimate set large group . place sit lobby meet location . large stuff chair . would stay . 
 Jul 28 2008 	 love Tuscany ! 	 love Tuscany . the room large staff great . I need accessible room find one large stay at . for convention attend- perfect size . we practically take hotel .lot sofas room hang visit . the restaurant good . Marilyn 's open 24 hours- great group ( lot late nighter ) good Chicken Fettucini Alfredo ever Tuscany Gardens . the Cantina great Tacos Beachfront Pizza super yummy . thing complain wish big menu room service Breakfast- limit . but otherwise Tuscany get ' ' book ! Katherine Cali 
 Jul 28 2008 	 Good Hotel GREAT Coffee shop 	 hotel first day BBW bash friend wedding . room nice spacious , pool area nice , pleasant surprise & quot ; Marilyn 's & quot ; coffee shop , excellent food service fair pricing . lose Casino , hold Bash next year , would definitely come back . 
 Jul 24 2008 	 expect 	 book week stay Tuscany Suites Las Vegas wind husband work trip . load people say we , oh that s quite new , hear good thing . place ok , room big dodgy bathroom tile ( move crack ) mini kitchen utensil sort , upon ask reception tell never , suggest may want include room description , get shrug . bad though valet service ..... taxis transport mode , shuttle ( know ) rude straight not tip one guy awful . quite expect regret see place price range ( stay Tahiti ) wish have book ! ! 
 Jul 24 2008 	 nice hotel 	 spend 4 day july arrive early hour morning check ok , previously ask pool view disappointed view main road , complain give upgrade room much well , room large side keep clean , pool area peaceful well maintain , strip short 10 min walk main road , would definately stop get away hussle bussle strip 
 Jul 15 2008 	 Nothing Fancy ... way around ! 	 go low expectation ... will fine . honest , property downtown Las Vegas . nothing glamorous hotel / casino . a / c unit room cool room reek fishy odor . cashier coffee shop not even know charge breakfast room bar would not even serve coffee drink . however , fact Lawry be directly across street plus . if want escape hustle bustle strip , place . 
 Jul 1 2008 	 Good Conference 	 stay Tuscany Suites Casino conference quite satisfied . build e little walk main building manageable , even heavy suitcase . room large , A / c unit loud , frig cold . bathroom clean roomy good shower water pressure . conference room nice classroom seating , water back , moderate room temperature . woman 's bathroom usually crowd , mainly due odd arrangement sink towel dispenser . continental breakfast ( bagel , muffin , bread ) lunch day ( one day cold sandwich salad , next day pasta salad ) . everything tasty temperature appropriate . service efficient pleasant . the walk strip not bad shuttle ride back airport see several good look restaurant opposite direction ( away strip ) . within walking distance might nice alternative . overall good experience even $ 50 casino . 
 Jul 1 2008 	 Great Price Nice Resort 	 Tuscany Paris , Mandalay Bay , Mirage . wife , daughter go family business find place charm worth every dime inexpensive rate recieve . pool good part , shade part pool time throughout hot day . room large , 's tip : toddler easy baby - proof room ! socket already reach , other could easily hide furniture ! meal cafe excellent , previous reviewer say expensive , do not think ( cheap ! ) . long walk room , air conditioner work great we , room constant 68 degree . everyone nice friendly . go Vegas want cheap way go dissapointed ! want glitz glamour ? go Mandalay bay pay 5X much . one bad part : casino dealer / bar tender jerk ! bad casino . want play little ? go street 3 block play Ballys ! 
 Jun 29 2008 	 Alright sleeping 	 stay work conference . room build N find room quite large . refrigerator nice especially still 100 degree outside 12 midnight . couch love seat new . bed bit mushy pillow great . every time head hit pillow less 5 minute . say Rio . honesty , take shower take 3 hour nap time room Tuscany . I like room far actual casino , fix drive around course mean drink hotel . eat venue - food great Cafe Mexican place service quite slow . the good thing Tuscany - earn comp really fast . case December 2007 play able comp meal . return June 2008 , able comp meal eaten . , big slot player , big deal . 
 Jun 24 2008 	 well 	 previously stay tuscany know expect . good strip location , relatively quiet night little disturbance traffic pass noise . set relax supposedly tuscan vegetation . this trip please see pool clean every day previous trip pool hot tub grubby . however , music pool monotonous . every day cd comprise beach boy , Kentucky woman classic churn hour hour . security slack strip venue allow public access room block unacceptable . arrival block N front door unsecured . door handle be not work jammed position disengage lock mechanism . report security assure mechanic would look lock . complaint make least 3 time stay nothing do . addition room door almost impossible open lock return room find maid closed door properly . hotel do not see problem ! fixture room , tap bath kitchen loose tv would not turn . report hotel nothing problem . report problem casino yet receive even acknowledgement failing . doubt could persuade stay . 
 Jun 24 2008 	 know well . 	 negative review turn accurate . people behind counter one restaurant pool would fight waitress another restaurant rude . would note towel lay floor elevator door couple day , nobody would pick ... inside elevator , someone inscribe word & quot ; DIE & quot ; ( build C ) - nice way feel welcome . refrigerator room go de - frost mode . ( yes , 's frost - free ) result , open fridge door water came pour milk container . oh , far walk strip . history walk , yes far .. 20min - ... would want 100 degree heat ? waste time & amp ; dehydrate get real attraction ? 
 Jun 10 2008 	 Next Time Someplace Else 	 check yesterday . notice mixed review ahead time , general agree accuracy remark , good bad . accompany husband 3 day convention . hotel would allow coffee urn meeting room ; want people leave ( therefore miss part ) workshop go elsewhere buy coffee . Tuscan Gardens restaurant okay , pricey : modest sized side salad include ; pay 7 buck la carte unnecessarily generous salad accompany platter . we stay Building L. upon arrive get maintenance come immediately replace smoke detector battery , chirp . also something right away stall shower door , keep pop ajar . near end 5 night stay , pop open . rest well . could hear people & quot ; stomping & quot ; around 3rd floor we early morning also late night . bed soft saggy , make thin bed sheet . awhile get use sound jet plane take airport , wake early , saggy bed , foot - stomping coming , jet take every minute , could not fall back sleep . a / c unit quiet enough , walk outside notice another unit whine away irritate fashion . both bath fan whine high pitch make we feel frazzle - one water closet main bathroom . coarseness first roll no - frill , unbleached toilet paper room we make joke planing log ; public rest room Strip use well quality . fortunately 2nd roll white paper little bit well . if reasonably physically fit , dress cool , take heat short walk , be far rear air - condition Bally 's Hotel Casino , hop air - condition Monorail . 7 station , MGM Grand south end , Sahara Hotel Casino , north Stratosphere . Monorail not cheap save huge amount time get around . will energy enjoy day evening long . 
 Jun 7 2008 	 off - strip hotel good location 	 midweek stay summer , big - name hotel strip offer price comparable Tuscany . would rather stay one . much year , weekend , Tuscany would great value . asset : room huge . addition size room , mine bath shower , toilet behind separate door . clean , good housekeeping staff . good refrigerator , ice machine hall work . park near building , impossible Strip , nice be travel lot gear . nice pool area without crowd . friendly helpful staff . nice landscape ground . 24 hour restaurant casino tasty fancy food . unexpectedly , gorgeous wedding chapel . weakness : two stove burner , MICROWAVE , much spoon . limited room service menu . limited cable CNN , WGN , TBS , local station . wi - Fi available pay extra daily charge . may minor consideration traveler , may significant other might deliberately choose suite hotel . location : important . 's ten minute walk Strip Monorail . Strip , be convergence Bally 's , Paris , Bellagio , Caesar 's , Flamingo . great location . lot within walking distance . Flamingo Road sidewalk , pedestrian crossing , basically concrete canyon six - lane highway car exhaust running . may encounter panhandler drunk prostitute walk Strip . big city person , nothing , may frighten someone shelter background . always take cab . far airport , either . cab hotel airport $ 13.50 plus tip . shuttle back airport $ 5.00 plus tip . 
 Jun 6 2008 	 great one night stay ! 	 vacation time LA , need hotel stay Memorial Day eve fly Vegas early next day . base review cost , choose Tuscany Suites & amp ; Casino . get rate $ 39 ( $ 45 w / taxis / fee ) i4vegas.com . deal turn ! arrive dark , around 9:30pm . hotel easy find , strip . check go smoothly relatively easy find " l " building sprawl , multi - building complex . however find entrance , room key work open door . try 2nd key luck . walk way around build look another entrance . luckily one end one key work fine ( room key " dead " ) . hassle haul luggage dark road 4.5 hour . turn room two door away " break " entrance re - entering building room convenient . room / suite wonderful ! clean , well maintain large , even large Rio stay early week ; see review detail . refrigerator much big dorm size full size ; ' call " counter " size . room dish microwave able find " coffee shop " site still open let use heat leftover . bathroom also clean , well maintain huge . contain separate toilet room , shower stall separate bath tub ; nice ! shower water pressure temperature excellent . request non - smoking king bed room , receive . room / suite also couch , chair , coffee table kitchen table two chair . plenty room 4 people . heat / cool unit wee bit loud accurate ; set 70 feel like 65 adjust accordingly . work quickly heat / cool room keep comfortable determined desire temperature . place first floor multi - floor building see someone leave room next room sound proof enough hear anyone , ever . bed linen comfortable sleep fine . I leave early next morning able use rest complex comment area pool , restaurant , casino , etc . appear clean , well maintain , walkable strip , convenient airport . ever Vegas , definitely consider stay . except broken building entrance door , perfect night ' stay excellent price ! 
 Jun 3 2008 	 bad price 	 stay part conference 3 night . room large , could easily fit huge group people ( college group ) . although be small fridge stove , pan / pot / plate room , microwave definite downside . limited tv channel old tv , work fine . be nice lounge area/ couch one side room , dining set near kitchen . room divide different building ( , B , C , etc ) , room key allow entry building , room . however , big concern safety apparently easy get build without key , since time multiple restaurant manage sneak leave menus door room . call hotel security , apparently happen time wary . 10 - 15 minute walk strip . location fine , near Westin Bally 's , around corner 's 7 - 11 . plan gambling hotel , join Player 's Club , since will get $ 5 free slot play pass time . LOT penny slot machine , seem pretty popular place old crowd . decent selection place eat , include mexican food Cantina . hotel buy - one - get - one - free coupon , make cost dinner two fajita $ 12 . be also Lawry be directly across street , restaurant eastt strip Flamingo ( Roy 's , Morton 's ) , great want eat elsewhere avoid strip traffic . overall , decent experience ( especially price ) , would stay . 
 May 20 2008 	 Tuscany Suite Review 	 stay 5 night daughter wedding . wedding chapel wonderful . everything else leave something desire . staff not friendly helpful . one take accountability anything . security staff could use Dale Carneighe course . room service miss room 2 5 night . hear numerous guest express displeasure Tuscany suite , anything billing issue poor tv service lack tack security staff . would recommend stay elsewhere . want stay strip price issue , Gold Coast would MUCH well choice . 
 May 19 2008 	 impressed 	 stay Tuscany company 's annual sale meeting , choice would stay . pricing appear reasonable , first impression not bad , not last long . lobby area smell mildew water damage , food restaurant ( Tuscan Gardens ) average ( two member group return overcooked steak ) , a / c unit suite miniscule nothing cool room , layout property confusing spread , distance strip little far walk questionable neighborhood . conference room lay nicely ( use one large room 4 adjacent small one ) , however seem air vent system casino , smoky air draw conference room day . bright side people ... front desk clerk friendly helpful , doorman outside quick assist , catering staff great gentleman help we set meet great . 
 May 18 2008 	 great alternative large hotel strip 	 boyfriend spend 3 night Tuscany Hotel recently complaint . room clean unbelievably big . pool area nice amazingly warm jacuzzi . 's 7 minute walk centre strip opinion well locate hotel like Mandalay Bay Egyptian close Bellagio Caesars Palace . hotel give booklet voucher worth use hotel Restaurants . we eat Marilyns Cafe , Mexican Tuscany Restaurant . 3 nice excellent value money . 
 May 13 2008 	 excellent hotel 	 go group 9 agreed1 / location-10 minute walk bally paris 6 - 10 dollar taxi hotel strip2 / room - massive quite , sleep sound 7 nights3 / Decor - lobby resturant beautiful - room nice little tired looking4 / pool - brilliant , quiet relaxing , sunbeds easy get 11am - there 2nd pool lap beside massive gymn5 / food - marylin cafe casino - good large cheap breakfast , nice burger , give mexican miss- Tuscany resturant lobby amazing - good steak lamb I ve ages.6 / bar - didnt spend much time either bed wipe strip casino - seem good buzz number nights7 / Casino - small compare mega one strip prefer that - I well roulette8 / service - on whole good9 / Value money - brilliant room cost 100 dollar per night ! ! complaints-1 / room service late afternoon 2 - 4pm ! good need afternoon dose2 / safe room do not work wardrobe door break air con noisy ( big deal really ) would really recommend place low key vegas trip big room , relax pool great food low cost mental strip . 
 may 12 2008 	 need drive around city want close strip ... 	 wife need stay Vegas 6 night week wedding . have drive around town pick thing wedding sometimes ferry people around , tuscany good choice . room large , perfect stay 6 night . park convenient room , easy get . downside 's trivial distance Strip , be nothing do . on - site restaurant casino rather nice though , make little bit 
 May 10 2008 	 great stay Vegas 	 great hotel ! room giantic ! hotel locate 1.5 block main strip near Paris , Bellagio , Cesar 's Palace , Wynn . room clean lot space . feel like stay apartment complex instead hotel really enjoyed plus parking lot much close large garage complex hotel . return hotel next time ' m Vegas . 
 Apr 13 2008 	 Perfect group 	 6 we book stay 6 night . read reviews main concern would long way Strip . however , reasonably brisk pace Ballys , mid way strip 10 - 15 minute walk . , main resort mostly within 15 minute walk . ideal want walk home huge american portion food . room little dark air conditioner slightly noisy great . two huge double bed large sofa bed request . small kitchen area hob fridge . cafe casino area serve big cheap breakfast restaurant look nice although use . bar reasonably price , $ 2 - 3 dollar beer . although big , pool area nicely set towel available . gym area huge could machine busy time . overall happy Tuscany resort . probably would not recommend couple look romance . mandalay seem nice respect suitable place group stay . 
 Apr 11 2008 	 like sunny resort inside big city light 	 Tuscany Suites Casino Las VegasThis hotel like stay resort Caribbean.you would never know 10 minute walk strip , Street Flamingo Hard Rock Hotel.it absolutely beautiful.the room huge , biulde 3 story , mean room seconds.the pool area beautiful , casino actually clean run like Caesar 's Palace . new machine table 2 restaurant inside.if think get marry Vegas - here . I way well work way around huge hotel . picture turn beaultiful . only complaint - customer service . Canada high expectation , understand area USA know manner . 
 Apr 7 2008 	 Wished stay strip 	 first contact Tuscany start book online 3 night . rate $ 79 Sun $ 99 two night . call back decide add Sat night . tell two night not valid not include child tell validation receipt . little argument finally believe although initially want change original booking high price . anyway , not overly impressed hotel . air conditioner noisy . could not leave night due noise . open window . maid not make bed fit sheet sheet not fit whole bed . mattress way soft bed uncomfortable . internet way overprice $ 15 24 hour . take least twenty minute walk strip ( Ballys ) not come car inconvenient . although price hotel cheap strip hotel end pay extra cab take we back hotel walk average 3 mile get somewhere . Marilyns restaurant casino good . price reasonable . casino good pretty good poker room like play tournament cheaply . not like fact casino not attach build walk get . building spread much security night want go gamble late night . go outside walk back main lobby . overall ok . would stay strip next time . 
 Mar 31 2008 	 would like give well review ......... 	 stay Tuscany past weekend ( 03/28 thru 03/30 ) , ground pretty decent , enjoyed stay complex vs. high rise situation . would like see sitting area ground , ( little bench ) scatter around would nice . casino , workout room casino cafe ( breakfast ) enjoy group 6 . room & quot ; & quot ; building , room 118 & amp ; 119 , bed need new mattress , box spring cover kind would nice expose box spring usually sort & quot ; leftover & quot ; kind attach . also new carpeting desparately need room well new television would nice room old clear picture . smell musty smokey air conditioner not crank full blast . also , find food bed upon check , one bathroom clean well call housekeeping . son put almond floor next day see housekeeping would find vacuum cleaning round , STILL clean . return complex replace carpet , bedspread , cover boxspring , remove smoke must smell . , would stay . , continue search decent price room near strip , may give stay Lake Las Vegas room sooooooo much well . 
 Mar 31 2008 	 quiet near strip 	 Tuscany nice place , several block strip . really enjoy lack zooyness evening , go strip want . tuscany bit different flavor , family orient without hype . not kid , wild see toddler hot tub , seem work . room big , maybe next update lighten little bit . ground wonderful , nicely keep . eat Marylins ( sp ) Cantina . food Cantina good , marylin , fine , little strange , server nice funny . swam pool morning , nice pool . would go back , course heartbeat , think pay around $ 130 night . thing aware cigarette smell lobby . everything restaurant non smoking , piazza bar right next check , even though close , still smell . sorry smoker , MGG ! good time . 
 Mar 1 2008 	 good value 	 pleasant stay . room big nicely decorate , staff friendly location nice : close strip quiet . restaurant hotel rather good , offer great value , like hotel . critizim : 15 $ 24 hour internet access close blackmailing . 
 Mar 1 2008 	 find ! 	 meet daughter birthday Vegas . hotel room large ( although furniture could use upgrading ) , nice pool workout room facility pretty much multi - unit townhouse style hotel . staff pleasant , attentive responsive five day stay . three block good strip , want bright light , hustle bustle exotic , walk street . want gamble , relax , enjoy great bite eat without glitz , awesome place . young lady come around drink far away well meet anywhere ! high end restaurant ( Tuscany Gardens ) service food quality excellent ! not thiknk minute water low , wine low , anything not someone within second . great part hover . know . great couple , family , whoever . would absolutely stay ! ! ! ! 
 Feb 8 2008 	 great time peaceful 	 daughter family three boy stay Oct 2007 . love large room plenty space fall one another . two room next convenient . boy love pool spa , grandma love casino everyone happy . meal well cater , walk Strip every day keep we fit . would definately stay ever get back thank concern 
 Jan 25 2008 	 good price 15 min . walk strip . 	 stay Tuscany three night hotel select work conference . stay one additional night expense fairly low rate . nice property meeting room . supply light refreshment appreciate conference . one room service food delivery take 40 minute , manager deliver food explain staffing issue . bed furniture room seem date , circa 1978 . tv 10 channel . huge bathroom shower separate tub . concierge helpful , price incorrect sedan arrange - $ 5 tell . walk strip took long expect , walk almost opposite direction , get Hard Rock Haufbrau House excellent beer german food - worth 20 minute walk . overall pleasant experience work conference , vacation Las Veags , would probably stay strip . good place someone want center action want spend less hotel . 
 Jan 24 2008 	 surf another hotel 1:00 a.m 	 2nd year ' ve stay convention . ' m town business LV really like get . owner company like large room , say place . $ 115 night four room ... dump . carpet old thread bare . check two coffee maker . one not work 's basket not fit . shower door not close . call desk ( guest service button phone not work ) ask want shower door fix ? well , say , not ? fan sound like Boeing 747 least drown noise guy walking room . pillow lumpy ( hence ' m 1:00 work trade show booth two day wonder one travel site book 4 star hotel less ) . breakfast usually okay today dreadful . fill convention goer , waiter bring two party five order . one person not get milk cereal . another not get cereal , coffee , keep try flag back unsuccessfully , though acknowledge short order spend 15 minute wait table . oh , except table next we not even get order half hour . restaurant seem fill frazzle , late business people . last year eat Cantina ' ve well tv dinner . tonight eat italian restaurant food well average service nice . go get soda machine would not take bill . go 2nd floor machine . pillow lumpy ( mention ? ) not anything put pillow case , protective case . bed small spread 1970 throwback design . can not help wonder nasty carpet go here . oh , let tell , real John Wayne TP . rough tough not take ... anything anybody . cheapest toilet paper money buy . kitchenette small fridge , two stove burner . microwave , pot , pan , plate , silverware . save money thinking cook . couch chair uncomfortable . casino small ' ve never see handful people time day . not welcome . front desk staff pretty ho hum general , not really feel welcome environment . 13 tv channel ( 1978 ? ) $ 15 internet , well , least could rate get line write review place . if like place , need set standard little higher , get really nice room strip less well amenetie day week on - line travel service . deserve well , trust I . and ' m pretty generally happy traveler , underlie current & quot ; not really care & quot ; run place two year row drain good feeling Vegas . 
 Jan 23 2008 	 Tuscany Hotel Casino * * * * * * * * * * * 	 return Las Vega , NV stay Tuscany Hotel & amp ; Casino weekend 01 - 19 - 2008 01 - 21 - 2008 . family nothing glow mark hotel . read other comment hotel go , , thank comment . great time hotel room clean , problem . post prior comment regard security card room , reason stop work place next credit card , cell phone , demagnitize card . experience problem happen , , problem get issue resolve . furniture spacious room ben update clean . food Marilyn 's cafe locate casino hotel bomb . price excellent food excellent . fabulous time highly recommend other . JL 
