Great 	 Great hotel , excellent location ( centrally locate New Delhi ) , close Connaught Place . hotel 's interior visible glass lift add excitement . room excellent , nicely do up . the thing need bit upbringe bell staff , still give taste legacy . would certainly recommend stay hotel , though slightly over - price . 
 love stay 	 stay bussiness trip company . I throughly enjoy stay there . the service excellent hotel staff helpfull . breakfast complimentary . room nice one tv , comfertable bed pillow , mood light many . 
 Feb 9 2008 	 Mediocre Meridien 	 outrageously expensive mediocre process . how easy business make ammend - everyone team empower . Le Meridien staff look interest hotel first , guest fit within rule . a poor result start , get better.- car book airport - list . one organise due course , ominous start.- Smoky room two bed . switch non - smoky room two beds.- phenomenally noisy - street noise neighbouring room noise - TV , Kids . Room noisy.- Broadband really trickle - less dial - up speed 4:00 am- end stair - constantly go . lift not seem go want to.- positive note , Indian Restaurant fabulous - though waiter ensure order far far could eat . we be due come back Delhi December - hotel . 
 Jan 29 2008 	 good hotel without problem 	 review hotel pretty polarise . people either love hate . stay partenr 4 night New Year opinion bite mixed . firstly build impressive like atrium type design . location bit deceptive . actually 15 minute walk crow fly Connaught Place tricky road crossing roundabout negotiate , particularly rush hour . plus lot extremely persistent rickshaw driver , beggar tout directly outside hotel . the first problem however arise check . book expedia rate 7877 rupee night check girl say room charge would 9000 rupee night , cite usual scam rate include taxis ( even though reservation printout clearly state taxis include ) 2 o'clock morning could not bother argue credit check charge exact rate quote expedia . having stay Delhi know traffic noise ask room high possible . give club room 16th floor person neglect tell we gicen club room able take advantage club privelage . the club room spacious tastefully furnish ( mood lighting everyone taste though ) . bathroom also great . the service food drink standard excellent . negative point apply expensive hotel anywhere particularly India . firstly feel bit like cash dispenser , deal tip right , leave centre small service , many unsolicite even un want . even though alll day housekeeping guy insist wait get back room come room replenish soap bathroom etc - ridiculously transparent attempt solicit tip . sort stuff annoying extreme . other gripe . even though winter daytime temperature Delhi 23 deg C. madness Delhi would nice sit sun take drink terrcae . however location pool mean terrace almost constantly shade pool little pigeon toilet . another problem hotel not proper bar . real bar life soul decent hotel . Le Meridien room top floor call Henri 's bar really bar - room serve drink . place ground floor atrium bar hotel self respect sell ....... cake . this point major problem hotel . it seem care much resident . much interested sell expensive dinner show rich Delhites cater need resident . illustrate clearly New Years Eve . fly Kerala early New Years Day plan quiet meal drink . however every restaurant hotel special NY function cover charge 2500 8000 rupee head , except brasserie fully book anyway . excuse bar close completely rent private function spend New Years Eve watch King Kong room expensive room service . 
 Jan 29 2008 	 bad Hotel ever 	 even India , hotel disgraceful . throughout trip stay pretty much level hotel availability location visit , experience pretty basic accommodation . nothing bad hotel -- especially give cost purport 5 star rating . the room small dark . light controllable small bedside console instruction . light could make bright enough actually see room unless shade open broad daylight . put makeup impossible . flip side , hardwired permanent night light bathroom floorboard room . even engineer send hotel complaint unable disable . bright sleep . thermostat room could adjust despite appearance dial control . room freeze management offer space heater solution . admit guest unable ot adjust temperature room -- fan speed . the automate wake call service work . desk offer wake call complementary coffee smooth dissatisfaction unable sleep . wake call never come . coffee -- cold -- arrive 10 minute late knock door . appear bill major conference Hotel manager necessary remove bill . key deactivate least 5 time 24 hour stay . time tell pocket cellphone ( not ) . experience duplicate 25 + people travellng party -- room light air conditioning situation . there complaint could list . hotel expensive well Motel 6 . decorate garish ersatz boutique hotel style . elevator every floor giant tv run continuous loop Tom & amp ; Jerry cartoon . I never write review atrocity deserve reveal . especially since cheap room start $ 450 / night . 
 Jan 26 2008 	 Best Deal India 	 stay Le Meridien Delhi two night December 2007 . place first rate get go . use hotel airport transfer service cost $ 30 ( US ) . greet International terminal without trouble even though flight 2 hour late . driver dress white white glove . take luggage led hotel car Toyota Camry ( nice indian standard ) . give ice cold bottled water wet towel wipe face hand . 15 hour oflight , worth $ 30 . hotel modern . guess completely redone relatively recently . book directly starwood 's spg site . upgrade club level room extra charge include private lounge serve breakfast every day drink appetizer evening . also two computer terminal fr free use . room wood ( wall , floor ) modern . Plasma tv , control panel everything ( a / c , tv , light , etc ) right next bed . Bathroom finish mosaic tile high end fixture . good feature slipper nice hotel slipper ever receive . service great . staff greet name . problem . good part get $ 206 ( US ) . Delhi , be steal . 
 Jan 7 2008 	 never ... awful ! 	 regular traveller India ' ve re - set standard low typically go indian hotel expect mis - treat , abused , overcharged , etc . must congratulate Le Meridien Delhi find several new interesting way upset guest ... make sure never return . check slow interminable . credit young lady check , decent attitude . room dark quite small . atrium style hotel noise room street atrium . food hotel lousy . fish top floor restaurant leave 3 day case Delhi Belly . gym small one off - brand elliptical machine , one old stairclimber , one bicycle , 3 treadmill , one seem function . Gym normally open 7 8 ask open 5 normal exercise time , fail ask open , power turn , air - con , remote available tv , successive day least 2 available no - one hotel seem understand ! new interesting event one night 2:30 morning doorbell rang ... rang ... . keep check , noone ! soon ring nearly constantly take 30 minute hotel respond call finally fix disconnecting , say must short wire ! poorly hotel wire , fire hazard also exist ? apology , acknowledgement , ask upon check - out speak hotel GM , staff refuse pass along name , email address , contact detail . bottom line $ 445 find something Delhi upset customary way anyone travel frequently India use ... need new annoyance ! 
 Dec 19 2007 	 5 * look star service 	 will start say go start honeymoon hotel - finish worst possible way end holiday lifetime . thank God stay Claridges instead first couple night . the service abysmal restaurant front desk . La Brasserie , wife get fed look disdain nonchalant attitude towards service give . emphasis definitely clear table quickly possible . even greet duty manager stare force hello we - get nothing back ! room hotel amazing service provide bar staff room attendant typically indian term courtesy - absolutely wonderful . go forgive hotel idiot work restaurant ( although Pakwan restaurant pretty decent little cold side ) check . notwithstanding fact idiot reception seem put want check complete absence eye contact courtesy , get irate behaviour , representative hotel ask we complete feedback form . wife explain rush travel agent representative waiting escort we back airport , slap form desk repeat request , stage order . witness rep , gobsmacked mention reputable international company look arrangement Le Meridien . the door staff amazingly polite we way p - ed idiotic member staff endure want get soon could . you may find like service promise league Claridges New Delhi hotel run indian company ( Taj , Oberoi , etc . ) . oh , one thing - spite nice polite friendly staff , outdoor swimming pool glorify pigeon bath cake pigeon poo - joke ! 
 Dec 6 2007 	 great service ! 	 accompany husband business trip Delhi - this first time India not much information expect , must say level service receive hotel make trip enjoyable . I strike high quality customer service here - everyone bent backwards make sure everything need . we also dinner one night Pakwan restaurant delicious . I would recommend hotel anyone . 
 Nov 7 2007 	 5 Star way 	 mywife stay end September 2 night . check efficient friendly . the room , ( suite ) fantastic , attention detail evident . the service second none , include restaurant , toliet , room service club lounge . the location also central , merely ten minute walk Connaught Place . could not fault place - highly recommend , ( cheap ! ! ) 
 Sep 14 2007 	 Loved Delhi Le Meridien 	 not know everyone complain . be Americans , first stay India . awesome hotel ! everything great - food , breakfast , room - even shop cool . service excellent . bath nice - wish setup place home . would DEFINITELY stay - average , border excellent . 
 Sep 3 2007 	 worth five star status ! 	 hear many good thing Le Meridian family member , decide book . rate get good , via Expedia.com . check hotel be not problem . luggage promptly bring bellman , front desk check go fine . lobby hotel spacious nicely decorate . the room ample space , wood floor , nice size bathroom mosaic tile wall floor , large plasma / LCD television , nice view city . seem good ! first problem arise first night . power go 2 - 3 time 5 minute time , leave we total darkness unpack etc . good way start vacation 14 hour flight . the problem encounter small , become annoying . wood floor creak loud area step . go bathroom night step spot , wife would wake startled ! tippie toe avoid area . the electricity entire room work put room key slot enter . want light night time hour , leave entire room light ! can not pick choose light keep . thing bother annoyne room rate . apparently , Le Meridian change tax structure start September 1st . tell due , pay additional $ 210 US night 9/1 . fight strongly say Expedia charge list , miscommunication Le Meridian Expedia , would responsible . contact matter three TIMES ! get Expedia phone , tell situation , manager Expedia speak Le Meridian , agree would charge extra . what funny thought , checking , overhear thing every guest ! every one guest refuse pay . interesting month ... last thing irk place front desk staff . clueless going hotel ! call ask hour restraurant , tell open 12 noon . wait hour open , find really open 12:30 ! sunday ask shop second floor open , tell , shop close Sunday . lo behold ! open ! one point wife mood certain indian dish , tell coffee shop ( confuse ) . proceed coffee shop , see cake pastry . ask , get strange look obvious answer . so ... need find anything , ask front desk , call restaurant / store directly ! overall .... hear great thing hotel , past week , feel overrated . bed comfortable , bathroom nice , customer service NILL ! ! would recommend stay Muria Sheraton Taj instead . 
 Aug 15 2007 	 Nice hotel 	 stay 2 night begin Rajahstan tour one night end . first two night suite , still renovate fine anyway . problem A / c bed follow dilemma : keep open freezing shut boiling ... surprising 5 * hotel ! nice view Delhi could well window wash . spend last night renovate room ( A / c entry room , problem fix ... ) . nice design blue yellow light wall behind bed . problem room next room currently process renovate ... forget relax till 6 pm . staff particularily smile . 
 Jun 17 2007 	 good hotel central New Delhi 	 return 8 day Le Meridien New Delhi . apparently ther hotel quite recently take Meridien still undergo refurbishment . we book Royal Club room include 2 way airport transfer . meet airport promptly drive hotel . the driver charming offer we bottle water well commentary approach central delhi . arrival hotel check quickly courteously royal club desk take straight room . the room big stay nicely furnish mood lighting , plasma tv mini bar ( soft drink one bottle kingfisher beer ) .There bottle wine bowl fruit room arrival ( fruit be not change though mean throw apple do not eat 4 day ...... meridien hotel fruit change daily eat ) .The room service twice daily even bathrobe ( skimpy ) change daily . the club lounge comfortable little dark windows centre hotel . Breakfast excellent serve 7 am 10 am ( 11 am sunday ) .High tea serve 3 pm 5 pm ... consist selection hot cold snack different everyday . unfortunately , make mistake eat canape mayonnaise day leave subsequently develop severe case ' delhi belly ' make ill , beware . between 6 pm 8 pm alcohol serve also snack , either vegetarian non vegetarian . delicious change evening . the club lounge staff charming though one two sometimes interested watch cricket surf internet serve . our real complaint lounge often busy loud business people conduct business . appreciate business hotel lounge provide club guest place comfort away main hotel . last thing want loud business people conduct meeting phone person . we eat La Brassiere restaurant time .... good reasonable . Henri 's bar also pleasant spot drink great view 20th floor . however , also close 2 day due meeting hold there . the pool area locate 4th floor . disappointing . the big problem concrete surround pool cover bird dropping least 20 pigeon bathe drink pool decide go sun swim . needless say do not venture in . we mention one sale marketing team come speak we one evening club lounge . explain pool area yet refurbish ........ reason keep clean ! hotel well situate Connaught place sight New Old Delhi . auotrickshaw taxis abundance try ' rip ' . one rickshaw driver even tell we norm overcharge tourist . we hire car driver via Expedia definitely good way see Delhi . I would recommend stay hotel location good long expect standard say Dubai , London Bangkok . just thing ......... addition room rate 12.5 % luxury tax also charge another 5 % 12.5 % room rate . ( least think that s mean bill ) ... could not quite figure honest ill depart could even bother ask . also , charge tax food drink base price menu price pay , . quite shock be not prepared . fortunately . 
 Jun 13 2007 	 surprisingly nice ....... 	 business partner suggest stay Le Meridien 2 night last week , thrilled . never stay live Delhi late 90 , frequent public area restaurant impressed . first surprise see Le Meridien group part Starwood Hotels . Starwood Preferred Guest , usher special desk check quickly . room next surprise . place usual carpet retain flavours - pleasant unpleasant - previous six guest , wooden floor . lcd tv wall , nice appointment round extremely pleasant bathroom shower mount directly overhead well & quot ; telephone & quot ; type shower . climate control excellent could carry bedside console . breakfast vary extensive nice light supper depart airport round stay . ask late checkout till 8 pm . , pleasantly surprised tell would charge stay till 6 pm ( generous ) half day charge till 8 pm . readily accept allow shower change clothe head airport . one downside stay checkout - clerk handling make several mistake slow . couple great location , would return Le Meridien , New Delhi next time . 
 May 30 2007 	 Fantastic hotel 	 stay 9 night Le Club room . hotel amazing , clean , modern pretty good location ( 10 minute stroll Connaught place ) . staff attentive small problem see hotel director absolutely everything keep we happy . surely sign good hotel well rectify problem ... Le Med 100 % brilliant . we eat hotel restaurant couple time follow late arrival trip find food varied , well cook present pricey ... certainly compare european price . the pool area nice respite hustle bustle City life enjoy stunning view . bed towel provide . the room well sized mood lighting , large wall mount plasma t.v , mini bar , climate control , safe super bathroom waterfall shower . all thouroughly recommend hotel rate one well stay ( ' ve stay hundred ! ! ! ! ) 
 Apr 5 2007 	 Bad Decor Great Location 	 less satisfying stay Hotel Nikko , decide end trip India conveniently locate hotel . Le Meridien perfect . easy walk Connaught Pl , Cottage Industries , Presidential Residence , Central Museum . plus , beggar hawker ( must expect ) , overwhelming . feel safe . the hotel large room breakfast decent . also , eat indian restaurant enjoy . beef joint decor weird alienating . weirdly modern . still , would stay . 
 Mar 14 2007 	 well expected 	 read negative review , prepared disappointed , fact , Meridien nice hotel . room large well appoint , restaurant hotel good location excellent . particularly like excellent shower plasma screen tv . not much care mood light small point . would recommend Meridien anyone go Delhi . 
 Jan 26 2007 	 5 * luxury ! 	 complete tour India spend last night hotel . great comfortable bed , hot power shower good quality food . hotel usual Meridien corporate fixture fitting see Meridien hotel world ! spend time tour India perfect hotel relax fly back UK ! hotel also excellent location New Delhi , close major site . 
 Jan 23 2007 	 really nice ! 	 surprised comment leave . yes merdian bit pricey hotel really nice room clean . service excellent . buffet breakfast include stay really great ! lot choose . staff extremely helpful buzz people time . walk minute central shopping area . stay 5 day love . comfortable stay indeed ! 
 Dec 14 2006 	 ok one night stay 	 feel compel write review simply stay one night November 2006 despite recent negative review . ' m particularly fussy traveller not high expectation hotel base review . be meet hotel driver Delhi airport . try persuade go shopping get hotel , simple & quot ; thank & quot ; enough . polite talkative . select Club level room . room fine - nothing particularly special comfortable certainly large enough . bathroom unappeale enjoy rain shower . toiletry standard . main gripe could hear loud music room quite late try get much needed sleep . club breakfast fine , good service . ' m picky eater find enough fill breakfast . I find staff overall quite pleasant . lobby not really taste think overall hotel lack certain atmosphere . not luxury retreat hustle bustle Delhi although not really expect this . I say hotel quite unremarkable give price poor value money . however , serve purpose one night . good thing could say 's bad previous review suggest . would not return even though nothing particularly bad hotel . stay due starwood promotion otherwise think well option Delhi around price . 
 Dec 1 2006 	 Excellent hotel 	 Brilliant hotel , modern first class facility . staff friendly helpful . great room fabulous food . spa area particularly good - would highly recommend hotel 
 Oct 4 2006 	 first good news 	 ' stew hotel since last stay November 2005.i ' start say ' stay Le Meridien New Delhi twice overall happy stay . room nice bit cold " post modern " way . stay club floor like bed , bathroom nice mood light thing head bed . the lobby restaurant good far lobby restaurant go chinese restaurant outstanding . snack club lounge nothing special service friendly good staff hotel . big . departure hotel hotel car take airport uniform Le Meridien driver . driveway ( subtlety ) start hit money . ' strange 3rd world country travel routinely last 25 year take detour dark street show horrible apartment get really concern . refuse get car finally relent take airport . hand sizeable tip ( happy get away ) apparently enough follow right terminal door starch white suit all . I send Le Meridien e - mail incident never get reply . Delhi next month time Taj . 
 Oct 1 2006 	 Dissappointing 	 book two room hotel four night . overcharge room rate quote time booking . then later charge we state rate give time check single occupancy two we state room . well four people stand front amply clear go two people staying room ! breakfast nothing talk , say food general . this hotel text book case can not make hotel good good location , modern room newly renovate lobby . people manage make great . overall attituted staff uninterested right ignorant arrogant . 
 Sep 29 2006 	 average 	 Nice hotel . however , usd300 / night club room , value money . brekkie club floor much crow . room quite nice though , although design tad modern liking . floor could carpet well effect . 
 Sep 23 2006 	 Worst Le meridian ' stay . 	 depressing , gloomy , dirty . stay 3 night awful . ' stay ever , honest ' think ' ever go Delhi ever either . 
 Aug 18 2006 	 bad Value Delhi 	 begin ? book $ 170 club level , non - smoking room . arrive , informed non - smoking club level room available . place regular room ... club level price . negotiation . then construction . currently , hotel undergo renovation , construction last 9 9:30 depend upon ask . regardless , like listening drill hammer 9:30 night , hotel . complain , staff offer move room earshot construction . complain duty manager , manager , receive reply . customer comfort important staff here . finally , appal find hotel gym small room . three running machine , exercise bike , weight set . 's . oh , pool close . stay SOMEWHERE else ! visit 29 country , bad so - call & quot ; luxury hotel & quot ; experience ever . worst . 
 Jul 9 2006 	 freezing ! 	 book stay one 2 bedroom suite - brother , wife , wife - USD750per night ( brekkie include ) extremely average - huge ! straight 80 's . also cold ! ! - heating . ask reception hotel manager claim none 5 star hotel New Delhi centrally heat - find surprising ! case complain disappoint move we recently renovate wing hotel two separate suite - nice club suit indeed - plasma screen , polished floorboard , sep lounge , huge bathroom . heating ! - reason room seem warmer - figured probably side hotel get sun ! - give we couple small electric heater ! bathroom - first shower wife drain get clog call maintenance ! overall - quite disappointed given pay ! ! 
 Jun 14 2006 	 little stark nice 	 spend two night Le Mer , New Delhi , away five day back two night . lobby stark , simplistic , New Age . room spartan , nice : hardwood floor , shimmery tile bath , sparse furniture , good electronic output / input ( 42 inch flat screen TV World Cup game ! ! ) breakfast buffet ( fact meal 24 - hour coffee shop ) nice . little NON - western .... 's crisp bacon ? ... excellent service variety . staff superb . burn light bulb .... call downstairs , replace 10 minute . 
 Apr 30 2006 	 Excellent hotel ! 	 modern , comfortable large hotel . well situated . lobby huge , contemporary , always busy . room well design , mod con . service excellent . breakfast fine - amazing . the indian restaurant absolutely brilliant . much , much well ridiculously touristic , price , hugely rate Sehraton 's Bukhara . much cheap , ! love light wooden floor , comfy slipper , central control console next bed , large plasma tv well equip mini bar . bath yub , shower , nice one ! one complaint would , ws possible change room temperature , , albeit airconditioned , cool like . say - quite pleasant . Thr Business Club nicely do dark liking . light would nice . if like character old world feel , price issue , choose oriental . like contemporary & quot ; business like & quot ; hotel - choose Le Meridien . 
 Mar 18 2006 	 great stay 
 Mar 4 2006 	 Fantastic hotel 
 Feb 9 2006 	 distinctly average 
 Jan 7 2006 	 Pretty Good 
 Nov 21 2005 	 Luxury price 
 Sep 30 2005 	 get renovate room 
 May 29 2005 	 fine hotel 
 Mar 28 2005 	 not Impressed 
 Feb 26 2005 	 good location good hotel 
 Dec 2 2004 	 top notch 
