great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Sep 29 2009 	 good stay 	 stay Mirage period last year LOVED . still like stay definately see change compare last year . stay much cheap year due deal able get online mainly think recession US . think recession probably cause cutback hotel well ( canadian hit badly recession nieghbor south guess base see news experience ) . land early 10:30 exhausted early flight time change decide try get room time relieve able . get room deal say not care 8th floor view trump much else big deal we . go take shower realize get inside shower curtain cake sincerely hope mold something disgusting inside -- big deal we , get shower grab towel cover mysterious brown stain also not want think much . know wash still not seem right leave guest use . fairness do not ' anything clean towel rest stay call housekeeping ask new shower curtain next day course say happy left note maid reminder extra tip ensure would get do . makeup mirror bathroom break alarm clock bed would not light . minor thing surprised room remodel last year renovation everything high quality pristine can not help wonder renovation do cheaply not seem hold well . overall minor problem nothing would wreck vacation stay stay mirage location price really can not beat . 
 Sep 28 2009 	 Perfect location centre ` ` strip '' standard issue american hotel room . 	 ideal spot , well , middle part strip . Standard U.S hotel room perfectly acceptable spending much time room Vegas ! huge pool area adjacent actually quite good dolphin big cat attraction . little surprised guest hotel not get free discount access Siegried Roys secret garden hey good . well restaurant shop available next door Caesars opposite Venetian . overall reasonable relatively trendy room ideally locate trip Vegas . 
 Sep 28 2009 	 Spoil ! 's worth extra ! 	 stay 3 night , fantastic hotel ! brilliant location , great amenity , lovely large , modern , clean , plush room ! would recommend , stay ! 
 Sep 28 2009 	 beautiful hotel 	 choose Mirage hotel honeymoon . check - in ( reluctant ) departure , hotel everything fine establishment suppose . hotel well - maintain ( amazing feat give 24 - hour nature place ) offer excellent location proximity rest strip . state pool good major hotel ; reason think otherwise . be much gambling , appear nothing miss choice hotel . two hamburger two drink come $ 50 tip BLT Burger . encouragement need go elsewhere meal . Mirage would favor lower price restaurant ; would keep guest venture establishment . thing consider , excellent hotel . 
 Sep 28 2009 	 look anywhere else - mirage everything ! 	 get back 7 night Mirage Wife . Vegas several time stay venetian MGM . mirage far good ! great selection restaurant range good value Pizza fine dining lot good bar club . pool delightful although get busy . go weekend would recommend reserve poolside lounger $ 50 usd . well worth rock time like , chair comfortable normal one settle drink / food bill end rather every time get drink . plus , get great location pool . good thing thing overall atmosphere Mirage . really great opinion make far good place stay . may cost hotel strip - be go Vegas - splash make one remember ! 
 Sep 27 2009 	 Oasis Dessert 	 stay Mirage weekend mayweather fight . overall , great experience . arrive 9 pm Thursday night , run deluxe king room . offer either deluxe queen room handicap accessible room . take accessible room , understanding would call we deluxe king strip view become available next day . would definitely recommend room change rather stay accessible room entire trip . accessible room quite many upgrade find remodeled room . plus , not counter space bathroom . room move go smoothly . call 4 pm next day . call change , change key we tell we move room floor . move room 21076 , awesome room . would not say much room service . husband 's sandwhich way well pasta . order room service , need one order portion huge . go pool short time , really nice . go late afternoon , plenty seat available . leave , go Secret Garden see white tiger . go around 5:30 , perfect time . animal really active . two young tiger play fighting pond . also get see trainer groom one large male . five dolphin pool . think well worth $ 15 . eat one restaurant . would highly recommend BLT Burger . casino nice . would probably think nicer . great stay , hotel great location . would definitely stay . 
 Sep 27 2009 	 everything need want Las Vegas 	 Las Vegas Mirage Hotel Casino favorite Vegas destination . several time year visit Las Vegas significant not stay Mirage , visit Casino nonetheless . mirage right blend class / fun excitement expect Las Vegas . whether want hit table relax pool , amenity Mirage always please . although hotel may well pool , casino , food , ect . , none well . mirage extremely well ; consequently , one good Hotels Las Vegas . suit MIrage good value Las Vegas . large , classy , affordable . stay penthouse tower suite whenever go . receive deal email alert upcoming suite deal available . [ typically Winter early Spring . ] stay follow hotel : Luxor , Tropicana , Hooters , Excallibur , NY NY , MGM Grand , Mandalay Bay , Treasure Island , Bellagio , many other ... however , Mirage simply well - rounded . offer everything love Vegas one - stop . highly recommend Mirage . 
 Sep 27 2009 	 fantastic good holiday ' ve ever ........... 	 holiday lifetime Mirage certainly live everything expect ! room large keep clean . bed huge comfortable , great night sleep ! ! ! staff polite helpful . pool amazing , not bother we queue morning get good poolside lounger . Mirage situate possibly good location central everything . would definitely recommend hotel anyone return soon . 
 Sep 26 2009 	 Awesome stay 	 ok 's time write review instead read everyone else . get back 4 night stay . 6 people 3 room . two reg . room pool view hospitality suite Volcano view . the room : nice , clean well appoint good size . bed great little time sleep . Maid service fantastic except one room small issue . not know . suite almost go far clean overspill tube toothpaste . the suite incredible . modern . large screen tv pop th foot bed . huge dining room area . large bathroom jacuzzi main bedroom . entertainment system stereo etc . upgrade suite $ 60 night PLUS free internet whole stay . DEAL ! ! pool : blast day . highly reccommend cabana . live large baby . Champagne taste beer budget hell . cheese cracker plate , soda , water , fruit plate , misters cool . can not get well lie pool side watch Angels play Yankees private cabana . girl come often see need anything . recommend cabana # 7cirque Bealtles Love show : fantastic everyone group give 10 . machine : read tight . not we . everyone come ahead except one person . the food : go buffet breakfast . not good . everyone give 4.carnegie Deli . else Vegas get 2 grill ham cheese sandwich $ 25 . blt burger good also pricey . the garden dolphin habitat : ok . Got lucky manage see trainer interact dolphin . do schedule see exhibit well hang around wait . summary : everyone we say would come back stay hotel . friendly helpful staff great location . 
 Sep 25 2009 	 clean comfortable 	 go Vegas mid - week especially travel family . arrive Wednesday Friday night awful busy hard even walk along street . self - park not need use valet service take forever drive along Strip . ask non - smoking connect room could get ( travel 2 teenager ) smoking , take move we soon could next day . despite assurance smoke room even though fairly newly renovate bit smelly . bed soft & amp ; consistently comfortable . stop Las Vegas helicopter tour Grand Canyon Heli USA ( amazing well worth cost ) , city child . teenager not impressed & quot ; atmosphere & quot ; think building / fountain pretty amazing . expensive food Mirage number food court casino much cheap option . Google broadway box website coupon code accommodation discount , book casino direct use code huge discount . tip : put bed bolster along bottom door corridor cut noise hallway . reception desk long queue . 
 Sep 25 2009 	 lovely hotel 	 first trip Las Vegas , book flight hotel sunwe . hotel assign Mirage wonderful , serendipitous choice ! original plan king size bed , ask could get something view first trip fifth wedding anniversary . friendly clerk give we room pool view 21st floor happen overlook quite bit strip . enchant see everything start light ! pool look nice , not check out . the Cravings buffett really nice lot variety - asian , italian , BBQ , carve station , dessert bar , salad bar noodle bar well sushi seafood . touch expensive side $ 25 per person . the room modern comfortable soft pillow trendy design . spacious feature widescreen tv . internet $ 14.99 24 hour period , not go online . couple shop attach hotel Terry Fator Theatre , although not many bargain it . there Dollar Rent Car kiosk rent car two day . clerk helpful we way fast . would definitely stay Mirage . 
 Sep 24 2009 	 never let we - great group guy 	 friend Vegas couple time , can not seem stray Mirage . good location we ( central strip , cheap food gaming across street , next Caesars , tram TI , easy drive ( taxi ride ) Rio , Palms , gentleman 's club near Industrial Road busy night ) , image also fit we perfectly . paradise affordable price . pool amazing , think good strip well Mandalay Bay ( full cute girl ) . also pool - side drink service great , order & quot ; large & quot ; get cool souvenir plastic glass . Buffet one good , several option would never imagine . BLT Burger site awesome burger ! always tip $ 20 $ 50 check - in hope upgrade ( never let ) . also mention cot ( roll - a - way bed ) comfortable friend ever experience . do great job keep age ( good way ) beauty fresh , hip , date . love place . 
 Sep 24 2009 	 Great Staff 	 23 member family stay Mirage . every one we comment incredible entire hotel staff . special thank cabana host . would definitely stay . 
 Sep 23 2009 	 amazing swimming pool great location average room 	 really tough choice hotel choose Vegas , settle Mirage ( mainly base location average price ! ) hotel location perfect centre strip- good place base yourself . check fine simple . review complain walk Casino get lift really not bother we Vegas hotel big usually inevitable ! room slight disappointment- expect bit luxury . room almost identical Hyatt stay stop San Francisco . ( still fine however think expect bit hotel Vegas ! ) bathroom disappointing ( clean , functional nothing wrong ) however expect nice marble bath really , really basic shower small plasticy bath ( would not luxurious bath ! ) pool amazing want somewhere great pool chill around think Mirage one good , good , go . although get really busy problem getting sunbe later afternoon visit . I would recommend Mirage think many hotel pretty similar- shop around good deal stay one middle strip can not really go wrong . 
 Sep 23 2009 	 great location beautiful uncomfortable 	 casino great ( good strip ) , hotel beautiful room uncomfortable . feel like sleep large pile brick . not sleep whole week . rumor every hotel uncomfortable bed ' m review place . love volcano eruption every night . 
 Sep 21 2009 	 extremely satisfied Mirage ! 	 stay Thursday - Monday , attend wed Planet Hollywood . ' ve previously stay Caesar 's ( need remodeling , door bathroom , good spa ! ) MGM ( big get around , room tiny ) . return Mirage . upgrade king tower deluxe ( thank , Jenna ! ) . blow away compe bottle champage . beautiful , large high tech functional . good bed ever ! want bathroom like one . service outstanding always feel like treasure guest . train everyone well . hope enough meal eat restaurant . try Japonais ( great happy hour appetizer , drink light dinner fro two ) ; Onda ( complimentary wine tasting , pre fixe dinner friend love -- excellent ) ; Kokomo ( seafood salad lobster bisque - heavenly ) ; craving buffet breakfast brunch ( satisfying ) ; Carnegie ( NYC sandwich - ok ) ; blt burger ( wonderful salmon burger ) . pool nice cove waterfall . plenty chair . complaint apply Vegas -- smoke everywhere disgusting -- cigar smoke around pool , etc , crowd Mirage couple single family . People attend wedding stay Planet Hollywood , Monte Carlo , MGM , Hilton . good hotel . 
 Sep 21 2009 	 Superb ! 	 room gorgeous & amp ; 5 star quality opinion .... really look like brochure ... thing make room 4 * instead five bathroom , good condition could bit big . check really quick ( arrive midday ) casino good spacious . Pools fab really tropical ( load palm tree ) , feel like back Thailand . location great ! ... right stripi really recommend hotel would definitely go back 
 Sep 21 2009 	 mixed feeling 	 specifically choose Mirage 3 night stay Las Vegas , reason good central strip location pool . far 2 thing go fault , location fantastic , right centre Strip , pool area great - lot different area , load palm tree , waterfall . pool really bliss . the food nice . not think particularly special , price . eat Cravings ( buffet ) Carnegies Deli . on whole room nice - bed / pillow comfortable , nice decor good view strip . cleanliness leave something desire though , 4 star hotel - find pair shoe , presumably leave enother guest , wardrobe along fresh robe ( ? ) , notice , drop somthing floor , edge carpet bed not vacuum quite . room steward one day find leave 2 face towel floor full dirt hair - have obviously clean floor forget take . expect far 4 star hotel . we find staff polite enough , other seem quite dismissive , though bother . , expect 4 star hotel . friendly people , thirty , like bit luxury not snobby . still use backpack not wear designer clothe , wonder something attitude encounter . mirage - might Vegas not always judge book 's cover , may well lose . 
 Sep 20 2009 	 huge room 	 room stay rennovate & amp ; look onto Strip . bed sooo comfortable . hotel massive often line reception need check make sure give enough time - especially go airport . 
 Sep 20 2009 	 Excellent Hotel - need 	 fiancé stay Mirage 7th till 17th September 2009 . third time stay Vegas say hotel live expectation . we stay room 14th floor strip view . room huge newly renovate however , find bathroom little small side Vegas standard . previously stay Paris Luxor double sink separate bath shower , bathroom tiny , bath look like plunge pool shower one sink . long spend bathroom Vegas ? hotel one busy strip , lot people , time , include pool . two hotel stay , never problem go pool time day get bed , however , Mirage need line 7 am , 7.30 line long may well bothered go early . pool open 8 am . first day go 9.30 could get near water . good pool though . rhumbar bar excellent else sit volcano go behind ? blt good takeaway craving buffet good . cafe near pool good bagel need snack too . we also pay visit Minus 5 Bar Mandalay bay newly open Hard Rock Cafe Bar strip , really great . this hotel seem noisy , staff extremely helpful friendly room excellent . would need leave hotel holiday want , many place eat thing do . do go buffet Flamingo – recommend we bad , know could get bad meal Vegas . Mon Ami Gabi , far good place eat strip Paris Hotel . 
 Sep 20 2009 	 Mirage Hotel - Excellent Stay 	 husband stay 7 night Mirage can not say enough good thing hotel staff . book directly hotel rate incredible ... 7 night total $ 735 include strip view . check ask view give room view strip volcano . also mention celebrate anniversary bottle champagne send . room update clean . Maid service excellent throughout stay everyone hotel go way help always smile . location hotel also excellent . would highly recommend Mirage . definitely return . 
 Sep 20 2009 	 can not wait go back ! 	 mother stay Mirage Sept 14 - 18 . upon check - in ask available complimentary upgrade ... receive deluxe room 28th floor view strip volcano . ( tip $ 20 receive upgrade ) . massive bathroom ... double vanity , walk - in shower jetted bathtub . perfect two woman use share bathroom ! remodel room , everything clean spacious . couple small issue get room ( tv remote control plug bathtub ) one quick call everything make right . housekeeping service excellent . the pool nice , make short visit mid - day two day 10 minute look , able find two chair together . eat Carnegie Deli , California Pizza Kitchen Fin . outstanding dinner Fin . CD CPK disappointing . ( overprice barely edible ) .Overall , great stay ! pro : staff friendy accommodating . location excellent . comfortable room . tropical , lush vibe . con : long walk casino elevator ( hey Las Vegas ) , extra busy pool area . 
 Sep 19 2009 	 mirage tower suite room A43 	 first arrive , put we floor B ( 27th ) . room thick smell smoke . maintenance ladder block foyer ... tv operate , light burn , lamp unplugged bedside . we ask non - smoking room , kind move we A43 immediately . phone , never go back downstairs . problem . Maintenance meet way repair issue - quick response . he mention renovate room 3 month , add plasma tv , etc . A43 nice . corner suite , mean get window . one side , one behind living area . nice room - roomy , around 1200 square foot . Floor non - smoking , funky smell . wife happy . also , e floor , nice place observe strip - nice place quietly smoke cigar . A43 mountain view - strip , get nice view landscape well TI , fashion mall , Trump Tower . the customer service trip always good . everyone - maid staff , front desk , maintenance polite pleasant deal with . EntertainmentThe Beatle 's Love show great , surpass expectation . also great time high - limit area , even though bartender know ' punch ' cigar ... * cough * ClubsWe try beatle lounge - own MGM / Mirage , rather company call LightGroup . unpleasant experience leave . waitstaff shark , watch out . I get drink , bottle wine ( $ 450.00 Opus one ... nice healthy markup ) . look like charge we drink party .. add 20 % gratuity . ask 20 % charge , waitress play dumb . final reciept show gratuity , initial bill get . even though bar run separate company , Mirage fix issue compensating difference bill hotel charge . , good service - get money back . but will not go back Revolution . people bottom feeder . RestaurantsWe try Japonaise - sushi fanstastic price reasonably . $ 7 per order . we also try Fin - good always . make sure grab reservation they . spathe salon great job , also spa - desert stone massage nice . 
 Sep 19 2009 	 Superb Stay 	 miragewe stay Mirage first time 17 August 19 August suite celebrate Wedding Anniversary . room stunning , spacious beautifully present . bathroom massive wife particularly line whirlpool bath . within hour checking receive complimentary bottle Champagne celebrate anniversary lovely touch . casino great , super pool great restaurant ideal location anyone wish sample strip . 
 Sep 17 2009 	 time Life ! 	 place absolutley amazing ! could not ask . room service great . room beautiful . slot even . carnegi deli must . make sure share sandwhich huge . mirage center strip right across venitian , plazzo harrahs , ti next door . could even see Bellagio fountain show room ! ! stay want amazing time . 
 Sep 17 2009 	 still excellent hotel 	 stay 5th time , location excellent , check friendly efficient , room remodelle nice , pool one good strip , ambience reception adjacent area tropical exotic . negative buffet maintain previuos quality . casino comparable other strip . excellent vacation - return ! ! 
 Sep 15 2009 	 great value ; love tiger 	 enjoy Mirage -- book quick night adjacent Grand Canyon trip enjoy clean roomy room tiger mini zoo terrific -- get free admission $ 50 credit breakfast buffet include $ 140 rate make great deal central location strip ; 
 Sep 14 2009 	 Felt like high Roller ! 	 7 year since last Vegas , 5 parent , decide take trip celebrate wedding anniversary early August . stay now - depress north end Strip last several time , decide stay Mirage . I ' m exactly swanky person , appreciate swankiness Mirage . book standard King Room . 11th floor wonderful view expressway mountain . not look spectacular view , satisfied . room cool . bathroom small , well appoint . not plan party bathroom . Aqua Lime bath product great . all dining experience great . Caribe Cafe expensive , food good . eat breakfast times dinner . also eat BLT Burger . yes , be almost $ 20 burger fry , well worth experience . one way around & quot ; enough chair around pool & quot ; problem ... rent cabana . split cost amongst several people , well worth . spend entire day pool day leave . refrigerator stock soda , fresh fruit plate cheese cracker plate . waitstaff come every 30 minute see need anything . great experience . I think casino great . well gambling , guess make well . MGM Mirage Player 's Club also generous ( ' m high roller mean , actually get something compe first time ever - yay ! ) . gambling , make sure sign Player 's Club . the sad part trip leave . would definitely stay Mirage . 
 Sep 14 2009 	 great hotel 	 stay mirage sept /09 5 night great . nice hotel casino great spot strip . love las vegas.lots see . tip see cris angel show suck big time waste money time . 
 Sep 13 2009 	 beautiful hotel 	 first time Vegas : pro : beautiful hotel , tropical lobby area , great bed bed , beautiful bathroom . con : walk smoke casinoWe problem remedie quickly give 1/2 room rate ... also excellent rate . good location . eat one restaurant , buffet room , mediocre especially price .... 
 Sep 13 2009 	 expensive * * * * 	 look read load review one Mirage good review go . husband stay Sept ( never go Sept ) way hot ! stay three night . room fine , bed comfy besides Beatles Love show love . first day eat BLT Burger Mirage , $ 38.00 mind two bad hamburger ever eat , rip yet see pack . reason food around expensive main big hotel . go across street Imperial Palace buffet Harrahs buffet $ 14.99 , even late night hamburger McDonalds across street . check Las Vegas booklet room coupon , even Denneys across street , much cheap trick . spend strictly food part . go Sahara get dollar hotdog , $ 1.00 shot whatever want keep glass . look around cheap food walk everything seem far . take bus go along strip $ 7.00 24 hour pass jump travel . weather 101 humid , 75 degree night . good month go would winter month . love show must , believe ... say wow .... 's make vacation well worth . next time ' m go stay Flamingo heart lot . eat Mirage ... food suck price . room fine not forget Ben & amp ; Jerry 's Ice Cream across street something sweet , coupon also . look around place eat much cheap inside Hotel . 
 Sep 11 2009 	 Good Large 	 travel Vegas all - male group friend great time . Mirage situate middle Strip 's location could well . upon arrival , meet large lobby reception area ever see also busy need go part Casino restaurant area get check - in area . check - in quick easy room superb big expect . one mention ... use Mini - bar mega expensive even charge even remove item look ! ! obviouisly viste Vegas , casino ifs part trip honestly think Casino Mirage big good lot . pool area big clean need early order get sunbe ( towel free charge ) . Hotel Spa also good relaxation definitely require another late night . really complain one thing hotel Chinese Restaurant ... decor great , staff pleseant meal shocker ... ' ve lot restaurant time meal pit ... tasteless kind . visit Las Vegas , definitely stay Mirage would hesitation stay . 
 Sep 11 2009 	 Awesome ! 	 good hotel , great room , awesome pool area enough chair , internet access suck - not work half time daily charge 15 $ , long line jet nightclub get - take bottle service forget line : ) ( prepare spend couple hundred dollar ) 
 Sep 10 2009 	 beyond Expectations ! 	 friend stay Mirage 5 night begin September . arrive Las Vegas late evening luckily encounter line - up check - in counter . staff check counter friendly set vacation right foot . check two separate room receive complimentary upgrade . room 24th floor , access via private elevator . one room look volcano room give beautiful view mountain West ( could see Red Rock Canyon room ) .housekeeping keep room great condition entire time . quick efficient . would spend morning pool lunch time , housekeeping already do round though room . the pool get busy quickly Mirage , consider beautiful pool , business surprise . find set 4 chair morning never problem . people observe get frustrated chair number seem expect sun shine chair moment ; rather realize sun move soon enough available shaded chair would direct sunlight . chair - side service pool quick girl always friendly . price drink food pool bad could ( consider Las Vegas receive service right chair gorgeous pool ) . downside pool Mirage force new standard pool go . pool ' two waterfall , may worth visit . ( haha ) gamble much casino table minimum bit range . like casino lay feel spread casino . we eat California Pizza Kitchen , BLT Burger , buffet . C.P.K . alright meal , nothing spectacular . pizza little disappointing come kitchen specialize pizza . much difference pizza kitchen family chain restaurant . BLT Burger fantastic . Kobe Beef slider brilliantly do onion ring light crunch . highlight dine Mirage buffet . lucke . day choose try buffet , price little higher usual include free , unlimited champagne orange juice . Las Vegas get free , unlimited copious amount alcohol ? think food good buffet ..... ? anticipate trip month worried may develop high expectation Mirage . happy say Mirage perform way beyond expectation . hard decision return Mirage near future . look forward next visit already . 
 Sep 10 2009 	 beautiful lobby tropical atrium tropical ground ! 	 stay Mirage August 25 - 28 , 2009 . much searching choose Mirage disappoint . resort see , love Mirage beautiful tropical atrium greet walk gorgeous tropical pool area ground ! bed extremely comfortable room clean good service . would suggest stay west face room summer could never get room 70 - 75 degree ! try switch room , one hotter . 106 outside . tip : turn AC low go morning right get go room comfortable get back . also block door open day time help hallway cool room . food expensive everywhere strip . would pay pay bring extra suitcase plane snack bottled water bottled water $ 6 . also , stop Walgreens strip first day stock water snack . save ton ! also , across street Mirage 4Bs little Subway casino slightly reasonable meal light lunch . Save not miss Buffet Wynn within walk distance . go 2:45 p.m. 3:00 pay lunch price put evening dinner food 3:30 also enjoy crab prime rib cost lunch meal . $ 28 . jump like $ 38 3:30 stay . avoid Criss Angel Believe Show cost ! ! ! ! even fan HORRIBLE ! talk time , dance people bunny costume loud music . like 3 4 lame illusion levitating cover smoke ! watch t.v . not waste $ 100 go see disaster ! ! ! go SEE CIRQUE DU SOLEILL & quot ; & quot ; show Bellagio ! ! truly amazing ! stage turn lake lot acrobatic dancing ! mellow , amazing ! even husband twenty year old son like . also wish would gone see Terry Fator Venturliquist rather Criss Angel . would not waste money . enjoy mirage Vegas , prepare spend lot money food drink ! 
 Sep 9 2009 	 queue sunbe round pool remind spain 	 queue sunbe 0700 terrible , Pool do not open til 0800 0830 bed go . 
 Sep 8 2009 	 Great Trip Great Hotel 	 stay Mirage Sept 2 - 5th . Location- good location . central everything close fashion show mall , quick walk belagio fountain , accross street Casino Royale $ 1 beer . show- see Love really good well worth itGambling- like hotel well high end hotel table slot spread much feel & quot ; empty & quot ; . Mirage feel hustling place lot people throughpool- definitely earn reputation good pool strip . get early chair- wait 1/2 hour morning well worth get chair want full day sun . also allow bring cooler beer / beverage long glass . Rooms- clean , huge , right well appoint . all great hotel great location ! ! 
 Sep 8 2009 	 huge hotel great experience keep eye thing ! 	 return Las Vegas trip via Virgin , twin centre Hawaii , fantastic trip , get chance visit place . do load research hotel pick Mirage , pay little central strip , hotel like Luxor Circus circus little strip although walk okay , heat tiring , cab easy trip New York New York bellagio cost we $ 20 night , bad . the Mirage fine huge hotel , one want personal touch staff know . look go Grand Canyon ( ) book UK first , Virgin offer helicopter trip £ 156 , trip resort $ 536 plus $ 50 tax ( work exchnage rate ) room great bed fantastic ! deli , starbuck , burger place Mirage , worth try try walk see place , want stop hotel spend money they . the pool area fine never trouble getting sunbe , open 0800 folk stand line wait gate open , never still get bed party ten . Friday stay pool busy , local say get busy weekend , group lad stand pool drinking smoking ! pool dolphin big cat area , pay $ 15 impressed it . the hotel staff great give smile talk they . on last day notice three lady sit near slot machine 0700 morning , neither playing , one looked say , ' morning honey ' let work think live ? one entire stay great . we go near let mall shopping cover get hot , take time go one state border . Las Vegas adult resort folk put card hand walk strip night advert woman , fact large van drive past advertse ' woman hotel room ring number'the Bellagio fountain must every 15 minute , night . if want gamble careful , give free drink table gambling ... get drunk spend more . take time visit Freemont Street night , five block cover screen every hour play something , amazing . old strip cab ride Mirage cost we $ 40.there load shop ( designer otherwise ) along strip cheap . you get cab front Hotel queue bellman , talk want , good , also one day mention cheap party ten take limo , instead two cab , great day night case . we stop five night we . fun 
 Sep 8 2009 	 perfect we ! 	 husband return two - night stay Mirage agree definitely stay ! arrive around 9 am Saturday check - in breeze . room obviously not ready yet , hold luggage tell we come back couple hour . eat breakfast explore little room ready say would be . here highlight : - lobby beautiful , enjoy fishtank waterfalls.- room spacious clean , bed comfy , view awesome ! nothing extravagant , perfect stay Vegas ( since hardly ) .- elevator great ! never wait 30 second so.- love pool . not go Bare , look like lot people did- enjoy see animal . active - move around play lot . attraction definitely worth money we ! - go several lounge bar enjoy . service great.- central location strip ideal - walk hotel lot shopping . sometimes long line taxi , organize go fast . overall great trip ' m glad choose hotel . 
 Sep 8 2009 	 Mirage ! 	 recently stay Vegas first time weekend one good girlfriend . choose Mirage since convenient location center strip find competitive price priceline.com . disappoint ! wonderful time . concierge helpful booking ticket Love , cirque du soleil show house , even assist provide free pass Jet club strip . room nice , modernly furnish , clean . pool area incredible - little crowded Saturdays difficult find lounger time , waterfall pool nice poolside waitress service excellent . even topless pool area , call Bare . dine inside hotel incredible well . eat buffet Cravings , pleasantly surprised buffet go ! , Stack , incredible steak . club Revolution Jet quite good - although get jet little pain . revolution , Beatles inspire club , fun decore offer free vodka drink lady Friday night ( much appreciated ! ) could well first time experience Vegas , definitely return Mirage future Vegas trip . could quite literally fantastic time never leave hotel ! ! 
