decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 Sep 1 2008 	 Loved Eastgate Tower Suite 	 arrive home week stay hour ago felt compel write sing Hotel 's praise . have never NYC neither daughter 13 17.spent good deal time locate hotel internet say Tripadvisor swing I . locate seemingly swanky hotel one ( could not afford Trump Towers etc . ) tick box much well review expensive place . we disappoint . we junior suite comprise huge l shape room huge bed daughter share comfortable sofa bed Dad occupy , dining /writing postcard / quiet area , bathroom exy shower kitchenette ( do not eat cus eat cheap - eat little $ 50 3 nearby Frontier Diner ( well Euro Diner see mention another review , minute away ) tho also spend much $ 300 Keens Steakhouse excellent ... get push boat sometimes . anyway room brill big ideally suit family . I see Hotel 2 bed Suites do not know . they must brill . move accommodation . price . we pay something slightly £ 1200 7 night . think find value central location 3.as someone else say , 10 min walk Grand Central subway altho would not recommend young child ' whatever ' teenager Summer hot , one walk alot place . on last day walk Hotel Guggenheim museum ( 89th Street memory ) Central Park Met Museum , back . staff lovely . read review indicate unhelpful . nothing could truth . they extremely friendly helpful . just ask whatever reception find help willingly expertly give . want go helicopter trip reception refer Carlos , one lobby staff . need taxi , Patrick Shannon , Ireland USA 25 year sort efficiently talk football - love ( celtic ) . ( Black Lincoln book pick Hotel state time JFK $ 50 plus $ 5 toll whatever tip ( $ 10 ) .so location , accommodation , price staff cover , hopefully get picture . okay money object may well well mid price hotel , I d surprised could well count elsewhere . oh really adjacent terrace / plaza . the highlight day sit ( daughter watch american telly ) take away coffee hand .... smoking . pure pleasure ! good takeaway coffee one block side road . 
 Aug 30 2008 	 Good Central Location 	 stay 3 night find room basic clean . location central good base sightseeing . 15 min walk Times Square . room kitchenette useful food nearby deli . find really good deli Lexington 41 st . - great breakfast roll bagel . staff hotel main helpful seem bit put . find USA guest forthcoming guidance hotel staff . the reception free safety deposit service bit palaver would preferred something room . bar / restaurant next hotel refurbishment can not comment . area seem safe nearby restaurant close early . 
 Aug 15 2008 	 check bill leave ! 	 hotel generally ok get shabby - good extend stay kitchenette , basic functional clean . staff bit surly ( & quot ; customer nuisance & quot ; ) . hotel book room say call 1 - 800 1 - 888 number free first 20 minute . checking see every call make bill $ 2.66 ( even two minute ) - query show bit paper say $ 1.50 first twenty minute match charge build computer system . ( way WiFi charge $ 10 per day many hotel provide free - case signal strong enough high floor ) .because discrepancy reception call duty manager explain apologize end make wait fund call . report HQ Affinia bother acknowledge reply . suggest check bill unexpected charge leave . 
 Aug 5 2008 	 Impressed 	 stay 5 night wonderful hotel . perferctly locate within walking distance many thing . we arrive greet helpful courteous staff . we quickly check go room . completely full unable accommodate request two bed , however tell we come next morning would take care we . room nice , nothing special everything need . the next morning go tell we could move new room later morning . tell leave would back quite reply & quot ; worry , move item & quot ; . return late evening , surprised see not miss one thing , even item fridge . everyone nice informative . ask different suggestion , direction thing . always receive great information . I would stay heartbeat . 
 Aug 4 2008 	 Great Hotel - Great Staff 	 read lot hotel review select Eastgate Tower Hotel 8 day stay NYC . first time travel NYC read lot bad review various hotel throughout website . course , make nervous booking discount hotel . entire stay Eastgate Tower wonderful . complaint . room large clean . problem AC , elevator , staff , etc . room clean daily plenty fresh towel put day . never hear noises halls wall . can not say enough staff . stop front desk every day , sometimes twice day ask question , direction , recommendation , etc . never fail we . employee go way help we question , look information computer recommend great restaurant eat . next trip NYC , plan stay Eastgate Hotel . already recommend hotel friend . first trip NYC wonderful . love city ! ! 
 Aug 3 2008 	 disappoint 	 read review Tripadvisor decide Eastgate.so think surprised saw room . know furniture decor would & quot ; basic & quot ; guess thought would clean functional . I thoroughly agree assessment staff friendly , honestly feel reason noticeable shortcoming . as example , 2 bedroom supposedly full kitchen necessity . well , 2 plate 4 glass , pot pan etc . , call get it . after , get tired calling . not enough sheet , pillow towel , name it.the furniture old dirty carpet . here conclusion .... appear get real deal love place . pay almost 2 thousand dollar 5 day ... know holiday weekend , expect pay . would never stay again . bad yet , keep send email weekend special ... geez ! ! 
 Aug 2 2008 	 dirty room - 30 year worth dirt 	 husband book near NY office hotel usually use long give frequent - user discount . come several day find room pretty gross . severe need renovation - shabby industrial carpeting trim decade worth dirt dust floorboard , furniture cheap shabby , mold grow ceiling shower . would walk barefoot carpet . get book W Tuscany hotel next day - expensive , 10 time quality extra money . , tell staff reason sudden departure - place need complete overhaul can not happen one day . 
 Jul 23 2008 	 impressed ! 	 wow ! moment wife step , moment check , service top notch room clean . stay 4 night location quiet , safe within walk distance anything need enjoy Big Apple . king size bed comfortable , bathroom spotless , kitchenette complete cutlery dish . receive call evening arrive front desk ask anything could we make we comfortable , please let know . also receive call day leave confirm check - out time also ask anything need . certainly one good hotel ' ve pleasure stay . would recommend anyone . 
 Jul 22 2008 	 Great Location ! ! ! 	 travel NYC short 2 night girl weekend away . arrive Eastgate Tower Suites amaze cute hotel . lobby decorate beautifully staff friendly . surprise upgrade we big room . room clean HUGE ! full Kitchen , dining room area , bedroom 2 bed pull couch . 6 lady together room give we plenty room get ready sleep . location great . short cab ride Time Square , 5th Avenue , shopping area . walk well walk bad . also great location hot Manhattan Night Clubs . next time visit NYC definitley stay . 
 Jul 21 2008 	 hide gem downtown nyc 	 travel reason NYC , would first choice accomodation . 2 half star that s number ! room huge , kitchenette basic fridge , sink , microwave , plate cup , microwave , coffee maker etc . hotel shiney - new breakfast room par hotel cost double area . hotel clean , functional , big NYC v central . couple block Chrysler across road Hertz rental station , whihc hand leave city . the staff v friendly discreet ... dare say even hand - off . 
 Jul 19 2008 	 wow big room 	 stay one night two teen Jr Suite second floor . amazed space . order roll away bed teen would share sofa bed still plenty space move around . toaster , fridge , coffee pot . also street noise even second floor . ice machine , kinda weird also hanger closet , bring . review accurate distance times square location quite neighborhood , also somewhat date furniture , ( can not wait hotel general get new tv 's digital cable ! ) place clean comfy enough , staff friendly . price good $ 300 Friday night . 
 Jul 17 2008 	 Perfect large group family 	 stay Eastgate Tower end June , perfect place we . book two one bedroom suite total 8 people enough room . arrive red eye JFK show hotel 7 a.m. allow we get one room ( one not ready yet ) , allow we catch couple hour sleep head explore city . ( also late flight home happy hold luggage leave ) . pleasantly surprise full bath 1/2 bath ( sink & amp ; toilet ) room . go Gristedes buy grocery ( be one couple block away ) eat breakfast room every morning . kitchen essential ( include toaster ) everything clean working order . order pizza one night plenty room 8 sit ( 4 chair dining table plus desk chair , chair living room sofa turn bed ) . room also 18th 23rd floor view city ( although Empire State building block another building ) . hotel locate mostly residential area ( Murray Hill ) not hotel immediately adjacent , fairly quiet . however , close subway station Grand Central , 10 min . walk , not seem bad walk back hotel already walk around day ! course always catch cab avoid walk , cheap walking afford see city anyways ! travel city large number people family , would highly recommend check Eastgate Tower . 
 Jul 17 2008 	 Ouch ! 	 let say good thing first : spacious room , attentive bellman , great valet parking , location close enough Grand Central subway . okay part not like write stay start complete disaster . arrive 3 pm check - in time hotel state . tell would 20 minute room ready . bellman take luggage room go sit outside . check back 25 -30 minute later tell room still not ready . front desk person ask housekeeping call do . explain previous party stay late checkout ... sure suffer though ... check back bit 4 pm sit outside table chair next abandon restaurant occupy hotel building . went ask , front desk person still not hear room . call housekeeping say not know do front desk send bellman check . bellman see point wait 4:30 went give okay . receive key - card head room . arrive room find date fairly clean spacious nice city view ... room 17 G. however , even though book & quot ; two queen bed another queen bed suite & quot ; , get & quot ; two queen bed two twin bed suite . & quot ; even Expedia call we verify would get not end . front desk explain guarantee room type even though eastgate reservation person guarantee Expedia . portable twin bed bring one sleep living room . it point note air conditioning twin bed room work , place another call front desk say would send maintenance . arrive within half - hour look a / c unit . determined broken condenser say entire unit would replace new one . short later return massive unit begin replacement . unable unpack room scene major construction ! 30 minute later determine new unit also bad decide try one unit . the dinner hour upon we starve ... idea would keep room partially un - airconditioned 90 degree outside . wait another 15 minute , go front desk discuss general suckiness visit thus far speak manager . arrive name believe Donna . nice helpful . say willing move we another similar suite ( 2 queen , 2 twin ) 13th floor smoking floor . not thrilled . ask we come see smell feel people not smoke much anymore . go nice smell much up - to - date kitchen appliance . at point , cell phone rang ... wife inform new a / c unit work , go Donna manager confirm . work great ! unfortunately 7 pm 4 hour schedule check - in . unpack , get eat proceed late evening kid antsy cranky now . thing seem progress ... least lay upon uncomfortable squeaky twin bed lay upon since childhood . fortunately day event tired sleep well . the next morning , shower toss towel floor bathroom . return theatre matinee around 6 pm , ready shower go dinner nearby restaurant . shower put hold one single towel room ! , course , call front desk . say would tell housekeeping.30 minute later , towel , call . say would right up . another 30 minute pass reach phone , towel arrive ... 3 ... 6 people . ask house keep person tell run towel . weird . ton extra a / c unit lack towel ? well , we skip shower go front desk way dinner . tell silly towel situation promise towel . when return dinner , stack towel bathroom extra big stack living room . guess buy ? ? ? anyway , remain three day quiet go smoothly . 2 4 night / day fine .. 50 % okay visit cost nearly $ 2k ? sure yet .... 
 Jul 12 2008 	 BIg room 	 stay 5 day whole stay pleasure . staff friendly allow book early ( 11.30am ) . 2 person studio 13th floor , room large clean good size bed , small kitchen small clean bathroom . good base see New York . ' really bad word say hotel reviewer say , ' money hotel Time Square , good alternative . 
 Jul 10 2008 	 bit dissapointed ! 	 top floor - 25E.It 's large & quot ; suite & quot ; - queen sized bed - large room ensuite bath / shower & amp ; toilet . there kitchenette main room , sofa bed make quite comfortable double bed . the hotel show age ! carpet general decor grubby . ( 4th.to 8th . July ) restaurant close renovation . big problem we intend eat anyway . locate East 39th Street , location quite good . maybe 15 minute walk Time Square . Accommodation NY ridiculously expensive - pay 4 star price 2 star accommodation . 
 Jul 4 2008 	 Enjoyable Place Stay 	 stay eastgate tower 7 night good expierance . location : 5 minute walk UN Embassy , 10 minute Grand Central Station 20 - 25 minute walk Time Square . find place need go start Time Square not want walk day take taxi around $ 8 ( include tip ) take one many bus drive buy , cost $ 2 ride . room : furnishing basic everything clean tidy . not really use kitchen cook due New Yorkers say & quot ; cook 36,000 restaurant & quot ; also work similar price eat eat . light sleeper like warn summer air con loud even switch still hear everyone else ( pair ear plugs sort problem ) .staff : really friendly helpful . overall would say anyone money get hotel close Time Square , however really good alternative . 
 Jun 29 2008 	 GREAT ! 	 get back 3 night stay . shop around quite find hotel within budget appear clean . perfect place ! room spotless . sure , furniture little outdated , care , clean ! travel 13 year old son jr . suite enough room . bellman bring bag immediately ask need sofa bed make evening . within 5 minute doorbell rang ( son get big kick fact hotel doorbell ) housekeeping arrive bed linen . entire staff , bellman front desk maid friendly helpful . make we feel like stay 5 star hotel . great little neighborhood close enough walk thing , yet far enough away little quiet ( quiet possible NYC ) . would definitely stay would recommend anyone . 
 Jun 29 2008 	 BRILLIANT choice ! 	 stay 3 night Eastgate Tower 2nd June 08 . love . good location , safe , even walk evening . around corner Grand Central Station ! stay studio . ok funiture little dated room spotless clean towel , toiletry coffee replace soon use . great little kitchen , table etc . regret ask high floor . 7th well view high . reception staff helpful welcoming . gladly help we information require . use internet lobby . would recommend anyone would use next time . 
 Jun 27 2008 	 spacious wear 	 stay studio 3 night work day $ 300 night . location Midtown close Grand Central Terminal , close subway station 6 - 9 minute depend subway entrance . UN block away , many restaruant small market nearby . Eastgate Tower 25 story tower 5 unit floor . lobby cramp , staff courteous , able get nonsmoking room previously request . elevator small , stay , wait elevator serious problem . we stay unit upper half tower unit view high rise next door 20 - 25 foot away , view . first thing notice unit spacious worn . except bathroom kitchen , relatively large unit . however , place seriously need new paint job inside , new carpeting , new vinyl kitchen , new tile bathroom new furnishing . also unit use sound proof 3 elevator center , also use new quieter air conditioning unit . water pressure good , hot water hot , air conditioning kitchen appliance work . bug , strong pesticide odor kitchen cabinet . room clean everyday , eye could easily see . example inside refrigerator relatively clean , thick layer dust top refrigerator . towel rack . carpet dark likely hide lot dirt , dare look bed . pro : spacious , good water pressure , kitchen appliance , relatively safe neighborhood . con : visibly worn interior , bed sag middle , noisy elevator air conditioner . be worth money ? depend get $ 300 night midtown June . 's likely toss . 
 Jun 25 2008 	 great find would definately go back 	 great hotel stay New York . room spacious , unusual one less expensive hotel New York . room clean walk closet ! ! kitchen include fridge handy hot ny weather , not use cook . location good , 15 minute walk Times Square 5 minute Grand Central subway station . staff friendly helpful . 
 Jun 23 2008 	 Nice Hotel 	 Hotel really good location East side Manhattan . I rent small studio enough 2 adult . really great thing kitchen microwave huge refrigerator . for price ( consider Manhattan ) recommend hotel . it little noisy ( air condition subway ) , stay third floor . my friend 20 noisy . 
 Jun 21 2008 	 Old Nasty 	 review hotel 39th street . staff nice service great . thing problem room . room old furniture 80 's stove 60 's ...... seriously . not renovation since 80 's sure . would recommend hotel . location not great either . price , be well stay somewhere else ! 
 Jun 21 2008 	 Loved Eastgate Tower 	 stay 4 night . take $ 50 cab ride JFK since night & amp ; not know go . request , get room upper floor , quiet corner . window face adjacent classy condo building . not mind , quiet ! junior suite huge ! king bed , 3 closet , sofa , chair , desk , bureau , full kitchen , full bath tub . cousin Queens say , & quot ; big Manhattan apartment & quot ; . several local grocery within block pick supply breakfast room . report burn light bulb broken coffee maker , replace housekeeping immediately . king size bed comfy entire unit clean . happy find toiletry hair dryer provide bath . neighborhood feel friendly calm , even night , yet easy 10 min walk Grand Central terminal . staff friendly helpful . suited need , definitely recommend . 
 Jun 16 2008 	 Excellent Location 	 Eastgate Tower plush , effective . double suite , two queen bed one room , twin bed second bedroom . two bathroom , nice surprise . six we stay week perfect we . run around , family room nice unwind jet dinner . kitchen small , ? ton takeout place neighborhood couple night b / c exhausted take site . close Grand Central Terminal bus route take anywhere ! highly recommend place . 
 Jun 12 2008 	 excellent stay - peaceful yet central location 	 fouth trip New York favorite hotel long shoot . ' ve stay expensive place - place perfect . studio 21st floor fantastic view skyscraper , coffee maker , coffee & amp ; fridge really great perk . nice relaxing morning coffee room hit town . clean quiet nice leafy nieghborhood lot restaurant nearby Grand central quick stroll away . definately stay ! 
 Jun 3 2008 	 Eastgate -- Perfect fit Families ! ! 	 select Eastgate Tower & quot ; home & quot ; 7 night solely base review Tripadvisor.com , pleasantly suprise choice say thank previously post thorough review help selection . family 's first visit NYC . moment step front door Eastgate Tower May 24th depart May 31st , honor guest . hotel desk employee friendly , first welcome we bring smile continue throughout week . doorman ( although would rather call lobby information specialist ) give awesome suggestion ride subway eat . housekeeping staff tremendous , room immaculately clean daily bais . pure white clean towel daily basis . day present fresh supply shampoo , conditioner , mouthwash , body wash . receive weekly rate 1 bedroom apartment www.affinia.com . check approx 9 travel website pricing since stay complete 7 night receive nice weekly discount directly affinia website ( www.affinia.com ) . price depend time year visit , since prior June , rate awesome . room detail : room 22b ( 22nd floor , face 3rd avenue ) . enter large dining area large round eat table 4 chair , living area couch ( open queen bed ) 1 comfy chair , large television remote , desk chair , huge window good view ! complete kitchen dishwasher , full fridge , compete oven , microwave , toaster , dishware . plenty cabinet . sizable bedroom 2 queen bed soft pillow comfy pillow top mattress , television remote , floor lamp , armoire 3 drawer storage . also love 2 bathroom , although one bath / shower . closet space know ! closet shelves storage hallway also one shelving bathroom . also closet kitchen iron board iron . bathroom three medicine cabinet open storage . lot storage , sure ! far & quot ; safe & quot ; valuable , take item safety deposit room sign receive key week . one allow room loading item remove item . secure operation . & quot ; fancy & quot ; ... . comfy .... yes ! clean ... & quot ; YES & quot ; ! quiet ... & quot ; YES & quot ; ! never hear guest hall wall . noise heard street , horn - honk siren . sure , be decorate simple manner date , space comfortability give family stretch breathe , immeasurable . location : wonderful ! Grand Central station 10 minute walk catch subway anywhere . neighborhood quiet , safe , retreat away craziness Times Square . choose walk place family instead take subway want see New York ground along way . take we 20 minute walk Times Square , stop cupcake along way great place call & quot ; Crumbs , & quot ; across street Bryant Park 42nd Street . side note : bathroom Bryant Park incredible . park bathroom like ' ve never see ! cherry wood , fresh flower , clean attendant duty , marble ... Eastgate Tower come highly recommend family travel 2 child approx . every six month stay hotel , cabin , apartment , relative home ( yike ) , motel , cottage , private rental , hotel suite . prepared practical , comfortable , convenient , non extravagant hotel provide lifetime wonderful memory New York City ! 
 Jun 2 2008 	 LOCATION LOCATION LOCATION ! ! ! ! ! ! ! 	 return today four night stay . would recommend hotel heartbeat . concierge front desk staff accomodate helpful . many restaurant ( mcdonald , dunkin donut , pub style restaurant , high end restaurant ) within short walking distance . studio include small microwave , small fridge freezer , coffee maker coffee .... small stovetop . room good size , two double bed , load closet space , decent sized bathroom . room clean well supply clean towel / shampoo etc . location excellent , murray hill . truly not single complaint hotel ! 
 may 22 2008 	 Awesome Location Manhattan 	 Eastgate Tower 10 minute walk Grand Central get everywhere city . hotel surround kind restaurant , delis , convenience store . $ $ $ , may find well deal Manhattan . 
 may 16 2008 	 nothing fancy perfect see city 	 take wife New York suprise birthday weekend April . concern get room Manhattan relatively great price would clean , way place spotless inside . check : lobby small nicely decorate . arrive hotel 10 check 3 . front desk bell staff helpful . store bag hit town give we transportation tip get around . we get back check 8 night , everyone friendly efficient . room : book studio suite exactly need . large normal hotel room anywhere else country small kitchenette table four chair . , clean . furniture bathroom little outdated , care . room sleep , shower , etc . . spend money save stay . noise problem window close . get around : really easy time get around . alot walk mostly choice . grand central station 8 - 10 minute walk , course bagel shop starbuck way . purchase $ 7.50 one day fun pass subway well worth . keep simple , stay green line within reasonable walk distance major site shopping manhattan . all , want clean , convenient , roomy place stay not want pay Hyatt , good place . happy choice . 
 May 7 2008 	 Great Deal ! 	 book two junior suite Princeline . arrive hotel reservation due difficulty system Princline 's . therefore , upgrade we executive suite . huge . two bedroom , two bed , two bath , full living room , dining room full kitchen . incredible amount closet space . furnish rather date , room clean . would definitely stay . 5 block subway ( Grand Central Station ) hike day shop load package , bad . also enjoy neighbor , safe good restaurant . around good experience . 
 May 5 2008 	 happy Eastgate 	 stay April 27 29 , happy choice make . upgrade we two bedroom suite , surprised size room , read review tripadvisor book kind idea , even still surprised experience NYC hotel past . two bedroom suite become useful us young kid want run around especially time go rainng time . walk timesqure 10 minute ( wish could walk rain time . ) many restaurant nearby . happy choice make back return NYC . thank upgrade . 
 May 4 2008 	 depend point view 	 think review could depend point view . price reasonable ..... manhattan island , price could expect more . we stay last part honeymoon round world trip try get good value money remain part budget . it far reasonably price hotel district , staff could helpful location within easy walk would want see visit , walk everywhere ! ( although would also recommend city bus tour enable cram necessary sightseeing whenever time limit exist . on minus side , hotel room , basic warm , would expect find 2 star holiday Crete instance . air conditionng could not open window noise 24hours day . would go back ... yes would still feel rip price . 
 Apr 28 2008 	 Great Value 	 choose stay Eastgate tower one hotel could get $ 200 night . well money spend ! luckily give early check arrive red eye flight . room clean , spacious quiet . the hotel situate quiet area , 10 minute walk Grand central station . good station near easy connect line . plenty restaurant nearby also supermarket self catering . as first time visitor NY , til late every night feel totally safe walk back night . yes room little outdate soon refurbish price goes ultimately care little colour wall ' m asleep ! definitely recommend hotel anyone . 
 Apr 25 2008 	 will never stay anywhere else ! 	 husband , 4 yr old stay Eastgate past weekend , hotel recommend friend . last trip NYC stay Paramount , expensive Eastgate . room Paramount small one person move room , other sit bed would free path . imagine build room around bed , way get there . so imagine delight walk room Eastgate find spaciousness , kitchenette ( include stove , oven , fridge , toaster , coffeemaker coffee tea , cupboard stock dish , pan , etc , normal sized bathroom , two huge closet , huge comfy bed , table chair , tv , . place could stay week need to . the staff friendly helpful . location good , quieter neighborhood . certainly mind extra five minute walk exchange excellent room price ! will never stay anywhere else . 
 Apr 24 2008 	 Eastgate Tower Gem 	 husband spend week New York April 2007.it first trip . tell New York room small , case EASTGATE TOWER . hugesuite , big bed , sofa , dining table , kitchenette , decent bathroom . price great . hotel new , clean everything 100 % we . want go back soon . the location fantastic . good easy walk Time Square lot great shopping even close , restaurant food shop close by . the staff helpful , friendly . find fault hotel all . we travel extensively many country , include USA , Australia Europe learn opulence always guarantee good stay hotel . really bad experience high class , expensive hotel , Eastgate Tower charming , problem , comfortable clean accomodation . impressed 
 Apr 22 2008 	 Brilliant 	 hotel 1st choice , however glad one go . location ideal , slightly 15 min walk Grand Central Station beyond . hotel clean , fridge , cooker , microwave etc SPACIOUS - something normally get hotel New York . floor could re - deceration new door fit apart brilliant . people really friendly , could not enough we . city amazing sure whether go , not hesitate one good holiday life , ok relax brilliant many way . make sure go see show - see Hairspray amazing . feel safe time , even 11 pm night . we deffinatly go back New York hopefully back hotel . 
 Apr 8 2008 	 Best keep secret east side ! 	 bit reluctant stay east side NYC man become enlighten .... not know ever stay Times Square ! Eastgate Tower originally build early 1970 's high rise apartment build partial hotel service . explain size room kitchenette . family ( 2 adult 2 teen ) 1 bedroom suite , equip full kitchen ( include dishwasher ) one half bath .. neighborhood ( Murray Hill ) safe residential several grocery store vicinity . , suite not posh like would find W Times Square clean , homey , good ... away crowded insanity Times Square . oh yeah ... almost forgot ... $ 200 change night ! easy access theater district ( anywhere else matter ) via Grand Central Station , 5 minute walk hotel . simply walk ( 20 minute Time Square , 15 Herald Square ) absolutely stay ... . 
 Apr 3 2008 	 Disappointed Affinia - Eastgate Tower 	 majority staff , especially day shift helpful really try professional assist we . request make reservation want two bed room , room non - smoking room . neither request happen . inquire could another room , inform we full . even call hotel arrival , promise we would problem get two bed , happen . tell could roll - away cot . since mattress cot bed horrible , request mattress cover . three attempt , bed receive cover , cot . try one time , tell bed cover . could seem get understand cot receive mattress cover . give frustration . also call pillow blanket . take two call receive . the front desk evening forgetful seem really care we . I sad experience overall indifference night staff , especially since stay Affinia property Europe happy level service . I never stay Affinia hotel . apparant hotel staff care guest , Affinia slip quality . 
 Apr 3 2008 	 large room ! ! 	 two friend stay night end March 2008 . review note , room quite large ( see photo ) . get upgrade many other mention one bedroom suite sufficient three girlfriend . the room hotel show wear spotlessly clean . staff pleasant helpful . previously mention , lobby small affect enjoyment hotel . notice one computer workstation lobby believe require fee . hotel offer room high speed internet access $ 9.95 24 hour ( decline purchase ) . wireless , several ( weak ) unsecured connection area use daily internet fix . prepare frequent drop connection . I would stay would definitely recommend hotel other . 
 Apr 1 2008 	 Great Hotel budget 	 great Budget Hotel , true , grand look , room clean , staff friendly , perfectly situated . walk Times Square 15 minute , there s subway stop around corner well . NYC amazing city great place stay , girlfriend 3 night , look well . definately recommend . 
 Mar 30 2008 	 highly recommend place ! 	 five we ( two adult , two child one toddler ) stay junior suite . one queen bed queen size sofa bed , comfortable room clean spacious . front desk , bellboy , housekeeping - service friendly well - attend . we arrive 2 pm front desk nice let we check - in room right away . get room 20th floor view quite good . hotel locate near Grand central quiet night due residential neighborhood . grocery shopping , try D'acosta 37th 38th 3rd . go Food Emporium 32nd 3rd , D'acosta much close look good Food Emporium . I think bargain stay hotel $ 245 per night ( travelocity ) compare unreasonably expensive hotel stay past Paramount Marriott Courtyard . highly recommend Eastgate Tower short long stay . 's priceless friendly staff stay New York . 
 Mar 28 2008 	 great place stay ! 	 return fantastic stay hotel . start finish complaint hotel worth note . sure , could bit freshen - up lift bit slow size suite far surpass expectation New York 's infamous tiny room . magical view window 22c Manhattan skyline include bit Empire State Building . staff cleanliness faultless - the staff oblige loan we umbrella mobile phone charger ( old style US plug room ) .The location perfect we close GCS far enough away madness Times Square . locality heaving bar small restaurant . breakfast recommend Sarge 's Frontier 3rd dinner nearby Patsy 's pizzeria also 3rd . Tony 's sushi around corner 2nd fab . two note caution . Margarita Murphy 's bar 3rd near hotel leave bad taste mouth St. Patrick 's Day overcharge rudeness ( 15 buck 2 beer tip ! ! ! ) pass door remain 6 night stay . also italian restaurant Il Fagioli ( think ) hotel recommend restaurant close not great rude staff . New York rudeness myth , 's fast town people rude everywhere . last tip - Coney Island - do ! half hour subway Metrocard 's toal nostalgia trip ride faint - hearted . even Wonder Wheel kick . can not wait next trip book Eastgate recommend friend . 
 Mar 19 2008 	 basic NY hotel 	 get back spend 4 night Eastgate Towers . 2 double bed room comfy . room quite large basic kitchenette area free coffee tea provide we every day . clean even wash we suprise ; shame do not vacuum bed though . although room clean every day be not spotless would expect suite hotel . staff friendly helpful . find location excellent , Grand Central 10 min walk . barely spend time room fulfil need adequately . 
 Mar 14 2008 	 Spot 	 prepared shock . this place use apartment block size room reflect , room size first flat buy , room would ever need . the room smoker room past non smoker smell never go away , quick spray perfume smell forget . the reception area staff helpful , there s free safety deposit box available room will cash traveller cheque ( $ 100 day ) .Outside hotel right there s McD 's corner shop , leave corner 3rd will find Frontier Diner , great breakfast little girl love pancake chocolate chip . top place visit , Top Rock , Times Square ( Day Night ) downtown NYC Bus Tour . 
 Mar 11 2008 	 ok great . 	 Eastgate Towers good location , 10 - 15 min walk Times Square , 5 min Chrysler Building , 5 min Empire State etc . seem safe part town . room huge ( much big necessary ! ) smell cigarette not great 2 non - smoker , not bad enough complain . room clean enough although could redecorate modernising . great kitchen , basic provide . pay £ 364 ( taxes inc ) 4 night early March . guess New York , good price expect , worth money comparison place look . would recommend people budget , not expect modern luxury ! 
 Mar 10 2008 	 Eastgate - Thumbs ! 	 wife recently spend 5 night Eastgate Tower Hotel ( March 1 - 6 ) thoroughly enjoy stay . book Junior Suite feel like 1 - bedroom apartment ( kitchenette , spacious sofa area dining table ) - , , affordable rate . important add room impeccably clean . we check within minute give key safety deposit box ( upon request ) . hotel staff courteous efficient . the walk Times Square area 15 minute . like several block east 5th ave . - noticeable difference level traffic noise night . upon return , receive e - mail hotel inquire stay . first class operation way budget - minded traveller . 
 Mar 8 2008 	 Loved Eastgate Tower 	 family return stay 4 night Eastgate Tower Murray Hill fabulous time . LOCATION - Perfect - dine 39th place hotel recommend call Euro Diner - outstanding food reasonable . also , great hot bagel Daniels 39th . get Grand Central - 10 minute take anywhere Manhattan . walk Time Square easy 20 minute walk . HOTEL - roomy clean could not ask . also quiet area , sleep sound . even view window nice , stay high rise hotel see one building roomy hotel ' ve ever stay shocked NYC . since hotel kitchen , order grocery on - line Food Emporium , check hotel see good delivery time would Donna say could dellivere little arrive , amazing . already know would love . check go upstairs find upgrade 2 bedroom suite already food fridge , six year old thought great still tell people room come food . enjoy make breakfast cold drink need . child , nice flexibility kitchen one television definate plus . the time NYC go quickly , lot see even subway plan alot walking , regret not double decker bus tour , want last day trip due heavy snowfall , run . top Rock amazing - go right sunset able get great photo . would definately stay Eastgate Tower ! 
 Feb 28 2008 	 great place stay 	 wife stay couple time favorite . & quot ; small & quot ; suite really roomy , large one huge . get one large one , book small one last trip - guess available give we . square footage price - even small suite - outstanding NYC . decent fitness center , okay business center lobby . room clean comfortable . staff friendly helpful . location excellent ( close Grand central station ) . dollar dollar not know well hotel city , go lot since 's home town ( not live anymore ) . 
 Feb 25 2008 	 eastgate 	 eastgate tower hotel great location . 10 min walk grand central station . stay junior suite spacious . room quite basic well keep clean daily . get great deal great budgeting want accomodation manhattan . close UN building also , would recommend tour UN building . also , bus come go three NY airport arrive leave east 41st street close hotel . bus cost around $ 15 one way take roughly hour . the hotel 's restaurant close stay due refurbishment plenty place eat nearby . 
 Feb 13 2008 	 Super hotel brilliant location 	 ( 3 guy ) satye Eastgate last weekend 3 night . book one bedroom suite specify need 3 bed . meet Front desk Donna ( Angel ) , upgrade we two bedroom suite . , like staff , friendly helpful , really make stay much enjoyable . room huge . two bedroom , two bathroom , huge living room fully equip kitchen ( whole thing big apartment dublin ... embarrassingly enough ) . location perfect . fly Continental Newark Newark airport bus leave 2 block away Eastgate . 's ideal everything Manhattan . ' m head back NYC April definitely back Eastgate . 
