great 	 2 day return another 7 . location could not convenient 's 5 minute walk Gloucester Street tube station Picadilly , Circle , District line . good , reasonable restaurant nearby grocery store Gloucester Cromwell . staff nice helpful . breakfast great . call continental , include egg , bacon sausage , baked bean , toast , sweet roll , cheese , meat , juice , etc . thing miss fresh fruit . stay two different room , quite nice . really like refrigerator . two non - smoking floor request ahead . not try wifi computer internet access lobby , 1 GBP 20 minute . guess like crisp sheet firm bed find everything comfortable clean . 
 Jan 5 2008 	 Lesson Learned - never 	 friend stay Park International Hotel two night celebrate new year London . pay around 250 pound two night . I must agree reviewer location convenient nice neighborhood . be two block Gloucester Road tube station several place eat grocery store Tesco express nearby . however , several issues:1 . check - in got room find room ( family room two full sized bed ) really stuffy . open window try turn a / c ( lower heat ) room remain stuffy two night . a / c not really let cold air poor circulation room open window wide cool one person sleep right next window.2 . incredibly loud ( mean REALLY loud ) rumble noise come bathroom ' m pretty sure come water pipe ( perhaps 's old building ) . noise loud disturb call downstairs helpful man came pretty much tell we hear thing merely vent bathroom . ( DUDE deaf ? ) make obvious could care less . noise last night make impossible sleep we ( exception one friend 's really heavy sleeper sleep anywhere ) 3 . get back room find clean service employee not change sheet , simply make bed not replace towel ( even one place bathtub instruct want replace ) , simply fold nicely place back towel rack . eww.4 . employee whole not seem want work rude . example , downstairs breakfast ( include book hotel 's website ) , one employee repeatedly bump one friend without apologize say single phrase like & quot ; excuse & quot ; . check mention television hairdryer not work ( want charge something never work first place ) even turn switch ( power switch everything room ) woman pretty much say stupid not know use . think fair hotel 3 star hotel . room small , believe 's Europe general . breakfast not great , good enough keep we get hungry lunch . the hotel old everything room old . ' m sure loud pipe hear throughout rest hotel ( doubt ) be fortunate enough get room without noise not deal employee , hotel work place crash . definitely stay would not recommend anyone else , , make sure 's brief stay . 
 Jan 4 2008 	 good price 	 3 minute walk Gloucester stop . lobby nice looking . room adequate budget hotel . definitely acceptable especially price . good be tight budget not want stay dump . 
 Dec 24 2007 	 great hotel ignorant staff 	 stay girlfriend Park international hotel 4 night 19th December 23th . , find hotel ok , bad , extraordinary either . location hotel superb . 2min walk Gloucester Road underground station make easy reach part London . also quite large amount restaurant nearby , find positive . room rather small , since spend much time hotel room , matter . apart minor rip wallpaper , effectively hide behind bed , bad paint job bathroom door , room good . room locate 5th floor , mean get far away road , good since morning traffic could rather intense . breakfast serve expectation . yogurt , cereal , toast , croissant etc . also small section hot food ( scramble egg , bacon etc . ) .The staff however , quite ignorant , especially receptionist . arrive , tell we would pre - authorize £ 40 & quot ; extras & quot ; explanation . came later ask previous pre - authorization , make first night , would really listen , eventually , concierge come reception tell old reservation money , would disappear day next one make . check - out , receptionist working , course problem time well . since pre - authorization check - in still active , could not make new one , since £ 340 already block . tell could call bank reverse old block right away , would not listen , try different way get transaction work . get rather annoying , finally get work ( least say ) , could leave . all , hotel good , staff be not . 
 Dec 8 2007 	 absolutely Appalling 	 book room son arrive hotel , poor english speak receptionist refuse let stay use credit card booking instead son 's . heated argument let stay ground would keep passport duration stay . check , threaten withold passport ground sign authorisation credit card . insist send email credit card information . say email receive . lengthy unplesant argument almost involve police , finally agree return passport delete credit card information system . bad hotel service ever experience . 
 Dec 5 2007 	 2 night ` ` Hell '' 3 night 's price ` ` heaven '' 	 stay Park International Hotel week , big mistake , first , ethernity check , one receptionist around 6 - 7pm two computer , one operate secound one , come secound thing , ask superior king room good view , instead get tiny double room back side almost view . italian receptionist guy nice , apologize inconviniance , promise roommove free charge course , high floor prefer view , till point ok , night come turn point . when go bathroom take shower see couple COCKROACHES run around floor , shock , finish panic call reception , something , unable anything fully book ask bring bugkiller spray kill tiny pest , turn , not ! ! ! ! ! ! decide get company book anodther room rest stay elsewhere nearby , go bar drink , service fine , offer range drink small , like half wine & quot ; Shiraz & quot ; really much english beer anyway not good sign . bit late go sleep , soon find quite cold room , check radiator cold , try turn without use . call concierge , get maintanance fix freeze , say without kind suprise turn AC , call something money 's still cold room agree extra heater , problem run ( guess first one sort problem ) . next morning afther breakfast try talk manager thing , none , tell come back short , go conference , come back around 8 - 9pm was't manager available ... upstairs new topfloor room realize , 's cold , heating work aswell , call reception get one radiatore thistime cancel rest stay , time luck get radiator , sweet woman voice say will charge stupid policy 's . go bar , anodther taste beverage start chat anodther guest , turn 's heating 's room neither , drink decide go one last sleep , first want drop couple line claim book , unfortunately turn 's thing like . bit long chat night concierge , eastern european country , couple minute figure , bug , heating work since long , tell management order replacement part fix , could not tell fix , said & quot ; thank & quot ; honest information go sleep check forever ask company ever book room anymore . 
 Nov 28 2007 	 ok ish two night . 	 spend two night . Birthday Celebration Husbands 60th . ask low Floor smoker Husband Disabled . good , Bathroom good old Bath well bath would able get crane . ! Shaver point break ask calmly could fix . Hubby want grow beard ! ! difficult ask shaver plug ! end ! ! outlet basin need repair . breakfast poor buffet much service , rather unfriendly staff . bar expensive catch charge we . close 11 pm ! ! Time Bed ! ! ! ! can not even relax bar late afternoon cup tea . ! ! ! anyway glad home . 
 Oct 30 2007 	 great find ...... 	 reservation seven night come know hotel search online reading review . first experience three star Londone UK hotel usually look four star London expensive settle three star . home work hotel know area . pleasantly surprised hotel . staff friendly helpful . 77 year old time invisible people case . room small ( big word ) tiny . clean , workable coffee treay , refrigerator , room safe . window overlook court ... nice view . shower problem . modern great difficulty get right mix hot cold water . water hot . remaind problem throughout week even though try help I . I make good . good breakfeast plenty eat choose . & quot ; full english breakfeast & quot ; disappointment either . location great . transportation door , waitrose food store ( must ) blood away . Itialian Resturant name & quot ; ASK & quot ; another must . go bitter pint beer . 65 check box office show special discount ticket purchase one hour showtime . always get Oyster Pass , great . check carefully use advantage many way . get oyster pass bus , underground train . good deal . need know type want go use place go . easy use avoid longlong line . go Centeral London area 1 2 one day save money . like travel bus see london way . enjoy London ........... Mark 
 Oct 26 2007 	 great location quality price ! 	 choose hotel base review site , disappointed . ' m young female travel alone , place feel safe big priority . thing complain room key not work first check , fix problem within hour , spend time wander Kensington . staff helpful friendly . breakfast not bad , typical US hotel breakfast , enjoyable convenient . location amazing . 2 minute walk Gloucester Station , Circle Line get attraction London 10 - 15 minute . 15 minute walk Kensington Palace Hyde Park . single room bit small , expect , London , really not issue since use sleep . great little fridge safe room . find hotel good condition . next time ' m London stay hotel , would recommend anyone planning trip . store luggage check - in time free , check - out £ 2 fee per bag . want taxi Train Station / airport , suggest call taxi company . ask arrange taxi , actually call chauffeur service use , good service , trip Paddington twice expensive taxi . £ 15 versus £ 7 . be come Gatwick Victoria station , taxi hotel £ 10 . 
 Oct 13 2007 	 really rate hotel 	 hotel not luxury hotel stay pleasant one . staff extremely friendly helpful can not fault . stay third floor room clean perfect purpose . breakfast also good though maybe good choice variety bread , cereal cook food . location next underground also good . want frill hotel would highly recommend hotel . 
 Oct 11 2007 	 Nice hotel great location good value ! 	 find Park International fine hotel stay - yes , room large not expect anything different consider rather good price pay room - London ! staff friendly interacted location hard beat - right beside Underground heart South Kensington museum district - enjoy 5 minute walk natural history Science museum ! : ) 
 Oct 5 2007 	 really worth . 	 book Hotwire list 3 star . would give 2 good . location great breakfast good , staff also nice . room bad . bathroom old crack mold shower . bed awful . furnishing old abuse . nothing match room . may Hotwire room . need place stay real quick breakfast may worth . stay London long period time place . 
 Sep 20 2007 	 Great Location -- - Good Front Desk Service 	 three mid thirty girl week stay London triple . front desk excellent arrange car service we Waterloo station early morning catch chunnel train Paris . also arrange car service Heathrow return US -- - also early morning . safe hotel , could use spruce , fine be sleep . clean room , quiet floor . excellent proximity shopping Harrods , view site jump train . good restaurant next two grocery store / drug store . late night pub ( past eleven pm ) find , , excellent price pay . breakfast continental trick . also , coin operate internet access great get rid change ! would stay alone friend . 
 Sep 18 2007 	 good experience 	 find review helpful location paramount good vascation we . nothing good say hotel . location great- really 2 minute tube station . low price cafe nearby , grocery store . small fridge room also . not get breakfast can not comment . elevator fantastic european standard . room bath large enough- mean luxury hotel .. people complain amenities- give break- really need new shampoo soap everyday ? take home eventually throw away . staff good , room clean , linen nice . 4th floor room back . anyway , would recommend hotel - 's great value . 
 Aug 19 2007 	 Nice Stay 	 single woman travel young teen priority : safe , clean , convenient , low price . hotel meet . stay total 4 night . staff also friendly helpful . much breakfast people toast juice morning . many selection well . everything look fresh . luxury hotel price reflect . plan go want place rest night , would hesitate recommend Park . would stay . 
 Aug 16 2007 	 comfortable stay - problem 	 stay wife couple night early July . upon read recent negative review hotel , wonder stay place . we place 2nd floor room , face back king bed . find room clean comfortable ample room . travel 2 hard bike case ample room store without get way . amenetie room adequate ( coffee maker , in - room safe , enough towel soap ) . Decor not exactly hip grand scheme thing , could care less decor . the include breakfast decent enough . find restaurant staff friendly efficient . front desk staff businesslike professional ( translation - friendliest people ' ve meet pleasant enough ) .terrific location - other mention , quick walk Gloucester Road tube station . 's huge 24hr Sainsbury ( grocery store ) across street well super cheap internet cafe ( computerless like we ) .We would stay without hesitation , especially pay ( £ 100 / night include breakfast ) . good value London . 
 Jul 31 2007 	 quite nice 	 stay triple room three night . room nice clean . bathroom also OK.Breakfast good serve nice room . Gloucester Road tube station minute walk hotel . 
 Jul 28 2007 	 bad 	 stay Park International one night quad room ( 2 adult & amp ; 2 child ) . location great , staff friendly , nice lobby , reasonable price . room face Cromwell Road & amp ; noise well muffle double window . however , room find quite run shabby . mattress obviously old , ragged , stained , lumpy , literally sleep wink uncomfortable . hard , lumpy pillow . 
 Jul 27 2007 	 Disappointing would not recommend 	 stay 5th ( top ) floor start double room . room small barely room put suitcase floor . desk chair fit desk , put top tv get way . shower half size telephone booth shelf soap / shampoo . also , drain well stand water whole time . carpet tired bathroom floor look cheap like buy flea market . fact , floor around toilet sink , color run together not even colorfast plaque bathroom wall list instruction get floor wet . also , replace sink toilet , cut tile wall around 2 area replace cheap slab tile . thought could splurge replace tile especially give size bathroom . on second night , request change king room next morning able move we ( £ 10 extra per night ) . new room also 5th floor quite spacious carpet , bathroom floor furnishing . first night new room return sightseeing discover 3 problem . first , clean significant amount brown residue toilet seat bathroom floor roof leak rain . also , air conditioner leak two tea cup floor catch water . resolve next morning . take 2 day replace burn light bulb bedside lamp . overall , good experience , kicker check make phone call ask much cost use pay phone lobby . tell we 25 penny minute , might well use phone room cost . ask sure usually cost use room phone . repeat 25 penny minute connection charge , like pay phone . check , charge 25 penny per 30 second . refuse adjust charge say not matter tell person check we correct rate post room . consider steal quote price service charge double price ' ve use . also , go front desk morning check , witness another guest change room although hear reason why . on positive side , room clean , AC , fridge , huge tv 's . breakfast ok . 
 Jul 12 2007 	 smoke musty smell want . 	 plus side lobby , location breakfast good . side give we room basement . sure basement room worth budget accomadation . hallway smell strongly smoke room . room basement also smell musty humid . could spend 200 dollar dehumidifier make room much tollerable . sheet clean matress old rough shape . bad hotel room , since 20 be backpack though Europe . will not go back would not recommend place anyone . 
 Jul 11 2007 	 Comfortable stay London 	 sure ask room Cromwell Road . first night room # 207 side hotel next Cromwell Road , noisy . ask change room move # 404 back side hotel . , view interesting ok . much quiet comfortable . staff pleasant breakfast good . good thing hotel location . nice neighborhood close Gloucester Road Tube station . many nice restaurant nearby post office across tube station . short walk Hyde Park feel safe area . would definitely stay Park International . 
 Jul 11 2007 	 great convenient 	 really not care room small Europe care clean well maintain , mine hotel . word would use shabby - old worn look like indoor / outdoor carpet , television barely work , bathroom dingy , ' ve see furniture much well condition yard sale . guess price thought would little update . on plus side , location convenient Gloucester Road metro ( 2 block ) , internet cafe across street , two grocery store , boot ( drug store ) , laundry mat , couple restaurant within block . 's much immediate area not mind walk , get Kensington High Street / Palace 15 minute . feel like safe area walk around single woman travel alone . the morning breakfast good ( cereal , egg , cheese , bacon , yogurt , bread , juice , tea , coffee ) include room rate . conceriege helpful . overall ok next time think would stay area little go . 
 Jul 9 2007 	 helpful staff 	 ' ve back 5 - day stay London , UK . & quot ; trip memory lane & quot ; , live London year back . time take 9 - year old son I . book hotel world reservation online . I must stress rate overall experience average LONDON HOTEL . many people know , London hotel not super standard ... ( often small room bathroom , i.e ) .anyway , hotel friendly helpful staff , especially concierge run errand we ( tip , course ) .We order king room , large doble bed , new fridge ( good size ) , A / C , bathroom shower / tub , widescreen tv , downlight , etc . Seemed newly decorate room 4th floor ( non - smoking ) . wallpaper come smelly bathroom . breakfast something continental / english . internet available downstair . in review ' ve read unfortunate get room basement .... downside , hotel largely trafficate road , mean sleep window open possible , unless ' ve get ear - plug ! ! 150 metre near tube - station ( Gloucester Road ) , Piccadilly line . tube Heathrow stop , make travel easy . harrod museum one two stop away . overall great stay , would definitely go back hotel . warning ; addition price surcharge 17 % original price , mean 5 - night stay cost we nearly 100 pound . 
 Jul 6 2007 	 would stay 	 read several review Tripadvisor make reservation . find service good , polite helpful staff . stay couple night , catch train north stay return . store excess luggage return . upon return trip , large room , still small . AC go provide fan make repair coolest room stay UK ! close several food mart , course Gloucester Rd . tube station big plus . try local Italian across street find Black & amp ; Blue Glocester Rd . go twice ! would stay , clean comfortable . 
 Jul 1 2007 	 get pay 's necessarily bad . 	 London multiple time always choose stay South Kensington , usually Holiday Inn Gloucester Road . across street small hotel , therefore , consider location supurb . trip , accompany girlfriend budget consideration , therefore unwilling spend extra money stay HI . much research reading review , decide Park Int ' l . say , location perfect . right Gloucester Road , 2 block tube . stop District , Circle , Piccadilly line station , absolutely perfect get around tourist sight . waitrose , Tesco , boot , Starbucks within couple block . the hotel , well , eh . bad point . air conditioner cool room nicely ( plus ) however , drip BADLY ( minus ) , much towel place drip sleep soak overnight . fridge work , not exactly cold . decent water , say , soft drink . also electrical outlet . unplug fridge get outlet one point outlet bathroom . outlet behind television not work . shower pleasant surprise , usually terrible 2 * hotel . water pressure good large enough curtain not attack we . bed comfortable . room small . perhaps 120 square foot . checking , allow leave luggage front desk room ready , early afternoon . however , check make pay baggage storage , think absolutely crappy speak volume lack quality establishment . when check , informed front desk air conditioner outlet behind television response extremely snotty & quot ; American ? realize need converter outlet & quot ; ? yes ' m american obviously not say none outlet work naturally converter involve . would never stay , mainly awful service . 
 Jun 28 2007 	 Basic hotel basic need 	 Park International South Kensington basic hotel mixed review . the staff quite cold helpful asked assistance . our quadruple room clean , comfortable standard sized compare european standard ( quite small ) . negative review air conditioning not work , time stay summer , weather hot all . breakfast basic good , variety cereal , pastry , baked bean , bacon , hard boil egg juice . the location excellent term public transport accessibility ( minute away Gloucester Road tube station bus stop ) , safety recreational use ( many restaurant internet cafe across road ) . tube station also Piccadilly line accessible Heathrow airport . to sum hotel , basic hotel basic need . 
 Jun 26 2007 	 Good Value small room 	 place stay London please . pro : -Twin bed available - full breakfast include price - good Location . three block Gloucester Road underground , supermarket , restaurants.-Bus 74 stop across street - Internet Cafe across street - Post office across tube - quiet ( long keep window close ) -safe , clean , pleasant neighborhood - pre - check bag storage free ( 1 pound per bag check - out ) -conciergecon : -creaky floor - no drawer clothesi would stay 
 Jun 17 2007 	 Nice hotel nicely situate 	 stay hotel two day visit relative UK ( family wedding ) . time hotel non - family / non - wedding time . room rather small -- quite clean -- hotel service excellent . hotel locate nice part Kensington -- block near Tube stop . two day alone hotel , return day later husband -- nice surprise await : upgrade ( extra charge ) junior suite , along note & quot ; thanking & quot ; return . unexpected certainly -- part -- ask . definitely plan return Park International Hotel next visit London . 
 Jun 15 2007 	 ok place stay 	 stay Park International 3 day London . accomodation adequate , require cool room sleep , may work . additionally , room ( 3 adult ) pretty small crawling . staff friendly helpful . it near transportation station place eat shop near hotel . not think great value dollar , , current exchange rate , nothing . 
 Jun 14 2007 	 ok budget property 	 tube 2blocks hotel step hotel . arrive alot luggage travel day , DH check we go room ask room number like 58 , say oh ! ! put we basement , back front desk go ! could sound nice young man immediatly set get we different room . end king room decent size . nice big closet space next put luggage . bathroom old overall bad room . king bed though worrisome sit could feel spring think have never get sleep , walk London sleep good every night ! Breakfast ok , come lovely hotel Paris everything pale comparision trip ! restaurant directly across street hotel Gloucester Tube station numerous . enjoy Garfunkles little mall end eat stay ! nice fridge room empty could fill content . view building window open air conditioner work great room , low set 19c cold enough we . location wise may well 's right tube line easy get need go back home evening . 
 Jun 9 2007 	 Good Quality 3 star hotel 	 walk past hotel terrible evening spend hotel enquire booking room reception , give rate booking directly , also get tell good rate available booking online . website offer considerable discount also include free breakfast book website ! , right reception area . arrive early store luggage check time 14h00 room available time - understandable - 09h30 morning . staff friendly helpful direction hotel centrally locate close tube station . go drink bar arrive & quot ; happy hour & quot ; buy one get half price - bonus ! thing would suggest room need bit update furniture fitting , bad 3 star hotel London though . clean tidy , also good breakfast - website say continental breakfast , bacon , boil egg , bean , mushroom - full breakfast continental . get quite busy , room pretty small , try get early ! staff seem happy good spirit greet friendly whenever see we . book website - get good deal www.parkinternationalhotel.com 
 May 29 2007 	 great location easy pocketbook 	 stay Park International Hotel May 22nd May 28th pleasant experience . hotel room small expect Europe price point . room clean , always hot shower , breakfast good . staff helpful friendly . safe neighborhood something consider important female traveler . additionally , hotel short walk tube station three line accessible make easy get around without vehicle . also several pub restaurant close well grocery store . luxury hotel mean , bed comfortable would stay , mainly due location price . 
 May 21 2007 	 not expect drink 11 pm watch price quote exvat ! 	 reception tell get drink 11 pm forget wait forever ! finally give say forget quite happy . also watch price give exclusive vat get shock checkoutphone email ask manager call back still wait . 
 May 20 2007 	 3 room later ... 	 book hotel price location . also bedroom photo hotel website make bedroom look spacious appeal . pay superior room , believe would get . also ask room overlook main road , Cromwell Road . upon arrival , give key tiny , dingy BASEMENT twin room , mean e = we look foot wheel room , noise mean ask change . next room much well . put pic demonstrate virtually daylight , face concrete wall window . the room depress ask another room . time reception staff must sick we , hotel quite happy take money , feel least get room light . on 3rd room , overlook street last , fine poky . heat night stifle , open window , traffic noisy , could hardly sleep . not bad though , hotel 's great location , breakfast provide something everyone . sheet pristine , although hair bathroom . ( Yuk ! ! ) , quite good . not expect space view . 
 May 19 2007 	 Perfect Location 	 check good review tripadviser please 10 night stay hotel . book directly thru hotel website - want king size bed reasonable price - hard find expensive London . negative hotel room little & quot ; shabby & quot ; . furniture bit chip & amp ; wall paper date immaculate & amp ; quiet . breakfast adequate . locate 2 block Gloucester Road tube station 2 block huge Sainsburys supermarket . would stay & amp ; recommend cost - conscious traveler . 
 May 16 2007 	 nice clean 	 pro : clean , hospitable , walk distance tube station , nice lobbycon : really note . would stay next time right price location . came reside dump near Paddington Station . place hence welcome respite . 
 May 4 2007 	 feel like five star hotel 	 dreadful experience another hotel . Kensingston area , daughter stumble upon Park International Hotel chance immediately check in . the beautiful lobby welcome staff reception friendly helpful . several hotel guest linger , tell we much loved hotel ; disappoint . the hotel CLEAN . lobby , hallway ( lovely floral scent ) room impeccable . room spacious , well - equip cozy . bed comfortable room quiet . breakfast morning pleasant experience , even ' room service ' personality : plenty food , great coffee good service . this hotel make stay London wonderful even consider stay elsewhere . 
 Apr 20 2007 	 Great Hotelfriendly staff 	 lovely hotel , great location , friendly staff . clean room nice breakfast . we pay £ 99 night king room free breakfast happy price . there large fridge room well safe . to find hotel , catch tube Gluchester Rd , leave tube station turn leave past Waitrose see hotel road . there flag hotel name visable . its 3 - 4 minute walk . natural history science museum , plus V & amp ; V museum within easy walk distance . for short visit London , excellant choice . 
 Apr 12 2007 	 Nice hotel great location 	 spend 9 night Park International Hotel March . staff pleasant helpful . room clean comfortable . continental breakfast nice . great location , would stay . 
 Apr 3 2007 	 good value London 	 hotel pretty good consider expensive London get . modern hotel decor . bed room 514 uncomfortable room nice . bathroom tub even though small side . typical London though . I would recommend book directly hotel website . friend travel book hotel site go though Travelocity . actually pay $ 3 usd less night go & quot ; free & quot ; breakfast tell would pay 8 GBP ( $ 16 usd ) . friend ! hotel nice location close good restaurant ( ask front desk suggestion ) . 2 minute walk Glouscester tube station . 
 Mar 19 2007 	 Quad room fine 	 return enjoy stay Park International Hotel . family 4 find quad room quite challenge . room small , 2 double bed need . barely fit four 20 & quot ; suitcase ! not spend much time room . would suggest book directly hotel . [ -- -- ] . Breakfast include go 2 pastry shop across street breakfast ... much cheap delicious . area pleasant safe , next Gloucester tube stop . several place choose eat area . Direction Gatwick : south terminal take Gatwick Express train Victoria staion , run every 15 minut . buy ticket train cash credit card . exit train go downstairs Underground . take Circle Distric Gloucester . Follow & quot ; Way & quot ; singn . street corner Gloucester Cromwell road . Turn leave ( cross street ) walk 200 yard west Cromwell Hotel . take 45 minute Gatwick 
 Mar 13 2007 	 good accomendation money 	 recently stay Park International Hotel London 4 day Feb . locate close Gloucester Station piccadily line direct transportation airport . 5 minute walk Cromwell Road hotel . room clean quiet even though main street . notice double window block noise . staff service good . book directly hotel web site morning breakfast include . breakfast consist toast , croissant , boil egg , cheese coldcut , cereal , bean , mushroom , bacon , juice , tea coffee . 's bad save money eat breakfast . nearby Gloucester station market right hotel another market buy drink ready make food . also across station good french bakery call Pauls go time bring cake back room . also room provide tea coffee hot water maker . hotel close National History Museum . fact within walking distance . know go London definitely stay . subway convenient hotel price good . 
 Mar 4 2007 	 brilliant .... 	 regular business traveller look bargain 3 star hotel offer good value money , say one something disappointment . on plus side room well equip probably save grace . refrigerator , hairdryer , trouser press , tea / coffee maker safe make well - equip . perhaps one good equip 3 star hotel ever stay in . however , negative side room small , curtain curtain joke - nowhere near big enough cover window , consequently light stream early hour . battery dead remote , bathroom although contain modern shower cubicle small . shelf space put personal belonging . this hotel also underneath Heathrow flight path , expect busy air traffic early hour . although room not smell damp , pass section ground floor smell awfully musty , must room people refer . reception man dutch student , although ask room ground floor booking request , promptly give ground floor room - subsequently change point out . Breakfast would expect 3 star , process meat , tin fruit etc . quite ok.the hotel reside excellent location , Kensington fashion shop Brompton Road closeby . all though , disappoint Park Hotel , stay much well 3 star accomodation . 
 Feb 28 2007 	 good stay ! 	 stay Park International Presidents Day Weekend , 2007 . big perk great location . within walking distance ( 1.5 block ) tube , natural history V & amp ; museum Harrods . also , Tesco ( convenient mart ) , boot ( pharmacy ) , Waitross ( grocery store ) , several patisserie , pub right near - by - convenient . hotel clean , comfortable service great . small , cramp . anyone be ever stay NYC think nothing size . price right . 
 Feb 19 2007 	 Thumbs - good value money 	 stay hotel one night quite impressed . hotel staff friendly . hotel clean . room bathroom also clean nice decor . Breakfast also include . would definately recommend hotel - good value money ! 
 Feb 16 2007 	 great hotel price ! ! 	 pay 39GBP single ECONOMY . Got renovate room second floor . hotel well keep . room small ( UK Standard ) . new window , completely renovate bathroom new fixture , tile floor , bed ok , small tv least 10 channel . complimentary Breakfast Buffet great . croissant , cheese , ham , yogurt fruit cereal , bacon , bean mushroom complimentary . Buffet tidy constantly replenish . locate 2 block tube Gloucester Road ( Picadilly Line Heathrow ) . lot pub fast food around . Sainsburys Waitrose bock away ( supermarket ) . check - in 2pm , leave bag concierge visit London . would definately reccomend . 
 Feb 9 2007 	 mixed review 	 well say . hotel room ok good bath . small english hotel . front desk people really impossible . early arrival could check even though request month advance . wait 3 pm . try get front desk people provide customer service big job . suck . good value location . could not even get cup coffee breakfast room without pay front . 
 Jan 18 2007 	 poor 	 arrival desk clerk choose answer two telephone call rather deal customer stand front he . I book deluxe single , rather tham economy single , however room could not small ( 302 ) . sink toilet bowl crack . try sleep bathroom fan would go - turn fuse . AC unit emit constant loud dripping noise even though , like form water torture . at 1.30am could stand ask another room . tell spare single room want charge supplement room . much discussion give another room basement level ( 49 ) fine . give room first place ? lie single room ? good point - bed least clean include breakfast ok . 
 Dec 31 2006 	 great location excellent value 	 ' ve stay 3 time past year . first time room street extremely noisy . possible , request room back . second third time back 4th floor extremely quiet . impeccably clean pleasant . safe unnecessarily complicated , figure work fine . bar breakfast fine pleasant . the location perfect . be 2 3 block west Gloucester Road station Piccadilly Line . be jet lag want get hotel sleep , perfect Piccadilly Line one service Heathrow . transfer need be tired can not think straight ! side note , internet cafe across street fast cheap . highly convenient recommend , complement hotel location well . lastly , since come early ( 6 am ) airport , need early check . hotel charge we reasonable fee ( 10 GBP ) guarantee hotel want charge we additional night . 10 GBP great deal versus pay night not use ! 
 Dec 20 2006 	 clean comfortable quiet central hotel 	 Park International , Gloucester Road , South Kensington , London . nice clean room , quite modern new , well decorate . however fridge not work ( heated room cool drink ) , safe not work ( concierge agree change battery never ) shower head crack spray water bathroom . but clean sheet towel , clean floor good maid service . comfortable bed chair ; nice desk work kettle actually work . my room face busy Cromwell Road , thank triple glazing not notice noise . thing wake guest return room ! good location Victoria Albert Science Natural history museam ( well worth visit ! ) breakfast buffet fresh croisant , pastry , cheese , meat , cereal cook breakfast ( 3 pound extra , guard staff ! ) toast possible request . very weak coffee ( need strength time morning ) orange juice . a small bar thank 24 hour news channel skip it . staff friendly helpful , english second language people serve London day . all give hotel 3 5 . good price central London quite close tube . recommend . 
 Nov 5 2006 	 Excellent value location 	 stay hotel previously , room front hotel busy ( noisy ! ) road would suggest book request room front . however , time book triple room rear hotel extremely quiet . room clean comfortable bed . breakfast good , although little limited . excellent location , overall god value money definitely use . 
 Oct 30 2006 	 nice hotel brilliant location 	 family stay hotel one night October 2006.We superior double superior triple room . both room reasonable size spotlessly clean . I think hotel consider getting rid tired look blanket replace duvet minor point . we breakfast Sunday morning , dining room busy staff excellent well organise short wait table . breakfast continental huge choice family ( 3 fussy teenager include ! ! ) happy ! ! location fantastic , 5 minute walk Gloucester Road Tube Station serve several line , make get around London easy . my complaint triple room . website state possible 3 single bed triple room . arrival discover room 2 double bed . speak reception tell hotel triple 3 bed . produce confirmation state 3 bed possibility repeatedly tell misunderstood ! ! tell error website would accept rather irritated receptionist 's rude attitude . despite minor problem enjoy stay would use hotel . 
 Oct 23 2006 	 Great Hotel Location Price 	 recently stay Park International . truly fantastic location , two minute walk tube station ( three different subway line ) . book internet 59 pound double , include breafast . room fine service / staff excellent . 
 Oct 15 2006 	 great hotel price pay 	 price pay expect 5 star hotel trimming get much expect . room small good enough 2 people . stay top floor nice view little english street . stay 1 half week room always clean . credit cleaning staff . shower bit small ( not know overweight person would fir comfortably ) generally clean . small tv room look quite old not go holiday watch tv ! breakfast include package sufficient . good supply cereal , cake , toast fruit keep full well lunchtime . staff wew great helpful . answer question quickly without fuss . great thing hotel though LOCATION ! great location . close shop , supermarket mainly ... Glouster Road Tube station . station connect main attraction around London . get hotel room major attraction within 20 - 30 min know use tube . Hyde Park far walk either . ' ve friend ' ve stay london hotels price say room far superior other stay . highly recommend hotel ! really enjoy stay . 
 Aug 29 2006 	 go Notting Hill Carnival - stay 	 Brillant value money friendly staff reasonable price . stop standard double room ( smoking ) clean , though small . go time become major problem . easy access major shop central london easy access tube Gloucester Road . I would recommend friend place stop short weekend break easy walking distance Notting Hill like go Notting Hill Carnival . 
 Jul 31 2006 	 Good Value 	 although floor creaky carpet need replace , London , great place stay . two block Montana hotel cost less stay booked internet . would absolutely recommend Montana . air conditioning , elevator two people could ride time , great breakfast ... huge bathtub ! could barely turn around shower Montana , luxury ! still & quot ; European & quot ; hotel though still probably standard many Americans would expect amount money cost . ( Milton often book room Priceline.com travel state get pretty good deal .. i.e . Grand Hyatt next Grand Central Station Manhatten $ 99.00- love bargain ! ) .There huge modern highrise Holiday Inn half block away Park International would imagine would close american hotel believe also cost quite bit . Park Hotel perfect budget . 
