money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Aug 18 2009 	 great location 	 Doubletree Times Square perfect location . right across street new pedestrian area Times Square TIX location get discount Broadway ticket . room partial times Square view good condition . room two room room two double bed large pull couch room , good size bathroom small kitchen area sink , microwave , fridge coffee maker . room quiet comfortable nice walk city day . staff helpful especially bellman valet parking car . get hotel chore due traffic city get staff take care rest . parking $ 35.00 day garage across street . parking garage well run . everything seemd cost twice much Florida . price get cheap far away Times Square get choice endless . 
 Aug 18 2009 	 great place staff location ! 	 stay August 13 & amp ; 14 , 2009 . moment greet door security guard , receptionist 3rd floor everyone professional . knock , arrive 11:00 a.m. tell room would ready 1:00 p.m. . come back , 6 year old want rest room ready , keep push back 30 minute . go restaurant , host sit we bring we great , warm cookie water , shortly Diana reception came get we . room ready 2:00 great room , corner , look south Broadway . room clean comfortable . though non - smoking floor ( 13th smoking ) room smell smoke . call say would switch we spray room . stayed turn o.k . highly recommend place . right middle Time Square everyone nice . 
 Aug 18 2009 	 hotel ! 	 return fourth visit New York City 2 1/2 year , third consecutive stay Doubletree Times Square . say enough much enjoy stay . everything hotel suit need perfectly . accomodation : two room suite two double bed .the room large enough comfortably accomodate family four adult . room appear newly renovate , clean , well maintain housekeeping staff . location : hotel ideally locate shopping , dining , especially theater subway access . theater within block hotel subway entrance door around corner . Hotel Staff : staff friendly accomodate find anywhere , general manager . Doris , Yaniv , Daniel , front desk terrific , other . I highly recommend hotel , stay future trip NYC . 
 Aug 17 2009 	 huge room great location free cookie 	 spend 3 night Doubletree Suites Times Square husband 2 kid ( 2 & amp ; 5 . ) book 2 night point pay 1 night AAA rate . got 2 - room king bed suite premium floor ( actually top 43rd floor ) . kid sleep sofa bed actually quite comfy , bed separate room . shared bathroom access room . tremendous amount space NYC & amp ; heart time square location . really enjoy stay everyone sleep great . could not beat pay . check - in Thursday chaos hotel handle well . arrive hotel around 4 pm find lobby full long line check . apparently hotel large group take top / premium floor not expect check 6 pm , not many room available checkin . incentive get we come back later check get room , offer we free upgrade premium floor ( 24th floor believe ) ( versus $ 5 / night upgrade would pre - request ) plus breakfast 4 we night stay . breakfast buffet $ 80 / day 2 adults/2 child real clincher we . take offer check bag dinner able check real ( wait line ) get room ( free cookie ) . hotel offer water , fruit , juice cookie everyone wait lobby room nice they . we 2 reservation give nature stay ( point + pay ) able link together checkin not switch room . create hiccup free breakfast 2nd day , able get adjust record easily . $ 50 coupon towards food beverage get website good reward stay , end use since breakfast cover , not apply tip . would handy not get free breakfast . check Sunday morning not bad hotel give everyone check note checkout suppose hectic late checkout request would honored . run race going leave mean walk 6th avenue get taxi , not bad otherwise . never problem get taxi stay , though head uptown may well walk 6th get taxi since driver go far way turn back north around time square . 
 Aug 16 2009 	 Superb New York hotel great base everything 	 syate mid August wife 3 teenager . hotel Times Sq ( many claim , one right middle ) . entrance street look bit odd security guard . however , reception 3rd floor point onward hotel look like part Hilton group belong . 25th floor , low guest floor . room excellent , bedroom 2 double bed separate lounge double sofa bed . 2 interlink , make huge footprint . room quiet , well equip large . we give free breakfast day , buffet style comprehensive . staff superb . concierge book trip we reasonable price front desk even offer print boarding card end stay . give location , right Times Square , hotel reasonable provide great base see Ney York attrwaction . 
 Aug 10 2009 	 Excellent Hotel / location 	 choose place read review , first review ever write . doubletree ts perfect , quiet , clean , suite type room . peaceful room walk door exciting city world ! ! never dull moment . staff friendly , concierge helpful . can not fun enjoy , stay home . 
 Aug 10 2009 	 5 star Convenience 	 hotel great choice perfectly situated tour city & amp ; see Broadway show . room large comfortable compare typical Times Square hotel , Doubletree feel secure obscenely large hotel area . evident surly night - shift doorman check guest room key allow access street - level elevator . throughout stay surprised never wait much 15 second elevator call one . 3rd level lobby elevator take floor find mere 13 guest room , luxury itself . our 33rd floor room quiet hotel refer allergy & quot ; Pure & quot ; room . room large , portable HEPA air clean white - noise generate power - on add good night sleep . Hilton & quot ; Sweet Dreams & quot ; bed room also special mattress pillow encasement help reduce dustmite feather allergen . allergy - pure room locate 33rd floor be sure great view . one disappointment room 's 2 flatscreen hdtv 's receive HD signal ... , go Times Square watch tv ? room also one & quot ; Times Square View & quot ; room end room number & quot ; 03 . & quot ; room really overlook Father Duffy Square , part people refer Times Square . ( see photo ) good thing Duffy Square view room 180 ° view city entirely surround curve wall window . room slightly small result layout provide one panoramic romantic view available Times Square . room perfect couple small family reasonably price book LESS one month advance Doubletree website . guess try sell - off unused room day get low rate , hotel sell . not forget doubletree offer 10 % discount aaa.note : & quot ; real & quot ; Times Square view room end room number & quot ; 01 & quot ; , less window . New Year 's Eve ball drop , room beat . we not eat hotel 's restaurant stop hour check . nicely decorate appear fairly big spread breakfast . lunch dinner suggest head west 300 block 46th Street , west 8th Avenue . couple dozen nice , & quot ; real & quot ; New York City restaurant choose . hotel 's business center easy use wait line . $ 12 fee use center print boarding pass , prepay check baggage , upgrade seat advance flight home ... would cost least $ 100 airport . the car service use airport provide curbside service hotel 's front door . doorman assist we time even clear we path crowd car depart . Adjacent hotel 's entrance will find enclose Wachovia Bank ATM well entrance subway station . 's convenience store 6 storefront north hotel 7th Ave . , Times Square Information Center 2 door south . overall , would say front desk staff lobby baggage handler helpful friendly . concierge average , care young man work lobby 's bar less interested serve beverage . one hotel Times Square provide in - room refrigerator ( microwave ) , be nice refreshment room enjoy view . one New York 's trendy luxurious place stay clean , secure , nicely appoint reasonably price . hotel Times Square reward star convenience , one would surely get 5 . 
 Aug 10 2009 	 great view comfortable hotel . good family young kid . 	 go NYC long weekend kid , age 2 4 . experience , ' ve realize & quot ; suites & quot ; hotel work good we put kid bed early bedroom , close door , watch tv read & quot ; live room . & quot ; hotel work perfectly stay . Times Square mayhem fun middle . hotel staff friendly concierge answer question get ticket Broadway show . hotel restaurant empty get eat 6 pm kid , perhaps 's surprise . food good waiter accommodate picky eater . 
 Aug 9 2009 	 Excellent Times Square Location Large Rooms - Good Hotel 	 June 2009 stay Doubletree Times Square 2nd time ' ve stay - variety reason , probably last . Doubletree Times Square fantastic Times Square Location - right across TKTS booth - 's become crazy location taste - especially Grayline Bus Tour Hawkers swarm people walk sidewalk ( Grayline Tours solicte must new recent year not remember ) . lead sidewalk getting back cause mass confusion . perhaps since ' ve NYC number time last 10 year , ' m open stay Times Square - however - still would like Theatre District - near Hell 's Kitchen , etc . anyways , one throw throng people soon exit hotel - recommend staying - say Doubletree 's room size large compare NYC hotel . ton space like since NYC 8 night . another downside experience due fact use Hilton point stay first time ever experience Hilton property / Marriott property trying put we sub - standard room use point ( lot point ) . front desk treat we like country bumpkin put we pretty crummy room - act like suppose grateful - well we give pushback relent move us room expect book - tell we whole time problem book room though Hilton Honors line though hotel directly , blah , blah , blah . basically , agree many reviewer Front Desk staff put not care 's NYC - bottom line NYC Tourism suffer like everywhere else US booking room ( definitely case ) may want take customer service lesson Disney , Publix , etc . however , staff member run , restaurant staff , engineer , bellman , housekeeping , etc . awesome , offset snooty check - in staff . basically eat hotel restaurant every day since free breakfast due hubby 's Hilton Honors status find good lot variety - sure would eatten often breakfast not free since approx . $ 25.00 per person breakfast - standard price NYC hotel - would eaten deli PAX . would stay ? perhaps room free - like time - would bargain compare hotel . oh , complaint not free internet access room - could free access business center lobby . however , like many NYC hotel - another NYC tourism issue . 
 Aug 5 2009 	 Family friendly hotel heart Times Square 	 recently return stay Doubletree Time Square New York City . search length find hotel could accomodate family 5 ( 3 small child ) NYC . doubletree one could . location Time Square central many attraction good , however , street ( sidewalk ) Time Square super crowded drawback . get bit heart madness much easy navigate small child stroller . ( make ten year old hold hand crowd thick way stay together . ) hotel fine . staff nice enough certainly top notch . job polite . one morning breakfast manager stop table inquire satisfaction hotel- nice touch . cookie check DELICIOUS ... definitely bonus . area safe- went walk five year old midnight one night little souveni shop neither we could sleep- Time Square full tourtist well wee hour morning light make seem like mid - day even middle night . get weirede place unsafe easily go midnight five year old norm ... safe . room okay- , nothing special . not Ritz Four Seasons . clean ... carpet not gross ... bedsheet fine . plug tub break would fill tub even take shower ( always position ) lift lie side tub drain . certainly maid would notice service ... would knock back would pull back get back room shower night .... like said- top notch service not deal breaker we . Time Square view room cool entertain little one . window open six inch screen ... concern kid good playing window turn fine . 24th floor right elevator . hear elevator noise hear loud guest get elevator floor 3 am one morning . occassional siren- could not hear chaos Time Square window close curtain draw . room suite still small- small & quot ; living room & quot ; area pull couch , separate room king bed small bathroom . , would probably stay ... fine . price right accomodation fact take party 5 one room . 
 Aug 3 2009 	 Excellent location 	 hotel good location NYC . even subway station next hotel lobby , make easy stop drop shopping bag room continue shop ! ! ! also , separate living area sleeper sofa convenient . I would prefer vanity section bathroom separate , allow people get ready time , can not ask everything . the rate affordable , location huge city like NY # 1 priority . 
 Jul 31 2009 	 hard find similar hotel NYC 	 visit NYC every 6 month stay many different hotel . book Doubletree Guest Suites time celebrate birthday hotel beat ! much space hotel room New York rare sight . service excellent . location unbeatable . can not wait go back . 
 Jul 28 2009 	 good hotel -- Nice Location 	 recently stay Doubletree first trip NYC . two teenager , age 14 17 . hotel nice , clean spacious room . glad extra & quot ; live area & quot ; pull - out sofa child could sleep separately . toiletry nice small refrigerator coffee - maker in - room well . the staff friendly . concierge staff o.k . seem know less thing go . pleasant . one concierge staff helpful play currently run see many . location definitely prime . close subway thick Times Square . 38th floor hear street noise . seem safe . evening fairly good ask proof key could get elevator ground floor lobby . there little deli / store around corner 47th street get hot breakfast sandwich , bagel , juice etc hour . friendly well . nice budget breakfast snack . the Doubletree chocolate chip cookie great always . manage get fairly good rate happy choice . 
 Jul 24 2009 	 definitely stay ! 	 research least 80 hotel choose one . also recommend friend . picky hotel one pass test . location perfect -- right heart Times Square . walk door hustle bustle city , inside can not hear sound . room clean spacious additional mirror sink outside bathroom ease multiple people get ready . two refrigerator ( one stock expensive one empty certainly handy ) . night must show room key security good idea although never feel unsafe . search hotel return city . definitely stay . 
 Jul 23 2009 	 Regular Hotel NYC 	 stay three time look forward stay many time future son go college NYC . place never disappoint . great room , great , friendly service , clean , safe , helpful concierge . could ask ? love location part heartbeat city , close theater , subway , restaurant , coffee shop , etc . stay place NYC stay . like home away home . 
 Jul 23 2009 	 recent remodel make much well hotel 	 stay Doubletree Times Square recent business trip . need stay Times Square close meeting . boat , want experience hustle Times Square , great place . business outside Times Square , may want stay away . recent remodel welcome change . room fresh , staff still bit put . guess consider hotel position right heart ts , thing move fast . want slow - pace atmosphere -- -this . arrive hotel make hectic thank shut - down traffic Broadway . great pedestrian , make get business area difficult . street front hotel open , increase traffic Broadway closure tend clog thing -- -especially trying arrive around 5 pm depart around 8 am . door man great get people cab -- almost tough -- -across sidewalk full people . new workout room nice , great new machine -- would well floor view outside . instead , overlook lobby -- also redo Jetson 's sort motif . stay many hotel area , would rank one Top 5 thank new room relative price . 
 Jul 21 2009 	 quality hotel excellent cookie ! ! 	 wife stay Doubletree 6 day recent trip nyc.from moment check - in moment leave , treat well . the welcome hot choc chip cookie amazing . our room 32nd floor amazing view times square way hudson river . watch 4th July firework floor ceiling window - excellent vantage point . the room well equip microwave , fridge , coffe - maker , mini bar ( expensive ) Plasma tv , wi - fi , sofa bed work desk phone safe . bedroom also big tv ample storage space one comfortable bed ever . the bathroom also good size . as high little disturbance below . all , great base see great sight NYC . 
 Jul 20 2009 	 Great Location Great Rooms Great Cookies ! ! 	 husband return New York would highly recommend hotel ! location perfect ! literally heart action ! ! little daunting get car luggage ... nothing little teamwork could not get we : - ) hotel room great : proper living room / den pull sofa , mini fridge , tv den bedroom , bed comfortable , bathroom bathtub style shower head , Wolfgang Puck coffee / coffee - maker room good . window actually open little bit . elevator fast . doubletree cookie always great bedtime snack ! noise street di not bother we room . the hotel locate directly across TKTS booth - really happy buy ticket ahead time line massively long especially hot sun . Diamond street 47th street ! ! ! & amp ; 's , Hershey 's , toy ' R'Us exciting store see Times Square . they say pay internet room access free WIFI lobby . 34th floor easily - happily - receive great reception wifi room . this hotel also happen price well option . front desk tell almost always sell out . the hotel top subway station minute walk subway route . find really easy SAFE get around New York metro . commuter happy help direct need assistance . ( although ask one transit worker train take somewhere reply & quot ; not know ... never ! ! & quot ; honestly , buy metro pass go ! someone mention we love spa . personally not experience it . there huge presence police paramedic Time Square . hotel top West Side Story Production minute away theatre . go Citi Field ( old Shae Stadium ) see Paul McCartney concert . see Billy Elliott God Carnage Broadway show . we eat Norma 's , Ruby Foos , Basta Pasta , Carnegie Deli , Stage Deli Nobu ... thoroughly enjoy would recommend one restaurant . 
 Jul 19 2009 	 not think will stay not . 	 hotel superb location hustle bustle NYC be look . unfortunately , service unpredictable standardized . find low person rank , friendly . front desk people anyone work lobby area , forget . could not cold impersonable . restaurant server , clean lady , real friendly sincere way . also surprise bad internet service room , very - very low speed , download upload , be work . make complaint , outsource internet company try fix avail , insist reimburse charge . beware Business Center , charge usage minute , slow internet connection , end pay much purchase museum ticket online . stay 6 night , wish could ' ve check much early ! 
 Jul 19 2009 	 great hotel great location great value ! 	 hotel spacious New York standard . family five ( include three teenager ) sleep comfortably two double bed sleeper sofa fit Doubletree 's comfy bedding pillow . room small refrigerator microwave , go NYC stay room . go see site hotel excel well . smack middle action Times Square step away TKTS booth ( purchase discount , day ticket Broadway show ) several subway station just foot away . recommend Edison Cafe ( block half away 47th street ) breakfast . since middle action tend wall wall people especially weekend go NYC like crowd . overall , great value especially book well ahead trip . check hotel 's website internet special . 
 Jul 19 2009 	 Gem location close everthing 	 struggle travel agent find single room NY 2 adult 3 kid , reasonable price , locate hotel . fantastic location walk distance everything , central park , empire state building , course Broadway . staff friendly , hotel clean whistle . room bit cramp side roll away end sleep room much see . would recommend join Hilton honor reward program free earnt enough point free night . 
 Jul 17 2009 	 driver beware ! 	 hotel roomy enough we quite comfortable . never wait elevator staff member encounter helpful friendly . convenient subway ton place eat . personally would not stay location not think , could not stand crowd around Times Square . nothing hotel . eat restaurant really good expensive . big complaint trying find either self parking ( mention location site ) valet ( site tell pull loading dock 47th St not appear exist . also say not pull front hotel ) . try time drive around city twice , call hotel find self parking non - descript garage street say 24 hour parking . okay , know ? valet parking available front hotel , site tell stop . well , taxicab loitering front hotel car wait load / unload place we stop anyway . travel street end self parking garage , fine . perhaps stay driving , might want call hotel first find late parking instruction . 
 Jul 16 2009 	 large comfortable room 	 wife ten - year old daughter stay May 29 - June 2 , 2009 . 70 + yr old parent stay next door . room large comfortable adjoining suite daughter could roam 4 room . quiet despite Times Square location ( 24th floor ) . visit restaurant breakfast buffet morning . would rather pricey Hilton Honors provide free . staff extremely friendly daughter look forward freshly make pancakes morning . hotel adjacent one subway stop several within block . staff able provide direction suggestion several occassion . excellent visit make enjoyable quality Doubletree . 
 Jul 15 2009 	 good respect 	 2 english couple stay 3 night end June start american holiday . very central location good security ground floor street level entrance lobby . the suite comprise bedroom separate living room clean spacious nice sized bathroom maid service good cleaning job day . we not eat hotel far many good cheap restaurant / diner within easy walk distance . location Broadway beat also mean pavement outside hotel get busy especially evening . this 5th stay New York cheap hotel far give far well value previous hotel stay in . we would stay without question . 
 Jul 15 2009 	 Best Hotel Stay yet 	 July 8 – July 13 , 2009 wonderful experience location . staff great ! first night , problem tv . call maintenance come right away replace tv new one . tv go leave smell , die tv smell . ask possible change room . spray room could stay bellman less 10 minute move we another room . professional , kind accommodate - question ask . staff commend . throughout stay restaurant staff begin hostess , waiter food prep staff go way make meal pleasant . breakfast every morning . son look forward go ; warm invite atmosphere - say lot come eleven year old . food great well . housekeep outstanding job . room clean expertly every day . request extra towel leave daily without additional request . room spotless upon return . bellman helpful always ask way assist guest . concierge lady job . however exhibit warmth hotel staff . gentleman Saturday helpful greet assist we kindness staff . lady job efficient , helpful . answer question yes , not know response . also nothing available hotel highlight daily event city hotel offer . already map trip problem , guess look inside scoop someone live city experience direct guest less advertised place . overall would rate stay good hotel experience date . travel frequently stay many grand great hotel , service staff location superior . thank make vacation memorable . 
 Jul 10 2009 	 surprisingly good 	 TA reviewer concur , extremely affordable Doubletree Guest Suites Times Square pleasant welcome stay part honeymoon . book far enough advance get $ 300 receive room high floor clean average size midtown Manhattan hotel . separate sleeping quarter comfortable bed ( welcome walk ) make Doubletree best deal consider upscale hotel area charge twice rate . 
 Jul 7 2009 	 Perfect Central Location ! 	 locate middle Times Square , across tkts bleacher . ground floor feature nice - sized welcome area guard check room key proceed 3rd floor . 3rd floor fature check - in , bar tv , etc . never wait elevator . three elevator lead ground 3rd floor , upper floor accessible least 5 elevator . 28th floor nice view times square . walk Emipre State Bldg / Macy 's , Lion King ( across street - hello ! ) , subway convenient ( go WTC Yankees Stadium ) , walk fao , 5th ave , Rockefeller Center , Central Park , Radio City Music Hall , Daisy May 's BBQ , etc . the room bit cramp 6 people , fold - out sofa take large chunk living room area open . service personnel friendly helpful ! Room seem either hot cold - hard find balance time . free wi - fi adequate . very quiet ! never hear sound city unless open window . would stay heartbeat ! McD 's next door easy access store , eatery , name . 
 Jul 5 2009 	 Perfect Location 	 take 3 teenageer city overnight . book Doulbletree hotwire 199 / night . happy large room ( 1 bedroom suite ) queen size bed bedroom queen size sofabe living room . bathroom huge . great view Times Square . all - in - all perfect . 
 Jul 4 2009 	 recommend recommend recommend ! ! ! 	 bid $ 200 3 1/2 star hotel hotwire.com , know hotel would wait end & quot ; send & quot ; button . hotel receive , thoroughly impressed hotwire Doubletree Suites . hear lot small Manhattan hotel room , since real estate premium nyc . Doubletree Suites locate smack dab middle Times Square , room well , suite . comfortable king size bed , child sleep pull couch & quot ; living room & quot ; excellent condition . entire suite recently redecorate , large , flat screen tv 's sit area bedroom . also mini fridge , bar sink , in - room safe , bathroom spotless modern . lucky enough get corner suite 22nd floor , amazing view two vantage point . cleanliness , hotel room immaculate . sheet crisp new , room clean spotless condition day . front line staff uber - friendly , concierge likewise , guy baggage counter ( bellhop ? ) watch bag day check ( nice tip course ) .I could find absolutely nothing wrong hotel . spacious , modern , clean , awesome location , friendly staff ; Doubletree all . oh , chandelier main reception could use dust . , find something negative . awesome experience . 
 Jul 3 2009 	 great experience 	 upon arrival welcome warm cookie upgrade king bedroom . bed comfortable comparable & quot ; Bed , Sofitel & quot ; .The rug stain old hallway bedroom . bathroom dirty , paint peeling , grout old . mildew cover corner bathtub . we charge $ 8.00 extra minibar not use . satff rude . overall good experience return . 
 Jun 29 2009 	 Great Hotel make even Better Daniel ! ! 	 put go NY year hear people ny rude unfriendly - take chance 5 day way Europe . well , decide stay Doubletree Guest Suites base wonderful review - hope good . first person encounter NY - taxi driver - Daniel front desk . charming , funny , welcoming , truly appreciate amazing room upgrade make 50th birthday celebration even wonderful . Hilton Gold vip member - suppose get room upgrade one available - often & quot ; true & quot ; upgrade save & quot ; diamond & quot ; vip member - leave feel less like & quot ; gold & quot ; like & quot ; tarnished brass . & quot ; Daniel set tone entire trip . make we feel like valued family member - hotel clean , spacious , welcome respite noisy world Times Square outside door . take advantage fantastic proximity world - class Broadway show within walk distance hotel . way , LOVED New Yorkers come contact - - not delay ! enjoyable trip ! 
 Jun 27 2009 	 love place 	 want stay Times Square Midtown area , highly recommend hotel . get full suite , completely separate living room -- traditional & quot ; NY suite & quot ; , slight large room two foot mini - wall dividing & quot ; bedroom & quot ; & quot ; living room & quot ; . people would scared noise right Times Square , usually seem get high floor , rare hear much street noise , . 
 Jun 26 2009 	 okay room 	 price lack amenity make room hard recommend highly . nice room . clean decent amount room move . sofabe okay great . hotel give free cookie lunch . wifi room . want room 12.00 day . not complimentary breakfast Mcdonalds two store . around corner little shop wonderful breakfast sandwich fresh . not crowd expensive . ( come hotel make right around corner go 500 yard . ) family love breakfast . hotel 's location excellent right middle Times Square . 
 Jun 26 2009 	 GREAT HOTEL - GREAT SERVICE 	 first stay Doubletree Hotel exceed expectation . debark cruise Monday morning 10 am , hotel mere 8 mile Manhattan cruise terminal . since early not call early check little wait . soon room available speedily check . Ami front desk professional courteous . offer complimentary breakfast 2 duration stay , expect , great bonus nonetheless . breakfast good decent selection . pastry delicious ! room spacious , clean comfortable enough 4 people . housekeep great job always enough towel . separate vanity / Kitchenette coffee / tea maker refridgerator microwave wetbar . sit area pullout bed , separate flat panel tv desk . we city tour Grayline Tours , get ticket hotel . downtown tour bus pickup near hotel , uptown bus 1 block away ( far ) . restuarant eat Olive Garden Times Square opposite hotel . fast sit service ever get ! ! street vendor also sell good food good price portion large enough two . one particular vendor sell lebanese food 42nd 7th street , south Broadway . since rain time , good idea poncho umbrella handy . lot walk comfortable shoe bottle water must . even kid party go see toy r Us store . great stay New York City definitely stay hotel plan next visit big apple . 
 Jun 24 2009 	 good location first trip NYC .. big room ... service could well 	 pleasantly surprised find room huge , bedroom separate living area . unfortunately right next ot lifts ( door look like one lift ) . not big deal though could not hear lift room . however room become problem start stink cigarette cigar arrive back one night . happen we two hotel US , be ! ? tell reception act shocked give we key another room , corner build much nice layout therefore seem even big . go bedroom area window open packet cigarette windowsill , someone little lie bed ! back go reception , shocked . get old point say need go inspect room give we next key , . get another corner room high floor perfect . room kitchenette really useful , location great look times square ( can not hear anything though not experience downside location ! ) . return though would probably stay time square busy get bit sick salesman street . 
 Jun 23 2009 	 Great Hotel . Perfect Location . 	 stay 4 night girlfriend complaint . recommend hotel anyone . hotel center Times Square make stay even well . definetly would stay . room size perfect . bed comfortable . nice bathroom size . thumb Doubletree Times Square Suites . 
 Jun 23 2009 	 Times Square guess can not beat rate 	 overall go pay lot hotel NYC . well perspective hotel might steal consider price hotel look Times Sq . check - inthey helpful extra room work without charge we . ( think book happy . ) checkin quick fact room swap thing . roomnice big room . think living room area also bed room . enough room spread around people room . also corner room ' m sure slightly large othersbathroomno problem . hot water quick never run . nothing special nothing gross ( plus ) .TVI problem flat screen room lose point . want send someone look tv would not turn 1:30 morning . operator jerk also . leave note manager never hear anything guess really not care much . tv 's nice flat screen room . InternetThey free wifi far could tell connection suck . keep get disconnected get slow speed . thing co worker another floor . locationvery good need Times Sq . remember always go crowd go loud . 29th floor could hear street noise sometimes . also curtain suck do not block light flash . OverallI think worth want right middle . price high part everyone friendly desk helpful except one jerk get phone . 
 Jun 22 2009 	 good location room relax . 	 stay Doubletree June 12 - 19th . family 3 kid need room space . thing turn old could not go we 18 15 year old enjoy . like middle action convienent walk many place . see 3 show town easily reach hotel . subway station right next hotel several other close . mcdonalds step away nice get munchie . nice 2 tv 's 2 room . daughter separate mirror morning husband son separate sink shaving . keep conflict . first day bedroom tv not work quickly replace give free in - room movie . night tub not drain well find stand several inch water shower . call Saturday morning spend 90 minute repair compe we Sunday breakfast buffet ( 25 $ per person ) husband wonder could find anything else not work ( ha ) maid service good Jimmy downstair door well . got extra nice ride back airport due Jimmy -- big shout . mid - week recieve fruit bowl tin cookie . not get luxury service good location great especially old kid . crowd might little scary young child . go back alone husband might choose hotel little farther Times Square little romantic kid can not beat Doubletree . 
 Jun 20 2009 	 great location comfortable bed little disappointed 	 husband stay June 3 - 5 , 2009 disappoint several thing . room much small anticipate , bathtub / shower lot rust , furniture aweful . bed comfortable sleep like baby . stay back 2001 fabulous room great stay . think busy hotel let age room show . location fantastic view room 180 degree view time square , not think would stay . housekeeping lack also . happy Traveling ! ! : ) 
 Jun 19 2009 	 excellent location average amenity 	 hotel right middle action . Times Square hustle bustle go right front door ! hotel ok . staff friendly amenity average . hotel room common area bit date . eat hotel restaurant 6 night stay . food unremarkable . ' care thing , want close action , could bad hotel . 
 Jun 18 2009 	 doubletree action around 	 doubletree guest suit one fine hotel NYC . locate 30 - 45 minute JFK airport , right heart broadway . entire locality hustling bustling life action . everything like block 2 away hotel . shop good brand good mall , restaurant type , broadway show , times square .. name . get panoramic view room situate high . room spacious living room follow bed room . provide house entertainment like movie video game PS2 etc . since centrally locate spend entire day roam NYC . would recommend anyone stay NYC double tree place . superb location , curt staff , valet parking service , confortable living.since room locate quite high we onthe 35th floor right middle action yet away noise want . 
 Jun 17 2009 	 Centric hotel 	 favorite hotel Times Square area two reason . space centric location . lack good service response , nice accessible entrance , quiet unless book suite high floor , little expensive , extra space worth . 
 Jun 16 2009 	 fantastic view wonderful room~ great hotel ! ! 	 first pull front hotel taxi little hesitant get busy Saturday afternoon wonder get mobs people everywhere ! enter small room guard podium ask name check list send 3rd floor . ( night show room key guard upon enter ) . get 3rd floor small bar snack small lounge area check counter . everyone encounter nice helpful . tell upgrade ' Conference Suite ' Times Square view grant . room fantastic , 37th floor corner suite ! large bath ( negative ~one sink ) , nice sized bedroom comfortable king size bed great view look nice desk . dining room large wet bar coffee maker , fridge , microwave oven . view spectacular living room view die . boy share pull sofa bed say comfortable slept blind open every night take everything . also mention room pretty quiet . type sit dining room table look live room see ' 2009 ball ' drop 's New Year 's Eve . 360 view every window another building . pay breakfast include pkg glad really not ' decent ' breakfast place around serve full breakfast . breakfast buffet large variety food item . everything walk distance , great restaurant , theater 's ' tik ' booth across street stand line buy day 1/2 price show ticket use twice ! also hop off / on tour bus also within walk distance . I would definitely recommend hotel anyone want experience true NY experience ! 
 Jun 14 2009 	 girlfriend getaway 	 hotel offer good location arrangement sister girlfriend get away NYC . center 2 room suite relax visit not . think suite hotel Times Square , ! 
 Jun 14 2009 	 Best Times Square view get comfy spacious suite 	 10th visit New York . stay 30th May 2 night , pay $ 250 per night ( include tax ) advance get cheap rate . choose King suite Times Square view . really like room . bedroom separate enjoy quiet night without disturb noise guest walk past room . sofa - bed fairly comfortable , fridge useful . giant flat screen tv living room work properly . sure report could got fix , spend much time room . check quick easy , hotel store luggage last day . bar lobby small always quiet ; many bar around hotel lively experience . good thing room view . could see Times Square . ' think hotel area could give great view – one even interesting since Broadway shut traffic sit chair right middle Times Square ! stay Marriott Marquis Times Square view room , spectacular cost lot . area obviously busy time moment step hotel , go round side hotel space stand without disturb , new light red stair TKTS booth outside hotel . experience rate hotel usually pretty high ; get great rate like really recommend Doubletree Times Square . follow weekend stay Hilton 6th Avenue , also nice review hotel . 
 Jun 10 2009 	 great location room size ! 	 locate hub Times Square absolute good location ! room totally quiet street noise . comfortable roomy accomodation staff great ! cookie bomb ! one negative comment . thank great stay . 
