great 	 stay hotel 3 night friend . incredible . staff amazing , room beautiful , breakfast lovely get special offer quite reasonable cost wise . like everywhere else San Francisco , climb uphill bit get , really good location centre city . 
 Jul 10 2009 	 Awesome 	 though stay night , place great ! ' ve travel lot last month , many hotel ' ve stay , one stick well . easily . hotel beautiful really clean . 's really cool wall fountain walk . location great . close enough 's short walk China Town Union Square , far enough away not feel fall asleep subway 's loud , bright middle everything . staff awesome . could tell happy , always rub employee legitimately happy working , fake . greet we come go every time , offer taxi , ask stay , always smile . room great , bathroom HUGE ! hubby walk say & quot ; wow hon , bathroom 's cave ! & quot ; Anyways , love place say go ! 's little bit walk bart , come SFO , know going walk anyways . 
 Jul 6 2009 	 Great Location Great Value 	 choose hotel base trip advisor web site book directly hotal receive good rate . location hotel excellent easy access public transport especially cable car . short distance Union square major shopping area . room comfortable spacious , front desk incredibly friendly efficient room service eficiently high standard . I would definitely recommend hotel friend relative would advise get room high level far away Powell Street possible noise level cable car bit problem . 
 Jul 4 2009 	 central business friendly great service excellent value 	 last stay Orchard 5 year ago blink eye back . hotel perch hilly location junction Bush Powell street make easily accessible conference venue arm length madding crowd . surround good shopping , variety restaurant next nice view city ( take walk Mark Hopkins Fairmont ) , hotel great location . although not advertise - location make great take public transport around city afield . start hop Powell Street cable car pass next hotel . the service friendly professional . leave file behind unlike prior experience sort , staff trouble search manage retrieve . internet continental breakfast include room charge - usually extras hotels class . ' ve stay Hyatt Regency botique hotel like Alexander Orchard favorite . 
 Jul 3 2009 	 fabulous location great hotel . 	 daughter recently spend four lovely day Orchard Hotel . arrive late upgrade lovely suite without ask . not nice suprise ! strictly sight seeing trip 21 year old daughter 's first visit San Francisco . location Orchard perfect close great public transportation San Francisco offer -- cable car , train , bus BART . use move around city comparative ease first day getting orient . everyone hotel great direction suggestion good meal . highly suggest Cafe Claude couple block hotel . enjoy jazz Saturday night . everything room right -- excellent bed , good shower fairly quiet . definitely stay return . 
 Jul 2 2009 	 nice little hotel great location . 	 stay four night room 607 . large room street view two window . comfortable king bed large bathroom granite counter top large , glass enclose shower . fantastic location step way Powell Street Cable Car stop . Roxanne 's Cafe , literally outside front door , nice place breakfast Lori 's Diner Sears , block block half away , Sears well . Uncle Vito 's Pizza , diagonally across street corner , may served good pizza ever . front desk accommodate helpful . 
 Jul 1 2009 	 Good Hotel Great City 	 check Orchard 19th June 4 night long journey Australia . reception staff super friendly helpful . room 10th floor face street spacious well decorate . see post complain bed fine . coffee maker coffee room much appreciate . downside shower would often turn cold housekeeping staff forever ( seem ) knock door want check minibar , turn bed etc etc . besides excellent stay would recommend hotel friend . 
 Jun 29 2009 	 beautiful hotel terrible bed : - ( ( 	 stay Orchard 8 night . book hotel excite , Trip Advisor rank . prepaid 100 % get great rate ( directly hotel website ) . get everything seem perfect . fast check , special request take care ( high floor , room facade ) , big room , king size bed , lot pillow , beautiful bathroom , soft towel , spotless bed sheet , tv 50 channel , even cd music smoothly fall asleep . enjoy sleep , bed matress soft , make wake 2 - 3 time every night pain . torture . nagging person really surprised , can not remember ever complain bed hotel . surprised learn matresse replace last year . ... breakfast : choose menu buffet . also express breakfast ( $ 6 coffee muffin / pastry ) . buffet ( $ 14 ) offer rather poor selection , cold stuff ham cheese except Philadelphia . breakfast room music beautiful , however morning & quot ; cover & quot ; tv bar , turn staff . free internet greatly appreciate , although wireless work . room service fast , food ok reasonably price . location convenient , walk , bit steep ( can not imagine climb Powell street carry luggage ) . check take 10 minute , luggage properly store late departure . Mariliza reception desk sweetheart , great asset hotel ! ! would think twice return , bed . really sorry , otherwise , really love hotel staff polite helpful . would recommend , anyone mind soft bed . I would 
 Jun 28 2009 	 great value city hotel 	 base good TripAdvisor review , book three night Orchard Hotel part & quot ; girl ' trip & quot ; California sister . good review absolutely deserve . clean , comfortable , attractive , decent - sized room also great value big city hotel . , thoroughly enjoy location , near Union Square , Chinatown , Nob Hill -- right around corner cable car stop . 
 Jun 28 2009 	 good business hotel 	 stay SF see Frida Kahlo exhibit SF MOMA . room clean large , hint view . valet take long time retrieve car . fact , doorman finally go go get 30 minute wait . breakfast disappointing . location good , far Union Square , convenient . hotel rather expensive time stay compare competition , book base favorable Tripadvisor rating . would stay , hotel much well suited businessman tourist . average stay . 
 Jun 25 2009 	 wonderful boutique hotel heart San Francisco . 	 Immaculate room , invite lobby friendly doorman , desk staff , etc . our room quite large compare old hotel downtown San Francisco . we love fact hotel right cable car line within walk distance Walgreens , lot store restaurant . hotel free WiFi internet , quite unusual downtown San Francisco . could print anything need computer front desk without charge . bed die comfortable . the room reasonable ( buy Expedia website . ) downside car ( use public transportation ) $ 40 per night parking fee . we would definitely recommend hotel everyone ! 
 Jun 24 2009 	 consistent reliable comfortable 	 ' ve stay Orchard Hotel numerous occasion , recent June 2009 . hotel well locate -- near cable car line Union Square shopping restaurant . 's easy walk Chinatown . staff consistently responsive efficient . bed always comfortable , room immaculate nicely appoint . love free use DVD library free internet access . room bathroom large -- quite unusual hotel price range San Francisco . drive , park public lot block away -- much less expensive hotel parking fee . stay hotel 6 time . time good experience . ' ve recommend family friend many occasion . will back ! 
 Jun 24 2009 	 good stay 	 convenient , well locate city center , efficient friendly staff . room large clean . nice able borrow dvd front desk . 
 Jun 24 2009 	 hotel class 	 's difficult choose hotel be thousand mile away one live expectation . run front desk radiate efficiency charm , hotel nice place stay . local query deal helpfully , eg return hire car - good route ? - greet every time enter lobby . Orchard also ideally situate get must see attraction noisy Unino Square property . finally must say cleaning staff deserve mention . room always immaculate whatever time return towel toiletry renew . 
 Jun 24 2009 	 Good Stay 	 stay night . location great ! hotel good . staff friendly . Breakfast come package disappointing . 
 Jun 22 2009 	 clean excellent hospitality great location ! 	 husband recently spend one night Orchard Hotel great experience . prior visit , one staff member respond email inquiry regard nearby car rental location , sure enough , Hertz easy walk ( downhill ) hotel . staff extremely courteous , room bathroom spacious clean , large collection dvd borrow ( free ) front desk . especially like location hotel -- $ 40 cab ride SFO , right cable car stop , close restaurant shop without close . 
 Jun 21 2009 	 good stay yet city 	 city time . spend night . stay Friday night flight Orchard Hotel Bush . nice staff friendily . even clean staff greet . breakfast Cornell valet bring car load we . bed bed wonderful . great location two block Union Square . definitely return . 
 Jun 20 2009 	 First Class Hotel Location Rooms Staff 	 select Orchard base majority positive review disappointed find one word fault relation hotel , location , room , service staff . term value money hotel deliver price pay . we celebrate 30th wedding anniversary trip across USA fortunate upgrade suite say WOW room fantastic , exceptionally clean one comfortable bed ever sleep many hotel stay . bathroom big room stay Manhattan . stay bed breakfast would say breakfast offer fair price pay save trouble find somewhere else , service good . from arrival departure staff attentive request much trouble . warm welcome Quinn reception efficient , informative Bob David concierge helpful request much trouble . first impression important impressed . use laptop reception check flight detail print boarding card extremely valuable . room clean high standard general room cleanliness decor . the location next cable car stop mean get tourist spot easily achieve , hotel also short walk downhill main shopping area . suffer noise despite front corner hotel junction road cable car stop . ignore negative review never please people . we would recommend hotel friend relative . return look anywhere else stay , ? 
 Jun 19 2009 	 nice well situated hotel . 	 start honeymoon Orchard Hotel researching site . live expectation staff friendly helpful location great everything would want see San Francisco . request room high floor advise cut noise hotel accommodate . know first day honeymoon cheap bottle something bowl fruit room would nice maybe expect much . bedroom bathroom clean , bed comfortable decor bit date wow factor . laptop reception free use handy check mail etc way . would certainly stay visit San Francisco . 
 Jun 19 2009 	 great hotel 	 Location close enough Union Square short steep hill maybe good people walk difficulty . cable car stop right corner street handy get Fisherman 's Wharf . concierge Bob great helpful . free internet reception unlimited use - handy booking day trip / car hire . do not try food restaurant look good . staff friendly happy help time . take advantage complimentary dvd 's really recent release . room lovely , bathroom clean spacious . would stay ! 
 Jun 17 2009 	 Class warmth 	 hotel wonderfully locate , 's warmth whole place set apart . staff make feel like be stay small bed breakfast ... sincere personable service . love robe . clean . beautiful . fantastic value . would recommend anyone hope visit ! 
 Jun 11 2009 	 great location value staff 	 town business meeting pleasure trip . hotel locate Powell cable car line central location easy walk Union Square , Market Street , SoMa , chinatown financial district . room nicely furnish . can not say enough staff . everyone friendly helpful direction restaurant recommendation . also dvd player room nice collection dvd available guest . good San Francisco hotel stay - much prefer major hotel chain town . 
 Jun 10 2009 	 helpful friendly staff nice room fine value 	 good value price . doorman , Cornell , knowledgeable helpful . hotel 's location beat proximity many site interest . stay . could use business center lounge work child asleep room 
 Jun 10 2009 	 Good Spot close downtown core 	 convenient , little expensive . food nice . rental car , u may wan na live away downtown core - density buidling .... u actually see happende next door vise versa . 
 Jun 10 2009 	 Wish hotel city ! 	 great location . great rate . clean internet free . also take advantage free movie rental add bonus . bed well , . quiet busy place like chain hotel . front desk always eager help smile . always read review tripadvisor , yet contribute . well , feel . great hotel would never find without site . way like chinese food check R & amp ; G. fancy outside , inside . great food service also . 
 Jun 9 2009 	 great place stay San Francisco 	 take Bart airport hotel breeze- minute walk , albeit uphillthe staff desk friendly helpful check , offer we choice roomthe room big , clean , choose high floor , quietthe bed big comfortableeveryone friendly helpful hotel . could not ask morejust couple block Union Square Chinatown cable car stop almost outside hotel , usefulhad intend stay Mark Hopkins , review persuade ' m thankful listened . would not consider stay anywhere else San FranciscoHad breakfast hotel couple day fine . many traveller recommend Roxanne 's nearby breakfast , find service trifle slow , rather expensive serve bad coffee US . Sear 's short walk away well breakfast . get busy thoughThe Gold Dust bar Union Square reasonably price , great atmosphere . may serve good margarita ' ve ever , good Top Mark 1/3 price 
 Jun 6 2009 	 bad bed bad service high list ? 	 bed uncomfortable . could not sleep leave next day . book something concierge turn , forget book . room spacious , decorate like something 1970 . 
 Jun 5 2009 	 excellent value clean boutique hotel 	 great location friendly efficient staff super clean hotel couple block chinatown block union square several store nearby purchase food item toiletry . room bed comfortable . 
 Jun 5 2009 	 Excellent hotel location staff . highly recommend ! 	 Orchard Hotel locate near Union Square , Knobb Hill China Town downtown San Francisco . can not beat location . near cable car , dining , shopping , MUNI . outside , not know expect , inside fabulous ! room large ( unique San Francisco ) linen comfortable . bed plush , lot bath toiletry , wonderful staff . request extra blanket immediately bring room . staff give we direction idea sight seeing . staff also book shuttle back airport we . fantastic . feel like intimate bed Breakfast . overall , experience satisfying , would recommend hotel . room large , well decorate quiet . problem noise stay . staff friendly accomodating . location excellent , well overall experience . 
 Jun 5 2009 	 clean convenient great price good internet 	 clean recently renovate . good customer service . good internet ( wire wireless ) important . convenient location . nothing bad say . check hotel 's website discount - end get much well price discount travel site . note : Orchard Hotel Orchard Garden Hotel different hotel , run people . 2 block apart street , confusing . similar logo , website price , guess similar experience . Orchard Garden slightly close downtown . 
 Jun 5 2009 	 uncomfortable bed poor customer service 	 unfortunately , stay hotel far satisfactory . bed uncomfortable , change hotel one night . ask hotel make book great restaurant saturday evening fail make book we despite say do . lousy service . 
 Jun 4 2009 	 really comfortable central location nice staff . 	 stay 3 night . room really spacious , bed soooo comfortable , bathroom nice , not want leave . closet big enough store suitcase , prop stand . desk perfect place sit laptop work . problem get computer connect wireless connection , bring something call & quot ; bridge & quot ; help . room big enough spread make comfortable . street noise . noise room next door , easy sleep night . joy come back room day walk around city . 's locate steep hill , be walk suitcase , prepare . Powell St. street car line right corner . breakfast right next door Roxanne 's every day , cheap lot option good caffe latte . would definitely stay price remain reasonable . get good deal website , assume economy reason reduce rate . 
 Jun 3 2009 	 Location hospitality 	 terrific location , right size , nice greet warmly every time come . room actually quiet , well appoint bathroom nice , although tub . Valet parking $ 40 per night , wonderful valet car pull around within 15 minute call time , none long annoying wait line like get big hotel . Sears Fine Food block away Starbucks breakfast be not issue ! apple front desk nice library movie free borrowing . favorite place stay San Fran . 
 Jun 3 2009 	 friendly staff clean comfortable room great location . 	 room spacious ( San Francisco standard ) clean comfortable . staff front desk , bar dining room exceptionally courteous , friendly helpful . stop before - dinner drink late one afternoon bar not serve yet clean wine taste event . instead turn we away , tell we sit even give we glass drink wine leave wine taste . end full bottle wine & quot ; house & quot ; plus server staff stop talk we spite busy try get room back order dinner . complaint business center . computer front desk , stand corner use . overall great place stay . 
 May 30 2009 	 Eco Friendly 	 stay orchard total five night , split 2 night 3 night Memorial Day long weekend . Orchard impress we commitment service environment . feature hotel love : * quick friendly concierge front desk service * excellent bath product large bathroom * organic tea coffee , plus fruit front desk * well - stock mini - bar lockable fridge * large comfortable bed lot tv channel * excellent location cable car , Union Square shopping , coin - op laundry , Walgreens cheap restaurantsWe would definitely recommend hotel people want ' heart San Francisco ' experience without grunge . 
 May 26 2009 	 Fantastic hotel location 	 great hotel , friendly staff . clean close everything . cable car corner . Tip check lori 's diner Mexican cantina happy hour , Sushi bar across street great . 
 May 22 2009 	 average 	 pretty nice hotel heart hte city . great location regard cable car system step hte hotel get right cable car . definately hit hidden fee place . offer 21 dollar room service breakfast . order 2 one us total service fee end uip close 70 dollar . overall good experience . one hotel middle city , loud lot traffic , good place call home base want see tourist spot city . 
 May 21 2009 	 great affordable hotel 	 Orchard great , little hotel fabulous location . friendly staff & amp ; quiet comfortable . 
 May 19 2009 	 Fantastic Hotel 	 truly awesome hotel around ! stay Orchard Hotel 7 day $ 741 usd , location amazing also clean , bright spacious hotel everything anyone vacation could possibly need free wi - Fi boot ! hotel corner Powell Bush St. ' get Cable Car right outside front door , great hill plenty area ! Powell , cable car either take Fisherman ' Wharf Market Street . California Cable Car line ' couple block away chinatown short walk Union Square ! BART ride ( $ 5.35 ) airport bring Market Powell Street walk Powell Bush . one big hill walk doable even luggage ! could take Cable Car ' sure feel luggage … ? interior room 6th floor , view building next door ... great ' San Fran room . huge King size bed unbelievably comfortable , really nice size bathroom nice calm scented shampoo , body wash , conditioner lotion … it like spa every time shower ! also provide one - cup coffee maker coffee ( reg . & amp ; decaf ) , green tea regular tea pod . use coffee maker , coffee okay mostly starbuck one block away . ' mini bar snack badly price , $ 5 good size bag chip or … $ 20 one - person size bottle Cabernet Sauvignon … . walgreen ' couple block corner store sell full size bottle wine reasonable price ’ look kind snack . check - in take 3 minute room go . towel room ticker average hotel towel provide we two robe … nice touch ! ! bring laptop hotel ' Wi - Fi always excellent connection ! without hesitation , would recommend ( already ) hotel anyone ! location amazing hotel clean , nicely sized fresh linen toiletry lucky return San Fran , would book hotel heartbeat ! 
 May 15 2009 	 great location price happy 	 nice hotel - room nice quite large location great , Union Square right next trolley car . get BART airport easy walk hotel Powell Street ( apart last 3 - 4 minute steep hill ! area feel completely safe happy stay . not eat breakfast hotel nice place breakfast corner turn leave hotel . 
 may 14 2009 	 would stay heart beat . 	 close China Town trolly car . bed comfortable staff friendly helpful . stay hotel time ' m San Francisco . pleasure . 
 May 14 2009 	 would perfect hotel room well noise isolate 	 choose hotel Tripadvisor good rating good value ; addition enjoy nice price & quot ; spring summer rate & quot ; .positive comment : * hotel : - well locate , easy access airport public transportation ( BART ) . two block Powell Station , one straight street climb ( easy 4 - wheel suitcase ) , close convenient place ( cable car , shopping centre , union square , market street major bus line ) - Clean- Staff welcome helpful- large variety dvd available leisure * rooms- large room- large comfortable bed ( really love pillow ) - large bathroom- nice complimentary product ( tea , EO product body care ) - clean room- bed service evening- tv channelsnegative comment : * room : - WIFI quality really bad ( fifth floor ) , constantly interrupt need get LAN cable reception- noise isolation bad room could hear next room conversation clearly ( double occupancy , phone conversation speaker ) .if room well isolate , hotel would perfect one . not care issue , run book hotel without hesitate second , good place stay San Francisco ... 
 May 14 2009 	 always Pleasure guest 	 come town occasion . whenever , orchard top list . right next Union square . the Doorman / concierge we every time arrive quintissential professional . room well appoint comfy . suite 2 LCD / HD tv , sound system , cd sound ambience disc fabulous relax soundscape ( relaxin thing ... know mean ? ) bed perfectly prepare high - count fabric , many pillow , perfectly maintain bath / shower appointment complimentary bath robe rumpus . the Orchard quiet Gem SF . long time . modest , Polite , clean , respecful big value . 
 May 13 2009 	 Great Value 	 stay San Francisco 2 night spend second night Orchard Hotel , literally 2 block hotel stay first night . would like say happy make switch . this great hotel & quot ; boutique & quot ; feel locate heart Union Square . room huge well - equip . bathroom huge size gorgeous appearance , stack amazing bath product . bed big , comfortable bed crispy white luxurious . not - so - good part special value price book hotels.com somehow get free breakfast parking option $ 50 / night valet . also , minibar stock drink spirit pricing detail find anywhere room , seem sort sneaky . also 2 bathrobe hang closet though use , turn & quot ; available purchase & quot ; also weird . overall , $ 100 / night tax , hotel great value . 
 may 11 2009 	 stay want location cleanliness friendly staff quality '' 	 base many review trip advisor , decide book hotel glad ! thank everyone ! cost $ 99 nite webiste- pay full time make reservation- could find clean , friendlier well locate hotel . room king bed not huge spacious enough couple . bathroom large stock natural shampoo , conditioner , etc . bed comfortable . even mini bar turn bed much high cost hotel . onlyy negative view alley have . since drive , always need something accessable right middle many different location . around corner Hyde Trolley three day muni pass take car wharf union sq . two block Califonia cable car take ferry building . walk 2 - 3 block chinan town . friendly staff help we book day trip napa shuttle back airport . trip easy due location hotel help staff . already recommend other want friendliness , easy access nice hotel without craziness large chain hotel . 
 May 10 2009 	 terrific ... place people location 	 would go back heartbeat . small lobby perfectly adequate , large room bathroom , impeccably clean ( guy hand knee clean hall baseboard one morning step room ) , fresh fruit counter always service desk . final billing perfect , almost always problem share room another person split room rate . every employee interact friendly helpful . hard believe place could good today 's world . , head large consumer affairs department top rate supermarket chain . , know good service see . check little french restaurant street , California Academy Science Slanted Door restaurant . 
 may 7 2009 	 Excellent hotel good location friendly staff great aminietie 	 boyfriend turn San Francisco Friday afternoon reservation rough idea want stay . drop couple hotel Fishermans Wharf Union Square , price seem bit steep side pop starbuck get online try find deal . without check tripadvisor drive past Orchard find fantastic deal $ 91 night , book four night hope do right thing . we arrive hotel roughly 20 minute later greate incredible nice friendly front desk staff . room give we overlook Bush Street ( main entrance hotel ) fantastic . lovely spacious , clean everything need . , please . the location great feel perfectly safe , easily walk straight Union Square right Powell street cable car stop right outside . away Union Square get homeless people encounter expect major city however never feel uncomfortable . hotel valet parking park car park Stockton street lot cheap not problem . the hotel express breakfast $ 5 include either toast , bagel croissant tea / coffee . however go Loris Diner road great . I would definitly recommend stay hotel would advise anyone book online seem various special offer . the dvd 's borrow reception pretty vast quite new release nice . love go back chill hotel hectic day sightseeing round San Fran head dinner . loved hotel love San Francisco ! ! 
 May 6 2009 	 GREAT place ... 	 find place consulting site . great great place . friendly helpful staff . nice clean room comfortable bed . could well pillow , 's minor compare great stuff . central location . walk EVERYWHERE ... 30 - 45 minute max . hotel right size . free dvd movie ... close shopping . complaint whatsoever ... frill basic hotel , great one . 
 May 6 2009 	 great value money 	 comfortable room , great location , expensivestraightforward : look big lobby activity go somewhere else , not use amenity , pay ? 
 May 6 2009 	 convenience value comfort ! 	 get great rate pay ahead online , although not know much hotel advance , pleased arrive clean , spacious , comfortable - quiet ! - room . love hotel 's DVD library make good use ! lousy view window care ? ! room lovely , hotel convenient affordable , , happy . event meeting meal time , truthfully would happy relax room . great deal , great find . 
 May 5 2009 	 could choose well place ! 	 clean , roomy , well - appoint , convenient tourist 's desire -- friendly staff -- great value . hop right Cable car , plenty great place eat close- Walgreens street . will not disappoint . 
 May 5 2009 	 Simple Hotel - see well 	 stay Orchard Hotel , San Francisco April 27 - may 4 , 2009 attend architecture convention duration . hotel simple great location 2 block Union Square . the room neat well maintain housekeeping efficient . housekeeping front desk staff polite always greet smile . the toilet large room well stock minibar coffee maker , iron ironing board . nice restaurant never try though . the hotel seem perfect single business traveller like , heart downtown San Francisco place walk distance . I find serious flaw hotel . having say thing thing disturb hotel.-The wi - fi reception good room request usb cable . hotel staff much help forward phone . wi - fi company , guy really helpful wi - fi hardly work depend cable.-i extra guest night ask hotel accomodate room say room equip . not mention confirmation infact mention charge $ 25 extra person . , allow extra person arrange alternate accomodation guest.-i never eat restaurant feel over - price 5 star hotel do not think high rate . I would like microwave room would great help week . the website potray stylish hotel , real normal hotel see well . 
 May 1 2009 	 Loved Orchard - gem 	 stay hotel five night part California road trip think great - virtually faultless . favourite thing wonderful comfy bed - good bed ever sleep hotel stay . staff super friendly hotel room spotless - huge bathroom . would hesitation recommend stay . 
 Apr 22 2009 	 great location comfortable clean - everything need hotel 	 choose hotel base great review free internet access provide disappoint . bed large comfy , bathroom clean spacious feature lovely bath product fluffy towel , staff helpful courteous . decor kind Art Deco theme expect boutique hotel stark , minimalist style . hotel locate step Powell St. cable car minute ' walk BART MUNI station ( two public transit system serve city ) . also within easy walk distance many attraction , cafe restaurant , yet 's noisy area . not try restaurant can not comment . staff let we print e - ticket Alcatraz tour use laptop printer lobby charge much appreciated . also happy give direction whenever ask . free Internet access great able get info attraction easily find get around town use MUNI web site . free DVD library also nice touch though end time watch movie . one minor negative point room face back alley probably hear garbage truck go early morning light sleeper , pretty normal downtown hotel . be extremely loud audible . minibar fridge seem buzz quite bit first night noise seem disappear . another small thing somewhat annoying card - key room fail work one occasion . two occasion go back lobby twice remedy situation ( occasion send we back upstairs assure we key would work still ) . , end world something hope remedie . in sum , would definitely stay hotel provide price stay reasonable , would recommend traveller appreciate quiet , comfort courteous service . 
 Apr 20 2009 	 clean smelling like rose 	 friendly staff dvd library nice surprise . first time ' ve experience Eco theme make boutique - ey . location central Bush St road Union Square . also pretty much route pier via Chinatown Little Italy either cable car bus . great location price ( winter time ) . 
 Apr 20 2009 	 Perfect location explore San Francisco 	 partner stay Orchard 4 night start Pacific Ocean road trip . plan explore San Francisco head coast , base , hotel ideal . locate 10 metre Powell Street cable car route mean could get Fishermans Wharf easily . hotel also close proximity good eatery shop - eat Loris diner round corner morning - excellent . also pay visit Cheescake Factory top Macys Union Square - 2 minute walk . the hotel smart clean . public space pleasant , room , although little flowery taste , comfortable . the staff polite helpful - great ask Napa Sonoma vineyard suggestion , look address write information . the small downside cost valet parking - $ 45 per day work expensive picking car airport . would recommend collect car leave city - manage nicely public transport time , unless plan explore afield . alternatively could probably find cheap parking space try . all hotel excellent , recommend ! 
 Apr 16 2009 	 great location great hotel 	 stay San Francisco several time last year Orchard hotel probably one would choose return . room good , staff helpful location excellent . good value money . we also eat couple good place will not break bank within walk distance - Hunan Home ( chinese ) Jackson Street Fino ( italian restaurant locate via google Trip Advisor ) situate Andrews Hotel couple block away Post Street . turn 7.30pm lucky get table - Friday night place buzzing - turn people away leave , right centre ' book - luckily time right get free table . 
 Apr 8 2009 	 AMAZING 	 usually stay four seson ritz , however hotel get great review trip advisor decide try . pay $ 110 / nite + $ 40 valet us inexpensive give usual rate $ 300 - 500 / nite . would easily pay much stay here . the location perfect easy get Fisherman 's warf ( personal car hotel drop we $ 15 ) , China town Union Square short walk . feel uphill walk good yummy foor eat . ( Michel Mina 's restaurant/ Roxannes breakfast ) . also find stair Stockton bypass hill . the service great , get late want take . concierge menu 's room minute arrival . bathroom terrific robe comfy . really use free internet dvd player . large selection movie borrow . helpful since deal est.also book get email ask question . ask place eat conceirge email back 3 recs web link . definitely back . also give discount return customer . 
 Apr 8 2009 	 clean comfortable quiet room great location . 	 husband value clean comfortable bed . bed comfortable , room clean quiet . bathroom roomy . tub shallow enjoy soak , water pressure great shower include massage set aching leg . the Orchard conveniently locate near great shopping , Saks , Nieman Marcus , China Town . the trolley step away . great italian food near serve till 12 . { ask front desk } Mel 's Drive Diner killer french toast , service till 1 am . pay high price valet parking , heck , vacation ! 
 Apr 6 2009 	 good central location clean spacious room free wifi 	 stay 2 night end March . room spacious free ( easy use ) wifi . easy walk Union Square , China Town , transport link , cable car , restaurant etc . , although main road problem noise . would stay much well value mainstream hotel Union Square Fishermans Wharf . 
 Apr 4 2009 	 great hotel great location great staff pay ! 	 Orchard , unassuming hotel first class opinion . room spacious , ask quiet room , clearly . trash pick - up alley somewhat annoying . staff friendly bellman give accurate information city service . location perfect plan -- able walk everywhere want go take cable car , corner hotel . not really try resaurant hotel , although menu look great . opt walk several close resaurant breakfast -- recommend Lori 's Diner , block Powell -- great 50 's type place good reasonably price food . Cable Car Cafe , next door Lori 's also good breakfast food , although modest , quick one hurry . make Ferry building , see get reservation Slanted Door . good upscale asian food reasonable price ( dinner two $ 60 ) . finally , 2 block away gateway Chinatown ( Grant St Bush ) . Dick Lee 's Jackson Street ( Grant ) frill Dim Sum lunch $ 5.99 buffet well stock tasty . 
 Apr 1 2009 	 Great Value Great Location 	 impressed hotel . good room , friendly helpful staff . great location easy access transport many San Francisco sight . 
 Mar 30 2009 	 basic establishment noisy location 	 read positive review hotel Trip Advisor decide give go . however , find establishment far & quot ; ordinary & quot ; expect , sleep restful due external noise ( delivery truck , traffic , etc ) hour night . the location convenient . short walk Powell St Powell St BART station ( note : arrive train may wish grab taxi , unless be prepare drag baggage steep sidewalk ) . cable car stop meter front entrance hotel , great get hill Fisherman 's Wharf . free WiFi lovely bonus . all - in - all , place okay . next time pay bit extra comfortable ( ie quiet ) establishment . 
 Mar 20 2009 	 Perfect location lovely hotel 	 short weekend trip San Fran , place stay . take flight San Francisco , take Bart Powell , walk block ( sorry , uphill ! ) be perfect location enjoy beautiful city , whether go north , south , east west . intersection cable car stop ( Bush Powell ) , walk , taxi cable car anywhere city . minute shop China Town . enjoy ! oh , great breakfast next door Roxanne 's . 
 Mar 18 2009 	 Great Hotel Stay 	 stay Orchard four night March 2009 . location , two block Union Square , perfect . room , although face busy street , quiet . room immaculate bathroom huge . bathroom amenity perfect bathrobe provide hotel gorgeous . staff friendly helpful . hotel restaurant also good . two minor problem . one evening hot water maintenance problem . departure require early limousine service airport doorman fail make . overall stay boutique hotel pleasant definitely stay next visit San Francisco . highly recommend . 
 Mar 18 2009 	 clean hotel courteous staff superb location . 	 stay Orchard Hotel vacation San Francisco first week March 2009 love hotel . clean , staff courteous helpful could not happy location since rent car . couple block chinatown one direction Union Square - right cable car line . not eat restaurant can not comment food . get great rate room little season , ever get back San Francisco , will definitely consider stay . 
 Mar 10 2009 	 fantastic hotel good location - cab need ! ! 	 Himy hubby stay Orchard 4 night Feb , part us trip , read review great - true . front d staff friendly helpful , room overall hotel lovely importantly - convenient location . could walk every major attraction , every direction get want max 15mins . chinatown literally 2 min road make thing even well cable car stop front door ! ! could easily walk financial district , union square , coit tower , lombard , north beach ( good dinner ! ! ) . even want come back way home book , see . would recommend anyone , definately go back next time . free internet use also great service ! ! could not get , end stay palace hotel - amazing hotel , get amazing price expedia - well worth little bit extra , absolutely good hotel ever stay - well waldorf astoria NY ! ! 
 Mar 8 2009 	 Great Stay 	 book hotel good deal , lot cheap rest hotel San Francisco . hotel close Union Square main shopping district altho quite big hill negotiate ( find stair make little easy negotiate ) . cable car also nearby able jump get Fishermans Wharf handy . service great also free wireless internet come handy ( also laptop reception use free ) . room great , bathroom big bed comfortable bed ever sleep ! would definitely stay . 
 Mar 7 2009 	 excellent location tourist 	 location great . cable car service almost outside door . Union Square 2 block downhill . China Town 10 minute walk opposite direction . North Beach ( italian area ) another 10 minute beyond China town . need car stay ( anywhere SF matter walk easy - like hill - public transport fabulous ) eat breakfast different place - never hotel . roxanne corner ( almost next door hotel ) amazing breakfast often eat head day . the Hotel fine & quot ; say tin & quot ; .However big turn noise hotel wide aircon make . do not even switch yet pipe hotel draw air room circulate elsewhere create annoying ' whurr ' whine keep awake night - even earplug ! front desk say could not anything it . if be not annoyance , would stay look elsewhere next time ... already somewhere else mind . this shame way fine . 
 Mar 6 2009 	 5 * room 3 * price 	 get great deal expedia . stay 4 night . location central right tram stop . clean , quiet , comfortable room good lot 5 star hotel ' ve stay ( minus certain amenity shoe clean toilet amenity .... big deal ) . seem make right choice booking room basis . breakfast $ 18 hotel see people eat . area great place breakfast much cheap price . front desk staff helpful polite . 
