quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Apr 4 2008 	 always wonderful 	 return another stay Landmark 100 % happy always . team excellent , every single one come contact nothing much trouble . room fantastic , way good fact , take lot get we , seldom sleep comfortable bed . highly recommend hotel , one leave dissapointe . 
 Feb 29 2008 	 nice 	 enjoyable stay Landmark recently , problem stay , room clean spacious comfortable , staff great . the hotel central hope Marylebone station right outside back door . 
 Jan 21 2008 	 Lavish Landmark 	 wife stay weekend . magnificent restore victorian building ! superb stay make pleasant wine taste event attend morning afternoon , sanctuary room collapse later fabulous . large room view inner courtyard , Winter Garden Restaurant could hear sound softly play piano waft upwards .... ( might wine ? ) dine instead Tea Cakes late afternoon . nice prepared pay usual . this traditional five star elegance grand scale may everyone taste . stay clear mini - bar unless someone else pay . possibly expensive ' ve come across . close tube public transportAll say real experience well worth stay . 
 Jan 15 2008 	 Lovely Pricey 	 husband stay Landmark London , brother sister - in - law , New Years Eve 07 . hotel beautiful definately WOW factor . atrium amazing room overlook winter garden ( indoor ) . room spacious , clean well equipte , though would think twice inside face room , can not open window , make room stuffy , aircon really feel need fresh air . we do not eat restaurant pricey decide eat Cellar bar serve day resonably price - unfortunately go refurbishment shut ! drink nice Mirror Bar think drink way overprice , expect pay hotel especially London £ 50 4 drink ! ! think bit much , cheap drink mini - bar room ! ( joke ) .The breakfast morning also quite expensive £ 30 , order tea + toast room , relax . having say , hotel beautiful fantastic experience . money object want somewhere special , stay - full wallet . , Chesterfield Mayfair great hotel great restaurant ! 
 Jan 10 2008 	 mixed feeling 	 mixed feeling Landmark . beautiful property good location use underground walk like walk . hotel cold feel . every turn overcharge constant tipping . do need whole person show every day new ice bucket check mini bar 5 pm ? ? ? whymust pay $ 20 person time use pool ? ? ' ve never charge pool use before . the executive room large great bathroom . attend tea - the bad tea ' ve ever attend $ 70pp - go Ritz . concierge great beginning get sizable tip day one less helpful . fact last day refuse print boarding pass - they actually say pay use computer printit . appreciate . also last night maid leave few towel toiletry .. shabby hotel caliber . 
 Jan 6 2008 	 really good ............. 	 little attention would fantastic . the room good pity be not ready check , arrive 2.30pm , gently tell ( remind ) should not arrive 3 pm ! quite annoying next day went shopping arrive back approx 3 pm room have not clean all . some friend come around join we coffee one afternoon , main area fully book apparently public room tea coffee serve , end tea serve room 7 people , would expect 5 star central London hotel . maybe bit picky everything else really quite good often informal meeting London guarantee place tea coffee will not stay 
 Jan 4 2008 	 Outstanding Hotel 	 stay Landmark April 2005 . outstanding hotel , particularly family . booked & quot ; family room & quot ; one high floor . provide we two room three bed ( one roll away ) , reasonable rate . restaurant little pricey , food excellent . immediately back door hotel train station numerous food option , include small market . altogether , pleased Landmark would definitely book . 
 Dec 28 2007 	 Honeymoon Stay 	 stay 3 day part honeymoon . lovely hotel , room fantastic , ( get upgrade free charge ) . food xmas day fantastic staff always polite attentive . drawback one , supply tea coffee room , send , expensive . location ideal , quite within easy walk distance regent park , hyde park , shop oxford street . 
 Dec 26 2007 	 old stylish charge pool ! 	 stay Landmark pre - Xmas London spree . well locate Marylebone underground station , old stylish hotel . everything London expensive , room large quiet . hotel ' forgot ' communicate pool charge ( $ 22 adult/ $ 15 child ) though , find completely outrageous . 
 Dec 16 2007 	 Pretty Poor 	 say 1st impression important . landmark reception staff aware important issue . check 3 pm 4 room . none ready . Reception Staff argue stage whisper would carry deal we . offer complimentary tea / coffee basement bar promise come get we room ready ..... 4 pm go reception find would ready key magically appear . key work , advise go back reception top floor get new key , rather concierge come we . pretty poor £ 183 per night breakfast .... oh , checkout , try invoice someone else 's theatre ticket ! 
 Dec 3 2007 	 world 	 ' ve stay hotel 2 colleague business trip & amp ; say be one nice hotel ' ve ever stay in . it be really good location & amp ; staff lovely . my room fantastic & amp ; meal evening superb . I say , breakfast do not match 's £ 28 price tag , full English . pay , would go Cafe road . no tea / coffee make facility room pretty normal 5 star hotel . my room overlook Winter Garden & amp ; agree previous post , would lovely could open door onto balcony . overall , would recommend hotel everyone . 
 Nov 26 2007 	 Nice Landmark 	 room nice . bed clean & amp ; new looking . bathroom nice . stay deluxe room overlook winter garden , shame window . food excellent . big hotel & amp ; room side lift , take least 5 minute walk round . also key work go reception , long walk , get back . tarrif seem expensive @ £ 470 , however business trip pay . overall high standard hotel disappoint get right price room overlook winter garden . 
 Nov 13 2007 	 Business Travellers 	 wife start Landmark 7 night Executive Room early November . view , hotel nothing pleasant . food ( per person order room service ) expensive even London standard ( £ 44 2 burger ! ) although quality reasonable . business traveler hotel sub standard would stay recommend option business traveler . business channel ( unless speak german … what ' – cheap subscription option ? ) ridiculous ( even comprehensible 5 star hotel ) . secondly , get internet access 24 hour £ 15 – ridiculous nearly hotel would offer hour small parcel time . thirdly , charge £ 3.50 per day Financial Times – even newspaper option rather Times . finally , charge guest hotel use gymnasium ? rare concept luxury hotel one acceptable , view , offer exquisite – ' . fact , gym appear somewhat afterthought despite recent upgrade . large enough many exercise ( jump without hit head roof ) space floor exercise warm ( admit pool however nice ) . plus side , executive room spacious , daily clean fantastic , staff pleasant Hotel somewhat Grand . however , positive ' really outweigh negative locate slightly way ( cheap option despite ) inconvenience business need . 
 Nov 2 2007 	 definently worh money 	 currently stay Landmark hotel disappoint thought would arrive five star hotel seem arrive three star hotel . reception staff neutral - nice welcoming rude either . however , big disappointment room . shabby would need renovation . carpet ugly old , bathroom old - fashioned . addition , wireless internet connection hotel even though market business - hotel ! ! internet access one pay £ 15 24 hour use . also , price room service ridiculous . one big cup coffee hotel charge £ 11 ( £ 7.95 coffee + cover charge £ 3.50 order ) . however , many small shop next hotel one buy coffee £ 2 ... hotel definitely price ( £ 350 - 450 / night ) - get value money . would recommend hotel anybody price charge . also , hotel big impersonal - wish personal stay London choose stay Landmark . 
 Oct 30 2007 	 huge disappointment 	 stay 4 night child age 4 6 want special location first trip London . payed fortune 4 night terribly disappoint , stay many 5 star hotel probably least child friendly . family room never give towel child toiletry . could use pool 8 10 swim cost £ 30 one we . many complaint basic hygiene service generally would recommend . 
 Oct 16 2007 	 30th Landmark ! ! 	 spend day ( night ! ) trawl internet ask friend would good place stay London , regardless price special birthday treat ! ? book petrus monday 25th eat travel sunday two night stay . my girlfriend recommend hotel highly enough ... stay , minute valet offer park car deliver bag room park back outside front door pure class . we good breakfast would ever room ( overlook atrium ) beautiful , clean massive .. monday night arrive back lovely meal around 00.30 rang room service dvd player arrive within minute . I spend 2 year work around country , stay hotel b & amp ; b be honestly say none come close place ... save square eye look every review like stay . oh afternoon tea send room will make smile ! ! ! happy travel 
 Oct 9 2007 	 disappointing stay ruin excessively loud band poor disorganised service 	 stay Landmark ( 4 year ago ) frequent restaurant past year . nice stay back decide spend two night celebrate partner 's 40th birthday . londoner will travel extensively throughout UK , fully expect hotel typical London standard & quot ; twice price half value & quot ; prepare disappointing stay . not start well . front building ( underground car park ) close due construction . park NCP block away . check quick efficient show room ( . 126 ) . however , first impression standard slip since last stay room show sign wear tear poor maintenance . decor , furniture carpet fade drab . cushion two - seat sofa soft difficult sit comfortably . repair do room poor quality : crack floor badly patch ( see photo ) even installation carpet show poor workmanship ( see photo ) . closet door close properly light always stay . waste electricity . two bathrobe one pair slipper . hairdryer old outdated keep fall apart try use . room two television ( also outdated ) awkwardly position , make difficult relax watch tv comfortably . tea / coffee - make facility order tea cappuccino room service . tell would 15 minute . take 45 minute . turn service efficient housekeeper leave clean supply room . mini bar replenish . the follow day , find note door hotel request contact reception . time note state 10:23am obviously , deliver well time leave hotel 11:30am return 3:30pm . rang reception enquire note , one able tell we receive first place , despite mention name person sign note . assume could not important . order room service dinner ( item middle Eastern menu excellent disappointed meal delicious first time ) . leave 7 pm West End show . notice many people arrive function . return hotel 11 pm quite people main area obvious sort loud function . unfortunately , level noise room come live band EXTREMELY loud . horror realise room band . exaggerate stay floor vibrate ! ! contact reception twice . first time , tell would ask turn sound party go last 1 . half hour later get louder . call reception tell would report problem night manager . boom music loud not hear phone ring . head throbbing time 1 arrive , frustrated , disappointed exhausted . next morning , check phone message night manager leave we message night , ask we contact reception ( phone call not hear night ) . reception trace complaint check . repeat problem point , insist speak manager . manager promptly arrive deal concern efficient , yet cold uncaring manner . not even introduce partner shake hand . explain give note warn we party room suppose change room . however , state , enquire afternoon , one able give we information . also explain night manager go make arrangement we go another room night not get message next morning late . night manager never bother follow phone call endure 2 hour booming , excessive noise . even able capture noise video . watch one clearly hear music boom ... & quot ; Love Shack & quot ; , oh irony ! cost one - night 's stay waive bill small consolation , give fact special occasion ruin . partner ask hotel allocate room first place , know full well go loud reception ... receive dismissive response another insincere apology . attentive efficient staff could handle situation much well . attitude seem & quot ; little least effort possible & quot ; . 5 - star hotel , standard service far par . staff incredibly disorganise inefficient . reason we endure 2 hour excessive noise . well planning , consideration guest communication , could easily allocate another room . Landmark real disapppointment . 
 Oct 4 2007 	 terrible disappointment 	 stay prior surgery nearby hospital . room describe average give price . restaurant truly terrible . food , poor service slow - give get pudding sit 3 hour . ambience , fake plant platform centre hotel feel like eat middle shopping centre . finally , service unacceptable - hotel standard quality , expect deserve & quot ; & quot ; attitude - got & quot ; can not & quot ; attitude . ' m sorry , really could not recommend hotel price , much well hotel London . 
 Sep 26 2007 	 Airy spaciousness 	 grand establishment build hotel early 1900 's become railway company office . ' rescue ' 1980 's think underwent seven year refurbishment restore lovely hotel . it popular middle eastern guest reflect wealth quality pricing service , good perhaps bit pricey regular tourist . it easy get north London railway terminal Marylebone Station literally across street . the good feature winter garden centre hotel beneath glass atrium roof . sheer height ceiling mute noise well make studious quiet place dine . spa pool area brand new excellent quality . child friendly . room spacious grand reflect age history hotel . 
 Sep 23 2007 	 lovely hotel 	 stay Landmark weekend birthday . staff friendly . room spacious , clean comfortable . food restaurant really good . side tea / coffee make facility room food drink expensive . enjoy stay though would definitely go . breakfast go across road Marlybone Station get bagel coffee us fraction cost hotel food . usually tight , see mean stay . 
 Sep 13 2007 	 Pretentious Overrated Rip 	 stay weekend fiance stay Paris week . location great , right across tube . however , upon arrive doorman rude , help we luggage .... even open door we . upon check room put odd corner wind tunnel . every time neighbor open door would create windtunnel would slam door doorjam . extremely loud 3:00 a.m. neighbor get 6:00 a.m. check . hair dryer room blow fuse take 45 minute electrician come . needless say miss dinner reservation , apology management . second night ask move room noise . move hall new room five minute realize leave bottle cologne room . walk back maid , cologne already vanish . say never see . hmm . Breakfast , ugh . . food absolutely awful , taste like Denny 's rest stop . ask waitress toast never receive , figure thing edible . not know point try make bring 15 slice stack , butter , jam . completely turn that . overall , room big , marble bathroom nice . general decor hotel nice . unless be least 80 look like Daddy Warbuck , expect extremely poor service . bad hotel experience ever . 
 Aug 23 2007 	 bad Hotel London . security 	 Hotel two day hotel room rob person maid allow room . staff mangement hotel help try stop go police . poor training staff manager hotel rude refuse help . hotel disaster anyone plan stay hold event avoid . need hire lawyer settlement make . owner foreign , price high basically three star hotel try present 5 star hotel . avoid risk property . 
 Aug 22 2007 	 's little thing matter ... 	 stay Landmark several time please go back . last time enjoy nice swim morning breakfast winter garden much pleasure . this time though disappointed see feel need charge extra ten pound per person health club use . feel luxury hotel partake nasty habit add extra effect part parcel hotel facility . Drama morning time order breakfast 09:30 10:20 still arrive . upon call room service inform left restaurant would arrive shortly . cold . upset call moan duly offer another breakfast deliver bit late leave . an apology give partner reception appreciate much breakfast would be . still would give another chance though . romantic reason nothing else .... 
 Aug 17 2007 	 Nice Hotel Poor Customer Service Security 	 attractive hotel poor attitude customer poor security . porter help people get taxis front door midnight complain manager respond not see job help customer taxis . difficult find staff around midnight , even front door ! ! number people bad intention could walk hotel without stop . sad could great hotel well management . 
 Aug 12 2007 	 okay find much well 	 well , search hundred hotel London , decide one base location ( close Tube ) , well supposedly large room . email ahead ask early check - in time , arrive 11 . also sign iPrefer program , entitle PRIORITY early check , free room upgrade , free internet , etc . arrive , want check early , tell come back several hour . not even check room available , say 's early checking . , wait around nearly three hour , desperate need shower place change , get room . course , high room category available . much iPrefer benefit . the room nice , MUCH small thought would . hotel really nice looking , show sign age , room . would hear people walk hallway . enjoy stay , despite numerous problem ( internet would not work , key card would not open door , twice , go get reset , maid knock despite dnd sign , etc . ) .I must also mention breakfast good , eat hotel include ; would never , ever pay equivalent $ 70 US breakfast ! ! , convenient location nice hotel , numerous problem encounter unwillingness staff accomodate need would make think twice stay hotel future . 
 Aug 8 2007 	 Excellent hotel service 	 wound book Landmark last minute problem another hotel book . get decent rate Landmark , although price much hotel , book one room Landmark room large . wife son could not happy hotel . yes , location bit way , many other say , be right top Marylebone Station make easy get anywhere London quickly . the service hotel impeccable . room always clean perfectly concierge extremely helpful . even receive handwritten note hotel 's manager congratulate wife anniversary . however , even though hotel rate expensive , nickel dime death . generally expect get certain amount , much ' ve ever nickel dim death hotel . make 10 minute phone call American Express charge 75 pound . outrageous . that say , be need anything hotel chill sleep . use gym ? kid ? will walk 20 mile day tour London . need snack , coffee , Whopper ? either station nifty little coffee shop corner . need drink ? hotel within walk distance numerous pub . need check e - mail ? 's internet cafe right street . mind , ' m big fan convenience willing pay , charge hotel add convenience beyond lazy guy like willing pay . besides , nothing like head check e - mail getting stop pub two ( three , four ) way back . in spite various charge , doubt have willing stay Landmark . 
 Aug 5 2007 	 nice hotel 	 book family room , superior room deluxe room family room gigantic bathroom ( large ) walk shower bath tub . room face atrium ( winter garden ) nice . excellent bride bridesmaid prepare ( wedding Landmark ) ample room . room two queen sized bed fine two grow up two kid . steam dress press shirt everything come back quickly . room service food right . woman use hotel hair salon please final outcome though one case ( bride ) , first attempt want it . the superior room much small still nice though face outside present cover scaffolding . I never see deluxe room stay happy . face outside sixth floor scaffolding . the bar bit pricey outrageous group lounge happile late night . one thing unhappy back entrance , normally board taxi , close late evening inconvenient hail taxi front entrance , especially rain cat dog . wish would figure well way guest catch taxi late . the price get room fair quality . 
 Jul 20 2007 	 Fall Grace ! 	 stay many London 's luxury hotel constantly find Landmark set bench mark amongst London hotel , quality service . truely fantastic hotel well stay many time , recommend many people also love it . the room immaculately present spacious London standard . the hotel slightly away main tourist attraction hotel , not let put plenty interest within walk distance hotel , besides , Marylebone railway station underground tube station rear hotel reach within second foot . stroll Marylebone High Street well worth time . also good supply taxis outside hotel proximity railway station . recent stay number problem , stay previously , may put return Landmark future . often case , accumulation numerous small issue tarnish stay . I one new aspect hotel find disappointing . hotel recently renovate fitness centre spa decide charge guest £ 10 day access . wife like work stay hotel tend use facility . mean end pay additional £ 20 per day top room rate use gym around 45 minute day . sound cheap luxury hotel ? accord management Landmark alone view charge anyone stay feel please let know . I definitely go back would still recommend friend . hope next stay , iron problem encounter last visit maybe even drop £ 10 gym charge - optimist ! update review next stay hope report Landmark 's fantastic self . 
 Jul 17 2007 	 Food outrageously price Chef need replace ! 	 book directly hotel 's website , good rate Landmark search endlessly good rate family four London . hotel London would require pay two room family four , rate least 150 - 190 pound plus 17.5 % vat room decent four star hotel , Family deal Landmark 299 pound , vat inclusive per night well free english breakfast sound like good deal indeed . however , get pay . despite wonderfully furnish room show hotel website , room ( suite ) lack furniture & amp ; decor looked like recently rob . bare wall stain carpeting configuration furniture long place lead we believe room soon undergo renovation point . room standard rest hotel , hence discount , would scandalous ask 299 pound per night room . not add VAT well free english breakfast throw deal , room would worth . hotel also renovation front area , scaffold everywhere , enter back . fact conveniently leave hotel 's website . hair conditioner amenity , although hotel free replenish soap , etc . hair conditioner request supply adequately . staff friendly professional , mostly non british . respectul , open door defer time , 5 star hotel . staff always helpful . every single time rang housekeeping iron & amp ; board , extra towel , hair conditioner , etc . staff member arrive within five minute . good service . food . one start ? think idea 1980 's & quot ; nouvelle cuisine & quot ; dead , push tiny portion exhorbitant price long public . however , & quot ; nouvelle cuisine & quot ; order day hotel 's food . uninspired , bland , badly cook , ripoff price -- food scandalous . child 's meal 14 pound contain tiny hamburger , chip two tiny onion ring . angus steak 26 pound pan fry ( gross ) , small bad cut . come tiny bit spinach 2 - 3 mushroom finely dice . breakfast poach egg asparagus beaurnaise sauce two tiny egg sit 3 - 4 asparagus spear sauce . enough even feed cat . 15 pound bit eggy vegetable . the free breakfast horrendous price . continental breakfast 20 pound sterling coffee , tea juice , fresh fruit ( even blueberry raspberry price strawberry priciest fruit make available ) , muesli sometimes stale croissant glaze type patisserie . give meal card upon check advertise would pay 1 pound year child 's age breakfast ( ie . 3 year old pay 3 pound , 8 year old pay 8 pound ) . although breakfast include room 's nightly charge , still present bill every morning , sometimes bill would accompany hot food begin meal find terribly tacky say least . earth food get present along bill ? cafeteria course ! would appear quickly hotel want eat breakfast ! sum breakfast manually reverse bill someone behind scene , still go receive bill every morning despite part family deal . every morning child 's breakfast charge differently , every morning choose eat continental buffet already set . 6 night . one two morning girl charge 20 pound item continental breakfast buffet . morning drink appear bill . the restaurant must inefficient ever encounter must bleed profit every orifice can not even standardize food preparation , serve , billing , etc . hand , charge extremely high price everything , suppose always make huge profit matter glaringly obvious mistake industry ! four slice cold toast , 5 pound , 25 penny . freshly squeeze orange juice ? price . almost every morning toast come cold toast rack . one morning omelette join toast serve cold . gross . 5 star fare ? food affluent . badly prepare , badly serve & amp ; badly price . location hotel ideal , locate right across Marlebone tube & amp ; train station . overall , one get feeling & quot ; nickel dim & quot ; death hotel , awful . need use computer business office ? pound minute . seriously . well deal London Kingsway Hall Covent Garden , although 4 star furniture look somewhat tired depend room get fabulous huge breakfast buffet freshly cook food constantly replenish throughout morning . not remember 10 - 13 pound sterling per person . hotel amenitie Molton Brown , step amenity Landmark . Landmark place Molton Brown downstairs bathroom hotel room . 
 Jul 17 2007 	 favourite - wonderful special experience 	 ( 2 adult + 2 child ) mean stay Hilton Metropole 2 night discover 8 pm ( day ) non smoking room give someone else Hilton would nothing contact Landmark . know Landmark excellent repuation desperate console child . angel call Margarite take call turn special weekend London nightmare wonderul experience forget long time . yes Landmark expensive Hilton ( would expect compare quality ) decide would rather one night luxury , two night price Hilton ' cattle market ' ( see review ) . even upon enter Landmark know do right thing . wonderful . envelop serenity , calmness beauty . spacious room magnificient luxurious bed linen furniture . dinner magnificent dining room food delicious service excellent . child make welcome treat like royalty . could stop smile . breakfast another beautiful dining room superb . make joke like , ' scared go wake dream back Hilton ! ' still glow experience . husband promise stay two night next time enjoy spa wait ! thank staff Landmark make we welcome . 
 Jun 22 2007 	 beautiful hotel mixed experience 	 stay 4 night & amp ; mix experience . hotel beautiful lot history & amp ; well situated . however , experience meet expectation price charge . pay 429 GBP / night ( + tax ) & amp ; get average size room tiny porthole window . request room change & amp ; finally get another room light . particularly big ( & amp ; apparently much small reviewer get ) . second room fine , problem bathroom . sink faucet reverse , think not hot water first night ( be correctly place shower & amp ; tub ) . issue never address hotel , even though raise issue several time . service spotty . people excellent , include front desk traineee . however , many . often front desk staff single trainee not experience poise handle situation . think hotel probably understaffe . also , health club close there . towards middle stay , realize rate much high available rate ( 269 GBP / night available internet ) . give pay premium , get well service nicer room . last night , find room Sheraton -Paddington Station ( 69 gbp include tax lastminute.com ) & amp ; jump ship . stay pleasant Landmark . one tip : exit back door Marylebone Station & amp ; be great Marks & amp ; Spencer ( actually train station ) food stor , perfect quick snack breakfast hte run . 
 Jun 22 2007 	 Hmmm disappoint . 	 Landmark use favourite hotel London , think return . first positive , location great , hotel beautiful staff friendly . suite spacious nice , decor begin outdate , especially corridor . feel try keep room rate low charge everything extra . internet £ 15 extra per day , gym £ 10 extra per day cheep hotel . bathroom one set amenity - one shower gel , one shampoo one body lotion . save money find cheep . be impressed housekeeping either . one day suite make 5 pm maid manage forget toilet brush toilet close lid it . on invoice £ 30 surcharge room upgrade . also three different new paper charge , odd amount . receipt this . another thing make individual traveller uncomfortable amount conference Landmark . , 5 * mean recognise hotel guest . Landmark faile . 
 Jun 7 2007 	 must read .. tip ! 	 boyfriend & amp ; book three night Hotels.com . arrive show room right away problem what - so - ever check . Suite HUGE ( end room ) . think hotel absolutely beautiful ! & lt ; br & gt ; room service breakfast great way expensive . $ 60 usd two egg easy , pancake fruit ... geez ! lazy hungry continue order room service . find small ma / pop breakfast joint right street- serve , chip ( fry ) egg , sausage , bacon , toast , pancake $ 5.00 -- yes ! ! ! great ! also , Mark 's market across street pre - make sandwich ( like old look sandwich find store ) three day , every hotel book far need extend stay Hotel another 7 day rate jump 255.00 usd 560.00 usd per night . problem bill . hotel bill we internet usage not use- $ 30 usd day . they check we new room extend stay , call night say would someone else reserve ! really upset .. be vacation , want move ? ? fault ... say be not move unless give another end room ( much big ) give well rate . agree - thought- get big room . Maid service great , overall hotel rest staff ABSOLUTELY GREAT ! ! ! bartender Mirror Bar Hotel AWESOME -- ! ! ! spend pretty big money there- depend drink ... haha nightly bill probably 1500 usd - drink good wine , lot ! LOLI enjoy fitness room steam room inside locker room ! ! grrrreat ! get back state realize put hold credit card 4,000.00 usd $ 17,000 spend enough ! take 2 week remove hold work hard cc call back every 30 min UK . MSColumbus , Ohio 
 Jun 4 2007 	 Mixed experience 	 stay one night Landmark late May . ' ve stay many London hotel recently high expectation , property meet , other not . problem Arrival : book website , record reservation reservation dept close . fortunately , receive keep 2 email Landmark welcome able share front desk secure room rate contract via website . room ready 2.30pm ( despite email say check time 2 ) . go newly open spa / health club ask see fitness center could plan workout day . tell could not see 4 pm treatment session treatment room along hallway lead fitness center . seriously . fortunately , run another guest front desk could explain detail gym . get well : able check , find bag waiting room ( would expect level hotel , sometimes not case ! ) . room fine size , nicely accommodate american traveler american - style power socket desk . comfortable bed , linen , etc . disappointed room not turn 6 - 8.30 go dinner , bother . bathroom also quite large London hotel . make gym incredibly compact everything fitness craze person could want . spa locker room could minor / detail improvement -- e.g. , shower size towel available ( wait 5 minute ) , body lotion part well equip amenity bar . location great thing -- right across Marlebone tube/ train station . easy access Baker Street tube station . Marylebone , coffee shop , plus Marks & amp ; spencer food outlet . overalll , average stay , yet initial welcome incredibly off - putting . feel like large , impersonal hotel , large course ! 
 May 24 2007 	 Great Hotel 	 great hotel - top notch service great room - full luxury . directly across street tube station convenient location hotel ideal walking . travel child complaint - absolutely great . 
 may 22 2007 	 nice place organise 	 stay 1 night Landmark part large party attend prestigious award ceremony . Athough know 100 room need event not ready . many we not take well tell change black tie event health club . luckily get room , elegant comfortable . apart bit phase staff would not let we use lift transport good , stay go well . 
 May 18 2007 	 expensive well worth . 	 stay Landmark week past April find wonderful . London likely expensive city Europe take two suitcase , one clothe another money . say entire experience great . location good two Tube stop paddington station come city rail Heathrow . Landmark near Regent Park , Baker Street wax museum , importantly step back hotel walk beneath glass awning enter Marylebone tube station . arrive 8:00am Toronto room ready 10:30 . family room face interior courtyard . hotel like picture website . hotel spotless , service great everything one might expect 5 star hotel . expensive know book , pleased find not disappoint . lobby room spectacular enjoy classical pianist day play second level . unfortunately spa pool renovation can not comment aspect hotel . not eat hotel , spend time explore city dine various great restaurant . tube station Marks Spencer fresh food store well couple coffee shop / bagel stop light breakfast heading . hotel bar quiet go several local pub couple evening go on . I think price charge include internet service think 14GBP night . lose business go road block internet cafe 1gbp / half hour check email every couple day . several different people staff concierge desk always helpful . would perhaps less expensive search around theatre ticket simply let make arrangement get every event want . consider football ticket could also get playoff go way expensive find pub watch game tv.this trip & quot ; lifetime & quot ; university graduation present daughter enjoy whole trip . hotel great have highly recommend . 
 May 17 2007 	 Beautiful hotel - shame service ! 	 second stay Landmark - hotel definitely 5 star wonderful example well keep luxury hotel LondonHowever restaurant unbelievably expensive - realise top London hotel even £ 25 fish chip Salmon caeser salad average restaurant - far much ! drink bar cocktail £ 12.50 expensive even London hotel standardsbreakfast particulary poor service wise - one point waitress actually enter argument we want breakfast cooking ! expensive worth quality service wiseThe room lovely - however would expect bottled water bed turn - benefit Landmark - do not even bother give we turn service night stay complain nobody concern - reply & quot ; can not anything ! & quot ; be not make aware swimming pool refurbish be not available use - apparently due open couple weeksIt much business hotel business do not really bother - personally prefer Jumeirah Carlton hotel similar price much much high level customer service nice little 5 star extra throw inWe also notice check £ 100 room rate take card - come away still sure take deposit trust get bill be not still bill - never see top hotel be not fond ? bathroom nice - toiletry though limit - hair conditioner hair dryer absolutely awful - make sure take difficult use style hair itno coffee tea make facility disappoint especially cup tea room service £ 5.50 ! ! ! ? finish positive note expensive hotel pay well £ 300 night - beautiful impressive - lack lot 5 star service facility opinion will not go back 
 Apr 17 2007 	 Nice Business Tourist Hotel 	 recently finish five night holiday London stay Landmark . enjoyable , mind business traveler family tour London surrounding area . say , would stay think staff overall amenity excellent . ' include discussion location , hotel service , room , tourist v. business . locationthe location plusse minus . first , right across street Marylebone tube stop block Baker Street tube stop ' wonderful . first , come hotel meet family England day take Heathrow express Piccadilly breeze get hotel via tube . terrific entire trip get around , everything available either Baker Street Marylebone stop . one nice amenity shop station . morning stumble get morning latte yogurt convenient ant save time money . another terrific local amenity nearby Regent Park . one late afternoon meet , walk park Prim Rose Hill district , wonderful , follow canal Camden Town find terrific restaurant dinner ; Strada . wow , Camden Town change last 6 - 8 year . would compare Camden Town Mayfair Covenant Garden district , much less like Soho today six year ago . great afternoon evening . downside location ' little bit way many activity short walk . west , either Mayfair district , around Covenant Gardens area ' close Thames much simply step outside hotel . however , like location . servicesthe hotel ask . need change room arrive concerned room Marylebone Street would noisy . hotel extremely helpful meeting requirement . time call front desk concierge greet warmly service terrific . ' especially important note Seville football team stay hotel two night early trip delegation Thailand stay hotel latter trip never felt ignore . RoomWe purchase room via internet booking site please entire accommodation . stayed call " Family Room " , large single room two queen size bed . bathroom generous spacious , do white marble nice bathtub shower . everything terrific . also think nice touch room wire 220v 110v work desk . note big deal , nice touch attempt appeal Americans . Tourist v. Business HotelAt end day , feel much debate place business hotel tourist hotel . would call place stuffy formal , simply gear kid . 15 year old daughter we love place , like many hotel London , Landmark relatively small foot print much room hotel much anything typical function . SummaryAll , nice place would definitely stay . 
