Great 	 Hilton away great business hotel , Thanksgiving weekend , perfect hotel location go mutliple play . NYC many time , convenience time fabulous . hotel perfectly locate middle everything well well run , good service . lovely high level room . one small , encounter rude breakfast waiter big hurry get shift 11 , odd exception . 
 Jul 5 2008 	 good hotel cater well business traveller 	 excellent hotel , business stay . staff friendly helpful , pricey unfortunately , pay might pay much . breakfast good , room clean location good , expecially tourist ! 
 Jun 30 2008 	 stay NYC 	 location great , walk distance much . staff wonderful responsive need . room clean flawless , food great restaurant main floor . overall super experience . one tip , walk one block east Port Authority catch New York Airport Service Express Bus $ 12 way La Guardia . 
 Jun 26 2008 	 Great Location Good view friendly staff 	 ' ve New York City many time business vacation never stay hotel . head Canada business American cancel flight last minute . frustrate check bag get flight cancel . wait bag look hotel book last minute . many hotel full . see one available book . not many option frustrate not expect book hotel NYC . fly quick meeting expect head Montreal another meeting day . I call hotel confirm suite high floor . $ 400 + tax rate . take taxi promptly check hotel . everything quick easy front desk room wait . bit strange since take elevator ground floor lobby another set elevator room . room 35th floor spacious amazing view . surprisingly quiet even though face Times Square . location could not well heart action . entrance Time Square another entrance 44th Street well . bar front desk area . nothing super high end busy check in . the room comfortable King bed comfortable , good sized bathroom , LCD tv couch desk . view great . friendly staff problem . pay play internet $ 21 per day work glitch free . high end hotel NYC location great want heart action . 
 Jun 25 2008 	 awsome ! 	 stay Hotel Twice last 2 year process booking ! yes hotel location fantastic staff great main reason stay disabled access . before book first time look internet site MONTHS trying find hotel good disability access good location even E - mail around 30 hotel information regard disabled access hotel answer HILTON ! stay do not care find cheap ! last year even get 2 New York Giants game ticket exit ! never think would get ticket ! that s good front desk ! well Hotel ! whole NYC ! 
 Jun 22 2008 	 good hotel large bedroom well situate 	 stay 5 night Hilton Times Square . 2nd time 5 year , usually go Novotel NYC . upgrade executive room 41st floor . room large , perfectly clean , comfortable king size bed . nice bathroom real tub lie . lot towel , change every day , also bathrobe . large LCD . well - sized desk good armchair . high - speed ethernet connection . everything work efficiently . face issue safe fix 10mn . customer also satisfy . drawback noise 42nd street , even 41st floor ( outside building worker , pick even 10 pm saturday ) . 1st time , room side , less noisy . breakfast could better 30 $ ( incl.tax & amp ; tip ) , low quality one offer Novotel NYC price . service good ( bell man , restaurant , concierge ) excellent ( front desk , security maintenance ) . check - in & amp ; fast . access simple metro , 42nd PTA station , step PTA terminal commute to / from airport airlink shuttle . I would definitely recommend hotel get reduce rate , public fare 500 $ money . 
 Jun 21 2008 	 Great Location Great Hotel ! 	 stay March 12 - 14 , 2008 two daughter combo business trip / pleasure trip . hotel AWESOME ! 's centrically locate right next door practically Madame Tussauds great place eat . nice drink lounge great view ! love place ! housekeep great , staff great ! thing like pushy doorman / cab hailer back door face Madame Tussauds . can not hail taxi since already line ! limo take airport compliment company OPEN door we ask first place stick hand like 5 minute get picture expect tip . begrudingly give like pan handling opinion ! great hotel , stay away back door taxi area . hail taxi 's street . be cheap ! 
 Jun 20 2008 	 Weekend NYC 	 great hotel family 's first trip NYC . block Times Square , plenty family friendly restaurant near Hard Rock , Planet Hollywood , Dave Busters , ESPN Zone etc . close theatre district . wanted hit main tourist attraction , Times Square , Rockefeller Center , Central Park , Empire State Bldg , lot lot shopping take show . find hotel convenient . room clean , large enough two adult two kid ( 10 & amp ; 14 ) quiet . applebee attach hotel street level great quick reasonably price breakfast day start . hotel staff friendly accommodate request . would highly reccommend hotel look convenient location Times Square . 
 Jun 20 2008 	 great Time ! ! 	 husband return 9 night stay Hilton Times Square . research alot hotel prior make reservation . choose hotel good review . part everything say true . the location right middle everything ! convienent anything everything . Port Authority , subway , restaurant , Broadway show shop . the room large clean . bed extemely comforable bathroom decent size . always hot water . elevator fast . 2 occasion call maintenance , sound one tv channel a / c not cold could . crew efficient take care issue right away . I say enought staff . everyone extremely nice helpful bellman front desk . adrian conciere pleasant always willing explain direction we . olga front desk one nice lady ever meet . the thing would change would add drawer space free internet service room . pay $ 500.00 night think unfair pay extra this . other , wonderful time would return . 
 Jun 15 2008 	 central location good place stay New York 	 great central location , near everything ! nice room , decent bathroom professional staff . clean room bath , nice amenity . Steps Port Authority Terminal , subway , theatre lot atraction restaurante . 
 Jun 1 2008 	 nice place central location 	 main entrance hotel actually 41st St. , be another one - easy miss except big askew clock - middle busy block 42nd , 7th 8th Aves . room 23rd floor , lobby 21st , via dedicated elevator . get late tell room not ready . take cell number say would call . , 1 pm . ( baggage check ground level . ) get key take line desk . the room , 23rd floor , bright , clean spacious , desk , lounge chair 37 & quot ; flat - screen tv , use get local weather . big window let lot light offer decent city view . street noise , 42nd St. be talk . nice - sized closet real hanger , cloth bathrobe , . almost slip shower , though . mention check - out , clerk tell could ask mat , might want keep mind . a passable exercise room & quot ; CC & quot ; , mezzanine , level , 23rd floor state hotel guide room . 's also business center , $ 2.99 plus $ .59 / minute use computer . the location great , short walk subway , Times Square , theater district , restaurant , et . al . big problem negotiate way crowd street . get place Priceline , be pretty good bargain . 
 May 29 2008 	 Core Big Apple 	 wife celebrate anniversary New York City stay Times Square Hilton . abosolutely love location . right heart Times Square within block subway station access almost every subway line city . room start 25th floor , street noise minimized . stay floor 26 , could still hear occaional horn siren , bad expect . problem room slow drain tub lead ankle deep water end shower . overall wonderful stay . 
 may 28 2008 	 Loved Hilton 's location view great 	 excellent stay Hilton . check ask reason visit , tell daughter 's 19th birthday . ask room good view receive one 42nd floor look Hudson Times square . after getting settle decide explore Grand central terminal visit TOTR ( fantastic view ) .When return hotel room huge platter strawberry 's dip chocolate note daughter wish happy birthday . think really nice gesture one would receive hotel . the hotel great location walk distance place be not eat hotel can not comment good food . breakfast menu hotel quite good $ 24 bit price . great Deli across hotel 8thave w.42nd W43rd St . 
 May 26 2008 	 Hilton Top World 	 Hilton Times Square impressive property , perch high Manhattan skyline . room 44th floor luxuriously appoint , high quality furnishing bed , huge flat screen tv . view New York skyline quite impressive , room large . problem Hilton rather rude front desk clerk flatly refuse help make reservation Super Shuttle . hotel , like many other NYC , prefer use & quot ; private car & quot ; airport transfer get commision booking hotel staff could nothing badmouth Super Shuttle unreliable . ' ve always good experience SS , besides have already purchase online voucher airport transfer JFK intention change plan , despite reluctance help . record , Super Shutle two minute early . 
 May 20 2008 	 Perfect be week ! 	 woman family decide going take first ever trip NYC together -- 7 woman two hotel room , still comfy ! hotel perfect want turist view NYC . soooo clean expect NYC hotel . room normal size hotel happy help we anyway possible . security tight , sure feel safe . lobby 21st floor little small , beautiful . stay 43rd floor one room view Times Square view Empire State Building . would not recommend staying time square however , want true local experience , location can not beat . directly downstair hotel AMC Theatres , McDonalds , Dave & amp ; buster , Ripley 's Believe , Madame Tussauds , NYC Gift Shop , subway stop ! across street shopping Cold Stone . * * * TImes Square weekend CRAZY . would not recommend weekend . can not get anywhere sidewalk insane . the hotel rock though , want stay TImes Square ... stay . 
 May 12 2008 	 great stay Hilton Times Square 	 get back fabulous stay Hilton Times Square . hotel perfectly situate stay New York - right heart city , hotel like oasis calm . certainly could barely hear noise room , 27th Floor one low one . opinion staff pretty neutral - reason award hotel 4 5 . job , can not say 're anything exceptional . spend night prior trip Hilton Stansted Airport staff much well . stress experience problem staff - perfectly efficient courteous . the room great - much big ' ve enjoy previous trip New York . lovely king size bed comfortable . bathroom bedroom area perfectly clean tidy . we breakfast first morning , curiously good have expect . , English Hilton hotel seem bit well ! good enough , lacked & quot ; wow factor & quot ; . not include room rate , set we back around $ 60 two we . get pretty good rate hotel , consider worth price pay . maybe ' m unfairly harsh becuase expect rather lot hotel , name location , also read amazing review . would describe convenient , comfortable perfectly adequate every respect . little tweak could make hotel even well . 
 May 8 2008 	 bad well 	 travel Amercia , stay San Fransicso , Los Angeles , Las Vegas lastly New York . say least favour hotel . dinner hotel first night , terrible shockingly overprice . room ok , nice clean . good location see New York . would not recommend hotel friend - 's way pricey actually get . 
 Apr 23 2008 	 Great Experience Hilton 	 return trip New York stay Hilton Times Square Hotel 5 night . fault hotel anyway , moment arrive welcome pleasent door man . take lift reception 20th floor , check . staff desk polite upgrade we king room 41st floor view Empire State building excellent . the room clean comfortable plasma tv load space . location perfect close thing want visit see . Times Square able pick Grayline tour bus Downtown loop , port Authority half block away , handy arrive back Woodbury Common weigh bag . Macy 's Central Park 5/10 min walk away 5th avenue leave 42nd street entrance subway station connect part city conveniently . I definately stay hotel next trip New York great experience . would highly recommend anyone want central good standard hotel . 
 Apr 20 2008 	 great stay Hilton 	 husband stay Hilton Saturday night . staff wonderful . drive hotel doorman helpful explain since check 3:00 , would 50 - 50 shot able check right away ( noon ) . tell we go could check leave bag . ( note : drive , valet parking 42nd around back hotel 41st ) desk ( line ) tell we room ready ( expect ) . process check room ready could get key -- instead waiting tell upgrade could check right away . fast elevator , spacious room , great view . location great ! concierge helpful securing reservation dinner . stay sure . 
 Apr 17 2008 	 hilton madness 	 nice hotel , soon walk door mob people.i would stay cause location , unless party animal.try waldorff , way well price ! 
 Apr 5 2008 	 fantastic stay Hilton - Location ! 	 live close NYC use Priceline quick one night stayover . give hotel ( 4 * , Theatre District ) . not sure expect quite pleased . however , risk get double room book thru Priceline . first give Single 2 adult & amp ; 2 small child . immediately go back ask Double . make long story short , bit wait , upgrade double top floor great view Times Square . complaint ! fyi - aware may able get double weekend night . hotel quite nice clean . staff pleasant . valet quite informative . room look like newly do . everything convenient . carmine wonderful family style italian restaurant nearby - prepared lot food . nice bakery around corner . toy r Us hit kid . breakfast price bite high eat breakfast right near hotel . pay valet parking - $ 52 . NYC . would recommend hotel anyone enjoy action Theatre District . 
 Apr 1 2008 	 Perfect Hotel ! 	 boyfriend stay Hilton Times Square 2 night 25th March , find hotel perfect ! first time NYC short time want something central manage find quite good deal consider hotel ' location . everything seem within walk distance great restaurant near , need long day walk around city ( definitely recommend go Red Lobster – food staff great ! ! ) . staff hotel friendly helpful – even extend check time 1.30pm , free charge also look bag / suitcase need last minute shopping . light sleeper bit apprehensive noise would like hotel . pleasantly surprised find could hear traffic , occasional police / fire engine siren . bed big comfortable . overall hotel immaculate – clean tidy . would definitely stay hotel recommend anyone think go ny . request room high level view great . 
 Mar 31 2008 	 Time Square Hilton check good 	 state can not get central Times Square unless sleep square . hotel staff courteous room standard Hilton fare usually cut average . new 3 foot HD flat screen tv . read hotel charge lot amenity use comment information . like NYC bar menu pricey food good step regular hotel fare . bus terminal 1/2 block away make easy access city . clean quiet room middle tourist action . 
 Mar 26 2008 	 Perfect place stay Times Square 	 stay Hilton March 15th-19th . first time NYC family not sure would end with . this perfect . we 39th floor able look onto 42nd . our room double plenty extra space . the staff one friendly ' ve see . husband coat noticable . never fail staff desk recognize would always ask do . we able walk almost anywhere want go . even location Times Square . one draw back internet charge . room cost item refrigerator one would think could charge internet . would keep we go back ? way . would willing tell anyone need stay hotel . 
 Mar 21 2008 	 right centre 	 never New York . easy check . taxi trouble find $ 45 JFK . fantastic room 31st floor . amazing view . could see light Times Square could not hear thing . extremely comfortable bed . huge flatscreen tv . Digital clock . map information guide . big fluffy towel bathrobe . Evelyn Crabtree bathroom goody . free newspaper . we eat breakfast nearby , lot choice . 15 min walk 5th Avenue ( Abercrombie ) . 2 min subway ( buy metrocard really easy ) . theatre round hotel , book cheap ticket tkts day show . choose time St Patricks Day Parade walk Rockefeller Centre watch . really worth go good position get good view . Macy 's Empire State 5 min subway , Ground Zero 12 min subway . Central Park 15 min walk . lot great place eat . try cheesecake Juniors . would love stay one day . 
 Mar 14 2008 	 great location Times Square area 	 spend six night hotel Feb 2008 . extremely pleased choice would happily stay again . positive : - location ! 42nd St. 7th 8th avenue , right heart theater district Times Square area . almost every subway line city pass Port Authority station Times Square station , right hotel . excellent inexpensive ethnic restaurant within walk distance hell ' Kitchen neighborhood west ( avoid touristy chain restaurant immediate vicinity hotel , though ) . feel safe walk alone area night , even midnight ( female ) . ' ask well - locate base NYC . – friendly , helpful staff , checkin checkout . – room keep clean , room makeup prompt . – hotel high , excellent view insulate noise ( noise ' inaudible , muffled , ' bother even though consider noise - sensitive ) . love view north midtown skyscraper Hudson River . – hotel relatively new , show . everything work good shape . – room well light , excellent bedside light reading . – shower pressure hot water temperature excellent . – room quite large , large comfy chair right window spectacular view . bring takeout ethnic dinner back room enjoy gape view . – bed now - typical Hilton comfortable bed , lot pillow duvet . – easy get LaGuardia . take NY Airport Service bus directly Port Authority bus terminal ; stop right outside terminal , quick walk across 8th Avenue half block 42nd Street , ' . easy even relatively large piece luggage , take 25 minute . – ' use hotel ' service , ' comment service charge , check bag hour bellhop downstair ' charge . retrieve bag two minute , , speedy ! negative / other factor ( negative ) : – want bustle crowd Times Square area , may want choose another hotel . minute step onto sidewalk , midst action . love big city , love , other may not . – other mention , take elevator lobby second elevator room – direct trip . elevator speedy , though , rarely full . – pay hotel HHonors point , ' comment price value . – couple time come back room , maid ( assume ) turn heat altogether . although ' big deal , would prefer thermostat leave set . ( would crabbier A / c summer . : - ) – 42nd Street entrance visible . look sign tilt clock 12 - 15 foot street level , little metal statue ground level . never use 41st Street entrance ' comment find that . in summary , love stay , exciting part city , would delight stay travel take back NYC . 
 Mar 13 2008 	 Hotel Nice Price Different Issue 	 okay , upon arrive hotel , nicely greet doorman take luggage bell stand hand another bellman take 19th floor Lobby . upon get lobby , greet front desk manager able check 3 hour early . I give corner room 39th floor face Times Square itself . very nice view downtown area . however concern come in . the next morning , go downstair restaurant get breakfast . I wait stand minute , since one desk sit anyone get seat myself . since , really thristy want fruit , ask breakfast voucher . hand guy voucher way . upon drinking juice banana recieve bill guy . I look , call juice banana would ordinarily cost $ 20.50 . hand stamp say ( gratuity include ) gratuity , juice banana . I would feel sorry person voucher want bowl cereal juice pay $ 20.50.then , upon get bill , notice suppose $ 13.99 internet actually turn $ 15.70 taxis include . so get sense ' m go this . I concern price juice / banana internet one day would ordinarily cost $ 35.00.so beware stay hotel breakfast price internet . the fitness center actually make - shift meeting room . there couple piece equipment use would little embrasse workout clothe 100 people meet outside door talk watch workout . 
 Mar 10 2008 	 Amazing Hotel 	 Hotel amazing , location good great base NYC , service fantastic room massive . I go return hotel soon . 
 Mar 8 2008 	 choice NYC visit 	 wife live NY area , choice weekend visit city . room spacious area , service always good ( especially bell service & amp ; taxi ) . hotel SPOTLESS - lobby room , even snowy / slushy period . nice feature - hotel QUIET - street interior noise . climate control also good . easy subway & amp ; transit . feel comfortable home , never worry unfortunate problem ' m trying relax . 
 Mar 2 2008 	 want stay Times Square nice . 	 Hilton Times Square step away 42nd Broadway , certainly heart Times Square action . daughter stay Dad - daughter excursion NYC . personal preference sleep hotel away Times Square , teenager hard beat . fortunate enough frequent Hilton stayer get deluxe room ( think slightly big ) high floor ( 42nd ) . service cheerful , though not whole lot interact staff . rate , consider typical NYC price , reasonable $ 230 night . 
 Feb 26 2008 	 great place 	 book hotel location . fabulous spot . right 42nd Times Square . situation ideal . the room comfortable clean . check quick efficient Concierge Bell boy helpful . would definitely stay . 
 Feb 23 2008 	 amazing hotel excellent location . 	 stay hotel 16th Feb 21st Feb 2008 . hotel clean , spacious comfortable . staff friendly helpful especially bell man entrance . always meet smile happy give direction advice . room 42nd floor amazing view Empire State Building Statue Liberty distance ! ! amazing ! ! ! ! ! ! ! ! ! can not wait get picture develop ! ! ! ! view priceless ! ! ! travel 2 teenager absolutely love hotel . room clean comfortable bed fresh linen every day . also like flat screen tv ! location excellent shop , restaurant theatre right outside door . go see Mary Poppins brilliant 3 door away hotel . can not wait go back ! ! 
 Feb 22 2008 	 feel Cheated Hilton 	 stay convention . every way felt take advantage . hotel overprice get . feel like giant factory one really care we guest . everything extra . unbelievable hotel charge guest use hotel gym . two year ago hotel charge $ 12 . charge $ 18 . 's 50 % increase . website , mention guest enjoy 24 hour access fitness centre fail mention charge $ 18 use facility . check bag $ 3.50 service hotel even New York fo free . leave feel take advantage bad taste mouthstaye tarnished Hilton name . would stay . 
 Feb 19 2008 	 Fantastic Stay 	 wife stay Hilton Times Square Presidents ' Day Weekend . excellent stay overall . location ideal , hotel look . main lobby room relatively high floor , hotel quiet relaxing -- even midst energy Times Square . check - in check - out efficient -- really not make use many service . room spacious comfortable , great view look north 42nd Street . pack lot sightseeing weekend , nice quiet , comfortable place central location . would go back without hesitation . 
 Feb 17 2008 	 nothing shout 	 take girlfriend surprise say location good , not anything special . actually expect little bit more . bed comfy room good sized , would not call staff helpful friendly . average good - compare Marriott around corner , fabulous . 
 Feb 15 2008 	 Loved ! 	 business , great stay hotel . compare NYC hotel , room huge well bathroom ( stay Sheraton Times Square room TINY ! ) . bed super comfy , room flat screen tv , arm chair desk chair well mini bar . great view Times Square never hear one taxi honk stay ( can not say Sheraton ) . front desk friendly check - in speedy . thing annoying take elevator lobby street . drink night lobby bar service great well . would definitely stay ! 
 Feb 11 2008 	 great hotel times square 	 stay night . hotel really great follow reasons:1 . location - smack bang middle 42nd street , step away everything Times square offer , without crowd.2 . spacious room - hard imagine hotel Times square large room , Hilton it.3 . great rate - get $ 50 discount simply use AAA card . hotel website give cheap rate case . need book website.4 . transportation - hundred foot away Port Authority bus terminal , step away almost every major subway line . the thing might annoy soe people use two elevator get room - one get lobby 20th floor , lobby room . 
 Feb 6 2008 	 another excellent stay 	 return unexpected , unplanned , last - minute , three night stay New York . book Wednesday travel Thursday morning , stay happily hotel three year ago , decide book . disappointed . hotel fabulous good central position possible . reception staff helpful whole experience excellent . room beautiful comfortable bed high - grade amenetie . coffee - maker bedroom bathroom ! hotel top class immaculate . absolutely loved would hesitate stay future . wonderful ! go ! 
 Jan 31 2008 	 Location Location Location ! ! ! ! ! 	 hotel perfect weekend getaway spouse . location well . room nice , even view Empire State Building . Applebee 's adjoining lobby , much well choice right door . I would hesitate stay . lobby bar nice place nightcap staff friendly helpful ! 
 Jan 25 2008 	 nice spacious room convenient location 	 stay one night Hilton Times Square . AAA rate $ 369 u.s./night - average decent hotel Times Square area . stay 28th floor street noise apparent . the room spacious , clean bathroom well appoint . good quality ( Evelyn Crabtree ) complete set toiletry include mouthwash , sew kit shoe clean cloth - item tend miss lot hotel . highlight : - Large LCD tv- spacious office desk comfortable ergonomic chair- comfortable bed- clean well furnish bathroom- great location - 42nd near Broadway . give central location , need use hotel restaurant - ton good place eat nearby suit almost palate . negative : - internet access $ 13.95 / day - Shower head quite old replace , water pressure okay 
 Jan 17 2008 	 convenient 	 location excellent , close attraction want see . hotel entrance either side easy miss not feel like Hilton hotel expect . upstairs lobby , like . room spacious clean . though still find odd tea coffee make facility bathroom . imagine wait coffee whilst sit toilet . nice selection breakfast . concierge front desk not helpful give advice get airport catch cab . overall , hotel provide convenience comfort fair price . 
 Jan 16 2008 	 Great Location Great Service ! 	 Booked purely america.co.uk - superb price 3 room . check - in staff fantastic arrive ( Christmas Day ) , room immaculate keep throughout . great view , friendly staff , reasonable price bar restaurant . would happily return & amp ; recommend . 
 Jan 16 2008 	 Great New York City spot ! 	 stay right Times Square super location easy get subway everything walk place . never take cab . hotel start floor 22 away noise hustle busle Times Square yet right door . quick friendly check check . top floor great view Empire State Bldg . could see mile . big window take view . little slow get thing deliver room top floor . conceirge readily available phone . lovely big room . would definitely stay . good part great location sooooooo quiet room . top view awesome . 
 Jan 14 2008 	 wonderful hilton times sq . 	 location amazing : 100 meter Times Square , near Broadway , 5th Avenue main theatre . room , 24th floor , cosy , clean ( room bathroom clean every day ) warm , noisy , even beee 42th street . staff kind . 
 Jan 13 2008 	 Magical Experience 	 Family member arrange great trip . right arrive taxi , every need cater . Met door , luggage take , escort lift . Front desk friendly efficient . concierge excellent even print boarding pass us flight home . room large comfortable . excellent view - quite breathtaking . housekeep efficient friendly . tell we let know whenever need anything extra . side long queue breakfast . make sure hurry . seat though , well worth wait great selection great view . not ask hot drink bar ! ! take least 30 minute may well arrive cold . clearly gear . great location . easy access everywhere . leave , taxi hail we without ask escort car even give opportunity give tip encouraging , NY , seem tip expect everything . taxi driver difficulty find hotel arrival although , gather , many . 
 Jan 9 2008 	 Great Visit NYC 	 return weekend stay NYC . Stayed Hilton Times Square shop around . nice stay . hotel clean , quiet , staff helpful . room ready arrive , request certain floor near family member . lobby 20th floor . separate elevator take floor quickly quietly . new linen bed evident . view room excellent ! explore city , great spot come back recover . drink bar lobby nice . catch Lion King , dinner Carmine 's cheese cake Juniors . excellent weekend aspect . 
 Jan 3 2008 	 Awesome hotel 	 Hilton times square , New York , good hotel ever stay ! return Hilton times square . spend week xmas . awesome time , hotel make feel welcome , arrival reception upgrade room view empire state building downtown manhatten . room large extremely comfortable . one week could stay week , bar nice although little expensive . location perfect anyone first time experience vistor city . would recommend anyone ! great place stay . Dan , South London 
 Jan 2 2008 	 nice room terrible front desk staff 	 Hitlon Times Square nice room . but , , ...... terrible front desk staff , , especially regard follow thru . they do not end say go , know . concierge worthless . housekeeping poor also .. find old clothe previous guest bed one room . room sevice pizza GROSS . disappoint service place . review leave we hopeful . hotel need well management , seriously . 
 Dec 31 2007 	 Hilton Times Square job 	 arrive Hilton car know valet parking option , take . valet eager take car assist we unload transport luggage ground level hub . assure luggage would brought room quickly take elevator reception area floor ( 23rd ? ) . check painless ventured room . check everything look nice , clean , tastefully appoint . lot towel , rough , absorbent kind . nice toiletry . large flat screen tv two & quot ; full size & quot ; bed make double room . ( make sure bed partner compatible be go get close ! ) room metropolitan color , decoration fabric , nice view city . anxious go get dinner get tired waiting luggage ( 30 minute ) husband call desk inquire , decide go check location stuff . another 15 minute return . comfortable one night stay , everything work great , plenty hot water , quiet , bed comfy 4 pillow per bead soft mattress . lobby area nice looking although not see area one could buy coke machine ( maybe pedestrian Hilton ) . ice machine hall room though . mini - bar room stock everything killer price like $ 4 coke . ( desperate rich ) check smooth able stow luggage tour city second day . also keep car 24 hrs . could extend need . ask we call 30 minute need car back could go retrieve . overall positive experience . delay get luggage annoyance . 
 Dec 30 2007 	 nice helpful w/ taxis 	 boyfriend stay 2 night . room nice everything need housekeepng great . problem - when check hold bag guy make ' joke ' tip ... feel want money , money . know nyc come . ask call we taxi know pain get one refuse help we another couple wait outside get taxi . would expect fancy nyc hotel helpful upon check . far breakfast - we get seat right away minute huge line person seat basically leave restaurant make people wait least 5 minute many table available . sure would stay due service . 
 Dec 28 2007 	 Hilton Times Square enjoyable 	 Nice hotel , good sized room comfy clean airconditione was'nt work could'nt open window due construction outside still thing happen . the reception conceriege staff nice helpful , did'nt eat hotel quiet expensive was'nt great choice , breakfast menu look good New York leave early everyday get head start . it nice large hotel great location slightly madness Times Square one minute walk was'nt problem late night noise . 
 Dec 27 2007 	 Loved ! 	 Times Square easy place stay . close nearly every thing want see , easily get taxi cab , subway walk . hotel start 21st floor , private . staff excellent . room clean time come back every day . give plenty towel , soap , shampoo etc . third day staff leave extra coffee shampoo use . bed comfortable . room largest see NYC . nice flat screen tv . hotel might nicer house . light times square problem room , really enjoy view city . & quot ; great view room & quot ; , view city still nice . 
 Dec 21 2007 	 great place stay ! 	 great hotel staff accomodate request . ask adjoining room get . room large clean . safe underneath beverage refrigerator . hair dryer wall bathroom closet canvas bag . one room robe not , may ask one . even though 23rd floor , feel view great . other state , hard see street look black white clock . since flight leave late evening ( 8:45 p.m. ) call luggage pickup take 9 piece storage . tip pick . convienent subway bus tour . eat restaurant base 's review . Applebee 's attached building serve breakfast . good Roxy 's half price . someone leave review say Dallas BBQ across street breakfast serve breakfast . also McDonald 's ( world 's large say ) right next door . also , three - story pharmacy across street ATM . pizza place across street corner . ( PAX ) .. not go ! 
 Dec 18 2007 	 large Clean Comfortable Rooms Prime Location 	 Hilton gem Times Square ! upscale room huge New York standard , white bathroom sparkle , bed , lounge chair , ottoman , huge modernistic desk chair invite accommodate . add large flat panel tv , ton drawer closet space , mini bar frig , full length closet mirror , Hilton surpass 4 star property vicinity , especially value . fitness center seem small guest room two treadmill , two bike elliptical machine amidst weight station four machine fan center rack free weight . old tv water cooler see day , machine need maintenance keep squeaking . luckily , guest interested exercise early morning , facility quite tight though adequate . bar restaurant bit small property 's size , food average fare . bartender , well front desk staff friendly . welcome early check - in grant 2 pm checkout without incident . bag check free bellhop , umbrella available concierge front desk . maid range curt exceedingly friendly , one go way way get toothpaste inquire . Hilton 's location great , take Times Square subway walk almost anywhere would want go city . Lord & amp ; Taylor Macy 's within comfortable walking distance , theater Radio City Music Hall Rockefeller Center . Bryant Park behind NY Public Library Fifth 40th free skaing rink , rental $ 10 . stay extremely comfortable , drape block sunlight morning sleep well . bed great mattress pillow , bed furnishing upscale , bright attractive . large bathroom counter run length room , Cuisinart coffeemaker two large ceramic mug tea selection provide nice touch . bathroom bite small , NY standard , average . tub deep , shower head place high , great touch tall guest ! water pressure fantastic well . overall , Hilton far exceed expectation . bit difficult find , several enterprise share address 7th 8th Avenues . look funky sculpture ground entrance tuck alcove . whisk 21st floor lobby , room start 23rd floor . build situate couple block building north many block south , view phenomenal comparison Manhattan hotel , could look adjacent building 's window foot away , mechanical apparatus rooftop . highly recommend property ! 
 Dec 18 2007 	 great location 	 husband take hotel surprise trip new york special birthday . good job ! ! first time New York love . cram much 3 night stay - exhausted . hotel perfect . big room , big comfy bed , big tv ! fab view empire state lovely clean . one good thing hotel central location , could walk thing great not feel like miss anything underground subway . would recommend hotel anybody visit new york . 
 Dec 15 2007 	 Location super 	 book directly hotel website luckily get corporate rate fantastic also mainly review base price . look extensively relatively resonable rate good standard / any hotel ( do not exsist New york Christmas period ) happily surprise good rate get . appox half price standard rate , possibly review would good pay full price . the hotel room nice , big bed comfortable , pillow comfy , nice big tv ( time watch anything ) bathroom nice crabtree evelyn product etc . fantastic view empire state building 32nd floor . check easy , every one meet reception pleasant helpful . do not eat hotel applebee restaurant next door ( connect door hotel ) nice breakfast . would consider hotel plush first time new york location fantastic , walk distance everything want . scaffold right outside timesquare entrace enter arrival 42nd back entrance . hotel quite sleep really well problem ever noise . stay nice hotel first time New york , I m tell room etc new big exceptionally clean comparison other ! look plush luxury would try somewhere else , New york palace hotel stunning pop look standard rate high rate hilton possibly luxury well option . whatever decide nice stay ..... 
 Dec 12 2007 	 bad Customer Service 	 never see poor customer service . stay Hilton many time business never ask change service . never recommend chain anyone again . even gold member would change date reservation . scientist , training mostly subject change due personnel 's schedule major hospital Mt Sinai . would think hotel prestige name would top customer service . lose one member anyone else heed advice . 
 Dec 11 2007 	 middle everything ! 	 boyfriend stay Hilton Newark Airport , expect Hilton Times Square gorgeous . even well . we stay 36th floor look Times Square fantastic . room gorgeous huge . view make absolutely perfect . the staff friendly make feel welcome location fantastic . close want New York . especially close drop shopping bag go get ! 
 Dec 11 2007 	 explore NYC Hilton Times Square 	 stay Hilton Times Square hotel surprisingly enjoyable . regular New York visitor normally try avoid hotel overly touristy area city . prefer quieter hotel full tourist ... however recent trip New York visit someone else decide book Hilton Times Square , ' m glad do . once manage escape Times Square ( trust , scaffold entrance Hilton Times Square 's easy miss door ! ) need take short elevator ride Hotel 's lobby . step elevator lobby stark contrast Times Square . lobby quiet , clean nicely decorate , also excellent view city . the check process swift , staff professional helpful . room book available , Hilton Gold vip upgrade suite top floor . amazing . view spectacular times day , especially dawn dusk . the suite exceptional . separate bedroom , seat area , bathroom hallway . bathroom lovely , good quality fixture whirlpool bath separate shower . the decor throughout suite calm pastel shade king size bed comfortable indeed . our four night stay Hilton Times Square thoroughly enjoyable totally change view hotel . prior visit always imagine place would full tourist . certainly case . the breakfast pretty good , buffet affair , however service sometimes slow ... gripe hotel really not big deal . in future certainly consider Hilton Times Square visit New York . location beat , long be high enough , hustle bustle city totally inaudible . 
