3 	 husband stay 3 night . location good . lobby probably 20 sqm . staff polite welcoming . the room : really really small . bathroom : really really small . bed : really really small soft 's 2 prepare cudle night long will sink midle . view . so , try another hotel . amount money shoreham cost will find hotel , also well locate ( well ) bed actually sleep . it take white wall funny lamp modern luxury hotel . would recommend . 
 Jun 28 2007 	 ` ` okay '' far go . 	 ok far go , although brother think otherwise . the good experience hotel check , midnight . fast amazing , perfect long flight . well , , get room one small bed , obviously book . decide simply show lobby morning , go take shower brother already try sleep . happen pay attention water drain towards bathroom floor think nothing . unfortunately , water get way shower , onto bathroom floor room ' carpet . use extra towel dry carpet bathroom floor , course brother help , already make much noise room , put nutshell , & quot ; tiny walnut & quot ; . next morning head elevator , run someone seem work hotel . handyman already know specific issue specific room . question , need room change . two bed , please bathroom drain onto bedroom . Luckily Daphe , reason review , take care we immediately . ask we two question say set thing , tell would like talk manager , nod make call continue work . say manager would we shortly new room would ready less 10 minute , decide wait lobby , way low seat . five minute Daphe call us desk . standing get interrupt another phone call . at point , clear blue sky , person introduce Ireki , hand we card , let we know general manager available . let know rush , specially give fact new room may ready , seem know . start tell we sorry incident never happen , contrary handyman tell we minute . decide make feel uncomfortable simply ask leave message general manager , . try go back Daphe get awkwardly approach Ireki ask confirmation booking , already show . time Daphe , still phone , hand new set key wave bellman . Ireki silence . bellman , Zaty , help we go tiny walnut two bed real size room , ever kind . after night shoreham must admit impressed level cleanliness professionalism Daphe Zaty , get call back neither Ireki , apparently head concierge , general manager . Daphe save trip , ask upon leave , around . feel comfortable leave tip check , seem busy somewhat disorganized sunday morning . all cool bar bartender , entire lobby white marble , extremely minimalist . flower arrangement sophisticated chic , although match cheap looking , low seat lobby . also , coffee machine literally two step away three public restroom , definitively good choice location . Hallways floor air condition , neither elevator , extremely hot . room type book give . clean room , excellent location , good room two bed , tiny room one bed , shower leak onto bedroom , discount amenity give offer , answer management , thank God Daphe . 
 Jun 24 2007 	 nice hip hotel great location ! 	 return weekend Shoreham quite pleased hotel room . sure person write review June 22 complaining , hotel fine . room bit small side ' ve never & quot ; queen & quot ; bed small . furnishing nice , cappuccino machine lobby nice touch , nice place stay . front desk staff mostly helpful although quirky way see someone approach front desk quickly occupy something else make phone call ... good customer service worst either . flat panel tv room Bose stereo also nice touch . thing not like : bathroom door not close , hinge break ; window outside world seem like have never wash outside ; phone room work correctly not get request wake - up call first day . 
 Jun 22 2007 	 not stay ! 	 get back New York . stay 5 night Shoreham ( first time last time ) . bad experience ' ve ever hotel . book suite room really tiny . staff helpful way seem inexperienced . could go - list 's wrong hotel extensive . good thing go hotel location . trust , much well elsewhere 
 Jun 11 2007 	 Cool hip spot . 	 Perfect spot .... block Peninsula around corner Trump Tower . town Cotto - Judah fight MSG get clean room 299 5th Avenue deal . even lucky enough get street parking outside hotel rental get back MSG late . room small shower look brand new nice LG flat screen . can not see anyone would flame joint ..... 
 Jun 1 2007 	 great central hotel ! 	 boyfriend visit NYC April spend hour research hotel stay hear expensive tiny room common city . choose Shoreham , central boutique hotel seem like good value deal , get great deal small London - base independent travel agency , much well price website expedia . tip search around web price , drastically different ! have arive hotel , give room helpful friendly staff ( would read unhelpful ) . low price double , small have imagine large double , comfy bed , huge flat screen tv en - suite huge powerful shower . simple stylish everything need city break base . also , really like bar , small perfectly form gorgeous cocktail . not try food bar menu seem nice too . when leave evening flight worried leave luggage staff obviously get lot designate room leave luggage extra cost . just not drink anything mini bar - extortionate water ! would conclude hotel good all - rounder , excellent location well worth get good deal . 
 May 31 2007 	 tremendously improve ! 	 year two ago , submit review Shoreham complimentary . place grow shabby , noisy threadbare . , ' m happy report Shoreham make terrific recovery . I believe room thoroughly overhaul update . capacity double addition new west wing . , although still pricey national standard , Shoreham - location amenity - upscale bargain midtown Manhattan . I ' ve stay lot different room since remodel , less stylistically similar : neutral beige wall offset mildly tufte , patterene , sea - green fabric wall panel . furnishing wall decoration blonde wood simple , modern line . bed high comfortable , generous array pillow . light minimal , dimmer - control , room go bright cheery shadowy romantic . thoughtful touch individual read pin spot bed , headboard light control bedside . each room equip nice LG flatscreen tv , remote actually let adjust screen dimension regular broadcast not elongate weird - looking ; Shoreham hotel ' ve ever find give option . problem tv 1 ) limit selection channel , 2 ) in - house movie game . 's also Bose clock radio / cd player remote , couple phone , generous number well - place wall outlet . wireless internet free , fast , easy use . two free computer printer near lobby ground floor , seem busy time . room little refrigerator stock costly little sweet drink . I ' ve check fitness center , literature appear well - equip available around clock . 's decent food snack menu available 24 hour , convenient ( pricey ) valet car service front door . although quite & quot ; scene , & quot ; Shoreham Bar colorful comfortable futuristic way , sort like Jetsons ' rec room . location - around corner heart Fifth Avenue shopping touriste - huge asset . within easy walk distance great restaurant , subway , bus , Madison Ave . business , Central Park . walk across street rub shoulder celebs rich Peninsula 's bar , head block south attend conference Hilton . must , Times Square ten short block away ( although would remain mystery ) . exactly bustling activity night , Sixth Avenue neighborhood - ghost town dark - slowly come , number comfy bar , late - serve restaurant , starbuck expensive convenience store . warm summer evening , post - theater tourist local happy - hour lollygagger mingle create diverse street scene . my quibble : many room spacious New York standard ( especially comparison dinky broom - closet room Hudson Paramount ) , bathroom small look like design Space Shuttle . forget two , one time , even will bump wall . multiple - nozzle shower cool , cubicle tiny 's hard keep showerhead spill onto bathroom floor . major flaw redesign , especially bedroom enough floor space hold square dance . also , throw money hotel 's re - do , would someone Shoreham please please please wake equip room full - sized ironing board ? little desktop doohickey provide royal p.i.t.a . use ! around , shoreham attractive , comfortable convenient stay reasonable price ( price depend season , NYC hotel ) . look online bargain , call haggle , seem quite bit wiggle room rate . 
 May 30 2007 	 Ticked Boxes 	 friend share room 4 night , first trip NYC , NYC - base colleague recommend hotel . contemporary hotel , decent size ( spotlessly - clean ) room , friendly helpful staff . sitatue close Central Park ( even close 5th Ave . ) without noise . bathroom little small ( especially two girl ) bed comfortable ever sleep ! recommend cocktail bar ( meal prettty good ) night , definately stay ! 
 May 18 2007 	 good value great location 	 Booked hotel Travelocity . advertise four star hotel tho ' m sure quite rate way . would put 3.5 . room small indicate reviewer , however , clean , modern well lay . bathroom tiny never feel way . two bedroom suite . two parent , two kid . perfect family tho parent note bedroom door . tv 's modern HDTV flat screen wall mount . pay per view full cable . staff helpful . concierge per se front desk staff knowledgeable help reservation , etc . room service lightning quick . food pretty good one meal eat room . ice machine charge room service delivery . would bring back hotel location . two block south Central Park South . say ? 
 May 6 2007 	 great location good service 	 problem credit card , receptionist quite friendly helpful . not book room first weekend Tribeca Film Festival , hard get hotel room . quite desperate credit card not work . end everything go well staff patient . hotel small , fine modern . interior trendy room clean . though restaurant bar look great , not check out . I pay 299 $ per night single room , expensive , still good price . 's locate fifth avenue Central Park . could not find well locate hotel . furthermore , doorman kind obliging . definitely would go . 
 May 1 2007 	 Great Hotel convienient location 	 initially trouble check - in process quip front staff , hotel overall nice . book trip TravelZoo $ 199 / night rate weekend also stay 1st night moma package . suppose get early 12pm check - in moma package , tell 2:45 arrive , room ready . far early check - in , tell , & quot ; record . room available . & quot ; come back 3pm , appear initial front staff person clue people front staff do . our room standard queen room . clean okay size NYC standard . bathroom pretty large shower could probably make small make rest bathroom big . bed comfortable . room extremely quiet although part fact 9th floor face street . room mount plasma . complaint A / c cold vent point bed . since room smallish , would tend get stuffy air not , air , freeze cold . keep fan ( without A / c ) help problem make room somewhat noisy . we get free continental breakfast one morning moma package nice . however , discover check - out get charge breakfast . front - desk polite take charge . the hotel locate 5th ave next fancy shop . 1/2 block subway station ( F line ) 2 1/2 block 2 subway station line choice . be also close small supermarket drug store . for $ 199 / night , definitely worth . 
 Apr 23 2007 	 great location cool style hotel 	 usual search Shoreham Hotel Tripadvisor.com . get gladly pleace . location could well . 3 block central park . foot Hotel Peninsula . room size one expect hotel room mayor city . interior design room public area nice modern , staff friendly . two metro station nearby well . overall , would definitely stay . 
 Apr 18 2007 	 positive experience 	 overall pleased stay Shoreham . booked & quot ; Superior Queen & quot ; room get $ 199 / night via special advertised Travelzoo.com . other note , room bit cramp , unusual hotel class price range . efficiently configure , condition room excellent flat screen tv , high quality linen , tasteful decor spacious bathroom . room also quiet give 's interior location . one small window look interior air shaft adjacent room result unappealing view . fortunately , HVAC work well , leave curtain draw . use hotel ammentie free wireless internet room ( easy connect ) , free latte machine lobby , bar look quite pleasant seem active evening . also small business center fitness room , appear good condition . give convenient location quality accomodation , would recommend hotel good value . 
 Apr 9 2007 	 small roomgreat location 	 surprised @ smallness room , tho ' fine 18 yr.old & amp ; ( be big ) not intend spend much time room . location perfect : close 5th Ave . offer ; proximity moma , Central Park , subway , theater - all within walking distance . the bathroom large ; wonderful shower ! good surprise ? quiet ! able sleep soundly ( street noise , hallway noise ) .The staff friendly , helpful ( able store luggage ; get taxi raining ; tell subway need take ) .It seem like great place 20 - 30 -something romantic getaway ( bar / lounge modern ) . 
 Apr 3 2007 	 thoroughly recommend ! 	 stay Shoreham mum end March , exceed expectation . originally book smallish room ( kingsize bed ) shower - ask one bath immediately move large one tub electronic massage chair throw - bliss ! find staff incredibly helpful , especially Daphne main desk . bed comfortable everyone say , room service every day new bed linen towel , always spotlessly clean . breakfast good bit pricey . free drink machine come great , gym internet access . whole hotel trendy modern really great feel , location can not beat . be look hip , urban , boutique hotel experience heart city , Shoreham really place go . 
 Mar 31 2007 	 would repeat ! ! ! 	 check hotel NY expensive deteriorated use , careful choose perfect one . after stay 5 night Shoreham , happy choose one . first sight , can not imagine good entrance spectacular . nevertheless enter hotel , atmosphere modern , many hotel ny.the room modern entrance . furniture smart huge plasma screen tv hung wall . staff friendly , suppose NY . room , be huge , fine . if be enough , 2 thing not see many hotel . near hall , 2 computer surf Internet free ! ! ! be awesome far away home . second one 's free coffee machine free coffee hot chocolate . quite good . I would recommend hotel every people want stay NY . perfect . 
 Mar 29 2007 	 Fantastic Experience ! 	 hotel exceed expectation ! king room big queen room . bed wonderful plenty room NYC hotel . location perfect many excellent restaurant within couple block . 52 inch flatscreen tv great catch March Madness game . deal [ -- ] include ( $ 16.00 ) excellent buffet continental breakfast . really receive excellent deal ! staff friendly helpful . mistake bill take care immediately . would highly recommend hotel ! 
 Mar 17 2007 	 cook alive ! 	 hotel beautiful , room small , well thought . however , & quot ; & quot ; side hotel & quot ; B & quot ; side . & quot ; B 's & quot ; get cramp hallway , room impossibly close clank elevator temperature control not work , unless want high heat . 2 room 2 day & quot ; B & quot ; time temperature ; boil adjustable . side quieter cooler . stumble upon side accident . 
 Mar 8 2007 	 Great Hotel Mid Town 	 great mid town hotel . room comfortable , bed die , price right be middle everything . ask king room , 's dollar 's much big standard . the lobby bar cool , . 
 Mar 1 2007 	 overall good hotel 	 get great deal Shoreham Travelzoo , pay $ 249 free breakfast two Queen Deluxe room . understand standard room tiny step . room decent size , plasma tv wall , nice bathroom desk . light track light dimmer hard figure switchs control light , big deal . we window overlook another brick building view . also get glass champagne check , think important , take deposit $ 800 2 night check ! almost make mistake use bank card would hold $ 800 money . use credit card instead would not go first large transaction . put 2 charge $ 400 fine . Location IDEAL . central park block away 5th avenue shop right around corner . Times Square kind long walk , heel , able problem . Breakfast okay , muffin , bagel , pastry juice / coffee . normally $ 16 would pay get free fine . coffee / espresso machine awesome ! Delicious drink free . overall would recommend budget concious traveler look nice , clean hotel . get travelzoo deal evern well ! go room size get deluxe queen , would ask next elevator , kind noisy . location beat ! staff friendly well . 
 Feb 20 2007 	 Comfortvalue extra 	 daughter go school New York whenever go visit check different hotel , hope find perfect spot . this time stay Shoreham , whose location 55th 5th 6th close enough able run Central Park , street posher St. Regis Peninsula . overall good experience . front desk staff efficient welcome room ( treat daughter break dorm life ) clean comfortable . executive King even come terrace - bad weather freeze ! winter special rate include buffet breakfast lot delicious fresh fruit , granola pastry . aveda bath product pleasant - face body cleanser well usual shampoo , conditioner moisturizer . free internet access large flat screen tv much appreciate . I would definitely recommend Shoreham budget minded traveller enjoy touch luxury . 
 Feb 12 2007 	 average stay Shoreham - unhelpful concierge 	 hotel average , definitely well hotel NYC price . small room wear carpet . flat screen tv nice . room need freshen . concierge say would glad provide assistance need , call ask make we dinner reservation say would never call back . make sure get free breakfast include rate . good location . locate 33 W 55th St , NY , NY 10019 
 Jan 31 2007 	 shoreham staff great ! 	 recently stay Shoreham Hotel , must say , rumour New Yorkers rude entirley completely false ! hd wonderful time ! front desk staff incredibly wecolme friendly make feel home moment walk door . Scott Ellie comedic duo worthy Broadway ! cheerful demeanor keep entertain whenever pass lobby . hotel clean , stylish full fun amenity like endless supply latte . 's location cenral many attraction include Time 's Square Rockefeller Center . overall , ad lovely experience , though advise , room tiny not enough counter space bathroom . ( clearly design man without hair product ! ) 
 Jan 27 2007 	 great location 	 husband stay Shoreham Christmas New Year 's , please nice hotel decent price . room small really clean decorate & quot ; hip & quot ; fabric decor . really like Bose radio modern touch . one especially nice feature hot beverage bar downstair complimentary drink . never leave without drink hand . location great ; be situate 5th 6th , minute walk Central Park Rockefeller Center . never eat restaurant since cute french restaurant across street Klein 's grocery around corner 6th Avenue . big , fancy hotel want pay extra money , would definitely stay . 
 Jan 22 2007 	 good experience 	 check go smoothly . got late . room upgrade read room small . . size room not bother , seem clean modern . shower nice . bathroom quite small . the bad part bed . mattress uncomfortable offer support . ask change room nice move we 2 floor directly . mattress new room bit well great . disappointed . also middle night ( 3:45am ) awaken blast music , either hall next door . call front desk send someone take care . another problem in - room heat temperature - control functional room quite cold . request late checkout ( 1 hour ) , tell & quot ; late check out leave ' overall great experience - go back . 
 Jan 8 2007 	 good hotel 	 spend 4 day Shoreham New Year 's Eve . 2 couple book Superior King room Deluxe Executive King we afraid size room read several comment . one friend nice , small big bathroom . disappointed check - in . expect large room little bit big , shower room ( bath ) tiny could not move , neither put toilet bag . actually use part bathroom get big room . 's street , noisy badly soundproof . difference price ( 200 $ per night ) not justify . ask category room friend . agree give we Superior King room huge bathroom . good point : bed sheet excellent . nice decoration smooth color . room clean except stain carpet . wifi access room , good breakfast , coffee tea bar available time . ask plug adaptor get immediately . negative point : heater noisy . customer young , boutique hotel . use go 5 star hotel around world ( Four Seasons , Mandarin Oriental , Amanresorts ... ) lot expectation . hotel excellent value New york 280 $ pay per night ( amazing promotional rate period ) fantastic location . 
 Jan 5 2007 	 Excellent Hotel 	 stay amazing hotel Nov 2006 . book one bedroom delux apartment amazing . weclome glass Champagne water . room exceed expectation bed comfortable hotel bed ever sleep . good bit & quot ; ijoy & quot ; massage chair .... one need day shop Fifth Avenue ! ! ! highly recommend hotel ! 
 Jan 3 2007 	 comfy room great location . 	 Girlfriend want see New Year NYC never NY , sure go . end book Shoreham hotel due price location hotel . arrive hotel 11.30pm 28/12 although woman check friendly , service quick efficient want time night long flight . hotel small , yet impressed service offer gym , free coffee nice bar . book superior queen room , think great although maybe tiny bit small . bathroom ' bath , instead huge shower , enough room two people easily . bed fantastic really comfy , great long day city flat screen tv nice addition . the location hotel awesome , 5th 6th avenue far central park Times Square . subway station around corner , make city easily reachable . word caution , subway compare underground London bit confusing , however get free map help . I would recommend hotel anyone want visit city short break visit NYC site must everyone . 
 Jan 1 2007 	 Shoreham - like crab shell 	 arrive hotel 4:30pm , room ready assure upgrade . upgrade room slightly large cell Alcatraz . window corner room tiny , particular make room feel claustrophobic . bathroom shelve hook ( close toilet top place put shaving kit ) . closet size phone booth ( be old enough remember size ) . staff bit attitude ( like favor ) . pro : bed comfortable free wireless internet access . walk distance Saks , Bergdorf , St. Patricks . 
 Dec 19 2006 	 Perfect hotel NYC weekend 	 second stay Shoreham . excite see renovation read . honest , not much change opinion . room look fresher . plasma TV hang wall room minifrig , sure could not find . oh , really wish would put note bottled water telling cost $ 5 ! , can not beat location shop ! two block Bergdorf's . the staff pleasant , go way . ' m pretty low - maintenence anyway . bottom line , would not pay rack rate , get deal hotel ( - ) , etc . , would definitely stay ! 
 Dec 18 2006 	 fake 	 back New York decide write review Shoreham . ( Stayed Dec 13 - 14 ) . know term " boutique " synonymous garbage . hotel joke ! good part hotel web site effectively lure people trendy look feel fool ! behind façade overpriced scam ! disappoint size room , particularly price charge , infuriate response front desk go see . make feel like piece ( - ) ask get another room . way one , every time walk past front desk someone complain room . room manageable one night stay 5 night simply practicable . yes disappointed room size price , number one complaint front desk service . none seem able deal situation alternative give upgrade 200 $ night . deal situation ? go Trip Advisor , find hotel call Dreams jut 2 block away 55th close 7th ave 200 $ night cheap , walk 2 block west , front desk get reservation last 3 night . walk back Shoreham ask bill tell check . true form , front desk girl , never see , look computer , print bill , ask leave 3 day early , ask stay even thank I . pack luggage walk Dream , true boutique hotel actually seem care customer . avoid pretentious joke hotel . 
 Dec 5 2006 	 Mixed Feelings Shoreham 	 recently stay Shoreham weekend . werefully book Christmas Holiday Rush Shoe Show PRO : nice staff . check pleasant . wait 3 o'clock , store luggage . bar area nice always busy .. bed comfortable - shower good pressureconvenient location FIfth Avenue . negativesroom size- extremely small - and tell thelargest room Superior category . bathroom stark hook anywhere hang towel . small anycruise ship room low category ! ! seem theyslice two room half . Carpet quite dirty too . smoke pour vent people smoke non - smoking part hotel . really make last night pleasant all . not sure would go back , beat location roomsize really small . might okay single businesstraveler . want go back room relax atall since cramp . fun weekend , buthave love hotel . 
 Nov 24 2006 	 can not wait go back 	 would pay regular price stay ? . consider $ 199 night pay , include daily breakfast , would definitely stay Shoreham . front desk fast , efficient , friendly . room clean , modern , comfy . stay queen deluxe room - perfect two people . bathroom not big shower make . love shower head . make place special little touch - Aveda product , complimentary trendy magazine , 24 hour espresso machine , 300 count sheet , flat screen tv . even big plus hotel location . be near much . time not walk use subway venture Soho Chinatown . , everything need within walking distance . can not wait return ! ! ! 
 Nov 14 2006 	 cool trendy hotel great location 	 stay hotel one night would definitely stay . book deluxe one bed suite Priceline ( excellent rate ) , hear NY hotel room , surprised spacious . bathroom tiny separate shower . bed outstandingly comfortable . enjoy free internet access downstairs love overall design feel place . contemporary , yet friendly welcoming . bar area great pre dinner drink , crowd We d night nice buzz . room street ( 6th floor ) noise problem we . one tip airport transfer : leave ample time ! taxi take 2 hrs get JFK Shoreham miss flight London . advise ( hotel ) would take 45mins left hour half safe side . combination rush hour protest demonstration Manhattan count we , warn ! 
 Nov 8 2006 	 absolutely wonderful 	 hotel wonderful , room splendid , service unbelievable location perfect . could make well choice hotel . enjoyed every moment stay . 
 Nov 1 2006 	 Great Location Amenities 	 great location , complimentary breakfast ( include package deal ) can not beat : fresh fruit , bagel , scone , granola yogurt . 24 - hour espresso / tea station great , . complaint : bathroom cramp super convenient . toilet paper holder next toilet flush handle ( awkward find seat ) , not enough towel robe hook two people , fan bathroom door one foot away bed ( privacy ! ) . bed comfortable t.v./radio , etc . nice touch . plus smell like bacon open window ( love bacon ! ) . view ( room overlook alley ) , not matter . receive complimentary glass champagne upon check - in . 
 Oct 30 2006 	 u see u get 	 husband & amp ; Australia stay 3 night first go cruise come back 1 night . 3 night stay Penthouse ( huge ) 11th floor room nice clean , 2 plasma tv , Queen bed & amp ; shower wonderful ( full Massage feature ) shower , view terrible do not open blind . second stay 6th floor face street , room beautiful ( huge ) time King bed , massage chair ( fantastic ) lounge 2 plasma tv room show homepage suite Shoreham website , massage shower room bath ( bathroom small ) , noisy & amp ; could sleep . staff helpful , food good room service & amp ; breakfast bar room , gym available & amp ; free coffee & amp ; tea lobby . hotel minimilist feature & amp ; contemporary design . happy stay & amp ; value money ( not stay front room ! ! ) & amp ; Lift small we ok . central everything NYC . would definately stay . 
 Oct 18 2006 	 Great Little Boutique HotelGreat Location 	 spend 3 night recently . room Queen Superior nice . window face street 2nd floor noisy night , request room change next 2 night . problem , move 9th floor . the staff always polite , continental breakfast include room rate ( special ) otherwise would recommend something less expensive many diner around hotel . bar busy Thursday , quiet weekend . nice restuarant 2 door . call La Vineria ( small italian place , good pricey ) pretty expensive part city . location great West East side central park . son , live NYC , want stay one night get late come back early next morning . call front desk get rollaway bed . extra charge ( additional guest bed ) think nice . I would stay wanted location . 
 oct 9 2006 	 absolutely wonderful 	 visit New York quite bit see daughter City hotel make trip real pleasure . friend meeting make particulaly easy we hook . front desk help happy help anything want actually care want . actually want say good bye one clerk .... happen often NYC . room small uncomfotably small flat screen tv wine cool small refrigerator quite treat . everything hotel brand new , faucet bathroom kind fun . bathroom shower actually huge ... bathtub though fine we . lobby fun , bar front open street although drink night , enjoy continetal breakfast include rate . expresso machine lobby put ice cake since could run upon wake grab cap enjoy room New York Times deliver door even SUNDAY ! ! ! picture share nice . always look acceptable rate come back New York . location easy get everything restaurant block great tired venture night . italian restaurant recommend front desk couple door east one good town restaurant reasonably price , cheap ridiculous . family though , couple place good wine list . anyone stay truly enjoy hotel staff . 
 Aug 31 2006 	 Competent business hotel 	 always stay ' m NY business , think 's good hotel money midtown ( although atmosphere bit sterile be vacation ) . could not convenient midtown shopping , 's clean modern , staff charming helpful . also pretty good breakfast . on downside , room small , 's mini bar people prefer bath shower disappoint ( although love huge , white - tile shower - much nice usual cubicle ) , ' ve see else available area similar price , will agree Shoreham comfortably ahead competition . 
 Aug 30 2006 	 great location contemporary 	 ' ve return 5 night stay Shoreham - thought : location : Superb ! 55th Street 5th 6th right centre Manhattan close Central Park , Times Qquare , shop etc etc , handy everything . Hotel General : trendy , modern , contemporary boutique . ground floor area lovely , great bar free tea , coffee , hot chocolate machine foyer nice touch . fitness room great 's free internet access . bar make hotel ( warn though will not get drink past midnight ) . however get past trendy ground floor see 3 * - 's little rough round edge , although nothing complain about . check : partner arrive 3 pm afternoon ( 8 hour flight ) room not ready . arrive 11 pm - check quick , free glass champagne arrival nice touch . however , not offer help get bag take room struggle suitcase , laptop bag , handbag glass hand reception staff stand watch . staff : O.K little -- could helpful ! say follow reason : 1 . check detailed . 2 . door room leave open clean one day ( could clearly see open ) tell reception not get much response apology ! 3 . wake 3 am morning fire alarm climb 4 flight stairs external fire escape building early hour morning ( dark rain ) - staff hand explain fire crew say could go back bed staff member turn could give explanation . night 30 minute later wake 3.30am - force go external stair ( dark rain ) explanation . mention staff next morning communication would nice give blank stare guy shrug shoulder look blankly - clearly not care ! 4 . 12 pm one evening ask drink bar tell close - explain resident tell bad . place could customer service training . room : ' exec ' room - good size , clean tidy functional . room smell little damp thought think fact bathroom fan damp bathroom circulate round room . great ( although clean forget leave complementary Aveda toiletry one day ) ! overall - get one deal avoid staff 's good place stay . 
 Aug 29 2006 	 Great Location - Unique Modern Place 	 hotel nice artsy ! stay 2 bedroom room . wonderful stay - bed comfortable . shower wonderful 5 shower head ! would definitely stay . location magnificent well . 
 Jul 31 2006 	 Spectacular Shoreham 	 SPECTACULAR ! 's one word description Shoreham Hotel 33 West 55th Street heart New York City . begin ? spacious , immaculately clean room range & quot ; absolutely beautiful & quot ; spacious , immaculately clean standard room & quot ; awesome & quot ; one magnificent Penthouse suite . welcome glass wine hand check - in cordially usher lush lounge luggage swiftly deliver room . slate marble floor suede wallpaper ... twenty - four hour complementary coffee , capuchino , expresso , tea , hot chocolate ... exquisite newly decorate restaurant cocktail lounge resident meet evening ... could go detail magnificent aspect outstanding boutique gem hotel . ' ve save well last ... UNBELIEVABLE friendly staff ... every one beautiful & quot ; inside & quot ; outside . become & quot ; family & quot ; leave ! location can not beat access everything need memorable New York visit ... theater ; restaurant ; Rockefeller Plaza ; Lincoln Center ; Central Park ; window shopping Fifth Avenue ; Museum Modern Art ... name , walk ! Convention Assistant , well aware separate & quot ; mundane & quot ; & quot ; wow & quot ; feature hotel , two visit Shoreham , would find unthinkable even consider stay New York hotel ! & quot ; cherry cake & quot ; charge . unlike every hotel ' ve experience , whether America Europe , Joseph Reyes , General Manager , Aaron Bozzi , Assistant Manager , visible ready assist every way imaginable ! trust one ... head New York City , make Shoreham Hotel destination ... whether be business trip family vacation . & quot ; jewel & quot ; become , , & quot ; home away home & quot ; ! Jackie Singer , San Diego ( last stay - July ' 06 ) 
 Jul 21 2006 	 Awesome location ! 	 wife stay honeymoon , ' m convinced place good deal NY . clean comfortable , incredible location shopping show . hotel share street St. Regis Penninsula hotel , be clear be something right ! 's short walk central park , times square 5th Ave shopping . think prime area first time visit NY . problem district not many good restaurant area . hotel stylish trendy , incredible price get . yes room small , every room NY . great place ! 
 Jul 8 2006 	 wonderful Stay ! 	 room perfect . great location . staff go beyond . skip breakfast though , little pricey . neat clean . unlimited access latte machine downstairs newspaper deliver everyday . 
 Jul 3 2006 	 mixed Bag 	 wife seek luxury hotel slightly low price tag high ny . Shoreham 's location great shopping walking theater . staff young , hip try hard , although look much like bouncer . suite decent sitting room uncomfortable sofa bizarre exercise chair resembeld Lazy - Boy . work . bedroom good . one end table bed . clo tiny , spacious compare bathroom . could not 30 square foot . room toiletry foot . impossibly claustraphobic . guess get pay ! 
 Jun 13 2006 	 Sleep Raw Mattress 	 nice enough hotel term lobby decor . however , bottom sheet mattress pad under - sized cover entire bed . bad enough sleep mattress pad also sleep RAW , expose MATTRESS simply disgusting . hope get good deal off - sized sheet get additional revenue check one night . 
 Jun 4 2006 	 Excellent ! 	 shoreham excellent location convenient great shopping , Central Park , Radio City subway . impeccably clean , quiet great service . staff friendly helpful , even offer glass champagne water upon arrival . find room large expect boutique hotel , bed extremely comfortable . look modern , clean quiet hotel understate trendy hip , place ! 
 May 29 2006 	 great Stay 	 Ultra Clean BathroomQuiet 3rd Floor RoomClassy , Low Ego StaffGreat Location , yet quiet street1/2 Block Trump TowerSparkling Water upon Arrival 
 May 18 2006 	 favor stay somewhere else 	 wife book spa - tacular getaway package Shoreham Hotel Mother 's Day weekend . despite fact package include & quot ; guarantee 12 noon check - in , & quot ; desk clerk inform we room would ready least 3 pm . not work especially well spa treatment would book begin 3 pm throw entire day 's schedule disarray . clearly Shoreham staff not especially care view situation problem , . solution ( could hang lobby , could bad room one book ) pathetic . end , choose cut loss leave . sure shoreham management think & quot ; guarantee & quot ; mean . behalf wife , thank great Mother 's Day Shoreham ! 
 May 15 2006 	 well Manhattan Shoreham 	 book room parent past weekend Shoreham sorely disappointed . former native New York world traveler , certainly know hotel . issue numerous:1 . although advertised queen , bed appear far small traditional queen.2 . tub slippery ( mat supply ) father afraid take shower.3 . air - conditioning sub - par.4 . view dinner menu online , book reservation -- find hotel , fact , restaurant . want eat dinner uncomfortable bar seating , go street La Cote basque enjoyable meal . for stay less 24 hour , find issue unacceptable . 
 May 1 2006 	 New Favorite NYC Hotel 	 return visit NYC include stay Shoreham . find staff professional genuinely nice personnel ' ve encounter . theater ticket night check ask leave luggage . general manager tell we still consider we guest hotel invite we leave bag return use hotel facility show . our large , tenth floor room tastefully decorate soothe shade gray white . fresh lillie add warmth . room quiet lush bedding plasma tv good part shower five shower head . elevator wait long one minute . lovely breakfast buffet include room rate . we definitely return Shoreham highly recommend . 
 Apr 23 2006 	 Great Location 	 boyfriend take NYC birthday weekend end March book hotel . good thing aboiut hotel location . block away store 5th Avenue . hotel modern boutique hotel . stay hotel NYC . average hotel term ambience . book hotel via special travelzoo . less $ 200 per night steal location fact NYC . room size adequately NYC . bed comfy . bathroom little cold decor ( feel like prison cell ) water temp pressure fine . great hotel look place sleep see site NYC . well hotel though ...... one big problem- parking rip ! pull front drop bag hotel bellman immediatly take car Shoreham 's site lot . never give info cost parking . ( pay ask ! ! ) next day , bring car back charge we 2 day arrive hour schedule . total $ 90 approx . 25 hour . park much less park ! ! 
