great 	 choose hotel location - near Green Park tube . go back . service mediocre - sometimes good , sometimes standoffish helpful . room really disapointe - corridor small lot step pain . overall well worth avoid unless get great rate not plan spend time room . 
 Aug 5 2008 	 good location room quite Hilton standard 	 good location sight , shopping business . positive side , personnel friendly attentive . however , room Hilton standard . book executive room , show one next elevator shaft . aware noise reject room option standard room . get refund downgrade . room small , face rear . fan take half wardrobe stain bathroom due moisture poor cleaning . bathroom curtain really grey dirty . second morning ( Sunday ) wait almost half hour get table breakfast room . apparently popular hotel ! room maintain bit well , could become favourite London hotel . 
 Aug 4 2008 	 never stay 	 mum visit London every couple week weekend , stay hotel 9 10 time . however last stay sooo bad never stay again . we gold card holder Hiltons always upgrade room superb service , mortify see room size matchbox old deco curtain actually fall hand attempt open . however ignore intend staying room anymore sleep . the room like absolute sauna , air conditioning , fussy try open window - impossible ! call member staff open window ( afraid going fall straight old ) . go meal hotel upon return room 10 pm could hear scream shout outside window , directly alleyway full pub bar ! window would not shut spend night awake constant noise alleyway one floor we , window position room air blow still boil ! 11 pm choice ask room change tell hotel fully book ! father previously ring check availability tell hour plenty room free tonight complete lie . staff member quite rude do not even ask problem would not let finish reasoning want move room . back room go attempt go sleep utter disgust bed full flea ! ! mum flea bite we next day spend whole night scratch . on top food hotel unacceptable wait 35minutes coke 20 minute chip main serve , main therefore freeze guest eat time able eat . regard desert , order cheese board apparently 4 different cheese , recieve four chunk brie cheese bread instead cracker . small inconvience like cause stay bad one ever put we hotel completely . 
 Jul 29 2008 	 Green Park Hilton get bad rap .... like hotel ! 	 read review hotel leave United States concerned point try change reservation - plesantly surprize - nice place - agree staff could bit attentive -except Gil help get we around - overall - place nice .... agree place noisy downtown london - overall , think folk come look typical high rise hilton experince might disappoint - act like small uk botique hotel - would benefit instal permanent aircon stand alone unit work fine . bottomline - location fantastic -the green park tube station close - one thing mention many review wonderful street right behind Hilton , Shepard 's Market - 6 - 10 fantastic restuarant right around corner - , keep mind , five star hotel work hard , breakfast great . try get high floor possible rear face room - cut noise -I really think reviewer harsh -this nice place stay ! cheer - 
 Jul 15 2008 	 bad experience 	 pleasant stay . long day site seeing - come back room - large wet urine smell stain bed . make apology - send someone eventually change bedding . need book ride airport - conceirge hand we yellow page - offer absolutely help . open door , hail taxi . find different place stay - one worth money 
 Jul 13 2008 	 Adequate 1 night noisy ! 	 return one night stay hotel daughter see London show . read review go go open mind . previous review mention hotel convenient tube station . find room fine , everything could need . can not understand people moan size room , want ! ! ? much view face street . main problem 3.45 a.m. council lorry come collect bottle / glasssware etc somewhere we . row ! absolutley disgusting . make sure ask room face away street , sure would not bad . also hot . even decide close window ac pipe would prevent we close . breakfast nice plenty choose . staff encounter pleasant . good choice one night maybe long . 
 Jul 12 2008 	 still wonderful 	 love hotel . extend stay 2007 wonderful time . year stay one night flight home ( travel around GB ) . like come home walk door . husband greet name even get desk check . room upgrade huge even US standard . recently redone new furniture , big screen tv , pristine bathroom . two floor ceiling window look Half Moon St . free standing air unit keep room almost cool . walk Buckingham Palace stroll back Green Park take time sit people watch . concierge let we log computer print boarding pass flight home . hotel bar cozy & amp ; comfortable remember . fabulous dinner Shepherd Market Market Brasserie — perfection . Breakfast well prepare fresh delicious . sad get cab leave . incidentally doorman run corner flag cab we . service smile great location ! 
 Jul 12 2008 	 great location not stay 	 recently stay one night return cruise . location excellent - wallke distance tube - green PARK . however , hotel resemble Hilton quality . room suppose 2 double bed one bed small . book another room accomodate party . room cost $ 500 air conditioning . many well choice London . would recommend ever stay . 
 Jul 2 2008 	 Skip 	 hotel * * Hilton name . ' m Diamond member appal size room , service oversight poor attention detail . stay one week business report : aircon ( portable unit ) , uncomfy bed ( Hilton standard ) , stain sheet night topsheet 5th night , never morning newspaper despite promise would , dirty carpet , dormitory - quality hallway , roach breakfast room ( not return meal ! ) , dead rat outside front door street , non - stop smoker nextdoor despite sign LAW ( staff sight midnight care stop ) , smoke detector set steam 10 - minute shower , one bar soap soapdish ( come on , gim something put on / in ! ) , scratchy thin towel , shower curtain not contain water slipper literally float away , rock toilet , internet either 2 room try ( despite hour help onsite phone tech support ) , laundry deliver later promise apology ( argue get remove bill ) . be probably get picture . wish could say something nice usually enthusiastic Hilton property . positive thing hotel location -- step Green Park tube . probably would happy sleep park train . : ) 
 Jun 7 2008 	 great location 	 stay 1 night . location great although room small clean comfortable . air con , not always expect UK , especially London hotel price range ( pay £ 100 2 peopole double room ) . suprise could get coffee bar 11.40pm & quot ; already clean coffee machine & quot ; . also room service 11 pm nothing nearby snack . as eat since lunch certainly ready disappointed breakfast next morning . set we rest day ! perfect location 1 2 night stay sighteee , height summer . 
 Jun 1 2008 	 location not everything 	 location hotel great staff friendly helpful could . however , room ( deluxe double ) disappointing . arrive , temperature push 100 south face drape open , portable A / c window stuck shut , exhaust hose nowhere go . finally get window open plier staff person arrive turn A / c . cool room bedtime , overly warm . three time night turn alarm clock like beep . second night stop completely call desk . also , room inconveniently arrange much furniture small space . toilet rock completely attach floor shower head point either wall curtain . Park Lane Hilton , block away much well choice . 
 may 26 2008 	 great location awful room 	 doubt usefulness location . across road Green Park , pleasant stroll Buck House Whitehall . room pokey , without air con , positively stifle . open window not option next room fill drunken Russians listen Radio 1 . bed small ( 6 ' 4 & quot ; , problem elsewhere ! ) , get absolutely sleep . work intervene length stay , delighted ! breakfast v. good , stylish Hilton brand degenerate far tacky heiress bear name . like Holiday Inn without cheer . 
 May 21 2008 	 Great Location ! small Accomodation ! 	 Awesome Location ! step away picadilly Circus Buckingham Palace . perfect location nightlife , green park , convenient store , cafe , restaurant , etc . do not get catch parking hotel- £ 40 per night ! parking free street 6 pm 8 am ! ! ! room small ( north american standard ) . 1st room give step washroom , 37 & quot ; flat screen top dresser ! ? ! ? ! queen size bed look like king size squeeze hallway ! food hotel excellent , bar & amp ; restaurant area spacious comfortable . the staff manificient ! problem relocate we big room- ( 3yr old son , could not even move around 1st room ) .recommende , room area quite ' cozy'neil- Toronto , Ontario 
 May 9 2008 	 Pleasant Surprise 	 stay Hilton London Green Park three day holiday . pleasantly surpise hotel , 's staff , location . particular Hilton boutique class hotel far well many 's peer . room type either two twin bed one double bed . ( maybe choice family vacation share room . ) location roughly three block Green Park tube station locate prestigious Mayfair district . ( short distance Ritz Carlton ) staff friendly helpful getting around city . room posh typical Hilton , 119 pound night can not find well . look hotel reasonable price great location ... not look . stay hotel every time visit London would definitely recommend other . 
 May 6 2008 	 Great Hotel Great Location 	 hotel great location . stay original Hyde Park Calling 2006 literally 10 minute walk away . addition , 10 minute walk various place west end , Buckingham Palace 15 minute Oxford Street . the hotel clean staff helpful , especially concierge barman stay 5.30 morning serve we 20 party - goer boozy night ! ! room clean , however , ask move first room give overlook air conditioning unit bar behind hotel consequently , keep window shut reduce noise . next room 3rd floor , large , lighter big bathroom round bonus . breakfast great something suit everyone . to sum , great base London 2 minute walk Hard Rock cafe pull pork sandwich ! ! 
 Apr 24 2008 	 Hothouse 	 Hilton sit side road across Green Park around corner nice eatery Shepherd 's Market . location good , five minute walk Green Road Underground , one easily get airport hotel Underground brief walk . mayfair great area stay , careful place ! stay upgrade room , hot , way control temperature . window open little , help . heat come ceiling vent , bathroom unbearable . fan closet break . everyone friendly acknowledge bit hot . bit run . concierge could give good advice , ask get train Brighton , suggest several Underground stop , one could get train Brighton . unforgiveable especially drag luggage stair end somewhere want go , little thing seem problem . newspaper even though promise one . expensive breakfast .... go around corner Shepherd 's market many low cost good alternative . overall , stay location , pay alot , expect normal Hilton experience . 
 Apr 22 2008 	 last time @ Hilton Green Park 	 stay Hilton Green Park several occasion business . rate always competitive staff generally helpful , room cramp , noisy , uncomfortable . time stay vow last . convenience always bring back . last stay . mattress bed ancient , could feel spring . every morning 7 am could hear janitor bang door fill bucket water . anyone walk hall reverberate wall . slam door noise elevator constant . next time go back Le Meridien Piccadilly , worth extra gbp . 
 Mar 26 2008 	 Nice Hotel 	 stay one night March ’ 08 . pleasantly surprised get upgrade deluxe room plus complimentary bottle red wine assortment fruit waiting room . ' mid - level Hilton Honors member ( Gold ) ' really use treat welcome wine bottle . happen maybe every two year ( stay quite number Hilton group hotel year ) . room quite big ( London standard ) , include rather spacious bathroom . room quite recently completely renovate , rest hotel . mark stains usage , overall impression still good one . basic equipment find room , flat - screen tv ironing board . ' find WLAN though . lovely " old London style " narrow corridor squeaky floorboard indicate old building , ' get anywhere else London : - ) nicely locate near Royal garden , even though ' direct line view . view 4th floor room directly another building across narrow street , London ' really expect anything else . location good , plenty see walking distance . tube station almost around corner . Big Ben one tube stop away ! breakfast good , lots variety ( unlike normal London hotel ) . comment restaurant room service quality since ' try . executive floor Hilton Honor member hotel . would return ? yes , absolutely . price seem normally bit steep though , hunt bargain 
 Mar 2 2008 	 Disappointing Room 	 unlike Hilton hotel , one unable follow simple instruction make booking . happen stay give ! room stay small overlook noisy road - dreadful value money . Most Hilton 's great - one certainly . assume get much local business feel need try . 
 Jan 31 2008 	 small Hilton - nice change normal 	 stay hotel business early January 2008 . nice stay Hilton small normal Hilton hotel . almost feel like family run hotel . 's situation close London Underground ( Green Park Victoria Line ) make handy location London , quite road . Executive Lounge , use Hilton 's nice bar . eat bar night stay feel family run bar business Hilton hotel stay previously London . bar food good standard . resturant happy sit bar evening . the room high standard typical Hilton chain hotel . work company office Victoria , London , would hestiate stay hotel . 
 Jan 21 2008 	 return visitor 	 husband stay couple time , small intimate large park lane around corner , room warm , turn radiator soon arrive cool quite quickly , location great breakfast wonderful , everyone helpful friendly even sixth bowl bar nibble ! ! evening meal beautifully cook well present , place pace unhurrie completely relax , week can not wait ! ! 
 Jan 12 2008 	 good hotel 	 stay 5 night last week book another 3 week 4 night week rest Jan 2008 . concerned give review read beforehand review misleading . Hotel non - smoking . room double small floor space expect give old victorian building London . sufficient space walk round side bed modern furniture , large flat screen tV ( wall mount ) ; bathroom ok - white suite standard Hilton amenitiie . breakfast choice impressive ! ! could fault choice hot cook cold option lot fruit choice , cereal etc . hotel location great tube ( /metro ) access several local restaurant pub within 100 yard - italian , french excellent bistro 10 min walk - call Richoux South Audley St. US visitor would find hotel ' cramp ' remember central London old building we pre-1900 21st century modern / large etc full charm character . staff helpful friendly . 
 Jan 7 2008 	 location value 	 wife stay weekend shopping break , study usual comment site booking agree room small , aircon certain area would reach advertise standard , however overall price pay , £ 198 two night dinner one night , breakfast two morning do not think anyone would argue give hotel almost perfect ( shopping ) location well value anywhere London . we fairly season traveller London numerous time , hotel unbeatable term value money 
 Jan 1 2008 	 warning : Hotel Air Conditioning ventilation 	 stay Hilton Green Park June 2006 . time visit London experience unusual heat wave . check room swelter . look AC control . find none call front desk inquire . offer send someone . employee come pull small ( 24 & quot ; ) tower fan closet explain hotel AC . lack AC make bad fact room one window opening onto building window . leave room day morning close window shade prevent room get sun day . return 7 pm shade roll maid room unbearable . ask front desk relay maid staff leave note maid shade ; avail every day would lower shade leave every day would raise completely room unbearable temperature . stay force stay 10 pm ( sun ) could return room . never sleep well due intense heat ventilation . many guest check early due room heat . hotel book advance summer month event heat wave time stay . 
 Dec 19 2007 	 nosiest hotel ' ve ever stayed 	 stay one night Hilton Green Park . due HHonors Gold card holder tell upgrade Deluxe room ... would hate see standard room . the room tiny boiling hot ( air - con ) . mini - bar bathroom look like not upgrade since 70 . the bed comfy complementary water ( quite warm water ) provide . the main problem hotel floor , wall etc paper thin . not get early awake 6 am bang , crash , shout staff . wall thin staff sensitivity fact work hotel corridor people try sleep . finally give try sleep around 8 am drilling start outside room ! positive side location central price competative ( December central London ) . would stay . 
 Dec 12 2007 	 Good Bad Ugly 	 read numerous review hotel travel , really hope would well expect . ' ve travel London know expect small room , narrow hallway , tiny elevator .... total disappointment . the good : location excellent . walk many key place . Shepherd 's market nice convenience eat option late night . LOVED location . room clean good condition . bathroom toiletry also adequate . breakfast superb . the bad : odd stair slope floor expect review . floor actually dip soft spot trip even sturdy youth . wall thin , hear people talk hallway , could hear guest room we walk around . ugly : hotel designate non - smoking hotel . joke . hall reek smoke . 's fiber wall floor . night wake three time think building fire realize smoke seep room door . occur people probably go hall smoke late night rather go cold rain . pleasant . the extra : arrive greet warmly friendly staff . request deluxe large room since 9 year old we . give room 129 . not ever take room . small turn sideways get around bed . daughter bang shin several time . husband go desk request large room .... state booked deluxe size room . time leave hotel 2 night sick hearing & quot ; ' m sorry sir ... .... & quot ; promised deliver small bed room daughter . bust laugh . could barely get luggage room - WAY bed go fit . apologize , compe breafast next morning promise move we . , ' ve read old review know lovely view brick wall . room ! actually laughed open curtain big gray cinderblock wall . mention glance right look right window next room . 3 we cram one queen size bed night - tired fight staff anymore . next morning breakfast move we room 108 . difference ! ! ! one look front window . tall ceiling , 2 set french door / window , sit area , chaise lounge , flat screen tv , roomy . delighted ! downside smoke come hallway night . summary . not take kid hotel . 's probably perfect young couple spend time town hotel . 
 Dec 2 2007 	 fun friendly ! 	 stay hotel two night , experience utmost comfort courtesy ! even small room large bath comfortable bed . information need concierge immediately available , 24/7 . whole staff warm , friendly , eager help . opportunity , definitely stay ! 's block away piccadily line , stop point many fun location . 
 Nov 24 2007 	 Great Location 	 Overall enjoy stay Hilton Green Park . location excellent staff friendly helpful . get cheap deal last minute pay £ 63 night , mid week , include breakfast . pay full price , guess would little dissappointe , could not ask price pay . think get upgrade large room , prior arrival , room spacious decor modern , view quiet ( London ) street . negative comment linen stain wall door frame room scuff flaky place could repaint ( everything else room seem really new , not know not paint woodwork wall time refurb ) . get cheap deal , would definitely recommend hotel . 
 Oct 28 2007 	 Hilton class 	 staff nice location hotel wonderfull . nevertheless , expect experience good quality may disapointe . hotel locate old building , explain dirty carpeting , hole towel dirty gray window treatment . first ' ve get room ground face street , noice acceptable , switch back room next staircase everyone use elevatyor slow working . also get charge $ 48 3 minute phone call London area cell phone . free internet service hotel service actually cost $ 30 one day use ... uneceptable . hotel pricey price reflect service accomodation ... disapointe . 
 Oct 24 2007 	 handy bus 	 good location public transport walk numerous site , quiet ( London ) side street . staff friendly , helpful numerous . bedroom small , dark , little drawer space , large tv . Bathroom OK , & quot ; environmentally friendly & quot ; towel policy negate constantly replace part - use toiletry . breakfast good , large choice variation , twice four day wait ( 15 min ) table efficiently manage head waiter . dinner also good ( albeit overprice hotel London not ) adaptable special diet . one minute walk away area call Shepherd Market , market 6 8 restaurant offer well value meal , excellent dinner Sofra , turkish place busy friendly also able special menu . 
 Oct 24 2007 	 mildly disappointing money 	 stay 1 night Hilton Green Park London 's Mayfair neighborhood . quick review ... good : -- service excellent around , treat well . -- location great , lot see area ( though biz ) BAD : -- upgrade high level room , yet , big disappointment . floor oddly slope uneven soft spot , shower laughably narrow , furniture chintzy , wall thin , room not terribly clean . -- internet access cost $ 30 daygiven pay around 250GBP ( around $ 550 usd time ) , would expect lot . small room limited service would expect London , stuff not . place need upgrade room , embarrassed charge much internet access . 
 Oct 5 2007 	 great location hilton green park 	 husband stay hotel friday sunday get good deal book hotel directly include buffett breakfast absolutely fantastic 1st night evening meal also good quite alot choice , drink expensive ! ! staff helpful indeed . hotel room 1st floor guestroom double not good view , nice , clean & amp ; comfortable . wedding anniversary , mention book complimentory bottle wine send we arrive ! ! location though fantastic , alot sight within walking distance , tube ride , green park tube station 2 minute walk away . 
 Sep 20 2007 	 great location upgrade room sure ! 	 location great , right across Green Park walk distance Buckingham Palace . lobby small , staff friendly . first place room ground floor , way back property , strange set stair . room horrible , small move around , closet bathroom , air . construction site bar , sleep impossible first night . next day move nice room 3rd floor near elevator - difference ! much big room , queen bed , large bathroom , night day . definitely upgrade room miserable . 
 Aug 28 2007 	 Great Location 	 try avoid room 127 - small single view concrete wall , sunlight room darkness time . however super team staff great location . 
 Aug 26 2007 	 Way Hilton standard 	 check room could believe Hilton would actually put name hotel . receive roon upgrade check , even upgrade room well standard would expect Hilton . the room air conditioning , decor furniture seem cheap . room small , expect London . stay another Hilton hotel even small room , room still much high caliber Green Park . my room quiet , clean , hotel provide decent breakfast . location good , would definitely hesitate stay unless hotel go major refurbishment room airconditione . 
 Aug 17 2007 	 good location would not stay 	 nice location , Green Park , near Underground . staff also good , impressed . small room ( single bed ! ) a / c bathroom fan . also construction right outside window , sleep . last , next tv channel , like night get use time difference , hope like soccer ... sorry , football . clean , major complaint , well value money . 
 Aug 13 2007 	 really good stay 	 book stay Green Park mixed feeling 's due review read . arrival show two room choose 343 accomodate people say A / c hot , say comfortable stay . the bathroom window overlook old Tavern Ye Grapes noisy Friday night untill 11.30pm . you get view hotel side street location can not beat it . if get breakfast deal do not spend £ 20 lot eat place nearby example katie full breakfast £ 4.We eat hotel restaurant 1st night food excellent hilton member use loyalty card 50 % food drink anothr matter 2 spritzer £ 16 well overprice automatically take 10 % service . look cheap drink look Samuel Pepy 's around corner Tesco's . say would stay staff lovely . 
 Jul 29 2007 	 good round hotel 	 good way describe hotel nothing truly outstanding make go wow , instead everything well . two interconnect room three night family four . child age 9 & amp ; 11 share queen size bed even though two single request . room king bed small two seater lounge . children room hardly furniture think room much point move way . room immaculately clean though stain lounge . room fantastic Plasma TV 's reasonably modern furniture . bathroom good size . fault room airconditione ( central heating every room ) . portable aircon unit new take awkward space rather noisy . room adequate . breakfast include room rate . absolutely love breakfast . full english buffet . complaint breakfast , extremely well do . staff helpfull especially concierge seem know answer every question include bus route , tube station , theatre lot . helpful . mix check reservation one room reserve yet four person note reservation interconnect room request . since arrive lunchtime could not sort normal check time , concern we . hotel provide luggage storage dual key safe facility return . require late 6 pm checkout final day . hotel offer we extremely reasonable hourly rate departure . location 50 metre Picadilly three minute walk Green Park tube station . would definitely stay . 
 Jul 9 2007 	 bad Hilton ever ! 	 good location may , experience would happily miss . ' m Gold HHonors member book two reward room Green Park holiday break family - unfortunately therefore changeable , would flash . despite Gold membership ( suppose give upgrade room ) first room show dark , tiny , first floor face working demolition site , dust fly open window . luckily porter warn we way construction ! move street face room . different level build good portion room take stair corridor level . enough space get round bed , & quot ; cat swinging & quot ; would impossible . hotel thoughtfully provide rubber guard expose end bed , impossible knock leg way past - admission defaet ever one . postage stamp bathroom even extractor fan , never mind window . furniture look like buy bunch Ikea reject - small desk open dress table mirror belong boarding school , Mayfair hotel . room unpack three foot wide cupboard one shelf , enough room two suitcase stand - room may done pinch one adult , uncomfortable two . airconditione , London summer humidity double glazing make room like sauna , day night . electric fan unit stack cupboard work one set remote need operate battery , noisy may well stay Heathrow . bad part directly hotel 's fault - traffic congestion charge end 6 pm , street outside turn short - cut racetrack half London cab car , particularly Mayfair Park Lane Maserati brigade , accelarate fast possible Picadilly past window . problem aircon , choice live Grand Prix night window open , order get air room , broil . service patchy - porter concierge excellent , front desk staff defensive helpful ( probably exhaust many complaint overhear ) bar staff downright rude . good thing - breakfast buffet , world class . never , be determined stay London Hilton , head Trafalgar Paddington . 
 Jun 25 2007 	 Sub Standard Hilton Property 	 one star rating . positive minor positive proximity West End notice say proximity oppose location . check room 433 , tell upgrade . outside window room wall , see nothing wall , imagine view front property well look another hotel . bill Hilton Green Park envisage view park . call hotel Hilton Piccadilly acurate description location . property tired attitude staff . hotel decline , need shut refurbish . staff retrainedthe bed furniture within room see well day . there much well hotel area lot less money use one future . regularly stay Hilton Hotels ( Diamond ) second bad Hilton stay . long Hilton ( Manama , Bahrain ) fore technically make bad . at two hundred pound night must Dick Turpin stand behind counter robbed . I could chat previous occupant room he / her still bath . stay location important money cleanliness . 
 Jun 15 2007 	 location good thing ! 	 hotel great location , be ! book three room hotel , extremely dusty need carpet clean . first night , several us develop cough dust room . additionally , hotel central air conditioning guest room , staff bring large unit sit floor vent window , keep window open time . old hotel , uneven , creaky floor , hear anyone walk room . extremely disappointed would stay . 
 Jun 2 2007 	 Clean Comfortable Base Central Location 	 Hotel situate quiet street Picadilly . stay one night May 2007 happy service . room clean comfortable modern decor . room , single , although quite small , amentie list ( except Sony Playstation ! ) bar restaurant site Hark Rock Cafe around corner ! central location explore London . short walk past Ritz Hotel take Picadilly Circus , Regent St Oxford St - shopper paradise ! Hyde Park close upmarket Knightsbridge Harrods Harvey Nichols 10 min walk . a great base ! 
 May 29 2007 	 room clothe . 	 reasonable hotel , although fourth floor four step door room bathroom room , suitable old infirm . room also quite small , little wardrobe/ clothe space . also air conditioning beware summer . breakfast evening meal good , service excellent . 
 may 26 2007 	 modern clean great location 	 stay London almost every week ' m always look good value hotel . hotel centrally locate , spotlessly clean modern fitting decor . get good price - £ 135 p / night include dinner breakfast . tell reception could not get dinner room service , go restaurant tell not problem - need get story straight ! charge £ 3.50 deliver - problem . room get ground floor overlook several heating unit look straight window room , price , not expect anything else . would say though weather particularly hot , lack air con would make room uncomfortable . quite bit noise local bar problem need keep window open . suggest check , ask room high floor . 
 May 10 2007 	 okay ... nothing special 	 hotel okay certainly much well London . right across St. James Park close walk distance site certainly not anything stand . get pretty good rate book advance want add night want charge we 200 pound . way hotel worth 200 pound night . breakfast fantastic pay menu price- ridiculous great option short distance away 5 pound . 
 Feb 25 2007 	 good location nothing great 	 spend 7 day Hilton Green Park Business . hotel staff nice able check early nice . hotel side street nice not get much traffic . lobby small clean nice . elevator incredibly small afraid closed space hotel . get elevator walk hall first thing notice everything seem small . walk room realize WOW everything pretty small . every review read prior trip say seat hotel room stain guess ? mine well laugh . room small good enough since business trip . bathroom nice shower big water always hot . bed nice big pillow perfect head . Bar Restaurant ok ' meal could single great . good part hotel location area London . London day want see sight hotel . going pay big price average hotel London going pay anywhere . 
 Feb 11 2007 	 great food location room ok . 	 stay Hilton winter break two two night dinnerinclude one £ 230 . location excellent , close underground station short walk Buckingham Palace Picadilly Circus . far Oxford Street Charing Cross . food excellent waiter friendly pleasant . staff generally great . room tidy , clean fairly modern spacious . say , not spend lot time it . the hotel side street noise problem London traffic . all happy stay . hotel not much term facility except excellent restaurant . say plenty nearby . 
 Feb 2 2007 	 mayfair - almost 	 location great - one reason book . fabulous food . staff efficient rather friendly , except wait staff go extra mile . room not much write home - stain chaise longue nothing net cover bathroom balcony window . creaky floor . still , location price good deal be 5 star luxury 's always Hilton Park Lane around corner . 
 Jan 31 2007 	 good location hotel 	 stay early December find hotel decent . actually , location make good ; hotel nothing write home . close bus tube easy walk distance Piccadilly circus , Leicester Square , Buckingham palace , central attraction . holiday season always people , even alone never feel unsafe , even walk back hotel 3 am ! stay 3 room stay , small american standard decent London , quite clean . however , hotel " historic " mean old tired , even though restoration ( ' call renovation seem like painting replace carpet ) . floor creak , hallway long ramble , even double pan window ' quite keep street noise – although second room face back much quieter one face street . request non smoking room , apparently consider " room ' smoking " non - smoking room . , first room place smoking floor hall room smell horrible . complain tell " big room " . whatever . move small room non - smoking floor much pleasant , matter make sure specify whole floor non - smoking room . bed quite comfortable , bathroom decent sized combo bathtub / shower . last room ( extend stay move another room , small lot still adequate ) , ehad problem shower curtain , every time take shower water flood bathroom floor . least enough towel mop ! review mention , basically way control heating room , keep hotel excessively hot . even though winter cold outside , would open window least hour go bed ' sweat death night . concierge even remotely helpful unless know exactly want go want make reservation ( even , ' get popular place ) . ask good indian handed restaurant guide . totally par hotel concierge service , London anywhere else Europe . my rate ' include breakfast ' spend money , Starbucks Pret right street . shepherd Market right around corner wonderful reasonably ( London ) price restaurant . still , flaw , kind like hotel , love location . get reasonable rate would stay hesitation . 
 Jan 23 2007 	 put Hilton 's 	 , boyfriend two friend stay Hilton Green Park Birthday . friend book website £ 100 per night , ' special deal ' ' complimentary evening meal ' night arrival ' complimentary ' breakfast morning . choose Hilton thinking would something special ... so . the receptionist not seem friendly check . arrive 6.45 early evening meal book we 9.30.the room tiny bang leg edge bed twice . they clean room can not fault case £ 60 room £ 40 food would not feel need write bad review stay much well hotel London less money . not think state food complimentary 's obviously include price . on hand , food excellent , evening meal delicious wait 9.40 table ready even though virtually empty restaurant , time eat 10 pm starve . same breakfast , full buffet , anything want , nice , could not fault it . it standard room price pay . 
 Jan 22 2007 	 good Stay overall 	 stay Dec 26 28 stay pleasant . check - in easy ( arrive hotel 8:00am let we check - in early ) . location great close bus tube . room small clean . breakfast excellent . deal also include dinner first night meal decent . would consider stay next trip ! 
 Jan 6 2007 	 Lovely Hotel great location .... 	 not drink hotel bar ! ! husband & amp ; stay Dec 29th - 31st , get great deal londontown.com , 2 night B & amp ; B plus one evening meal 198pounds inclusive , well worth money , would eaten otherwise , breakfast around 16 - 18 pound , nice , way expensive . Checkin go smoothly , staff , find friendly & amp ; helpful , room lovely , clean & amp ; modern . arrival , well usual tea / coffee make facility , beautiful fresh fruit tray room , banana , apple , orange , strawberry , grape & amp ; star fruit , really nice touch & amp ; yummy . would stay , , plus location , definitly drink ! ! ! ! ! invite friends dinner & amp ; drink , meet , go bar close drink dinner , head Hotel , arrival table ready ( wait 10 minute ) , husband order drink , 1 whiskey & amp ; coke , 1 vodka & amp ; coke , 1 bacardi & amp ; coke pint beer , bar leave cost around 14 pound , Hilton Green Park order cost .......... wait ................. pence short ...... 30 pound ! ! ! ! beware , much love hotel & amp ; would hesitate stay , would use bar could never justify spending amount money 4 drink . 
 Dec 2 2006 	 Super ! 	 book hotel read review ' Trip Advisor ' compare other area - price . not cheap deal could find , average time year ( 20th Nov. ) . stay one night , wish could long . room clean , specifically bathroom think beyond ' must ' hotel accommodation go . street facing room , not problem - expect noise central London . room not small , neither bathroom - much well & quot ; could not swing cat & quot ; example . bed comfy , seat adequate ( one desk / dressing table ) large footstool type thing , be important . business desk would little small side , crisis . portable Air Con . unit find wardrobe along iron board , iron , safe , usual laundry bit extra linen / blanket . lighting option good . toiletree ' Crabtree & amp ; Evelin ' thus nice quality smell rather good . room service : quality / quantity food super , overpriced take long 20 minute suggest staff . problem occassion . location , anticipate EXCELLENT , close lot attraction , Green Park , shopping , tube connection ( several ) , quiet ( London ) safe . Staff give speedy service , well informed , corteous , offer good quality service . certainly return - credit Hilton chain ! 
 Oct 27 2006 	 Decent accommodation fine location 	 room large european standard : true double bed one end , sit area -- sofa , chair , tv set , table . bathroom small , include tub / shower many toiletry . the restaurant serve full breakfast high cost ; also offer lunch dinner menus rather good food . ( first night coincide last night ' Malaysian Food Festival , ' buffet prepared oversee chef Hilton Malaysia . different , interesting , delicious . standard menu , night later , less interesting less delicious . ) 
 Sep 26 2006 	 hard love easy like 	 Trafalgar get pricey , decide stay street another Hilton . stay 3 week height summer heat wave . permanent airconditioner hotel , portable one avialable request . bar / lobby : traditional , clean , functional . air condition . bar price typical hotel . newspaper available . restaurant : good variety food , typical hotel price . nice concept style . eat three time happy food . never room service . breakfast buffet $ $ $ , go somewhere else breakfast . location : 5 minute walk GreenPark tube station , 10 minute walk Picadilly circus , US Embassy ( grovesnor square ) . 2 minute walk park walk food ( Buckingham Palace opposite side ) , 5 minute walk Bond street ( luxury store ) . neighborhood upscale find Bentlys exotic car commonplace - saudi Embassy 2 - minute walk away . concierge : never use , always present . dry cleaning : fast , good job , never get starch instruction quite right ... dry clean across street , do not laundry . food : couple grocery store within 5 minute walk ( tesco , & amp ; ) . many restaurant pub Shepherds Market right behind hotel . room : stay 3 room stay , would take one - night jaunt weekend . room typical small London size . every room poor tv reception channel selection . choose german infomercial channel one 10 station get anybody 's guess ... definitely 4 star material . bed comfortable decent threadcount sheet . never hear neighboor , room well insulated noise . much streetnoise , remember suck outside air AC unit , get noise . bathroom spacious , clean , well - light , type toilettrie change daily . sometimes get bodywash , sometimes get moisturizer , get shampoo soap everytime . the airconditione issue 2 - 3 month summer . limit amount portable A / c unit , make sure order one asap upon arrival . a / c unit come instruction , rely instinct . also , turn do not empty water . hate turn middle night asleep -- wake sweaty ! think try modern Hilton Park Lane 5 minute walk next time go London . probably well business traveller , romantic quaint Green Park Hilton . 
