Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Aug 2 2009 	 fantastic location perfect accomodation 	 stay Salisbury honeymoon year love ! perfect location , within walk distance pretty much everywhere underground station either end street . apartment date decor clean spacious . staff lovely helpful ( help we find pizza place deliver room midnight follow late arrival ! ) .amaze city , prepare walk rest ! 
 Jul 26 2009 	 unbeatable location bit outdate comfy room 	 Hotel Salisbury great location , two block Central Park . subway station around corner . hotel clearly bite old well maintain , still , room outdated feel . everything clear well function though . breakfast 4 dollar cheap Manhattan standard . include mainly pastry ( croissant , bagel , muffin , etc ) cereal coffee , tea juice . no restaurant inside hotel recommendation include info brochure excellent . overall good bargain New York . 
 Jul 26 2009 	 great location ! 	 hotel great location ! ! be look ammentitie , not hotel . clean , room great staff friendly helpful . mostly love location , easy get subway , central park , 5th Ave shopping , times square theatre . would definatley stay . great time . 
 Jul 25 2009 	 complaint 	 stay hotel mid July 2009 2 night . book hotel read rave review Trip Advisor . not disappointed . hotel room old clean . lift groaned go slowly hotel corridor need new decor complaint . staff pleasant enough ... approach get taxi Bayonne ( join cruise ship ) ask would problem stop cab street . offer book car ( $ 70 ) .... turn white stretch limousine . ! make holiday ! breakfast good .... cereal , donought , fruit , croissant muffin , bagel , bread , juice , coffee . Kept top . get early . wait 10 minute leave queue 30 people . great breakfast kid eat much want . location excellant local pizza restaurant deliver room ... ideal delay flight Heathrow . ( good pizza ) . small safe room ideal store jewellery , camera etc . good value money 
 Jul 24 2009 	 right price good location 	 would like thank people reception desk . when check , realize room noisy due construction outside . we ask change room . the man desk try really hard please we . we end suit without add cent ! every time ask direction , ' ve get explanation need . breakfast good , worth every send . we will defenetly come back . 
 Jul 24 2009 	 great location good price large room fridge 	 nice place ' ve stay New York great . luxury hotel . old motel large room , comfortable furnishing , large closet , refrigerator microwave room . elegant clean well - maintain . air - condition window unit leave bathroom stuffy shower bit noisy . neither big concern we . housekeeping staff responsive request additional towel remember day . great location . walk distance lot subway station corner . would definitely stay ... exactly want weekend trip daughter . 
 Jul 24 2009 	 Brilliant Hotel ! ! 	 arrive JFK taxi . straight away bell man came take luggage v. heavy ! check bell man escort we room . lift slow . morning leaving wait little . otherwise seem fast enough we ..... room HUGE ! ! 2 flat screen tv 'S . little desk New York restaurant directory great help . breakfast lovely . great selection bread , coffee , tea , cereal , etc . great price $ 4 . subway around corner , handy . good location . overall think great wonderful time NYC . 
 Jul 24 2009 	 Location everything 	 planning vacation , spend time , effort money make perfect one . let us face – vacation New York could expensive . , pay * * ½ hotel $ 200 night expect certain decency courtesy hotel provide guest , not case Salisbury hotel - understatement ! .this hotel complete letdown . yes , location good room large – 's offer . actually , hotel offer guest : rude behavior check - in , billing error upon check - out , ridicule internet surcharge , lift ' work , shabby - cheap look ( lobby room ) arrogant front desk staff . rare combination bad thing almost spoil vacation city . I ' book Salisbury hotel next trip . 
 Jul 23 2009 	 Great Location 	 hotel great location .. two block away central park tiffany ( 5th Ave ect ) delightful place . hotel staff friendy helpful . breakfast ok bedroom fine tv want chill ESPN U.S channel & gt ; & gt ; & gt ; Fantastic & lt ; & lt ; & lt ; 
 Jul 23 2009 	 GREAT ! ! ! love hotel ! 	 book hotel Hotels.com not really know expect . people say old , noisy , ... first see room , overwhelmed ! spacious suite 2 large bed + flatscreen , living room + flatscreen nice kitchenette microwave ( not hotel , really good be travel young child ! ) . breakfast 4 dollar per person , free kid , well really good ! nothing fancy , good breakfast , great start day ! yes : room old , old ugly old , old New York kind way ! authentic beautiful ... good walk away Times Square great grocery store across street . lo noise outside , 's New York get use ! 
 Jul 23 2009 	 not forget ear plugs ! ! 	 even rare moment quiet downtown Manhattan , will not get sleep air conditioning noisy ! ! room mediocre , small bathroom . front desk could lot friendly . breakfast cheap - dreadful ! ! not take - go eat ! ! good thing location - even good moment build right next door ! pay internet . 
 Jul 23 2009 	 completely worth £ £ 	 stay ' 06 mean write review since . not worth review would leave since much time pass ... great . problem - since stayed go price- fair expect place good ! get great deal cheap Lastminute.com . room place big especially NY standard . friendly staff - receive upgrade room make bke mistake . location hotel FAB- close subway opposite teh famous Carnegie Hall . short cab ride Times Sq also . really wonderful hotel 10/10 - would not hesitate recommend - worth every cent ! 
 Jul 22 2009 	 good locaion 	 Hotel good location sight New York . room roomy clean . clean staff friendly helpful need anything . staff behind desk rude arrogant really care ifthey help . would smile always look though hae working nuisance . speak abruptly deal . concierge lunch early evening sour we need retire long look though enjoy job . need realize guest stop use Hotel may job go . amazed way keep job display trait . location Hotel certainly would stay . hotel overprice get little old . could work do coat paint would help . 
 Jul 22 2009 	 simply worth ... although good location 	 2 adult 2 teen stay Salisbury hotel begin July 6 night . upon check , receptionist front desk extremely unfriendly unpleasant . one bellhop almost rude constant biterish expression . staff member quite friendly , unhelpful . got 2 room 2 opposite side hallway ! although room spacious " relatively " clean , entire appearance room tired shabby . huge amount construction dust build next door simply everywhere ! loud construction noise early morning , too . Bathroom small get steamy take shower . ventilation . while take shower , water temperature often change ice - cold boiling - hot without warning . – dangerous ! ! ! – Hairdryer break throughout entire stay although ask couple time fix replace , matter remain unaddressed . Bathroom cabinet coat Formica peel humidity level bathroom . $ 4 continental breakfast … ok … line breakfast 8 unbelievable . we try much well breakfast Green Café next door amount . the major problem elevator . 2 elevator entire hotel old slow . one elevator always problem reach 11th floor ( door ' open ) constantly busy , use staircase lot ! general trip NYC nice since anyhow ' spend much time room , besides night sleep . unfortunately ' recommend Salisbury hotel book , although good price excellent location , unless place major renovation staff attitude improve . 
 Jul 21 2009 	 Super hotel great location great value 	 third trip Manhattan far good hotel stay at . the hotel great value huge room walk wardrobe . room little tired decor be NYC go room often . the breakfast get little busy hey $ 4 continental breakfast complaint . would pay coffee Starbucks . the hotel wonderful location . two block Central Park . either end block subway staion either Yellow Orange line . other reviewer note slow elevator . yes slow two necassary eveil hotel around long time . wait excessive amount time 
 Jul 17 2009 	 Great Value Location ... 	 hotel block Central Park . feel like safe place stay , could easily get anywhere else city . one expensive hotel , still clean , good service . would stay . 
 Jul 16 2009 	 worth look ! 	 recently stay group kid aged 9 - 21 chaperone . hotel old elevator great , otherwise great location , clean helpful staff . continental breakfast $ 4 , bad deal . walk closets huge bonus location central safe . 
 Jul 12 2009 	 place- price- experience 	 great hotel . huge room . awesome location easy access everything . overall great hotel . Free Continental breakfast . great service ! 
 Jul 5 2009 	 Jackpot ! 	 family 's first trip city , wow , luck hotel find ! location can not beat , could price . great bargain locate , right midst midtown , block 2 Central Park , great dining shopping subway accessability . , 's 5 - star resort ; old hotel without fancy amenity . be look hotel 's clean , great location , good price , . staff always helpful friendly ; helped direct we everywhere want go . would like workout facility , since close park , walk . overall , wonderful experience ! 
 Jul 5 2009 	 Nice hotel New York 	 book hotel hotels.com 48h - special offer andy pay 120 usd per night room ( incl . tax fee ) . normal price would 240 . locate middle Manhatten hotel perfect loacation sightseeing tour . 20 min walk times square , 2 min walk central park 1 min subway station good reason stay . room big clean , also old fashion style . Bathroom ok . overall hotel frill location . problem us parking car , two block away park 50 usd per day ( SUV charge ) . 
 Jul 4 2009 	 fine hotel midtown manhattan 	 happy really nice hotel , closely locate Central Park area.large room , neat bathroom , super walk - in closet . alltogether enjoy hotel stay ( 10 day ) . great housekeeping keep room tidy time ! ! ! 's one thing simply get use standard double bed , ar Dutch ( european ) measure small side . spend much time outside , do not really bother ... 2nd time NYC ( proceed last year May 's vacation ) really enjoy . beautiful start high 80 ° , weather condition turn poor ( end 3 - 4 consecutive day rain ) . hotel lobby respect seat facility small chair offer seating capacity hide rain spend time lobby . : perfect hotel away crazy TSQ nice area ! 
 Jul 2 2009 	 good value money 	 first visit NYC Salisbury great base literally doorstep Central Park . hotel little date place expect anything luxurious pay top dollar . able explore one world great city foot hotel well situate . room clean spacious everything need week long stay include safety deposit box . I would hope return hotel one day soon explore New York . 
 Jun 30 2009 	 Super Lodging ! 	 tour group stay Salisbury June 28 , 2009 . welcome warmly . room large comfortable . everything clean neat . near many thing . nice place stay ! 
 Jun 26 2009 	 Salisbury place stay New York City ! 	 come high school friend celebrate 60th birthday . hotel conveniently locate -- -2 block Central Park 10 block theater ! Carnegie Hall across street . accommodation wonderful 5 woman could share room together . could not believe closet ! service great hotel staff helpful . back . thank much ! ( one Sixty City girl ) 
 Jun 25 2009 	 great location amazing value 	 huge clean room neat view middleof Midtown $ 100 ? ! place great ; find city unexpectedly mid - week , find Salisbury Expedia early morning , book room , totally pleased . unbelievable value , room huge ( suite - style ) , clean , modern , flat screen tv , close everything Midtown , checkin / checkout breeze . definitely recommend ! 
 Jun 24 2009 	 amazing 	 worried review unfounded , staff fabulous , check quick room huge.the breakfast deal century check , ' dissapointe . really great location near central park , time square subway.we will stay ! 
 Jun 22 2009 	 Brilliant location 	 2nd time hotel 7 month . difference sun make . last stay November freeze . staff brilliant , knowlegable . plenty question . thank ny forum catch airbus subway hotel JFK $ 7 . double room queen size bed . really comfy mattrass . 5 night . room clean every day towel replace daily . empty fridge bonus , stock nearby supermarket . breakfast excellent value $ 4 . queue 5 min . we party 11 everyone enjoy stay . the fault 7 am wake call building work next door , weekday , plus side give we time explore wonderful city . 
 Jun 21 2009 	 great location Salisbury 	 stay 5 night 2 young child Salisbury love . location great . 2 block walk Central Park beautiful short walk Times Square . quiet hallway room spacious large walk closet . staff friendly helpful we . problem get seat breakfast couple time eat 4 dollar breakfast . eat Angelo 's couple door 4 time food good convenient we . even chance celebrity sighting right across street hotel one evening . the bad part view room great - it back apartment elevator pretty slow bad . mean wait little extra want head out . all enjoy kid think great place stay fun . 
 Jun 21 2009 	 Gem New York City 	 2nd trip far Salisbury exceed previous hotel expectation . staff friendly , helpful room LARGE ! plus shower actually hot water water pressure ... room clean , maintain daily . location could well ... nobu 57 across street though well sushi Rue 57 block away . Burger Bar experience . lure SoHo tremendous restaurant not miss Prime Burger Midtown . find area much safe late night previous stay 34th Street . oh yes ... check not tell Mama , fun cabaret piano bar tremendous talent popping ! 
 Jun 17 2009 	 lovely old world charm 	 love old hotel . huge room ! great price warm friendly staff . would stay location fantastic . grab $ 4 breakfast , wow ! 
 Jun 14 2009 	 fantastic location good value 	 stay hotel honeymoon 7 night . upgrade one bedroom suite huge ! ! ! lounge area couple chair sofa flatscreen tv little kitchen area . bedroom good size big kingsize bed 2 large wardrobe course bathroom . hotel fab location walk times square approx 10 - 15mins , central park 2 min walk metro station end road go afield . room little date could probably update , be not complain busy about.one complaint building site 2 bulding away start every weekeday 7 am loud , warn time booking.we breakfast include enjoy everyday . would highly reccomend hotel 
 Jun 13 2009 	 Great experience 	 stay Salisbury group schoolmate , make plan stay hotel month advance . budget , choose configuration room would require we pay little money possible . however , initial group 12 dwindle 10 7 , re - configure room multiple time . service staff Salisbury deal we much patience extremely impressed grateful that . when finally get Salisbury , second day , credit card use book room maxed hotel , per protocol , lock we room make frantic call home sort problem . really touch , though , compassionate enough allow we access one three room , friend really tired whole day walk . room terribly large , cozy . closet big enough four people 's clothe , bathroom comfortably large . bed comfortable , love flat screen tv . room overlook 57th Street , 14th floor , not problem noise . hotel offer continental breakfast $ 4 per person , offer basic fare donut , bagel , toast , fruit cereal . however , feel adventurous , friend head every morning breakfast deli next door , starbuck across street Au Bon Pain one block away . subway station less five minute away , able walk Central Park , Met , Times Square even Herald Square hotel , even despite cold weather . great location . we really enjoy stay Salisbury , would seriously consider stay go back ny . : ) 
 Jun 12 2009 	 pretension complaint 	 two room four night past week . room clean , even look corner . mattress pillow comfortable . nice size room two large walk - in closet , small refrigerator microwave room . everything work . not try fancy gimmicky , room everything need . staff efficient . ( friendly other , efficient . ) convenient location , block Columbus Circle , Central Park , subway stop , etc . get rate good get time ( $ 132 prepaid hotels.com ) , would gladly return need Upper Midtown , admit ' m surprised hotel rate much high site other -- like , example , 70 Park Ave . hotel find cozy , posh , upbeat , service - orient Salisbury . Salisbury may well family ; 70 Park Ave . well business traveler . 
 Jun 11 2009 	 Tired Happy ! 	 3 70 + 's ( man 2 woman ) find suite comfortable , clean huge . tip request room back use noise street . breakfast $ 4 bonus excellent choice . location wonderful . 
 Jun 11 2009 	 bad pay 	 go NY sister Memorial Day weekend . find good deal hotel hotels.com location good ( even though end go Greenwich Village night ) . loud construction street would start 7 , hardly blame hotel maybe rate good . breakfast hotel pay ( $ 4 per person ) , never eat , charge 2 breakfast ( morning day check , work idea since not even yet ) . check , let front desk know say would reverse charge .... still wait happen . call twice since , week get back woman speak say could see charge reverse wait post account , never happen . call today woman talk say would find someone research call back ...... 's hassle grant $ 8 , annoy . overall , good hotel would stay , check bill leave . 
 Jun 10 2009 	 Loved hotel ! room huge ! 	 although old hotel well care clean . stay one bedroom suite HUGE ! probably large NY apartment ! hotel nice central location . easy get everything . offer great continental breakfast every morning $ 4.00 . can not even buy coffee NYC $ 4.00 ! would highly recommend hotel ' m certain stay . 
 May 30 2009 	 Great Hotel 	 stay week ago , good review find , disappointed ! hotel big clean , bed comfy , shower good water pressure , etc . Breakfast include , $ 4 continetal breakfast hotel ; lot bagel , doghnut , cereal , toast , coffee , juice , fruit , etc . great location : close central park Times Square . I would stay agagin ! 
 may 28 2009 	 excellent base NYC visit . 	 ok , last minute booking Thursday , fly Sunday , read review hotel go Salisbury . good move ' ve make long time . first impression arrive - nice canopy entrance , reception simple , wood panelling , staff friendly helpful . reception indeed hotel not shiny sparkle , not exactly date , , not scruffy , peal paint wear carpet - nice clean , simple hotel great base explore New York . room back 8th floor ( lift sometimes take , especially breakfast , be rush ) major noise . corridor bite dark - room door could light paint lighten not huge issue . room good size two double bed , two comfy seat , desk , bathroom shower small kitchen area microwave , coffee machine , sink fridge - ideal store water , orange juice , milk coffee 's etc . huge flat screen tv . , aircon unit constantly 82 degree . room simple , clean tidy , bathroom . Buffet continental breakfast ( danish pastry , doughnut , cereal , toast , ham , boil egg etc - good choice truth tell ) $ 4 per head worth , place close pricey . location wise , near perfect . 57th street two street southern end central park , 5 minute stroll away . Carnegie Hall 100 m street , 5th avenue 200 m way . subway station corner 57th 7th 6th avenue 100 m away . line take heart Manhatten 5 - 10 minute ( $ 7.50 day ticket get subway bus unlimited access definately worth ) . walk Times Square 15 min , leisurely stroll . view 5th avenue 57th street immense - Trump Tower leave , Empire State Building distance . Angelo 's pizza parlour 3 door good pizza , deli next door serve take away almost anything , enough restaurant within 200 m taste not time get town . overall , would highly recommene Salisbury cleanliness , good staff , price location , pay lot much bad hotel middle city . 
 May 23 2009 	 Happy Travels Salisbury 	 family stay Salisbury Hotel 6 night April . location great , 57th Street pack cafe , restuarant & amp ; shop . our 1 bedroom suite huge ! plently room suitcase shopping bag . little kitchenette ideal well . breakfast good , ' all eat ' style buffet pastry , bagel , cereal , fruit , tea & amp ; coffee , juice . the downfall slow elevator ................. take stair eager hit street NYC hurry . overall great hotel New York , would definately stay future . 
 May 21 2009 	 great value great location . 	 lot research prior book stay Salisbury Hotel . although review great , still little nervous get great deal hotel . check , however , not nervous anymore .... thrilled ! hotel block away Central Park within easy walk distance Times Square tourist attraction want see NYC . hotel room clean although bed double ( 3 room ) bite cozy adult , two large closet room microwave refrigerator . 5 day stay 3 woman , could ask . love stay Salisbury Hotel would stay second . one note - Green Cafe next door fantastic inexpensive place breakfast sandwich . 
 May 21 2009 	 cheap great location 	 Positive factor : great location , large room , cheap hotel , fantastic bed , air condition , flat screen tv kitchen corner refrigerator , sink microwave oven . negative factor : service level terrible . see staff smile 8 day . hotel offer breakfast , stay ; terrible cheap food paper plate ! instead , lot diner nearby ( 9th avenue ) fantastic supermarke . hotel lie noisy area lot traffic ( 57th street ) , noisy air condition place window , " shut " noise street . but price hotel great , definitely stay hotel next time visit New York ! 
 May 21 2009 	 Good Bad 	 Salisbury Hotel one well possible spot New York . close three different subway line , Central Park 5th Avenue shopping . also great breakfast put $ 4 include cereal , toast various spread , juice , coffee , tea , egg , well selection gorgeous cake . great value , popular , long wait reauired table . hotel slowly , patchy wall , not matter . one - bedroom suite . sofa bed lumpy hence comfortable adult . real problem hotel lift . always work seem take eternity get high floor ( 15th ) ground vice versa ( often use stair instead . ) apart though , brilliant , would stay . 
 May 20 2009 	 good value base explore city . 	 mother stay one bedroomed suite hotel week 10th May . suite huge great extra space give length stay . room clean issue . thing would say bed hard can not get hard bed hotel . room 6th floor . obvious street noise night nothing decent pair earplug not drown sleep well . other people mention overall & quot ; tiredness & quot ; hotel decor , breakfast lift . hotel decor well , yes , suppose could face lift not think hotel looked run anything much hotel come current price range would real shame . breakfast . include package every day would not otherwise . surfeit bread product sweet cake little else crockery cutlery plastic bit odd hotel not kitchen suppose disposable . advantage hotel kitchen expect bring food outside save fortune food bill . breakfast room pleasant way small size hotel queue breakfast every day apart day arrive 9am . there 2 lift service 17 18 floor . room 6th floor hardly affect we use stair seem queue lift day . the chambermaid bellboy lovely , really friendly . bellboy front house staff perfectly polite businesslike perfunctory . overall Salisbury good base exlore city . two nearby subway stop use get downtown . Central Park Times Square within easy walk distance . hotel clean , comfortable spacious . book hotel basis space not disappoint . negative review ' ve see - honestly not know be complain , be like be pay top dollar . 
 May 20 2009 	 good location old scruffy 	 husband stay 5 night old , scruffy och rundown hotel . book hotels.com offer , make stay quite cheap , least compare wíth alternative Manhattan . location great , close Central Park Times Square , hotel offer alright breakfast 4 dollar / pp . that´s good part . bad part hotel really old worn . staff could train necessary . get room windows street fortunatly we´d bring earplug , otherwise would completely devastate . we´re couple late 20´s , child , lot travel experience normally demand much . time bad , we´ll try expensive hotel next time go NYC . recommend hotel someone who s foremost goal stay cheap possible yet want stay hostel . 
 may 18 2009 	 find 	 Booked Expedia - cheaply . let check noon , 3 pm . enormous room ! quiet , clean . old fashioned door wall ? like . wonderful location . real bargain . . feel safe . 
 May 18 2009 	 good value 	 old well maintain hotel . frill , clean perfectly locate . get great price double room thus save shopping , restaurant show . could step outside hotel walk place within minute . directly across Carnegie Hall 5 minute walk Central Park . be look Plaza , sorry ! look cost - efficient , clean room lie head , great choice . 
 May 17 2009 	 Average New York Hotel 	 stay Salisbury May 12th 3 night , think rate 30ish trip advisor would well previous NY hotel . not . hotel situate good location Central Park attraction , . tell building / renovate next door . pile driving start 7 am ! -Noisy - Dusty ok bother we much want get City noisy . hotel room good size ( NY hotel go . storage space good . bathroom need makeover , oh yes shower curtain stick ! opinion hotel ' tired ' need make - over . also staff helpful polite normally find USA 
 May 17 2009 	 Great Hotel - Recommending friend 	 give fantastic rate receive ( book airline book Expedia actually book hotel ) location , expect dive . completely opposite . well - run , clean hotel ENORMOUS room ( naive canadian standard . ) hotel quiet tomb room . yes , 57th street side traffic noise would not let sleep would want be close everything . subway station corner - use F line get downtown walk south 7th Broadway theatre . I can not begin say enough good thing place . make first ever trip New York joy . 
 may 17 2009 	 buide work 	 buiding work go three door , go hotle thomas cook tell we good place stay far sightseeing , walk time sqaure 5 / 10 min go m6 bus place ask hotle get get bus map hotle ( free ) 
 May 15 2009 	 Great Location 	 return 4 night stay hotel . hotel location . 5 min walk Park 10 min Times Square Theatre District . one downside hotel room badly need decoration . chip door , scratch inside bathroom door ( look like someone try claw way inside ! ) . floor hot . 11th Floor . air con constantly , noisy ! front hotel yes noisy , expect NYC ! bed comfy lovely flat screen tv room , 2 big walk wardrobe . breakfast twice . great value $ 4 . breakfast Health Bar Stage Deli day . nice . rue 57 nice place eat corner W57th 6th Ave . staff hotel pleasent - particular porter . call we car take we airport . think use Dial 7 - would highly recommend . overall fab stay NYC , come back - hope one day - would stay Salisbury purely location . hopefully redecorate ! 
 May 13 2009 	 good location good room .. 	 .. beware noise ! happen street side building , well bring effective noise protection . otherwise , hotel well locate service good . 
 May 11 2009 	 lovely hotel perfect location 	 pleasantly surprised hotel hear awful story new york hotel . stay november , weather freeze hotel brilliant radiator never cold room . bedroom really spacious two double bed instead one expect . bathroom little old could done update . I find breakfast good boyfriend not impressed . cheap little plain have guaranteed find something could eat . location excellent pretty much everything , right beside subway station sight well within walking distance . one drawback lack nice restaurant bar area real nightlife area . however area peaceful safe 
 May 11 2009 	 excellent location frill hotel 	 five night stay Salisbury whilst round meeting New York . hotel little run , accommodation excellent , room large great view 57th Street . Staff range indifferent friendly , always courteous . complain slow elevator . slow rather clunky , never find great problem . aside room , great thing hotel location . two block south Central Park Columbus Circle , stone 's throw away two subway station take almost anywhere need go . 's ten minute walk Times Square , one good part trip nightly stroll city 's hub . the Salisbury right heart Theatre District , ideal be go show . lack restaurant bar compensate wealth place within couple block . go Cafe Europa corner 57th 7th morning breakfast , Trattoria Del Arte across street - recommend New York native , terrifice - great be travel alone eat bar , staff super friendly . 
 May 9 2009 	 Loved would definitely stay . 	 stay suite week April . fantastic , appreciate old handle average shower . room massive price die . really can not beat salisbury 's location - feel like could get anywhere want easily . right near subway walk distance much . adore & quot ; old & quot ; relish old window , door frame , door knob etc . like flash may struggle bathroom honest look something good price can not go past place . outstanding service minute walk door , contrary review site . oh - one thing - review recommend not stay front building noise 57th street . would say , not let noise put ! floor 7 front adore street view - spite noise . really feel part city ! sound traffic mean will lie awake though guess reconsider . ' m say view front brill - adore watch busy New Yorkers bustle work ! enjoy . oh , ps - zillion great place eat around area . look menupages.com , ask front desk . 
 may 7 2009 	 good choice 	 stay hotel april 3 night . arrive hotel first night , say hotel overbooke send we hotel next door , & quot ; bucket & quot ; first night . bucket nice . downside . make mistake give we free breakfast big room . first trip New York experience many hotel old updaited . the Salisbury good choice New York , good location 5 th avenue . short walk central park , shop 5 th av Trump tower . room get big , nice firm bed 2 tv , one bedroom one living room . bathroom look bit old do not mind . think that s coomon New York . breakfast impressive , buffet , lot white bread muffin . miss scramble egg , cheese ham . do not lot choice . fantastic stay , New York amazing : ) hotel good choice stay . 
 may 6 2009 	 good clean hotel great location 	 return uk week long stay New York , spend long time look good place stay price range , read review trip adivisor decide Sailsbury . WONDERFUL LOCATION central park subway either end street , bus stop around corner . it market hotel New York , spend day sight see walk mile good CLEAN , comfortable place rest tired foot ! ! one bedroom suite back great view much noise , huge flat screen tv lounge bedroom , bathroom upto date colour , everthing work spotless , toiletie nice touch . I agree build work go street , hotel 's control , let face NY quiet place , ! ! $ 4 breakfast good value , fresh fruit , juice , coffee , tea etc , cereal load different type roll , bread bagle etc . fruit bread wonderful , ! hard boil egg cream cheese , ok do - nuts muffin , etc ... one make eat ! ! . never problem lift 14th floor therefore use alot . the front desk staff , cheerful respond friendly manner , bell hop great often help we work daily route offer steet map unende patience ! ! admit air con unit bite loud walk foot day tired really issue . if want market treatment stay market hotel , pay price ! , want good clean hotel , fair price , great location give sailsbury go ! ! 
 May 5 2009 	 great value money 	 salisbury ideal base explore ny . large clean room , ideal location , unbelieveably good price . it true decor little date , paint woodwork tired . also true corridor air condition , breakfast ( choose ) serve paper plate cup . consider positive : room huge NYC , air condition , lobby . room clean , linen , bed comfortable . breakfast $ 4 eat buffet cereal , toast , coffee , tea , juice , bagel , muffin ( banana muffin particularly nice ! ) , doughnut , fruit salad , danish pastry , egg ... important , location perfect . I use live New York 80 , Salisbury charm Hotel period . actually character , unlike Holiday Inns etc would similar price more . we arrive midnight late flight Heathrow , check easy know would late . initially give twin even though ask King . go back front desk ask inform standard practice Expedia booking ( ) give whatever room available ( basis would recommend book directly ) . tell king would become available follow day could wait . since intention unpack straight away give time , problem . next morning breakfast , take suitcase back reception leave bell hop , go morning . come back lunch pick new room key . immediately go back reception suggest give wrong room . ask wrong , say nothing wrong , give we suite . & quot ; be right & quot ; , reply receptionist . & quot ; ' ve upgrade . charge . & quot ; tell not complain room , would prefer sleep bed . & quot ; know , & quot ; say . so , suite enormous , storage space anyone could ever need . iron ironing board , safe , microwave , coffee maker , hairdryer , two flat screen tv ( one easily 46 & quot ; ! ) , sofa , table chair etc etc etc , enormous bed anyone could ever want . back building , great view , quiet - building site start morning . thing , NY noisy city , expect . want quite luxury , not expect get Salisbury , hotel charge kind rate , need look $ 500 + night hotel , still noise problem , - one exciting city earth . when said do , hotel base . place rest weary head , clean , safe , well located . salisbury thing , , could recommend highly . give choice expensive , modern luxurious hotel ... ? think thing would rather spend money . stay Salisbury - come wife , prasie indeed ! 
 May 4 2009 	 Jackhammer Noise . rattle Window Air Conditioners 	 stay Salisbury past ten year - complete four day stay . charming quaint ten year ago dowdy worn . badly need updating staying . noisy window air conditioner . bathtub not drain . surly front desk staff . frankly , ' ve put long could . even though give favorable review , not measure . toilet tissue thin could see . cranky slow elevator . excessive charge internet service ( 1990s ) . fitness center . although always enjoy large room past , be enough offset Salisbury 's shortcoming . discount well - locate hotel make competitive formerly attractive rate Salisbury . one final note . build adjacent Salisbury construction / renovation . jackhammer start early morning weekday . 
 Apr 28 2009 	 excellent hotel 	 beat salisbury hotel value money . stay hotel easter one bad thing could say . party 5 suite stretch front hotel back .. large bed room 2 queen bed , large walk closet large flat screen tv , room pull sofa bed another large flat screen tv , dining table , little kitchenette microwave , sink , coffee maker fridge , lot lot space , like hotel stay ni nyc could swing cat . breakfast good $ 4 , great location close subway time square 10 min away , around corner central park . , say . friendly staff . excellent cleaning staff , also bring food room , good supermarket street great pizza place next door . 
 Apr 25 2009 	 Shame kettle ! 	 previous reviewer seem lucky enough microwave , fridge kettle room . unfortunately none absence tea / coffee make facility prove real pain ! ask reception would possible provide we something response certain room facility not one would possible provide we anything . reason alone would stay hotel cuppa morning tire day sightsee important we . local cafe starbuck well we ! apart form , hotel good location , breakfast good value breakfast staff cheery . room keep clean housekeeping . 
 Apr 23 2009 	 get back disappoint 	 book hotel ( base price review ) two night able get two standard room 1/2 hour prior & quot ; official & quot ; check - in time . positive : hotel great location . size room good two walk - in closet ( full ironing board iron ) , new - look extremely comfortable mattress pillow , large flat screen tv , lot room dresser drawer , kitchenette apartment size fridge , microwave coffeemaker . negative : room outdate chip layer paint , semi - clean ( arrive hair bathtub , lot build dust dirt corner along edge window smudge ) . bathroom ventilation fan add heat humidity rest room . speak ... like review mention , room extremely warm ( feel like high 80 's ) run air conditioner night sleep keep temperature tolerable level also drown street noise . thankfully , window open . the two elevator slow opt take stair ( 12th floor ) several time . desk clerk not overly friendly check even less friendly check . one time greeting return way lobby . morning check , ask someone could get we taxi 12:15 pm tell plenty taxis street could get one . ( try could not pour rain every cab come street light turn . end spend extra money private car airport luggage we ) .this hotel certainly not make good impression two co - worker / friend never NYC . 
 Apr 23 2009 	 great place 	 thought would add yet - another great review Salisbury . stay husband 20 year daughter last week . compare NY hotel ' ve stay room huge add bonus microwave , fridge kettle . unlike one reviewer find front - of - house staff really helpful , even manage russle - up replacement wheelchair one tyre puncture ! would definitely return . 
