nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Jan 21 2009 	 like big tall boutique hotel ( steroid . ) 	 wait stay hotel . quiet room stay ny high ( 50th floor . ) view East river midtown . unobtrusive service , comfortable comfortable bed , pool , fast lift . the lack complimentary internet bit 1990s complimentary airline check - in terminal lobby . I NY leisure trip find hotel clean , quiet locate perfectly need . 
 Jan 16 2009 	 Cleanest Hotel City 	 acutally pay thing stay Millenium Hotel Dec 30- Jan 1st contest computer . think would write review clean hotel ever stay . stay 46th floor breath take view Hudson River , Statue Liberty , NYC skyline coarse Ground Zero . amenity par , bed well ever sleep hear construction noise . staff always helpful friendly . would 5 star not front desk call tell we 2x eat mini bar . also try tell family 2 room also . sure seem little fishy . good place stay especially case since free . would spend 400 + dollar might shell 200 . also far enough away tourist attraction get sleep far get attraction . opinion wonderful New Years Eve stay . 
 Jan 13 2009 	 Nice Stay 	 stay Millenium Hilton December 2 - 6th business course . hotel right next 7 World Trade Center course conduct . hotel provide necessity require room adequate . 25th floor corner room overlook ground zero church . room clean . problem heat ( would not turn ) tv ( volume hard control ) rectify immediately . Ground Zero noise bothersome , usually finish work around 11 . problem couple night past 11 anyway . hotel provide ear plug want . can not comment restaurant eat every night . use fridge supply room store thing buy outside hotel . fridge sensor system remove something show bill . bring attention front desk receive bill reverse charge immediately . hotel locate near subway terminal allow quick transportation popular attraction like times square , empire state , flatiron building , Macy 's etc . hotel also within walk distance southside seaport worth trip . great place eat shop good . Century 21 department store locate right next hotel . visit every day come something new every day usually 65 % discount . 
 Jan 13 2009 	 New Year @ Millenium Hilton 	 stay @ ' Millenium Hilton ' Hotel Wife 5 night New Year period . 49th floor ( room 4909 ) stunning view Hudson River , Statue Liberty / Ellis Island & amp ; ' Ground Zero ' . room spotlessly clean amenity expect include tea / coffee maker , iron board & amp ; mini bar ( expensive ) . bed comfortable ever sleep ! ! clean linen every day . use pool / sauna 5th floor several occassion , water warm .... tranquil retreat day shopping sightseeing NYC . use ' Church & amp ; Day ' restaurant 3rd floor although look quite nice fairly expensive . drink ' Liguid Assets ' lobby bar ...... $ 12 glass wine & amp ; $ 7.50 bottle Budweiser ! ! ! ! ! quite surprised amount Bars / restaurant vicinity Hotel . try ' Mocca ' hundred yard Church St something eat ... reasonably price good food , ' Biddy Earlys ' Irish Pub Murray St ( Church St - 5 min walk hotel ) cheap beer , $ 8 pitcher ' Coors ' . also South St. Seaport , 5 min walk Hotel , well worth visit . Wall St , Battery Park & amp ; Brooklyn Bridge also min walk away wellWe use nearby subway ( $ 2 ) taxi ( $ 10- $ 15 ) get Midtown sight . overall great stay comfortable Hotel , far enough away hustle / bustle Midtown still minute subway taxi . 
 Jan 9 2009 	 dirty weak service 	 hotel disgustingly dirty . ' m kid say find room filty : nail clipping bathroom , toothpaste mess counter , food spill furniture , dirty floor , etc . ask manager someone housekeeping show . room swap new room impressive even though clean carefully . I travel lot stay high - end hotel . four - star hotel never return . 
 Jan 8 2009 	 Millenium Hilton 	 due snow , leave city early arrive 7 a.m .. check - in time 3:00 , staff let we check early ! view Ground Zero ( nice view ) , could also see Statue Liberty . staff tell we may hear construction noise , Ground Zero still work every day Sunday . provide earplug , bub not need use . thing not like hotel location . 's subway right corner , be last stop F train , wait f get . get another look like stop close hotel , nightmare walk hotel construction , closed street sidewalk , etc . rain and/or snow whole weekend , end get lot cab ride , get expensive hotel far away midtown , broadway , cool neighborhood . hotel room super clean . 
 Jan 7 2009 	 Excellent Stay 	 ' m sure people problem hotel , class light sleeper , room face WTC site , could hear work go wheather sleep day night . I upgrade King Corner Suite 27 floor , great view north well WTC . not find site & quot ; grim & quot ; fascinated work go on . overall another excellent stay , look accommodation downtown , hotel first choice . subway connection great , use restaurant , eat Stage Door Deli across way breakfast . would stay without hesitation . 
 Jan 6 2009 	 good hotel bit far tourist attraction 	 use able get hotel $ 130 Priceline 2003 - 2005 ( post 9/11 ) , rate back $ 400 + rate hilton.com Priceline $ 250 + range . nice , chic hotel modern décor pretty spacious room . Hilton Diamond member last time ( 7/2008 ) upgrade junior suite also receive free breakfast restaurant . nice touch positive impression hotel . would recommend overall , combination high price point less convenient location major tourist site meeting , ' ( ' ) stay regular basis . say , completely fine hotel – good need . 
 Jan 5 2009 	 great Stay Family 	 wife , son ( 12 year old ) stay Millenium Hilton day New Year 's Eve . purpose trip catch show , shop see sight . purposely choose stay away midtown Times Square area . millenium great location get away crowd experience Lower Manhatten , still convenient Broadway , Central Park shopping . several subway station close hotel . the hotel meet exceed expectation NYC hotel . junior suite 51st floor super clean , comfortable fairly spacious . room view river , Statue Liberty , Ellis Island Trade Center 's work site . son really enjoy bird 's eye view watch construction WTC site . construction activity bother we . the hotel 's front desk , bell security staff friendly , helpful courteous . front desk able accommodate request early check late check . although parking expensive ( $ 65 day / SUV ) , site parking attendant efficient busy time . it look grand public space , lot restaurant ostentatious atmosphere , hotel . , look upscale hotel great location modern , comfortable clean room great staff , may want consider hotel . 
 Dec 31 2008 	 average ... give ' priceline ' room 	 stay expensive time , christmas new year ... get ok deal thru priceline ... would prefer times square midtown west , feel area fine . I arrive 9 pm long day fly ... sarah front desk check we , friendly enough , give dread ' priceline ' room ... ask 2 double bed something quiet away elevator ... give king right across elevator ... bellman we , would not even go room .. not want hear & quot ; ding & quot ; night .... helpful get us room hall , low level .. noisy due WTC construction .... go downstairs complain offer get new room tomorrow could send sound machine type ... decide suck spend one night room .. next morning go downstairs get new room get well one ... 27th floor corner room 2 double bed ... satisfied room ... internet fast , bed comfy tv huge ... not eat restaurant .. easy access subway ... sure take & quot ; e & quot ; & quot ; & quot ; & quot ; c & quot ; way home will end several street away try find way back home ... complaint comforter smell dirty never change pillowcase one dirty food we .... 
 Dec 16 2008 	 Honeymoon stay NYC ( point ) 	 location Hilton hotel good , look spend time low part Manhattan . opposite World Trade Center work area , yes , sound even 50th floor , bother , answer . around corner Wall street , easy access metro . walk distance SoHo Chinatown / Little Italy . fitness- pool area supposedly good , time . quite good hotel marvelous view . location 6/10 : bottom Manhattan easy access Wall Street boat either Statue Liberty New Jersey . two metro station . walk distance SoHo , Chinatown Little Italy shopping , restaurant , etc .. ' drive taxi want go mid Manhattan Times Squre . Lobby / check - in 6/10 : small average lobby , nothing special . man check us service minded , job , nothing . elevator super fast , fun . room 7/10 : ask , upgrade , corner room Brooklyn view . marvelous view 50th floor ( 5009 ) , Statue Liberty WTC work area one window Brooklyn Brooklyn Bridge towards . quite breathtaking bed see view . room big , enough . fit large king size bed , chair ottoman desk . closet small drawer . negative part big flat screen tv place wall right bed , difficult see . bathroom big good , large wasbasin area . negative shower head try move , almost come tile . restaurant 6/10 : dine either restaurant hotel . comment , breakfast , quite nice buffé , whith necessary breakfast thing , also american . plus view WTC work area . other : fitness center / pool area seemd quite good . go see go use , comment , seem good . jacuzzi , good size pool share steem sauna . gym machine work free weight , basically need good , hotel , work . 
 Dec 15 2008 	 grim 	 hotel okay austere . thing would want other know room overlook former World Trade Center look site massacre 3,000 people downer , maybe try another hotel . restaurant grossly overprice inefficient polite service . small room bad NYC . 
 Dec 3 2008 	 convenient locale noisy 	 love hotel Financial/ low Manhattan , although busy weekend , handy Newark arrival , next door discount shopping Mecca Century 21 . be also right 5/6 subway walk distance 4 . nice day , be easy walk Chinatown , Little Italy , Bowery TribecaOn downside , be dead night construction twin tower mean lot noise unless pay extra city view . 
 Nov 19 2008 	 Perfect Stay Millenium 	 excellent hotel , large room ( NYC standard ) excellent view . location excellent ( subway stop right outside hotel entrance ) next Ground Zero other note . construction noise issue- notice crane work early Sunday morning look window , could hear . 17th floor . also , find new clean , could hear noise room hallway . also please rate Hotwire . overall , fantastic stay . 
 Nov 9 2008 	 definitely 4 star .... 	 positive hotel ... location great ( way well connect subway / mass transit ) , room good size , view incredible . however , experience number problem make stay almost unsatisfactory . first , come want check refrigerator ... would not open reason . notice cup miss hair stain bed . immediately call Guest Services advise would send engineer house keeping immediately rectify issue . go room hour go explore . come back bed exactly condition leave refrigerator still would open . call back reply , & quot ; oh , house keeping say already change sheet . & quot ; , however , complete lie move pillow sheet around untouched . explain front desk manager reply , & quot ; oh , ok . still want sheet make ? & quot ; Flabbergasted , reply , & quot ; yes ! be call first time 3 hour ago ! ! & quot ; also make sure tell come 6:30pm b / c rush get dinner reservation ( 6:00pm call ) . five minute later , however , housekeeping & quot ; engineering & quot ; come explain please come back 6:30 . fortunately , time return dinner , problem solve ... think . the next morning take shower , long nasty hair tub tile wall shower . not notice day not use shower . clearly show we either clean totally unsatisfactory job cleaning . overall , 's decent hotel - fortunately , pay less rate Priceline . however , ' m gold member come expect certain level service , pay full rate , would completely dissatisfied stay . management , general , indifferent lackadaisical stay get cheap rate possible . . 
 Oct 25 2008 	 efficient business hotel 	 great location business downtown . room quite large ny bathroom modern . good part spare afternoon flight concierge able suggest perfect tour finally manage see NY . gym brand new quite well equip hotel 
 Oct 16 2008 	 Top Location - go back construction finish 	 top venue & amp ; away Times Square midtown ( that s prefer ) , everything go well lucky stay Friday night Monday night Sat , Sun morning quiet even Mon bank holiday ( columbus day ) . issue tue morning construction start early Ground Zero site . could not fault otherwise 
 Oct 15 2008 	 great hotel ! ! ! ! 	 Loved ! ! ! clean , comfy , spacious , relatively close dining , shopping , etc . ; yet close Times Square , Central Park , etc . otherwise , hide fee , over - billing , problem . noise construction Ground Zero insupportable either , offer earplug tell we could request call & quot ; sleep machine & quot ; trouble sleep . one imagine , entire day sightseeing , need earplug ? really fascinate extremely fast elevator : go lobby level 43th floor , room locate , blink eye . way fly floor awesome ! minor complaint fact room adjacent , a.k.a share in- room door , someone really enjoy watch loud tv past 12 ... situation course , create tension we , one we feel like call front desk inform situation . otherwise , would not doubt stay hotel . personal note , really sad see tower go ... course will not last long busy rebuild . 
 Oct 15 2008 	 large room - great stay 	 sister stay 3 night Milleminum wonderful stay . large bathroom , king bed , full size desk chair , large plasma tv , mini fridge , lot storage space , wing chair ottoman still room move around . room overlook World Trade Center construction site , tell may noisy . noise bothersome least . take subway everywhere , much fast . purchase daily metro pass ( MTA ) make get around easy . walk tribeca , SoHo Greenwich Village dine West Village . would highly reccomend area . Times Square extremely busy . also dinner port area , end Fulton Street , also worth trip . 
 Oct 15 2008 	 Good Hotel 	 clean , classy . suite 40th floor ( bedroom sit room connect ) large hotel room ever NYC . staff friendly . complaint . ( please note construction go immediately next door Twin Towers stand . construction seem end around 9 pm start 6 am 7 am . , light sleeper particularly bother construction , would avoid hotel . ) 
 Oct 12 2008 	 Decent Business Hotel 	 good business hotel - attractive lobby , decent sized well appoint room . get bird eye view Ground Zero 24 hour noise ( even thirty odd floor ) . corridor rather drab . real objection hotel seem lack wow factor - guess 's expect large , non boutique , chain hotel . 
 Oct 12 2008 	 could not well 	 return spur - of - the - moment honeymoon NYC . book room naming price priceline , - great fortune - end Millenium Hilton 6 night reasonable rate . request quiet room accommodate , honestly say not remember sleep well many night row . bed comfortable , sheet soft , room immaculate , view bridge Brooklyn fabulous . staff extremely helpful - husband receive great advice romantic thing city concierge upon hearing get married desk staff send complimentary chocolate dip strawberry sparkle wine . not stay side face WTC construction , daytime noise bad street level . also , hotel perfectly situate next several subway stop Century 21 . stay could not well . 
 Oct 8 2008 	 Fabulous Holiday Great Hotel 	 boyfriend book surprise holiday NYC 30th birthday Christmas well ever also propose . go new year 2007/2008 . hotel - situate downtown NY , 17th floor touch memorable view ground zero . ongoing work WTC site 24hr prepare bit noise although window muffle sound little , be still audible . hotel clean staff friendly , hotel concierge use service i.e reservation restaurant etc . pool look lovely never use busy touristy thing . menu look appertise although never eat hotel room service charge high . room big bed die - comfy cosy . Out & amp ; - definitely need get subway ( e train ) WTC subway taxi midtown ( $ 2 ) per ride , within walking distance . downtown Broadway ( road ) become dark quite night shop close try avoid walk here . if planning go Staten Island Ferry pass Stat Lib would advise get Battery Park one first crossing day queue get long . I recommend Broadway show complete stay ticket book via concierge turning theatre & amp ; book direct - Mary Poppins $ 50 ( £ 25 time ) much expensive tour op . overall - love every second ny find people v.friendly . would go back tomorrow would stay hotel spend lot time Midtown may book hotel near there . thank make stay ( & amp ; birthday ) special . 
 Sep 30 2008 	 Great 	 stay 4 night 49th floor corner room ( 4901 ) . view incredible , one window , could see SoL , Brooklyn Bridge . bit pricey budget , special trip we Mill Hilton make even well . add bonus , e train less 300 ft front door . highly recommend . 
 Sep 30 2008 	 great hotel Location much 	 enjoy hotel , nicely decorate stylish room . quite spacious New York . location ideal anyone plan spend lot time midtown uptown . Taxi 's Times Square anywhere $ 11 - 15 time although subway close , stay e line not operate . great location Wall Street walk distance South Street Seaport . ongoing construction World Trade Centre site however noise problem . overall good stay however next visit stay uptown . 
 Sep 29 2008 	 reasonable rate great room fine location 	 reasonable rate , excellent spacious room great view city decent location close busy subway line hotel quickly become preferred place stay Manhattan . it may immediate proximity major New York landmark hotel near Times Square , Millennium Hilton less block e line . ' ve always find easy get around town use hotel start location . nightlife round hotel non - existent , budget $ 20 cab ride back night -- take subway back $ 2.the room large furnishing , Hilton , excellent . huge , comfy king bed disappear , chair table arrange around room , well - sized bathroom always clean . one big draw swimming pool hotel , real treat . be never crowd 's pleasant way unwind . 's also sauna -- though heat slightly room temperature , guess 's lukewarm panel room -- fitness center decent business center ' ve use time . the staff friendly concierge ' ve deal encyclopedic knowledge city . add always pleasant experience stay hotel . 
 Sep 17 2008 	 Nice hotel indifferent service construction noise 	 stay one night wedding NYC . hotel nice , bed toiletry decent . shower pressure greatest . big issue want mention hotel across street Ground Zero , construction practically 24 - 7 . pair earplug room note manager . Saturday night construction seem start around 7 am Sunday . not bother already , could big issue . 
 Sep 17 2008 	 Loud . loud ! ! 	 read review hotel sceptical level noice Ground Zero . stay 39th floor incredibly noisy , day night well . work evening well night stay well deep sleeper . service reasonable although call house keeping ensure room tidy bed make . do first day reason . do not time use pool look clean good condition . good location low Manhattan give price hotel buidle work would stay next trip ny . 
 Sep 16 2008 	 great hotel New York good rate 	 great hotel . within walking distance 5th Avenue , Empire States building , Grand central station , Time square . view room brilliant watch sunrise across Brooklyn . gym good horizon pool 28th floor see , especially night . check tennis court 32nd floor . my room clean , well furnish quite spacious New York 
 Sep 14 2008 	 Downtown Delight 	 great location downtown NYC . 16th floor directly overlook WTC site virtually build noise . room spacious , clean luxurious - everything would expect Hilton really . bar good not eat restaurant . pool great gym look good . convenient location - minute walk Battery Park ferry Liberty Island . subway station outside front entrance hotel . would certainly recommend good base New York visit . 
 Sep 10 2008 	 gem 	 Hilton Millenium comfortable tranquil majestic outside . people reception helpful . check early reception give we room one top floor . room spacious confy bed , flat screen tv , clean bathroom Crabtree Evelyn bath body product . tall wide window provide breathtaking view downtown Manhattan Brooklyn bridge . housekeeping quick respond meticulous . never feel disturbance Ground zero construction go next hotel . variety hotel nearby lunch dinner . easy reach place since subway across road . we enjoy every bit stay , specially sip wine seat window pelmet watch Brooklyn bridge sparkle night long . 
 Sep 5 2008 	 Slick Downtown Hotel 	 Glass wall building across Ground Zero , stand majestically downtown Manhattan , Hilton Millennium offer luxury accommodation leisure business traveler alike convenient location - step away subway station take anywhere need get minute . lobby small chic , staff member plentiful efficient . room new may lack size , decor amenity surely make . 2 room high floor able enjoy one , two breathtaking view NYC . actually , one corner room , really three view corner room two window ! ! ! 
 Sep 4 2008 	 absolutely gorgeous View ! ! ! back ........... 	 beautiful room gorgeous view city skyline ! somewhere around / above 20th floor Jr Suite ( end unit ) small living room area bar , desk flat screen tv . large bedroom king bed ( almost ) floor ceiling window magnificent city view another large flat screen tv . bathroom large clean , nice ! staff wonderful helpful whenever need . husband back October another night city , can not wait . great location visit South Street Seaport Little Italy . 
 Sep 2 2008 	 fantastic View ! ! 	 view absolutely amazing 49th floor corner King Suite . computer check seem problem quite bit ... could construction next door World Trade Center though . room meticulously clean housekeeper know job efficient . never see , room always clean ready . location great - lot nice , casual restaurant around . got great manicure / pedicure around corner sushi . walk Canal Street shopping . lobby horrible tourist come use bathroom . could possibly small quite astonishing poorly lay . front desk helpful though ignore bellman take bag . not worth hail one elevator close quick . bed really soft , pillow soft ask foam one . come pronto ! problem family come visit - stay another hotel would ring room often phone never ring . important go leave flight back UK night lobby hour wait we . not even know early . overall , worth every penny . use AAA rate ! 
 Sep 1 2008 	 Nice hotel locate downtown Manhattan 	 wife stay getting marry . want get away family friend go Priceline.com end place . wife able get good deal Priceline one night . hotel right across street site WTC ( World Trade Center ) . check fast easy . ninth floor . room face WTC construction site . ear plugs desk note apologize noise construction across street . receptionist also apologize tell we become unbearable contact front desk . never hear construction , stay Saturday night , construction probably light . might worse weekday . room nice . flat screen tv , nice modern decor . comfy queen size bed , desk wire internet armchair . bathroom also pretty spacious . walk shower , two shower head . getting settle go bar / restaurant locate 3rd floor drink . one bad thing since hotel financial district , really not much around sun go . fast food place near . restaurant find near South Street Seaport , little trek . hotel easily accessible via mass transportation . handful subway station less 5 block away . PATH train also across street . overall great hotel . would definitely stay recommend town friend hotel . 
 Aug 24 2008 	 Perfect every way 	 stay one night Millenium Hilton great location , close subway . like stay low Manhattan easy get around quiet . park car hotel easy , staff excellent handling arrival . arrive early room ready hotel staff right take care ...... hat Bobby bellman , , , , an asset hotel . friendly , smile ready help you . room spacious clean modern happy , great view Hudson grind zero , , , , may never forget brother sister horrible day . Hilton earn business , , take care quest professional friendly manner . Recommend will not disaappointe . 
 Aug 24 2008 	 perfectly Located Downtown Manhattan 	 stay one night whilst business trip New York . hotel locate next Ground Zero . room 30th Floor view site - first time ny since 9/11- & quot ; reflective & quot ; experience say least . 's lot construction happen Ground Zero notice room apologise visitor noise disruption . honestly say not hear much noise . staff friendly helpful , hotel vibrant busy atmosphere . room well equip , clean , spacious . combine location make perfect business traveller . 
 Aug 12 2008 	 Fantastic High Rise Hotel Fantastic High Rise Price ! 	 fantastic view & amp ; wonderful room , extremely clean , hugely comfortable bed , location ok quite way unless business downtown do not mind $ 15 cab ride way times square plus $ 2 - 5 tip bell boy insist call cab . big downside total bill $ 643 per night , , include food , mini bar etc etc . reflect per website . stunned hotel business consider long way madness times square expensive . terrible shame pleasant stay definitely choose elsewhere next time unless win lottery . 
 Aug 11 2008 	 love hotel 	 go one online site bid hotel room travel NYC . ' m always * * happy bid land Millenium Hilton . really can not believe -- use live NY feel odd staying hotel , consider boutique hotel person someone frequent big chain . will say honesty bright , professional , competent considerate Millenium staff treat like 's boutique hotel . time ' ve come red eye west coast , staff suggest go freshen spa store luggage room ready . a.m. shower alone set place apart other ( simply , reasonably ) expect wait check - in time . also splendid luck room Millenium -- ' m always high floor , view Hudson Brooklyn Bridge magic . hotel also close nearly every subway line would want travel , be walk distance great restaurant sweet park . WTC construction ongoing , noise problem ' ve stay hotel . case , room ' ve carry letter general manager explain construction plan . letter come set earplug ( far , ' ve use plane hotel ! ) 
 Aug 11 2008 	 really nice hotel 	 stay 2 night June 28th June 30th 2008 . book room Hilton 's website choose pay extra 30 $ per night hotel room 30th floor , yet check , give room 54th floor face Ground Xero . lean bit , could see Statue Liberty room . excellent ! bother construction noise , even though work around clock two day . subway step away entrance hotel , easy get tourist place Manhattan . one block hotel really nice restaurant delicious bagel . would definitely stay hotel , visit New York another time ! 
 Aug 10 2008 	 Great Location 	 stay May 4 day . email Hotel depart kindly upgrade we Suite top floor also Champagne Strawberries . Great Location Brooklyn walk Century 21.did not use many Hotel facility every possible taste cater NYC.Great Hotel would deffo stay attraction low Manhattan . $ 75 taxi Hotel Newark . 
 Aug 7 2008 	 problem Millenium Hilton ! 	 husband stay Millenium Hilton late stay NYC . hope would not problem WTC construction noise base comment - not know expect . noise noise ? bothersome ? get room 24th floor not hear bothersome noise . yes , could hear & quot ; ping & quot ; every stay Monday never awaken bother noise . construction Saturday Sunday night past midnight . room exactly expect base pic user . view see pic well . room locate close elevator anything - would one thing change . not enjoy hear noise night - loud people get elevator quieting realize be outside anymore . room clean tidy . tv little quirky room . could not press Power remote control turn . press Power go tv press source button . see post complain hd channel think picky - - output tv bad ' m use regular non - hd digital cable . pretty fuzzy channel spend time away room not really care ! not go NYC watch tv ! ! another problem room toilet - not flush . hold handle water properly go . bathroom otherwise clean ... Crabtree Evelyn product use not like smell - strong . like showerhead not feel good bathroom faucet not type aeration - so much water use every time turn . pillow comforter 100 % comfortable - love ! overall enjoy time prompt check claim bag storage check . enjoy location near everything downtown not get see last time NYC . subway really close half block walk away . pic share can not find transfer cable right will put later . 
 Aug 2 2008 	 view ! 	 get room Hotwire $ 196 night stay two night . arrive , computerized reservation system sit lobby awhile could check . come back , upgrade amazing room ! room call & quot ; corner king & quot ; 47th floor . walk room look window wrap around two entire wall room , jaw drop . easily nice hotel ever stay in . while walk around low Manhattan quite bit two day , also spend substantial time look window ! recline bed , great view Empire State Building , still light like & quot ; rocket pop & quot ; 4th July . right East River , great view Brooklyn , Manhattan , Williamsburgh bridge . could also see one waterfall display next couple month . one Brooklyn Bridge . leave Hudson River . directly window St. Paul 's Church , George Washington day inauguration . ( not miss walk church ! ) across front hotel former World Trade Center site , construction go day , day night . get Saturday , knock construction 9PM , not work Sunday -- good day stay . start right Monday morning know talk other noisy ( hence earplug come room ) . room -- WOW ! plush , classy , comfortable bed , comforter pillow ( plenty ) ! flat screen LCD tv slightly weird angle bed , not care , spend time marvel view window ! plastic ice bucket , everything stainless steel . lid toilet , reason 's important . cheap hotel not one . service great , everyone friendly , place beautiful , would love stay . not use pool gym , buy food ( food drink way expensive ! ) . still , recommend place anyone want traipse around low Manhattan / Battery Park / Greenwich Village / SoHo . try Hotwire book . perhaps would wise bring & quot ; white noise machine & quot ; drown construction noise construction finish . there be great deli block away call Stage Deli . go breakfast ! be great , bargain ! 
 Jul 31 2008 	 Great Business Location 	 Millenium Hilton great place stay business Financial District Manhattan . like hotel atmosphere location . service friendly room average , style size , compare hotel New York . ask room 40th floor possible possible face large construction site Ground 0 . work basically 24h/7d get pretty loud . 
 Jul 18 2008 	 Fantastic ! 	 book two Grand Parlor Suites , give room 54th floor family 52nd , room 5210 . even though pay price room , 5210 much big mine ( 5209 ) . room amazing view , clean lot extra . staff extremely friendly helpful , concierge brilliant staff gift shop could not help . it great location , right next Ground Zero downtown district . subway literally less 1 minute walk hotel get uptown less 5 min . my gripe massive widescreen tv not work lounge area , another huge tv bedroom not bother contact reception . highly recommend hotel anyone , afraid height room low floor . 
 Jul 11 2008 	 Construction noise bad 	 pay $ 180 per night plus taxis Priceline . hotel expect review . pretty much room face Ground Zero construction kinda interesting watch . room spacious hotel standard forget NYC standard . # 906 low floor room ( ask hear wait elevator long upper floor want low case emergency ) . construction bother , sound little regular city noise get anywhere . wake twice around 6 am cause think move big piece metal around something , fall right back asleep . sleep til around 1030 one day & amp ; do not use earplug need ask noise - reduction machine offer checkin . noise come corridor people talk rare impression hotel far full . have breakfast restaurant , $ $ quite yummy ( blueberry pancake ) . pretty easy substitution want . also buffet $ 23.95 quite small pancake ! bathroom great , shampoo etc . replace daily . annoyance somehow phone would ring bathroom , cordless bedroom connect line could use call incoming call . free 800 call appreciate . pay internet use , sure much blackberry . employee service excellent , fast checkin . package deliver one security people work hard locate initially miss . also bit problem lock door ( fault ) security person within second . someone also come right away look phone issue , although able fix do not time bother call again . accessibility excellent e train right outside virtually subway line within block . also walk Brooklyn Bridge . Century 21 right next door . Cab Laguardia cost $ 30 - 40 depend route & amp ; direction hotel downtown midtown hotel . I would recommend Woodbury Common Premium Outlets ( drive , 1h , take bus Port Authority $ 40 rtn ) , much well deal Manhattan despite July 4 weekend sale . I use pool amenity comment . 
 Jul 8 2008 	 Awesome value Priceline 	 First , top line review , hotel quote rate $ 400 $ 500 , able snag $ 175 Priceline . ' m sure people get less . amazing deal price . $ 500 , probably would not happy . I think review World Trade Center construction exaggerate . room face ground zero disrupt . turn tv air conditioner , barely able hear construction , anything room on . the room 42 & quot ; plasma tv nice , however HD programming , find quite annoying . 's purpose great tv crappy picture ? bath linen bed comfortable . would like outlet , though . 
 Jul 5 2008 	 nice downtown hotel ! 	 usually stay Courtyard Times Square South come NYC . opt stay night July 4th Millenium Hilton order close proximity firework South Street Seaport . king room expect ; huge certainly big enough move around room bag . room clean ; huge flat - screen tv , large bathroom Crabtree & amp ; Evelyn toiletry , great view waterfront / Ground Zero . 45th floor still little street noise , be expect NYC . construction not start late day ; possibly weekend , , noise not really bother we . earplug provide room light sleeper ; suppose could request room opposite side hotel . not take advantage pool restaurant , can not comment . bed comfortable , shower great , can not think reason recommend hotel anyone . 
 Jul 4 2008 	 Great Hotel great servie 	 hotel lovely . alittle beat track great room . subway accessible need know . find service great well base priceline deal affordable . would love stay . 
 Jul 4 2008 	 hilton : never ever ! 	 follow letter HILTON describe ISSUESSS ! hopefully reach someone importance , wife bad hotel experience . today anniversary book room Millenium Hilton Romance Package . while booking , ask online , 800 # , hotel directly , confirm Guest Certificates accept . three assure honor . try check - in 2:15 pm , reception desk employee take certificate put smoking Room hold . since purchase Romance Package , provide early check - in amongst amenity , disappointed room ready 45 minute prior normal check - in . ' main issue . we drop bag ' freshen trip . use hotel bathroom , wait , realize street vendor use bath . even ' main issue . try check - in later day , Assistant Front Office Manager , Jacqueline Concepcion , tell we ' accept Guest Certificates . long unfruitful conversation , leave talk " director . " return say still ' honor , add Smoking Room available , supposedly put hold , ruin carefully plan , reconfirm " romantic " Anniversary getaway . my wife extremely disappoint Millenium Hilton general . avid business / personal traveler , take two vacation year often travel family state . disappoint unless Hilton make retribution poor experience , lack respect understanding , lie we , stay recommend Hilton . experience wife certainly tell friend blog , chain ' business wife ' business decline . 
 Jul 2 2008 	 Excellent 	 stay Millenium Hilton one night June 2008 . mainly hotel really want availability particular day . complaint whatsoever stay Hilton , great stay , nice room , extremely comfortable bed ! pay usd 320 ex tax quite expensive downside . amount breakfast even include . 28th floor bird 's eye view Ground Zero ( interesting way , one huge construction site - see photo ) . outside office hour really much go Financial District one hold hotel . probably good location business traveller . Nextdoor Century 21 nice visit . 
