affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Sep 2 2008 	 ok Hotel Horrible Service 	 frequent guest Kimpton Hotels & quot ; Touch & quot ; member . stay Allegro , well year ago prior massive renovation . good : – location touristy , convenient . el close , multiple bar restaurant . – renovation definitely huge improvement . palette pleasing room much restful . – bed comfortable , expect Kimpton hotel . bad : – leave toiletry home , absolutely space place bathroom . literally ... zero . – closet extremely bizarre . remove main rack hang clothing replace two face - out rack ... can not see clothe , force stack top . also , will find tacky apparel hotel try get purchase , take majority hanger . – doorman ( exception one , Fidel ) surly find quite annoying . tell cab get , though have never hail cab ( NYC ) . approach hotel several occasion , doorman would yell door use ( three , work ... ) yet bother open . service ? – check - in pleasant , woman check rude abrupt . ask stay , hastily shove receipt ( envelope , review charge ) shove aside another guest checking ... noon . I travel frequently business pleasure normally Kimpton group top hotel list . horrible experience , likely reconsider loyalty may make beeline starwood group . 
 Aug 26 2008 	 great time Allegro ! 	 good time ! renovation complete hotel sooo cool ! ususally not use facility hotel busy schedule choose eat 312 Encore . great , fun ! whole place atmosphere & quot ; hip happening & quot ; .The daily wine hour fun start evening . staff knock make stay memorable . special mention concierge basically plan whole vacation , make suggestion reservation even send we umbrella rainy day ! love & quot ; loop area & quot ; Allegro convenient shopping , tourist attraction dining . 
 Aug 25 2008 	 Hotel Allegro nice location typical Kimpton 	 wife stay Hotel Allegro Friday Saturday night . generally fan Kimpton hotel - like decoration style hotel exhibit . Hotel Burnham Chicago particular favorite , example . find Hotel Allegro typical unfortunately underwhelme Kimpton . first , be Chicago see show , Hotel Allegro decent enough location - 's walk distance Ford Theater Palace right next door . restaurant , pharmacy , shop immediately neighborhood . the staff friendly helpful time . Par Kimpton hotel , room large enough bed small desk . bathroom feature tiny sink decent shower . clean modern feel . find strange two tiny pillow giant King bed ( none find anywhere else room . ) large , flat - screen tv ( although never turn ) strangely , two closet - one tiny , angle one iron hanger locate - large empty one shelf rack move hanger order unpack . also par Kimpton , hotel noisy . opinion rude guest attract Kimpton 's frequent discount . Hotel Allegro 's share Friday night - 2AM , noisy guest return bar shout laugh hall . hear numerous slamming door . 7am clock alarm vacant room next start blare ( really loud ) . notify front desk apparently not anything go Sunday morning time . consider obvious face digital clock alarm set , 's disappointing housekeeping not include to - do list check visitor check out . the room clammy first night . even though air conditioning run , find bed air heavy , damp feel uncomfortable . second night , however , everything fine . Kimpton tend renovate old hotel , may outside weather ( humid ) leak - first time ' ve experience hotel air conditioning . also , extremely disappointed parking fee -- $ 44 / night ! not necessarily Hotel Allegro 's fault - make point check price hotel generally seem everyone raise nightly rate . say , one block street public ramp offer parking $ 32 / night . self - park end save bunch money since take car early Sunday - pay $ 12 second night real deal . walk one block luggage save $ 40 well worth it . so , stay Hotel Allegro mixed bag . like location staff . generally like room although hotel noisy times clammy one night . get great deal compare hotel area - 's easy look past problem . choice , would probably stay Hotel Burnham Hotel Allegro another good deal popped - up frequent visit Chicago , would certainly consider hotel . 
 Aug 23 2008 	 good location good room good rate tiny bathroom 	 upgrade king room spacious , bathroom sink area small not seem room water glass , provide . pay $ 150 , good rate well locate hotel . use hotel 4 time last 3 year always satisfied service cleanliness . this hotel close el station short distance Michigan Avenue Millenium Park . 
 Aug 23 2008 	 Lovely Hotel City 	 stay 2 night May 2008 . say hotel exceptionally clean modern funky . free wine taste evening ! restaurant serve good breakfast staff lovely helpful throughout stay . the hotel locate within walk distance metro system also close shopping / restaurant sight ! room lovely , althou bathroom slightly compact side . will back . 
 Aug 23 2008 	 Renovated Allegro Misses Mark 	 loyal Allegro fan many year excited see improvement renovation would bring hotel . sorry report disappoint find . for every improvement several setback . instance , new bathtub shower surround vast improvement cheap plastic enclosure place , attempt make bathroom look big installed tiny , doll - house sized sink remove every inch counter space . need spot store toothpaste , deodorant hair brush , two option : floor bathroom floor hallway right outside bathroom . since counterspace , glass anywhere find . want glass tap water will order room service . want hang clothe ? pack light . replace lateral closet hanger bar two , feeble short one stick towards back closet wall . two - third closet completely unusable . progress ? want plug laptop ? good luck . decide whether want unplug lamp , clock radio tv . wifi signal week , hover predominantly low signal make send email almost impossible . new decor big disappointment . warm , vibrant color replace icy pallette blue , gray silver . be bit like stay mosoleum . chest front feature look like scrawling two year old mirror , glass desktop blotch look like battery acid jarring soothe . interior designer actually get pay job ? one aspect Allegro enhance price gouging . want print boarding pass ? cough $ 5.95 plus $ 0.49 per page ( $ 1.49 color ) . want small pot coffee deliver room morning ? $ 10 bill will not cover . need park car overnight ? add $ 44 tab . ' ve stay Allegro previous stay Chicago look elsewhere next trip . consider demand guest want basic : reliable wifi , enough outlet not charge mobile phone bathroom , water glass quench thirst without call room service . 
 Jul 31 2008 	 Petit Chic 	 room small , nicely do . husband stay regular King room anniversary , really perfect . not want average look hotel room , want something stylish , . attention pay every detail . lobby posh , modern yet cozy comfortable . sit wait husband return car ( opt valet ) , feel ease . staff wonderful . check - in hassle free , luggage take we get car , assistance never request away . may recommend long stay , unless stay premier room , suite . pricing good nice hotel proximity . take cab Navy Pier , able walk Magnificent Mile , Sears Tower , anywhere . hotel heart Theater district , want see Wicked anything else , barely take ten step . I would recommend & quot ; Corner Bakery & quot ; breakfast , around corner . 
 Jul 29 2008 	 Love hotel ! 	 husband stay Allegro anniversary weekend disappoint . stay Kimpton hotel DC , must say Allegro Chicago become favorite Kimpton hotel since stay week ago . the room : stay King Suite please everything room . rather large ... sure room guest post review stay room great . hear noise room . hear L. two large flat screen tv ( one living area one sleeping area ) , plus two closet , desk , sofa , plenty seating . ihome radio nice touch -- -you listen ipod . personally not issue counter space bathroom . simply move tissue holder , etc . space sink . husband use area leave sink , use right . problem . tub jacuzzi tub problem . lastly , bed nice , comfortable ... could sink . service : enjoy wine reception every night take full advantage ! , be free ! wifi , free room . also order room service breakfast time yummy ! see guest ' complaint coffee maker room . not bother we ... might business traveler . Mark ( concierge ) help we everything ( also get we good seat Frontera Grill Signature Room weekend ) . one day , miss room clean -- -but leave room around 2 pm , ask staff would like room clean ( course would ) come back hour spotless . even get follow visit make sure room clean meet approval . the Hotel / Location : think renovation hotel fabulous . cool lobby . can not beat location . catch train Union Station walk 15 minute top . also see play Wicked 's right street . perfect ! plus walk way Water Tower , imo , be kinda close lot thing . still away Michigan Ave . foot traffic , still accessible may thing . book room hotel site TravelZoo special ( king suite $ 169 / night ) . would definitely stay ! love place ! 
 Jul 22 2008 	 Fantastic Value 	 three night vacation Chicago read & quot ; pretty good & quot ; review Allegro . hotel not & quot ; pretty good , & quot ; fantastic ! will go back . decor lively , check - in staff helpful courteous . restaurant 213 street level , bar Encore , wonderful - great food drink . eat breakfast across street greek diner ( except Sunday everything close theater district except Dunkin Donuts - boo ! ) . allegro coffee lady funny pleasant . we see & quot ; Wicked & quot ; two block away - can not get close theater . on side , room small room ' ve ever stay , bathroom sink hilariously tiny . gorgeous ( be recently remodel ) , quiet bed comfy plush , enough space couple night . price make worthwhile ( less $ 400 3 night ) . 
 Jul 22 2008 	 great style location 	 husband stay long weekend , could not impressed . hotel 's decor colorful stylish , room immaculate comfortable bed huge LCD television . hotel committed & quot ; green & quot ; recycle bin efficient faucet . yes , small room / bathroom , old downtown hotel . speak downtown , location great ! 's theater district close l train line . 's short walk lake lot Chicago site . minimal contact staff , everyone friendly helpful -- 's free wine afternoon ! get room Hotwire $ 90 -- bargain ! will definitely stay . 
 Jul 15 2008 	 maybe stick 3 * hotel ! 	 decor reception area colorful , interesting blend old modern . large , comfortable lobby area . say , much & quot ; available & quot ; lobby . Free Wifi hotel guest . even 2 computer lobby area require $ 6 per 15 minute ... ridiculous luxury hotel nickle dime customer . as far stay ... start , get reservation wrong . book room 2 bed , Orbitz even call hotel confirm ... still get room 1 bed . reception rude attempt resolve issue . even spend 1 hour hold Orbitz try call hotel . got room ... supposedly large one -- small many hotel stay ... yes ... even downtown area . room nicely setup however nothing extravagent . little surprise closet ... something else sale ! stay discover little funny incident ! : ) night could hear & quot ; L & quot ; train . could also hear people next room . one thing mention free coffee tea . however not hour day ! one day get time get , seem like favor ! want tea bag tea ... can not ! want refill coffee ... sorry ... use free coffee already ! although not free breakfast coupon see other ... offer one pastry , one fruit , one juice . control behind counter could not take look want ... get second . heck ... even run stuff people leave hungry ! conceirge helpful . gym nice ! free breakfast , nickle dim computer use small thing , unsincere service please 4 - star hotel . 
 Jun 30 2008 	 another great Kimpton 	 third stay Kimpton , hotel chain continue deliver . mod , stylish lobby & amp ; hotel room . great location near Chicago el . very large room , extremely comfortable bed ( sleep 10 every day ! ) . suite fold couch well king bed - always easy find good sleeping arrangement 3 people . 2 armoir tv . comfortable bed & amp ; great pillow . staff courteous . excellent closet space . room quiet & amp ; good view . free wine happy hour 5 - 6 pm every day . lobby quite happen spot time . only con - virtually counter shelf space bath room . vent either . also , desk mirror not put makeup steamy bathroom . hotel obviously design man ! 
 Jun 29 2008 	 still okay great 	 stay hotel many time past five year , first trip back since remodel . apparently miss , since put huge suite . ever stay , know many room tiny , well suite large friend apartment ! glad see weird pink / orange color go , be replace blue / brown scheme - much restful . bathroom design pretty bad , poor lighting , huge jacuzzi tub counter space unbelievably small , mean room even leave glass toothbrush , repack costmetic put shelf underneath . plenty room bathroom put large vanity even shelf , sure set way . bed comfortable , great linen usual , plenty pillow love new plasma tvs room . live area really big functional , small sofa , desk dining table layout kind strange . hard see tv couch , much easy hang bed watch . the service wonderful usual , complaint room service guy would not stop talk leave hungry . club sandwich ok , roasted chicken wonderful would highly recommend it . I stay next month , hopefully see regular room like ... 
 Jun 27 2008 	 Overall Good Experience 	 Chicago day wedding find Allegro Hotwire ( $ 124 / not ) . also experience lapse service inconvenience , overall good experience . first , good : beautiful Art Deco design everywhere ; feel like staying & quot ; Rhapsody Blue & quot ; segment Fantasia movie . bed comfortable lighting good ; water pressure fine . window double - pan result traffic noise ( construction across street ) much mute . complain lack coffeemaker room , hotel provide complimentary coffee / tea lobby every morning 6:00 - 10:00 a.m . also wine hour ( sadly , cheese ) every day 4:00 p.m. time see plenty guest . take time hang lobby ; be spectacularly beautiful even Art Deco not thing . neighborhood much quieter night north river ( ie . Magnificent Mile ) primarily business district easily accessible El ( short , safe walk away ) metra suburb ( 15 - 20 min walk depend station need access ) . might turn - off , we glad fight crowd sidewalk time . yes , vacant lot across street exactly picturesque , overall appreciated location -- close pretty much everything , opportunity see city transition ( be construction go around ) . choose rent car glad not ; plenty self - parking lot around not allow overnight parking , seem pretty steep ( unnecessary ) park hotel . also appreciate & quot ; green & quot ; aspect hotel separate trash / recycling can room . the not - so - good : would agree previous poster dearth good variety restaurant open weekend night late general . despite fact theatre next door several ( Chicago , oriental ) immediate neighborhood , rough time find anything open beyond McDonalds 9:30 p.m. Saturday night . fortunately we , find Ronny 's Original Steakhouse ( near Clark / Lake CTA station ) phenomenal barbeque , take awhile find . ( incidentally , pizza place within walking distance -- Giordano 's street Pizanos ' Madison -- generally not stay open late . also like persian food 's great place call Reza 's Orleans short cab ride away . ) flight delay time get hotel 3:00 a.m. ; wake - up call request next day never come ( good thing set alarm ) . also wait 45 minute bag ice bring we ( ice machine ) . room especially bathroom quite small see old hotel 's expect . stay long day ( luggage rather live carry - on backpack ) would ' ve pretty hard store clothe , seem pair small drawer storage tiny closet . we appreciate Allegro location , theme design effort take make we comfortable . give similar opportunity stay discount price , would happy stay . 
 Jun 22 2008 	 little disappointed 	 stay Hotel Allegro two day conference ( hold elsewhere ) , book via travel agent . choice want stay choose Allegro base location amenity , especially free wifi . since work conference , important . my flight delay arrive near midnight . agent book king room reason desk clerk unable give king room , end two full bed . first disappointment -- look forward wallow king - size bed ! room reserve nearly month late arrival guarantee . second disappointment : go look vend / ice machine . none . room service stop 11 . Guess mean midnight ? minibar time ! overprice junk food soda FTW ! Sigh . incidentally , drink glass minibar . Sodas $ 3 , small junk $ 3 , booze wine course . plus tax . I could get onto free wifi first night . present selection & quot ; free basic wifi & quot ; & quot ; premium wifi & quot ; -- latter price . choose free wifi keep get error message . give first night go bed . next morning , hunch try Internet Explorer ( usually use Firefox ) work fine . still get error message Firefox . want use free wifi , use IE . warn : 's S - l - o - w . guess want good wifi , pay . free wifi fine basic checking e - mail , etc . register use room number long want ( one day , two day , etc . ) window pop tell long left hour . the room small functional nicely decorate . bedlinen great bed comfortable . bathroom teeny tiny lay cleverly , think , good amount counter space , though two people might enough . good water pressure shower , plenty hot water . there small closet laptop - size safe ( good thing ) hanger small closet door , also iron ironing board , hanger ( weird -- put hanger closet ? ) jammie sock - slipper sale . the location great need Loop area , roll sidewalk around 8:00 p.m. restaurant , etc . open . lot breakfast lunch cater office crowd , dinner -- much . travel outside Loop area unless want eat hotel restaurant . strike odd since & quot ; theatre district . & quot ; not people like dinner show ? problem use public transportation drive around ? be like 's lot convenient parking . want Chicago deep - dish pizza luck since tired deal find bus El route . Chicago transit system pretty good , though , hotel convenient lot bus train . I little disappointed not like nickel dim every little thing way feel . hotel room comfortable clean , small . get discount price would recommend . 
 Jun 19 2008 	 favorite mean 	 pay $ 85 night buy room ' on - line auction site ' really can not complain price . , pay full price ( around $ 250 night ) would disappoint . believe every hotel room two chair . want sit edge bed conversation ? allegro one desk chair whole room - even though room another one . think decor cold unwelcoming , not enough surface space put ' thing ' , leave guest totally live open suitcase , lie floor place put . bathroom small counterspace . coffee maker never find drink glass . closet leopard print number could purchase $ 50 . never see anything like . horrible view crumble building notice hardly guest see common area . plus side - arrive 7:30 a.m. let we access room time . figure would store luggage 1:00 pm , luckily , not case . also , internet service free . generally , Allegro try artsy - fartsy , hip unique thought mostly look little bit tacky . 
 Jun 11 2008 	 Cool Vibe 	 spend 2 night Allegro definitely impressed . nice mix historic art - deco architecture modern , chic decor . standard no - view room small 229sq ft know time booking . well appoint furnishing & amp ; comfy bed . pleasant staff , super friendly helpful . pricy valet parking course , $ 40 expect downtown location . easy access freeway . great lounge adjacent hotel call Encore . bummer coffee - maker room . 
 Jun 8 2008 	 Hits soft spot 	 love hotel . find charming . love decor , location great . front desk staff always friendly helpful . Valet 's good - guy Chuck valet stay month ago nice guy . not see last 2 time stay though . also order room service breakfast great . room definitely small , be enough 2 . ' ve also stay King suite - nice separate living room space , sleep 1 comfortably sofa bed . friend opt lay pillow floor sleep floor instead . get feel hotel not process yet . sometimes make request ( pillow pet bowl ) take long time fulfil . sometimes take multiple reminder , sometimes take proactive go downstairs front desk . certainly seem improve everytime stay though . anything go wrong , staff good remediate issue , effort appreciative . big issue hotel thin wall . stay , ' ve hear neighbor ' passionate night phone conversation , ' m even light sleeper . bad experience neighbor decide wake Josh Groban 45 minute want wake . unfortunate incident likely result old building , somehow still like hotel whole lot keep go back . request quiet room Kimpton profile , seem help recent stay . 
 may 26 2008 	 good experience 	 stay king suite Hotel Allegro Memorial Day weekend . pay $ 130 / night , definitely bargain . suite huge - live room couch , two chair , desk ; large bathroom ; bedroom ; two closet . room recently renovate , clean . comfortable bed , friendly staff , great location ( near train bus ) , evening wine reception morning coffee provide . allegro not five - star hotel , great place money . ( note : friend stay non - suite room , report small . upgrade possible ) . 
 May 23 2008 	 Cute hotel 	 book hotel $ 129 night via Hotwire excellent deal . decor hotel cute , chic . right heart theater district , good walk Michigan Ave . shop . bathroom pretty tiny though , note previous post . like hotel free wine taste every evening . day city , would return every night freshen go evening , always stop downstairs free glass wine go . , can not beat ! 
 May 16 2008 	 shabby . 	 's conveniently locate right next one theater 's play Wicked . eccentrically decorate room bit small appear hotel site 's photo . room great view , be face tall building , quiet . modern amenitiy like flat screen tv , comfortable bed , toiletrie Aveda , alarm clock / radio hook ipod . downside trouble find outlet plug laptop charge phone . closet small . hotel around even 's modern amenity , reason get creep especially someone tell hotel part haunt tour .. not see anything unusual . overall , 's shabby . 
 May 7 2008 	 Bad Situation handle excellently 	 arrive still construction ( however never see construction everything look perfect ) . inform room leave work need send sister hotel ( Hotel Monoco ) . pay hotel , parking , taxi ride hotel , provide Suite follow night Allegro . staff hotel wonderful however staff Allegro take great care go way across board . keep read room small . ever traevele NYC stayed hotel room size find NYC . size fine able hang clothe move around bathroom ease . come business sure stay . wish thank Mike Potter especially go way throughout stay . , thank sooo much great stay hotel ! ! ! 
 May 2 2008 	 good cut corner 	 room clean tiny . bathroom odd double door allow other see anyone use toilet . air conditioning turn sound like someone break room . tv limited channel real program listing , channel list . even cheap motel well . finally , call car leave ( cost $ 40 park overnight ) , take 45 minute bring . 
 Apr 22 2008 	 Perfect location Loop ! 	 Smack - dab theater district , Allegro be also within easy walk distance Sears Tower & amp ; Museum Campus ( include Adler Planetarium , Shedd Aquarium , Field Museum ) & amp ; lot Loop attraction . hotel finish major renovation -- lobby & amp ; public area really spiffy . room cozy , comfortable . 2 adult & amp ; 2 child 2 double bed . worry noise El , since be close , never hear faint rumble . staff , without exception , * * helpful & amp ; friendly . kid even get little & quot ; Kimpton Kids & quot ; mini backpack kind goody . completely delighted stay , & amp ; hope pleasure visit sometime ! 
 Apr 8 2008 	 bad noisy tiny bathroom ... 	 people nice not problem , butif one say nice & quot ; ' m sorry & quot ; try minimalist . take iron boardto place cosmetic , suitcase floor . the bathroom tiny tiny ( yes tiny ) tv big , not HD strech screenand fix . remodel chip way . ( bed well ) happy . expensive . it worth it . that sad , enjoy Cadilac Theater . 
 Mar 3 2008 	 Fantastic Stay - Amazing Hotel 	 friend spend one night Hotel Allegro past weekend . never stay & quot ; boutique & quot ; hotel not know exactly expect . report fully spoil never want stay regular chain hotel ! Hotel Allegro recently re - open remodeling project . lobby uber - modern welcoming . customer service fantastic - everyone politely answer question always say hello see we hotel . evening 5 - 6pm complimentary wine reception hold lobby - something really enjoy . guestroom modern yet extremely comfortable . feel sleepover friend 's house instead stay hotel . room huge friend not feel trip one another . pointer - complaint , simply head . bathroom small adequate . ( plenty towel Aveda toiletry pleasant surprise ) . not plan hang much anything closet . 's TINY - barely wide enough pair shoe . ( kid ! ) overall , fabulous time allegro look forward next stay . 
 Jan 23 2008 	 Allegro Hotel - another Great Kimpton Hotel 	 Allegro Hotel , like Kimpton Hotels , great service immenitie - free WiFi , free wine hour 5 - 6 , Aveda bath product . room fantastic . stay Lion King Suite ; wonderful stay another night ! top animal head wall , african mask water feature . boyfriend 's birthday staff send bottle single malt scotch we , gratis ! always blow away staff Kimpton . allegro go renovation , many old room long available . see picture Lion King Suite ! 
 Dec 27 2007 	 Great Hotel Location ! 	 two mom 3 boy age 9 - 11 love hotel . groovy enough boy think cool- chic enough mom feel like & quot ; get away & quot ; great location close train easy access everywhere . able take train airport walk ( take train ) everywhere . room quiet , complimentary wine soft drink every afternoon considerate store stuff could run Cubs game check time . concierge great & quot ; call friend & quot ; Harry Carey 's get we . boy baseball buff love restaraunt . go Navy Pier , Field Museum , even close enough walk Sears Tower . highly recommend hotel ! 
 Nov 14 2007 	 good hotel great price 	 book inner loop hotel chicago thru priceline & quot ; name price & quot ; get great deal hotel allegro . hotel art deco , cheesy art deco . good location heart chicago theatre district . close public transportation . lack amenity get large hotel , good service . 
 Nov 5 2007 	 need update Cleaning . 	 ' ve stay time small room not clean properly visit . bathroom seem fall apart . worth money . may good hotel one point , be well past peak . also , neighborhood pretty much shut 8 pm early . come vacation , not expect much walk distance . 
 Oct 30 2007 	 Mediocre 	 stay Hotel Allegro one night trip Chicago concert . hotel sound really hip cool , 's surface . check cluster , elevator slow , room claustraphobic tiny tv toilet industial type might find bus station . , however , enjoy bar downstairs . overall worth price . 
 Sep 28 2007 	 last Chance enjoy Funky Style 	 stay Allegro several time past conveniently locate business visit Chicago . room small side , bathroom date closet absolutely tiny . staff always super helpful funky art deco decor give hotel unique ambiance . apparently funkiness way . hotel renovation . front desk staff indicate new room would large functional common area would decorate different style . update room will not available next spring ... fan old Allegro style still little time funk fix . 
 Sep 26 2007 	 good Chicago offer fine night two . 	 afraid stay recent review , actually content . conference get $ 199 rate . consider expensive Chicago , think good deal get . hotel combo funky art deco , poor man ' sofitel european feel . think room size large compare size room Sofitel Water Tower Chicago ( stay ) . king size bed ( comfy nice linen ) bathroom new , clean quite big . 18th floor although low floor train outside , quiet night . bottled water room ( evian ) free , free internet access stay , complimentary wine taste night lobby . find Concierge extremely friendly helpful , great location go theatre walk Michigan Ave shop . place eat : * Corner Bakery , block two Randolph St hotel ( breakfast lunch ) . * Intelligentsia Coffee block Randolph St . vote Wall St Journal good coffee us.con : * sink pedestal much surface area spread bathroom . also make mirror . * take shower , could hear plumbing bang wall quite loudly water pressure weak . also , cold water faucet sometimes run hot water instead . * temperature room hard regulate . put 59 degree nothing higher seem effect . although cool air come A / C , really ' seem strong enough able cool room ( ' adjust fan speed ) . 2.5 hour , able get 68 degree , cool . also , turn like seem cause wet area floor near A / c -- -look like happen wood look bit warp . good Chicago offer , fine night two . 
 Sep 25 2007 	 let put 19th floor 	 prior reviewer stay Allegro Labor Day weekend must room location . put 19th floor check Thursday problem Saturday night . 19th floor turn floor wedding party suite locate . bed 11:30 night , party begin hall . People enter hall elevator carry like one . notify front desk several time security capable handling situation . last complaint meet solution we change room middle night apparent important night . room rent another website , claim could nothing we offer we credit free breakfast help taxi ride airport . usually different experience negative poster hotel , would join warn stay value treat well . 
 Sep 11 2007 	 thin wall a+ 	 boyfriend stay Hotel Allegro Labor Day weekend Aug 31 Sept 3 , nervous expect read review site . well take hotel great ! everything clean room not small ever stay NYC hotel . yes wall thin could basically hear conversation next room bed however site see sleep shower not really spend allot time hotel . hotel within walk distance tourist attraction Sears Tower , Millennium Park Magnificent Mile . also pizza lover block away Giordano 's 6 block away Gino 's East . would reccomemend hotel anyone town site see not mind thin wall ! 
 Sep 4 2007 	 really terrible ... except room service 	 little nervous staying read recent bad review , overall decent experience . may help expectation pretty low read bad review , also get pretty good rate room ( $ 140 / night room Labor Day Weekend ) . first time Chicago time room , purpose generally pretty happy . pro : lobby area really quite nice welcoming place return day . offer abundance free wine 5 6 . glass one night good wine , free . room nicely decorate seem worn / dirty other complain . bathroom little date bad way , not luxurious bath . staff overall pleasant . convenient get o'hare ... take blue line hotel land we right . pretty convenient location walk attraction well . area pretty quiet night not good reason not bad thing come sleep . really hear noise room other complain sleep well , despite fact hotel seem sell , wed one night , young crowd stay hotel . con : much open area surround hotel way restaurant , day night . look restaurant shop nearby seem many , least open . base , first night tired touring city day , pretty late , decide get room service . big mistake . not expect anything great food bad . consider complain really practically inedible . top , person bring food mention 18 % gratuity include , even husband ask write tip . tell could go ahead write . wound tip 40 % . realize shortly not bother complain , even though probably . also read menu carefully still experience leave we feel pretty old place spend $ 60 horrible bar food feel cheat staff . negative view window empty lot / construction site pretty ugly . to sum , would not stay visit Chicago many option , also not regret stay . process renovate room anticipate pretty nice do . think 's worth stay someone new city get good rate . pretty picky hotel not unhappy . not order food . 
 Sep 4 2007 	 allegro ... Ehhh 	 wife visit Chicago Labor Day weekend , stay Hotel Allegro September 1 , 2007 - September 3 , 2007 . get hotel Priceline bid decent rate holiday weekendabout we , mid - twenty consider fussy come accommodation . focus stay somewhere lean towards location cleanliness less towards thing like room size decoration . overall , Hotel Allegro great thing , several area management could focus try improve upon . get : hotel real convenient happen fly Midway Airport . try use public transportation much possible travel , nice hotel 2 block ' El ' Station ( Orange Line ) . cost $ 2 / person take & quot ; El & quot ; airport , great value compare take cab . location : location pretty decent . northern - loop area Chicago part town pretty quite term restaurant , bar club compare North Michigan Avenue Area , safe . 10 - 15 minute walk N. Michigan shopping occur , 35 - 30 minute walk Navy Pier . theatre district , also convenient theatre . check - in : first walk lobby , everything website portray . nice high ceiling , contemporary decoration furniture , fire place . arrive 11 room ready yet . front - desk staff say guarantee check - in time 3 pm . take bag we could check - in , set get lunch see city . return hotel 3 pm get room key , first negative thing occur . line 40 people lobby , 2 employee check people . despite check - in time 3 pm , many guest turn say room ready . many guest dinner plan theatre ticket evening need get room prepare night . manager come make announcement guest wait line . offer excuse say renovation go next day housekeeping staff hard time prepare room time . excuse weak , difference make renovation go compare time may full occupancy hotel , room still need clean check - in . ahh nevermind . part frustrating manager nothing compensate could get room . fortunately , lucky enough room ready , take key go 7th floor deluxe room king size bed . the room : elevator door open floor , first thing notice strong smell cigarette smoke . baffle website say hotel non - smoking . think maybe smell result several year patron smoking , one time get elevator , two guest smoke right elevator door ! go 8th floor ( we ) get ice , seem smell lot well floor whatever reason . able cope , not ask room change , may want check ensure room non - smoking floor . as detail room . room wear - down decoration bite tacky side ; however , clean ( despite scent cigarette smoke ) . appearance room not bother we much , particular traveler , may issue . noticeable thing room small size , old hotel build 1920 's , room not design like chain many Americans use . next , bathroom small , clean . shower pressure / temperature fine Aveda personal care product bonus . size room bathroom , fine not spend much time room , size issue not book . also , bit loud hotel , noisy neighbor and/or light sleeper , see could complain place . one negative air conditioner leak onto floor last night . the bed , linen , pillow comfortable . problem sleep here . there nice desk / workstation setup laptop use free wireless network ( nice perk ) .here website embellishe bit room . tv flat panel tv like thought , instead normal tv , flat screen instead round one . & quot ; Sony Sound System , & quot ; website say get nothing small boom - box . good thing hotel : favorite part stay hotel free Wine / Beer hour 5pm-6pm every night . never miss , great time get drink prior head town dinner / drink . nice perk stay wine beer bad . say hello Willie bartender event attend . the management make lot effort make visible . see Wine hour , see lobby , even see coffee bar set floor . something wrong , seem pretty easy tell someone something it . check - out : check - out 12 pm . check hold bag we time head back airport . check - out uneventful . overall : overall hotel ok price . wear , need update room , despite issue minor issue , great location personable hotel staff balance negative . not think would stay , would not upset Priceline put hotel . feel free contact question hotel thing Windy City . 
 Sep 4 2007 	 great hotel convenient train restaurant 	 apprehensive reading negative review Hotel Allegro . however , stay without problem staff could friendly helpful . room huge plenty room move around without bump one another . bathroom small well appoint . overall , clean interestingly decorate room please . other complain able clearly hear people adjacent room must lucke way experience although could occasionaly hear people talk hallway . one reviewer complain rather bitterly area say dangerous can not even begin understand find extremely safe . area also close public transportation ( use train exclusively ) get around quite well without car . would definetly stay recommend other . 
 Sep 2 2007 	 location great accomodation ok great value 	 spend three night Allegro . mention review true : room also quite noisy due plumbing , railway primarily old loud minibar . service prompt friendly . location within chicago perfect theatre visit , shopping , dining business hotel locate within loop . overall , pleasant stay definitely recommend Allegro . 
