worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 Jan 8 2009 	 Good 	 stay Nikko 2nd leg honeymoon 20 – 23 September ( yes , Oracle conference ) . pay $ 249 / night plus tax . check - in receptionist efficient friendly . tell honeymoon apparently upgrade we ( ' think ) room 10th floor . room smell ' clean , even bathroom ' clean basic standard . really complain know hotel full 3 night decide put . bed really comfy quite soft . housekeep ok , mini bar never re - fill stay , even though come check use 1st day . drink bar nice bar staff friendly . never eat hotel ' comment restaurant . concierge staff great , give we advice eat place go . hotel well locate right next Union Square walk China Town , Little Italy , South Beach Fisherman ' wharf couple time take 40 minute . read review seem unlucky experience think mainly hotel full , even clean room basic stuff . 
 Jan 3 2009 	 Claustrophobic good location 	 come Hotel Nikko stay W Hotel San Fran ( business stay ) budget cut little . come beautiful hotel high expectation , probably bind disappointed . Hotel Nikko great location , 5 min Union Sq . staff extremely helpful check unfortunately arrive room stunk smoke can not open window room high . pretty disgusting staff v helpful give we new fresh - smell room within 10 min . the room pretty small , pay feel quite claustrophobic , think ceiling also quite low , bathroom good size room kettle facility make tea coffee . nice touch also ice machine floor ! small sun deck decent gym too . if be budget would recommend hotel loction good , room pretty basic small side . 
 Jan 3 2009 	 solid 4 star hotel Union Square 	 hotel centrally locate shopping , plethora restaurant , coffee shop entertainment immediately outside hotel . hotel solid 4 star hotel relate amenity . health club pool open 24 hour day guest use one time charge $ 10 . valet parking $ 47 day . enjoy stay hotel would recommend other . one note area like other state Union Square hotel locate possibly dense concentration street people / beggar ever see . walk anywhere entail run gauntlet homeless beggar . find docile ignore without trouble . part local color San Francisco . like blue good music comfortable venue , go Biscuits Blues Club street . pay $ 12 cover charge listen great music night . 
 Dec 24 2008 	 one good SF hotel opinion 	 stay Hotel Nikko six night convention , impressed hotel 's location , amenity , cleanliness polite staff . travel alone , take small room , wall thinnish - room well fit . check - in problem , 50 conventioneer turn time . however , check - out easy . would recommend hotel , compare other area , combination price , amenity location . 
 Dec 12 2008 	 bad - amazing 	 good thing hotel probably location - be town tourist . two block Union Square within 5mins major shopping ( Neiman , Nordstrom , Saks , Barneys , etc ) . downside , , touristy . town business be not ideal location close Financial District . the bad thing hotel gym / pool area . pool 2 4 ft deep , old look like build 70 upgrade since . also quite small . locker rooms / sauna pretty hideous well . standard room small .. essentially like hot dog - long narrow . ask big room tell could upgrade additional $ 80 night - ridiculous 3,5 star hotel . call manager finally able & quot ; find something & quot ; . second room ( deluxe king ) decent size , much well bathroom ( first bathroom small could hardly turn around ) view room highly dependent room stay . first room directly face another hotel window . second room much well . the staff reasonably friendly helpful . Gilchrist Soames bathroom ammenitie nice touch ( one Mandarin Oriental use ) price right be look center tourist San Francisco , stay . you re town business would head Embarcadero . Financial District property . 
 Dec 1 2008 	 great location bargain 	 beautiful corner room bargain basement discount price Thanksgiving weekend . helpful staff ; concierge 's know SF restaurant . A+ . 
 Nov 24 2008 	 Loved Nikko ! 	 love . stay second time . service prompt professional . allow check early 12 sweet ! get room face hilton , ask well view bam ! like get one face towards union square downtown , beautiful view . the room immaculate , ritz , damn pay little expedia , God know deal . nice king size bed , 42 inch plasma wall , everything order . crack wall etc . redo sink part bathroom notice last time . modern update now . Maid service quick efficient . ask room clean come back lunch hour do . damn good service . concierge service great job help we map trip science academy . would recommend hotel anyone . they also indoor pool . cool ? 's freezing night SF winter , great stay jacuzzi glass ceiling ? 
 Nov 13 2008 	 Fantastic View City 	 enjoy day Nikko . stay one imperial room 22nd floor . first room stain carpet , immediately allow we change room . staff excellent , room comfortable view fantastic . the hotel short walk everything ( Bart , F train , cable car , China town Union Square ) . hotel accommodate ; will recommend restaurant , show make reservation , also give Bart schedule direction . stay one imperial room give we access continental breakfast , wine & amp ; beer gather evening ticket free breakfast restaurant . sure check pool area arrive , be nice garden balcony overlook street . beware taxi , be $ 3 get . one night take comedy show Punchline ( $ 40 ) , cab ride ( $ 10 ) , 10 min . walk back hotel ( priceless ) .Location , location , location ! sure visit Fisherman 's Wharf stroll street . great shop , restaurant street vendor . beautiful view Golden Gate bridge Alcatraz . double decker bus great way get know city . we take cab airport hotel $ 50 . go hotel airport Bart , highly recommend , $ 10 we . hope enjoy trip ! 
 Nov 2 2008 	 WONDERFUL Nikko ! 	 go 3rd anniversary , yet 50' . find great price Nikko 's website , see bit low 1 time future hotel glad help we w/ reduction . location fantastic we ! heart restaurant , transportation - trolley bus etc . shopping - oh gosh ! live Chicago . hotel run professionally smoothly . great gal name POM , check we early give we corner room due 6 night stay & amp ; celebration . wonderful view water , mountain city ! hotel service clean rich contemporary marble decor . we walk everything . number great local dinner thru Restaurant.com ( include fine gourmet meal ANZU ) hotel restaurant . we find simple breakfast place , sometimes enjoy apple workout center , day begin . huge workable amount equipment . lovely pool hot tub ! get City Pass , avail thru website $ 59 ea . , free transportation 6 day , admittance many exhibit museum . buy Alcatraz make entry Alcatraz free ! even new friend Alice cleaning service gal clean room , good ! advise us & quot ; real & quot ; place go chinatown ! room spotless visit always leave extra fluffy towel ! get airport take city van make hotel run . charge btwn $ 11 & amp ; 17 per person , thing go smooth . leave , Nikko concierge ( believe Anne ? ) great job pull paper ticket arrange pick - up van back airport . rough area block away ........ problem , tell go . People ask $ everywhere take sense humor , well good walk shoe warm clothe layer . diff temps , NIKKO staff location price pay - winner we ! ! ! highly recommend ! 
 Oct 29 2008 	 simply amazing ! 	 San Francisco last stop trip USA glad decide stay Nikko . everything place amazing , staff locaton room , far good hotel stay trip . I lose credit card previous leg trip mean pay room cash ( travel companion debit card ) . unsure proceed , call Nikko leave LAX assure would able work something out . upon arrive hotel pleasantly greet doorman proceed reception . , meet Misumi absolutely wonderful . within short minute work payment give access card room 19th floor . the whole hotel look brand new , everything clean sparkling . surprised learn many , many year . elevator fast quiet . get room meet amazing view city window . bathroom huge towel luxurious . bed enormous comfortable shortage pillow ( think count around 8 pillow total ) .The room huge plasma screen tv pleanty channel ( although not make much use see city catch friend ) .Internet access come fee ( $ 13 per 24 hrs ) fast reliable . room clean , contemporary comfortable . the Nikko centrally locate , minute Union Square , Market street public transport ( Muni , BART cable car around corner ) . even walk chinatown lunch couple time . starbucks downstairs restaurnat ( Anzu ) .first time visitor San Francisco aware local roam around city . lot homeless people pan handler around street , learn friend live SF common , particularly around tourist area like Union Square , people ( part ) harmless . hotel around Union Square , whether 5 star otherwise , would subject thing . 's San Francisco really bother all . I must say service receive hotel exceptional - far superior experienced hotel , anywhere . planning come San Fran want stay amazing hotel central location , trouble recommend Nikko . definitely stay . 
 Oct 22 2008 	 Great Hotel 	 Stayed Nikko 2 night friend cruise . check friendly painless although 11.00am give we room immediately . room clean comfortable bathroom spotless . also large flatscreen tv.starbuck site handy use several time . concierge also helpful . sort flight check - in rang Cheescake Factory sort we table 15 minute instead 45 minute tell would wait . there plenty bar eat place close course Cheesecake Factory Macy 's , 5 minute walk away . also close tram F Line , alternative way get waterfront . check also painless could done telephone agree bill . this excellent 4 star hotel doubt go back San Francisco would try stay . 
 Oct 21 2008 	 reservation unilaterally cancel 	 book 2 night stay otel.com ; low price ( roughly $ 148 / night ) expect one small room Nikko comment prior review . receive email otel.com yesterday ( Monday ) state due & quot ; extreme unusual circumstance [ Hotel Nikko ] long able honour booking & quot ; . offer choice going rather poorly review hotel area receive 10 % credit get refund amount pay ( pay advance pleasure treatment ) . occur Monday prior upcoming visit ( arrive Friday ) . email otel.com back , ask explanation receive answer today ( Tuesday ) . otel.com base Turkey .... respond email local time . I inform otel.com cancellation unacceptable assume cancellation occur find folk pay room . call question mean reservation terminate unilaterally ( maybe call & quot ; potential reservation & quot ; ) . receive coherent answer . I also tell otel.com would never use service would tell friend well . , friend -- - forewarned -- - price may seem right accountability ; would avoid otel.com ' m sure Nikko not bear responsibility well . ( ' m lucky able find place decent hotel huge amount -- - $ 209 / night -- - end world highly annoying surely worth effort . ) 
 Oct 14 2008 	 Great Location Quality Feel 	 stay 3 night Nikko would recommend relax San Francisco stay . book Asda travel ( yes Asda ) search travel supermarket get good rate . somewhat bizarrely easy place find taxi driver vehicle access Mason street . location excellent Union Square , restaurant cable car . reception professional room clean , freshly decorate reasonable size . not use hotel restaurant bar look reasonably price smart . the hotel business feel relaxed nice calmness 's feel . would recommend Lori 's Diners ( 50 's diner ) breakfast Starbucks ( site ) coffee . overall great well locate hotel fabulous City 
 Oct 14 2008 	 good location rip - off breakfast 	 stay 6 night begin californian holiday . quite pleased location - couple block trolley cable car - room , 19th floor , nice big even glimpse water one side . check - in good - efficient welcoming , young turkish man whose name forget - concierge unfailingly helpful . do aware location far Tenderloin , watch direction walk . work way avoid , feel perfectly ok.our big gripe come last day . till eat time - plenty good diner around breakfast ; favourite Cafe Mason next block . bit short time last morning , eat hotel rip - off . go ' continental breakfast ' ; waitress grudgingly allow we look buffet ( sweet pastry view ) order toast good 10 minute message come back brown bread , request , choice white sourdough . come , barely warm butter rock hard . meantime , go back buffet take small bowl fruit ( 4 piece melon , case ) . husband ask refill coffee ( unusual US ) offer hot water small teapot . bill wonderful repast terrible service ? $ 21 ( $ 17 toast beverage ! ) plus tax . warn ! ! 
 Oct 11 2008 	 nice clean hotel surround great attraction 	 stay Hotel Nikko business conference please . first read Tenderloin district , little worried walk around hour . find willing friend conference , hit street together . make many discovery block hotel : entire block art gallery , great restaurant ( try Bisquits Blues dinner Cafe Mason breakfast and/or lunch ) , live band play outdoor ampitheatre . also close Union Square . the hotel clean room comfortable . entire property sort japanese flair . room large flat screen tv , spend in - room time listen jazz high quality stereo system . pay internet service , make relax enjoyable listen jazz background work report . guess could say hotel little pricy , price pretty typical inner - city San Francisco . oh ! 's walk distance trolly mean basically access entire city via transit system safe affordable . would definitely stay . 
 Oct 10 2008 	 great stay Hotel Nikko 	 spend two night hotel Nikko , good stay . room nice , sleek clean . find great deal hotels.com , price reasonable . location great - right edge Union Square , could walk lot store , restaurant , attraction , etc . addition , concierge ( two different one ) helpful . one complaint would one restaurant hotel ( japanese ) not much choice term food . 
 Oct 10 2008 	 Brief stop SF dead posh ! ! ! 	 Hotel Nikko posh place centrally locate SF . price book agent seem good surprised posh get . lovely foyer welcome staff . the room nice although not much time there . restaurant service pretty pricy surroundding suggest even look price list . nice irish pub across road . feel strange Englishman , drinking & quot ; Somerset & quot ; cider irish pub San Francisco . we Alcatraz tour , absolute must wonder round city visit usual sight . take Baseball game although Giants suck ! ! ! intend go back SF see stay , well fairly deep pocket . 
 Oct 7 2008 	 complaint 	 last night US holiday , treat enjoy stay ... room good inner city hotel , hotel receptionist concierge extremely helpful informative . food restaurant simply superb ( reasonably price ) .Location wise pretty good Union Square . wish stay long . 
 Oct 5 2008 	 comfortable good service adequate without particularly special 	 stay Nikko week whilst SF work . first check - in staff really helpful , 2 colleague going delay need room secure . sort problem get check - in quickly . in room dissapointe mini - bar advertise , room pleasant enough , although dominate large bed , dominate huge amount cushion . fact , emergency could strap body jump window pretty comfortable landing . stick corner maid insist put back bed day . as work pay less price sensitive order room service , menu price not bad service charge make expensive . food good though well present . internet believe $ 13 extra day , bad hotel standard may find pricey . the room clean en - suite perfectly acceptable . on several night hit hotel bar glass wine two - bar restaurant much well wine one afternoon pop coke thirsty give free - also get glass wine free stay . all staff encounter really helpful . it reasonably well - locate - Union Square much else walk distance ( englishman - Americans probably want take cab ) , although careful far hotel ( opposite direction head towards square ) dodgy look neighbourhood lot liquor store , etc . I would stay , would probably tempt try one little high ranking site . rating give 1 star though way mark . try fair rating , although fail be often work not pay enough attention cost . that say breakfast diner around hotel - one modern corner well - save $ 15 day . 
 Oct 3 2008 	 worth money 	 expect $ 250 per night . not free internet access , food choice available on - site limit , room size closet . wall room mark mar , bathroom tub quite clean . overall , lot well value money . 
 Oct 2 2008 	 great location 	 really enjoy stay Hotel Nikko . location great avid shopper people look walk great restaurant . king room spacious fluffy comforter pillow large flat screen tv . wireless interest pricey , fast love property Starbucks ! 
 Sep 26 2008 	 real Gem ! 	 read negative review another web site , almost cancel reservation . glad not . great find reasonable rate heart city . room comfortable bathroom die ! forewarn ( ) open fridge ... move - buy ! good shower ever hotel room ! two block walk cable car turnaround many terrific shop restaurant walking distance . staff bery friendly helpful . definitely stay next trip San Francisco . 
 Sep 9 2008 	 good location small room 	 good location right next shop centre San Farn . room good small side . would stay might search see reasonably price hotel facility . main bonus swimming pool ... lovely break hot city ! 
 Sep 4 2008 	 highly recommend 	 great time stay , staff super friendly minute arrive . clean hotel room locate extremely close Union Square even starbuck attach building . also close car hire firm main shopping area . concierge also greeat locval knowledge resturant shop . I would recommend , 
 Sep 2 2008 	 Nikko - Nice price 	 husband decide last minute get town night Labor Day weekend six - year old son San Francisco . read several review , settle Nikko still availability , good price , terrific location heart Union Square . upon arrive hotel , valet take car front desk check we without delay . lobby outfit modern japanese architecture ; sleek chic lot marble water sculpture . booked & quot ; Imperial Club & quot ; room $ 268 include room 24th floor , free access Club Lounge health club / pool area , breakfast buffet Anzu restaurant . room nice two super comfy queen bed ( great mattress , nice soft egyptian cotton sheet , ton pillow ) , 42 & quot ; plasma TV , wet bar , coffee maker , robe , slipper , safe , dramatic view city skyline include peek Golden Gate Bridge bay . bathroom newly renovate contemporary white vessel sink television mirror behind . Bathtub separate shower lot towel soap , etc ( Gilchrist & amp ; Soames ) . overall , cozy comfortable room many modern upgrade terrific view . one night stay use indoor pool workout facility , nice pool particular appreciated son . Imperial Club Lounge nice place relax enjoy glass wine cheese cracker evening . breakfast coupon Anzu nice perk , restaurant serve decent buffet include bread , cereal , bagel , egg , bacon , sausage , french toast , potato , etc . plenty choose fill . location hotel perfect quick getaway . able walk short block Westfield Mall - huge circular mall large Bloomingdales , Nordstrom , White House Black Market , Victoria 's Secret , Gap ( across street ) , etc . , ' ve ever see . Macy be also block two away , several restaurant convenience store . valet take car , never drive anywhere check . overall pleasant stay nice hotel . not give 5 - star not completely standard Ritz Carlton Four Seasons term service , amenity , decor . however , excellent price pay extra receive , fit bill nicely would return . 
 Aug 30 2008 	 love Hotel Nikko ! 	 spend hour plan one week vacation San Francisco family four ( two adult , two son , age 9 13 ) since want perfect - Hotel Nikko come pretty darn close ! . Planned stay city without car want decent hotel central location . Hotel Nikko seem get lot positive review TripAdvisor initially book fully refundable internet rate hotel 's website ( approx . $ 200 night ) . later find 30 % sale Expedia Imperial Club floor room ( floor 22 - 24 ) give access free ( elaborate ) continental breakfast 23rd floor lounge buffet hotel restaurant Anzu ( normally $ 20 pp . ) , plus free beer , wine soft drink / cheese cracker every evening 5 - 7 pm ( approx . $ 230 night rather $ 330 ) . book never see offer - half assume mistake good deal . hotel check - in inform Expedia 's message indicate one king bed rather two bed need . helpful reception agent accommodate we spend week nice hotel room ever stay - two queen bed , spacious , clean , modern ( flat screen tv wall small one mirror bathroom ! ) . great view 23rd floor . NY Times deliver every morning . say enough access 23rd floor lounge - nice walk across hall lounge cup coffee , read paper , check complimentary internet , etc . rest family sleep . great location - buy week - long Muni pass give unlimited use cable car , bus streetcar . since many bus line pass w / I block Union Square easily get anywhere want go . use historic & quot ; F & quot ; streetcar market lot - take Ferry Building Fisherman 's Wharf . Powell / Market cable car always jam - go towards Ferry Bldg . start California Street cable car - waiting ! want one - day car rental ( Sonoma , Muir Woods ) see many Trip Advisor review positive Enterprise Car Rental w / i Hotel Nikko . check around day want rent ( Wednesday ) car rental place near Union Square sell . stop Enterprise since stay , find car we - get late morning great , wonderful service manager . also see Trip Advisor comment homeless area - really problem , would say & quot ; thanks & quot ; would move . San Francisco wonderful city family vacation Hotel Nikko perfect family . main reason initially focus Hotel Nikko indoor pool . fine , much want city end use pool ! 
 Aug 28 2008 	 love 	 stay 3 night part holiday throughout west coast america , definitly one favourite hotel , decor beautiful , great view city , really friendly staff . book shiatsu message room , approx 100 dollar , really worth , bit rough feel great after.good location , minute walk shop bar , approx ten dollor fisherman warf , good bar restaurant . do not eat can not comment , recommend restaurant across rd breakfast , think call rainbow- lovely food.really recommend alkatraz city sight seing tour , make sure book go.would defiinitly stay , feel worth money . 
 Aug 25 2008 	 great hotel 	 stay hotel nikko 5 night early august . moment arrive hotel look fantastic room comfortable . bed amazing bathroom big bath separate shower unit ( shower curtain sight ) ! ! breakfast hotel , reasonable usd 50 two . also dinner restaurant nice . location excellent union square area . swim pool great also getaway . get hotel great rate can not fault . great stay . 
 Aug 24 2008 	 Great Location nicely decorate 	 great central location . block Union Square , short distance China town . walkable . nicley decorate comfy bed nice view . give complimentary upgrade . 's parking garage across street save half parking cost . 
 Aug 20 2008 	 Formula success 	 stay August four night part 3 week tour America impressed . fact would go far say good hotel holiday . the public area modern clean staff well present . fortunate upgrade Junior Suite absolutely amazing - great living room , lovely bedroom huge bathroom . view SF floor ceiling window stunning - great watch mist roll sun rise morning . parking little expensive around $ 54 per night put fact limited space . first night move car one across road half price . first little surprised charge use spa experience ( least UK ) complimentary . however , intend use facility definitely worth small $ 10 charge - pool , gym etc really clean well maintain . the customer service good especially concierge team always seem smile walk past genuinely seem enjoy job . lose cash card one morning Michelle concierge absolutely fantastic making sure get correct UK bank detail call get card cancel . thing like really make difference . the location good - block leave be Union Square block right be Market Street shop . restaurant bar evenings downtown area find strange quick journey street car Fisherman 's Wharf , Castro Chinatown find good restaurant place drink . breakfast try 50 's diner local eatery - usually small queue good value money . overall would definitely recommend Nikko - may little costly hotel 's certainly worth money . 
 Aug 19 2008 	 great location 	 stay Hotel Nikko visit San Francisco complaint whatsoever . check allow leave hire car forecourt could put bag room drop car - free complimentary 15minute parking . staff parking check could friendlier helpful . the Nikko ideal location - couple block Union Square , Powell cable car turn round ( go cable car must visitor San Francisco ! ) Market Street metro station street car find . we ask twin room obviously book however helpful put single bed room we . think good not expect certainly not knew not guarantee book . room spotless poshest bathroom shower ' ve ever see ! ! ! also temperature control room lovely especially San Francisco take cold turn ! would definitely stay recommend people . 
 Aug 13 2008 	 lovely hotel sure be worth money ? ? ? 	 stay Hotel Nikko San Francisco week August 2008 . pro : 1 . close Union Square several good restaurants2 . staff polite helpful3 . room comfortable small 4 . provide complimentary fridge requireCons:1 . charge even move / touch anything mini - bar2 . tv reception poor3 . room smallthe hotel perfectly fine not intend spend much time , come away feel not get money 's worth , however say , probably would stay go San Francisco . 
 Aug 13 2008 	 Outstanding way 	 stay Nikko eleven year old grandson 4 night first ever visit San Francisco . hotel spotless , quiet , calm accommodate . room 2 double bed large full bath tub shower ... along advertise large flat screen tv . 7th floor little street noise nothing disturbing . hallway make door bang etc . elevator within second . pay $ 10 per stay pool - bargain since two use pool daily . disappointing see many guest leave mess behind pool area . concierge staff outstanding ... Rick Michelle think everything ask direction / advice . Loved Starbucks next door , BART street muni transportation minute away . would definitely stay would recommend hotel other seek pleasant stay . price , top major hotel NYC Toronto . 
 Aug 10 2008 	 good hotel good location 	 wife stay Nikko four night July part summer vacation . book room Imperial Club ( upper floor , keycard access , etc ) Expedia , turn ok deal price . location : Nikko locate one block south west Union Square . location good reach store around square also reach interesting SoMa district , include among Yerba Buena Gardens SF Museum Modern Art . lot bum panhandler street surround hotel ( apply next door Parc55 , Hilton , Clift , etc . ) . really bother , traveller make uncomfortable opt lodge east side Union Square . hotel 's parking option expensive . number parking option area , 30 - 40 % low daily rack valet rate hotel ( hotel offer deal include parking would reduce price difference ) .Room : Imperial Club room 22 floor ok spacious , large usual bathroom ( separate shower tub ) . room carpet ( minus ) . cigarette burn mark carpet detail bit worn . apart , decent enough . although request non - smoking room , none available upon check - in ( show ca 2.45 pm ) . accept room base front desk promise would smell bad , even smoke room & quot ; usually smoke & quot ; . would describe smell room smell find living room grandfather smoke one two day . minibar stock , coffee offer machine good wireless internet working . review Nikko talk mildew etc bathroom , find none . well keep 100 % clean . : breakfast include rate , could choose breakfast Imperial Club Lounge one serve downstar Anzu restaurant . try . one serve lounge simple ( cereal , juice , coffee , croissant / danish , fruit salad ) serve quiet setting , whereas one also feature egg / bacon selection japanese breakfast staple . try gym pool . staff helpful courteous common area spotless well keep . opinion Nikko offer good accomodation good spot . would classify 3,5 - 4 star hotel $ 250 per night rate pay offer good value money . 
 Aug 8 2008 	 great moderncomfortable hotel 	 Nikko great place stay . stay 2 relax night & amp ; day April follow skiing trip Lake Tahoe . room spotlessly clean large , 2 full sized bed , well stock & amp ; serviced . the staff great offer advice go & amp ; see even manage get we Alcatraz ticket follow day . eat hotel use leisure facility , staff efficient & amp ; courteous . San Francisco seem ' fair share homeless & amp ; beggar , make walk around dark bit nervy . nikko nice modern hotel good facility , easy reach car . 
 Aug 6 2008 	 Nikko - clean convenient . 	 stay Nikko 2 day prior cruise San Francisco Alaska . change date last minute due plane problem , hotel extremely accommodating . staff helpful always cheerful stay . hotel block several great restaurant three block walk Union Square shopping could want . the price bit steep , clean comfortable room 42 & quot ; hdtv make . 
 Jul 22 2008 	 great location nice stay city 	 stay 2 night July 18 - 20 , 2008 . book directly hotel use travelzoo promo . 2 queen bed room 137 / night . able check around noon . room nicely appoint desk , two chair table . bathroom nice size bath separate shower . water pressure little low sufficient . concierge efficient helpful . hotel locate near Powell BART station take SFO 5.35 way . walk two block BART station hotel . Union Square two block away also . little worried comment regard location , encounter problem . starbuck locate hotel . would stay . 
 Jul 18 2008 	 ok change room 	 first room give bit small smelt smoke despite non smoking room . quickly move big non smelly room say , receptionist say fourth people move today - think may issue room . once move room good , complaint fridge full brimming product could not move without charge , even space pint milk . really annoying ( though particular hotel ) , order separate mini fridge plug sit room stay make awful noise . facility good - pool gym , clean little tired . 
 Jul 11 2008 	 La Carte 	 get back Independance Day weekend trip San Fran . Hotel Nikko elegant , clean , service excellent . stay standard King room , get amazing deal Orbitz less $ 150 night ( 3 night stay ) . location great , complain homeless San Francisco , be clearly city - wide dilemma not use tarnish hotel location specifically . one thing turn hotel , despite value rate get , everything beyond bed sleep cost extra . would expect charge room service mini - bar , $ 13 WiFi awful lot . also , $ 10 charge use Pool Health Club unadvertise online deter us swimming - disappointing . overall , great hotel -- would stay , might might explore similarly - tierd hotel next trip . 
 Jul 10 2008 	 Perfect ! 	 first time SF , Nikko help make week - long stay wonderful vacation ever ! Decor hotel , build 1987 , classy modern , everything keep sparkle . hotel employee interact kind helpful . elevator probably fast ever ridden building . our room , # 1904 , although bit small , decorate nicely , clean sound - proof . Maid service excellent . bathroom modern large average , featured ceramic floor wall , black marble vanity top basin sink , massage shower head . Nikko 's location perfect : one block Powell Street , two block via Ceril Magnin St. BART , two block Union Square . also walk distance major bus stop , make easy travel around town there . we definitely stay , next trip ! 
 Jul 1 2008 	 absolutely Perfect 	 stay one night downtown hotel could catch early morning Alcatraz tour . book hotel internet site rate include breakfast . hotel , staff , restaurant perfect . usually least something minor go wrong stay one perfect . would stay recommend friend business associate . 
 Jun 29 2008 	 strive perfection 	 hotel obviously try sustain excellent client service . check - in breeze check - out . concierge knowledgeable , courteous . recommend french italian restaurant within walk distance delicious ( Fleur de Lis / Fino ) . room comfortable large tv bonus . starbuck adjacent hotel love . lot homeless city aware . friendly keep move . 
 Jun 23 2008 	 decent 	 ok stay june . crowd nearby . close union sq . problem w tenerloin . close , factor . homeless everywhere panhandle . starbuck open early great . overprice get . sf afterall ! gym ok hotel type 24/7 . pay 479 small suite . would look around obviously alot choice . 
 Jun 7 2008 	 Decent Stay 	 stay 2 hotel visit San Francisco . Courtyard Marriot Hotel Nikko . Hotel Nikko slightly cheap opinion , well . big room . big bathroom . comfortable bed.you pay $ 13 internet . wifi be not fastestlocation wise , quite close union square market street . easily get tram go fisherman 's wharf.you not get good view due building vicinity . want go walkabout near hotel , go north union square south market street . avoid go west . many homeless people ask money ! 
 Jun 2 2008 	 japanese simplicity SF 	 first hotel two week drive tour california . nikko meet expectation although request high floor previously email not honour . room nice comfortable . public area nice include nice relaxing bar . breakfast good several japanese option . complaint charge use pool / health club . 
 May 31 2008 	 bad hotel experience life hotel 	 arrive Nikko spend 3 night another hotel book business attend CBD district . there long queue check bit wait . time show room . obviously japanese hotel Japanese make large proportion guest . Japanese tend heavy smoker . book non smoking room . obvious someone smoke first room show petite queen room . therefore ask another room . notice event furniture first room wear room good feel it . my opinion room tatty mark furniture standard expect suppose luxury hotel . second room show even bad condition . furniture even tatty , room smell [ smoke - like faint burning plastic ] horror , see light socket entrance completely smash , effect , gape hole wall . I shock pay , expect , luxury hotel . state room totally unacceptable . complain front desk gentleman pick phone care less . say standard room unacceptable - say want well room would pay ! ! ask speak manager - say meeting . never encounter rude individual front desk year travel . time head housekeeping come . say state room unacceptable really think gape hole wall good enough suppose luxury hotel . she could not care less . at point leave hotel return rental car due back , understanding would speak manager upon return . come back head housekeeping maintenance change light socket gape hole plug air freshener . this good enough - upgrade well room immediately . phone room appear break , would long work , go front desk - another queue manager still & quot ; meeting & quot ; .My experience hotel could care less satisfaction guest . Hotel Manager sack immediately procedure place kind occurrence . at point one front desk staff recognise treatment unacceptable offer upgrade room . however late . I leave hotel go across road Hilton . needless say would recommend hotel anyone . 
 May 25 2008 	 Greatest Hotel ever -- Choose Nikko ! 	 first splurg hotel room family ever do , well worth money ! arrive , wonderful valet open door we greate we smile gladly take luggage . ride escalator marvelous lobby heaven . front desk personell amazing nice . book room Nikko Floor ( 20 & amp ; 21 ) nice . good view , huge room . bed amazing heavenly . 42 inch plasma nice touch ! also nice stereo system . bathroom huge seperate shower stall nice , . room Nikko floor , receive free breakfast Anzu rest . , good , book Nikko Floor . service also amazing , like everything else . request mini - fridge since stay 3 night . boom 5 minute less , door . can not even begin say nice , kind , helpful , courteous conceirge staff . help we sooo much ! ! return night town , enter room could hear music . said & quot ; not leave on . & quot ; turn turndown service not know . , come room turn bed set yummy chocolate pillow turn local jazz station , nice touch . whole hotel clean , superb , awesome , amazing , well worth price ! ! ! ! ! Nikko , great job ! 
 May 23 2008 	 Nice hotel 	 last year take Mom , Gramma , Aunt Mother - in - law San Francisco Mother 's Day weekend , stay Hotel Nikko base Trip Advisor review . say great website ! ! exactly describe other : ( 1 ) nice hotel , ( 2 ) withe walk distance nice restaurant , w / good food , ( 3 ) near cable car / trolley , ( 4 ) near great shopping ! .previous reviewer also correct , though , border nice area , street bit dirty , would bum / homeless people around , esp . night , really like walk street evening -- although admit ALWAYS lot people walk around , still feel somewhat safe . ; day fine . hotel nice , room nice -- spectacular -- nice . like fact pay separate fee use indoor gym indoor pool ! really need change . pretty pool area . concierge good , recommend WONDERFUL RESTAURANT chinatown frequent VISITORS , POPULAR LOCALS . dont remember NAME , SURE HOTEL would know , FOOD soooooooooo DELICIOUS ! ! go like chinese food . note : server speak little English -- seriously -- problem order . think non - local ! use Trip Advisor help / guidance trip find people 's review pretty on - the - money ! ! forget post review , want make sure finally , make sure help other , . thank great website ! ! 
 Apr 18 2008 	 Nice hotel 	 often dislike US hotel … example ' huge fan Marriot Hilton … however like Nikko SF . first local convenient downtown SF . staff friendly , room quite large two queen size bed nice view ( top floor ) .The bath room super clean obviously renovate long ago . the hotel descent restaurant quite large pool . overall good value money … far remember pay like 150 usd last minute room . ( year ago though ) . 
 Apr 13 2008 	 good value great location 	 hotel recommend friend stay business location great . restaurant good though rather small , excellent food service . Lori 's diner close great frill food fast service - ideal american diner especially breakfast . also close shop Union Square compact easy cable car stop Powell St . warning , slow depart irregular . return trip Fishermans Wharf take 90 minute not choose fun , historical ride hurry . worth though go steep street one thing - outside seat well ! hotel quite impersonal housekeeping stay good request either attend slow . great bed linen large LCD tv make nice retreat . 
