know 	 well , hotel real pleasant surprise ... make reservation caution ... seek great value watch budget two day NYC Holiday experience . usually stay Omni Bershire Michaelangelo , rate still steep recession . park hotel 's official lot instruct ( self park ) one block hotel . hotel 's entrance say .... artsey unique little signage . lobby small adorable decor steep music . staff accomodate help we get early , matinee ticket Wicked . room turn entire one bedroom NY City apartment spectacular view 6th Avenue 57th Street . & quot ; suite & quot ; hugh high ceiling crown molding , closet large NYC hotel room fully appoint kitchen . suite clean immediately feel home . know performer Carnegie Hall love hotel . oh yes ... Carnegie Deli deliver suite . the hotel entire bank washer dryer guest get ... soda machine cost 85 cent ! ! ! ! property well locate one wonder folk across street live multi million dollar condo not sell move Buckingham . explore area city direction find former Coliseum Columbus Circle treasure . check huge sculpture & quot ; Somebody & quot ; lobby , can not stop laugh . 's fun watch reaction shopper first gaze upon formidable male sculpture . back hotel ... Director Front Office , Sandra Arias GEM ... simply leave hotel unsatisfied let know need help . 's live like NYC millionaire recession budget get ... can not miss stay . 
 Great Location not mind sleep Noise 	 love NYC . many time . keep simple . close $ 300 / night , would expect able sleep . oh ! ! sleep pullout couch son , wife daughter bedroom . turn , put we 4th floor , face 6th ave . take word , busy avenue . window latch quite right , regardless , need double pane window . beyond loud 24/7 . room sauna , heat shut open window increase noise level . bed spring basically cushion / padding . Marvin , lovely gentleman helped bag bright spot . location great long 17th floor face nothing resemble activity . sad turn way first time take family together NYC . 
 Oct 8 2008 	 great location ! 	 great time Buckingham ! know location good did'nt know good . 20 second bussue subway travel day long across new york , safe enviroment day night . Central Park minute away , supermarket far 57th . hotel 's info culture ny give we opportunity see Gal Costa lovely Gazz bar . room ( 14j ) rather small compare picture comfortable , & quot ; fancy & quot ; & quot ; home - like & quot ; . planty storage area . kitchenet hide closet space - lovely idea ... could actually cook real meal kitchen come full set cooking gear ... air condtione system work well , nice bathroom , clean room - feel comfortable there . the view room nice could see .becouse cooking possibility nice saving achieve espicially prefer home meal hate fast food . family kid neigbor surely recommend hotel family - safe area , near park , easy transportation , home cooking .... great.so - great vacation definitely go back . 
 Oct 4 2008 	 great place 	 family 3 4 place . kitchen separate lr.will back ! 
 Sep 17 2008 	 widely different room 	 stay Buckingham three separate time last month , come NYC business . generally like property especially fantastic location , little consistency quality room . gather use ( think room still ) resident hotel . ' ve deluxe one bedroom time . one suite , mini kitchen , one full kitchen . one new set beautiful new furniture new mattress one mismatched lamp creaky old bed . can not quite figure . would return , stay day , might settle first room give . 
 Aug 19 2008 	 wonderful location 	 great time ! not really know near location , delight close Central Park , especially heavy overnight snow . hotel staff helpful give we great information eat nearby . the suite good , although heating coax life , mine , air condtione system outside room incredibly noisy . however , tired first night not notice , manage ignore that . the view room air conditioning pipe grim wall , not expect anything else NYC eager get outside look window ! subway close , handy go downtown . altogether , great place - definitely go back . 
 Aug 18 2008 	 great hotel midtown 	 stay Buckingham several time year last 5 year . locate 57th St. , block east Carnegie Hall , short walk Central Park . accomodation outstanding , suite kitchen , living room spacious bedroom . kitchen fully equip . staff wonderful deal helpful every way possible . location hotel perfect want quick access Lincoln Center Park . subway stop across street . really enjoy hotel . 
 Jul 30 2008 	 100 % satisfied 	 wonderful stay ! location perfect : 2 block Central Park , lot bus undergroud line outside door ; plenty place dinner short walk ( 2 block ) . starbuck cross road . big excellent supermarket ( WholeFoods ) Columbus Circle 5 minute walk away . we 4 : husband , 10 year - old son , aunt I . at arrival free upgrade executive suite ( Room 3 g ) . huge apartment : clean , confortable , despite 3rd floor also noise outside acceptable ( may tired pay attention ... ) aunt sleep sofabe ( may comfortable ) , share comfortable king bed . bath ( little clean quite recent ) bedroom little bit unconfortable suite share couple . Kitchenette small well appoint : enought good breakfast morning . May airconditioned bit noisy lobby always freeze overall rating excellent . I understand suit hotel quality level ask high floor concierge tell 3rd floor room lot well . explain find different rating hotel . I believe NY speed 250 $ /night ( July ) accomodation really big deal ! ! ! would reccommend hotel . would stay next trip ny . 
 Jul 10 2008 	 stop Whining ! place find ! 	 book hotel know location . raade review serious doubt price location seem worth chance . expect worst , pleasently surprised wonderful apartment like atmosphere comfort room . room clean , spacious expect . & quot ; living room & quot ; beautiful nice place host visitor . small bar modern kitchen seem like home . bedroom comfortable , clean provide private space away form rest & quot ; apartment & quot ; bathroom bite small ny standard quite sufficient . two walk closet , yes walk closet , one foyer , one bedroom provide enough space clothe , luggage , iron board etc . Guest could actually hang jacket enter ! houskeepe great descrete , front lobby awsome , art deco , staff attentive . base initial review experience , step twilight zone ? book next time ! PS , price ny incredible ! 
 Jul 6 2008 	 Dumpy hotel good location 	 book hotel base location price ( $ 199 / nite ) . location good - short walk Times Square , Rockefeller Center , etc . lot train line nearby well . I say , hotel quite dump . room dingy , rug rip , tv terrible ( watch tv ) , bathroom hair wall ( gross ) , toilet back check , vent filthy bed terrible . I ' ve New York many time stay different hotel different price range . try stay room much possible skeeved . vent completely cover dust , make wonder hell breathing . do not fool , lobby Hotel beautiful modern , room run nice . 
 Jul 6 2008 	 impressive price . 	 stay 3 g week . 3 g third floor corner 57th street 6th Avenue . make sure hear city , ever full day sightseeing even 2 year old daughter problem sleep . oppinion noice city part experience . 3 g Deluxe 1 bedroom , like one website . furniture old keep brown , good condition . room big lot space arounf bed . enough room baby bed huge stroller . living room 2 sofas chair , work table dining table . small kitchen consiste microwave oven . bathroom small , sitting & quot ; potty & quot ; view 6th avenue blind . the hotel bar lunchroom . ever 57th street ( less 100 meter ) green cafe . go get breakfast . also recomend sandwich , lot well find elsewhere . oposite corner 57th 6th will find Rue57 . go drink .... well service food top line nice price . the service hotel . ' ve stay lot hotel mainly London , Zürich Gibraltar . never feel welcome quick responce type request . even ask change house laundrett ( 50 + quarter ) . help order takeout even book menue place recomend . free wireless access second floor . room internet access cost $ 12 day . second floor nice lounge netting .... recomende hotel every one . can not sleep noice city never sleep ask room high floor 3rd . 
 Jul 4 2008 	 Pretty Decent overall 	 book week December visitin city . room suit plenty room everyone everything ( hard find NYC ! ) . bed furniture , basic generic style , comfortable clean . bathroom , however spotlessly clean , look like last update 1960 . kitchenette area decent mini - fridge , microwave , toaster , coffee maker , , quite outdated . not view , window open provide welcome cool air ( steam heat make room quite warm dry , adjustable , able open window middle December great ! ) . staff 50/50 customer service skill , one repeatedly smartass helpful . be bad could not fire . tv come movie channel hotel not offer VHS dvd room also come type player ! surprise we nightly rate $ 270 . offer wi - fi , business lounge desk / table surface work CNN drone background way turn change channel . like hotel want stay room nothing else good . , be save grace 's location . across street block Carnegie Hall 8 block Times Square 2 block Central Park everything ( New York , afterall ) literally within easy walk distance . basically suit comfortable 's location really beat service could well . to honest , though , one travel New York service . 's city go everything offer . , will stay . maybe go next time service improve , , will make sure plan accordingly . 
 Jul 2 2008 	 great hotel - would definitely stay 	 slightly dubious booking hotel due varied comment find Trip Advisor . end decide book price really good . book online use Lastminute.com . arrive hotel exterior look pretty good . book experience good quick . enter room ( 16th floor ) surprise size offer . room small kitchenette , living area comfortable sofa chair along tv CD player . bedroom good size king - size bed . plenty storage space . bathroom not brilliant sufficient need . we New York Times deliver every morning part package . clean staff friendly find hotel staff friendly well . enjoyable stay 2 week . visit New York have certainly consider stay . 
 Jun 29 2008 	 great depend pay 	 hotel & quot ; value . & quot ; put value quote depends pay . first , 's old apartment building convert hotel . studio big hotel room full one bedroom outstanding . else get like 700sf NYC ? ! pay $ 350 night see happy . be definitely shiny new inside . however , definitely character - good kind . roach rat kind all . I ' ve stay twice base hotwire ( say kitchenette central mid - town manhattan know something ) $ 225- $ 250 range 's outstanding . location amazing 's clean . price , truly can not ask anything . 
 May 20 2008 	 Noisy date 	 Hotel noisy furnishing date . first room reek cigarette smoke turn lamp shade fall . couch shabby would not sit . immediately request another room slightly well . hotel location good feature . would never stay . 
 May 20 2008 	 great location 	 unusual hotel bar restaurant , even breakfast coffee , be great location good choice cafe , bar restaurant close . way spend less time hotel time getting feel city , whole point go NYC . another plus point room spacious far know sort kitchenette fridge least basic , stock drink snack want . room also walk - in wardobe plenty space , bedroom not get cluttered . bathroom little bit tired clean , complimentary soap & amp ; shampoo plenty hot water , problem . reception staff friendly helpful , 's comfy sort small lounge 2nd floor chill read paper watch tv ( drink ) . would stay ? yes . one suggestion management , get new flag hang entrance , one tattere dirty , spoil look place . ( May 08 ) 
 May 19 2008 	 Great Hotel ! ! 	 hotel 's location great , close everything ! 5 - 10 minute walk broadway , 3 minute walk fifth avenue 2 mint walk central park , subway station right next hotel ! room pretty clean , like live New York .. go close supermarket buy food , morning eat room , since nice small kitchen room small dining place .. every room decorate differently since 's boutique hotel .. view great , staff nice ! next hotel nice deli short walk enjoy amazing italian restaurant good pizza world ! ! 
 May 16 2008 	 Buckingham hotel - Space want 	 sister , friend return great trip New York . fall arrange accommodation ; primary concern space basic kitchen facility , location central New York reasonable rate . many night trawl internet come Buckingham . however , adverse comment trip advisor give cause concern . hotel reassure well go . we thrill find arrival two large spacious room kitchen hotel central . we enjoy stay Buckingham . 's reasonably price comfortable hotel good location . room clean , slightly old fashoned plenty space . kitchen facilities add attraction . staff helpful friendly . service good . overall , would happy stay again . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
 May 14 2008 	 great base Midtown stay 	 room Hotel Buckingham comfortable spacious . main living area bedroom recently remodel - kitchen bathroom area still little date absolutely sufficient . atmosphere whole hotel cool - lot jazz motifs - evocative New York . I sleep sofa bed living room - sofa bed go passable . hugely comfortable , sleep ok . pillow great . the noise street outside bit intrusive couple night work go street . 's Manhattan - can not imagine many place not noisy night ! good thing place location . spend lot time theatre , w57th almost ideal walking distance . subway station metre away . two block Central Park . excellent ! 
 Apr 24 2008 	 Nice Friendly Clean Convenient 	 hotel great location . small hotel give great service . staff always willing help , look different location , print direction we moment notice . bed comfortable room cozy . always hot water . 
 Mar 29 2008 	 great space family 5 	 room 7 g , like 1 bedroomed apartment clean load space , kitchen , dining area , large living area bedroom . Decor bit date $ 229 night bargain . great location . 
 Mar 27 2008 	 frequent travel NYC 	 frequent business traveler NYC , last year spend part 21 week , always stay Buckingham Hotel . always great get back friendly place good service . recommend Buckingham anyone know visit nyc.frequent NYC Traveler 
 Mar 27 2008 	 great hotel 	 businessman Hong Kong lot travel work . in March , make trip New York want bring family . colleague recommend Buckingham Hotel . take time understand need offer reasonable rate . outstanding hotel good location . 2 bedroom 2 bath suite spacious apartment Hong Kong . love . staff sooo helpful recommend restaurant we quite delicious . would definitely recommend hotel everyone stay next trip ! 
 Mar 21 2008 	 Love Buckingham 	 have stay @ buckinham 5 year . location ideal staff gracious . room spacious clean .. importantly . room also provide kitchen find one attractice quality hotel . would definitley recommend stay @ Buckingham . find pleasureable experience . 
 Feb 28 2008 	 go photo site hotel 's website ! ! ! ! ! ! ! ! ! ! ! ! 	 willing bet good money room photo hotel 's website take hotel ... 100 % serious . ' ve stay lot NYC hotel room ( price point ) , like think idea expect arrive . let us say Buckingham keep guess ! exterior lobby hotel nice ... hallway clean nicely decorate ... , open door room WOW . 's immediatelty like cheap roadside motel . bed LITERALLY concave , deep sag could easily see doorway . the bathroom size airplane bathroom , walk completely close door way order sit toilet . luxurious ! rent cable modem internet access room . modern ! one bellman whole hotel , busy something else every single time see ( stay three night ) . Service ! , much like stay friend 's place - kinda crummy , be obviously point complaining . be go , like , RENOVATE hotel anything ... like room face street ( even though yes , loud hell ) , window open . company pay stay , otherwise ... money , would change hotel . 
 Feb 18 2008 	 avoid Buckingham 	 book hotel 's location ( 57th 6th ) reasonable price . even call ahead parking , tell bellman would direct we . well , arrive bellman sight . bring bag , husband ask front desk direction discount parking garage . short 2 minute time receive $ 115 parking ticket , since place stop unload bag ! warn hotel staff either . the room okay -- parquet floor need refinish , small bathroom , nice kitchenette . try take shower , hwever , cold water work ( faucet break -- could know ? ) .The piece de resistence ? parking garage direct we one discount -- give we wrong direction ..... overnight parking cost $ 59.do favor pay money room front . 
 Feb 10 2008 	 great location ... saggy bed . 	 location Buckingham , couple block south Central Park , superb . New York City , be rarely room anyway , main requirement clean room comfortable bed . room , though wear around edge , basically clean . bed , however , saggy uncomfortable . mind , inexcusable . goodness sake , take revenue one weekend install proper mattress . failure provide basic level travel comfort reflect well skill current management . 
 Jan 27 2008 	 Pay get 	 wife book two night Buckingham hotel locate New York city . use Hotwire first time book three star room . another story . major problem room fact in - room internet access . front desk offer modem box 12.50 / day room . decide take option instead go second floor business center work . however , first modem give work return immediately give second modem . second modem also work . also return . eventually , resign go crowded second floor business center get wireless connection . course , credit card bill two day internet access $ 25.00 . make several call charge remove . also on - site parking . close parking garage 1/2 mile away . two item , room clean , basic worth money . 
 Jan 26 2008 	 okay money not high expectation . 	 book room Hotwire $ 175 night . compare Doubletree , stretch , hotel like Doubletree expect standardized level quality , see . lobby hallway hotel cool- kind art deco . room , however , shabby say least . large throw rug disgusting carpet think ever see hotel . also , although non - smoking room , people next we must chain smoking come right room . room freezing , . bed comfy either . great water pressure shower , though ! good part hotel location . be beautiful , safe neighborhood close much . price location , put funkiness room , ' m sure other would forgiving . 
 Jan 24 2008 	 great location 	 second time stay property stay . perfect location conference Javitis close wonderful restaurant . love able read paper make breakfast morning . something living room kitchen make feel like go home end day . the room clean little TLC need . staff friendly extremely helpful . get noise low floor face street ( 57th 6th Ave ) . 
 Jan 7 2008 	 need new furniture noise insulation . 	 hotel well standard . suite spacious call & quot ; pullout & quot ; bed not fit sleep [ cheap damage ] , almost fall apart open . nothing do rectify despite request . shame location excellent . heat good difficult control hide panel hard find . bad aspect [ apart sofa / bed ] noise . window old single glaze ill fitting almost nil sound insulation quality . sad thing hotel must cost fortune heat waste energy . excuse poor furniture either .. resident lounge well appoint use free wireless internet access handy . also small gym not use . 
 Jan 7 2008 	 extremely disappointed 	 disappoint stay Buckingham . room strong unpleasamt smell . dirty poor condition . heating work intermittently sometimes blow cold air . room look nothing like gleam photo website . bathroom ledge space , moldy light leave night deter many cockroach vary size . needless say view cockroach attempt use rather spartan kitchen . one plus location shop around . must able find well . 
 Jan 2 2008 	 whole truth .......... ! ! 	 return 6 night stay 25 year old daughter book Deluxe one Bedroom Suite thro Quikbook.com . arrival hotel extremely disappointed room allocate . although spacious old fashioned tired look nothing like bright image show hotel 's website . inspect five room equally dull chose room 12th floor ( 12f ) good room inspect . must say room plenty cupboard & amp ; drawer space & amp ; well clean towel change daily basis . however nothing would call boutique hotel . although always plenty hot water bathroom tiny two roomed apartment decorate old fashioned white tile , white laminate fixture dirty grout around bath . ancient pipework mean flush toilet & amp ; run bath & amp ; shower could easily hear room floor air conditioning old fashioned & amp ; noisy . bed main bedroom fairly comfortable although sag slightly middle daughter find mattress pull sofa living room well worn , thin & amp ; quite uncomfortable . the hotel 's position perfect major sightseeing & amp ; shopping block away Central Park , however location intersection 6th avenue/57th Street make one noisiest hotel ever use . stay many hotel around NYC choose one daughter travel we . guest travel family . couple would definitely recommend somewhere else ! ! 
 Jan 1 2008 	 issue 	 hotel location excellent room clean . suite one bedroom apartment full kitchen small bathroom . staff friendly helpful room need revise . linen bed hard outdated . air conditioner work heater could turned adjust . althought cold outside feel sauna open window air . tell staff certain temperature outside air would turn heater would go automatically . good thing ...... sweat even window open ....... would however stay guarantee correct price , size location . 
 Dec 31 2007 	 like Staying Friend 's apartment -- -Not Perfect good 	 family group 11 travel New York four night . two young child two party special dietary requirement , know suite kitchenette would suit need . book three room ( 5 / 3 / 3 ) price ( $ 379 plus tax per night ) . assign 4 g , 8 k 12 K give key random . all three room one - bedroom suite kitchenette ; apartment building convert , apartment apartment , hotel room . renovate degree , two typical one - bedroom city apartment smallish bath . one suite ( 4 g ) much large ( 800 sq.ft ) luxurious ( relative term , certainly ) many window two side , two large closet , large bathroom , etc . despite difference size , cost ( include tax , $ 440 per night . ) g room size , FYI . k room small lay differently . the location perfect itinerary . nicely appoint , smallish lounge business center second floor , wonderful laundry basement six coin - op washer dryer , $ 1.75 . dryer run 60 minute price . also laundry room : two clean fold table , drink snack machine , small commercial icemaker . housekeeping office next door laundry . although hotel coffee shop room service , Green Cafe two door everything one could want quick deli / diner . two block , & amp ; W complete selection hot cold prepared food bad beer / wine assortment grocery store . Cafe Europa corner good place glass wine late meal . one room slow drain problem fix within hour report . none sofa bed comfortable , wait list rollaway bed . housekeeping good , front desk staff friendly attentive . hotel accessible theater district , Rockefeller Center , Central Park . trouble get taxis corner 57th Sixth Avenue . I would like address subject noise , seem issue people write unflattering review hotel . New York City loud . fourth floor -- -or even 12th -- -you going hear city noise night . really not much window , either . People never NYC stay high - rise hotel go surprised loud low floor . reflect poorly Buckingham ! be even odd , consider all - night pharmacy across street sell cheap ear plug one really could not sleep .... gather people would rather complain something can not change take step mitigate effect . would unreservedly recommend hotel people travel child , large size , would rather space amenity . 
 Dec 4 2007 	 Buckingham Hotel 	 spacious hotel New York City ! great experience ... great location roomy suite . room living room kitchen - space unheard New York City . get bargain book line understand new ownership remodeling ... price sure go place steal New York 's world ! able walk Central Park , russian Tea room Columbia Circle . nice access subway . place tout musical history make great location space ! hope get enjoy ! 
 Nov 19 2007 	 good experience 	 can not believe anyone would call bad hotel ever stay . read review , worried , book anyway low price ( case one tell , $ 329 almost bargain Manhattan ) . stay 5 night deluxe 1 bedroom NYC marathon friend , think great . location superb , block park walk distance thing visitor want . lobby small , nice , terrific guest lounge big screen tv free wireless connection . people front desk courteous helpful . room like bright 1 bedroom apartment wood floor , nice furniture linen ( , not frette , not pay ) . linoleum floor kitchen bathroom little scuff past prime , white spotlessly clean . nicely supply kitchen big refrigerator . friend sleep pull - out couch complaint . room face street , relatively quiet unless open window . , find whole experience pleasant . the complaint pre - arrival concierge service get , & quot ; wine & quot ; eventually bring unacceptable . never try pass bottled Sangia & quot ; red wine & quot ; Californian . 
 Nov 14 2007 	 bad hotel ever stayed 	 recently stay Buckingham two colleague . say ? service shocking , room bad ever see , bathroom disgust strange smell . 420 dollar per night . avoid cost . hotel available delay trip . anyone rate higher terrible beyond I . I stay hotel least 2 night week , many different country . bad night spend rat infest hotel Guyana . 
 Nov 7 2007 	 Good Value NY Hotel 	 stay Buckingham three night stop way warm clime ( Mexico ! ) 18th 21st October . book direct hotel reasonable price . Booked get executive room 3rd floor face 57th Street . four we stay room suitable . large livingroom / kitchen / dinner , smallish ( adequate bathroom ) beautiful large double bedroom . two large walk wardrobe double bedroom ( free keypad safe ) large wardrobe adjacent kitchen stay sofa bed . agree previous post sofa bed uncomfatable . pad actual sofa cusion fine thereafter . also agree street noise continue night . New York City never sleep . stay another midtown hotel January ( Radiocity Suites ) comparable noise level . also aware major building work go adjacent hotel unlucky enought night ( nosily ) erect huge crane . overall nice enough stay ( would reccomend radio city suite instead though - get ! - build work complete ) . 
 Oct 22 2007 	 stay elsewhere want sleep 	 first trip NYC Mid town Manhattan recommend place stay . book hotel 7 night good location reasonable price . first impression good room give large , bright clean . small thing not work , like lamp control sound tv . the room , 9h , face street outside . we expect street noise night , not expect noise loud feel like sleep sidewalk . we request different room second night stay back hotel ( room 8d ) . central air conditioning ouside window loud enough ensure another sleepless night . bed room mattresse well past sell date . sag middle wake bite mark , follow morning would enough . we check stay remainder week marriott marquis times square could not recommend enough . fantastic hotel great location . 
 Oct 17 2007 	 Give miss 	 room large tired shabby . decide make well , step shower find sharing bathroom couple cockroach ! hotel reception send someone upto room catch armed ...... two paper towel bad attitude ? ask change room tell hotel fully book . seriously contemplate night central park bench doze one eye open check follow morning . Stayed remain two night Sheraton Towers palace compare . still chase refund via book company . 
 Oct 10 2007 	 okay worth buck 	 pretty dark dingy room . understand NYC hotel old take fact consideration . not like fact sound tv station not work tell front desk , nothing do ... five night . not make big deal not room much . also not like maid not change sheet ... know ? tiny hole sheet , unless every set sheet hole exact spot , not bother change . bathroom sink drain , slowly . , understand pipe old . front desk people okay except one gentleman . actually quite rude we two separate occasion . would stay ? might long get newly renovate room next time . 
 Oct 8 2007 	 give place miss 	 book Buckingham three thing - space get suite , location review month back . cost we $ 386 per night , may overly expensive location feel like good value . the good point , indeed , location 5 minute walk south Central Park amount space get . good kitchen space cutlery , crockery , cooker fridge / freezer . staff efficient helpfulhowever , furnishing decoration shabby real need update . suite ( 6C ) , overlook central shaft , view , theory , mean would not disturb noise traffic . not - noise air conditioning make . necesssary turn unit night otherwise sleep impossible , course , mean room become hot . , even , noise ventilation shaft & quot ; central & quot ; air con . loud . I would return know major refurbishment take place . 
 Sep 7 2007 	 Great Stay 	 book 1 bedroom suite Orbitz ( 4 day ) get deal 218 $ per night summer .. think not bad NY City summer . call request room upper floor , meet -so -polite customer service person ( mention get areal good deal get good view anything might hard ) .pros:1.when check ( 3 kid ton luggage ) , bellboy / doorman friendly.2 . suite huge ( NY standard ! ) . ton closet space.3 . living room nice dining table 6 chair , Tv etc . bed room queen bed Tv closet space ( walk - in ) .4 . kitchen small functional ( microwave , stove , oven , sink , basic utensil fridge ) .5.Really great location - close central park good shop restaurants.6 . Toilet get stick - the repair people come less 10 minute fix happy smile ... 7 . room ( 11d ) quiet could barely hear ambulance etc . view whole day price can not really complain . Cons:1 . security chain break suite -- tell first day not fix visit.2 . coffee table drawer break soon pull open -- not say anything / do anything ( not even remove ) .3 . carpet bit old / dated.4 . front desk always friendly.5 . ask extra blanket / sheet -- finally give we extra sheet 2 day . we go back especially get good price . 
 Sep 3 2007 	 get Sleep Suckingham Hotel 	 stay one night enough . save money get sleep . Suckingham , call , convert apartment building . ' ve stay kind place , one bad . room actually small apartment , find mine completely horrendous -- moldy smelling , complete crappy , tacky furniture . mattress easily 10 year old frame barely screw headboard , everytime move squeak like hell . fine feature be try get good night 's sleep . honestly afraid put foot directly 3 & quot ; thick shag carpeting flashing might find room black light . add cut toe -- yes , cut toe -- parquet flooring , nail stick 1/4 inch near heating unit . basically hope get mold smell circulate air . silly . bathroom : would not take shower room pay . also not restaurant , bar , okay . be Manhattan , go . kind suck not even offer coffee lobby morning though . speak lobby , thing giant echo chamber . family little boy check , could not hear desk clerk conversation . kid start cry ( not blame , stay Suckingham ) , forget . would well time hearing walk onto 6th Avenue . course screw bill , travel department resend everything -- twice . surprised ? will give benefit doubt hope thing different family budget , loathe say company pay $ 300 dump . sadly , money , could do much well . reason book place one colleague need meet . seriously regret . 's s - list . 
 Aug 27 2007 	 Non - smoker avoid ! horribly manage . 	 smoking room floor non - smoking room . give heating / air cond quite old ( loud ) , smoke filter quickly one room next . staff sympathetic issue . health relate emergency , front desk want call 911 directly . next day release hospital , air conditioner break . ask manager could tell could fixed , wait lobby hour . ' go 3rd time tell electrician already fix . one bad experience stay NYC . 
 Aug 21 2007 	 fantastic place stay 	 stay Buckingham 15 - 17 August base review family hotel TripAdvisor . it certainly not disappoint - one bedroom suite like large apartment - huge lounge pull bed - well resource kitchen - large master bedroom good sized bathroom ( agree previous post shower - brilliant ) . staff lovely . look complain - main bed pullout bed particulary comfortable , air conditioning unit bedroom noisy - ' m sure would sort stay long - not even bother notify hotel this . not resaurant hotel problem Green Cafe 1 minute away extensive eat - in take - away menu . Duane Reade opposite milk , water basic supply kitchen . the hotel brilliant location - near central park shopping .I would hesitate recommend hotel family definately stay next time cross pond . 
 Aug 21 2007 	 Obne bad experience ever 	 family four turned greet well enough . particular guy handle bag really good helpful . room ready wait nearby deli . general decor ' tired ' throughout . non stop muzac / jazz irritate almost much intrusive honk horn nearby intersection , hear reasonably clearly despite upper floor thank ill fitting window . we book ' suite ' include kitchen - reasonably equip , one double bed one sofa bed . living room bedroom ok sized well four . en - suite toilet / bath / shower cramp definately need modernise . joke whole stay sofa bed . extend foot bed slope extent need surgery make contact whilst lie main part . main section combine thin , uncomfortable ' matress ' ever feel along undulation contour ensure anyone use force centre bed . combination fault render sleep impossible , make hard floor seem attractive . exit hotel next morning suggest sofa bed entirely inadequate could something do . re - assure go day New York . return 10 p.m discover nothing change . visit front desk reveal two desk clerk , neither could anything ' only front desk people ' , hotel full maintenance go home . suggest raise issue someone could something inform manager would asleep - really right thing say someone endure second sleep free night . headclerk agree sofa bed entirely rubbish though , reassure picky . inform intend sleep lobby would comfortable , provide unable find alternate hotel go back room start leaf yellow page . two minute later knock door ( single ) roller bed push room . one we still sleep ( fold ) sofa situation improve remain 3 day stay . may render suddenly deaf hear expression regret apology staff . on leave chap handling bag good helpful way in . on penultimate night run fellow guest lift casually ask would stay . response ' no ' , 4 person book one room - sofa bed probllem , add black mould even poor bathroom facility . review anyone try stay 4 room place blame . rate terrible primary responsibility hotel provide adequate sleeping accomodation , respect fail . 
 Aug 20 2007 	 Quiet easy 	 easy place stay NY hotel job . just short walk Central Park 15 minute stroll Times Square hotel quiet unassuming . suite daughter , well equip spacious living area , settee puleed double bed , separate bedroom small kitchen . supermarket deli 's locally get food breakfast . want good place eat evening go lounge Mariott Marquese Times Square . revolve restaurant 48th floor , eat much like £ 12 , get view town Manhattan time . 
 Aug 17 2007 	 Sleepless New York City 	 call ahead request room high floor instead put 6th floor corner 57th St & amp ; 6th Ave . night long , every 10 minute someone honk siren go . hotel busy corner Manhattan put top floor forget good night 's sleep . room relatively spacious , sofa bed uncomfortable might well sleep floor . room clean tired desperate need TLC . furniture fray ! end leave night early bc / we could not take noise anymore rudeness staff . 
 Aug 9 2007 	 Buckingham ` ` Palace '' 	 return first visit New York City , stay Buckingham Hotel . hotel well expect especially money . air conditioner room awesome , especially welcome heat humidity day . location 57th 7th street perfect get anywhere . subway 6th 7th street . short walk Central Park , FAO Schwartz , 5th Avenue Shopping , Rockefeller Center Times Square name . & quot ; studio & quot ; room spacious New York standard hotel . & quot ; mini kitchen & quot ; great ! refrig , microwave , coffee maker , sink . hotel clean staff helpful need . deli door great food , sandwich , breakfast item , drink , etc . would definitely stay Buckingham . great value great location ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 9 2007 	 huge room ! 	 stay Buckingham business wonderful experience . be NY day , highly recommend stay . room huge . full kitchen , dining area , living room , large bedroom bathroom . location great ... close Central Park . complaint not onsite restaurant , perk hotel easily overlook ! 
 Aug 3 2007 	 Buckingham great ! 	 return 4 night NYC Buckinham . 3 woman & quot ; reuniting & quot ; 19 year old guy ( son ) . everything hope hotel website positive review site . suite like small apartment -- large , comfortable . lot nice little touch , , like cd player , mirror closet hall , etc . find front desk people helpful -- location perfect -- 10 minute walk theater ; one block Central Park -- drug store , Starbucks , deli 's street , little food store around corner , pick breakfast stuff , drink , etc . one party pretty phobic picky -- tell afterward fully thought would find place first night ( way 4 we could stay one place ) please ! tip : health club second floor shower , guest could pop shower one bathroom problem . also , basement laundry room ( 6 washer / dryer ) information room , reason . also snack soda machine , ice machine , list either . would recommend everyone definitely plan revisit Buckinham ! 
