strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Dec 30 2008 	 like LA Vegas less Disneylike strip . 	 second stay Palms . prefer strip since prefer LA vibe vs Disney vibe . restaurant awesome , except mexican mediocre food great margerita . pool scene 30 , unless want feel old . fun watch fun , get involve promotion go involve celebs cool ... ghost Bar fun , fun go big group . rain typical city big club like NYV LA . casino slot loose experience , table nothing special , dealer nicer strip . dealer retire school teacher .... Vegas ! hotel staff try hard look cool , might get turn . grow New York , use it . Grand Suite nice , tv lame . like party room . 
 Dec 11 2008 	 Best Hotel experience 	 stay Palms go Vegas AWESOME ! hotel really nice , food amazing ( n9ne steakhouse kick [ -- ] steak ) , club lot fun . also $ 2,000 casino definitely help make trip memorable . be look go go Vegas , definitely recommend Palms . 
 Nov 20 2008 	 friendly staff kind hotel- stick strip 	 stay plan see show Pearl night . room basic , low budget one , can not believe sell thing around $ 200 night . tv not even flatscreen one- could get cheap room well TV Excalibur . thing good room bed lot soft pillow it . the casino floor not big . think palm ' main building club , happen inconveniently near hotel room elevator , make difficult get room since squeeze obnoxious drunk guy girl . seem like hotel make bachelor party guy ' night out . food selection lame , waiter 24/7 Cafe need attentive . leave wait 20 minute serve . the good thing say place staff really nice . reception concierge desk helpful , especially let check room 9:30 instead wait till 4 pm . , be good reason return hotel . ' m stick strip . 
 Nov 10 2008 	 Mediocre staff fun ! 	 stayed mainly want go bar / club / restaurant great strip view high floor . check extremely odd , busy middle casino ! fun . thrilled room , high floor huge fantastic bathroom . book dinner Alize restaurant head Ghost Bar first wonderful term view , mediocre term staff . : ' do cocktail menu ? ' Surly bar woman : ' no . ' ' no , ... ' smile , flat surly . guess not want tip ! ( lovely bar maid balcony great , get good tip . ) go alize fantastic meal , Playboy club fun , Moon club great . view atmosphere brilliant . fact everywhere go bouncer stop check ID etc every 5 second annoying . ' m use stay hotel move area area use facility freely , ' ve pay ! ! bad pool area next morning , fabulous pool , really ridiculous bouncer door , would not let take bottle water buy hotel lobby ! absurd . great time despite staff , spend lot money food drink ( drink expensive ) , club entry , view spectacular . like stay night club really , strange fun experience ! would suggest book stay expect staff surly annoying , will not disappoint . 
 Nov 7 2008 	 Excellent Hotel 	 Flew Halifax Air Canada . fly Air Canada lot work honestly say ' m fan 's however manage get girlfriend time , luggage ! arrive go straight luggage , previously book limo Presidential Limo 's service . can not say enough guy , excellent service around perfect experience . arrive palm around 11:00am reservation old tower , explain nice man desk fly 12hrs 8000kms come hotel happy upgrade we fantasy tower . wow nice room , huge great view pool ! start well 4 day life ! 4 day spend Vegas girlfriend manage make strip twice . love palm much could not get away pool , casino , incredible night club . somehow able get invite two private party , one condo next door connect Palms , one last night , one fantasy suite reserve Absolute Poker Party ! two party would see movie , Vegas ! never eat restaurant hear guest great . the pool simply amazing , mixture young old ! course club good Vegas offer ! palm seem like cater toward young crowd , 28 girlfriend 21 , meet many great couple single . the location strip kinda suck want explore strip , however shuttle get 3 time day ! overall love palm return without question ! 
 Oct 25 2008 	 finally get stay palm ! 	 several year play annually Palms casino finally get invitation 2 compe night Palms hotel . my wife would call high roller ; play mostly $ 1 slot , average 8 hour per day . comp offer ' ve receive palm ( several casino - hotel ) nice surprise . able book total 8 compe night . I figure Vegas must really hurt chase like we . room overlook strip could see several construction project appear dormant entire week . would expect visitor could find good room deal . the room , old tower , nice appear recently refurbish . wife happy bathroom vanity provide enough surface space & quot ; stuff & quot ; , agree bed comfortable . the Palms locate almost mile west strip Flamingo , mind walk Caesar 's several nearby ( Vegas standard ) strip property pleasant September weather . want walk block , free shuttle Rio run constantly Harrah 's property . palm casino outstanding , favorite local year . probably good place town see celebrity . excellent mix decent payback machine table game , non - smoker appreciate excellent ventilation . palm seem & quot ; place & quot ; & quot ; beautiful people & quot ; , although people , fun watch . several time see bunch hot young girl follow 5 man camera . tell film tv show call & quot ; Nasty Girls & quot ; & quot ; Mean Girls & quot ; something like cable channel not watch . favorite part Palms buffet . eat meal almost free ( MVP player card give we huge discount ) . change choice quality well ever see buffet , know buffet . many buffet offer well selection , low quality food . buffet staff friendly helpful . now score comp December ... 
 Oct 6 2008 	 30th Floor Strip View 	 stay 29th 30th September . check - in 2:30pm line problem . book new Fantasy Tower , upgrade one bedroom suite original Palms Tower . suite fantastic JVC mini - stereo large tube tv section . nice living room area early watch tv GF sleep . decent selection channel extra Palms relate music channel showcase award party hold palm . the view 30th floor suite amazing , 180 degree MGM City Centre construction downtown -- great night , could see firework TI show landing approach McCarren . huge Donnie Marie building banner Flamingo . always security afternoon / night tower enterance . walk Palms Place pool tour -- nice layout . pool Palms nice active . due low crowd off - strip week , club Palms close early . activity strip much high casino . room beautiful stylish bath , half entry full master , would love replicate design home . bed excellent , comfortable sleep . buffet breakfast good value . poker table tough , stock dealer high level player come palm low rake drawing NFL game . get chance try Little Buddah since close early Monday nite . Bette Middler 's band play Monday nite Palms , 7 - 8 piece horn . do Red Rocks tour hike , try Firefly Paradise tapas -- great go 3 - 6pm weekday special , see Fat Elvis Bill 's -- ok , play last night PH poker room move new location casino . see Dian Diaz Bellagio , mostly cover casual dancing , really sing full band . 
 Sep 22 2008 	 love place 	 good value money place stay Vegas . studio room great need . Checkin smooth restaurant also good . bar tower cater young crowd great fun ! would stay get cab Strip . 
 Sep 16 2008 	 finally everyone see truth - staff treat terribly 	 obviously review ... palm finally get deserve . treat horribly front desk staff go BBB - avail . palm reputation . many hotel choose Vegas- awesome , way treat we eventually need Lindsey Lohan 's sister sell records- impossible- stay afloat , cuz king be not helpin ' unless bettin . greatly thank contibutor 's site creator site allow know one trip entirely ruin front desk staff treat . anyone notice reason know Palms E ! ( 45 ) fact must connected station 10 show . applaud honestyl ! ! ! 
 Sep 14 2008 	 Comfy Small .. Vegas 	 stay Palms one night friend play show Pearl Theatre premise . I arrive 11.30am delighted find reception desk leave entrance door rather , usually case Vegas hotel , mile away sea slot machine . despite usual check tiem 3 pm friendly desk staff able find free room witin 20 minute . wait check shop , useful stuff like toothpaste Tylenol well vintage Kiss t - shirt , tattoo parlour . food court bit downmarket McDonalds godawful thing hotel be probably aim young crowd . cinema Imax look liek good selection movie . the room great , get great rate £ 40 night , totally worth . huge bathroom Aveda toiletry decent size bedroom comfortable king size bed . surprised find tv rather old tube tv great reception , guess not come Vegas sit watch tv . robe iron board iron wardrobe handy . the coffee maker grim ... clearly clean eternity produce foul smell cup bit know float , room service not bad price efficient friendly despearate decent coffee order it . my friend stay suite Playboy Tower get look - huge room lounge , fireplace , wet bar , numerous bathroom ( one disco lighting ! ) aside questionable taste red leather sofa leopard print cushion , afford suite look like great place ! palm nice place stay compare Vegas hotel relatively small , quite cool young ( rock music play casino ) room great value . however desert heat simply can not walk Strip feel rather distance lively atmosphere Vegas . the Pearl Theatre nice venue , well lay wherever will get good view act never far stage . perform , backstage area straightforward - essentially one long corridor dressing room production office lead straight stage access . overall , palm nice , comfortable hotel good young crowd not want constantly Strip . 
 Sep 12 2008 	 Top - Notch ! 	 not Vegas couple year extremely excited head back . find great rate online . booked hotels.com arrive check - in , lady front desk not reservation ! call hotels.com get straighten . wear long day extra 30 minute hassle not appreciate . security elevator . relieve get room- end upgrade ( ' ve really lucky lately ) ! get huge corner suite new Fantasy Tower ( floor ceiling window 2 side ) umpteenth floor amazing view Strip , pool , original Palms tower . great ! awesome bathroom huge jacuzzi tub . room service prompt although food average . want do not time get gym pool scene great ! will probably stay palm next time ' m town . highly recommend ! 
 Sep 8 2008 	 class ? not stay 	 bullet point Palms1 ) place exclusively gear towards 30 party crowd . thirty stay someplace else otherwise feel place.2 ) loud music blare everywhere hotel include elevators.3 ) want relax pool ? forget . unless mood get blotto drunk dance around like idiot place annoy . wife go ten minute pool drive partier . 4 ) room Palms tower nice one Newark Airport Ramada . really need upgrade one word describe would & quot ; dingy & quot ; .5 ) like sleep ? well low pool face room likely agenda . loud ... little thing : ) staff center bar casino nice , affable professional . b ) prompt decide & quot ; small & quot ; & quot ; large & quot ; Margarita Mexican joint casino , choose small one . choose large one thinking max 24 ozs . serve least 60 oz glass sugar water cost $ 26 . order 3 Cuervo shot side dump glass tequila taste . c ) front desk staff act like well thing deal customer . ) alize one good french joint ever to . while review may sound negative , palm serve target demographic psychographic well . desire class , elegance solitude , go stay somewhere else . want carouse silk shirted , lease car crowd hit pay dirt Palms . 
 Sep 8 2008 	 Inconsistent OK 	 7 we stay Palms vary age 21 - 50.strange mix nephew 's 21st dad act like 21 come along . despite reviewer mention problem check find OK.My opinion Palms:1 . room - nothing special . a / c poor - three room bad odour ( 8th floor old Tower ) .Despite complain nothing done2 . staff - not seem interested answer question go Vegas 3.floor staff - spend couple hour blackjack talk player say get pretty smash night before . be tell eavesdrop pit boss refuse anymore drink even though water ! ! one player totally smash swear loudly still get served.4 . food outlet - average5.pool - excellent shut early ( 6 pm ) two four days.6 . palm Player card- not bother . lose $ 6,000 get free buffet . would go back palm ? . although everything generally fine staff not seem want guest there . when go Rio gamble staff great . when tell treat palm tell we pack bag stay Rio last two night vastly discount rate . have already pay agent would do . 
 Sep 4 2008 	 Disappointed 	 husband decide stay palm Labor Day weekend one friend recommend . throughout stay palm nothing problem . first check lady front desk pretty rude . make seem like waste time . get room basically spend half evening call front desk jucuzzi tub clean . jucuzzi may look clean , turn jet lot black fuzzy stuff start come . 20 25 min . lady come clean jucuzzi . try clean black fuzz pour chemical ( using suppose , husband find hard breath fume ) let sit 5 min . 5 min . past tell we clean black fuzz . lady leave fill jucuzzi tub , turn jet black fuzz still start come . call front desk someone come . lady clean tub first time come back , instead pour chemical time pop jet see problem . turn bunch build inside jet . husband creep see much build . anyways , finally fix problem clean jet . besides jucuzzi tub also problem air . would blast air high sit next window place would feel cool air . everywhere else room would not feel air . came time check notice summary bill charge us mini bar . eventually couple time call front desk mini bar charge take bill . experience go back Palms . place perfect people want party , want relax would recommend go somewhere else . 
 Sep 1 2008 	 bunch fake 	 let us see .... go : stay 11 day ( work put we pay ) 1 . ) servicehmmm ..... service ? last straw double booked room make move high roller . move misplaced suit bag make pay ship leave hotel .... real hotel would step plate fix situation , fake one like this.2 . ) decor Nice , lounge , club , etc ... functional though . sink room drain onto counter wash hand .... kinda funny , tiring maid . same pool , nice looking , way move around , enough seat / chair anything else . force buy overprice drink , pool let slide carry plastic containers.3 . ) food * give 1 5 star may much .... try diner 2 time , disaster , try buffet 4 time .... stale , bland , poor selection cheap dish ( get to keep food cost low , right ? ) 4 . ) people stay * say fake , fake holy hot tamale , lot work woman . friend sit one bar watch elegant ballet cash friendly woman move end end bar , stair one guy , back 25 min , back another ... amusing one nearly 65 year old ... YIKES ! ! fake .... ever wonder unintelligent meat head fake OC look people hang clearly hotel ... not conversation fine ... overall : would recommend even stay free like we . 's well service / quality nearly every hotel Vegas . 
 Sep 1 2008 	 average hotel 	 Services1 . two shoulder bag , one carry , one laptop bag two camera bag ( DSLR additional lense ) . single person valet / bell service come we help.2 . Valet Vegas normally know taxi take cash . get us taxi never bother ask we carry cash we want pay credit ( fault , hotel Vegas know service ) .3 . check - in receptionist never tell we club , restaurant service hotel . not smile even . reception desk 's attitude general lack cordiality hospitableness make we feel unwelcomed . behavior security stand elevator intrusive distasteful . feel like pass airport security sensor beep me.4 . primary reason reserve room palm hear night scene Palms not bother check review . reception give we complimentary vip pass , excited . even pass room key able get club without pay cover charge , kinda suck we ( get line thinking will not pay cover charge , gate either pay - up get . think palm one premier hotel / casino Vegas , wrong . RoomIf not walk reception casino would assumed stay holiday inn comparable & quot ; Motel & quot ; . nothing room , furniture tv service ( tv prolly 15 year old ) show stay premier hotel Las vegas . so overall unsatisfied do not think ever go back Palms . hope improve , graduate UC Davis Sacramento Kings fan , know passionate Maloof brother whatever ( king suck , guess can not really say anymore ) . hope review help decide stay Vegas . 
 Sep 1 2008 	 place think 	 live Vegas family come town always get couple room we stay . year decide stay PalmsWe stay mid August . able get deluxe room & quot ; Fantasy Tower & quot ; $ 69 . night hotel 's website . good deal Vegas not impressed get . wait almost 45 minute check 6 people ahead we get line . 5 registration people stand around talk instead help customer check in . when get room nice not really seem like upgrade standard deluxe . room compare standard room Monte Carlo . the pool amazing not appreciate guard entrance demand check purse bag time . little much ! also 4 security guard walk around pool 9 am -- 10 guest around pool totally get -- little uncomfortable . the thing really get Palms try act like place young hip crowd see bunch senior citizen scooter casino . young crowd gamble not senior casino would empty . restaurant average Vegas . quite honestly several local restaurant well ( Chicago Joes , Carluccios ) .The good part trip see Phantom Venetian -- amazing ! overall room ok probably go back Monte Carlo next time family town . 
 Aug 27 2008 	 stay ! 	 really excited girl ' weekend palm last week . book reservation online could not wait get . however , arrive wait almost hour check be give dirty room . hour half plenty rude front desk agent finally clean room ready go night . make back room wee hour night people run hall way security refuse anything help we . ' m go waste time go thru incident happen weekend let ' say cold water shower , room service burn food horrible service . hotel obviously prioritize party hotel need learn hospitable . 
 Aug 27 2008 	 get pay ! 	 get great deal vegas.com . hear much great palm try . would think since late celebrity hot spot place would awesome . staff extremely helpful . & quot ; pretty & quot ; girl work cocktail waitress little unsophisticated unlike counterpart ritzier hotel strip . prepared lot taxi ride want leave hotel since pretty far distance strip . ever want stay Frat House place . noisy late night early morning hour . lot young guy run hall yell top lung . bed wear ( saggy lumpy ) new hotel . open condom wrapper ( ) fall supposedly clean sheet check - in . mention thin wall . hear everything ! ! ! pool close early & quot ; Private & quot ; party . however one hotel staff tell we go Palms Place Pool close 6 pm , reopen 8 pm midnight outside bar ( pool also subject close & quot ; private party & quot ; . complaint food . restaurant awesome . buffet . place kiddy , fun adult . Ghostbar , Playboy Club Moon place see . fancy show go . think would pay little go somewhere little tasteful . 21 would probably think good place earth . definately Party Hotel . do . one thing , might see occasional & quot ; want - to - be & quot ; celebrity like Sunset Tan people walk around orange skin . 
 Aug 16 2008 	 take good care we ! 	 wife book weekend Vegas around see comedian Eddie Izzard Pearl Theater Palms . I manage snag good deal four - night stay Expedia . we arrive Friday afternoon , lobby already buzz young people fly weekend . registration , clerk inform we hotel over - book . say could accept room book , palm would pay put we venetian two night , refund have already pay two night , upgrade we suite last two night Palms . mention seeing show Pearl night , quickly respond would send limo we bring we show . we opt venetian deal , desk clerk give we $ 20 cash cab fare . the standard room venetian gorgeous ! sunken living room , two flat - screen tv 's , huge bathroom twin sink . our limo show plan , concert awesome . the pearl fabulous venue . when switch hotel Sunday , originally give standard room . return front desk remind suppose give upgrade . quickly give key Salon Suite , list $ 500- $ 750 , far cry $ 80 have pay Expedia ! Salon Suite , Fantasy Tower , beautiful . king bed one nice ' ve ever sleep in . we spend whole afternoon pool , attentive staff look we . we try cafe buffet , wife make lot reservation outside Palms . think good price . I really enjoy & quot ; vibe & quot ; palm , really appreciate extent go make weekend enjoyable . 
 Aug 12 2008 	 review make difference ! ! 	 read review book verge switch hotel late . experience actually pretty good honest think 's poor experience guest we . believe hotel aware bad service employee . call speak front desk day check b / c really concerned service may receive upon arrival read review . . inform front desk review read basically give idea Palms function differently , since hip new celebrity image not compete hotel strip . anyways , believe go thru major re - organization since realize order credible Hotel go compete BIG Boys like Ventian , PH , Bellagio etc . ( especially be 1mile strip ... ) make long story short ... experience great . upgrade Penthouse old tower ( new renovate ) 2 4 night simply ask comp upgrade . take look photo , think palm aware pass crappy service post room Damage Control . not get wrong ... service still need improvement think try work . bad get hotel $ 99 - 129 /night . 
 Aug 11 2008 	 want LEAVE 	 get back Palms casino Vegas great time . Vegas always stay venetian , first time stay much small Palms . going stay , bear mind going stay place hip , lay back . go want hang pool day party / gamble night . find staff friendly , helpful . room nice , bed comfortable . rate favorite thing palm would without doubt say pool , especially Friday ' ( DITCH FRIDAYS ! ! ) blow away . great music , drink , beautiful people ( guy girl ) . intimidate though , ditch staff great , friendly , everyone pool unpretentious . ' huge gambler , go back every year fantastic pool scene , friendly staff Casino . thank palm ! ! 
 Jul 30 2008 	 pretty much awful . 	 wish would read early review maybe would not waste time hotel . friend go Vegas Thursday . the bell staff friendy welcoming , assume good start .... reach front desk . able check room time girl front desk one rude people ever deal life . absolutely miserable . though suppose new tower , end old one . room extremely small horrible lighting . bathroom small water pressure weak . bed , must admit , fantastic , along room service . the casino / lobby area nice , small . bartender quick friendly . dealer average . little Buddha fantastic would encourage everyone check out . there much well hotel Vegas customer service priority unlike Palms . 
 Jul 25 2008 	 good review state 	 get great great great rate . think $ 60 per night ( weekday ) . get 6 pm , drive L.A. , parking mess . end parking vehicle . get check counter , 2 guest front we , take we 48 minute get check lady . when finally get , almost 7 pm . lady tell we wait 1,5 hour room ready . complain , give we un upgrade Playboy tower , great . , think would give room old tower , suspect would disappointment . the room A++ . everything nice , roomy , confy , lovely . bathroom room pretty large . ammenitie : a++.the Casino kind bore . location also negative , strip . food hotel average . pool stuff people ( 100 110 day ) . guess weekend , would room . overall , nice room , boring casino , avarage food , bad location . would try resort next time . 
 Jul 5 2008 	 bad service bad hotel vegas . avoid cost ! ! stay elsewhere ! 	 excite try Palms , young ( early 30 's ) enjoy vegas nightlife , stay Hard Rock Planet Hollywood , think good experience , want try something new . unfortunately , 100 % disappointed . start , first night stay one top suite Palms ( $ 3,000 / night ) ... suite okay , service horrible treat we like always we favor whenever request ( & quot ; bathroom dirty sheet stain ... please get fix & quot ; ) . room smell like smoke charge $ 1.00 room phone . yes , $ 1 . even never use phone . tell remove room phone charge we dollar refuse , say mandatory phone room ... , pay 3 k per night room bad SCAM history go ... $ 1 phone room ? ! ? next thing know , will charge toilet seat . the suite not available last night transfer junior suite , non - smoking . moment enter room , hit bad cigarette smoke ' ve ever smell . take 10 minute reach manager hotel operator front desk keep disconnect ( obviously make hard get contact management ... ? ... management want way ) . finally talk front desk manager , said & quot ; sorry , ask guest smoke non - smoking room 's & quot ; . yes , response . ask talk supervisor refuse , say supervisor leave day promise supervisor would call next day . course , never receive call . yes , bill yet another $ 1 / day & quot ; Line Access Fee & quot ; phone room , even though never use . ask front desk person $ 1 charge , shrugged say & quot ; yeah , know dumb thing ' ve probably ever see hotel manager want nothing & quot ; . , seem management true cause hotel 100 % crap pull ridiculous $ 1 scam . the food okay , casino small . overall , terrible experience highly ... highly ... recommend anyone young look fun Vegas stay Hard Rock Planet Hollywood since excellent club much ( MUCH ) well management service . 
 Jul 1 2008 	 Palms Hotel great FRONT desk STAFF NEEDS GO ! ! 	 stay plams second time three month JUNE 27 - 30th . love hotel , slot pay great , room nice date , FRONT desk STAFF RUDE TREATS like WOTHLESS . come 6 hour flight two 1 hour delay , Chicago Friday , good day begin . FRONT desk STAFF person tell reservation May 27th reservation hotel book solid ... move other Palms place book . make reservation JUNE 27 - 30th . way could made reservation May 27th becaus ethey sell entire weekend anyway . woman say , first , figure , call Expedia ( never USE ! ! ! ) Expedia put hold 25 minute ... finally say quote ( not time , wait phnoe day . step far leave hold phone . wait come phone .... next person & quot ; sit another 30 minute . bump ignore girlfriend miss sse Holly Girls Next Door 10 minute . trip RUINED . manager come leave ask concierge get . talk Expedia get phone ... act weird say fine put room . Expedia say plams make mistake ... must true , could Expedia accidentally book wrong day hotel sell weekend month ago .. show website book trip . tell girl Expedia say put information incorrectly & quot ; not must & quot ; even say anything . anyone ever SPEND HOUT CHECKING prepay 1000 + dollar month advance . trip RUINED compensation UPGRADES ! ! people reservation get priority - although stuck Plams Place . not understand guest would trate way ever ! ! 
 Jun 26 2008 	 Birthday Ruined PALMS HOTEL ( VEGAS ) 	 - write front desk manager have not even recieve word back . Mr. Coleman : celebrate birthday weekend hotel want voice concern regard staff upset additionally ruin birthday go specifically Palms celebrate . arrive Las Vegas Thursday stay venetian girlfriend arrive . Sunday night book Palms since & quot ; & quot ; place . not get wrong , beautiful hotel – staff reception un - welcoming later arrive room head pool bartender pool area completely line . sunbathe girlfriend pool order drink morning . not 4 pm go go get everyone Piña Colada 's bartender ask ID . simply smile tell day birthday , order drink morning 26 . reply snotty : ID Drinks . I appal . rude make feel like criminal . tab total $ 200 – person treat like ask give free drink . regardless , know rule rule need ID order purchase drink happen next true reason email . see upset , girlfriend offer purchase drink - since bring id . notice group girl next we ( one baught drink ) . friend go purchase drink snooty bartender say one we not ID need id order sell friend drink . double standard see sell group girl next us 5 piña coladas refuse service friend ? problem not end . proceed ask security pay we visit – totally humiliate we front new friend make pool – proceed inform we cut . personally see beverage hand would kick pool area . imagine morning / afternoon completely ruin . could gone get ID fact hotel decide cut friend well make we angry . sure tell friend , family colleague experience . as not want ruin day , decide lounge pool ( time watch closely security guard ) proceed room . outraged experience . go Bare Mirage treat like want , like guest , like teenager attempt steal liquor . file complaint Palms imagine want ruin rest birthday . ( even dinner reservation NOVE cancel want spend time hotel ! ) really hope email help hotel live reputation claim . , different stay Holiday Inn . Kindest Regards , 
 Jun 22 2008 	 great time ! 	 get back 3 night Palms . first 2 night We d & amp ; Thurs hotel little quiet Fri pick Ditch Friday . look action pay extra money go weekend . during week also aware lot private event close certain restaurant POOL early . we d Thurs close pool around 2 pm . new property Palms Place pool use . on Friday decide buy front line pass vegas.com . not want wait line want freedom go club . cost bit well worth it . make sure ask front desk upgrade Fantasy Tower . we extra charge . : ) 
 Jun 21 2008 	 Crossed Palms Silver 	 imagine ... ' ve work hard five month , sacrifice social life save road trip lifetime be start life change Gran Turismo party capital world good friend not see three year choose hotel . ' Holiday ' ' vacation'- name extremely misleadingly . after perfunctory phone call friend know , recommend plan reside Palms , responsible majority obscene celebrity party story press past month ( like everywhere Vegas ) , clock , slot pay surprisingly well pool scene disgustingly ' Vegas ' . sound good we . follow ten hour flight , desire we whisk room matter minute lobby resound chatter thousand slot machine wake jet lagging mind . not disappoint . certain clean serenity lobby much debauchery allegedly take place , weary traveler face , alongside smile receptionist ( funky nail ) upgrade free matter minute suite fantasy tower , know be smooth ride indeed . this place fun - good honest fun . not disguise thematic restaurant , ridiculous decor shout accolade every conceivable moment - palm deliver good time hand sweetly broad smile . staff know be go love tell . never charm smugness entire life , be Vegas you . the room spend least time still beg , humongous bath tub , awesomely stock mini - bar , luxurious white bed wrap around window invite languish floor light dazzle twinkle thousand neon light night . , heartily recommend it . we eat heaven Alize view , unfortunately lack opulence hope service particularly poor . Sum 41 eating table we - might slow night ? ghostbar possess cinematic view strip , although inside lack soul somewhat neck another dirty Martini forget whilst laugh ridiculously OTT be . the cabanas well worth parting play money service excellent , much give factor 50 sunblock Monolith security guard interested well skin throw alcoholic misdemeanor . would not get good old Blighty tell you . unfortunately , account complete lack sleep due Virgin Atlantic alcohol - miss Playboy Club , tell morning utterly everything would expect club brandish Playboy logo - gutte , need strength 6 hour drive across Death valley desert San Diego next day . the morning depart , check easily surprise . happy pay handsomely little extra , tell something stay . broad smile laughter round leave , breakfast . however , unknown reason , everything else offer good , Palms kitchen can not cook egg order save life . companion send back three time . oh well , something give ... 
 Jun 19 2008 	 bad hotel experience 40 yrs travel . 	 go Burlesque Hall Fame Convention , Museum , Contest June 08 . women ' event , bad booking , hotel man , man ! room terrible lighting bathroom , mirror vanity table decorate brown beige wood . store downstair make - up , toiletry , nail supply , bobby pin , brush , nothing woman ! go Wal - mart everything . the staff consistently extremely rude downright ignore anyone not 25 , white , and/or male rich . many young woman convention tattoo elevator call & quot ; freaks & quot ; & quot ; beautiful & quot ; crowd loud enough lady hear . drunk rude Frat boy keep insult , push , etc , one almost knock one 80 yr old legend ( like Tempest Storm famous ) bouncer style creepy 6 ' 2 & quot ; 230 # will not look eye security guy everywhere , not care we . expensive food worth , wound eat food court not want give money . be old , woman , white rich , stay away ! 
 Jun 16 2008 	 Nice 	 go Las Vegas March 2008 . stay 3 nights/4 day . although sunny go , ' m glad pack jean sweater . weather unpridictable change day day , cold first 2 day day 3 4 @ pool . let say something pool . . . . WOW ! be really nice . pool staff extremley polite . choose lounge chair , pay cabana . use lounge chair provide great time . light lunch pool good get little expensive . upon check - in receive 2 complimentary admission & quot ; Ghost Bar & quot ; . beleive 's 55th floor . place Vegas ~ dress impress ! nice upscale bar outside roof bar patio area great view strip surround area . bar tab hand though . fault 3 round drink two end @ $ 100 tip . club go stay Rain close . Moon open one night strip be not get back . we spend little time room ( expect ) . bathroom roomy . could storage space though . clothe bareley fit closet & amp ; drawer provide . end room double bed . end sleep ( dismiss housekeeping one day ) . bed comfy ! nice shade keep unwanted sunlight able sleep . tip housekeeping $ 20 entile stay . clean FAB job ! walk polite , ask enjoy stay anthe special want room . kinda go beyond bc neatest guest . sleep change quickley . restraunt ok . 24/7 cafe pretty good . buffett blah ! eat @ buffet 3x . breakfast , 2 lunch . food court Panda Express & amp ; McDonalds . good meal Vegas actaully @ Margaritaville Strip - inexpensive tastey ! casino part Hotel lot small thought would . stick $ 10 roulette ( $ $ ) slot . Maloof hotel ( owner Sacramento king ) expect world sport bar . nope . circular bar flat screen around . bar staff nice though . the Rio Hotel across street ( kinda ) , walk . . . take 5 min . go bowling @ Lucky Strike . great time ! oh movie theater @ palm also . nice . check 5 hour kill go see movie ! want tattoo Hart & amp ; Hunintion Tattoo shop . Kinda neat peek thru & amp ; see what s go . playboy store pricey fun go . palm store snack , drink bathroom thing might forget . overall nice Hotel polite staff . would not say overprice everything Vegas expensive general . 
 Jun 13 2008 	 favorite hotel Vegas ..... 	 use live Vegas ago wife go back 2 - 3 time year always try stay Palms . know local do not really go way go Hotel / Casino around strip would . people hotel nice , I ve eat 2 restaurant , club . last time go Vegas stay palm 3 night make mind go due stuff hotel ( since go time , pretty much see everything vegas ) . believe , hard . food court along fine dining , movie theater , large sport book watch game . leave hotel around midnight walk across street Gold Coast becasue $ 2.99 steak egg breakfast place eat Palms closed . stay tower stay regular room stay suite . great do not touch pick palm stuff room becasue charge , do not believe ... try . yes club cool expensive drink drink free casino go . stay many time long open . Peace Dallas . 
 Jun 8 2008 	 great stay palm return ! 	 return 4 night golf trip Vegas stay Palms . 4 guy Vancouver range age 34 43 . arrive hotel Monday 1 pm hope check two room . one room ready , big deal since want drop bag head course . time get back car , desk clerk see we inform we second room also ready . room original tower bit small side , clean bed really comfortable . bathroom actually quite large . casino also small side compare much big casino . however , group actually find plus since could go thing really look find . since week , never problem find table play blackjack . become noticeably busy Thursday weekend crowd arrive . pool great . problem get lounge chair mid afternoon . pool large center bar order food deliver spot . pool lively atmosphere relax time . also first midweek trip Vegas quite surprised find girl guy ratio 7 1 Monday Wednesday pool . pleasant surprise . Thursday afteroon ratio shift 60/40 guy girl . the Palms 4 separate nightclub premise . go two great time 's lively fun hotel , slant towards young crowd . mean young people . also strip actually plus we since car golf hotel easy highway access . book 3 night get 4th night free find Palms way beyond expect price pay . happy stay palm already plan return trip next year ! ! 
