give 	 spend Saturday night hotel , must say big mistake . a West end show , romantic dinner night great area London spoil hotel . although staff pleasant helpful , room tired / antiquated bathroom / pathetic toiletry / dirty windows / tatty net curtain / filthy window runner / mini bar ( 4 star London hotel ? ? ) breakfast awful ( hotel try charge , prepaid B & amp ; b term / bad stain carpet / basic bed pillow - miserable room . I sure Health Safety regulation , ever fire corridor outside room stay , occupant would perish window could open all- secure mean obvious screws window frame . 's hotel like give London bad name - room two star well - stay expect 4 star ! 
 Dec 11 2008 	 overall good 	 stay one night agree Irelandduchess , review - base - experience seem really tough hotel . the staff friendly efficient . they upgrade club room 11th floor , clean , tidy well furnished . ok couple small niggle , could get trouser press work bulb outside bathroom go , bathroom bit tired hey that s problem grand scheme . it quiet , one reviewer seem blame hotel fact hear conversation another room , well unless room soundproof cell hardly hotel 's fault guest loud voice . I would stay without hesitation . also great location shopping eat . 
 Dec 9 2008 	 beware train 	 average hotel .Reasonable location beware get room back hotel . yes convenient Tube station railway line run directly behind hotel . Noisy 6 am ! ! little recommend £ 180 per night . 
 Dec 4 2008 	 nothing special 	 room ok , clean comfortable nothing special . wall thin wake early neighbour , loud telephone conversation . location not bad , easy reach tube station 's great place eat . 
 Nov 30 2008 	 really good Hotel . 	 stay hotel 1 night november 2008 . read review , sound like totally differant place . ! ! ! welcome friendly helpful guy reception . room spotless comfortable . the location hotel brilliant , tube bus close . would definatly recommend hotel stay next trip London . 
 Nov 21 2008 	 tired need refurbishment . 	 & amp ; POB . aust . stay hotel nine day oct 2008 , good breakfast staff somewhat helpfull , side standard room tired rickity furniture a / c noisy not work properly leave room hot stuffy leg fall bed hand basin block . good enough Copthorne get act together , 
 Nov 18 2008 	 great value London 	 book hotel use priceline well expect however meet expecation millenium hotel . other say little tired need take care . price staff exceptional location fantastic anyone London . overall quite happy stay although expectaion bite high hotel brand . 
 Nov 8 2008 	 get bit tired 	 hotel start show age , although be still good value discount price usually get . reception staff efficient reasonably friendly . bedroom clean white bed linen nice fresh , bathroom shower curtain bit mouldy . the bar pleasant , although drink expensive . above , location extremely convenient - hotel short walk High Street , Kensington Tube plenty shop restaurant High Street . a good choice leisure business provide deal right . 
 Nov 7 2008 	 good ! ! 	 stay hotel numerous occasion , purely book company dread every occasion ! room tired dirty . carpet dire need change least deep clean , would certainly contemplate walk around barefoot , slipper must ! t.v least 15yr old dodgy control poor channel choice . reason temp room relate control room always far stuffy border frosty . bathroom poky shower / bath always filthy never drain well . reception area pleasant check - in proccess always painfully slow . ' gym ' minimal say least , half size hotel room 3/4 machine , a / c last visit . bar dining area ridiculously overprice , lack anything resemble atmosphere . know sound critical believe put continous basis would equally irritated ! ! positive hotel central location mean happily escape ease well spot ! 
 Nov 5 2008 	 good stay discount price ! 	 hotel look little depressing outside reception clean , service friendly check ( ) AMAZINGLY quick easy ! room clean serve 's purpose , like good 3 * 4 , location great - easy access tube . not sample bar food . would overly happy pay advertised price book discount price fair . would happily book ! 
 Nov 5 2008 	 Great Hotel 	 pleasant stay Tara . room clean service high standard . quite surprised see one p * * * channel ch6 , bit naughty be stay child . one gripe , 4star hotel feel necessary water orange juice ? 
 Nov 4 2008 	 pretty good hotel get good price 	 get good deal hotel priceline , concern read review . first , location good . other note , less 1 - 2 block Kensington High Street tube station ; convenient anything central London subway . second , hotel amenity ( restaurant , bar , room item ) adequate . room furnishing relatively old ( probably early 1990s decor ) , room clean even bit worn . third , desk staff friendly helpful . first room get twin bed , want double . ask desk could switch . clerk say double clean moment , guess would hour . go coffee Kensington / High St. come back already arrange room swap . nice . if be expect 4 star hotel , definitely . would rate 2 1/2 star property , value location London , get good price ( $ 130 / night ) , would recommend . be picky friendly service clean room good area , perhaps hotel you . M 
 Nov 1 2008 	 Air line love . great location ! ! ! 	 go Priceline $ 95.00 plus $ 42.00 fee . great location well worn hotel . a / c hot water pipe running room . window not open ! ! tell staff problem 3 time response . could not turn heat ! 25 year old hotel 's guest asian air line crew . breakfast $ 44.00 . outside leave 2 block McD 's coffee $ 5.00.doorman ignore we came door backpack wheel suit case . get popular relative room , location worth it . you walk Paddington u - stop . 4 minute walk.v . 
 Oct 22 2008 	 Pleasant Stay 	 hotel great , especially read review hotel London . book via lastminute cut special offer . sell four star classify good three star . staff nice , room clean quite . position near tube . remark room service , since food good quite expensive . breakfast also expensive since find room nearby hotel great pie . 
 Oct 20 2008 	 central 	 Booked Priceline price £ 70 per night room . Priceline claim 4 * like 3.5 * would say . breakfast £ 15 per day forgot charge we 2 day ! brilliant value money safe central location . little niggle stop give full 4 * would happy stay £ 70 per night 2 people . 
 Oct 15 2008 	 Overpriced Hotel need refurbish really 2 Star 	 stay Club Level often room get grotty mold window ceiling beginning fall onto carpet also bad odur . bathroom wear see rust bath old anyway . seem penny pinch everywhere club lounge laugh really nothing line snack get drink free 6:45pm 8:15pm mean drink one drink poor chap time get back already 8:15pm tell late laugh club lounge nothing look 4 star hotel see run club lounge pride really make guest fall looked make feel like begger . company pay insist stay pay family would book elsewhere . 
 Oct 14 2008 	 Nice Lobby / Grotty Room 	 spend 2 night business trip hotel Oct ' 08 . like review state lobby etc nice staff quite efficient . conference facility hotel good ( Capita Conference ) . room let though . horrible net curtain not wash many month , bathroom awful . bed clean though side . also , chinese restaurant excellent , room service good location superb Kensington High Street 2 min Central Line . 's pity room rest pretty good . 
 Oct 5 2008 	 great stay Copthorne Tara 	 mum stay Copthorne Tara Hotel September year eight night . location hotel really wonderful , 300 metre Kensington High Street . 's really lovely area London , pretty upmarket . shop high street mainly fashion store boutique . Marks & amp ; Spencer close hotel Kensington tube station also within close walking distance . cab rank across road hotel , always easy get cab . cash machine lobby coin operate computer cafe . the room clean comfortable , bit shabby date . bathroom really clean shower good . the staff helpful friendly always plenty around . on side , wifi ten pound day , room service average overprice . overall , really enjoy stay Copthorne Tara Hotel . 
 Sep 25 2008 	 pretty decent stay 	 stay one night ( ) check 24th September book hotel Priceline . want hotel near Olympia 5 - 8 minute bus journey towards Hammersmith . I actually arrive 1.00pm 3.00pm , greet friendly lass reception check system , say & quot ; problem check early sir & quot ; get room 6th floor . arrive room pleasantly surprised . Carpet appear quite new room not look bad . everything seem clean check bathroom find towel good quality . perhaps get one well room smile nicely lady reception find help know dodgy room . my room overlook edge High Street Kensington tube station noise train faint murmur . fact think whole hotel quiet seem little noise corridor outside door wonder many people stay . anyhow personally would stay although partner would take offer club room upgrade £ 40 per night include breakfast , evening drink free entry gym . 
 Sep 14 2008 	 okay problem like MOLD wall hotel room ! 	 Decent hotel identity crisis ... lobby & amp ; restaurant area modern pleasant ... 3 - 4 - star sure . room pleasant : mold wall ; grungy , institutional bathroom ; batter furniture ... dump , short ... 1 - 2 - star good . review basically state thing accurately . location great ... ton good restaurant within five- ten - minute walk . two - minute walk Tube station . 's safe , functional hotel , definitely luxurious property - event close . staff helpful . able check - in 10 am , much appreciated . ' m sure recommend property , serve purpose we okay . 
 Sep 14 2008 	 Great Location ! 	 return long trip Africa want spend couple night London way home . Sept 11 - 13 , 2008 find hotel need . one large room 11th floor ( upgrade we free arrive ) . not big room sure small room . really sleep check town time . perfect purpose - clean , quiet convenient . can not comment service hotel not use anything . would stay . location really perfect . short block Kensington High Street Tube Station . take couple left come find . 's close Kensington Hyde Parks Tube Station right get anywhere quickly . we take recommendation other site go Muffin Man Tea / Coffee House around corner breakfast morning . lovely . Brittania Restaurant closeby wonderful well . 
 Sep 9 2008 	 Great Local 4 * 	 recieve great price via Priceline , know would get hotel base bidding post , little concerned review site , overall experience good would book hotel ( assume deal Priceline ) . great location , actually see High Street Tube station hotel . friendly staff . small , clean room . powerful Shower . one thing though , hotel 4 * priceline know well even list . would put 2 1/2 star , $ 80 / night US , well worth . 
 Sep 8 2008 	 pretty good ! 	 husband really enjoy stay hotel . book Priceline get good deal , not sure expect first . get clean , non - smoking room high floor - complaint ! bed clean comfortable , enough room lie luggage thing . bathroom bite date , functional . area really nice , close shop , tube , Hyde Park . would stay ! 
 Sep 6 2008 	 Overall Good Hotel great location 	 hotel 3.5 * hotel . ' m round up . I ' ve stay hotel two separate visit . times family . like hotel 's convenient proximity tube . 's little outdated inside outside . 's breakdown . hotel : hotel somewhat classy look lobby adjoining bar , gift shop restaurant . also include tourist desk buy ticket currency exchange kiosk . complete package tourist want see London . room : room decent . nothing special . room odd smell . smoke room especially bad . even non smoking one odd smells notice enter . bed ok air condition work fine . fridge safe . typical hotel room . 4 star room mean . Staff / Service : staff part good . people guest service / concierge great helpful . other much . night staff feel well . offer internet small fee ( 1 pound 20 min ) . use business center one computer , printer photocopi free . location : hotel good location . located street High Street Kensington station & quot ; posh & quot ; area . 's big street , may difficult find first . locate next station 's track . could barely hear night disturb anyway . 10th floor may played part . Kensington area nice area . shop abundant around area well restaurant . also Big Bus Tour , stop 5 min hotel . hyde park close . major attraction not area , 10 - 15 min Underground ride away . tip : want change restaurant food , grocery store Mark 's Spencer ( low level ) . be complex next Underground station . find pick sandwich , water , fruit snack family . price good . also lunch deli . conclusion : overall good hotel great area . get deal priceline , 's hard beat price location . not expect 4 star room . like say first sentence , overall close 3.5 star 4 . 
 Sep 5 2008 	 Copthorne Tara - not bother unless get Club Room 	 Copthorne Tara like two hotel one roof . misfortune stay standard room second floor January year . complain room offer chance upgrade club room . club room much well ; room 10 - 12th floor great view London . bathroom little dated room comfortable spacious bed comfortable indeed . club room come free access nice Club Lounge serve complimentary drink snack evening 18.45 20.15 . also get complimentary continental breakfast throw room rate . pay extra full english Breakfast ok - buffet reasonable selection pastry , fruit cereal , however , cook breakfast little lame buffet style take plate member staff fill ! hand cook breakfast meal token . remind go get school dinner ! say , scrambled egg excellent : - ) club room also come complimentary internet via network cable . , could recommend Tara secure club room . opinion , standard room standard average Travelodge , definitely worthy 4 - star hotel .. underground car park hotel rate £ 20 per day seem reasonable location . personally , would happy stay club room Tara . 
 Aug 29 2008 	 complaint 	 book hotel Expedia day travel . little wary reading review , one night great . room second floor , clean plenty space 2 people . stay long would concerned heat , air conditioning ! ! not breakfast , can not comment . use guest service leave luggage check friendly efficient . overall staff check in / out friendly helpful . for price pay - £ 95 room would stay , convenient tube 
 Aug 21 2008 	 hate HOTEL : Filthy date nonfunctional every level . 	 idea type 4 * hotel reviewer compare hotel review . shock anyone could say anything positive hotel convenient location . hotel rank one bad ever experience twenty year go Europe , certainly bad representation hotel rating ' ever see . millennium chain owns generally run pretty nice property ashamed . hotel 2 * best , even 2 * , offer free stay , would stay learn clean well . ' give less 1 * independent rating agency . beyond , earth hotel gain 3 * 4 * rate various agency . must specific set room set aside show organization go hotel . experience three different room hotel , final one " club level " room , show another two . club level room marginally acceptable room initially give , still find much good say hotel . Positives1- Location great , close Underground station.2- single fantastic manager ( Joshua , believe ) go way try deal guest complaint , constantly page run around , rest hotel staff could care less . another reviewer note , people interest repeat customer . provide cheap room via priceline , hope low price people pay make else wrong place . single hardworking manager well move we well room last night , appreciate effort , much could do improve view property . feel bad weather brunt nonstop complaint Millennium ' bother fix thing around hotel least revise hotel rating ! negative : filth . one dirty hotel ' ever stay . carpet three room experience well other show absolutely disgusting . endless sticky stain , carpet often tear region , dirty spot vacuum ' reach instantly must allow clothing drop floor . bathroom hotel well clean . first room towel big yellow stain , use towel . hand housekeeping supervisor could instruct staff avoid " similar issue " . replacement towel wear thin use , hole . earth people put towel guest ? flimsy shower curtain tear stain two room . absolutely convinced bedding hotel clean customer , clean properly . one pillow one bed room reek rise water perfume , clearly remnant previous guest , another pillow another bed disgust hair - oil smell . truly feel assaulted odor emanate bed first room various stain bed enough make one lay layer clothing sleep upon rather expose bedding . stain various wall various room disturb many level . clean stuff ? desk ' response complaint : absolute nonchalance . apologize , ask ' like do . happy show room , little improvement term cleanliness regular floor . final room , upgrade " club room " least linen smell . age : furniture room ancient , normally problem keep fine condition . every single room , however , include call forty pound upgrade " club room " furniture chip disturbing degree , break . truly shocking stay hotel room furniture look like . rarely 1 * hotel US , Motel Six , Econolodge , even random highway motor inn see furniture shabby state . rest room much well – every room black chip tub , sink , break bathroom tile . incredible much damage one could see five room . LACK FUNCTIONALITY : room nothing little ' work . safe , iron , amenity . two four lamp room function . tv remote function . final straw , result final utter meltdown absolutely nonworking shower , water could switch tub shower . air temperature control archaic . AWFUL BEDS : ' already disgust filthy bedding room . quality mattresse bad guarantee backache next day . mattress sink kind weight 100 pound manner amenable form comfort . ' even want look mattress cover see state filth ' find . HORRID NOISE : wall paper thin hear everything every room proximity . even bad , side train run , pleasure rattle passage every 10 minute . STAFF : ' rarely see staff exception particular mentioned manager could care less guest ' complaint concern . quote get " ' know standard United States , ' use polish standard " – type person desk . resentful expectation guest , seem imply hotel present state acceptable except United States . desk person stare blankly , unclear . bell staff job well , spend day log log luggage guest ' check , room ready . other location , hotel nothing recommend . avoid hotel condition , cost . stay 4 * hotel London – hotel belong category , even category , free stay - worth . 
 Aug 13 2008 	 average 	 slightly shabby room generally ok . first give smoking room floor 3 whole floor stank smoke . change room rather grudge . none window open bit frustrating least air con work . great location 2 min walk High Street Ken tube . 
 Aug 12 2008 	 great location great rate Priceline 	 ' ve stay Copthorne Tara least four time , win bid Priceline , recent August 2008 $ 90 per night plus tax . ' ve never complaint stay . perhaps be 4 * hotel believe 's heck lot well get pay $ 100 per night without use Priceline . I ' m demand traveler , like hotel room clean , bed comfortable , hotel convenient site public transportation quiet night . Copthorne Tara fulfil requirement . check quick , maybe 10 minute . room prepay not charge slip key box front desk way . request room 2 bed request note computer honor . able add cot one kid another person join we mid stay . the High Street Kensington tube 5 minute walk , Marks & amp ; Spencer food hall , Tesco Metro Whole Foods within couple block Waitrose within 10 minute walk stock breakfast supply . lot dining option nearby include branch Strada , Wagamama , Giraffe , plus couple Maroush chain - Ranoush Juice Randa . the room hair dryer , a / c small refrigerator great storing drink , yogurt , etc . believe 's iron board 's teapot tea room . I ' ve stay twin room double room , room separate faucet hot cold one faucet . room decent sized , night add cot one room pull small table out . toiletry shampoo , bath gel bar soap . some room face tube station ground point although could hear , noise not terribly loud . 's popular hotel tour group airline personnel . the complaint visit hallway smell pretty bad 6th floor . 
 Aug 11 2008 	 Great Location ! 	 stay hotel twice location perfect . right center high street Kensignton , 2 block tube . hotel pack time . lot tourist crew member stay . service good . staff member deal friendly helpful . room ok . become little old , bathroom aswell , however acceptable clean . bed comfortable price reasonable relative location season . would recommend hotel convenience location mostly comfortable stay , however recommend look luxurious stay . it would great hotel however plan outside building room renovation . ... good stay ! 
 Aug 4 2008 	 ok - good bad 	 Copthorne Tara look great website , shiny well look . looks walk . lobby well look give good impression . shame room . stay 2 room look bit old tatty side . furniture date , bed comfortable . check give smoking room ( have request non - smoking ) - stank heady mix cigarette air freshener . ask change could not first night . change however second night . second room look worn , least not smell . say though room clean . not eat hotel - close Kensington High Street option can not comment faciltiie . staff however great - efficient polite . term location hotel great , price get fair area London even room look well . 
 Aug 3 2008 	 location can not beat ! 	 book hotel priceline reading review , slightly nervous . must say experience great . think expect worst , allow overlook thing . namely fact hotel American four star hotel ... likely american three star ... either way , hotel room clean , room bathroom . staff helpful friendly . front desk staff give excellent direction need use internet send message friend suppose meet , allow use & quot ; penthouse & quot ; computer charge . good thing Copthorne Tara 's location . locate two block Kensington Tube Station High Street ( NYC Fifth Avenue ) . travel alone , tube stop run , 1 a.m. every night / morning , feel comfortable get back hotel . easy get back Hotel day drop package grab snack . ( Hotel also walk distance Harrods Department Store , Kensington Gardens Natural History Museum ) . certainly need take cab must say , London 's Tube good ' ve experience . New Yorker , nice know exactly time next train would arrive ( digital sign ) . extremely accurate . ' ve post picture well ... hope help . 
 Aug 3 2008 	 Definite comfort great neighborhood . 	 rather enjoy 4 night . hotel great neighborhood plenty shop near tube station . fabulous room service 's delightful breakfast / lunch cafe street call Muffin Man highly recommend . desk staff not much assistance , actually seem bother approach . book Priceline get pretty good deal , $ 150 / night can not complain like other pay . room great , location perfectly comfortable . 
 Jul 24 2008 	 Nightmare ! 	 terrible service -- night manager completely rude . far late leave without charge , one night stay , will never use property . carpet room dirty could not take sock . avoid place cost . many , many property area price range , clean room human being run . 
 Jul 22 2008 	 good hotel 	 good hotel great location near Kensington High Street shop restaurant . also close tube station . judge car park neighborhood ( Lamborghini , Audi R8 , Aston Martin name ) be locate pretty upscale residential area . the room good , clean condition pretty nice . great bonus ' ve replace minibar regular small fridge . buy breakfast food Marks & amp ; Spencer food hall next tube station store . also waterboiler tea set eat good cheap breakfast room every morning . two restaurant one cafe premise not visit can not comment they . the downside close tube train run overground right next hotel make noise . be light sleeper though bother . really negative thing paper thin door join room one neighboring room ( locked course ) . even 1 cm gap could see neighbor light . couple day due leave american couple check room go bed somewhat loud could hear room . time difference keep we till 1am night . think not realize disturb we could hear we next day next day be much quiter . all , be pretty good hotel would recommend stay . 
 Jul 21 2008 	 Nice Hotel perfect location 	 return weekend break London stay Copthorne Tara Hotel Kensington fourth stay Hotel & amp ; good well previous visit reception spacious welcome staff polite & amp ; helpfull . bedroom huge clean & amp ; comfortable breakfast Hotel always hot & amp ; plentifull staff work hard ensure plate take away & amp ; hot drink replenish . Kensington High Street tube station minute walk away well get day pass give unlimited use tube & amp ; bus travel . many shop & amp ; cafe High Street nice place eat Balans serve fresh food perfectly cook mean cocktail ! food court 1st floor Barkers Arcade sell everything jacket potato oyster & amp ; champagne & amp ; reasonable shop sell evey type food could wish . good hotel nice area can not wait next visit ! 
 Jul 20 2008 	 nice hotel nothing exceptional though . 	 price pay , guess not really complain anything . pay £ 100 plus 1 night stay , would not happy . stay well 4 star hotel london price range . 3 star hotel . positive - location 5 min walk tube station , shop , eat place great rest london.friendly staffclean hotel roomslovely reception area liftsinternet access room not use , also fridge use room . Great london budget , since hotel not offer breakfast price . negative ( well really negative , grumble ) breakfast provide part price , extra want it . the room tired looking date , finish not high standard . room 10th floor overlook station . noise experience train overbearing . light sleeper , avoid ! overall , can not go wrong hotel . however not stay standard price charge - simply worth money . 
 Jul 13 2008 	 slightly average price range 	 price reasonable - 100 pound night two twin bed . room average size bathroom bite average London hotel standard . room nothing fancy furniture generic particularly nice room clean important we . bed fine . nothing special certainly passable . staff friendly helpful . take overnight flight London New York arrive hotel 10 check we right away . much view room location fantastic - three five minute walk Kensington High Street tube station ten fifteen minute walk Gloucester Road Earl 's Court tube station . restaurant pub hotel okay would recommend explore neighborhood bit less tourist saturate locale . hotel also small cafe internet terminal reasonably price . television service terrible not stay watch tv . gym small bit expensive . would recommend someone budget still want something bit well easyhotel / daysinn type place . 
 Jun 30 2008 	 Great Hotel 	 book hotel Priceline . never use Priceline read mixed review little dubious expect . say fantastic . staff hotel helpful polite . although check noon able leave bag hotel service whilst spend another day London pick leave home 7.30pm room clean comfortable shower powerful . mini bar fridge great keeping milk extra tea coffee . gentle rumble underground station could heard room , peaceful position friendly staff fantastic value far outweigh slight inconvenience . would definitely stay hotel . great value , great position , great staff . 
 Jun 22 2008 	 hotel think 	 ok lot good thing Copthorne TaraLocation quite good - plenty bus service underground ten minute walk away . always plenty cab adjacent rank . check quick , pleasant efficientbig bed , good range complimentary toiletrieshigh shower pressure - admittedly 2nd floor . work tv half decent range channel 's 2008 - hotel suppose 4 * standard fully available Sky range channel tv remote mind own . the work area good although power socket floor level - need upgrade . ( Manager - check Marriott Heathrow good layout ) GBP15 WiFi - come ! - know 's London hotel charge go vodaphone store g3 USB kit . stay often London hotel pay week . there also empty fridge - well donewho need expensive hotel room mini - bar fridge ? main cocktail bar near reception good , excellent range beer , pleasant bar staff fast sandwich serviceBad thingsthe wall room adjacent room paper thin - least could hear virtually every word exchange couple next room - sorry 242 238 ? heating/ cool system ancient make bang noise . and bane life - hotelier stop provide bath ( instead stand - alone shower ) old less agile guest climb shower curtain wrap round . anyway not time hotel instal bow curtain rail hold darn thing away water ? ? ? Mr Manager - stay overnight room 240 sometime soon 
 Jun 18 2008 	 Superb Location actually quite good hotel ! 	 book Hotel Priceline get superb rate London hotel . admittedly would not pay full rate that s reflection Hotel , price London ! little dubious read previous review need . mean state check 3 pm try early chance get negative response ! find staff deal curteous , polite professional . even Bar staff remembering previously order return bar , small detail go long way . my rate not include breakfast due schedule not eat hotel can not comment food . our room Mezzanine floor quite basic appearance everything need clean . shower excellent , good water pressure temperature . room air - condition weather humid great help . this hotel benefit excellent location . 200 yard walk Kensington High Street Tube Station Central District Lines . mean Theatreland 20 minute away 1 train change . consider busy area room well insulate outside noise would never know tubeline run overground short period within 30 meter building . 
 Jun 12 2008 	 overprice need facelift 	 could check 3 pm , unhelpful reception staff . when check could get non smoking room , even though book well advance specify room require . we stay fith floor whole floor strange urine type smell . complain smell nobody slight interested , poor customer service opinion . the bathroom need refit least bedding clean . at heafty £ 120 per room ( breakfast inc ) would recommend hotel anyone . poor value money . 
 Jun 9 2008 	 great hotel ! 	 hubby stay first trip London . get teh hotel Priceline name price . end pay $ 100 / night place . hotel great . close tube stop ( well locate tube line ) well restaurant , shop huge grocery store . outside , building looks date inside nice . lobby look great computer internet ( fee ) well little cafe ( great food great price 1.25 pound huge muffin ! ) . also good restaurant serve chinese food ( good ) . write email hotel trip request room upper floor update . check - in ( 3 pm though ) get nice room . 2 twin bed comfortable ! ! ! room seem small bathroom fine . even fride free leftover grocery . conceirge quite helpful . really enjoy stay . 
 May 29 2008 	 fine - clean comfortable safe affordable great part London 	 seven year since stay hotel , note improvement . stay second floor room refurbish . clean , quiet , comfortable . hotel package offer full breakfast , fine . service staff encounter ( front desk , bar , breakfast , concierge ) polite , fast efficient . hotel great part town , close tube . I would reccomend . price 123 GBP include VAT . consider pretty good rate hotel part London . 
 May 28 2008 	 Convention Center Hotel : Good Groups 	 stay hotel w/20 business colleague 3 night . hotel great location Kensington High Street close Tube . 20 min walk Knightsbridge Hyde Park . beautiful area . guest room date clean . lot brass floral print huge hotel . lobby unimpressive -- feel like convention center hotel ( lot airline staff , international travel group , bus , etc ) . breakfast include rate . decent cold buffet set bar ( full working bar evening -- rather odd breakfast ) . guest must pay small fitness center ( , tiny ... maybe 5 machine ) .hotel clean- mediocre stay- definitely worth price- value - drive . not stay want something impressive ... hotel mid - level ... fine business travel London budget . 
 May 26 2008 	 bad 	 read negative review pleasantly surprised . decent hotel especially half price pay priceline . 
 May 26 2008 	 double book room extras worth ... 	 wife stay weekend break , initially please happy pay access premium bar etc , return evening begin realise gloss fading ! go premium lounge , find every table litter dirty cup glass available drink pay for . go bed wake 5.45am irate man give room demand leave ! . contact reception say double booked room sorry confusion : - ( check offer reason apology . the room 11th floor look tired , paint plaster come away window reveal . the room smell ok ( air freshener ) arrive upon return later smell musty . very disappointed hotel , seem rely high turnover short stay return custom consideration . 
 May 23 2008 	 good base value London hotel . 	 location excellent -- 2 block Kensington High Street tube station . hotel ugly outside nice inside . room comfortable , especially compare european hotel stay . front desk staff nice let we check room 2 hour early . concierge helpful direction . boot Whole Foods couple block away High Street . great coffee shop way ( Caffe Nero ) breakfast couple time . Marks Spencer near tube station also great place get food take back room . . 
 may 17 2008 	 Excellent location - room tired ! 	 Location parking excellent . lobby , Bar etc excellent . room adequate , desperately need refurb . way room 4 * . reception staff disappointing . request extra pillow ( simple request ) . ten hour later , return theatre - extra pillow . 
 May 16 2008 	 reviewer must stay different hotel ! 	 daughter spend 4 night Copthorne Tara think nice . room top ( 12th ) floor nice view , clean comfortable , good bathroom . concierge service pleasant efficient , breakfast good , location convenient tube station shopping . buy food Whole Foods couple meal room , save money energy . read recent negative review , really wonder stay hotel . suggestion : sign tour city , recommend take . 11 bus Liverpool Station Chelsea . tube pass , use bus well . bus pass Picadilly , Fleet Street , St. Paul 's , Trafalgar Square , Westminster , Sloane Square heart Chelsea . get spend day virtually expense . 
 May 15 2008 	 clean quiet great location - fabulous ! 	 book Priceline 's UK site , think Americans get far well deal cost £ 61 night include charge tax - far price quote here . the location perfect work Royal Albert Hall couple night , couple bus stop away . High Street Kensington short walk hotel . I request quiet room impress quiet . stay another hotel London last week get much sleep due constant noise outside window ( break window ! ) impressed room , read review concerned . quite particular complain feel need , everything great highly recommend hotel - long get good price . 
 May 13 2008 	 good location fair fairly good hotel 	 second time ' ve stay , evidently room much nice clean other . room previous trip large , clean , great view . book priceline decent rate , can not complain much , location excellent , close tube , shopping , supermarket , etc . however , another poster state UK hotel notch USA standard . hallway hot smell musty . bathroom room not clean properly , towel small fade stain . sink drain slowly . London standard room decent size , fridge nice option plus tea / coffee maker , iron , hair dryer , pay internet access , temperature control , medium size tv , fairly comfortable bed . furniture decoration bit date worn , horrible . book decent rate , be worth consider , otherwise maybe . 
 May 12 2008 	 great value Priceline 	 husband use Priceline name price deal get great deal hotel . happy location good neighborhood close subway station . subway London easy use get town use . buy unlimited day pass good option . hotel also within walk distance Kensington Palace Hyde Park . room fine clean . not eat restaurant drink bar . staff nice even allow we check early . overall , happy hotel price amazing London . 
 May 8 2008 	 50 pound night ...... LOVE ! ! ! ! 	 Booked hotel pl bid 98usd night 1 week ..... parent come us 2 separate room queen bed . ( read review see London experience .... far 10 compare other ) every time stay London , feel like pay extra everything , stupid weight sensore mini bar etc ..... hotel like .... room mini fridge totally empty , coffee maker free tea coffee every morning , wicked location ... one half minute tube number nine bus take picadilly 25 min ... shower like get blast power washer ton hot water boot ..... guest service amazingly helpful everything .... downside check morning .... non - british buffoon name Volton work checkout person front desk give major attitude ask could please help expedite checkout not want late gatwick express .... probably well idea check night sure wee hour morning staff not well verse english public relation ..... grab hotel priceline ... glad 
 Apr 25 2008 	 Tara scratch 	 stay Copthorne Tara one night travel London Isle Man business . choose hotel grade 4 star . arrive mid day check . keen high hotel mention clerk . assign room 10th floor ( 12 ) say hotel full . travel lift , get hot hotter arrive 10th floor , heat like sauna . got room even air - less hot , also cramp . hotel serious need refurbishment looking tatty . not want stay particular room go back lobby speak another clerk amazed put 10th floor . minute change room low floor ( mezzanine ) kind disabled room - problem , except smelt urine could clean well . dinner night , eat hotel bar restaurant not want asian food night ( choice site ) describe food bland colour taste would understatement . credit , management receive complaint graciously offer we 50 % discount meal , accept . felt complain food reflect 4 star badging . staff courteous good resolve issue . summarise , disappointed stay would recommend choose stay . 
 Apr 18 2008 	 nice feel slightly rip 	 London wife 2 year old son , not right trip $ 75 night hovel Bayswater Road share bathroom . decide spend extra money get decent room we . book room $ 160 night Priceline- not much hotel London , admit . the hotel nice , need say hotel standard England serious notch average business hotel America . not get , really , show find normal policy marry couple two twin bed . call picky , ' ve dorm 20 year not sleep twin bed anymore . get queen sized bed , pay additional $ 40 night upgrade & quot ; junior executive & quot ; package ridiculousness . $ 40 get bed could sleep , free internet room ( not work ) , paper choice deliver morning ( choose Times never come whole time ) free continental breakfast executive lounge ( muffin room separate guest ) . early trip stay Hilton Holland Park cost less provide well level comfort service- train underground station rumble room day night . Copthorne Tara would suitable business person trip , not great family . 
 Apr 15 2008 	 get cheap maybe 	 positive , location far Kensington High Street Tube location . uphill walk ( 6 min ) hotel station moderately difficult drag baggage . they also allow we check bag check check -- useful travel train . a final positive -- really thing make stay worth -- price get priceline . even fee horrible exchange rate ( 2:1 ) , manage book two night around $ 100 / night . unfortunately , reception staff cold unhelpful -- nothing like ride train night Edinburgh deal couple unsmile , unhumorous , zombie - eyed staff . we give & quot ; priceline & quot ; treatment ( 20 minute wait room & quot ; clean & quot ; even though near 6:00pm ) put room first floor lovely view tar blacken roof build next door . room small 's age evident throughout bathroom furniture . in place stay Europe , one stand one least enjoy . ' m sure get pay full price , priceline customer perspective expect equivalent motel room money ( albeit pretty good location ) . 
