Beijing 	 march 2009 stay Beijing sleep Forbidden day Beijing . the place center city , nearby Tienanmen Forbidden City . this hotel good - clean staff quintly . when go back Beijing absolute stay hotel . 
 Oct 25 2008 	 usual day Inn 	 believe stay many day inn around California well ever . usual day Inn quality like 4 star hotel . the hotel other describe tripadvisor . convenient location - 10 min walk wangfuje Tiananmen ; 5 min walk mtr station ; bus stop right corner hotel take way directly olympic park - ask guy front desk happy help you . we book hotel website 2 bed room , actually price 1 bed superior room . already specify arrive late , get 11 pm . check fast easy , hassle . give we room 3rd floor , get already tired heavy luggage ; enter room , find 's 1 bed . go back loby ask 2 bed room ( ' m travel mom ) . show we another room 1st floor close lobby say room nite , really small one u hardly walk put luggage noisy people walk back forth corridor . go back room 3rd floor front desk agree get we another room 2nd night . unlike review find room bed really huge ! ! ! plenty space thing like * huge * bathroom . actually put bed bathroom ! ! ! ( right actually think make bathroom small make room large ! ! ) see picture even large bathtub ( put 2 person ) use daily long walk everyday Beijing city 's perfect room couple ! guess every room vary , stay # 2316 tell get room prefer large one . love room tell rest stay . help front desk , since e know mandarin basically not ask arrange transportation , nice friendly . breakfast include room that s fine , would love trip local food around corner $ 20 rmb 2 person rather price hotel . 's dumple restaurant north hotel see many customer day Inn go breakfast . bed conformtable unlike 's comment hard , find bedsheet soft nice clean ! tv several channel English like CNN Bloomberg think enough tv , enough fed world newshave business center use computer $ 10rmb 30 min , laptop actually free go online room tho . provide wireless cable lan . slipper provide look drawer . there really really nice chinese style park right next hotel . day always get walk park sit relax see many local relax too . some hold back hotel : - one day try ask front desk guy arrange taxi we go dongzhiman ; 2 taxi always stand hotel ( see everyday ) ; hotel staff say go take taxi . go straight driver , refuse take we ( simply becoz distance far away ) tell we take bus hotel staff stand pretend know nothing . guess Chinese usually we . foreigner probably fine offer go jewelery shopping . not like , suggesst go street , take hand jump taxi , can not refuse be already sit inside cab ! - since hotel right next Hutong live local usually wake early - like 5 morning , usually talk loud neighbor sometimes bite noisy even not open windows- tv kind small comparable size room ; say , do not come tv , fine- enough light room , dim time . 's big problem not stay timeall 's nice hotel , definately stay . warn : - need 2 bed room , call ahead make sure get one 3rd floor . - not try stay 1st floor noisy . price can not ask . 
 Oct 10 2008 	 conveniently locate 	 convenient location near Forbidden City , Tiananmen Square Wangfujing Street . 5 - min walk Tiananmen East Metro Station . bicycle rent - useful Beijing monumental scale . note cheap web rate basement room . little small dark sightseeing whole day , will need clean place sleep . Breakfast also include cheap rate , lot place within walking distance . ATM machine lobby also useful . 
 Oct 7 2008 	 Close Proximity Tian'anmen . safe area 	 stay day Inn Beijing 4 day chinese national holiday week . definite plus point close proximity Tian'anmen Plaza Forbidden City . also , major shopping street - Wangfujing Street main street away . centrally locate historic sight 2 subway station make easy commute place interest like Summer Place . Temple Heaven direct bus no.60 outside hotel . night would guard patrol main entrance hotel , enhance safety . price pay nightly , good value location service offer hotel staff . hotel offer day trip reasonable pricing bike could rent well . enjoy stay thoroughly ! 
 Sep 25 2008 	 make China ... 	 location really good . room quiet . staff friendly . rent bike ( small mountain bike ) . room look nice . make China ... 2 year everything little bit run ( shower 's door fall , carpet dirty ) . service good : fix door within minute ... choose budget room like know room cellar , small window quiet wet . sure good health stand mouldy room . sum nice stay ( two much money ) . 
 Sep 18 2008 	 lovely hotel Great Location 	 stay day Inn hotel September 3 night . overall , pleasant experience . hotel great location , really central minute walk main site . room really modern big bathroom great shower - although bed quite small hard . Breakfast not include rate . pay one morning be not really worth price . 's shopping centre 5 minute walk hotel load choice breakfast cafe . word warn hotel Great Wall tour - stop Jade factory ( similar ) direct may well independently ( easy organise ) . staff hotel friendly helpful . internet access useful . 
 Sep 15 2008 	 Perfect need 	 book hotel website . arrive helpful provide information letter confirmation visa . arrive 6 pm provide hotel credit card detail secure booking ( nothing deduct ) . arrival , check quick show room clean . check take credit card take cost room 4 night well deposit . not actually put discover check - little confusing seem ok . ( 5 day later charge register credit card . ) book deluxe Queen Room . size room not matter , imagine would quite cozy 2 especially luggage . bed definitely double size rather queen . linen towel bathroom good quality appreciate . bathroom pretty clean stain corner not bother . shower great awesome pressure - something many hotel price range not ! provide essential toothbrush , comb , shampoo etc slipper closet . also safe closet find useful . room require put key slot operate electricity think great mean light air con not room use . air con effective little noisy first start . mini bar room drink chocolate minibar overprice comparison local price - still nice access . hotel provide free bottled water daily . there pleasant courtyard front nice area sit . beware mosquito night though ! one day actually leave camera accident realize hour later one maintenance worker hand reception great relief . really appreciate honesty . I would advise avoid hotel restaurant cost ! really tired one night order grill chicken burger get fatty fry thing almost inedible expensive . also , breakfast not include rate one morning pay 68y breakfast ok expensive . food mix western chinese food . the location good thing hotel - walk distance many wonderful sight Beijing . lovely little park walk reach Forbidden City morning local exercise there . overall would recommend hotel , would book website believe well deal site last minute . the photo hotel website true representation room stay - although rise petal ! 
 Sep 6 2008 	 Great Location Great Value 	 hotel great spot . near Forbidden City walk restaurant shop . near subway stop bad way get around . stay basement room . clean , nice basic amenity . complaint people loading brick truck 4 impossible sleep night . staff do not anything . maybe could not . decent buffet breakfast overprice Beijing standard . overall , assume contruction nearby do would recomment place . 
 Aug 13 2008 	 good place stay location - room well 	 first accommodation month long travel China . book direct via day Inn website check map , although take we long time find not expect road far apart China ( everything China big ! ) . location great though street away Frobidden City one side Shopping Street ( Wangfu Jin ? ) side . around 5 min walk . stay lower price room basement level separate building want light , might want pay bit extra . construction noise every morning seem dig front area build reason - apart , hotel locate main road quiet - ish . room ok aircon - first room air con break change we another room DIY man could not fix . bathroom separate slide door much privacy interior nice . staff reception could not speak much English seem norm every China still . have dinner 1 night restaurant - nothing rave about . overall , good price location right next door main attraction Beijing subway close . 
 Aug 12 2008 	 top european quality 	 stay week hotel surprised design , equipment cleanness . would great choice major european city - talk outstanding quality represent geographical context . locate perfectly center , still quite . 
 Jul 24 2008 	 love 	 spend five night May 2008 impressed - quite possibly nice hotel ' ve ever stay , cheap ' ve ever pay . book hotelclub.net site could find availability particular hotel date want . small print say check late , room would not hold we . realise have check time around midnight try sort hotelclub basically not care tell we contact hotel directly , , hindsight , give level english spoken hotel staff , probably would ' ve cause problem . anyhow turn midnight check without problem - reception staff friendly helpful . expect onward train ticket deliver sometime stay , helpful taking message us train company hold ticket us reception finally turn . speak basic english compare everyone else Beijing be practically fluent . the room good size , clean high standard - quite boutiquey like people say . nice bathroom gorgeous walk shower whole range complimentary toiletry soap , toothbrush intrigueingly name & quot ; lady bag & quot ; . also provide slipper - be drawer wardrobe tuck away behind bathroom door . not read never would ' ve think look . 's desk small kettle , coffee tea mineral water , flat screen tv plenty channel . the mildly annoying thing room bed ( yes , quite hard ) push wall 's two , one need crawl bottom . also , amazingly do room not window . exactly necessity mean not really know time morning , weather . breakfast extra 60 rmb really worth price , even be like funny thing hotel buffet breakfast . many chinese dish , baked bean ( hard strangely shape watery sauce ) , bread pastry , man omlette station happily fry two egg lot oil . not get til 9:30am time place mess - food everywhere lot thing run . shopping centre across hotel Wangfujing Street basement food court , plenty cheap breakfast option - supermarket , cafe starbuck . ( hint : be leave early , not count supermarket - not open til 9:30am despite right next rush hour subway stop ) other mention , taxi driver 's be not familliar hotel , know Beijing Hotel around corner . hotel set 's courtyard , walk onto street hail taxi , although hotel staff not mind , even pour rain . really rainy day even umbrella borrow - free well . also reception board post time flag raising lower Tianamen Square , well weather forecast next day . great location , 10 min walk Tianamen Square , wangfuje Street near subway stop . would definitely recommend . 
 Jul 20 2008 	 great deal 	 business trip Beijing , want stay day sight seeing , could not afford business hotel rate . hotel terrific bargain ! 's luxurious , location price right ! decide one cheap room basement level . read ahead time tiny basement window , not surprised . not know ahead time , probably would upset . go low rate could spend money touring . sheet clean new ( ' m picky ) towel clean . carpet stain , slipper provide . bathroom clean , need new caulking make look clean . the staff speak good service orient . helpful friendly . the internet cheap use ( 10 rmb 30 minute ) tv room quite nice . lots channel available . the location real reason book hotel . walk distance Forbidden City big shopping street well lot restaurant . happy make choice stay here . I book Hutong tour front desk . taxi pick bring Drum Tour . guide accompany pedicab tour Hutong stop two home . happy tour desk rather negotiate . tour , book personal tour guide could go pace . 
 Jul 18 2008 	 would pay hotel ! 	 love hotel . 's 3 min walk Forbidden city 5 min walk main shopping street . the room spacious modern clean . staff friendly helpfull . the hotel big , boutique . hightly recommend everyone . you book directly , remember negotiate price ! 
 Jul 15 2008 	 great choice ! 	 experience day Inn Forbidden City excellent . stay trip February , highly recommend be look reasonably price hotel decent amenity great location . arrive late night delay flight , cab driver problem find hotel , problem check . sure print address chinese character leave , cab driver speak English . copy paste chinese version website . many hotel staff also speak much English , always one person front desk proficient , never really problem . hotel far luxurious , clean , comfortable , free high - speed internet , fabulous location -- walk distance major tourist attraction . staff also helpful -- call cab come take back airport leaving , help daily itinerary book trip Great Wall . complaint follows:1 . hotel seem construction , cause lot noise , dust , etc . huge deal kind annoying.2 . book trip Great Wall , decide cheap option -- small group tour $ 25 full day include lunch . tell would include tourist trap diversion guide book warn , side trip jade factory & quot ; traditional chinese medicine & quot ; demonstration -- scam , essentially . , . frustrating detracted experience Great Wall , know would take place , would choose different option . wish Days Inn work legitimate tour agency . major complaint would still recommend people stay -- use book tour ! 
 Jun 24 2008 	 Fantastic ! 	 imagine well hotel money Beijing . first , be States , not think typical day Inn . be much like stylish boutique hotel . price - Excellent . 's five star hotel , be also pay 5 - star ( even 4 - star ) price . great deal money . LOCATION - Perfect ! right smack middle everything , quiet street , right next nice hutong . walk distance Forbidden City , night food market shopping street . arguably well location expensive 5 - star . ROOM - Small , 's Asia . slight stain carpet , not roll around . bed hard , not find bed China 's . modern amenity . breakfast BUFFET - Excellent . service - 's hotel skyrocket quality . service absolutely fantastic . almost everybody front desk speak English fairly well . everybody nice well - train hospitality . also go beyond standard service . 's perfect example great service hotel : moment leave trip China , laptop unexpectedly crash go coma ( thank , Microsoft Vista ) . since business , crucial bring laptop , need get run . Manager , Ricky ( assistant manager ) spend hour time help , ultimately help solve problem . last time hear day Inn even Manager ? excellent experience , hotel stay Beijing . 
 Jun 21 2008 	 good price / quality / location ratio 	 stay week May 2008 . great location , minute walk Tiananman Square famous shopping area - Wangfunjing Street oposite direction . locate next Forbidden City side gate . wanderful park path nice walk directly Forbidden City main entrance . English - speak stuff nice helpful . let organise visit famous place Beijing around . air condition room clean comfortable reasonably big bathroom . expect avarege breakfast Chinese Continetal food . huge advantage hotel free WiFi internet access ! pro : - great location- english speak stuff- free WiFi internet accesscon : - breakfast restaurant food could well ( limited food assortment ) 
 Jun 17 2008 	 good location nice clean hotel 	 hotel really quite nice great value . room well expect - large , nicely do . hotel staff friendly , bit busy english strong . location fantastic ! walk shopping ( west one block ) Tianamen Square etc . great little dumpling store - go main street turn leave . 's 1/2 block road leave . teh dumple menu chinese , great cheap - try luck staff help translate ( sort ) . two thing watch : 1 - hotel arrange tour , restrict offer anything beyond offer . instance , go two place great wall would arrange car day unless go one . later , want arrange performance arcobatic , become clear want go & quot ; sponsored & quot ; place , staff person ( Gary ) refuse help we become quite rude . , want anything outside select ( touristy / overrun ) attraction , make arrangement hand . 2 - lot taxi driver know location . , print map make sure know less . may improve time hotel become know . overall , great place consider price would stay anytime . 
 Jun 4 2008 	 Perfect Tourist Hotel 	 hotel year old point , real problem cabbie not know exactly not normally speak English . usually get close enough point , though . the room big enough comfortable , huge . live suitcase not seem enough drawer space . biggie we , might like . clean view third floor look hutong Imperial Archives . the breakfast include room include noodle , rice , fruit , vegetable , bread , cereal omlette bar . sometimes even french toast pancake . coffee good . the location fantastic tourist . Forbidden City Tiananmen Square short 3 4 minute walk , get walk beautifully manicure Imperial Gardens . the staff easy deal . book three tour , use affordable internet service . great time , credit hotel least part experience . 
 May 29 2008 	 hmmm impress Budget Hotel 	 decide hotel due price , location , ability go web site make reservation . make note reservation late flight check would 10 pm . use Credit card hold room . unfortunately do not read note , 2 room twin bed reserve arrive 11 pm . good thing tour package include guide van pick airport tour guide speak chinese discuss thing front desk . english good expect . end Budget room basement . fairly clean , dirty floor expect , clean tile bathroom . room small . enjoy buffet breakfast , price bit understand review , biggie , leave buffet get daughter come back , sip coffee eat , charge breakfast ... absolutely would happen language barrier . argue 30 minute , tend give . definately BUDGET hotel , get bearing , location close Tianamen square / forbid city , direction wangfuje shopping area . 
 may 27 2008 	 good hotel - avoid travel office 	 overall stay hotel excellent . good location , staff room . would suggest though avoid airline ticket office woman clue unable book simple Beijing - Hong Kong ticket two hour . walk around corner Beijing Hotel 5 minute hassle . 
 may 25 2008 	 could check - out fast enough 	 drive unappeale alley Hotel Taxi driver difficulty find . first room extremely small leave little room luggage . although bed make , wear carpet floor litter dirt tile bathroom floor dirty slimy . demand take another room describe vip room . & quot ; VIP & quot ; room , although slighlty large first room contain king bed , , rather queen bed first room , offer spectacular view rear local bar warehouse foot away . approximate 10 foot window adjoining building stack crate beer bottle , use unopened . guess that s call local & quot ; flavor & quot ; . girlfriend miserable ( ) night take ride visit friend stay nearby Howard Johnson Paragon Hotel . go Front Desk offer show wonderful executive floor room top floor include admission executive lounge , full breakfast executive lounge Atrium Restaurant , internet , etc . cost total approximately $ 90 usd per night . follow morning flee day Inn check Paragon truly wonderful stay total price ( include breakfast ) would pay Days Inn . advantage day inn clost walk Forbidden City , taxi fare incredibly cheap Beijing indeed China , do not even think stay day Inn . moreover , do not rely tripadvisor rating , unreliable hotel 
 May 15 2008 	 fantastic hotel English - speaker GREAT location 	 great choice mid - level hotel Beijing . room clean ( bathroom really nice ) . want explore city use room shower sleep , place . staff extremely friendly helpful . many people speak English Beijing .... always least one fluent english - speaker front desk . rate reasonable location ideal . close Forbidden city , Tianamen Square subway stop take anywhere city ! highly recommend hotel time Beijing . 
 May 5 2008 	 excellent location good rate 	 highly recommended . excellent hotel , good rate clean , comfortable , room . central location , near Forbidden City . Midway Tiananmen Dong wangfuje line 1 subway station . entrance west Naneyan Dajie , short walk north Dongchang'an Jie . 
 May 4 2008 	 great location good value 	 Perfect location site since right next Forbidden City / Tienanmen Square . 's also popular shopping street block east night market food . picture not place justice . low expectation place , book price . pleasantly surprised interior look like ' ve renovate recently . staff helpful arrange tour show we . 
 Apr 26 2008 	 great hotel budget traveller 	 must say price , location comfort beat . hotel new , look feel new , room nicely decorate understate . fast speed free internet connection , although might problem WIFI depend floor , always connect use LAN cable provide . hotel hard find thought would . 5 min walk everything ! ! ! ! ! ! ! hotel nice courtyard , great sit enjoy tranquility midst bustle city . book hotel regret . 
 Apr 8 2008 	 BAD 	 stay day Inn 5 night recentley must say hotel bad . location excellent , staff helpful friendly , good buffet breakfast deluxe king room superb . highly recommend hotel . 
 Apr 4 2008 	 Graet Hotel 	 stay hotel 2 week ago please . hotel great location , food excellent ( price reasonable ) room clean . also , hotel staff helpfull . they even arrange train ticket Xi ` less 3 euro commision . definetly recommend hotel great place stay Beijing . 
 Apr 2 2008 	 Bad Hotel 	 stay day Inn 6 day March 26 April 1 2008.our room little small side ( wev ' e big room HK ) adequete . toilet ponge little sometimes bad drain , general hotel okay . book Hotel review proximity , say general good decision . front desk staff helpful , particularly Sabrina , great command English happy help problem offer advice . breakfast buffett good value , waiter waitress efficient . hotel within walk distance Forbidden City , Subway Wanfujing Street . Outback Steak House locate inside Beijing Hotel five minute walk direction Wanfujing Street need really good western food . yes hotel live 's previous review , good value budget . 
 Mar 31 2008 	 name 	 not let name fool , unlike day Inn ' ve probably ever see . book trip Gate 1 Travel pleased . hotel brand new , open October 2007.the room modern furniture , flat screen tv , free high speed internet , huge shower , clean . location perfect ; minute walk Forbidden City Tienanmen Square . huge shopping center couple block away several authentic chinese restaurant literally step away . feel totally safe hour too . we hot american style buffet breakfast every day include omelet station . day inn back States omelet station ? always someone speak english staff super helpful request . honestly , hotel nicer many Hilton 's ' ve stay . would definitely recommend visitor . gripe bed pretty hard . not seem matter much long day walk see sight far softness go , bed bear similarity carpet floor . tip choose stay : Great Wall tour offer hotel . might want plan different one , pay cab take . two unnecessary stop see & quot ; tour & quot ; & quot ; factory & quot ; make jade pottery . nothing force shopping excursion ultimately limit time Great Wall . since hotel new , cab driver not know . hotel give card , will not help much . staff write major cross street card cab driver find much easy . 
 Mar 26 2008 	 nice place ... nice people 	 great bargain . yes , room little small take hangar clean , quiet comfortable . save money traveler check .. will go bank cash 's ATM hotel lobby give Yuang need competitive rate . tour people desk wonderful .. especially Sabrina ! suggest , however , get cab hotel .. run around Y100 . book hotel car y150.i highly recommend Li Family Restaurant make reservation least three week ahead . be call Li Jai Cai 11 Yangang , deshengmen wai hutong , phone [ -- ] . dinner run Y200 ( $ 28 u.s . ) y300 . wonderful . oh , want olympic baseball hat take home able get easily $ 1 Y70 . 
 Mar 25 2008 	 Problem Solving Staff Bargain Hotel 	 hotel problem definitely bargain . room little worn first room reaked sewage . friendly staff move we another room quickly could . front desk helpful almost everything . bed like boxspring mattress hear many room Beijing like . get taxi chance will not know hotel , drop around corner Grand Beijing Hotel . Forbidden City Tianeman Square within easy walk distance metro stop also close . see rate low $ 40 night web site , make can not miss deal . hotel book capacity book early . solid two half star hotel maybe even three book ( scale four ) . hotel mean luxurious flashy . 's good decent hotel fantastic location . may finicky hard please traveler . friend deluxe room definitley little nice mine . extremely pleased hotel bang buck . 
 Mar 24 2008 	 great little hotel ! 	 location : excellent- 5 minute walk Forbidden City , major shopping district , subway station . always easy hail cab well , even front desk want persuade ' book car ' them- not bother . room : new hotel , room good shape . bed typically chinese- hard ! free internet good thing , . issue hear room . be in - room safe , closet small . complaint hotel smell chemicals- like carpet glue something , imagine hotel new . open room window enough solve issue , though . also nice get free water room bathroom product get lot hotel China . service : issue service- english front desk quite good . say housekeeping , always manage creatively communicate . desk staff also helpful writing destination chinese cab drivers- would highly reccomend anyone travel cab . nearly impossible instruct driver otherwise . I would definitely recommend stay hotel . also book day Inn site manage get really good rate online . 
 Mar 23 2008 	 Best Choice Beijing 	 several option Beijing hotel - giant Marriott etc , chinese hotel , hutong courtyard - style place . we love idea hutong hotel , worry pick bad one ( one widely recommend seem permanently book ) . big hotel not appeal we expensive well - locate . we settle day Inn Forbidden City can not say enough good thing . price great ( $ 75 queen bed - not see cheap basement room , really , not ) location can not beat . hotel literally 3 minute walk Tiananmen Square Forbidden City entrance . 2 minute walk Line 1 subway ( Tiananmen East stop ) , 10 minute walk wangfuje shop street . cabbie trouble find ( hotel give card direction Chinese ) .room bit small bar fridge , 2 - person shower , snazzy vessel sink , flat tv CNN ( occasionally censor ; ) ) , AC , free coffee tea 2 bottle water day . the bed firm good way , linen immaculate . the hotel feel 2 year old , desk staff speak english , currency change machine internet access lobby , cafe great - but - pricey western breakfast ( love chinese food , be nice familiar breakfast start day , ? ) arrange car take we airport decent price too . book via main day Inn website , hotels.com etc , saving . note , though , map website website like Venere really wrong . north main East - west street subway line 1 ( can not remember name ) , Nanwanzey , east Forbidden City . map show west , near small lake , wrong . around corner raffle . 
 Mar 15 2008 	 location ! location ! location ! 	 stay deluxe room 10 - 15 March . find room comfortable ( though bathroom smell ) . staff accomodating- provide we powerboard wthat could use dvd player , phone charger etc ; turn radiator make room uncomfortably warm ; extra towel / hanger ... price pay ( 428rmb / nite ) , real steal . fabulous machine lobby convert major currency rmb , not worry enough rmb . rate get exchange usd rmb current reasonable . 
 Mar 10 2008 	 Good Feel 	 stay lot day Inn States feel first trip China would stay somewhere familiar , turn good decision find Inn modern room clean tidy , small complaint bed bite hard side , also fridge room , mind -10 outside place food etc window sill job . the restaurant good buffet breakfast good variety bacon , chicken sausage , egg station , toast muffin etc along standard chinese food , price good $ 10NZD , also could buy fill bread roll sandwich $ 2.50nzd.most reception staff speak reasonable english happy assit ever possible . I dinner small local diner 2 minute walk away , lot local eat , menu photo , meal waitress speak little english , plate pork rib , plate pork strip pepper , bowl Hot Sour soup , 4 bottle beer ( 500 ml ) friend cost $ 14.00 nzd.even though time sightseeing , people speak stay say close major place visit . all good visit certainly stay . 
 Mar 4 2008 	 comfortable Stay ! 	 hotel basic hotel , day Inn hotel . central hotel visit Forbidden City Tiananmen Square Wangfujing street surrounding . room small almost closet space . actually think not till move slide door . bed comfortable sheet high quality . serve great base hotel get around city . store around pick drink snack . breakfast cafe not think worth money . get little late , much choice leave . room think need small refrigerator , never stay hotel one available use . keep drink outside window order keep cold . front desk speak english well answer question . bathroom adequate size opinion . know say small , sink , shower toilet else need . also , heating system work well . room stay warm . actually close radiator couple time would get warm . nothing hotel , aware first store close hotel . store first one encounter exit hotel get street make leave . overcharge we twice drink snack til realize overcharge we lot . average price drink 3 - 5 buck . stop go walk across street store buy stuff . store drink window display . 
 Feb 25 2008 	 great little motel 	 great little hotel size Aussie motel . quite clean though bathroom seem bit worn . weird hotel relatively new . least one staff member speak english female staying always feel safe . small restaurant , make decent coffee . breakfast basic filling offer mix traditional chinese food western produce , loved dumpling . location wise 10 minute walk forbid city tianman sq . also 10 minute walk one large shopping mall still stand hutong . hotel provide address card never problem catch cab hotel unless course cab tried use metre . way illegal . it basic clean hotel expectation will not disappoint . area could benefit teach staff english particularly olympic around corner . small fridge room would not go astray . 
 Feb 12 2008 	 enjoyable stay 	 return Beijing take mother see Great Wall China . visit Chinese New Year decide stay base value central location . the negative point make actually find hotel - Taxi driver simply know exist even card give hotel difficulty still arise . way advice , would suggest guest take tourist map clearly direct driver . aside , stay excellent . room faultless , warm welcome temperature reach -10 degree Celsius outside . breakfast perfectly good choice egg buffet fruit bacon , dim sum etc . hotel bar one cheap place beer could find service always friendly although real ambience . staff helpful point even stand cold hail us taxi two occasion even walk supermarket fetch we beer arrive 1 be New Years morning late go hotel bar close . Staff always greet we smile book we tour great wall excellent recommend , although may change season - three us one minibus perfect . the front desk come close pushy occasion tour car around town commission clearly stake frustrate unusual . all great 1st time visit Beijing make well comfortable place stay location allow we see thing quickly bitter cold retreat warmth room . visit Beijing , would stay without question would recommend other . 
 Jan 29 2008 	 Excellent hotel perfect location 	 stay day Inn Forbidden City 28th December 07 4th January 08 . hotel rate well 3 * 's still brand new feel , exceptionally clean provide good service . breakfast buffet good good variety cereal , cake , fry vegetable , etc . room cosy , large nice clean bathroom , LCD tv huge double bed . the staff friendly can not enough still need get experience seem new job . language skill need improvement too . the Hotel exceptionally perfect location . Tiananmen Square Forbidden City 3 - 5 minute walk away busy shopping street huge mall various international restaurant get tired chinese food . if return Beijing time would definitely book hotel . 
 Jan 6 2008 	 great hotel fab location 	 really enjoy stay new hotel December 2007 . location ideal Tian'anmen Sq Forbidden City- possibly close hotel short walk shopping zone metro taxi ride pearl market , west train station summer palace probably good value hotel trip . our room bright , modern , simple , elegant spotless comfortable bed good shower ( separate cubicle powerful shower unlike hotel ) tour . also quiet hotel set around courtyard set back street . staff ( especially Ricky Gao ) unfailingly polite , pleasant helpful despite busy time . arrange tour trip save money use lonely planet obliging help organise telephoning taxi , theatre etc translate . also suggest us guest / fellow budget traveller plan trip jinshanling might save money people carrier taxi great company , fun affordable trip distant section Great Wall . the breakfast room service charge separately - annoying norm China breakfast good . hotel restaurant good independent restaurant across courtyard . not menu english ( yet ) do not put pick point pic food delicious -way well well know much expensive restaurant nearby . 
 Dec 20 2007 	 Value money 	 room adequately small clean . heater room warm comfortable cold weather , even bathroom feel warm heater bathroom . deluxe room view 3rd floor beautiful especially snow one morning . location hotel extremely convenient - walk distance major attraction city . room service hotel quite efficient , call request adaptor handphone charge . we satisfy stay definitely come back hotel visit Beijing . 
 Dec 16 2007 	 Nice Small Hotel 	 stay 4 night newly open hotel . the street name map hotel website correct . cab driver do not know go place . must tell driver hotel back BeijingHotel . look small yellow sign . location hotelis good . 10 minute walk Grand Hyatt elegant shopping mall include supermarket & quot ; Ole & quot ; .since main entrance inside alley , need walk themain street catch cab ( walk less 1 minute ) . youmay ask hotel staff get cab . Front desk staff speak good English freindly andhelpful . room basically everything except mini fridge . buffet breakfast lot variety ok afew day stay . like mist hotel big city China , two bottle water provide day free charge . will return hotel unless rapair andmaintenance work properly 
 Dec 5 2007 	 Fantastic Cosy Little Hotel 	 search nearly hotel DongCheng decide day Inn Forbidden City . hotel actually east side Forbidden City rather west side exactly want . local aware new hotel next Forbidden city . literally 5 minute walk main entrance forbid city 5 minute walk Wanfujian Street . hotel staff really friendly helpful . let us assure know place Beijing . let know really want try local eat normally go shop , suggestion . exactly look within budget get good feel seiheyuan . mind , place lot history offer . also want cosy , nice , little hotel rather international one , classy overrate . price US $ 54 , get good deluxe room good view courtyard . check [ -- ] [ -- ] fantastic offer . also , check periodic basis fine nice surprise rate . room well equip spacious 3 star hotel . bed feel hard , need one whole day walk . toilet room equip necessity shower cap , toothbrush , shampoo , body lotion towel really clean . hotel lobby also ATM machine allow change foreign currency although accept usd , Euro Japan currency . , keep usd Euro case need urgently work 24 hour instead brine passport bank change . book taxi advance night ride airport , worry . get help hotel staff willing stand roadside flag taxi even 0 degree windy . look cosy affordable hotel close place want visit Beijing , day inn definitely good choice . subway around corner . we terrific time stay day inn ! ! ! 
 Nov 17 2007 	 good room helpful staff 	 book deluxe room 5 night day Inn Forbidden City . staff friendly helpful -- write direction various tourist site , arrange taxi airport make good suggestion food show . room clean nicely furnish . ask non smoking room give room non smoking floor . room safe , hair dryer heater / AC . 2 bottle water provide every morning . would definately stay . 
 Nov 15 2007 	 good location bad management 	 hotel situate good location . 's first time Beijing , be excellent location . although hotel claim USA company 's management , realise be true . management style chinese local . hotel new could see well manage . room small clean . view room different good . breakfast good . coffee bread . budget travel , hotel acceptable . 
 Nov 13 2007 	 good 3 star hotel 	 first foremost , hotel advertise 3 star hotel , think correct description . fact , price range , good get Beijing . location fantastic . within walking distance Forbidden City , Tiananment Sq , Wangfujin shopping district , Exquisite Park , 2 subway station . stay day Inn , Beijing sightseeing literally start doorstep . although cheapos , day Inn share neighbourhood really fancy hotel Raffles Grand Hotel , speak something hotel location . room small nicely do comtemporary , ikea - ish style , cheap room indeed semi - basement , mean tiny window allow daylight come . issue , upgrade high category ( ask nicely receptionist - get upgrade free : ) staff speak good English , vary degree course , nonetheless enough get thing do - profound problem like Hiltons Sheratons , mini - disaster small , Chinese - own hotel usuallu rate similar Days Inn . overall , satisfy stay day Inn Forbidden City . future visit , even stretch budget , definitely stay hotel . 
 Nov 10 2007 	 good 	 good - great location , new , clean , modern bathroom , flat screen tv , coffee maker room , nice linen , friendly manager , close subway , close Forbidden City , near nice park , small/ low rise building . bad - refrigerator , small room , kleenex , ice machine , 4 hanger tiny closet , little drawer space , one chair , room basement ! standard room good value couple night . uncomfortable long stay . 
 Nov 5 2007 	 good location staff need training 
 Nov 5 2007 	 great find ! 
 Nov 4 2007 	 compare two day Inn Beijing 
 Oct 30 2007 	 Location Location Location fine hotel 
 Oct 3 2007 	 love new Days Inn 
 Aug 25 2007 	 Courtyard hotel moment centre everything ! 
 Nov 15 2009 	 Ubicación inmejorable 
 Oct 9 2009 	 Perfecta ubicación . Habitación ok mientras tiene está en el sotano 
 Sep 24 2009 	 Parfait 
 Aug 26 2009 	 ? ? ? ? 
 Jun 18 2009 	 muy recomendable ! 
 Mar 12 2009 	 ? ? ? ? ? ? ? ? 
 Nov 16 2008 	 hôtel récent dans une situation idéale 
 Oct 31 2008 	 Buena Ubicación Pero Sucio 
