love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Oct 18 2007 	 Sweet hotel great location 	 SoHo Grand great hotel splurge . 's perfectly locate bottom SoHo . plus , be close several subway line . staff friendly . room reasonable size ny . bed comfy . room great northern view city . offer bring Bose iPod dock room . also , like apple lobby snack . cool atmosphere . would definitely stay feel like splurging . 
 Oct 4 2007 	 Grand Hotel way overprice ! ! 	 stay Soho Grand 3 night . nice lobby bar area . room clean small . overall like hotel overprice . 
 Sep 20 2007 	 enjoy worth price 	 stay last July . nice hotel definitely worth price . room cramp . front desk little snotty .. 
 Sep 3 2007 	 Soho 	 nothing grand nothing terrible Soho . room adequate furniture wear . could use well lighting . staff friendly enough . room service sandwich fine . room face construction across street . , ok hotel nothing . 
 Jul 27 2007 	 Cool hotel cool location ` ` sure grand '' 	 wife stay four night Soho Grand March 07 . large bed , flat screen tv , leave goldfish & quot ; Sammy & quot ; right iPod supply hotel , view Empire State Chrysler building . check - in handed glass champagne make feel welcome . lobby hotel cool . fact interior throughout hotel well design . food bar good , staff friendly helpful . love would definitely stay . good thing location - Soho well . would not stay anywhere else New York . wander around shop bar trendy neighbourhood favourite thing New York . 
 Jul 20 2007 	 ' just Perfect ' 	 whole stay fab . Booked stay 7 night New Year Period . minute arrive minute leave everything perfect . staff friendly full knowledge City , nothing much trouble , make perfect arrangement heleicopter ride City see Lion King Braodway we . would recomend hotel anybody go New York return distance future . 
 Jul 14 2007 	 Impeccable Service 	 second stay Soho grand . service impeccable , people could seem enough we , manager , change room upgrade we a / c work , room service people . course , location beat linen fantastic . , room much need fixing . bathroom ceiling peel room ceiling desperately need paite . executive king big much regular king oddly enough contain additional furniture . desk , one small table barely fit tray room service . one small desk chair , small , uncomfortable arm chair 's . would stay ? decent price executive king , might . likely go back Bryant Park , althogh Soho , maintain beautifully good sized room . 
 Jul 7 2007 	 Nothing Grander Soho Grand ! 	 Soho Grand fan many year . everyone hotel consistently professional , maintain upbeat attitude always helpful courteous . commitment keep property perfect condition evident . location work wonderfully close proximity Holland Tunnel . win factor begin hotel give resistance accommodate 150 lb great Dane . always make feel like guest make travel much easy . never stay anywhere else since . I recommend 5 year . 
 Jul 3 2007 	 another Fantastic Stay Grand 	 stay Soho Grand several time , always impressed . wife return recent trip . hotel fantastic location Soho within walk distance several great area . place . stay boutique hotel world , Soho Grand definitely measure . front desk great concierge full helpful information . one tip however : make sure stay King Size room . 
 Jun 29 2007 	 lovely hotel shame bratty concierge 	 soho grand , basically , cool : great room ( tiny hey new york ) lovely chic slightly retro decor , doorman charm personify ( someone please give tv show ) , terrific food , general ambiance lay back exclusivity - everything would expect 5 * hotel . concierge thing let : offhand , abrupt basically pain - also say twice would book something we restaurant record . forgiveable twice kind bad , ? started dread talk stand desk five minute - alone - wait get phone , acknowledge even look doodle make pad ( know - half metre away ! ) . think new . someone , please , get rid . 's reason be stay mercer next time . oh , please get ipod dock every room . everywhere else ... way , highly highly recommend employee drink schiller dinner . seriously good . 
 Jun 24 2007 	 first choice NYC ... well value elsewhere 	 can not beat lobby / reception area . design unique warm inviting , 's distinctive memorable . everyone know NYC hotel small , rarely clean bathroom typically room significant improvement . room Soho Grand always bite spacious other city . pretty spartan could use another chair something be either sit desk bed . value whack NYC $ 500 / night expect something truly remarkable . Soho Grand average ... average service front desk ( room service ) lobby lounge . 
 Jun 18 2007 	 great hotel . pet friendly 	 book hotel recommendation child live City well search internet pet friendly location . welcome cordial request room type honor completely . style hotel fit taste room spacious enoungh wife well two 20 + lbs . dog , pet bed stainless steel bowl wait dog room . like Soho / Tibeca area perfect choice . unsure other write review Trip Advisor poor experience . Father 's Day Weekend well 40th wedding anniversary can not imagine nice place celebrate special occasion New York . surely stay . 
 Jun 14 2007 	 Loved Soho Grand 	 even though live NYC , look fabulous place take husband anniversary find Grand . staff highly attentive room wonderful . call ask discount explain loyalty program - good stuff , not cost extra get we discount ! celebrate 3rd anniversary - entire family come ( include 1 year old 7 year old dog ) . make every one we feel home . we take advantage - grand kid , dog , gold fish - love . 
 Jun 13 2007 	 bad 	 $ 600/ night , expectation high . boy , disappointed . plumber come room 3 time toilet not work . shower head low bend . room clean . front desk people snooty . closet room like fold partition . disaster ! 
 Jun 12 2007 	 really good could Better 	 hear good thing hotel , like stay downtown internet price great ; much well hotel category . book two room online Sunday morning , show 7:00 P.M. evening hotel . bell man door offer take luggage , although admittedly theoretical concern we trip , since stay one day minimal luggage . thing get bad get front desk . person could find record reservation system . act like not know , seem ready send we away , blackberry confirmation email confirmation number room . show email give confirmation number . still could not find reservation , seem unsure . finally , ask one colleague , apparently advise call somebody deal directly online booking . finally , 15 minute wait , reservation find . 's employee help we say : & quot ; well , reservation . & quot ; course , know , confirmation number . think person must new . not malicious rude ( least mind ) ; clueless , wife ready jump across desk . 's new , hotel big & quot ; trainee & quot ; sign clip lapel , somebody supervise carefully 's 's . also , be employee 's fault online system work poorly . problem way deal . seem would take minimal training . maybe hotel upgrade online booking system ? book room 11:00 A.M. , system not sweep hotel reservation system 8 hour later , seem like software not work well . finally , room great . complaint room tv , two , confusing remote . reason still can not explain , depend remote use , sometimes tv would stay minute screen would go dark , although sound would continue . experiment remote , finally get stay , would several hour replicate . , room price good , $ 300 + night , one expect decent customer service tv work without instruction manual . checkout people , concierge bell / valet people great day check . hopefully , entry experience fluke . 
 Jun 7 2007 	 look fancy not great 	 Entering Soho Grand impressed . look amazing , service classy . get room , disappointed . stay cheap room , still cost $ 400 $ 500 night . I get basic room , small . last stay basic room Residence Inn & quot ; Studio & quot ; room Austin Texas , huge single . I sit rest , tv remote not work . turn tv button set , tv not get signal . come totally replace tv set . as replace tv set , turn laptop get internet . wifi ask sign , fine , tell pay internet . still sign , would not let get online . call 1 - 800 number get online . day later could not get online again . the big surprise power go room . phone electric , could not even call downstairs tell . wife late something , freaking . get cell phone , call 1 - 800 number Soho . 15 minute later must switch breaker come back . say happen sometimes . crazy . the service great , design interior excellent . unfortunately , not think facility good condition . studio room Residence Inn 10 time luxurious room , 1/3 price . 
 Jun 6 2007 	 Dreadfull ! give miss ..... 	 hear Soho Grand one New York 's hip hotel initial impression . interesting architecture , stylish lobby , bar lounge area excellent service bell boy , concierge reception . however , clear hotel interested cater ' beautiful people ' hang public area since bedroom well would find cheap motel around Times Square . have book Executive King room ( $ 548 ( include tax ) ) describe hotel 's website follow : & quot ; City space always luxury , Executive King guestroom open airy high loft - like ceiling large spacious bathroom & quot ; . nothing could truth . room neither stylish comfortable . dark dingy low concrete ceiling small could accommodate queen size bed . cupboard , small alcove big enough hang half dozen item , cover shabby curtain . air conditioning old fashioned noisy impossible use night . window blind curtain make moth eat sack cloth . inform hotel manager disappointment room tell & quot ; cater aesthetic sensibility visitor & quot ; .a ' free ' breakfast consist juice , coffee pastry tray leave unceremoniously floor outside room discover several hour order it . there many stylish hotel New York . Soho Grand one . 
 Jun 4 2007 	 Worth Pain 	 well take $ 500 per night invest . rate return hotel -100 % .After check heading room , need use bathroom . hold toilet seat urinate . room 2 towel one glass even though fiance . pressure shower akin leak hose . call Guest Services , line rang multiple time . front desk say could move room , call back say nothing available . bellman cut fiance get elevator . lady guest first always ! mention bellman laugh say bizarre tone would remember next time . could go ... kicker manager send link review . call first give review . guess ? long work . Shocker . the two save grace concierge Annlore order beautiful flower girl location hotel . if not impend proposal girl day check , would bounce myriad fine hotel Manhattan . remember : revenue , overhead . without traveler like we , Soho Grand would business . 
 Jun 4 2007 	 terrible First Time Experience 	 Hotel staff excellent , go way make sure comfortable , side , hotel policy , etc . use advantage charge concierge assistance case 150 % would pay make arrangement . example $ 120.00 piece wicked ticket could purchase internet charge $ 325.00 piece . also charge $ 146.00 transportation airport hotel speak cab driver inform problem hotels taxi commission hotel , etc . check hotel get cab outside hotel cost $ 45.00 get airport include tip toll ! always impression Concierge provide guest hotel assistance case hotel . want future guest beware .... use Concierge expect pay 100 % case even service arrange ! addition sure not give GREAT employee anything , sure still tip ! one dirty work , hotel owner , etc . ! ! ! ! ! ! , Entire Staff front desk clean Excellent ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jun 3 2007 	 Soho Grand great 	 great hotel , stay 18 month old son , accomodate need . Crib , diaper genie , highchair room , Burt Bees baby product always smile whenever see . fabulous location , hotel bar till midnight stroller siting sofas everyone welcome , disapprove look anywhere . room bite small side nevertheless well worth money , enjoy ny visit SohoGrand greatly . 
 may 31 2007 	 Seduction Soho 	 spend night Soho Grand Seduction Soho package - good . staff friendly well - train . room nice good view river . would definitely stay againwhen NYC . price water room , however , laughable . not buy ( $ 10 litre ) ! go street buy $ 2.50 ! 
 May 30 2007 	 Location everything 	 ' ve stay many hotel throughout city love SoHo Grand . trip greet complimentary upgrade upon arrival give we nice northerly view city . although thing could use attention , coffee bar floor could use well quality coffee ; not spend lot time hang around hotel south Manhattan right door . the hotel exactly want boutique ; clean quiet attentive service , great bed perfect location . PS - take dog open arm , something nice watch Fido stroll lobby . 
 May 30 2007 	 romantic Getaway 	 husband celebrate Anniversary Soho Grand . perfectly romantic getaway . every detail delightful . Champagne , strawberry , chocolate Breakfast bed . highly recommend anniversary package . love pet golfish ! 
 May 28 2007 	 Loved Soho Grand 	 husband stay Soho Grand along somefriend shopping trip . accomodation look : clean , nice bedding , nice sleekdecor , service excellent , everyone veryhospitable doorman bellboy . location awesome well ; right heart Soho , close everything . would definitely stay . 
 may 26 2007 	 Felt like million buck 	 moment step place , girlfriend feel take care . decor stunning staff efficient , friendly , helpful without intrusive . serve cool face cloth reception desk , help take edge NYC spring heat . arrive early general check - in , immediately let room ready . bug - eyed goldfish swimming bowl outside door exotic treat . keep we company length stay . the room , tasteful , restful , classy . concierge -- completely top . want treat half life , wholeheartedly recommend short stay Soho Grand . beware , though . paparrazzi ambush outside door , wait celebrity pic . 
 May 20 2007 	 overprice little value 	 stay variety hotel , well 600.00 usd per night pay Soho Grand , much well experience . hotel overall look dirty , need money inject . fact smoking allow quite surprised day age . shocked however small amenity miss coffee machine room ( fact see guest pajama leave room go hall coffee coffee machine ) , iron board , morning paper . check one ask stay , even ask comment card ... know ! 
 May 14 2007 	 Excellent Stay 	 hear bad review recently Soho Grand , good experiance past . stayed weekend wonderful stay usual . beautiful room great view NY . attentive service , particularly front door . 
 May 14 2007 	 little town blue melt away .. 	 fantastic location Village Tribeca . room well appoint comfortable great view Manhattan . front house staff enthusiastic incredibly helpful , book restaurant recommend local bar etc , really could not enough - genuinely make stay special . 
 may 12 2007 	 great stay SoHo Grand 	 husband stay friend NYC decide splurge hotel . call SoHo Grande W Union Square . SoHo Grande friendly accommodate - offer we 10 % stay sign loyalty program take preference - pillow , paper prefer welcome amenity ( fruit , cookie , etc ) . compare price , also check wth W Union Square could believe expensive comparison , far nearly friendly . , choose SoHo Grande wise decision ! love stay - get nice room 11th floor lovely view Empire State Chrysler bldgs . disappointment never receive welcome amenity perk include - likely due day reservation . ' m sure would receive ask , would nice without ask ... enough warrant bad review . would hand choose hotel ' ve stay New York . friendly service , comfortable room reasonable price ... mention great location SoHo near ton shop restaurant . 
 May 12 2007 	 well situate well staff 	 hotel especially good be travel alone . get room large enough two people pricey . however , hotel great location , smart , courteous staff , service orient . I would stay heartbeat . 
 May 11 2007 	 fun good kid 	 third time stay , first kid , two year old four year old . staff firendly . got fishbowl room . concierge get we babysitter . overall , great stay . return . 
 May 3 2007 	 great location excellent service 	 ' ve return five night stay Soho Grand Hotel . hotel well position great eatery shop SoHO - short walk China Town trendy tribeca area . subway also 5 minute walk away taxi like rest city abudance . room small 's nothing unusual space premium plus 's much New York be go spend much time room not put . room slightly date , clean bed pillow amazing . plush comfortable ' m sure fall asleep head hit pillow . bose iPod speaker dock state hotel website one room amentie availble request reception small deposit . problem return item ( call someone collect check - out ) probably worth trouble . never bother request gold fish . breakfast available hotel extra cost expect room . could not imagine anyte bad considering size . luckily hotel close many great eatery , eat every morning . balthazar 15 minute walk away Spring Street , great place sit people watch . the staff hotel extremly polite knowledgeable . experience problem reviewer report bar . word advice intend sit drink bar 's worth smartene - ' ve learn never dress city . all enjoy stay Grand would definitely go back . would recommend hotel second - time visitor ' ve already do sight , want experience New York New Yorkers . 
 Apr 29 2007 	 Excellent service good location 	 say ? excellent service , could not enough we . well located . would highly recommend hotel couple , single business . really great rounder 
 Apr 22 2007 	 good location like Mercer Hotel well 	 daughter go NYU go weekend like stay Soho / Village area . hotel choice limit . try Soho Grand time since Mercer full . Soho Grand certainly adequate . find staff helpful efficient -- complaint . public area hotel also ok although feel little run . room also ok -- usual small NYC room . say bed comfortable . everything ok still like Mercer well . Mercer good restaurant think room nicer . -- Soho Grand good choice want Soho area . can not rave . ' ve also stay W Union Square . nice hotel not like Union Square area well . 
 Apr 9 2007 	 Disappointing 	 stay Soho Grand number time year , include personal work relate visit NYC . previous stay average . however , wife stay two night , April 6 7 disappointed . service hotel & quot ; date & quot ; . experience problem Concierge , Guest Services Hostess bar . generally , service one disinter . one example Bar Hostess inform we reason could secure sofa drink bar Soho Grand Manager 's Meeting Managers would use several sofas follow meeting . ask mean employee take precedent guest basically say yes . the furniture room common area wear dirty . numerous example lapse service misplace luggage , three request Bose iPod docking station appear , three request luggage rack , etc . , etc . the Sunday New York Times include article state Terry Fant , CEO Soho / Tribeca Grand Hotels typically review TripAdvisor review . hopefully , miss one . ironically , chase Sunday New York Times deliver promise . 
 Apr 3 2007 	 Fantastic Location 	 fantastic location , convenient shop great restaurant . book Deluxe King room 4 night - small , unreasonably 2 people . room clean comfortable great view city . not sure expect reading review , every member staff encounter friendly helpful - never get feel property understaffed . check - in fast simple ; room service schedule . one reviewer write , table lounge mark & quot ; reserved & quot ; -- immediately seated & quot ; reserved & quot ; table busy Saturday night ( without reservation ) . service bar lounge average . nice touch , like cookie room check - in , coffee / hot chocolate machine ice machine . 
 Apr 1 2007 	 Place Brilliant 	 , people [ -- ] come trump , want stay downtowon occassion , give info hotel pick one meet requirement . well , hotel , walk place , look absolutely stunning , walk room amazed standard furnish , room size equipment within , much actually ask reception upgrade , , entry level room world . make use concierge stay , nothing much trouble advice give absolutely spot impartial . upon travel hotel ( metro canal street 2 mon walk ) , suddenly realise accessable midtown downtown location , could get 34th street 10 min metro . price , seem get much hotel money especially weekend close take statue liberty . neighbour hood soho fairly interesting well , head north hotel , come across designer store smart shop , go south walk straight ground zero , east china town , bit past china town little italy , could want location midtown 10 min away right hussle . would recommend hotel anyone . 
 Mar 27 2007 	 sadly Disappointing 	 read review leave stay Soho Grand several time 2002 surprised negative feedback have love hotel would stay . even call speak front desk discuss negative review believe base high price give guest unreasonable expectation hotel . decide still book love location could decide base review else stay ! upon arrival pleased see fabulous main area still - although little pretentious putting reserve sign bar table even though empty even though guest literally beg table sit drink afternoon - give stay hotel ! ! anyway sadly worse yet come . show Deluxe King room - absolutely appal decor ! pay $ 400 night decor midwest well western ! apparently tell $ 15,000 dollar spend room try evoke old Soho style - well do not know design agency con taste ! ! many talented interior designer manage choose design agancy totally destroy credibility stylishness hotel ! ! imagine old Soho style imagine industrial , vintage , stylish , slightly quirky , good quality - cheap , depress tasteless . bathroom cute nice touch bedroom mix shade muddy brown , fade earthy orange , beige , plaster - yeuk ! awful pattern mix together , brown orange plaid mix swirly brown carpet . blind hessian sort fade look cheap old . cupboard make hideously cheap chip board coat look awful . headrest kind faux antique leather stud - awful . do not think one room - decor ! ! ! sadden ( designer ) minimal luxurious hotel utterley cheapen poor qualiy tasteless design - matter differ taste poor quality luxury . change room corner room say good view ' ve manhattan - even leave feel depressed agree pay $ 400 basis would mean luxurious trip - wrong ! ! move London New York - stunning modern art deco design - simply stunning ! ! 's high rise do not like big hotel also stay Chambers ( make sure room view w 56th St ! ! big fan back pretty ! ) - perfect every way , cosy , stylish etc . during trip visit 12 hotel surprise unimpressive pricey ! ! also love new Bowery Hotel - room divine italian - especially large King room slide panel open bathroom onto bedroom , mixed bar that s old english hunting lodge glamour ! ! ! - clean Bowery bit would feel happy stay single woman . Mercer course lovely expensive ! hope help ! ! 
 Mar 25 2007 	 management problem 	 return saturday night stay . drive city approx . 5:30pm . ( thru holland tunnel 10 block hotel ) call hotel direction get hotel 7:30pm wrong direction give 3 seperate time hotel staff ( concierge ) . lobby great place hang - out drink cool scene . hotel room bathroom tiny -- air conditioner heater work . ask walk direction concierge restaurant reccomemende concierge direction wrong . tell need give valet 30 minute lead time retrieve car , , wait another 35 - 40 minute arrive respond first request ( friend , never receive car walk 2 block garage get even tell repeatedly thi car enroute ) . staff friendly staff especially concirege clue run upscale effiecient hotel cater upscale clinentele . 
 Mar 24 2007 	 mislead event 	 guest Soho Grand Hotel New Year 's Eve attend Black White Party . first , everyone dress black white say require . second , everyone dress formal attire also say require . third , ask pay extra reserved seat none . therefore , decide attend party , not feel need heed & quot ; dress code & quot ; requirement -- enforce . also , not pay reserve seating , none . even without party , experience miserable . service poor even we charge we use internet . suggest stay Holiday Inn Express , least internet free ! 
 Mar 18 2007 	 Love Soho Grand 	 Soho Grand absolutely fab ! ! ! doormen housekeeping lady . great . reccomend one stay . 
 Mar 13 2007 	 interesting Interior Design 	 fiancee stay 5 night twixt Christmas New Years , firstly emphasise wonderful location , slap bang heart good bit NY . arrival door staff polite attentive , check take seem little staffed . room nice , large enough clean nice bathroom , decor please . gripe hotel try get seat bar , table reserve , bar manager quite rude quest keep we ! wait lobby , reserve table remain empty . would not let one rude member staff put stay . highly recommend 's location alone . 
 Feb 23 2007 	 never 	 second weekend February , except attractive lobby bar area , find awful . room tiny little furniture look like come old college dorm . ask newspaper deliver morning -- none come . noise lobby bar keep awake 3 a.m. ( poor design ) , traffic noise unusually loud part town ( lousy window insulation ) . finally , check Sunday morning , tell would wait 45 minute valet car ( $ 45 one night ) deliver . fact , front 10 minute , one bother tell we . never ! 
 Feb 20 2007 	 Grand always great 	 probably 5th time stay Grand Hotel first Soho . visit Tribeca Grand . hotel exceptional - staff could sweeter always willing make guest comfortable - attitude.the weekend getaway wonderful - great value accomodation service . great hotel bar drink . location could well love downtown . amazing restaurant , BEST shop funky little theater . we find quite difference atmosphere hotel . tribeca much lay back , almost sleepy compare Soho . neither well bad , pure preferance . service might well Tribeca Grand ( extras forget Soho - never happen tribeca ) base statement one stay Soho . sure always stay tribeca quiet weekend Soho crazy one , thus difference - consistantly true difference . anyway , love hotel continue place New York . 
 Feb 18 2007 	 Best Hotel New York 	 stay Soho Grand three night Feb 07 . find room high quality many nice touch expect . good size Bose sound system standard , bath robe , slipper range top cd , flat screen TV 's varied minibar selection drink snack . arrive late first night due flight delay London . check - in breeze . bag deliver room . bed turn Bose sound system play background . room temeprature perfect even though -5 outside . not need adjust throughout entire stay . say first time return home find bed less comfortable hotel . concierge door men friendly knowledgable assisting book restaurant reservation recommend good bar area . Taxis always hail within minute request . food high quality breakfast lunch ( not opportunity sample dinner ) . bar often busy uncomfortably business facility within hotel perfect . all lay back professional establishment one already recommend friend associate place stay New York . definitely return , hopefully long stay future . congratulation Ian Nicholson , General Manager , maintain high level service th hotel . 
 Feb 11 2007 	 need people 	 amazing view , great place need staff member . I wait bell desk , front desk concierge desk work guest . see fully staff desk ( i.e . two position concerige 's desk , one person three position front desk one person ) would write kind review . see fully staff desk line , would write review . Unfortunatley , see skelton staff thursday friday night , two prime night hotel like this . if know want get , stay . need help visit NYC , stay elsewhere 
 Feb 8 2007 	 New Years Soho Grand 	 girlfriend stay Soho Grand New Years close proximity one friend 's apartment . hotel checkin second level one seem willing help girlfriend either bag door . may get ready new year eve party indifferent guest stay hotel . beyond initial impression , service checkin really easy woman front desk friendly , especially give fact work new year . hotel room nice spacious . bed comfortable , room next elevator , ask room hall hear beep . room service so - so , hit spot night . overall , hotel area want fit bill . book two night early get good rate . nice property , business pleasure put Soho , would recommend hotel . 
 Feb 2 2007 	 exceptional stay Soho Grand 	 recently stay four night Soho Grand hotel stay exceptional . arrive * * early day check take night flight expect wait room customary hotel . could not please gentleman ( nice personable Aussie ) front desk make adjustment assign room immediately available . thrilled act set tone stay . room clean , well appoint great view window . house keep service exceptional : friendly , accommodate importantly , never feel rush exit room daily cleaning . every morning hotel deliver wonderful continental breakfast various pastry muffin well coffee juice . love get choose breakfast arrival time change order daily - nice touch ! front desk concierge always helpful friendly ask question local shop locale . need ship item back San Francisco need location local FedEx , front desk offer ship - unbelievable ! glitch entire stay errant fire alarm sound 3 quite time . think note door follow day would nice , know may expect much true glitch system . check easy doormen bell hop ( bell man , really ) arrange car service airport nearly price yellow cab . Soho Grand ! great ! stay wonderful , Soho Grand default home away home travel New York . 
 Jan 29 2007 	 great location - nice room - friendly staff 	 originally reservation Tribeca Grand Hotel , sister hotel Soho Grand , 2 3 block South Soho Grand . the Tribeca Grand loud , see review search hotel Tripadvisor . stay Tribeca Grand one night , move Soho Grand next night . 2 night pleasure follow 3 night business . the Soho Grand much well choice Tribeca Grand . hotel seem tourist , business people stay there . I primarily business good choice becuas 's proximity downtown financial district ( Wall St area ) , offer lot thing place eat evening . my room public area clean , bed nice ( see picture ) staff unusualy friendly . really nothing bad say hotel - sure , expensive ny.here picsbed : http : //farm1.static.flickr.com/161/373977458_fbaeabec05_b.jpgroom : http : //farm1.static.flickr.com/181/373974456_7d6c026193_b.jpgbathroom : http : //farm1.static.flickr.com/174/373976041_403ab33d66_b.jpg 
 Jan 29 2007 	 never 	 place look great . 's nice thing say . service insanely bad . frequent visitor NY work usually stay near office Times Square . stick W , Royalton , Westin Times Square room big nicer ' m treat like crap . I not mind little haughtiness , find staff Soho Grand cross line haughty seriously rude . ' ve live Manhattan- know attitude thick skin . ' m also mid-20s woman fashion sense expense account- would think would target client . 
 Jan 19 2007 	 ok lose lustre 	 room comfortable small ( Grand chain small room , be well lay - out comfortable ) . basically , fine , find lot small detail little worn . old - look Dean & amp ; DeLuca / Citarella stuff weird little tin $ 12 less appealing . however , mini - bar selection huge funny . nice shower stuff , decent bathroom . comfortable bed nice linen would expect . definitely wait deal . neighborhood become like giant outdoor mall . convenient , though . staff really pleasant . 
 Jan 19 2007 	 Pretty Darn Good 	 want stay really great , funky , expensive boutique hotel NYC short vacation . pick 's Soho near want not expensive W property . be really charming . room small , 's NY expect . decor cute , flat screen stereo room . pillow soft bedding good . 's much decent Westin 's worth price , do not ' expect exciting w another hotel like . bar / lounge happen little scene overall location fabulous shopping gallery hopping . 
 Jan 14 2007 	 overpricedsmall room serious attitude 	 stay Soho Grand Xmas sorely disappoint , location GREAT , really middle one buzziest neighbourhood NY second away 's good shopping restaurant , choose it . unfortunately , thing be . right beginning , staff , include doorman really offhand curt point rudeness . entrance , lobby , bar restaurant area great look , unfortunately , seem spend refurbishment budget forget room . room small shabby , get , curtain stain hang curtain rail , everything scuff stain , look like have cobble together & quot ; change room & quot ; team , call manager ask another room , something new less wear tear , curtly inform new room , apology helpful suggestion . thing , room tired dingy , felt look grubby , clean staff really scratch all . the bathroom small cleanish , although , look everything buy Ikea not expect American Power shower experience , one non - adjustable shower outlet bath plastic shower curtain - shower head cover black , flake gunge . the toilet would not flush ask could send someone wait wait , finally guy arrive , poked bit say fix , wasn't - I think actally work one four time . fact , not expect anything bare minimum amenity , not even chocolate pillow even complimentary bottle mineral water . we call housekeeping borrow adaptor , charge phone tell could not borrow one , would sell we one $ 10.It seem really miserly mean hotel charge amount money- $ 550 night + taxis . door room not fit properly , every time someone shut door , reverberate way corridor , be noisy always seem room service tray leave along corridor , room not double glaze ( hello ! ! ! , New York- city not sleep ) be really noisy outside well .. staff simply act could not care less guest , would 20 minute wait get waiter pay enough attention could order cup coffee another 20 minute actually get it . I order breakfast one morning arrive wait manage cold burn - go out - I not want spend another penny hotel . concierge rubbish , well , ask book table Pastis 8:30 pm next evening , say would , confirmation message , next morning ask do , oh ! say , not get message ? - , well could table 10:30 , would leave , ask have call day look completely new idea him- call get us table , find arrive not restaurant have ask , café , much tightly pack , cancel go somewhere else . staff seem mistaken impression work somewhere & quot ; hip & quot ; make somehow star therefore feel treat pay guest condescension snottiness good dollop New York attitude- suppose tipping ! . could not recommend hotel stay , say , common area nice , drop drink bar , not bother food , everything decidely mediocre . the area wonderful could get really good rate not mind grubby room lacklustre service , might ok you . the problem New York hotel industry spoil far long , keep price exorbitant service poor people still fall come ; guess 's lot incentive change anything . love New York , will come back , definitely will not stay . 
 Jan 9 2007 	 great atmosphere fun elegant time 	 stay 5 night spend 2 Hotel Gansevoort . hotel good . corner king room high floor good view big hope . bathroom cute small luxuious . always spotlessly clean either . shampoos soap great ! bit trouble stereo system ..... rest marvellous . staff nice , food atmosphere bar excellent . get complimentary breakfast bed bonus + guarantee high floor , free internet little perk sign Grand Guest ( free ) . new year party great - delicious food good atmosphere , plenty drink , good music . cheap worth . see people complain check whole find staff pleasant helpful . go . 
 Jan 5 2007 	 Great Hotel Exceeded Expectations 	 wife & amp ; stay Soho Grand celebrate anniversary . love hotel . room clean well appoint . expect small room base TripAdvisor review , room plenty spacious ( Deluxe King ) . staff friendly & amp ; accomodating . concierge recommend & amp ; make reservation excellent restaurant , Pepelino 's , within walk distance hotel . lounge great place hang night & amp ; drink martini 's ( btw , french fry great ) ! get ' Seduction Soho ' package include breakfast bed ( egg , croissant , fruit , juice , & amp ; tea ) & amp ; pretty good . overall , wonderful time & amp ; feel hotel truly exceed expectation . 
 Dec 27 2006 	 SOHO GRAND GREAT 	 mom stay week Christmas love ! room clean bathroom pretty roomy NY . great view room . staff great helpful . Soho great area shopping food . love away hustle bustle timesquare . hotel quiet . would highly recommend hotel ! 
 Dec 11 2006 	 love location – room small 	 stay hotel 4 night receive good deal . since hear much hotel ( see regular room price ) high expectation . room small , bathroom . ' travel quite bit , together fact air - conditioning unit right next bed , little bit disappointing . staff helpful – recommend nice little restaurant manage impress local NY friend . lobby great nice free wireless ( inside room ) access . overall good experience , ' go back without similar deal . 
 Dec 11 2006 	 nice Hotel nice style nice location 	 stay SOHO grand girlfriend three night . we like hotel much , stuff friendly , bar hotel also nice style hotel way like . MODERN ! ! people stay hotel also hope . example walk WALDORF ASTORIA shock see hotel guest : big group typical american tourist ! ! ! ( nothing american tourist would german tourist group 30 people check ) .The thing ( hotel NY ) room small . location perfect people like we , also want go night thing sightseeing . girlfriend love Soho nice shop . I would come back hotel next time 
 Dec 10 2006 	 pretty ok pricy 	 SOHO Grand truly nice place stay . problem find overprice . reserve 2 week front stay pay $ 691 tax , occupancy fee , state tax . end price almost $ 800 ! room 10th floor view midtown nice : ) price level think WLAN cable internet ( available ) free guest . business center free notebook would preferable stay room want pay 10 $ day WLAN . gym nice . hotel bar pretty nice fine fo drink one want stay hotel . location Soho Grand convenient shopping SOHO go night . I know SGH book $ 320 room , would definitely go price stay . 
 Dec 5 2006 	 bad hotel ' ve ever stay ! ! 	 ok location good , lobby nice decoration bad 's it . the room ridiculy small service bad , terrible ! concierge desatrous . every body work hotel condescendant pretentious . stay expensive ! not go hotel ! price ! 
 Nov 28 2006 	 funky friendly 	 hotel great spot lot good eatery , bar shop nearby . room , especially bed , comfy room service particularly good - prompt , friendly worth use . try seduction soho package american breakfast deliver room every day ! bar top atmosphere - cool good lighting music . table service good . concierge helpful booking restuarant us doorman equally grab we cab . room heating / air con faulty though check surly - 2 small point otherwise excellent stay.definitely recommend go without hesitation . 
