try 	 TheWit try trendy , hip hotel , forget basic guest look -- comfort & amp ; service . room uncomfortable -- small , odd furniture , bathroom sink strangely shape tiny fail drain water . bathroom door slide open , annoying leave little privacy . service spotty . request item housekeeping call multiple time . interim , receive rubix cube jelly apple -- fun touch , would much rather receive towel need . can not imagine stay hotel business trip . internet free overall hotel room hard function , give size odd design bathroom . hotel gym rooftop bar top notch , reason stay hotel recommend . go elsewhere polished relaxing stay . 
 Aug 10 2009 	 everything Perfect ... except .... 	 Wit gorgeous hotel wonderful location . decor fabulous , room immaculate spacious , food gastropub superb , fitness facility well , great view , direct public transport , wonderful service . ( sound petty ) water pressure shower bad EVER hotel . fact , ' ve bathe camp ground well water pressure . low could not rinse shampoo hair .... cold stand inside shower not enough water warm . unexpected everything else great . the little issue fridge minibar . 's sensor . , open fridge place bottle water inside keep cold , charge $ 29 . ? everything water bottle touch charge room -- even though not eat drink thing . return room water bottle remove fridge leave sit coffee table . front desk remove charge call . , guess can not use fridge . glad ' m diabetic need keep insulin cold ! bad . not water issue , would stay heart beat . really something ! 
 Aug 8 2009 	 love 	 stay @ Wit hotel w / my 3 child age 15 , 12 & amp ; 8 . 's really family hotel ( pool ) still lot benefit b / c location great ( walk distance Millenium Park , easy access museum campus , navy pier , etc ) . room chic & amp ; comfortable . Monday & amp ; Tuesday night & amp ; hotel quiet . go Roof late afternoon bite eat & amp ; drink . incredible . beautiful design & amp ; view . place little kid & amp ; place 21 evening . nice workout facility . would great place couple getaway , girl weekend , business , etc . good value money . 
 Aug 7 2009 	 well forewarn 	 get cab O'hare tell driver stay Wit laugh . warn bar / restaurant roof Wit place Chicago . also tell 30 young . right . lobby small cramp . 4 pm hopeless mess get room . rope line run outside lobby small handle crowd . elevator 4 pm pack amount perfume cologne elevator astonish . need oxygen make room . rest hotel quirky little fun . one thing find quickly square sink look nice totally impractical impossible use . room tech person 's dream . wireless wonderfully fast easy use . room suprisingly quiet nicely decorate . let find sound hallway ... pretty cool touch . staff young superficial ... everyone else hotel . restaurant likely darkest place ever eat . can not read paper matter see two foot front . food good . want tell avoid place 30 , many cute thing really trash . , forewarned , enjoy . 
 Jul 28 2009 	 Great Location 	 arrive late afternoon Friday difficulty check - receive warm cookie arrival . bell hop extremely pleasand helpful . room small four adult , cramp . modern decor appeal . view river room amazing , standard double queen room 10th floor . issue rooftop bar extremely popular crowd around hotel 6 pm - Friday Saturday night . hotel staff minimize disruption , approach walk hotel ask sell room key . overall good experience would return . 
 Jul 23 2009 	 great hotel fantastic locaton ! 	 hotel excellent location anyone visit Chicago . staff friendly . arrive around noon although expect store bag , able give we room almost immediately . room comfortable hear little noise corridor ( stay 6 night ) . dinner State / Lake restaurant one evening service excellent . would like see sample menus different restautrant room however would make choice easy . Roof seem place see one express elevator visit lift go meant bit wait lift . small matter would prevent stay hotel . 
 Jul 22 2009 	 try boutique quite .... 	 stay night July 17th 18th . hotel sleek modern , beautiful feminine touch lobby . staff friendly problem move we room away elevator request ( move 1705 front elevator 1714 ) . room not well insulate , interior noise pretty bad ( guest return Roof bar 4 morning order room service ) . say , exterior noise , like El , not bad all . the room smartly decorate bed quite comfortable . pay per view movie tv , disappoint we . bathroom slide door not really close completely , would probably little awkward travel friend partner . shallow ( modern ) sink .... not turn water full blast . shower highlight room . large , lot room move around , great water pressure , adjustable massaging head . room service little slow completely thorough , food taste quite good . room service phone attendant not well verse menu item . State Lake restaurant good breakfast , ambiance nice . ROOF highlight trip ... gorgeous view , tasty ( expensive ) drink . sit uncover bar gorgeous , bartender super friendly . place get drunk ... 's place see see . if look romantic hotel , would say not good choice . place like Amalfi , Aveda spa toiletry complimentary on - floor continental breakfast ( throw short bring partner chocolate croissant bed ) well choice price . look place trend , thewit , ROOF spot ... guest not wait go ( see lot folk turn away ! ) 
 Jul 20 2009 	 stay want terrible service nice room . please read pro con . 	 con : reservation , check , 4 pm , lady tell we one room leave . give guy next we check make we wait hour get room clean . ask self - park park around act discusted said & quot ; well valet & quot ; . tell not want valet , say idea would ask valet , not department . 11 pm hear someone try key room , knock . ( double locked door ) answer door hotel staff new patron . say & quot ; oh guy assign room ? & quot ; , say yes , said & quot ; well think already assign someone & quot ; immediately get phone call want know suppose name . midnight go check weight room , come back key not work . deactivate assign room someone else . 4 hear knock loudly telephone ring quite time neighbor room / door . literally one thing another there . now pro : location great , right river walk , close Michigan Ave . hotel clean . room spacous . room huge closet , big screen tv , nice glass walk shower , real hairdryer ( standard hotel one ) , alarm clock plug ipod , nice view city river walk , bathroom elegant . weight room awesome . several elliptical , free weight , treadmill . yoga room , complete ammenitie need ; even place plug ipod wall come speaker . if not goof up staff , would nice hotel , would give 5 star . however , one thing another , way recommend anyone try nice stay . 
 Jul 10 2009 	 Wit Hotel Blew away ! 	 location , food , service , atmosphere , rooftop bar hotel blow away ! wit hotel new hip spot go loop Chicago , would definitely go back . might good place family young crowd Wit cover ask . definitely come back make even well receive TRIPLE HILTON point ! 
 Jul 6 2009 	 Fantastic Hotel Loop 	 must say experience Wit Hotel 4th July weekend -- enjoyable , fantastic one . time enter hotel -- -the aroma lobby tell regular Doubletree property . check smooth -- do Hayli front desk . lobby , small , give idea thing come stay Wit . since Hilton Diamond Member upgrade fabulous King Junior Suite 26th floor . Junior Suite equip kitchen , stainless steel refrigerator , microwave , cup various size , wine glass , eat utensil -- -everythe need feel home Wit . minus lack trash bin kitchen area , paper towel dry hand . none less great add benefit . the room impressive size -- -comparable one bedroom apartment find center major city like NYC Chicago . one three closet , plenty storage space , high ceiling -- floor ceiling window flood room natural light . the staff bit green since hotel open June 2009 , extremely helpful , friendly efficient . housekeeping wonderful well . room spotless everyday . roof top lounge 27th floor extremely busy . prepare add traffic elevator people guest hotel . weekend extremely busy since roof top new hot spot Chicago . overall would definitely use Wit . beautiful hotel near hot spot Loop . please sure check next stay Chicago . 
 Jul 5 2009 	 great downtown hotel 	 fun , hip , trendy hotel . also comfortable , staff great , location excellent . room 26th floor afford great view bean Millenium Park architectural detail neighboring building . terrific meal State Lake Restaurant . mention good place craft brew beer Chicago New York Times article amazing draft selection . roof top night club amazing , do not wait long line admission stay hotel . young hipster everyone friendly nonetheless . lovely bachelorette party even pose picture we ! 
 Jul 3 2009 	 Boutique hotel Hilton point 	 review mine long accurate . brand new hotel ( five week old ) definitely act together . travel extensively work play nice around hotel stay time . a thing previous review not mention . hallway floor faint sound basically forest jungle come speaker . cool , like warble bird , cricket , etc . the workout room state art . huge fan Precor equipment ( prefer Stepmill ) , equipment new plentiful . free weight well . if take train O'Hare blue line stop less three block hotel change red line stop hotel . the negative review forum discuss fact hotel right train track . room 15th floor indirectly face track . light sleeper not hear thing . also workout room fifth floor face track could barely hear train . the room fantastic , especially bathroom glass shower , cool modern square sink . also large tv high def cool well . in room computer access free ( though understand eventually go three tiered charge system ) restaurant breakfast excellent . the good thing hand employee front desk personnel bellman valet . everyone say hello , anything need ? hayli ( correct spelling ) Patrick especially nice . track manager , Russ , compliment excellent staff . an easy choice next time Chicago . 
 Jun 22 2009 	 Loved Loved Loved Wit ! 	 stay Wit one great night Chicago . honestly one top two stay Chicago . phenomenal hotel ! love every second ! ! ! location : location amazing . five minute walk Millennium Park , two three block , great parking arrive South Shore Train . 's State street right Chicago Theater easy walk across river Michigan Ave . shop Rush St. excitement . cub game red line Wrigley literally step away front door . great location . service : service receive could friendly helpful . arrive 11:00 a.m. prepare simply leave bag - far early 3:00 check - in time - room ready we check we immediately . everyone exceedingly friendly , doormen bellhop front desk staff . friendly also seem fun - love spirit joy . delicious warm cookie front desk hand ... room : room 18th floor fabulous ! west side hotel view downtown Chicago River . detail room great , modern fashionable detail sink shower chaise lounge room . bathroom large terrific walk - in shower . water pressure nice , shower watertight , towel huge plush . view room great artistic touch . flat screen tv large premium channel HD provide . air conditioning comfortable quiet . bed ... bed amazing ! ! comfortable , mattress sheet pillow blanket . whole room feel luxurious price ( $ 150 include taxis . ) love every single thing room . feel roomy even though not huge , extremely quiet even though next elevator . the hotel : hotel fun modern appearance . two restaurant one happen bar . poke head & quot ; Roof & quot ; 27th floor bar not open yet . see place hang city tourist local alike . cool . State Lake great selection microbrewery beer well great look menu . ( beer can not speak food . ) italian place slate open later summer . elevator fast . we simply could not find anything complain hotel . bit nervous book review book two mixed review . tourist leisure could better hotel . great experience begin end ! 
 Jun 16 2009 	 definitely back 	 little nervous stay since brand new hotel review .. Location , Customer Service , Roof top bar would want stay . room decent ( big ) bed extremely comfortable . stay Hilton Honors point sure rate would . Rooftop bar hot spot town right . line door 3 night . luckily separate elevator hotel guest use . location great easy access Michigan Ave , red line , Grant Millienium Park . room 46 HD Flatscreen tv upon arrival small fruit bowl complimentary Figi water room . 2 restaraunt site eat either . 
 Jun 15 2009 	 great new hotel 	 get good deal new hotel , near river Loop . cool decore , modern , almost design room . excellent location , yes Roof place . room service good , staff attentive . still shakedown period open 3 week , service blunder ( towel day 2 , room cleaning request day three , disturb sigh , 7 wake knock ... ) . soon ! 
 Jun 8 2009 	 avoid price yet tacky attempt Boutique 	 front desk management staff amazingly helpful . almost desperate please . location great . elevator fast . roof top bar stunning view . BUT- call Doubletree , suit hotel . fact , room size king size bed desk . first room cramp desk chair keep bang bed . strangely , bathroom enormous ! even though shelf counter space toiletry . I get move another room . corner room . couch make room feel little big . storage option actually less small room . bad NEXT ELEVATED TRAIN ! beware ! need ear plugs hotel since build right next train not sound proof ! ! keep awake almost night awake early morning train move . travelocity offer move different hotel . one manager offer suite . suppose impressed . , , near train , though much high . give shot . the suite useless . microwave small fridge . not much large corner room except divide wall living room flat screen . bathroom awful . look like cheap cruise ship enormous corner bathtub perfect Niagara Falls Honeymoons complete peel plastic cover . across stand , glass enclose shower build way showered water spray door flood bathroom . not make mistake make leave show door open dry . wake middle night use toilet walk right shower door ! wit ugly look inside mixture burgundy , teal , brown suppose cool color scheme . 's awful . look , stay Chicago time . highly recommend Affinia hotel opposite end Michigan Ave . always great deal hotel flawless . even Marriott suit well solution cost convenience . lastly , every night around 11 pm internet stop work well . like 56 K modem hotel solution . much get work do . do not fall style substance . exemplary staff really nothing work . wit waste . 
 Jun 6 2009 	 slick new high - tech boutique ..... still iron little kink 	 wit cool brand - new chic boutique Chicago Loop . visit June 4 - 6 , week hotel open . the lobby , modern minimalism , small busy . front - desk staff friendly , clearly not operation down - pat yet . 's new hotel , expect thing quite perfect , seem bit overwhelmed time guest call problem . the room dark , elegantly modern comfortable . be average size , minimalist furnishing make seem big . desk , wardrobe dresser handsome , big 45 - inch flat screen tv rock . ( lot cable channel , in - room movie available order visit ) .My king size bed plush comfortable , kind like sleep cloud . bathroom walk - in shower ( much prefer ) european removable hand nozzle . water pressure great . agree previous reviewer flat sink - cool look stand water get marooned - kinda gross . I order room service first night - , good . roof , popular rooftop nightclub - rule ! location great . yes , loop kinda dead night weekend , be north end , easy access N. Michigan Avenue River North area . far mass - transit access , not get well . State / Lake El station ( Brown / Orange / Pink / Green line ) right outside front door , Lake red line stop past it . my gripes issue ' m sure related hotel 's newness . front desk staff friendly go way help , still bit clueless . check - in little chaotic needed be . also , housekeeping abysmally slow . return room 3 p.m. still not make . come , not replenish Neutrogena toiletry . also , in - room coffeemaker include good Wolfgang Puck coffee , creamer . ( front desk staff cream send right , tho ) . bird sounds pipe hallway really not anything I . despite minor gripe , great weekend Wit . like much well W Hotel side loop - 's far less self - consciously hip . new - hotel issue resolve , place real gem . and mention Roof rock ? ! ? 
 Jun 4 2009 	 room worth money ROOF surpass expectation . 	 plan wedding Roof Wit Hotel could not happy service , location room . many town guest come love comfy Hilton bed , great style delicious food ( wedding course , also State & amp ; Lake - time wedding roll around summer , italian restaurant Cibomatto ) . feel welcome moment approach door ( even know not looky - loo ) . view ? mention view ? 's style , without pretension rooftop location pop around town . ' m go back girl weekend pamper cocktail . fact , keep try come reason stay even though live ... 
 Jun 2 2009 	 TheWit ! 	 wife live Chicago stay one night theWit celebrate anniversary . accord website officially open June 1 , must first guest . say , official opening might move since entire hotel look open fully functional stay . theWit , not know , new hotel Chicago Loop area , actually be foot officially outside El track ( & quot ; Loop & quot ; ) within generally refer area .. locate Lake State St. south Chicago River . architecture facade hotel include dramatic yellow lightning bolt , make signature look , signature scene hotel fantastic roof top deck / bar / restaurant , ROOF . take restaurant hotel Chicago long time catch fact Chicagoans LOVE outside chance get theWit big good rooftop around purpose . dramatic view 3 direction kind space amenity would think would find Vegas LA , ROOF TheWit become outside destination know . drink good , expensive $ 12 per , be really scene view . outdoor part booth counter bar space , well couch lounge chair . roof area outdoor fireplace table , lounge , etc . back section another outdoor space table sit 8 , extend roof space , make unique dining / drinking vantage point . can not say enough great thing whole space . we regular , & quot ; Classic & quot ; , room , @ $ 173 per night ( AAA discount , never check ) come $ 200 taxis . room decent size nice warm yet contemporary furnishing , large flat screen , roomy enough bathroom ( one sink , shower ) . complaint AC focus head bed head cold rest hot . Kohler sink design functionality , large , square shallow nothing go drain without help -- strange gross . plus , water pressure little low taste . otherwise , comfortable , great view quiet . bed firm , , comfortable . ask high floor . 20th floor could barely hear El significantly low probably would . decent view form room roof bar , not think room & quot ; well view & quot ; would worth , though suite would large appeal . overall , great stay make Roof new downtown destination recommendation town in - town guest . 's worth view along . Kudos theWit . 
 Aug 3 2009 	 muy buena elección 
