small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Jul 14 2009 	 disappointing Milford Plaza 	 Mi wife guest Milford Plaza 5 day unfortunately level satisfaction low . the rate low 30 % reduction offer ; however , low rate justifie follow aspect : ) room dispose simple chair , place possible seat bed ; b ) room noisy day night despite 20 floor : c ) sheet break ; ) attitude several employee peevish , authoritarian near impoliteness ; must recognize other charming person ; e ) bad reason disappointing wifi wireless connection provide ; expensive problem choose accept price use ; problem impossible maintain operative connexion main part time probably system transmission capacity enough huge hotel like Milford ; word , Milton Plaza offers- intermediary - service charge rend practice . 
 Jul 14 2009 	 Excellent Location 	 stay 21 - 26 June . location absolutely fantastic - around corner Times Square - room old clean let honest , New York do not spend much time room . security hotel great - could not get past security staff without show room key . the downside overprice internet access . quite noisy get use siren awhile . 
 Jul 10 2009 	 excellent location great value 	 enjoy stay Milford Plaza . 's perfect place stay visit New York theater . Broadway step away . Milford Club room clean comfortable . enjoy complimentary breakfast . staff pleasant helpful . will definitely stay next time plan theater overnight . 
 Jul 10 2009 	 never warn ! 	 Milford Plaza far bad hotel ever stay at . this hotel starter look ok outside , lobby somewhat ok security elevator nice . nice trying keep guest room . the room horrible . small put 2 suit case next wall cramp room . radiator make ton noise wall paper thin . guest next we leave alarm clock could hear hour room . finally call front desk say nothing could . 9 oclock . get shower find shower 50 year old water turn hot cold without warn . complain say & quot ; someone check fix & quot ; shower return problem . complain move we new room alot big nicer . however flushed toilet whole bathroom flood water . stay 3 day total end stay request get refund stay say would happy , would call manager duty . given run around 3 week never get refund end . please take advice beyond location rooms sucked . 
 Jul 8 2009 	 always great time Milford ! 	 ' ve stay Milford Plaza since 2002 . stay June 23 - 26th total 8 room reserve . whole group LOVED location hotel never hear complaint room . stay Milford Plaza service desk people not always welcome attitude . put aside ' m close Times Square theatre district , need give key .. find kill w/ kindness help well .. security great .. get hang operate new elevator system will love .. long line anymore elevator . great business center need get line , etc . let us remember people be pay Hyatt price . need NYC hotel walk be block away Times Square theatre right next .. would rather pay less spend outside food , theatre fun ! go NYC 2 3 time year everytime go stay ... room clean bathroom . sure , be small go spend lot time room ? ? ? ? 
 Jul 6 2009 	 Top Hotel ! 	 ' ve stay hotel get good rate ad Expedia . hotel situate centre Manhattan ( close bus terminal Port Authority ) . subway entrance across street . room ood view Times Square . the room clean big enough put luggage floor . bathroom ok , especially New York hotel . we book Milford Club Room , include breakfast ( nice continental breakfast big room , newspaper , lot seat 8 computer free internet ) free internet room ( use cable bill internetusage room ( will not bill , be include ) ) .just like people mention , elevator system work perfectly , service people good . yes ! would really recommend hotel anybody . 
 Jul 3 2009 	 will not back hotel ! 	 thing hotel go location . right hub everything . however , bathroom disgusting .. mildew tub ceiling . bed ok ... room need much attention . tv tiny plug - in work well . honest good price either . we certainly back NYC visit Milford Hotel . would recommend anyone care cleanliness comfort . 
 Jul 3 2009 	 Perfect location perfect price 	 okay 's Hudson Soho Grand new temperature - control shower - head may temperamental be look perfect spot theatre show great dining realistic price hit spot ! choose Club Room offer ( give we exclusive use club lounge , complimentary breakfast internet til 1 pm ) work we . stone 's throw Broadway 's fine theatre block restaurant row ( 46th Street 8th 9th ) . 
 Jul 3 2009 	 excellent location close Times Square Port Authority bus terminal . 	 stay hotel twice . good value money . Noone else mention proximity main bus terminal , 150 yard , bus come go airport day night , believe . room average size city hotel facility adequate lift system security first class . bit noisy Broadway , would expect ? 
 Jul 2 2009 	 Time TLC 	 usual staff extremely friendly continental breakfast good . room , however need make - over despite large LCD tv.electric socket hang wire wall , hot tap bath / shower fall apart , tile seal bath look tired . Wi Fi . 
 Jul 1 2009 	 like hotel 	 hotel shabby , room tiny staff unfriendly . agree location good opinion thing go . wonder what s scaffold outside quite time wonderful renovation go , certainly could see internally anyway . family stay hotel Boston , Cape Cod Washington trip hotel provide internet access , Milford Plaza charge guest ( unless member exclusive club ) think rather mean . New York good long feel hand anything tourist , beware hotel good value money . search around , ' m sure well , know next visit NY , stay Milford Plaza . 
 Jun 28 2009 	 Excellent Hotel - back ! 	 stay 5 night June 15th . Flew JFK get AIR TRAIN JFK Howard Beach station $ 5.00 per journey . ( pay get Howard Beach ) buy 7 day Metro Card would work cheap we would use subway everyday , $ 25 dollar . ' ve hear Taxi would least $ 50.00 . take hour get hotel subway get Port Authority station literally 30 second hotel . really easy find look big letter top hotel ! check go fine ask room high well view also think might bit quieter - away car beep horn ! got room 19th floor great . wanted need double bed , good shower hot water space put belonging also clean get ! Room actually clean everyday one day leave note ask 2 extra pillow time return afternoon . noisy tired walk around pretty much sleep . hotel perfect people look somewhere sleep explore New York . leave hotel turn leave walk broadway right front Times Square - hundred restaurant , tourist shop - sell LOVE NY t - shirt jumper everything else think . eat Hard Rock times square great , burger huge staff nice welcoming - think restaurant busy 5- 6 pm people eat go show broadway . also eat Famous Daves BBQ restaurant really nice , portion ridiculous - way much food ! get Muffin main meal weird taste good ! Times square get go toy ' r'us see massive ferris wheel inside ! normal touristy attraction Top Rock - Empire State Building - Statue Liberty - Central Park - Grand Central Station - Natural History Museum - Yankees baseball Game - Macy 's Bloomingdales place easily accessible hotel . also go Little Italy China Town would really recommend . China Town great bargain sell Perfume , Handbags , Sunglasses etc . little Italy load great restaurant - obviously Italian- amazing Pizza Lombardi 's Pizzeria would actually go far say good Pizza ' ve ever ! also go Ferraras - cake / coffee / ice cream parlour lovely aswell New York cheese cake gorgeous . overall hotel great - perfect location price good aswell - anyone say otherwise way picky obviously negative outlook go way look bad thing say . put picture soon . have great time stay MIlford Plaza ! also never usually write review - first one , enjoy trip hotel much feel lol . 
 Jun 26 2009 	 Location Location Location 	 Milford Plaza old hotel undergo renovation near future ( scafolde already put around building ) . room small compare new hotel , room clean , bed comfortable everything room work . book called & quot ; Club & quot ; room include local phone call , internet access excellent continental breakfast Club room 3rd floor . support staff friendly people staff breakfast room pleasant helpful . the major advantage Milford Plaza location . attend 4 show NYC 3 within 2 block hotel . location 8th avenue also make easy access number restaurant Times Square . hotel on - site restaurant bar minor inconvenience . able get attractive room rate regularly check Milford Plaza website along site like hotels.com . reservation people Milford Plaza helpful call re - book rom low rate wound room 35 % discount . I would certainly put Milford Plaza list hotel consider time visit NYC . 
 Jun 25 2009 	 good location mediocre hotel 	 hotel near Times Square theatre . ( small ) room view wall hear noise airco . hotel nice , okay want something sleep near sight . 
 Jun 19 2009 	 Great Location ... 	 Excellent Location , near Times Square , Gray Line Sightseeing pick drop . feel secure due good security arrangement . room hear sound nearby room , tv voice , Bathroom tiny , yes really tiny , show floor dirty tile old feel like visit bathroom . go want good location - eg special interest theatre . 
 Jun 17 2009 	 beyond expectation 	 group stay Edison seven year . year book . expect much Milford reading review . , satisfy we beyond expectation . total 28 room one complain room . great security , awesome elevator system , good room service , clean , bug , dirt , peel wall , thing folk seem make write bad review . fantastic location , walk distance six play . 
 Jun 15 2009 	 Bed Bugs ! ! ! avoid Hotel 	 find large infestation bed bug morning first night two night stay . needless say stay second night . weekend trip ruin Management hotel helpful would guarantee refund stay . never stay , would recommend hotel bad enemy hope hotel come sort compensation horror endure . small infestation , many many bug gross know sleep bed . 
 Jun 14 2009 	 average hotel 	 's average hotel perfect location . really small room , mean really small disaster . toilet also poor . window break a / c hidde mos tof view ... see big well room next mine , obviously get bad one ... 
 Jun 12 2009 	 ok hotel good location close Times Square 	 arrive New York hot day queue huge check . check , first room still not service . come back , queue designate second room , even high floor . make way one still not service , come . queue designate another room even high floor ( think 16 hotel 28 floor ) . one service get . room 4 people 2 double bed . 2 smallish double bed room tiny . good job not spend much time room . not disappoint though . comfortable clean . not breakfast hotel , sort café see small coffee place sell ice cream , hot drink , cake pastry hotel huge . thought might sort restaurant , not . hotel great location , close Times Square . ever want go Broadway see Phantom Opera , stay Milford Plaza , theatre right next door hotel . also theatre Lion King road . staff ok not really talk much . hotel okish value money . 
 Jun 10 2009 	 would stay 	 stay two room -- four adult three child age 11 , 12 13 . comfortable , little cramp . location could not well -- block Times Square . staff friendly helpful security great . show room key get elevator , go directly floor -- quickly ! many eatery pizzeria within block could pick something quick inexpensive eat hotel . coffee machine room , give small refrigerator , gift shop lobby tea coffee takeout . bathroom clean , room little outdated . price great ! 
 Jun 9 2009 	 bad bad ! 	 stay first time overnight trip Manhattan 22nd wedding anniversary . even though news station claim Manhattan hotel price way - try find one ! ! ! want Times Square / Theater District dupe Priceline / Hot Wire many time chance book Milford Plaza despite negative review : place absolutely fine . yes , old hotel small room -but room clean , nice view 8th Ave . clean crisp linen , comfy pillow clean bathroom . need NYC ? people hotel stay Manhattan experience . location perfect , staff A+ like charm old place instead sterility new place . 
 Jun 9 2009 	 Business Travellers avoid 	 Bathroom clean toilet paper holder tear wall arrive . never deal mention two night stay . small tile bathroom floor come apart could see fix up bathroom involve large quantity silicon . forget want work - light horrible , connection wireless could get 70 % signal 8th floor - stable enough vpn connection . desk - regular kitchen - type chair corner . on side - instal interesting elevator system go designate floor - put call device . bit confusing first - quite handy realize input device tell elevator come you . it less expensive hotel may fine tourist come see broadway show . 
 Jun 9 2009 	 lovely hotel ... need bit face lift 	 hotel great find ... comfy bed , hot water great location knowledgeable staff hand look ... yes bedroom little tired problem sleep bed comfy home ! tired mean flaky paint one corner next air con unit ( probably due moisture / heat anyway ) little bit wall paper peel away ... hardly major issue simply shower sleep.plenty hot water ... do not flush loo shower ... may get hot shock ! ! nice deep bath great way rest tired leg foot . toiletry great addition . concierge good especially need direction specialist dance wear shop know exactly need go . security great ... access lift without show room key security guard ! ! fantastic trip ... rate hotel enough ! ! ! 
 Jun 8 2009 	 will not answer reservation line good could ? 	 never wind staying ask could negotiate refund cancel stay got hang . call back five time no - one answer . not treat would - be guest well , well could treat guest ? 
 Jun 8 2009 	 good choice could make 	 stay Midford Plaza Hotel 8 night work UN boyfriend go sightsee day . room small ( consider New York City standard perfect ) , clean touch warmness home . ask city view room get . Breakfast include really tasty . suggest hotel everyone , location perfect , two minute walk Times Square one minute walk subway station . room bottom floor avenue side little noisy often internet connection not work room . pro sooo many care . wonderful stay ! 
 Jun 7 2009 	 fantastic 	 superb location good price . bang middle city couple minute walk Times square . located theatre district easy access broadway show . room average clean . easy come room anytime want get rest several hour roam get energise go around more . but careful telephone charge , expensive even charge we use free phone number form call card ! negative factor stay.i would highly recommend mainly location . room average . 
 Jun 7 2009 	 good location see everything ! 	 northern New York state friend 's college graduation decide spend day Manhatton . Milford right middle Theatre District make perfect we see show check Times Square . though room tiny date , service Milford step everyone . make New York , definetely stay Milford . 
 Jun 7 2009 	 great location great fitness center average everything else 	 location good thing hotel . 8th Ave , 44 45 St . theater district . convenient . the fitness center 3 4 treadmill , elliptical , free weight , nautilus machine , yoga mat , etc . even learn switch turn noisy obnoxious piped - in & quot ; music & quot ; .There restaurant hotel , room service . there desk room , convenient place work . the wireless signal not reach room . the wired connection agonizingly slow . there wall power outlet , disconnect lamp order plug laptop . the hot water take long time reach 17th floor . 
 Jun 6 2009 	 brilliant hotel 	 stay hotel end May begin june-09 week , like lot people use site wary due previous report . however find hotel fabulous , fiance go Club would recommend basic room ( see basic room can not comment ) . club lounge open 6.00 -13.00 breakfast suppose 6.00 - 10.00 go one morning ( hangover ) 11.15 still clear stuff away still manage get something eat . staff polite can not enough . complain hotel look Hilton quality guest house price ! ! ! get amazing deal could happy hotel . would return tomorrow could room amazing separate couch comfortable bed zzzzzz . large flat screen tv , choice program great see Americans greet morning everyday ! Kitchenette must fridge freezer even though B B. shower glorious easy use gauge temperature , bath , love . know complaint people post go eye open . want decent base somewhere come home evening catch excitement day , room perfect . view room not care , not go hotel view go see New York ! ! ! people waste time look dirty grout mouldy corner waste lot money come New York . far exciting thing sit loo contemplate next escapade find mould , creature , nothing say reason look due say site . also hotel undergo massive overhaul return finish , would love see hotel improve . miss hotel bar inform one add new improvement . repeat go Club room offer make big difference we . big warning ! not go Charlyos across road rip comedienne extremely funny shame get rip would go see . want go not ! ! ! ! ! ! ! ! ! pay go free yup pay get back pay gratuity bill . conclusion would recommend hotel big style position quality . 
 Jun 3 2009 	 excellent location ! ! 	 mother return fabulous trip ny . second stay Milford Plaza . hotel excellent location .... within walking distance Times Square , Rockefeller Center , Port Authority Bus Terminal right middle Theatre District . room clean quite comfortable .... be old , everything need . secure build security helpful mother return home realize forget jewelry safe . call hotel deal security department find jewelry fedx would back Canada . accomadate helpful . definitely stay ! 
 Jun 3 2009 	 avoid Hotel like Plague 	 friend arrive hotel , tell , hotel full . , confirm reservation . lot people lobby desk however . tell employee make reservation we Hotel Carter around corner . well , know reputation Hotel Carter , be nearly bad get remain open . tell aware Hotel Carter would stay . tell reservation , want argue room take . leave find another hotel evening . of course , put damper weekend . send letter complaint hotel management get reimburse one night 's stay another hotel . course , would never consider stay low rate place ' m sure survive without business . 
 Jun 1 2009 	 great location gross bathroom ever . 	 Location could not beat , walk distance train , subway , Times Square , Broadway . room well insulate , noise audible neighboring room , traffic night . room small , although hear 's typical NY hotel room . hotel need remodel . bathroom exhaust fan , smell like musty , moldy , basement suffer constant seepage . bottle bleach would go long way toward minimize odor . well bathroom facility campground . hold breath shower , odor foul . not location , would extremely upset rate . NYC get pay , must pay far anyway else country . 
 Jun 1 2009 	 great location 	 Location big thing Milford get go , round corner Times Square , surround thestre restaurant . street Port Authority bus station handy get Newark airport shuttle bus ( $ 15 ) . also hunderd yard Grayline tour bus group head office main departure point 3 different tour . would go guy want good deal , lot stop informative guide . room clean small long extremely large person issue . staff friendly helpful . get Milford Club deal allow we breakfast internet access Clun lounge nice start day , good variety want coke breakfast egss will need go diner . one last tip - empire state building rate , want fabulous view go Top Rock Rovkerfella centre 5th Avenue , new fab ! ! 
 May 30 2009 	 Convenience worth something . 	 hotel look like tired old building room bare minimum . stay twice first time tell remodeling would great soon . come back next year friend book . see change . think Motel 6 type accomodation book hotel . one thing go location . close everything , especially Broadway show . staff mostly nice . major complaint charge much internet . tell 29.95 per day internet . needless say , without . also , breakfast bar unless pay extra , coffee room , poor gift shop . absolutely amenity . 
 May 29 2009 	 good point bad . read booking . 	 be basic , good value hotel great location look . style quality hotel big part holiday probably look elsewhere . Milford Plaza unbeatable location . 's moment away Times Square Broadway , make excellent base explore city . be relatively cheap area , staff friendly checking - in breeze . downside , be badly need renovation , 's clean hotel ' ve ever stay room miniscule . we opt upgrade club room , think might appreciate breakfast facility . even arrive NYC thought eat diner morning , reality bagel coffee hotel lot less hassle . Club Lounge open 1 pm , , make handy place get cup coffee morning tour city . also contain bank computer terminal free internet access . our upgrade supposedly mean large room , although case begin imagine small standard room must . be barely large enough hold double bed , although basic facility would expect : tv , safe , old noisy air conditioning unit , bathroom shower . our bed comfortable , although come sheet blanket rather quilt / duvet . bathroom small adequate work bath shower . people point , decor serious need update . be dirty , exactly , feel well worn little shabby . try straighten picture bed find screw wall wonky position . the room would benefit double - glazing , . New York loud city even 23rd floor , sound street clearly audible . contruction go across road we , not especially noisy , seem involve blow air horn 7 am morning , certainly . pair earplug must easily disturb noise . in summary , want place sleep grab breakfast , not go break bank , Milford Plaza definitely worth consider . 
 May 27 2009 	 Excellent experience ! ! 	 stay Milford Plaza May 19th May 24th vacation husband . little scared read negative review post , boy worry prove wrong . experience EXCELLENT , great value money . service A+ , friendly staff doorman check clerk room service , room adequate size , clean , bathroom new fixture , great city view window . read complaint noise , however 26th floor one upper floor ( 28 total ) , face towards back building noise minimal nonexistent- would guess noise low floor face 8th avenue , maybe address check - in make sure get high floor face back . elevator system fast , enter floor number keypad elevator assign go directly floor . hotel 's location well , right near Times Square subway station block away . Broadway ticket see God Carnage surprise Jacobs Theater literally next door hotel . checkout simple fast , phone tv . stay recommend 100 % . 
 may 27 2009 	 good last day ... 	 read review , mixed feeling give try , price right location good first visit NY . staff pleasant , feel secure , sure , old , everything work . housekeeping start early , sure use disturb sign . check make sure bathroom clean , sheet clean AC work - good . wall thin , bring ear plugs noise issue . stay 4 night , room crash night clean morning - okay , little hanky - panky process , sheet end floor . throw bathroom expect clean sheet . get late last night go right bed . morning , pulled sheet find disgusting mess someone else old , dry blood bottom sheet . can not even sure sheet ever wash . glad process checking , creepy . along think great , reasonably price hotel - thank . 
 May 26 2009 	 Job- not expect 4 Star Hotel 	 read many review decide stay not surprised disappoitne outdated bedspread , thin wall , curtain , furniture , etc . literally room shower sleep 5 night NYC suit well location price . many restaurant nearby , several subway station within block hotel . beware : counter space bathroom- luckily , alone use half bed toiletry ( glass shelf mirror sink run length mirror , foot would guess ) . fitness room comparable 4 star hotel- nice , far nice hotel room . internet access 3rd floor ( $ 5 10 minute ) . ask quiet room ; room 19th floor , away street , not earplug , would awake drilling go nearby ( sure hotel street ) . can not imagine loud would room face street . upon check 530 catch early flight , haul 40 pound suitcase ground level- elevator , escalator go , . time day , one bell man outside sidewalk quick . hope something add hotel upon remodel 's completion . not think would stay Times Square ever go back NYC , first timer NYC , convenient location get public transportation , food , show . many tour begin Times Square well . 
 May 26 2009 	 Perfect location helpful staff frill room perfect price 	 stay limited budget New York make easy booking room , go New York twice stay twice . 's Time Square make place go within walking distance , lot great restaurant around include John 's Pizza across road . not see much staff always pleasant helpful . 's guy station front lift time ensure people room key allow access resident floor great peace mind . would definitely go back ! 
 May 25 2009 	 excellent location ! 	 title reveal , location hotel absolutely perfect one block Times Square lot theater restaurant minute walk entrance , subway entrance half block away , minute walk Port Authority Bus Station 15 minute walk Penn Station . I girlfriend stay 5 night , May 18 May 23 Milton Club Room complimentary breakfast , access Milton Club Lounge ( breakfast serve 8 free internet station ) wire internet access room ( wireless internet access include ) .The breakfast alright lack basic thing ham , salami , cheese fresh vegetable put sandwich . hand , reviewer already mention , possibility bring back water Milton Club Lounge even though water bottle small ( 150ml ) nice able grab couple bottle head explore Manhattan . wire internet room work first two day , minor glitch bite poor performance . experience sort DNS problem hotel able fix even though manage send guy room ( one call , 30 min wait , breakfast break personal visit manager station lobby ) , however able surf Internet connect laptop work vpn use dns ' work . the room size enough two person small wardrobe safety box inside , iron board iron also locate wardrobe nice . bathroom ok change towel every day ( even though hang door shower curtain ) . room also air conditioner unit nice even though bit loud turn night . room locate 12th floor corner 8th avenue 45th street , able hear street noise annoying . . thing complain regard room might clean room ' stay bad all . the staff nice , security hotel excellent ( could gain access elevator floor room locate unless show room key card security guard ) possible store luggage hotel free arrive early room ready . 
 may 21 2009 	 Excellent Stay 	 stay 5 night break 7th may , upgrade club room arrival $ 30 night disappoint , room good size , clean everyday fresh towel never run toilet roll , even spare roll closet . location excellent , times square one block away subway corner place little away . breakfast good never run let yu take item fancy snack coffee later . staff friendly security attitude problem mention review , people think ask see room key must something wrong cos simply protect belonging . even go one day room door close fully , return belonging still leave . give we corner room 18th floor 2 window view 8th ave across hudson . numerous theatre doorstep small walk away restraunt row across road , could ask well location friendly staff . 
 May 20 2009 	 Great experience ! ! ! ! ! ! 	 stay Milford Plaza seven night end December 2008 ( 20th - 27th ) mother girlfriend ( double double room ) . be one good location NYC absolutely nothing complain , contrary , compliment make . delicious breakfast , great location , excelent value money ( book advance watch 48 hour promotion one get - 50 % ) . really recommend Milford Plaza also ' m stay 10 night year . Best Regards , Rodrigo 
 May 19 2009 	 Nasty 	 13 - year old daughter stay hotel 4 night early month would go back . plus side , price certainly good , location fabulous , staff pleasant helpful , like 24 - 7 security get elevator . know room would small would old , basic hotel ... smell room AWFUL . Mould chemical - smell cleanser product mask perhaps ... room tired look dirty ( although admit pull bed apart check anything untoward , find nothing ... thankfully ! ) . room small keep catch nasty bedspread door come go ... finally , bring laptop we base promise wi - fi access , get tell wi - fi available due renovation . budget hotel , smell hotel really problematic ... 
 May 18 2009 	 Budget hotel great location 	 would say good thing hotel location : couple block Times Square , middle Theater District . subway station half block main entrance . this no - frill hotel , room ok bathroom clean . extra , restaurant , bar fancy lobby . anyway , lot fine place eat walk distance . time stay hotel , undergo big renovation , maybe guest might suffer , lucky . big hotel lot people lobby anytime , not offend guard ask room key taking elevator . overall , Milford one good deal find NYC honestly feel ' m get exactly ' m pay . definitely would stay hotel . 
 May 15 2009 	 Great Hotel first NYC Experience ! 	 daughter find Milford price could afford , come Tripadvisor see folk say ... reading quite review feel would fine we . sound small , old , friendly , secure . well surprise absolute best location , love wander Theatre District , hotel easy find Penn Station . top much large expect , service excellent , everyone friendly helpful us first timer . find clean comfortable , secure , quick check . hope opportunity visit NY surely hope stay . great value money . 
 May 13 2009 	 second honeymooner 	 husband go New York celebrate 25th wedding anniversary . 9 night Milford Plaza Hotel . Milford Plaza old & quot ; tired & quot ; hotel think fantastic ( & quot ; bed bug & quot ; ) ! ! pay extra Milford Club brilliant enable access internet , gym breakfast lounge save we lot money . clean feel safe . tip maid $ 2 every day clean . take earplug though - street noise ie siren quite loud . fantastic location 2 block broadway Times Square . lucky get great rate US $ 137.50 per night include Milford Club Lounge . would stay perfect location everything . 
 May 11 2009 	 great location safe clean 	 Milford expensive hotel Manhatten , clean . room comfortable ( view nearby construction pleasant ) , safe . IIt closeby Port Authority withnincome bus subway -- -so can not get lose ! security people time elevator ensure safety , come leave . close theatre -- wonderful ! onlycomplaint checking -- -everybody brother check time -- course receive time attention . we wait l/2 hour line help come . -- -a good , clean , safe , convenient place stay . 
 May 11 2009 	 comfortable safe hotel close Times Square 	 stay hotel week May 2009 . hotel close Times Square , roughly minute walk . 's location brilliant . also close Times Square walk hotel 's always busy feel safe matter time day night . inside hotel constantly member staff wait lift must show room key get elevator , another nice security aspect . the room average . bed comfortable clean bathroom . three main problem room , arrive tv not work . call helpdesk one ever come fix . end fix . secondly , air con work . thirdly pressure shower would cut room nearby use bathroom . would last minute time annoying . overall however hotel recommend people look safe , comfortable place sleep near times square . hotel little run place , wallpaper peeling behind tv cabinet room bathroom door need replace , central hotel reasonably price would recommend it . there splenty place nearby grab food . personal recommendation go John 's Pizzeria one block , excellent food reasonably price . 
 May 7 2009 	 first time Manhattan 	 Wife stay Milford Plaza Hotel … 17th floor . almost everything perfectly . room small adequate … everything bathroom work ; bed comfortable ; view adequate ; street noise ( control ) survivable height . employee well … everybody extremely helpful . rate awesome compare every hotel Manhattan … average around $ 175 per night deluxe … two double . one really tough night . next door neighbor party wall old hotel especially thin . finally midnight call security . say ' send someone right up … honestly ' think happen . call , finally pass 1:30 noise . next day ask security it … they apparently system write complaint .. " remember " call say send someone up … hmmm . one small glitch . overall , experience wonderful , would definitely stay .. ' right heart theater district . 
 may 6 2009 	 go back ! 	 stay spring 2008 . location hotel fabulous , especially 's first time . 's literally round corner Times Square . ' ve New York time stay around Times Square time pricy hotel , would say Milford Plaza definitely value money . staff friendly , polite helpful time . room top range get pay pay absolutely fine room . hotel room older slightly run not come New York sit hotel room ! location hotel sell point 's right seventh ( restaurant row ) . try Frankie Johnnie 's steak house across road , gorgeous steak . would definitely recommend hotel . like go back year Thanksgiving ! 
 May 4 2009 	 Feb . give hotel 5 star ... drop 3 star 	 stay Feb 09 think great bargain . pay time feel get lot less time . still superb location - truly heart theatre district short walk time square . disappoint we time Milford Club . think still $ 30 option - close 1 pm - sit 8 internet location long available guest . , could access internet 6:30am - 9 pm ( think ) . long snack afternoon - big shame loss internet access . room slightly big time corner - two window love . bit upset check - try locate reservation ( make sure come equip confirmation number ) . overall fine - super deal think back February . would still stay right price . public transport right outside door block away depend want travel . 
 May 1 2009 	 nice hotelgreat location . 	 stay five night recently . be little bit apprehensive expect reading review , ` worried . check - in quick room time . some reviewer say room small expecting , pleasantly surprised room ample sized need . there double bed comfortable lovely squashy pillow . a nice flat screen tv internet access game console . the bathroom little small clean plenty clean towel replace day . there ` wardrobe , small closet style cupboard hang clothe small safe come handy . there air conditioner window useful temperature high 80 ` ! lifts good work order . the staff pleasant helpful . a continental breakfast provide 3rd floor . there usual - cereal , bagel , toast , fruit , fresh orange , etc . all great hotel like lot say , fantastic location . 
 Apr 29 2009 	 could not ask ! 	 arrive home 5 night leisure trip girlfriend stay Milford Plaza times square . say ? well read several review particular hotel , entirely flattering , bit bullet book stay . instantly upon arrival fear alleviate check - in experience cleanliness room bathroom . greet extremely courteous efficient receptionist give we room 23rd floor . surprisingly large , easily housing four large suitcase , comfortable double bed complete pillow top mattress add comfort ! bathroom clean , housekeeping provide plenty clean towel every day . room also high enough away hustle bustle noise city . hotel outshone expectation would hesitation recommend any - one stay tick right box i.e - value money , cleanliness all - location . 
 Apr 27 2009 	 excellent location poor staff service 	 Excellent location , close Times Square Broadway . hand hotel old date . room small , place put luggage . thing remember long time car garage service . take hotel 's garage one night ( price 40 usd ) . charge 80 usd ( mistake ) wait car 55 minute instead 20 minute , late return rent car nervous . apology , nothing . responsibility . really , poor client relationship . 
 Apr 26 2009 	 small room need upgrading 	 travel whle ago forgot write review . for worth , find hotel bit shabby enjoyable stay in . the staff desk rude room tiny - small hotel room ' ve ever . nowhere store clothe live suitcase week . one side room mirror pathetic attempt make room look big . the bathroom also small toilet come away wall . clean either . hotel 3 star stay 2 . much accurate . great location worth stay want bit comfort . 
 Apr 24 2009 	 Fantastic Location 	 hotel fantastic location Times Square . book 40 % rate $ 154 include 14.5 % taxis ... seem run different discount .. keep check rate ... get low wiling pay .. book ... Abundence stores/ resturant row . load entertainment spot ... subway around corner ... security locate elevator make sure guest ... check bag downstairs room ready check hold spot need leave city day ... cost $ 3 per bag .... pay 1/2 drop 1/2 pick bag ... room 2 double bed ... spacious enough overnight .... clean expect .... bathroom could little clean .... price location fantastic need ... 
