location 	 stay Thanksgiving , reduce rate , would disappointed pay full price . first impression upon walk lobby much potpurri , must hide bad smell . room ( jr . suite ) roomy , gloomy . obviously water problem paint / wallpaper chipping peel , large swatch patch ceiling . bathroom small put use towel bath kit . next ice machine make pound noise day night . & quot ; continental & quot ; breakfast available upon request , rich price plus 18 % tax . room service . location excellent , 2 block mag mile 2 block lake . doorman attentive , could even reach front desk call . room available sale nominal price $ 450,000 , basically efficiency . 25 million dollar renovation brag appear go purchase flat screen , 2 per room decor . 
 stay somewhere else next time 	 warm feeling walk lobby . woman behind small desk not smile seem put bit . stay two night . upgrade Deluxe King Suite . room nice clean . sofa hard uncomfortable sit . bed comfortable , bathroom size postage stamp . room two people put anything . fact , toilet close wall would sit toilet paper rub leg ( ' m petite size 6 ) . take shower husband splash water wall outside small shower . tub ! call reception checking see room large bathroom tell none , one large bathroom big upgrade not available . definitely enough room two people time ! live outside Milwaukee travel Chicago quite often stay many hotel downtown . choose Raffaello big renovation . old hotel upgrade room quite bit . stay back mid-80 's lot improvement since . convenient Magnificient Mile $ 400 two night little much get . also eat new restaurant & quot ; Michelin star James Beard Award & quot ; chef . neither we impress decor meal . okay nothing write home . aware bar ( six seat ) right door everytime open , cold air swirl - brrrrr . 
 Aug 24 2008 	 enjoyable stay Raffaello nothing spactacular 	 stay Raffaello find great rate ( $ 150 / night ) Hotels.com . hotel perfectly adequate , would quite upset pay full room rate ( $ 250- $ 300 ) .We lucke get quite spacious room -- probably Hotels.com deal room 2 double bed , oppose king ( thus require bit room ) . echo reviewer say variation room size -- fine , see room ( particularly end 6 , another reviewer state ) tiny . variation alone might enough keep booking , really idea expect . the check - in process fine , like hotel boutique feel . say , level hotel ( base regular room rate ) , would expect professional courteous service . , nothing particularly bad , fact everyone quite nice friendly , & quot ; matter fact . & quot ; not mean sound & quot ; snobby & quot ; regard , pay regular room rate , definitely would gotten pay ( proactive service , real desire go way helpful , etc . ) .quite annoying lack free internet . want access room , cost $ 10 per day -- huge expense , quite irritating give much cheap hotel offer free wireless pretty much matter course . print boarding pass free business center , free ! luckily , several cafe place ( Apple store ) within walk distance offer free internet . other small annoyance : vend , provision USA Today ( would like real newspaper ..... ) , bar / restaurant ( though understand build one ) , access free printing ( except boarding pass ) , tiny closet . all say , room quite comfortable , new flat - screen tv dvd player nice addition -- love option stay one two night watch movie . room well furnish , bed comfortable . bathroom spacious , enough room , quite well equip ( outstanding shower ! ) . location outstanding -- close Magnificent Mile ( peace mind ) , walk distance subway many bus line , walk distance Lake Michigan beach , etc . overall , nice stay , feel like $ 150 / night , get pay , . beware pay regular room rate -- probably much well place kind money . however , find good deal , will quite happy choice . PROS : Location , comfortable room , boutique feel , friendly staffcon : free internet , unpredictable variation room size , value / price get 
 Aug 19 2008 	 Good Price / Quality ratio downtown location 	 Raffaello typical Magnificant Mile Super - Hotel , gilt , gaudy , stale overprice . clean , modern , stylish hotel great location attractive price quality . when arrive , realize upgrade suite ( reserve standard king ) course always treat ! suite enormous : large sitting room area kitchenette , couch , flatscreen tv . bedroon also flatsceen tv , huge king bed , large area store suitcase . bathroom style : large glass shower one round , -fashione shower head spray . also , major plus : bath product L'Occitane Verbena scent ( love ! ) complaint ask restaurant recommendation concierge leave evening , people front desk could tell one restaurant suggestion . well informed kind thing . overall , excellent choice , perfect downtown location . 
 Aug 18 2008 	 absolutely love 	 superb time Raffaello Hoteo , concierge ( Darren Jared ) push every button possible us pleasure talk .... make new friend . can not say enopugh accomodation , staff course Concirege -- -all suoperior 
 Aug 18 2008 	 great stay great location 	 wife reviste chicago 2nd aniversary . hotel great . love 18th floor deck view city lake . complaint mine plumbing . could hear wall everytime someone flush , shower , turn sink . bed every comfortable service great ! ! ! ! 
 Jul 30 2008 	 update small average customer service 	 travel world know 's thing perfect hotel go .. get , check we give we room still construction go back get new room not apologetic . get room small ! clean update , small . Europeans would ok , need space . whenever need something front desk ask question , rarely get smile time act bother . door man nice though ! want truly make name go beyond , GREAT service , lack . would stay , great hotel Chicago stay , not match . 
 Jul 28 2008 	 Great Hotel great location 	 stay Raffaello way O'Hare . party 5 two adult child , daughter law granddaughter . want stay heart Chicago nice place treat everyone travel long way family reunion . Raffaello meet needs expectation . book two standard room upgrade two suite . room beautiful . spacious sit room separate bedroom french door . bed comfortable ' ve sleep . furnishing top notch . hotel centrally locate Michigan Ave , close Rush St. able walk choise many fine restaurant take walk tour area . staff attentive yet unobtrusive . great stay . 
 Jul 26 2008 	 Kinda tiny 	 's okay . really small bedroom even large king room . bathroom ridiculously small weird opaque pan door mean beloved uninterrupted view going bath . location great . staff keen please slightly less qualified . concierge not really know anything not read Magazine . price , 's pleasant hotel prime location . not expect miracle $ 200 night . 
 Jul 25 2008 	 Great Location Nice Rooms 	 stay two night great boutique style hotel . staff overly friendly , book two king room since travel two kid , want adjoining room not , least floor . receptionist nice enough put we floor long room two double bed actually well we . turn advantage since room two double bed quite bit spacious . room nicely decorate , newly renovate ( room # 711 & amp ; 712 ) . previous reviewer state room end & quot ; 6 & quot ; small think 710 quite small . drive Chicago Toronto valet parking expensive $ 45 / day .. find car park block towards lake $ 24 / day . hotel self - park , around corner $ 28 / day . enough parking unloading / loading luggage front hotel . drive around couple time finally husband unload car side hotel 's front door ( hotel situate corner ) , continue parking garage . because travel young child , glad bar fridge could use refrigerate milk , juice yogurt . emptied bit put everything back check . hotel not fridge definitely plus we . elevator bit small sufficient . stroller three adult , 's hold . would not stop stay again . free coffee lobby hour . GREAT LOCATION ! not move car carpark . pay $ 29 / adult Chicago Trolley Co./Double Decker bus valid two day on / off privilege . really informative always city tour learn city find would like revisit . go Chinatown , Millennium Park , shopping , restaurant , etc . Navy Pier walk distance even couple full playground within walking distance , one around corner one lakeshore find way back Navy Pier . also find Oprah Winfrey live couple block well penthouse apt . 
 Jul 15 2008 	 really like hotel - HOWEVER 	 stay hotel daughter . recommend , careful checking . bill film view , also bill mini bar use . phone call Dublin last 2mins cost $ 16 , think steep . 
 Jul 14 2008 	 happy 	 check quickly run catch Cubs game . see room surprise small . figure room small . next morning look map floor realize small room floor . talk small . speak manager tell we could change room make sound like reason room ask full size bed . decide stay room lot trouble move . room end 06 get change . room really small . place be not bad . 
 Jul 14 2008 	 look place sleep ... 	 location hotel strong point- left lot desire . start positives- double room clean nicely furnish bathroom really huge- downside shower type half glass door leave chilly shower ! room ventilation poor air conditioning sort smell musty hard sleep in- ( wake congested morning ) thing make hotel get 2 star unbelievably poor service ..... front desk could not answer basic Chicago direction generally clueless everything ask . need umbrellas- do not any- take ! ! make mistake mini bill ( bill we thing do not even see th e menu ! ) elevator small slow well walk room- even 10th floor ! all- would sum say location great , that s . 
 Jul 7 2008 	 Magnificent Weekend 	 stay hotel weekend vacation two . hotel update quiet . in meantime , location extremely convenient , one block Michigan Ave . shopping food . John Hancock Tower , Water Tower Mall 900 Michigan Ave . less two block away . room flat screen hd television dvd player update bathroom great shower . small continental breakfast high speed internet available . business center allow print ticket reservation free enjoy spa service find work center one well use . we look forward restaurant come soon . 
 Jul 7 2008 	 Loved Raffaello 	 Location , Location , Location ! family find Rafaello awesome location individual taste ! doorman & quot ; Joe & quot ; helpful . assist arrival departure . staff acknowledge entry hotel day many entry departure . bedding sleep well experience anywhere ! truly treasure location keep give ! 
 Jul 3 2008 	 fabulous location 	 fantastic location price cute boutique hotel . stay six night find location perfect many activity : head Starbucks morning coffee , walk shoreline firework Navy Pier , stroll Magnificent Mile , get CTA pass Waterworks six day , catch bus Science Industry Museum , walk river , Grant Park , Chicago Art Institute ( long walk ) , head observation deck cocktail lounge John Hancock building late night one else . upon check , friend end 15th floor ; end sixth . look window see dirty towel huge basket . immediately go request room floor friend , never return 6th floor . give two bed room fine we . bag move immediately , drama . view hotel , however , roof top give glance lake & quot ; face & quot ; view John Hancock building right across street . bed comfy , room always clean ready we end day , business center open 24 hour ( need Oak Park reservation Chicago Architectural Foundation boat tour ) , find staff cordial , helpful , job well- although not need except question two . eat morning feel want walk breakfast rather pay $ 15 head continental breakfast . Starbucks become morning destination . cab hail easily , Chicago Transit Authority Red Line block away , recommendation concierge dinner Rosebud excellent ( albeit expensive love ! ) downside- touch soap residue shower corner , bump floor old wood underneath rug , small glass shelf ( small hold sundrie ) bathroom . disabled room , friend , sure room equip grabrail etc ... shower overhead , coiffed , could problem hair- wash mine everyday love it . this full service hotel . location , location , location . active ( not mind walk use power chair ) want see city , place . 
 Jul 3 2008 	 Great Hotel 	 family 4 ( mom , Dad , 17 & amp ; 12 year old ) return four night stay Raffaello could not happy accommodation . get great rate Expedia book grand suite , room assign we ( 405 ) look like picture website . room extremely clean provide plenty room four we ; luggage ; purchase . minor flaw , could call second day ( Sunday ) , return room around 4:00 p.m. -- still clean . housekeeping crew come shortly thereafter ask haul dirty towel provide clean one -- . like review state , location great -- great place breakfast across street ( Mrs. Park 's Tavern ) ; Tempo ( another great place breakfast ) short walk away . bellman nice friendly go way greet we name . additionally , front desk staff also helpful 17 year old son look information internet various & quot ; music & quot ; store print information . definitely back highly recommend hotel friend . 
 Jul 2 2008 	 Excellent Hotel Great Location 	 recently stay hotel wedding anniversary . live Western Suburbs Chicago want weekend getaway close home still heart everything Chicago offer . hotel nice , staff excellent location great . step North Michigan Ave Water Tower . easy walk cab ride anywhere downtown . great experience . 
 Jul 2 2008 	 good value location ... could improve 	 Stayed Rafaello Hotel Chicago 3 night Deluxe Suite , wife long weekend . the good : modern decor , clean ( part ) , friendly / helpful bellman , awesome location - 1 block Michigan John Hancock Center , ability print boarding pass free business center , comfortable bed , easy get taxi . the ok : decent breakfast food , seemingly indifferent front desk staff . deluxe suite look much large picture site . sofa sit area uncomfortable . could hear people next door we fairly easily . the bad : Shower floor disgusting mildew grow corner . Shower glass go halfway wall , water splash bathmat floor . Thermostat work properly ( could adjust temp ) , cold time . free wireless internet . 
 Jun 29 2008 	 Great Stay 	 get great deal Expedia , absolute steal Chicago available directly worth check here . hotel lovely , come hear sure . staff friendly greet we time come hotel , door man espeically chatty informative . room gorgeous , comfy bed , nice kitchenette area large fridge , mini bar price bad actually . bathroom huge complete L'Ocatianne amenite nice . Shower superb , really fault hotel . location great . quiet street 2 minute Magnificent Mile literally next door John Hanckcok Tower . also beach 2 block away . might ask front hotel next time though lot extractor / fan back bit noisy sensitive sleeper . cheesecake factory Hancock Tower , although chain , great meal superb service want something local hotel , head . 
 Jun 27 2008 	 Great Boutique Hotel 	 stay Raffaello recent convention attend . stay three night , Saturday Tuesday . it great small boutique hotel many nice amenity . flat panel hdtv room wide selection cable channel , fully stock mini bar snack tray reasonable price downtown city hotel . great bath amenity include terry robe slipper huge rain drop shower relax well high end soap shampoo . room spacious location near Michigan Ave many fine shop restaurant convenient . I find staff understand provide extra level service . arrive early check day room yet ready go business meeting . fill contact information upon check meeting coffee receive e - mail mobile device room ready . nice service ! two small elevator weekend weekdays small wait one come along . restaurant site many good restaurant easy walking distance . small buffet breakfast hotel typical powered egg bacon muffin fruit , etc . $ 15.95 per day . also Einstein bagel location block away light breakfast coffee dollarsthere $ 9.95 per day charge internet access one complaint many small hotel city do away nuisance charge . I would stay . 
 Jun 26 2008 	 great location bad service 	 recently Chicago business day company place hotel due locationthe location perfect , much else . service lacking , start door ; four doorman one offer help bag enter hotel .... watch co - worker struggle heavy luggage make way check ! room average , need renovation ; television work effort engineer finally repair ( co - worker 's tv not work either ) ; carpet filthy wear sock entire stay ; also room service- breakfast , start 7 am ( rudely tell front desk ) . seem common complaint reviewer . * second day visit raining . find umbrella room ask 4 doorman stand around outside door- pointed front desk . go front desk , pointed doorman tell ask .... one seem want help . eventually extract two umbrella front desk much effort little interest attendant help us.there must real shortage hotel room Chicago place stay business way 's run . thing go location ; needless say , stay . 
 Jun 3 2008 	 Perfect location 	 locate right next door John Hancock Observatory expensive shop , perfect location . staff extremely helpful , room great . bed comfortable good size , HD cable , really good shower . bit cautious reading review guest ' belonging go miss , locked suitcase case , fine ! reception smell really good ! 
 Jun 2 2008 	 Perfect Location ` ` Chicago '' aspect ! 	 love stay Raffaello Hotel ! friend fly New Mexico drive Madison , WI . easy location get we , via metro airport , interstate . impressed location . enable we shop magnificent mile , go great restaurant , & quot ; Chicago & quot ; big way without ever incur extra travel expense via taxi . able walk anything want see . and two woman fairly late , appreciative busy , well lit , safe surrounding . agree would stay next Chicago trip give high rating . previously stay several hotel annual trip , none well locate shop see sight easy reach . would definitely give high rating . 
 May 16 2008 	 great stay ! 	 stay four night one Grand Suites 4 month old baby . everyone accomodate nice front desk concierge . bellman sight help luggage travel light not problem . location can not beat . great place eat ( La Appetite locate front Hancock Center great breakfast / sandwhiche ) around corner hotel block Red Line ( great take Cubs game ) Magnificent Mile . lot taxi traffic never problem catch one go anywhere else town . room roomy miss tub . shower nice toilet place oddly bathroom 's awfully picky . oddity tv controller not work properly ( would adjust volume try change channel would switch back normal minute ) . overall love stay would not hesitate book . 
 May 12 2008 	 Fantastic Family Hotel Great Location ! 	 return trip Chicago wedding , stay Raffaello Hotel . truly wonderful experience . travel two small child , worried staff would unaccommodate we gear ( double stroller / pack play / etc . ) hotel sleek posh . exactly opposite , doorman bellman front desk / concierge staff , everyone treat we wonderfully . even give rise Mother 's day small gift two year - old . location could beat - one block Michigan Avenue , literally around corner hotel twice price . room spacious , even luxurious , many amenity . opt suite give two child , plenty room we ( babysitter wedding ) . would recommend hotel anyone , definitely back ! 
 May 7 2008 	 fabulous hotel GREAT location 	 mom recently mother - daughter weekend Windy City stay Raffaello . wonderfully charming , unique , classy hotel could not happy stay experience . staff extremely friendly efficient . arrive 10:00 wave 4:00 pm check - in time could immediately get room . room , nice excellent shower luxurious bath amenity . stunning view John Hancock build spacious room . bad back ' m use sleep Tempur - Pedic bed , bed extremely comfortable use high quality bed linen . concierge extremely helpful guide we public transportation . end cheap rate book directly hotel 's website ( cheap call hotel ) use triple membership , www.travelocity.com , excellent rate hotel . definitely worth check . overall , wonderful stay would definitely stay well recommend traveler . location beat . 
 May 1 2008 	 Nice Updated Boutique Hotel 	 stay hotel Business weekend partial work week . hotel date freindly staff willing help . originally put small corner room , say extremely small ( # 1116 ) . ask front desk put regular size room . help full . line say restaurant premise , not see one . see provide room service not use . room flat screen HD television update bathroom ( great shower ) . high speed internet business center . small Continental breakfast seem free will see $ 15 charge per person check . location right behind John Hancock Tower , 2 block Michigan Ave . also , nice Hilton Hotel & quot ; tavern & quot ; across street open late food drink . great stay , great location , nice staff ! easy experience Chicago , seem always cab ready need ! 
 Apr 22 2008 	 truly First Rate Five Star Hotel 	 husband recently return business trip Chicago . stay four night one suite Raffaello . hotel beautiful , room large spacious management staff impeccable . write specifically tell one incident . apparel wholesaler many sample . day depart , three key sample go miss naturally upset since sample crucial business . incredibly upset show Assistant Manager well George , General Manager . treat situation upmost grace professionalism offer reimburse sample whatever necessary make happy . return Los Angeles , find sample mispacke personal belonging . needless say , horrify ashamed . call George express sincere humble apology nothing gracious . stay fine hotel world say absolute certainty Raffaello one . thank George staff terrific stay understanding . good , Jacqueline Lee Rose , Class Showroom LLC , Los Angeles , California 
 Apr 5 2008 	 great location intimate set boutique hotel Raffaello 	 several girlfriend weekend trip Chicago . raffaello fabulous location . accessible great shopping nightlife Magnificent Mile boutique hotel private quiet . service great room size generous . suite allow we enjoy room force we use sleep get dress . relaxed room bottle wine shopping dinner . great set connect special people life heart vibrant city . addition enjoy girl 's weekend , could see enjoy hotel husband family trip three kid . highly recommend . 
 Mar 29 2008 	 Great Location unique style hotel 	 wonderful location style . small facility , not feel like walk forever hall get room . wish restaurant building . also not provide Sunday paper shopping ad - & quot ; Mag Mile & quot ; .Worth stay . 
 Mar 24 2008 	 great location service 	 stay Raffaello Easter weekend wonderful experience . great location obvious , also experience helpful friendly staff . my wife notice wedding ring miss 5 minute leave hotel . call front desk tell think left sink would come back retrieve it . it turn ring bury cosmetic bag leave hotel . gratified ( sheepish ) , however , housekeeping meantime start turn room upside attempt find lose property . thank much diligence . also find doorman friendly engaging . call car end stay , ready immediately . hope hotel stay year enjoyable past one . 
 Mar 10 2008 	 want risk hotel lock everything 	 honeymoon stay hotel . never treat poorly . bring lot shopping stay , second day two shopping bag removed room . bring hotel attention , say would get housekeeper contact we first thing morning . hear nothing 10 am , call front desk tell investigation take place . upon check enquire outcome , investigation still take place . front office manager , housekeeping manager duty would call we 5 pm , flight would leave . hear nothing . we call twice left message general manager phone upon return home eventually receieve call back housekeeping manager , investigation complete empty bag removed room . ask speak immediately general manager . call back , course never happend . rang eventually speak , call we liar shout phone end call hang unexpectantly . utterly shock senior person service industry could obviously rude . if wish risk hotel , lock everything ! 
 Mar 6 2008 	 shopping take room 	 recent honeymoon stay hotel , front inpression hotel look fine price location . then two shopping bag take room .. bring management 's attention , not care attitude sense . treat like liar . eventually ( four time contact hotel stay 3 time departure ) tell investigation show nothing remove , CCTV footage show empty bage remove room . ! ! ! ! ! general manager end shout hang . lock everthing away , want risk ! 
 Feb 25 2008 	 Great Value 	 great stay Raffaello . small , recently refurbish , boutique hotel fantastic location great rate area ( next door Water Tower Mall , 900 Shops , Hancock building , Michigan Ave . ) . hotel clean , well maintain , room spacious well outfitted . extra towel ( without ask ) , hotel housekeeping staff attentive need . bathroom modern decor mosaic tile glass . also great view room . on separate note , hotel offer nicely equip gym spa service ( pool ) , onsite bar restaurant . hotel offer in - room breakfast service near bar restaurant . understand hotel add on - site dining near future . additionally , two ( small - 4 - 6 ppl capacity max 3 ppl + luggage ) elevator entire hotel , elevator service could slow busy time . we could not happy stay Raffaello would definitely recommend friend family couple single look comfortable , affordable , well appoint accomodation great location . 
 Feb 25 2008 	 Crooks Liars 	 discourage everyone ever go hotel . this happen : arrive quite impressed room , location many thing . hotel really nice - 's people work worry ! last day forget considerable amount money pocket hotel bathrobe - fault , stupid thing ! remember money already airport . call hotel housekeeper assure would call laundry company make sure look pocket put robe wash . call hour later receptionist tell money find laundry company employee going bre hotel . call next morning , hotel manager say one third money bring back . call laundry company fax receipt confirm hotel manager receive money . call general manager complain say : & quot ; ' m go blunt , stupid thing hotel not take responsibility money already check & quot ; . course since hire lawyer crook hear soon . want emphasize apart take money , manager try blame laundry company it . to sum - go Rafaello will find beautiful hotel nice room . simply way know sure liar not go steal well . 
 Feb 25 2008 	 Raffaello great surprise ! 	 stay Raffaello 2 night . really do nice job withe renovation . stay 4 + year ago swore would never return -- dump , dire need renovation . from moment arrive , pleased . service receive form doorman front desk excellent . pleasant helpful . have lovely room ( quite large , look floorplan hotel , one large room -- corner room -- 1202 ) . room flat screen tv , large desk , 2 comfy bed . would say room much large stay Chicago price range . microwave , fridge ( honor bar ) , coffee maker . also large vanity area . small closet . bathroom spacious nicely appoint . large walk - in shower rainfall shower head . robe available room . the complaint housekeeping service . first morning , leave around 10 am shop lunch . return around 2 pm room yet attend . come , return depart again . we pay $ 160 Quikbook pleased quality . , course , location excellent ! would definitely return ! 
 Feb 24 2008 	 still deal w / billing issue 5 month later 	 enjoy stay give location nice room nice . however , still deal billing issue 5 month later due fact charge $ 1000 amex one night stay . happy handle . book hotel caution ! ! ! 
 Feb 16 2008 	 beware hotel ! 	 beware book hotel . incredibly stringent 72 hour cancellation notice , restaurant hotel , 4 pm check - in , never run hotel . 
 Feb 15 2008 	 still wait 	 hotel quite nice , room spacious well decorate , desperate need restaurant . main issue though two week there s still hold debit card . ' ve call three time time say refunded ' ve fax info credit company , time call credit company say not receive . stay hotel every couple month never problem , find hard believe credit company . point ' m going wait 90 day come . would not stay recommend . 
 Feb 4 2008 	 GREAT hotel ' Boutique ' feel 	 unexpected surprise ! usually stay Peninsula Hotel , due book snafu , end Raffaello . without doubt , new , favorite hotel Chicago ! quiet street right main part downtown , everything Raffaello absolutely design please . lush , comfortable bedding , well design room , hotel staff truly know mean quality service . I strike particularly quiet room , overall , hotel . polite , knowledgable door personnel unobtrusive , ever ready please . competent , friendly polished front desk staff make property great choice alternative hotel ' behemoth ' Chicago . the mini - bar stuff pricey item . have feel upscale , London hotel . I would endorse Raffaelo heartily visitor Chicago . 
 Jan 23 2008 	 Loved Staff Location 	 stay two week Raffaello one bedroom suite . suite large come queen bed bed room fold murphy bed living room , two flat lcd tv . room . decor modern clean bathroom little small side . room also coffee pod machine coffee awful room fridge full price goody . staff extremely help full polite , door man Neil , Jordan Robert always help we direction carry shopping bag room . great relaxing time stay ! 
 Jan 22 2008 	 Cozy Convenient 	 visit Chicago past weekend deep freeze , Raffaello come rescue . hotel unlike many hotel ' ve stay since fairly small . however , charming conveniently locate . my girlfriend book Expedia 4 day MLK holiday weekend . hotel $ 35 cab ride O'Hare , transfer include , take . arrive , area look deserted , two block away Lake Michigan , arrive late Friday evening . check fast ever experience . room 6th floor overlook another building , not fabulous , room nice . clean , fairly roomy , nicely decorate . bathroom large new shower , plenty L'Occitane toiletry , vanity area . minimalistic look . two double bed , two closet small chest drawer . mini bar snack , advise hotel STOCK ALCOHOL mini - bar . walgreen far away Michigan avenue not want pay $ 6 water . obviously , every hotel mini bar rip complaint . flat screen tv , bad hard change channel angle . little annoying , big deal . get paper every morning , maid staff never barge ungodly hour , plenty towel . gym small ( 3 treadmill , 2 efx two bike ) weight resistance ball . never really crowded . business center 5 computer printer . access internet 8.95 hour . not get enjoy breakfast , restaurant hotel anything breakfast . two block away Michigan Ave ( much like NY 's 5th avenue ) . close walk . across John Hancock tower ( must - see , great view city , like height ) great restaurant call Bistro 110 close Michigan Ave , . great brunch French Flair live music . overall , great quiet hotel access shop restaurant . summer probably also great choice since close beach far Navy Pier . staff kind hotel reasonable close . would definitely stay ! 
 Jan 8 2008 	 magnificent hotel Chicago : Raffaello 	 hotel conveniently locate magnificent shopping along Michigan Ave . interior decor hotel luxurious elegant . service excellent . defintely stay Rafaello whenever Chicago . 
 Jan 8 2008 	 stylish comfortable 	 two we spend week , get great last minute deal online . impressed refurbishment staff encounter polite , helpful friendly . read review non - inclusive pricey breakfast , decide eat ( food room , though abundant also greatly over - price , say hotel ) . facility location make hotel winner though - little touch like fruitbowl , earphone cover , hand sanitiser towel gym great ! be go Chicago shop , really could not well place - famous John Hancock skyscraper 2door away ! overall great experience , would return Raffaello time . 
 Jan 7 2008 	 walk everything - nice room 	 great service , upscale boutique hotel . room urban kitchen live area - almost like little condo Gold Coast . 
 Jan 1 2008 	 love Raffaello 	 Great hotel -- terrific location 1 block lakefront Michigan Ave . contemporary decor -- do well -- vintage building . big room terrific bed linen . love decor -- new furniture clean . bathroom great -- big walk - in glass shower plus nice vanity . room small bar / fridge / microwave furniture rest room . classy place good price . use mile buy room think normal rate around $ 200 . go versus Drake Knickerbocker nearby pay fortune get & quot ; lost & quot ; huge crowd . hotel 's valet parking expensive $ 40 -- recommend self - parking within 1 block hotel half price . definitely go back ! 
 Dec 26 2007 	 Great Location ! 	 stay Raffaello 2 night Christmas shopping Chicago . can not beat location right Michigan , around corner Hancock tower . also , check tell book king , king bed . expect bad , clerk say , & quot ; ' ve upgrade deluxe king suite instead . & quot ; wow ! ! great service . restaurant not do yet , know going not plan eat hotel anyway . would definitely stay - staff pleasant polite , hotel clean great upgrade room ( finish , flat screen tv , rain head shower , etc ) . 
 Dec 24 2007 	 wonderful Boutique Hotel 	 read several review Raffaello Hotel decide take chance book room 4 day stay . find Raffaello wonderful choice . location really can not beat . staff friendly helpful . room spacious well appoint . dead winter snowy cold outside . room heat nicely thank location never far walk . thing wish Raffaello restaurant bar . leave hotel . oh elevator tiny . well worth price . definitely return Raffaello . 
 Dec 7 2007 	 Continental Breakfast mislead 	 Hotels.com description property indictate would continental breakfast although specifically state include say fee internet service . see continental breakfast available description list item assume include $ 15 / pp . definately worth $ 15 / pp . warn . Hotels.com fix description customer get wrong impression . 
 Nov 14 2007 	 Cool Cozy Convenient 	 recently stay Raffaello hotel Chicago work relate convention base quality stay , compel post sincere compliment . stay 3 night one suite 8th floor thoroughly impressed room ' layout sleek décor . wife accompany trip love convenience hotel ' location shopping Michigan Ave , also quality room . find bed comfortable conflict whether leave shop stay , shopping eventually mention close decision ! trip involve evening dinner function convenience separate vanity bathroom critical let we prepare unrushed event . give room ' sleek décor would reservation invite friend evening nightcap . although opportunity tempt could show room ! colleague stay mega - hotel host work - relate convention rather envious give description Raffaello . wife love look forward stay Rafaello , perhaps casual weekend getaway Chicago . sincere compliment Rafaello staff accommodate . look forward visit Chicago stay Raffaello . 
 Nov 2 2007 	 good stay 	 one night Raffaello , quick business trip . Room fully renovate , bed comfortable , bathroom fixture modern . quick trip not much time check hotel - lobby seem small though . excellent location Michigan Avenue street Four Seasons meeting be . I would stay . 
 Oct 24 2007 	 disappointing service staff 	 although location room spectacular , thing stuck mind leave . Staff seem uninterested working , lack info question catch airport shuttle . thank , see give check , claim roomservice , not , later find breakfast room service . ask plunger fix toilet , bring hand we , expect we fix toilet . weird , housekeeping wake we morning knock door say , & quot ; housekeeping & quot ; , even day check ! would stay hotel , many nearby would nice location wise . 
 Oct 19 2007 	 Fell Love Raffaello ! 	 book Raffaello recommendation one friend travel business . seem come convention time , even though rate high well worth . moment check staff great , especially bellman night front desk staff . lobby beautiful , remind small european hotel stayed backpack Europe . room nice size decor nice . love shower bed . good sleep . location great shopping restaurant . signature Room right next door drink good view city . would definitely recommend busniess leisure traveler alike ! ! 
 Oct 12 2007 	 Urban Chic - Fantastic Location ! 	 book room hotwire.com get great deal . however , check in - the hotel record reservation . obviously fault accomodate make sure issue resolve without incident . room beautiful , clean update - very chic urban . mini bar amazing ( even though not splurge ) completely stock wide variety tempt snack drink . location superb ! conveniently locate John Hancock building lakeshore , right Gold Coast . highly recommend hotel steal get , would try hotwire . worth ! 
 Oct 4 2007 	 hmm .. location great hotel could well 	 location go , can not beat hotel Magnificent Mile shop John Hancock Tower . unfortunately arrive cloud dust front door construction still ongoing . plus side , get access hotel early normal great arrival large suite ( pay $ 490 hotel 's website ) mop bedroom , toilet paper empty cigarette packet crisp floor living area - maybe chase cleaner would finish ? ! Decor nice new , bed comfy free internet ? lesson learnt- check convention timetable travel Chicago last minute avoid pay odd hotel ! 
 Sep 21 2007 	 excellent stylish good value 	 excellent hotel deserve well rank , likely get one renovation complete , nearly . select base price location pleasantly surprise quality place . book week ahead time Expedia ( think ) pay $ 190 per night , . room ( # 1609 suite ) clearly renovate recently high standard . great bed , really good linen , two LCD flat panel TV 's , lot nice touch include granite countertop stainless steel microwave ( actually use heat Chicago deep dish ) , iron ironing board , stylish bathroom ( shower ) . room quiet clean . neither see hear evidence renovation , except everything appear new . see posting mention not - so - good service service great . & quot ; front desk & quot ; , simple two - person podium , refreshing change long monolithic reception counter find hotel . not hesitate recommend place . also recommend Bistro Campagne Lincoln Square ( 25 min cab ) . 
