nice 	 check review try find something expensive area , decide book City Hotel . disappointed . enter twin - bed room 4th floor think go pass heat , able turn efficient radiator comfortable level even though control knob stiff . surprisingly spacious , clean nice view City light . bed little small hard side , would prefer duvee rather sheet blanket , still comfortable enough , reasonably quiet . bathroom small , surprisingly enjoyable shower small non - power - shower rise , complaint . not breakfast , would cost additional £ 10 . good value City hotel ! 
 Feb 17 2008 	 CIty hotel 	 book hotel last min.com £ 110 2 nights.it cost we £ 40 park car hotel - we though include cost room come quite shock ! hotel locate near tube station good say feel safe walk hotel station especially night . room ok nothing special . do not like night try sleep constant noice police siren help already form opinion great area . choose try local resturant can not comment however nice look chinese next hotel . stay london lot time cheap bad hotel far . 
 Feb 11 2008 	 bad hotel ' ve ever stay 	 picture look nice not fool . nightclub ground floor go 3 am . even though 5th floor room rock ... guy behind desk rude unhelpful . end leave not even offer refund . room basic not refit ( guessing ) 20 year . Carpet wear . bad experience . 
 Jan 30 2008 	 good location nightclub open till 6 am ! ! ! ! ! 	 stay City Hotel Saturday night ..... bit mistake ! ! ! room nightclub open 6 am ! ! 3 am , time get back room nightclub full swing noise bit much . the club close 6 am , take another hour everyone club leave street . it make sightseeing next day pretty hard couple hour sleep ..... check 11am . the room roomy clean , shame noise .... would go back . 
 Jan 16 2008 	 alright hotel bad location 	 three friend recently stay hotel one night whilst visit london . location terrible , like ghetto fine , however , four young woman , find unsafe shabby . hotel look place . upon arrival greet less impressive welcome , staff bearly speak english rude . first give wrong room , complain give we different one , still room book . book executive quad room website picture look fantastic , reality , give family room absolutely nothing like photograph decor leave alot desire . hotel undergo building work awake loud bang drilling . say , bed towel clean , suppose get pay hotel be not bad , would deffinately stay , would recommend anyone . 
 Jan 3 2008 	 nice enough 	 stay City Hotel 2 night . choose mainly due low price . neighborhood pretty shabby , room fancy , spend time discover rest London anyway , really not care . , hotel nice enough look place get rest sightseeing . however , go back London , would choose hotel even well location . 
 Dec 4 2007 	 bad hotel ' ve ever stay 	 three work friend stay hotel one night christmas party family room 4 adult possibly bad hotel ever stay , arrive check staff short polite . as soon step room strong smell damp floor board curl corner decor date also damp patch ceiling . when arrive back room two bed absolutly soak wet , water drip ceiling light , bed wet unable sleep , call reception not seem bother tell we hotel fully book not able move , one friend sleep floor . in morning member staff come inspect room not apologise offer explination , check ask refund , not even question obviously knew not go offer we refund discount . at point apologise offer kind explination matter . I would never recomend hotel anyone would never stay . 
 Dec 3 2007 	 Night club versus hotel 	 room clean , reasonable size & amp ; general facility Ok . the main issue nightclub situate ground floor hotel & amp ; operate every night . much ( music emanating within club roudy patron leave early morning hour ( 1.00 - 6.00 ) .management need decide club business hotel business , compatible . issue raise management little interest concern show . cacelle booking recommend . 
 Nov 21 2007 	 nope ! 	 stay City Hotel September 06 find hotel much less expect . photograph Hotels.com hotel look fine , vast difference photo actual room . establishment tired dire need remodeling , due neighborhood doubt ever happen . view second story room window abandon build pile trash junk deposit front . charming ! room clean , air conditioning opening window invitation aromas curry noises Whitechapel . personally like curry , noise acceptable . not see bug . the breakfast buffet fine include room charge $ 155.00 per night . hotel close Ripper tour Underground . aldgate station around corner . room huge european standard say fine indian restaurant area . next time London find accommodation . 
 Oct 26 2007 	 great location super value Brick Lane 	 City Hotel one minute Aldgate East station , Whitchapel Street trendy Brick Lane . 's old hotel 's modernise many time , decor fitting seem miss sucessive refit . be great location , room large view street onto ' Pickle ' couple block away . service good , although staff seem East European , somewhat erratic English , willingness help make amusing ( sometimes frustrating ) conversation . good basic breakfast restaurant , adjoe bar busy night . 's dozens fantastic Indian / Bangladeshi restaurant within five minute walk Brick Lane . wild night spotsAs London price go , one cheap . well value money central London . 
 Sep 29 2007 	 Grunge Grunge stay 	 awful hotel . connection City sight tall building . would accurately describe Bangla Hotel . en route Brick Lane . I pay 3 night want move one Staff would refundDid not see bug ... would surprised ... see previous reviewdecor tired run downbad indian Music play loudly day nearby buildingsafety Handle Shower come handthere vacant lot across street full abandon washing machine fridgesaccorde taxi driver bomb explosion year ago outside may reason vacant lot 
 Aug 24 2007 	 Hmmm ok ....... 	 stay one night . the hotel locate near Aldgate East station , good location . but area around hotel quite ' dodgy ' look . street clean etc not like walk back late night back hotel . the staff pleasant . the hotel clean . stay double room , extra single bed , guess make triple . room large clean , fridge it . I fourth floor stay Thursday , never get hear noise club beneath . the hotel undergo refurbishment , u plan room 9 - 5 go to noisy . be fourth floor , good london , look thru scaffolding . the bed quite comfortable night hot . try leave window open noise traffic make difficult . room stand fan , ok really . I sleep pretty well . bath / shower powerful clean . Breakfast , full include deal . breakfast serve club , great , nice room / ambience music ( soft ) u eat . breakfast not buffet , u order bring . pretty standard taste good . despite surround area , look like dump ..... load indian restaurant locate close hotel . I eat saffron , pretty good . Hmmm sure one , think , hotel ok , surround area , would not stay hotel . 
 Aug 21 2007 	 unpleasant 	 Grubby . Old fashion . Noisy . not recommend . I need say . 
 Jul 11 2007 	 multiple problem 	 hotel extend night club next door , Cafe Suki . room first floor right club . Friday Saturday night impossible sleep 3am . btw , know , filter high frequency stuff , leave bass drum , modern music incessant beat essentially tempo ? wireless internet service spotty . signal seem come go produce frequent disconnect . multiple complaint front desk reveal probably always like ( not seem surprised ) could possibly improve it . our room ( 112 ) 3 microscopic bed ( genuine single , even twin ) hard . sit small desk room , least 3 inch back chair foot bed . for Yank , price $ 275 / night seem outrageous .... London . on good side , front desk girl pleasant place pretty clean . also , like indian food , be heart district Brick Lane ( Osborne turn Brick Lane north hotel ) . 
 Jul 6 2007 	 share bed bug 	 great location fantastic value room seem spotlessly clean . not morning realise would biten night beg bug . needless say first last stay . 
 Jun 28 2007 	 tired unhelpful 	 recently stay City Hotel London Osborne Street , choose due excellent location part town . however , deeply disappointed hotel - decor tired need serious TLC , particularly room . room tired , crack damaged floor , bath panel unattache reveal crust dirt underneath , shower head filthy , room corner filthy , curtain stain . arrival , staff ( though ) unhelpful . remind old - style backpacker 's hostel , though price - £ 130 - certainly not . hotel busy tourist , make regret would experience city London hotel . duly check find much cheap spotlessly clean room Ibis round corner ( lack character yes , clean good value ) . business , not matter hugely , part holiday , would pretty feed . hotel need serious update worthy room charge . 
 Jun 23 2007 	 awful 	 wife stay two night order see show West end . we arrive Sunday find bar restaurant shut - choose hotel specifically save we go food . room reasonably clean though mysterious mark carpet outside window full cigarette fast food carton . wife comment tiled bathroom floor dirty show sol foot first foray there . both night keep awake street cleaning , pass siren stench fast food come nearby indian food outlet . can not comment hotel food not feel like spend additional eleven pound continental breakfast . luckily pleasant sandwich shop next door provide we regard lunch . I ' m sorry say hotel redeem feature ! 
 Jun 16 2007 	 Plain Weird 	 hotel really weird , mixture unexpected good thing terrible general day - to - day thing . first book pay advance , get try make pay unhelpful downright rude . room large clean , great , lot complimentary quality magazine room , great , otherwise really , really dingy coffee facility dirty . bathroom also dingy . can not put word , feel strange hotel could not wait leave . one good thing terrific view gherkin build window . stay need Whitechapel business Ibis full . would not stay . 
 Jun 11 2007 	 good value money . convienant location . 	 stay recent short break . read review Tripadvisor ask high floored room book incase club noisy . husband 3rd floor room look front . ok , view not great spend little time room . surprised large room double two single bed . basic clean . hotel location handy . five min tube station serve several line . enjoy great meal Brick lane . must try 2nd Bagel shop hotel salt beef bagel delicous . 's 15mins walk hotel worth walk . club / pub hotel nicely decorate even Friday night not hear noise . 
 May 31 2007 	 excellent value grungy area . 	 away tourist area , good value hotel moment City end Brick Lane . personally love area , though overseas visitor may find bit tatty . tube station ( Aldgate East ) round corner , be need splash west End hotel . end evening take advantage excellent choice curry house Brick Lane saunter back bed . the room surprisingly spacious consider build - up surround area . staff pleasant , internet access , free newspaper , tea / coffee make facility etc , hotel well worth money . 
 Mar 10 2007 	 still good value 	 City Hotel regular base visit daughter , live dig Stepney . 's probably ideal conventional tourist want West end , want City East End be great . room vary big vast - room recently would accommodate 2 - bedroom apartment . photo show double plus twin bed sofa , not show wall devote wardrobe , dress table & amp ; tv , kitchen area fridge plus two armchair & amp ; coffee table ! full bathroom generous supply toiletry . less £ 60 per night two us - pretty good London . the room spotlessly clean , hotel whole , although corridor always smell cigarette smoke . staff polite , efficient helpful ( eg need make emergency repair trouser ) .on side - aware Saturday night disco night bar downstairs , go wee small hour . bring earplug - stay mid - week . also , past experience breakfast adequate wonderful - not bother time . big attraction we ( though , would not suit everyone ... ) - along road Brick Lane , ' Curry Heaven ' . Shampan Restaurant good , reckon . whole area deserve wander round daylight , still trace original Huguenot settler subsequent jewish community , be fascinating rather neglect bit London 's history . it be worth shop around rate vary enormously different internet agency . 
 Feb 22 2007 	 Good Noisy 	 hotel definite benefit . be cheap close Underground station . be near Brick Lane Aldgate East station around corner . love indian food , plenty great restaurant nearby . also close two different grocery store . room clean , comfortable surprisingly large european standard . bed not fantastic , not bad either . mini - fridge handy . breakfast not impressive , lot caffe nearby get full english breakfast cheap . view not great , really can not beat price . complaint club downstairs loud . second floor could hear music room . 's problem Sunday , stop 11 pm Monday Thursday . problem Friday Saturday go 3 . however , complain hotel staff take great care we . give we another ( big ) room high floor extra cost rest stay even throw bottle wine . would definitely stay , specifically ask room one high floor . 
 Feb 22 2007 	 Great Hotel London 	 wonderful , helpful staff , spacious sleek room , FANTASTIC location - easy walk attaction quiet street allow great rest . breakfast good . 
 Feb 19 2007 	 amazing comfortable good location 	 stay one night Hotel . room spacious - maybe require bit updating , bathroom ok , pretty clean . overall hotel ok - count fact sleep mostly walk sightseeing . fly Stansted Airport , train connection Liverpool Station . hotel locate 10 min walk station staff friendly allow we leave luggage reception arrive room ready early morning . find useful . expect economy , clean room would like sleep palace - would recommend Hotel . 
 Jan 5 2007 	 perfect incredibly good value 	 read bad experience guest , somewhat nervous get City Hotel . however , end pleasantly surprised . pay extremely reasonable £ 50 stay one night - although book single room , room get actually double 2 single bed . night not quite wild justify , brilliant large room plenty space spread out . the room clean - carpet corner sheet , tend look closely , problem . bathroom , , clean , nicely decorate . okay , glitch . curtain hang curtain rail foot , bit rough - looking could not achieve perfect darkness ( however , Brick Lane light Gherkin shine unlikely anyway . be City ! ) . tv room not work - seem someone nick battery remote control , even replace , not work . however , staff extremely helpful , within hour replace non - functioning set brand new ( big ! ) set . friendly helpful throughout . there also bit trouble door lock , keep stick , mean get help ( still helpful ) staff get room . oh , seal around bath plughole not properly seal , bath gradually leak drain it . but look , money location , absolutely brilliant . staff could every problem , could not nice . ( still repaint , way . ) , would definitely stay visit London . live London 7 year , know kind thing expect much money . absolute bargain . sign cockroach : - ) breakfast okay - nothing special , fine , host bar next door , quite & quot ; cool & quot ; ( believe young people say ) . good way getting get Aldgate East tube - 's literally 2 minute walk around corner . 
 Nov 24 2006 	 really London ? 	 accommodation ok regard bed & amp ; cleanliness . hotel staff bit indifferent , several reception staff seemingly chat russian . , however , helpful left luggage several hour hotel , since flight way past check - out time , book we private car ( taxi ) take we Victoria station departure flight gatwick . the restaurant , breakfast serve , refurbish stay . meal adequate rather disappointing . hotel location near tube & amp ; Petticoat Lane Market . area ethnic south asian enclave - heaven love curry ( not ! ) area right front hotel actually quite rundown . hotel room see several person , male & amp ; female , several occasion , enter alley right across hotel entrance relieve . truly room view ! visitor may find neighbourhood rather intimidate . we choose hotel price , great triple room decent size . otherwise nothing attract . next time visit London , happy small room well area , even view room ! 
 Nov 8 2006 	 Great Eastend location 	 Hotel situate Whitechapel High Street start Brick Lane . the hotel 's website describe financial district , case . area quite shabby fascinating . fantastic want sample multicultural Eastend London . market - Whitechapel High Street , ( Sat . ) Petticoat Lane Spitalfields ( Sun . ) great . load cafe , coffee bar cheap curry house . good transport link rest London . hotel room quite basic big clean , bed comfy . breakfast good . staff efficient friendly . would stay . 
 Oct 29 2006 	 good location 	 good location . stay 5 night . nice big room . friendli staff free copy daily newsaper . breakfast average serve restaurant . easy access u - ground East - Aldgate 100 m away . room view & quot ; Cucumber - building & quot ; . Bricklane & quot ; Bangla - town & quot ; place stay like authentic good indian / pakistainian food . nice plenty restaurant within walking distance . exit store lost different curry spice . would defnitely stay . FH , Denmark 
 Oct 19 2006 	 Complete Dive ! stay 	 Complete Dump ! cockroach bathroom , bedlinen clean .. Carpet smelly stain . spend extra money get something well ... DIVE 
 Oct 9 2006 	 place entrance Hell 	 ' ve stay hotel world , bad city , far away , hotel rank right plague . starter , not modern computer system run place , check , scramble figure stay mostly notepad paper . staff train , nothing seem function ( internet service entire time ) . book non - smoking room , say could not accommodate ( originally ) . tell leave , sudden , room open up . do CHECK LUGGAGE HOTEL . be foolish enough stay place , note check luggage room consist piece wire place handle luggage , keep open , FRONT DESK . laptop steal care , police say 's nothing do . travel agency ( Peak Travel ) say hotel liable , say , fine . 's warn everyone . let travel AGENCY BOOK HERE.The hotel locate section London routinely police car go , like siren noise police tape around crime scene , place . 
 Oct 8 2006 	 basic clean ... could TLC 	 stay 3 night tattoo convention Trueman brewery . we , ideal location . right tube convention ... also within walk distance Tower bridge & amp ; even walk teh river far westminster- bit hike nice dry day . also , hotel take many convention goer , nice atmosphere . room clean shabby & amp ; really need update . Adjacent bar/ restaurant Lane popular & amp ; contemporary do not match hotel ... refurb hotel vain winner . only pay £ 190 3 night right , certainly do not command £ 150 per night rate state hotel . first day ask battery remote , pillow , glass day go everything use , i.e soap , tea bag replace & amp ; keep ask refill . ask room rear hotel brick lane busy noisy . bin empty night , curry house never seem close constant alarm & amp ; car noise . , pretty noisy stay . free breakfast ok , have pay £ 150 per night have kicking . cereal , tin fruit toast start day get exactly . time strict though , come 10 am clear away . staff pleasant enough bit clash culture regard customer service polish eastern European ... standard service & amp ; expect hotel seem differ . all , stay pleasant enough paint job & amp ; customer service overhaul would recommend . 
 Aug 10 2006 	 stay away not like insect ! 	 arrive hotel pleasantly surprised , reception area lovely hotel bar . room decent size 3 single bed , although bathroom quite small acceptable size . however , put case ground bug run foot , bathroom another one . first 2 day 6 bug run around carpet . 4 hanger wardrobe living case , put case bed case crawl . bad part last day , brushing tooth see something ground bathroom .... huge cockroach . side panel bath fall run back could anything . last day not bother complain incident , keep bathroom door close block towel . bug may force weather hot ( approx 28 degree ) honest not make we feel well ! apart hotel fine , staff friendly breakfast satisfactory also . hotel 10 minute walk Liverpool Street Station around corner Aldgate station , be difficult get around , however look something central , may good choice . 
 Jul 13 2006 	 affordable helpful relatively convenient site 	 City Hotel good place stay good price . book early 5 month advance pay $ 160 per night quad room two couple . generously , let we check early hour permit we leave luggage morning get airport . helpful , multilingual staff . Aldgate Easte metro stop within 3 block . serve descent breakfast . sure late . woman accompany dark , large city . back London , would return City Hotel . 
 Jul 10 2006 	 City Hotel London UK 	 hustand two teenage son , stay City Hotel 6/19 6/29 . hotel clean though bit run ( renovating ) , front desk staff helpful though terribly friendly find accommodation sufficient . stay hotel summer beware air conditioning . 6/19 cool not notice return 6/29 window open ( screen ) dusty fan running . room 6/29 front hotel terribly noisy car truck race road - difficult time fall stay asleep noise . hotel so - so area . take underground , exit East Aldgate - less minute walk station . fine return early evening would want walk around dark . eat breakfast 6/20 local police stop car question & amp ; frisk three young african american man right outside hotel dining room window letting go . breakfast provide so - so . cold cereal , various type juice , look slice american cheese ham , toast , roll , coffee , tea . could not compare Paris , Rome & amp ; Florence . bright spot indian restaurant corner , Clifton 's . food EXCELLENT ! ! highly recommend chicken korma mushroom rice - FANTASTIC -- also , good naan . 
 May 30 2006 	 okay disappointment 	 go 18 month old daugter , mother , brother extended weekend holiday 4 night . book triple room crib londonnights rate 64 £ per night . read tripadvisor review regard average sized spacious room lounge area expect real value money . huge disappointment ! room typical shoe - box sized London hotel room three single bed squeeze inside barely little spot could put crib baby . room hotel obvoiusly come various size spacious describe previous review . the wall rather sound proof door . could clearly hear anyone pass hallway . however , fourth floor disturb noisy bar loud music . room fairly clean however find blond hair floor besides bed ( whole family dark brown hair ! ! ) . bathroom small , yet clean toiletry even tub . everything order except huge crack sink . we quickly realize amenity suppose present room accord website present . hair dryer , even though list brochure . disappointment since not bring trust amenity ' list . hotel also suppose wireless internet accord brochure , could not get laptop catch anything . ask reception tell we get voucher 3 £ ( 6 US $ ) last one hour 's internet access ! ! wrip ! regard hotel staff true might fluent English . also indifferent staff ever encounter upon . rude anything , indifferent . sit behind desk facial expression . never smile ' have nice day ' ' good morning ' anything . often pass lobby alone toddler stroller even anyone engage common courtesy gesture hold door . sit stone face like could care less . warm welcoming feel all . actually well positive thing hotel unique location . find asian atmosphere quite charming curry smell alluring . since eat halal food truly prime location . also happy find hotel 3 minute ' walk away beautiful East London Mosque . interesting multicultural neighbourhood . also feel safe bother anyone street . tube station Aldgate East less minute 's walk couple stop away London sight . ever stay would unique location since one find many hotel part town . would recommend hotel people openminde , tolerant prejudice towards religion culture . oldfashione conservative type ... well stay west end ! ! 
 May 24 2006 	 turn around leave 	 book four night hotel , upon see , leave . book hotel Hotwire , hope stay City ( London 's financial district ) . hotel appear within zone . unfortunately , not . fact , ' ve appeal Hotwire change map . City Hotel sit Whitechapel , accord Rough Guide London , accord personal observation . Whitechapel home London 's Bangladeshi community . community life center Brick Lane . Osborn Street , street hotel sit , turn Brick Lane . Whitechapel traditionally immigrant neighborhood . area rich history host several market worth visit , not would choose stay London . close Tower London , not offer leafy charm comfort West End . stay , know not neighborhood shiny skyscraper clean street . word , not City . street not line upmarket boutique eatery , West end . working - class neighborhood . hotel 's security seem iffy . street immediately surround hotel cleanest lovely London . area quite congested . City Hotel staff leave two set lobby door wide open street , make uncomfortable . local man ask we rather forcefully local liberate payphone use outside hotel . homeless person come partner , engaged conversation , ask money . upon check take elevator floor , find several housekeeper smoke listen loud music end corridor . leave stairwell door open , smoke permeate hallway , also room . , , sign poor management . staff assign smoking area disturb guest music . room leave much desire . although large include living room small kitchen , depressing . light dim , decor extremely date . one window ( kitchen ) , smoke smell bedroom dissipate , place feel gloomy , even relatively sunny day . one light bedroom not work . living room odd assortment furniture flowery , old - fashioned pattern . appreciate collection magazine leave guest , could make room 's failing . would prefer much small space well furnishing . find hotel staff less willing help . complain receive BBC1 room , staff say hotel receive channel . would US equivalent receive CBS , ABC , NBC . find hard imagine . several visit England , ' ve never stay hotel b B offer television receive bbc1.some staff member speak less - than - fluent English . say would leave , one member respond , & quot ; problem ? & quot ; cancel reservation stay another hotel , much happy . stay Notting Hill , later , Kensington mean could explore neighborhood around hotel without take Tube . Whitechapel far tourist ' path . not area would want spend trip explore . although leave name phone number hotel , general manager respond . City Hotel offer cheap rate London ( $ 77 , case ) , pleased pay stay hotel feel up - to - date secure . hotel 's star rating 3 , not feel merit rating . would give 2 star well . Europe several time . late trip 3 week long include 7 hotel . City Hotel bad lot . 
 May 9 2006 	 good Value great location sight seer ! ! 	 go London one weekend sight seeing decide book hotel online hand . find City Hotel decide go look quite smart good value ( comparason London Hotels ) . room quite basic tv , Tea Coffee etc everything need . menu restaurant downstair leave welcome file however go downstairs Restaurant close ( would nice tell we check ) . however tell food bar ( menu ) bar lively quite noisy opt go meal one local restaurant nearby . lot choose area mainly indian . return go bed find wall quite thin next door obviously get ready go ( 11 pm ) could hear conversation go . eventually leave return room 4 am , tired fall straight back sleep . hotel handy spot East end London . Tube right around corner extremely handy sight see Science Museum Tower London . area bit run Hotel fine . staff helpful friendly . overall would recommend hotel people look good value need close city centre . 
 Mar 8 2006 	 Saved Service . 	 friend stay City Hotel keen week - end rate . the first floor room spacious , well go rate Hotel Rooms London . Clean well present bathroom requisite good order . our problem become apparent Sat night seriously effective sound system begin operation Private Party Bar . the Hotels guide warn music Bar 0100 come go companion visit reception see could move music ( Vibes ) turn down . neither prove possible resulted letter complaint Manager . all might seem negative result City Hotel get raspberry exemplary manner Duty Manager General Manager deal complaint follow day ( Sun ) .The duty Manager meet we acknowledge strength complaint , apologise inconvienience advise we would recieve refund charge night . the Bar / Restaurant recently refurbish seem area skimp acoustic panel prevent upward escape noise . the moral story u stay Sat night avoid first floor room face front ... unless course u party animal case disregard this . all City Hotel attractive location anybody look hotel REAL London warren side street market immediate vicinity make interesting browse experience . 
 Feb 12 2006 	 wow- much much well expect 	 friend book we hotel whilst feel adventurous . tell like area book bit nervous wonder really like area enough stay . pleasantly surprised quality City Hotel . ' ve stay London various 2 star 4 star hotel , B & amp ; bs apartment great value . twin room 4th floor view ' gherkin ' basically balcony , large west end B & amp ; B would expect walk find 4 5 bed fill every inch floor space . spacious room , clean , bright ( although picture not justice ) , be stock tea make equipment large empty fridge- silly minibar item be afraid dislodge fear pay hefty price . despite city , find quiet trouble sleep . the breakfast continental serve modern restaurant nice hotel bar , substantial enough . apparently internet access one two computer clean bright lobby , not work three day stay . mate room rear facing also large , full kitchen ! oven , hob , microwave , sink , utensil , everything . neccessary 3 day certainly good know future trip . the hotel aldgate east tube stop ( District ) whitechapel . love spitalfield market ( sunday ) area Brick Lane . think area would daunt first time visitor , someone want stay close common tourist attraction , ' ve done already want nice clean , large room good value money , put City Hotel top list . 
 Feb 7 2006 	 Good Value Friendly Hotel 	 stay 4 night course . pay £ 55 per night double room double single bed . notice rack rate £ 160 . good nicely tile bathroom usual toiletry . fridge kettle . room spacious . room clean bed linen . hotel bar restuarant good . staff helpful friendly . also recommend Clifton restaurant ( indian ) end street excellent indian food lovely surrounding . 
 Feb 6 2006 	 brave hotel could turn favorite ! 	 hotel amazing weekend special offer . Brick Lane vast collection indian restaurant . traditional classic London near ' trendy area ' whitechapel , spitalfield etc . easily walk thru ' City ' incredible building right Convent Garden . hotel bit tired side , little bit scruffy £ 40 night brilliant stay quite cost double barely good . comfortable , good breakfast , good security , clean , good bathroom , private parking , 2 minute Aldgate East Tube station take anywhere . 10 min walk Tower Bridge ... tube strike walk everywhere . usual tourist Victoria / Hyde Park area want see , live , ' real London ' gem . 
 Jan 30 2006 	 ok hotel - good location 	 stay 2 night here . it good location nice staff there . but well average way . there bug thank for . floor dirty . Bed linen clean toilet mattresses linen skip off . do go unless business simply come sleep . I would take family there . breakfast simple , order omelett etc . but cheap don´t high demand . 
 Jan 16 2006 	 unusual good - value hotel 	 City Hotel locate Osborn Street , effectively & quot ; Brick Lane become Brick Lane & quot ; - 's convenient good indian food Britain , minute ' walk Liverpool Street , round corner Aldgate East tube . I can not fault hotel value , least discount price offer - book room £ 45 night end get suite bedroom lounge area , kitchen bathroom ! room clean furniture comfortable , although 3 * hotel would expect five analogue terrestrial telly channel . the decor mostly ok - interesting mural wall lounge area ! - fixture fitting need lick paint . room back hotel rather grotty view back yard . there noise bar Saturday night , excessive . the staff friendly efficient , breakfast buffet include room rate - not try good smell come breakfast room ! ( neither try restaurant , menu look ok ) .certainly good option budget - conscious traveller decent place crash long day wander around London . it slightly feel basic hotel 's upgrade meet requirement three star rather one be always way , price pay 's hard quibble , especially give amount space ! 
 Jan 3 2006 	 fantastic hotel East end . 	 read review bit wary stay City Hotel boyfriend could happy . we ' ve stay number London hotel , luxury budget , City Hotel value money comfortable . hotel room London tend small ( tiny ! ) side ( unless 're willing pay small fortune ) , City Hotel provide spacious room . complete bath / shower , fridge , tv , double single bed . room always clean high standard pressure room certain time morning enable room clean . staff polite helpful . breakfast would expect continental breakfast - cereal , toast , fruit juice , fine start day sightseeing . hotel also one stop away Tower Hill visit Tower London London Bridge . area not great east end . want surrounding row white - wash building tree - line street , stay west end ( near Paddington station ) , although will not find standard hotel great price City Hotel . hotel 30 second walk tube station plenty place eat area - great indian restaurant leave hotel call Clifton ( apparently favourite local footballer model ) , KFC Burger King junk - food junkie . 's also small local shop stock drink snack etc . overall , great 5 night stay hotel , can not say much complain ! notice people mention noise surround street night - time stay big city ! Noise ( not even bad compare city ' ve stay ) pretty much expect , whatever city stay - London , Paris New York . want quiet , relax break go stay country ! definitely look stay future , excellent hotel . : ) 
 Dec 28 2005 	 bagel 	 always stay City Hotel , visitor aware situate East End area appear seedy newcomer open mind chance experience real London . the hotel staff friendly efficient , room spacious clean , ample buffet breakfast.lively bar attach pleasant atmosphere . good public transport link West End try 25 bus see famous London landmark include St. Pauls cathedral . 
 Dec 5 2005 	 average stay 	 stay 2 night room four ( 2 single bed + 1 double bed ) . location ok since 's fairly close Liverpool St get e.g . Stansted express . otherwise need take tube center take time Aldgate East station around corner . the traffic noise nearby street may bit loud , settle later night bit even sleep room 's phone ringing . water dripping make noise bathroom ; hopefully be leakage pipe inside wall . the breakfast include ( tea , coffee , cereal , yoghurt , toast , juice ) good service ok . 
 Nov 21 2005 	 pay get 	 stay recently 2 night boyfriend London course . room little retro side , hate be sell double two single bed push together nothing hold place ! cleanliness room absolutely fine , problem bed bug , breakfast good serve much stylish bar downstairs ! , fairly average soulless hotel . might well stay Travel Lodge . 
 Nov 19 2005 	 stay away 	 seedy location . bed bug leave multiple sore chest back . 
 Oct 24 2005 	 pleasantly surprised 	 shortage hotel East London let face , area be not great . kind spot go vacation . however business tend nearby need find hotel easy get , right near Aldgate East station . I pay £ 55 ' family room ' sleep 4 , though 2 we stay . hope particularly high . however impressed interior hotel . reception bar ' the Lane ' belong hotel modern clean . check quickly also surprised find porter lift take we floor . something rarely get 3 * hotel , especially E1 ! reach room partner quite shocked . hotel room London notorious poky . however size apartment . kitchen , lounge , large bedroom single double bed , bathroom shower bathtub . the equipment room include desk , table chair , sofa , armchair , dress table , microwave , television , display cabinet ( admittedly rather random ) , trouserpress etc . it slightly mismatch ok , little shabby , still pleasing see . room quite hot believe someone else mention , two big fan cool we down . the wall lounge handpainte mural beach ( , random ! ) though try recreate Tuscany villa East London ! comfortable stay , able cook microwave meal enjoy evening plenty space . next morning complimentary breakfast . pay fiver full English stuck free menu . include toast , juice , cereal , croissant - usual . we also check easily . overall pleased stay . expect small dark untidy room instead meet big clean one . need stay East London would recommend . booking . 
 Aug 23 2005 	 seemingly average 	 price pay pretty much get . £ 55 pay one night stay . area around hotel seemingly blane boring . Liverpool street road nice . hotel literally 45 second walk aldgate east tube station district tube line hammersmith city tube line . would prefer metropolitan tube line , algate mainstation 3 minute walk away . tube close hotel 10 min central london destiantion . West end close tube . stay 5th floor , room 511 warm reason . window open inch 2 old , need replace really . whole hotel seems slightly wash colour effect , colour scheme generally cream wash red . internet access reception public anything want look privately online would not applicable . allow take key hotel hand reception leave collect return . room self standard size , seem clean constantly remind be not clean cream white colour everything . bathroom average hotel sized , shower total crap , shower bathtub turn force head water fire back wall , right onto dry towel back bath towel rail . say , £ 55 london expensive , live suburb , come say get pay . think ok say doubt will return . comfy pillow though . squishy one . 
 Jun 25 2005 	 would go back ... ever . 	 refrigeratordid work . conplaine tell design keep thing cold , keep sandwich go bad . try order room service ... tell not actually room service . well , get dozen bug bite sleep one tiny bed . oh , neighborhood seedy . 
 Jun 23 2005 	 Excellent value 
 Jun 12 2005 	 recommend family 
 May 30 2005 	 Excellent Value money hotel 
 May 16 2005 	 Hen Nights make welcome 
 May 13 2005 	 great hotel good location 
 Mar 11 2005 	 good family value 
 Feb 17 2005 	 good hotel 
 Aug 28 2004 	 good value 
 Aug 20 2004 	 excellent value 
 Nov 17 2009 	 Zona excelente muy buena relación calidad - precio 
 Sep 5 2009 	 Buon rapporto qualità prezzo . pulito . Ottimo servizio . 
 Aug 13 2009 	 Hotel viejo poco cuidado sucio 
 Jun 18 2009 	 Hotel pulito e accogliente un quartiere particolare 
 May 26 2009 	 Super Lage nette personal guter Preis bei Online - Buchung 
 May 18 2009 	 Buena relación calidad - precio situación excelente 
 Apr 14 2009 	 charmant 
 Jan 26 2009 	 excellent rapport qualité / prix 
 Dec 29 2008 	 Grenzwertig 
 Oct 11 2008 	 Decadencia en estado puro 
 Sep 18 2008 	 City Hotel Londra 
 Aug 15 2008 	 Maravilloso 
 Aug 7 2008 	 für den Preis o.k . 
 Jul 29 2008 	 Zentral - günstig - ok 
 May 25 2008 	 toll hotel super lage 
 May 14 2008 	 simple 
 May 1 2008 	 nice staying 
 Mar 12 2007 	 Correcto 
