good 	 comfortable hotel enjoy trip good location 
 Aug 10 2008 	 great stay perfect location 	 Hilton Garden Inn perfect location trip Chicago . ride free trolley Navy Pier , walk area museum , Race Street Magnificent Mile . plenty restaurant within walking distance . hotel spotless , real nice gym area pool , helpful staff . their internet hard wire seem slow , 's thing could even think less excellent . the city view room real plus . be sure firework Navy Pier like nightlife , check redhead piano bar block away . avoid UNO pizza ! 
 Aug 6 2008 	 great hotel great location 	 nice hotel perfect location . free internet ! internet ethernet cable , care can not carry laptop around room . not try complimentary breakfast , Chicago . get hotel try good food world . footstep away cta red line . walk hotel stairs red line train directly right . familiar ride train Chicago , perfect . see Cubs game , get northbound red line train , get Addison stop drop stadium . the hotel 's entrance unload area Grand convenient pull unload group luggage . attendant ask valet parking . Valet $ 40 per day privilege . self - parking $ 26 per day parking ticket validate front desk . regular price sign garage $ 35 per day . self - parking garage connect hotel entrance Grand Ohio . plan parking car leave stay , way go . self - parking , ask front desk validate ticket leave . time depart , will insert card automatic payment machine outside lobby right pay credit card cash . when go back Chicago , definitely go stay Hilton Garden Inn - Downtown . 
 Aug 4 2008 	 enjoy stay 	 room spacious clean ( look like new ) . bed pillow comfortable room refrigerator , coffee pot , free internet access . locate 2 - 3 block Michigan Avenue near lot restaurant shop . several theatre within short walk ( 5 - 6 block ) . negative housekeeping attempt clean room 5:00 pm get ready dinner show . would stay . 
 Jul 29 2008 	 Great Hotel ! 	 Hilton Garden Inn wonderful place stay Chicago . stay week 7/20 - 7/26 fantastic . room clean neat throughout stay . get stay 22nd floor , fantastic view . child enjoy pool several time stay . staff wonderful . one item many people mention convenience refrigerator microwave hotel room . grocery store right across street , able stock soda , water , orange juice , fruit , etc . , reasonable price . even purchase cold cut sandwich lunch room , help save money . every bit help ! excellent stay , bed extremely comfortable , hotel perfect location . would recommend anyone . 
 Jul 26 2008 	 Bad experience 	 hotel seem like good deal , 's location great sure . room nice enough ... however , problem begin check one night stay . rude staff norm . instance , couple little question need direction , pretty standard stuff , staff ignore we get attention , seem put - out . be Hilton Honors member ! also lot little inconvenience : - little sound proofing , hear everything take place hallway night long.- WiFi , plug - in internet ( keep laptop desk corner room ) - print service advertise work ( , one available help we use ) - run toothpaste , find complimentary toiletry forget something , purchase $ 5 plus only . and , attach restaurant , absolutely bad breakfast buffet ever hotel . leave early , one place open hour . big mistake . even 6:30am , food cold , stale generally bad . omelette , make order , good option available . something like $ 15 . ' m sure 's good meal , avoid breakfast ! ' m confident find something well Chicago price . 
 Jul 23 2008 	 solid hotel good location 	 Location great , right north side river .. good restaurant lobby ( weber ) , nice clean room .. & quot ; gotchas & quot ; - & gt ; loud A / c room & gt ; internet access ok , kinda slow & gt ; starbuck lobby not worth - full bux , take walk real one 
 Jul 20 2008 	 great stay 	 great location , clean staff friendly . room everything need comfortable . 
 Jul 18 2008 	 pleasant stay ( even though ' l ' stop close ) 	 call ahead alert hotel late check - in due flight trouble problem check around midnight ; room request ready we . the room clean , include mini - fridge , microwave , computer desk , etc . bathroom stock Neutrogena toiletry . we hear minimal traffic 18th floor room . enjoy pantry Starbucks find lobby . the front desk staff curtious quick map ask direction . problem check luggage front desk hour check out . we time eat Weber Grill restaurant find within hotel hear great . one downfall outside hotel 's control ... choose hotel 's close proximity red line ' l ' stop , find stop close upon arrival . red line next stop 4 - 5 block walking distance . be choose hotel base 's proximity ' l ' , call ahead check status stop - tell stop close often weekend repair . overall , pleasant stay . 
 Jun 25 2008 	 Great Location 	 get back Chicago want write review everything fresh mind . arrive early afternoon room not ready . check 3 pm , fine . hold bag sightseeing . return hotel room ready . first enter room 1711 slight odor . bad anything . go bathroom , mildewy smell . really hate smell . not bad ask room change . fan bathroom air circulation , mildewy smell going occur . thing bug . staff front desk change often . staff not really helpful . ask restaurant recommendation give answer & quot ; lot restaurant , list & quot ; . not really look . ask direction several time not helpful not seem care . one perk . warm cookie offer around 6:30 7:30 think bit later evening . red line train stop right front hotel another plus . location great . close everything . not think would stay , without attempt try another hotel first . not bad stay , think could bit nice room without smells staff would love help . 
 Jun 10 2008 	 Glad move 	 originally book Silversmith trip Chicago NeoCon , however book Orbitz room guarantee Silversmith oversell . move HGI , ' m glad ! close Merch Mart could walk instead take cab , many restaurant nearby include Weber Grill attach hotel , service great room comfortable . arrive around 11 , choice wait regular King room take King Wheelchair room right away , take Wheelchair room . not think room size much different , bathroon big enough wheelchair spin donut wheel - in shower & quot ; rain & quot ; style showerhead . bed interesting , like Sleep Number bed control side change comfort level . refrigerator microwave much appreciated , free wire internet access ( first free access come across Chicago ! ) . complaint drape cover entire window . 3 - 4 foot space A / c unit sheer cover , drape , morning sun shine right pillow . 's good thing ineede early ! also sort computer issue check , return room afternoon 2nd day key not work . go desk , tell book one night , show receipt Silversmith state two - night trip fix error quickly hassle . enjoy stay glad move ! 
 Jun 9 2008 	 want 	 Chicago 4 night sightsee , want stay somewhere centrally locate less $ 200 / night . hotel perfect . two block north river , two block west Magnificent Mile , subway stop right corner . the room clean , plenty big , lot towel . mattresse air - fill , control side - play , could not tell difference setting . comfortable - really could not tell not regular mattress . even though 15th floor lot street noise - live country , probably notice most . the front desk staff efficient friendly , valet nice , small area next front desk purchase snack 24 hour / day . I would definitely stay . 
 May 26 2008 	 nice quiet 	 hotel lot like - comfy bed , nice ( small ) pool area child tow , free broadband ( wire ) , friendly staff . however , be quiet . substantial gap bottom door , hallway conversation door slam clearly audible . window good sound insulation AC unit , traffic noise siren pour hour . I like well enough , noise come loud enough keep three year old getting sleep . understand 's hotel middle city , be loud . 
 Apr 7 2008 	 Great Location positive experience 	 boyfriend use Hilton Rewards point book two night . lovely stay . love location ( close many restaurant , shopping , night life ) . room comfortable quiet . may immediate neighbor not hear guest . bathroom tolietrie nice bed comfortable . coupon complimentary buffet ( might boyfriend high status Hilton Reward Points ) fill . would defininately stay would recommend other . 
 Mar 27 2008 	 Good Value 	 spend five night Hilton Garden read review tripadivsor . room clean , quiet , comfortable bed -- really good rate . however , high service hotel fine base rate convenient location . big complaint total absence door help arrive long 9 hour flight 3 bag navigate two door help . 3 front desk people watch , 60 year old woman , struggle process , help come aid . however , check - in clerk thoughtfully put high floor room would quiet . room going put 1st floor could enjoy roadwork do right outside . housekeeping little goofy . never towel count twice problem . creamer leave coffee also often leave , front desk always send call . my room quiet long one hall make noise . half inch space door threshold room hall noise come right . family group stay multiple room around really loud could hear get room . I please comfortable bed frig microwave . overall good value rate . raise rate , would choose high service hotel single traveler . 
 Mar 19 2008 	 Excellent ! 	 reasonably price hotel downtown Chicago , place hard beat . room smallish , clean recently update . bed room extremely comfortable , fridge microwave , great office chair , well design bathroom . staff universally excellent , especially valet parking guy , deserve special praise friendly , quick efficient . one quibble : wi - fi room , ethernet connection cable not far past desk . positive side , 's 24 - hour business centre allow guest print document either site room . also , heater pretty noisy , tend cold night also sensitive white noise , may place you . Breakfast Weber 's downstair extortionate $ 15 , Mary 's Diner street serve bland greasy food . 's Starbucks lobby 's open morning , another around corner 's open day long , local chain call Cosí block east , serve breakfast bagel , etc . gourmet experience , definitely edible . otherwise location fantastic -- within walk distance attraction Magnificent Mile , easy access El , etc . I would definitely stay . 
 Feb 29 2008 	 almost perfect 	 nice location couple block North Michigan Ave . shopping area . super comfortable bed clean room . include microwave & amp ; frig . really like hot tub pool comfortable temperature time year . ( actually warm enough swim ) . staff friendly helpful . thing wrong quite minor . heater blower could bit quieter bathtub bit slow drain . would definately recommend anyone want clean , comfortable , well locate , resonably price hotel . 
 Feb 29 2008 	 one night ! 	 stay hotel one night would definitely recommend . room spacious comfortable location excellent . the staff fantastic , helpful couple weary traveler ! quibble ajoine room folk connect door loud , loud 2 am morning could hear everything door . also take awhile figure use bath shower figure out . I would recommend hotel , be go though check Mary 's breakfast ~ head front door go leave 4 block 's . 
 Feb 20 2008 	 clean spacious excellent location 	 Booked hotel priceline quick business trip . clean quiet ; well appoint spacious room excellent location . business center indoor pool add bonus . would definitely stay . 
 Feb 16 2008 	 highly recommend 	 stay hotel alone one night disappoint . choose hotel base good rate find rather location , factor . room , 2119 , clean aesthetically pleasant . bathroom clean Neutrogena product provide . microwave small fridge . bed wonderful , fluffy pillow . want crawl great night 's sleep . take note quiet . ' m use hear people hallway next door regardless type hotel stay case here . I would stay . 
 Jan 28 2008 	 great hotel - Great Location 	 husband stay hotel 4 night January 2008 . hotel great central location close local tranport . hotel recently refurbish room lovely bright . would highly recommend hotel anyone visit Chicago area . 
 Jan 27 2008 	 could not wish well accomodation location 	 book hotel read review tripadvisor disappoint . hotel definitely three star eye . check painless able check early problem . staff friendly helpful . the room lovely , bed extremely comfortable . room clean tidy . housekeep exceptional job everyday stay there . the location excellant also , easy walk Magnificent Mile city . hop bus stop far away either . overall good accomodation value money stay . 
 Jan 12 2008 	 good base operation 	 will preface say hotel renovate complete March ; stayed & quot ; old & quot ; floor , take thing stride . go weekend shopping trip book room decent price good location . check - in interaction staff excellent . friendly , professional , informative , helpful always pleasant . room seem small first dark color , really adequate small kitchenette & amp ; nice work area . work station nice - sized desk , comfortable office chair well light . not hear well , note , definitely loud . old heat / cool unit rather loud ( annoying ) . siren bother wife ( 14th floor ) . not busy weekend , hear everything hallway . bed comfortable , soft wife . bathroom clean , rest room seem okay , suspicious deficiency , stain chair , drapery , wall ceiling ( not ask ! ) . tv hutch dusty top ( go store purchase way ... decide ) . carpet probably could use good cleaning . ' m sure much ' ve delay maintenance renovation , issue might rectify . ( fair , contact management situation ) . room service either Weber Grill ( ground floor ) Buca de Beppo ( block east ) . rib Weber Grill ( good ) be another story . give service , price location , assume renovation reduce noise cleanliness issue , would recommend property good base time downtown Chicago . 
 Jan 10 2008 	 great every Time ! 	 great hotel , clean smart , friendly helpful staff , good food , free internet , great location , big small ... great really ! stay time Chicago ! 
 Jan 4 2008 	 Poor Customer Service Maid Manager 	 place stay customer service price . hope keep least one person stay . Maid service knock door 7:30 regardless distrub sign . stay mostly Hilton property ( Hilton Honors Gold Member ) bad . call front desk maid comeback continue try get room open door say go away . check apology resolution . tell busy want room ready next guest . checkout time 11 able check room 4 pm arrive 3 day early . total lack respect undeserved . Hotel Management help speak good english . would return call register complaint Honors line . even Hampton Inn policy 100 % satisfaction . extend Hilton Garden . work major Vendor attend RSNA every year . stay instruct travel agent book room June conference place anyone possible . Gold Hilton Honors Member . 
 Jan 2 2008 	 great location value 	 Hilton Garden Inn Downtown / Magnificent Mile provide good accommodation , great location , reasonable price . Located State / Grand , hotel : couple block Magnificent Mile shopping area , subway station ( Grand , Red Line ) right door , numerous restaurant walk distance . room lavish large , clean decent , provide mini - fridge , mini - microwave coffee maker . small business center 3 computer free internet access ( use couple teenaged girl surf MySpace ) . small pool tiny fitness room . Weber Grill restaurant decent chain - type bar / restaurant steak / rib / burger . 
 Jan 1 2008 	 great hotel 	 hotel great , especially price location . expect dump becasue cheap not like read many review stay somewhere tend remember people 's comment . pay around $ 100 / night weekend X - mas , great deal . room clean , bed comfortable enjoy free wireless internet in - room fridge . room medium side , go Chicago sit room ? front desk staff nice offer we free shopping map helpful . park hotel ramp pay $ 22 / night park . cheap Chicago standard ! ! pay $ 40 / night park block away last year . location GREAT close Mag mile . be also ESPN zone across street , close McDonalds new Subway practically kitty - korner hotel . go lunch empty becasue new 's kind beat path . Weber Grill lobby - area smell grill food hotel hallway , even 22 floor , room smell . hear lot people hall , one next room . also , Chicago loud city will hear siren night , happen every hotel ' ve stay Chicago . pool area small , want relax , will work . would definatley stay hotel . look , find another quality hotel close Mag Mile price . ' m pretty picky nice hotel one pass standard . 
 Dec 30 2007 	 convenient great value 	 would return clean , safe , comfortable place ideal central location touring , great service front desk . stay Peninsula year ago knock - your - sock - off world class luxury hotel . -- 's nice business class Hilton family property . would actually prefer return one , instead Peninsula , centrally locate , not need pay luxury touring day . like walk , able walk boat tour , old Marshall Field Loop , Berghoff , Sears Tower , Navy Pier , Magnificent Mile Hancock building , HGI . Peninsula little bit north , less convenient Loop , find use many cab . great lunch Berghoff ( weekday lunch main floor good ever , include homemade root beer ) also lot fun dinner great traditional food german neighborhood place north , Chicago Brauhaus Lincoln Square . 
 Dec 19 2007 	 see clearly 	 Chicago lasik surgery lasik center recommend hotel close give discount people go center . get check appointment time front desk great . room ready say would keep bag take room ready . woman working desk gentleman help bag nice . ask get back center also tell we restaraunt area . great stay ! ! 
 Dec 16 2007 	 Disappointed ...... 	 hotel many good review decide book two week stay Chicago . 2 year ago , stay Palmer House Hilton think would try little sister ! be second week stay must say , ' m really disappointed hotel . not get wrong , hotel ideally place red line El ( Grand ) right outside door Mag Mile within walking distance . also , staff friendly room big expect , clean tidy . our main issue noise . everywhere . be 13th floor hear absolutely everything either neighbour , especially bathroom embarrassing party ! hear word word everything neighbour say be bathroom whilst be talk room . nightime , hear toilet flush either side someone decide late night / early morning bath shower believe , will know ! also , even & quot ; disturb & quot ; sign position door , will sure hear maid go daily duty , shout end corridor . ' ve also guest stand outside door animate conversation mobile , guest middle night . air conditioning unit another story altogether first night , come every ten minute go . report advise engineer would look not hear anything since . ' ve come way make sure outburt short sleep not disturb much night . we consider ask room move reckon room must , ' ve come conclusion wall make tissue paper . all , hotel certainly nice place , bonus three pc 's business centre access free internet please , be come peace quiet would choose another hotel . 
 Dec 9 2007 	 love Hilton Garden Inn 	 book hotel early November one night stay early December . use expedia get rate $ 99 plus tax . great thing park $ 22 night self park in / out privelage . parking garage attach hotel convenient . room king bed , microwave , mini - fridge , coffee maker , blow dryer . room feel exceptionally clean . bed therapeutic . comforter white soft could tell keep clean . feel like home , tacky , old multi - colored comforter / bedspread many hotel use . view good . staff nice helpful . pool jacuzzi tub 12 floor along business center . pool bit small clean jacuzzi wonderful . hotel great location easy walk magnificant mile Michiagn Ave much . mini - starbucks store right lobby . restaurant P.F . chang attach hotel along grill nice bar . would go back hotel , even not get great rate . tough get low parking rate hotel . 
 Nov 11 2007 	 Good Stay 	 attend convention week Nov. 6th . make reservation , try obtain room one exclusive hotel , sell due several convention schedule week . Hilton Garden inn pleasant surprise . room offer good view cityline , good size comfortable linen . picky sleeping quarter , suitable clean . bathroom adequate . service staff great ! first trip Chicago want experience luxury 's Chicago offer . hotel great location Weber Grill locate hotel good steak . also , corner , dine PF Changs , always good . make sure visit Hancock Observatory dine upper level lunch , make sure visit restroom view . also , can not miss Navy Pier . favorite , course , shop Magnificent Mile ! experience . needless say , come luggage weigh 24lbs leave 46lbs two carry shopping bag . 
 Oct 14 2007 	 luxury hotel - good value money 	 stay hotel leisure five day overall quite satisfied experience . big advantage hotel location - conveniently locate near north area two block away MagMile Loop . also one inexpensive hotel area offer spotlessly clean room , free high - speed internet access comfortable bed . service receive efficient faultless . additionally , find hotel much quiet expected reading review Tripadvisor . , find good base explore Chicago . what downside ? room well lobby bit small side US - standard . lobby adjacent Weber Grill Restaurant become pretty crowded time , especially breakfast dinner & quot ; rush hour & quot ; . Starbucks lobby limited opening hour ( actually closed time fancy hot drink ) big problem various grocery store cafe around hotel . , really luxurious place stay rather hotel offer above - average standard reasonable price . would stay ? similar occasion , yes . 
 Oct 2 2007 	 ordinary 	 hotel great location , however room amenity expectation . night stay website price $ 405 night - priceline $ 90 . latter price enough . room small . staff way less three star . take seasoned traveler .... ok , not pay lot . 
 Sep 27 2007 	 good hotel 	 good hotel , ideally situate . everything within walking distance . clean . friendly staff . pool small jacuzzi , business center high speed internet room . good thing hotel 's quiet hotel although locate downtown . Sita & amp ; Gieta 
 Sep 14 2007 	 great location small pool 	 stay long weekend Chicago . staff really friendly helpful . room pleasant would expect . hotel location great ( walk distance ) Magnificent Mile ( shopping ) Loop . plenty bar / restaurant area , include Weber Grill attach hotel . pool & amp ; jacuzzi , however sauna steam room , pool small indeed ! free internet access room , business centre not bring laptop ! 
 Sep 14 2007 	 friendly staff lovely room fantastic location 	 book room friend Hotwire get good deal room . check - in staff friendly helpful desk staff always friendly smile greeting whenever pass reception regardless time day night . room two queen - sized bed experience problem house keeping , bedroom bathroom immaculately clean every day . breakfast Weber Grill attach hotel first day low point stay . breakfast cold ( 10 am breakfast sevice end 10.30 ) expensive wait staff nice another visit ( time lunch ) food good . guest also quite young seem bachelorette party stay even not seem noisy . overall , fantastic hotel unbeatable location . 
 Aug 27 2007 	 fast response House Keeping 	 stick Chicago O'Hare lie airport shut due weather . happy able snag room night , rate $ 210 . since arrive without bag , check ask basic toiletry kit . say would call housekeeping . Nada . call housekeeping , quickly bring toothpaste brush one , need 2 , plus bathrobe ? another quick response request . expect hotel could provide actual kit , shaver , deodorant , comb , toothpaste / brush etc . food : call room service , response . try , busy signal . , response . call front desk , try , response . & quot ; must busy , try later & quot ; . keep try finally 15 minute connect room service . room delivery speedy pizza good along Mrs . Parks house cabernet . bathroom : shower curtain need change smell moldy . shower , even though careful get curtain right , still flood floor . 3 towel room hate waste & quot ; spare & quot ; floor mop water . water pressure okay , plenty hot water supply soap lotion shampoo . room / bed : nice layout desk sit area flat panel tv . comfy bed pillow top . comforter pillow , soft sheet . Cozy weary traveler . breakfast : complimentary breakfast . food good service great . check : simple . grab airport shuttle front door back O'Hare . it look like nice location , area clean , nice area city . obviously not spend much time . 
 Aug 26 2007 	 great experience 	 family spend 3 night Hiton Garden Inn Chicago great stay . every staff member contact check - in check - out totally professional go way helpful . location property great get shopping , dining , show . sure inquire breakfast package especially travel child . 
 Aug 15 2007 	 Wish stay long 	 stay one night July wish long . room excellent king size bed , without doubt , comfiest bed ever sleep , even without use possible adjustment . want get morning ! also use fridge always plus . nearby shopping area , include useful supermarket get international phone card . pool small 10.30 pm . go Weber Grill breakfast staff friendly get delicious pancake , freshly make . sorry leave soon . 
 Aug 13 2007 	 great location nice hotel . 	 stay hotel weekend girl ' get - away shopping club . overall , really like hotel . clean , room nice ( albeit rather small ) , bed comfortable , amazing view corner room . location can not beat . find staff curteous helpful . would recommend hotel sure . one perk ... starbuck lobbey . : ) 
 Aug 13 2007 	 Great Chicago location 	 pick hotel base good review also be close proximity Magnificent Mile , boat cruise attraction . able walk small child many destination . also hotel short distance one free trolley stop . as hotel : check - in go fast . clean room two comfy queen bed ton great pillow . stay 21st floor , traffic noise not problem . bathroom nice size room mini fridge , microwave , coffeemaker high speed internet access . swimming pool small , serve purpose . hot tub clean whole swimming pool area nice shape lot clean towel . two floor hotel wireless internet access . one side lobby Starbucks open morning hour opposite side Weber Grill . not go either one , Weber Grill pack dinner , must something right . hotel valet self parking . parking structure connect build easy access hotel . parking $ 22.00 day reasonable consider hotel charge much . complaint concierge not know thing free trolley service , not much help we . I would stay Hilton Garden inn convenient location . less $ 200.00 night , think good deal heart Chicago . 
 Aug 6 2007 	 Perfect choice Chicago - trip 	 read tripadvisor - review , decide go hotel . good choice ! ' ve stay 3 night everything really good . the hotel clean , nicely decorate ( nothing special , would expect Hilton / garden inn ) location really perfect ! downtown , close nice store , attraction , bus stop restaurant ; great ! staff friendly , breakfast Weber Grill ( free we , Hilton Honors member ) really nice everything 's freshly prepared order . room spacious clean . would really recommend hotel . 
 Aug 4 2007 	 fine -- perfect 	 hotel great location magnificant mile . 's garden inn -- ritz . room clean adequate , large luxurious . minor problem housekeep ( responsive take care immediately ) cool unit -- hard maintain steady temperature -- nothing serious ( would rate low ) . staff friendly . would happily stay , also would consider place . 
 Jul 29 2007 	 Noisy room 	 hotel great location staff impersonal .While check clerk keep answer phone . the room fairly spacious A / C noisy . turn discover could hear room aircon . want quiet room . would stay hotel . 
 Jul 17 2007 	 girl Weekend Hilton 	 stay Hilton Garden Inn weekend July 15th . reviewer note , hotel great location . seem able walk everywhere . as Hilton Honors member , receive free breakfast buffet coupon Weber Grill ( connect hotel ) . good buffet - nothing fancy - great way start day make order omelette , pancake , potato , french toast , bacon , sausage , pastry , etc . the hotel definitely understaffe . always seem line front desk regardless time day . need call three separate occasion wake call put hold 5 minute time . the room nothing fancy seem bit small , clean comfortable bed . I stay hotel would stay . 
 Jun 28 2007 	 Big Hotel well position small room 	 Chicago conference . Stayed Hilton location great . good facility , good health suite / indoor pool . food service good . room clean , well maintain although rather small . 
 Jun 18 2007 	 Great Young Teenagers 	 stay Hilton Garden Inn downtown mid - May group 17 ( 8th grade trip 10 student + 7 parent ) . great time ! location can not beat , easy walking distance many restaurant , Navy Pier , Michigan Avenue , etc . use plenty public transportation ( trolley , city bus , subway , & quot ; el & quot ; ) easy access . staff extremely helpful transportation question . kid love small pool ( expect downtown Chicago ) . purchase breakfast food / snack Jewel Osco across street stock in - room refrigerator . room right size , elevator quick . would stay heartbeat ! 
 May 29 2007 	 great location clean room 	 recently stay Hotel , get clean room noisy , 20th floor . bed great sleep free high spped internet . Thx HH status , get invite breakfast - serve hotel restaurant , call Weber Grill . good buffet great bacon lovely pancake . the location hotel beat : 3 minute walk North Michigan Ave , right next CTA subway station close many bar pub . it luxery hotel , great pay ! 
 May 28 2007 	 enjoy Hilton Garden Inn 	 stay late April Early May Seminar hotel fine . room sufficient less money Seminar sponsor hotel three block Michigan Avenue action . subway / metro entrance directly front property need public transport , confused EL Elevated Train , could loud evening . great Stay Drama Free .. 
 May 8 2007 	 need know 	 get hotel O'Hare public transport easy may ideal lot luggage kid . Hop blue line , switch Jackson red line , get Grand hotel top stair , cost $ 2 ! ! journey take hour . red line also take Wicked , get Randolph Washington . always find queue reception , staff continuously stop deal customer answer phone , maybe telephonist would solve Q problem . room little gloomy clean , air con one huge old box loud , nothing subtle . traffic noise considerable downtown hotel expect . however fade insignifcance compare constant mysterious droaning noise , sort noise hurt whole body ear . hope would go not , track pipe lurk behind door opposite side corridor , ask different room . hotel fully book would midnight staff know cancellation , receptionist promise call go duty let we know could move , not call , promise get we earplug , not arrive , promise leave message next shift , someone call we 7.30am , not appear leave message not call . finally explae whole story follow morning move , low room , bad traffic noise ok ............. dripping start . awoke early hour hear water drip onto ceiling bed , annoying , leave note generous tip housekeeping ask report problem . return day find resolve , guy reception say would deal immediatley , return Wicked go bed wake early hour drip drip drip .... 3 sleepless night Hilton Garden Inn . on plus side , breakfast Weber Grill good , attentive staff egg , pancake omlette make order . cosmopolitan bar great . out , exit front door turn right , walk along block come across good Irish Bar , Fado . street find Rain Forest Cafe , Hard Rock Cafe anniversary McDonalds , poshest Mickey 's ever see one ever food real life good photograph . also find stop Hop Hop tour good value 's luck draw come guide . Baron & quot ; sexiest tour guide planet even say & quot ; interesting funny , next guy not hot . good stop Navy Pier , little quiet visit , art museum monet could shake stick , aquarium , fab penguin course Sears Tower , well organise real queue . we see Wicked good great , Elphaba tremendous voice lack bit stage presence , Glinda save show . add watch Mary Poppins Broadway previous week , totally fabulous perhaps jaded view Wicked little bit . note prvious review , Mag Mile Nordstroms step away . Chicago beautiful city , folk Ireland , Aer Lingus direct flight Dublin , pop day , will not regret it . would stay ? yes , could guarantee good night sleep . location superb good value money 
 May 8 2007 	 Great Location Decent Property 	 good feature property location . block Michigan Avenue heart Magnificent Mile . rail rapid transit station entrance ( Grand Street Station Red Line subway ) right outside door , convenient , especially go baseball game line serve U.S. Cellular Field ( White Sox ) Wrigley Field ( Cubs ) . property fine , nothing special . standard Hilton Garden Inn , microwave refrigerator room . room small usual Hilton Garden Inn also well furnish Hilton Garden Inns , clean , quite spotless . include fairly nice business center small fitness room , small , nice pool . bonus , hotel guest complimentary access large , full service gym one block away . instead usual , non - descript restaurant normally include Hilton Garden Inns , Weber Grill restaurant first floor . food extremely good include lively bar . breakfast include reasonably price buffet numerous choice include outstanding bacon pancake . complaint hotel feel crowded , designer never think would sell . lobby small really enough elevator properly handle full house , encounter weekend . significantly , front desk inadequately staff , result long line . staff helpful efficient ; simply enough handle volume guest . course , Hilton Garden Inn full service hotel brand , portion problem may attributed fact . bottom line : good choice price competitive . 
 Apr 25 2007 	 Perfect Location 	 town Paddy 's day celebration hotel great visit countless pub & amp ; club great city . staff friendly helpful . room really nice Weber grill downstairs great food time day . good value money ! 
 Apr 17 2007 	 great location ! 	 recently stay Hilton Garden Inn Downtown Chicago . second stay continue go back . location can not beat . Red Line Grand el station sit property . one block Michigan Ave locate backside Nordstroms . endless bar restaurant surround hotel . Weber Grill bar great place grab drink appetizer . also , want terrific breakfast , go Snickers corner block north restaurant / brewery across street . great little place .... fancy , great hashbrown egg low price . 
 Apr 15 2007 	 great location 	 stay HGI 4/6 4/7 . conveniently locate bus , train trolley . bus run one block Michigan Ave . there grocery store across street . buy bus / train pass $ 5.00 1 day . hotel nice , clean . bed comfortable . room microwave , mini fridge internet connection . call hotel make reservation want adjoining room . not see place website make request book two room . say could not guarantee adjoining room . call morning 4/6 ask would available . able get two adjoining room king size bed . happy ! help flexible . would recommend hotel everyone . 
 Apr 13 2007 	 fine good 	 stay several occasion , say time round little disappoint - nothing particular , previous stay would put room high floor hotel remember spacious comfortable room give time , 16th floor . terrible soundproofing ( not problem last time stay ) mean could hear everything room next door - tv , people bathroom , etc etc . also room bit ' tired ' less spacious remember . however could not complain much - price good , perfectly clean staff helpful friendly - 's efficient great location . think might well deal look around - however would happy stay . 
 Mar 29 2007 	 Buyer Beware 	 March 27th , book 3 night stay May property $ 180.00 per night . quickly realize make mistakeand next day try add additional day . internetat Hiltons website allow add additional dayat $ 229.00 day stay . hotel company willsay & quot ; be delighted ' ve decide stay extra day we , Hilton say & quot ; opportunity rape & quot ; . upset enough cancel entire reservation . today , March 29thwe call lovely property politely tell wasnothe could we . mind , HiltonHonor member since Julyt 1995 .. would willing take betson many time think stay Hilton property forthe rest life . many hotel company really care customer . 
 Mar 27 2007 	 great ! 	 great hotel heart city , close everything . excellent amenity ( pool , jacuzzi , computer use etc ) good service . drawback : room decor ' flowery ' ( although bed comfortable bathroom well equip ) . 
 Mar 24 2007 	 nice 	 two room family six connect , issue . bed comfortable hotel quite . location great ton thing within walking distance . would stay heartbeat . 
 Mar 16 2007 	 nice clean Hotel- great Location 	 stay Hilton Garden Inn March 13 - 16 , 2007 . hotel great location , Nordstroms 1 block Michigan Ave . 2 block . Navy Pier straight Grand Ave . nice walk weather nice- probably 10 block . get run along Lake Michigan one morning . 21st floor Hotel . quiet street noise , however door slam automatically hall loud annoying . room small microwave , fridge , large . bed comfortable firm . well sleep , adequate . use small fitness room 2 really good elliptical , 3 low quality treadmill . also use business center , free surf web print airline boarding pass . get buy 2 night get third night free special , make hotel reasonable . red line sub way right outside door get Lincoln Park area Shopping State easy . great seafood restaurant- Shaw 's block . highly recommend ! buy discount theater ticket [ -- -- ] .overall , would stay . room clean staff great ! eat Wevber Grill . 
 Mar 12 2007 	 Good Hotel 	 stay HGI 3/9 & amp ; 3/10 . Booked travelzoo great rate $ 89.00 per night . busy basketball playoff ... ... glad book far advance . great location , couple block Michigan Ave . nice room , bathroom etc . would definately stay . Weber Grill restaurant attach nice . try artichoke dip appetizer happy . steak great ! self park get validate front deak leave save money . 
 Mar 6 2007 	 great location 	 hotel great location other state . use public transportation- red line door , bus short walk away . receive corner room xx32 high floor . two window great view . fitness room nice , pool tiny- 6:30 . 
 Feb 27 2007 	 work we 	 husband book last minute go HGI base price location . could not better we . red line stop outside front door , convienent everything loop water tower beyond . my complaint want $ 2 granola bar gift shop . insanity . Jewel / Osco grocery around corner Trader Joes nearby , stock fridge room juice snack ( ' m pregnant must eat constantly ) .I know pool workout room not use . think would great hotel family . 
