awesome 	 right Central Park - beautiful view park . service spectacular . not type bagel want breakfast , go Whole Foods buy . 
 Fantastic 	 Excellent respect exception extra charge internet exorbitant charge $ 16 bowel cornflake breakfast though include milk fruit garnish . spite grumpy old man gripe staff great , room comfortable well appoint , breakfast great ( civilised full service meal rather usual buffet ) . pool gym excellent . look forward next stay . 
 Jun 16 2008 	 pricey great hotel 	 stay 4 day leisure great time . view Central Park ( room 4508 ) great room nice . bed comfortable . turn service evening bottle water great . service impeccable . loved & quot ; Disturb & quot ; & quot ; make room & quot ; do push button , cool.while like bar lounge area , breakfast ok ( food overall tasteless ... ) : white bread ( olive bread morning bit hard orange jam ; croissant bit greasy ... ) , assam tea ( darjeele excellent though ) . diner , wine selection impressive food , nothing brag about . concierge helpful recommendation quite good . not - so - good part : - shower : door bang 3/4th way marble really convenient walk ; make matter bad , ' ceiling shower ' entrance , get wet start want get , well right temperature ... - noise : surprised see & quot ; second door & quot ; provide room far elevator ; bad part could hear conversation hallway . truly negative point.- table window : ask table window breakfast first day since one available . tell someone reserve , eventhoug insist . finish breakfast one ever show table . much treat well guest . guess next time , would go front desk ask & quot ; solve issue & quot ; . next morning story , ignore sit table ... overall , nice hotel professional helpful staff . 
 Jun 13 2008 	 wow around ! 	 husband spend weekend anniversary , virtually everything place wow -- include price . spring Central Park - view room 45th floor , amazing hotel view ' ve ever experience ( $ 1100 night ) . room view even well view Lobby Lounge , order cocktail room one night relaxed backless sectional sofa run entire width room right front view . total indulgence . true , room overly large , fine NYC standard elegantly decorate . minor complaint weird light switch bathroom : hold several second time room gradually brighten darken . Lobby Lounge spectacular , enormous window overlook Columbus Circle Central Park . safe make reservation fill people linger . ( small bar corner cramp view , not bother . ) lounge hostess , Christina , extremely accommodating , able get table , kept & quot ; upgrading & quot ; we one well view become available , even though not ask . , service excellent . hotel part Time Warner building , access shopping area take elevator third floor . terrific stay would definitely return -- , ' ve save ! 
 Jun 11 2008 	 ' fan'tastic 	 first review tripadvisor write one Mandarin . everything stay superb . originally premier central park view room move deluxe twin friend come join weekend . both room excellent - hindsight , not worry view central park , first time New York feel booking ( ) would go deluxe grade . room good . every request make fulfilled courtesy , efficiently guest satisfaction mind . slight negative breakfast Assiate . Service let coffee cool , replace immediately . Ken concierge brilliant - went see get Broadway show ( book ) end plan entire day sightseeing , include helicopter tour . my advice not hesitate stay , yes be cheap , be worth extra . 
 May 26 2008 	 absolutely incredible ! 	 ( wife ) want celebrate anniversary , figure would drop little extra coin stay MO NYC . minute arrive nothing service style . arrange fresh flower room ( peonie chocolate cymbidium orchid ) & amp ; utilize concierge great dining advice ! stay suite awesome view central park , use location walk shopping , dinner , even times square people watch ( skip -- crazy dirty ) . take train uptown Yankees game , quick cab meat packing district dinner ( 10 minute ) Vento . location great room spectacular . 
 May 20 2008 	 Perfect Hotel 	 booking joint Cunard cruise stay Mandarin Oriental Hotel , good part whole holiday stay Mandarin Oriental ! stray room 5012 overlook Central Park , Room 3902 two single bed room 5036 distant view river . everyone hotel front desk , concierge housekeeping could helpful everything deliver deal , minimum fuss high standard . breakfast Asiate Dining Room perfect service excellent wonderful view look Central Park . meal Lobby Bar excellent second occasion service slow food arrive cold . Manager take initiative waive bill whole meal second serve food arrive shortly excellent . think good example standard expect hotel failure deliver take seriously everyone – hotel would adopt standard ! room perfect beautifully finish even include tray sweet daughter , especially deliver she . overall perfect experience otherwise disappointing holiday Cunard . 
 Apr 30 2008 	 simply one good NYC 	 sit airport lounge wish share 2 night experience MO NYC . almost everything exceptional : good : * lobby 35th floor : minimalist warm deco , great view . * staff : could fault anyone hotel . special greeting concierge , friendly helpful . always smille . * room : good size , clean , high quality everywhere look . * bed : dream ! * bathroom : give feel relaxation colour delicate smell . * ASIATE Restaurant : clearly one exceptional food ever ( believe , travel lot love eat ) , incredible combination japanese european flavour . the less good : * quality bread ( breakfast dinner Asiate ) : compare offer US , lot learn ( try bread four season 57 restaurant : huge difference ) . * bathroom amenity : like * * * hotel . anyhow , without doubt , come back MO NYC ! 
 Apr 15 2008 	 new favourite hotel N.Y . 	 April 15 Cathi Glasgow u.kjetlagged write fresh mind , find comment other helpful choose hotel ... excuse mistake . just back today holiday Mandarin Oriental N.Y husband 2 teenager honestly say love . yes expensive , room service / mini bar /spa steep , know would case book . could fault service attention detail bed comfortable joy go bed . view Central Park suite amazing time day night . Son daughter 's adjoining Deluxe perfect although view , great room . Gym could perhaps equipment , never busy . pool always quiet . location perfect . also useful shop / restaurant , feel lazy go afield , without get taxi . large busy hotel apart lobby / bar area , peace tranquility reign . can not wait go back 
 Apr 6 2008 	 average experience / high price 	 okay , location New York 's Mandarin oriental fabulous ( although , traveler mention , Trump Hotel blocking view floor ) .Okay , room relatively spacious ( New York standard ) expensive room . okay , design great , pool gym nice . but be it . overall , atmosphere international / standard / impersonal . guest , feel particularly welcome value ( although arrive , announce advance , rather expensive hotel limo ) . product may good staff may professional , place felt genuinely welcome . for price charge , significant improvement need respect . I mention customer relation service , receive answer email . stay , unless sure issue fix . 
 Mar 22 2008 	 Loved love love hotel 	 ' ve number Mandarin hotel , find one New York quite extraordinary . room spacious enough , especially New York hotel room , hotel rate also affordable enough 5 star hotel New York , service amazing . request , could end wonderful view Central Park watch sun set truly amazing . the problem door lock ( stay 2004 , might correct problem since ) . bolt door inside , outsider easily force door open twice yank bolt place . tell manager . summary : great stay ! 
 Mar 17 2008 	 extremely disappointing ! 	 boyfriend really want stay Mandarin Oriental , decide last night NYC ( stay friend night ) . book upgrade room Central Park view -- nearly $ 1000 night . prepared cost know would expensive . we arrive noon love beautiful interior hotel . staff friendly concierge helpful . room ready , key system not work walk we room . nice -- large view Central Park ok -- unfortunately largely obstruct awful Trump building , can not help . room amenity really ok -- think Westins , ws , even up - scale Marriotts almost nice . Ritz Carltons , Four Seasons , other realm easily comparable . really nice a / v feature , bathroom much large , not think marginal difference quality even close difference cost . weird thing bathroom -- like separate light switch fan little room toilet , terribly slow hot water , soft plush robe , even really low quality & quot ; q - tip & quot ; ( petty ) . also , coffee maker room , force order room service every time want hot water tea coffee . price room service completely top . guess figure pay much room , $ 27 / pp ( plus service fee ) continental breakfast big expense . ( go . ) bad part , however , sleep terribly ! pillow soft need least two not extras room . comforter pretty soft , warm much roasting . air room incredibly dry really trouble sleep . collectively get 2 hour sleep . pretty grumpy morning . the service good -- nice staff people . room not live price way , shape , form . have happy W boutique hotel would spend $ 700 less . Lesson learn : pay high cost always mean well experience . 
 Feb 29 2008 	 Luxury Hotel next Central Park arrogant staff ! 	 american hotel staff usually well Europe . well train friendly . good Asia though . Mandarin oriental staff however arrogant . think glad allow . acceptable pay $ 1500 night ! yes , sit next Lawrence Fishburn bar , nearly could get seat . bar , restaurant lounge way small , food drink selection poor extremely expensive . like long breakfast push leave eat . go breakfast Landmark restaurant shopping center . to top concierge comment disliked restaurant suggestion : & quot ; look cheap place , ... & quot ; finally bar refuse serve we drink New Years 1 am . & quot ; close ... & quot ; city never sleep ? 
 Feb 26 2008 	 great stay every time visit New York 	 Best Bits : Location , great bar , stylish room , close fab shop Columbus Circle , Loved gym & amp ; pooldown side : staff bit distant , room service price highest ever know , make sure book room overlook Central Park 
 Feb 20 2008 	 favorite hotel NY 	 Mandarin oriental NY quite new stayed . love modern architecture , decoration great location . combination everything hotel present make feel good hotel . room great NY view , cleverly beautifully design . husband enjoy three day stay hotel much look forward another opportunity stay . live NY , unfortunately may opportunity anytime soon . 
 Feb 5 2008 	 New York City Best 	 partner decide see New Year New York City , attempt visit annually . discuss would stay , decide Mandarin Oriental Columbus Circle Time Warner Building . first visit property return many time future . every way , property staff achieve 6 star level service ; within minute arrival LaGuardia via hotel 's car service , door staff , front desk staff management greet we name ! guest room 53rd floor overlook Hudson River , oversized , beautiful bathroom appoint . bed comfortable ever way , guest room meet every expectation . 6 night stay , frequently , doorman would offer we hotel 's car service theatre restaurant ! hotel 's proximity Central Park great advantage enjoy morning walk park . great way spend holiday ; thank everyone Mandarin Oriental making stay memorable . 
 Jan 28 2008 	 Mandarin NYC ! hotel ? 	 say Mandarin great thing ? ... stay two night 01/25/08 -1/27/08 friend absolutely fall love first minute step inside . first time Mandarin NYC also first time NYC matter fact . service top notch check - in checkout . room spacious well organize include every amenity could ask , lack anything hotel accommodate provide want . bathroom pristine condition lcd nice touch . shower good part ... shower head plenty water pressure wipe tension away . bed comfortable also along samsung sound system make time enjoyable . on several occasion hotel provide brand new Escalade shuttle we time square dinner location . totally unheard hotel stay unless pay . bring we plenty fiji water house even open business center us hour could print boarding pass ... late like almost midnight ... customer service never end ... definitely come back . thank Mandarin give well stay NYC ! .... 
 Jan 13 2008 	 top town 	 long weekend New York , family , place great . view room East side great , kid love . bar great view central park star come drink . its great hotel great location . 
 Jan 11 2008 	 good New York ... ? 	 stay Mandarin romantic weekend winter . actually live New York , lobby bar ( famous view , otherwise pretty standard stuff ) ... never stay . first , be expensive ... expensive ... consider Plaza still close 's claim honor Best Hotel New York . guess amazing hotel ... room ( Deluxe Central Park View ) big ( NY standard ) well appoint , bathroom spacious beautiful , let us clear : be pay view . windows giant , view spectacular ( 45th floor ) . , Trump Tower new luxury apartment building partly block view park . staff helpful , concierge manage work we Masa downstairs last minute ... , money ( hype ) expect little . also charge little thing like internet access ... price think annoying . maybe ' ve spoil past . still recommend romantic ( decadent ) getaway , long business trip ( be lucky ) . 
 Jan 4 2008 	 2nd stay amazing first 	 spend weekend mandarin see broadway ( weekend end ruin strike however ) love much first stay . Hotel rep meet we car arrive take we directly room , get completely bypass check - in definite plus . room amazing , among good ny city . service great room service . be still extremely expensive afford 's reason stay anywhere else.ps : reason love mandarin 's ultra lux chain ? , far room go , see get . never mystery far room look . go website , every room picture room look exactly like one see website . many old hotel every single room decorate differently never know go get , mandarin refreshing exception . 
 Dec 22 2007 	 Paramount 	 exceptional hotel capital world New York City must demand . feel Mandarin live reputation every respect . located top 20 floor recent city landmark , magnificent Time Warner center , hotel offer unparalleled view Central Park Hudson River . room 52d floor impeccable , wall - high window open sweep panorama city never sleep . the service Mandarin truly remarkable . checking - in mention wife 's birthday . come back room explore city suprise find complimentary bottle champagne delicious chocolate cake wait we . the hotel favorite destination celebrity ( apparently photographer hang front entrance ) run Hollywood A - lister like Ryan Seacrest somewhat usual thing . location Columbus Circle one good Manhattan , convenient proximity everything Midtown . 
 Dec 12 2007 	 tip 	 need view , get ready & quot ; partial & quot ; build generally block . sample entire inventory , think good room double suffix & quot ; 32 & quot ; face north , parkview comparable straight & quot ; central park view & quot ; category also feature GW bridge night . & quot ; 32 & quot ; also bit big parkview room . good room house next door , suite suffix & quot ; 33 & quot ; - get full south - clockwise - to - park ( Statue Liberty , Hudson River , GW Bridge , Manhattan Central Park ) . ignore advice fan midtown skyscraper . the pool spa well worth visit . lunch hotel restaurant , good ; bento box excellent . if exit elevator third floor mall entrance , step around corner Bouchon Bakery excellent quick breakfast / snack / sandwich . 
 Oct 27 2007 	 stunning reception let bit 	 stay 2 night business , straight sister hotel London ( find rather stuffy ) . feel one thing prevent hotel get 5 - star rating reception - check - in particularly efficient point , indifferent attitude part staff . staff concierge desk downstair lot helpful friendly . everything else stunning . not time sample hotel 's offering like spa pool not leisure trip , bar reception floor lovely . food good . room perhaps slightly small fine . Decor amenity room top - notch . 50 - something floor overlook Columbus Circle - even height circle still slightly noisy , gorgeous view Central Park albeit slightly obscure Trump hotel . 
 Oct 20 2007 	 Loved ! 	 book husband MO 2 night suprise birthday trip NYC . book way advance get rate $ 809 per night hotel website junior suite high floor overlook Central Park . room fabulous give we champagne cake hearing birthday . take 1 year old we provide great baby sit service . son love look window . provide toy toiletry son along crib take really good care 3 we . staff nice helpful . lady lobby bar rather snooty , appear job find stay get table . visit friend live fly LA insist check room hotel stun size room bathroom breathtake view . after read early review stress check husband 's birthday want room view not block Trump Tower . view pay top dollar not dissapointe . book early , well worth money . definitely would not pay rack rate though . 
 Sep 20 2007 	 great like rodgere apparent reason 	 ok , MO , new addition high class hotel scene NY , one cool city planet - 's GOT good . well yeah , exactly - good , be great . be get dramatic original lobby ( unless ' ve stay Park Hyatt Tokyo ) , be get spacious spa look impressive well equip ( compare one Four season Hong Kong ) genuine pimp factor associate stay hotel calibre ( par rock George V Paris ) . good hotel artillery require arm future greatness ultimately do not deliver truely discern traveller . do not bad stay hotel reader 's comment hype fanfare expectation high . like rodgered want tell mate stay , ! ! 's close proximity per Se Masa good enough reason foodie . 
 Aug 29 2007 	 Great Hotel ! 	 stay hotel whilst honeymoon , fantastic ! hotel room one basic type due cost still lovely . arrive late night bottle champagne chocolate cake , slipper bed fluffy robe bathroom . bed incredibly comfy view window stunning . bathroom huge shower cubicle , lovely deep bath tv . whilst visit , daughter ill , clean come straight away hotel send daughter complimentary bag , hat t - shirt cheer . staff nice professional . the hotel pool facility excellent . it delight get marry ny stay hotel . 
 Aug 20 2007 	 right touch 	 beat three Ritz Carlton hotel ' ve stay . service need ; less , highly personalized . don complimentary bathrobe recline divan adjoining picture window . room overlook Central Park 51st floor . have amazing sleep Sealy Posturepedic 700 featherbed pillow . dimmer switch bathroom nice way wake up . take luxurious shower underneath waterfall showerhead . prepare business meeting morning , wonder look notice 10 ' x 3 ' window next bed . 
 Aug 12 2007 	 gorgeous hotel ! 	 ' ve return home one week stay fabulous hotel honestly find anything negative say experience . deluxe Hudson River view room interconnect 2 teenager . view superb , room immaculately clean facility wonderful . also plentiful supply bathroom goody Aromatherapy Associates smell heavenly - ' m go try get hand UK forgot buy hotel shop . location brilliant - 10 minute walk Times Square right next Central Park . hotel oasis calm luxury enjoy return hectic day sightseeing . could not bear stay anywhere else return New York ! 
 Aug 11 2007 	 Average ... actually 	 I m sure people expect get hotel suppose good New York . tell personally expect blow away . yes lobby nice room nice hundred hotel New York . matter fact even find well bed low class hotel . far restaurant hotel view lobby would say yes nice . would recommend feel like hotel place . location hotel Time Warner build little less rumble tumble ny . however , opposite side high fashion shop side park . last , see picture pool not sad actually see . spa use seem nice . go one night wife . young get marry . kid and/or enjoy mall like experience may find review helpful . 
 Aug 7 2007 	 Superb hotel 	 first time stay Mandarin anywhere . usually stay four Seasons , unavailable , decide try Mandarin . nice room , clean , excellent service , great view , great location , nice bar . not employee remember call name see ( la Four Seasons ) , , be top notch . 
 Jul 19 2007 	 Best Hotel NYC 	 Fabulous , fabulous , Fabulous ! may expensive , offer great service , immaculate room breathtaking view Hudson Central Park . stay Hudson view room ( Floor 54 ) , spacious quiet . bathtub next window amazing view room generally well serviced . try avoid room near elevator though . constant use ' m sure noise would annoy light sleeper . luckily nowhere near ! shopping mall hotel also great . not want pay $ 35 breakfast hotel , wander ' Borders ' get fab Dean Deluca coffee muffin ! beautiful view Central Park hotel bar sunset . treat great time ! 
 Jul 11 2007 	 good exceptional 	 ' m write review whilst actually room Mandarin Oriental . think 's well way . yes , room lovely , yes , staff polite . however , book 3 guest 4 month ago , take 6 hour , 4 phone call , 1 visit reception lot angriness get rollaway bed deliver son . you orchid world , 100 tv channel fluffiest robe , inability provide anough bed tell ? around $ 800 / night ought provide flawless service . Sha not stay . 
 Jul 2 2007 	 good 's one top hotel America 	 travel business time , see lot hotel aspire greatness . come , MONY wonderful , accommodate , gracious staff imaginable . offense great city , NY always know fabulous service . staff outshine every hotel ever see . be perfect . Lounge Manager downright rude . one person one day . room goody gizmos every nook cranny ... fact many ... tv difficult use . , sense calm , utter professionalism , attention detail . worth extreme price stay time opportunity . 
 Jun 27 2007 	 fantastic location 	 return four night stay Mandarin , location superb , Colombus Circle overlook Central Park , good shopping centre . corner suite view park Hudson river . amazing room view decor fairly bland hotel standing . body lotion , etc bathroom fantastic company Sugar . lucky friend 's new boyfriend pay otherwise would league . however lucky enough stay pretty amazing hotel across world somehow Mandarin miss . attention small detail lack . housekeeping leave food room service room 12 hour call twice removed . water stock daily night , replenish morning without phone request . service expensive , $ 30 cup tea room service . money object location key , stay , otherwise look something little less coporate well value money . during stay eat Gramercy Tavern , always excellent , per Se , truly foodie experience great staff , Stanton Social , brilliant fun wonderful food . 
 Jun 17 2007 	 overall good New York bad world - wide 	 stay MONY 2.5 week end May . stay Four Seasons , Ritz - Carlton Central Park , Essex House St. Regis , objectively say MO good overall package . incentive stay:1 ) modern new , fray like Ritz - Carlton 4 Seasons occupy modern building without creak sound like Ritz - Carlton road.2 ) room spacious central park hotel . Stayed standard room.3 ) room view . either Central Park Hudson . many park view partially block Trump , price other ' ve mention , frankly have look air well another room 's window.4 ) concierge excellent . friendly , ball go way . 4 season hear , Carlyle , compare exceed.5 ) techno deck - out room well ' ve encounter NY . tv bathroom , fax machine multi - line phone conference call internet flat - screen tv standard features.6 ) lot people write 's expensive . frankly , think 's reasonable compare similar 5 star along Central Park way . Ritz - Carlton charge 10 - 15 % far bad . 4 season also expensive . need compare apple apple . point compare say Novotel Radisson . Discentives:1 ) service still spotchy . get kink remain . doorman open door greet smile . bad first impression.2 ) housekeeping little wobbly replace thing . however , seem NY / western Hemisphere thing general.3 ) partially block view mention . nitpicking , clear view would great . however , think move Trump view , think . price get Central Park even Hudson view . get view next door build maybe MO : - ) checked.4 ) travel extensively Asia well , frankly hotel Western Hemisphere need catch . service , amenity , room space pale next asian hotel . not look cost since cost live far high ny compare say , Bangkok . still , MONY close ' ve come across U.S. class act nearly par 's asian counterpart . it pick NY hotel . 
 May 10 2007 	 still good New York City ! 	 sixth stay Mandarin Oriental NYC since first open ( cheap ) , still amazing experience . location well find , right next park connect popular Columbus Circle provide great shopping . reserve central park view suite time , provide amazing view park - spacious ( especially NYC standard ) include every luxury could possibly desire . service help outstanding always , especially concierge help we dinner reservation short notice . Mandarin oriental lobby bar restaurant provide good view New York city find - eat breakfast every morning overlook park 35th floor . minor drawback encounter usually slow bar service lobby bar evening . often take 10 - 20 minute get drink / order order place - ( norm reason since open ) , outstanding view environment gladly put . already look forward next visit . 
 Apr 30 2007 	 Hurray Mandarin NYC ! ! ! 	 good NYC ! room bathroom finely appoint , rich modern time . tea service upon arrival nice touch . bed great , bath great also . nice good place end day . room service prompt food good . restaurant lobby ok , flavors complex trendy ... worth price . spa devine , must . lobby / spa view park fantastic . hotel expensive sanctuary soul . live like time . I stay nyc favorite hotel . 
 Apr 17 2007 	 think welcome mean something different ! 	 spend 5 night Mandarin New York . share 60th birthday celebration London friend see ( american ) husband 's family visit . arrival 1 pm tell room yet ready ( expect ) ask number order give friend check previous day hotel . receptionist stumble answer ' oh yet sure one ' . frequent traveller whenver hear response know tell ' upgrade ' show one every 5 star hotel ' less great ' room . happen . already write confirmation deluxe Hudson River view room high floor want . friend room type reserve go see . ' our room ' ready - upgrade tell , course inferior count , ask change confirmed room fine . hotel . theatre charge less price ' restrict view ' seat . know always room fine hotel less good hotel would serve well advertise low price . instead try hope client put room intimidate ask change . hate especially come downstairs lobby Mandarin via lift 35th floor hotel start , every employee greet we en route ' welcome ' us Mandarin . apart start , hotel good , modern thing one would expect . except coffee make equipment room - think think we ( client ) ' posh ' make coffee know hate get find cup . guest seem feel pop Starbucks across road pick morning coffee , room would great . weather freeze New York ( 6 - 11 April ) lobby hotel 35th floor keep cold air conditioning - perhaps someone might mention global warming Mandarin . this expensive hotel look good trapping first class hotel heart much genuine warmth . fine hotel manage both look heart . would stay next visit . friend also stay Mandarin Singapore say not patch . 
 Mar 21 2007 	 love HOT Stone massage ! 	 everything Mandarin 5 star .... food , service , decor spa . must visit spa get least 1 treatment .... go early enjoy relaxation room ! 
 Mar 15 2007 	 Love someone Else Paying 	 Fantastic hotel , great location , amazing view , good lounge city certainly pay itgrab park view room special occasion someone else pick tab 
 Mar 13 2007 	 compelling hotel 	 stay Mandarin many time since open , recent visit confirm affection . major positive include : great , apparently stable staff ; amazing view , wonderful location great facility pool / spa cool lobby lounge . hotel expensive due persistently high occupancy , food special . skip room service head Cafe Gray ( nougatine across street ) extensive hour . even bar glamorous dining experience . 
 Feb 23 2007 	 really nice . Suprising Service Flaws 	 nice hotel . use group continent . trip expose subtle flaw . Coffee order morning 9 take almost 1 hour arrive . bathroom amenity shabbily arrange . complimentary city map offering tear incomplete . all would acceptable property charge much low price . Mandarin ought look local management answer . 
 Feb 7 2007 	 would want Leave ! 	 King size bed central park view US $ 699 / night . flawless service execution , great atmosphere , mighty bar view , excellent food , good spa , location Columbus Circle , baby sitter 2 year old arrange 3 hour notice .... list go . travel world stay good hotel , include Peninsula NY Shangri La Singapore , one leave special mark . look enjoy ! 
 Feb 4 2007 	 Wonderful Hotel Great Service 	 stay Mandarin oriental NYC since open , still fantastic day open . moment arrive everything perfect , cater every need ( ) . stay suite overlook Central Park amazing . room large stay NYC , double sink every room make morning much easy . lobby bar / lounge serve great snack cocktail throughout day night reserve hotel guest . expensive , definitely worth want first class experience way . 
 Jan 30 2007 	 reason stay MO 	 look , ' quite Ritz Carlton Four Seasons experience term service employee talent level plenty reason pay money stay Mandarin Oriental . plenty . : location : Columbus Circle across street Central Park . easy walk commute area want midtown great sightline spectacular building . the mall/ Whole Foods : MO lobby 35th floor skyscraper house nice mall four five high - end restaurant choice enormous Whole Foods large selection prepare food . ' unusually cold raining , invaluable perk . go downstairs morning ( well , wonderful wife ) get great , organic breakfast item eat room , save ton process . the lobby lounge : plenty write none exaggerate view atmosphere . awesome . the room : bigger well many NYC high - end hotel room . fantastic view . well appoint functional . top notch . Modern classy . Bathroom superb . gym : small free , norm many hotel day . good cardio equipment tv ' . excellent indoor lap pool . book Platinum Ex receive room upgrade , 4 pm checkout , $ 100 spa voucher continental breakfast morning . $ 630 . well worth . ' recently stay RC ' NYC Sofitel enjoy ' MO we . 
 Jan 8 2007 	 Loved price . 	 absolutely stunning hotel , excellent & quot ; touch & quot ; free tea / coffee / fruit gym , evening turn , ipod listen excellent stuff indeed vastly overpriced . central park view room 2 building way highly frustration 2 night stay cost nearly £ 1000 , fact breakfast include incredibly expensive take away incredibly location general feel hotel . love stay would not go back unless lot cheap . well place stay lot less money . 
 Dec 29 2006 	 way overprice lack service 	 big fan Four Seasons new york . try get room NYE weekend sell . currently stay Mandarin oriental disapointing . they not room ready 3 pm check , rollaway room not request . take forever get something room . also send & quot ; customer profile & quot ; fill send . fill send back , not notice read ... travel biz not mind pay big $ $ $ hotel room around world . problem pay top dollar receive service level could spend $ 400 night . I will not come back 
 Dec 26 2006 	 good . 	 recently stay girlfriend Mandarin think exquisite hotel . enter hotel lobby elevator ( think around 40th floor hotel begin . exit elevator hotel lobby high ceiling beautiful view Central Park . excellent bar right lobby also serve divine dessert girlfriend ever taste . routinely dine fine ( accord Zagat ) restaurant Long Island NYC reference . leave hotel 's signature restaurant directly sink front lobby nice lounge area reserve hotel guest . area beautiful high city park view . room = & gt ; room book overlook Central Park . ceiling height must least 15 foot good recollection large floor ceiling window length room . room large NYC standard . marble bath room large separate shower toilet makeup area . french door separate bath room hallway . occassion order dinner room service . kitchen answer promptly 11:30PM dinner us & quot ; 20 minute & quot ; actually 15 minute . dinner dessert excellent staff courteous . room also include breakfast $ 1400 nightly fee signature restaurant morning . head 9AM find beautiful bright dining area buzzing activity . service prompt . breakfast continental breakfast also excellent . nothing bad say hotel . get pay . clearly one good Manhattan . would stay without hesitation especially beautiful room high city park view . 
 Nov 6 2006 	 great view POOR service . 	 stay hotel , however lunch . view fantastic , crowd pleasant study . the service terrible terrible terrible . waiter rude end complane lack sufficient tip ....... never step ito place . 
 Oct 14 2006 	 expensive .... 	 book Hudson River View Deluxe Room phone rate approx $ 900 per night . room beautiful , quiet glorious view across river . bathroom huge , flatscreen tv bath refreshing & quot ; waterfall & quot ; shower . corridor public space gloomy main bar dark husband nearly trip go stair table . restaurant Asiate great food , hotel concierge extremely helpful . pool large little chilly , though not problem serious swimmer . annoyingly , pay internet access room service price astronomical . end buy dinner one evening great deli Columbus Circle downstairs eat back room ! fellow guest mainly Russian & quot ; businessman & quot ; unfriendly Europeans . in summary , hotel price Four Seasons , not understate welcome chic Four Seasons . 
 Oct 13 2006 	 Loved ! 	 stay Mandarin oriental hotel daughter weekend getaway . reserve corner Hudson view room upgrade check - in Central Park view room 46th floor . the view fantastic ! window full view Central Park . Trump International hotel take one small corner view side . park really command view . great ! plasma tv dvd player laptop capability high tech . tv program special welcome message go away use . plasma tv bathroom nice touch well . marble bathroom nice seperate shower big walk shower . the service awesome . room upgrade doorman . doormen car soon pull , welcome we . upon departure , forgot call advance get car take 5 minute ( big deal ) retreive . doorman offer we bottled water wait since hot day . front desk person show we elevator hand key , offer carry shoulder bag room . order room service arrive 30 minute . food good . daughter call front desk bubble bath went buy , deliver cute bag . the lounge lobby excellent . teenage daughter excite actually meet couple celebrity stay hotel . 
 Oct 8 2006 	 1st Class ! ! 	 recently stay MO New York 2 night part 25th wedding Anniversary Celebrations last week - end September 06 ) . arrival Hotel Champagne & amp ; chocolate await we room ! dinner 2nd night ask one dessert insist two - could not understand - arrive ' Happy Anniversary ' pipe chocolate - lovely touch . book Hotel part trip Cunard - travel NY QM2 - reason Cunard feel delay disembarkation Bayonne lovely card chocolate apologise delay - lovely touch . ' piece de resistance ' book Private Spa MO 3 hour WOW ! allow 1/2 give wonderful foot massage whilst Massuers explain everything would happen gain information we , enable maximise time treatment suit we . lunch ! amazing ! ! absolutley 1st class hotel , 1st Service complaint whatsoever . sincerely hope return day ! 
 Oct 3 2006 	 nice stay Luxury hotel showing wear 	 husband return Mandarin New York recently anniversary . first stay 2 year ago follow wedding . first stay amazing - property still & quot ; new & quot ; everything seem luxurious . time around noticed thing lack . furniture begin show wear , especially Lobby Lounge . give handicapped room , problem shower regular plastic curtain instead glass . diminish luxe somewhat . bathe amenity nice , towel , robe linen . lcd tv o.k - hdtv channel go several time quite annoying . call come reset . bed extremely comfortable - definitely highlight ! service still pretty high - level , nothing not experience hotel . the Lobby Lounge great ! view fantastic unparalleled- definitely recommend stop drink dessert . the location hotel convenient . great shop walk distance , subway around corner . overall , stay pleasant accommodation nice , think stay . not seem luxurious . 
 Sep 24 2006 	 Mandarin wonderful 	 Overall , thrill Mandarin . location great us - entrance Shops Columbus Circle , include Whole Foods Bouchon Bakery . atmosphere throughout hotel elegant luxurious without stuffy . front desk exceptionally warm welcoming , especially child . smile face make difference . we stay executive suite connect park - view bedroom , plenty room family four . view suite mostly look west Hudson River - really love view . view park - view bedroom dominate Trump 's hotel another huge building process build - glimpse park squeeze two building . otherwise , bedroom great . the layout suite little awkward - room suite long , crooked hallway . also , main door suite hotel 's hallway not connect solidly wall , slightly open gap , meaning could hear lot noise hallway even see little hallway . , since room inside suite crooked hallway , not matter much . the pool simply gorgeous . 's light - fill , long room 36th floor . almost empty time use staff nice . mix - up housekeeping , include one time walk right suite . woman sweet polite , not problem . truly negative aspect hotel price . shockingly , obscenely expensive . , must admit , think worth . great memories hotel . 
 Sep 21 2006 	 great facility - service lacklustre 	 good thing property - unlike luxury hotel NYC , facility new , room tired . location hotel , entire hotel quiet - real street noise . bathroom great . bad thing - expensive , service simply snuff type property pretend . get ready clumsy checkin , botch reservation ( hotel 's restaurant ? ) generally blah service ( even bad would normally expect high end NYC hotel ) . ' ve stay time , occasion , experience . , caveat emptor - pay dearly beautiful room , expect service commensurate facility , disappoint - , try FS instead . 
