excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 May 2 2009 	 not stay - dirty Beds Broken 	 one word , * * * dirty * * * stay many hotel many city throughout world , room absolutely fifthly comparison . normally person write review , ' m hope save other misfortune . stay hotel good location , pool , promise view room . fairness , view nice , . first night , leave note ( generous tip ) , housekeeping ask ask please extra good job vacuuming dusting . also mention room feel really dirty . return room , could tell room & quot ; clean & quot ; bed make , much else . dirt , dust , crumb , morning , still . go hall ask housekeeper could borrow vacuum . said & quot ; one note , good could & quot ; . spend next 25 minute vacuuming room . way , really clean freak anything like , dust , dirt , smelliness really gross . also , pay $ 300 per night room . addition dirtiness , bed extremely uncomfortable . bed sag excessively middle husband lie bed . five night , pack bag leave husband look bed make sure not leave anything behind . Guess find ? break bed friend . overall , extremely disappointed hotel . impressive lobby picture hotel , expect much well . 
 May 1 2009 	 Nice Overnight stay 	 conference Convention Center near O'Hare stay another day visit downtown Chicago . hotel perfect location want see . get decent price downtown hotel , parking fee 1/3 price room . within walking distance Navy Pier , Magnificent Mile , Chicago Water Tower , John Hancock Center Observatory overlook city . bed advertise feature , soft like sleep two soft wall encase . feature HD tv nicely stock refrigerator drink , cocktail , snack want pay high price . bottle water $ 5.95 . upscale elegant hotel little free amenity , valet parking , 3 nice restaurant , business center , service . internet additional fee , limited outlet recharge device . alongside Chicago River nice view , room city view okay great . 
 Apr 23 2009 	 Great Hotel Great Location 	 stay week conference service excellent . addition excellent service location great . quick access Michigan Ave .. bar Shula 's restaurant excellent . must rib - eye steak ... well do . 
 Apr 21 2009 	 ok stay 	 stay ok complaint bed filthy check . notice couple hair pillow case little concerned upon pull back sheet inspect find hair ever come person sleep bed . sure not change sheet something happen laundry load gross . call front desk tell would head afternoon could please change . say would . come back nine night one room yet . call back time send manager inspect agree condition unacceptable . tell not want anything clean sheet ..... although get 25 dollar credit bar use wait nice gesture . complaint end bed comfortable . sink far support . 
 Apr 21 2009 	 Price High - Value Low 	 come jewelry show Chicago host Navy Pier . Sheraton Navy Pier close suppose give discount rate go show . first , business person travel lot . not time surf internet good deal not want assistant waste time . expect hotel honest front , especially chain like Sheraton . we suppose great rate $ 199 . check find neighbor get room $ 99 ! room . room worth money . amenity minimal design okay . nothing $ 200 worth . the big thing , however , must gym hotel . . however , check get bill $ 20 gym usage ! ! literature post gym something payment gym . not like feeling take . never ever pay gym would expect someone would tell . disappointed & quot ; secret & quot ; charge behind scene pricing . would never go back . Hyatt directly across street nicer , cheap , gym free , big equipment , room well design comfort affordable bottled water . would never return hotel . 
 Apr 21 2009 	 Perfect view perfect location CLEAN 	 recently celebrate 20th anniversary Chicago stay Sheraton Chicago Hotel Towers . look gizillion place choose one location Navy Pier . ( go dinner cruise - the Odyssey Navy Pier ) hotel short walk ... unless wear heel : ) Navy Pier . find way home $ 5 cab ride : ) worth $ 20 blister ! ! also short walk Michigan Ave shopping ... comfortable shoe perhaps ? ? choose hotel location , view also terrific . time lake view Navy Pier , previous trip river lake view . nice . hotel nice . several restaurant , although not try . burger place downstairs sure smell good though : ) end Bubba Gumps Navy Pier . good ! room spacious CLEAN ! ! kind germaphobe ! clean important sanity : ) bottom level door lead right riverwalk , cool water fountain . : ) obviously highly recommend hotel : ) & lt ; 3 CHICAGO 
 Apr 20 2009 	 could Better 	 book via Priceline , sure would like , sheraton fall cliff . hotel absolutely surpass expectation . despite book Priceline , treat like king . let check early , give beautiful room , even go far look starwood number could get credit stay . staff unfailingly pleasant , property immaculate , room comfortable . highly recommend hotel . 
 Apr 8 2009 	 always Excellent 	 come hotel many time last 15 year never disappoint . wish would main restaurant Shulas countless restaurant nearby two choice hotel . conference facility also excellent . 
 Apr 6 2009 	 Great Location Great Service Clean Room ... horrible bed ! ! ! 	 , wife two child ( girl , age 3 8 ) drive Chicago 3 - day weekend get away . book room Sheraton promotion price great ( $ 129 / night - great downtown ) location fantastic want . valet parking price average downtown Chicago ( $ 30 / day ) expect pay . fantastic room 30th floor overlook Navy Pier . room clean service great . everyone hotel ask could help willng make sure stay comfortable . staff familiar town could easily navigate us place want go . really impressed . could easily get every Chicago attraction easily hotel . even get Sears tower less $ 7.00 via cab . Michigan Ave . extremely close , Navy Pier walkable ton great retaurant around . short , everything within walk distance . the thing issue bed . supposedly get & quot ; new mattress & quot ; supposed & quot ; dream bed & quot ; something like . man , think Satan make mattress . soft fault . like sink half - fill waterbed . support dip shape & quot ; U & quot ; lay ( feel like & quot ; V & quot ; ) . say something check . tell mattress instal find defective replacing . would say defective sleep limit back pain incredible . overall , experience ( minus bed ) great . fantastic time Chicago return . recommend hotel location , staff , view cleanliness . ' m hope get defective bed . 
 Mar 21 2009 	 stay another Sheraton 	 really disappointed hotel . staff friendly check - in problem . however , get room ( 18th floor ) , smell smoke smack face soon open door . normally not complain , think sucking , know would not able stay full week . call desk move 26th floor . later find hotel use allow smoking , 18th floor former smoking floor . new room ok first , realize dirty . hair EVERYWHERE . sink tub , ceiling bathroom , drawer . disgusting . also dust build coffee maker . also , stopper tub work . , get angry tired , call complain . send someone clean bathroom someone fix tub . leave , bathroom still rather dirty . tired keep fight , spend rest week try look around filthy room know maid bed make . raisin rest floor corner room entire time . gross could not wait leave . filthiness couple astronomical over - charge ( $ 12 one use subpar fitness center , almost $ 50 room service compreise salad , sandwich , diet soda ) lead decision stay another Sheraton . really go downhill . 
 Feb 26 2009 	 ok 	 great location room service cleanliness average . order pancake eggs breakfast , top pancake fine cake burn , egg way cook . stay 5 night bed make could tell room ever clean . 
 Feb 26 2009 	 Frozen River .... 	 spend 4 night end Jan / begin Feb say tick box . hotel 5 minute walk Michican Avenue pretty much central come . hotel close action around Rush / Ohio $ 5 taxi ride place offer much well value . arrive around 5 pm give top floor room face lake . check fuss unload back lobby minute . the room need update term decor ( light would not go miss ) not really bother . room come good sized plasma tv unusual still lot US hotel . bed really comfy room spacious bathroom . the hotel 2 bar , pretty cool hotel bar overly expensive . one gripe burger bar closed yet advertise widely food bar trick light snack . conceirge helpful little direction card write popular location . get pay - $ 100 night could not go wrong . would recommend anyone go night . 
 Feb 26 2009 	 great location 	 Chicago large gymnastic meet world . 2nd time stay Sheraton Hotel Towers . arrive Midway take L. walk 5 block hotel 25 degree . hotel great location . block half Michigan Ave shopping . room bathroom clean good condition . great view 28th floor . Shula 's hotel along several place get bite eat . get breakfast every morning internet cafe 1 floor lobby . go back Chicago , stay 
 Feb 16 2009 	 great location average hotel ... 	 stay Sheraton Chicago Hotel Towers Valentine 's Day weekend book directly hotel 's website . rate $ 100 less night hotel category area ( Magnificent Mile / river front ) . arrive Friday evening - lobby bar / restaurant offer nice . 3 main restaurant - one Shula 's steak house , burger place restaurant low level serve breakfast / lunch . also Java Bar right lobby serve coffee / cocktail . lobby would expect 3 - 4 star hotel . room 11th floor overlook river - location great , however , room average . everything date ( except 32 ' flat panel tv ) . bed 's overly soft room clean would expect - example , bathroom vent shower dust build , chip door shower appear mildew building corner . rest room pretty plain - small work center corner . reason would book location - room definitely average clean would expect . lot property area would recommend something else get decent rate . 
 Feb 9 2009 	 great service location bad room 	 love service second walk . everyone friendly helpful . hotel within walk distance many great restaurant attraction , short cab ride Aquarium Field Museum ( $ 10 ) . room view fantastic . love soft bed . temperature unseasonable warm , take day get room temp comfortable level , even air window open . one thing not like two light bulb burn , although note leave maid get fix next day . the real sour point other mention - noise . could hear people hall pretty late . put towel door seem help , not resort . one note - need use internet , go floor get 30 minute free . great printing boarding pass . go business center use computer , charge . 
 Jan 10 2009 	 good value great loction 	 Wife two night 1/1 1/2 99.00rate include valet parking get via link @ travel ticker . include request upgrade river / lake view bookingand receive . location ideal , walk taxi everthing . great time . 
 Jan 6 2009 	 okay hotel would probably try somewhere else . 	 husband stay 12/31 - 1/3 vacation / winter classic hockey game AWESOME ! book room hotel 's website could guarantee room type . get hotel late unfortunately since New Years , hotel packed ! People everywhere could barely park car front valet . want find parking garage tired . Valet 42 dollar suggest do not use b / c 's crap . basically pick car do not bring already run warm . go hotel car park one behind turn . go figure get key be park behind someone 's yet ready leave pretty much sit wait . happen stumble self parking garage attach hotel nobody want tell we . elevator take garage 2nd floor . be 30 something park 24 hrs . good thing do not pay flat rate like hotel . would suggest take advantage garage want save money time . anyway , go check tell we staying room double bed specifically book king 5 month advance . tell we book night possibly could give we king next day . think wrong b / c reservation say 's possiblity may get bed type like travel website say . say would understand tired want nice vacation without change room . basically could not anything give we free breakfast coupon . whoopee . grant 25 dollar head buffet still do not plan eat hotel nothing could . room adequate . plain old room . mattress bed soft actually sink . may sound good people need support back be use firm bed , be go trouble mattress . not noise could hear wall outside door bed hear everything . hear every night , New Years expect loud , door SLAMMING people yell hall . get wake every single night door slam . awful . room get switch next day , king upgrade , apology anything view & quot ; lake & quot ; well could not see lake b / c building cover . oh also do not get move 6 pm . care concerned . well saturday morning get wake loud helicopter helping take construction top buliding across street . bunch construction noisy morning . location hotel convenient though . 5 minute drive Navy pier , able walk 12 degree weather : ) New Years . right across street movie theatre bowling alley . 5 minute museum . price cheap could find location look . would try find something well next time . could not find well hotel around price would not disgust staying , would brace little thing could go wrong could annoy stay . 
 Jan 6 2009 	 great location - ........ 	 stay one night December 2008 . use live Chicago , attract location setting . stay room 2605 provide wonderful view Chicago River surround building . would stay due poor soundproofing room . please look past review - fair - lack soundproof door ( wall ) huge shortcoming Sheraton - quite unexpected . expect cleanliness , hot shower quiet room . receive quiet - room door wall . sleep hallway . usual , note thought & quot ; good , ok , bad ugly . & quot ; Good- Valet service . greet nice doorman drive . service nice immediate.- check - in . gentleman check - in really nice place we room view request . efficient polite.- Bed comfort . bed comfortable collection pillows.- Room size . room plenty space good sized desk work.- Location . hotel sit block Michigan Avenue heart city . river add ambiance . ok- Bathroom . clearly bathroom update time , shower hot towel fresh . shower tub combine . the Bad- light switch next bed . instead light switch locate wall next bed , wife reach lamp nightstand . poor attention detail . the ugly- sound proofing room . not know clear - room not door . could hear practically everything occur hallway . whether small talk guest room door closing - terrible wake wife multiple occasion . - sound neighboring room 's bathroom . related point , sound neighbor shower toilet loud . almost laughable painful sort way . spend lot time hotel recall time could hear noise come outside room . 
 Jan 5 2009 	 Nice hotel great location . 	 nice hotel right middle everything downtown Chicago offer . hotel large ( around 1,000 room ) nicely update . several bar lot lobby space . bed comfortable room clean modernize . complaint room stay new year 's eve 2008 new year 's day 2009.the staff friendly helpful location perfect we . hotel right Chicago river block Michigan Ave . want experience downtown Chicago need car staying location . I complaint hotel recommend hotel casual traveler , romantic getaway , business traveler . 
 Jan 4 2009 	 Disappointed ! 	 beautiful hotel great location - way .. much money New Year 's Eve ! ! felt take advantage mark one night ! tell would play Station room , find none ! also tell could upgrade club level possible sign . pay extra advance get room early - arrive time family ( pay early arrival ) let we time ! ! ( 12:30 ) bottle water $ 5.95and not offer kind continental breakfast . valet service ruin tire rim ... hotel quick say responsibility valet service . hot tub pool ... good thing go ' one shot ' Starbucks cup coffee ! would stay . 
 Jan 2 2009 	 customer treatment beyond compare ! 	 stay hotel since 2003 , pleasantly surprised stay . bring group small business outing , everyone super impressesd accommodation . dealt sale catering staff , nothing short phenomenal . beautiful room , outstanding customer service site , great location - Sheraton get . thing muster even vaguely resemble complaint : like firm mattress , definitely offer . however , room service receive , be quite easy overlook ! get home , find miss small bag piece jewelry . nothing expensive , not overly upset , contact hotel check . within 2 hour inquiry , get call hotel security , say jewelry bag , would send expense ! mention send 3 - day , fine , package actually arrive next day ! absolutely blow away quality customer service offer facility , would recommend anyone - would stay heartbeat . well do , Sheraton ! 
 Jan 1 2009 	 2nd Anniversary 	 decide celebrate 2nd wedding anniversary away relative decide go Chicago night . stay Sheraton fabulous . love location plan . special occasion starwood member upgrade 33rd floor lounge . incredible view Navy Pier . Sheraton consistent service , despite dirty dish lay hallway 24 hrs . one note , bed ultra soft almost soft . like firm mattress would inquire desk . room great , lounge nice , lobby spacious great sitting . would recommend anyone stay . 
 Dec 30 2008 	 sheraton nice expensive 	 stay christmas , lovely hotel , comfy bed , great location , staff nice . mini bar pack refill everyday , although price list pay nearly 300 $ can coke biscuit nibble , 3 we stay room , 2 little milk , leave note get two extra next day none theday , chicken tender pizza room service one night although 55 $ delicio well present . restaurant hotel awful menu , scallop thing would not eat .. would not stay though .. 
 Dec 30 2008 	 Old room noisy 	 wear - out room , really helpful staff . P.S . : not book Chicago tour Hotel ! 
 Dec 29 2008 	 Mattress Change ruin Good Hotel 	 ' ve stay Sheraton Chicago many time visit business . pleased able book room Holidays incredible price ( less $ 100 / night ) . platinum guest upgrade suite Club Lounge Floor . unfortunately , seem hotel begin lose way seem getting date wear down . of particular concern new mattress room . tell new ' memory foam ' mattress place ' upgrade ' Sweet Sleeper bed . ' ve happy old Sweet Sleepers , idea would want go ' memory foam ' route , never stay room new mattress -- terrible , even Guest Services place bed board box spring mattress . morning wife wake ' the big valley ' middle bed , barely able get sink -- poor support . not get good night 's sleep 5 night stay . the Valet Parking service ok dropping car , pick seem problem 50 % time . believe Sheraton Chicago contract service seem good enough job ensure good service -- well management supplier would help . 
 Dec 15 2008 	 place give blue 	 whilst place good location , utterly characterless . decor fitting room serious need renovation wall paper thin . normally travel US , great service give . however , severely lack hotel . record booking , credit card charge twice , room ready turn etc . etc . apology give . will stay somewhere else next time . 
 Dec 3 2008 	 WIndy City 	 sheraton wonderful hotel ! mom fly really tired decide take quick nap . do not want get ! bed absolutely die . want take home . service great probably one big big hotel I ve ever stay . really nice restaurant inside excellent food . 
 Nov 28 2008 	 nice property good location 	 stay property Wednesday Thanksgiving holiday . first time Starwood Platinum since stay rate $ 119 include parking go happy room point ! check quick SPG check staff couple people much line . we check club lounge nice can not comment food offering breakfast miss nice looking lounge since consider lounge offering US useless rarely spend much time they . we get upgrade suite , really regular room connect large hospitality suite . get much use additional space spend little time room think suite large enough actually 3 entrance . nice upgrade really . also , check person mention could get free internet lounge room club floor guest nice perk . we drink Chibar remember hotel last stay nice place really large . karaoke night actually fun . drink price little high think , even hotel bar . service spotty though . definitely well option drink nearby good time none less . Breakfast Shulas place character . pretty expensive breakfast typical Chicago hotel breakfast . this nice hotel lot character nice pretty good location definitely return . 
 Nov 20 2008 	 Sheraton continue average 	 use Priceline Chicago day , keep end Hyatt Regency Sheraton . try save company money , think ' m going start suck pay . the Sheraton convention staple , be always packed . room ok , , be teem people huge , room kind blah always want stick next something loud ( like elevator shaft ) .There huge ink stain one comforter , call guest service . fridge louder loud , , guest service . , key die 24 hour . suppose send new key not , wait line 20 minute downstairs get one . service not exactly strong suit . have get car time bad . park $ 42 , take valet forever day fetch car . literally , half hour . be like call . basically , ' m do hotel , unless stay , definitely will not . would recommend other . way well place stay Chicago price ( be pay full price ) . 
 Nov 15 2008 	 Great Hotel Value 	 select hotel available Expedia view waterfront . get excellent rate booking trip include air San Antonio hotel together . upgrade room deluxe waterview booking . after book online , send email directly hotel tell travel Chicago anniversary request room nice view Navy Pier , available . also ask possibility early check - in late check - out time plane arrive depart O'hare . provide signature Club frequent traveler information make request . next day receive response beyond expectation . upgrade Sheraton Club floor ( top three floor 34 story hotel -- include complimentary continental breakfast , snack , soft drink bottled water , free use computer wi - fi ) grant early check - in ( expect time arrival around noon ) late check - out day departure . reservation make we night anniversary hotel steakhouse , Shula 's , complimentary dessert . when arrive around 11:45 , tell room yet ready check - in give door key Sheraton Club Lounge could relax get call room ready . check bag go 33rd floor lounge . 12:30 , receive call front desk go back check status . tell still do , go hamburger restaurant ( two floor lobby hotel ) lunch . lunch -- still ready . disappointment early check - in happen 2:30 -- half hour prior regular check - in time . would begin enjoy Chicago couple hour early actually able get early check - in . real disappointment . we assinge fabulous room -- 3304 -- floor Sheraton Club lounge . corner room absolutely beautiful view Navy Pier nice view Chicago River . room clean well - appoint , photo show . opulent , nice -- especially rate pay . king room , small sitting area , nice bathroom marble tile , terry robe ( one ) , nice sized flat panel tv , comfortable bed ( pillow bit soft , ' m sure would gladly exchange request ) . turn - down service Sheraton Club floor , first night service , find request service -- automatically provide . hotel know anniversary celebration wish happy anniversary time dealing front staff -- additional perk anniversary -- OK.The hotel general nice -- staff pleasant friendly . honestly not understand negative review ' ve read site -- unless room far superior general room hotel . the location great -- within 10 minute walk Navy Pier , Mag Mile pretty much start two block west hotel , bus stop within block hotel , hop - on - hop - off shuttle tour half block front lobby . tour city bus , foot , trolley , taxi ( $ 5 get anywhere downtown area taxi ) .We try another hotel next trip , look something different , anything negative Sheraton Chicago Hotel Towers . 
 Oct 24 2008 	 good hotel 	 stay Sheraton Chicago business conference . hotel enormous although look little date . room large , enormous bed , sofa , television , trouser press , iron etc . great view Chicago , although almost anywhere Chicago great view Chicago . small gym swimming pool large enough swim in . the bar nice sell nice microbrew beer . location hotel great . north river lot Chicago Navy pier etc within easy walk distance . 
 Oct 22 2008 	 incorrectly take money without notification still 1 month later refund 	 firtly take $ 372 card , even though also take amount one friend stay extra night . business take money card . 28th Sep contact admited mistake . month later call 6 time still pay back . secondly book 8 room buy 2 get 3rd room free direct hotel . look week later , book 7 refuse offer rate 3rd room free rate , two friend not come trip away . thirdly ask initial money room could take ASAP dollar weak pound . 8 phone call 5 month ( say would ) eventually take money whole trip cost additional £ 150 . overall , hotel nice nice location , never stay due problem . 
 Oct 14 2008 	 worth money 	 recently stay Sheraton onsite conference , problem getgo . problem check - in even though make arrangement beforehand pay company check credit card file . front desk clerk kind rude . the room okay , worth pay . sheet kind mess room not feel clean . also charge internet access , ridiculous . hotel provide free wi - fi . the conference food , assume catered hotel , good . day check , arrange late check - out , morning check - out time , someone else get assign room attempt get ! lock room luggage still check time . , would recommend stay somewhere else . 
 Oct 14 2008 	 worth money 	 Booked hotel & quot ; Official Website & quot ; 2008 Chicago marathon . knew not go good idea ? turn two room book ( $ 350 per night ) not available not use hotel website . confirmation letter wherever marathon website , thankfully squeeze we , two room two different floor . good situation three little kid three adult . promise we roll away bed room still not deliver 9 pm get evening . wait another 1/2 hour get kid bed arrive . hotel little help we ( term get we least floor ) . also require 2 night minimum booking . enormous charge include internet , restaurant attach hotel average $ 20 per person meal . would problem pay ( place consider & quot ; worth & quot ; ) , except hotel not worth . 's old hotel fix cosmetically . be loud hallway , room dark . half light not work coffee pot brew half cup coffee . pool fine . health club look nice . concierge counter helpful . lobby area clean well decorate , gift shop close & quot ; 10 minute & quot ; every time went never get anything . hotel , however , locate lose cell phone ' m greatful . location not bad marathon weekend activity . overall , never spend another dime Sheraton hotel chain . not first time ' ve less impressed Sheraton , first time feel compel review . 
 Oct 12 2008 	 Great Hotel 	 stay Sheraton Chicago week August business conference . hotel huge , clean , staff go way help book ticket play Wicked . burger restaurant downstairs delicious hotel situate right Chicago River . hotel close nearly everything , convenient . facility clean , new , staff take pride keep way . complaint wireless internet cost $ 11.95 day . think hotel actively recruit business conference , profit quite well , could pony little money free wireless internet service , huge downfall conference attendee could get free wireless internet budget hotel like Shilo Inn Best western , luxury hotel like Sheraton . excuse . 
 Sep 29 2008 	 good hotel great view 	 stay conference . hotel good - amazing view Chicago River hotel room . location alright - little beat path , lot attraction within walking distance . concierge incredibly helpful . would probably stay . 
 Sep 28 2008 	 Conference facility 	 stay hotel , attend conference Sheraton two day . hotel lobby meeting room area beautiful roomy . conference facility vast organized well lot room information area . food conference great waiter lunch probably attentive server ' ve ever see conference luncheon . there session room really small remote . hotel would well invest ceiling mount A / v projector screen could raise - time ( small room ) difficult see presentation other ' head way . the location Sheraton 's good asset . promenade along Chicago river great place take break conference . husband eat Chicago Burger Company say great meal . 
 Sep 26 2008 	 ok ... 	 hotel OK . price , get much . lobby nice , room bit dirty . shower mold tile hair & quot ; clean & quot ; towel . step elevator , floor ( 20 ) smell like wet dog . food room service great , take almost two hour deliver . ' ve stay nice clean hotel Michigan Ave . cheap price . would not recommend hotel . 
 Sep 3 2008 	 Labor day weekend Chicago 	 three we stay Sheraton Labor Day weekend first trip Chicago . choose hotel due excellent location , close Navy Pier Michigan Ave . lobby area obviously undergo refurbishment present excellent first impression . reception ask want upper floor room view , . room view north Hancock Tower east lake pier block another high - rise . room smallish clean everything need . cool without air - con , despite weather outside quite hot . 3 night stay hear little noise guest make relax stay . dissapointment rather small pool , 1200 room hotel seem inadequate . nice hotel great location downtown Chicago . must visit nearby Fox Obey delicatesen restaurant fantastic ! 
 Sep 3 2008 	 Great Hotel ! ! 	 stay Labor Day weekend . experience time walk door walk wonderful ! ( two couple ) arrive 11:00 a.m. even though check 3:00 p.m. give we room right away leave we free roam without worry get back certain time check . room clean . couple nice lounge hotel lot nice ( although pricey ) restaurant within walking distance . would recommend PJ Clarkes street north lunch dinner Lizzie McNeills ( stairs east hotel ) casual food hang right river ... less expensive hotel bar . also Dick 's last Resort nearby Navy Pier boat entertainment far either . would definately stay and/or recommend friend acquaintance ! 
 Aug 31 2008 	 Great Stay 	 decide stay Sheraton Hotel Towers Labor Day Week - end , even though read several negative review . choose Sheraton Omni , Embassy Suites , Hilton Suites hotel . stay wonderful . receive warm greeting Grant upon check , make feel though important guest hotel . stay Club Floor Illinois Suite spacious well appoint . two bathroom , along fabulous Sheraton Sweet Sleeper bed . excellent housekeeping service ( even though guest comment contrary ) . often meet housekeeper hallway leave day . Gabby , Front Desk Manager could nicer . proficient role manager , make business see wonderful stay . burger Chicago Burger Company . DELICIOUS ! ! even though large hotel ( 1200 + room , personal feel . anxious stay large property , attention detail service provide level Ritz Carlton Washington DC recently stay . Kudos Gabby staff effort . not want forget Concierge ! want know anything answer . always patient informative . side Club lounge renovate , not get see beautiful view two story lounge , however view suite exceptional . hotel get bad rap reviewer . give chance . believe pleased outcome . work hard make stay memorable . able walk Chicago hotel . look back fondly stay . well worth trip ! great room , great food , great staff , great stay . affordable . can not go wrong Sheraton Hotel Towers . 
 Aug 28 2008 	 lovely hotel 	 friend travel Chicago New Year experience away London . scour expedia deal , Sheraton Hotel Towers seem come trump . on arrival pleasantly greet classy lobby decorate nine Christmas decoration , include chocolate sculpture centre depict toy soldier . already impressed , help check - in lovely staff . not ask special request booking , think would ask could get room view upgrade view quibble . when get room , look window , clearly give we great view look river meandering skyscraper . Chicago skyline amazing ! slight problem room safe , one call reception security man room fix minute . room clean everyday fresh towel toiletry always replenish . the location hotel pretty good . be locate right Chicago River , five minute walk Michigan Avenue 's shop . hotel slap bang middle everything , would say equidistant Chicago 's sight Sears Tower John Hancock , Navy Pier Field Museum . Chicago big place not expect everything right hotel 's doorstop , Sheraton enough transport link make easily accessible . only two small point . seeing not arrive 30th December , not awful lot time find would good place go new year celebration . ask conceirge reccommendation , give we old Time magazine let we figure . thing overprice mini - bar , realise hotel , think worth mention . all though , Sheraton Chicago Hotel Towers great hotel would definitely stay future reccommend other ! 
 Aug 22 2008 	 think good 	 stay 2 night August . really like hotel . stay Hotel Sax two night like one well . think staff really professional , nice accomodating . mix reservation / price ( fault ) staff go way work . room really nice size good size bathroom . pay little extra nice view glad . great location close navy pier . easily walkable . good access lot bar conceirage helpful get we information . give we free pass two bar / jazz club area . really nice really listen we kind place want go to.overall , not think complaint . would definately stay . hear friend stay wireless internet not great location , not try . besides hotel , cool thing Chicago : course go navy pier stay firework . take one boat tour . take sail boat one . look back , probably would do traditional one . zoo so - so good kid . look hot tix location get discount theatre ticket . staff pretty much know ' show every theatre town . see ' alice ' look glass theatre . fantastic great kid adult . green mill really cool jazz bar lot history ( guess Al Capone ' old hub ) . ' go want drink party though . ask people speak people play . Wrigley field AWESOME . Andy ' jazz Club ton fun ' bar proximity ( one night stay late drink much ) . overall , would definitely go back Chicago . feel ' lot ' get . 
 Aug 22 2008 	 pretty good quirk 	 tough review . waver score 3 4 . pay full price 4 - star hotel , would expect pizazz . get tremendous deal Priceline , quite delighted get . wife , , friend stay we note highlight : helpful , friendly , cheerful staff , include easy check - in , helpful bellman , cheerful coffee counter worker randomly - encounter worker . excellent location , especially enjoy walk city ( central Michigan Ave , River walk , Navy Pier , Loop ) . suspect room view range good ( room 2836 skyline north ) , stunning . nice new large , hi - rez , flat tv . nice Bliss bath product . comfy , luxurious bed tempt we linger . functional feature good order ( water pressure , heating / cooling , etc . ) coffeemaker room w / Starbucks . little quirk : surface room bit dusty ( badly ) . one floor lamp could turn unplugged ( try ) . Bathroom fan ventilation . believe still charge $ 12 day fitness center , not time try . parking $ 42 valet , $ 34 self park . pay $ 32 lot 1 block north AMC theater ; probably could find cheap , tired . buy 3 pastry OJ coffee counter $ 20 . wish could stayed long try pool . hotel would make great & quot ; home base & quot ; explore city . 
 Aug 21 2008 	 good hotel great city ... 	 recently return overnight stay Sheraton Chicago . property clean good shape . king room north side building , offer great view . room large LCD television , average sized desk , decent bathroom . internet wire room , able sidestep cost grab unsecured signal somewhere hotel . know , day age , still can not believe hotel airport charge wi - fi . get smack $ 6 bottled water room , profit margin like , allow free internet ? wound rent car day , pay nearly $ 50 park . seem high , understand parking premium within city . Breakfast Shula 's good , pricey . go room service ... overall , job well do Sheraton . 
 Aug 18 2008 	 Good Experience Great 	 book American Girl Package . cost 2 night 2 double bed 550 dollar . room suppose upgrade , seem terrific . bed comfortable , room small outdate . bathroom need remodel . room really standard room . expensive mini bar , take thing , put thing , ( put thing back leave . -- nothing perishable ) get valet parking include , fold bed doll , daughter like . also get cupcake milk . hotel great location , easily walk Michigan ave important american Girl store . mcdonalds easy walk distance kid . able get hotel 99 dollar night , would take it.but pay . expensive get . hotel area , would check first . my daughter use pool , pool nice , air temperature pool area stifle hot , air circulation , unless pool uncomfortable . I glad get opportunity stay hotel . fun stay city . 
 Aug 18 2008 	 Excellent service around 	 rare around positive service experience , past weekend great Chicago Sheraton Towers . service good many different level . small hiccup online reservation email . receive prompt reply hotel fix problem immediately . upon check , hand write note hotel apologizing problem . small thing happen well : porter offer get we ice since ice machine level . check , offer bring car lobby stead parking garage . hotel worker get free cup coffee 6 am since lounge be not open 6:30 . sit outside drink manager ( server ) come clean table we right sit , tell we much love Chicago summer . staff generally prompt , friendly , attentive . although issue , impressed . craze lady yell valet guy garage wait 15 minute car ( say ticket ) guy not argue be not mad even though woman totally line . polite calm . extremely impressed one person whole staff . 
 Aug 18 2008 	 large hotel excellant service 	 wife stay quick anniversary getaway . hotel huge staff accomadating remarkably curteous facility large . good way describe lobby massive - and busy , conceirge fast wonderful job point we fantastic restaurant . stay little boutique hotel well know personal service would say staff service hotel par superior . location perfect walk loop , navy pier Michigan Avenue shopping . good way actually get around area walk everything close enough make chore - we even walk Union Station - which walk along river Wacker pleasant less hectic - though admit travel backpack make walk easy suitcase . would highly recommend hotel service comfort - the room clean comfortable , comforter bed nice touch - we lake / river view room pleasant well - and rate competitive , particularly consider many people town big air show . would agree note price restaurant high charge internet , understand Sheraton change latter policy food drink price - well Chicago Milwaukee something expect - and certainly bad find NYC London - you always go liquor store - about 3 block away BYO . large hotel busy major city one rank among good . 
