Fantastic 	 Dispite say , one , good hotel stay Chicago . travel Big City three time year pleasure James rate well . upgrade staff make stay worth special weekend visit . not believe disapointe . 
 funky decor shame lifts 	 stay James weekend work Chicago area . location fantastic shopping sightseeing . room 14th floor not notice noise reviewer mention . like decor ( modern ) find room comfortable free wireless useful . toiletry ( Kiehl 's ) particularly nice . eat restaurant ok . main problem hotel lift - end wait colleague 15 minute one occassion one two customer lift action lift tiny . would also recommend staff correct british guest use word & quot ; lift & quot ; rather & quot ; elevator & quot ; - 15 minute wait quite irritating . 
 may 22 2009 	 UNBELIEVABLE experience 	 must serious regular traveller . ideal business lesiure . great location major Chicago attraction . staff offer exceptional unrivalled service . trendy , chic sophistacate - & quot ; must see & quot ; hotel . room - room cinema / theater separate room . furnishing first rate . one hotel world , selection glass mini bar room martini glass ! staff - nothing much trouble , always ready smile extremely helpful , professional , efficient , friendly . the plaque entrance door say & quot ; one Worlds Leading Hotels & quot ; - James Hotel certainly live reputation . ( group 14 ) stay three night . looking & quot ; extra special & quot ; hotel - James place 
 May 14 2009 	 well chic ? 	 place amazing . moment make reservation , staff could accommodate . call advanced concierge information wait upon arrival . front desk people wonderful patient not comfortable initial room . bell staff front desk must show least 8 room various view layout . patience saint without one bit attitude . fact , could believe incredibly kind understanding . every morning greet name doorman bellman . rain offer umbrella moment enter lobby elevator go outside . room service staff great arrange food accord dietary restriction . gym well appoint , sadly not get chance work . concierge manage get reservation dinner restaurant take week get . amazing ! ! ! hotel right across street Trader Joes hungry , get bite eat pick snack . two business center guest use free internet . I decide stay hotel could not bear stay street convention attend want small boutique hotel . fact bring friend drink bar , entire group lament not stay James instead Mariott everyone congest gross chemical use . my room great issue noise . fact quite . room smell great , clean , chic well lay . fact 8 room well lay way . prove cool James , Bravo 's Project Runway cast 7 th season Tim Gunn pr staff stay even get talk Tim lobby . former concierge 5 year know level service guest expect . James exceptional every aspect .. everything hotel beautiful , unique well do . 
 May 8 2009 	 James Hotel - Great location / Staff 	 stay James Hotel ( seventh floor ) five night April 2009 . hotel perfect location , close everything . walkable place include Magnificent Mile , John Hancock tower , Millennium Park , Navy Pier , Aquarium , Sears tower etc . etc . staff always polite helpful . room decent size comfortable bed nice touch include plasma tv kiehl 's bath product . negative wake early morning traffic / bin man - bad thing not want waste holiday ! would highly recommend hotel anyone wish stay Chicago either business trip holiday . can not wait go back Chicago would definitely choose James hotel ! 
 may 6 2009 	 average stay James 	 fairness James , arrive reluctantly fully prepared like James transfer Affinia due book error Affinia . ( James Affinia operate group . ) initial service cleanliness James impress start think might good ( well ? ) stay Affinia all . the decor plain simple , comfortable , room nicely clean day . Great mattress , quiet room free internet , good . there nice , big flat screen room , closed - captioning , amount button pushing could turn . take 3 request 2 day get hotel turn . go Chicago watch tv , walk around 6 7 hour , nice veg front tube drink two dinner . the closed - cap really annoying price charge room , James ' upscale presentation , everything work correctly , fix pronto . bathroom faucet knob fall late night , could turn water . the & quot ; engineer & quot ; call , arrive fairly quickly fix , seem forever , lay bed try fall asleep , wait guy show . ask front desk long distance call tell would ~ $ 4 change . reality charge $ 13 something bill . complain hotel adjust . last night , evening excellent dine great blue bar , get back hotel late want watch tv bit call night . tv die minute two turn refuse turn again . I bother call front desk , point late have enough deal little problem hotel . also error room billing charge turn another mistake Affinia 's part . James ok , little problem annoying , take glow could enjoyable stay . if pay regular rate ( James honor Affinia 's special rate $ 149 ) , would much less happy . Affinia 's handling reservation subsequent transfer James leave bad taste mouth . this James fault , hotel problem reservation problem , care group hotel , stay ok . 
 May 5 2009 	 Mixed Feelings - lot must depend room location 	 James cool , well - appoint hotel . room service perfect reasonably price breakfast . amenity decor wonderful ( plus 's huge big flat screen tv ) , location . ... low floor East face streetside room , like , good luck get good night 's sleep . noisy . street noise go night - motorcycle , trash truck , etc . even earplug , room small , awaken one night 4 am dog bark ( allow pet ? ) , another night people talk loudly next room . , shade not completely cover window , sun stream early morning . get Hotwire deal , maybe good room ( could not switch first night have wait since 10 am check ) , mean can not recommend hotel . probably hope make room available hotwire . 
 Apr 30 2009 	 great weekend James Hotel Chicago 	 first visit James Hotel . stay base review see Trip Advisor . thoroughly enjoy hotel . one block Mag Mile walking distance everything else downtown . entire staff could accommodate . concierge give we great recommendation nearby local restaurant , art gallery even beautiful church Easter Sunday Mass ! ! gym FANTASTIC ! huge cardio weight lifting area . impressed since hotels cardio machine 's it . the room nice size bed comfortable could sleep every day ! main floor computer area computer Mac boot . able print boarding pass without hassle . would highly recommend trendy / cool hotel . can not wait visit next time Chicago . I try restaurant hear good . 
 Apr 21 2009 	 Surly staff argue every turn 	 first , several day prior stay , call speak length concierge . time specifically request large pot coffee two people one large glass orange juice deliver Saturday Sunday morning 9:30 . speak concierge , telephone confirm order another individual hotel . , Saturday morning get order , call in - room dining . idea place order state not tell order concierge . wait another half hour deliver order room . bring two ( 2 ) orange juice ( order ) argue point . Sunday morning receive order 10:15 - provide two ( 2 ) large orange juice ( - order ) large pot coffee one ( 1 ) cup ( two we ) . , argue simply overpay . sum , end pay around $ 60 item ( 1 ) order , ( 2 ) late , ( 3 ) require nagging receive . inconvenience in - room dining staff order room service Saturday night . first , food limp uninspired . , order soup- arrive without spoon . call in - room dining request spoon , tell one would forthcoming . 15 minute later , waiter arrive menu . explain already food not need menu - need spoon , audacity argue . respectfully request return spoon agree . another 15 minute ( one bowl cold soup ) later decide call in - room dine back request ( ) send someone spoon . argue express have already send someone spoon . explain - receive menu not request , spoon forthcoming . another 15 minute later , spoon finally arrive . end pay $ 100 + could argue cold , flavorless food . addition gross customer service , surly attitude , sorry food , find room woefully lack . reek exhaust fume much Saturday night wake smell . , specifically request book reservation keep away elevator … right next elevator displeasure listen de night long guest come go . 
 Apr 18 2009 	 excellent staff extremely clean modern kiehl product bathroom ! 	 husband starye hotel past weekend attend conference Chicago . prior arrival , contact manager customer service try get ticket Oprah get restaurant recommendation . come thru we account . rest staff equally amazing , helpful friendly . location great ... close everything Trader Joe 's Starbucks right across street . room little sparce , barely anyplace unpack . bathroom small , modern stocked kiehl product ... favorite ! Turndown service night . upscale hotel without shi - shi . highly recommend hotel ! 
 Apr 9 2009 	 Great Hotel ! 	 find James deal Travelocity January . review 50/50 deal good pass . ' m single mom travel almost 15 year old do great deal travel give perspective . arrive early ( cab O'Hare $ 40 tip ) room ready immediately . hotel immaculate stunning ( like contemporary vibe ) . room perfect us - bed perhaps comfortable ' ve ever stay . room contemporary - great tv , typical city view , overdone . staff bend backwards we stay . clog toilet restaurant recommendation , attentive . Mr. Marcellus ( evening concierge ) even go trouble print boarding pass night leave . eat restaurant site order dessert one night via room service - good . hotel block Michigan Ave . Hard Rock , Rainforest Cafe , Rock & amp ; Roll McD be within easy walk distance . Red Line easy walk bus come right Ontario . suggestion go CTA 's website advance buy pass - unlimited 3 day pass $ 14 / each good bus & amp ; El . nothing James - also strongly suggest eat breakfast Lou Mitchell 's ( 3 block Sears Tower ) . 
 Apr 9 2009 	 Nice Hotel Great Location 	 nice stay 5 night recently conference town . positive : -- great location , right Michegan Ave close great shopping / restaurant etc -- Trader Joes right accross street -- room clean housekeeping great ( turndown service even include home bake treat ) -- great lighting throughout hotel - room light dimmer switch -- Gym , although huge baseroom well equipped . 's nice see hotel get gym right -- original artnegatives : -- view , many room look interior courtyard ( mine ) / directly room -- althought get great rate hotwire , offer smoking room , option pay $ 40 / night extra upgrade non - smoking junior suite . annoying . -- small slow elevator ( although probably much do give building age ) . 
 Apr 8 2009 	 great hotel fantastic location 	 stay James four night girl ' weekend getaway . able walk almost everywhere want go , take taxi , doorman extremely helpful . room clean comfortable , lot towel nice toiletry provide . staff attentive always cheerful . would definitely stay ! 
 Apr 7 2009 	 51st Birthday trip chicagoil Hotel James ok ! 	 James hotel locate close everything Chicago , miracle mile , Pizza House Uno , Rush street , Water Tower everything . walk everywhere everything close . room modern little small side . bed comfortable , ! service good call answer professionally nicely . service fast . lobby liitle small keep riff raff hanging , bar service good . drink price high expect hotel bar . get great deal lead hotel world stay 3 day $ 400.00 5 star hotel be cheap . due location , price service may stay . think next trip may take Trump 's hotel Chi Town . James good stay . doorman hotel Great ! always pleasent , smile good service . 
 Apr 3 2009 	 enough word ... 	 explain wonderful hotel stay husband . 40th everything make special stay . check wish happy bday , handwritten note Exec . Assistant hotel Manager , check day early confirm dinner reservation , etc . every morning night staff greet we door make sure great time make suggestion hit experience true Chicago . room extremely well do , quiet & amp ; bathroom amenitie wonderful tasteful decor . gym - well ' ve experience monthy membership . 
 Mar 31 2009 	 wonderful experience ! ! ! 	 wife Chicago getaway weekend friend . could ask well hotel experience . room , location , service , friendly helpful staff , , , , , , top - notch ! ! ! , within walk distance many good thing ! weather cooperate well , oh well ! ! bed comfortable , sleep well age ! ! ! 
 Mar 25 2009 	 fantastic staff superb hotel . 	 spend couple week James recently honesty good hotel ever stay in . I travel constantly business frequently disappoint hotel . not seem make difference much money spend , experience fundamentally flaw one way another James come complete shock . finally hotel treat respect courtesy moment arrive day depart . the staff fantastic incredibly helpful , nothing much trouble , always smile . greet name premise 30 minute , still idea that . the room comfortable , well appoint slightly minimalist decor , quite stylish . bed plush everything would expect 5 star hotel . restaurant Primehouse excellent , time stay 3 course $ 20.09 lunch amazing , can not recall ever Kobe Beef Sashimi serve block Himalayan Pink Salt appetizer twenty buck lunch yet not serve require microscope appreciate . order similar appetizer Envy ls Vegas week pitiful cost whole lunch Primehouse . succinct James brilliant go Chicago not mess anywhere else , location perfect , enjoy stay . 
 Mar 15 2009 	 Ultra Hip Modern Hotel Great Location 	 stay James approximately 10 + night past year love place . swap Sofitel Water Tower Place base upon price availability . location central River North attraction , Rush Street , block south party district stay relatively quiet . Trader Joe be across street , great want in - room picnic ( read ) . heart Michigan Avenue shopping block EastThe decor ultra contemporary clubby , yet room comfortable . lot great example modern mid - century furniture . bed comfortable great linen . room stay clean well maintain . Plasma HDTV , complimentary water , nice bath product , nice touch like dimmer switch room light , ipod compatible radio . feel minimalist , spare . staff professional . downstair bar sometimes good spot , seem mostly hotel guest many local . J Bar , locate next door , really get go late evening seem cater 30 - something crowd ( 40 - something lot fun friend ) . David Burke Primehouse restauarant amazing steak . definitely worth splurge 30 , 45 , 60 day aged steak . typical room average size . real treat hotel & quot ; Loft Suites & quot ; .The hotel particularly tall surrounded tall building , really almost view . also U shape plan interior room face parking deck limited view Wrigley Tower distance . ingeniously , interior room design extra - large rockstar suite - need view . suite feature living area couch couple chair , wet bar stock top - shelf liquor , cocktail shaker , refrigerator , etc . , small dining table , large plasma tv . bathroom large glass shower separate tub . Great Kiels bath product . nice robe . the bedroom king size platform bed alcove living area Plasma TV . lastly , side living area describe & quot ; party pit & quot ; - consist queen matress platform surround drink shelf LCD projector show dvd wall . yeah , really . order bottle Cristal invite groupie . would make great room long romantic weekend . price board hotel depend occupancy time year . stay high $ 100 's unusual see get $ 400s per night . check . 
 Mar 14 2009 	 hide gem 	 stay many different hotel Chicago , include two high end property . would definitely stay hotel , really think hidden gem . great location , nice lobby bar friendly staff . room nice touch ( might take look window though - they leak like sieve hard keep room warm ) 
 Mar 11 2009 	 great place love modern cutting - edge decor efficient service downtown Chicago . 	 stay James short business / leisure trip Chicago . consistently pleasing clean , love modernity ! friendly staff , . stay . 
 Mar 3 2009 	 fantastic central location lovely boutique hotel 	 boyfriend stay James May 2008 whilst visit Chicago find hotel pleasant . bif fan modern boutique hotel . trendy , big , small great location . room modern , good size clean . downside there s much view big city many picturesque view around ! use gym couple time well equip also great internet access lobby . staff also helpful . we eat David Burkes steakhouse one night food fantastic , however pricey side maybe special occasion . go J bar good music get pack fairly quickly . would also recommend drink top hancock tower . fantastic view Chicago . also go sears tower daylight worth visit . one thing must whilst Chicago go Cubs baseball game . great time ! would definetely stay James hotel . great overall stay . 
 Feb 27 2009 	 Love James ! 	 great place kick - off exciting adventurous evening beautiful city Chicago . hotel great location place within walk distance fine bar , restaurant , departments stores city offer , right inside hotel . check - in speedy , entire staff friendly helpful answering question . contemporary room amazing atmosphere boast high - end amenity person could ask include flat screen television , stereo system , comfortable bed think ever sleep . highly recommend James impeccable weekend getaway extend vacation . 
 Feb 27 2009 	 Hidden Gem excellent location ! 	 James hotel wonderful place stay . walk distance great food , shopping sightseeing . staff James hotel go beyone make stay comfortable relax possible . 
 Feb 20 2009 	 lovely hotel great service 	 recently stay James Chicago . 's lovely hotel room really nice . suite include lounge area flat screen plus flat screen telly bed . bathroom lovely Kiehl 's toiletry lovely touch . really like hotel . service great , umbrella borrow rainy , windy day . 's great spot shop , go dinner , see sight . would recommend hotel . 's cheap hotel great . just around block two great restaurant , Grand Luxe Cafe ( beware , portion huge ! ) Heaven Seven ( amazing , particularly love proper soul food ) . 
 Jan 14 2009 	 Fresh Friendly ! 	 please stay James . serve need perfectly . come Chicago see Cubs play want visit downtown well . the location hotel excellent . within walking distance bar , shop lot fun . also trader Joes locate across street pick healthy snack refreshment . the hotel decor bite trendy use comfortable . hotel staff could well . check check ( 5 day ) , helpful . even lend umbrella forget mine upstairs . room service fast reasonably price . definitely stay ! 
 Jan 10 2009 	 Fantastic James ! 	 , four sister mother stay October 2008 5 memorable night Chicago . main purpose trip shopping also visit family . arrive hotel tired weary long flight Ireland moment leave treat extremely well . the hotel locate block famous Magnificant Mile ( Michigan Avenue ) , look shop til drop location could well . check - in breeze efficient . arrive room , almost take breath away . greet subtle tone relax music stereo playing room , lovely subtle lighting . decor room understate stylish , without top . bathrobe slipper complimentary treat leave we David Burke restaurant locate hotel . bathroom complimentary toiletry Kiehl 's extra nice touch . let say , sleep like baby duration stay , comfort bed room itself . unfortunately , get opportunity eat signature restaurant bar stay , drink lobby bar pleasant bar snack delicious , usual greasy fodder . for anybody first trip Windy City , hotel tick right box . great location , excellent service , beautifully appoint room , well worth price pay . I want say special thank guy concierge desk look we well go extra mile we . highlight trip follow ; 1 . Gurnee Mills , Shopping Mall - shopping mall upstate paradise want get designer shopping rock bottom prices2 . Grand Luxe Cafe , Michigan Ave - Great value money extensive menu either lunch dinner.3 . Navy Pier - 's Chicago staple , say , see least once.4 . Museum Science & amp ; industry - be go something different please go visit museum , absolutely fantastic well worth visit . all , wonderful visit Chicago even though city make wonderful would say James make extra special we . 
 Jan 8 2009 	 Great Business Hotel - suitable city shopping trip 	 room : stay 16thz floor . 2 double bed room . room decent size . equipment state art . furniture stylish . Room Size nice . could leave big suitcase open throughout stay ( rarely happen hotel ; ) ) 42 & quot ; LCD ScreenComplimentary WiFi roomthe bed pillow extrodinary quality provide excellent deep sleep I . locationlocated quite central . shopping street reach 5 minute foot . Midway Airport reach cab within 30 minute ( ~30 usd ) .Service- Spa Fitness exist - though use.- Restuarant ( used ) - Business Center- friendly helpful staff . ( even print boarding pass reception ) travel frquently , recommend hotel business stay , also overnight friend go shop , party whatever city center Chicago . pricing moderate teh standard provide downtown hotel . 
 Jan 3 2009 	 Wonderful hotel 	 boyfriend stay James Hotel New Year 's Eve wonderful experience . probably good hotel ' ve stay Chicago . location excellent . block Michigan Avenue several place choose dinner - within walking distance . everything go smooth . staff member friendly make we feel welcome entire time . decor hotel modern - make different interesting . 's personal taste , nice change fun . swanky word come mind . room clean , bed comfortable , product bathroom top notch . start finish great experience hotel . already plan return trip Chicago late January celebrate birthday plan stay James Hotel again . by far nice hotel ' ve weekend stay Chicago . 
 Jan 1 2009 	 Loved James 	 return Seattle visit home Chicago love James ! ! ! recently stay Ritz Water Tower Dana around corner -- great James perfect . secured room package w/ American Express great deal though view not great space , decor location can not beat . staff friendly , courteous helpful , gym substantial though not try restaurant / room service , menus look yummy . ' ve stay Chgo area avg 1 - 2s / mo past three year James top list . get good deal , highly recommend ! ! 
 Dec 5 2008 	 good great 	 stay three night large annual conference Chicago . lot people flock city one . happy try , look something else next time . good thing : courteous staff ; nice , clean well keep room ( suite ) ; plenty fine amenity ; good wireless room , steakhouse restaurant worth moneybad thing : breakfast service restaurant bad , take long get order ; room end inner & quot ; courtyard & quot ; dark , adaptor although must annual issue many european visit ( Walgreens stock ! ) smoking section hotel walk get room , room noise proof , could hear guest , wireless lobby work . personally : little trendy , little heart great . advice : stay , get room outside , check breakfast service run normally , otherwise either room service go another place breakfast , check steakhouse , good service good food . 
 Dec 4 2008 	 not know fuss 	 spend 7 night Chicago , 3 James , disappoint overall , probably spend first 4 night Sofitel . comparisson , starter cost we considerably 3 night James compare 4 night amazing room Sofitel Water Tower . Room James basic say least , decor dull , drap boring throughout hotel . attempt funk fail , theme taste . big gripe could enjoy hot shower stay , water tepid good , staff say full capacity , good enough . front hotel quite noisy . charge 8 dollar per bottle water left evening , perhaps note leave advise , mislead expensive . plus , door man fantastic , helpful friendly turn service lovely , however consider return , Sofitel Water Tower mile ahead every department . 
 Dec 2 2008 	 Funky Modern Fun Hotel 	 stay bachelorette party great . room big enough hang - plus love bench seat room . Kiehl 's product ( reason choose hotel ) . location awesome 's block away Magnificent Mile - famous r & amp ; b singer also stay . be good enough celebrity ... : ) el stop 2 - 3 block away - 's bad walk ( Red Line - Grand stop ) 
 Dec 1 2008 	 Wonderfully Dog Friendly ! 	 husband book hotel 's location also want bring 70 lb . bulldog we . find hotel use dogfriendly.com , not disappoint ! soon pull doorman dog biscuit ready pup . also food / water dish already room . the hotel nice pleasant . complaint minor . fridge room , enough wastebasket , bedside lamp . otherwise , doormen concierge extremely helpful warm friendly . really enjoy stay ! 
 Nov 18 2008 	 Fab Time @ James 	 stay business . upgrade loft suite . hotel beautifully appoint , superbly locate dead sexy . room completely top second & quot ; medium bed & quot ; ( large projection screen tv , dvd player , surround sound ... bow chicka bow wow ) , great bath amenity , wet bar , etc etc . also love lobby bar scene & amp ; food service @ check . 
 Nov 14 2008 	 EXCELLENT start end 	 believe describe amazing stay James . service impecable , door man front desk . location could well . yes , hear ambulance street 14th floor , , come , downtown , expect .... overall noise level bother we . the minor incident cleaner try open room clean 9 pm ... pm ? go figure ... 
 Nov 10 2008 	 hard beat 	 great bed , great bath , great service overall , great location . avoid top floor room noise air conditioning unit . regulate room temperature get little challenging . spa mediocre overprice . concierge wrong lyric opera time , 1/2 hour late . parking expensive . 
 Nov 10 2008 	 Great Location Great Hotel 	 — I book room James husband 's birthday last weekend . firstly , David Burke 's Primehouse one Chicago 's top 10 good steakhouse , locate James . draw want eat top - notch , top dollar steakhouse right hotel . not , plenty really great restaurant literally right door , within 2 block radius . — the hotel lobby contemporary , sleek decor certainly appeal anyone artistic eye appreciate combination nature modern design aesthetic . love birch , maybe aspen , tree throughout lobby , well energized , fun , upbeat feel . appeal young old ( er ) .—The bar also lobby , rather one end lobby - downfall entire place . ' ve drink twice , time November , Chicago wind suddenly become frigid . bar cold . door side open ( even hold open doorman ) patron arrive depart , time allow * blast * cold air hit anyone sit low comfy couch chair . really poor planning . 's bar would like hang - misfortune place feel much like mere extension busy lobby , like part weather system currently hit Chicago.—On room - fabulous . queen studio , great couch chair choice , large mirror urban loft type feel . yet , everything smart . 's practical purposeful clean look comfortable feel . feel immediately like ' this apartment . ' speak comfort - bed divine . linen covering , white , fluffy comfy ready make want get bed morning . say , not ! coffee maker room , free good coffee lobby , free paper , back upstairs , flatscreen tv bed . ( course always room service , breakfast Burke 's . suggest luxurious morning . ) studio also large flat screen living area , two big closet , large bathroom ( , appoint way wish home ) sidebar piece small bar sink , several premium bottle spirit , include wine key , great little sound system . pack tiny space , still make feel spacious cozy . ( quiet , even right elevator . ) well do , James ! — the minor downer room bathtub . , look fabulous long , chocolate tile surround cloth shower curtain . , people avoid take actual bath hotel . however , sometimes be necessary . happen need soak visit , uncomfortable ' ve ever lie . place rest head without chin jammed chest . little ledge , nothing . could James provide * least * bath pillow ? would help tremendously . know , , stick shower.—the location hotel perfect . shop great restaurant * literally * pace front door . mean across street block - mere 2 block range could fed clothe life . — if be try decide stay Chicago - highly recommend James . ( last name James , relation ! hotel name James Dean . ) place young hipster , though encounter many cool young staff member - good energy , helpful folk . stay James , hope be experience fun . : ) ps - David Burke 's Primehouse amazingly good . ready drop coin , wow ! recently list high top 20 good steakhouse city Chicago magazine . ( restaurant rec 's vicinity be look . ) 
 Nov 4 2008 	 good ! 	 stay James week , good week ever ... James perfect location , super friendly helpful staff , beautiful modern design , nice plasma tv ; ) , clean , secure comfortable . top close good place eat close good place shop … .. perfect ! 
 Nov 3 2008 	 Good expect well 	 stay James Chicago weekend pretty good . remember building house Lennox House hotel , makeover pretty impressive . look minimal hip . contemporary art , especially photography , display throughout building . check - in simple . arrive early problem . ask two bed instead one , request also accommodate . front desk person ask ' like high low floor . pick high assigned room 15th floor . the room already describe – white minimal furnishing : two bed , table bed , long bench front window contain two drawer , dresser - like piece mini - bar item tow drawer , small nook padded seat plus small table . bathroom small entry room contain closet - like cabinet shelf , hanger , safe . bathroom nicely do grey tile floor white fixture . as other mention , odd smell nook . smell ( reminiscent dirty foot ) probably come upholstered seat – either padding cover . musty smell pretty much stay small nook permeate room . housekeeping ' attempt spray smell temporarily alleviate problem . some observation : PROS : - bed incredibly comfortable . think Westin great bed , mattress , sheeting , pillow maybe good ' encounter hotel.- look around , realize lot storage space room.- Kiehl product bathroom great – Amino Acid shampoo one favorite 2.2 oz bottle refill future travel . - selection newspaper guest good . USA today deliver Monday morning . paper deliver Sunday morning New York Times Chicago Tribune available guest ( gratis ) front desk . Wall Street Journal join newspaper days.- 3 computer lobby area ( two Windows one Mac ) guest mean never wait computer want one . also bring laptop trouble access free Wi - Fi hotel room . kudo free Wi - Fi . - addition sheet , towel top notch . bath robes.- great workout room.- hotel employee encounter cheerful friendly . contact maintenance , come within minute . fix slow drain bathtub drain easily second day.- location great . across street Starbucks , Trader Joes , good restaurant call Farmerie 58 . good lunch , return even well dinner next evening . ' try room service in - house restaurant . con : - hotel classify 5 star , room seem bit worn . cylindrical light fixture floor window obviously stain dent . one three picture one bed miss hang hardware still wall . alarm clock nice feature project time ceiling , feature ' work properly ( half display visible even set focus ) . lock safe , push hard door.- cookie leave turndown good . ( really complain cookie ? ) - Lighting hit miss . light bed could adjust reading , individual control bed set level . bathroom proper good lighting small entryway closet fixture . put full length mirror provide lighting dressing area ? - outside noise ' problem 3 last night . garbage pick noisy event . 15th floor , ' expect annoying . stay low floor must even annoyed.- although plenty hot water shower , sink produce warm water.- speaking sink , ' like shallowness conducive complete draining . other noise garbage truck , none complaint major . however , many self - proclaim 5 star property . I would stay James price right , normally price ' look right property . could stay Park Hyatt Trump international price , ' pick either two hotel . find James similar Affinia – James well service Affinia newer well room often low price . 
 Oct 31 2008 	 fine -- definitely overprice overhype 	 first , problem get accurate rate room . issue require manager 's involvement . when check -- upgrade suite -- admit disappointed . wall paper thin ( could hear regular conversation next room ) . ask move another room soon check , suspect noise would get . could hear conversation hall well . desk service inconsistent -- sometimes incredibly hospitable genuine ; time , abrupt almost rude . decor underwhelming . & quot ; minimalist & quot ; aesthetic impractical respect ( be bedside table one side bed , leave put water eyeglass headboard ) . bathroom ( suite , least ) good size . concierge mislead time would take reach hotel airport shuttle ( say James usually second stop shuttle , fact last ) . not think hotel warrant spendy price charge . room $ 60 less , would less apt complain , rate , one expect impeccable service luxurious room . James let we . 
 Oct 27 2008 	 Great Location not Meet Hype 	 James one & quot ; super swank & quot ; hotel like term . service fantastic place always want try often pass stay hotel area always seem really hip & amp ; high - end . continue , would like preface follow state stay lot high - end hotel ( mostly Starwood 's worth ) review much critical average traveller . first , service & amp ; bed awesome ... think be even well Westin 's & quot ; Heavenly Bed & quot ; . pillow seem make real also incredibly comfortable , actually , Pillows & amp ; Mattress good ' ve ever hotel together ( include place like Westin 's , & quot ; W & quot ; , Four Seasons , & amp ; Ritz Carlton 's name ) ! room & quot ; Chic & quot ; high - end , however , significant drawback . personally think small room price since rate something like # 23 Contiental US & amp ; Canada Travel & amp ; Leisure Magazine . think & quot ; W & quot ; Chicago Lakeshore much large room ( probably 25 % large ) similar design & amp ; & quot ; swankiness & quot ; , still would not call & quot ; W & quot ; Lakeshore 's room big ! James , 2 foot clearance foot bed wall also hang nice 42 & quot ; plasma . 42 & quot ; plasma nice , tight squeeze bed & amp ; tv place watch tv small sit chair . also small & quot ; nook & quot ; area side someone could sit , view tv everything else room . big drawback not type normal business work area room type business chair sit . not issue leisure traveller , big issue business traveller not place get comfortable work need . place & quot ; nook & quot ; , view tv set - up little sit area verses work space . 's also issue leisure traveller like sit area kick - back watch tv without lay bed . overall , 's great place stay awesome location . however , room little small set - up well average business traveller . 
 Oct 22 2008 	 wonderful hotel 	 stay James 4 night . Thought die go heaven . superb room . bed pillow top 6 foot wide . Massive T.V . wall . fully stock fridge . coffee maker . free slipper dress gown . Maid service twice day . pillow small sweet biscuit place evening . excellent air conditioning . one evening T.V . would switch engineer came immediatly fix it . staff friendly helpful . would recommend hotel anyone . 
 Oct 11 2008 	 ` ` Lap luxury '' 	 Loved James hotel Chicago . stay girlfriend trip concert . treat like rockstar moment enter hotel . staff excellent , knowledgable , accommodate . feel wonderful door open we treat like lady . room chic , room service prompt unreasonably price . would highly recommend boutique hotel . 
 Oct 7 2008 	 impressed 	 return 2 night stay hotel . request high floor , quiet room . neither request honor . window well insulate , traffic , car horn siren continued night long . first night two drunk party wake we hallway . safe room work . someone lock arrival . one picture tv remove , leave screw stick wall . light dim , next impossible read . small alcove stain bench & quot ; read light & quot ; 50 watt . room key card not work , return lobby recode . upon return room , not work stand trying finally succeed help staff . bathroom small fan , steam cover mirror , unless leave bathroom door open , clear . Friday night one small cookie leave room . second guest . suppose split 2 inch diameter cookie ? ? ? ! ! ! ! Sunday phone rang 7 wakeup call . request woken ! ! ! ! concierge know way get O'Hare train , give we long route necessary . stay much well hotel Chicago ... quieter spacious , elegant worth money . definitely worth $ 400 month . ( way , live Washington , DC use city noise . unacceptable ! ) 
 Oct 5 2008 	 definitely Recommend ! ! 	 boyfriend stay hotel 4 day . like hotel several reason : • location great . ' one block away Magnificent Mile , walk distance several neat boutique well - know restaurant , Giordano ' , Rosebud , Gino ' East , Pizzeria Uno , Roy ' , Lawry ' , Tru , name . right across hotel Trader ' Joe ' Starbucks . Metro station bus stop also block away , make get place really easy . • also like décor hotel . lobby simple clean . room modern , sharp , pretty look . room 14th floor . pretty decent size room . problem room strong odor check . think another reviewer mention thing . report front desk , send someone " refresh " room we , ' help . end use perfume boyfriend ' cologne everyday freshen room . fair , odor come go stay ' figure come from . aside minor problem , everything else room great . get full set Kiehl ' product bathroom , wireless internet access , daily Danish / cookie room , stereo system iPod - compatible , white crispy linen fluffy comforter . • staff friendly helpful . whenever need assistance , whether restaurant recommendation direction place , always offer good effort . personally find service genuine quite impressive . 
 Oct 2 2008 	 nice place careful 	 overall nice hotel like modern decor . initially place exterior room , street noise incredibly loud move interior room . room ( loft suite ) large cool . complaint hotel specifically conceirge . celebrate birthday weekend good friend boss seperately order drink chocolate cover strawberry send room upon arrival . female conceirge name , trust hear , place note suppose send gift , instead write note hotel thank we stay ! believe take credit ! course horrify embarrased day later approach friend boss ask enjoy gift ! $ 400 night expect . 
