simple 	 overall hotel provide exactly need - base 2 - day sighting see trip around London . location good since right near Earl 's Court Station allow we get everywhere want go . otherwise much near hotel . the room actually big anticipate . basic though . negative one woman desk not helpful question . would recommend basic sightseeing stay . 
 Sep 26 2008 	 Nice LocationMismanaged Hotel 	 actually nice location want stay central london see hotel advantage poorly manage . room dirty , old paint wall , bathroom dirty .... plan visit london ... give late update hotel . Frank [ -- - ] 
 Aug 29 2008 	 Itchy day ! 	 book hotel 40th Birthday surprise email hotel advise 40th get reply .... perhaps hope much ! arrive , check ok , ask join room 2 young child get room different floor make share shampoo toothpaste cardiac workout ! room basic , 5 channel tv London tv priority . 1st night notice bite mark insect arm , check bed find .... think bed bug , home check net convince ! fact still itch ! room get warm , window look onto back , private home make sure curtain close . floor creak old . breakfast simple . even would class continental breakfast advise . get pot tea , Coffee Chocolate . 3 round toast ( 4 people ) , & quot ; buffet & quot ; plate cheese slice , ham slice , bun , yoghurt , fruit ( tin ) cereal ... ( old ? ? ) . staff foreign , need help get place ask tube , helpful . bar dead elderly , lady serve spent hour glare we get 1 round ! think that s , stay ... cheap ( ish ) cheerful basic .... bed bug ! 
 Aug 23 2008 	 cockroach tower 	 well , great location , shame cockroach ! two we stay 3 night ( book single ) end stay sleep 5 room . first single room rather grimy midnight cockroach come ! give insect spray move ; new room ( admittedly room available mean use due maintenance problem ) sink bath drain . colleague room ok , reason move , time room without work shower ! . big gripe apart additional guest initial room general cleanliness ; entire stay appear stairwell corridor vacuum , food crumb trample carpet ... wonder cockroach enjoy stay ! 
 Aug 20 2008 	 good location average hotel 	 hotel strictly average . size room be hit miss , little fussy checking . room basic amenity reasonable clean comfortable . Breakfast usually include adequate , nothing fancy . not bother room service hotel restaurant , 's plenty option food drink nearby far well . staff rather stoic not speak English well . the advantage pick hotel location -- 's stone 's throw Earl 's Court station Picadilly Line , get hotel Heathrow Airport quite easy . be , proximity Tube station make quite easy get part London want go . 
 Aug 6 2008 	 Complete Satisfaction 	 Excellent Hotel , main Room Bed Size Confort cleanness Important , Everythig right , stay Happy Enjoyble Trip ! nice ! ! 
 Jul 20 2008 	 bad Hotel ever stay please look elsewhere ! ! ! ! 	 first hotel receptionist not clue not care one single bit .... husband two young daughter get two room ask room next even floor ... one room level 5 one level 2 near basement ... pass 4 fire exit luggage .... try tell two room close together organise month ago not care ! ! ! get bad , room 5th floor , sure room go collapse floor creak every time move ... could sleep hell know people us night , noisy creak terrible sleepless night ... room level 2 freezing ... carpet smell like not clean 5 year ... bed hard rock , would well sleep road I m joke ! ! breakfast maitre would , give chance sit shout whether want tea coffee ! ! much selection breakfast staff breakfast arrogant ! ! never see anything like life . one smile face ! ! really put damper trip definitely tell everyone know stay ! ! ! one good thing hotel location time stay burst water main around area bus operate make hard ... hope helps really want good stay London please not stay hotel ! ! 
 Jul 12 2008 	 love King Tut exhibition 	 stay one night . hotel clean , room stay bit small side carpet bit shabby . it continental breakfast much choice . overall though far underground would consider reasonable hotel price pay . 
 Jul 5 2008 	 Convenient Quiet Location 	 family 3 stay Barkston Gardens Hotel 5 night . previously travel Europe , be aware standard european budget hotel expect routinely US hotel guest . last time stay London , room slightly large single double bed . our family room spacious comfortable , allow we move around without trip suitcase . yes carpet wear , ( expect ) floor squeaky , street outside quiet night , love view garden across street . the continental breakfast enough variety not eat exactly thing every day , give good start day breakfast room sunny pleasant . love convenience close tube stop , think price nearby restaurant reasonable Central London . eat Dino 's Little French Restaurant . we would stay next time visit London 
 Jun 2 2008 	 value money ! ! 	 book hotel stay London budget look hotel near central London . book full english breakfast find good value plenty eat , along continental offer enough set day . staff poliet friendly enough . book double room pleasantly surprised find 3 double bed room along massive bathroom , clean . hotel clean anything could spruce . want stay central London less £ 80 hotel . certainly stay future . 
 May 25 2008 	 good value 	 hotel conveniently locate near Earls Court tube station - convenient access Heathrow . eat place , launderette pharmacy nearby . staff friendly helpful . comfortable lounge bar . room bathroom adequate size . continental breakfast plain ample . London traffic congestion zone parking . would stay . 
 May 23 2008 	 Cut Expections Half 	 often say get pay ... true hotel . U.S. Dollar low point value , many Americans still want travel London ; , usually look hotel price range fit wallet . situation end stay hotel four night . the hotel fairly well wear lobby nothing special . outside look hotel well inside . hotel make series old victorian home narrow corridor multiple fire door make navigate hall difficult luggage tow . the hotel 's location good , short walk Earls Court tube station . wide range eatery , include fast food , neighborhood . do go hotel expect range service ... barely . WIFI service work lobby travel business , would hesitate recommend property you . the tv reception room like watch blizzard tiny set . room basic clean , regret front desk staff lack skill friendly . rate hotel two star bit stretch . stay Motel 6 's far superior property . learn lesson , cut rating half come Trip Advisor ... 
 May 7 2008 	 bed infest tick . 	 stay Barkston Garden Hotel recently - say , dire . one party bitemark leg arm sleeping bed , room gloomy dirty peculiar pong ! worth , even be budget - lot decent budget hotel London , place dump . 
 Apr 16 2008 	 bleak dreary like weather 	 would like preface review fact find London depress city ever pleasure visit , opinion Barkston Gardens Hotel colour opinion . stay part around world honeymoon almost week . room 5th floor , back hotel . arrive discover window gap heater come 5 pm - good 10degree celsius outside , want go sleep ! room basic , although kettle tea make facility greatly appreciate . breakfast strange , entire ritual revolve around maitre breakfast room . speak limit english beware . question request staff breakfast room non - english speaker treat great aplomb tact , shout yelled guest fail understand first time . maybe staff train continental european language italian , french , german even Japanese would not go astray , perhaps ? ? ? one thing Barkston Gardens Hotel could immediately improve upon , customer service ethic . smile pleasant attitude check - in counter would make qualm hotel wash away immediately ! say , price good London location excellent - around corner Earl 's Court Road tube station . 
 Mar 30 2008 	 Great Location Friendly staff 	 return 4 night stay hotel . ( check Hotel Website rate cheap site try ) arrive around 9 pm evening find reception staff helpful . Breakfast serve Weekdays 7 - 9 continental breakfast offer basic good plentiful choice . find decor room little tired , bathroom refurbish clean , fresh towel provide daily . read review site decide shower evening , first morning try shower find lot hot water , maybe guest follow hotel advice shower evening . lot choice restaurant near hotel , try Zizzi ( good Pizza ) Masala Zone ( share grand Thali ) . lot choice area ( chinese , japanese , Portugese , Hamburgers , french ) handy long day sightseeing not feel like go far something eat . hotel close Earls court Tube station , situate Earls Court Road lot street noise . check efficient , able leave luggage another full day sightseeing return hotel collect luggage . hotel handy sightseeing able access Piccadilly line tube , Earls court tube station Zone 2 metro travel hotel time travel Zone 2 ( apart quick trip portabella road . ) would recommend hotel people travel budget , look somewhere clean , comfortable , good location . 
 Mar 26 2008 	 Nice 	 stay three night hotel . pick close tube station bus . happy location . single room suitable feel closed . hotel old bathroom update . continental breakfast include enough get good start day . staff good check simple . also offer free internet ! plus keep touch family . travel problem walk long distance hotel well . Ritz Hilton , value average London . would definitely stay . see lot single traveler , couple business people stay . bad thing central heating night room hot . open window front hotel , hear noise traffic main road . otherwise , enjoy stay . 
 Mar 18 2008 	 find another hotel 	 bad Hotel EARTH ! poor check check service . basement room pit hard pull luggage step . water pressure room great time dirty bathroom . 
 Mar 16 2008 	 find alternate hotel ! 	 Hotel sign state & quot ; problem run shower water 7 - 9 a.m. & quot ; try alter shower time , plan shower evening afternoon instead find hot water available time throughout day . discuss manager , room move alternate one hotel - time , shower run trickle ice cold water time day night . addition , turn light morning roach floor run cover ! ! ick ! tv play 5 channel ( alternative like cable movie ) internet access lobby / lounge area privacy work . location great , far important thing - alternative near tube throughout London reasonably price - take one ! run , not walk , spot . finally , know photo run website hotel , 's building across street ! ! talk false advertising ! ! ! 
 Mar 15 2008 	 avoid basement room 	 unfortunately give basement room , dark , need light time . big room , bath shower , heating bathroom , toilet dirty bottom bowl . breakfast good , convenient Earls Court underground . 
 Mar 13 2008 	 water pressure still problem ............ 	 return four night stay . location spot across road tube station . plenty pub restaurant . would recommend Mango bar 2 - 4 - 1 cocktail 9 pm ( turn right hotel leave Earls Court Road , right hand side O'Neills . almost opposite restaurant Greek get , lovely meal - beware charming greek waiter do not speak much English ...... think give we free sample chef 's starter turn get complete starter ! probably originally want , stuff vine leave excellent meat ball , lovely , follow mixed meat platter 2 £ 17 excellent . do not go Dinos Italian however , meal less mediocre ! room 601 , top floor back , view good ! room good size never hear floor board creak much ! pity people stay room we ! room bathroom could definately refurbish passable ............. however ........... prepare lack water .......... early morning water hot tap bathroom sink . shower never work , bath - take 30 min fill - quite wait ! good time take bath find early evening - do not take long fill bath ! hotel reception note regard water pressure do not expect quite bad ! continental breakfast adequate , toast always seem burn ! overall good ( ish ) hotel price £ 59 per room per night incl continental breakfast ( book hotel website ) especially London ! 
 Mar 3 2008 	 think want set expectation accordingly . 	 stay 4 night visit London wife spend time child . location excellent - 2 minute walk EC tube station . good choice place eat ( include hotel ) within easy walk distance . basic shop handy - boot , & amp ; food , Sainsburys , thresher , Somerfield etc . - pick day 's picnic provision way tube . the hotel old & amp ; shabby , 's clean tv room work ok . staff helpful friendly , despite see receive totally unjustified abuse African ' prima donna ' type . & quot ; go extra mile & quot ; try help travel plan . guess miss slave . our room rate include ' continental breakfast ' , well expect . one morning ' upgrade ' full english breakfast £ 4 - see we rest day . fry bread brilliant . during check , point we experience difficulty water supply , mean reduce pressure & amp ; airlock , bath & amp ; shower could problematic peak period . far could see , water pressure poor 24/7 , work around bit patience . check best western yard along road , ' m sure plumbing would fine & amp ; everything less shabby - not worth extra £ 20-£30 per night we . if want great location , decent breakfast , free wireless internet throughout ground floor , reasonably price yet comfortable bar ( free PC / internet station ) somewhere clean relatively cheap rest head 's fine . want ' brand chain ' experience pay logo & amp ; not stay . 's London . city expensive , set realistic expectation & amp ; decide matter . 
 Feb 23 2008 	 great price excellent location 	 6 year old daughter arrive early , room available , greet friendly staff able leave bag office return . hotel situate quiet street mere 1 minute walk Earl 's Court underground station handy bank , resturant , & amp ; boot etc . main road . hotel clean , room spacious 2 queen - sized bed , armchair , kettle , tv bathroom . water pressue problem morning shower evening . shower english style , expect power shower jet ! Soap & amp ; shampoo provide . breakfast self service oversee manager complete bow - tie ! basic fare eat like . recommend . 
 Feb 4 2008 	 excellent value pleasant experience 	 excellent location ( 2 min walk Earls court tube station - good starting point get around London ) . little concerned hotel reading review ( like comfort ) good experience . check - in quick efficient . room good size , nice view small park posh apartment . good high ceiling tv usual 5 uk channel . room also kettle teabag / coffee / milk / sugar etc . conveniently , iron ironing board . bathroom large clean . water shower bit low pressure run couple min good . floorboard creaky yes carpet bit worn overall decor room general quite good . order breakfast one morning fairly poor - £ 15 2 people . not quite order small cheap . give location 's worth popping breakfast . the major attraction hotel price ( 135euro 2 night 2 people ) . fantastic value location . not problem whatsoever would certainly return . 
 Jan 28 2008 	 1980 chic 	 welcome Barkston Gardens less friendly room not seem decorate since 80 . carpet wear mark , throw bed stain . bathroom large clean , however water pressure could relied shower always work . location excellent , next tube station . handy , probably will not want hang around room long ! 
 Jan 27 2008 	 great location clean hotel well price 	 hotel step Earl 's Court station nice area . there plenty choice meal around area . the room clean , bathroom generous proportion compare hotel rank . definitively would mind stay return London vacation . 
 Jan 24 2008 	 look elsewhere ... please ! 	 ' ve use site many year first time ' ve compel write review . check - in problematic . checking - in , tell could not room key 2 pm ( 12.45pm ) . get room key , find someone else already stay room ! finally get another key . room ok - good size . real problem start next day . water - could not even flush toilet . Rang reception send someone check ! give key another room shower . Key not work . housekeeping let , still water ! luckily friend stay basement ( yes , room start 100 basement ) whose shower work . when check , ask manager . sign he / she . offer £ 20 demand full refund . refuse turn not pay - pre - authorised amount . leave never return . I not like give bad review , hotel disgrace . not even go number people also hear complain various thing virtiually shout receptionist . I embarrase British give bad impression accommodation country . 
 Dec 12 2007 	 real bargain 	 make mistake , hotel perfect . mattress sag little , carpet wear , everything plain . price , be * incredible * bargain . stay central London 50 pound night . fear place would flyblown bedbug - infested , perfectly clean serviceable . would definitely stay . 
 Nov 22 2007 	 okay price 	 hotel fantastic location Earl 's Court really large bedroom high ceiling large bathroom . property dire need renovation carpet , hallway bedroom wear stain . bedroom furniture basic bed could upgrade . say room spotlessly clean clean linen tea coffee facility . bar basic serve snack light meal friendly staff . compare hotel available Earls Court hotel good value . 
 Nov 5 2007 	 Nice Hotel Great Location 	 fist trip London . book hotel thru website lastminutetravel.com . upon arrival , front desk could find reservation . present voucher print website . hotel store luggage work issue take walk one hour neighborhood , exceptional . coworker recommend Earl ' Court , turn spot ! tube station right around corner hotel , also main street , amenity would need ( bank , restaurant , pub , cafe … ) . upon return , problem rectify check room . room somewhat typical 3 - star european hotel stay . issue recall comforter bed rip , floor somewhat creaky . make distraction trying fall asleep night , ' completely awful mean . breakfast hotel almost every day , include price room . take advantage since exchange rate US GBP 2:1 time ( bad today ) . return would consider hotel price right location fantastic . however , would also take look alternative coin . 
 Nov 2 2007 	 Perfect location lovely room 	 stay hotel say , surprised : room clean , breakfast good , staff helpful friendly . location wise brilliant , go around London easily underground literally one minute walking distance hotel ( district , circle piccadilly line ) . really suggest book hotel look nice , handy 5 star place stay London . 
 Oct 24 2007 	 not stay . dirty wear smelly 	 apart form location everything negative . pay US $ 116 hotwire . rate 3 star . even 2 star . small room . mice lobby . stay away hotel . 
 Oct 14 2007 	 need renovation 	 happy location hotel . quiet neighborhood night , around corner bustle street great pub , restaurant , market , bus stop subway station . we room top floor . spacious quite shabby . floor filthy stain ( get impression room clean , aged ) , squeak horribly every step take , double bed small 6 ft tall husband foot hang bed , bathroom fan noisy ( would not turn ) , shower water fluctuate burn hot icy cold showering . overall , pretty sad condition hotel cost one hundred night . 
 Oct 11 2007 	 many roach ? 	 first night notice roach bathroom . go front desk ask switch room . manager duty asked & quot ; many roach ? & quot ; ...... question puzzle typically send limit zero number roach wish see hotel room 
 Sep 28 2007 	 love hotel 	 stay hotel 5 night August please accommodation . room bathroom surprisingly large ( consider pay 50 pound per twin room ) . everything clean toiletry replace require . problem room first floor windows street , could quite noise evening . must say tired every day ruin vacation . location convenient : 2 min subway several fast food place around ( necessary travel teenager ) plus pharmacy , Marks Spencer sit- restaurant ( like ZiZi ) . hotel also 5 - 7 minute Marriot Kensington hotel tour agency pick day tour . definitely stay . 
 Sep 14 2007 	 good hotel 	 Excellent location , right next tube . twin room first floor . check - in excellent , Keycard entry room . the room large . bed good , good hotel u pay , stay . 
 Aug 29 2007 	 ` ` Staff '' awful 	 stay thank GOD 1 night . try check early ( 9:30am ) say would pay one night 's ( previous night ) rate USA dollar 's , get : $ 310 usd ! AWFUL . avoid .... expedia rank 3 star ( ! ) Expedia ask rate stay , certainly ! ! ! ! 
 Aug 26 2007 	 Nice Option budget 	 little worn around edge quiet , clean comfortable affortable price London . around corner 2 Pubs ( food ) , ton restaurant ( sit fast food ) , internet cafe ( cheap long distance call ) laundromat , Marks Spencer , Boots , Earl 's Court Tube numerous bustop ( # 74 one remember ) . upgrade twin room family room extra cost . Dan front deck helpful check - in . breakfast basic dull include price could upgrade full English one desire . would recommend Hotel good Budget option great location near restaurant Tube . 
 Aug 11 2007 	 quiet excellent loaction . 	 stay 4 one week . excellent location , less 4 minute tube . locate quiet street . stay twin room ground floor . close dining room . check - in fast efficient . Keycard entry room . the room clean good size . bed comfy clean sheet duvet . sheet couple hole pillow rather flat firm all . the room tastefully decorate . there tea / coffee facilite complimentary biscuit freshest . there trouser press room iron board available reception . usual tv , standard 5 channel good reception work remote . the ensuite big clean , shower . shower powerful drain slowly , u end stand pool . report problem reception sort it . but noticed begin leak ...... end put newspaper soak excess water . night see small roach . guess due fact close kitchen leak bathroom . there body / shampoo provide . the first night hot hotel london AC fan . window open ok . we complimentary continental breakfast deal ( £ 67 pn ) include cereal , yogort , cheese , ham fruit . breakfast run matre de , run prompt efficient service waitress aso polite . full english available £ 8.50.the lobby nice large reception room , u watch tv , read complimentary newspaper magazine . free wifi available , fast . the hotel locate area , restaurants/ atm / Pharmacy every shop u may need . I find staff overall helpful polite . misplace keycard last night .... come back 1130pm replace hesitation . I leave brand new mobile phone room mistake , go london , come back bed make phone place bed I . because honesty staff polite , able overlook bathroom problem ..... nice comfy hotel , good price ideal loaction . would stay . 
 Jun 27 2007 	 spacious room excellent location 	 Barkston Gardens Hotel old hotel situate 1 minute Earl 's Court Tube Station . location unbeatable ; area pleasant safe pack nice restaurant ( try & quot ; Little French Restaurant & quot ; Hogarth Rd nearby , serve three course dinner £ 10 ) , supermarket shop . reception large well maintain breakfast / dining room . breakfast buffet style consist tea / coffee , fruit juice , ceral , bread roll , toast marmalade / cheese / ham . twin room largest experienced London ; visit city least 50 time thus try numerous hotel . non - smoking room situate 4th floor make sure specific ask one , upon arrival inform miss request . however , manage fix first night . want quiet room , ask one face backyard . stay Barkston Gdns Hotel four time , summer winter , certainly return . big minus worn plastic carpet bathroom though . staff mostly efficient helpful . careful check - out however , pay non - british credit card charge local currency - good rate . ask charge £ Sterling instead save money . in decent hotel excellent location . not hesitate go not expect like Hilton . 
 Jun 20 2007 	 Smelly ground floor 	 stay 17th-19th June , book [ -- ] look reasonable . stay ground floor near dining room , smelly smelly smelly say . perhaps reserve room people like we book booking agency .... fan toilet get even smelly quickly , carpet ill fitting ( come stair ) wear . one party bite leg bed flea . it good location one could overlook tattiness not smell , give one us bad dose bite , Barkston Gardens get one five . not stay not book direct ! 
 Jun 6 2007 	 Great Location 	 consider & quot ; excellent & quot ; , ask , make reservation , two twin bed get double . location excellent - within 2 block great place breakfast , post office , cash machine andbank . underground also within 2 block . know SAY : LOCATION , LOCATION , LOCATION ! ! ! room ' interesting ' get , sort like maze , , room spacious one get Europe . would definitely stay . Marks Spencer close , , might want buy food go like fresh fruit cut bite size piece , croissant , individual botted drink , etc . sort glorify 7 - 11 much fresher food ! husband think bed lousy , ok withit . hotel definitely worth consideration . 
 Jun 5 2007 	 love 	 stay 5 night April honeymoon . pleasantly surprised hear negative review . room ( although door would not open way due bed way ) clean look onto garden - really make we feel like London . the bathroom massive also really clean . although decor not beautiful , ' m really fussy come cleanliness sleep strange bed , place problem . there be also internet downstair bar free use . sometimes would wait , long . internet quick use room not nosiy use in . one good thing breakfast . room nice , give pot coffee tea along rack toast . eat cereal , croissant , cheese , fruit , yoghurt , juice .... 's plenty be do really nicely . favourite breakfast whole Europe . also , other mention be really close Earls Court Station - take less 2 minute walk . come plane , get tube airport Earls Court . take half hour much cheap pay taxi . love . not go expect glamorous hotel , want something clean , affordable convenient place . would definitely go back . 
 May 7 2007 	 good value 	 Adequate size double room en suite bathroom , little dated clean comfortable . basic continental breakfast include good value money package . staff friendly helpful hotel well serve area shop restaurant 2 minute Underground station . the downside incredibly creaky floorboard everywhere . get room top floor , hope occupant weigh less 6 stone training marathon ! take earplug light sleeper . 
 May 3 2007 	 Great Value Money London Hotel 	 other say , hotel outstanding , however good price , clean ( rather well worn ) extremely well situated . stay large twin room view roof - top ( garden ) . quiet perfectly adequate need . staff extremely friendly plenty breakfast ( even showcase stereotypical view english food ) . right next Earl 's Court upcoming trip London show Earl 's Court choose stay . price location difficult beat . 
 Apr 21 2007 	 stay ! 	 stay property April 2003 wife , son brother law still angry . stay ! advertise superior property . nice location good view park front hotel . poor value money . injure hotel deny medical attention manager duty . actually berate manager duty . JS 
 Apr 16 2007 	 rate 	 run hotel - not fool picture . probably average Earl 's Court area , much else . close tube stop . worth spending get Central London . 
 Apr 16 2007 	 absolutely fine 	 stay 2 night 13/4 14/4 girlfriend . lovely big room third floor . ' ve never see large , bright room London hotel ! pay 118 pound whole stay inc . breakfast . hotel friendly staff , excellent location , quiet . nice little bar pleasantdine room serve good breakfast . worried bad review would read nothing complain . willstay would recommend anyone , particularly room 509 . thank hotel lovely weekend . 
 Apr 6 2007 	 absolutely Disgusting 	 health hazard . stay peril . I arrive hotel seven morning ( note postcode provide hotel incorrect ) . check two afternoon , hotel secure storage room store luggage . first two good thing hotel . when come back afternoon book twin share room basement ( even though book single ) . get room walk past dining area , set double door two flight stair . walk second double door get shock life . air stank cigarette smell ! stink high heaven , smell like around since World War Two ! smell continue way basement room . the room surprisingly large - large really need . sheet bed clean , would say bedcover well truly due yearly bath . bathroom adequate . would say state room reasonable , not mean much can not breath ! spend last forty - something hour transit country Australia walk around London , energy complain . collapse wake six hour later choke wheeze cigarette fume . try get sleep impossible . I spend next couple day snort black soot nose . wash clothe couple time still could not get smell they . the second good thing hotel breakfast . service food excellent - enough get front door though . stay York Hotel instead . 
 Mar 30 2007 	 really good value money 	 hotel perfect place look low budget still decent . suspect negative review write people competition idea get different price - level London . the location side street Earl 's Court road 2 min form Earl 's Court tube station excellent . area really nice lot 's restaurant price - level food type also nicepub ( go yesterday Blackbird round corner ) mix public lot trendy people , young professional let us say . then staff friendly . load adapter connect stuff UK main system . instead charge 25 $ day ( we Hilton LAX ) ask deposit 10 pound get back return . half pint beer cost 1.50 pound . the wireless access laptop , available workstation fantastic . business working day look garden , front building , accross street , back . my room good , clean , bed comfortable , shower lot 's hot water . course , price ( pay 57 pound incl . breakfast ) furniture supernice design supernew , work clean . else need ? room even press press pant . next time stay London business definitely come back . 
 Dec 27 2006 	 overall bad - room nice other ! 	 friend stay 2 separate occasion ( 1 week ) , time 2 room . see 4 different room altogether , tell satisfaction depend largely room be assign ! 's oddly shape building ( conglomeration building ) , room much roomy easy get other . overall place clean , pleasant well locate . not stay honeymoon , 's good base be plan spend day sightseeing . yes , smell smoke , everything Europe ; interiors shabby , , be Europe . free wireless lobby / bar area nice perk . experience , room one double bed much nice room 2 single bed , keep mind be travel someone not mind share bed ! 
 Nov 14 2006 	 poor hotel ever stay . 	 suggest Travel agent Australia report back use Barkston Gardens future booking . run room , broken bedside lamp , old shabby dusty overhead drappe / swag , lumpy old disgusting mattress pillow , ill fitting drape window . husband sleep floor three night week book , request Manager another room single bed say whole hotel book ask morning , second charge tell three twin room book anybody would talk later insist time book travel agent Australia could change booking even though husband willing pay extra , look refund enjoyable restfull time London . recommend friend read stay . 
 Nov 10 2006 	 second dump ! 	 warning go ! hotel complete disappointment . plus one reviewer mention 's close tube . room big Europe bathroom quite large .. stay fourth floor need re - do . want touch anything , bedspread , curtain , carpet chair filthy worn . window not close way let cold air , get cold ask desk turn radiator room , say not , give small room heater . not look anything like picture , picture make look like 's country away thing , seem alot traffic noise small park across street . pic show park outside hotel 
 Nov 4 2006 	 Dump 	 Dump ! book four night end October thru Brit Air . room reek mold rotten spot floorboard . whole bathroom especially shower festoon mold . desk people surly unresponsive make effort least get mold neutralize bathroom would provide alternate room . maybe not like Brit Air customers- London hotel room rarely good value compare first world country room hotel not even qualify third world . dump ! see hotel belong Cairn group example management competence , hotel avoid . 
 Nov 1 2006 	 's fuss ? 	 book single en suite continental breakfast 65 pound / night via venere.com . room great -- clean , decent bed , kettle complimentary tea / coffe / cookie . front desk kind enough bring electric heater call -- heat not early season , ' m California zero tolerance cold ! staff helpful , hotel clean inviting . could not pick convienient location -- close Earl 's Court tube station , food store , small grocery , several pub . would definitely stay , would encourage friend also . 
 Oct 5 2006 	 basic good hotel 	 stay Barkston Gardens Hotel time . main reason two minute walk Earls ' Court Underground station connect onto district line piccadily line - great eat shopping Covent Garden go see show - ie Phantom Opera . the staff friendly - example flight delay travel gatwick airport queue everywhere , arrive hotel 11 am ask could leave luggage tell room ready check ! breakfast also good . restaurant serve beautiful food , thing nearly always empty sometimes long wait - worth it . I would agree hotel need redecorate new bathroom , pay £ 45 - 55 room london can not really compain . I would recommend hotel people budget want base trip London . 
 Sep 25 2006 	 glad mixed review ! ! ! 	 get back stay London 3 night . stay another hotel street back May , could compare . pay 9 pound hotel ( 79 pound twin - 2 people ) . worried find son would low level ( basement ) room ... go several & quot ; Fawlty Tower & quot ; hallway firedoor , find stair way room . room well anticipate way . spacious , reasonable light ventilization , although not window bathroom . bathroom bedroom good repair . tv pretty small ... be travel London . location ... Earl 's Court terrific compromise price convenience . concerned write positive review , know probably return , not want hotel raise rate ! guess really come room assign . fortunately , time ! 
 Sep 22 2006 	 question everyone like 	 stay hotel year ago dump . way describe . London day change right away learn immediately come hotel , term , Nice , affordable London even adequate , affordable London oxymoron . anyway , Barkston Terrace criterion dump . people describe great , question judgment . describe dump , well , creaky floor , window open grimy backstreet , ugly carpet not mask creaking , window force open hold open stick , tininess room , mean , could go . find place insult except like , yet find affordable , nice room decent size London . also service totally indifferent : call UK expedia number change hotel cost eleven pound , even though local number . who know , maybe well , although doubt . 
 Sep 14 2006 	 stay somewhere else 	 plus hotel location . 2 min walk Earl 's Court underground station . the room stay horrible . -Transparent ( sheer ) curtain bathroom window ( window big facing bathtub . get undress / dress behind shower curtain , stand inside bathtub ) .-extremely noisy . People yell street ( do not think good neighborhood ) always hear siren police car early morning late night . also hear truck come pick - up trash morning.-paint bathroom peel off - wallpaper room peel off - big stain blanket - Rotten wood window frame - dirty carpet - dusty hair blow dryerone thing find funny mirror . cut big mirror ( tell design cutting ) put picture frame . another room probably half . 
 Sep 7 2006 	 Location location 	 want cheap clean hotel central London place . hotel around corner Earl 's Court underground station , quiet side street overlook park . Earl 's Court provide direct line Heathrow airport sight London ideal base day sightseeing . the hotel basic clean , friendly , helpful staff . provide free wireless internet foyer breakfast average . alll great place stay central London budget conscious traveller . 
 Aug 29 2006 	 great value 	 Stayed Bank Holiday weekend attend course . Booked hotel 's good website day check get good rate £ 57 night . I impress room . , room state single , not expect much . comfortable double bed , tv , hairdryer , kettle , coffee , tea , desk , comfy chair , spacious bathroom incredibly powerful shower . most impressive high ceiling , sound silly make room seem much big . judge fire evacuation map , room one small . Maid service great , check ok , great problem . breakfast fine , frill price complaint . good - location ! 1min walk Earls Court tube Picc District line , be easy get anywhere . load shop restaurant doorstep - tesco , boot , fast food , pub etc . hotel busy main road , opposite quiet garden . bit noise , night , remember , central london ! great stay , would recommend hotel budget - conscious people not want compromise comfort . 
 Aug 20 2006 	 good value London 	 stay Barkston Gardens Earl 's Court section London , last week July 2006.i read many reveiw TripAdvisor place , great preconceived notion . fairly basic hotel . right around corner Underground , convenient many shop restaurant . hotel nothing really special , , London standard adequate . heat wave , air conditioning . know go , , take time email hotel several month advance , specifically request fan . first check , tell way guarantee fan morning people check , maid could find one bring we . first room give smoking room , without fan , quite small . switch another 9non - smoking ) room , somewhat large fan - although basically ineffectual , , well none all . the bed full size , okay . room equip electric tea kettle , instant coffee awful . tea fine . bathroom roomy , oddly , half glass shower & quot ; curtain & quot ; . husband , , modest showering , bit odd , mention water get floor . shower pressure great . the hotel breakfast , good , small bar one computer internet access . also free wireless common area . tv room get station , , not really care . overall , convenient , serve purpose fine . everything expensive London , preferred spend money experience , dinner , rather lavish hotel . would reccomend hotel traveler . 's good value money . 
 Aug 13 2006 	 location 	 would like start state girlfriend travel throughout europe stay many different location follow user idea able figure trip could use guideline . ton research use site make choice . hope review help . the Barkston Gardens hotel short minute walk Earls Court train station , train station many different train line run right . location wonderful great area find many bar many place able find fresh fruit , bread basic nessaitie . hotel , staff friendly eager help direction throughout city . room clean ( find unused condom wrapper bed , would hard clean staff reach see still find ) washroom meet basic need . room small window open small personal size fan . AIR one , long heat wave fine , london cool ( 23c ) time anyhow . think room 1 person room . overall would stay night , find hotel cheap way extras , like ac big room . PS . flight arrive london 9 am reach hotel 11 , ask room store thing room preparie . place bag easy access room make we feel alittle uneasy staff reinsure we bag fine . nothing happen bag want state incase shoe plan arrive check 
 Jul 25 2006 	 good experience 	 stay Barkston Gardens Kensington , London begin June 2006 . apart rather unfriendly frontdesk staff , good experience . room clean , size adequate , overall impression fine . recommend hotel anyone looking conveniently situate ( minute Earl 's Court station ) hotel affordable rate . M de Villiers , South Africa 
