Nov 	 Favorite City 	 Great Hotel close Moscone Convention Center work downtown walking distance anything want . 
 Sep 28 2008 	 good - $ 300 	 typical big city , big hotel . effective many service available . Great Gym room fine . sky bar whatever call touristy service horrible . besides hotel fill conventioneer due proximity moscone center . location great near Union square 10 minute walk Ferry Building . ' try restaurant hotel concierge recommendation , so … 
 Sep 23 2008 	 great Stay ! 	 get great deal room priceline ( $ 150 tax service include ) . room assign absolutely amazing . corner room king bed wall wall view hills bay . personally really enjoy Marriott use comforter washable sheet cover . wife work hotel , first thing usually strip bed blanket since , be aware , thing get wash every month absolutely disgusting hotel . Marriotts hotel switch method bedding . regardless , everything else fantastic . concierge bellman professional . get we reservation call ahead meal well watch bag shop final day . around fantastic experience . 
 Sep 23 2008 	 great location 	 hotel good downtown location easy access plenty bar restaurant , well superb local transport system . stay standard room good . hotel really good gym . price hotel rather high drink breakfast , plenty place nearby offer cheap alternative . not bother car - 's simple cheap use bus tram get about . would definitely visit ' m lucky enough get chance . 
 Sep 20 2008 	 Good Location Convention ; great room 	 Location excellent convention Moscone Center . within easy walk distance Convention Center locate near several nice place eat ( also walk distance ) . room 5th floor feel average Marriott . room average , bathroom disaster . tile floor chip crack & quot ; L & quot ; sticker ( assume previous guest new shirt ) stick right middle floor . stay entire stay ( 4 night ) indicate floor clean . also , hair clipping soap indentation shower ... ewwww ! leave generous tip housekeeping hope thing would get clean , luck . positive note , tv outstanding . usually impress TV 's , watch football game friend one room TV 's impressed quality room tv . 
 Sep 16 2008 	 great hotel awesome location 	 stay San Francisco Marriott several day visit outstanding . choose property even though JW come much highly recommend . lucky enough get high floor ( 35th ) - corner room . view city San Francisco Bay spectacular . marriott staff wonderful . top floor drink incredible - highly recommend , even bit expensive , be worth . btw - be come big city , will think price normal . location - could ask well . shopping , shopping , shopping - within step . transportation - short block away streetcar let we return Wharf right across street hotel . not think could convenient . lobby always full people - come go . Hustle bustle - like . anyone Gold Platinum member , Concierge Lounge open weekend ( JW ) . view Concierge Lounge 18th floor - city bay . wow . * * * * drawback pay internet . $ 7.95 basic cost $ 12.95 cost . go $ 7.95 - perfectly fine . Marriott need get board start offer free WI - FI , like many property . bottom line hotel highly , highly recommend . : ) 
 Sep 6 2008 	 would go back price 	 $ 149 ( Labor Day weekend ) , Marriott ok . minor problem , like toilet seat would always stay street noise 14th floor room . comfortable bed , lousy pillow . little hall noise , come right door . no noise neighboring room , sign occupy . close BART airport . $ 50 / day parking . good central location mass transit . 
 Aug 20 2008 	 great location 	 mention many reviewer , location convenient . hotel would expect Marriott . bed comfortable . room clean efficiently structure . room prepare advance & quot ; feather - free & quot ; request , much appreciated . fitness facility top notch . complaint concierge facility . facility poorly design seat arrangement perspective trouble accommodate everyone . staff always seem rush clear everyone end service period . replenish breakfast item run run dessert item 9:30 , dessert suppose last 10:00 . otherwise , thoroughly enjoy stay . 
 Aug 17 2008 	 Average Hotel 	 stay hotel business trip . my room average , nothing special all . the window dirty outside view not impressive ( ninth floor overlook building ) . conference area basement hotel window . start get 6 day business trip meeting day . location not bad . walk everywhere , also lot public transoprtation shop near by . overall hotel fine , nothing make special average opinion . 
 Aug 17 2008 	 Great Service Wonderful Stay 	 late July , San Francisco Marriott host 2008 Romance Writers America Conference - & quot ; romance , Bridging World . & quot ; could visit well city , hotel . time arrive day conference check - out week later , feel ease . bellhop maid service concierge , staff quiet , unobtrusive , always ready meet need . room exceptionally clean comfortable . bed great . conference meeting room always neatly set water available . meal tasty , service absolutely excellent . love View , Marriott 's lounge 39th Floor . little pricey incredible place enjoy glass wine good company ! also tuck - away rooftop garden 5th floor , pool accessible hallway . conference get underway , hotel fill almost 2,000 romance writer , make relaxing spot unwind . one drawback internet access guest room add $ 12.95 , top already big city room rate . wireless free first floor lounge area table lounge mean lug laptop evening . less hotel ( less rate ) offer free internet ( wire wireless ) room , could not SF Marriott ? hope reconsider future . still , negative otherwise perfect stay . thank , Marriott , RWA Board book we . 
 Aug 9 2008 	 check bill incorrect charge 	 stay hotel business convention Aug 3 Aug 7 - total 4 night . check front desk tell assign 19th floor / city view , handicap room . advise front desk require room reassign type room another traveler special need . reassign 11th floor / King size bed . room big , clean , well lay . Room Service wake call great . Wednesday around Noon return room find worker set carpet cleaning machine ... ? tell leave since need make phone call . must come back later carpet appeared clean . check Thursday look bill close enough . Wednesday , charge make room Refreshment Center $ 10.96 . Guess help beverage ! ! ! call hotel billing number state bill would adjust . alarm know people come hotel room thing charge without knowlege . expect Marriot public . San Francisco ; nice city wonderful place visit . 
 Aug 7 2008 	 close everything via San Fran Transportation Systen 	 six night convention . hotel great location could walk Bart , bus , trolley , Cable car also close use first time visitor San Francisco .... wait long anything one time ride . one , eat breakfast hotel , expensive . go diagonally across street Mels Diner could get breakfast $ 10 persondrink 39th foor lounge one - time must expensive bar downstairs . & quot ; sports & quot ; bar corner own Marriott less expensive cocktail . lot people also eat . not give review . please check restauarant review ... fantastic meal include Frascati , & quot ; foodie & quot ; love . this standard four star convention / business hotel lot activity lobby ( like ) . room clean bed soooo comfortable . since another week San Diego four suitcase ask corner room since could not fit luggage clothe . day check - in accomodate we . we would stay . 
 Jul 29 2008 	 good hotel expensive 	 pretty much expect Marriott - nice room , nice hotel , bit overpriced . ' m talk rate always book priceline talk bar / restaurant / convenience store . 14 cocktail bit much . 42 cheap bottle wine get 's regular stuff . cheese plate 12 give maybe 6 piece cheese . would say want nice place stay go bring stuff . avoid bistro / bar accross street - pretty crappy . sport bar street - try . 
 Jul 26 2008 	 kid Looove ! 	 major marriott member . Stayed award point . GREAT location business - right near market st . convention center . Stayed ' staycation ' near home . action tourist $ 15 taxi ride away - big . not walk around outside night . will not robbed , be ugly . I hate lobby hotel - 's small , round , marble floor echos disconcertingly . be long . nice layout restaurant high - rise atrium set escalator . really nice , eat SF ? room fine / nice everything expect Marriott , include shower replace renovated hotel . I would LOVE stay business . 
 Jul 17 2008 	 expect 	 husband stay last week 4 night . attend conferance , first time city . perfect location we , could keep entertained work . everything close easy walk distance shop restaurant . enjoy breakfast hotel , food poor quality . instead regularly go upscale food court across street low lever Westfield Mall , great selection good value . fall love cream puff Bearded Papa , make fresh day . hotel heavily use conference hotel , therefore , busy average quality . however , pleased service staff helpful . spend little time room , location key trip . would recommend base factor alone . 
 Jul 7 2008 	 Perfect Location 	 hotel right across Metreon block new Nordstrom 's mall ( Westfield ) . could not convenient see movie Imax regular theatre , ice skate bowl Yerba Buena , shop mall , walk block Union Square . tourist family , be ideal ! staff incredibly friendly never problem cleanliness service . family thing within block : -- movie ( one Metreon one Westfield ) -- ice skating -- Yerba Buena park -- bowling -- Zeum -- MOMA -- cable car station -- BART stationWe actually take muni wharf , also take cable car . easy $ 1.50 old italian ( ? ) bus get Fisherman 's Wharf , Maritime Park area , Ferry Building , Pier 39 , Ghirardelli Square . kid $ 0.50.hotel negative : thing charge $ 55 parking night . figure total price night -- hotel charge lot , guess use . 
 Jul 2 2008 	 Nice Hotel Well - position Sightseeing ! 	 huge convention Marriott , hotel size , impressed . efficient check - in ( surprise ! ) , quality housekeeper , big enough fitness center , within walking distance ( streetcar / BART / metro distance ) everything would want . good place stay . 
 Jun 23 2008 	 Average Food Dirty floor Good Gym 	 good point : lot large drawer good closet space unpacking ; fast reliable internet take $ 12.95 package ; fast elevator lot ; good gym equipment . location good could say dozen hotels area . Annabelle 's restaurant across street fabulous , go rather room service , go gourmet fast food excellent low level Westfield shopping centre , across street 2 minute . avoid Mel 's diner street . will not stay : bathroom floor filthy clump earth checkin , stay dirty 3 day ; carpet vacuum ; room service food cold , congeal terrible , usual high percentage gratuity include automatically fine space & quot ; additional gratuity & quot ; bill push ; lobby check in / out chaos overcrowd , well manage ; service rather full service hotel : multiple telephone call produce item request housekeeping ; unlike many marriotts coin operate laundry machine one 39 floor , ask use one offer hotel next door ( stay instead ? ) ; yes many review mention window filthy ; concierge lounge cramp offer continental breakfast ( many marriott egg , sausage , bacon , pancake , full breakfast ) ; concierge level hor d'oeuvres dessert cheap unappetizing ; room shampoos nothing special , cheap ; general impression mass produce disorganized conference / downtown shopping hotel , full service hotel . 
 Jun 21 2008 	 Loved View Loved Room Great Stay 	 stay Hotel one day . check area always crowd , do not travel far find starbuck ! elevator really confusin , ineffective . going need second job pay parking bill ! think last time check , $ 55 per day . get junior suite , great . lot great amenity . love good night chocolate , expect alot service . view amazing ! ! love , & quot ; alcoholic & quot ; . 's tip , Park across street 25 $ . will not give n privelege , safe enough keep overnight ! 
 Jun 20 2008 	 Value impersonal 	 hard press write anything bad hotel . good location , good modern room . anything , big impersonal . room excellent quiet staff need check check . hotel expensive side , , five staff property . depend circumstance , would stay . 
 Jun 8 2008 	 dirty Windows vend machine ! 	 regularly stay hotel business . for price , expect get clean window ! complain time time keep telling & quot ; like that . & quot ; window simply clean outside year ! late stay , appear removed soda / vend machine every floor . call front desk find option , tell use mini - bar room . $ 5 small bottle water ... ! ! ! ! ! 
 May 28 2008 	 Wonderful Hotel 	 wife spend 5 night Marriott downtown San Francisco love everything hotel . hotel lobby spacious beautiful staff exceptional . beautiful panoramic view room 36th floor . room large , comfortable bed nicely decorate plenty lighting . busy weekend hotel could rarely hear conversation T.V noise room next door . wife complaint bathroom toiletry not great . fitness room large plenty equipment . mini bar occupy overprice alcohol soft drink , portable refrigerator provide charge . rite - aid across street easy stock water drink much reasonable price . course location great ... San Fran great walk city hotel within walk distance many great restaurant . like other state parking expensive hotel . rent car park large parking structure across street slightly cheap $ 30 / day . not drive back forth wine country would relied BART skip car rental . 
 May 24 2008 	 Excellent 	 stay 3 night . rate $ 199 large corner room major downtown hotel range $ 260 $ 425 . room spacious , well appoint , clean , large desk / table work , plasma tv , comfortable bed quiet . negative coffee maker make one cup time not keep hot window dire need washing - very minor irritant reason even think stay here . when hear park $ 52 day decide skip rental car unusual . take BART Airport stop block hotel Powell/4th station - cost $ 5.35 instead $ 40 cab . BART clean , fast , well run , schedule , easy use make CTA Chicago live whole life seem like armpit . San franciscan know good BART unless take CTA . highly recommend stay Marriott . if car want see Fisherman 's Wharf , $ 1.50 take F streetcar Market St. hotel . streetcar vintage , build 1948 , use major citiie recently restore . see http : //www.streetcar.org/ info . nice nostalgic operation . get transfer free use ride back hour half . go Fisherman 's Wharf eat Cioppino 's ( www.cioppinosf.com ) Great Italian / Seafood , large portion server wonderful . around corner begin F Market streetcar lineWe eat Mel 's Diner several time . across street Marriott motif movie American Graffitti . like movie love Mel 's . breakfast good reasonably price . service quick . lunch dinner fine like open face turkey.so stay away . not eat hotel high price across street 
 May 22 2008 	 Great Hotel 	 2 boy ( age 6 & amp ; 8 yrs ) join husband SF business . primarily & quot ; business & quot ; hotel , able enjoy hotel well . super & quot ; family friendly & quot ; hotel ... staff extrememly helpful , bring refrigerator , microwave , & amp ; rollaway bed upon request . could ask well service ! room little small four we , update , modern , nice . the lobby undergo major renovation , affect noise dust . little bit & quot ; eye sore . & quot ; location great , easy walk distance Union Square , restaurant , cable car . I would stay . 
 May 18 2008 	 outskirt ... 	 Stayed S.F . Marriott 3 night . arrive hotel first impression modern , sleek decor , open Cold , trendy bar downstairs . front desk girl nice , seem really confused use marriott point 3rd night . ( even locked room 3rd day , must really confuse . room roomy clean , nothing exceptional . never go Pool / spa area , & quot ; view bar & quot ; top spectacular , find seat next window . negative hotel take corner , get litte shady , end positive note , bellman extremely friendly helpful . ask one breakfast spot one morning , recommene & quot ; Wich Craft & quot ; show we direction . ( sandwich fantastic ! ) .By morning 4 , happy leave head elsewere . good 1 - 2 night hotel . 
 May 17 2008 	 nice upscale Marriott location 	 recently stay San Francisco Marriott conference . come away positive impression property . room quite nice , definitely well standard business travel fare . everything clean spacious . lobby convention / conference area great shape staff friendly helpful . price would expect hotel downtown San Francisco ( cheap , not outrageous either ) . would definitely return visit non - business purpose . 
 may 16 2008 	 great staff great stay 	 love stay . staff wonderful . book Marriott Friends Family discount , sure would get , two nice connect room . hotel clean , staff wonderful , everyone seem genuinely happy . room nicely enhance , flat screen , featherbed , etc . give we fridge request , charge . per prior post , pool seem independant hour change whim , open . view bar 39th floor awesome . kid allow , serve Shirley Temples , etc . nice clean venue , fairly quiet gathering place . seat fill early . hotel convenient , BART Cable Cars end block . Mel 's diner one block away , open 24/7 dining need . SF Centre Shopping across street , Union Square 3 - 4 block away . Fishermans Wharf 20 minute Cable Car ride $ 10 cab ride away . reach Airport easily via $ 5.35 Bart ride , pick end block . love Bay Quackers tour , worth moolah tour guide kind informative . tour bus ride also boat . great trip , stay . 
 May 13 2008 	 Nice experience - Terrific Location 	 Stayed Marriott friend four night early May . book fantastic price use AAA discount . room , 17th floor , nice great view Yerba Buena area . everything stay handle incredibly well staff , even let we check almost six hour early ! location could well - half - block BART / muni station entrance . furthermore , Westfield Center Union Square incredibly close . Hertz rental location inside hotel , get car also simple , staff helpful direction . , great experience problem whatsoever . 
 May 13 2008 	 Nice Hotel 	 stay couple day . loved hotel many thing see within walk distance short cab ride away . staff great , room somewhat small nice . do not care much hospitality snack bar . slight movement will charge . happen we . take charge . walk wharf 's couple mile unless like walk would not suggest . many homless people S.F . parking price absolutely ridiculous . major rip say least . food be not bad beer cold . enjoy stay would stay sure . marriott bed well ! 
 Apr 28 2008 	 great Stay ! 	 spend two night Marriott . ' ve hotel brunch thing never actually stay night . room perfect . corner room 29th floor incredible view city . bed super comfy . bathroom large enough . great thing Marriott location . like 's 4th Street walk distance shop quick trip anywhere city . bar top floor pretty cool . drink late Friday night good atmosphere . overall great stay , would highly recommend . 
 Apr 19 2008 	 great 	 stay meeting / convention Moscone West Convention Center . hotel 2 block convention center . be far , newly build Intercontinental Hotel actually close Marriott . hotel construction time , make terrible traffic inside lobby area . construction begin right 7 am , might hear noise depend room . construction , take different elevator get floor . add lot inconvenience . reader , think stay , check see construction complete . not think would get money worth construction still go . otherwise , room nice . modern hi tech . every room hi - def tv . bathroom granite counter . hotel situate convenient location . be close restaurant , shopping , etc . 
 Apr 18 2008 	 Decent accomodation would come back 	 locate centre city sight see easy access , close congress centre congress accomodation within . room clean , elegant set , air conditioning bit cold warm cozy bedding . room clean clean prompty . breakfast buffet rich , wish accomodate . hassle , door handle , never work person , suppose come repair never come , require complain , fix . anyway would stay anytime . 
 Apr 15 2008 	 beautiful hotel 	 return 4 day trip San Francisico . Loved Marriott location . block Union Square shopping attraction . hotel extremely clean . room beautiful . loved gym , plenty equipment . tv 's treadmill . complaint parking hotel . rate $ 53 per day ! know prior trip stay SF past year . future fly take bart downtown hotel . Marriott also block next Westfield mall . gorgeous mall every store imagine . awesome gourmet food court low level . not miss . also , go & quot ; King Thai Noodle House & quot ; O'Farrell next Macy 's . excellent Thai food . well ever . Head North Beach / Little Italy . great restaurant , & quot ; Ideal . & quot ; recommend local area . 
 Apr 3 2008 	 Trip Report - Marriott tour 	 back wonderful trip San Francisco . will try brief discuss hotel , tip tour . San Francisco Marriott Fourth Street : superb location . around corner Westfield Mall , load shopping restaurant . minute corner catch F train run way Market Street Fisherman 's Wharf . another half block catch trolley car . hotel 's overall service good . Starbucks lobby , nice lobby bar , though half ground floor lobby still construction wall . room ready ( early ) check baggage check great . 25th floor really nice view , room average , clean comfy bed . prefer room arrangement shower / toilet behind door sink locate outside area , configuration , shower still nice sink wide granite . big bug lot traveler complain apply Marriott . upscale hotel offer less in - room amenity avg . chain hotel ? $ 12.95 internet access local Drury Holiday Express provide free ? perhaps silly hotel : outrageous charge snack sit weird magnetic tray charge move snack stock fridge also charge use . give empty fridge day week . often go around corner grab sodas snack Walgreen 's bring back room - keep sodas ice bucket . silly though hotel calibur treat guest way . Tom 's walk Muir Woods tour : Fab - u - Lous . can not say enough great guy great tour . wife , Lisa , join us 7 - 8 total group ( include nice couple Scotland ) . Tom knowledgeable , friendly funny . great pick hotel even well get wood early beat crowd noise . trek trail 3 hour terrific . Wine Country tour : Took F Train Ferry Marketplace catch tour . Driver Brian tour guide Jason nice . Jason incredibly knowledgeable make trip nice . discover ' m still big fan wine general , area beautiful wine taste picnic stop fun . would nice see bit production area wine cavern , 's . trust , fun people really enjoy taste wine . other stuff , Westfield Mall great food court low level - hey not laugh , 's usual food court . Andale 's mexican yummy . Mel 's diner corner Fourth nice breakfast overly expensive - $ 10 . all - in - all , nice long weekend trip not hurt weather northern Cal perfect . dress layer wear comfy shoe . pack light way bring home new stuff . 
 Mar 31 2008 	 Crowded room Friendly Staff 	 spend four night conference — it okay overall though issue , start right check - in . get room see assign handicapped room though ' request one . big deal assume — just bar around toilet . room hour find problem — the shower design wheelchair user . showerhead height design someone sit hand hold show head could raise maximum height 4 foot 6 inch . call complain reception offer move we time completely unpacked stuff around room . end opt move suck every time take shower get angry situation . ever try wash hair one hand ? addition , water pressure 19th floor dreadful — it like peed , husband joke . my experience conference hotel Marriott Hyatt room generally sizable ' case room . crowd stuff lot empty space room . closet , example , iron board safe overly large pedestal . stuff take much room ' room open suitcase inside . also , property cater business people , find strange absolutely free space desk / dresser area . tv , connectivity equipment , hotel info binder enormous snack display ( addition minibar ) make room look like convenience store . course , candy open tempt ( see review property lose single opportunity make money guest ) also ugly way sensor ' move . end throw coat ' see it — it right eye line sit bed . anyone travel kid see snack cause problem . there good point room though . find bed extremely comfortable . like soft , pillowy mattress ' happy . featherbe mattress lot pillow sheet feel nice silky . LG flat screen get great picture digital channel hotel offer HBO . window actually open could get fresh air . we get pass breakfast buffet trouble shower say quite good . Bottomless Illy coffee fresh squeeze orange juice , make order omelet waffle , typical breakfast dish , nice stuff like smoke salmon huge assortment fresh fruit . pay pricey though , $ 22 person . la carte dish also available . onsite Starbucks Hertz rental desk convenient . also , pool look pretty nice ; good size indoor hotel pool nice area lounge . location walk distance many SF tourist attraction , shopping convention center . finally , except trouble check - in , really impress friendly staff . maybe ' west coast thing ' use east coast grumpiness everybody server restaurant , Starbucks employee housekeeper even maintenance staff , ask needed help seem lose , really nice . with rate $ 139 night okay place , ' great nice aspect also . know come conference choice immediate area . Hotel Palomar right across street , example . 
 Mar 29 2008 	 great location 	 Stayed convention reduce rate . room high quality 42 inch hd tv comfortable . excellent location close Moscone convention center , restaurant , cable car , shopping . really enjoy Yerba Buena Garden right next bar terrific view 39th floor . complaint three set elevator go different floor confuse first day two . guest transfer elevator get certain floor floor . 
 Mar 23 2008 	 hotel REALLY want money ! 	 stay 3 night attend huge conference . room extremely comfortable tasteful , bathroom modern , clean big ... nice towel , shampoo smell weird . lot construction hotel , make difficult elevator use -- lot detour . mention intolerable disruption many conference presentation ! big gripe hotel 's already expensive guess figure filthy rich people stay try get dollar every turn . wireless expensive signal terribly weak . change clothe locker room pool / health spa 5 buck . offensive , even TOUCH anything minibar ( include insult $ 4 Snickers ) SENSOR underneath automatically charge ! ! ! check , pay attention final total , be likely pay nose stale candy bar not even unwrap . a really great asian fusion restaurant right around corner call Straits . expensive classy . be also nice cheap good Thai place couple block away . 
 Mar 22 2008 	 Pleasant Stay San Francisco Marriott 	 March 2008 . take Amtrak Capital Corridor Train Sacramento Valley Emeryville Amtrak train station . Amtrak connection bus San Francisco . bus stop Market 4th 5th convenient San Francisco Marriott , Market 4th . strret town three stay attend aafa planning session . hotel lobby busy , since property also serve convention hotel nearby San Francisco convention center . many physician attend type medical convention . want quite setting , head hill toward property near Union Square ( Grand Hyatt , Hilton , budget orient Warwick Regis ) . check smooth receive quiet corner room . hear street noise safety vehicle siren then . I great group rate $ 152.00 per night . good price San Francisco property . room good size plenty natural light room light . ask refrigerator one bring fairly quick . king bed comfortable Marriott bed okay . small desk area chair . tv many local channel cable channel . golf channel . the bathroom standard size . water pressure good hot water good . room clean well day . I eat 2nd floor inhouse restaurant buffet Sunday breakfast . breakfast good , great bit pricey . I recommend economical eat nearby ... basement San Francisco Shopping Center . ( Nordstrom Bloomingdales locate ) .. gourmet grocery store ... many custom section ... kind like Whole Foods market basement Time Warner build Columbus Square Manhattan . also many asian fast food restaurant well food court restaurant chain like Panda Express . at location yummy korean BBQ good Thai fast food place many Asian Americans local eating well . good value yummy . at nearby Sony Meteron Yerba Buena Gardens food court several choice include Buckhorn good beef salad . also good small bakerynearby food court well . on Market street nearby two Walgreen Drugstores , one west 4th east 4th . get snack , beverage , personal item sundrie Walgreen store . everyone come contact S.F . Marriott helpful friendly . front desk person excellent cleaning folk friendly . leave thank note daily clean tip . through experience travel ... particular chain brands greaet service ( unless go high end ... four season ... Mandarin Oriental ... ) . function General Manager particular property set tone hospitality worker behave towards client . hostpitality worker often get good compensation pacakge , get health benefit ) , savvy skill good people orient Hotel GM make difference guest come visit property . I would stay San Francisco Marriott good rate . negative busy place want less hectic lobby , might property you . I schedule back San Francisco June HRPS Leadership Development & amp ; Succession Planning workshop . go stay JW Marriott HRPS event hold good group rate $ 152 hrp rate well . alternative property would consider would Grand Hyatt Union Square . on trip back home , accidently get wrong train Emeryville Station quickly try get train head towards Bakersfield , leave one Rimowa wheel luggage aboard . notify Amtrak representative correct train phone train search luggage leave board . several day later luggage deliver hometown train station everything intact . Kudos Amtrak ! ! ! give high recommendation San Francisco Marriott . 
 Mar 21 2008 	 ~love View Lounge 	 stay San Francisco Marriott five night March . location excellent beside Union Square , transport link great shopping ... room comfortable hotel good facility pool , gym two lounge house Starbucks come handy . view Lounge great sit sundown enjoy cocktail choice . hand big hotel lot convention business guest would everyone taste . 
 Mar 10 2008 	 good bad 	 Standard convention center hotel . when book hotel , ask promise room city view . arrive , guy front desk rude say none available . feel lazy a - hole , go room intent talking manager , front guy . room initially receive low floor view back alley . call speak manager , say plenty view room available immediately move we corner view room near top floor . also give we 4 drink ticket bar top floor . new room excellent view city bay . room clean contemporary decor . the bar top hotel awesome view . probably good hotel lounge city . despite rude unprofessional front desk staff , would likely return hotel . can not remember name , one concierge provide excellent advice extremely helpful entire stay . one good piece advice give park structure behind hotel fraction cost ridiculously overprice hotel parking . 
 Mar 1 2008 	 9 woman 2 room 1 great stay ! 	 woman extend family take year 's annual Christmas shopping trip make 3 day event . parking bit excessive ( $ 50 / nite ) safe valet city worth . take note member note Taxi Scandal , get little rediculous mostly need 2 cab go everywhere . ok onto hotel : service wonderful ! bellman name alfonso took care we entire stay . thoery big city always ask bellman ask concierge , generally get well result . move 2 ton luggage hotel , move room , unload we , proceed give we great reccomendation . false fire alarm bring bottle water wait ' all clear'the check quick painless . get party 2 room adjacent helpful , room spacious hotel . ( sure check mini - bar ; miss item c / I would charge mention f / d ) . Marriott Bedding wonderful always ! lobbys beautiful spacious . Garden Terrace bar decent spectacular , bin 55 good . view bar cant MISS . Absolutley beautiful view . overall complaint parking fee , taxi line . do not let stop though , do not detract experience . 
 Feb 15 2008 	 Average Marriot 	 Marriot good central location downtown , parking expensive inconvenient . room rather small bathroom average . 
 Jan 31 2008 	 Nice hotel little trouble reservation 	 spend short weekend San Francisco Marriott trip Emerald Bowl football game think nice . renovation not see hear construction . lobby large spacious , hallway quiet , carpet new room lovely . stay 14th floor not much view , bed comfortable ( make want come home get new one ) , bed fabulous flat screen LCD television high defintion . order breakfast room last morning arrive hot , fresh time . the problem regard reservation . hotel 's option one king 2 double really not work we , reserve king rollaway . do online part selection reservation process , something type comment . arrive hotel middle night long , difficult drive less pleased learn rollaway go . rollaways fact first come , first serve desk clerk indicate , absolutely part online reservation system . count rollaway really need . offer we breakfast voucher exchange one people travel we press compensation , nice still make sleeping arrangement pleasant . beware reserve rollaway guarantee get . 
 Jan 29 2008 	 reliable choice 	 hotel nice location room clean comfortable . hotel staff accomodate check - in pleasant experience , even midnight . complaint hotel currently undergo construction ( warn ) get lobby level floor somewhat challenge . take elevator floor 4 , walk around corner , take another elevator high floor . goes go back , wait elevator sometimes long everyone try figure get point point b . , experience fine . nothing special . oh also , charge internet access room ( even wireless ) bit silly , especially business - friendly hotel . 
 Jan 27 2008 	 Ridiculous Valet / Taxi scam 	 stay Marriott SF 2 night hotel bad , nicely update room , good bed nice plasma tv 's room , starbuck lobby etc . Marriott management aware incredible disservice guest allow valet operate racket go Taxis . another reviewer point ( toasty24 review date 10/27/07 ) valet run common bribery racket come Taxis ( require taxi pay airport fare ) . take 2 minute taxi line catch onto , not limit call & quot ; airport & quot ; fare . tip valet will get taxi right away guise & quot ; reservation & quot ; will stand line , course point will offer house car ' m sure be also get kickback . taxi line take quite bit time will see several empty taxi drive valet area refuse pay valet valet tell taxis duty not take fare . evening line rain wise scam empty taxi drove say valet , & quot ; be wrong , would not pay ? & quot ; hear one valet 's coworker tell go break would make sure still stand get back , front line . eventually get taxi confirm driver indeed pay valet $ 5 fare , say airport fare go 10 - 15 . marriott management aware employee horrible disservice thier guest & quot ; pay & quot ; taxis available guest . oh , not rent car either , valet parking $ 50 night , outrageous matter city be . 
 Jan 17 2008 	 Typical Convention Center Hotel 	 think convention center hotel , probably mind . however , be head convention - especially one Moscone Center , fine place stay . the room small clean . update recently comfortable bed good bedding . curtain especially good blocking light like dark room . 's flat panel television good selection digital channel . hotel internet available via ethernet ; however , able pick free wifi signal outside hotel . probably luck not see hotel wifi . the bathroom also small , good , soft towel . water pressure fine . I check late leave early , not see much staff . however , gentleman check quite helpful . late look decent meal outside hotel . give great choice . if be look drink hotel , 's bar top floor amazing view city . all , not amazing must see destination - especially city many historic hotel . however , need place spend night , check e - mail get convention , fine . ( also , not take condemn hotel faint praise . rather , be good way say convention center hotel . ) 
 Jan 13 2008 	 good hotel bring earplug 	 stay one night , Saturday . hotel full convention - goer seem run efficiently . check - in easy , staff great concierge able get we great last minute dinner reservation . the location can not beat - right Powell Street BART station lot shopping ( Bloomingdales , Nordstrom , etc . ) . would recommend take BART city leave car station . otherwise , park $ 50 / day Marriott . the room nice , clean bathroom large San Francisco standard . main problem room wall thin could hear people talk room next door . morning child blow whistle something , REALLY hear that . also , breakfast expensive , go across street Mel 's Denny's . we get great deal Priceline - half price . , satisfied stay . 
 Jan 8 2008 	 Nice Marriott 	 stay weekend Christmas two night conference . conference hotel . lobby construction , front desk temporarily move second floor . seem confusion traffic go . starbuck lobby . room 16th floor face Bloomingdales . room nice , right Marriott . location perfect within walk distance Union Square , Macy 's , great restaurant . would stay . 
 Jan 7 2008 	 affordable luxury 	 pleasure staying . lobby beautiful staff friendly welcoming . stay high rise section double room huge ! bed also large comfy pillow divine - will never want wake ! indoor pool cold jacuzzi relaxing will forget dip back pool . the View Lounge spectacular . view San Francisco lounge take breath away . little pricey small plate want splurge go right ahead , be worth view be right next to . the hotel walk Union Square Westfield 's San Francisco 's Centre . public transportation BART cable car also short walk away ! everything want visit walk distance . I recommend go back hotel ' m ever San Francisco actually back November = ) 's worth stay affordable luxury ! 
 Jan 3 2008 	 Marriott Standard 	 far tell , San Francisco expensive place visit . understand , always pay little Marriott Hotels , one favorite . San Francisco Marriott , book two room meeting friend see Cirque show . booking easy , efficient Marriotts website , cost per room ( around 200.00 per night ) expect . the hotel location fantastic ! heart city brief walk Bart Station . lobby undergo renovation , expect well , point deduct construction issue . check fantastic , fast , efficient . Marriott let ? room . our room ( 1118 1119 ) dusty , dirty nearly Marriott standard . first thing notice massive layer dust snack tray old candy bar , stuff . bathroom floor hair , well wet spot , general dirtiness . outside door air cleaning machine , simply sit entire stay . ( finally pick , put inside room . bed clean far tell , course , comfortable cloud . I really take aback overall cleanliness room . ( issue ) eat breakfast lobby area ........ skip ! 25 buck person brunch , eat well food gas station . staff restraunt attentive , polite , spot serve , plus . car trip , aghast overnight parking 50.00 dollar per night ! overall , hotel need housekeeping renovation go along lobby . reason sell dirty room Marriott customer . Whewn mention employee , indicate & quot ; undergo renovation & quot ; .... excuse . sorry say return Marriott San Francisco next trip week . suggestion ? 
