Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 Jun 23 2008 	 nice accommodation JW San Francisco … .. 	 return great weekend stay JW head wine country . mixed feeling originally read posting hotel decide give try anyway . actually get great bonus staying weekend . hotel big relaunch party Friday night lobby restaurant renovation . guest hotel invite blast . music , live entertainment many hor ’ oeuvre shear scallop mini bar burger , wine , champagne cocktail complementary ! luck party downtown San Francisco ? ' know ' sure glad ! room tastefully do modern décor . bathroom marble separate tub shower . since recent renovation room 42 ' flat screen tv could appreciate . location great close Union Square , easy get around town place . hotel large overall feel hallway little tight . workout travel fitness area adequate road workout . ' equip elliptical , treadmill , free weight weight machine . ' look hardcore workout get home need inquire local gym . the concierge awesome recommend thing area sight see ! one great recommendation stop La Taqueria mission district . good ' ever eat ! entire hotel staff friendly helpful stay . we great time would definitely stay Bay Area . 
 Jun 22 2008 	 lovely hotel great service 	 stay JW Marriott last stop honeymoon . experience great moment arrive . greet warmly big congratulation , room upgrade . also give access club lounge , excellent . room nice spacious , order room service high quality . hotel convenient location service excellent throughout stay . would highly recommend hotel great stay San Francisco . 
 Jun 17 2008 	 Outstanding Hotel 	 wife recently spend three day weekend JW . hotel staff terrific . hotel go complete renovation everything new spotless . room , bathroom , club lounge lobby first - rate . hotel 10 minute walk Powell St BART station , Powell - Mason cable car turn - around f - line streetcar . China Town less 15 minute walk . use point stay . nice job , Marriott . I would defiinitely stay . 
 Jun 12 2008 	 Loved JW Marriott 	 spend 7 night JW Marriott past April 6 10 year old kid school spring break . hotel conveniently locate couple block Union Square . & quot ; executive & quot ; room tastefully decorate include comfortable king size bed , sit area include sofa bed , chair table , well desk , 42 & quot ; LCD tv minibar . bathroom great -- tastefully do include large tub separate shower . hotel go renovation decor ( carpeting etc ) brand spank new . the staff attentive , concierge desk fabulous -- recommend everything dining option tour direction . the criticism might not enough drawer space clothing -- hotel seem primarily cater business traveler ( understandable ) stay short period time . additionally , lobby construction unable appreciate . , love hotel would definitely stay next trip SF . 
 may 29 2008 	 Business Trip 	 recently SF business book JW Marriott Post St . arrive late evening exhausted . staff make check easy place beautiful room 20th floor . even order fruit cheese plate deliver room within 5 minute bag bring . next morning able appreciate scenic view window - face toward bay able see Alcatraz ! room nicely appoint bold color modern decor - bath large tub ( separate walk - in shower ) great relax end hectic day . the concierge extremely helpful planning sight - seeing also accommodate get dinner reservation lovely italian restaurant street . the hotel 1.5 block Union Square shop ' til drop ! also catch cable car wharf . hotel small expect , feel improved service . 
 Apr 30 2008 	 love 	 love hotel nice good beb good service , clean , perfect location . breakfast ect around restaurent like Sears Finest dinner around good restaurent .Attraction walk every location perfect .From Maine April 2008 
 Apr 30 2008 	 wonderful Hotel ! ! ! 	 stay JW Marriott San Francisco week April 21st . greet friendly doorman front desk girl . check early ( 9 am ) offer we upgrade suite 50 % ( someone cancel reservation ) . take glad ! room awesome . bathroom fantastic bed extremely comfortable ( even & quot ; mattress critic & quot ; husband think great ) . renovation still happen hotel restaurant big deal since rarely eat hotel restaurant anyways . try hotel food good . hotel seem busy room service order . the customer service notch , probably second Four Seasons hotel . butler button press room send someone room . not think wait 3 minute time use use least day . every evening order ice . find third night start bring ice automatically evening turn service . great service ! refreshment lobby , varied depend time day . try pink lemonade great . refreshing hot day . the location awesome . close Union Square . walk minute long . would certainly stay hotel next time get chance visit San Francisco . first time visitor hotel make experience memorable . 
 Apr 29 2008 	 Great Location 	 enjoy stay . great location right near shop dine Union Square financial District . walk place even ferry building pier nice flat walk here . room nice clean comfortable king size bed great bathroom . staff helpful pleasant . even though hotel go renovation , hear building noise . front desk arrival area bit underwhelme hope change completion reno . complaint two occasion see dirty room service dish lay hall 8 hour straight ( yuck ) . would expect well JW Marriott propertyi would stay next time San Francisco though plus definitely outweigh negative . 
 Apr 22 2008 	 Great Hotel 	 great hotel , centrally locate , clean . would definately stay . 
 Apr 20 2008 	 avoid cost ! ! 	 stay christmas time would believe leave car literally 5 - 10 minute park outside check hotel , Valet people outside say must leave key . , little hesitant , guess . STOLE RADAR DETECTOR FAST . leave car park different location , sign break in , hotel would admit stole . detector leave glove compartment , must take fast broke piece . demanded see footage would let we claim videotape everything outside . 5 STAR HOTEL PEOPLE - TREAT PEOPLE ! ! ! ! ! hotel especially worth price thief ! would not even reimburse we anything , keep say not CLEARLY . car touch use entire trip except valet service suppose hold key case need move car . also switch story we like 5 time PROOF take . take 4 month supposedly try figure happen , probably would not write review . nothing help solve matter waste time . encourage personnel steal thing people 's car circle everyone involve split cost . ' ve hear hotel , would never think JW marriott hotel would stoop low . & quot ; ever stay HOTEL ! ! ! never stay JW marriott marriott relate hotel ever . lose family customer , well every friend person know , hopefully . ' ve valet car restaurant various 3 star hotel radar detector nothing ever happen . 5 star hotel thing , low ... low . please tell friend stay Marriott hotel . need serious change anyone ever go back . 
 Mar 31 2008 	 beautiful 	 room huge ! linen luscious ; love ultra soft pillow bed comforter pillow around . bathroom small fine one person . might tight two . love sundrie much order lotion line . business , say come back hotel truly retreat . great location . staff excellent . 
 Mar 25 2008 	 JW Marriott First Class 	 location JW Marriott ideal ! close ( 1 - 4 small block ) Union Square Westfield mall shopping , restaurant , cable car , Hertz rental car , good choose rent car explore city exterior area like Sausalito Muir Woods , etc . staff always attentive , room always clean orderly , door always open reach front door . nice amenity like ice bucket fill nightly , well extremely quick efficient service come room request norm , along morning coffee afternoon tea lobby make nice comfortable stay . room nicely decorate warm color make feel like home . positive overall experience equate definite return next time ' m San Francisco . 
 Mar 24 2008 	 Fabulous experience ! 	 Stayed Marriott conference would definitely stay . room clean , comfortable ( feather bed comforter ) , offer nice view city . internet not free , could get $ 4.95 option 24 hour provide internet hookup -- hotel , either provide pay cord . staff courteous friendly . need something print 8 presentation business office not open 8 , concierge allow print computer . ask late checkout , front desk extremely friendly give 2 pm checkout . overcharge hotel bill , call front desk change immediately . great location , near Union square , BART station ( take airport ) , take trolley Fisherman 's Wharf 1.50 . everything really accessible everyone friendly . food expensive hotel , Mel 's Diner around corner great breakfast , lunch dinner . 
 Feb 27 2008 	 fabulous Fabulous Fabulous 	 reading review stay make sure check ask renovated room . front desk staff say room completely renovate . room stay good Marriott property room ever stay . room big , bed wonderful , 52 inch flat screen tv , color theme room warm relax bathroom must say work art . brown marble wall shower beautiful . doorman always open door enter exit hotel , ask transportation need , wonderful . front desk staff could nice , staff walk around hotel attentive . first night walk around hall ice bucket know call room someone would bring ice , well walk staff member notice ice bucket ask room would someone bring ice , 3 minute someone ice . wonderful that . I guess lobby restaurant go thru renovation complete end March would never know . check area conceal work would never know work do . area around hotel safe many shop eat area plus type transportation block away ( trolley car ) . can not wait go back .... 
 Jan 18 2008 	 beautiful hotel top location ! 	 visit San Francisco least year , twice last year . first time stay hotel . stay Donatello , across street , price comparison indicate Marriott room less Donatello 's patio room . thus elect J.W . Marriott . we admire hotel Pan Pacific . 's window architecture unique . open atrium remain stunning . street entry nicely protect weather . find personnel entry helpful accommodate store golf club without hesitation , retrieve request without delay . make arrangement limo SFO upon departure ready wait right time . ask high room receive one . look one redecorate room west perimeter structure find extraordinary , though available we . renovation continue top floor . our room view onto Mason . nice quite clean . guess , know , many oriental housekeeping staff retain hotel change hand . top notch ! furnishing , though certainly new , good condition clean . furnishing work well . request additional luggage rack arrive almost immediately . dine room , otherwise comment room service , leave hotel morning , generally early , simply spot one housekeeping lady nearby ask cleaning . never fail find clean room upon return . also find front desk personnel friendly helpful . tend make reservation many month advance , request special service , not surprising anyone spur moment . treat well . we eat one supper hotel restaurant . particularly remarkable , , consider available restaurant within walk distance front door hotel , surprising . lobby bar stay open late many visitor use . enjoy ambiance hotel read review lament loss ambiance Pan Pacific . appreciate view , remain still extraordinary hotel wonderful location . price room , one many selection throughout city , combine J.W.Marriott 's location , ambiance , cleanliness , service amenity . return San Francisco J.W . Marriott July year , will review assessment second stay . point , little doubt enjoyable share picture thereafter . 
 Jan 17 2008 	 comfortable 	 stay JW Thanksgiving , veeeery quiet period hotel . room remodel , benefit update , clean , well maintain comfortable -- particularly bed desk chair ( unusual ! ) bathroom marvelous . unlike reviewer , find service attentive . not use hotel service much , ask assistance , prompt courteous . use restaurant ; bar nice , pricey -- hey , be SF . location great . usually stay SF Marriott 4th . clearly grade style attention , terrific property , wonderful location . first time visitor someone still mostly touristy stuff , might actually give edge hotel 4th close proximity Fl ine ! ' ve SF , choose one touch luxury . 
 Jan 17 2008 	 nice ... 	 stay week 2006 . fantastic hotel , bed really comfortable . complaint ! 
 Dec 15 2007 	 use 	 stay hotel Pan Pacific Hotel couple dozen time . recently stay became JW Marriott . always love hotel . architectural masterpiece . incredible marble bathroom , stunning lobby great room one fine hotel city full great hotel . problem renovation convert Marriott . oasis class . change charm hotel locate near airport . carpet outside guest room hideous loud . look atrium see ugly carpet totally distract beautiful design building . improvement room new , large t.v.s . new furnishing bland basic . Marriott excellent job remove charm elegance hotel . People never stay property likely love still great hotel unbeatable location . we know change sad . interior designer executive approve new design sack . main lobby close redone . shudder think Marriott ruin formerly beautiful space . mourn loss great beautiful hotel . 
 Dec 14 2007 	 Loved JW Marriott ! 	 spend 4 day Thanksgiving holiday San Francisco JW Marriott . online travel website editor / content writer Hawaii , spend great deal time TripAdvisor check people 's review Hawaii hotel San Francisco . four we fly Honolulu red - eye arrive hotel 7:30 , bleary - eyed exhausted . call hotel request renovate room high floor back ( read various review noisy siren , etc . ) , never ask early check - in , mention fly red - eye . never expect either room would available time , friend room , could freshen leave luggage connect room ready 11 am . the room elegant beautifully decorate classic & quot ; wish home & quot ; Marriott bed bed . large flat screen tv , many amenity one beautiful bathroom ' ve ever see hotel . 14th floor never hear sound siren , etc . room extremely quiet immaculate . but even elegance agree good part JW Marriott staff , bellman front desk , concierge , restaurant , bar , housekeeping valet every person meet . smile , genuinely friendly always greet we , give excellent advice eat , make reservation , etc . , etc . Hawaii speak often Aloha spirit actually lovely thing , agree find real Aloha spirit JW Marriott trip . interestingly , many people tell would disappoint San Francisco dirty , lot druggie homeless ( live Palo Alto 5 year spend great deal time city ) . sure people , find super clean , friendly people , street clean even homeless see neatly dress hassle we walk everywhere problem . would go back - millisecond ! 's wonderful hotel great staff ideal location one beautiful city world . JW Marriott San Francisco thank unforgettable vacation . soon get airline reservation hotel will booking , except long time . 
 Dec 7 2007 	 love 	 JW Marriott former Pan Pacific Hotel , beautifully update refurbish 's consider part flagship brand Marriott chain . this hotel situate short walk Union Square , location fantastic . room comfortable , clean , luxuriously appoint . service spectacular . one thing really enjoy visit nice breakfast dining room , include package purchase -- pleasant surrounding , excellent food , fine service . the JW excellent value , perfect romantic getaway lovely city America . 
 Dec 6 2007 	 thought would .... 	 really look forward San Francisco vacation really perfect weekend - except hotel . think 5 star hotel think service , luxury proximity . hmmm .... JW Marriott even reach 5 star quality area . room spacious completely outdated . take room service hour get we act something wrong . concierge ( Kyle ? ) completely mark recommend restaurant . sound like base kick back anything else b / c send we young kid bar 50 year old ! ! check fine except check part . feel could not wait rid two people make absolutely trouble . would never stay Marriott - b / c place . awful , awful , awful .... 
 Nov 27 2007 	 Great Honeymoon 	 stay SF date November 4 - 11 , 2007 . honeymoon . upon arrival , impressed staff . bellhop help unload bag taxi give we claim ticket . check - in breeze . receive upgrade due fact honeymoon . room , bag arrive within 10 minute . room , newly renovate executive suite city view . nice . room consist large flat screen tv , king size bed , couch , chair , desk , separate tub shower . bed pillow comfortable . one problem encounter morning want take shower would hot water . end take bath happy . problem hot water morning hotel . get . staff great hotel . never open door . bar great drink . enjoy drink hotel bar well anywhere else . hotel locate heart downtown . great location . need car get anywhere . would recommend JW Marriott anyone . husband return SF 2010 definitely stay JW Marriott . 
 Nov 23 2007 	 Great Hotel 	 final night tour CA , stay JW SF . ask high floor review regard remodel . Nov. 17th - think first 2 floor room still remodel manager tell we lobby begin follow week . room beautiful loved bathroom . bathroom separate shower bathtub ; bed extremely comfortable ; flat screen tv ; room spacious . think lobby bar nice ( 2 fireplace comfortable chair around ) -but say remodeling make contemporary . staff hotel exceptional deliver anything need room . complaint hotel parking - $ 45 day . fortunately we , not really need car anymore , return early instead pay parking . overall , far nice 4 Marriott 's stay trip expensive . would definitely recommend anyone go SF . 
 Nov 23 2007 	 dissapointe 	 husband stay numerous time Marriott San Francisco locate 55 fourth street SF . always enjoy stay ! impressed staff JW Marriott arrive carry luggage inside building , staff member watch .Oh open car door . place bag bell mans cart , staff member run hand we claim ticket shoo we away . we go check pleasant . go room want freshen meeting , room way nice freshly paint outside balcony still large amount plastic still paint . we wait almost half hour bag bring room . bellman insist receive tip stand , course tip . matter fact , Staff pushy tip even bucket ice ( hotel would not allow we get ) stay two night Jw Marriott .We tip tune almost $ 250.00 pushy lazy staff . bed linen change clearly soil , maid also vacuum wipe anything , happy receive clean tile . husband work Government ( hotel would honor discount ) okay , also Rare Coin Jewelry Company , principal matter . also disable Marriott 55 fourth street , charge handicap parking .This hotel charge we approx . $ 88.00 night . arrive back hotel second night stay valet parking attendant rudely state thought check ? ? ? insult , explain stay two night . rudely give we another claim ticket auto . go inside talk someone front desk , young dark haired asian man , also nasty , want make sure still book two night ? tell yes , ask parking situation handicap parking ? state Marriott independently own operate Hotel Valet separately run nothing Valet ( ) ... valet bring auto back move corner handicap parking street . upon check next day carry bag , wait husband get car , wait could hear Valet parking attendant laugh goof . want go back talk someone check desk , Nasty Rude person speak night frankly little Scared . husband bring car round four valet parking attendant run open door really pushy , guess want Tips . hum maybe hold hand palm ? receive bill regular room two night stay , charge two night valet parking even though move car . bill come $ 880.00 without room service anything else . wow not ever want pay treat way again . I make call return back home Reno Nv . speak someone kind , however 24 hour could adjust bill .. please everyone beware ! 
 Oct 30 2007 	 wonderful hotel ! 	 stay big conference 10/26- 10/29 impressed hotel . pay $ 239 king bed conference . get , try free upgrade grant & quot ; remodeled & quot ; room . however , turn , wonderful . review category . hotel : not know , use Pan Pacific hotel . locate 1 block Union Square within walk distance many nice restaurant shop . need take elevator lobby . room : end remodel & quot ; corner & quot ; room 10th floor . wonderful look room spacious . never stay hotel not know expect room , really happy . bathroom nice offer shower . bed wonderful pillow top thingy mattress make wonderful . big plasma tv desk comfortable chair . sit chair time . room two close bar area well . look place fridge , fridge find . service : nice . 4 day open front door hotel couple time . always people call cab well . butler service interesting use bucket ice . nightly turn service would also fill ice bucket . complaint 4 elevator whole hotel sometimes require short wait . , wonderful stay . would definately return future . 
 Oct 3 2007 	 Metropolitan Luxury ? ? ? renovation complete ! ! ! ! 	 stay many JW … always satisfied room … lem tell , planning stay here … demand renovate room huge discount ! ! blame request early check - in … room available early check " low " floor ... exhausted accept … I never tell room renovate . room clean , typical … but JW ! ! ! reason ' complain due fact room JW bed bedding , bose radio plasma screen TV … aside that … . nothing room reminiscent JW . carpet wear , furniture dilapidate , " finish " sink bath tub actually crack peel ! think get mini derma - abrasion rough towel provide . recognize bath product Hilton Garden Inn stay last week … never find mini - bar … the room coffee maker inadequate .. name coffee powdered creamer … sister hotel Ritz Carlton fine coffee set Brand name coffee & amp ; real cream … JW get play - school prop ? ? amazing ! ! ! try use complementary town car service , tell driver trunk full could accommodate belonging … strange passenger ? ! must give hotel prop though … location beat … the staff … although neglect alert room old Pan Pacific room , accommodate pleasant . common area beautiful renovated room … .. lucky enuf secure one . 
 Sep 5 2007 	 great 4 - Star Luxury Hotel 	 stay two night August , 2007 hotel . please everything . ROOM : assign one renovate room beautiful , quiet , comfortable , spacious , lot ammenitie like separate shower tub , electronic laptop safe , large functional desk , large flat screen tv . bed outstanding linen , pillow , duvet . service : service excellent throughout stay . button wall room push request . someone appear door moment - - service efficient fast . every staff member encounter polite helpful . FITNESS : hotel nice fitness center great equipment . concierge lounge : concierge lounge provide excellent extended continental breakfast . tip : lounge get crowded recommend show breakfast early . location : location great - - right Union Square behind Westin St. Francis . renovation : although hotel go total renovation , hardly notice . impressed quiet worker . hardly make noise certainly effect enjoyable stay . close one floor time renovation start top working . think top 5 6 floor do . lobby schedule renovation begin November . VALUE : luxe , beautiful , celebrate hotel S.F . 's excellent choice excellent value consider rate 1/2 less 5 - star luxury hotel nearby . ' ve stay hotel amazing think J.W . marriott match quality service much low cost . highly recommend . 
 Aug 30 2007 	 bit Disappointed 	 must say bit disappointed Marriott property . check guest either side we arguing reservation . make standard reservation , wife daughter . room give we king bed room roll - away . solution pay upgrade small suite . hotel centrally locate business district although neighborhood feel comfortable evening . reception third floor convenient parking $ 45 per night steep . room little worn hotel undergo renovation . 
 Aug 28 2007 	 definitely ! 	 great location , easy check - in , easy check - out , clean , comfortable , beyond invite , just - right fitness center , knowledegable staff & amp ; fun detail ! would definitely . 
 Aug 24 2007 	 Attentive staff nice amenity 	 wonderful time J.W . Marriott . staff top rate , attentive . e.g. , check , computer show room ready staff go room personally check find ready , save we wait . ask extra hanger closet deliver matter minute . hotel nice location , great amenities inc . concierge room . stay room yet renovate , still clean pleasant . 
 Jul 30 2007 	 great hotel near Union Square 	 get back San Francisco . husband attend conference hotel join 18 - month old son . hotel nice positively fabulous renovation complete . service excellent ! concierge terrific , provide map , direction wonderful dining suggestion . door always hold open we leave return . nice room 13th floor comfy bed . ( know need new mattress home ! ) 
 Jul 29 2007 	 great hotel - fantastic location ! 	 stay hotel March 3 night , really enjoy stay . upgrade spacious corner room , small sitting area , flat screen tv , Bose radio . incredibly comfortable bed nice shower . service outstanding , good part location . block Union Square ton shopping ! also complimentary car service , use one night meeting friend dinner . would highly recommend hotel , would probably stay again . extra : like greek food , fantastic restaurant call & quot ; Kokari 's & quot ; good greek food ' ve ever . great ambiance , service food . be cheap , be worth . 
 Jul 27 2007 	 great time great hotel great location comfy bed ! 	 husband stay JW Marriott 4 night . hotel locate couple block Union Square mere 10 min cab ride Pier 39 . room bit small , little date , not spend much time room ok . bed really comfy cozy . room 8th floor ( 813 ) window overlook Post Street . quite noisy traffic ( especially we since desert never hear traffic ever ) . noise usually die around 10 pm ( later weekend ) start back arond 5 am . not use noise , may want ask room high floor room locate directly Post Street . think one great thing set hotel apart other staff . remarkable ! friendly , accomodate helpful . eat breakfast restaurant locate hotel , pretty good . $ 20 get breakfast buffet fresh fruit , pastry , bagel , cereal , egg , bacon , sausage , potato etc . great time would definetely stay ( sound like hotel go pretty posh remodel ) . 
 Jul 27 2007 	 great hotel 	 stay Pan Pacific 4 day may 2005 attend Diabetes Technology Conference . hotel lovely staff friendly helpful . room double queen . lovely room , clean , posh bathroom , housekeep excellent . local ideal explore city . I would stay . 
 Jul 24 2007 	 relaxing stay ! 	 fantastic 9 night JW Marriott SFO . arrive pretty late ( around midnight ) seem eternity fly / passport control / delay first thing strike hotel friendly , courteous efficient staff ! stay , nice hire car treat utmost respect valet , hotel door always open ( one time not doorman apologise ! ) , check - in check - out seamless , room service prompt good food concierge particularly knowledgeable load we informative map city Napa valley . the hotel fairly central location ; far crowd Union Square , far enough hear bell cable car begin nearby Powell Street . hotel room well appoint plenty space , light airy . double - glaze street - face window , unfortunately quite lot noise . reason San Francisco beseech constant fire truck although never see smoke , would think city burning night ! mention people 's review hotel , bathroom little dated bit gaudy early morning , everything work supply stock daily . nice cup freshly brew coffee machine supply . 's little thing like ( iron board iron every room ) help 're away home ! manage get good rate ( $ 239 ) still think internet access include . expensive nearly $ 13 per night , least include unlimited local long distance US call nice touch ( $ 5 charge phone take ! ) . 
 Jul 18 2007 	 Superior hotel . great service great location top notch around . 	 fabulous , fabulous , fabulous . hotel notch rest . service unbelievable . need dinner reservation restaurant perfectly suited mood ? problem . great theatre seat ? Piece cake . staff fall effort make stay pleasant . room extremely nice . hotel easily surpass average Westin , Intercontinental , etc . can not recommend hotel enough . love . 
 Jul 17 2007 	 JW Marriott - Nice perfect 	 return 5 night stay JW near Union Square . originally book Parc 55 , find long part Marriott . willing give 5 night point , change hotel . check smooth . entire hotel undergo reno next 6 - 9 month new design look great . vibrant sophisticated . assign room nice yet redone . good size big city hotel . small flat screen tv nice . bathroom spacious cover brown marble , bit date . apparently part decor former asian theme hotel chain . room access refrigeration always great . also bedside light poor due energy saving fluorescent ring bulb . housekeeping bite weak spot well . 4 day , finally call ask shower stall treat mildew . overlook day . use Concierge Lounge time morning evening . nice breakfast option sweet dessert dinner . always nice access . use airport shuttle service arrange hotel concierge trip airport . work fine save money sure . back ! 
 Jul 16 2007 	 good hotel San Francisco 	 every aspect stay nothing short perfect . could give six star would . not perfect begin fix immediately . two window gorgeous room ( corner overlook Union Square ) not close properly engineer came fix right away . ask fridge room - deliver immediately . extra pillow , problem . coffee , problem . room spotless well appoint . bed comfortable - light good , great work space bathroom fabulous . fact , surprised find hotel middle remodel . every request kindly answer often cable car run ask concierge 5:30pm Saturday evening know place get manicure late thin air find one around corner open 7:30pm . fantastic ! hotel high occupancy not hear noise guest see service issue - - everything perfect . amazing dinner restaurant lobby . gentleman serve we go beyond meet every request include help we negotiate menu son allergic egg . kitchen prepare special chicken nugget . ( never hotel dining place go effort creativity . ) son captivate inside elevator beautiful fountain lobby . husband meal rival favorite place eat . find later be one good place eat San Francisco . room service incredible -- right time everything delicious . little guy think Disney demand ( little Einstein 's Mickey mouse ) room terrific not want go home . fact , hear tear room watch traffic Union Square window definitely back . hotel one block cable car line Fisherman 's wharf . 's right Union Square location good place San Francisco . 
 Jul 8 2007 	 impressed ! ! great stay ! ! 	 stay July 4th weekend one night please . room ready arrive 3 pm quickly upgrade large suite ! ! room 2 beautiful bathroom , queen bed , sleeper sofa , kitchen area , office area much . family 4 beat share one room 2 double bed anytime ! ! service front desk fine kid love bowl apple always take . Valet parking great park car need grab cab rush offer hotel car service instead charge ! ! service ! ! package include breakfast 2 buffet morning although huge spread everything tasty nicely present . service tad slow also impatient person : ) would recommend hotel without hesitation . 
 Jul 8 2007 	 Kyle Super Concierge 	 get great last - minute deal Travelocity 3 night JW Marriot airfare July 4 holiday . content hotel upon arrival throughout stay . ultra modern sexy ? . hot spot town ? . extra plush ? Nah . elegant lobby , super friendly staff clean comfy room . room 16th floor nice city view . tell little elbow grease via current renovation hotel something special . scruff wall furniture not take away overall airy room open feel space . slight aesthetic tarnish trump service . amazing . doorman room service reception . big delight stay JW Marriot terrific conciege name Kyle . good humor excellent , patient advice help throughout solo trip new city . tip brave 4th July crowd Pier 39 off - the - beat path restaurant Castro Filmore , guy 's suggestion recommendation top - notch really help navigate city . kyle gem . kudo everyone JW . would stay . 
 Jul 3 2007 	 wonderful stay - would return heartbeat ! 	 stay one night , tell use Pan Pacific Hotel retain asian theme . bed feather - pillow luxurious comfortable . complimentary robe give even phone bathroom . caution , not push button bathroom , unless want conceirge call ! turn - down service , nice . service impeccable , staff friendly & amp ; helpful . like location hotel , close shopping need . cocktail , hit Redroom , classy bar - lounge atmosphere . stay friend , hotel could serve nicely family romantic getaway . can not beat location . Park Union Street Garage short walk away . would definitely return hotel . 
 Jul 2 2007 	 Nice room 	 stay client . staff courteous accommodating . bed extremely comfortable . bose radio amazing . could use update large LCD tv tell major renovation happen 2007 . 
 Jun 26 2007 	 great Stay ! 	 complete week long stay JW Marriott San Francisco 6/18 - 6/25 . overall , hotel nice clean . doorman extremely nice helpful get direction taxicab . concierge also helpful assist we planning day site see event . hotel locate pretty much around corner Union Square shopping girl could ever ask ! hotel lovely restaurant , though pricey , tastey . room service prompt friendly . overall good stay . thing unhappy , bed kind soft , wake backache neckache equally soft pillow . also slightly inconvenient false fire alarm go twice night sound asleep . can not say would stay probably will not go back San Francisco , not see another hotel city woud rather stay . sorry , not take photo hotel room , photo website accurate . 
 Jun 21 2007 	 not trust review ! 	 stay JW Marriott San Francisco June 15 - 17 , 2007 impressed ! read trip advisor review , sorry Priceline accept bid ( $ 89 ) nervous 3 room book graduation . after park parking lot across street ( thank reviewer ) , greet front desk without wait give room 38th floor ( view lounge 39th ) . reviewer state priceline customer treat little respect wrong account . view room awesome Bay Bridge beyond . the room clean ( ' m picky ) well decorate , gym fantastic , Starbucks lobby convenient & quot ; View Lounge & quot ; beautiful great service view entire city . location fantastic ( close Union Square shopping ) ! coffee service room break new one bring within 5 minute busy Saturday morning . we return wonderful property hope Marriott accept Priceline bid future . 
 Jun 21 2007 	 recommend 	 reserve room 2 queen bed 4 girl share . arrive , room 1 king bed , give we another room king 1/2 price . also give we free parking mix - up , nice bonus consider usual price . parking $ 50 night , rent SUV - $ 80 night oversized vehicle ! ! wow ! ! much cheap parking garage block street - direct . anyhow , please 2 room . typical Marriott room . good size comfortable . decide splurge breakfast buffet . be expensive , good . bar / restaurant top great view . hotel great location shopping restaurant . highly recommend . 
 Jun 11 2007 	 not bother . 	 not expect quality usual JW Marriott brand . hotel start undergo renovation complete , currently like wear - out Marriott . Decor date , room unattractive- old , worn funiture , minibar remove . basically , be tired hotel luxury . staff pleasant , particularly attentive 4 star property . location close Union Square . well price . 
 Jun 1 2007 	 Nice Hotel 	 Hotel nice , really WOW factor like many say . Valet Parking expensive ; use parking lot around corner far less . not eat much hotel two time use room service , eat nice asian restaurant locate lobby rear hotel ; food good time . though street away major crime area , like anywhere find club , hotel near Union Square shopping . visitor center locate near hotel go purchase cable car ticket . 
 May 6 2007 	 Nice Hotel Nice Location 	 nice hotel nice location . would say though , barely & quot ; & quot ; average , nothing really special . room nice , bathroom roomy . husband not care pedestal sink feel shortage counter space - find shelf useful instead . like hotel , enough outlet bathroom . nice mirror , nice seperate tub shower , tv . comfortable bed linen . not like lounge area . cold , fun sit cocktail visit . location hotel excellent . probably SF price reasonable , give choice might stay Donatello next time ( right next door ) decor price . like stay Marriotts general get reward point , little pricey ammenitie provide . overall nice experience , particularly romantic , would stay might stay somewhere else . 
 Apr 16 2007 	 Honeymoon 	 enjoy stay wow factor hotellocation great , great hotel honeymoon - go elsewherewould recommend traveller honeymooner 
 Apr 7 2007 	 would definitely return ! 	 time reach hotel , four different city grouchy warn . staff , right door man room service staff outstanding . property use Pan Pacific Hotel , one personal favorite , know could not go wrong . room good size unusually position hallway bathroom around corner . bathroom plush amenity expect upper scale hotel , separate shower , high end product two robe different weight ( size ) . lcd television . upon arrival , 3rd floor , check - in beverage set - up fresh fruit water . try restaurant room service actually prefer room service selection ! staff probably good part hotel . eager go way make stay comfortable possible . shopped know would never fit purchase already overstuff suicase , concierge FedEx would purchase home ! outstanding . hotel conveniently locate block away shopping mecca Union Square . wait return . 
 Apr 2 2007 	 renovate still good 	 spend 3 night complaint . Sign outside say hotel start major renovation watch . room tastefully decorate furniture bit batter . comfortable bed . bathroom maybe everybody 's taste decent size certainly not lack marble . service good . one dinner restaurant - food pretty good ( pricey ) place almost desert around8:15pm start clear table set breakfast . location great LOT homeless San Francisco include around area . would recommend hotel . 
 Mar 29 2007 	 absolutely love ! 	 escape originally plan stay Rex , find way par book . love room , little small comfortable , really love huge bathroom , separate shower cubicle deep bath . concierge helpful , doormen charming feel like hotel thing spot . comfy bed , ... would definitely stay . ' m sure breakfast like hotel like go be holiday comment ... 
