MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Oct 16 2009 	 MGM Grand 	 Thanksgiving Canada seem like perfect chance quick getaway Vegas book MGM base review reference friend . guess must ? firstly pay Deluxe room king bed ask reception small room one 2 double would sufficient ! ! snotty receptionist begin check room want make fuss find tiny dirty hair small king bed ever see lovely view carpark . manage get room change second time round ok would let go . however next day although day come back find room even make . start get bit annoyed , go breakfast next day cafe seat immediately never serve 15minute despite behind we serve get leave one even notice . night decide watch movie find television working take 4 call 2 maintenance people finally fix last night . maybe fortunate way first visit hotel 4th vegas definetly last be not pool complex great hotel redeem feature . favour stay across road nyny pick hotel similiar pool complex skip overrated tip . 
 Oct 16 2009 	 great hotel not waste money buffet 	 first , let say hotel great . room adequate ( standard room , 2 queen , non - smoking ) , casino , shop , restaurant , everything else great . place massive , prepare quite trek room strip . find casino one good strip . decor lobby , casino , etc modern date still retain classic vegas feel . free valet parking great , valet courteous fast . check check go smoothly quickly . location great well . one thing dissappointe Grand Buffet . book inclusive package MGM website include three buffet meal day price room , fortunately essentially & quot ; free & quot ; we . pay $ 28 dinner buffet would tick . food average selection good never change . not waste money . overall , however , love hotel likely stay . 
 Oct 15 2009 	 must see ! ! ! ! 	 hotel nice service good ! breakfast buffet awesome create omelet . watch chef go home make omelet . yummy ! lion exhibit great watch feed lion 's free . get guest list club within hotel FREE . bed hotel room extremely comfortable ( pillow top ) . thing hallway cold make sure bring jacket walk elevator . daytime pool club Wet Republic well worth wait make sure get early get guest list . 
 Oct 15 2009 	 vegas 2009 	 stay mgm grand hotel 6th october-13th october . hotel sooo big take forever get casino room ! stay grand tower room , room nice quite big expect . overall hotel great fantastic location , recommendation would would try grand buffet , fantastic value money . fantastic time see site , grand canyon , hoover dam , see amazing hotel . hotel lifetime experience . 
 Oct 15 2009 	 MGM - Great experience ! 	 Met sister & amp ; husband Vegas annual & quot ; vacation & quot ; Sept. 26 Oct. 2 . tear stay trip . usually stay Luxor since ' ve change casino & amp ; pool area , we be lose & quot ; love feeling & quot ; . choice Mandalay Bay & amp ; MGM pick MGM . must say bit nervous staying reading review . nervousness fear nothing wonderful stay ! yes hotel huge require lot walking- 's VEGAS ! ! day two tend learn short cut get point point b . thank review though tell sister request Grand Tower room West Wing room , ' m extremely pleased . Grand Tower room King size bed comfortable bed ever sleep . mean seriously comfortable wake night backache wake headache . room clean view New York New York , Excalibur , Luxor etc . awesome ! room 24th Floor Room 314- think . bathroom huge even though show sign age clean bright . love in - room safe tv large enough hold mini laptop , ipod , jewelery many thing . go pool 2 day time problem get chaise . not get early , around 11 am not crowded . music not terribly loud stay away Wet Republic could lay peace . drink server around pool scarce bar right skin nose get order something . Loved Lemon Kiss would recommend drink anyone like lemonade ( alcohol course , lol ! ) . refreshing ! bar attendant let sister husband little taste frozen drink could find flavor liked- cool think . we eat buffet breakfast dinner 2 1 hotel offer . since party give 1/2 off- charge room adjust . food buffet every day good fill complaint all . now Las Vegas hotel ( Strip ) coffee maker room long . tell year ago fire code thing ' m pretty sure be either order coffee room service go casino coffee stand . say total morning coffee freak simply call room service every morning order . yes $ 6 small pot $ 9 large pot hey save get dress , go downstairs , stand line end pay $ 5 + coffee . would call , order , would say 25 min . within 15 min . someone knock door place fresh , hot yummy pot coffee table room- PERFECT ! ! ! actually something look forward every morning wait sister husband get ready breakfast . now morning wake terrible headache- breakfast sister say go lie pool , say going see could get massage . 25 % spa service think would see could take advantage . 12:25pm get room , call spa ask open hot stone massage . yes Ms. Tucker- soon would like get ? 1 pm opening ! bing bang boom ! like book head relax massage . trick headache vanish . spa beautiful relaxing . big , comfy lounger chair sit wait call treatment . casino large , large actually something everyone . could not believe packed table , roulette crap table . recession go sure could not tell look . actually find $ 1 video roulette bit skeptical sit play . like well real thing since even & quot ; cheap & quot ; roulette Orleans Gold Coast change bet . $ 5 minimum play anything outside $ 5 spot split $ 5 number . video roulette could play $ 1 want much desire . play $ 3 per spin everytime play walk away profit ! ok wrap last night decide go see MGM Crazy Horse show- write review . wonderful actually show ' m look forward see next year . 's french burlesque funky lighting extremely hot girl ! love every minute warn looking & quot ; Vegas Show Girl & quot ; type show , not it- go see Jubilee instead . also see Bite Strastophere 2nd day 's decent show . get 2 1 ticket 's worth $ 25 per person , sure be worth $ 49.95 per person . sexy , erotic vampire story set rock 80 's music dig music ! ! not believe say take member audience- dancer singer plant audience fun overall . ok sum up- MGM GRAND 's huge not like & quot ; walking & quot ; not stay . Grand Tower room nice , buffet pretty darn good thank morning room service server ! oh thank floor manager promptly try fix tv issue could not call maintenance within 20 min . everyone front desk check - in maid smiled say Good Morning every morning head get ready start day absolutely wonderful . not meet one staff member rude make feel like not welcome . check do tv not even go front desk . call Bell Desk came get suitcase hold ready head airport . I would definately recommend MGM Grand anyone go Vegas ! would also tell watch different website offer get $ 55 night money well spend ! enjoy ! ! ! 
 Oct 14 2009 	 MGM Grand 	 husband stay MGM Grand Saturday , October 10th Tuesday , October 13th husband 's birthday . first trip Vegas , husband , hand , feel like return home . southern California native , Vegas 60 time , mostly stay MGM . , hand , make debut visit Sin City . just know , husband 30 . like gamble , eat , drink , necessarily order . not go show , can not speak side Vegas . here go : husband member Players Club , room already discount upgrade suite upon check - in ( welcome surprise 5 1/2 hour flight New York City ) . suite nice . little dated , still nice extra space . bed extremely comfortable . checking - in , go Wolfgang Puck 's split pizza grab drink . good food though reasonably price . ' m use NYC price , really not find Vegas overwhelming . pizza really good enough two share lunch . play paigow MGM , explore hotel -- much see ! lovely collection restaurant hotel , lot variety . restaurant deal lot happy hour , ' m tell sign tough economic time . that evening , go NY NY Monte Carlo gamble . like Monte Carlo , find bit brightly light . one drunk guy paigow table actually manage light fire lighting cigarette , provide excitement . when return room , pleased see room service deliver bottle champagne cake room husband 's birthday . totally unexpected surprise ! Sunday , lay pool husband play poker . pool nice -- big , lot room available chair . afternoon , go Paris hotel Bellagio . champagne serve play Bellagio awesome . evening , go craftsteak celebrate husband 's birthday . extremely disappoint Craftsteak . lobster bisque fabulous , . order porterhouse two tough honestly , bit bland . not know one - off deal , disappointing . Monday , , husband play poker go outlet mall . meet later afternoon go see Venetian Caesars Palace . venetian beautiful . caesar big , huge , glamorous , really like Venetian . evening , exhausted . much good thing , guess . Vegas like city world . debut trip success ( even though lose ! ) , look forward next trip Vegas MGM Grand . 
 Oct 14 2009 	 good clean 	 6th time visit Las Vegas stay MGM Grand . always stay finally familiar massive hotel surrounding . be always clean , room / bathroom always clean . not get strip view room request , king bed request , not room much anyway . weather perfect , 80'ish day 60 's night . Producer 's Pool fun , Fat Tuesdays downstairs sell 190 Octanes make even well . money Wheel Fortune .25 slot near Lion Habitat . 
 Oct 14 2009 	 lovely pool 	 good hotel , lovely pool good choice restaurant , large casino , modern hotel 
 Oct 13 2009 	 right middle 	 MGM seem great spot . stay West Wing , bit modern , nice , room seem large . pool area great , spa excellent . restaurant superb . even centrifuge bar cool , suggest stay least 30 min ( staff little dance ya ) . metro / rail stop part strip . would stay . 
 Oct 13 2009 	 MGM Grand Las Vegas - Nevada 	 hubbie & amp ; seasoned traveller . stay MGM Grand Las Vegas first wedding anniversary previously stay NYNY honeymoon last year . arrive 16/9/9 one week , hotel busy due mayweather fight . check fast , efficient , book online get special offer lastminute.com work £ 200 cheap booking directly hotel . stay West Wing reading review site stress HILT ! ! ! room large king / queen double bed , window overlooking . view window fine , could see NY NY . room anyone could need , plenty plus , chair , desk , bedside light nicely design . wardrobe space plentiful room safe well . room well design , lot mirror , glass stylish swivel chair . bathroom fantastic , yes frosted glass door shower issue & amp ; hubbie ' see would issue unless prudish . shower brill , like wet room , spacious lot lovely hot water . pressure great also , toiletry towel replenish every day . room also clean every day without ask . hotel huge day two get use , load restaurant , cafe , bar nightclub . eat Pearl chinese fantastic meal , reasonable . also eat steakhouse Fiamma Trateorri , fairly expensive great quality . also try Diego Mexican think rate . would recommend deli next door sport book quick bagel cup tea / coffee morning . lion ' den impressive see last year faze . staff encounter courteous professional . good thing hotel pool - 6 think . good one lazy pool - simply good . pool current guide around whole length pool , also encounter waterfall journey . place everyone family , couple everyone . like pool pretentious everyone good time . Las Vegas - say love ! ! sun great , atmosphere . already plan next trip . recommend Planet Hollywood shop , victoria secret come handy ! also Tropicana restaurant / bar great fantastic meal . also fab dennys , hard rock cafe . get deuce time ok packed . monorail run mgm Mandalay Bay much well think another mono rail go direction . visit hotel impress Mandalay Bay - go see Killers AMAZING . eat Red White Blue cheap nice food friendly staff . also like Caesars , NY NY , Wynn , Palazzo . ' like Flamingo , Harrahs , venetian - review right smell overpower ! ! . go Bill 's Gamblin Saloon fab , even Elvis impersonator - could ask ! ! plus machine seem pay well , old hotel Circus Circus , Riviera etc . 2 small gripe LV ' like smoking - hey sin city & amp ; hold breath ! ! also ticket guy hand ' hot girl ' card - annoying & amp ; invade personal space ... also mean lot rubbish . Anyways could talk day LV - enjoy head enjoy ! ! ! ! * last year trip also would recommend go see Cirque de Solei - Love show ( beatle ) Steve Wyrick - entertaining . 
 oct 13 2009 	 great stay - not stay West Wing ! 	 MGM great ! husband book trip web site give we airfare hotel room package . check airport ( advise ! ) request king bed instead 2 queen . guy say one West Wing . husband not know & quot ; West Wing & quot ; say okay . let tell West Wing hole ! ! ! seriously ... lighting , privacy 's quarter mile long hallway . automatically know ' ve enter & quot ; West Wing & quot ; light even hallway get ridiculously dark ! light so - call " bathroom " also joke . even put face mirror still ' put makeup . stay one night room immediately go front desk next morning request move . guy behind counter helpful move we even give we King room great view half strip . great ! hotel fabulous great access strip stay clear West Wing ! stay Grand Tower ... great room ! 
 Oct 13 2009 	 Fantastic Hotel weekend break Las vegas 	 stay MGM Grand Las Vegas Oct 09 , pleasantly surprise efficiently run hotel , consider size quantity room . check airport MGM desk easy , bring hotel passenger van , delight lovely room 19th floor fab strip view . deluxe king room money , fantastic value . bathroom huge room super clean . overall service really good check smooth enter hotel . really recommend hotel , see hotel , please stay . flash Venetian Bellagio , cheap like New York other strip . 
 Oct 13 2009 	 West Wing horrible ! 	 despite Hotel 's claim , room available West Wing , opinion pay customer , far upgrade worth extra money charge . start , access West Wing room require walk , seem like length massive hotel every back , pass along way , main elevator guest room , casino floor , employee entrance area closet back hallway . back hallway low ceiling , horrible lighting , dark wall ugly industrial greyish blue / green / brown carpet would perfect hide stain . end hallway elevator West Wing unlike elevator entire Hotel . resemble service elevator need paint job mar scuff mark lack aesthetic appeal . upper hallway West Wing different low ceiling , bad lighting , dark wall ugly carpet . enter room , first realize enclose bathroom . bathroom sink first thing see follow two frosted glass enclose stall shower toilet . use facility feel charm use public bathroom stall shower local gym . shower stall towel rack inside require step shower entrance foyer get towel . room small comfortable . one window bed small hotel window . view nonexistent . carpet industrial ugly greyish blue / green / brown carpet use hallway . nothing appeal hotel room unless consider flat screen T.V . boise radio upgrade . bad , pay customer , management nothing address dissatisfaction . base experience , would recommend stay MGM Grand . FDP . 
 Oct 12 2009 	 great deal good hotel cater young people . 	 stay MGM Grand 27th September 1st October . 59 dollar night rate include 3 buffet daily wife . get Sunday morning 0900 tell room would ready hour . give room key card phone number call find room number . front desk concerierge never problem stay . short wait helpful personnel . room ( 11 - 322 ) clean , large nice . face New York New York could see Excalibur , Luxor Mandalay Bay . picture turn incredibly detailed little humidity air . buffet good never wait 10 minute line . normally one two minute wait lead table . server always hand get drink order . breakfast buffet good -- especially be free . lunch dinner buffet actually identical -- serve thing . always something good make meal . prime rib slice mercilessly thin pretty much waste time . crab leg peel - and - eat shrimp preside employee chef 's hat -- dole 3 - 4 small crab leg maybe half dozen shrimp time . Seemed kind cheap . many kind entree good overall buffet experience worthwhile . hotel huge , find could cut hundred foot minute trip avoid carpet pathway casino . Stick wall pick landmark direction want head directly towards . wear good walk shoe everywhere . pool complex fantastic -- nice clean plenty towel available . Backlot River ( Lazy River ) suppose open weekend per hotel website , find open every day stay . stay entitle us 2 inner tube rental . tube stick foot water wife ( five foot two ) find unable touch bottom tube . like unable navigate . find slot machine casino unrelentingly tight . cocktail waitress far . way everywhere Strip Downtown . see KA ( buy one get one free Players Club Card ) worthwhile . buy 3 day pass MonoRail worth money . easy take MonoRail MGM walk back . true MonoRail station pretty far strip . MGM way pool . last two night stay , upgrade ( 30 dollar ) Celebrity Spa Suite ( room 25 - 339 ) pretty much far away elevator could get . suite huge bathroom whirlpool tub . marble -- really nice . suite face east Tropicana airport . not know like view well partial strip view . find reviewer comment MGM cater young crowd true . average guest seem 22 - 32 year old , lot 4 man group twenty - something wander aroud . trouble drunk yell hallway . all , ' ve stay MGM not necessarily . old , will probably move Bellagio Caesar 's Palace right deal come along . problem MGM Grand good stay . 
 Oct 12 2009 	 great location 	 get back weekend Las Vegas . love location hotel able walk many hotel . wed MGM really great job . the pool area get really crowded want spot get early . the thing dissapointe want clean towel everyday reuse one already use . want clean one call front desk ask tell maid change everyday . even throw floor reuse . happy hotel . 
 Oct 12 2009 	 disappoint room . 	 maybe fact expect much more . perhaps illusion MGM Grand say - Grand ? book room two double bed , , husband two boy age 12 14.thus , four people . the room cupboard shelve unpack clothe tv work properly . we even book room apparent reason therefor key de - activate . good part hotel 's great location . 
 Oct 12 2009 	 everything need one roof 	 stay week get marry . staff hotel fantastic , bad word say whole experience . super clean , excellent facility , perfect . wedding staff also great . already look book go back first anniversary ! ! 
 Oct 11 2009 	 great except 1 thing ... 	 email send MGM 9/19 , w/ response 10/12.my friend stay recently want let know Julia Front Desk friendly helpful check we , Matthew also FD warm friendly well check . flip side , go dinner Sept. 8th dinner Studio Cafe service awful . friend order slider / shake blue plate special & amp ; order pot roast . Robert repeat order back . several minute pass Robert asst . server come drink , runner bring food , give turkey plate . point server order pot roast , say would get correct entree . friend eat slowly , we think plate would bring soon . time pass - notice table also scan floor , look . sit table 115 , overlook slot machine . point anyone come apologize , although Robert come say food would & quot ; come soon . & quot ; time meal bring , friend finish complete meal , dessert include . nearly 9:30 time get meal , quite frankly , irritated take long get meal . Robert drop check , ask speak manger . say would get he / she . time pass , manager . Robert come , ask anything could . tell happy amount time wait , think pay meal wait long time - entire time , apologize delay , manager ever touch table . Robert adjust meal , friend pay , leave . friend enjoy MGM , suite beautiful , enjoyable meal Emeril 's 7th , go spa 8th enjoy massage ( can not remember massage therapist 's name ) , would probably return , go back Studio Cafe . procedure guest ask speak manager , meal long ticket time ? associate teach apologize get manager ? another observation spa - tv guest suppose relax ? realize Top Chef Vegas , volume loud enough hear throughout spa except sauna / steam room . tv , pleased facility appreciate spa attendant give orientation - , name escape . overall , experience good . wish easy locate email address website rather via Facebook call 800 # . thank . 
 Oct 11 2009 	 bit disappointment 	 stay MGM one night quite glad not stay long ! stay signature couple night stay much much nice . we car arrive not feel car park well sign post . stumble almost accidently . free though , welcome . the reception desk busy not seem much queue system . appear jumble people surround vast number check desk . receptionist friendly get though . we stay 14th floor look towards Excalibur . room large appear quite dated . furniture look bit batter drawer door bite sticky . kettle coffee maker would welcome . WiFi free Signature Suites . our room rate include 2for1 Buffet decide try . ok , great . not think will go back ! overall , think well place stay Vegas similar price . 
 Oct 11 2009 	 Nice Hotel ... Convenient Location ; Great Value ! 	 MGM Grand everything great Vegas hotel . room clean , modern , definitely deserve 4 star designation receive . would recommend hotel ! 
 Oct 10 2009 	 one word .... amazing ! ! ! 	 probably one BEST hotel stay , Las Vegas . MGM know true mean customer service . hotel industry high expectionation , MGM surpass . Valet check - out everyone encounte amazing . one employee pass hallway casion say & quot ; hello & quot ; . fantastic stay sure last . Patrick front drive friendly knowledgable area , professional . excite book next stay MGM . thank ! ! ! ! 
 Oct 10 2009 	 Big Great . 	 spend 4 night , mid week MGM . room great . clean comfortable . good size well appoint . problem check see could problem depend time day arrive . large hotel problem deal volume people cater . forget quick chat concierge morning early evening . lined 10 deep . like everything else Vegas pay nose every little service . 
 Oct 10 2009 	 get great rate hotel lack pizzaz 	 room MGM enormous good view across New York , New York , Excalibur , Luxor Mandalay Bay give city bright light countless entertainment , MGM little dull . staff helpful perhaps little formal sheer scale building never reward short cut would get orientated - pool frustratingly far away restaurant arcade short cut could easily add basement shopping arcade main lobby beneath valet parking . say , get excellent deal room bed ( 2 queen big anything would get London ) really comfortable . present , central strip hotel would nicer give work around new development next Monte Carlo make south strip feel little isolated Bellagio / Caesars Palace / venetian etc etc be much MGM . thing MGM could do $ 5 blackjack table ... least day ... well guide play obscure game . sample buffet grand wok restaurant good , offer high quality food good value money seem rare strip . pay $ 59 night resort fee offer price MGM great bet . 
 Oct 10 2009 	 West Wing hotel - good theory much execution ... 	 let start say booked trip Expedia king size bedroom MGM Grand . deal crazy good airfare , show ticket ground transportation . , stay another party MGM Grand 3 year ago regular room experience room compare experience . arrive MGM Grand ( Wednesday night keep mind ) , offer r ( regular ) oom 2 queen size bed hotel room king size bed ' new ' West wing . West WIng bill we similar New York effiency style apartment . since anniversary , elect take West Wing room . first , enter exit main casino , take even long get room exit elevator walk wing West Wing hotel start - carpet differ , be know . luckily , room close regular wing hotel . husband find West Wing indeed 's elevator take directly outside West Wing bar ( one really ever -even late night ) take exit side street beside MGM Grand near tourist bus . whole area stick way , day , figure easy way get building . room - small , lie we , however really would appreciate structure around bathroom . bathroom water closet , shower vanity area . shower water closet frosted glass around - privacy way mask sound need potty time . luckily , tv build mirror bath area could turn full blast business . tv directly side wall opinion take much space build since would think new part hotel would flat screen . nope . probably suck ton energy , 's Vegas , right ? , th bed nice , desk side chair / table nice . room modern , style like . understand Vegas people spend lot time room , specifically stay would enjoy time . say impressed enough return MGM Grand . would least say West Wing . issue MGM Grand Wi - Fi $ 15 / day . riduculous hotel size . stay business Hilton Garden Inn Courtyard Marriot country never pay Wi - Fi . wish would know beforehand would not bring laptop , ju use iphone . not win big Vegas , not win big hotel choice either . 
 Oct 10 2009 	 would recommend rack rate ! 	 stay MGM Grand 4 night September . advertised , large hotel easy get lose . comment post , hotel seem cater young , beautiful drunk . check reasonably quick courteous , although check area quite disorganised guest form queue ' . large hotel strip well organise airport like set check mean first first check . MGM lucky dip get serve first . our Grand Tower room reasonable size two fantastically comfortable queen sized bed ( well ever sleep ! ) nice bathroom . request extra towel deal promptly . ask " high floor " non - smoking room get 28th floor . view rear property airport still quite nice . friend get smoking room 23rd floor fantastic strip view . smoking room absolutely reek smoke even light first time . room 28th floor reasonably quiet , although end hallway ' seem many room fill around we . hand , room 23rd floor near lift ( request ) mean many drunk pass hour . also adjoining door mean noise neighbour quite loud . the MGM Grand locate South end strip easy access Tropicana , Excalibur , NYNY , Luxor Mandalay Bay . spend night Vegas would recommend spend half time " centre " strip half south end . spend 6 night Bills Gamblin Hall & amp ; Saloon prior MGM ball there . eat ( particularly ) drink MGM Grand cheap , although food court get cheap eat . may lucky enough get " free " cocktail playing slot , however take forever arrive . tip cocktail waitress well seem help . there seem much " win " go slot department , however lucky enough win good sized jackpot . australian ' reading , need aware winning slot machine great $ us1200 tax 30 % ! ! ! ! tell tax could claim back Australia case . course casino ' fault , quite disappointing . plan spend cash gambling MGM affiliate property ( Bellagio , Mandalay , Mirage , Treasure Island , NYNY , Luxor , Excalibur ) , recommend join player club . allow accrue point towards accommodation , meal , etc . manage get 3 day buffet , 2 breakfast buffet , meal room service one night free accommodation accrue point . buffet acceptable , much choice compare other . however ' really complain pay . overall , think MGM Grand okay place stay provide ' pay rack rate . full price think well offering strip . look less expensive option good location strip , ' go past Bills Gamblin Hall Saloon ( see review ! ) final bit advice – ' forget walk shoe ! ! ! 
 oct 9 2009 	 great hotel ! 	 pleasantly suprise nice stay . check check quick . clean service spot . conceirge awesome help we get last minute cirque ticket really great price . overall would say would definitely stay . 
 oct 9 2009 	 good Stay MGM 	 stay MGM past always good experience . MGM great pool , good restaurant , great location strip . the complaint husband , dealer not always friendliest .... not really bother , big deal . all - in - all great time Vegas MGM , would definitley stay . 
 oct 9 2009 	 great conference hotel amenity ! 	 first time Las Vegas think lobby MGM Grand amazing center stage large life gold lion star ceiling . check breeze , not get room request ( high fooor corner room view ) . tell room block special rate request could not accomodate . say little disappointed room . comfortable clean , akwardly place mini fridge top service cart strange . window view casino roof bright green light illuminate hotel night , little annoying . not seem & quot ; grand & quot ; , expect . room service excellent food tasty . casino clean active . & quot ; mall & quot ; fun lot restaurant choice shop . pool complex lush clean . conference center million mile away hotel tower , terrible . could not go room check email rest minute becase far away . enjoy lion habitat . beautiful really get great view photo stick around little bit . studio 54 fun ! good trip . will come back ( business ) get room view . 
 oct 9 2009 	 Amazing Hotel 	 husband really enjoy hotel . large many amenity . enjoy restaurant , shopping , pool . hotel staff helpful friendly . room large nice view . also pay good rate room . 
 oct 9 2009 	 worth price .... 	 try practically every hotel Vegas stay MGM past . hard beat hotel value . pool well lay lazy river add delight . put walk shoe though place huge go anywhere within hotel tend hike . unbelievable restaurant offer great taste menu ..... 
 oct 9 2009 	 Wonderful Hotel 	 arrive hotel 9:30 Saturday thinking would store luggage room available surprise room ready . wait time check staff super helpful question . hotel huge provide we map helpful ! pool area really crowd Sat later week well many people . several restraunt choice well . overall would stay ! 
 oct 9 2009 	 great time 	 Loved hotel . great view unbeatable deal include buffet 3 meal day . wonderful . 
 oct 9 2009 	 west wing cheap cheerful 	 Modern room design weekender . stay 7 day , next time would ve spend bit stay somewhere middle & quot ; Strip & quot ; . MGM Grand fairly south end , still good . good price . 
 oct 9 2009 	 Vegas workhorse 	 first - timer Vegas would recommend place . be get something everyone : gambling can not really rate since not , amenity , get lot price . subject price , favor sign email notification MGM Grand website . pretty decent deal - least expensive rate ' ve see $ 55 . room not super amazing - like Mandalay Bay - basic thing . would downvote bathroom particular . need nice tub shower setup , place . entire complex huge prepared walking get pool & quot ; food court & quot ; spa tram . food court - neat little area get quickie lunch snack cheap [ er ] . show KA go - get big ol 5 STARS cause amazing . another great thing pool complex would even go far say well Mandalay Bay 's especially lazy river & quot ; adult & quot ; pool . spa & quot ; eh & quot ; . buffet pretty awesome . bottom line : be anything special Vegas 's still pretty cool great thing : pool , food court , price . 
 Oct 8 2009 	 MGM Grand meet expectation 	 stay five night Grand Tower 100 % satisfy every aspect stay - except $ 14.95 / day internet access fee . room near perfect - clean , modern , well appoint - nice large bathroom good tub shower . king bed quite comfortable individual thermostat keep temperature room exactly want it . great location South Strip , right across New York , New York . great monorail station right next MGM Grand easy monorail access . want save buck , take shuttle airport hotel , go back airport , take cab . 's close enough airport taxi fare less shuttle two passenger return trip . the staff contact friendly , knowledgeable helpful . high cost internet access , absolutely complaint would love stay MGM Grand return Las Vegas . 
 Oct 8 2009 	 nice place stay especially first time trip . 	 really enjoy hotel area . business unhappy walk distance room conference area . blister ! ! ! convenience nice lot thing close . check staff could little friendly rude either . good experience . 
 Oct 8 2009 	 really enjoy stay MGM . 	 MGM Hotel staff great . arrive 2 pm room ready . room clean bed wonderfully comfortable . bit crowd people Labor Day Week - end , watch Holidays . location great except construction CITY CENTER Resort street . 
 Oct 8 2009 	 Stuck 90 	 MGM Grand great hotel , pack ton guestroom , endless entertainment fun food option . however , decor totally outdate . stay Celebrity Suite , huge , totally stuck 90 . 
 Oct 8 2009 	 stay suite avoid West Wing 	 celebrate Honeymoon MGM Grand Hotel Casino stay West Wing . room small dark tower occupy West Wing . would recommend people stay hotel , get suite . lion great fun miss greatly . 
 Oct 8 2009 	 magnificent scale yet practical family six MGM Grand grand ! ! ! ! ! ! 	 room nice size tastefully decorate . love Lion 's Den could not resist stop watch every time would go past . pool wonderful lazy river ! ! negative tube cost $ 16.00 piece per day rent . wait around till afternoon someone usually leave one use . not want wait . give family three child go really happy ! ! find affordable food fine food MGM Grand . family 6 great McDonalds get quick , cheap breakfast . hotel clean employee try hard make everybody happy . everyone come contact wonderful , lady front desk , gentleman get car . helpful go beyond would normally expect ! love stay would stay ! ! 
 Oct 8 2009 	 enjoy stay 	 use check - in counter LAS airport wait luggage & amp ; avoid check - in line hotel . hotel large . breakfast buffet good deal price & amp ; offer variety . hotel room clean comfortable . concierge helpful always line . 
 oct 8 2009 	 great Time MGM ! ! ! 	 finally decide take trip Las Vegas kid , settle MGM Grand , primarily lazy river feature pool , along on - site attraction . first , lazy river big hit , despite rather costly innertube rental price , great time hang river water fall . kid age 8 , 10 , 14 , be sometimes tough find something want , pool area MGM really something . as far dining concern , eat buffet , Rain Forest Cafe , time on - site fast food counter ( McDonalds , Starbucks , etc . ) exception stomach indigestion eat Rain Forest Cafe , everything par . even without stomach pain , would avoid Rain Forest Cafe future give quality food vs. rather high cost . decoration interesting first 20 - 30 minute , be it . our room 2nd high floor , good view strip . decent amount space , although originally ask roll way bed , decide since rather ridiculously price $ 35 / night ! air mattress bring along take care . aside roll way bed , stay incredible promotion provide food credit , drink credit , spa credit , gaming credit , etc . room would great value even not receive perk . already plan return visit . 
 oct 8 2009 	 Great 	 stay MGM Grand 30th birthday August . great hotel , great service . pool awesome . especially lazy river . spend time ! 
 Oct 8 2009 		 tv set furniture pretty old . hotel bit far away center strip , pretty long walk . also , hotel large , take long walk room garage . 
