clean 	 arrive New York train hotel locate couple block Penn Station , location convenient . price reasonable staying city . room clean ( always top priority ) .The front desk staff friendly . breakfast include room include buffet cereal , fruit , bread , pastry , coffee , egg , etc . busy breakfast rush , problem find table . wireless free work great room . my complaint noise level room . could hear everything hallway . neighbor room night could hear door open slam shut every time . 
 Jan 1 2009 	 great location inconvenience 	 stay hotel weel general , satisfied stay . walk distance lot place attraction , well bus , train subway station . restaurant close also plenty store . the breakfast morning always warm , fresh good , although hard find place sit day , take breakfast bedroom . also , always coffee tea available lobby . couple thing satisfied . one heater bedroom loud didn´t get one night good sleep , even use ear plugs , sensitive sleep , don´t recomend take risk . complain heater father´s bedroom loud tell turn ... much help , consider december I´d rather sleep bad get cold vacation . another thing satisfied room service inconsistent . 7 day , didn´t get toiletterie clean towel , tea coffee bedroom 2 day . bedroom always clean bed make , forget leave clean towel 2 7 day think thing mention . also complain reception get wake 6:30 clean towel . besides two thing , would recommend hotel location , breakfast fact neat clean . also , must say street locate feel quite safe , think important plan go back hotel night . 
 Dec 23 2008 	 Great Location Great Customer Service 	 able get room six night two double bed reward point family trip . find location great . stay Holiday Inn Express hotel quite state use wonderful breakfast serve . hotel space bit small never trouble get table . room clean . people front desk go way helpful gentleman concerige desk . thing would probably different go back get two room . warn many friend room New York good bit small accustomed . true ! however family four manage make six day little organization . helpful tip use travel would take clear Door shoe holder bathroom tolietrie , curl iron . help clutter give little counter space . 
 Dec 21 2008 	 great place great rate ! 	 return weekend get way NYC . first time . family love trip . sight sound NY wonderful . hotel great ! room huge 's ny not expect big . clean , hallway quiet hot breakfast outstanding . close everything . not know navigate city front desk staff could not nicer . give we map , tip travel , recommend route etc . friendly efficient check check . truly great stay visit Holiday Inn Express . 
 Dec 21 2008 	 back .. 	 fantastic stay , stay day thanksgivingspotlessly clean breakfast welcome surprise 
 Dec 19 2008 	 Excellent 	 stay 24th-30th November . sister book two room request next door , . check super quick staff always helpful friendly . double room room lovely . be huge tiny either . perfectly fine clean well daily basis . breakfast good plentiful - lot cereal , fruit , yoghurt , toast hot item ( egg , sausage , pancake .... ) , be true , breakfast area small get crowd . get table every time eat hotel 's bad . good thing hotel 's location - 5 minute away MSG Macy 's . lot walking also take subway quite time 's 2 minute walk Hotel . basement also 3 computer connect internet use free . 
 Dec 11 2008 	 Great Little Hotel 	 room small , clean modern . three stay three room . problem . breakfast terrific . expect stale roll coffee - not know expectation low ! everything really good large choice . hotel not favorite location , easy get subway , taxi , short walk Times Square . finally , concierge extremely helpful . actually , entire staff wonderful . rare thing New York ! would stay . 
 Dec 10 2008 	 Beware Rip - off Artists ! 	 book location business week Thanksgiving first day December . client change trip date we hotel would let we cancel . even though call full week plan stay tell could allow cancel room ( like would ! ) . billed $ 550.00 cancelled ROOM never use . we Manhattan able rent room . the holiday Inn NYC MSG basically steal $ 550.00 . beware ! 
 Dec 5 2008 	 Great Customer Service 	 enjoy receive excellent service . room expectation , front night auditor suggest another room decide keep one assign wait request . receive ask enjoy stay . entire staff nice , top early breakfast free hot enjoyable .................. love stay ! 
 Nov 29 2008 	 great location good price NYC .... breakfast 	 good price Priceline NYC . room bit small , expect NYC . hotel seem clean , staff helpful . ' ve stay couple time complaint . breakfast good . pleanty space . free wireless internet . 
 Nov 19 2008 	 bad hotel room ever stay . 	 reserve suite king size bed Jacuzzi tub Holiday Inn website . discover friend would travel add comment reservation ask 2 double bed place king suite . call hotel receptionist say get request would try accommodate request ask get hotel follow week . arrive early check Saturday , October 11 , 2008 , receptionist say room double bed available return check time get room . return hotel 6:00 p.m. check . new receptionist say double bedded room way accommodate we put we wheelchair accessible room queen bed request roll - away bed . ask get we roll away bed right away ensure would place friend sleep . go downstairs subterranean level room 102.as get elevator , shock entire hallway block huge laundry bin dirty laundry pile throughout floor space . clog employee sort dirty laundry lift luggage pile we climb get room . hallway smell like disgusting wet towel sheet . filthy ! unfortunately , since double bedded room since hotel completely sell ' option stay room . that night , middle night , worker outside hallway loud . friend ask quiet , apologize . half hour later noise start . come discover next morning employee break room next room employee bring small child work . could get hallway without assistance employee luggage , absolutely inconceivable disabled person wheelchair could possibly navigate pile dirty laundry bin take hall space . violation law govern disabled access . encourage hotel investigate solve issue future disabled guest . forward complaint hotel twice follow . still receive response . hope experience serve warn future traveler ! 
 Nov 10 2008 	 great little hotel ! 	 Holiday Inn express terrific value locate couple block south Madison Square Garden . neighborhood not prime , within block restaurant , bar shop ( Macy 's Herald Square ) . arrive super early morning , able store bag ( charge ) hit Grayline Uptown / Downtown Loop Tour ( great way get lie land ) . return hotel , check go room . room quite small , spotlessly clean nice , new - look bathroom . slight bit noise Saturday night ( sound like dance club nearby ) not loud able put earplug sleep away . complimentary breakfast hotel extensive -- delicious ! ! omelette , sausage , biscuit , cinnamon roll , bagel list go . 's 5 star , , great place -- highly recommend ! 
 Oct 20 2008 	 kind polite pretentious 	 everything property expect thing we´re even well . almost instant response front office email concern detail rate choose arrival perfectly line everyhe else : kind polite , pretentious . everyone meet hotel we´re wonderful job like ! you´re think stay hotel , you´re probably look luxurious option New York City plenty offer , good basic accomodation reasonable price . I think one good one gategory quitepossible we´ll stay future especially stay Chelsea . 
 Oct 15 2008 	 great hotel great location 	 HI Express Madison Square Garden great hotel . conveniently locate 1 block red line subway stop near Macy 's , Penn Station great restaurant . continental breakfast great , include hot item addition bagel , donut , muffin , cereal , etc . complaint - request cot make reservation call confirm , get tell room not allow cot , handicap accessible room . also , room 411 , right behind elevator shaft . think make room quite bit small also somewhat noisy sound elevator . overall , great hotel great rate ( pay $ 200 night Columbus Day weekend ! ) . 
 Oct 14 2008 	 Great Location 	 big fan hotel . first positive : breakfast good , good selection food ; location excellent , 28th street stop 1 train block away Penn Station 5 block ; lot food bar option immediate area ; room ok sized , NYC standard ; staff great ; street relatively quiet NYC . negative : would reccomend stay low floor , 2 elevator whole hotel , wait could stretch 4 - 5 minute busy time ; also breakfast area terribly pack , make difficult find seat get food . overall , good value great location . 
 Oct 12 2008 	 Oct. 2nd 3rd 2008 	 Breakfast fantastic . room clean . staff pleasant helpful . guest quiet friendly . would highly recommend Hotel . 
 Oct 8 2008 	 Loved ! 	 husband get back spend 5 amazing night New York . book stay Holiday Inn Express last minute cancel pre - booked hotel - Hotel Pennsylvannia ( thank god ! - review hotel really bad ! ) . really happy Holiday Inn Express Madison Square Garden . first night , place first floor right next lift . unfortunately really nosiy , especially everyone come breakfast morning ! however , notify front desk issue , kindly move we 7th floor lot well ! room great size clean ! provide ample towel nice little cream shampoo . tv huge major channel nice break long day sightseeing shopping . add bonus stay hotel morning breakfast . Whilst 's gourmet buffet , toast coffee really hit spot ! also mean not go wonder city breakfast morning . location good , consider spend time Time Sqaure towards Central Park , long walk back . not much around Madison Square Garden , Macy 's locate 3 block away . overall , would definitely recommend hotel look short break New York . whilst people say hotel place sleep , really make difference nice clean room comfy bed pillow . enjoy ! 
 Oct 7 2008 	 Great Business Travellers 	 nice hotel block south Madison Square Garden . block Red Line ( 1 ) make extremely easy get Times Square , Wall Street South Ferry . the room small clean quite nice . would give bed 3.5 / 5 comfort . the problem advertise & quot ; High Speed Internet & quot ; never run fast 2k ( be 1/14th dial - up speed non - technical ) . web page would rarely ( ever ) load speed technical support ( us business traveller ) impossible . pack laptop haul street find coffee shop reasonable connection ( pay ) . would nice option pay fast connection INSIDE hotel like many hotel provide . but traveller vacation , would stay without hesitation ( probably next visit ) ! 
 Oct 5 2008 	 enjoyable stay 	 will try put nutshell . customer service exceptional throuhout hotel . staff always curteous never keep wait . check fine problem . room clean well stock towel , toiletry . good selection tv channel , Clock radio mp3 attachment nice touch like take music . would describe size room cosy . long plan move month two room plently storage / wardrobe space week stay . bathroom compact drama use . room back hotel tend quieter night . say , hotel set main road 's much noise anyhow . express start breakfast winner ! need get energy walking , shopping business need . early riser wait morning stay .Do not let mention cue other put . get early ! breakfast coffee / tea section keep stock day complimentary guest . get around perfect spot . subway 5 minute away matter way head . empire state , Maddison Sqaure Garden , Times Square Macy 's around corner . long walk downtown Brookly Bridge . take nice take look Chelsea Grenwich village way . hotel represent excellent value money compare hotel Manhattan . little tip , become priority club member book . seven night stay enough point free night stay somewhere already . also , priority club member hotel deliver breakfast room . also get paper door . oh nearly forgot . hotel free broadband room not computer three cellar level guest use . would reservation book hotel . 
 Sep 25 2008 	 Good Location Great Stay 	 husband visit New York first time Sept 2008 . choose hotel much research . really good value , great location , much recommend traveler . get hotel 5 hour check allow we stow bag leave sight seeing . come back 4 pm check . staff friendly helpful . lobby clean stylish . check fast , put room specifically reserve . room clean nice . bathroom touch small , managable . high maintainance kind woman might put size bathroom , , not bother . bed comfortable , tv good , bathroom product many lovely . lot space put clothe . stay 3 night never kind negative experience . staff helpful . help we find good way get point b assist we numerous time . business center 's internet . need look time event attend staff actually look we front desk . impressed customer service . able stow bag hour check well . subway block hotel . neighborhood seem fine . walk back hotel late every evening never worry neighborhood . impress every aspect . would go back . 
 Sep 25 2008 	 good find NY ! 	 decide hotel trawl numerous brochure , website review Tripadvisor , disappointed choice . situate one block near subway street Penn Station , reach anywhere hotel little time really . good way get around Manhattan foot however , make sure take good pair shoe walk . hotel Macys/ Madison Square Gardens/ Empire State Building within 5/10 minute . Times Square straight walk hotel 7th Avenue 10/15 minute . hotel , everything expect Holiday Inn Express : clean , adequate accommodation , friendly staff , buffet breakfast . breakfast area get busy , eat anytime 6 - 10.30am , wait table , couple minute . family room two double , nice , large bathroom . wardrobe space could big , plenty drawer space . room view Empire State Building street quiet evening , noise air con , control . New York amazing city already plan return visit next year . would hesitate stay hotel . 
 Sep 6 2008 	 Excellent stay good value money 	 ' m picky come hotel , one really good value defintiely exceed expectation . room quite large NYC , bathtroom big . location excellent , walk anything really . Breakfast also include good value , much well continental breakfast . book low rate get room next reception , worry go noicy not . however , morning smell like fresh bake good due 's proximity breakfast bufet ! would feniteiyl recommend hotel . 
 Sep 1 2008 	 agree positive review 	 great base see NYC . subway station one block away take uptown downtown . empire state 10 min walk . Macys similar . Madison Square garden 5 min . totally agree positive review would always recommend . tip british visitor ... US Holiday Inn Express 's ( stay many ) tend much well full service Holiday Inns rather opposite th UK . would always recommend stay Express full service . 
 Aug 28 2008 	 pleased ! 	 Flew NY job interview place really helpful staff . need help computer printer downstair jump fast help . downstairs tell bulb burn room replace get back elevator room . front desk people always really nice . room nice . love football leather chair desk . nice cozy king bed room . bed take good part room , look really nice inside serve function well . appreciate iron board iron hair dryer . breakfast really nice yes , get crowd downstair breakfast time nice choice egg , sausage , cereal , oatmeal , coffee , oj , cranberry juice , apple juice , yogurt , sweet roll , toast , bagle , whatever . please choose place . little mini - Staples Office Supply Copy Center right corner block -- perfect forgot item business presentation -- small thing like paper clip , notebook , printer ink , sheet protector , tape , pen , whatever , right block wonderfullly locate Holiday Inn Express . place comforatble -- especially nice town visitor feel safe place ' ve hear . not expect much arrive pleasently surprised . 100 % stay ! 
 Aug 27 2008 	 Helpful Staff Good location - noisey weekend 	 stay hotel either side cruise holiday . say first visit New York , hotel ideally locate . staff polite helpful re - inforce review read breakfast situation . basically crowd . real gripe second stay weekend ( 15th & amp ; 16th August ) arrive late back hotel night awoken load music assume nearby disco . loud thump bass noise finally subside around 5:00am ! ! ! ( room 417 side hotel ) .This say would recommend hotel judge busy whole time message spread fast . 
 Aug 19 2008 	 totally satisfied ! ! 	 O.K . be N.Y. budget need centrally locate accomodation affordable , can not beat . sister get amazing rate ( not know ! ) able walk midtown sight , shopping , Broadway , beyond . venture beyond , able cab back quite affordably . foot tired ! room compact , newly refurbish , comfy bed , super clean noise , noise , zonke day sight see shopping notice . Breakfast include , sure breakfast seat area tight , biggy take plate outside sit bench conveniently locate front . defintely nothing complain . , go Park Plaza Waldorf pay big buck . staff courteous helpful , even give we later checkout , charge . Monday many guest leave day . goes show willing help . take shuttle bus back JFK prefer location 4 pick - up shuttle van make way Airport . sister comment money save cab fare accomodate location . exceed expectation ! 
 Aug 15 2008 	 great location NYC 	 read review ot hotel leave NYC . mix . love hotel , location , people work well ! ! breakfast great . like walk , , place perfect Manhattan . centrally locate Times Square far away Penn Station / Madison Square Gardens right around corner . room small perfect solo traveler . two people would comfortable also . see many family child stay there . the price good ..... location ! 
 Aug 13 2008 	 Great Place 	 first trip New York ten year old grandson . hotel walk distant Penn station . staff friendly helpful . room small , comfortable clean . morning breakfast popular traveler . opt grab cup coffee piece fruit rather wait table . hotel conveniently locate allow we walk many site . would recommend anyone look good deal .. 
 Jul 27 2008 	 Nasty rude reception 5 	 wife son stay 3 night 24/25/26 July 2008 . small room clean new well look . convenient location us theatre district . nice we overdone cook breakfast extra bagelsl etc . the breakfast room crowd bad Penn station . our complaint surly receptionist one 5 head JFK airport return London , check in . the african american check 5 26th July bloody rude wanted & quot ; complete audit & quot ; whatever mean ask could send bill fax ignore fair period rush JFK airport . get print go rudeness 5 something could do without . 
 Jul 26 2008 	 great find NYC 	 stay Holiday Inn express one night embark Canadian Maritime cruise . need two room group 5 thing room 5 NYC . husband enough Holiday Inn point able secure two room point . saving least $ 600.we two room - smoking . one king bed two double . room immaculate although really small . bathroom nice size enough room storage night . the front d staff helpful pleasant deal . breakfast next morning enough . true other say - get crowd someone grab table first get food . see many people stand around something eat . bad eat area could not bit big . all nice stay NYC - would recommend anyone . 
 Jul 10 2008 	 bad room nice people 	 O.k . - not book room . job . basically idea stay . ' m hardly ungrateful since room pay we . state , probably would stay . even New York standard room small . barely space bathroom closet- small dresser . hard even move room ! ! room noisy view look dirty alley outside . stain carpet well . plus side , bed comfortable . staff also really , really nice . genuninely really good helpful people . shame room unclean small staff sweet attentive . btw , free breakfast morning crowd . get seat early ! location convienent Times Square . 
 Jul 5 2008 	 Unhappy ... 	 overall stay o.k .. hotel clean , room small . good deal seein beatiful city . booked room double bed get room one king . front desk nothing fix problem . say room available , go back front desk see could do , guest offer ask ! ! ! ! O.K . hotel never stay ... terrible costumer service ! ! ! 
 Jul 4 2008 	 Location location 	 never visit NYC , everything book shoot dark . fly Newark plan get hotel NYC . luck would train run airport Penn Station - 2 block away . hotel also walk distance Times Square course subway ( block away ) take anywhere . explore nice clean comfortable room come home . be big measure everything need . 
 Jun 26 2008 	 pretty good overall 	 Holiday Inn Priority Club member book hotel use point . small ( many NYC ) clean decent bed bath . front desk concierge pleasure deal helpful . park relatively inexpensive area 24.00 per night hotel stamp . real downside noise level escalate ungracious guest housekepe around . adequete breakffast free stay . gem look clean moderate place put head fabulous activity great city world 
 Jun 22 2008 	 GREAT value GREAT LOCATION 	 & quot ; girl trip & quot ; first time NYC . not want spend money hotel , time , not want sacrifice safety either . perfect hotel accomplish . central location make easy get attraction quickly , also easy walk almost anywhere ! walk Ground Zero way Greenwich Village Soho see neighborhood , not much trouble . ( not somewhere quickly - take ! ) also easily walk Times Square Theater District , Rockefeller Center , Empire State Building , Central Park . hotel nice enough - comfortable clean . breakfast big plus - way continental ... fact , many hot item morning , count cinnamon roll start day right . eat hearty breakfast , could skip lunch nice dinner . staff helpful friendly , especially male concierge working bellstand morning arrive . store bag help we map could go hit city could check hotel . obviously , much nice hotel city , would rather spend money fun eat well , great find .... could tell staff really want make experience pleasant build repeat clientel . two woman travel together , never felt threaten safe ANYTIME NYC . alert smart , everything fine . 
 Jun 9 2008 	 fantastic Stay ! 	 stay one night June 6 . town Broadway show want average place crash walk city . pleasently surprised find hotel 4 block Madison Square Garden , yet quiet section west 29th quaint , hipster - ville Chelsea . king size room normal - nothing super fancy , clean , enough room actually walk around without climb bed . construction go anywhere , suprisingly low amount outside noise . the free breakfast nice . egg , sausage biscuit gravy , toast , cereal , oatmeal , juice hot cinnamon bun . nice thing long agree store bag even though already check ! say would keep bag 11PM ! know NYC hotel store bag , long . pleasent . the number one reason love fact call second night 's hotel midnight tell leave i - pod dresser draw ask could check see still . not high hope would happen , woman front desk go get I - pod take address , assure we would mail day ! ! Penn Station right street , convenient subway line take Chinatown / Little Italy . avoid overly price Stage Deli around corner , try Super Mac , awesome & quot ; variety & quot ; mac cheese joint . love clothe , walk Herald Square ( W 34th ) shop Daffy 's , designer 's discount store . 
 Jun 4 2008 	 Wonderful Hotel 	 stay 4 night hotel Husband & amp ; Son really love it . have stay New Jersey 2 night prior upon arrival slightly worried area . no need perfectly safe . room spotless , slightly small ( 2 DBL Beds ) hey NY , Bathroom lovely too . breakfast great little crowed 0900am nice variety begin day . Macy 's five minute walk away everywhere within easy reach . coffee maker room complimentary tea & amp ; coffee available day lobby . internet available also . find staff helpful particular Joseph hotel 's day concierge . Joseph extremely helpful plesant occasion far exceed duty . I trouble buy ticket Yankee game ( Son see old stadium close ) book site could complete credit card billing address Ireland . e - mail , phone etc ... etc ... prove impossible . I resign go go Bronx without ticket may really disappoint . as head day Joseph enquire get ticket explain offer put ticket debit card could pay , do . we ecstatic , enjoy game , ( sure scoring work ? ) atmosphere brilliant home run also . Joseph travel know see game mean , kind help we . by time leave hotel feel like home . highly recommend hotel NY trip . 
 Jun 1 2008 	 nice stay great location .. 	 really nice room little big expect NYC -- clean new . drawback sleep one morning maid start slam door 9:30am . really obnoxious , not stay want sleep til noon . otherwise , great stay . contract parking garage 3.5 block away ( $ 24 ) , u - drive , u - park , u - walk ! staff pretty pleasant professional . one great perk three computer & quot ; C & quot ; level internet -- free ! , nice stay would great door - slam maid . 
 May 19 2008 	 Great Location Staff 	 love location , 5 min . walk Penn Station , 2 min subway 27th st . staff excellent , hotel clean comfortable . breakfast bar crowd small amount people use , though . 
 May 18 2008 	 Excellent hotel 	 Martin 's Travel Rule 1 ( well one , anyway ) never ever stay Holiday Inn Express . new addition rule no1 - except one . be pretty good . clean , modern free upgrade room whirlpool bath large NYC standard comfortable . maybe little beat path tourist Chelsea charming sight easy walk . work equally well business hotel workdesk , free wi - fi room decent enough business centre budget hotel . reception extremely welcoming , fast efficient staff . definitely stay especially 's 10 inute office . 
 Apr 29 2008 	 Great Location Great Hotell Great Breakfast 	 think fantastic hotel . okay , room small side . however , amenity great . bathroom bath shower free toiletry extensiv high standard . complimentary breakfast really set day 's exploring . can not believe variety quality food provide plus free tea coffee proviide thoughout day . everything fruit , yogurt , bagel muffin sausage , hash brown egg vary daily . Madison Square Gardens literally around corner Macy 's five minute walk away good transporting package back hotel ! would 10 minute walk Times Square . find reception staff good . one recommend chinese close ( arrive late night ) really good . 
 Apr 19 2008 	 1st stay NYC stay ! 	 stay Holiday Inn Express Manhattan - Chelsea / MSG greatly exceed expectation . sincere friendly knowledgeable service front desk , fast efficient luggage check - in / out extreme cleanliness facility , breath fresh air . travel extensively year without doubt breakfast offering well experience give " hotel stay " ! delicious , varied change every day . time save ( $ $ ) welcome NYC ! internet room make great access e - mail check business . need laptop . use exercise equipment , need available time . facility validate parking recommend secure parking ramp save we even money ! 1st trip NYC . negative room small . matter though space efficiently use plenty storage . doubt mind look stay would highly recommend other also . 
 Apr 18 2008 	 Beat expectation 	 two friend stay begin April happy stay . arrive hour half check - in immediately tell could go straight room ( 12th floor nice view Empire State Building ) . staff friendly happy help query . the location highlight , 3min walk Madison Square Garden near subway station . walk place anyway , Times Square around 15mins away , Macy be around 5mins , Central Park around 45mins walk . the room everything need , modern , clean nice bathroom . breakfast include bonus , fair enough selection limit , free , expect ? ! also 3 computer free use handy thing like check flight online . on final day bag store free charge we check helpful . overall , price pay hotel excellent value ideal anyone visit New York limited budget . 
 Apr 5 2008 	 disappoint all - around 	 fairly familiar Holiday Inn brand , own chain ( InterContenintal Hotel Group ) , unfortunately say location par . trying remain objective ' rant ' , breakdown highlight recent stay : room ready promise 2 pm ( regular check - in 3 pm ) , request early check - in & amp ; ' m also gold member hotel 's frequent guest program . upon check - in , interatce throughout stay , checking - out , none staff pleasant . the whirlpool room ( pay extra ) working , take two maintenance worker 45 minute noisily repair . also , glass partition bathroom bedroom rattle loudly . also low water pressure shower , shower curtain tear mouldy . another problem include : phone beside bed work , room miss & quot ; Disturb & quot ; sign . notify , staff nothing ..... cause housekeeping staff wake let around 8am . overall hotel though ........ location bit & quot ; beat path & quot ; , would recommend travel alone night area . hotel close Madison Square Garden , 5 - 10 min . ride subway away main tourist area/ Times Square . the hotel lobby hallway seem fairly clean , well - keep ( although room need bit plaster & amp ; paint repair ) . exterior entrance area also presentable . one major benefit ( available Holiday Inn Express location ) & quot ; express start & quot ; breakfast , consist unlimited hot food drink charge . another plus store bag extra cost room ready . overall , would stay would recommend hotel anyone know . however , would highly recommend Holiday Inn Express uptown one , Fifth Ave . 45th .... far superior impressive . 
 Apr 2 2008 	 nice expensive 	 ny see Bruce Springsteen Madison Square Garden location could not well . the check work fine , safe deposit reception well baggage storage day check out . the room usual New York big , rather big bathtub actually jacuzzi - nice surprise ! tv usual cable channel . in New York not spend much time room , great bed sleep least . ' m happy that . the breakfast ( include , rare city ) one well . environment friendly one time - use plate glass , apart good . different bread , cupcake , cereal , fresh fruit juice . juice coffee available 24/7 , perfect come back long walk . when leave airport great hurry . ask order cab , gladly - extra fee $ 25 ! tell take cab street would cheap , not time chase one . really bad hotel price rather expensive even New York . hotel stay 2005 call cab , extra fee . lower grade hotel , be great except . 
 Mar 13 2008 	 good reliable base New york tourist 	 hi hotel offer good facility great position tourist visit New York . single traveller king size bed room plenty big enough need hotel room .. sleep ! . bathroom perfectly adequate breakfast whilst nothing special enough kick start busy tourist day . the situation hotel good easy access subway system . talk resident 's quite clear rate vary massively check many website possible booking . Foodwise 100 yard opposite side road indian cafe Sagwat , first rate cheap indian basic food highly recommend . 
 Mar 11 2008 	 great location good value ! 	 Holiday Inn Express , MSG , NYC good bargain wish close everything Big Apple . location , 29th St , perfect shopping sightseeing lot interesting thing around . the hotel average . room may bit small , cost high enough , be nice clean building new . also free internet access well free breakfast . hot cold food serve every morning 6 - 10.30 's good breakfast . cereal , bagel , yoghurt fruit well omeletts , sausage pan cakes menu . I would definitely stay Holiday Inn Express MSG ! 
 Mar 11 2008 	 Clean Friendly 	 recently New York City church conference . receive discount rate $ 209 per night king bed . take M60 bus # 2 train Penn Station . hotel easy find ; 5 short block Penn Station 4 short block Madison Square Garden . although arrive hour early check , room available . front desk worker polite . room clean . room funky odor wear furnishing . bed moderatly comfortable miss comforter . thin blanket cover , two standard white sheet . room warm blanket work fine . bathroom small clean . housekeeping clean room well afternoon . hotel offer okay breakfast morning . breakfast consist three juice , coffee , biscuit gravy , egg , doughnut , forth . want something , plenty starbuck coffee shop around ( every corner almost ) . also cafe call Bread Factory locate 35th 36th . Holiday Inn Express ideal visitor want deal mind 5 - 10minute walk visit Time Square . need close Madison Square Garden , hotel call Affina directly across street . short walk 29th 33rd street bad . highly recommend newly rennovate hotel . 
 Mar 6 2008 	 Affordable Comfortable 	 look afforadable hotel good location , fit bill . room small comfortable . the breakfast gourmet , include room rate , convenient , enough variety meet everyone 's need . little crowded hectic , overall acceptable . the staff seem friendly . location great transportation . short walk Penn station either Penn Station 28th St subway . we get room $ 133 / night , seem like bargain NYC . 
 Mar 5 2008 	 exactly describe TripAdvisor 	 look hotel New York within walk distance Madison Square Garden , choose Holiday Inn Express mainly base review TripAdvisor . must say , spot . hotel relatively reasonably price area , clean , nice breakfast , room ok size , comfort offer nice . garden short walk away ... need mid - town Manhattan , hotel much worth check ... 
 Feb 28 2008 	 great deal good location easy trip ! 	 stay HIExpress near MSG 2/78 - 2/11/8 . receive rate $ 90 priceline FANTASTIC area massive dog show town hotel pricey . this 2nd Holiday Inn Express ' ve stay , find service quite good again . we arrive early fly red eye , room not ready ( 3 pm ) . check bag free , give map suggest place nearby check lunch wait . we find front desk concierge staff helpful .. ask ton question look good restaurant . hotel : well locate , nice street ... locate middle bunch fur wholesaler . central 3 train line , perfect sightseeing get area city . close enough walk MSG many shopping area . walkable time square well . the free business centre really useful , open hour free printing . ( great make reservation print hard find map ! ) breakfast varied , different combination bake good couple warm item ( egg , omlette / hardboile / scambled sausage ) . good bagel first day , not see . nothing exciting , not really refill anything be busy not early may miss . save $ ! room fine , not think small many people mention . ' ve see MUCH bad ... yes would probably uncomfortable 4 . big bathroom , good toiletry . iron room . comfortable bed bedding . the problem really run nothing hotel really .. guest . due dog show many dog & amp ; owner stay hotel bit noisy due thin wall . wake 4:30am noisy neighbour prepare leave show . hotel try help post sign ask people curb dog . overall , value high hotel . get good deal , be completely worth location alone . 
 Feb 19 2008 	 great value 	 stay four night , $ 80 / night Priceline - incredible Midtown . room clean , staff friendly - good . 
 Feb 19 2008 	 Perfect location . 	 NYC NHL game MSG . also take train NY Penn Station Newark Penn Station another game . Holiday Inn Express Madison Sq Gardens perfect we walk back night game ( 2 block ) .Our room small side everyone say , ' ve small . not big wheely suitcase not seem bother we . would say 's fair , economical size . desk chair , coat cubbard / closet tv armoire drawer along one side bed table opposite . it clean comfortable . quiet except neighbor 's door . door slam neighbor not considerate . door right next small hallway might increase noise bit . bathroom shampoo , lotion , mouthwash etc . wall mount hair dryer . the subway # 1 # 9 round corner 7th Avenue , ever popular Duane Reade pharmarcy across street . eat two local Bar & amp ; Grills ; Mustang Sally 's Harrington 's . enjoy dinner . will definitely return hotel . one suggestion traveler use NYC transport - driver not know location hotel , make sure ! seem like may familiar another Holiday Inn , say 29th 7th 8th , seem surprised . 
 Feb 18 2008 	 Great 	 stay Holiday Inn - Madison Square Garden January find expect . seem like somewhat bad neighborhood first get , realize really nice area city seem Times Square part midtown Manhattan / Central Park area . price pay ( $ 113 / night Hotwire.com ) , worth stay . never spend much time hotel room vacation anyway , use room sleep , shower , eat breakfast . room somewhat small - not alot room move around store luggage . basically big enough bed , desk , entertainment center . breakfast great ! expect small cold toast - bowl cereal continental breakfast , far . different meal everday , consist everything omelette biscuit & amp ; gravy pancake . good . staff nice , housekeep great , hotel clean . another great thing hotel location ( usually pick hotel ) . view top Empire State Building room , site see , especially night . block Madison Square Garden , center Manhattan 30 - 60 minute walk tourist part Manhattan , subway also block away use get pretty much anywhere go . cost $ 12 / person 5 day . thing wish different hotel fact pool , however , Holiday Inn Express usually pool , can not complain particular one . also complimentary newspaper , free internet , vend machine , coffee / hot chocolate / juice kitchen 24 hour , within walk distance convenience store good place eat . would recommend hotel anyone . 
 Feb 17 2008 	 great value ! ! 	 head NYC burb see band love want affordable place crash late night . Holiday Inn Express fit bill perfectly . check - in quick easy priority club reward member receive complimentary bottle water chocolate . pay $ 129.00 + tax non - smoking , king bedroom 9th floor face 29th . room clean bed make comfy upgrade bedding find Holiday Inn express . room small side adequate bathroom super clean perfect need ( include usual amenities- shampoo , conditioner , bath gel , bar soap , lotion , mouth wash show cap ) . complimentary breakfast include usual HI Express item ( cinnamon roll , toast , muffin , bagel , fresh fruit , yogurt , juice , cereal , tea , coffee , hot cocoa , hard boil egg hot item include french toast stick , hash brown omelet ) . even 9:30am Saturday morning still find choice readily available ( breakfast run 6:00am - 10:30am hotel pack ) . hotel locate short walk subway station ( 7th 28th ) walk couple block east find many nice dining choice . also opt park Central Garage 28th , 6th Broadway . validation HI Express parking garage cost $ 24 per 24 hour period . hotel also check bag free charge could roam city unencumbered head home . great deal favorite city ! 
 Feb 17 2008 	 perfectly acceptable 	 hotel locate couple block Madison Sq Garden , 's bit walk Times Square . subway pick Garden though , still get around easily . priceline $ 104 room include breakfast ( buffet , typical Holiday Inn , really not bad ) free wi - fi . parking bit mess- hotel contract garage block away- 's $ 30/24 hrs . 's lot directly next door 's $ 36 / day . check put bag car come back later evening , nice leave bag hotel roll street car . I would stay come city cheap . hotel lobby clean , room smell fresh ( tiny- not recommend 4 people ) , major noise issue . 
