good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Jul 20 2009 	 location ! 	 location Manhattan ! convenient base we sightsee around 2 year old . everything right street Times Square leave central park right . lot deli street good breakfast sightseeing bus across street . room bit worn , old fashioned clean . would definitely come back stay price . 
 Jul 16 2009 	 good NY ! 	 keep mind New York . you basically get pay . yes room small , room anything sleep go ny.in experience room fine price , room also little tired bed smallish . staff great , air conditioner struggle little major concern . would recommend people budget . 
 Jul 16 2009 	 Small Rooms great location 	 old hotel great location 7th Avenue Central Park Times Square . within walking distance Broadway play , 5th Avenue shopping , MoMa , Central Park subway . room small . get room reserve . reserve room 2 queen give 2 room twin bed . room twin bed unbelievably small run . expect move next day suite rate . large suite separate bedroom king bed , living area pull couch , 1 small bathroom . would recommend hotel priority location . 
 Jul 16 2009 	 Location reason stay ! 	 many say ignore bad review , . sorry ignore review great location great price . location amazing . convenient every NYC attraction . 1 block Central Park , 3 - 4 block Times Square . subway entrance across street sort stuff true ! side start . upgrade we large room king room we not large enough family 4 . get room check time FORCED bell boy service . room 1940 good good way , like Stanley live & quot ; Cat Hot Tin Roof & quot ; . think , care ! need place plop head inbetween stuff planning . , huge room standard . , double bed sag floor sit . ice building , get $ 5 . sink , microwave sm . fridge room , ice tray . spend time , come home midnight go get bed decide sheet change last people stay . rumpled hair , gross . tired full slept top blanket . daughter one look like clean bed . , let stay roll away put room we . next day guess ? TICKS ! report hotel management blame sleep room look dirty . manager say would get back , never . husband also get sort contact dermititis . place dingy , dirty unresponsive . Didi mention bell boy bring stuff room would not answer question we grunt we want leave want tip ! give standard tip bag roll eye leave room . cheap tipper ! shower wet arrive . not think clean not seem like happen quite time . 's thing , place could good . would not take much clean place bit . even update , clean ! would worth 's 2 1/2 star rating . personally , would never stay sure tell friend family . 1 star good ! well boarding house hostel . cheap city reason ! 
 Jul 13 2009 	 good location ... perfect base sightseeing break - not believe bad review 	 hotel good location main sight New York . 5 minute max walk times square , 2 minute central park . see much foot close . hotel perfect . excellent price central location . size room fine . friend twin room , plenty space two girl twentys get organise ! clean everyday fresh towel . room basic , ideal . somewhere get shower comfortable sleep . hear traffic little , not think would anywhere New York would not . want luxury hotel pay luxury price . staff encounter friendly time . must go Carnigie Deli across road - good cheesecake thw world ! ! ' m every New York would booking Wellignton ! 
 Jul 9 2009 	 guest beware 	 husband stay hotel 3 night last October . first visit New York book hotel recommendation travel agent . read mixed review request upper floor room view Central Park . get room 11th floor view abrick wall . first impression room small bathroom need upgrade . lift small travel low floor door open carpet decor look worn . thed oorman surly unfriendly , reception staff reasonable . however , thing consider location excellent reason put fault aside . Fluffys ' diner 7th excellent would recommend . also restaurant bar hotel also good . the big negative we happen since stay . book hotel travel agent Britain pay cash upfront August travel October . agent book second agency base USA . March year ( 2009 ) credit card debit amount hotel bill - infromed going happen . enquire appear hotel pay 2nd agency booking . Wellington reimburse we immediately contact due difference inexchange rate still find debit April make call full amount reimburse . complain hotel ahve debit card without prior notice thay say method employ get we contact . claim contact detail provide check in- still detail credit card . basically hotel response - 's way ! ! ! advice go stay - book third party - book pay . 
 Jul 9 2009 	 Location Location Location 	 spend 13 day hotel , 's average hotel , location fantastic ! Metro right outside door ( buy Metrocard 14days , unlimited subway local bus - recommend ! ) , minute walk central park Time Square . we would stay , location ! 
 Jul 7 2009 	 ' ve small room .... ? 	 okay , upfront , NYC Hotel room notoriously small , get , something way wrong literally sit toilet brush tooth sink time ! ( ' m exaggerate ! ) . aside size bathroom , whole room old dump , wear everything , curtain , carpet , etc .... apparently get & quot ; yet renovate room & quot ; . room stank , able change room follow day , still leave gross out . Yep , location rockin , will take great night 's sleep location anyday ... two cent . 
 Jul 4 2009 	 frill perfectly locate hotel city break . 	 Hotel perfectly locate Broadway , Times Square , Central Park access part city . there nothing major complain , room small , bathroom small . clean everything room work . only downside lack tea / coffee make facility room , however starbuck right across street also cafe attach hotel . on checkout hear another hotel guest complain cockroach , however experience . 
 Jul 2 2009 	 Excellent location hotel staff 	 read review post mine totally different experience . hotel clean , staff courteous helpful . elevator SMALL , agree that . our room clean good size . book Priceline concerned room quite pleased . take break every afternoon plenty room relax head evening . room upper floor view Central Park , see tree four block park . we walk distance Times Square , park 5th Avenue , subway connection right hotel . plenty place grab quick bite morning . open 24/7 , great ! would stay heartbeat already recommend someone . 
 Jul 2 2009 	 never ever ever 	 get back around world extend trip travel far bad Hotel ever stay Wellington Hotel . arrive lobby look ok checked do not let fool . take lift room would call .... small small , bed fit another small bed strap across across end , try move heavy shift . bathroom small would come change mind . cold night window jamed open 5 in . air cold wind 50 mph come room . small cupbord iron board fling look like war . room like fridge life we could find heating unit control unit take thing case put we bed . 4 am could take cold decide try get another hotel ring around , could get anywhere say booked . 6 30 go see Manager tell room say would give we Penthouse Suite , wow say yes bring bag would sort everything . return desk hand new key lift , bring one penthouse suite ....... exit lift was3 penthouse suite , one door hole , suite hole door look ok , small kitchen micowave coffee maker one bit cutlery , plate , cup drawer cupboard . fridge one lump ice top inside . bedroom hole wall time could tv bracket . outside small Balcony could start cigarette factory dogend . think could call place HOTEL ......... do not ... 
 Jul 1 2009 	 excellent value 	 read mixed review hotel , cost location meet requirement , take chance . find Wellington far exceed expectation , encounter none problem list bad review . room ready upon arrival . clean , small , even Manhattan standard . every service person encounter pleasant helpful . yes , room bit noisy window open , Manhattan . location fantastic , convenient everything ! Park Restaurant great breakfast incredibly quick service . vendor cart front Carnegie Hall great fruit good price . bodega across street ( towards park ) excellent selection food picnic park . would happily stay Wellington , hope soon . 
 Jul 1 2009 	 Location Location Location - would definately stay ! 	 family return New York stay Wellington Hotel ( end June ) . weather hot , air conditioning room work great . stress important consideration location anyone visit New York - homework . first time researce alot different hotel choose Wellington - disappoint ! minute Central Park , Times Square , 5th Avenue shop , etc . ( even walk American Museum Natural History - 20 minute ) decide experience REAL New York arrive Sunday morning . Adventurous , decide forego shuttle cab spend $ 2 hop M60 bus right airport . transfer subway ( N ) Astoria drop we right next Wellington . time perfect not busy arrive less 30 minute ! room - book 1 room 4 us 2 double bed . check , give we 2 room , side side price even include breakfast house cafe . Atmosphere - 's glitz , charm 's - almost like ' ve step back time bit ( love ) . be swanky new , thing clean well maintain . staff - every single staff person encounter go way help we . impose , always offer see could help we make we feel welcome moment get subway walk front door . arrive morning expectation room would ready , bellman helpful organize store thing later afternoon return check . would say part atmosphere enjoy much professional demeanor staff . computer internet access flight information , etc . easy find reasonable price . 
 Jun 28 2009 	 great location small room 	 go New York see sight . hotel fantastic location . stay 16th floor look window could see central park right Times Square leave . room quite small not bother we want sleep , room day , day . bit date wallpaper peeling . bathroom basic could do update . the room however air con great quite sticky humid out . the room quiet enough get good night sleep window shut . our complaint leave ' do disturb ' sign door , housekeeping maid open door quickly shut . phonecall ask want service . ' m sure be ' do disturb ' sign mean . another day hear door fiddle open , maid say ' check ' . check not know . there subway station right outside side entrance hotel 55 street . the lobby area lovely . not know would stay like try lot different hotel . summary base sightseeing / shop great location . 
 Jun 25 2009 	 good holiday ever ! 	 hotel amazing location , 5 minute walk central park , right next broadway times square , ten / fifteen minute walk main shopping district . also want go big apple tour , take main sightseeing location , bus stop right outside hotel . staff friendly helpful . especially people shop tell we good place visit . could also book theatre sightseeing trip here . we fly Newark airport , cost we sixty dollar taxi , not bad quite long drive . return journey hotel sort we personal airport service , would reccommend . cost we price taxi , yet much comfortable cool journey . hotel clean , double room right size . could not really figure work heating / air - con . room get quite warm night time . yet could not open window noisy outside . expect really , new york , city never sleep . not eat hotel could not really comment , cafe attatche hotel seem popular . hear quite expensive though . go small cafe road , amazing bagel breakfast . also subway sandwich shop road want buy dinner take eat park . overall hotel definatly value money . brilliant location clean comfortable . would deffinatly recommend stay . also return home spot hotel various film , Borat one . quite good show family friend stop ! 
 Jun 24 2009 	 Nice Place Helpful Staff would stay ... 	 stay 15th 20th June 09 , check around noon room be not ready , check 3 pm . porter come straight we offer put bag closet give we key card . room 17th floor 55th st 7th ave great view . ask pillow towel send straight away . believe suite plenty space 2 window . quite noisy night window do not close properly . Air Con Unit great hot day ! ! departure take case meet Judd stored bag order we town car help we car . staff friendly helpful ! nice place round ! 
 Jun 23 2009 	 Excellent location noisy average room size ( New York ) . 	 excellent location midway Times Square Central Park . room adequate size Manhattan , overlook 7th Avenue noisy time . Cafe ground floor good breakfast . 
 Jun 20 2009 	 Great Location ! Friendly Staff nice hotel 	 stay Wellington week 's vacation . bit skeptical review say , figure amazing price give shoot . arrive Wellington love decor , staff reception desk friendly . fact upgrade suite free without even ask upgrade . room yet clean arrive ( not guarantee room 3:00 arrive around noon ) ; one bell hop take we room could see put bag closet could head start enjoy city . beyond friendly helpful ! ! ! give great advice thing see good price . location great 's safe neighborhood subway step away hotel . could look window room see central park one direction time square . room great although like other say heating / cool system not work well . visit May weather great comfortable room temperature system work at . throughout visit hotel staff friendly helpful . definitely stay welling next trip NYC . price , location staff unbeatable . 
 Jun 17 2009 	 Perfect location 	 great location , need theater , museum restaurant ( brother 's apartment ) . get great price weekend , we small room - cramp , little space around bed , plenty room large - screen tv ; bed comfortable air conditioning work well humid weather . bathrom tiny clean , floor slippery bare foot handhold get shower , place keep dry wet towel separate , mini - fridge keep water cold . lobby staff helpful efficient keep large crowd tour group move , housekeep responsive request towel extra pillow . stay ( upgrade suite ) , return next trip . 
 Jun 17 2009 	 confortable stay 	 go manhattan r honeymoon . amazing I m reveiwe hotel ill go side hotel like movie . lol . amazing , hotel great , clean , aircon comfortable.as six r lot eat u imagin new york . retire 9 night spend time hotel , staff make we feel welcome room great . side look central park high enough see right uptown east side , question let . highly recommend hotel Manhattan . ur hungry please please get pizza RAYS pizza hotel , first time go get one could not get throw room door . like man hole cover wife laught one slice . see pizza lover abit champion night rest breakfast .. lol 
 Jun 15 2009 	 Disappointing ! 	 hotel one thing recommend -- location . smack dab middle Midtown , great Broadway theater - going , walk Central Park middle action . however , tired old hotel little interest guest . room ready 3 p.m. check - in time . many people wait lobby evidence room one unready . hotel insist bellman escort room . virtually everyone use wheeled luggage , easily pull bag room , we know count . let us see , Room 334 must third floor , bet Room 333 room 335 ! outdated bellman system slow check - in process even , everyone wait turn show room . course , everyone tip bellman . I complain front desk person bellman song dance unnecessary prolong wait get room . complaint meet surly reply . century hotel ? finally room , carpet badly stain towel thin , could read newspaper they . I get room $ 95 night Priceline . would pay dime . 
 Jun 13 2009 	 great hotel great location . 	 hotel great location , right middle Manhattan . room small clean along rest hotel . first trip New York staff make we feel comfortable . would definitely recommend hotel anyone look stay Manhattan budget . 
 Jun 9 2009 	 Wellington Pleasant Surprise ! 	 little skeptical stay Wellington read review , people complain small room bad service . check , find staff pleasant provide quick service . reserve small twin room travel alone . open door first time , surprised see instead give suite ! rate twin room ! stay two night , heaven . everything clean perfection , room service incredible ! name complaint , take one lukewarm shower night ( plenty hot water morning ) second night , actually construction work across street 1:30 a.m. luckily , earplug . a / c work fine , kitchen appliance a - ok ! many small nice touches- ice already tray , plastic cups- glass- even bathroom . ready move . would absolutely stay , would highly recommend friend . 
 Jun 8 2009 	 Big Apple Reasonable Budget 	 take advantage holiday light special . one bedroom suite 3 day , include breakfast . room large clean , four people . small kitchen stove , microwave sink . close central park , time square normal tourist spot . subway right across street trip wall street district , brooklyn bridge , etc . heating air bit tricky . either hot cold could get comfortable temp , everything else tolerable . stay three different holiday light special continue future . would recommend anyone want see New York want spend lot money 
 Jun 4 2009 	 outstanding service perfect location - room functional . 	 hotel old lot character . room small , be need . go New York see city , hang hotel room . forget phone charger front desk accomadate recharged phone give great direction take subway . location perfect . 5 minute walk Central Park great restaurant area . 
 Jun 4 2009 	 Great Location 	 nothing complain , review may tell 's old tiny , reality hotel good , be clean , staff nice , step Central Park Times Square , be noisy . Starbucks Au Bon Pain across street breakfast . good , metro station , exactly , next lateral hotel entrancy , could not well . 
 Jun 3 2009 	 definitely recommend Wellington Hotel ! 	 stay Wellington group friend week long holiday , unfortunately group cancel last minute get need room change & amp ; problem ... book double room give we 2 bedroom suite massive ! load space ! ! get first night hotel overbooke & amp ; move hotel across street lovely well not mind . staff friendly & amp ; helpful . room clean daily . hotel central & amp ; within walk distance attraction . would definitely recommend hotel & amp ; good value well ! 
 May 30 2009 	 excellent location old hotel problem 	 say could fault hotel location , 10 minute Times Square right beside Central Park . area around hotel totally safe time even early hour morning . look somewhere safe central stay overly bother luxury cost place you . im complain type issue hotel however resolve without problem . arrive hotel wife 6 month old baby check quick efficient . however open door room shock , tiny barely big enough fit smallish double bed never mind crib indeed luggage . say small mean ridiculously small even single adult would problem move around room . immedietly go reception tell room small adult baby surprise change immedietly without question . worried almost expect complain perhaps put room arrive long journey UK would possiby tired complain . second room perfect , large roomy flat screen televison modern bathroom . evening explore central park return room unfortunately crib baby materialise . speak reception say record request crib luckily still copy email request conformation hand . delt quickly minimum fuss crib arrive room within 5 minute . next day New York , Saturday 25th April one warm April day history temperature reach 34c , surprisingly room air conditioning like oven . worried baby temperature room 30c , much high use enquire reception possibility get sort fan room . return room open door ( 5 min ) already chap fitting sort extractor fan / air conditioning unit window room . could not fault quick service unit work perfectly allow we set temperature 18c leave go .. hotel fine little bit old wear , seem staff well use deal complaint , change room etc etc . also worth point enquire wireless internet tell would region $ 40 stay , tell price be not fuss surprise tell would give free ! floor staff hotel informal friendly helpful recommend bar restaurant area . want watch English Premiership football match advise go imagitively name & quot ; Irish Pub & quot ; door perfect show several match live multitude big screen . to summerise , great location , helpful staff old hotel prepare problem ( likely resolve ) 
 May 29 2009 	 great location good size room expense new york 	 staff friendly , note request book , bell man Richard helpful , room clean good size . good location metro corner . road deli service great breakfast accross road chinese good price nice food . tour Washington city signtseee ok long day 14hours 9 hour bus . take we wax work waste give option look around meet bus later . 
 May 28 2009 	 good value great location 	 four we ( two couple ) stay four night two double room . find hotel great location ( walk distance many sight will want see subway station right next door away ) .All staff helpful , particularly concierge room great . small clean . find room quiet ( 1743 & amp ; 1744 ) . face inward another section hotel view noise street outside . give sleep shower , perfectly ok.given pay much £ 500 per person return flight UK 4 night stay ( Ebookers ) feel great value money . want posh hotel , expect pay posh price ! Carnegie Deli ( across road ) deli attach hotel ( can not remember name , sorry ) fab breakfast . deli opposite corner hotel great late night cocktail food . all great hotel judging review probably depend room . thing would improve stay would tea & amp ; coffee make faciltiie room . 
 May 28 2009 	 fantastic hotel would highly recommend ! ! 	 husband stay Wellington brother wife 4 night 2 room . little worried review need . although room small , clean comfortable big tv iron ironing board . staff helpful , air con break brother law room , report way dinner time come back whole new air con unit room . location could not well , be next door Carnegie hall , 5 min one direction Times Sq 5 min way central park , subway literally 7 step hotel door ! ! ! would highly recommend hotel anyone ! ! 
 May 28 2009 	 Fab location frpm times square ! 	 second stay wellington new york be not dissappointe ! first time stay 2002 place have not change . room small clean exactly need stay New york . thing use hotel New york pass end non - stop day shopping sight seeing ! flat screen tv 's couple free movie channel ( like unwind watch tv fall asleep- sad know ! lol ) . shower fantastic powerful great way ease pain walk mile ! : ) . staff helpful full knowledge ! hotel block times square central park aftar broadway show minute walk back hotel . look luxury place , want somewhere clean big enough hold shopping bag place . I m plan trip next year would def stay ! 
 May 28 2009 	 not put 	 back Wellington , book three room 4 night , one wife , two three son . disturb read previous review twin room . e - mail hotel arrive difficulty get twin . reception helpful move room around close together ( two 20th & amp ; one 22nd ) . bell boy helpful . room functional good size . as other say location excellent . eating - dinner Benash Deli next door excellent value ( five eat drink $ 130 , good value breakfast Fluffys try Maison good value quality breakfast . avoid Lindys - 's rip . generally speak avoid resturant not display menu window . enjoy not put ! ! 
 may 27 2009 	 rain rain go away 	 great location ask change room tiny 15th floor room sort . move East tower room room 50 5th floor . large clean although noisy everything great except rain 6 day . aaarrrggghhh ! still great time go everywhere . 2 tips- get $ 25 metro card 7 day unlimited travel , use get JFK end holiday well zip big wet apple , go TGI Fridays 5th avenue . great happy hour every day 2.00pm till 8.00pm . see new york price border robbery good place drink . 
 May 24 2009 	 Good Location Old Run 	 stay 4 night Wellington , ( wife kid ) . small , single room . the room functional , frill . clean , old bit run . comfortable bed . the wall thin could hear elevator everytime stop floor , well conversation next room hallway . didi not really care becuase room shower sleep ( ' m heavy sleeper ) .2 hour checking , realize leave nice , new shirt hang closet . call see could ship . front desk put touch housekeeping . housekeeping tell ( broken English ) shirt not call back tommorrow . three day call back tell find shirt , give . clearly , someone hotel ( housekeeping ? ) steal shirt . 
 may 22 2009 	 Great Location - need TLC 	 Read many different review Wellington go open mind . arrive hotel 1 pm cheke , although room ready till 3 pm , problem able leave bag walk Time Square 5 min walk away . use restroom walk I m affraid awful , sanitary bin overfull - say . go standard room 9th floor bit disapointe hope , tired looking room need update . clean guess . bathroom tiny , expression could not swing cat could not swing kitten , need overhaul . hey not spend lot time hotel room somewhere crash busy day sightseeing . location Wellington brilliant 5 min Time square , 5 min Central Park ; bother finer touch modern hotel may offer Wellington ok . maybe take ear plug find New York city never sleep lot noise night . enjoy visit , New York amazing place . 
 may 22 2009 	 Best Location Great Price 	 stay Wellington Hotel Spring Break , 7 night . could not well location . arrival ask room window face 7th ave , higher well . problem accomodate we not charge we anything extra request . our room small . specifically bed . must small double . big couple prefer sleep space recommend get one room large bed dollar . bathroom quite large , clean , tv quite big . coffee maker many great cafe within 1 minute walk . look left window get great view Times Square , look right get view Central Park . perfect . lot people complain Trip Advisor loud noise . not hear noise . quiet . even sleep window open hotter night . there subway station right outside hotel take downtown station make transfer . walk Central Park 5 minute . walk way Madison Square Garden 25 minute . spend quite night Meat Packing District nice restaurant lounge ( check Spice Market , delish ! ) . cab ride back hotel area cost approx $ 7 ( less martini ) . posh hotel , stay Trump Towers . pay ( approx $ 100 ) night , perfect ! clean , great location , friendly enough staff . quick note : would avoid greek restaurant attach hotel . expensive , terrible . many well place eat . go Lindy 's eat famous cheesecake . go La Maison accross street good Mojitos delicious appetizer . definetly go Meat Packing District really good restaurant . 
 May 19 2009 	 Perfect Hotel ! ! ! ! ! ! ! ! ! ! 	 perfect , block Time Square , really comfortable . employee friendly helpfull . hotel really clean well decorate . situate hart city close central park . Wan na book nice hotel , go Wellington ... 
 May 18 2009 	 good hotel - great location 	 daughter stay Wellington 8th 13th May . hotel great location 7th Avenue , five minute one way Central Park five minute direction Times Square . although book standard room allocate suite arrival . room two double bed , table chair , chest drawer , tv bedside cabinet . bathroom small enough need . plenty wardrobe space small kitchen microwave fridge . there cafe gift shop attach hotel bit expensive other area . would recommend Fluffys deli close hotel Teleon Cafe around corner 56th Street . subway right outside would also recommend visitor use subway . easy , cheap really safe . 
 May 17 2009 	 fantastic spot . 	 fantastic base stay NYC , find central wish city , room clean housekeeper visit everyday , fault find shower , water would often get extremely hot shower cause jump reach , however could tell happen . heat temperamental time also . however small detail make blemish opinion hotel . IL stay . thank wellington helping stay enjoyable .. 
 May 13 2009 	 super 	 excellent hotel money , super staff . would advise stay . 
 May 12 2009 	 Perfect ! 	 nice room , small , big , clean , nice bathroom , big bed , great staff . recomend hotel want expensive get , cause hotel sweet , location exellent , u see Times Square walk min , 5th ave near , Central Park around corner , subway right behind door hotel , plenty restaurant , starbuck across street . boyfriend stay two week every day housekeeping clean room , want towel , come back 10 towel wait bathroom . need direction ask staff , helpful nice . short , stay basically walk famous attraction location . return NY definitely stay Wellington Hotel . 
 may 10 2009 	 pay get ...... 	 course , visit NYC do not expect stay hotel room length time ; however room want clean comfortable . first , could not ask well location .. subway right outside door , Central Park block away Times Square within yell distance . actual Hotel different story . check ( receptionist say upgrade we room king bed ) , follow direction appear different part hotel . lobby elevator appear access front portion hotel . room hand locate back & quot ; east wing & quot ; hallway take step empty , less busy part Hotel . 2 elevator carry we 7th floor ... room 76 exact . the carpet hallway dirty , stain stale smell entire floor . carpet inside room stain bed king rather date . item cause concern bathroom faucet continue constantly drip , air conditioning do not work . call room service ask towel ( towel arrive ) someone fix air conditioner . view window really view . able look window hotel room side hotel . could not even determine daytime view . room clean daily odd reason always forget towel . do not know way maid service get quick tip what . if want ice , request front desk . give one glass room , must request housekeeping . overall , great trip , would recommend hotel anyone . 
 May 9 2009 	 Perfect Base 	 return lovely trip New york stay wellington Hotel . travel mother treat . problem could see room small share small double bed hotel dos not offer 2 single bed room . room however however small walk wardrobe use store many shopping bag ! room good view see central park room another window Times Square . hotel provide handy shop cafe breakfast serve . hotel good position go front door ( beside reception ) turn leave walk staight come acorss Times square . turn right keep walk short walk get central park . go side door ( beside cafe ) walk leave walk block soon 5th avenue . good exeriance sure ask friendly staff direction get lose . also definetly recomend get safety deposit box . 
 May 9 2009 	 Location Location Location 	 hotel provide we great experience NYC & amp ; wife first trip city ( 2nd ) . want good location low price clean & amp ; comfortable accomodation . read reviews hotel , & amp ; like many other bite hesitant negative comment . gut instinct go ahead & amp ; book hotel . disappointed . excellent base enjoy city . room 2242 clean & amp ; comfortable double bed & amp ; 30 & quot ; flat screen tv . face 7th ave . decor date circa 70 's think great . room small , expect . bathroom small shower & amp ; pedestal sink- negative eye . elevator small three wing & amp ; fast enough wait long get . lobby large big hotel look & amp ; busy day . 5 - 6 pay per use computer printer lobby & amp ; wireless laptop . location not get better- subway r W outside 55st . side door , 2 block north Central Park , 3 block south theater district & amp ; Times Sq . , 6 block southeast NBC 30 Rock Radio City , famous Carnegie Deli across street ( excellent Pastrami & amp ; cheese cake- open 3 am ) .Hot tip : & quot ; hide hotspot & quot ; be budget get tired restaurant dining , across street hotel , next door Carnegie Deli 55th St. Deli open 24 hour . favorite place . like convenience store 20 ' salad bar / hot food steam table center . salad bar super fresh sooo many type green unbelievable . hot entree great . $ 6.99 pound . be also sandwich / fry cook ready custom make sandwich paninis hamburger . good hot coffee anytime ( strong Starbucks & amp ; weak 7 - 11 ) . even fresh fruit & amp ; Gelato . get exact portion want & amp ; go back room eat small counter 3 seat want eat . go Statue Liberty first boat ( 9 am ) & amp ; need leave hotel early , get lunch & amp ; backpack it- . 
 may 6 2009 	 pleased .... 	 wife spend 1st anniversary @ Wellington really enjoy . location second none . could look south window see Time Square look North see central park . hotel next door Carnagie Hall across street Carnagie Deli . room clean service great . issue 1st room give we check already people . luckily open door nobody room luggate etc . room . go back front desk issue another room along w/ 2 free breakfast mix . really good stay noise issue bed comfortable . price place stay . Bryan 
 May 6 2009 	 great location clean ... frill . 	 partner stay hotel 1 week . arrive informed hotel overbooke due flight cancellation stay Blakely hotel across road first night , due inconvenience cause upgrade we queen room next day . I dread think size double room hotel , queen small . consider week expect least fridge tea & amp ; coffee make facility room , request fridge bring room straight away extra charge . the room clean service every day , although room facility disappointing bed really comfortable location hotel excellent . not spend much time hotel location importance we , 5 min Times Sq 2 min Central Pk . 
 May 5 2009 	 Good Location - Hotel need refurbish 	 four we check 2 pm . room ready 3 pm . despite request 2 room 2 bed room , non - smoking tell none available ! 1 smoking room 1 non - smoking available . hotel overbooke large number people upgrade sister hotel Blakely . request could offer specific room available tell , hotel twin - bed room ! reception staff young girl unhelpful . make feel like nusiance simply request book . travel great deal also work large hotel chain . never encounter unhelpfulness . end accept 1 non - smoking 1 smoking room . fortunately smoke room usual stale smell cigarette . room date small anticpated . bed towel clean 's say hotel . need complete overhaul . 3 small lift size hotel . like rugby scrum try get lift day . good thing location hotel . 7th Ave 55th Street . 5 min Central Park 10 min max Times Square . would recommend hotel anyone maybe group guy want clean bed central location . 
 May 5 2009 	 clean friendly cheap central 	 reading review hotel start panic , surprise holiday husband 40th birthday ! ! ! ! stayin say people fussy u drop ur bag , go , come back , sleep wash , next day , go new york stay hotel roomfor us hotel great , staff helpful , ( could not enough we ) bedroom clean like picture brochure , bathroom small . hotel central everything . would recomend hotel everyone look CLEAN , FRIENDLY , CHEAP , central hotel new york . TOP TIP ......... FLUFFYS little cafe two min walk hotel food sooooooo good pancake , bagel , pastery much ! ! ! ! ! ! ! ! ! ! ! ! HELICOPTER RIDE must way see new york 
 may 3 2009 	 good trip spoil staff wellington 	 room book 6months arrival date , check desk tell room book could room one block away one night . I ask room wellington give smoking room right front , thee floor up.it right entrance.the noise traffic coachs loading start 5.30am.the room carpet stain black mark ( tar ) , wash basin plug let water run inside lock work . also shower like hose pipe . the desk manager nothing resolve problem . only offer another room second night . senior manager give reason apology happen . give HOTEL AMISS . 
 Apr 30 2009 	 Excellent hotel ! ! 	 hotel lovely ... really fantastic friendly staff , bell boy could enough we , particularly problem transfer ... one guy offer we assistance problem return transfer . little cafe within hotel really nice- lovely food ! hotel amazing location near times square ( 5 minute walk ) near enough keep awake light / noise ! staff gift shop also helpful . go back New York would definately stay ! 
 Apr 30 2009 	 Quality service dependent much tip . 	 arrive late outbooked Holiday Inn one night . arrive back next day , room good expose pipe bathroom scorch hot ask check . upgrade suite instead nice kitchenette area fridge microwave kettle . ask kettle tell not suppose one . reception staff helpful unfriendly , bellman budget not extend overly generous tip . 
 Apr 29 2009 	 fantastic location bad service 	 upon arrive wellington hotel greet load teenager behind reception tell somebody overstay stay room avaliable ! immagine 8 hour flight obviously impress read previous review kinda expect hear . luckily say room avaliable hotel around corner pay we stay night instead friendly bellboy carry suitcase show we way . hotel call blakley moon arrive hope wellington nice ! next day wait till 3 pm check wellington able leave suitcase whilst explore . finally arrive room impress especially put we luxery ! room basic jsut essentially apart plugs 1 bathroom tiny ! ! .. even negative list would doubt go back , situate perfect position perfect base aslong do not spend much time hotel .. new york do not tend ! do not expect much ! one note take extra money tip ! tip absoloutly everyone everything 
