good 	 good hotel . bit old fashioned taste please many . great service check onwards . staff could not fault . upgrade fro £ 50 suite one night room bathroom excellent . problem handy King 's Road , Sloane Street Knightsbridge . Upmarket safe feeling area . 
 Great 	 book hotel via Lastminute ( normal London hotel full ) . great , really good bedroom bathroom - high quality bedding , towel etc . ok common area bite tired - staff friendly room great . 
 Jun 29 2008 	 Old wear great location 	 stay property two night follow trip France . location great nice & amp ; safe neighborhood hotel definitely show sign age . upgrade junior suite 9th floor . large comfortable furnishing decor bit outdated . window also create howl noise wind blow - air tight . bathroom large , fixture need update . place wall need re - painting , re - wallpaper etc . service good send someone almost immediately try fix window situation . sum , comfortable hotel great location need renovation . 
 Jun 13 2008 	 great hotel great location ! 	 great little hotel amazing neighborhood . check - in Angelo smooth , relax fun sip wine table lobby . hotel clean well - appoint staff professional , efficient eager help . travel daughter two room , upgrade Starward point member . special kudo Gregors try patiently assist us theatre ticket . saw & quot ; Wicked & quot ; wow show talent . thank make happen we Gregor , terrific ! especially go Patisserie Valerie , five minute walk , daily breakfast treat include various croissant , danish muffin . good deal London price $ 3.00 piece ! ! love homey , warm hotel exceptional staff . would definately stay . thank make stay London memorable , especially Angelo Gregor . 
 may 30 2008 	 Excellent location 	 go London long weekend friend choose hotel location , wonderful . easy 5 minute walk ( £ 5 taxi ride ) Victoria Train Station , Knightsbridge tube , Harrod 's . immediate neighborhood also great restaurant , bakery , grocery store . we executive suite , London standard outright huge . everything great working order immaculate . ' m dock one star several small hiccup experience : book point mix - up pre - arranged upgrade ( although , may issue SPG , hotel ) , ask roll - away cot several time show , Molton Brown long use ( update picture website ! ) , upon leave property , ask woman desk need formally check - out get dismissive wave . think meant & quot ; , not need check , & quot ; rather abrupt send - off . overall , however , service generally courteous friendly , hotel beautiful ( interior , exterior stick 70 's ) , location exactly want . 
 may 28 2008 	 neat clean little hotel 	 wife return trip London , stay Sheraton Belgravia 4 night . really comment value , use Starwood point book stay . think hotel normally 200 - 400 pound per night range , seem bit high , ( especially US traveler ) , really much compare . service property excellent . staff encounter extremely helpful , polite , go way make sure take care . room bit small ( somewhat typical London ) . room bathroom another 50 - 100 sqaure foot , would perfect ! say room well maintain . every detail ( bathroom grout , tile , carpeting , wall , trim moulding , etc ) excellent condition . complaint window break seal , constantly condensation , block view . complaint wall room adjoin service closet neighbor closet , could hear everything every time someone hang something closet , open closed door . drink downstair bar , good . location hotel excellent - close Knightsbridge , Sloane Street Sloane Square Shopping , well tube stop Hyde Park . hotel much look outside , really deliver inside . one bit feedback Sheraton : high speed internet fee highway robbery ! around 18.00 pound 24 hour service . insane , give hotel , shop , cafe , etc free WiFi . 
 may 23 2008 	 really Good 	 enjoy stay Sheraton Belgravia . hotel really cosy warm ; usually love Christmas time . anyways , rate room , competitive location . get bargain compare neighbouring hotel within Knightsbridge Chelsea area . however , fourth stay hotel Platinum Starwood Preferred Guest member , not receive upgrade , welcome amenity . ask , find odd . probably let , personally ' ve receive much well welcome service Gold Classic member . put aside , highly recommend hotel location , price service ( concierge great help ) . 
 May 8 2008 	 lovely hotel 	 spend two night ( book Starwood point ) . everything nice , staff excellent service -- feel upscale many Sheratons stay . wife leave engagement ring diamond earring room not realize check heading heathrow underground . call hotel -- time would get back jewelry waitnig us velvet bag cab wait race we back airport . great hotel . 
 Apr 18 2008 	 Great Location lovely room 	 wonderful stay Belgravia . can not comment value room , book use Starwood point , room large nice sit area big bathroom . bed super comfy , big plus . staff friendly helpful , though never receive water supposedly send check - in . hotel locate nice area , though not much directly around . 's short walk Harrod 's Knightsbridge Tube station . 
 Apr 17 2008 	 Great London Hotel ; Quiet right heart thing 4.5 star 	 Sheraton Belgravia exceed expectation . friendly staff . great part town quiet London hotel . back . 80 room perfect size enjoy coffee bar , nice lunch . multiple restaurant nearby Waitrose concerned Dollar 's lack purchasing power . 
 Feb 16 2008 	 convenient comfortable quiet hotel central London 	 Redeemed 2 room night Feb 2008 . request early check ( around 8 ) interconnect room travel wife + 2 child . call hotel 2 day early ask could meet - promise course , tell not full good probability . help make one day stopover London lot comfortable might . stay hotel twice year last year business trip , maintain quiet , unfussy comfortable character . convenient location & lt ; 10 min walk Harrods Knightsbridge tube station . cab rank outside door taxi . quiet . unobtrusive good service . comfortable room bed duvet , tasteful decor blend modern old style - will not feel like be impersonal chain hotel room . modern bathroom plumbing work well . good heating system - neither hot cold . traveller need good quality room central London away horde without break bank , definitely hotel go . 
 Feb 7 2008 	 Boutique style property 	 5 x night stay use Starwood Point redemption . check : greet friendly manner concierge , offer choice welcome drink . early arrival , 10 min stroll Victoria Station . room ready , leave bag head out . this first stay Hotel , although Londoner , know area , take opportunity orient grocery store , Starbucks , Tube station etc . waitrose supermarket one block away ... somewhat hidden . always buy room swag ... fruit , water , snack item etcalert : currently everything cost 25 % - 35 % us.lobby common area : small , low ceiling , darkish , slight feeling claustrophobia pervade entire property . find disquiet , get use couple day . room : Jr Suite 9th floor , large ( London standard ) corner room , sofa ( bed ) chair sit area , work desk etc . bed Sheraton Sweet Sleeper .... comfortable , fairly high quality bedding . wifi : purchase one week Hotel access $ 72 US . Dear Sheraton , 11mbps broadband ! ! Hotel hi - tech modern . position period boutique property , expect period ( date ) furnishing funky regency style upholstered chair furniture would place 80 's US Holiday Inn . thing . tv awful . old CRT monster , dodgy remote replace , channel awkward , poor selection international Hotel . bathroom : campy marblish affair , small , barely adequate . gym : available Sheraton Tower Hotel 4 min away Knightsbridge . small room , good equipment , 4 person fill . nice individual shower room . water , apple , towel freely available . get key card reception way out . neighborhood : Upscale Belgravia . Knightsbridge 5 min away Hyde Park Corner . Lunch Harvey Nichols rooftop restaurant , always treat . harrod easy walk float boat . great museum close Kensington . safety factor : 8/10london travel : get oyster card overseas visitor . available gateway airport . Heathrow / Gatwick etccost 12 pound - 2 pound card preloade 10 pound get go . not even think buy individual tube / bus ticket unless name Bill Gates . US Rating : 4 * would stretchstay ? . 
 Jan 4 2008 	 Good London Hotel 	 often travel London business stay several time hotel . location really great get around Central London . good example take short pleasant walk Victoria Gatwick Express . staff always polite discreet . room well decorate comfortable nice bathroom . main reason go back hotel consistency service . be always good . quick discreet , possibly bit formal people 's taste like efficiency . thing look hotel price fluctuate like crazy . pay little 99.00 GBP per night 350.00 GBP . close lot exhibition centre big show price room become ridiculous . quote 200.00 GBP night booking recommend try Sheraton Park Lane similar usually bit cheap . 
 Dec 17 2007 	 wonderful London Hotel 	 first , say service receive week - long stay Sheraton Belgravia second none . spend many night hotel room every year ( include many 5 - star , high - end hotel ) can not think hotel receive well service Sheraton Belgravia . staff always friendly attentive , task big small staff . rather pass duty staffmember make wait someone whose job description cover request around available , find everyone work ready willing attend whatever come , right away , never find wait want never ask anything twice . arrive London quite early morning , arrive hotel well standard check - in time . despite , readily room ( Executive Room ) available us rest relax long trip FL . , upgrade we ( account Starwood Preferred Guest status ) Studio Suite remain 6 day stay . staff happily ( literally within 2 minute call downstairs ask ) provide 2 power adaptor one mine blow fuse . also offer move bag old room new room , well bring key new room , day upgrade plan touristy thing day . , go way helpful . fact , step hotel first day ask concierge taxis regularly park make available outside hotel ( first occasion stepping , see taxi . , regularly 1 2 black taxi front hotel ready anyone might need ) . want know taxi make habit wait outside , concierge eagerly get desk run outside cold air chase taxi we , answer question alone not enough nothing matter , moment , get taxi ! feel guilty , thankful ! hehe . Studio Suite spacious comfortable . large bathroom plenty countertop space , minibar , king bed , sit area sofa chair , work desk , wireless high speed internet , 24hr room service , convenience . tastefully decorate furnish . furnishing look old , close inspection be old fashioned traditional . damage scuff mark anything like , everything good shape good working order . one time tv stop work ( likely decide try move around little ) , staff member door less 5 minute call downstairs tv fix . plenty outlet around laptop , cellphone charger , etc . always plenty hot water , great water pressure . climate control room work well easy operate . feel entire room cozy , comfortable , welcome . nice place come home long day sightseeing , shopping , etc . the hotel extremely convenient area attraction , tube station . 10 minute walk Harrods shop Knightsbridge ; minute walk Sloan St ; 10 15 minute underground Sloane Square , Knightsbridge , Hyde Park Corner , Victoria Station be never far Circle , District , Piccadilly line . be also within short walking distance Buckingham Palace , many west end theatre , wonderful park , . , Belgravia area beautiful charming part London ( indeed , London part London ) . common area hotel may seem bit small ( ceiling somewhat low , small elevator , hallway somewhat narrow ) degree least bit inconvenient even awkward , find . instead , find entire place cozy comfortable 2 room see spend time spacious . would hesitate stay Sheraton Belgravia , fact would make reservation eagerly . see hotel home base London year come , long thing remain stay great facility staff . price find extremely reasonable , worthwhile , even quite competitive clearly affordable many similar area hotel . 
 Dec 10 2007 	 nice hotel excellent location value 	 recently stay Sheraton Belgravia 3 night ( Nov. 16 - 19 ) use Starwood point . second year row stay think great hotel great location . seem small , less expensive sister Sheraton Park Tower Hotel 2 block away . Sheraton Belgravia easily walkable Harrods , Knightsbridge Tube Stop , Sloane Sq . etc ... also nice supermarket ( Waitrose ) 10 minute walk away one neighboring & quot ; Crescents & quot ; make easy evening drink / snack room go . hotel staff accomodate helpful . offer complimentary cappucino upon arrival . problem ask coffee maker room , hotel mini bar empty could put food . room large spacious , decorate nice autmnal color russet dark green . nice throw rug foot bed even Sheraton Teddy Bear .. finally , exercise fanatic , use gym facility nearby Sheraton Park Tower complimentary Sheraton Belgravia gym . picky traveler would hesitation recommend Sheraton Belgravia anyone . would definitely stay ! 
 Sep 30 2007 	 Good service 	 stay hotel time , several year ago another July year . build rather old one glamourous hotel London , however , find receptionist / porter professional friendly , common London hotel . room small normally case London , thus , consider negative . traveller wish spend time shopping Sloane area well Harrods , hotel locate conveniently . also access centre easy . dine restaurant find bar rather depress ( many bar go area , really matter ) room service breakfast excellent . 
 Sep 29 2007 	 love 	 mother ( 75 ) go London five day get - away choose hotel location hope starwood special member upgrade . boutique hotel home - like sophisticated atmosphere high end neighborhood . ' ve never see Bentley 's , Jags , Mercedes , BMW ' even Maybach neighborhood . get upgrade suite ( 2 room ) please . furnish traditional use ( interior Buckingham palace thing british ) clean comfortable . look like picture show . bed super bathroom like new . location great save money taxi stay close major attraction Victoria Station . the service friendliness hotel staff wonderful . stay several Ritz Carlton 's much low level service . everyone helpful nice , concierge ( three ) , reception , maid service restaurant . upon arrival even bring tea biscuit lobby wait room readie . every time ask anything , almost immediately satisfied . eat nearby pub one many Mews ( alley ) area . cool . waitrose grocery store couple block away put food mini bar refrigerator . great trip much reason pleasant stay Sheraton Belgravia . 
 Aug 28 2007 	 Miss breakfast ! 	 nicely locate weekend break central west London . but , bit price old dame flashy dress ! Miss breakfast . overprice terrible . go Costa , Waitrose , stroll away . 
 Aug 12 2007 	 will back 	 simply wonderful weekend London last week ; weather stunning ' m pleased report first stay Sheraton Belgravia add immesurably overall experience . bit scratch record ' m afraid ; want say say grow number other also love visit Belgravia . Suffice say location hotel sublime - one take leisurely stroll many attraction ( amble Charing Cross/ Covent Garden via Buckingham Palace , St. James 's Park , Wellington Arch etc ) 40 min . sloane Square tube station around 10 min hotel add another 5 min max get Brompton Road fab shopping ( Harrods , Harvey Nichols etc ) .Price wise , course hotel cheap not find price over - inflate Sheratons visit , little surprising considering 's address one exclusive neighbourhood , well , world actually .... service real key though . check ( Robin Angelo ) joy , oft - time mention complimentary tipple bar . highly professional genuinely friendly gentleman continue great help we weekend stay credit Starwood brand . a special mention must also go Food Beverage Manager , Stuart , attend we breakfast last morning , arrange luggage hold go shop ( late flight ) invite we back pre - departure Bellini house . also advise we good course attack try get airport rush - hour . without advice , would probably still sit taxi stick hell london traffic ... bottom line hotel / restaurant / bar scenario service - good service allow number sin reverse , mind , say . Sheraton Belgravia deliver service , along rest overall product , spade . will definitely go back .... 
 Jul 31 2007 	 Boutique hotel one elegant residential neighborhood London 	 return 3 night Sheraton Belgravia . typical Sheraton small , intimate lack big hotel amenity . exchange , stay one exclusive neighborhood world next embassy incredbile townhouse . neighborhood bistro market charm close . feel like tourist , frankly see many tourist . downside hotel , staff seem know near market bistro . unhelpful , know . Marks Spencer Market ( affordable food breakfast snack ) right street towards Brompten Street ( Harrods ) . Harrods 10 minute walk Harvey Nichols . also Waitrose market three minute away : 27 Motcomb Street . great bistro across patio breakfast lunch . hoteI easy walk Victoria Station ( without luggage ) Buckingham Palace . would say tube convenient hotel . light bathroom great room feel warm elegant antique . upon check sit desk serve drink . room huge , adequate . bed comfortable duvet . quirky hotel , lovely . hotel little jewel . 
 Jul 30 2007 	 great location charm hotel 	 spouse spend great weekend Sheraton Belgravia . thoroughly appreciate great location -- nestle wonderful neighborhood , within walk distance many thing want see . previously stay large business hotel , switch Belgravia weekend intimate feel isolation city 's crowd . room bathroom smallish , find absolutely fine european ( also NYC ) standard . , cozy layout actually build upon intimate nature space . my complaint ( be major ) concern noise . elevator ( near room ) let high - pitch squeal whenever go . addition , try use AC drown noise , noticed old machine let even bad sound actually wake we night . , choice turn . outside noise problem -- internal noise guest build infrastructure cause we trouble . these noise issue would keep we return ( although might ask room away elevator ) . delightful time London , accommodation generally add experience . 
 Jul 23 2007 	 Fantastic London Neighborhood 	 enjoy three night hotel May , 2007 . suggest many review , surround neighborhood idyllic many great restaurant pub , well ( expensive ) shopping . hotel date , especially gloomy lobby , room quality superb . location exceptionally quiet convenient Sloane Square tube stop . avoid wildly overpriced breakfast , take short walk around Sloane Square much well option . 
 Jul 17 2007 	 fantastic hotel Great Location clean well keep 	 although hotel wee bit outdated , well keep , bed huge , bathroom nice , staff excellent . bar downstairs nice attentive . hotel locate far Harvey Nics Harrods Sloan Avenue . 
 Jul 13 2007 	 Smart Business Hotel 	 would stay Sheraton Belgravia 2 year , still retain calm business presence . would hear closed year refurb , look would last stay . room upgrade executive smart , reasonably spacious London bathroom fade 5 * .... spotless though . check - in frustratingly slow wait 3 minute not really check - in desk .... boutique table ...... bad hot day hurry . check - out swift excellent . would stay though . 
 Jun 18 2007 	 Belgravia - nice ! 	 London hotel expensive ( London general matter fact ) pick Belgravia two night business trip seem like decent value . I happy choice . room large clean comfortable balcony could actually step , nice section town . great service decent food . would definitely repeat . Paddington station ( Heathrow Express ) ten minute cab ride away Knightsbridge Underground station ( Harrod 's ) five minute walk , hotel conveniently locate . 
 May 3 2007 	 Beautiful quiet residential area wonderful staff 	 note : review write " tourist perspective " nice welcome hotel beautiful area city . outside window view small park view nice area Belgravia section London . stay Sheraton Park Tower ( ¼ mile away right busy Knightsbridge road ) prefer Sheraton Belgravia nice quiet neighborhood , room large comfortable hotel generally welcome . staff hotel friendliest come across long time . instead format front desk , welcome desk sit across person check . small hotel 18 room , room relatively large spacious . give we free drink coupon use toast coffee breakfast instead . within short walk many attraction tourist might want see : Hyde Park , Kensington Palace . area Sheraton Belgravia one expensive area London price reflect upscale area ' cost . block hotel plenty store , deli ' restaurant . Marks Spenser food store , waitrose food store ( low cost Marks Spenser ) , Spaghetti House ( excellent sauce … about 45 meal two ) , excellent casual lebanese restaurant deli ( Noura Brasserie ) Harrods ( price tourist trap , IMHO ) short walk away . also casual japanese basement restaurant highly recommend , downstair Harvey Nichols corner Seville Knightsbridge Road . the hotel brief walk Victoria station ( good shopping ! ) , Hyde Park , Kensington Palace , St James Park , Buckingham Palace , many Embassies include US embassy , Victoria Albert Museum ( highly recommend ! ) . Imperial War Museum London Eye short tube ride away Westminster abbey Tower London . there also walk on / walk bus catch Park Lane side Hyde Park ( near Marble Arch ) across London Hilton : excellent value money ! addition bus ride , number walking tour include $ 40.00 price : take " change Guard tour " " beatle tour " feel get excellent value money . particularly enjoy courteous personable staff bus company ( call " Big Bus Company " ) ask kind considerate hotel staff Sheraton Belgravia gladly direct local attraction . 
 Apr 11 2007 	 Attentive staff really good value 	 due location hotel , one London ' premium area , expensive hotel stay usually . sure good value money , even cost big issue particularly attractive lack many feature ( health club , variety bar restaurant etc ) .It , though , fabulous location close Sloane Street , Knightsbridge Kings Road . fabulous like shop ! staff hotel helpful , friendly attentive . perfectly fit premium nature rate hotel . , example , stay hotel day work meeting even conference deal £ 215 ( US $ 430 ) standard room . though , Starwood Gold Card holder , upgrade " Junior Suite " . room 7th floor lovely 3 large window look across rooftop London towards " London Eye " ( bear mind building tall London ! ) .The design fixture room traditional stylish , sort country house look . bathroom Molton Brown toiletry complimentary wireless access duration stay . give card code day check in . as mention , fitness centre hotel , issue think consider cost premium hotel . go road sister hotel business ' time head another hotel workout well usually ! pleasant small breakfast buffet bar pretty good . the room little noisy due location nature building , rather ugly building think may build late 1960 1970 , seem lack good soundproof window . I sound like negative hotel enjoy stay make feel important attentive . ' think hotel room worth money , unlikely stay choose hotel stay area . 
 Dec 27 2006 	 perfectly Convenient Amazing Service 	 fantastic time go London December 14th-19th . hectic flight delay , glad finally get hotel ! one gorgeous little boutique hotel . sheraton service amenity ' ve come expect . arrive exhausted greet big smile . sit check - in add lovely touch ! also get free complimentary beverage check hotel . get champagne , wine , hard liquor , sparkle water , soda , juice ! ' ve find Sheraton hundred time well Sheraton Heathrow , be noisy . the staff really friendly always willing help . also give great expensive inexpensive recommendation dining place go . Belgravia aream hotel locate , absolutely gorgeous . lot wealthy people London live around corner Sloane Street shopping mecca London . 5 - 8 minute walk Knightsbridge Tube Station , well Victoria Sq pick original hop on - off tour let tell , fantastic french bakery call Patisserie Valerie go get one Ham Cheese danish . oh lord , fresh oven , pipe hot high quality italian hams melt fontina cheese . top cappuccino be heaven . know , ' m digress little walk tube pleasant 's gorgeous area . the food excellent hotel fairly price . , live Boston ' m use pay lot money food not think 9 pound bit extreme burger , fry salad . technically $ 9 we state 9 pound someone England , be $ 18.00 us conversion can not think like London will miserable time . haha . room well keep bathroom small , really clean pretty . love deep tub ! bed super comfortable channel tv pretty fair . negative thing hotel elevator TINY . fit maybe 2 people 2 little travel suitcase , nothing . family 4 will separate two separate elevator make several trip lot luggage . , hotel fabulous would definitely stay ! 
 Mar 27 2006 	 nice bit tired 	 stay hotel five night business trip March 2006 . reasonably well locate Belgravia 10 minute walk number tube station , shop like Harrods Harvey Nichols . the lobby area small bit cramp . ramp need go three stair able check . bit unwieldy heavy bag . check - in quite smooth . room third floor , basically line rooftop real view . colleague room ninth floor apparently much well view . room reasonably size quite comfortable . desk one small English desk lot nice carve wood underneath keep bang knee . impractical ! many television channel choose , uncommon UK . bed king size bed two single bed put together . cause problem . bathroom fine although perhaps little small side . , uncommon UK hotel . shower work fine . access internet via wireless connection work quite well . relatively expensive per day basis , buy seven day package gbp38.we breakfast morning hotel downstairs small corridor like room . great deal choice buffet food need replenish quickly top . service quite good . room service couple time bit mixed . one meal quite good one bit disappointing . meal relatively expensive . the lobby convert area meal snack . however , non - smoker , would suggest people smoke area , many people smoke , absolutely stink tobacco smoke air clear quickly . even walk bit disgusting . it worth note building site next door never disturb noise . seem start early work late . even one morning late start , clearly activity next door noisy . as check , noticed hotel award 1996 1997 . think sum . clearly past prime , actually quite reasonable option want stay area . would stay , really member Starwood program . Sheraton Park Tower ( also area ) much nice hotel much expensive . 
 Feb 14 2006 	 Lots Space Wonderful Service 	 stay first trip England room huge standard . unaware no - tipping policy England hotel 's bell staff thrill . room service always quick well average food . room lovely view comfy window seat enjoy . one complaint hotel phone internet charge ... insanely high , credit staff warn even recommend nearby shop get phone card . I plan stay highly recommend . 
 Feb 13 2006 	 overprice old 	 stay 2 night break London July 2005 . lobby low ceilinge affair make feel quite claustrophobic . lift small unimpressive . bad encounter reach room . smell damp bathroom desperately need refurbishment . save grace breakfast consist good variety fruit well present . staff friendly helpful think could lot well term luxury hotel London . outside look like tired piece 70 's architecture . time refurbish ! 
 Feb 9 2006 	 Nice Comfortable Hotel Great Location 	 travel London business every month 6 year . stay everywhere imaginable , Hazlitts Berkeley Sanderson , ' ve pretty much see . ' m use stay thoughtfully design hotel Sheraton last trip choice usual book . let say - please every aspect hotel ! staff pleasant seem truly enjoy work . hotel clean , room average size . decor admittedly staid slightly proper , ignore place find . location allow run Harrods Harvey Nichols king Road easily . Marks & amp ; Spencer food market road 's easy stop way home work . great wine store across street too . highly recommend ! 
 Nov 15 2005 	 much nice typical Sheration 	 charming hotel nicely furnish room -- mine comfortably large -- superb staff service . not eat hotel restaurant . within 3 minute walk excellent supermarket , Starbucks , bakery , etc . hotel situate two Underground stop , 10 walk : Knightsbridge ( next Harrods , Harvey Nichols , etc . ) sloane Square ( many store , cafe , etc . ) . like London hotel , internet access ( either laptop business center ) telephone call outrageously price -- get UK cell phone go internet cafe instead . 
 Oct 23 2005 	 smelly old dank place . 	 first enter hotel smell old dead people come mind . consider price tag far bad hotel ever include really bad one usa.the none smoking room come fit ashtray , go figure . the staff great seriously embrasse raise issue . a tip hotel , somewhere , might want put clock hotel people like travel also like know time be . r 
 oct 22 2005 	 good need improvement 	 Belgravia fine hotel large average room London . location fair , bit trek tube stop center London . convienence nearby , enough make easy get good cup coffee morning . Checkin terribly slow hotel seem understaffed . tend stay Starwood hotel status benefit status . not seem benefit status hotel , unusual past experience London . may stay Park Tower unavailable , would reason 
 Sep 16 2005 	 great location beautiful interior 	 boyfriend stay hotel past week . last night London want somewhere bit different . hotel locate Belgravia 5 minute walk Knightsbridge . neighborhood fill embassy beautiful old georgian style home . absolutely gorgeous . hotel 15 minute walk Knightsbridge Underground stop plenty taxi area . hotel boutique type . quaint beautiful interior extremely helpful friendly staff . room small not bother . clean bathroom decorate nicely . complaint important one bed sleep mattress old . slope towards middle spend uncomfortable night toss turn woke ache back . surprised quality mattress Sheratons US heavenly bed quite comfortable . spite uncomfortable bed , would stay location , quiet neighborhood service offer hotel . 
 Aug 19 2005 	 Great Choice 	 ' ve stay hotel twice easily recommend . fact , think go hotel use London . room usually high Sheraton standard . staff among good service orient ' ve ever pleasure dealing . location superb : easy walking distance Buckingham palace park , 15 minute walk Victoria Station , 5 minute walk either two tube station ( Sloane Sq Kightsbridge ) . highly recommend . 
 Aug 5 2005 	 one London 's good Kept secret 	 pleasure spending 5 night Sheraton Belgravia . location Belgravia quiet , leafy , safe , upscale neighbourhood ( convenient Harrods Harvey Nichols ) . build next door construction issue unless plan spending 24/7 lock inside room ! exterior building modern , however step inside appreciate charming english atmosphere . room well appoint , clean spacious ( London ) comforable bed , sit area full size desk . the staff helpful friendly . Mulberry ( hotel restaurant ) nice , prompt service good food slightly pricey ( expect London ) . also French Bakery , starbuck local market within block hotel . I stay Marriott County Hall , Sheraton Park Lane , Hilton Park Lane Marriott Marble Arch previously far , Sheraton Belgravia superior . definitely back ! 
 Jul 29 2005 	 great service perfect room 	 love stay Belgravia ! stay several hotel London 's really stand out:1 . service - staff incredibly helpful , pushy , seem genuincely surprised tipped . cheerful informative city , take time give direction make reccomedations.2 . room - 2 large 2 small suitcase , hotel not try become contortionist move around bed pile luggage , lot room . AC great , much need , extremely hot humid stay . bathroom load counter space , tub ( although narrow ) nice deep.3 . Location - 10 minute walk Harrods , Harvey Nichols , etc , perhaps 7 minute walk Sloanes Square tube station .. trouble get around . overall really enjoy Sheraton Belgravia would reccomend without hesitation other 
 Jul 3 2005 	 enjoy quaintness charm 	 big fan Starwood disappoint Sheraton Belgravia . be small quaint Sheraton nice charm full amenity expect . nice large corner room overlook active intersection . quiet , hear little hustle bustle London expect . Belgravia upper scale neighborhood surround park , small shop course , Starbucks . locate 4 - 5 walking block harrod one end Hyde Park . 's 20 minute walk Buckingham Palace many great location . London expensive Mulberry restaurant Sheraton american breakfast egg , pancake , fruit , sausage , bacon mushroom L19 $ 34 U.S. dollar . Drones , excellent french restaurant around corner worth go to . overall , good value , close enough everything , locate residential upscale neighborhoood feel like home . 
 Jun 7 2005 	 Loved Belgravia -- - Sheraton Brand English Charm 	 love hotel . location great ! middle everything , close enough get need go . 's close Sloane Street Harrod 's , cute boutique right street hotel . also really cute gourmet grocery store nearby ( shockingly expensive would think ) .i guess can not leave proper review Belgravia without provide construction update : estimation be almost . fact not hear construction . worried stay ' m glad not deter . plus , chance room construction happen . clarify , construction next door hotel , within hotel . the hotel small quaint . jazz lobby around happy hour time , staff nice helpful . concierge gregger fantastic direction general information . the room nicely appoint nice size . room king size bed pull apart twin bed night . converter plug also convert electricity , come handy , well . bathroom size fine , shower pressure good , water hot tub deep nice soak choose . room also in - room safe , always good travel . I would definitely stay - perfect combination reputation Sheraton brand charm London boutique hotel . 
 May 23 2005 	 great location great size good service 
 Apr 24 2005 	 Lots noise exacerbate poor disorganized service 
 Apr 14 2005 	 great small hotel lovely neighbornood . 
 Feb 2 2005 	 Great Staff Good Location Great Stay 
 Jan 11 2005 	 Fabulous Hotel 
 Dec 15 2004 	 great shopper 
 Oct 31 2004 	 small comfortable 
 Mar 13 2004 	 inside Nice Hotel 
 Jan 20 2003 	 forever remember 
 Nov 11 2002 	 ok hotel big spender 
 Aug 9 2008 	 Ubicación excelente . 
