great 	 book two deluxe double double room spacious . bed comfortable . room hot despite turn heat turn a / c . second room plumbing issue . staff really friendly helpful display none superior attitude often encounter upscale hotel . 
 Mar 25 2009 	 great value friendly helpful staff . love 	 husband return weekend New York . get amazing deal Quickbook Marcel although bit nervous read review , good turn down . yes room tiny , phone ahead request large room none available arrive . husband call desk tell disappointed room tell we would upgrade we morning . say sleep incredibly comfortable bed not really care whether move . next morning pack bag leave day , return evening bag move fabulous room 9th floor view Empire State building . every turn staff friendly helpful , definitely return . , worth pay extra large room , still enjoy location lovely hotel . 
 Mar 20 2009 	 Chic super - central hotel unbeatable price ! 	 get excellent deal via hotels.com ( around 700 $ 6 - night stay ) pleasantly surprised get Marcel . late arrival time problem ( call ahead ) staff genuinely friendly . room ( 216 ) quite spacious ( comaprison other , obvioulsy ) . backdrop window face backyard . : want spend time stare hotel window NYC ? decoration tasteful elegant , room equipment perfect . for good rate would recommend book hotel website rather browse common hotel website good deal . we would definitely go back Marcel soon ! 
 Mar 16 2009 	 great stay great price 	 never write online review . , since rely heavily Tripadvisor review decide stay New York , felt compel write stay hotel . partner stay Marcel end February , 2009 . get decent rate deluxe room King size bed ( $ 511 CAD taxis 3 night plus Aeroplan point since reserve Air Canada website ) . overall great stay . hotel clean staff encounter extremely helpful courteous , especially doorman . use computer nice lounge 10th floor one evening short wait . room small , nice . not mind since leave room early morning return night sleep . number great place eat within walking distance hotel . subway 5 minute walk away major attraction within 15 25 minute walk . would stay Marcel . 
 Mar 9 2009 	 dump ! 	 hotel renovating stay advise we . noise mess unbearable start early hour . room unbelievably small , could not even accomodate two suitcase leave one bathroom inconvenient . ask new room room renovate full could move we . say would look hotel inform we book advance would refund money . restaurant close entire stay ( also tell ) cappucino bar complimentary coffee pastry coffee machine lobby staff would not show we work . elevator take builder patron use stair . staff unfriendly time borderline rude . room clean 6 night . although room tiny try spend time mess outside room concern we . build supply leave corridor , immediately outside room , elevator common area . staff even refuse call we taxi airport - apparently & quot ; not & quot ; would avoid hotel cost , even factor discomfort cause renovation , service appalling , room tiny noisy price far far far expensive standard . would prefer travelodge hojo 's marcel 
 Feb 27 2009 	 great stay Marcel 	 get crazy deal quikbook - something $ 80 , seriously . give price little nervous , hotel lovely . room 5th floor , small . spotless , well appoint . bed comfortable , room beautifully decorate , bathroom great . nice desk , ipod clock next bed , flat screen tv . heating / AC unit little wonky , overall thrilled whole place , especially give price . 
 Feb 25 2009 	 hotel stay NY 	 not many hotel say make want return city much Marcel . partner stay one corner suit spacious contemporary design lime zebra print decor ... believe tasteful elegant . room extremely clean keep way stay . the hotel 20 minute walk away Time Square ( north ) Union Square ( south ) 10/15 minute away main shopping area Maceys . the staff extremely polite go way help . one NY 's frequent heavy pour one concierge go onto flood street hail we Taxi , absolutley soak . there be also nice roof garden not know get view Chrysler building MetLife tower . be also 2 pc 's guest use free internet acce , handy plan day . 
 Feb 24 2009 	 hip ! ! 	 really surprised get room low price hotel . ' m interior design student think recent renovation decor FABULOUS ! ! ' m also airline worker travel quite bit last 18 year far hip hotel ' ve stay price pay . ' ve NYC quite time thus not surprised size room like other .... 's size NYC unless money object . certainly stay hotel get price ( around $ 140 ttl ) although imagine might low season economy get price . bed nice plush super - fluffy bathrobe bed . be also close subway . unfortunately , stay one night super - early flight morning can not comment anything else really . 
 Feb 9 2009 	 Amazing Value 	 Marcel incredible rate . room clean , decorate nicely , good size city . arrive 10 a.m room ready - big plus . want 24 hour room service spa gym , not hotel . want clean nice room decent rate , love Marcel . although Midtown close tourist spot , everything within walking distance . enjoyed stay different part NYC , able discover area previously ignore stay large popular hotel . 
 Jan 14 2009 	 Great Value Marcel 	 spend 5 night ny stay Marcel love . room 904 corner room could see Empire State Building . be concerned hotel read Trip Advisor review complaint . our room large NY standard , clean well appoint . the staff helpful nothing much trouble , particularly doorman . we love location remove tourist area close everything . would definitely recommend hotel . 
 Jan 14 2009 	 lovely hotel ! 	 stay hotel 2 night new year . allow check early great giant backpack do not want carry round usual check time 3 pm check abut 12 . room lovely ! lot space clean , funky modern . funky interior mkaes room look great ! staff friendly 10th floor free hot drink free internet access , also walk onto roof seat 10th floor great view city . due night stay hotel price go , marcel reasonably price good review . problem new year day clean hoovering outside door morning , know job I m moan love sleep : ) overall would definitely recommend hotel ! 
 Jan 6 2009 	 Great experience ! ! ! get good deal NYC ! ! ! 	 planning trip month nice getaway Boston area . book three previous hotel finally settle Marcel . start book new hotel Madison Square Gdn area $ 149.00 / not . soon find Hampton Inn Soho price & amp ; book backup . couple week trip see Quikbook Eastgate Tower $ 119.00 / not book & amp ; cancel previous 2 reservation . 4 day later watch site & amp ; find Marcel $ 106.00 per nite standard queen room . quickly book rate 2 nite . could believe find 3 star hotel Manhattan great location low rate . doubt , quickly reassure arrive Marcel & amp ; assign lovely room king size bed , flat screen tv , top quality toiletry . , nice , nice room ! ! ! ! Clean & amp ; fresh every time return . problem tv other write . maybe get lucky ... complimentary wine & amp ; cheese party 10th floor lounge 6 pm weekday nice perk & amp ; beautiful outdoor terrace magnificent view Empire State Bldg . service accomodate & amp ; exceptionally friendly . Doormen great . continental breakfast look wonderful 12.00 per person . many place breakfast nearby delicious food . location really nice explore alot different area city . walk place sbway block away . room quiet bacjk bldg . feel sorry anyone get small room , one large room floor quite low rate . , arrive , sign nychotels.com website join Amsterdam Hospitality Club . email gen mnger club day confirm reservation & amp ; request corner room high floor . quick return email confirmation & amp ; assure request receive . never get corner room upgrade king room . not know email join club anything , great room $ 106.00 nite Manhattan . would DEFINITELY stay , anytime visit big apple . 
 Jan 3 2009 	 Shoebox room kind staff ! 	 ok , 's New York , still not prepare ! budget $ 250 night good deal could find Expedia . we arrive late midnight , tired need bed - show room shock - not even room lie suitcase floor , ' m exaggerate . room 8x8 ft shoebox bathroom match . get anything suitcase mission . would not even think possible call sized room double bedroom . try stick kind generator whir outside window keep awake night . call reception 4 am see anything could not surprised could not sleep , know generator noisy could not anything belong restaurant next door . argh ! anyway , kind staff patiently show we 2 room next day move we quieter ( much big , 2x size ! ) room . stay much pleasant . say sure would recommend hotel though , draw short straw room be f * * * ked ! however staff delightful could not enough help , possibly patient kind hotel staff ' ve ever meet ! good basic business lounge top hotel 10th floor ( nice bright ) spend lot time work - free tea coffee also get local pub 's wireless not pay hotel rate ! would recommend room away back hotel be stay . 
 Dec 7 2008 	 Decent Lower east side hotel 	 overall , 's decent hotel Lower East Side location away crowd , , one walk ( feel energetic ) many place midtown , Soho Greenwich Village . otherwise , subway ( 23rd / Park ) 2 block away . feel safe walk around , even night . usd 250 / night , one low expectation NY . staff friendly . room cosy , appear recently renovate ( though bit shoddy ) , high ceiling ; however , acknowledge one would able open suitcase room ( # 515 ) . 's small armoire clothe large LCD TV , occasional bad reception . bed comfortable . quiet , hear neighbours street ( room back building ) , look onto back adjacent building , close couple meter away , one side . room reasonably bright blind open , close due proximity adjacent building , thus appear bit dim even light . clean problem heat hot water , one 2 window not close properly . be great communal area 10th floor , free internet coffee 11 am , free drink cheese early evening ( not attend ) . 's fantastic outdoor patio view Chrysler Met Life building . not eat hotel ; many eatery along 3rd Avenue suit taste budget , well convenience store , pharmacy etc . 
 Dec 1 2008 	 nice stay Marcel 	 stay another hotel Central Manhattan decide try hotel last 3 day - Marcel suprise we pleasent manner . the service hotel good - luggage handler desk service ..... always helpful friendly ! ! hotel renovate modern date . there nice breakfast room / bar room top super terrace overlook Chrysler Building . the breakfast buffet ok get coffee shop less money . the room tip - top moderne touch ( large mirror , office desk , flat screen tv , etc . ) price 430 usd per night Marcel dos not come cheaply compare similar hotel pricelevel NY 's seem ok deal 
 Nov 22 2008 	 Fantastic Reliable Marcel 	 Booked Marcel great $ 250 night deluxe room four night Booking.com base recent review Tripadvisor . Loved , love ! mail hotel arrival confirm request corner room recommend Tripadvisor receive reply Ursula could accommodate professional . lovely welcome arrival get corner room 7th floor view Empire State Building one window Crysler Building . room clean always , iron great hairdryer make glad have risk leave travel dryer iron home lieu space case couple new pair shoe . loved 10th Floor guest floor . great idea free coffee , free wine cheese 6.00pm-7.00pm , free internet always available visit great outdoor area would encourage return summer view . staff hotel always friendly polite . picky , hotel warm could hear neighbour adjoining room couple time big deal . loved area , especially Milano next door Vertigo bar food across road 3rd . , accessibility hotel downtown Manhattan great bargain choice friendly , happy buzz .. would recommend wait return . 
 Nov 14 2008 	 ' ve stay nice Youth Hostels 	 despite trendy looking photo , neighborhood cache , marcel live price tag . first room assign small dark air conditioner could not shut , not actually blow remotely cool air . ask reception could change room one available smoking room window thin block traffic sound street , one story . bathroom room clean overall , room shoddy construction detail . fairly sleepless night , think least have good shower start day long meeting . get early could hear people room next door ... apparently shower side - by - side separate wall . shower little water pressure hot water start hot , get cold , hot continued duration moderate shower . , try use hairdryer start fine normal air - flow seem die slowly air reduce hardly anything . imagine due poor electrical wiring hotel . hotel hairdryer room , time hair dry , hairdryer fry not work . mind , first night ! ! leave day , request move room high floor non - smoking room . one slightly well . Wan na hear experience room ? flat panel tv , though nice looking , get snowy , static reception , iron black sticky stuff bottom , one outlet room bathroom ... clean iron , set iron board , plug iron cord long enough reach bathroom . ok , think get drift . would recommend hotel anyone . much well moderate hotel city pricetag . tend think positive review place write hotel staff ! sure anyone could enjoy . spend money elsewhere get good night 's sleep . 
 Nov 8 2008 	 overprice - even NTC 	 Hotel expectation NYC always need quite low . check Marcel front desk staff behave though spend quarter actual cost place . tiny tiny room air - conditioner 1970 , touch make look ' design ' ' boutique ' not hide fact 100 % clean , bathroom suite old fashion ugly even wardrobe store clothe . would stay . 
 Nov 4 2008 	 clean convenient 	 hotel nice location , convenient subway midtown . clean staff friendly helpful . room small expect NYC tiny . the shower half door ! weird . look like half slide door slide . call front desk , assume break , tell meant way . showered water always get floor . place put anything show , shelf shampoo razor . there nice area 10th floor wifi available . serve continental breakfast buy , coffee free . outdoor area , 10th floor , look like would great weather right . aside shower satisfied hotel . plenty place eat close 
 Nov 4 2008 	 ok 350 $ 	 go husbant 23 - 29october 2008 . read review request front room overlook street rather back room . size good extremely comfortable , design modern room clean . problem room - one reviewer mentioned- window double glaze imagine hotel 3rd avenue . first 2 day not problem knackered jetlag noise loud decent amount sleep end wake every day least 7 ! ! ! noise issue , first day arrive notice connected door room lock open face another door lock inside adjoining room . first day adjoining room obviously accupie . second day , wake middle night laughter conversation think take place room - please bear mind hotel acoustic UNBELIEVABLE ! hear everything ... even noise toillet shower . also note room service late afternoon , coffe morning want one room ( big one husbant want early morning waker dress go starbuck 3rd avenue ) .We check 9th floor room complimentary coffee pc bear mind size 2 small hotel room ; pc almost always take ; view truly nice . coffee great , even complimentary ... honest try complimentary cheese afternoon . staff specially doormas nice - reception people bite indifferent , much bother . overall would say ok amount money definitely need something noise ... 
 Oct 23 2008 	 Fantastic 	 love Marcel ! although room rather small , comfort fantastic . especially bed great ( exactly need long stroll trough city ) . roof terra tenth floor great . 6 o'clock wine cheese reception ( free ! ) offer free coffee access internet . location central NY . back . 
 oct 22 2008 	 hesitate 	 bad experience woudl hesitate recommend hotel . arrival air conditioning full blast like walk fridge . gave try switch get front desk help . tell heating time year even though room freeze . anyway think room would eventually warm let go . notice horrendouss noise outside , check window find break . ask another room move room small door hit mini bar try open . room quieter ....... window hide away feel like cupboard . air conditioning corner dark could not see control . also , window open onto brick wall . could wait get place . one good point - try room service food good . 
 Oct 8 2008 	 will back ! 	 stay Marcel could not well , great location , clean room staff wonderful especially Angel doorman Michael front desk plus view 10th floor breakfast lounge stunning make first trip New York truly memorable experience .......... will back ! 
 Sep 29 2008 	 great location ; Great Staff . 	 hotel perfect & quot ; retired & quot ; single woman . I apprehensive alone New York staff could helpful . help door baggage ; give map direction walk , subway , everything need arrival reception ( next day theatre ticket shuttle airport arrange ) .room indeed small reviewer say , ( no - where put suitcase ) clean street view recommend ask . housekeeper even lend umbrella last day ! 9th floor one floor roof lounge free coffee internet day terrace sit right time year . area feel safe even walk subway two block away late night fail find cab theatre district . I definitely use hotel future trip New York . 
 Sep 21 2008 	 great location clean friendly 	 choose stay Marcel consulting Trip Advisor , disappointed . clean , maybe small side , expect Manhattan , spend much time room , except sleep . the staff helpful friendly . eat hotel lot place vicinity choose . criticism would capuccino machine break three day ! would definitely stay . recommend baluchis indian restaurant , round corner Marcel , food service excellent . 
 Sep 14 2008 	 Loved Marcel 	 love hotel . choose location ( want stay near friend 's apartment ) every time return hotel feel good walk calm chic atmosphere . love room , beautiful rooftop terrace , breakfast , later day , complimentary wine cheese get - together . fellow guest international may Fashion Week see several model stay . could walk Lower East Side enjoy area inbetween . would definitely stay . 
 Aug 3 2008 	 great service . 	 stay 5 night . good low midtown location . far Madison square , nice area , walk couple block subway . our room spacious , clean , modern decoration . great rooftop terrace , complimentary wine cheese 6 pm 7 pm stay , serve wonderful Alex . free coffee internet access 30 minute lovely rooftop lounge room . warm welcome receptionist ever helpful staff . small hotel feel personal . great little diner road . quiet enough area give respite 24 hour city fun . do not hesitate book , great . downside window face inward not really get much daylight . could ask street face room want . 
 Jul 14 2008 	 Honest Review ! 	 stay Marcel Fourth July . really worried read ALOT bad review Yahoo . , honest unbiased opinion . decent neighborhood clean . couple front desk people personality welcome skill door man courteous accomadating . room nice small . main channel t.v not come . sink weird almost unusable brushing tooth washing face . elevator time take long time come . , , price , horrible . great average . 
 Jul 8 2008 	 excellent location ! great staff ! 	 marcel nice location , many place eat near east side NYC . 4th July exactly want ! service value excellent . great park nearby , subway two short block away . nice mixed , neighborhood , 's brainer . 
 Jul 6 2008 	 great hotel friendly staff god location 	 Marcel good looking , small hotel good location close Union Square etc . stay superior room nicely decorate featured view Empire State . encounter one major problem check - hotel overbooke transfer another hotel . next day , however , room available get money taxi fare . I´d absolutely recomend place . 
 Jun 27 2008 	 great moderately price hotel 	 recently stay Marcel Hotel 1 week 7 - 14 June . find ! . lot search internet get right hotel we finally decide take gamble Marcel . apprehensive first , hotels Trip Advisor , always negative review well positive . thrilled choice . location great - Murray Hill midtown Manhattan , relatively quiet area NY ( hotel corner 3rd Avenue e 24th St ) . book deluxe room base traveller ' comment ask corner room get 7th floor ( hotel 10 floor ) . ample big enough us 2 large window look Empire State Building nearby . bathroom fine cleanliness excellent . check staff friendly doorman . notice traffic noise 7th floor . however , next door room music blare loudly 1 am staff deal complain . attractive lounge 10th floor ( great view esb ) free internet access great coffee machine ( available 11 am ) good cafe au lait NY ! lounge lead rooftop deck develop attractive shrub planter lounger relax hard day 's trudge around NY sight . 3rd Avenue great restaurant particularly enjoy Bamiyan ( Afghani ) Vertigo Bar . Pick Bagel block away satisfied breakfast pang . what great moderately price hotel great city . can not wait go back . 
 Jun 18 2008 	 average room excellent price sketchy website 	 stay Hotel Marcel April 2008 . modern styled hotel Rose Hill neighborhood . hotel room overall adequate - big expect , slight air residual smoke even though non - smoking room . not bad enough complain though , not feedback hotel would dealt issue . tv channel selection pretty bad - many channel work . bed comfortable , street noise little bothersome . problem many hotel Manhattan not bad average NYC hotel . issue book hotel - book hotel 's web site ( nychotels.com ) . clearly get good rate ( less $ 300 night Manhattan ) , e - mail confirmation get almost make believe web site fake . look unofficial , credit card number expiration date clear text . unacceptable modern internet era , opinion . also receive booking number , confirmation number . call confirm reservation , could find first ( eventually ) . would recommend call hotel confirm reservation . overall , incredible price able get room outweigh minor flaw hotel . none item ' ve mention negative impact stay , demand hotel . 
 Jun 2 2008 	 Ultra Modern trendy 	 stay long weekend boyfriend . room small expect clean modern . excellent decor . 1st night ceiling bathroom start fall ! move straight away superior room , hasstle . location good . Chelsea area manhatten . get taxi main attraction $ 10 . Taxi airport flat fee $ 50 . staff friendly helpful . odd thing bar loacte inside hotel . drink still bite strange . carfeul TOUCH anythng inthe minibar unless u actually want . sensor u remove item 20secs u pay ! flat screen tv 's ipod docking station nice touch . nice cafe nearby get breakfast - try hidden city cafe traditional pancake , breakfast muffin smoothie . Neares subway 5 min walk away - although would rather get taxi ! 
 Jun 2 2008 	 good value ! 	 stay husband 5 night holiday NY . hotel lovely - nice boutique vibe staff friendly helpful . problem next air con whole hotel due problem noisy . luckily tired slept light sleeper would struggle . say not think normally bad fixing there . free cheese wine evening replace free nibble cocktail . free coffee internet still available view empire state roof terrace ace . would recommend hotel - nice safe area lot local bar restaurant . would definitely stay . 
 May 4 2008 	 pleasant hotel 	 lovely hotel , good location , bit expensive , 's manhattan , friendly staff helpfull , love stay next time ! ! ! ! ! 
 May 1 2008 	 nice price . 	 year travel NYC couple time year business pleasure , become tired pay $ 400 + night place like W Union Square ( great hotel block Marcel ) . pleasantly surprise Marcel , remind W many level . check - in little rough tell room type request available ( 2 doubles/ non - smoking ) . offer room one hotel ( near midtown , way ) . say room smoking floor , fine . room walk 1 double bed , small room ever see , even 1 person . room finally get fine . floor smell smoke , horribly . room fine , tv not work well . interior room second floor , view . bathroom sufficient clean . location great I . the computer free coffee tea 10th floor great well , although elevator slow time . I would recommend request room 1 bed , feel may small . 
 Apr 16 2008 	 nice boutique hotel ! 	 stay Marcel 4 night begin April & amp ; great time ! hotel clean room adequate stay . good area walk place subway 2 block away . there guest lounge 10th floor offer complimentary tea & amp ; coffee day two pc free internet access handy . currently not bar / restaurant one build moment .... overall nice hotel good location not break bank ! 
 Apr 1 2008 	 overrate mediocre hotel 	 spend 7 night Marcel pretty good sense hotel . try project fancy image doorman , funky decor wine cheese evening , not really live expectation . room -- one bed -- , tiny . know 's New York , 's place put suitcase , be rough . room decor clash fun . enjoy modern color print . big problem clean folk . despite leave room repeatedly keep knock door , room still not clean 5:00 evening . not feel comfortable well clean . one day come find uncleaned room fill cigarette smoke window open room smoking lounge . pay extra wireless service , not cheap , adequate , rather slow . one plus front desk staff doorman . always friendly helpful . think hotel work improve cleaning staff , get well , might want ask large room . 
 Mar 28 2008 	 pleasant 	 location price , expectation hotel pretty low . quite surprised find nice hotel . staff could helpful friendly . upon check - in request quiet room . know , quiet room NYC , dream ! , shockingly surprised get interior room quiet could not guess even city . bed hard like bathroom one annoying new square shallow sink , wine cheese reception warm friendly . not miss chance step terrace hospitality suite , view ! ! ! overall , pleasant experience , one seek ! 
 Mar 13 2008 	 really like Marcel 	 think excellent . stay massive bedroom slick clean groovy . staff helpful indeed give glass sparkle wine minute check . couple downside .. bedroom terribly overheat . loved 10th floor get free internet excellent coffee breakfast disappointing . rock hard bagel indifferent cereal . not waste money many great place 10 minute walk away . overall would definitely recomme would stay . 
 Mar 12 2008 	 cheap 	 New York quite resonably price hotel - I stay hotel quite frequently due business would give hotel 7/10 , room clean trendy decor . good location bar food bad shopping least 10 block away . great TV ! bad thing room obviosly small , odd layout door open onto bed , bathroom okay style do not fit rest decor . VIEW - ours bricke alley . resonably helpful staff . nice stylish budget hotel . 
 Feb 20 2008 	 LOVED Marcel ! ! 	 love place ! marcel extremly clean , staff fantastic room huge ! lounge tenth floor great - computer free internet access ( great want google Restaurant ) , free coffee tea , amazing roof deck ! book hotels.com get deluxe room- pay $ 250 night , definitly well worth ! also , call Hotel request corner room . 1 corner room per floor , sure call early . parking across street $ 27 per day . great location - close village ( $ 6 cab ride ) . - love place would recommend anyone ! stay room 607 amazing . 
 Feb 18 2008 	 Perfect Everyway ! ! 	 boyfriend stay one night celebrate valentine day . arrive around 730pm check quick simple , give we key . entrance way wide fireplace build th wall doorman . parcke deck right across street 24 hour charge we 27 $ be not bad parking city ! stay room 311 . tiny , clean modern . bathroom clean pretty decent sized . bed comfortable except fit sheet be not tight keep move move . liquor store convenience store right around corner . Cab Lafayette 10 $ .check simple quick well ! ! would DEF recommend hotel couple ... worth money ! ! ! 
 Feb 5 2008 	 Loved Marcel 	 love hotel . decorate way would love place do . modern sleek .. room small , NYC . not care much shallow bathroom sink , bathroom well appoint . all : love place totally stay ! 
 Feb 2 2008 	 Plumbing disaster 	 other write serious problem plumb mid - late January . throughout week stay water , cold water , water , plumbing start make really loud noise , water , ect . although front desk send someone deal problem - nothing solve live it . the room also hot window open time even though freeze outside throughout stay . the staff polite helpful room clean . the hotel excellent location uptown downtown quiet safe location . 
 Jan 31 2008 		 stay business end January . room small , shower cold . room lie odd . fan decor . clean staff friendly . 
 Jan 29 2008 	 Quality Room Great Rate 	 stay Sunday Tuesday mid Jan 2008 . Got super recently update room 4th floor face Third Avenue . Quick , friendly service desk lobby . tenth floor lounge never crowded , free computer internet access . internet wireless room great , although cost $ 10 / day extra . shower water cool two day around noon . front desk not know . good location subway bus travel . good choice afford $ 500 / night great choice can not . 
 Jan 29 2008 	 great hotel highly recommend 	 research get good rate hotels.co.uk Room huge big enough , immaculately clean day , hotel staff friendly courteous . free internet , coffee , cheese wine great touch . check 5 am ( ! ) last day effortless taxi arrange concierge even arrive early . subway 10 minute walk away . area great - definitely take time explore bar restaurant 3rd avenue . negative noise road ( especially drill 5 am ! ! ) , kettle room ( maybe english thing ! ) , room initially hot ( figure open heater great adjust however ) . would stay , 's quirky , clean convenient . 
 Jan 7 2008 	 credit card fraud ! 	 hotel nice however immediately follow last two business trip take stay hotel fraudulent charge airfare various place around world place credit card . , happen twice two different credit card . colleague suffer fate ! careful ! 
 Jan 4 2008 	 okay -- get room big closet ! 	 book room Expedia read previous review , clearly end bad room entire hotel ! ! call two week early request corner room view . get -- small hotel room ' ve ever see , average 90 degree temp , view alleyway . honestly , hotel room big enough small double bed , mini fridge couple bedside lamp . add two human , two piece luggage 2 ' sq floor space leave . temperature room -- could not even sleep cover , even would leave window open . staff extremely unhelpful well . willing expect $ 5 carry bag 2 foot elevator , unwilling ring back problem . call reception request another room ( pay $ 350 night closet room directly next elevator ! ) say would check another room call we back . never . rang check , ask someone maintenance check heating problem tell room problem heating & quot ; happen New York -- open windows & quot ; . nice . please , please please spend $ 350 / night elsewhere . terrible place , disappionte . great neighborhood , terrible hotel -- unless like sleep small , noisy , box - like sauna . 
 Jan 2 2008 	 would stay heartbeat ! 	 stay 4 night Christmas impress Marcel . check , greet glass champagne , ask possible get room view , check staff give we awesome room , direct view Empire State Building . the room big enough two we great dual shower ! ( nothing could beat view ! ) throughout stay , staff always extrememly helpful fun chatty . the location great surround area full cafe , restaruant nice little shop , plus subway 2 block away . I would recommend hotel without hesitation anyone . 
 Dec 27 2007 	 renovation Worth Waiting ! 	 stay one night weekend Christmas see Seurat exhibit moma . stay nine month early summer . time hotel complete much needed renovation . lucky enough get renovate room time room show wear . remember feel quite disappointed room much drab worn display photo show . visit renovation finish hotel transform . lobby reception area tasteful , comfortable , ( particularly welcome December ) feature sit area gas fireplace . person reception desk friendly , helpful , happy explain we hotel long offer free espresso lobby , offer free coffee tenth floor lounge . room , time , tenth floor . hotel two elevator , one large one small . remember one last stay . tenth floor several room lounge . area promise free coffee , large flat screen tv two computer station offer free internet access ( one operational ) . enter room shock . feature sit area two white leather arm chair , white leather lounger seat footstool , snack bar stock refrigerator , flat screen TV . carpet new , clean , simple narrow black white stripe . push way set double frosted glass door find room king size bed , another flat screen tv closet . peek bathroom see new modern fixture , hand - hold shower , deep bath ( jet ! ) have ever see hotel . nervously call front desk make sure rate ( fantastic rate , prepay though Expedia ) make sure would mistake . person apologize frightening we say give we free upgrade good room available , think would like . well , . know atypical room , deluxe one would usually stay , entire hotel clean , tastefully decorate simple black white theme , staff friendly , helpful people . couple issue could improve . issue cable tv room many channel could get pay - per - view work . disappointment . one computer tenth floor lounge operational would helpful sign informed fact . room bathroom spotlessly clean , fill tub use jet become obvious sit unused quite shot black fleck look like mold develop jet . big deal , fixable fill tub operate jet regular basis . , clean , safe , well staff hotel safe neighborhood two block subway minor maintenance issue . will back ! 24 hour diner block away coffee shop across street . also typical small NY market sell everything ; able buy toothpaste have forget pack bottled sparkle water prefer drink . 
 Dec 22 2007 	 problem nice stay 	 reading review , second thought ' m glad stay . boyfriend originally book standard room , upgrade deluxe noticing price deluxe $ 10 night . con : -the toilet not flush , boyfriend fool around fix within 3 min , nothing big.-they not pay per view demand setup.-tv little blurry - mini bar overly price - the last morning , hear random loud drilling hammer around 7 8 , good . pros - clean - nice neighborhood - great shower ! ! -convenientall around would stay , plaza , adequate nice . 
 Dec 3 2007 	 extremely 	 reading review Marcel trip advisor prepare disappointment . want stay 60 Thompson Chambers ( 4/5 star boutique hotel ' ve pleasant stay previously , double price Marcel ) , totally book - option would take particular hotel . on arrival concern exactly alleviate tell reception hot water telephone / internet service : facilite ' upgrade ' would available follow day . not good start . however , make effort contact hotel directly two week travel secure corner room high floor . trune good move room utterly wonderful : large ( large room either 60 Thompson Chambers ) , furnish hip yet sophisticated style , everything carpet bed leather desk flat screen tv i - pod dock clock - radio appear brand , spank new . I two huge , beautiful window double aspect view . even bathroom pleasant surprise - much well expect look ' reviewer ' photo website . ever stay hotel - definitely try secure corner room ( be one per floor ) .there fully stock mini - bar ( interestingly without alcohol ) extra amenetie good , well , boutique hotel . the follow morning hot water back telephone working fine , problem duration 4 night stay . there two great , traditional diner two block hotel , great bar / restaurant call VERTIGO serve truly excellent contemporary american food ( - amazingly - english cider ! ) .The bottom line ? really need spend double money . excellent stay - would definitely go back , would guarantee corner room ! 
 Dec 3 2007 	 nice right price ... 	 read review Trip Advisor , approach Marcel caution . turn okay , major complaint , exactly good value either . some caveat : suppose romantic getaway weekend wife & amp ; , look pretty casually place month . turn , first weekend Nov. Marathon weekend NYC . wonder room disappear seemingly overnight . leave little choice , much high rate expect . the review : Marcel standard european style boutique hotel modern decor . see place pop last year . recently stay Roger Williams ( back ' 03 ) dirt cheap ( $ 140 / not ) , be almost $ 500 night . the room Marcel ( see 2 ) small - 9 ' x 12 ' . bed nicely sized , take lot room . add small dresser , mini fridge , night table become pretty tight . surprise , hotel like similarly lay out . the bed comfy , linen soft fresh . laundry bleach smell . bathroom really tight , ample . shower walk - in style , will save & quot ; Cons & quot ; part review . the Closet small , adequate , & quot ; dresser & quot ; consist 2 whole drawer space . night table drawer , put extra clothe pile floor next bed . we room 910 , huge window overlook 24th st . provide respite would otherwise claustrophobic experience . plenty light air ( thru open window ) . inspiring view , nice one . close blind night , unless not mind display apartment building across street - sure not .... base review , originally ask room away stair . give 501 , believe . view interior building - essentially black brick wall . room scosh big , wife say way . move we 910 . stair issue contend , however right next elevator . prove non - issue , even weekend . little noise , outside , matter . unless be visit rural Montana , think would find surprisingly quiet . the bad : walk - in shower . hotel insist ? curtain leave 2 inch gap spray soak whole floor . ask extra towel . Mini - bar . ' m go agree reviewer say leave space stuff . content ridiculously overprice , be tray top stock goody sit little sensor . item remove 20 second get charge account automatically ( WTF ? ! ! ) . insideous , ? move tray way use crap . outlet . day , traveler come packed like gadget store : cell phone , digital camera , video camera , iPod , laptop , etc . thing come charger . know , outlet tuck away night table ( not move ) , virtually unreachable , fill lamp clock plug ? sure , be one tv , be 3 foot floor , well hope little charger not fall . would courtesy outlet wrong ? .... nutshell : nice decor , nice neighborhood - ( Pick - a - Bagel 2 block south awesome ) quiet , plenty amenity nearby , # 6 train 2 block east . friendly staff , willing accomodate ask . clean , small room . inconvenient outlet , somewhat messy shower . would stay ? price drop $ 200 , yes . take look review WalkNYC ( .com ) private walking tour . highly recommend . 
 Nov 27 2007 	 cold shower 	 cold shower 4 day reception really not care . not even know moma museum open . central heating break 1 day . rest hotel ( bed , location , furniture ) ok . 
 Nov 26 2007 	 Sweet Stay Marcel 	 read several review Marcel , seriously worried expect arrive 5 - night November 2007 stay . arrive , husband , well friend travel , pleased find ! hotel , go renovation past summer , great condition . modern , simplistic & amp ; clean word would use good describe accommodation . although book base - level room , find upgrade slightly large room king bed , incredibly comfortable . unlike traveler review hotel , trouble temperature room issue noise . first trip NY please centrally locate Marcel . easy access subway , short walk cab ride everywhere . would stay Marcel anytime would definitely recommend . 
