clean 	 spend Thanksgiving holiday hotel . see negative review , pleasantly surprise friendly staff clean , comfortable room -- view ! sure , street noise -- welcome big city ! ! ! still , great location , easy access public transportation . streetcar stop right front hotel Bart Muni step away . would definitely stay . 
 Dec 21 2006 	 Ghetto area . Man shoot dead nearby check . 	 way city San Francisco Airport , cab driver chatty friendly . tell hotel go , however , go quiet , minute later , mumble & quot ; place stay kind rough area ... call Tenderloin . & quot ; although , add , & quot ; will not find many tender loin part town & quot ; . understatement say least . lead particularly shelter life , experience urban poverty , still prepare ghetto area hotel . step outside , literally eight nine every ten pedestrian pass drunk , wasted , homeless , vagrant , gang - member , prostitute something like . immediately felt extremely intimidate nervous . crime , however , seem much problem . never hassle even approach , people look like might trouble waste would not work rob go far put wallet hand . thirty second walk outside , however , bit frightened car drive woman start shake handgun pedestrian near . nothing happen , next day check man fatally shoot fifty yard hotel entrance . there bonus , however : hotel affordable , although decor little aged gloomy , come street like step cool , pleasant oasis . staff kind service - orientated , complaint . room seventh floor , nice view . big benefit far , though despite bad area hotel locate , still ten fifteen minute walk Market St infinitely pleasant area Union Square , waterfront Financial District . I absolutely would recommend hotel young woman travel alone , anyone travel one child , anyone San Francisco go main attraction holiday - Renoir Hotel , despite art deco look romantic french name , completely unsuitable ' romantic getaway weekend ' thing . , splash room swanky hotel uptown wil regret it . despite criticism , however , hotel actually exactly need . city one night , travel New Zealand U.K. , want something cheap central , bother experience San Francisco transfer destination . expect anything affordable , central , transfer ' crash pad ' though bind disappointed . 
 Dec 20 2006 	 Budget Conscious Travellers 	 stay sight inspection part work ( travel agent ) .Renoir hotel locate civic centre San Francisco . quite distance away Union Square Fisherman ' Wharf . would good budget conscious traveller really want room sleep night . hotel locate within ' Red Light ' district . room small side , would strongly suggest client upgrade ' Superior King Corner Room ' lot natural light well size . room hallway smell damp musty . 
 Dec 16 2006 	 good value money 	 stay Renoir 23rd November 9 nt . cheap , clean , comfortable accommodation SF City Centre , Renoir prove ok choice . stay previously Embassy nearby think would opt Renoir future . find period build full original feature , whilst provide 5 * luxury , clean & amp ; comfortable . room huge , adequate . Daily maid service & amp ; always make effort service room away - disturb 10 day . staff deserve mention find always welcome & amp ; polite . e.g. despite able book twin net , offer choice king twin arrival & amp ; booking change without slight problem - well do . the bathroom let otherwise ok hotel simply age & amp ; wear - fair say whilst tired , bathroom spotlessly clean throughout stay . admittedly , hotel location bit of - put first , night find many San Francisco 's lively charachter street around Market , find Renoir ok respect - Buses , Streetcar , Muni & amp ; Bart stop literally right outside hotel door taxi 's easy find . people would put street life , stay previosuly area , know expect . for $ 60 p / n downtown SF Renoir deliver clean & amp ; comfortable value money 
 Dec 15 2006 	 avoid Hotel cost ! ! ! 	 word can not really describe disgusting hotel . warn limo driver , cab driver , tour guide local area stay bad area San Francisco tell venture hotel night whenever leave hotel , make sure be wait cab front . arrive San Fran night get good view area like pull hotel . prostitute , homeless people , druggie etc loitering around street . street dark dingy looking , include main street . first view San Fran YUCK ! ! ! person behind counter rude not even look check . request credit card , threw do , give key . not welcome hotel anything . step lift hallway go room , smell awful smell . smell though hear cattle hall . overpower unpleasant . assume windows middle hotel always open , help . room small clean pleasant somewhat . barely room 2 suitcase . fridge coffee / tea make facilicitie travel America quickly find standard thing , unlike Australia . first day run toilet paper resort mean FINALLY deliver we . huge hassle bring we toilet paper . not realise go rough hotel big city . also central heating totally suck night freeze go downstairs complain cold room tell heating go 3 am turn 6 am . say unacceptable freezing , offer extra blanket , say good enough . finally tell little fan heater would get someone bring one . walk lift , bell boy chase give fan heater could walk . pay ? brazilian Restaurant downstair . food edible great depend serve service bad ! ! ! nerve write tip bill . sorry like decide much thought service worth not even get knife , fork serviette tip nothing . reason eat scared venture hotel go eat anywhere else , would anything well look area . one night eat druggie street , burst restaurant hiding table take 2 man drag , even safe . area soooooooooo bad almost starve 3 night force stay scared leave hotel . however , tour around San Francisco honest whole city look quite dumpy . probably ugly city ever 20 place America stage San Fran worst worst . tv make look pretty etc real life dirty , dingy smelly . SMELLS San Fran disgusting . go fancy , expensive restaurant Fishermans Wharf nearly gag smell place . know ocean ocean smell . really disgust put food . basically nut shell , hotel REALLY bad area San Fran great anyway . really must go San Fran stay somewhere near Fishermans Wharf lot nicer , bring nose peg . Alcatraz must San Fran City Tour one day , need one night dirty San Fran . stay long Alaska spend one night San Fran . go ever , even stop airport . hate San Fran hated hotel . service bad , hotel stunk , area scary , list go . travel agent hearing . believe would send 2 female travel alone place . good time . 
 Nov 28 2006 	 Bad Area 	 returend hotel two week ago review mainly accurate ... area bad intimidate , although mainly homeless people keep walk bother much .. tell girlfriend walk area cause concern .. room cheap ok .. would recomend hotel , , would advise pay little stay central ... . 
 Nov 1 2006 	 terrible Location Rude Staff 	 book hotal reputable travel agent Australia ( Jestset ) - last stop long trip include conference business . first thing notice amount homeless drug addict hang around outside- make feel really unsafe . room give problem power- tv etc keep go . would tell front desk get maintenace staff fix it- least 4 time day . start work room walls- apparently major issue wiring . work day 9.30pm night without tell . complain 3 day , move me- happen early one else house nearby - the staff obviously know issue . conceirge / bellhop really un helpfull- ask directions- example caltrain . add insult injury , charge long distance call could not possibly make trip Yosemite time- fortunately helpful person staff remember leave return trip eventually be not charge . 
 Oct 28 2006 	 scary area 	 , echo people 's review , area REALLY terrible . hotel nice enough , staff friendly helpful willing give direction information . problem location . want take money ATM , go one fast food place nearby stunk urine full homeless people . street full drug / prostitute / criminal / homeless people . two woman stay ( trust , guy would find thing ) intimidate . dread go . night , instead town see beautiful city , decide get back dark want avoid problem . seriously , afford go holiday , stay elsewhere ! 
 Oct 22 2006 	 not stay 	 book on - line terrible mistake ! know SF would realize location ( market past Fifth ) place young woman stay . homeless everywhere , police officer sight . hotel old musty dirty . try cancel would not refund anything . ask could least upgrade suite , take several different employee entire day make happen . power go room dry hair . can not even get decent cup coffee -- instant packet hot water lobby . tiny , flimsy bath towel . old bed . noisy night hear homeless people yell street siren time . miserable experience ! first time SF make sure hotel near numbered street high five . want farther market near Second , Third , etc . 
 Oct 3 2006 	 hope like mouse 	 stay 2 year ago would never recommend anyone not live street . walk gauntlet homeless girlfriend , lovely view huge stripclub across street , horrible desk service , second day see mouse run place . kidding , girlfriend scare walk across floor . old world charm indeed , like Middle Ages . 
 Sep 26 2006 	 convenient location great price hot water 	 perhaps fact stay Renoir sponsor nearby Folsom Street Fair show ' m afraid see strange sight street . actually might sum -- would afraid go Folsom , Renoir hotel soma not . enjoy diversity appreciate business support diversity , consider Renoir . however , consider Renoir . compare hotel touristy area , be get cheap rate . rate , get clean room hotel style ambience old european hotel ( american chain motel ) . area bit noisy time , earplug supply solved issue . air conditioning ( non - chain european hotel ) , San Francisco night cool , day explore city . the Renoir conveniently locate term public transit . take BART airport Civic Center station directly across 7th St hotel . station also Muni subway line . f line streetcar stop directly across hotel Market Street , lot Muni bus nearby go part city . be gay tourist , Castro minute away ! one complaint Renoir lack hot water . faucets mis - label -- friendly maintenance supervisor explain , turn shower faucet way leave mark , will get nothing cold water ; instead turn fraction let run , unfortunately never get lukewarm water . , , almost deal breaker . okay trip since already , get decent rate Folsom , ' m sure will return Renoir . 
 Sep 14 2006 	 stay 	 beacon low life , vagrant , prostitute , pimp , gang undesirable . hotel staff extremely unhelpful room dingy dirty . book one night bad night life . afraid leave hotel room leave promptly next morning . noise intolerable impossible sleep amidst shout outside car pull . Renoir situate ' dosshouse ' , strip club , next door night pizza place draw dreg society door . honestly say fear familys safety night . refunded book tour operator pay another , much nice , hotel near wharf finally get see nice side San Fransisco . 
 Aug 12 2006 	 bad location 	 general find hotel ok compare price walk back hotel ' dark nothing fear homeless . like write review hotel locate area full homeless . however , ' find terrify mention review . 
 Aug 5 2006 	 nice room bad area 	 find room nice clean good size . desk staff helpful . mesage tour operator pick time . give mesage day go tour , scream bus driver pick ready time , hotel do not give mesage pick hotel 0800 ! ! ! ! do not think much area first arrive , decide go walk get dinner dark , get really worried ! ! ! travel alone , step hotel see adult picture theatre , huge group man street constantly call . run back hotel ! ! do not think ever scared . hotel fine , think people aware area . pay extra money stay near fisherman wharf ! 
 Aug 1 2006 	 2 star hotel many street people nearby 	 always surprise people rent room two star hotel annoy two star hotel . Renoir . think old Holiday Inn . room okay plain . right many bus line rapid transit airport . main problem Tenderloin district , famous low cost housing street people . everywhere near hotel . , feel threatened . seeing ruin trip , stay another area . .. oh , connect restaurant okay breakfast , brazilian menu strange taste american taste . 
 Jul 25 2006 	 dump 	 terrible hotel , location red light disctrict , u r afraid go night ! ! ! never ever return 
 Jul 17 2006 	 check mattress dare book 	 freind mine book travel agent ( one would think travel agent would put two female travel alone scumy hotel , right ? wrong ! ) get early afternoon security guy tell we venture three four direction directly surround hotel . drop bag , leave tourist return 6:30 evening ( Tuesday ) . base dank musty smell room decide check mattress bed bug ... boy glad check ! ! one mattress ( dingy , grey mattress pad ) appear crush cracker sort . mattress pad bed find dry chunk something ... walk around SF day run NUMEROUS homeless / vagrant type outside hotel decide try find another one . inform manager problem refuse help we . camp lobby try book another hotel laptop , watch two police officer post hotel lobby run Market Street directly front hotel time deal issue ' local ' . definately safe unless be authorize carry big bat ... least . as agent work refund us dive , Renoir hotel claim stay whole time , even though not even spend one night . provide receipt proof another hotel finally refund one - night cancellation fee . I would recommend hotel . 's one left city , plan trip another day ... 
 Jul 7 2006 	 red - light soup kitchen combination neighborhood ! ! 	 husband book last minute deal sound great . part deal charming hotel civic center . everything okay till get past 10:00 pm . turn hotel start get worried , get really worried . neighborhood look scary ( ' m nice polite ! ) . way really tired decide give try . first thing inform parking $ 27 night ( + some kind tax find check ) , still naive .... ask use parking meter outside receive trust worthy answer , & quot ; willing leave .... risk plus need feed meter 7:00 , recommend & quot ; . look lobby make mind quickly hand key . hotel not match location . lobby nice old charm . AC , kind problem scream homeless outside , least expect white noise . people friendly change we high floor king bed request . be willing deal red - light , soup kitchen combination neighborhood good option . 
 Jul 1 2006 	 impressed 	 read previous review consider cancel hotel , find everything book . ' m glad not change hotel , Renoir perfect need reasonable price . trolley stop right front door short walk main shopping area . add bonus happen San Francisco trolley free 2 day trip . wonderful Thai restaurant across road . staff friendly room clean generous size . 
 Jun 23 2006 	 bad location hotel okay 	 reading review , comment . travel San Francisco last summer opt stay first three night Renoir Hotel . true 's Tenderloin area , therefore , not know would first choice . however , hotel itelf bad . homeless people , vagrant ... yes , something get use , leave alone , leave alone . not recall odd people come hotel , although certainly right step outside . time hesitant leave hotel dark ( initially day ! ) . one night really hungry decide go couple block market , across street late night / fast food / take - out Thai place actually deliver . realize outside not bad - ! think two party , be good go . course , always guard , go big city . two week trip stay three different hotel . another hotel , travel Civic Center area , someone time , attend ballet performance one concert hall . , surrounding tolerable , especially someone else . like say , perhaps Renoir would not first choice , price right ( much ) , go ! hotel fine close Civi theater area , well walk distance shopping area . 
 Jun 12 2006 	 Main 	 Description & quot ; red light district & quot ; area polite . Renoir Hotel 's self feel unsafe broad daylight never mind middle night . fortunate find another place pay one night cancellation charge we . one story laugh year later ! 
 Jun 11 2006 	 hole 	 look deceive . the location hotel bad place town . we afraid leave hotel soon step outside door would attack every homeless person town . dont come - look well part town ( fisherman warf ) 
 May 25 2006 	 yike ! ! 	 boyfriend spend night hotel 2 year ago still laugh . make reservation Orbitz , rate hotel 3 star think . Paul live NYC , see homeless people front hotel , think little it . as check , homeless woman enter hotel lobby . hide behind poll , expect see . worker desk ask need help try sneak elevator . escort hotel . shortly thereafter , homeless man enter lobby . , try sneak elevator . confront , insist use lobby bathroom . worker behind desk give , allow man use bathroom . happen , hear yell come street . walk door see go . day , ' m still sure happen night , see Thriller video Pat Benetar 's & quot ; love battlefield & quot ; video , similar . homeless people march street almost seem choreographed routine . at point see enough . weary travel , clearly fatigued make clear decision , Paul head away homeless people , congregate lobby , elevator . there strange man elevator repeatedly ask we floor head . get floor , nervous . see strange man staying room next , nervous . see adjoining room break lock , panicked . call downstairs . nothing could . notice blood curtain . homeless man street start yell something . try close window , screen . would not problem AC room , not hot . at point , enough . get phone Orbitz , coach we night , dawn , way find new hotel . 
 may 1 2006 	 avoid ! 	 terrible ! stay 5 night visitng friend 2003 . view strip club accross street . bad area feel uncomfortable every minute hotel . service nice basic room basic also . wake many night either fire engine , police car general noise / fighting . avoid cost . spend little extra go somewhere little safe ! 
 Apr 19 2006 	 bad area ever ! 	 wife check Hotel despite taxidriver warn we area . right ! area around hotel frightning , many homeless people , drug adicte gang stare . deside check hotel day arrive , get we hotel near Union Sq ( it´ 3 block Renoir , differens milewide ) . afraid rob even bad ... stay Renoir . 
 Apr 10 2006 	 not stay ! 	 bad location ! drug use homeless begger street . several adult store / club area . heater room could turn , therefore sleep windows open . afraid . even window close , hotel loud . ' m sure smell hallway , not pleasurable . cab driver laughed tell stay . never receive request wake call treat rudely front desk staff calmly complain . 
 Feb 16 2006 	 well expect 	 make hasty reservation base low cost city go Trip Advisor late . as read aloud family horrible description hotel book already pay ( 3 room .... 2 grandparent , 2 kid 3 adult ) ... ready interesting stay . first difficulty check ( front desk guy intially rude father uncooperative , also bit delay Valet get car street ) . however , Dan K. come front desk well . help we room apologize inital difficulty ( beleive due langauge barrier hotel accomodate many language ) . also mention work hard change hotel reputation customer service prove that . the lobby old world uniquely decorate . room large & amp ; clean , 7th floor nice view city . the real negative location , close many thing include public transporation , night area bit scary . we go night subject large rowdy crowd many homeless , one unrelentless pan handler would leave we alone trolly pick we 15 minute later . [ hotel fault find place city large city well . ] would suggest hotel long not kid take cab destination city . 
 Feb 13 2006 	 bad Hotel ! 	 stay hotel February 2006 ... could not find anything else available Chinese New Year ... area worst ever ... look window either see homeless people , hawker adult sex show ... ' m prude travel extensively ... ... dump dump ! noisy , even pipe someone else shower use washroom ... staff friendly ... that s ... parking 30us per day ... walk block away constantly & quot ; hounded & quot ; homeless son actually accost someone pull shirt ... pay little extra hotel , try find something Renoir , 1 star dump ! ! ! ! 
 Feb 6 2006 	 absolutely perfect budget - concience weekend warrior 	 girlfriend & amp ; stay Feb 3rd-5th . see homeless , adult store . also see historic landmark San Francisco , PERFECT location public transportation , feeling & quot ; really & quot ; experiencing & quot ; downtown & quot ; San Francisco . ' ve ever big city , wether L.A , Chicago , New York , San Francisco , going see homeless hang corner pan - handeling . expect stay hotel MIDDLE downtown ! ! staff nice , always clean room , lobby nice . however , recommend pair ear plugs sensitive sleeper . overall , would bring child , & quot ; nastalgic & quot ; stay Renoir , vs. & quot ; vacation & quot ; & quot ; getaway & quot ; type place . absolutely perfect budget - concience weekend warrior , couple want see city & amp ; offer . remember S.F Downtown area actually safe , litle rough aroung edge ... like anywhere else world ! ! 
 Feb 3 2006 	 interesting .... 	 go New Year 's really excited get top corner room ... think 's Room 211 . room AWESOME , window three side look Nob Hill , way Market Ferry Bldg , also South Bay . ... place central heat not turn 6 pm every night . imagine turn around midnight ... quite chilly room almost time fun . even quilt bed hardly sufficient . clean place world either ... pass hair - on - the - bedlinen test . oh yea , bring ear plug ... street stay quite noisy . one thing , park $ 23 - 37 per night , . view make , sadly . 
 Jan 27 2006 	 do not stay ! ! 	 general state hotel acceptable price staff friendly enough ... location hotel awful . locate oppisite ' blue ' moive theatre surround several strip club adult shop . alot homeless people guy try sell drug . real careful walk back hotel night 
 Jan 8 2006 	 Attention fellow Aussies ! place suck ! 	 Renoir Hotel include lot travel package Australia San Francisco . hotel terrible - trust , majority previous 71 review sum place well kick ignore review TripAdvisor . dive . hotel staff leave much desire , however Brazilian Restaurant underneath great food friendly staff . like see dozen dozen homeless footpath eat , will enjoy ambience even . yes , guarantee hear scream hooker , homeless , nutjob siren every emergency service try sleep room not see refurbishment since early 1960 's . manager show consideration customer - entrance Market Street close around 7 pm will need use back entrance . walk score homeless urine - soak side street access foyer . easy . this might help explain hotel 's location fellow Aussie bit well : sydneysider compare Cross , Central Station Cabramatta 's drug scene roll one . throw Redfern good measure . think area around Central Station fair share beggar ? enjoy whole San Francisco experience , chuck bit extra , stay uptown bit anywhere Union Square Fisherman 's Wharf . location great enjoy stay much . locality refer Civic Centre Tenderloin hole - not let anyone tell otherwise . package tour include Renoir Hotel accommodation , consider seriously . chance be San Francisco long time , make another location time life absolutely brilliant city . 
 Jan 7 2006 	 ruin Family Christmas holiday 	 arrive ' hotel ' Christmas Day . 19 hour travel could not even get drink cup coffee ! porter , restaurant work . triple room order ; prepare we . much messing eventually put three kid room put bed . next day try charge we $ 42 nite room say upgrade nonsense since would booke one room three one two . we end stand argument issue duty manager Oscar . quite rude unwilling accept issue hotel fault . area hotel locate condusive family environment way , area full homeless person drunk . 16 year old son offer kind thing cannibis steal electrical item . the adult cinemas etc offer ware unashamedly , fine 's thought go stay , not , prior way know ( literature misleading ) .Rooms basic , bed comfy clean . noisy due location lack double glazing mean wake early siren , garbage collection , drain cleaning , noise . we odere restaurant , enough . order steak send room styrofoam contaiiner plastic knife fork ! ! even though have book pay advance ( unfortunately ) , upon check present bill $ 100 charge we use camp bed triple room . talk add insult injury . if like seedy dump indifferent service Hotel Renoir place .... otherwise avoid .. like plague ! warning : family hotel , treble room without charge . 
 Nov 30 2005 	 Renoir Hotel : ruin honeymoon 	 look hotel SF 2 year marriage anyversary , see Renoir Hotel website . last year , ruin honeymoon . first person greet entrance hotel homeless . room furniture old granmpa . parking garage close door midnight park street , therefore rental car break . suppose 4 night stay . end 2 obvious reason . travel agent refunded money feel sorry experience . hereby would like express regret stay Renoir . know ... 
 Nov 24 2005 	 Adequate great 	 two friend get back 10 day San Francisco stay Renoir Hotel . hotel accomadation ok - regulary clean hot water , double glazing despite busy main road town location . alot television channel , although would not rate positively american television full advert poor programme . location town , may expect convenient get see area , tram bus stop right outside , good , place feel comfortable venturing outside night , unless immediatley bus tram , next plaza full homeless people , loitering gang smoke cannabis regularly , alot undesrible - drug addict alcholoic regularly see collapse street lie place people walk . alot activity police fire siren blaze night ( hence surprise find double glazing ) also arrest , 3 4 witness close hotel . though people aggressive expect large urban city , intimadate venture atall , day night . due street ( market street ) hotel , night time bad , lot smoke shop ' adult cinemas ' ' gentleman club ' line along , odd theatre electric shop . alot breakfast place around though , ok eating , also 4 block bank america main shops street grocerys forget bit piece - shampoo etc . ! staff hotel mostly foreign immigrant never get smile checking , friend get charge extortinate rate $ 21 30 second phone call home ask begin help luggage offer . cleaner good job often come round different time knock door come anyway inconvienant time - due chinese / vietnamise often communication difficulty getting understand want come back later time . general ok , not expect consider much have pay stay , feel travel agent give we information booking , vague exact location feel place , say experience gritty seedy , holiday experiance would wish remember hurry . 
 Nov 16 2005 	 nothing really wrong 	 3 night stay . hotel fine nowhere near bad review make . see handful homeless folk not present problem . location close Union Square San Francisco Centre , even Chinatown . walk three effort . sure , Renoir probably 2 3 block main centre , close strip club adult theatre etc . , , not seem problem . hotel , find staff helpful , yes , lobby look great . room however little tired would benefit greatly update facility . however , US hotel seem lacking facility department compare Australia . room clean service daily lack fridge coffee making not really bother we . if get good rate would say give go . 
 Oct 31 2005 	 not stay ! 	 horrible location , be skidrow . parking block half away park rental car daylight take cab everywhere evening . waste . make mini vacation stressful . homeless drug addict , actually see someone go bathroom street not pee either woman ask methadone see drug deal go - horrible ! 
 Oct 30 2005 	 Fine Hotel 	 book three room Renoir Hotel San Francisco . last weekend , 7 we stay there . we please service pleasantly surprise clean room . 
 Oct 27 2005 	 stay away 	 Loved San Francisco , hate Renoir . must sleaziest place ever stay . the staff helpful , facility nil , room clean will not even start location . 
 Oct 20 2005 	 match location 	 interesting . strip club across street , & quot ; lady & quot ; sale corner homeless people around . definitely seedy side town . awake night loud music ( fifth floor ) find morning music come lobby ! staff , could get attention , mildly helpful room sort clean . find place internet . would stay ? wife would cut suggest . 
 Oct 11 2005 	 dirty Gross Disgusting 	 stay March last year leave next day stay almost night moron crystal meth scream top lung night . next morning , go coffee take another exit hotel vomit right front entrance . place great staff , also cockroache . , unless be really desperate place spend night , not go . 
 Oct 10 2005 	 give go ... 	 visit San Francisco back June honestly say love city ! hotel review quivering fear , yet arrive pleasantly surprised . yes , lot homeless people around , find quite helpful ( hence , ask direction time recomendation good place go ) small tip course . usually catch taxi everywhere night , afterall cheap walk dark ? stay Mcallister street side , hear lot quieter not get wake whole six night stay . room clean ( bit outdated ) definately clean everyday staff . hotel locate 7th st Market , central , yet inform San Fran citizen 6th Market st ( block away ) go area night . all sucessful stay Renoir great value money ! 
 Sep 26 2005 	 tired Dirty Place 	 place impressive lobby ......... end . location 10 minute walk Union Square - true , however dirty part town . we stay 4 night ( prepaid ) check 2nd seek place could walk barefoot room . place feel dirty noisy ( ... even provide free EAR PLUGS room sleep ) spend little extra , avoid homeless people porn cinema , feel clean ! 
 Jul 24 2005 	 warning : be getting rip 	 1 ) bad hole ' ve spend 2 night in.2 ) homeless people , stench urine fece everywhere.3 ) People street shout night long.4 ) room small , nasty old furniture , bathroom fan HOPE GO BUSINESS SOON.Please take time read review save trouble . the vacinity crap hole dangerous , one traveler another please anywhere . 
 Jul 19 2005 	 Renoir Hotel = good experience 	 ( = wife two teenage daughter ) stay Renoir Hotel three week ago complain anything regard hotel : clean , ( mostly european ) employee helpful friendly , hotel locate convenient part downtown , near bus subway line allow tourist go anywhere city , pay substantial amount less offer hotel Union Square . little loud night lucky get room away Market Street . see homeless downtown area , Union Square Cable car station along Market Street , even front luxurious Clift Hotel go drink friend stay Ian Shrager 's late acquisition . 's shame city take care people ! 
 Jun 29 2005 	 hated ! ! 	 starter , hotel bad neighborhood . family vacation , feel safe child . xxx theatre across street . walk , hotel look okay , room smell smoke , mold , urine . take family another hotel Fisherman 's Warf atmosphere far well . 
 Jun 23 2005 	 Homelessville 	 actual hotel ok , issue location . section Market Street full homeless people quite intimidating time . arrive midnight advise hotel staff order food rather go get plan - thi quite shock we come New York think harden traveller could face street ! next day realise actually , hotel staff right - wake 6.30 someone threaten kill someone else , along 1/4 mile walk near phone box people see homeless . hmm , nice ... be brave soul not bother tramp etc go , hotel nice enough staff deal helpful . decor room bite old fashioned main problem terrible location . Union Square not much either , not fool book ! 
 Jun 17 2005 	 Renoir bad 	 booking hotel , read review site Renoir kind worried expect . sister - in - law stay May good experience . ' ve travel world stay many different type hotel . hotel pretty average , bad review say . look luxurious hotel amenity .. not stay . book hotel primarily 's location . convenient subway cable car . Union Square 3 block away . would suggest family stay area pretty rough . strip club across street think corner across hotel hangout homeless folk San Fran . check security guard ( yes , one front door hotel ) literally throw homeless guy front lobby trying lie one couch . never feel unsafe though . room clean ( old , clean ) staff helpful . great hotel traveler want cheap place sleep ( get room $ 70 / nt orbitz ) place close transportation . Bart subway right across street . sure ask room face McAllister . 's much quieter . problem noise . overall , positive experience Renoir . 
 Jun 6 2005 	 Renoir Hotel = bad experience 	 real bad experience stay hotel . unfortunately fool picture low price room . experience bad want share reader website . day 1 : first room smell pesticide ask move another one . would alright noise street . many homeless people walk shout throughout night . day 2 : walk back hotel night , boyfriend approach 2 man offering & quot ; stuff & quot ; we 2 block away hotel . really scared . People shout street . second night sleep . day 3 : since tired enjoy place get enough rest , ask boyfriend check go another hotel . . lose money last night reservation make hotel non refundable . ok do not want ruin rest trip . check . upon check , see many people check complain problem . relieve leave hotel . overall bad trip SF . advice anyone desire nice quiet hotel room : stay RENOIR HOTEL . 
 Jun 4 2005 	 avoid hotel cost - 'S DREADFUL 	 bad hotel ' ve ever stay . bad dangerous area - full prostitute drug lords - really scary ! hotel room awful - air conditioner , coffee maker - infact nothing . charge 1 - 800 phone number . avoid hotel cost . Nob Hill Motel half price offer wonderful room , excellent free breakfast , free parking delightful helpful owner . have know book RenoirHotel 
 Apr 26 2005 	 Bad say ... 	 read review , quite frankly , dread holiday ! arrival pleasantly surprise . reception friendly , room reasonably large bright . ask room McAllister side less noisy Market St side tell . homeless people around never bother we . understand family kid may weary , people want central location excellent . Tram stop directly outside go Castro Fishermans Wharf . excellent value money . nice donut shop well breakfast . 
 Apr 6 2005 	 not let photo fool 	 grant , crack smoking , ( loud ! ) prostitute propositioning ( hour night ) pile human fece street outside beyond hotel ' control , place fall well short expectation . namesake would embarrassed , doubt far impressed ( get ? ) . someone ' rather lax book place stay get rile enough actually complain publicly testament overall crappiness experience . ' fool overblown star rating promise " bargain " . inquire , sure ask parking accommodation -- $ 23 day site lot locate short extremely shady 3 block away , $ 31 day " valet " service . apparently payment latter carry right berate bell captain considerate enough call 20 minute ahead time want use car . wait one night 30 minute mine show . , back less two hour later lot going keep would close . bad service ever , pay ! front desk helpful maid service amicable friendly , rest staff bomb . never ! 
 Mar 30 2005 	 enjoy stay recommend Renoir 	 fiancé stay Renoir March great time discover San Francisco . price pay perfectly worth , room freshly renovate receptionist friendly helpful , location perfect tourist want discover San Francisco rhythm . highly recommend Renoir price conscious traveller . 
 Mar 28 2005 	 terrible experience 	 February 25 - 26th stay Renoir Hotel location . leave charge cleaning fee room . tell fee smoke odor non - smoking room . never smoke , informed hotel fee mistake treat dismissively rudely hotel . would hate anyone go experience hotel . 
 Mar 1 2005 	 Give try -- want Ritz go Ritz 	 find Hotel Renoir great value bargain traveler San Francisco . son spend three night Renoir audition SF Conservatory -- quite business trip , quite tourist experience . Market Street bite sketchy location , major issue former New Yorker , though other could easily intimidate . never felt threaten . block north , Market become up - scale abut Union Square . hotel excellent access public transportation right outside door ( include easy BART ride airport right corner ) . lobby old Europe , room -- clean tidy . brazilian restaurant nice -- get rather late Sunday night nice deal street , not much nearby . staff helpful . wireless internet lobby , room . room face Market trolley ride track stop door bit noisy night . may want stay return wife , good experience reasonable rate . would rate high , location Market bit downer many . 
 Feb 25 2005 	 GO ! 	 upon arrive Renoir seem bad spending total five minute room attend show evening come back hotel accuse smoking room ( couple minute entire evening ) . ask manager enter room check let back refuse . neither husband ever smoke 40 's child ( not expect treat like one ) .I ask upon check next morning receipt charge tell file dispute smoking would charge , day later charge appear credit card $ 167.10.between transient outside scream , break bottle fight plumb hot water pipe bang wall impossible get sleep whatsoever second floor room . this absolute bad hotel experience life unfortunately second night honeymoon . also charge we third person room not one . not know prove charge amusing find out . if choice matter , stay Renoir , ventilation air conditioning , keep window open . sincerely , dissatisfied honest Customer never return Renoir 
 Feb 3 2005 	 get u pay ( Garbage Dump ! ! ! ) 	 2 girfriend book Renoir hotel Orbitz hear see good review . get fairytale . first guy name soltare something like clean car outside keep look us wierd figure bell hop whatever wan na call i. go to ask help bag get creep . go front desk big tall spanish guy behind counter carlo nice helpful check we right away give we info sightseeing attraction , want go sightseeing . also give we info local club could go . need help make international call show write . another person hotel helpful manager Jim . hotel stay ok except homeless crack addict . catch cab everywhere went enjoy city . would recomend hotel poeple standard , u stay make sure manager Jim spanish guy carlo help u good . can not wait go back London . 
 Jan 31 2005 	 bring lysol gun 	 San Francisco ...... enough say . wife really look forward nice , romantic weekend alone holiday decide try something new . bidded stay Renior Hotel Market St. allure quaint , victorian style hotel reminicent olden day well city . bulilt 1909 , triangular shape since & quot ; remodeled & quot ; modern traveler . fast forward 2005 . urine , vomit , homeless , porn establishment , contact local law enforcement , Disneyland . get front door ! former military police officer currently lineman public utilite company use work difficult dangerous area San Diego . spend career go home business deal difficult people dangerous area total cartoon ! ! hotel bill . Bulit 1909 , not change much since . & quot ; heater & quot ; room look alot like radiator ' 70 Ford pick truck . think beds bathroom decor not functional unless beg enough money sell enough crack cocaine street front secure room night . paint carpet obvious original add faint definate odour compliment fact fact 5th ring hell ( refere Dante 's ' Inferno ' ) however mentionable quality & quot ; hotel & quot ; actually mask unique aroma fresh puke -- -- arise bowel street San Franpuko . owner Renior look marketing ploy need catch phrase , might suggest follow ........ & quot ; Renior Hotel ..... gallon gas matchstick away perfection ! ! & quot ; 
