location 	 agree early post , decor look slightly tired , could possibly facelift , location superb , view central park spectacular , subway 2 minute away , 5th 6th avenue.time square 15 minute walk rockefeller centre empire state building .A great alternative afford Plaza , Ritz Trump , overall good value money . 
 Aug 5 2008 	 watch hide cost 	 New York amazing good city world . book 7 night hotel hotels.com . read term condition itinerary clearly state money pay cover taxis fee . come last morning wake invoice door $ 15 US every day stay include first day even though arrive 9.30pm . check reception state compulsory fee room per day use phone internet . would fine inform upon arrival could actually use phone internet provide . & quot ; Í never inform '' state reply basically stiff ( -- -- ) ! would strongly advise cautious hotel , extra money go Mrs Helmsley 's dog inherit money ! back .. 
 Aug 4 2008 	 nice ... 	 great location nice hotel . bad start sleazy automatic upcharge $ 15 per night internet , telephone , long distance . charge apply even use none service . complain check , reverse charge . watch small print bottom check form authorize charge . hotel like not need resort shabby upcharge policy . would gladly pay extra $ 15 per night room charge upped . 
 Aug 4 2008 	 great location 	 although hotel look little tired date room enjoy 6 night stay experienced littel / no problem find particular good value consider location . check - in effortless prompt . room quiet throughout stay extremely important we , although still wonder Americans particular instance use brass security catch door stop ability close door quietly ! stay fine housekeeping efficient towel change evening whilst bed prepare , always plenty clean , dry towel use . bed comfortable air - con ok , although little noisy ! never wait long elevator always bonus . try charge we $ 15 / day telephone & amp ; internet inform check - in serevice available refuse pay remove bill . overall good value . 
 Aug 1 2008 	 wonderful stay hotel ! 	 stay hotel 4 night wonderful ! arrive 1 pm tell want high room well view , check back 3 pm . fine we , hold luggage sightseeing . arrive back 5 pm room 39th floor partial park view ( pay ' city view ' ) . extra charge enjoy view west side Central Park . the room clean roomy bed comfortable ; water instantly hot cold ; mini refrigerator use fruit leftover sandwich ; call nightly ice , room service bring 5 minute less night ; staff friendly helpful ; subway entrance short way street time could figure use entrance connect something else get we want go ; cool system consistently cool - hot , cold , hot , cold fairly quiet ; elevator fast never crowd ; iron , iron board , hair dryer , in - room safe ; turn - down service night chocolate leave bed ; room quiet - never hear anyone next we either sideDo expect complete luxury hotel ! stain bathroom floor grout discolor . also , toilet level make ' clunk ' sound time sit . one lamp not seem work correctly , 5 lamp room not bother call . room show wear , lot nice bedroom bath , pay Manhattan ( $ 225 / night include fee taxis ) , great place stay great location ! 
 Jul 23 2008 	 will not stay ! 	 ' ve stay Helmsley Park Lane several time . business , rate could beat . know old story & quot ; get pay & quot ; . upon check , tell room ready , cold upgrade Junior Suite extra $ 50 per night . sound pretty good , agree . park view room , difference & quot ; Junior Suite & quot ; extra love seat . tell not worth $ 50 night , amazingly , find room ready . drop bag , work go . get back hotel later afternoon , toasty . apparently airconditioning not work . kind move , could never get room cool . big problem . hot heck nyc.that beginning . reviewer note , room date , wall paper peeling , mildew leak bath tub . housekeeping inadequate ( never replace wash cloth ) , room service tray room return work next day . guess , much staff . cordial try helpful , not lot work with . I not know hotel able keep 's designation & quot ; lead Hotel World & quot ; . hold standard lhws . 
 Jul 20 2008 	 Fit need perfectly 	 stay Park Lane one night . beautiful hotel . room clean , staff friendly , check in/ check breeze . location good . nothing good thing say hotel ! 
 Jul 20 2008 	 Diry Old Tired 	 similar experience reviewer tell room not ready offer ' upgrade ' suite additional ( case ) $ 100 . good news , two huge room great view central park . bad news unfortunately make unlivable . 1 . although say smoking floor , moment get elevator smell like ashtray . 2 . room upholstered furniture old filthy . worst upholstered headboard ' head ' stain side . 3 . carpet common hall old super dirty . carpeting room also old dirty . want walk bare feet.4 . room general update could tell 20 year . it shame hotel prime location let deteriorate degree . Helmsley company must sort financial limbo . Leona must turn grave ! 
 Jul 6 2008 	 Perfect service location 	 first minute feel home . nice concierge andreception . help we several thing upgrade we 42nd floor . one week 's stay short celebrating wedding day 25 year ' marriage perfect . Central Park shopping facility round corner mean excellent value money , forget Swedish FIKA - bar 58th street side block , yard away . the Grahms 
 Jul 4 2008 	 central park come ! 	 pleasant stay Helmsley park lane . feel like live NYC ; waking - up early go run central park , take shower ( use bath robe ) drink coffee Starbucks course shop fifth avenue . location hotel great- 59 street 6th 5th avenue ! apple store right behind corner , Abercrombie AX 5 minute walk , subway across street course central park front hotel . even not get central park view ( need pay extra money ) , room number 2707 non smoking floor great ! wide clean fridge , safe box , iron , hair fan snack ' bar king size bed pretty much comfortable long walk day Manhattan . the receptionist nice kind . get 10:30 check without wait 3:00 pm day check , store luggage tour city till 9:00 pm . go hotel , use concierge 's service get instruct get JFK metro help kind professional ( take r train Queens Plaza , change e train [ platform ] sutphin blvd take airtrain terminal ) . must say little bit surprised 11:30 pm maid service knock door ask need something . wonder would feel sleep wake that . although room hotel perfect , might say next time go Manhattan , might go cheap hotel not get chance use hotel facility ( fitness club restaurant ) . day spend outside hotel , use sleep store stuff . u get spare money , would say go , worth money , budget + , look cheap one . a tip- grab healthy meal & quot ; whole food market & quot ; locate shopping mall Columbus Circle ( 5 minute walk hotel ) go eat central park . 
 Jul 2 2008 	 Bumpy start 	 book 4 night June park - view king room . arrive 5:30pm , tell room ready , offer ' upgrade ' us suite extra $ 50 night , state suite lot nicer . later realise common thing happen . get pressure . tell room smoking floor available . decide take room , move non - smoking floor follow morning . reception staff seem interested get we ' upgrade ' get we room pay ! room large , decoration little old , need update . wonderful part view central park . hiccup ensue . bellhop say would get fax wait us business center , 15 minute wait , never arrive . husband decide go get . room seem fine , later , realise two lamp work . ask housekeeping fix 8:30pm , show 11:30pm , wake we sleep . ask ' engineer ' come back next day . next morning , ask move non - smoking floor . put suitcase storage tell room would available 3 pm . come back 3 pm , tell another ' 15 minute ' wait . decide head shopping . arrive back 5 pm , tell room yet ready . annoyed stage , ask speak manager . tell we previous occupant check 4 pm ( basically mean person reception lie we ) , housekeeping chance clean room ! offer we double room instead . Hubby pretty incensed time , insist sort . manager apologetic , sorted room we give we voucher complimentary continental breakfast . arrive room , park - view king room . , insist not room ready we , , anyone 's guess . time , appliance work , ( level 38 ) , marvellous view . really let hotel staff , - unfriendly , unhelpful unknowledgable . staff concierge desk unpredictable . inform concert park someone else , check concierge desk , not know . later , inform concert follow night . guess ? firework later evening central park , next morning 's paper article state great free concert philarmonic orchestra throw ! also ring we midnight ask dine Garden Court cafe . not , wake we . bizzare , truly unwarranted . save hotel location view . view truly marvellous , see nearly whole Central Park 38th floor . 's next door subway stop , great morning stroll Central Park , 5th Ave right around block . breakfast Park Room , nice view . book Expedia.co.nz , pay NZ $ 418 night ( include taxis ) . would return . 
 Jun 27 2008 	 Tawdry Dirty . 	 husband return romantic weekend trip NYC . suppose romantic luxurious quite turn . book room Helmsley Park Lane expect decent amount luxury pamper . disappointment . the hotel personnel seem clue job desk clerk even always task difficulty use computer . doormen bellhop stand around lobby front door , revolve swinging , five day stay bother even open door let alone bother get way . the hotel see far well day tear worn carpeting , bang wall furniture stained fixture broken tile bath . tawdriness compound poor job maid service cleaning room . half inch dust furniture leg maid bother vacuum time , even though maid come room every day room never clean . hair dot bath floor sink clean . sure either husband . toilet simply disgusting brown ring look like youth hostel fine NYC hotel . never get clean glass bathroom dust picture television . the bellhop say iron ironing board umbrella every room partially right . iron , iron board , umbrella several broken rib become apparent day sky open rain came plummet down . the Helmsley tout one world 's fine hotel certainly expect level service comparable hotel stay Europe , . return recommend hotel anyone unless location criterion . 
 Jun 21 2008 	 Location Location Location 	 stay Helmsley Park Lane Hotel 10 day June year would certainly recommend anyone travel New York . although quite expensive , well worth book ' park view ' room , far away much nice ' city view ' room potentially could look straight another building . find hotel staff friendly helpful room clean twice day . decor place not really taste ( floral rather date ) room coffee tea make facility , really minor point . dinner hotel , good standard , great breakfast head next door sarabeth great chioce many delis within close walking distance . definitely good thing hotel , however , location . base directly opposite Central Park , within walk distance 5th avenue , Empire State , Rock major museum , perfect sight seeing trip . highly recommend . PS . word warn stay hire car get we JFK hotel , instead taxi , Tel Aviv motor . book guy wish book car also , many hide charge ridiculous final bill came twice originally quote . 
 Jun 12 2008 	 Great Place Great Location 	 great place Central Park . book 4 night stay . get upgrade park view room 75 / day . totally worth ! walk distance Times Square / Fifth Ave Shopping . Central Park right outside door . access subway 50 yard Hotel door ! stay ! will not regret ! p.s . Mickey Mantle 's Restaurant Bar 2 building ya sport fan ! 
 Jun 11 2008 	 Perfect location renovation way ....... 	 stay 2 night . nice staff reception . fairly & quot ; cheap & quot ; room low floor view Central Park . room one due renovation & amp ; refurbish . nothing say consider low rate . hotel great potential renovation complete consider top notch location hotel . 
 Jun 11 2008 	 date decor terrible service . 	 truly terrible hotel ; redeem feature location opposite Central Park . experience Helmsley Park Lane disappointing arrival departure . arrive London late actually early morning find one reception , appear closed – booking state would arrive late , even organise airport transfer hotel come surprise . rang bell wait , wait eventually grumpy person assume receptionist check we . wait wait bell boy summon take bag . bag carry car negotiate set small revolving door – easy task 2 large suitcase . specifically ask time booking room away elevator – next elevator also back elevator shaft . mini bar ( bizarrely keep bathroom ) empty , order bottle water room service – cost $ 10 tip ! room good size bathroom nice big bath tub . however notice shortly arrival receive electrical shock light switch metal fixture & amp ; fitting . décor throughout hotel incredibly kitsch date , fair would never first choice hotel – book parent family weekend away together . unfortunately parent request room two Queen Beds also overlook give room 1 King . understand room overlook park great view ; unfortunately back hotel overlook car park office block . jet - lag tired late arrival take breakfast hotel dining room first morning , experience repeat . expect serve advertise famous ' park room ' however find closed refurbishment breakfast serve appear windowless conference room . wait staff already start clear buffet away ( even though 40 min leave end service ) . staff incredibly rude begrudgingly take order . proceed hurry we finish want set lunch ( 11 am ) . luckily next morning find pleasant restaurant next door , Sara - Beth ' serve great breakfast fraction cost smile ! reservation Sunday would recommend get busy brunch queue door . ' recommend hotel , overlook date décor matter taste – usual style hotel rude service city pride attention customer unforgivable . 
 May 31 2008 	 fabulous position spectacular view 	 Helmsley Park Lane perfectly locate opposite park lucky enough room high floor ( 43rd ) view park incredible . initially place 8th floor could see tree outside window , speak hotel staff , helpful move we . hotel bar restaurant also excellent & quot ; Sarabeth 's & quot ; next hotel even well , ( try brunch evening meal ) position hotel excellent planning walk attraction : Time Square 10 minute , Fifth Ave shopping 5 minute , Rockefeller 10 minute , Park 2 minute . great hotel ! 
 May 29 2008 	 large room 	 room city view see park impossible . room big bathroom good large . check desk good provide room 3 p.m . room small fridge surprise , first time see american hotel . problem mini - bar high cost Fiji water , ten dollar bottle . the cleaning efficient good . cable sistem could channel . the decoration could little contemporary it´s problem , . 
 May 12 2008 	 great cusotmer service 	 hotel great location price . although interior need update clean . customer service great . mom handicap well 20 month old everyone helpful . one slight complaint informed front desk , night manager give we complimentary room service hand write apology . nice touch 
 May 12 2008 	 Perfect trip NY 	 ' ve come back long weekend New York . little worried Helmsley Park Lane , read negative review beforehand . however , honestly say lovely hotel , extremely friendly , helpful staff . firstly , location perfect . opposite park ( beautiful view ) , next 5th Avenue , convenient many New Yorks sight . stay 30th floor , window side hotel , could see park city . love view ! hotel perhaps bit date style , find charming , room spacious . ( want point hotel old people say before- 22 ) .The negative point Helmsley Harry 's Bar . expensive , air - con high people actually leave ! overall , highly recommend Helmsley Park Lane . position fantastic , people work really helpful . one thing - decide stay , must try sarabeth next door ( go front entrance turn leave ) . breakfast amazing .. enough keep go dinner ! 
 May 6 2008 	 Double Park View Half price 	 ' ve always want Central Park view not unlimited travel fund hotel you . window huge even open bit . from 28th floor could see entire park . be quite way start day . the large , quiet room seem decorate Aunt Mame back 1980 clean . hotel doorman , reception cleaning staff super pleasant . I definitely back . 
 May 5 2008 	 nice nothing spectacular 	 stay recent business trip . price city - face room decent room big expect New York hotel . location perfect housekeeping visit room several time day . there couple minor flaw . request non - smoking room give smoking room , easy remedy inconvenience . also security come room check safe since another guest ask help provide wrong room number . I ' happy stay probably check another hotel next time ' stay New York . 
 May 1 2008 	 best view city ever ! 	 live New York 7 year never experience spectacular view window room Helmsley over - look Central Park . magnificent . make sure ask Park View room . be worth . high , well ! 41st floor jaw - droppingly beautiful . hotel room decorate ' tacky ' way . 's gotti old - fashioned , although ' m sure lot people like style , be really mine . , hotel clean , 's location incredible , across street Central Park ! , will easily forgive gottiness . the negative think give beautiful photo present , beautiful frame ... forgot pack . call NEXT DAY inquire photo / frame speak 10 different & quot ; departments & quot ; inform photo find . ( btw , leave right desk room , hide somewhere . ) anyway , , great stay . 
 Apr 30 2008 	 Great Location ! 	 good thing hotel view Central Park proximity mid - town . we book non - smoking Junior Suite high floor arrive low floor suite available . convince smoking suite would fine could get much high floor . BIG MISTAKE ! ! soon exit lift stench smoke overwhelming room not much well - sheet , whilst clean overpowering smell smoke . quite late stay one night switch room 11th Floor - view still good room much , much nice . hotel appear run middle - aged man not really interested helpful , air superiority bit annoying ! good hotel Central Park Mid - town area want would personally try something different next time . 
 Apr 29 2008 	 great location lovely hotel 	 lovely hotel , not get breakfast hotel , eat ( hotel , must breakfast diner ) . tea coffee facility room although fridge . Harrys bar evening lovely , come dinner . 
 Apr 27 2008 	 Superb Hotel Location 	 fault 4 night stay Helmsley Park Lane Hotel Central Park South , overlook Central Park . superb hotel , clean , smart staff helpful approachable . room good size New York hotel although furniture fixture could describe somewhat ornate , do extremely well . room clean high standard , generous supply towel change twice daily bath robe slipper provide . public area lobby hotel clean well maintain always plenty desk staff hand answer query . front Central Park mean noise level considerably less hotel hustle bustle City welcome relief end busy day . the hotel restaurant & quot ; Room View & quot ; completely tastefully renovate , bar area & quot ; Harry 's Bar & quot ; , although get round eat restaurant menu look divine . book deluxe room 38th floor city view less expensive park view room lucky enough see city part Central Park room . I love New York put word describe ! one tip would take comfortable pair walk shoe certainly end walk much originally plan . 
 Apr 18 2008 	 lovely hotel wonderfull view 	 large room 24th floor wonderfull view Central Park . good queensizebed , nice bathroom decoration classic buth tastefull . the location perfect , next fifth avenue . breakfast sarabeth next door . 
 Apr 9 2008 	 Great Hotel ideal location 	 look Ritz Essex House , decide stay Helmsley Park Lane pleasantly surprise ! little worried since pay @ $ 300 one night also know hotel 's room slightly old . however , perfect place stay . husband definitely stay . arrive early ( 1 pm ) room ready we complete amazing view Central Park ! believe 33rd floor ; view incredible . invite one friend live Upper West Side Manhattan even say never see view Central Park like ! room well keep , clean , luxurious , HUGE . . . NYC , least , bathroom nice , well . yes decor tad old . . . imagine stay wealthy Grandmother 's apartment weekend . price pay ( $ 300 / nite really good deal ) can not beat view . take look picture see . thing not like Helmsley not seem good bar enjoy drink , go Ritz hotel . be right 59th Street ( Central Park South ) 5th Ave ; location unbeatable ! ! not miss breakfast right next door sarabeth . can not go wrong helmsely . dread day remodel price sure skyrocket . remember : Location , Luxury , View . Helmsley beautiful hotel tremendous value . 
 Apr 8 2008 	 lovely view 	 stay last week meet 3 night . I Park View Room lovely . sadly room need decorate lot area hotel . the Dining room Harrys bar getting decorate tell arrive even thouh book party 19 people ! however staff truly wonderful make stay special . 
 Mar 29 2008 	 Perfect Spot 	 hotel well locate front Central Park step 5th Ave . many option within block restaurant , delis breakfast . subway also close . many store around block . my room didn´t view , instead quiet , spacious well decorate . plenty towel change twice day . always chocolate room . staff nice helpful . I really intendo come back soon . 
 Mar 25 2008 	 great stay Beautiful Hotel 	 one night stay Helmsley Park lane Hotel inmid March . find hotel beautiful , elegant , clean . arrive check 9:30 . give room 24th floor . love . read small room NY , surprised spacious room . nice room everything could need . city view room night nice see light building . location hotel fabulous . right across street central park , block 5th Ave . , subway couple block away . much research obtain great rate internet Hotels 365.com . would definitely stay next visit New York . 
 Mar 23 2008 	 good view good money 	 think might go budget see look husband 's face look Cental Park 32'nd floor , first visit NYC ( Scotland ) . say shape view NYC time glad booked hotel . stay year , three time Ritz , buy Ritz Carlton ( shame tear old pine ) never Marriott , ( thank God ) also Essex house 1990 's . yes , lot money . two night , value money . view take breath away , stay forever . room lovely although little date , , still love . apparently , Ritz , door , three time least twice price view . opinion , prior great fan stay Ritz Carltons 90 's , price go quality go become another Marriott base experience flagship Ritz Carlton Buckhead . 
 Mar 13 2008 	 Delightfully Better expect 	 book hotel via Hotwire , know would stay beforehand . read review , think would change hotel possible . however , stay Park Lane , really could not happy luck . the hotel 's location excellent , staff extremely helpful courteous . think big question many people 's mind concern decor ambiance hotel . case , room clean , extremely comfortable tastefully decorate soothe cream color . room robe , slipper , iron ironing board , in - room safe , refrigerator , hair dryer , flat screen television , wonderfully comfortable pillow top bed . face Central Park , view midtown pleasant enough . bathroom large , clean , well appoint . that say , happen get glance adjacent room one point 's occupant leave , technicolor nightmare heavy lavender rouge . get room think would ask change . in case , would strongly recommend hotel anyone want comfortable room excellent location Manhattan . 
 Mar 11 2008 	 WOW - great holiday 	 WOW great holiday . arrive hotel impressed . great location Central Park . horse carriage outside ( across road ) bird singe . greet car bellman take case lead we reception . offer upgrade double room 2 bed suite room . take room show amenity ' bellman . must think nuts excited size room etc . look window 45th floor room WOW . review say hotel room shabby old – - ok wallpaper flowery room offensive clean tidy , would even say elegant . bathroom clean neat tidy , bath nice good bath shower . fridge handy store drink . hotel classy elegant , beautiful fitting decoration . we find staff extremely friendly helpful . New York amazing love shopping sight . like designer stuff Macys Century 21 must ! ! ! ! use subway ( Metro ) daily taxi ` night ( 2 girl alone etc ) . love irish pub call " Perfect Pint " go say hello Ronan Liam barmen we ( Kelly & amp ; Lorraine ) .I happy offer advice question regard hotel , , , , highly recommend . 
 Mar 2 2008 	 Home Helmsley Park Lane 	 stay 40th birthday , great find . excellent location Central Park South , away typical NY noise killer view Central Park . ask nicely , fancy upgrade , get upgrade 33rd floor city park view - amazing ! 's helpful tips:1 . Green Cafe ( exit hotel back entrance turn leave , second walk leave ) take away food drink open 0600 - 1100 - huge selection 2 . 5th Avenue short stroll excellent Bergdorf Goodman corner3 . Heartland Bewery ( one right next Empire State Building ) great pub , expensive mind , brew beer food lovely4 . get Empire State Builing early avoid crowd , must see Observatory 102nd floor , enclose area5 . drink Whisky Park , 2 - 3 min walk hotel , get table view Central Park6 . go see Planetarium show Museum Natural History , truly outstandingabout Hotel:1 . yes need make , particular tired bathroom , New York complain peal paint seventy light , go Sushi Cosmo instead2 . bed huge comfy , room tidy perfection day3 . staff helpful curteous4 . lift incredibly speedy5 . room service pricey , fast , efficient good chip ever eaten6 . great hotel excellent location spectacular view , stay every time ! ! ! ! 
 Feb 12 2008 	 Perfect Great Grandma 	 place blast past . 's hire interior decorator back 1940s not update thing since . everything fall apart . crack mirror ceiling hallway , peel chintz wallpaper bathroom pink wall - to - wall carpet bedroom , sandpaper rough monogrammed towel . ( note : nothing seem dirty , really worn . ) except flat - screen tv , would think go time portal . place badly need multi - million dollar facelift . happen , ' m sure room rate quadruple location view awesome . restaurant bar currently close renovation . least be try right wrong . 
 Jan 20 2008 	 perfect location ..... 	 2nd stay New York choose hotelbecause location . Central Park right outside front door museum , gallery , sight , subway shop comfortably reach . the decor somewhat date room big comfortable . give we room 45th floor view city park ..... fantastic . do not put comment hotel - staff werefriendly helpful can not beat location . there load restaurant breakfast dinner within 5 minute walk hotel eat every day . be right Central Park , far enough away busiestpart city still within easy reach thingsyou need see make Helmsley perfect spotfor New York break . 
 Jan 14 2008 	 birthday trip 	 spend 4 night Helmsley Park Lane Hotel LOVED ! arrive 9th January 2008 upgrade kingsize room 31st floor . room impresive size accomodate partial nice view neighbourhood ( city view ) . read bad review bathroom must say , although somewhat dated shower really powerfull mirror fantastic apply makeup , ( help u lady ! : ) ) . room clean twice day , lovely clean towel fluffy robe . everybody hotel cleaning lady Reception staff seem friendly willing help query . restaurant good , . price slightly expensive side , , know choose New York . hotel close 5th avenue Park , make really easy go brisk walk go wonder . well connect rest Manhatan via tube station bus . get lose way time try find way would London . 's completely different system ! get map ! ask direction , people friendly ! lovely cafe behind Hotel amazing breakfast selection ! eat every morning . shopping amazing , ! overall , choise hotel great ! love would reccomend everybody go big apple ! back ! : ) ) 
 Jan 12 2008 	 lovely view 	 arrive 2.30am 5 hour flight Vegas , Hotle check professional , allocate room 14th floor , poor view luxor Vegas want room view ! ! give room 40th floor ... wow view ! ! overlook Plaza leave Cenral park , night view typical New York skyline view everyone imago . the room clean , tidy comfortable , although funishing bit outdated , do not mind sleep room .... stay room long miss great New York experience ! ! .Staff nice helpfull , eat time cheap compare U.K. , portion huge ! visit sight , Statue Liberty , Ground Zero , Empire State , Times Square , central everywhere,5th ave round corner . if reqd famous yellow cab staff would get one wait , would minute ! ! ( still meet New Yorker drive one ) overall hotel need change decor would not put we go centrally locate hotel 
 Jan 7 2008 	 well locate 	 guess New York Hotels expensive one extremely expensive comparisson get . old bed old bed spread , good service . old carpet , old bathroom , everything old . 
 Dec 21 2007 	 Shabby Park Lane 	 stay 4 night city view room week Christmas , market 5 star hotel . true . Room shabby . enamel finish go tub , slide thin plastic toilet seat , dripping paint disgusting carpet . electrical socket wear lamp keep unplug furniture miss drawer pull cabinet handle . staff part kind helpful . however , service inconsistent . Quality depend entirely individual serve you . the location fabulous . Central Park , short walk Metropolitan Opera , MOMA , good shopping world . get 2 star price , great convenience . otherwise skip go elsewhere . 
 Dec 12 2007 	 top class staying hotel ! 	 read differ review hotel not really know expect however moment checked not disappoint . reception area smart staff friendly . room initially ' city view ' room top floor however porter open door not service quickly find we another room not like . quick call reception immediately find another 38th floor overlook Central Park ! room large quality furniture flat screen tv , bed comfortable shower powerful ever hotel anywhere world . maid efficient room bathroom spotlessly clean . hotel ideally locate main shopping area , Broadway etc within easy walk distance . go back 2008 sure could not fault . 
 Dec 3 2007 	 Lovely Hotel 	 stay 24th -29th Nov. read review bit unsure , wonderful , beautiful hotel really nice moment Christmas decoration . room 44th floor great , okay mirror ceiling hall bit tacky , overall everything fine . staff lovely room attendant helpful . would recommend hotel anyone . restaurant Room View beautiful dinner 
 Nov 18 2007 	 Fantastic hotel 	 stay Helmsley Park Lane 3 night November . like mostpeople research go read review terrible hotel ( dirty bathroom , wall paper come wall etc ) , say bedroom bathroom clean , see wall paper come wall . arrive , check easy fast take straight room find double bed ask twin . one quick call large clean double twin room . would definatelystay hotel would would recommend friend . location fantastic , 5th avenue 2 min walk away time square 15 minute walk , also bus stop road hop hop bus sight seeing tour would also recommend . 
 Nov 14 2007 	 long history long forget 	 stay Helmsley 4 night business trip . location really nice Central Park , 5th avenue close . it . the hotel old would really need lot refreshing . petty consider long history place . extremely disabpointe , especially consider price . room decent size , nothing overstande all . the front desk friendly , people try reach room tell registered hotel . the concierge extremely helpful friendly . ask variety restaurant around always able give exactly search for . next door hotel Central Park level nice place breakfast call Sarabeth 's . overall probably stay anymore . 
 Nov 12 2007 	 Fantastic Views 	 wife absolutley wow stunning Central Park view 23rd floor room - night skyline even impressive . generaly impress hotel overall , puzzle less complementary review read prior stay . the room service good , food . staff friendly efficient room clean well present . however , tip would pass anyone consider stay would get breakfast early long wait . 
 Nov 6 2007 	 way four star+ posh hotel would like 	 misfortune stay end honeymoon . Booked virgin rate 4star plus hotel , get real ! ! decor old , truly awful date . first room one old room virtually every piece furniture break damaged way . stay 2 star new york nicer . 3 star hotel well move renovate room part view park . the location good part park view nice location alone make hotel classy rating . bad finish great honeymoon hotel amazing lived rating . the staff friendly hotel need stop pretend something not , would great cheap stay good location stretch imagination hotel luxury worth luxury price tag ! ! 
 Nov 4 2007 	 old decor ; antique staff ; good location 	 Helmsley Park Lane reasonably price 's prime location , directly across Central Park , amid much higher - price hotel , tony apartment , high - end restaurant . ( 40 - something travel teenager ) find be old cram anything close Times Square , feel good return relative peace & quot ; class & quot ; block . inquire booking ( directly in - house reservation ) room recently renovate , tell entire hotel . unfortunately , think & quot ; recently renovate & quot ; mean recently hang flat screenTV wall room otherwise untouched since 1964 . go cheap settled city view room , high floor . ( perhaps park view room truly update ? ) double / double non - smoking room huge , sufficiently clean , quiet -- be horribly ugly ! describe decor crazy old lady shop garage sale might think FANCY.Creepy cream - color & quot ; ornate & quot ; dresser edge rub & quot ; gold & quot ; ; floral bedspread , floral wallpaper stretch imagination could say & quot ; coordinate & quot ; ; lamp & quot ; ornate & quot ; golden swan ; mirror hallway ceiling . ( remind little Binion 's Horseshoe downtown Las Vegas , actually tries look like antique bordello ) even new , would UGLY ; fact old worn addition ugly , cast hotel creepy dim light . ( perhaps stay weekend Halloween taint perception -- keep expect see Leona 's ghost ! ) flat outamazing hotel get away update decor , least every couple decade . bed hard , bed thin scratchy . oh , bellman doorman easily 75 year old -- seriously feel bad ask anything ; ask everything , andloudly ! ... worth stay big , cheap room great location ? hard call . 
 Oct 30 2007 	 Bordello decor 	 's cheap room great neighborhood . hotel block view much nice place , many time cost . decor hoot , mirror ceiling hallway . 's run , small lobby bar , food ok view park great . 
 Oct 26 2007 	 enjoyable experience - Great Staff 	 wife travel honeymoon stay 5 night depart Vegas . hotel well locate 5th 6th avenue great view Central Park . fortunate enough get half park / half city view room 42nd floor . decor bit date hall sometimes get much look ! room nice 2 visit maid per day . ' room view ' restaurant hotel great . excellent , professional service equally good food . stay NY , would recommend tour bus . trip cost $ 40 ticket last 24 hour use day afterwards hop feel like , Uptown Downtown trip , bus stop right outside hotel ! use hurried atmosphere NY like be not , Mickey Mantles Sports bar door HPL great relax in . the main thing like hotel though service . concierge , receptionist & amp ; barman rememebere we , ask go night , enjoy come back , get we taxi , remember drank list go . that s make good we . 
 Oct 23 2007 	 Dowager Park 	 yes , 's old fashioned - corridor floor carpet wall paper not easy eye . yes be expensive , yes 's little fray round edge . butwe lovely room 33rd floor . elevator always swiftly available . comfortable bed , great shower , equipment room need . hotel bar small , serve massive gin tonic good nibble . breakfast good expensive - pay experience : ornate dining room massive 1st floor window overlook Central Park . lot service.1 check clerk incredibly slow , pleasant swift . really helpful concierge . door man good , bell boy ( combine age 200 + [ ask ] ) useless luggage leave . stand look , even though tip everyone go along . location terrific . so think get pay , could get good rate would definitely stay . enjoy 4 day stay much . 
 Oct 21 2007 	 mixed bag 	 renovate room certainly well unrenovated one , even be mixed bag . thing upgrade , lot furnishing still old . pillow not , bed somewhat hard , A / C not work well ( unusually warm October ) . would recommend stay really want view Central Park cheap price hotel along CPS ( Essex , Ritz , etc . ) . 
 Oct 18 2007 	 Helpful 	 Booked break Lastminute.com fairly straightforward although flight Air France .. never , ever fly many reason Helmsley Park Lane , say fabulous ! really enjoy location , staff friendly , especially Anthony concierge make several call behalf find lose luggage ( Air France ) .. anyway , great location shopping luggage , come useful . drink Harrys Bar typically high hotel price huge measure , particularly Sambuca beware . just short walk hot efficient Metro network Cabs never far away Horse draw carriage romantic / affluent altogether decent place . room ( 3406 ) little date particularly bathroom also face back high rise although city room , pretty much expect . imagine Park View room being superb . must Helicopter tour Big Apple , excellent ! , forget Air France , enjoyable stay definately return . Cliff 
 Sep 26 2007 	 bad great 	 well locate hotel great sweeping lobby . book room ( Expedia ) ask Park side expensive get fairly bland view city , issue . room huge reasonable amenity ( small fridge free safe ) . room clean , well maintain comfortable nicely decorate lack ' wow ' factor expect well position famous hotel . bathroom okay nothing special . good hotel really experience expect . 
 Sep 21 2007 	 nice ! 	 beautiful room 3815/3814 view everywhere ! friendly helpful front desk staff ( thank Christina ! ) . breakfast overlook central park excellent waiter food . room service make soup order 11 year old . can not go wrong . near shopping . 's want stay pampered ! 
 Sep 18 2007 	 bit run - down 	 first - good things:1 . easy connect well - price wireless internet access room ( travel business high list ) 2 . nice flat screen tv3 . fast elevatorsnow , & quot ; not - so - good & quot ; things:1 . ditto previous reveiwer ... peel wall paper , decor tacky side ( 1960s pink wall paper dark green dirty rug ) 2 . wear run - down bathroom3 . everything room look worn ( except new tv ) - keep look dirty green rug wondering could classify luxury hotel ? 4 . Bed linen dingy worn5 . clock radio technology not recognize , Circa 1960 maybe ? 6 . noisy ventilation system7 . blind not close8 . coffee pot room9 . mini bar room . go downstairs lobby shop ( aka Lobby closet ) water either.10 . chain door11 . light tub dim lighting sinkI notice room across hall renovate . ' m glad renovate grand , age hotel ... could do without constant flow F - bomb man working project . not worst well ... Hilton Times Square still favorite hotel NYC . 
