quiet 	 celebrate wedding anniversary trip NYC enjoy quiet Ritz Carlton . room 6th Avenue , able see Central Park . room spacious , spotless serene . service impeccable . hotel highly recommend ! 
 Jan 29 2008 	 Place stay ny 	 husband take New York 40th BDay stay Ritz Carlton , Central Park . hotel hand good hotel ever encounter . well travel stay 4 5 star hotel consistently . stay many Ritz Carltons , Central Park location simply outstanding . hotel limo pick us airport upon arrival greet name wish Happy Birthday staff . upgrade room , complimentary champagne send evening , rise petal cover bed champagne dessert restaurant dine ( compliment Ritz ) . spa die give bag full product take home . never time greet name staff throughout weekend consistently ask enjoy birthday stay . room exceptionally clean tended trust come say lot . blt market fabulous hotel bar fun good people watch place . never want leave actually tear . thank Ritz Carlton Central Park , able enjoy 40th feel like royalty . pamper never end . already plan trip back entire family even though pricy , would never stay anywhere else ny . go enjoy ! 
 Jan 23 2008 	 great location shopping 	 husband stay Ritz - Carlton 4 day December . great location shopping ! hotel busy mean lobby bar always full burst difficult get table . suite lovely incredibly comfy bed big , well fit bathroom . spa slightly disappointing - massage ok waiting area small feel date . definitely hotel location count lot be probably good use hotel sleeping - 's place spend time right . 
 Jan 13 2008 	 Impressive expect Ritz 	 stay December business / pleasure trip . travel 3 year old daughter . staff incredibly nice helpful , especially . example , front lobby staff would watch get stroller , etc ready get door . the room see little date Ritz , however clean housekeeping service great . we stay room allow club level access lot free perk . highly recommend book room access . food , drink ( water , soda , wine , tea , etc ) day . great 3 year old along . easy stop snack way way . night tapas sushi , cavier , etc . high end . normally eat NYC , however since 3 year old eat majority meal here . the club access also conceirge . helpful know name first time stop in . I also become sick trip hotel doctor fantastic . office close make house call sick travel . fortunately , ear infection easy stop office . we plan stay Ritz week hope wonderful , welcome experience . on side note , stay Peninsula prior trip impressive , find staff welcome bill correct . take hour fix another couple counter problem . 
 Dec 28 2007 	 Heaven Central Park 	 amazing hotel stay husband could ever imagine . stay use gracious Getaway certificate include interior room ( view ) breakfast morning . we arrive hotel right 3:00 p.m. Wenny tell we room available , would like upgrade we room overlook Central Park , complimentary . wait 15 minute , find we place swanky hotel bar . drink $ 19 glass pinot noir , happily surprised hotel pay ! ! hotel bar unbelievable , staff well could expect , even Ritz . people know treat guest amazing . when get room 22nd floor , breathtake view Central Park . room gorgeous . take bubble bath together oversized tub listen Tony Bennett Christmas , one cd available room . american Breakfast morning delicious . meal come roll table enjoy breakfast overlook Central Park . this night remember recommend hotel other ' ve stay New York City . 
 Dec 11 2007 	 friendly staff 	 stay Central Park Ritz - Carlton week Thanksgiving wonderful time . check - in : unfortunately , one person front desk time check , wait several minute help we . check process extremely speedy . room : give & quot ; interior view & quot ; Superior Room , essentially window face brick wall . room pretty large , compare New York hotel room ' ve stay . bathroom especially spacious soak tub shower . bath product Frederic Fekkai toilet even room , love . bed extremely comfortable . complaint room iron ironing board . staff : housekeeping staff great ! never see , visit room twice day . morning usual cleaning , evening turndown service , complete chocolate pillow ! concierge staff friendly , though extremely busy . go morning , three work full capacity . doorman helpful anytime leave hotel , tell wonderful day / night . staff friendly waitstaff lounge bar . helpful we look table . service : room service prompt efficient . restaurant downstair pretty busy recommend reservation , even breakfast . use business center , business concierge , confuse use one present . eventually someone help we not get charge internet usage printing . location : lovely walk door morning Central Park right across street , though smell horse bite overwhelming . two subway stop within one block , make easy access part town . 's short walk 5th Avenue , make window shopping breeze . need plan ahead leave plenty time take subway mid - town show . check - out : check easy painless door quickly . doorman extremely helpful get us cab train station . other : hear Central Park Ritz complimentary Bentley use take short distance , couple time want use , already book . first come , first serve . 
 Dec 7 2007 	 return guest ... can not get well NYC ! 	 , top notch ! well worth money ( lot ! ) . ensure get room high possible - stunning view dawn European jetlag lie awake stare across tree ! draw back hotel lack fine dining ' option ' glam breakfast room either . space limit NYC hotel , far luxury & amp ; location go , top ! 
 Nov 19 2007 	 5 star 	 ' ve stay many different Ritz Carlton 's , get to say ' m impressed w/ level service Central Park Staff . parent marry 35 yrs celebrate anniversary past weekend , several staff member go way say nice word congratulation . think classy . club level staff absolutely stellar , clean room , etc ... definately stay . 
 Nov 3 2007 	 Great Service - Small Hotel 	 agree positive comment hotel previous review . love Ritz Carlton intend suggest location live Ritz standard . however , important characteristic location must aware may may issue you . I kind expect staff bend backwards every need price , . however , ' mean free . get whatever want , whenever want , charge 4 time anywhere else . never appreciate significance extraordinary service extraordinary price . impress extraordinary service moderate price . I realize complain cost one stay Ritz silly , Ritz costly Ritz stay . want prepare anyone use pay $ 15 cheeseburger typical Ritz sticker shock ; $ 29 here . also , pay premium Park View . Superior Room ( $ 995 / night ) 5 night suppose courtyard view . courtyard view mean brick wall . realize error , since could pay 50 % view . ' want see brick wall , pay view . otherwise room beautiful , comfortable bathroom huge . problem noise 6th floor . but price lack view ' real concern . reason would return hotel hotel virtually common area speak . lobby adjacent lounge small standard ( 40 chair ) . small bar really common corridor lead hotel 's small restaurant . 's . grand tour take 3 minute . remind nicely appoint apartment build small lobby elevator . thing use room home base . come , go straight elevator room . leave , walk straight outside . note see inside hotel ( spa meeting room floor ) .The lack common area hotel may factor many . realize many traveler would say come NYC see sight , hotel . ' ? particularly price . like hotel destination unto . rain ( like one day stay ) want oasis storm . , place sit chair lounge full people escape rain . for example , Plaza right next door 6 time size Ritz large common area probably similar level service . make example example nearby hotel big , realize Ritz Carltons . , would stay Marriott Marquis Time Square , realize whole different experience middle hustle bustle . bottom line Ritz much destination far hotel go . reason stay great service , Central Park across street proximity many great attraction . 
 Oct 17 2007 	 luxurious pricey ! 	 get back fabulous stay Ritz Carlton . weekend pull stop 10 year anniversary celebration . husband coordinate everything concierege could helpful ; car airport , helicopter ride , rose , spa appointment , restaurant reservation , show ticket , etc . extremely helpful everthing exceed expectation , great seat dinner show , amazing spa treatment , use hotel 's Bentley , etc . one actitivite not work husband complain take cab , find cancel , concierge apologize reimburse husband everything ( include cab ) immediately without fuss . the Ritz impressive : offer champagne hor d'ouvre checking , person check show room , send little anniversary present also give we one spa , 's lovely turn service , staff know name , need clothe press turn around couple hour , etc . , etc . be right across street carriage ride Central Park , street Time Warner center around corner FAO Schwartz , Barney 's rest Fifth Avenue shopping . park view deluxe view room book big , traditional nicely appoint huge bathroom . ( although $ 1200 night would nice two arm chair . ) room look though recently redo , fresh feel . staff extremely courteous accomodating . mention , husband coordinate activity . however , pay service like . get room first time , husband , appropriate , overly generous tipper , note already spend $ 100 tip . ( New York 2 hour ! ) ( entire trip , , admittedly throw caution wind little bit , spend least $ 500 tip alone -- be tipper ! ! ) receive good massage like La Prairie spa also enjoy good facial . room service beyond pale expensive . breakfast two jaw - drop $ 200 . safe money breakfast lovely BLT market lobby . despite extremely expensive , would . 's fabulous special occasion treat ! 
 Oct 12 2007 	 fabulous hotel perfect location expensive . 	 Ritz Central Park beautiful absolutely top notch hotel . be literally across street Central Park , near Times Square , block Madison Ave . wonderful shopping . pricey ! spend 4 night Ritz 10/6 - 10/10 . first night cheap room ( $ 995 night ! ) . decently sized beautifully appoint , little small give travel toddler need crib . next three night stay small suite , huge lavish wonderful . sure anyone would need large room . completely separate live area ( put crib ) , two bathroom king bedroom . bedroom interior hotel do not view , quiet . $ 1595 per night . the living room also stay amazingly quiet give face Avenue America 's . partial view Central Park . the staff helpful attentive nothing good thing say . treat 20 month old cheer , nice expensive hotel . we eat room service breakfast . order pot coffee , one tea chilren 's pancake . come $ 95 ! luckily mllion place close ( include Mickey Mantle 's Sports Bar - great kid ) eat much reasonable price . if could afford , would always go back stay Ritz . 
 Sep 23 2007 	 wonderful experience 	 everything perfect . nothing great memory stay . view , service , bed , bath , food , location . 
 Sep 22 2007 	 exceptional 	 part luxury two centre holiday [ honeymoon ] book Rita Carlton via Virgin Holidays . season traveller though expect receive certain high grade service 5 * establishment . hotel outisde look unimpose compare Plaza , however , well situate Central Park 5th/6th Aves . small less luxury hotel really excel 1 1 customer service . lobby area exquisite lounge lift bedroom . upon arrival warmly receive inform upgrade ' park view ' room nice . stay 4 night hotel locate right foot CEntral Park make ideal ' base ' explore great city . room luxurious spacious superb bathroom . would expect also get add value thick comfortable bath robe toiletry . room benefit large tv , DVD mini - bar though would avoid price plane ' silly ' ! british , often small touch appeal especially like free shoe shine service free newspaper [ deliver door ] . air con effective easy control . view across park outstanding . this luxury hotel hotel facility price match centrally base one busy city world , probably spend limited amount time room . think relative small size , good location , ' quirky ' feel appeal british tourist look something little sophisticated plain travel lodge type affair . hotel live expectation . enjoy ! 
 Sep 11 2007 	 Ultimate New York Hotel 	 wife spend anniversary last October , experience still resonate . frequent many top hotel high quality Inns around world , New York Central Park Ritz definitely one good . accommodation wonderful , top notch . love security factor elevator electronic key card elevator access . make feel secure Big Apple . Jake , concierge , fantastic get we reservation last minute Daniel 's Broadway Nobu , treat well fine establishment . 's evident concierge hotel influential pull fine restaurant New York . the location Central Park Ritz can not beat . view fall foliage hotel room breathtaking . hotel short walk shop Madison Ave . high Tea service wonderful . , worth price . room $ 750 p / night midweek , plus tally $ 1 k incidental , include la Prier Spa premise . wonderful stay ! k suite view Central Park ! 
 Sep 7 2007 	 Five Star Disappointment 	 husband love travel love Ritz Carlton - pay premium suppose five - star premium service . wedding attend NY look forward stay Ritz NY CP year . first evening , Sat . , stay DND door - housekeeping respectfully leave we alone , leave card state attempt turn . far , good ... next day , Sunday , relaxed room day DND leave wedding around 4 pm . call housekeeping tell would leave could take care room . leave around 4:10 remove DND . return hotel 2 room cleaned - clean , replacement towel toiletry , refreshment minibar , turn , nothing . even card state attempt stop . husband call night manager apologetic offer take & quot ; fresh towel & quot ; we . since 10 hour , decline . the next day , Monday , complain assistant manager . , pleasant apologetic fellow . state housekeeping note DND sign . say call removed DND sign leave room around 4 pm . understand 5 - star hotel , will not enter room sign , careful remove away . he offer upgrade we and/or give we discount - respond not stay Ritz save money , go Ritz pamper take care . 's point . leave go shopping & quot ; normal & quot ; room clean . return readied go dinner around 7:30 pm , remove DND door leave . return around midnight . - turn card . voicemail ( ? ! ) state & quot ; tried & quot ; give we turn DND door . patently false . bother simply walk room , would see that . we stay 6 Ritz Carlton hotel , - NY New Orleans ( stay 2004 ) bad term service . extremely disappointed complete total breakdown service instead make sure happen ( ) , blame - & quot ; DND door & quot ; - lack attention . 2 night row , simple walk hall would reveal DND sign door , alternatively , accurate record housekeeping note room clean / turn down . since Ritz chain , responsibility offer guest consistently excellent service . average & quot ; Ok & quot ; service experience Ritz , especially Ritz NY , one would rightfully expect bit standard bearer , unacceptable . give fact NYC full luxury hotel choice - will not return Ritz NY . enjoy true luxury travel , suggest spend money elsewhere ny . Ritz NY CP simply worth money . 
 Sep 3 2007 	 spoil trouble stay hotel . 	 stay visit NYC since move away NYC ' 04 . native Brooklyn live Manhattan 15 year prior move midwest . return often possible . quite simply , stay hotel . work take city despite try find & quot ; 1st choice & quot ; good hotel , always disappointed . staff Ritz - Carlton CPS dedicate , responsible , courteous attempt anticipate need often successfully . the room spacious ( always stay Park View ) , well appoint , outstanding condition spotlessly clean . actually look like picture website . the food good hotel food recent stay re - doing restaurant still serve full menu lobby lounge . the security outstanding security staff entrance card entry floor room guest assign . location perfect tourist business traveler centrally locate staff door helpful get taxi 's even difficult time catch cab NYC . also , public transportation nearby . the tea service wonderful adore clot creme . long time ago develop habit require & quot ; heap & quot ; clot creme whenever & quot ; creme tea & quot ; . something Ritz initially use provide understand mean & quot ; heap & quot ; . server 's part excellent job hiding surprise regard much clot creme one get scone . accommodate remember visit visit special request & quot ; heap & quot ; .The spa peaceful clean relaxing . service good . staff soothe . Rachel . nurture person ever meet spa spa junkie . like dot mother give good pedicure whole world . plus advice let anyone else clip toe nail know one well right . not miss . miss ill fall subway really care well pedicure . bring good other . speak special staff Ritz Carlton CPS . pedicure , alas , also spoil pedicure absolute good . check - in breeze . never problem . special room request meet whenever possible not staff try make manner . the concierge staff anything possible . matter celebrity stay ( usually celebrity ) know happen see celebrity enter exiting crowd outside hotel waiting glimpse . everyone treat like celebrity accurately guest treat . always feel pamper beyond belief . staff make feel & quot ; special & quot ; . however , impressed treat everyone alike . room service adequate . food good really problem food luke warm time get serve . presentation lovely make mistake order . tray table collect within minute call . never see tray set outside guest room waiting pick up . most importantly , concerned year stay hotel thing would change Marriott owner . however , thing change hope Marriott continue attract outstanding staff Ritz Carlton CPS . Marriott lucky dedicated professional attract . truly special hotel . destination city plenty competition destination . 
 Aug 16 2007 	 Loved ! ! ! ! ! Ritz Carlton Central Park 	 2 good friend stay 4 night July . really love place ! upon check greet Ender fabulous . escort Club lounge room not ready . frequent lounge several time stay always love service Kahn , be attentive helpful . door would always get & quot ; good morning & quot ; form Felix , umbrella rain . love concierge George , help we rainy day ! room awesome course bathroom die for . upon departure , club lounge fix we & quot ; go & quot ; box eat lunch airport . I highly recommend marvelous hotel . 
 Jul 27 2007 	 special experience- wait return ! ! 	 exceptional stay . terrible experience one Ritz Carlton , disappointing experience another one . figure either & quot ; three strike be & quot ; & quot ; third time charm . & quot ; glad say absolute charm start finish ! gorgeous hotel , unlike reviewer , one lobby seem care dress sweat arrive . fact , despite fact mix - up ( fault ) reservation , promptly accommodate park - view room 11 am . delightful surprise . similarly , head dinner ( around 5:30 Saturday night ) ask bellman use hotel 's Bentley , promptly call driver drive right restaurant . wait , hassle , nice conversation , wonderfully comfortable ride ! Shannon Rosa front desk lovely . could make arrival nice . Shannon escort upstairs , stop along way show spa club lounge . wonderful . room beautiful , huge ! absolutely love every aspect . other mention comfortable bed Fekkai bath product . concur . . .they wonderful . slipper actually fit -- nice change pace ! ! return room lunch afternoon shopping find cd room show see night . note please enjoy cd gift hotel reminder trip city . 's extra touch make difference . similarly , mention concierge club lounge really want know last Harry Potter book end ( town weekend release ) , promptly produce one read . talk resourceful ! ! also take advantage La Prairie day spa , promptly accommodate same - day appointment . facial Mary exceptional , reception staff outstanding . overall , although expensive , think hotel worth every penny . definitely look forward time reopen restaurant , wait return trip next year ! ! thank wonderful weekend park ! certainly back ! 
 Jun 25 2007 	 certainly one good ! 	 stay Ritz - Carlton wedding anniversary special request . although hotel could guarantee request beforehand ( like room 2214 , give try ! ) , discover upon arrival make special preparation ( like champagne room friendly personal card ) grant wish . service excellent throughout stay - doorman reception room service . really top hotel certainly one well visit far world wide . enjoy wonderful view upper floor ! 
 Jun 5 2007 	 Ritz property learn one . 	 Past Ritz 's use Amelia Island , SanFran , Palm Beach date , Ritz good , Four season quality . Ritz Central Park however pleasant surprise management Ritz 's would good visit place . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * PRE - ARRIVAL : problem phone concierge fine reserving sedan Penn Station . * location : take 25 min Penn Station , be right Central Park . close Times Square Broadway subdue part town . * CHECK - in : GREAT . wonderful greeting bag take within 60 second . front desk expect we name . suite would not upgrade , well escort we room . * lobby : lovely , typical Ritz . lovely decor , floral arrangement , lounge area kind sanctuary NYC . * ROOM : Park View room . 450 square foot , pic website accurate . comfortable bed , typical high thread count sheet good pillow . surprisingly air condition almost proper strength imo , able sleep comfortably blanket . decent lighting room view Central Pk lovely . suggest low 11th floor . nice marble bathroom upscale toiletry , robe , seperate shower . water pressure low erratic throughout shower . sometimes think hotel use recent enviro - fashion skimp . sure make adjustment , decent water pressure not outlaw either . * service : everyone friendly great . phone , room service , concierge . concierge helpful go beyond merely make reservation , look thing Zagat already know . * housekeeping : problem . would expect Ritz . * ROOM SERVICE : order delivery prompt , friendly , accurate , warm . food good . * dining : eat lounge double restaurant remodel . ' m comfort - food guy SURPRISINGLY , food marvelous . 3 mini burger great , fry hot crisp , service perfect . next table order type garlic pasta smell could tell well prepared . * workout : forgot use usually . ' m sure be nice . burger sure : ) enjoy , safe travel . 
 Jun 2 2007 	 great .... 	 stay wed long - weekend May 2007.This strange one . yes top - notch highly sophisticated , high - brow establishment , yes staff professional , yes room amaze beautifull furnishing , marble floor telescope bird watch Central Park . however we something miss , feeling could relax . not fault hotel never feel quite threaten enter lobby Ritz Carlton , dress tracksuit 23 hour travel greet look guest shall say exactly welcoming . leave last impression combine general atmosphere place mean feel like able relax . yes room spotless due attention small detail , bathroom particulalry impressive marble floor gold decor , yes staff remember name , smile tell weather - forecast day leave morning sincere long last depend much money think will spend . we afraid eat hotel give guest say request breakfast bed last night leave hang door even though newspaper deliver sign would clearly visible . be $ 37 dollar Brandy coke mini - bar bring lot cash folk . and review would complete without point view Central Park , relative peace quiet get stay oppose many centrally locate hotel elsewhere around Times Square like . to conclude come want impress put show materialism wealth , say wedding anniversary . want chill need base explore truely amazing city save cash set - down elsewhere . 
 May 27 2007 	 World 	 daughter give we elegant retreat Ritz , pick Central Park location . , spoil nyc.the service go beyond New York property , ever stay . access Club lounge , food good , not want miss presentation . conciergeintroduce Club , way room . enter first time , quite impressive call we name . happen mention city Mary Poppins , come back room , concierge soundtrack playing , tell we take home , memento stay . , quite impressive . room incredibly clean . mattress comfortable , good hotel . everyone speak , ask stay . hair well ever , even humidity , due Frederic Fekkai toiletry . stay NYC make feel like queen ! wait return ! 
 May 10 2007 	 miss ` ` much '' 	 pay $ 895 standard room third floor look 7th Ave . understand reservationist , not surprise dissappointe . hotel business , use spend money stay hotel , figure 's Ritz not connection . arrival experience fine , face . breath time get room . hill . light bathroom ( big deal ) take 4 time get fix ( big deal ) not get fix checking . main light could not see need shave problem cut bleed white shirt . three inch dust picture frame bed . chip paint chair chip paint wall . two pillow entire room horrible . bed not even close Algonquin Bed W bed . sheet not even close either . service lobby flat get get waitress attention . take 45 minute get appetizer receive , terrible . every time walk hear bellman doorman speak personnal life . one person problem wife chicken soup lunch . not usually care kind stuff , review be like stay & quot ; good hotel NYC & quot ; , not good . stay Ritz Orlando amazing . great service needed not go . cleaniness room amazing -- favoriate hotel world . the Ritz NY worth money -- trust . many great boutique hotel ny half money . really want great review . sorry . 
 Apr 6 2007 	 Perfect Stay ! 	 stay many Ritz Carlton Hotels , nice one far . husband take two son , 13 9 , Spring Break . location fantastic- right Central Park 's ice rink , block 5th Avenue shopping , close Broadway ... suite ready arrive . front desk staff assure we would ready 20 minute offer 4 us complimentary lunch lounge . food delicious , harpist playing , enjoy relax beautiful room . our room ready promise time finish lunch . we stay Deluxe Park View Suite . pricey absolutely worth . suite impeccably clean housekepe service perfect . husband ask extra shampoo bottle , leave 15 extra bottle ! nice plate cookie drink send boy compliment manager . the view Central Park mesmerizing . could even see ice skater ! 2 large , fabulous marble bathroom . bed comfortable ever sleep . room actually remind apartment hotel room . same feel entire hotel . feel like home . Club Lounge must . six different food presentation daily - of high quality . concierge fabulous ! hotel Bentley drive nearby restaurant Broadway show . lucky ride twice- compliment hotel ! feel like royalty . I not single complaint hotel . can not wait stay . expensive , worth ! 
 Mar 1 2007 	 good hotel service ' ve ever experience 	 organise last - minute stay husband five year old , snowy week Manhattan . moment step cab , someone , somehow , know warmly kindly greet . within half hour arrival , lovely team member knock door toy box chocolates daugher ( Valentine 's Day next day ) . room bathroom extremely comfortable . well equip well present . surprisingly child - friendly hotel ! would hesitate recommend anyone young child . 
 Feb 28 2007 	 Superb ! small 	 stay wife three child ( 18,16,12yrs ) anniversary . get great deal Avenue Suite accomodate we ( include two bathroom . ) stay 4 night Feb 18th-22nd 2007.First impression : hotel private . lobby small opulent bar awesome although stay club level . club level definitely worth $ 50 per day . get six food presentation drink ( Hildon water particularly nice . ) quality food excellent especially dessert ! great conciege call Hatsumi - really cool helpful . the room great . frédéric Fekkai toiletry stock standard . service really excellent . we frequent Ritz - Carltons around world . one definitely different . much small less ostentatious . also gym well appoint . overall , get expect five star hotel ! go way accomodate . 
 Jan 30 2007 	 Fabulous Weekend 	 return weekend stay Ritz Carlton Central Park . service receive amazing . champagne chocolate cover strawberry cd play see day , guest services department go beyond . parkview room superb . room comfortable elegant Frederic Fekkai bath product wonderful . great wake view central park see ice skater rink . horse carriage line outside hotel ( across street ) . truly special scene . highly recommend hotel romantic weekend time . can not wait go back ! 
 Jan 14 2007 	 TOP NOTCH ! ! 	 say enough hotel . stay many Ritz Carltons one , far , surpass . level service beyond outstanding . staff , bellman front desk , guest relation , could enough . soon 8 year old daughter check everyone greeete we name . not know know we literally right check , . book deluxe rm American Girl vip package . ( daughter probably know American Girl ) . bunch add amenity package . Guest Relations call 3 day ahead time find kind thing daughter like . get room ( way upgrade we large suite ) kind present wait daughter . happy ! room immaculate ! room service prompt , accurate , hot delicious . worth every single penny ! ! ! ! 
 Jan 2 2007 	 true gem ! 	 stay Ritz Central Park twice , times fabulous experience . friendly staff , helpful attentive . great room , comfy bed love Frederick Fekkai toiletry ! 
 Nov 29 2006 	 New York 's fine hotel 	 good hotel New York - year stay many business pleasure , spend money want value lovely place stay , place . we park view room wake pleasure . indeed curtain never shut . what set hotel apart location extra amenity - bar one good NY concierge can not help enough be do unintrusively . 
 Nov 13 2006 	 many mistake Ritz Carlton 	 wife return weekend stay Ritz Central Park . request recieve park view room 10th floor . room great view worth extra expense . first impressed attentive staff overall ambience hotel . request ticket sell show concierge come albeit significant premium . stay would prefect three problem . first , belt take miss housekeeping staff clean room . look everywhere belt never appear . certainly think steal feel gather linen mistakenly take room . report front desk far find . request dinner reservation new restaurant hotel 's recommend list . conciere desk print confirmation include address restaurant . Infortunatley , address incorrect realize taxi drop we leave . finally make dinner 45 mintute late table go . next morning leave airport , point problem concierge . apologetic express desire compensate we mistake , offer anythihg . would think would offer take we airport hotel car . finally check , bar tab charge bill . give price room , ( $ 1000 night ) three significant mistake two day acceptable standard Ritz Carlton . 
 Oct 30 2006 	 Lovely Visit 	 absolutely lovely hotel . thing lacking view , due budgetary constraint . simply curiosity look suite overlook park , rack rate room way many zero . however , one mean , would definitely recommend . incredible view room beautiful millwork comfort make midwestern kid wish , moment , Gordon Gekko could enjoy room . hotel truly make stay NYC sooo magnificent . originally stay Ritz Battery Park , not care location hotel move Central Park . staff attentive , security great , location work well business , restaurant , entertainment , sightseeing shopping . odd thing paparazzi constantly hang around outside main entrance . find irritating , ' m even famous . room extremely comfortable , quiet , clean traditional beautiful marble clothe bathroom . look forward return . 
 Oct 15 2006 	 nice trip New York 	 wife take trip without kid need great location - Ritz Carlton deliver . courteous professional service front desk bar . room huge well approinted , especially bathroom . lobby elegant . bed extremely comfortable point encourage oversleep . downside , cable not work - maybe loose connection - busy not realize last morning checking . would definitely return . room expensive around $ 900 / night visit well - know Manhattan hotel $ 600 range feel cheat seem worn . hotel lobby full poorly dress gawker whereas Ritz seem give secluded feel enjoy . 
 Oct 11 2006 	 try service problem possibly inherent building 	 initially check expect Ritz - Carlton service experience especially since New York Central Park branch number positive review . the staff indeed friendly , give New York City standard , put deluxe 9 series room due extend 3 week stay . however , 2nd night , rumble / rattle sound vibrate room disturb sleep intermittently . worsens day . immediately think review another guest train call front desk help . 2 visit engineer , tell elevator move 3 series room ; misinformed front desk 3 series room & quot ; large wardrobe space & quot ; tell go wrong floor first embarasse guest already occupy room midst dry shower . talk night manager , apologise misinformation say could not much except give we wheeled clothe rack room , go sleep somewhat soured experience hope get sleep . unfortunately , awaken rumble / rattle sound next day . I ' ve resign sleep uncomfortable ear plug will never stay Ritz - Carlton New York . price pay promise make chain , would expect . hotel nowhere near Ritz - Carlton standard hotel ' ve stay in . a definite disappointment . 
 Oct 1 2006 	 disappointing stay 	 love Ritz - Carlton hotel ...... ' ve stay Orlando twice year , St Thomas New York time . ' m start wonder Central Park location either busy not care anymore . last night go dinner ... ( room 5 pm ) return 9:30 . walk room , realize turn towel service occur . disappointing . call front desk ask change policy turn service , reply till 10 pm complete service . ' m sure answered question typical Ritz - Carlton hotel . ask towel order shower morning ( 2 upon arrival ) .... wait half hour ( get tired wanted sleep ) call front desk say send idea happen . sound like Ritz - Carlton ? call back front desk woman bring towel room tell we woe busy could not get room tonight . get kind response hotel ..... $ 700 night . needless say , disappopinte service . one apologize show remorse inconvience we 10 pm Saturday night . ' m use different Ritz - Carlton . be bad . 
 Aug 8 2006 	 subway train hotel ! 	 Ritz Central park nice none review mention fact hotel sit right atop subway tunnel . maybe notice take nap get town around 1:00 pm . hear constant rattle every 5 minute room shake call maintenance . well , sure enough subway . much ! ! bad night day ... forget take nap ! also agree say hotel way much buck bang . travel agent stay TA rate price 1/4 $ 1000 rate room command . have pay full price would feel incredibly rip - off small room sub - standard Ritz feel . definitely save money avoid premium one . 
 May 12 2006 	 's Ritz experience ! 	 Flying SF , wife decide stopover NYC . step stay RC Central Park . RC give sensory one need - great hotel great service greeting last ' come safe flight ! ' . go shopping stay lovely room relax finish paperwork transatlantic flight London . walk outside RC thinking & quot ; wow & quot ; , ' m NYC - way want explore ? ? ? ? NYC ! ! ! room super quiet . sound hear night air conditioner . like room super cold - 64 degreee side . air conditioner think crazy . would stay around 67 night long . service abit spotty beginning , take 1 hour get luggage room . RC sell night . , smooth sail RC . 
 Apr 19 2006 	 Loved Ritz - Carlton New York Central Park 	 treat take Mum Sister New York long weekend . opinion hotel fault . perfect location minute walk 5th Ave . room decorate really high standard ( bed comfortable ! ) bathroom exceptional . view room overlook park great wake every morning . staff incredibly friendly helpful especially Jenny reception , Felix Eric barman . take advantage courtesy Bentley suggest another review . go New York want something bit special stay . wait go ! ! 
 Apr 2 2006 	 Great Hotel ............... 	 like Ritz Carlton hotel well four Seasons hotel . RC Central Park probably one nice RC property visit include , CA , , FL , HI , DC , GA et al . location perfect . service excellent . love Norman bartender super nice guy . room overlook park great view . room service , valet , housekeeping , doorman nice . stay twice past year look forward return soon . 
 Mar 24 2006 	 great hotel 	 husband stay three night 17th til 20th march think excellant hotel , park view room 14th floor fantastic view . room nice size bed really big comfy bathroom great.the staff helpful friendly . Celine behind bar great talk . use hotel car twice great . only downside drink expensive coffee make facility room.i would stay hotel lovely great location . 
 Mar 19 2006 	 Loved Ritz 	 Ritz Central Park great location -- within walk distance shopping restaurant . also , close subway get around city . room reasonably quiet ( room 10th floor overlook Central Park ) . staff wonderful room / bathroom clean spacious NYC standard . hotel complimentary bottle champagne deliver room celebrate first year anniversary . even though everything expensive ( expect cost ) , well worth . 
