grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 Apr 28 2009 	 RCI point Ripoff ! ! 	 wow ! start except say timeshare resort let greed get way . go Las Vegas want enjoy - stay strip downtown here . beware review site - owner timeshare . good thing - clean new . bad thing ; locate 6 mile south edge strip ~ either depend shuttle $ 25 minimum Taxi ride way . enough parking - build parking garage - centrally locate - expect park long way room . isolate Vegas strip - pay 25,000 RCI point 3 day stay - worth . not make room day . thin wall - clearly hear toilet flush shower run next door . loud think son shower . $ 10 / day internet access . moral story - join timeshare ! verbally mislead us - class action lawsuit would like join . 
 Apr 24 2009 	 Wheelchair accessible room terrible ! 	 first let say 38 year wheelchair learn ask place travel , place lie make disabled person feel much disabled come . first , day fiasco airport ( unrelated review ) arrive Grandview 1 am Saturday April 11th find , mean available parking space . people say parking bad , way underestimated problem . rain cold husband let building go park ... Southpoint think . wait go room together . stay amazing timeshare resort , keep open mind since never Vegas . 9th floor Jasmine building . upon enter unit think everything okay , little small compare other , okay . want get wheelchair since 7 am Friday morning . well , good night sleep since WAY even get bed . tall wheelchair could not transfer high husband could lift either . call front desk tell nothing could manager would 8 am . first night Vegas spend night wheelchair . next day get resolution manager duty decide call RCI see could relocate another resort . one could find available Las Vegas say accessible unit , go see . , RCI lie resort . door even wide enough get room ! go back Grandview spend yet another night wheelchair . Easter Sunday general manager resort get opportunity speak phone . would say ADA compliant . tell not true bed accessible say never complaint people wheelchair , later find another lie . anyways , husband tell take bed frame mean possible bed would lower could get rest . GM disrespectful guest resort . get frame bed make low , still little high . also , notice kitchen low cabinet empty . could reach cup , plate bowl . bring talk GM say would request get would move . maybe think fact suppose wheelchair accessible unit .......... not access dish give ? , final straw roll shower . small . although understand need disabled person able roll shower , usually sort slope keep water inside help direct waterflow drain . ! flat . guess happen husband help shower ..... slip injure foot try get back chair . say Vegas pretty place mountain beautiful sunrise , people generally friendly disabled & quot ; not care & quot ; attitude . positive ( nothing Grandview ) : folk Treasure Island incredible ! valet wheelchair put together husband reach trunk retrieve , easy chair figure . also , one wheel pop right outside TI , go within 5 minute , 3 man engineering department fix wheel get go . thank Treasure Island ! Mirage , see Secret Garden dolphin wonderful afternoon . Nevada pretty place , not go Grandview need accessible unit friendly staff ...... & quot ; grand view & quot ; stay away place ! 
 Apr 22 2009 	 Scam get time share junk 	 low rate lure buying time share junk . condo new nicely furnish ikea type furniture worth hassle . 
 Apr 22 2009 	 carefull 	 use exchange stay Grandview since go national bowling tournament . first get 4 hrs early , get we room right away happy . room really big , b room like . 1 huge problem room . & quot ; yes said & quot ; even new one show presentation problem . paper thin wall . someone go bathroom room , hear . wind side hear wall , warn hot tub 10 pm wake 7 am morning 1 . loud understatement . next location 5 mile strip . must car . People say necessary , crack must car . Taxi $ 40 one way , total rip , plus shuttle joke multi billion dollar company shuttle every half hour , every 3 hrs . next presentation , want free money sign right away ( friend Jon college ) get 2 show ticket $ 200 good deal . presentation sale pitch lady nice tell buy condo last month money spend another condo leave alone . ( strategy work well want say ) . friend go another lady totally different story . nice beginning sale pitch sexually harass say 8 10 . say going buy 180 say gayest person ever meet call virgin say would stay way forever . think SUE not know . get low rate . plus go Vegas national bowling tournament , none casino 's care . Prepare ignore everyone except & quot ; binion 's & quot ; casino great . the south point casino great always table open , close walk get . food terrible gambling great like . 
 Apr 16 2009 	 Pleasant Stay Easter 	 wife , 9 - year old son stay Grandview 5 night 1 - br suite RCI exchange Easter week . staff friendly efficient . separate check - in desk owner , wait all . locationthe resort locate several mile south Strip . depend purpose visit Las Vegas , either major plus minus . away congest casino . Southpoint Casino next door . need car get place , like grocery store . plan visit Hoover Dam , Death Valley Red Rock Canyon , location great purpose . also right next i-15 access highway quick easy . there free shuttle resort to / from Excalibur . leave pick every 2 - 3 hour . make reservation specific time space shuttle limit . convenient unless know go spend set number hour Strip . car , parking casino available free . accommodationthe resort make several 12 - story high - rise building . several tall building nearly finish . parking bit tight although parking deck construction . the suite design bit unusual . two suite share small locked foyer . unlock foyer door , use key open assign suite . sure benefit design traditional connect door suite . neighbor cook lot get smell food get trap foyer . never problem , foresee noisy neighbor come late , make lot noise foyer enter suite . the room nice . spacious . furnish up - to - date comfortable . cabinet make particle board laminate adequate . find problem room . wall little thin could near people talk time time . resort Strip , probably keep party crowd away , never really bother noise . wi - fi speed excellent room fee ( $ 10 / day $ 50 / week ) . free computer use main office , understand get bit crowded . privacy -- good quick email check print boarding pass . there safe room . ask plan use checking , charge $ 10 . decline plan use . son , decide check . charge use , suppose honor system . Resort & amp ; AmenitiesThere 2 nice pool , one heat . April , water cold unheated pool . also 2 hot tub . poolside towel provide . deli locate pool grocery snack . also exercise room . several gas grill available , inclined . Timeshare salesi read many negative review Grandview 's timeshare sale pitch bit weary check - in . already lot timeshare interested . politely offer 90 minute presentation upon check - in decline . push never call room try get we attend . sale pitch get & quot ; invitation & quot ; flier free stuff attend sale presentation . suppose nightmare begin get trap . really interested purchasing timeshare , not bother go presentation save $ 50 - 100 ticket . probably worth headache sale person 's job sell , sell , sell ! SummaryAll , enjoy stay Grandview . go back Las Vegas , would hesitate stay Grandview . 
 Apr 14 2009 	 Great ResortLocation weather . 	 hotel nice , clean would go back heart beat . location way will need car . courtesy bus Luxor . Las Vegas great city . like Frozen Magaritas walk strip . take two kid G15 B11 . not sure first however lot family . the kid want see Chris Angel . save money play timeshare seller mind hour half get mad we give ticket ( 25.00 ea , half price ) send away . much fun play , many final offer . tell owner get soft pitch . hotel close airport strip . huge Southpoint Casino next door . great ice cream shop , bowling want drink sit penny slot will bring free one . grandview nice pool snackbar / convieinence store . if not want timeshare pitch firm go get & quot ; parking pass & quot ; call next morning 1030 second try . firm leave alone . bad really . Red Rock Canyon , Valley Fire Hoover Dam great day trip . 
 Apr 11 2009 	 Nice ... austere ! 	 old building 12 story ( new one high ? ) look alike , plain . say , room nice , comfortable quiet . two bedroom suite mirror image one bedroom lockout unit , actually good idea , quite functional . be travel friend family , party significant privacy desire . unless pool side unit , forget view unless enjoy park lot building ... glimpse mountain distant background . main pool area large , many lounge unlimited supply nice pool towel . though , everywhere get feel austerity . small snack shop grill adjacent main pool area ( serve soft drink ) . almost forgot , wireless internet available room & quot ; hefty & quot ; $ 9.95 per day ( small weekly discount available ) , much $ $ $ opinion . look BIG negative , since pay even lobby area . important note , elevator fast ... experience long wait stay . be fan high rise condo general , one work quite well we . locate quite way south Strip Las Vegas Blvd . , Strip easily access via i-15 , location problem we . besides , large & quot ; kid friendly & quot ; casino ( SouthPoint ) locate right next door . besides usual adult amenity , casino multiplex movie theater , huge bowling alley , video arcade reasonably price snack shop affordable casual eating . also usual offering restaurant , Deli , Buffet , etc . , pricey place generally shy away . one thing aware ... timeshare offer opportunity take sale tour ( yeah , know , surprise ! ) . come right check , go get parking pass . actually take tour get $ 100 cash two show ticket 20 buck , bad all - in - all . persistent , high pressure ... expect three level folk ever increase offering . one last thought , Strip expand south place well place next year . 
 Apr 4 2009 	 great place stay 	 1st postive -- great location car south end town near 215very clean unit w / all ammeditie , kitchen , etc.front desk helpful , SouthPoint Casino isright across way & amp ; great buffet , bowling , theater etc.now negative -- -parke limited , enough towel room , soundproofinglimite room , pool heat & amp ; cold , computer room decentbut enough computers.i ' ve stay numerous time & amp ; would stay . 
 Apr 2 2009 	 strip location comfort home PLUS ! ! 	 spend week visit family . stay 1 bedroom full kitchen . add bonus grandma visit grandchild . even get bake cookie . comfortable king size bed large jacuzzi tub bathroom . queen size pull - out bed living room . unit decorate nicely basically clean . notice floor could clean , evidence dirty sock walk around unit . we disappoint WiFi extra charge $ 50 - 60 week . business center available 3 computer limit 15 minute use . times long wait get computer . want computer use , plan pay extra it . the Strip location nice we , although Casino next door minute activity Strip want it . shopping need convenient . lot store within short distance , even Super Walmart Starbucks ! staff accomodate friendly . attend sale presentation pressure purchase . presentation require earn we $ 100.00 1 1/2 hour time . definitely stay . 
 Mar 21 2009 	 excellent value . ideal not want live Strip 	 back six lovely day Grandview . room clean staff excellent . want buy timeshare not go presentation ! small complaint charge use wireless internet . use free service Media Centre take age guest adhere 15 minute rule . also privacy . car must give fleaxability . short drive strip park easily hotel . interstate behind complex . not think return Las Vegas would recommend anyone stay Grandview 
 Mar 20 2009 	 bad place everrrrrrr stay away ! ! ! ! ! ! ! ! 	 not even knoqw begin except place never make reservation recomend anyone . make reservation 12th Feb 2009 friend wedding attend . spend hour phone put hold three time last ten minute finally get reservation confirm pay . tell go check aout one morning late flight reassure would ok problem . finally get 1:45am finde reservation system . name , reservation number , record none . furious tired long day room , thank God frind also problem ( four us couple ) go ahead reserve we room South Point right next resort . friend would Vegas two morning try get room . make appologie inconvenience cause we , demand refund back threatne Lawyer put back money . first time Las Vegas experience . please going stay somewhere stay south POINT EXCELLENT tried make GRANDVIEW do . 
 Mar 19 2009 	 Great Families 	 spend week Grandview wonderful time . two room group 5 adult 3 child 14 yrs . first trip Vegas not need stay near main strip area ( , do ) . place close grocery store , outlet mall , easy freeway access . easy walk South Point Casino next door . grownup go play casino kid play bowling alley arcade . good breakfast lunch buffett . parking area busy , bad time share visit size . recommend car stay . great place stay plan visit strip area . 
 Mar 17 2009 	 first week wonderful ! second week - good ..... 	 stay Grandview Suites two week early February . room quite nice want strip hotel perfect . staff hotel quite accommodate friendly utmost ensure stay enjoyable . thing change bit second week . first evening second week , notice quite unpleasant odour bedroom become worse permeate whole room second evening . morning third day , speak hotel staff tell probably due fact hotel room vacant quite probably stand water pipe . suggest run tap whole time . bad could sleep bedroom night buy room deodorizer try get rid . mention checkout , give small credit bill tell one manager would call we next day . never hear hotel disappointing . would definitely go Vegas not believe would stay . hotel display sign say guest rate stay hotel 5 5 let know everything within power rectify . unfortunately , give five would probably stay . 
 Mar 14 2009 	 love place 	 stay one week . use one bedroom unit . super clean , furniture clean , bed crisp . nothing negative say Condo , definately back next trip Vegas . entire staff super friendly helpful . really enjoy internet room ~ it 4 computer use help research Vegas get airline pass . 
 Mar 14 2009 	 nice place away strip 	 return Las Vegas stay Grandview . experience good great . would say high pressure sale timeshare presentation true read other . keep say , decide go . view okay , one nice thing new & quot ; & quot ; open day arrive get enjoy firework unit . get see construction next door . staff say beyond excellent ! day leave flight not 10 pm . assumme could check luggage airline , return car go airport . however can not check bag 6 hour flight . call Grandview back , hold bag , let we use shuttle back strip , back resort . still time waste , let we use computer waste time bend backwards make bad start day finish good . grandview locate way strip , shuttle run , would fine car . locate come location . not hesitate stay ! ! ! ! 
 Mar 13 2009 	 everyone nice helpful 	 read review , little scared . let tell . pleasantly surprised . room great , one minor problem bathroom fan . one elevator quit 2 day , another . call Towels , not want maid service blanket time , matter second . pool hot tub , area . CLEAN NICE . towel guy , clean bathroom . Great Fitness Center . shuttle nice easy , accomadate problem . car we ( 18 ) total want go somewhere want split take shuttle work great . clean , turn room upside people leave clean , see stay room . want little downtime great ! ! ! want downtime little nightlife South Point Casino . want LOTS action , stay STRIP ! ! ! ! ! not consider beautiful place . construction going , never hear . 
 Mar 3 2009 	 Great Place - despite Bad Reviews 	 First , decide stay two reason ( 1 ) time share owner ( 2 ) two place feature Las Vegas one . hesitant first read couple negative review pleasantly surprise friendly accomodate staff . course arrive informed staff owner direct & quot ; VIP & quot ; check , hostess pleasant try offer ticket & quot ; toured & quot ; resort politely decline . stay phone call pressure attend one seminar pleasant surprise since time share resort bombard call moment arrive , Grandview . put Jasmine building go request anyway since read build new one . put 11th floor overlook construction new building , concern first since long weekend ( February 13 - 17 ) construction go assure check . great room , clean , bed ( king - sized bed ) comfy cozy . jacuzzi great treat especially walk day Strip return beautiful day Grand Canyon ( drive , highly recommend ) . one minor complaint wall thin plan partying need either considerate guest need take party back strip . could hear full conversation late night last long . resort locate minute away Strip , literally right street ( walk distance ) . go stay recommend rent car order fully enjoy area . definitely stay next time go Vegas definitely recommend resort family friend . 
 Feb 17 2009 	 good Out - of - the - way - Location 	 stay Grandview 4 night July 2008 . room decent , nothing spectacular . full kitchen dining area . like location strip , away main area strip . 5 minute drive action area strip . the big issue resort parking . get pretty difficult find spot night people start settle ( almost year ago issue may address since ) . casino right across street . nothing like bigone strip , hang large casino seem crowded . 
 Feb 13 2009 	 first ... 	 first trip last trip Grandview . upon check give room Lily building . first walk room look little worn furniture stain , fine . would thought resort ok . first night stay sheet wear elastic would hold sheet mattress , call replacement next morning . deliver sheet , .. deliver , put . none small detail prepare we future . follow morning wake live roach bed run across live area floor . upon call main desk offer come exterminate . tell unacceptable . tell would move we another building , could give refund . accept room new building vacation already ruin . travel great deal last 35 year first ever creature room , let alone bed . Vegas great place visit , would definately say , planning visit would stay place else grandview .. 
 Feb 9 2009 	 avoid Time Share Presentation ! ! ! 	 WATCH ! ! husband want buy ticket show tell great offer regard cheap ticket & quot ; & quot ; go tour Grandview resort couple hour one day . not see harm . cheap ticket appeal , along free dining voucher gaming chip think , not fool ! ! even stage , abnormal amount question regard income , occupation etc unnerve we . tell coach way go individual tour guide duration & quot ; tour & quot ; obligation buy anything . enter property shortly call & quot ; Tour Guide & quot ; . show we & quot ; free & quot ; breakfast wait impatiently we grab food / drink . lead us table proceed sit approx three hour listen spiel time sharing . annoy totally disillusion whole thing . claim obligation buy far truth . throughout rant , extremely pushy ignorant . ignore dismiss question say , continue push push we , whilst time insult lifestyle know nothing . start ask price $ 41,000 could seem understand explain huge amount money way could make decision like investment space hour . push corner absolutely horrible . feel like target superfiical reason mind , sure thing . lot patience compliment whole idea , inform fifth time save house married way could afford investment time , turn nasty . time insist not want hear anymore . proceed bring manager continue . fume , although funnily enough price bring $ 13 , 999 crippling interest rate 17.6 % . claim interested get leave . whilst collect free gift , another attempt make . time bring $ 5000 . feel whole experience horrible . sale manager manipulative sly would definitely warn people go & quot ; tour & quot ; . could think poor people get suck buy share original price $ 41,000 , daylight robbery . whole thing appear SCAM ! ! ! kind people run Grandview resort , would say avoid like plague ! ! ! 
 Jan 27 2009 	 great base week Vegas 	 spend week Grandview Vegas 5 guy . book stay thru military vacation club guy phone recommend place . less hundred buck per man , dig week . get twin unit side side 10th floor , king size bed vast bathroom , shower jacuzzi tub , use course week , find soothe . also unit living room couch pull - out sleeper queen - size bed . finally , nice kitchen fully equip cooking , several day , save money eat breakfast , dinner . on - site , large pool open , hearty soul really use , temperature 50 visit , although attractive lady sunbathe , appreciate may gawked time two . also really nice large hot tub pool area get use , find relaxing . they nice info center reception , get great ticket advice show helpful people . word wise , though , stuff , expect attend one incredibly high - pressure sale briefing , force sign life away buy one timeshare property . first experience , totally bewilder intense , not make purchase , despite good effort . use ticket give show , go , nod head , not sign anything . , grandview great vacation spot , would good anybody visit . would go back heartbeat take another week Las Vegas ! 
 Jan 20 2009 	 Grandview Awesome ! 	 husband & amp ; stay Grandview another couple book timeshare . locate strip within 5 minute drive strip . group high rise apartment couple pool & amp ; hot tub locate around property . construction go next door not really notice . friend book 2 bedroom condo & amp ; get 2 x 1 bedroom condo .... amazing ... self - contain 1 br suite complete fully equip kitchen , entertainment area , separte bedroom , 2 person jacuzzi tub , spa like bathroom corner shower & amp ; double sink & amp ; washer / dryer . impeccably clean & amp ; new . absolutely complaint . staff friendly & amp ; helpful . pool area clean & amp ; well maintain . locate besdie South Point Casino new casino . coffee shop , restaurant ( & amp ; reasonably price buffet ) , horse show , stage show , concert , etc . casino - 2 minute walk . thouroughly enjoy stay complaint . 
 Jan 8 2009 	 Great Time Grandview ! 	 great time Grandview ! ! nice full kitchen washer / dryer long stay Vegas . rent car ( advise ) worth ease . park free casino spend day ( and/or evening ) walk place place . nice easily get back rest change day activity night activity . several grocery option nearby ( Walmart , Target , etc ) car . also easily ride Hoover Dam ... great side trip really easy . we love SouthPoint gamble bit . friendly staff fun table , good luck slot . movie , bowl spa time take advantage thing . we wish thing : fan bathroom ... get steamy hot ; curtain ( dark blind ) bedroom ... bright early day ; heat indoor pool ... cold outside ( even folk dare ) .We pay internet acccess PDA 's rent safe ( $ 10 week ) . easy use give we feel safety . please make sure pull unit door shut go heavy always seem shut whole way themselves . we able hear ( smell cook ) neighbor right next door ( common key entrance every two unit foyer sort , another keyed entrance individual unit entrance ) . could concern , weekend rental , whole week there . we would come back would reccomend other ... 
 Jan 3 2009 	 2008/2009 New Year 's VEGAS 	 hello , wife stay Grandview Las Vegas week spend New Year 's Vegas . GREAT time GREAT stay Resort . brand new Jasmine building , one bedroom suite family room full kitchen . resort exceed expectation . one negative fee $ 10 day internet . use one day plan outing . week vacation nice break net technology device . resort welcome breakfast quick tour , painless , give two show ticket $ 50 gaming Excalibur . pay $ 20 dollar pocket secure ticket . bad two show ticket $ 50 dollar gaming . resort South end Strip Blvd . Resort / Casino right next door amazing . south Point everything , definitely check . guess , definitely Great Resort thoroughly enjoy vacation . three must see 's VEGAS , # 1 Valley Fire , # 2 Hoover Dam , # 3 Mt . Charleston . 
 Dec 15 2008 	 yes nice place ! 	 read prior 7 reveiw consistent right . review 4 5 star historically get dependable reivew property consistent result . yes , extras tend cost $ ( internet $ 10 ) not get many freebie expect mid level time share please . room large suite , nice , fully equip high end , i.e : full kitchen w laminate cabinet countertop South Point casino next door plusthey lot cleaning , staff always clean something , chemical smell elevatordid not grandview room fitness center small undersized many room 
 Dec 12 2008 	 nice place stay 	 nice place , perfect amenity family vacation . however , side service expensive . internet $ 10 / day . ... 
 Dec 1 2008 	 Nice Place 	 stay Grandview Friday Nov 21 Nov 28 . arrive early able check problem . send we next desk parking pass ask own Grandview , husband respond yes , question ask give we parking pass ( ) . stay Jasmine building 11th floor . view desert mountain able watch sun rise morning problem adjust 3 hour time change . one bedroom condo supply everything one would need week . enjoy location minute strip , Walmart , grocery store right next door South Point need Casino fix . provide soap wash clothe come clean mid week , leave another pack soap able wash clothe leave . check breeze call left key room since leave 4:30 a.m . would recommend Grandview look great condo good location close airport , close strip . parking problem return late complete rest building problem big issue . people park street . 
 Nov 26 2008 	 wonderful Stay 	 stay weekend . hotel locate strip need car . room immaculate , big average apartment . jacuzzi tub bedroom separate shower . South Point Casino locate next door within walking distance . casino nice , movie theater bowling alley , number good restaurant choose . check tell go next area parking pass , rep try talk go tour property ( timeshare purpose ) , nicely decline . first time Vegas , recommend stay strip . 's , want nice quiet location relatively easy access strip , stay . 
 Nov 9 2008 	 pro con 	 choose Grandview time share trade . normally stay venetian yearly trade show convenient beautiful mixed feeling experience Grandview . strictly time share experience quite disappointed follow - 6 large building , 10 story high make surrounding look like huge apartment complex . many building parking spot ( nearly enough ) . 's still work progress building build , little effort make surrounding appeal . Jasmine building suite clean , small time share pretty cheap amenity ( e.g . tv , dishwasher lousy noisy job ; please put cover duvet doubt highly duvet flat sheet also wash new guest ) . also first time share balcony . nice view . pool area sad say least . photo site one pool area . other far luxurious . mid week clean limited change towel . real clean up mid week place . we work ok since Vegas many time time enjoy convenience kitchen breakfast lunch . many grocery store far Grandview ( include Trader Joes love ) . Rosati 's excellent chicago style pizza deliver . area quiet away crowd . nice hotel casino right next door ( great movie theatre ) pretty good deli fast food counter . want true Vegas experience place . must admit miss excitement staying strip , lounge beautiful pool , wander hotel . grandview 15 minute drive strip highway ( depend traffic ) drive lot different staying . 
 Nov 8 2008 	 Grandview vacation 	 timeshare Hilton Vacations unable use point , transfer RCI plan trip . check ok , staff front desk helpful , time check 5 minute . tell go get parking pass , wonder could time check , find why . they want we sign presentation ( already little confused ) pushy . & quot ; show & quot ; ticket already decide opt $ $ gambling . we go presentation , really pleasant , get even though really want give voucher gambling . ( actually make 65.00 voucher . ) room nice love full kitchen washer dryer . bed comfortable , thing great room key keep expire every day . keep call get new key . third set key finally get thing right . south Point right across street , stay time know place great . other room key issue , pushy sale people , noisy housekeeping staff 7:30am nextdoor unit , come back . 
 Nov 3 2008 	 Great Place want away Strip 	 AccommodationsThe suite great ! clean one - bedroom suite , little small condo ' ve stay elsewhere large hotel suite ( Residence Inn Homewood ) . suite sofa - sleeper , full kitchen washer dryer . safe bedroom ( $ 10 rent ) . in - suite wireless internet access $ 49.99 week . noise level problem people we choose use Jacuzzi 3:30am ( clearly states arrival document well place tub conscientious neighbor use 8 am 10 pm ) . two large tv , one dvd player . locationif staying week , way go . love trip , particularly Halloween ! south Point casino right next door offer everything strip casino offer – nice restaurant , plenty space gambling ( wait machine ! ) entertainment . resort offer shuttle service get Strip , 5 mile away . rent car could shop ( mall grocery , include Wal - mart market nearby ) ' trouble parking . check arrive resort noon yet suite ready we . ask room view give we one face Strip ( 5 mile away ) . direct another person get parking pass . person ask interested seeing show . say yes - say would provide we two ticket show want $ 20 ( ticket would cost we $ 250 ) plus 2 $ 25 certificate gambling . tell emphatically , timeshare presentation , interested already timeshare . insisted want show we around facility hope would tell friend come resort . meet lunch ( sandwich , dessert beverage ) next afternoon . suppose take 90 minute take 3 hour ! young lady take we around nice upfront interested purchase another timeshare ( although admit , , already own one , would make purchase ) . say understand still want show we around . afterwards , timeshare presentation - say , get manager . say 3rd time , say okay directed man give we ticket . sit , give we another pitch ! husband almost lose ! say want ticket ! direct we another room several & quot ; Said & quot ; couple also wait ticket . finally get someone , tell date show want see wait 15 minute confirmation ticket available day . approval , tell show early day make sure get ticket want ( Criss Angel Luxor 7pm Tuesday ) . get Luxor noon Tuesday tell we ticket available . go Thursday ticket furthest row theater ( could not pay difference get well seat ! ) take ticket certificate . DiningWe tired arrive decide try room service Scotty ' Bean , on - site . order chicken wing – get 4 $ 5.00 ' fully cook . end spend $ 40 8 wing , cheeseburger fry small salad Cobb salad smoothie ( DELICIOUS ! ) . dining , opt South Point- good restaurant reasonable rate . OverallWe would definitely stay ! would make sure not attend presentation ! 
 Nov 3 2008 	 Perfect accomodation 	 week Grandview give we gift celebrate 50th wedding anniversary . Las Vegas many time always stay near strip . ! ! welcome graciously , make feel home . suite beautiful convenient . great surprise closeness South Point Casino . close walk across side street , often . pool great , warm . mix cocktail small lunch sit pool enjoy . parking never problem . unit overlook pool back side Sage . always find spot back make convenient enter room . ground clean , building . congestion noise & quot ; Strip & quot ; welcome return peace quiet Grandview . 
 Oct 28 2008 	 FANTASTIC Experience 	 Grandview @ Las VegasWe exchange Timeshare RCI 2 bedroom 2 Bath unit , Grandview Las Vegas , another couple travel we . give 2 bed A - b unit . 2 unit make 2 bed " A - b unit equivalent two 1 Bedroom unit . unit huge tv living room another bedroom . large Jacuzzi Tub , large shower 2 - sink bathroom . oodle closet space lose drawer . grandview equal exceed expectation . check - in : arrive Grandview , discover check - in breeze . ( ' forget pickup " PARKING PERMIT ' check . ) " Jasmine " building new building 5 6 building make Grandview . two building construction . maintenance : Sunday morning , problem tv reception " " unit Living Room tv , call Maintenance . man door within 10 minute work problem . even though make trip part determine . leave day ' activity complete repair , give permission enter make repair . leave around 11 returned around 9 pm discover Living Room tv work , neither tv Bedroom , Bedroom Lights work . call Maintenance man short order . work electricity call another man assist . take hour , leave tv ' live Room , Bedroom , light work properly . Monday morning around 8 another crew show make repair . advise repair make night . thought Grandview respond promptly . electrical problem ordinary stay repair properly everything operate normally . problem kind . parking read bad review Grandview regard inadequate parking . experience parking problem . reason end building , next new building construction . pave parking area complete , security fence block . find around build always vacant parking spot , regardless time day . imagine stay one building middle complex could parking issue . room service information packet give check - in , informed 4th day would room service . go fourth day daytime , obvious cleaning , ( garbage basket , dishwasher , new towel , etc . ) bed change . rather expect bed change sometime week , case . end washing Washer / Dryer unit . no pressure attend sale meeting : check - In ask attend free breakfast explain future plan Grandview . tell sale presentation , rather we come back Grandview next visit Las Vegas . tell would decide later right want get settle . flyer stick door one day offer free breakfast attend information session , never acknowledge . pressure we attend anything kind whatsoever 
 Oct 28 2008 	 Great Place stay Las Vegas 	 south strip take five minute less get & quot ; Welcome Las Vegas & quot ; sign . staff friendly . allow we pre - check since arrive early morning follow call let we know room ready . room clean bed comfortable . participate resort activity busy elsewhere , post activite calendar elevator . push timeshare sale - walk either . good car , drive nearest & quot ; Duece & quot ; bus stop ( 1 minute resort ) park ride bus around strip . $ 5 24 hour , get , get like strip . catch bus front resort need go change station . bottom line not get stress not want drive . huge Town Square Outlet Center Las Vegas Blvd . would DEFINITELY CHOOSE stay without reservation . 
 Oct 27 2008 	 good stay ! 	 husband get marry Vegas decide stay week town . room absolutely wonderful ! great time . one two pool heat hot tub constantly crowd . complaint timeshare presentation . sign , person desk tell we sign one get discount ticket show . sign meeting Wednesday late - morning , 10:30 A.M .. show we around property new model . tell begin interested getting time share suggest we take presentation . really insult towards end meeting . imply work - a - holic husband not treat right ( excuse ? ! ? ! ) . highly offend move . South Pointe locate across street ton place eat , movie theatre , gambling , bowling . wall thin , not problem neighbor / water run . parking not terrible short walk could not get spot front building . , come back Las Vegas , would stay Grandview . 
 Oct 25 2008 	 ` ` LOVED '' 	 return great girl get away . on previous trip Las Vegas husband purchase time share Grand view , could wait go back stay , birthday take friend . we absolutley love . 's nothing negative .the room clean , ground well maintain , sevice great . south point definate winner ' ve never anywhere , South Point change , be right next door . the pool jucuzzi lovely . the problem return room find parking near building , stay park use shuttle . can not go wrong will love too . I highly recommend Grand view . 
 Oct 19 2008 	 Great Place stay 	 return full week Las Vegas stay Grandview . wonderful time would definitely return Grandview . trip focus husband ' birthday friend fly meet we . grandview able give identical suite right next additional $ 200 + . much room two room another couple . host two party setup perfect . front desk staff always helpful place extremely clean . see room clean checkout even move furniture make sure floor clean everywhere . nice living room , dining area , kitchen , separate bedroom large bathroom . love pool area really make we feel vacation downtown Vegas . outdoor hot tub awesome . rent car , however , complex provide shuttle service town day long . drive town also easy . take highway 10 minute drive strip stay Las Vegas Blvd take 15 minute . back forth time day . Southpoint Casino right next door 2 minute walk . odd win seem well strip . great buffet ! ! ! ' possibly go wrong book Grandview . love . 
