Classy 	 stay Dorset Square 2 night late November 2009 . third time would use hotel , first time year . check handle professionally courteously set scene pleasant stay characterise excellent customer service , include restaurant ... return later . my room delicately decorate single third floor view Gloucester Place . seem little spacious room would previously .. perhaps light tone decor . one two minor niggle - panel aircon unit little ill - fitting tatty one bathroom light bulb need replace - also one two rather odd little black & quot ; bit & quot ; come hot water tap bath ! say , minor ; room warm , comfortable well - equip . previously , restaurant hotel & quot ; Potting Shed & quot ; - replace August 2009 italian . initally rather sorry - enjoy quirkiness british cusine Potting Shed . neede not worried . service food new Italian absolutely excellent . breakfast well dining night stay high standard maintain throughout . when come check similarly handle smile , continue theme old - fasione courtesy service . the Dorset Square well - run , well position ( close Marylebone tube / rail station ) classy , boutique hotel offer excellent base leisure business traveller . back . 
 Jul 28 2006 	 little Gem 	 fiancé stay Dorset Square one night part engagement celebration . set perfect ; five min walk Marylebone close lot good restaurant . tourist , pretty much central London attraction . it worth note true boutique Hotel , mean personal service eccentricity override people ’ expectation large standardise room bland buffet breakfast . room extraordinary , tiny beautiful original french silk period wallpaper victorian bathroom . decide love elegance individuality ; start get irritable weak shower sash window tendency crash without warn , ' miss point . Breakfast 1st class modern Potting Shed downstairs ; free range sausage , bacon hand - pick duck egg common London , door gap kitchen catch glimpse waiter squeeze blood - orange juice . fresh ! service understate rude , go way help ; return entire family midnight meal concierge front desk bring we steam hot pot tea hot chocolate sit study . even include small plate handmade biscuit . midnight . impressed . it fail bed department ( fondness eccentricity , mind , run well sleep ! ) . tiny double bed , mattress build around time hotel . pillow ok , rest Hotel ' standard . thus 4 * rather 5.all extremely memorable stay . 
 Jun 20 2006 	 Charming London Hotel 	 stay Dorset Feb. new husband first half honeymoon . totally enjoyable stay . room stay second floor . tastefully decorate nice size closet , small fridge , desk . bathroom georgeous . strong shower extra deep tub . upon arrival , kind bell hop carry heavy luggage room we . concierge helpful accomodating . arrange and/or assist we tour excursion go . night return turn bed large bottle water wait we . room small , hear true european hotel room . yes , tv small , vacation tv major issue . hotel close 2 tube stop travel insanely easy . would definitely recommend Dorset anyone look quaint british hotel lot charm hospitality . look hotel decadent american amenity , may place . 
 Jun 15 2006 	 bad night ever 	 strongly advise traveller avoid Dorset Square hotel London . 4 star hotel euro 275 , spend one bad night ever ( probably sleep 3 hour total ) wall thin hear everything surround room everytime someone walk impression room , 1 inch space entry door , bathroom ridiculously small , AC noisy must turn , 1 star hotel like tv cable , window isolate heavy traffic outside . avoid 
 Jan 10 2006 	 Loved Dorset 	 countless hour search hotel London family 4 , hit jackpot . spend 4 day / night London 3.5 year old 20 month old , mid - November 2005 . seem like impossible task find hotel house 4 we , get consistently good review , decent sized room , good location tube , would not break bank . FINALLY , stumble acrosse special Dorset Square -look slh . weekend special Thurs , Fri , Sat , Sun night 100 pound / night . price include vat breakfast ( whole family ) . hotel kind enough give we rate even though stay Mon night . hotel . truly luxury hotel . staff phenominal . Immediatley get doorman outside unload heavily load taxi , help kid . reception nice helpful . room gorgeous . not actually room sleep we bed , allow we make bed floor daughter , provide we portable crib son free charge . gorgeous king - sized bed ( work great since 's daughter end sleep - we ) . room good - sized ' m assume London standard . crowd , even port - a - crib . hotel store luggage we another room ( not need next destination ) . room clean , nice touch . Bathrobes , nice towel ( & amp ; washcloth ) , shampoo , soap , etc . even give complimentarty bottled water every day . breakfast serve Potting Shed Restaurant downstairs . good selection food . little confused allow order since breakfast include . get different answer different people work . think sure going get bill since apparently order include - not . , husband go get rest us breakfast sleep late ( time change ) . people restaurant say would bring we . serve beautifully room - service style . thought would get bill , not . another time husband go grab we food could eat tube run late . say would pack we breakfast go . later day read sign hang door knob inside room price box breakfast ( outrageous price ! - like would $ 50 breakfast everything give we ) . still charge we . tube 2 block away - pretty direct station . internet cafe block half away . little market block away buy grocery . small fridge room stock over - price item . take fill snack drink . love hotel . would definitely stay , definitely recommend anyone know . Hope review help ! 
 Oct 30 2005 	 Excellent ! 	 stay 1 night attend wed London . fantastic start finish . need ideally book early easily arrange we . room ideal we bathroom spotless powerful shower . reception staff concierge could helpful , especially concierge struggle hail taxi we run Station behalf ! ! excellent deal appear less half normal rate , include superb full english breakfast Potting Shed restaurant attach . dinner breakfast anything go would think twice eat . another couple small detail enhance stay bottle mineral water leave turn complimentary Sunday paper . minor quibble cost room service sandwich feel tad pricey . location also ideal , close Marylebone feel safe even return 0130 hrs . would definitely go back ! 
 Oct 3 2005 	 lovely hotel 	 friend book twin room Dorset give single room arrive cost we £ 60.00 breakfast include - hotel really lovely cosy close everything - go live8 Hyde Park walked - arrive back late bring we tea biscuit cost - lovely hotel highly recommend . lovely staff lovely cosy room - spotlessly clean . 
 Aug 28 2005 	 Perfect place stay ...... 	 recently return trip London feel let other know much enjoy stay Dorset Square Hotel . simply fault anything ... staff courteous , helpful attentive . room decorate beautifully spotlessly clean . food delicious . hotel situate heart London hard day shopping sight see welcome relief arrive back luxury . 
 Jul 5 2005 	 great location really small 	 husband stay late June 2005 , find location fantastic . close Marylebone station , Baker Street station within walking distance Oxford Street Regents Park . wow first come quaint , room not ready wait reading room cute . staff great . get room 3rd floor - neat , small . two us trolley bag , hardly space move . double bed small full pillow ... place chuck two large pillow floor main door , order go sleep . although right Dorset Square , could hardly hear traffic great . not expect sleep though morning . wall paper thin , clean staff start vacuum hallway next room , definitely wake up . breakfast include price ( bit high side probably locate location facility ) , go Baker Street coffee . we bump another guest ( hallway narrow give way one another ) move room , complain we air - conditioning not work . room small say heat generate minibar actually make room hot ! , right couple day ' stay . leave wonder one Small Luxury Hotels World . 
 May 9 2005 	 Great Pricey 	 ' ve stay Dorset Square decade , however first stay past five year . hotel quintessentially british ; not expect huge room great bargain , will charm exceptional hospitality , lovely detail great location - step either Marylebone train station Baker St tube . one grip though price continental breakfast . absolutely nothing exceptional completely average , cost wife US $ 60 since everything else nearby close Sunday . definitely avoid Potting Shed restaurant . 
 Dec 2 2004 	 Fabulous Hotel 	 stay Dorset Nov. 19 , 2004 - Nov. 25 , 2004 . great botique style hotel . overlooks park quiet section Marylebone . it short walk Baker St. shopping Oxford St. the room decorate red welcome place call home . Plasma tv , shortwave radio , marble bath , thick towel . two large confortable chair relax . superb room . the staff professional . Wayne Davis GM approachable ask stay . diane run Pottiing Shed restaurant superb host we , live jazz music Friday night great . nice sitting room firepalce lobby relax . housekeep great room immaculate . 
 Nov 8 2004 	 lovely hotel quiet spot 	 stay end Oct 04 two child age 8 11 . hotel beautifully decorate short walk Baker Street Station quiet square . staff friendly . complaint price breakfast , , like London Hotels , expensive . get all - day breakfast cafe Marylebone way tube station £ 4 , save yourselve £ 8 . 
 Nov 26 2003 	 love hotel ! 	 ' ve stay hotel 3 time 3 year , highly recommend anyone sick & quot ; cookie cutter & quot ; hotel chain . room , though small american standard , decorate uniquely english country style . staff always kind accommodate . location perfect . can not wait go back ! 
 Nov 17 2003 	 great stay . 	 great experience . $ 365 night would expect something well . tiny , hot room , erratic sometimes surly service , perfect location . not know would suggest kind money spend - either stay someplace cheap ( expect lousy service mediocre room ) spend money elsewhere , spend little go something well . 
 Jun 13 2003 	 overprice overrated 	 wife stay spring 1998 ( fairness ) . stay 4 different place throughout GB 2 week trip least favorite . pretty well locate London , however literally small room high price ' ve ever pay . elevator slow finally would take stair 4th floor ROOM . , room clean terrible place , would not stay . 
 Sep 14 2002 	 High Marks Dorset Square 	 husband stay Dorset Square honeymoon London August 1998 read recommendation Fodor 's . enjoy visit much return April 2000 . Dorset Square lovely small hotel staff friendly , efficient concierge , consistently go way make visit London enjoyable . charming decor reminiscent well - appoint country house , style exude throughout . hotel 's restaurant , Potting Shed , serve delicious full english breakfast miss head day meeting sight - seeing . conveniently locate near Baker Street tube stop beautiful Regent 's Park , Dorset Square Hotel ideal anyone look affordable luxury hotel . 
 Jul 3 2002 	 great place stay 	 Dorset Square year use stay time go London business trip early late 1990 's . wonderful little place . least expensive room * * small medium price room fine higher price room absolutely wonderful . lot antique , beautiful fabric , marble bathroom , etc . staff lovely - always remember name , repeat customer , always leave nice box & quot ; welcome back & quot ; chocolate room upon arrival . never feel like hotel like beautiful home staff consist eccentric aunt , uncle , cousin . travel , usually like find small , elegant hotel suburb right outside city . definitely fit bill : quite burb northern end , right border Regents Park . leafy residential short tube ride downtown . right near Baker Street tube entrance . also enjoy delicious breakfast room service . 
 Mar 26 2002 	 Dorset Square -- recommend ! 	 husband spend 6 night June 2000 . lovely , spacious room view square hotel derive name . service first rate . staff attentive accommodate request . think location convenient : block away Underground station , couple block Regents Park , great place leisurely stroll people watch . highly recommend stay next time London . 
 Feb 14 2002 	 opinion Dorset Square Hotel London 	 Dorset Square Hotel conveniently locate , moderately price luxury hotel . less three block Wax museum London . across street pleasant , peaceful park name ( else ) Dorset Square , add quiet ambiance . despite proximity busy street tourist attraction . we three night April , 2000 really enjoy stay . restaurant serve excellent breakfast , offer english european fare . bus taxi 's easy catch , great night spot short distance away . this hotel recommendation . 
 Sep 29 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 18 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 5 2009 	 Buono Il DorsetSquare Hotel 
 Feb 3 2009 	 Mucho encanto en un pequeño hotel 
 Jan 25 2009 	 tutto perfetto 
 Dec 6 2008 	 ottimo soggiorno al Dorset Square Hotel 
