great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Apr 14 2009 	 good choice family group holiday SF 	 Location - great - convenient restaurant , Fishermans Wharf attraction , ( although discover last night ) 3 minute walk large supermarket . complimentary breakfast - good choice , although busy . Delicious healthy bran & amp ; raisin muffin . good coffee . room - comfortable , well equip ( table & amp ; chair , large t.v . , iron & amp ; board , hairdrier , coffee machine ) . could use drawer space family 4 . also , proper cup would make big difference enjoyment coffee ! free wireless available bedroom ( use ! ) - easy use , make stay lot easy . General - come back SF stay . good value . 
 Apr 12 2009 	 thin veneer quality 	 check wait 10 minute unattended reception . free breakfast like feed time zoo dozen people mill around try get hopelessly under - resource food bar . give room 320 right next stairwell . really great hear stairwell door slam shut 9,000 time night . outside hotel look market , fact drag wear . live without minibar , not even bar fridge room . stay Hyatt road . 
 Apr 11 2009 	 Excellent Hotel 	 4th year stay hotel . hotel excellent good value money good sized room breakfast include , short walk Fisherman ` Wharf Pier 39 , regular bus service run past hotel , close Street Cable car . would like pass thank Joseph Staff great job making feel welcome . 
 Apr 7 2009 	 Fantastic hotel 	 hotel absolutely one good hotel stay in . from moment arrive greet smile extremely friendly reception stay . throughout stay reception staff meet wonderful , nothing much trouble they . our room clean daily high standard , extremely clean bathroom probably one well experience hotel . towel change ever need . bed linen change regularly bed must least seven foot wide . for first three day do not eat breakfast hotel allthough supply free room .. spend 30dollars two outside hotel , decide try hotel breakfast . fine . be not overcrowded previously read forum . always find table , food certainly good . husband manage get bacon sausage scramble egg ommelete every morning . the hotel perfectly situate fisherman wharf , mind one nice area S.F . close cable car turn - around . I would recommend hotel anyone . travel package Virgin , ' m sure could got cheap booked flight hotel indepenty . one place Virgin rep really try push diner call Denny 's , must say try couple time , would recommend , seem serve mainly junk food . I ask fresh fruit do not buy bowl apple sauce , even bother check first . 
 Apr 7 2009 	 Hotel ok 	 hotel good location obviously right Fisherman ' Wharf Ghiradelli Sq . since like walk , walk distance China Town Union St. also walk along water near hotel way Golden Gate bridge 2 mile . nice day amazingly scenic , recommend take site way . hotel pretty much purpose - only . nothing special look outside inside . room basic hotel room view wall . handicap room think shower handrail big bench . bench take shower stand pretty much wall water pressure weak . luckily showerhead detach could rinse efficiently way . least mattress really comfortable . bonus vacation try catch sleep . unfortunately travel agent get room we pay full price weekend $ 230 + night wish get different hotel price try Hotwire.com . besides , Fisherman ' wharf good location , see hour ' time could go back , would prefer heart city near Union St . breakfast big bonus we since eat meal week long trip northern California . since early due time change east coast , ' fight crowd food 7:00 . 9:00 headed start day city , breakfast area pack . even , could get coffee something eat pretty easily . free internet room bonus since bring laptop . hotel Monterey not provide breakfast free internet room . we spend two day San Fran ' pick rental car leave Monterey since park hotel $ 40 close garage sign $ 30 day . end good stay , could go back ( San Francisco amazing city ! ) would stay close towards heart city price probably pick something rather travel agent not get we sort deal . 
 Apr 7 2009 	 Exceeded Expections 	 stay Holiday Inn Express 3 night far expect 3 star hotel . first thing like Holiday Inn Express location short walk Fisherman 's whaft . cozy deli japanese restaurant next hotel , Dennys right around corner . perfect child picky eater . inside , check staff accommodate nice . room big , clean roomy . except bang door , room next door , can not hear street noise . wifi , 2 internet station lobby . breakfast item limited surprise small hotel . 3 Holiday Inns around fisherman 's wharf Holiday Inn Express along North Point Street well locate accessible . family budget look clean accommodation fantastic location , would recommend Holiday Inn Express 
 Mar 31 2009 	 ideally situated ! 	 search hotel Fisherman 's Wharf come gem perfect need great value money . heart tourist district among major hotel - Hilton , Radisson etc , cheap ! also surprise quality amount breakfast available , albeit little haphazard ! free internet service . gym site , although restaurant , need worry plenty within area . literally 5 minute walk Wharf tram stop . walgreen around corner , also great supermarket need . 
 Mar 30 2009 	 could not ask 	 place meet need cheap clean place . intend stay 1 night , end stay 1 extra night , weather back home . place modern room hotel stay much different city . one bad thing view room restaurant / bar , price , seem worth . plus free breakfast . 
 Mar 30 2009 	 great location staff nice ! 	 live Oakland large group family visit San Francisco past weekend . suggest stay Fisherman 's Wharf seem like well family locale part city . Living Bay Area , usually pretty anti - tourist location like Fisherman 's Wharf . say pleasantly surprise different whole area ... easy get everything want . confusion Holiday Inn Express Holiday Inn ( one block ) family split 2 hotel ... end big deal really nice . staff amazing extremely helpful . 
 Mar 28 2009 	 good value money 	 friend arrive Saturday , March 21 approximately 11 pm check . book package deal Expedia flight hotel put request via Expedia non - smoking room two double bed , arrive , inform one room available king - size bed . front desk person assure we could change room remain four night stay room two double . get room third floor , notice also smoke room , call front desk tell nothing could do . follow morning check room , still non - smoking double bed room available , move non - smoking room king bed , remain duration stay . other matter room , happy stay hotel . room clean . free breakfast bonus service breakfast bar hotel staff good . location great near Fisherman 's Wharf still quiet hear street noise room . complimentary internet three computer available lobby . 
 Mar 25 2009 	 wonderful hotel friendly staff . 	 go back home 13 year old . first time city . room ready , early check , upgrade we ! extra charge . room clean comfortable . staff well ever encounter city . decent breakfast every morning . say enough hotel staff ! highly recommend ! 
 Mar 24 2009 	 Great Hotel Great Location highly recommend 	 spend last 2 night honeymoon , Hawaii , great . location central check city , staff really helpful friendly , rate pay much less hotel level charging . free breakfast nice plus , though tricky wake 9 be due jet lag . complaint , would recommend anyone . 
 Mar 24 2009 	 anything 	 stay couple night town love place . view Alcatraz Golden Gate Bridge right window , be right top Fisherman 's Wharf . preconception constitute Holiday Inn & quot ; Express & quot ; must flawed , anything economy - class motel overnight business traveler . 's classy joint ; point little stunned walk room . ' m world traveler / hoteli , one nice room ' ve ever stay vacation . anyway , needless say , would highly recommend anyone head San Fran length time . be close everything , staff incredibly friendly , room top - notch . forget Zagat 's ; ' ve get rely hotel review . 
 Mar 21 2009 	 Great Hotel 	 would expect Holiday Inn , good value great staff great location . partner leave wallet bathroom day fly back UK , reception team arrange limo drive airport prior we fly . 
 Mar 20 2009 	 Great Location Clean Rooms Good Value ! 	 stay March 5 - 8 pleasantly surprised . room 2 double bed , clean comfortable . also , road noise like hotel ' ve stay Fisherman 's Wharf area . still hear door open close neighboring room , be normal . location right around corner Fisherman 's Wharf . Burger King one block get hungry want fast food . also Safeway Walgreens two block hotel . breakfast day - extra extra crispy bacon , sausage , egg , cereal , muffin , bagel w/ cream cheese , banana , warm cinnamon roll , yogurt , milk , coffee , etc . hotel offer valet parking $ 41 / day + tax . take account reserving room . overall , nice stay Holiday Inn Express would definitely stay future ! 
 Mar 20 2009 	 Great Location ! 	 stay 29 & amp ; 30 Dec. 2008 . family 5 . rang hotel find room could take we one room , tell sell put roll away room . book 2 room request inter - connecting room . guy talk say would put request could guarantee anything arrive , see available day . flight Australia arrive early morning arrive hotel 9.45am . could not book straight away room ready , problem could store luggage we could go sightseeing . however , tell hotel inter - connecting room well could give we 2 room side side . side . ( know guy phone could not tell . ) staff helpful . the breakfast reasonable . - fruit choice banana . the location fantastic - walk distance thing . great restaurant near . kid enjoy Rainforest cafe . the Christmas decoration throughout San Francisco beautiful . even historic cable car get decorate occassion . Fisherman 's wharf extremely crowd time year - bit unprepared . decide stay location , sister - in - law recommend thought could stay one room . Loved San Francisco . 
 Mar 18 2009 	 wonderful hotel staff 	 family four stay day Spring Break vacation . hotel everything look . within walk distance Pier 39 , public transportation , fantastic restaurant local attraction . room mini suite 2 comfortable double bed . room clean , small fridge microwave , cheery . maid exceptional job cleaning everyday . continental breakfast offer great variety item plentiful . food offer include scramble egg , bacon sausage , toast , bagel , english muffin , cereal , cinnamon roll , banana , yogart , milk , juice , coffee . staff deal always pleasant , helpful greet we smile hello . complaint anything stay . truly exceptional ! 
 Mar 18 2009 	 true gem 	 one place offer comfort expect rating . great location easy access wharf , friendly staff , average sized comfortable room clean fresh linen . free basic breakfast ( egg , sausage , toast , cinnabun etc ) , free hi speed internet . nice bed , good shower , surprise Biore facial scrub serum along shower essential . parking expensive wharf hotel . opt rent car coz everything within walking distance . overall really good experience . 
 Mar 15 2009 	 impressed 	 impressed hotel . hotel clean modern many facility . room great . free internet , small gym , breakfast include rate . location wonderful . eat restaurant nearby Fisherman 's Wharf catch cable car ( two block walk ) go China Town . fault hotel ! 
 Mar 12 2009 	 Nice Hotel Nice Location Service need Improvement 	 yes , beware parking fee , fair , list right website . , unlike place ' ve stay , be $ 41 day , $ 41 time put car . ( course , check site , fee change . ) hotel location great , right wharf , lobby spotless , room . valet parking , expensive Madison ( WI ) standard , nice day , not wait drop retrieve car . the downside ? service . check - in clerk disintereste , good . check - out , clerk downright rude . also refuse discount refund final & quot ; day & quot ; parking , despite departure 4AM . top , valet duty , give key send garage find car . so , stay , be drive , ' ve carefully compare accommodation , include parking . 
 Feb 26 2009 	 not fool Low Rates 	 travel San Francisco quite often weekend vacation . usually stay close San Francisco International Airport due fact hotel close airport offer well rate within short drive downtown . however , last visit , book property due low rate hotel offerre . however , room become expensive due fact hotel charge forty - one dollar day park car . , room small breakfast bar poorly stock . next time , probably choose stay one airport hotel since rate room well since hotel charge parking . 
 Feb 22 2009 	 great hotel location plenty see SF ! 	 get back week SF . definitely recommend hotel . great location . 5 min walk tourist area Fisherman 's Wharf . fw somewhat & quot ; tacky & quot ; 100 % focused tourism , hotel far enough away , yet close enough walk ! - Buffet breakfast nice - 6.30am 9.30am . standard cereal , toast , pasterie etc . tea / coffee / juice . take back room too.- nice room , problem maid service / cleaniness etc . - excellent.- Plenty shuttle bus company SF airport FW area - anywhere $ 11 - $ 17 way . look coupon hotel map flyer book return shuttle.- souveni shopping , would suggest check Chinatown first , stroll Fisherman 's Wharf . generally , chinatown cheap range.- tour , go Gray Line San Francisco Sightseeing Tours . take Muir Woods tour ( ferry back Salsolito ) Yosemite tour . good . could pick one , would Yosemite.- Book Alcatraz tour offifical website - $ 26 US . really worth see audio tour great . audio tour , skip follow official route work way around - still listen get general idea miss crowds.- take walk hotel GG Bridge . allow hour hour back . completely flat trail along bay step climb last part next bridge . will know worth ! - be vegetarian / vegan plenty place eat SF - way city ' ve visited.- Cable car ride ( must ! ) $ 5 regardless trip length . tour book suggest catch cable car one two stop turnaround point skip tourist line - up . want info anything , feel free e - mail : - ) 
 Feb 22 2009 	 lovely beware parking cost 	 stay 5 night Feb find lovely hotel . room really spacious clean . staff helpful friendly . hotel excellent location , 5 min walk pier39 . downside valet parking $ 46 day , aware arrive . might fault bit shock ! overall though , hotel great place stay . 
 Feb 18 2009 	 excellent location value money 	 hotel right Fisherman 's Wharf 30 minute walk Chinatown . short walk Muni bus stop catch 30 Stockton bus go south Chinatown go west Golden Gate Bridge . the hotel 10 minute taxi ride Embarcadero BART station . cost $ 8- $ 9 USFree buffet breakfast bonus . get we fast morning go see sight . breakfast nothing elaborate fast lot variety . the front desk staff helpful patient sightseeing question let extend check - out time 1.5 hour . the room clean quite nice . coffee maker room great make tea evening . hotel quiet sleep soundly bed comfy . there 2 laptop guest use access internet great . able e - mail message home . 
 Feb 13 2009 	 Perfect hotel SF tourist seek good value / location 	 consensus hotel excellent right money ; attest choose hotel reading review . fine point not mention think could useful : -Not walk distance Fisherman 's Wharf , could walk to / from Union Square via Little Italy Chinatown ( relatively safe neighborhood ) 30 minute . moreover , path to / from hilly relative part sf.-the lobby floor bathroom , useful squeamish use disgusting one around Fisherman 's wharf.-though valet indeed expensive ( give hotel good location ) , cost include in / out privilege . valet quick check , always ask need directions.-breakfast get really crowded , get 8:00 want eat relative peace.-the bathroom product cinammon scent ... could good bad depend take . case , 's drugstore minute walk away misc toiletry need . overall , easily recommend hotel anyone look good combination value location . 
 Feb 3 2009 	 great hotel location ! 	 since arrive late night Wednesday check problem . not notice bell person problem daughter help luggage . mini suite nice , bed comfortable refrigerator microwave good . review list noise problem , not notice . continental breakfast okay . also notice other complain plastic utensil plate -- - , convenient especially want take food room . people expect , real plate ? great hotel nice location . back March . 
 Jan 31 2009 	 great location 	 great hotel tourist . be around Fisherman 's Wharf close lot food outlet , cheap / fast food ( IHOP , in / Out Burger , Denny 's ) well fine dining ( Gary Danko ... ) . walgreen , Barnes & amp ; Noble , Trader Joe 's ... etc nearby . be also close tram depot 's convenient transport . room clean spacious , great bathroom . little kitchenette mini - suite . internet free great . breakfast ok.staff front helpful . in - house laundromat 's available Holiday Inn next door . would defintely consider stay . 
 Jan 26 2009 	 3 night stay SF Holiday Inn Express 	 look quiet room within walk distance Fisherman 's Wharf without pay know price go . know season , part reason visit San Francisco . trip tourist figure stay main tourist spot . review mention agree , reason rent car see tourist spot unless plan day pace . keep mind many tour option . everything walk distance not easily accessible use type day pass . go ahead buy City Pass useful . tour / museum come pass benefit also use local public transportaion . anyway , hotel right across next main hotel , nearly half price . bed comfortable mention quiet tourist . plus can not beat free breakfast free internet ( computer site well ) . 
 Jan 22 2009 	 Loving 	 pay around $ 50 usd / night hotel Hotwire , real bargain San Francisco ! room lovely , large clean . nice quiet . room safe , coffee maker plenty space storage . free wi - fi good signal . no problem staff reception . valet parking expensive- $ 41 24 hour . cable car 5 minute walk away . great location tourist . Breakfast provide ok- bagel , english muffin , egg , sausage , etc . 
 Jan 2 2009 	 bad service good location 	 stay first 5 night holiday small boutique hotel San Francisco change Holiday Inn , unfortunately .. nothing really wrong hotel , service front desk unbelievably bad encountered attitude anywhere else . arrival place Beach street annex hotel two lady work really bad attitude problem , maybe work cold lobby . reception also close night hour feel bit unsafe enter hotel parking lot find unmanned reception . other location fabulous room equip well . glad get familiar another part San Francisco would choose hotel service . 
 Jan 1 2009 	 hotel fantastic 	 stay first stop Australia american holiday . sure expect pleasantly surprised . location excellent less 2 block fisherman Wharf & amp ; easy walk distance cable tram attraction . 2 child 11 & amp ; 14 great location low noise comfortable facility . free breakfast simple nice & amp ; fantastic cost saver start holiday . there great bar acrooss road call knuckle like beer must go Jac 's bar easy walking distance . San Francisco great hotel excellent way see ... 
 Dec 28 2008 	 absolutely loved ! 	 great Hotel . stay 6 night August 2008 completely blow away . hotel incredible location Fisherman 's Wharf approximate walk ten minute Pier 39 . much everything easily accessible trolley leave around corner hotel . the room 's modern clean ! ! spotless even ! ! hotel staff well ever encounter , friendly always willing help we matter ! Breakfast include part package change everyone morning yummy ! internet access free hotel even provide 2 computer guest use lobby . the thing upset room fridge , quickly get hardly spend time there . I highly recommend hotel everyone visit San Francisco . 
 Dec 17 2008 	 great value location 	 2 star hotel sure would nice . turn great . within 2 block Warf , Ghiradeli , Boudin , f line street car stop mason line cable car . hotel staff really friendly room fine . also nice bonus get breakfast . standard holiday inn express spread fill . 
 Nov 29 2008 	 great hotel 	 great hotel really good location , 5 min walk Fisherman 's Wharf . the staff friendly helpful , room large clean free breakfast good . I would definatley recommend hotel . 
 Nov 25 2008 	 great Stay HI Express Fisherman 's Wharf 	 stay 3 child suite quiet , comfortable clean . staff efficient friendly check - in valet helpful other say parking expensive . arrival fridge room not working- contact housekeeping whole new fridge appear 10 minute ! location great sight SFO . hire bike shop around corner ride Fishermans Wharf , around Bay Golden Gate Bridge- real highlight kid love . breakfast get busy always get table- not wait last 30 - 45mins though seem run hot food . altogether great time would stay . 
 Nov 7 2008 	 great location ! 	 hotel close everthing . walk distance Fisherman 's Wharf , Pier 39 Ghirardelli Square . staff friendly room clean . would definitely stay hotel . 
 Nov 2 2008 	 Great Location Clean 	 Stayed Holiday Inn Fisherman 's Wharf Thursday October 2 Friday October 3 2008 . arrive early check immediately . room ready . , tell possibility get room Beach building across street block . little dissapointe tell we building , ask change , main building smoking room , nonsmoking . offer take luggage , really short walk . go room satisfied . love free wireless internet . location 2 night , get ground floor room . little street noise , would recommend ask high room would bother . desk building open almost time employee helpful . fax paper balloon ride something work . try try . would give , even call company finally get paper fax . eat restaurant hotel , strict rule go type chain restaurant visit city , . location perfect visit Fisherman 's Wharf area . wonderful ( 5 star 5 ) restaurant block call Beach Street Grill . highly recommend eat breakfast . excellent food , outstanding friendly service great Momosa 's . stay near Fishermans Wharf , would definately look place . 
 Oct 28 2008 	 strictly average 	 husband stay 3 night , although people rave hotel , feel average . location , however , perfect , since go Alcatraz also visit nephew live nearby marina district ( want we stay , be one bedroom apartment , graciously decline ) . although be regular visitor SF , feel room small norm , quiet , since end hallway . not need information front desk , can not comment service . be Priority Club member , not receive upgrade perk ( view another section hotel ) . free breakfast mob scene , not take full advantage , since nowhere sit ( balanced roll juice lap , sit couch ) . parking fee also negative , ask make reservation . look like hotel guest book Hotwire might feel different have get cheap rate , since would not expect much . 
 Oct 28 2008 	 Great Location . great hotel . 	 GREAT location pretty much every site San Francisco . shopping district short bus route away . hop tour bus get good look whole city . 's fantastic . breakfast standard , nice change actually see hotel America complimentary breakfast . room standard comfortable . clean staff friendly . 
 Oct 24 2008 	 Great Location 	 Front desk helpful , able give we lot information area . internet available free use two share computer next lobby . Breakfast okay , bit plastic ( tasteless ) complimentary . good location , 2 block back fisherman 's wharf , easy walk back far enough not noise crowd . tour desk close end cable car turnaround 2 block away . everything easy walk transport easy catch want venture town take tour Golden gate bridge . room clean bed comfortable . not get view room however not spend much time room anyway much see San Fran . want laundry need use coin operate machine next holiday Inn block . front desk swap note quarter use machine . 
 Oct 17 2008 	 excellent location expensive parking crowd breakfast 	 stay Holiday Inn Express Fishermans Wharf wife 5 night October 2008 part vacation West Coast . get reasonably good rate consider location hotel breakfast include . king room average . clean , comfortable , expect amenity . everything look new , also give we good impression . free internet ( cable , wireless ) work well . breakfast include rate . completely crowd , hotel probably 400 room , locate highly touristic zone . say , egg , bagle , cream cheese , etc ... dozen people time , not expect quiet zone . time time notice staff not able replenish food , not let breakfast last 30 minute . parking extremely expensive ( thirty nine dollar per day ) . location excellent . walk distance cable car , pier 39 , Guirardelli square attraction . hotel near famous hotel Hyatt , Hilton , Marriott even Holiday Inn . tip , be 24 hour open denny be around corner . 
 Oct 16 2008 	 great hotel good location Fisherman 's Warf 	 beautiful great hotel locate one block center Fisherman 's Warf San Francisco . safe area allow walk many San Francisco tourist spot . restaurant everywhere . trolley line doorstep ease get around . stay love hotel location . hotel sit right next regular Holiday Inn Holiday Inn express much new look great inside . two thing aware : first , recheck hotel website week arrival see rate lower . save $ 100 per night . secondly , fee parking car $ 39 per day plus parking tax $ 5.46 . pricey hidden fee unless read fine print . prepare . overall , great experience would stay . 
 Oct 15 2008 	 good choice Fishermans Wharf 	 hotel well locate - around corner Fishernans Wharf . breakfast include price bonus - bit bun fight food fine plentiful - cereal , yoghurt , toast , muffin etc , cinnamon bun , banana well hot option - scramble egg , sausage / bacon . also get bonus able use pool next door main Holiday Inn Fishermans Wharf . laundry also there . our room outlook - window internal lightwell , comfortable quiet . there Denny 's site internet access terminal foyer . basically everything need . 
 Oct 13 2008 	 good hotel 	 exception , view expensive parking , great hotel , good location , helpful staff , nice room , eat thereso comment . 
 Oct 12 2008 	 Great Hotel 	 stay Holiday Inn 5 night use base sleep . good central location access attraction especially tram tour bus . not use service whilst hotel ask question staff helpful ! room clean good decor comfortable bed . view sort bother we use room sleep . a short review use hotel much , overall nice would recommend anyone . 
 Oct 2 2008 	 Great 	 stay two night central main tourist sight . hotel clean breakfast ok really cook food avoid . 
 Oct 1 2008 	 Great Hotel ! ! ! ! 	 stay 4 night Sept 2008 . location great , room clean , service good , free internet access , valet parking great service , close food point interestDown fall , pool , park $ 40 day ( ouch ) great place stay , would recommend . but plan use car ..... advise ..... stay , parking cheaper , hotel cheaper , pay park anyways anywhere Fishermans Wharf area . 
 Oct 1 2008 	 wonderful location 	 daughter & amp ; find hotel comfortable , great location please cleanliness . easy reach Fisherman 's Wharf , Pier 39 tram terminus . not take 10 min walk Lombard Street though 's uphill way . hotel two street away water / Embarcadero & amp ; feel safe area . parking quite expensive , though city expensive , however valet parking guy nice . find reception staff helpful check - in five day stay . room internal one overlook internal atrium outside noise . room clean plenty towel bathroom . breakfast include price - help cereal , Danish , bun , toast , egg , odd stuff not recognise ( ' m british might grit ? ) , sausage , fruit juice thing . choice good however crowd people around 7 am - jetlag work favour instance hoard 8 am . still plenty later although guest act though not going find anywhere eat next year ! ! would hesitation return ideal base we San Francisco . book Hotwire not feel bad deal hotel . 
 Sep 29 2008 	 need ... 	 wife stay start 16 - day trip ( three night ) . know would late arrive ( miss connect flight ) phone ahead expect arrival time . arrive find Reception make note check - in smooth . room middle hotel ( nice quiet ) need long trip UK . stay Labor Day weekend , hotel busy . really notice breakfast , whilst plenty food everyone notice around 8 am one morning free table scare . minor point , expect , not cause problem . hotel excellently situate , end two cable car line one block street car ( tram ) . would definately stay would recommend other . 
 Sep 26 2008 	 Great Location Great Hotel 	 wife complete trip around world stay variety hotel , bad , good . rate hotel highly . reception staff keep busy high volume tour come still treat we warmth smile . concierge , Rhoda , particularly helpful , comically dress bellboy , great whistle cab provide direction . stay hotel try get onto 5th floor . floor business centre . stay room 506 large , clean well equip everything expect quality hotel . king size bed also fantastic . meal hotel locate close Walgreens supermarket . save lot money buy fresh fruit grocery store . room also microwave oven come handy heating tv meal . coffee make machine also nice touch , especially wife ! Fishermans wharf great place stay . even though touristy , action lot cheap clothing characterful shop assistant . San Francisco superb city . fun fill day , energy catch cab Haight Ashbury , walk Masonic Haight St check great shop survivor hippy punk era . keep walk Golden Gate Park ( 2 hour walk ) visit attraction get right Pacific Ocean . keep head west towards sun . great hotel leave . wine beers catch cab home . day ! 
 Sep 25 2008 	 Great Place stay 	 wife 60 's stay Holiday Inn Express Fisherman 's Wharf four night September 2008 . clean , quiet modern room . comfortable bed . convenient location Wharf extremely crowded . lot restaurant touristy store stand nearby . continental breakfast adequate , be ok . lot tour bus morning dining area crowd , always get seat . hotel valet parking whop $ 39.00 per day . near cable car public transportation . would stay . 
 Sep 21 2008 	 good choice 	 wife arrive morning intend store luggage later day . woman front desk check , room ready , check . room small Hyatt across street ( check ) , pretty much standard HI Express . clean bed comfortable . problem whatsoever stay . free breakfast buffet hot item include cinnamon roll , pre - make cheese omelet , bacon one day sausage next . think good enough eat second morning . hotel great location close wharf , convenient catch streetcar , bus , cable car . would stay . 
 Sep 19 2008 	 OK 	 haing stay three different hotel San Francisco , value quality not seem good american city . good thing city lovely forget this . the service basic , room comfortable clean . hotel frequent tour group faceless chain hotel scene , not stay . can not argue location , short walk Embarcardero cable car downtown . breakfast chore - poor food constant bump people buffet small number guest . overall , forgettable experience nothing bad . 
 Sep 11 2008 	 Terrible Service especially book Hotwire 	 arrive wait front desk staff main building finish play hair check . ask want smoking non - smoking king room say non - smoking . put notorious beach building around corner across street . enter corridor odd odour car fume cigarette trust staff not give we smoking room . enter room smell awful , someone else hair attach ceiling bathroom bed clearly single room . could not understand sign document check say non smoking king . terrible night sleep ground floor bus people loud outside room . soon get ( get much sleep - not feel safe ) ask front desk building move we . room move twice size clearly non - smoking room . front desk , bell man etc beach house building reliable , half time close . need quarter laundry ( not use drier , clothe would dry fast blow ) go way build not beach building . internet working building well . certain give single room collect quarter man front desk say want move one number room put position different floor . short , would not stay . poor customer service , unequal access facility base put give room 2 pay . feel safe either . 
 Sep 9 2008 	 great Choice ! 	 Holiday Inn Express Wharf great choice ! hotel well maintain . free breakfast include could always find selection fine would get day start . staff helpful friendly . location super , could hop bus , streetcar walk attraction along wharf area . would absolutely stay would recommend highly . 
 Sep 6 2008 	 great location 	 stay Holiday Inn Express 5 night start September boyfriend . hotel great location 2 minute walk heart Fisherman 's walk . Central San Francisco easily accessible streetcar around corner bargainous 80p . room 2nd floor . clean spacious could not fault . hotel offer free contintenal breakfast , one day choice food limit cram go downstairs little putting . free internet access lobby helpful . would stay agan could not fault . 
 Sep 5 2008 	 Spot ! 	 choose stay HI Express couple reason . Fishermans Wharf hotel come price , went look like good value . HI Express offer free breakfast every morning , seal deal we . location can not fault , be right middle Wharf . walk pretty much anywhere within 5 mintue , include Pier 39 cable car turnaround . North Point Street , fairly quite street experience . room overlook street , absolutely complaint road noise , noise room matter . 4th ( top ) floor , right end corridor , must help keep noise level . 4 floor , never long wait elevator . the hotel look new , everything feel fresh , everything spotlessly clean . complaint whatsoever , daily housekeeping good job . bed comfy , though room not large . fine two we , could not fit anyone else . problem though , not spend time hotel . find two internet access pc 's lobby handy , couple occasion wait . breakfast good ' free ' breakfast . usual selection cereal , fruit , yoghurt , pastry , muffin , etc , plus small selection cook food like sausage , bacon , egg , etc . free coffee , juice milk well course . the staff front desk friendly polite . check - in check - out efficent . not make use parking hotel , around $ 42 day plus tip ( valet ) , glad not car . hotel undercover pull , big enough hold couple car , handy us checkout day collect car Avis around corner , bring back hotel load . happy us park drop - off area 15 minute load up . we would hesitation recommend hotel other , would certainly stay . be really cheap ( pay $ 200 night start June 2008 ) , expensive anywhere else area , happy get . 
 Sep 4 2008 	 Great Hotel 	 really enjoy stay Hotel . entire staff wonderful , room clean good size ( 2 double bed family four ) hotel 's decor clean fresh . front desk staff helpful , clean staff excellent job cleaning room daily breakfast staff fine job replenish food always hectic breakfast . breakfast excellent number different choice ( hot cold food available ) . one daughter ' suffer asthma . unfortunately could book guarantee non smoking room hotwire advance . however contact Hotel morning arrival request non smoking room upon arrival later day meet request non smoking room ready we ( 3 p.m. check - in ) concern would room location give we . room face Beach St. F Line Streetcar roar Beach St. start around 5:00 a.m . Hotel 's sound insulation good often still awaken sound streetcar morning . however certainly think get excellent value ! location Fisherman 's Wharf excellent easy access public transit ( Cable Cars streetcar line ) . rent car 3 7 day stay able find overnight street parking near hotel every night allow we save $ 40 per night park car Hotel garage . wife runner use Hotel 's fitness facility . well short run Hotel waterfront could run along Embarcadero several mile without worry vehicular traffic . thoroughly enjoy stay Holiday Inn Express Fisherman 's Wharf . would HIGHLY recommend Hotel . 
 Sep 4 2008 	 excellent many way ! 	 amazing place . good hotel trip . arrive night Pier 39 buss Amtrak across Bay point right direction take short walk hotel . have work right way use Google Streetview help huge amount San Francisco hotel area 's always obvious . fast check - in , upstairs right upstairs lift . lovely big comfy bed , great bathroom , lockable ' safe ' cupboard useful free internet access make good use of . no view ( internal courtyard / gap room ) unless top floor front not think would get view . ice drink machine round corner , first one have see need door key get . talk key lock mine room one day front desk quick replace I . Fishermans Wharf round corner lot place shop eat . walgreen amazing exceptionally useful open late desperately need sun lotion cycling around day ! many attraction nearby wharf also Pier 39 's seal shop . bit gap walk get Ferry Building ' issue ' city much offer . I exceptionally happy stay , wish could stay long . will back . 
 Aug 30 2008 	 Hard Fault 	 four night city break San Francisco late June 2008 . first time city choose hotel look review site . disappointed find lot positive feature . price good , especially include buffet breakfast simple allow enough choice set day . two room five good sized , clean reasonably furnished . not many occasion require help staff , find friendly helpful . big plus hotel definitely location , Fisherman 's Wharf , lot attraction within walking distance . muni terminus around corner two cable car line end close hotel . also plenty restaurant surround area . for anyone look affordable , well locate base explore San Francisco , strongly recommend consider stay hotel . 
 Aug 28 2008 	 bed 	 book 3 night Holiday Inn Express San Francisco - Fisherman 's Wharf Hotwire . book room 2 adult 2 child ( age 11 14 ) . arrive , tell room not ready , go lunch come back hour . come back , give room one King size bed 4 people ! tell we could give we 2 bed oversell room . also say Hotwire not guarantee number bed room . argue Hotwire guarantee room would sleep number people reservation make . offer we rollaway cost , could put second rollaway room due fire code . suggest call Hotwire ask move we new hotel . hotwire offer nothing help we . hotel tell we take leave , since know prepaid hotel stay fraction cost could book room . hotel manager speak Hotwire cell phone , never come talk we ! sleep 3 we King size bed ! buyer beware ... hotwire vague number bed provide hotel . hotel want . catch middle . ' m sure book hotel Hotwire . 
