sparkle 	 Good point Hotel : Location . the Room - excellent size comfortable bed . nice view Jubilee Gardens quiet . good bathroom tea tray always welcome . Nice Bar pleasant view London Eye . Helpful Concierge ( one . helpful ) breakfast buffet also good breakfast staff efficient pleasant . not good point : room ridiculously far away lift - talk 7 minute walk . foot injury struggle brisk trot require . one previous poster state wished golf buggy scooter ferry we down . secondly check staff brusque lack charm . London graduation ceremony would think way funeral , dour . Marriott Rewards membership , sometimes staff check upgrade . however occasion book another website staff attitude effectively reflect this . not welcome Hotel wish pleasant departure spend small fortune accomodation . the ATP tennis tournament O2 many resident either tennis player supporter . get impression part troope staff do not give toss . addition , lift cover advertising tournament find tacky bizarre . completely spoil ambience beautiful old building . we find one give we direction concierge . absent one morning ask doorman direct we Covent Garden vaguely point sky mumble . attempt get taxi via staff door useless well luck public street . acceptable 5 star hotel . my final gripe oh pay £ 15 day wi fi ( concierge try convince free ) go Starbucks coffee get free ? ? always stay Mariott ( work many year ago ) know extremely high standard training require staff always apparent Marriott stay . however next occasion return one another London . 
 good even kid 	 stay 3 night little man forst birthday say go well hotel near perfect . food brill , service perfect , clenliness perfect , describe . issue distance lift room - miles pram tough lovely view London eye jubilee gardens can not really complain . great location dead centre London . 
 Dec 30 2008 	 Disappointing 	 return one night stay family . ' ve stay time standard drop . five star hotel little thing slow bar service , rude staff ( restaurant manager breakfast ask we could hurry busy , presumably want table someone else ) , stain bedroom unit crack mirror bedroom disappointing . hope thing improve will not go back many hotel choose . 
 Dec 29 2008 	 room 434 : fab ! 	 OK 's expensive stay , room really nice , large , clean , amazing linen toiletry . location great , staff dilligent ( concierge advise we good restaurant around ) . downside must say access pool like cruisade be got improve . 
 Dec 18 2008 	 great view 	 stay one night December , pay extra river view room . beautiful hotel , well maintain & amp ; clean . check formal , insist staff must carry bag room . personally find bit overbearing . huge room , huge bed , fantastic view river , London Eye , Big Ben , Houses Parliament . deep bath fill time . swimming pool excellent . staff breakfast little bearing , get tell pour orange juice . food good , plenty choice . use express checkout extra pay . return find charge breakfast include room rate . send email explain problem & amp ; sort immediately . the river view room special , think well value option want standard room . 
 Dec 3 2008 	 Rude Welcome 	 family arrive travel several hour greet confusion generally rude attitude front desk . informed would need second room $ 250 usd since three adult one child ( husband , , 20 13 year old son ) . use Marriott Rewards point aware & quot ; rule . & quot ; come four night Hilton France treat like vip Hilton Honors member , treat like vagabond & quot ; free & quot ; room trying pull fast one . humiliate front child ask step aside sit lobby 20 minute & quot ; pay & quot ; guest pleasantly checked ignore . when ask room would ready tell icily & quot ; check 3 pm . & quot ; KIDDING ? ? finally , manager unable contact Marriott get we second room use reward point , begrudgingly allow we check room . earn Marriott Reward point spend thousand dollar resort hotel rest assure WO not back ! one final note . experience traveller review past almost always positive . take lot enrage way Marriott . work hard money vacation important we . 
 Nov 24 2008 	 great hotel great location 	 second time ' ve stay wonderful hotel ( stay previously August 2004 ) , be get even well -- renovate since 'd . tour book frommer overlook one ( guess part chain ? ) , can not beat location want see sight London . hotel bank Thames across Westminster Bridge . see Big Ben hotel . 's block Westminster tube . Westminster Abbey Buckingham palace short walk away . Dali Museum , Marine Science Museum , McDonalds ( handy kid ) build Marriott , formerly government building . wonderful architecture . staff friendly helpful . know cost stay Marriott point . 
 Nov 24 2008 	 Fantastic Stay 	 stay hotel one night Nov 2008 . location hotel fantastic . room face Thames view Houses Parliment London Eye . room really good size , clean nice sized bathroom mini - bar . the bar really nice hotel great view friendly staff . breakfast area expensive ( & gt ; £ 20 ) . include part room rate would not bother personally . overall , location hotel great stunning view .... love . 
 Nov 12 2008 	 County Hall - Great destination ! 	 County Hall great experience we . room overlook Houses Parliament one side London Eye . room large average easily accomodate husband , 2 kid . location great sightseeing great view ! also , walk around hotel fascinating . previously headquarter Greater London Council full history . cheap place stay really enjoy stay . complaint long check - out . 
 Nov 11 2008 	 Rodents swim pool adventure 	 think must stayed different hotel people seem review County Hall . yes , location fantastic awesome view big ben London Eye say far perfect hotel . my main two gripe are:1 . whist try get sleep first night hear strange scratching noise . think nothing . next morning notice mouse / rat dropping bathroom floor . fortunately give new room sleep rodent free next night.2 . think walk extra three four mile day try use swimming pool . complicate puzzle ever undertake involve various code little piece paper , key card floor change . take 30 minute get room pool . oh , careful lose , get wet little piece paper door code otherwise might end stick main hotel corridor soak wet swimming costume . 
 Oct 28 2008 	 Marriott London County Hall 	 County Hall across Thames tourist want . walk not bad not rain ; however , rain entire week July . hotel definitely business hotel making feel deserted unwelcome day . concierge Brazil know nothing navigate London , could give restaurant suggestion . room without air conditioning two night ( primary reason book Marriott ) . alert staff fact , say would fix dinner . upon return air fix , leave broken fan room compensation . decide tough go sleep . 2:00 woke sweat go talk night manager surly good . finally switch third day . disappointing hotel . would not go London hotel available . 
 Oct 18 2008 	 Fantastic ! 	 stay three night begin October . upon check - in , find poor front desk associate , Emily , tell ' gentleman ' irate pay charge check 9 pm ! ! ! hello ! ? calm professional handle matter remain compose . impressed demeanor , especially since tell ' back ' ! anyway , scene , check promptly upgrade balcony room overlook Thames . perfect . room spotless , separate seat area fold - out couch . plenty room . bed comfortable hard get rainy cold morning . there outrageous charge wireless , forget exactly convert usd $ 30 , almost amount monthly bill ! bit ridiculous . use business center print boarding pass , without charge . have room service breakfast , prompt , food good . location could not well want . London Eye lot activity right along Thames . tour bus pick - up directly front hotel . walk change Guard , Picadilly Circus , Gabriel 's Wharf several place . directly behind hotel quiet street good choice lunch dinner . lunch Noodle Box , cheap okay , dinner italian call Cucina maybe ? across Thames couple boat convert bar , pretty neat . area around hotel get quiet night taxis plentiful pricey . not sure transportation from / to airport . use car service $ 100 usd rt . think worth since first time London idea go . unfortunately , driver Somalia not know hotel . LOL . would say allow least 30 - 45 minute get airport hotel . all , really great ..... 
 Sep 18 2008 	 3 dress 9 	 issue : Baggage Delivery , front counter service , promotion advertise , upsold restaurant . I usually try write positive review give benefit doubt particular stay August 24th 26th everything go wrong . Silver Elite Member Marriott Hotels . purposely hold write review week send comment card concern give Marriott opportunity reply . hear nothing date post . arrival : wife , son bag take room delivery door . give ticket . head check - in . gentleman front waiting line one front desk . 3 minute later staff member arrive . first person get serve 's turn . easy check give front desk clerk luggage tag . give card saying could get 50 % total bill breakfast . get room . luggage yet . wife shower go find store pick wine . get back 45 minute later still luggage wife sit around wait change . call front desk luggage arrive 20 minute later . could bring way back store ! room : beautiful room really enjoy atmosphere . light bulb . call housekeeping look quickly efficently . breakfast : 20 pound buffet . say since get 50 % bill . wife want something la carte 13.50 pound . server discourage we say take kitchen long time get . wife like answer ask hostess . hostess verife slow kitchen tell buffet include want . good breakfast come bill . 50 % 60 30 pound . well turn get one meal free pay rest . card SAY ! . pay 40 pound . iasked hostess say charge correctly . go front desk tell thing promotion hand ! believe someone pay almost $ 400 night stay hotel receive outstanding service . well service Marriott 's budget hotel ( Courtyard Residence Inn ) . hence title 3 dress 9 . since cancel mother 's stay Marriott Heathrow ibn October . I also cancel Marriott account Visa card give business Hyatt Westin hotel . 
 Sep 2 2008 	 Great Location 	 Marriott undergo construction time stay , staff wonderful , help direction get around construction . food good , typical Marriott dependability . location make London easy get around . easy walking , cab accessibility , close Waterloo station . would definitely stay . 
 Sep 2 2008 	 must stay different hotel everyone else 	 use Marriott point stay hotel 2 nite August . think may spoilt recent time asia , Marriott hotel match Marriott ever stay . even 2 kid think dark dull . I charge extra 50 quid per nite room point allow book - supposedly river view EXECUTIVE CLUB benefit , incl breakfast . know breakfast would expensive otherwise ( kid not love hotel breakfast ? ) agree supplement . well breakfast , Exec . Lounge suppose offer canape 5 - 7pm dessert 7 - 9pm . hotel really let guest . hotel room ok - comfy bed , view thame ( manage headbutt window time though internal glaze well original window ) . rest room date adequate . certainly will not win design award . pop look Executive Lounge . small room , table chair , dark dingy natural light . think exec facility suppose well regular hotel one . worse . tell reception not want eat breakfast horrible dark room . say could order continental breakfast room service pay extra 3 pound tray charge . , order arrive wrong item . next day , rather wrong breakfast , think would brave executive lounge . walk , stand good 5 min . Staff finally approach . room space . even people eat low ( coffee table style ) table . advantage , give voucher breakfast proper restaurant downstairs flood natural light view london eye . like . addition could whatever want fro breakfast - cornflake toast . Credit Marriott , gut feel right . exec lounge nice place hang . check DESSERT session one evening . kid , 3 slice fruit cake . probably leave afternoon tea downstairs . walk . hotel ok , kid use health club change room - use one pool . fine , no - one offer we locker facility lock belonging away . towel obviously available neither drink vend machine work , location good , plus get 2 double bed room , great family . suggestion would decline offer exec facility , stick whatever room give ( chance river view anyway ) , buy breakfast elsewhere , pay 50 quid want guarantee river view room . try insist breakfast normal restaurant . trust , exec lounge worth penny . 
 Aug 25 2008 	 Nice Hotel Great Location 	 hotel build old county hall building - give quite bit character . room standard Marriott room , pretty roomy London . other note , location incomparable tourist - perfect . half thing go London see within minute walk distance . everything else couple tube station quite close . con : - due design building , one elevator bank , room one end , quite long walk get . spend 20 - 25 min go back forth forget something room key would not work go back reception.- also , restaurant suck . great negative , ton eat option ( cheap high - end ) within short distance hotel . 
 Aug 23 2008 	 Meh . be ok . 	 like south bank , , location splendid . right river , terrific view Big Ben , close buzz .... be it . the room adequate size ; bed average ; furniture bland reasonable condition ; room service reasonably prompt food nothing write home about . service ? fair unmemorable . in short , sort place rest head night not expect anything exceptional ( good way . ) 
 Aug 17 2008 	 Excellent view location Marriott County Hall 	 return UK stay Marriott County Hall twice trip : first time three night arrive London second time one night fly home . could not please hotel location . three night stay , book Thames River view room exactly get -- dead - on view London Eye well ! room attractive rollaway bring son quite comfortable . second stay , book view room ( figure unneeded expense overnight ) pleasanty surprised find upgrade without ask Big Ben View room -- fantastic view lovely room -- bit spacious first . would highly recommend hotel -- definitely stay -- strongly suggest view room one upper floor ( 3rd floor ) . addition , location big plus -- short walk 3 underground station Waterloo train station . hotel situate next Jubilee Park one side Westminster Bridge . staff amiable capable . eat hotel ; one complaint two bar draft , bottled beer / ale -- normally would notice , UK always put we mood pint ! 
 Aug 15 2008 	 Amazing Value London 	 stay hotel 4 night late July Marriott reward point . upon confirm reservation offer upgrade riverview room lounge access ( ' m silver elite do not regularly get access ) 30 pound . decie decline offer time . however , check - in offer extend rate 50 pound per night . inconsistency quickly become concern therefore decline upgrade time well . assign room # 525 surprise riverview room spectacular view Big Ben , Thames River London Eye ! hotel appear pretty full probably count accept upgrade yet decline still give upgrade room . room spacious must mention bed amazing ! first day go back sleep twice finally wake ! room contain spacious full marble bath seperate dressing area . not use internet costly , can not comment . hotel spotless part , however feel health club could maintain well . health club indeed large pool London hotel . cardio equipment 7 - 8 year old need replacement . strength equipment brandnew Technogym ( highend line ) assume hotel intend upgrade cardio equipment future . one not expect service like four Seasons , hotel amazingly well run . every single staff member polite quickly respond request . 
 Aug 4 2008 	 good Room Great Location 	 not believe exist hotel well view London one . build historic side , come usual date feel . lobby , interior hotel nice . room although smallish side new , clean comfortable . negative side , room fairly far away elevator issue cold water tap bathroom . two handle one hot , cold . Ocasionally , cold water never come , although tap wide open .... attribute problem historic nature hotel . , be comfortable place staff friendly , would absolutely stay ! 
 Jul 28 2008 	 Fabulous Location beautiful Marriot 	 stay County Hall Marriot primarily business week pleasure weekend . marriot disappoint quality room / food etc . would expect Marriot fabulous location . could see London Eye Thames river window . Westminster Tube stop ( subway ) across bridge . 's cheap easy buy week day pass individual ticket case . would like little low key shopping support local artist place call Gabriel 's Wharf 5 minute walk away . stand front Marriot look Thames go right . 5 - 10 minute see row shop tuck back main drag . great little shop everything hand knit wool funky one kind dress painting . 's relaxed area probably 10 shop without throng people . great place eat also way Gabriel 's wharf . 's call Giraffe . cater kind include kid . 's large place fairly loud food really good . recommend Pims lemonade would like try really nice summer drink . happend lover salad actual baby spinach green oppose piece iceburg lettuce one chop olive get here . as hotel , truly massive take 10 minute actual get room . tough time walking want ask room close lift ( elevator ) . 
 Jul 22 2008 	 great location 	 stay 2 night London end June . lot tourist . hotel excellent location close everything . give garden view room . room quite small , plenty amenity compensate . thing not like hotel layout . originally county hall , lay hotel , order get room , literally take we least 5 - 10 minute . day walk , extra walk tiresome . front desk helpful . overall enjoy stay , think 's 4 star 5 star 's location . 
 Jul 11 2008 	 Excellent 	 Excellent location comfort . large room face Thames , comfortable furniture , excellent bed abundance pillow wondeful bath . really ask . staff friendly helpful , bar pleasant restaurant seve good food relatively reasonable price . continetal breakfast good expensive . 
 May 30 2008 	 Nice hotel London 	 start european vacation London . use Mariott point book room . book August 2007 May 2008 . try book upgrade room view executive lounge tell not available . tell could pay 30 pound night get view , available . call couple time request also early check - in since arrive around 9AM . arrive tell we could get room 11am , be not bad hotel nowadays . upgrade room be not available give we room end hotel . room partial river view , partial London eye view view park . end think probably well complete river view , except could not see Big Ben night . save money point . type room not get river view . the room good , except small tv . wife like tea maker say machine quickly heat water . the concierge helpful always someone cover desk . help we several item . the good part hotel location . right south bank next Waterloo Underground Waterloo train station . 
 May 25 2008 	 nice building great location kind disappoint hotel 	 wife stay five night May 2008 . build beautiful old , use serve seat city government . Marriott take part build hotel . location fabulous , South Bank area right across Thames Big Ben . book hotel many month ahead time Marriott reward package , specifically ask Thames view room assure would happen . actually register , though , tell could kind room extra 50 pound per night surcharge . agree , disappointed promise keep . room nice , clean , comfortable . coffee supply restock completely maid , . one afternoon fire alarm sound 10 minute room . either speaker system room let guest know , hotel management use . call front desk , get answer 20 ring . decide evacuate , fellow guest advise we hit first floor area could return room , alarm set cigarette somewhere . another night awakend 10 minute midnight phone call room service ask order anything . , pleasant awakened way . one would hope room service could keep close track order late night . finally , check , 168 pound & quot ; accommodation charge & quot ; list bill . ask , front desk remove charge , say error . main disappointment , expect high standard Marriott . hand , individual staff member always helpful , friendly , responsive question thing see . location hotel superb . 
 May 24 2008 	 Nice hotel 	 County Hall lovely hotel locate right beside London Eye . renovation main entrance go moment use side enterance . add 3 min extra trip reception . Doormen etc help luggage . we nice room locate mile away elevator . take least five min walk room . could definitely another set elevator ! real inconvenience.the room comprise small sitting room , bathroom bedroom . think room five star standard , spotless , tea / coffee facility , turn service , robe etc . bathroom plain though , would expect something luxurious five star . small dripe : v small tvs room , could hear child cry room beside we one night , stopper bath do not work could take shower . also concierge never try get ( 3 time three day ) .Didnt eat hotel can not comment food . 24hr newsagent accross side enterance hotel handy . also eat noodle bar ( ok , cheap , food overly salty ) italian ( main course nice neither we could eat desert ) . right beside london eye . prebook ticket , head early get really busy . 
 May 21 2008 	 Great Location Hotel 	 Location , Location , Location ! hotel conveniently locate near house parliament , big ben London Eye . staff friendly porter available take bag . wife arrive hotel around 9 trans - atlantic flight . request early check find room not ready yet . kind expect hotel store bag we couple hour room ready . hotel locate inside County Hall build many establishment . construction front entrance go around back walk around . add 3 minute everytime want enter exit hotel . think do construction next month . although ' m sure hotel fully book never seem run many guest would gave nice feeling privacy . 's olympic sized pool 5th floor worth visit . 's nice way relax long day big city . I book stay Marriott Rewards point can not really comment cost . worth 90,000 point 3 night though . 
 May 20 2008 	 Hotel great 	 enjoy hotel much . room view Big Ben Parliment building . room nice comfortable bed . would however give room 5 star rating . like high 3 4 . bath leave lot desire . shower tub curtain keep want blow stick person shower . Glass door shower would much well . big displeasure breakfast program . way , breakfast include room would not eaten Marriott . normal breakfast egg , meat potato 20.95 pound around $ 42.00 per person ! ! event , breakfast serve cold toast cold butter . waitress not really understand English . second day breakfast Saturday restaurant not open 7am . seem help show 7am not ready begin around 7:15am . order omelet buffet 1/2 hour cancel . wife friend try eat buffet egg must powdered egg viturally tasteless . get picture . food par . not eat dinner hotel . eat small italian place across street good . 
 may 16 2008 	 great 	 stay weekend london marathon , hotel pretty full . nonetheless room request meet hotel never seme crowd . pool lovely- one depth float ( noodle ) provide child . limited child 's hour anyone want quiet , child - free swim able . breakfast include rate excellent , hot cold buffet plus la carte special cook order . always give corner table mean child not anoye table could relax . staff , without exception , lovely , hit right mix helpful obtrusive . room large 2 double bed , per request , plenty room cot . clean . evening turndown would expect class/ price hotel . view river london eye not request would stay since quiet . there plenty restaurant within walk distance- [ would recommend italian Belvedere Road ( rear entrance hotel ) child friendly meal . ] westminster tube nearby easy pleasant walk Bond Street Regent Street . so , great location , great hotel would definately return . 
 Apr 2 2008 	 wonderfully brilliant 	 return wonderful long weekend break marriott . their slogan & quot ; thing overlook big ben & quot ; definately true.we river view room contact hotel directly upgrade , well worth £ 30 extra night.the breakfast outstanding include room rate , not know would pay £ 20 odd otherwise , really really lovely . would say afford ! ! bed comfortablest ever sleep in.all usual stuff get 5 * hotel , plus little extra touch standard . instance really good quality kettle , awful white one short lead ! bathroom spotless shower almost knock powerfulthe staff can not enough help friendly.room service standard hotel reasonably price fairly quick.the front still renovate not much annoyance really , get use go around side plenty doorman help get taxi 's etc.the gym amazing 20 treadmill alone ! machine never even see before.the pool warm clean.all not like hotel must one weird people not like chocolate either ! ! definately return 10/10 
 Mar 27 2008 	 great hotel .... 	 stay hotel 3days , room big , comfortable . bed 's big , staff kind & amp ; helpful . breakfast good . the swimming - pool big & amp ; clean , good restaurant hotel . enjoy vacation . 
 Mar 24 2008 	 Great Tourist Headquarters ! 	 husband , 19 year old son stay hotel three night Easter . pay stay use Marriott point initially tell have one bed rollaway . prior departure let hotel know prefer two bed upon arrival find request honor room view Big Ben London Eye . room large London standard comfortable american style plug in . hotel staff tell we main entrance open June , still go side opposite river enter . across entrance Subway sandwich shop serve breakfast sandwich reasonable price . near tube stop Tesco sell croissant small grocery item snack room even economical . hotel room tea , instant coffee shortbread available quick pick up well . overall lovely choice holiday hotel ! 
 Mar 13 2008 	 Superb service fabulous view overall excellent 	 hotel enjoy superb location . right river next London Eye , make walk across Westminster Bridge easy , Covent Garden comfortable stroll away walk along South Bank excellent . not give 5/5 generally believe everything well quality would normally expect hotel experience place close good get give 5/5 . wander around hotel give idea history still various item reflect building history main building defunct Greater London Council . general ambience hotel one high class , also wood panel many area . use valet parking service , strangely road hotel parking meter yellow line . get park outside ( assume come south Westminster Bridge ) turn leave past main entrance bridge leave pass security barrier . check front entrance still remodelle . the concierge entrance helpful polite . check - in staff front desk extremely professional polite . concierge reception desk also helpful , staff throughout hotel . acknowledge every staff member pass . greet we smile . we book mini suite 6th floor - size good . sofa wetbar area , bathrobe available . ice cake view balcony . balcony small ( probably around 8 ft x 6 ft ) table two chair manage enjoy lovely cup tea whilst look onto river admiring must surely good view London . London Eye close feel almost touch . weather right , little chilly lot sun backdrop blue sky . river - view room availabe upgrade advice be look somewhere little special 's worth pay extra get view - really beautiful . would happily stay - ideal world would suite stay permanent basis , fund would allow ! 
 Feb 19 2008 	 Fabulous 	 spend weekend kid 10 , 8 . read bunch review various hotel want make sure would enough room sharing room kid . end stay County Hall , really 's location . GREAT . be perfect first timer London . hotel right Thames , LITERALLY front London eye . room beautiful clean wonderful bedding nice bathroom . even US electrical outlet . Big Ben Parliament right outside window . never need clock . magical . loved hotel . 
 Feb 6 2008 	 good ..... 	 stay Marriott County Hall one night relieved find really great Marriott London . really admire Marriott group , negative experience Marriott Park Lane . however , County Hall , different property altogether . the location over - the - top brilliant trip London .... right London Eye South Bank , close Festival Hall , National Theatre , Hayward Tate Modern gallery , ane directly opposite Houses Parliament . the staff check friendly , show room duty manager . luggage take room without ask . room spacious London hotel - great Marriott bed , two comfy armchair , desk , great bathroom powerful shower view window . ask high floor room ( love view ) not disappoint withe 5th floor . the spa great . nice staff comprehensive facility , one good spa's / gym area , busy member guest . use parking treat courtesy efficiency concierge valet park car . all , although cheap hotel , get pay great place stay , mass historical character heart one London 's exciting area . will back . 
 Jan 26 2008 	 great find 	 book couple night ( one take Mary Poppins show one special Dinner ) . find Hotel great , Staff excellent . initial confusion arrive reception detail book Agent , make pay month . book room King size bed river view , however none available upgrade mini - suite sixth floor great . immediately overlook London Eye . hotel location excellent , plenty immediate area , food fine . dine restaurant one night recommend , little pricey ! make friend Bar Restaurant staff ( almost nationality seem show ) generally good time . recommend hotel . 
 Jan 26 2008 	 Great Hotel - poor timing 	 take mum , aunt wife away luxury weekend theatre shop select County Hall Marriott number reason . facility proximity National Theatre & amp ; London Eye final decider . the hotel build historic building previously use government mixture sweep curve corridoor high quality communal area . easy imagine power , settle barker lounger smoke cigar drink port make deal ! upgrade double look towards river , house parliament etc view - much would beat London ! bed recently replace ( whoever run procurement bid thank amazing ) on - suite perfect . so big tick luxurious feel ! service totally standard ; friendly , easy access , varied 24 - 7 . one evening meal AA rosette standard without pretentious breakfast Marriott tour de force . facility also excellent , far good London hotel pool ever use gym expansive well equip . spa great range service , regrettably not book advance also demand take last minute request . so big tick facility . why 4/5 ? one word - timing . the weekend upgrade entrance instead walk reception take 5 minute walk around include 2 set stair - also effect completely remove & quot ; wow factor & quot ; first impression hotel - not often , feel let . weekend 2 fire alarm ( evacuate ) include one 6.00am , ( tell ) due sensor London Eye ( yes close ) . finally , thing mum really want use jacuzzi first time thing break - guess - lady jacuzzi ..... timing ! 
 Jan 23 2008 	 good 5 star 	 husband book hotel Friday Saturday night Christmas present . location fabulous , look across Thames Houses Parliament Big Ben , right beside London Eye Aquarium . the room large well furnish , hotel lack atmosphere , welcome feeling , heart - common area congregate , convoluted entrance way empty marble corridor , standard army heavily accent foreign worker . the hotel receive 5 star rating presumably location original County Hall London , rather level service , luxuriousness room . breakfast expensive outstanding , tomato ketchup plastic sachet limited buffet . bar staff uninterested customer service , although selection non - alcoholic cocktail delicious . our room connect door room next door easily able hear noisy child next door exasperate tired mother ! definately stay well 5 star hotel make feel special - not happen . 
 Jan 22 2008 	 nice stay . 	 wife bit apprehensive hotel read daily fire alarm building . actually , first two day , fire alarm ! , none . we give nice room . spacious enough , facility convenient view window quite pleasant - London Eye , Big Ben , Thames River . concierge doorman quite helpful straighten tour go amiss ... problem avert . the internet quite satisfactory , facility nice great time . terrible jet lag tired walking ... probably block elevator room , staff friendly hotel well run . would certainly recommend other . 
 Jan 19 2008 	 terrific hotel Great Location 	 visit friend UK stay week hotel fesrive month December 2007 London . first , pleae let recommend London Christmas season . 's cold windy often December dry sunny day . rain drop entire week tell friend December often like . additionally , city light Christmas one festive place holiday . airfare low hotel rate . $ 550 US pay per night still not high hotel go summer high season crowd price , weather rain worst . clear , hotel perfect location leisure travel London . person take Tube Heathrow use lift Westminster Station luggage head across bridge hotel . $ 95 week - long London transit pass unlimited Tube bus use include Tube way Heathrow . include Heathrow Express train take 45 min 1 hour one way trip free part pass great price ! pass obtain Rail Europe departure . arrive hotel 8 am expect lock luggage lobby , tour city , return later day check . however , hotel terrific get nice king room overlook Thames River London Eye . able shower change . housekeeping staff obviously work hard early morning get room ready people like arrive city international flight . able get settle feel welcome like , include housekeeping supervisor stop room two minute walk make sure everything ok , get stay Marriott great start . appreciate . force stay awake day key adjust time change right away . not go bed ! schedule interesting touring motivate go way least early - mid evening night crash great night 's sleep . the room incredibly clean well appoint . bathroom good sized room , though big one might find American Marriott , certainly small . tea service electric kettle coffee hot chocolate great warm end cold day . bed comfortable . downside room amenity tv service limit , 10 - 15 channel ( be go want stay inside watch tv awesome city London still , turn , would nice little choice ) , room , shower head mess ton water fall ability adjust . work though person able take shower without problem . light burn room though fill repair card leave door , never fix week long stay . also notice laptop use find last vistied site Facebook lead think housekeeping use internet connection room send e - mail pal Facebook not use service . four thing can not give hotel five rating rather four rating give . front desk staff always quick help take care business perfectly , help cash cheque , get request rollaway friend mine stay two night correct reminder . the gym terrific . Becuase 's hotel gym local membership club , equiipment size place outstanding , facility steamroom sauna . 's also lap pool . use free guest . whirlpool look nice lack force jet 101 104 degree , not much use . afternoon tea terrific view Parliament window , one good London , worth price , still lot less would pay Savoy Ritz tea . meal outside hotel . example , standard breakfast room service would $ 40 yet across street 's Bagel Street get great latte bagel trimming $ 10- $ 11 . yes , be still lot two item like US city be talk London -- city New York price tough exchange rate dollar . , suggest head across bagel place b - fast three block away Waterloo Station b - fast place . also coffee place across Westminster Bridge right across St. Stephen 's Tower ( Big Ben ) beyond Whitehall 's Red Lion Pub serve breakfast terrific place beer downstairs pub dinner upstairs dining room . place ' ve mention within 5 - 10 minute walk Marriott . 's reason pay top dollar something like b - fast hotel . 's even McDonalds right hotel seem waste London eat McDonalds . food tip offer eat pub city , head indian pasta place well sandwich place . though hotel might really expensive ( worth terrific location , comfort , service ) , transit pass less expensive place eat , 's reason can not stay luxury yet break bank come transportation food . great location hotel , within short walking distance major site , be three block mention Waterloo Station . Charing Cross Station 15 minute walk . put train station day trip possibilitie Hampton Court , Canterbury , Windsor within short walk hotel . addition Parliament bridge , walk east river short distance , 's bridget take Charing Cross , Trafalgar Square , Covent Garden 10 - 15 minute walk hotel great view . London Eye right outside . housekeeping make door shut noise morning not plan sleep much past 8 9 am hotel . work tour hang friend . hotel show willing go extra mile guest brine choral group several night sing Christmas carol tree lobby . also serve hot mulled wine cookie . one night US Marine lose leg Iraq wife join we sit listen group sing . special part trip would possible without hotel spending money time enhance stay . though be big hundred room long hallway , place european feel not think be go get London experience becauuse 's Marriott . 's dark wood european touch place . frequent Marriott stayer , find combination european charm Marriott dependability great combination . highly recommend hotel visit London . 's worth extra money like say , get transit pass take advantage diversity food choice city hopefully able eoconomize elsewhere expensive incredible city . else step outside hotel hear bong Big Ben ? home base London . 
 Jan 18 2008 	 WAy much $ $ $ 	 two main thing stay lead poor review . first compare Marriott hotel & quot ; 7 & quot ; category , one near nice $ 500 + night .... be terribly disappointing . second every time need something hotel really annoying experience . right renovate front hotel . consider stay here- far read review- take note renovation cause major inconvenience , make hotel hard first arrive ( familiar area ) , make long walk get room every time go . , would check see renovation complete shell $ 500 + night . I arrive late ( midnight ) Saturday night . get Waterloo stop walk front hotel . front entrance close one single sign point visitor alternate entrance . literally wander around 10 minute finally ask people street . fortunately , stay hotel agree impossible find- pointed alternate entrance , block away . alternate entrance , come look like office building lobby . , sign point actual hotel- one direct . luckily , run people tell take elevator floor would sign . went- spare detail wander around ... will say walk hallway , living room look area , another hallway , finally land lobby check in- actually another guest walk lobby ... go wrong way twice , even already know was- trust 's quite confusing . course one check wait 10 minute someone come . check , go room sixth floor . elevator- like five minute walk room- seriously think like close 1/4 mile hallway ( okay maybe slight exaggeration .... long walk ) . get room- order room service , seem fine although hour still bring pasta dinner menu . go room , notice pretty detailed instruction fire alarm back door . think bit odd much detail- hear type alarm- hear type , etc . well fire alarm go twice five day stay , long think odd since clearly recur problem . small annoying thing : staff not friendly- not major problem , five start hotel $ 500 + .... expect little proactive friendliness warm welcome . tv get channel tiny ( nothing like new flat screen put US ) , not really option movie . hotel call taxi ahead time always go , find doorman , wait ten minute run block road chase one . twice order bottle wine room not bring function bottle opener . pasta order room okay ( ask penne tomato sauce ) , eat restaurant ( chicken sandwich fry ) one bad meal ' ve ever life . annoy all- 10 minute walk alternate entrance hotel room require take two elevator .... first day go outside realize probably bring glove colder expect , way go way back room come way back down- would 20 min . late work ... positive : room really nice large . hotel great location walk site . problem definitely rooms- 's hotel experience hotel not anywhere near 5 star . stay Courtyard Marriott NY time .... would pick hotel every time . 
 Jan 7 2008 	 nowhere near 5 * service quality - disappointing 	 husband recently spend 1 night friend hotel . arrive disappointing straight forward renovation work ongoing main entrance schlep round side entrance make way Reception . room ok , nothing complain , bed excellent Marriott bed linen ! group use hotel bed night firm 's Christmas party , decide glass champagne get taxis venue . 6 we . order one bottle - waiter look incredulous announce would get 6 glass one bottle order two . disagree order one . honestly sneered walk away . Needless say 6 glass bit . return later evening want drink Library cleaner . waiter however accomodate us persuasion helpful . overall , excellent customer service , feel though staff favour . would expect 5 * hotel . 
