pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Jul 30 2009 	 enjoyable stay 	 book trip Thomas Cook acting agent superbreak . £ 99 ( incl rail ) 2 night b & amp ; b daughter 's birthday . arrive tell get english breakfast first night 3 course dinner include not original booking . reception staff ok quite sullen . go Pavilion Restaurant dinner - horrible , not go . glad not pay . roast beef , quite nice , veg nice . choice veg potate ( pea , carrot , broad bean mix together ) boil potato . person serve slopped plate . daughter fish chip . triangular shape fish freezer , even fresh . get deal try one restaurant choice . breakfast something else . self service ok , not case ' where shall sit ' ' where sit . ' absolutely heave . get breakfast separately go together someone would taken table . staff not look interested . queue 15 min day get english breakfast . food quite nice get . lady till quite fierce guest not get breakfast pass card . room 6th floor back hotel . ok , quiet room away road , could still quite noisy guest come go , fortunately hour night experience . hotel excellent location despite , would stay know expect . whether would recommend friend etc , ' m sure . 
 Jul 24 2009 	 noisy hotel terrible breakfast 	 location good . alas ! noise terrible . breakfastroom noise enormous , top play music nobody could hear - contributet sound level ... always difficult find table . service also poor especially reception - desk breakfast room - staff take interest customer ( exeption room - maid , least smile say goodmorning . ) group youngster stay n hotel noisy inconsiderate . luckily get room quieter part hotel . room clean seem , corridor terrible . in breakfast room lady shoutet every day : & quot ; will pay ! will pay ! & quot ; choose english breakfast ... not worry - will pay ! sign tell price ! bar small big hotel - bartender nice enough though ! stay 7 night ( pre - pay ) - definately come back hotel , never recommend anyone . it be pity lokation good . 
 Jul 23 2009 	 good value money 	 tourist hotel . well locate , near Russel Square Tube stn ( almost 1 hour Heathrow airport ) . 20 minute walk distance Leicester Square . plenty bus route nearby hotel . 
 Jul 23 2009 	 update room 7th floor ( good room flat screen ) : switch possible ! ! 	 spend week Royal National ( July 15th-22nd ) . first room hrrible , much like student dorm . filthy wall , carpet , tiny bathroom . could not imagine spending night . switch next day room 5th room & amp ; th floor . seem 7301 -- 20 be improve : newly renovate , clean modern bathroom , pot light bed , new carpet , flat screen T.V . yes , room small well . drawback T.V . erratic room small sit relax . hotel full noisy school kid probably cheap be go find area . 
 Jul 21 2009 	 brilliant value money 	 stay royal national hotel begin july book thomas cook get 2 night £ 99 . think brilliant , get hotel find upgrade full english breakfast instead continental get free meal first night add bonus . deal stay 2 night get voucher eat choice 5 resturant free . go indian call popadom express nice free . the room spacious enough clean staff especially woman breakfast friendly ! location fab minute walk russel sq tube station picadilly line take direct thing . king cross also 1 stop away 10 min walk . hang hotel need double glaze window face main street fairly noisey not upset stay . overall great trip would recomend . 
 Jul 16 2009 	 noisy hotel visit 	 location fine , close Russell Square Underground Station . the room little clean - outdate place hotel . warning ( 1 ) : full school child - noisy - mostly Italy . warning ( 2 ) : breakfast ( self service ) fight place much noise . breakfast african style : toast jam ; tea ( add four time water one time milk one tea ) ; . warning ( 3 ) : street noise unbelievable night long ! nothing bad staff come along , come back hotel ! ! ! ! 
 Jul 16 2009 	 Budget class hotel 	 go sleep shower , not want spend much ability , ok hotel . nothing great , somewhat run clean , close underground , close British Museum , generally pretty convenient location . although ton food option nearby several tube make easy reach many . staff point nice little pub right street love . the neighborhood safe . another woman walk around impunity night feel perfectly comfortable . breakfast hotel ok . eat start pick little cafe across street . 
 Jul 13 2009 	 light sleeper 	 room adequate short stay . light sleeper noisy night long . 
 Jul 9 2009 	 bad simple 	 find hotel quite basic . first impression 's massive hotel reception / lobby area arguably attractive , bar reasonably price open quite late , make good use . room basic , large , wallpaper need change bathroom update . hotel window open busy street , London something would expect . problem throughout night however child / young adult run around make noise hour morning , lady next door blame we ! hotel allow we keep bag day checkout small charge good , even well fact forgot charge we ! breakfast buffet style include cereal etc , typical english breakfast include , could buy extra £ 7.50 supplement , bit expensive like especially since sit god know long ! overall hotel not bad , would recommend people budget , especially university student visit 4 designer talk . 
 Jul 9 2009 	 giant youth hostel 	 Hotel / Hostel pit 's dirty , extremely noisy staff give stuff . on first full day complain noise , teenager shout room window 's one another across inner quadrangle . first morning breakfast total nightmare tray 's massive queue seating take . Staff go complain treat like there . english breakfst cold apart warm sausage , toast still white , disgusting tea coffee . we venture last day , truly awful . like Butlins 50 's see T.V . go tired go elsewherethe room dirty dusty , floor vaccume properly stain carpet . we 68 south american teenage girl arrive floor second last day Hol 's noise arrive horrendous . but get bad , go first night come back 2.00am bang door shout , run corridor . they decide party room right opposite continue bang door , tell quiet apologise . ten minute later start again . I phone concierge send guy , point door knock & quot ; tell quiet left , 15 minute later back start again . he tell complaint say sorry left , come back 3.30am , noise stop apart bang door . it 4.30am 0r 5.30am time get back sleep . next morning complain manager come see we give we compaint form fill in . I aske Chapperones teenager say side Hotel , well away noise . I ask could keep room catch sleep say hotel fully book . he say would £ 46 could stay till 5.00pm , fully book ! change mind . so ask good gesture we keep awake , say would stil £ 46 , choice wife shatter . when look complaint form ask thought room clean . so tell truth say list reason's . we go back room staff finish floor make bed' . this 1.00pm lie bed 's dose awoken loud bang door . answer rusian head housekeeper shouting & quot ; compalin , complain dirty room , show stain carpet dirty wall . she shout 's head man phone happy . so bring room show , happy annoy proved point . she indian lady , assume one suppose clean room . ask leave try catch sleep give filthy look go . we eventually doze around 2.30pm awoken bang door answer african woman Indian lady she . she shout complain want see room .I tell russian Housekeeper already see room , still shout tell go away come back gone . just corner eye notice russian Housekeeper stand watch go see noticed step back , try hide . how pathetic deliberatley bring african woman wake we , reason already see room . childish pathetic staff Hotel / hostel treat people complain . I recieve snotty kurt letter hotel Managment say one happen tell look website see not . I recieve letter Superbreak book trip less say take side staff send voucher £ 20 want book another trip . they chance win Lottery get book another trip stay Hotel / Hostel . she also say website cater large school party tell could see look still cannotSO beware FLEA PIT HIGHEST CALIBRE 
 Jul 5 2009 	 not ! 	 bad shabby . Room obviously not hoover . 3 4 pillowcase stain 2 stank . Room face onto courtyard impossibly noisy night . aware clearly hotel connection youth tour market - Contiki etc . expect hoard screech teenager 20 - something . spend £ 15 night clean , comfortable hotel . 's worth . never . 
 Jul 4 2009 	 Royal 	 impressed Royal National Hotel . first , travel agent , book stay two night tour . confirm pay , however , flight change instead arrive 2 pm Sunday arrive 6 am . have already pay two night agent let hotel know would arrive approximately 7 am Monday would like go room time [ hey , have pay night - right use . get , 23 hour fly , mention custom , stopover hour tube , arrive , pull voucher book rudely tell go contiki basement - open nine . so lug case backpack horrible narrow stair wait freeze cold 9 am , tell contiki staff check0 in upstairs [ complaint staff - not fault send they . so back hotel counter , , staff rude , tell check - in 2pm . I explain multiple time , number different people situation - try polite jet - lag , headache already wait 2 hour fob first time . even show voucher prove have pay two night work . eventually manager sort let check . send concierge desk across foyer collect key [ card ] . argue check - in time , man tell could not key 2 pm . eventually though , get key . ask get room , concierge rudely wave direction , later find complete opposite room . proper direction lift etc . boy room hard find - room number not go sensible order . finally , get room already someone - get pay twin room might share someone stage - check staff inform indeed someone room already . room ok sleeping , place would want spend time in . all know convenient place stay contiki people , 70 pound / night absolutely worth . would never stay , would recommend friend . I really think 14pound / night backpacker road far well - go basement shower . 
 Jul 2 2009 	 get pay 	 friend stay May hotel . arrive early check . walk front desk , check give key room . service great . able grab couple hour sleep head walk thorough London evening fly in . the room clean . hotel obviously well occupy therefore room well use due high turnover guest . side opposite university street noisy . floor quiet . free breakfast consist cereal , toast , jam , butter , coffee ; sufficient get we morning heavy touring . FABULOUS LOCATION especially price . within couple block British Museum . walk way Parliament Square . also , Underground ( Russell Square ) around corner . straight ride Heathrow . 
 Jun 30 2009 	 afraid go read early review ok 	 reading guest write hotel . didn´t afraid . compare standard hotell Sweden , ok . of course hotell time - stained . sleep it´s ok . also take break coffea tea . lie nap London . traffic noisy police car ambulance , think ever London . tip , bring earplug . what early guest write fire - alarm . didn´t hear . 26 - 29 june . live south building . fenster Woburn place . the breakfast ok . Orange apple juice . toast white fiber , bread . three kind cereal müsli lot nuts . Marmelade . peel Orange grapefruit . course coffea tea . need morning . english breakfast could pay extra unhealthy . clean room , bed , toilett . also check bedbug another guest writing , bed . the good walk distance lot London place . camden market , Thames , Oxford street , Soho , etc .... also nice pub near cheap food . good shop front Russel square subway station , buy drink fruit . 
 Jun 29 2009 	 great location . pity noisy . 	 room inner quadrangle . noisy . 
 Jun 28 2009 	 Decent enough 	 job . room small sheet uncomfortable . toilet lock door . Shower leak . rusty tap . food okay . breakfast utterly repulsive . eat form vending machine . three people tour group become ill due dinner food . experience dinner okay outstanding . price horrendous . wall thin . okay experience stay two night . would wish stay minute long . 
 Jun 27 2009 	 cheap hotel get pay .. 	 cheap hotel heart London . say , like massive hostel , noisy pub first floor - not expect get sleep room face interior area , ask change room second night without sleep . see similar case guest . fire alarm sound every night 2 4AM . room shabby smell like someone smoke inside , not feel clean . breakfast large cafeteria , feel like be back high school . finally cancel remain day find nice place around Russel Sq . 
 Jun 22 2009 	 horrible room 	 Booked hotel Agents recommendation . within budget 100 pound night . picture website look good , hotel shabby . like large hostel rather hotel . room filthy . unimaginable one pay 100 pound night get room like this . do note , do not mean dirty - fix one cleaning - ' m talk look & amp ; feel room . real bad ! check horrible well ! - place probably option budget traveller want hotel central london , disappointing website misleading . 
 Jun 19 2009 	 say tin 	 stay 2 day mini break . hotel base us time . do not expect 5 * hotel be not ! , ok . lot big group massive hotel . breakfast basic - bit like school cafeteria ! bother first day . hotel clean , check swift cheap little bar attach outdoor section smoker fab . do not expect world pleased hotel . 
 Jun 18 2009 	 great Stay . 	 hotel great trip , travel group 8 girl , 2 teenager ( 14 + 16 ) three 20 's , rest 30 's 40 's . hotel staff extremely helpful not get frustrated ask new key card almost every night , lock inside ! hotel clean close attraction . hotel provide information bus tour great experiance take we tour London 's West end sight . include Harrods , Harvey Nichols amazing , go visit London . London Eye good experience girl find bit daunt high ! go see dirty Dancing London , something never forget . see story stage amazing . 's great watch . I hope good holiday : - ) x 
 Jun 17 2009 	 Great Location ! ! ! ! 	 We´ve London Royal National . location perfect , two block Russel Square tube station . small market across street could find food , water , wine even eletric adaptor . the room clean , shower good , thing miss minibar safety box . matress fine , good , ok day hard walking . the breakfast good option . there travelex lobby change money rent deposit box . free Internet access lobby . after ... like lot recommend ! ! ! ! ! 
 Jun 16 2009 	 good base London long weekend 	 brother 's spring break coincide flight / hotel sale British Airways , decide bring mom check London . choose Royal National mainly base price ( air / hotel less $ 500pp , could not picky ) , although location also favorable , around corner ( 7 minute walk ) Russell Square tube station . also pay parking garage next hotel . the hotel enormous , many many tour group ( include many european adolescent holiday ) . check take . give basic triple - three twin bed . also desk closet . also electric kettle , good tea midnight snack raman . first enter room , stuffy hot . call front desk send someone show we adjust heat ( basically turn radiatior ) open window . bathroom plain ( white ) importantly clean . continental breakfast , serve PACKED dining hall , free ( limp toast , jam , butter , fruit , cold cereal , milk , coffee , tea ) . also english breakfast ( cafeteria style ) available extra fee ( 4 pound think ) . continental breakfast first morning , opted go pub get fresh , make order english breakfast . overall , Royal National suit need . frill , provide service average tourist would want : bed , clean bathroom , light breakfast . think possibly business model , run efficient way cater large number people . result , hotel noisy time , light sleeper , may place . would recommend hotel people budget will not spend time room except sleep . 
 Jun 16 2009 	 like ! = ) 	 HiI like hotel . course not 5 star hotel , go London want place sleep eat breakfast , place relax . the breakfast not bad , toast , juice , milk lot thing ... location perfect , walk 5 minute near metro bus stop ... think fine ... 
 Jun 13 2009 	 Clean Good Value Good Location 	 always think write review good experience particular hotel often bad outway good . arrive early hotel problem check . nervous reading review not worried . stay triple room clean huge spend holiday room ? breakfast lovely deal free meal first night . choose Popadom plesantly surprised . staff speak helpful wiater morning even though busy always smile . nothing complain great time . great location bus stop right outside luckily tube station shut strike . 
 Jun 11 2009 	 good value money 	 welcome bang , mideastern man reception waiting area steal hanbag lie near mom foot . get quite shoch , go run police station quite close fortunately . locate bag abandon due much use , hearty meal pasta joint near police station , head back check . hotel comfortable , though minimalistic . room 3 quite large , cosy , bathroom clean . well locate near 2 tube , remember walk Oxford street couple time . also good tourist bus big bus stop right outside hotel . great value money . 
 Jun 10 2009 	 cheap convenient 	 stay Royal National Hotel London month June 2007 business trip . first trip overseas ever excite prospect work able explore London summer . the Royal National Hotel cheap 3 - star hotel could find central need . hotel cater tour group backpacker mainly , way business hotel . room clean , small bare necessity , greatful . service , however , always good , term message delay get . great thing hotel though central place , thus convenient . like British Museum round corner , Russell Square Tube station across road lot eatery place around . be mood walk madame tussard , british Library even shop district oxford street regent street 15 - 20 min walk away . also lot tour pick directly hotel , box purchase tour theatre ticket . go hotel expect luxury opulence . mean people use place sleep , much else . 
 Jun 8 2009 	 good average tourist 	 truly terrify stay hotel reading review , even go far try change booking , due fee change reservation itravel2000 , end . luckily , turn okay happy end save money stay there . I stay hotel mom week sightseeing around UK . like we plan spend minimal amount time hotel room fine hotel . generally start day around 8 am get back around 9 10 pm . food : eat breakfast offer free , instead buy coffee croissant London Coffee , cafe onsight - cost we next nothing much less crowded . dinner , eat Pub onsight good fish n ' chip , take 1 min walk Brunswick centre plenty shop restaurant - recommend chocolate store ! room : small north american standard , be North America probably pay much many people stay London . bed fine , will probably pass walk around much anyway . bathroom keep clean daily shower great lot pressure . location : great ! sightseeing tour bus stop ( although , would recommend get tube map make way around , much enjoyable stand around London wait tour bus day - cheap ! ) . British Museum , British Library , King 's Cross Covent Garden short walk away . also 3 min walk tube station . anyhow , think find hotel good value , assume expect kind luxury basic , meet need sightseeing tourist . 
 Jun 5 2009 	 great location high cost 	 agree location , trully central around many place eat buy essential . service hand terrible , rudeness everywhere , reception , concierge , bar ( south building ) exception seem lady housekeeping . after spend 8hour fly Atlantic Miami arrive early 10 am eventhough communicate early arrive room available past 2 pm , wait lobby 4 hour , one young man appear kind , rest know courtesy mean . hallway really noisy group leave every morning , think much money , honestly expect nothing fancy least decent . 
 Jun 5 2009 	 average hotel good price 	 agency book hotel reasonable price therefore chance stay London whole week . London great town , end hotel sleep breakfast say : - enormous number rooms- UK highschool stay not hear night , therefore ok- room - nice , clean , ok bed , bathroom fine shower removable , & quot ; sticked & quot ; wall- wall - thick therefore hear neighbour snore : - ) - Breakfast - continental self service- ok , much choose ok . , plate put everything take food horrible , old really , really nice.- stuff - politethe location hotel good , really quiet hand , 15 minute foot Oxford street . Metro near , bus line around hotel ... altogether good price . 
 Jun 4 2009 	 horrible . 	 good price ? okay location ? yeah everything else horrible . bed not clean ' m sure bed bug , room size janitor cupboard . light keep flicker bathroom even small janitor cupboard shower not even work . could actually talk person next room ease wall thin actually think could talk people room across want . breakfast horrible buy breakfast vend machine downstairs . 
 Jun 3 2009 	 Horrible 	 centrally locate - also positive thing hotel . breakfast ; feel & quot ; serve & quot ; pig . one single smile staff , terrible food . security : difficult find emergency exit , information room , feel nervous . fire door close night , opening ( 2 cm ) would keep fire , oposite probably . door room - light come night - probably lot smoke case fire . noice mainstreet outside make impossible sleep . old daughter itch every morning lay bed . could som kind og flea ? next time London spend money hotel - get good night sleep safe cosy enviroment . awful . 
 May 30 2009 	 big service ! 	 Royal National massive hotel . hence main problem - unsympatethic , unpersonalised service staff seem busy care . apart frustrate two hour spend check - in reservation could find ( despite voucher hotel stay ) , reception staff even willing allow put luggage luggage room till problem sort travel agency , room adequate , average - sized bathroom . however , bed castor wheel confidence - inspire say least ! definitely honeymooner ! pay upgrade english breakfast . beware - good , buffet - style , allow go second help ! money , would stay Tavistock , run company area , much friendly staff much well attitude ! 
 May 29 2009 	 School Trip 	 room unbelievably horrific . mattress painful ever room general tiny , cluttered , smell , generally nasty . be loud . want amount consistent quiet sleep stay different hotel . maid friendly prompt service terrible . act like 's burden assist something small making change . may cheap be well either stay genuine hostel pay bit DOZENS hotel immediate area . 
 May 28 2009 	 busy Noisy awful Breakfast positive location price ! ! 	 stay 2 night , return home rest . travel Mother 2 son share family room . bed past sell - by - date , bumpy uncomfortable . woke morning bite back . look mattress incase see bed bug ! ! ! 2nd floor noise traffic outside unbearable blanked mind noise corridor outside highlight . several large group stay hotel , constant coach outside reception . breakfast another experience ...... queue cook breakfast , vegetarian option ; orange juice offer , toast like sponge , choice four cereal , orange grapefruit segment . tea grey tasteless , coffee . queue breakfast guarantee seat , especially four we , difficult 10yr 12 yr old ! honest account try include useful info . worth think pay well accommodation . look forward bed tonight wake tomorrow bug bite ! ! ! 
 may 26 2009 	 do not snob 	 terrible review dread hotel . yes need update yes little tired ugly outside nothing wrong wrih hotel.breakfast busy nothing wrong it.the location superb.1 tube stop king cross 2 3 stop leicester square covent garden etc etc . pub attach hotel reasonable price price pay £ 99 2 night include train fare good value.most poeple moaning must snob , let face much time spend hotel room.very claean sheet towel that s need 
 May 24 2009 	 good valuegood locationgood transport link . 	 ignore bad review ... fair . staff pleasant & amp ; helpful . room date clean . pro : good value money , especially ' deal ' . good location , handy mainline station , Euston , St Pancras & amp ; king X within easy case - tow distance . well place frequent bus tube centre . con : Noise ! ! hotel build 7floor high round 100x100 ft courtyard . area include sitouterie ' London Pub ' remain noisy til late , & amp ; busy city , traffic siren continue 24/7 ! exacerbate need leave window open room warm , even May , & amp ; air - conditioning . breakfast ... wee bit chaotic ! 9 bad time arrive , queue 60 other 2nd day gain entry , ' english Breakfast ' queue within backing ! seat reminiscent holiday camp school meal youth ! ! voucher full E.B . well find seat get serial & amp ; juice first , go cooked ( quite good ) bacon , sausage , egg , tomato toast etc .. first day try tea , can not recommend ... stick fruit juice ! 
 May 19 2009 	 people never satisfied ! 	 believe late review hotel , people expect money pay.i stay hotel twice last 4 month time problem . room slightly date clean tidy , andhouskeepe visit every day . unlike previous american visitor find smell stale beer ans say staff untidely dress beyond comprehension , desk , bar restaurant staff immaculate clean white shirt waiscoat tie . agree foyer could bit busy time big hotel , can not check time ! breakfast dining could bit busy time much problem food fine . would hesitate return hotel central , good base . would seem usual people expect pay budget price stay Ritz . way life get pay . 
 May 18 2009 	 Adequate good 	 stay night since British Airways promotion free night hotel . certainly would pay stay hotel . 's frill adequate . 's centrally locate clean , decor grim amenity like toiletry hair dryer . breakfast free like rest hotel , adequate . 
 May 18 2009 	 Noisy fill school group 	 incredible hotel sport four star ! staff front desk friendly enough . room clean small decoration date . bathroom clean nice . however bad part hotel noise hallway . many , many schoolgroup huge hotel notice ! People come four night ; wall thin hear every word speak hallway door slam deep night . we single good night sleep hotel move another hotel three day . would recommend ! 
 May 13 2009 	 less desirable experience 	 London first three city tour . extremely disappointed see hotel first time . tell fellow traveler avoid breakfast , partake dinner . horrible . room small , adequate price . third day city , small , itchy bump begin appear . return States , informed bite Bed Bugs . 50 bite , ten thumb . advise stay hotel , check bed insect move luggage . stay risk ! 
 May 12 2009 	 bad Hotel ' ve ever . 	 might stench stale beer walk , large , poorly dress staff , may cavernous layout massive hotel 300 room per floor might sour mood . walk two bedroom look nothing like advert , notice stiff board bed , heater refuse shut , stain bathroom . despite 2 night free , prepaid 2 extra night $ 140 per night . even average cost 4 night , could bring stay even single night . Luckily Hotel Russell block away . 
 may 12 2009 	 Fantastic Base - Central London 	 want weekend away half relax pamper ... unfortunately pay £ 150 - £ 200 night . London mention dis - illusione traveller . want cheap - come North ! firstly , stay ( 6 us 4 20 's 2 50 's ) 2 night central London family weekend visit . need cheap base get hotel £ 103 including return train Newcastle free meal first night . secondly - Fantastic - Covent Garden - 5 min foot , Oxford Street - 5 min foot ask ? yes 's bit date price paying ! ! hotel bring 1600 room 2009 would cost million therefore tariff would go complainer website would not able afford accomodation . get pay London - clean adequate room almost free beyond expectation . thirdly - book place ! go Superbreak / Thomson rail deal ! enjoy London - hotel ! ! ! 
 may 12 2009 	 nearly bad expect 	 read review Royal National trip not high expectation hotel . ' m going go far say 's good hotel not nearly bad expect . I travel group colleague - 14 altogether - arrive Royal National Sunday afternoon time big group spanish high school ( ? ) kid . remember reviews complaint noise kid run around , initial thought ' oh ! ' . first night , though , not worry noise anymore . roommate get room inner courtyard side prove & quot ; well & quot ; side hotel . almost everybody else group get room street side tell street noise really bad car speed siren howl night long . room hand really quiet peaceful whole three night wer stay hotel . the room typical low budget hotel room . nothing special clean bed okay . one lamp not light warm water sink tap arrive tell problem cleaning lady , quickly sort out . the & quot ; continental & quot ; breakfast hotel - well , really bad . mostly eat toast butter jam since not much else eat . tea strong bitter mix half cup hot water four stick sugar able drink ... location hotel excellent . British Museum around corner example Covent Garden Oxford Street within walking distance . bus stop right front hotel underground station couple hundred meter away . I probably would not choose hotel travel London long stay short trip good enough . 
 may 11 2009 	 get pay 	 return weekend London 2 friend - lady 50 . read reviews Royal National , bit concerned find triple room clean quite spacious , good value pay , staff helpful friendly . rang request extra towel , rubber bath mat tea / coffee pack deliver we within 2 minute - absolutely amazed ! yes , bit & quot ; school canteen - ish & quot ; place noisy traffic siren , London anyway . lovely weekend know exepct , say would stay . would recommend friend - proviso fairly basic good value - Ritz be not ! ! 
 May 4 2009 	 think carefully book .... 	 go group 9 lady ( aged 50 + ) annual weekend trip away . cost hotel 2 night ( B & amp ; b plus meal first night ) rail travel Newcastle amazing £ 101 .... 's massive hotel cater school trip reception area like king Cross station day night ! ! three we big room , cold , noisy siren nearby hospital bathroom facility fine bed clean need urgent refurbishment . go breakfast - like busy school self service canteen tea yuk ! ! not bother . location good would not recommend anyone book hotel unless want roof head stay city . 
 May 3 2009 	 want youth hostel experience 	 bad hotel experience life . definitely agree youth hostel grade another reviewer . big , noisy , soul - less hotel room not upgrade 40 year . well way London budget . 
 Apr 30 2009 	 barebone ok price 	 British Airways free night promotion favorable exchange rate , cost $ 80 per night . price , hotel fully acceptable . the hotel must big London number arrival departure per day hundred . many appear school group . maybe age ( 60 's ) , wife put ' quiet ' section hotel indeed except one night quiet . get frill - three towel , none little bottle bathroom stuff , minimal decoration forth . however room clean plumbing functional . volume business , would say hotel well run . however next time believe try go little high scale stay area convenient everything either foot , tube , bus . picadilly line two short block front door run directly Heathrow $ 7 . furthermore Russell Square station 20 stair train platform elevator luggage handle airport hotel problem . 
 Apr 28 2009 	 close clean budget price 	 close 10 minute walk center british museum next door . clean twin newly refurbish , still 60ties style . price £ 92.backlash Breakfast crowd shool like . neigborhood local traffic quite silent . hotel choice sleep ( breakfast eat ) 
 Apr 27 2009 	 enjoyable stay Royal national 	 bean read bad revue hotel bean getting spend two night fault room clean towel change daily find English breakfast fine massive Hotel think staff good job consider amount people world pass door day lot youngster hear noise night stay . 
 Apr 27 2009 	 decent budget hotel 	 stop Royal National 1 night . 4 we go London girly weekend . book hotel cheap ( £ 92 twin room ) . outside hotel look quite bland bit disappointed saw . window not look clean think curtain look bit dirty first impression outside building . we arrive hotel morning could not get room leave case concierge go London . think location hotel good . 5 minute walk Russell Square tube station go straight Covent Garden ( 2 stop away ) .when get back hotel allocate room , ask 2 room together non - smoking give . initial thought hotel quite pleasantly surprised get room . smell new carpet though re - furbish recently . 3 single bed ( one narrow ) , flat screen tv , tea coffee , hairdryer . room clean plenty towel bathroom well . plenty hot water evening morning . the hotel big 's quite easy get disorientate . go one lift behind reception desk come different lift find round corner room end different wing hotel ! ! full english breakfast serve follow morning 7 - 10 decent enough . feel bit like canteen lot long table seat 10 people suppose coach tour / scool kid stay . small table not problem . my gripe pay ( 50 penny per case ) leave case concierge day leave surly not not pay day arrive . know not sound alot 1600 room hotel 1 person every room leave case that s en extra £ 800 day ! ! would definatley stay hotel want cheap budget room . room bonus judging review think may give re - furbished room . 
 Apr 27 2009 	 Noisy ! ! ! 	 place room hundred spanish teenager supervise appropriately therefore ridiculously noisy get sleep two night make several complaint . staff become helpful we sleep deprive traveller reduce tear move we another hotel . the room small , good . hotel right near russell square , eatery tube . probably would nice stay neighbour . would recommend outside school holiday . 
 Apr 22 2009 	 youth Hostel - AVOID 	 actually advantage know getting get stay hotel , even still say little shocked bad . majority guest hotel school kid student coach holidays Europe . nothing kid - age idiot also - every night involve kid run hallway shout bang door , hang window shout around midnight , throw stuff window .... stuff would expect kid do . the room basic , small bed , fray bed - linen , scratchy towel . wall room without sound - proof ( honestly someone next door cough know ) . one good point - plenty hot water morning shower , clean enough guess . staff not give damn make sure know - avoid contact they . the bad part hotel part chain - Imperial Hotels think - sister hotel within couple block Royal National . sister hotel basic , not seem suffer full student / kid REALLY REALLY want find bad hotel cost much London heavens sake book President - low rate , location stay couple time nowhere near bad . also stay Tavistock OK.So honestly stay hotel , want something cheap admittedly good location go one Imperial Hotels - bad small chance able sleep . thinking & quot ; ah heck can not bad , good review , & quot ; god help youone final point - get free continental breakfast hotel never even think try . want try find free breakfast Hotel cheap like ' m sorry beyond redemption . everyone else head Sid 's Lambs Conduit Street - great english breakfast . and may economic downturn end soon , stop try save company money stay horrible place ! 
 Apr 22 2009 	 disgusting room bun breakfast 70 's style furnishing 	 trip 40 people , tell hotel ' 3 star ' hotel personally do not even rate ! arrive do not think stay would horrife . rarelly touch handle etc .. do not trust cleaning staff hotel . room awful , understand cheap stay think pay enough clean room . however arrive find hollow , smelly corridor eventually lead stay . bathroom actually okay apart painful shower water fly . wardroom cove wall bar go end end . do not put clothe shelf thick year dust . bed friend also bed however , third party bed painful camp bed . everything , literally , everything unclean , even telephone greasy . whole room remind 70 's , infact believe furniture 70 's ! floor would say have not vacume since hotel build ! bedsheet smell cheese , pretty moist . sleep full body cover first night wake find red spot bite . woke go crowdy queue hungry travellor breakfast , apparently idea bed breakfast small bun glass orange , full english extra £ 5 would satisfy dog rather . overall , bad accomdation ever stay . however , price cheap fine stay unhygienic place hotel . 
 Apr 20 2009 	 bad hotel experience life 	 simply : not go . room maybe bad , be clearly overprice . real problem staff , extremely unprofessional , rude , arrogant towards non - british customer . morning second day look help staff due malfunctioning room . first ignore , mock eventually insult staff ( man concierge come point calling & quot ; stupid & quot ; front people ) try make work . astonish mistreat simply could tell accent foreigner , therefore b - rate customer ( impression staff make fun non - british accent talk ) . never embarasse unpleasant experience whole life . 
