Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 Jul 28 2009 	 Great Value ! 	 stay Chancellor 4 day June , completely meet expectation . hotel old , feel part charm . staff friendly , location fantastic also impress in - house restaurant ; eat breakfast every day always satisfied fare . 
 Jul 24 2009 	 Great Location room service 	 stop first 3 night California , one good hotel stop . check quick easy , fantastic room locate one high floor overlook union square request . nice request honor many hotel even try . anniversary bottle sparkle wine photo frame think nice touch . we breakfast stair every morning , friendly great selection . can not fault . hope enjoy stay , ever return will sure book . oh one thing . hotel homely feel make sense . great 
 Jul 24 2009 	 Excellent experience 	 could fault stay Chancellor . four night , wedding anniversary . travel agent make hotel aware room bottle bubbly , chocolate , present free tram ticket lovely surprise . staff desk helpful question little bar devine cocktail ever ! not eat could not comment . room spacious city hotel certainly price . bed extremely comfortable , decor nice place always spotless . hotel fantastic location ideal base site city . come back San Fransisco , really hope , would definitely stay . fantastic experience . 
 Jul 24 2009 	 great location service room 	 stay chancellor late march fantastic hotel , perfect location close , excellent service nice room , would definately stay 
 Jul 23 2009 	 yeah say ! 	 age still remember location , room pillow menu . enjoy fresh coffee cookie lobby- great pick - I - up come clean another outing . staff memorable . nice other . overall , able fend feel slighted service . 
 Jul 23 2009 	 back ! 	 town Alcatraz Challenge . beat location - right Union Square . staff excellent . love pillow choice ! breakfast cafe - overly price well Sears restaurant next door ( be famous pancake terrible ! ) . 
 Jul 23 2009 	 great location charm hotel 	 really nice room , character , like real character - room quaint pretty , character grimy . location awesome , right Union Square , close everything , include tram would take everywhere . window soundproof enough noise outside not problem night . front desk courteous helpful , housekeeping prompt . pillow option great touch , free local phone call . good place 's price . pay around usd $ 100 per room per night . 
 Jul 22 2009 	 classy charming fulfilling ! 	 terrific location , classy , yet reasonably price . super clean , comfortable , appeal hotel joy stay . inside , simplicity , fine home - base feel , understate elegance ; outside , step directly pleasurable bustle city . hotel surprisingly quiet , give location heart action directly cable car line . handsome overhead fan entirely sufficient naturally ocean - cool city . Adjacent lobby , free coffee , cookie , tea anytime , excellent breakfast dining room friendly service . walk many prime location easily take nearby public transportation everywhere else . free access nearby health club ( weight machine lap pool ) complete virtually perfect picture . price may vary night stay ( actually pay less weekend ) . 
 Jul 13 2009 	 great place Honeymoon ! 	 stay week honeymoon WONDERFUL ! yes room small , huge closet ! plenty room luggage shopping bag accumulate . love way decorate , cheerful . never try pillow menu , 5 pillow bed arrive enough : ) room look square , beautiful night ! never take cab , walk everywhere get BART get back airport . really easy get around . planning go back one year anniversary , love ! 
 Jul 8 2009 	 two Thumbs - definitely recommend hotel 	 first time San Francisco . book hotel online , Chancellor Hotel website , select daily rate include food / beverage meal credit . book , read poor review site , not really pay much attention . first , hotel could not well location ! right Union Square , cable car go right front hotel . shopping dining everywhere . easy get Fisherman 's Warf etc . the room ( 9th floor ) exactly see photo website , right paint color . room 1 double bed . think people consider room small 1 bed , 2 bed . guess kind small , certainly uncomfortable . take cruise vacation time ( 2 3 time per year ) hotel room HUGE compare cruise cabin ! ha ha plenty room get around , be even nice desk work laptop ( also LOVE 's free WiFi - one reason select hotel begin ) lovely sit area 2 chair & amp ; small table . not hear strange noise , keep night would not even know people floor unless see elevator . I get great service front desk . think breakfast food Lougues restaurant great , although first day eat service SLOW 's busy . lobby lounge open 5 pm 930pm , not long opening hour , manage find nice lounge close enjoy dinner drink friend . I definitely recommend hotel . great value , fantastic location , clean comfortable . recommend hotel group approx 40 friend come reunion September would recommend anyone else . 
 Jul 7 2009 	 Wonderfull ! ! 	 boyfriend stay hotel begin May . amazing . room clean , bed super confortable , request high floor , noise . location marvellous . cable car stop juest front hotel . staff friendly helpfull , try help way possible . work hotel Belgium 1.5 year must say nothing bad hotel . compliment management staff . 
 Jul 5 2009 	 stay 	 search numerous hotel San Francisco decide take risk one base poor review . disappointed hotel all . we book directly hotel website find deal include secure parking in - and - out privilege . combination much cheap hotel . reception : staff exceptionally friendly problem get we room back hotel quiet . also allow park front hotel check 30 min give we minute relax check San FranciscoRoom : excellent room , modern interior spotless . location : union square impossible central . numerous bus tour depart 2 minute walk away hotel . parking : secure parking provide 5 minute walk away hotel . overall would highly recommend hotel approx . one third cost similar hotel area perspective could fault . 
 Jul 1 2009 	 can not go wrong 	 Hotel heart union square , Reception staff smile helpfull , find room suitable size , tiny . Allso people say wall thin could hear ajoine room , find room niceand quiet . ( room 1001 ) yes modern air - conitione unit instal , butthere huge ceiling fan effective quiet . keep room cool , temp stay high 80 . room keep clean high standard , also choice 12 differant type pillow , also room modern flat screen tv , safe , iron , table , two chair , YES bathroom small will not spend time ( ! ) yes take DUCK ! lot restaurant near hotel , breakfast go Sears next door allso go chancellors restaurant ( LUGUES ) good , also try cheesecake factory Macys breakfast , lunch , dinner good , expect 15 20 minute wait max . also reception obtain free coffee , cookie , apple , newspaper , internet . outside hotel cable car stop go fisherman walf get one say ( POWELL MASON ) cost $ 5 per person per oneway trip , get three day pass fom inside hotel ( TOUR DESK ) could fault reasonable price hotel would happy return somedaythank tom . 
 Jul 1 2009 	 Great Location ! 	 review hotel pretty much good ..... needless say not disappoint actual stay . hotel right Union Square opposite Macy 's . bit noisy night ( actually one top floor room well ) , want great spot go explore - 's price pay ! ! room & amp ; hotel clean , ideal 2 not stay . would definitely recommend hotel planning stay San Fran ! free WI - FI throw ! 
 Jun 29 2009 	 Exceptional Quality Value 	 Chancellor Hotel exceed expectation moment arrive leave two day later . staff well train , friendly , helpful efficient care people . room beautifully decorate immaculate . comfortable spacious ! up - grade we & quot ; Helen 's Suite & quot ; , maybe room not ready arrive ? furnishing lovely fine quality fifteenth floor . the staff helpful suggestion lunch dinner transportation location thing want see . eat breakfast hotel restaurant morning service food wonderful , keep hotel . also drink bar also positive experience . we SanFrancisco several time Chancellor place stay future ! ! first time last . highly reccomend hotel ! ! 
 Jun 29 2009 	 really nice stay 	 stay weekend hotel , really enjoy . location right Union Square beat , service receive fantastic . room extremely small , decor appointment really nice . housekeeping leave everything spotless . request quiet room , get high floor toward back hotel . keep street noise enough sleep window open not bother we bit . stay several boutique hotel San Francisco , say one nice absolutely , probably represent good value money know . book include parking package ( worth $ 30 + per day s.f . ) think room rate fair even without extra perk . real disappointment quality room service breakfast , terrible great either . probably will not able return not accommodate kid , happen make without child certainly consider hotel . 
 Jun 28 2009 	 Nice stay Chancellor 	 stay one night drive San Francisco . hotel locate nice spot see city , near BART cable car far Union Square . could actually see Christmas tree erect Union Square room . check little difficult hotel valet parking real rope area wait , double park Powell staff race unload luggage . staff friendly helpful also retrieve car . room clean , although extremely small . hotel many room per floor feel little claustrophobic . appreciate art deco - influence styling . bathroom little worn large notice run tub one present . tell japanese businessman cause flood . ' ve stay quite SF hotel live area . would consider Chancellor , feel Top Ten Tripadvisor rating bit high . book $ 120 per night tremendous value , would rate 3 star overall compare hotel SF quality SF hotel overall fairly high . 
 Jun 25 2009 	 great hotel great location complaint . 	 love little hotel middle everything . cable car run right outside front door love leave window open hearing bell go . wonderful location shopping district lot nearby restaurant love ( especially Kuleto 's ) . love decor rooms- modern , clean , serene . would definitely stay . 
 Jun 25 2009 	 SPOT 	 4 week road trip sunshine heat . it veryyyyyyy cold SF . stay last 3 night memorial weekend Chancellor . make right choice , find hotel easily direction give . soon pull , bellman get bag . reception staff pleasant proficent . book park , room dine package paperwork one envelope give we explain we . also couple 2 1drinks coupen bar great start . take car garage Sutter ( two minute ) good direction , booking ask high , quiet room.and that s get floor 11 face back . hence trouble sleep . use $ 25 per day breakfast LUQUES excellent . Room WES keep tell we all . Bathroom WES keep tell we all . staff WES keep tell we all . Special mention chamber maid Sue . wife like someone take pride job . one thing miss reading review . know could take duck home . will back next year he . thank chancellor 
 Jun 21 2009 	 would stay 	 location Chancellor great , right Union Square 3 - 4 block Market Street Bart station . first impression room bite small side , quickly get use . walk - in closet , never hear neighbor staff helpful . 's Starbucks across street Walgreen 's corner . 's walkable Fisherman 's Wharf ( 30 - 40 minute ) interested walk city . 
 Jun 20 2009 	 lot charm 	 lovely hotel lot character . room small expect not spend much time sleep . ask quiet room get back location peaceful . unfortunately neighbour quiet wall thin . cookie coffee reception appreciate ! reception staff polite helpful . got great deal travel ticker - $ 99 night $ 25 credit food drink . not even spend leave ! 
 Jun 17 2009 	 ` ` find '' . 	 complete ' Road trip ' West Coast California Nevada time stay 8 different hotel , good , good , leave view chancellor.l repeat numerous other go detail location etc . Stayed Chancellor 3 night early June 09 think good value money , make even well purchase parking deal garage Sutter Street , ( less 150 - 200 yard away ) .The hotel small friendly , well run maintain , keep spotlessly clean , complaint l could bathroom tiny adequate need . I stay 3rd floor ( room 304 ) exterior view enclose yard emergency stairwell therefore cause problem like previous contributor & quot ; disappointed & quot ; l go far say l sleep like baby.l previously stay city pay far lessor accomodation 7th Street locate South Market Street , fair walk centre thing . all l would say well do staff Chancellor l would recommend hotel everyone l know . hotel tick box I . the Chancellor 3 - 3.5 * hotel 5 * want 5 * treatment go somewhere else pay . opinion look far wide find well hotel , well location , well value , San Francisco similar * * * hotel . find one please let know l go back ' City Bay ' l know already l ' m stay . l come say ' do pay Lemonade expect drink Champagne ' , l would say Chancellor good sparkle wine . 
 Jun 16 2009 	 can not beat location 	 location hotel really second none , right Union Square main square shopping nice resturant . hotel nice building nice bar free coffee reception . room clean large bed room free Wifi . bathroom bite small shower function properly ( still job ) . staff really helpful friendly . finally , rate charge , hotel highly recommend one go SF budget . 
 Jun 15 2009 	 Disappointed 	 book hotel read review website - disappoint room hotel service . disadvantagesthe main problem husband noise . directly outside window ( 3rd floor ) air - conditioning / water unit adjacent building . attach photo . noise really loud . husband backpack around world we sleep anywhere - really struggle get sleep Chancellor . no - one put kind noise hotel . obviously city expect street noise - industrial noise non - stop almost 24hrs day . no air conditioning . San Francisco problem . weather cold - room hot hot HOT . could not open window make noise industrial unit even bad . no fridge room . ask check possible fridge room . tell possible fridge moved- fridge arrive . ask fridge arrive room small could see fridge could possibly fit - together bag . however would good service get explanation get fridge ask for . Bathroom . bathroom TINY- little room washbag . also state tile bathroom terrible . add couple photo . bathroom room certainly need freshen up . food . 1 meal hotel - breakfast room service enough put we . homemade granola rye bread toast disgusting . First granola contain loads pine nut . love pine nuts - savoury dish - wrong eat breakfast . also rye bread unlike rye bread ever see taste . basically white bread strongly taste herb . think may cumin - certainly rye - totally unsuitable breakfast . advantagesgreat locationmain bedroom cleancomfortable bedfantastic italian restuarant across roadhandy tramparkingi would recommend hotel anyone like sleep ( due noise ) . really surprised review score hotel highly . room seriously overprice get . 
 Jun 15 2009 	 Believe hype ! 	 choose hotel help trip advisor review satisfied result . we stay two night thoroughly enjoy stay . location fantastic - right heart San Fran . Powell - Hyde cable car stop right front help ridiculously steep SF hill . BART station short walk away ( 4 block ) .The room lovely & amp ; comfortable staff fabulous . cute dining room reasonable price breakfast ( hotel standard ) walgreen right next door want DIY - breakfast / snack . the complimentary rubber duck great touch ( yes free take ) would highly recommend Chancellor moderate budget want find heart San Francisco . 
 Jun 14 2009 	 Perfect location great value intimate hotel 	 second visit Chancellor , continue amaze . location , right Union Square cable car line , perfect . view bay , everything else right . restaurant breakfast excellent , room small beautifully appoint , staff accommodate . highly recommend . 
 Jun 14 2009 	 comfortable good location 	 get hotel Travel Agents book tour US West Coast . pleased , quite central route fabulous cable car . room comfortable , small , bathroom ok , staff friendly helpful . load good eat place nearby . would use ? ? yes . 
 Jun 13 2009 	 wonderful Hotel ! 	 San Francisco first week June conference choose stay Chancellor Hotel read wonderful review TripAdvisor . wife mother - in - law tag along sightseeing . rural Pennsylvania , not quite sure expect , pleasantly surprise every aspect hotel . room : room tastefully decorate cozy . bathroom not small expect . flat screen tv nice small desk set laptop . room clean . also quiet consider hotel heart city , cable car run right front building window open whole stay . check , ask quiet room staff deliver . room 15th floor back building . remind reader hotel not AC . not need since high temperature day never get past low 70 . however , be one people AC , not hotel . service : everyone friendly helpful , bell staff cleaning service . arrive city early room not ready , leave luggage bellman . room available , person front desk say would bring luggage . figured would see half hour , surprise luggage bring two minute step room . clean person floor also friendly . opt room clean every day , whenever see we , ask need additional towel toiletry . finally , would like mention Susan Tourist Desk . 's one hotel 's star far be concerned . book tour we , give direction , help we transportation wonderful , friendly person always say hello walk past ask we day go . help make trip enjoyable , since part fun travel meet new people . value : consider location , room rate quite reasonable . hotel offer complimentary tea , coffee delicious cookie 24/7 . also complimentary wireless internet access room . ever return San Francisco , will definitely stay Chancellor . 
 Jun 12 2009 	 think - wonderful place ... 	 go San Francisco friend 6 day start little two week vacation California . pick Chancellor hotel read rave review trip advisor calculate need - seem perfect one we . take shot boy , pay ! far , one good hotel ' ve ever . moment get ( 17 hour flight ! ) - feel home . entire place non smoking , plus we , room nicely decorate , clean , nice touch like flat screen tv little jar candy await we get . bed comfortable everything perfect . thing would mention maybe people consider room face Powell st . might little noisy due cable car passing , also , not expect huge room , room cozy . - love room non apply we . other great thing besides room - complimentary coffee , cookie newspaper lobby make day day , since travel san laptop - free internet lobby work well we . can not write review without mention great location - lot good restaurant around , shop , attraction , easy access public transportation part city nearby . the hotel staff helpful , useful , smile people enjoy approach whenever need something . ' m sorry not remember name specific receptionist assist we , equally nice . 6 day hotel , love much continue trip throughout California , know would back San Francisco last weekend go back home , decide book hotel 2 night . since know come back ask front desk could leave luggage , happily agree , definitely give place even credit point part ( thank help we pay excess baggage plane guy ! : ) ... well , - yes , definitely recommend stay Chancellor , definitely go back if / when go back San Fran . 
 Jun 9 2009 	 TOP location ....... great price ! 	 good base value San Francisco visit . good friendly bar , nice restaurant every thing doorstep . room large unfortunately self catering facility mini mart nearby free tea / coffee / biscuit 24 hour foyer . book net ask first good rate available . will get surprise compare publish rate . if stay 3 day get & quot ; MUNI & quot ; pass available Info centre Powell St station read carefully you ll understand suggest use refain activate straight away . study transport system map carefully get main attraction . do not miss go Castro wander gay scene & amp ; north beach cow hollow great watch local 
 Jun 4 2009 	 ok price 	 yes , location great full mark hotel management make well ( modern touch , nice pillow , toiletry , etc . ) . reception staff ok ( nothing special ) , Japanese ( ? ) lady information desk atrocious ( poor english abrupt attitude ) .also , despite know full well aircon , wrong decision part . room hot , stuffy ( even ceiling fan ) could not keep window open night due loud noise cool vent adjacent build street noise ( top floor ! ) . could also hear occupant next room laugh late night , wall obviously thin . next time , pay little hopefully get something bit comfortable . 
 Jun 3 2009 	 Loved ! excellent friendly service great location . 	 always use site make choice hotel therefore think time help someone else ! Chancellor Hotel excellent choice , clean bedroom , friendly staff problem find parking lot . excellent meal Sears , restaurant next door , though little pricey . everything seem pricey SF . tip get cable car Union Square .... try get light stop . wait 4 pass we full twigged local . boudin wharf fantastic , think $ 8.50 little steep Buena Vista Cafe Bailey 's coffee , especially breakfast . got one 3 day Muni pass lady travel office hotel real saver . 
 Jun 3 2009 	 Great Value 	 stay 1 night . get inclusive rate park $ 25 meal / drink hotel $ 116 . think great value . room will not appeal need luxury bit small bit 50ish style -- ( include old fashioned glass doorknob pipe runnne along upper valence ) . well soundproof , decently decorate clean . addition Chancellor extra service right . coupon 2 drink 1/2 price room bar quiet jazz play . unexpectedly good breakfast oft omelette , toast juice 2 bit $ 25 . ( even provide salsa request ) Location can not beat . would suggest stay instead expensive place spend money great dinner . 
 May 31 2009 	 amazing location great hotel 	 Chancellor Powell Street Union Square - 's hard imagine well location be town see sight ( load nice shop restaurant nearby easy access - example - ferry Alcatraz ) . staff nice friendly . room tastefully stylishly decorate . however , good , hotel offer free cookie coffee 24/7 hotel lobby - unbeatable . 
 May 29 2009 	 little gem place ! ! 	 visit San Francisco 4 night part Honeymoon stay . not give much think place book ( via travel agent ) , think reasonably price hotel option .... extremely happy stay . place brilliant ... location , price , friendly staff , lovely room ! locate right main street cable car pass get around sooo easy . the staff ( ) extremely friendly helpful . room recently nicely decorate , flat screen tv . not eat restaurant ( apart breakfast one morning - good ) , can not comment much . bar small , staff super nice . bring popcorn cart evening leave really invite small throughout lobby , bar hallway - think nice touch ! really love San Francisco could stay another month easily ! back stay . 
 may 27 2009 	 experience San Francisco stay Chancellor 	 San Francisco one favourite holiday destination time stay Chancellor - could stay ? ? location well could ask . hotel clean , friendly homely feel . moment check seem everything else would taken care matter . staff , whatever role , always ready assist instantly smile face - something not see enough today . four day stay certainly memorable thank make easy . the Andersons , Brisbane , Australia . 
 May 26 2009 	 simply wonderful 	 return 5 night stay Chancellor Hotel . come San Francisco friend attend son 's law school graduation . minute walk lobby , charm gem hotel . room perfect . big , small . need adjust sleep twin bed bed comfortable pillow . staff helpful nice . hotel short walk great shopping quick Muni ride son 's apartment . pretty centrally locate everything . even though room face Powell Street , would never know busy street outside . noise problem . restaurant downstairs lobby great . good home fry ever ! ! can not miss cookie tea lobby area time . thank Wes run great place . thank staff make special trip even special . could do something weather ! ! 
 May 26 2009 	 Value excellent location 	 Spot location cebtre union Square . service ok bit cold . nice fairly old decent room bit small . recommend need decent hotel sleep much else . 
 May 26 2009 	 Wonderful Hotel ! can not say enough great thing ! 	 stay Chancellor Memorial Day weekend love ! complaint would never hesitate stay . would recommend everyone . staff nice helpful . , free coffee cookie good part- drink lot coffee , great grab cup morning , get back long day . good coffee , cookie yummy ! not eat restaurant , under - whelmed breakfast order room service . bar make great drink though ! woman little shop wealth knowledge . room 13th floor quiet , ceiling fan enough keep we cool . bed comfy room spotless . bathroom small old , clean simple , bathtub huge . offer pillow menu , nice touch , flat screen tv . room also small side , not problem . decorate nicely , modern , plenty room 2 we . location can not beat- right heart Union Square . Sears Diner right next door , recommend Daily Grill nice meal , one block Geary . shop Union Square amazing ! cable car stop right hotel , walk BART station hotel quick easy . definitely take BART airport , cheapest easy way go . also- cab to / from Piers 33 39 10 buck way . everything review say true- great stay , outstanding value , love ! 
 May 24 2009 	 Great Location - Good Value 	 wife spend 4 night Chancellor . staff helpful , room good . location ideal . complaint - room noisy night keep window open . ceiling fan adequate , would prefer air - conditioning . would recommend Chancellor price location . would probably stay . 
 May 21 2009 	 good hotel ! 	 first trip San Francisco , visit stay hotel ! service excellent , good ' ve ever encounter . reservation manager , Kevin , amazing respond question email arrive . make sure request accomodate ( high floor , quiet room ) , front desk staff know every single detail arrive . far location , can not beat ! right Union Square walk everything . even bustle location , room quiet ( 13th floor ) , clean , comfortable . housekeeping staff leave room sparkle clean every day , amazing ! family stay another room floor . none we complaint - praise everything ! even bottle wine gift waiting room know birthday weekend ! ! ! truly great , great experience . be go back SF stay . highly recommend ! 
 May 19 2009 	 one nice Hotels ever stayed 	 spend 9 night Chancellor Hotel . Happy say 3 friend complaint Hotel , love . clean comfortable convienent everywhere . staff lovely expecially lady bar lady tour desk . free coffee cookie 24/7 . oh coffee good . miss room mate bring early morning coffee cookie . 13th floor nice quiet ( request ) . get choice pillow , choose one insomnia one snore friend . ever go back s.f . definitely stay Hotel . 
 May 18 2009 	 fancy lot offer ... 	 excellent location visit San Francisco . everyone say , room small , bathroom incredibly tiny ( think european hotel ) location price right . find room cute enough , quiet . think bed little soft , unbearable , lobby bar lack charm . say , be clean , staff helpful , heart union square less san francisco price . 
 May 15 2009 	 friendly low key hotel amenity perfect location . 	 hotel staff friendly helpful - when ask sushi place within walking distance , desk clerk give gift certificate worth $ 20 . wide variety restaurant kind close by . the room bathtub , window open , free ( pretty good ) coffee available day , wireless internet lot pay per view movie . 
 May 15 2009 	 good deal city ! 	 LOVED hotel . find last minute deal hotwire 99 / n + $ 75 foor / drink .. room cozy big closet enough room stuff . bedroom bathroom clean , bed super comfortable . always eat breakfast hotel always delicious . side stay . highly recommend want good deal location .. oh want quiet room request one , not mind give big city view good night sleep . 
 May 12 2009 	 great customer service value 	 ok , be easy please demand New Yorker ; know like beat dead horse plan family vacation . pick hotel multiple reason , mostly manager 's hand service . drive nut , yet accommodate beyond anyone 's norm . party 8 , need 4 room floor . arrive midnight , everything do wait we . 's old landmark - boutique hotel room size not large , small either bathroom slightly date . however , service , manager bell hop outstanding . housekeep wonderful maintain everything clean , linen , carpet , towel , etc . lobby restaurant get we go breakfast . the central location give we easy access everything . nice lady day trip desk help we everything SF offer . go back SF , would stay Chancellor , ' nough say . ( ' m write review almost year stay ) 
 May 12 2009 	 can not imagine well hotel San Francisco 	 travel World , stay many beautiful hotel , good experience ever . reservation process right checking , everything perfect . Chancellor , opinion , excel every turn . beyond physical aspect fine hotel , service staff offer well ever see . ? - genuinely care guest . nothing else apparent . now basic - will follow TripAdvisor criterion order:1 ) CleanlinessRoom public area absolutely spotless . fresh clean well look . stay number night , standard never slip . Perfect.2 ) LocationThe good location city . right Union Square , right cable car , right good everything city . San Francisco number time would never stay anywhere else . tourist city , two main neighborhood tend consider Union Square Fisherman 's Wharf . opinion , Union Square win hand . wharf bit tacky , bit touristy , general , bit overprice ( restaurant wise ) . tend die death night . eerily quiet . Union Square great place breakfast ( World Famous Sears right next door , Lori 's corner next block ) , load night ( near cinema 's , theatre district ( Wicked recommend ) . day , go shop crazy . Borders Bookstore right next door well - open seven day , never close 11 pm - nice little excursion evening . Walgreen 's block hotel - snack pharmacy need ... 3 ) roomsbeautiful room . stay 905 , would recommend anyone . side view Union Square , nice modern decor , flat screen tv , perfect bathroom lovely big bathtub . dreamy bed . great storage space . lovely desk . awesome extras room umbrella iron / ironing board ( neither get Westin next door ! ) . safe , WiFi internet etc etc etc . perfect ! 4 ) ServiceAbove everything else - stick . staff friendly , polite , professional , - like say - care ! little service touch rubber duck bathroom awesome pillow menu , add memorable , unique hotel experience.5 ) ValueBest value ' ve ever encounter fairly pricey city . dollar dollar get well . even parking charge ( garage round corner ) good . highlight SF normally nightmare parking ! think , ' m amazed - sit gorgeous hotel heart city , look wonderful Union Square , enjoy first class service provide Chancellor staff . could shout guest neighboring Westin St. Francis , ask pay , ' m sure would not $ 85 night ... ( pay $ 85 $ 125 per night April . incredible value - ' m scottish ! ! ! ( yes , be renowned little careful money ... ) Chancellor stuff ... free cookie reception ! - nice touch . legendary Susan booking desk get us car not appear spare one whole city , complementary newspaper , lovely bar restaurant quality food ! , wonderful surprise room special occasion ! , Barbary Coast night Fri Sat ..... oh much ............ big thank everyone Chancellor . make stay San Francisco well ever , can not wait come back enjoy hospitality future . Steve Erika xx 
 May 12 2009 	 great value 	 book hotel base Trip Adviser review not disappointed . prepare small room bathroom , even know raise floor bathroom another reviewer mention . course not stop trip : ) travel partner cozy room fine short stay . stay long , would probably spend stay Hotel Rex bit room -- pay $ 105 Chancellor $ 145 Rex . would perfect place travel alone -- plenty room one person great location . staff great enjoy tasty cookie everyone mention . ask quiet room book be exactly get . we take BART airport -- cost $ 10.70 two people direction take 40 minute . be go take cable car , get one - day pass $ 11 rather $ 5 two trip , make sure take California line ! 
 May 11 2009 	 Best Deal San Francisco 	 go daughter , first visit SF . excellent deal $ 99.00 ... shop internet ... include $ 25.00 per day meal wonderful restaurant , plus free parking . excellent location downtown Union Square , big name store , Chinatown , Wharf , everything walk , drive , public transportation distance . staff wonderful . free internet ... bring laptop ! ! room small clean ! ! bed comfy . love little hotel would stay recommend family friend . ask quiet side ... great view ... shower sleep ... 
 May 11 2009 	 Ideal Location 	 new wife spend first day honeymoon chancellor union April 20th 24th 2009 . staff front desk amazing , could not enough help we . room small though sleep bed comfotable long day sightseeing , Cable car stop front hotel take bay st ( 3 block fisherman wharf ) convenient . Taxi rank block away sightseeing bus stop front macy be across union square . walk & amp ; park baseball hotel take we 20mins not tough . the management give we gift champagne picture frame lovely gesture hotel part thank much . all would definatley return hotel track lovely stay 
 May 10 2009 	 Nice Stay 	 stay three night May 2009 . loved fact hotel centrally locate Union Square . also locate right next Sears ( serve awesome breakfast - arrive early ) . hotel fresh baked cookie bowl apple guest . the room small tastefully decorate . soak tub nice feature - great long day walk . mention early , offer selection pilow . also offer various add ons tub ( small fee ) jet bath pillow . for fun try take stair lobby 11th 12th floor time . exercise necessary . I would definitely stay . 
