Nov 	 good hotel great location 	 good clean hotel excellent location two minute pier 39 
 Oct 10 2008 	 great hotel 	 Booked hotel travel agent read review - nearly every review negative obviously quite concerned make mistake . , do ! - find hotel fantastic position , room large , clean , bed really comfortable staff friendly . stay 5 night . 
 Oct 4 2008 	 Great Location ... return sure 	 husband fly Seattle mental health getaway . fantastic time well - need break . Radisson clean near everything want see . walk lot , choice , see North Beach , Chinatown , etc . hotel always close enough stop take break . need car trip ... parking cost we $ 35./day . next time forego vehicle . one thing absolutely enjoy , return advanced tour SEGWAY tour .... locate near cable car turnaround wharf . highlight trip , husband want buy one ! ! staff great , patient , get we familiar & quot ; toy & quot ; could enjoy 2 hr . tour San Francisco . advanced tour even take we Lombard St. ( crookedest street ) ... fun ! ! staff Radisson great .... back ! ! 
 Sep 1 2008 	 Great Location 	 live 25 minute SF decide last minute go one night Labor Day Weekend . take chance Hotels.com get room w/ balcony . luck . room smallish side , clean . sleep number bed truly joke . seven yr old find hilarious take zero .. much like toy . still , share sleep edge be like 2x4 back . Yep , park $ 35 small parking lot bring bad folk try get stall . however , let check leave car 7:00 extra charge . go lunch take cable car ride head home . , must check get new key card get let garage . first time ' ve encounter establishment really heat pool , nice swim . pool area clean table , lounge towel . Location Pier 39 Fisherman 's Wharf fantastic . so much fun ride elevator ! find staff accomodate request concierge work rear help everyone out . though plenty good hotel close distance , would absolutely go back make sure get balcony room . 's one bonus other can not offer . 
 Aug 31 2008 	 Great Family Spot 	 stay Radisson four night August please . room new extrememly clean . every bed select comfort bed . pool heat probably 90 degree location absolute good . negative , 's minor point , many parking space quite tight fit . 
 Aug 28 2008 	 good location need refurbishment 	 location Radisson good , right near Wharf good bar restaurant . the hotel need refurbishment clean main thing . would recommend pay extra balcony view room end view car park . balcony overlook bay Alcatraz . please note hotel par Radissons stayed - expect normal Radisson standard would disappoint ! hotel not restaurant IHOP next door open 24 hour load place eat nearby . this good place want somewhere use base , would say worth $ 200.00 night ! 
 Aug 27 2008 	 5 day San Francisco Radisson 	 daughter come Seattle stay Radisson week . B.A.R.T . train airport fast affordable cost , location hotel great . people work friendly proffesional . alot people mention IHOP nearby good place eat , disagree . the food really greasy , table clean , price high . eat , get water nothing else drink . my daughter milk $ 3.00 ! SAFEWAY couple block away , really small still get thing affordable . buy good map show bus route stop , will not take long figure use bus get around . get Golden Gate Bridge , etc . Haight / Ashbury district huge disappointment . area dirty , rundown , crime ride . alot homeless panhandler . check Colt tower , pretty neat . China town exciting like store store cheap plastic crap one want . wharf cool homeless . Ripley fun . Alcatraz interesting , wear good arch shoe , alot walk hill . overall good trip , & quot ; place like home & quot ; . 
 Aug 25 2008 	 radission standard 	 advertised hotel wharf , fall , get realise mean , hotel entrance onto wharf , load other chose , mislead . opposite front entrance large sheraton , holiday inn other . previously stay 5 star radission berlin , somewhat dissapointe hotel . although overall experience fine , shortcoming point . 4 berth room , 2 teenage kid . room allocate pretty small 4 we . air conditioning unit inthe room large , old noisy . decor could face lift , furniture room large old fashion . bed however new one adjust level firmness matress excellent . bathroom fine , housekeep good . far facility concern not high expectation . bar , lounge , unless include seat 6 people reception , food , however breakfast cart open inthe morning want pay inflated price pastry etc . fitness room small room couple piece equipment . can not comment pool use . fantastic breakfast reasonable money find ihop restaurant next door hotel . find consierge service excellent , staff friendly helpful . overall would say good hotel money great location , expect typical Radisson . 
 Aug 21 2008 	 tick average box 	 first , location excellent San Francisco wonderful place visit . Radisson well locate Fishermans Wharf , access tram local facility cycle hire . tourist base excellent . hotel serve purpose . onto hotel . staff ok concierge helpful although could not help think recommendation slightly skewed . pleasant breakfast location suggest rear right hotel half mile distant . $ 90 late family 5 raise eyebrow , find turn leave travel 20 yard could find well food two third cost . room wall paper thin call security ask speak party next door neighbour . may well invite room sound insulation offer . would visit SF ? absolutely ! would stay Radisson Fishermans Wharf ? Nah ! 
 Aug 9 2008 	 love location small room 	 stay 4 night end tour California partner 18 y / o 15 y / o child . last stop we although location hotel great Fishermans Wharf , find room smallest encounter tour . consider amount pay hotel compare other trip , expect term room size . also wait every time lift . if look convenient location somewhere lie head accomodation adequate make sure use & quot ; Privacy & quot ; card door - housekeeping seem start extremely early . we lucky room face onto parking area never really disturb early morning street cleaning also find bed rather uncomfortable even sleep number system ( try every combination 25 100 without find one suit ) .Overall happy location hotel would preffered something little large somewhere guest laundry miss . 
 Aug 6 2008 	 perfect location 	 book room hotel website pay $ 192 night . cab ride SFO 15 minute cost $ 45 . Radisson situate perfectly Fisherman 's Wharf Pier 39 . staff excellent room clean roomy . would highly recommend hotel family child , old couple . wife solo , might stay somewhere romantic . 
 Jul 29 2008 	 great location ! 	 hotel great location ! close walk distance tourist attraction Wharf . room little small hear case hotel area . really room sleep anyways . front desk staff friendly helpful . fan Sleep Number bed ; not know fuss . bed either hard , make soft , could feel every time husband would roll shift night . Don ' park car not , park $ 40 / night area hotel , include Radisson . hotel also computer lobby use access internet print something . internet price 50 cent per minute , minimum use $ 5.00 . print $ 2.00 per page . the Wharf touristy , lot souveni shop sell junk , oh well . nice within walk distance lot stuff since not car . also , would highly recommend use local bus transportation . be $ 1.50 per ride go anywhere town will need . also get 3 day pass $ 18 allow unlimited bus ride . 
 Jul 21 2008 	 well money location 	 great location , room small parking terrible high ... front desk little help room expensive get ... elevator nightmare .... probably stay ... amout complain help ... 
 Jul 18 2008 	 great location noisy room 	 family four ( 2 boy agen 9 11 ) tour California summer - stay 3 night Radisson Hotel Fisherman 's Wharf San Francisco . location super - across Pier 39 walk distance Alcatraz pier , tram many sight . book advance must say small quite wear - down room face street . 6 morning lot noise delivery truck reverse outside get room face court . enjoy stay - pool also ok - kid like though air temperature cool . hotel could new windows instance ... 
 Jul 17 2008 	 problem Radisson 	 stop hotel 5 night & amp ; dissappointe . lobby old & amp ; tired indication style rest hotel . allocate room king size bed three adult , change first night problem hotel 10 room ask change bed problem . son new trainer steal room change & amp ; ask three time one seem bothered issue , since complain Radisson direct satisfaction survey & amp ; await reply . air conditioniong unit next room old & amp ; noisy & amp ; keep awake two night , complain first night take two day repair . great see bridge , tram , Alcatraz , Union square etc 5 day long we , would prefer time Carmel etc , Sausalito accro bay great , bike ride bridge fantastic aware weather , cheap fleece not go expect sun bathing . oh , car parking charge $ 37 dollar day , two block $ 20 . 
 Jul 4 2008 	 Mediocre hotel ok location 	 may 2008 , stay 5 night . hotel age building beg renovation . really surprised see run - down dirty reception - area furniture . staff friendly polite . room ok , regular double - bed room . place much else large ( comfy ) bed . be A / C , model 1973 ( be likely need still .. ) Bathroom old OK . clean enough ( can not say thick carpet room elsewhere ) .As mention early , window thin , noise insulation terrible . stay first room face Beach street , bus tram traffic day night . could not sleep . luckily , day 2 staff able relocate side , face parking - lot . ( none room view interest ) .Oh , read somebody mention lack internet connection . would bring laptop , be free wireless ground , problem ! order breakfast , basically mean get ticket exchange food neighbour joint ( kind fast - food / & quot ; american comfort food & quot ; - place ) . heart - friendly food , mean , 5 day food enough . compare price especially altogether rundown character would recommend place . 's need renovation ! 
 Jun 22 2008 	 cool sanfrancisco/ radisson 	 2 night radisson hotel fisherman wharf san francisco , find location hotel exaxtly want , right front fisheman wharf , pier 39 walk distance part city , cable car , tram etc.room 2 double bed , shower / bathroom , clean bed linen excellent , , coffee tea provided.only one table lamp faulty ( faulty switch ) other work issue.view room , strike lucky room face car park , far leave pier 39 far leave start tower block , spire tower block view.the downer hotel road cleaning machine arrive 0430hours window single glaze noise come , 2 sweep road able get back sleep.the hotel & quot ; back & quot ; entrance directly fisherman wharf , ideal unable walk / stagger front lobby.the lobby sizeable swimming pool rear , use pool look eat hotel review parts.when head back san francisco would hesitation stay hotel , doubt well hotel one fine . 
 Jun 21 2008 	 Fabulous Location ! 	 stay 2 night part tour . the location hotel absolutely supreme - right opposite Pier 39 Fisherman 's Wharf ( back door access ) room large well appoint remote control bed firmer ! ! ( , could not bother use ! ) lovely bathroom lot lot lovely white fluffy towel nice little toiletry too . the thing strange noise room . unplugged fridge 3 am gurgle like water torture . then strange noise - odd ! glad stay location - 's shame breakfast ( old set way stand eat cart foyer ! ) seafood roll breakfast last day fantastic . we eat Fog Harbour Pier 39 one night Bubba Gump Pier night ( be quite chaotic experience we oldie food lovely ! ) crookedest street within walking distance ( hill cause leg ache ! ) everything close hand hotel . one word caution - internet service rip - off . swipe credit card wait ten minute IE load : - ( 
 Jun 17 2008 	 great location Radisson 	 stay 5 night boyfriend 2006 . fantastic option we holiday great location , close Pier 39 overlook Alcatraz . room lovely spacious bed comfortable . staff friendly pool clean nice complimentary lounger . load tour leave Fisherman 's Wharf , would recommend day trip Muir Woods Bay Cruise go golden gate around Alcatraz . book ticket Alcatraz advance great skip queue morning trip ! hotel great tourist would definately stay return San fran ! 
 Jun 15 2008 	 great hotel short break . 	 hotel amazing location see sight Fishermans Wharf . smallish room require clean comfortable . could see bay watch boat sail pier . dining room , adequately stock cart main foyer sell coffee , croissant , fruit , friut juice etc breakfast . however many excellent restaurant merely stone throw front rear entrance hotel . would stay hotel would recommend friend . 
 Jun 6 2008 	 good value money 	 hotel perfect location tourist sight . near many restaurant easy get area within walking distance , either taxi cable car . stay 4 day cram much sight seeing possible . hotel clean respectable . entirely usual Radisson standard , acceptable . staff extremley courteous helpful . use pool September far chilly dip , look clean well keep . 
 May 30 2008 	 good value money 	 Hotel fair value money . locate touristy bit SF 's want . room normal size 2 double bed . balcony face courtyard fairly quiet . bed comfortable variable control stiffness . room bathroom clean even though latter mould ceiling . there be restaurant hotel plenty door step . ihop actually build . outside swimming pool heat quite welcome constant breeze . staff friendly & amp ; helpful front desk room service . enjoyable stay would recommend other tourist trip SF . 
 May 29 2008 	 could not Radisson could ? 	 hotel pretty disappointing Radisson . kitchen , want room service , need call delivery . room small hotel room ever see . could not suitcase open walk around bed . bed , 's story . one adjustable mattress . feel like sleep air bag little support every time adjust , noisy compressor start up . location fantastic . lot place nearby eat & amp ; shop , pier close , well heap public transport nearby , include famous cable car . given see many different hotel area , would probably stay somewhere else next time . 
 may 28 2008 	 Location Good - OK hotel 	 stay Radisson firsherman wharf work trip last year find ok . location fantastic want right heart Fisherman 's wharf walk distance Pier 39 , shop etc . the actual hotel little old side price pay . room quite small though comfy bed nice bathroom . overall would say good 3.5 star hotel great location - little overpriced getting though . suppose fact pay location 
 May 24 2008 	 great location .... 	 can not really fault hotel , location great , near amenity . loved bed ... adjust pressure ! ... great ! . 
 may 23 2008 	 location location location 	 back great stay Radisson , beat location , 5 minute walk pier 39 outside hotel get F train trolly town $ 1.50 ticket travel train trolly day . 10 minute walk Mama 's good breakfast San Francisco 7.45am open 8.00am prepared queue . room hotel small spotless clean big comfortable bed . one tip would booking hotel ask put front hotel noisey traffic bus . 
 may 10 2008 	 great hotel 	 ideal location explore San Fran . ideally position let see Wharf ( Alcatraz etc ) let board open topbus explore bit . go Haight Ashbury Berkeley love nice come back stay Wharf night time . first arrive thought might quite noisy night locate case . excellent staff , great breakfast . perfect choice San Fran . 
 may 6 2008 	 terrible service stay away ! 	 book hotel travel agent leave receipt prove pay full amount 4 night stay . arrive hotel rude man behind desk tell we booking would receive room . produce receipt try call company book could contact . wait lobby suitcase half hour inform count lucky find we room . take receipt say would chase payment company back australia consider already pay . take swipe credit card notice pretty much mandatory hotel we . go room , bit suprise small considering pay . room elevator least 200 metre . enjoy stay hotel glad leave especially rude service receive . get back australia , suprise find hotel charge stay credit card . take 3 month get money refune end ring bank chase money . would recommend hotel . 
 May 5 2008 	 Good Hotel Great Location 	 Radisson Fisherman 's Wharf old hotel upgrade time past . spot jarringly obvious , like old bathtub new tile bath room , old window frame new curtain . the room clean fresh housekeeping good job day . bed much well normally find three star hotel , comfortable reasonably new good pillow , high quality sheet comforter . the hotel staff helpful location great , right middle tourist trap Fisherman 's wharf . the negative outrageous cost parking ~ $ 35 / per night old window room not stop noise outside . there restaurant hotel , breakfast across road Boudins fabulous fresh bread pastry . 
 may 5 2008 	 hotel okay 	 hotwire rate $ 76 king 2 night weekend . okay price . would upset pay $ 200 night hotel website . hotel old hotel . lot tour group stay hotel . elevator -2 . like hotel location close bus- 9 39 , f line streetcar , cablecar . ask refrig never bring we . sleep number bed okay . room third floor hear much noise except f street car 's bell . hotel restaurant . Ihop nest door not eat . walk couple block Pat 's Cafe north beach . eat Johnny rocket seem average . concierge print boarding pass we . 
 Apr 30 2008 	 Loved hotel 	 planning brief stay San Francisco could not decide Union Square Fisherman 's Wharf area would good . I glad decide Fisherman 's Wharf especially glad choose Radisson Hotel . the front desk staff welcome polite . checkout thank we stay say hope enjoy stay be not rote . we do not room sleep number bed bed comfortable lovely bedding . well keep clean . the window open ! ! ! -a bonus us- great view bridge ( distance ) , bay Alcatraz . free room safe , coffee tea . the hotel mention other restaurant breakfast literally next door IHOP purchse continental breakfast & quot ; cart & quot ; Lobby . there Johnny Rockets fast food type restaurant well exit right pier behind small pool area . also ATM machine around corner along 7 11 store . to right exit hotel . great location walk everywhere want go love Fisherman 's wharf even though crowd . tourist ! part crowd ! 
 Apr 22 2008 	 Keep look 	 wound Radisson first try 40 hotel book solid due olympic torch town . keep look see # 42 like . Radisson bad hotel , ' work $ 200 + per night . money get location distance downtown , one pretend " fitness room " , meal service , lobby , small outdoor pool open 9am row row indistinct room . room ok , could use update cleaning . bad hotel well money . 
 Apr 14 2008 	 Nasty room great location ... would stay 	 location great San Fran avoid room much possible . problem : 1 . remote TV . 2 . toilet back ( release awful smell correct ) . 3 . safe work . 4 . leave trash bed previous guest . 5 . dry booger side bed . 6 . bathroom door poorly patch . 7 . $ 35 per night self parking . 8 . replenish soap shampoo 2nd night . we stay another hotel area ( price range per night ) 2 night prior stay good experience bit disappointed place . would recommend stay cheap nice hotel outside town . worth close drive town park day cheap hotel . 
 Apr 14 2008 	 work we . . . 	 stay two night ( April 5 & amp ; 6 ) . pay $ 70 / night Priceline . price pay room , satisifie . room bit run . find hair bathroom ( handle faucet sink ) . , pretty average hotel stay . nothing awful , nothing fantastic . we bite view bay , mostly view parking lot / garage . , Priceline room , not expect much surprised could see bay all . Checkin easy gentleman wait we pleasant . the hotel conveniently locate , big draw . easy get f - line Cable Cars get town . not even need taxi get back airport . take advise member TripAdvisor forum take f - line Embarcadaro BART station take BART airport ( difficult lot cheap taxi ! ) night quite . not care much sleep number bed , own . all , consider price pay location hotel , please . 
 Apr 10 2008 	 Met expectation 	 last hotel stay 20 month hostel happy . room bathroom clean ( could do long deep bath case hotel ) . staff good ideal location tourist attraction . 
 Apr 9 2008 	 good location bed - terrible concierge 	 comfortable bed SF Fisherman 's Wharf . be it . at reception desk , one friendly , professional , cheerful . another one professional friendly . other . concierge woman seem bored pity concierge San Francisco hotel . room bit old , bed new confortable . bathroom bite old , clean . relaxed atmosphere . mixed clientele : old / young couple / single / group ... overall good deal consider hotel room price area . internet connection hall ( 2 pc available - fee ) indeed extremely slow . wan na go Union Square , cable car easy walk hotel . stay Fisherman 's Wharf area much nicer relax stay Union Square ( read experience ) . 
 Apr 8 2008 	 Location Location Location 	 spend 3 night Fisherman 's Wharf Radison . would say hotel good location fisherman 's wharf area . walk back entrance hotel immediately strip make wharf area . room comfortable . bed sleep good pillow comfortable several style mix choose . ihop next door , great place get breakfast . family satisfy . complaint . 
 Apr 7 2008 	 's fine internet appalling 	 , strange reason , find check business purpose , think : internet hotel , although market ' high speed ' absolutely nowhere near . get 10k / sec speed . ridiculous . internet key requirement stay , thoroughly recommend try somewhere else . end go starbuck across way get internet . good have specifically choose hotel 's ' complimentary high speed wireless internet ' . 
 Apr 1 2008 	 Accomodating 	 staff extremely nice accomodate . although arrive hotel room available due stay - over - go beyond accomdate we find alternate accomodation . even go far pay cab fare . we come back next day find clean room nice basic appointment . staff super . bg fan sleep number bed still sleep soundly disturbance . location beat . already recommend friend . 
 Mar 30 2008 	 great location poor service . 	 will start good - location unbeatable . rental car not use first day half 4 day stay walk much around Fisherman 's Wharf take trolley / cable car sight . the concierge friendly helpful . that be good . when check tell adjoining room request going honor someone extend stay , & quot ; be nothing & quot ; . change & quot ; move tomorrow & quot ; suggest would check back morning adjoining room find another hotel . total four room staying - room hair tub ( previous guest ) , one hair bathroom floor - even guy think 's gross . the sleep number bed awful , even want soft bed , ridge around outside bed stay hard two people bed need outside bed ! room beat - one first room sink bathroom come wall exhaust fan break one bathroom . small room ... know hotel room small , seem small . the front desk service poor - kid independently nickname woman check we & quot ; Happy Jack & quot ; .there enough even stellar location , would recommend hotel stay go back San Francisco . pay $ 189 night two room expect well price name . 
 Mar 29 2008 	 Worst Service ever 	 first , parking charge ridiculous . $ 35 per day plus tax . get room , expect able log advertise free WiFi . guess ? able intermittently connect terrible 1 Mbps . website come , almost immediately log . go downstairs get help give sort & quot ; booster & quot ; pack tried charge $ 250 . booster not work , even spend hour phone tech support . thing hotel go location , directly bay , everything easily accessible . service , though , terrible . housekeeping come right 8 a.m. pushy get we could get get do . toilet stop work make 2 engineering request first time not get fix . second time not either , leave next morning , not matter . overall , terrible experience stay another Radisson hotel . 
 Mar 27 2008 	 great stay Radisson Fishermans wharf 	 al hotel Fisherman 's Wharf good location happining . close cable car location , trolly Embarcedero bus Coit Tower . room perfect . must say take cheap room want face water see bay Alcatraz room . room bit small tell Fisherman 's Wharf . bed perfect control change hard soft want . provide lot towel around everything clean . cold we go swimming see kid swimming pool warm . pool nice . concierge helpful reccommeneded use van head back airport use coupon specific book enable we get van back SFO $ 11 . hotel give good buy buck . 
 Mar 21 2008 	 good base explore SF 	 get good deal hotel Skoosh.com . location good - touristy Fisherman 's Wharf may everyone 's cup tea , safe , restaurant nearby provide easy access elsewhere city good public transport link right doorstep . our stay come part - way trip , time already rental car , park $ 40 / night , seem norm SF hotel . be come direct airport planning trip city whilst stay , may well hold rent head elsewhere . the room comfortable well - appoint - would expect large chain . complaint , quiet give we good night 's sleep night stay ready explore city follow day ! fact , noise people try sleep number bed - set softness / stiffness mattress remote control ... would not play ; - ) contact staff limit check - in/-out , occasion , polite efficient . 
 Mar 19 2008 	 good overall nice staff good location 	 Pleasant stay Radisson Fisherman 's Wharf . pleasant helpful front desk staff concierge . clean room attentive housekeeping . problem . room small side view , can not complain give rate ( ~115 ) .My complaint overprice internet access / business center . cost 50 cent / minute use computer anything ( include internet ) another 50 cent / page print , connection slow take quite time check email . luckily internet cafe right next door much cheap - hotel staff tell we inquire . would stay . 
 Mar 19 2008 	 Uber Euro hotel/ Local B 	 hotel easily find airport . fact whilst cheat Sat Nav literally one long road follow right left be - 20 min . excellent location , really imagine well location San Francisco honest . parking jizz $ 35 per night snidey little tiny space Smart Car would struggle park . turn Chrysler 300 follow day climb passenger door ! room ok , imagine throw B & amp ; b bucket , add be usual Radisson room , shake ten minute throw . room . room one bath towel . that s . bed , kind ultra modern air bed could adjust . reality uncomfortable , know sound bit dodgy believe , lay balloon tell comfy - . neither bed . wireless fast free , breakfast expensive downstairs 24hr Ihop . check breeze . conclusion hotel average , location friendly staff sway would certainly stay aif SFO . well , say , I m write Grand Sierra Reno Radisson not scrap place : ) 
 Mar 11 2008 	 work we ! 	 reasonable hotel Fisherman 's Wharf area . go friend choose hotel primarily could request smoking room , season smoker glad ( even though rude woman reception claim would share kingsize bed want smoking room give we two double bed threaten throw minor wobbly ) . thing note:1 . hotel indeed quite shabby certainly bad various website photo view go appear . room perfectly fine , shower great , good view Alcatraz top various eatery ' neon lights.2 . eat ask cab hotel . 's like travelodge - 's place eat everywhere step ( ok go Johnny Rockets ROCKS ) staff helpful ( either can not will not order taxi depend mood / day week ) give ample time stand street wait one 5 taxi city offer.3 . Fisherman 's Wharf fiercely cheesy . perfect full tourist experience - pier 39 fantastic post several Grey Goose n coke . however , big restaurant overprice food 's great ( say not bother Scoma 's Franciscan - go boudin great Clam Chowder ! ) be look hang stylish bar n restaurant every evening will spend lot time taxis ( rather , annoyingly , look ) get Union Square side town.4 . San Francisco fabulous will not want sit hotel . go Alcatraz , Wine Country Shuttle Tour Napa Valley , go see basketball game Oakland . Shop , shop , shop . make sure get burger , fry n shake Johnny Rockets . 
 Mar 9 2008 	 nice room bad service 	 hotel fairly average room okay quite suprise expectation , apart bust air con . try get room face fisherman wharf big see attraction golden gate bridge alcatraz . sit breakfast buy pastry hot drink downstairs IHOP Walgreens street 's far go . however service great . want ticket local attraction , concierge reliable alcatraz tour man concierege charge we $ 120 $ 15 ticket go baseball match . tout parking lot stadium even charge $ 20 well ticket ! opinion try box office attraction go concierge . 
 Feb 29 2008 	 good especially price 	 hotel right Fisherman 's Wharf ideal we child trip Alcatraz . our room comfortable great view Alcatraz . the staff overly friendly though hotel could bit clean too . for price though would say good deal , although remember need pay quite bit parking . 
 Feb 19 2008 	 Good Option price 	 hotel good option be able get good deal . end get Standard King room $ 89 night Hotwire unbeatable consider location . be locate right Fisherman 's Wharf , across Pier 39 . access huge variety restaurant attraction . f line street car pick right front hotel take several area include Pier 33 location buy ticket board on - site Alcatraz tour ( be tour take alcatraz , around ) . hotel outdate , would still consider 3 star consider ammentitie , option location . staff helpful considerate . overall , happy hotel consider great price ! would pay , might bit disappointed . 
 Feb 18 2008 	 Clean Standard issue Hotel 	 say - would say clean convienient place couple nightsgood+ really clean modern linen+ really excellent location entrance onto strip+ clean rooms+ bad pool area+ £ 70 night ebookers.comok~ Room decor bit drab~ strange adjustable bed firmnessnot good ( room cheap .. ) - view form cheap rooms- outside room tad noisy- Coffee Maker + fridge onlyI would defiantly stay wanted day wharf * $ 11 day cable car /tram /muni daily pass excellent * easy walk North Beach Restaurants - Mona Lisa etc * lot public transport Union Sq Market area * 7/11 store nearby 
 Feb 12 2008 	 well review would suggest 	 got really good deal hotel , little nervous reading review impressed ( guess expectation low ) . hotel old well keep , great base Wharf . parking expensive , do not need car , walk use munionly negative lack site restaurant , food abundant . buy breakfast stuff Safeway 1 block away . if go downtown avoid civic centre , unless fond vagrant ! ! ! 
 Feb 7 2008 	 Perfect 	 Radisson Hotel Fisherman 's Wharf wonderful hotel . nice , spatious room . spotless . quiet could think 're middle desert . bathroom clean modern . location perfect be interested stroll pier . intend explore Union Square district could quite short walk pleasent neighbourhood . check special walk route tourist map hotel . . 
 Jan 30 2008 	 great little hotel 	 can not go wrong staying . location , Location Location . 2 minute fisherman ; Wharf Pier 39 . hotel resturant least 10 4 surround block hotel locate . ihop 24 hour . cable car 2 block away electric trolly run downtown area back , across street . need car want get around city least 5 bus route around corner get various location . room little small average , room often anyway . bathroom clean replenish everyday towel , soap etc . sleep # bed plus overall hotel quiet hotel would take kid . grocery store Walgreens across street also . front desk staff friendly helpful . much around neighborhood 's right doorstep 
 Jan 30 2008 	 2 month stay ! ! 	 ok , write first review hotel back November day . Scroll see : ) ' ve stay 2 month tell anything ! staff really great , ask Lisa , really helpful nice ... everything great since . feel like live ... ' ve also witness change since November . recently instal new carpet look much well , pool run . not try yet , ' ve see people cold night steam come , must warm ... say , location PERFECT visit , get bored ! look forward next month : ) 
 Jan 7 2008 	 great base San Francisco 	 reviewer say - get exactly expect Radisson price type location . we arrive midnight staff really helpful - actually figure might tired 15 hour travel get security guard help we bag room . neat , tidy , reasonably clean . lot good place eat time day within two blockseasy parking expensive - car planning use - consider put past Pier 33 one third price . 
 Jan 7 2008 	 Great Location 	 happy Radisson , let we check early room acceptable price pay consider hotel area . close Fishermans Wharf - across road . much night life . ihop 30 second street open 24hrs fantastic food low cost . 
 Dec 24 2007 	 Clean Comfortable Convenient ! 	 stay Radisson mid - December 3 night . happy choice would highly recommend hotel anyone go San Francisco . first , location excellent ! close hotel wharf Pier 39 . go back way , put right heart wharf / pier area . course , many restaurant shop choose along wharf / pier area . find area safe walk , include later night . always people walk around enjoy restaurant etc . go front lobby , Beach St . two trolley stop front hotel , one right one leave . make easy head downtown / union square $ 1.50 way . way back downtown , also drop right back hotel , ' easy . would recommend get car , need San Fran great public transportation . also around hotel Safeway Walgreens , make convenient get snack etc save little money . also national shop close , attach hotel building IHOP , Johnny Rockets Subway . hotel self 4 story " u " shape building wing middle . lobby small functional . arrive 7 pm one person ahead check . use online check option , suppose save time etc , however , check , still sign present credit card . accord website , check online suppose save anything except present ID get key . oh well , check take 3 minute . request king size bed non smoking online receive one 4th floor hotel . two main elevator lobby , other scatter around building . hallway unique smell suppose , nothing bad . hallway sort remind old cruise liner . room perfect one person ( couple would fine well ) . room probably 300 sq ft , however , functional clean . bed WONDERFUL ! ! sleep number bed , comforter pillow . set bed whatever number suit . also small desk armoire tv storage . air / heating unit little loud , work perfectly . also open window let fresh air . bathroom entrance right next bed , little odd , , one person , fine . bathroom good size though ( big one Crowne Plaza union square ) . ample space move around place thing . water pressure fine well temperature . room clean everyday sightseeing great job . manage see room two double bed seem little big , space ' seem like problem room . overall , love coziness room bed make well worth . would definitely stay next time travel San Francisco . everyone come contact work hotel friendly would always greet . location perfect traveler visit city . also good view one hill area , wharf , even view Alcatraz water . ' really ask . hotel area close , price , Radisson good option . definitely solid 3 star hotel . 
 Dec 19 2007 	 need Major Renovation 	 stay Radisson Fishermans Wharf Tuesday December 11th Friday December 14th . the location hotel superior . back property actually walkway Wharf area . walk distance many good restaurant ferry Alcatraz . unfortunately hotel desperate need major renovation , decor 70 's run . pool empty concrete crack around . carpet stain mold around bath tub . we walk Wharf area check property . Sheraton right across street nice Marriott also nice . price choose stay regret select one they . on first night , give room face Beach Street . good , loud noisy . room small stuffy . complain next morning move we across hall . room face courtyard much quieter spacious , tip . take night tour Alcatraz . limit 300 people . may seem like lot , day 1,000 people inside give time . we try restaurant call Stinking Rose . like garlic , place ! remember name street , google web site . all , love San Fran . nice clean city . we definately back , Radisson FW . 
 Nov 23 2007 	 long not care customer service 	 Positives : Location , Location , Location , clean room , helpful night security guard . negative : look treat respect , helpful staff , party 3:00 a.m. stop , go hotel . exception one night security guard , staff rude , nasty , unhelpful . location wharf , tour , cable car City , ' care come back treat . literally , bus load . obvious , location ; ' need business could care less come back . as long expectation customer service low , location makes horribly treat . 
 Nov 16 2007 	 great hotel fantastic location 	 stay Room 2005 two night part three week road trip . US $ 42 cab ride away SFO airport . arrive Sunday eveing , efficent check - in . delay . Business Centre 50 cent p / min . great room , include coffee maker . hotel right Fisherman 's Wharf . one minute walk Pier 39 , great food shop . I - Hoop Jonny Rocket 's premise . short walk car rental downtown , pick Avis vehicle . good tour -- can not get Alcatraz island -- ' Blue & amp ; gold ' ferry trip Golden Gate bridge around Alcatraz Island great narrative . free USA Today . fully recommend hotel . 
 Nov 13 2007 	 good location - unimpressive 	 hotel situate right next Fisherman 's wharf , ok central San Francisco . the hotel staff friendly helpful facilite ok - refurbish year back 's time another one . whilst room ok general decor bite dowdy corridor dull slightly depressing . price expect more . would not go overboard negative would stay - would want explore option ( lot ) first . 
