excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Jul 22 2008 	 good value - maybe splash en - suite next time 	 stay one night Herald Square Hotel state share bathing room , impressed consider room rate . take share bath room always adventure anyway . I one $ 89 single room ( $ 89 ! ny ! ) , tiny clean comfortable single bed . rockin ' cold air conditioner window , small nightstand , safe , sink mirror bar soap , hand towel , washcloth , bath towel , clothe hang bar . room smell little fusty close ( like small room smell morning someone sleep ) , since window a / c central ventilation , make sense . to get share bathing room ( one per floor recall ) , go hall , door , leave , leave , another hall . slightly inconvenient middle night . bathroom stifle hot hour - seem like heat hot weekend July - twice discover someone flush . Yuck ! clearly hotel 's fault , case make wary use shower . folk reception unfailingly friendly kind allow check soon room ready - 10 a.m. case ! complimentary coffee , tea , chocolate handy , free wireless . location clearly fantastic . will stay get one single bed en - suite room . fantastically reasonable price well . 
 Jul 15 2008 	 Awesome ! awesome ! 	 book online not sure expect .... 4 girl manage live quite comfortably 2 queen rm 8 day . hot airconditione godsend . always fresh towel , friendly staff clean . laundry facilitys great , nice lounge tea , coffee , hot chocolate etc . thing suck 1 key per room , drop box front desk other pick later . bed soooo comfortable , linen nice fresh . the location ..... AWESOME ! walk distance practically everything ... subway doorstep . post office door , great irish pub block away , pax deli around corner , great ( cheap ) breakfast . can not wait come back ! 
 Jul 7 2008 	 bad 	 hotel bad . staff kind room quite clean . could coffee , tea , chamomile , also sweet whenever want . hotel really centre city , another good quality , new york find odissey move subway ( wonder city still not think renew subway ... really need ! ) . rest , room quite small , give price , appropriate . thing satisfactory light : room face wall distance meter , day almost light night . 
 Jun 26 2008 	 rate NY good choice 	 go NY , stay one week look hotel good price / hotel tha find Herald Square . first day stay single room , queen room not available . single room clean great bed ( little old ) , Queen Room stay new ( 618 ) . good location Manhattan , close subway Empire State . want stay NY not want spend lot money hotel good choice . 
 Jun 26 2008 	 not overlook good budget Hotel 	 not put first impression . sure lift slow ( be stair impatient ! ) .this excellent budget hotel , centrally locate sightseeing ( Empire State Building ) & amp ; shop ( Macy 's ) & amp ; eat ( Little Korea ) , request one newly renovate room . we stay five day long trip Central Asia Russia greatly appreciate hotel 's service guest laundry , internet room 24 hour tea / coffee make facility lobby / tea room , mention extremely comfortable bed hot water ( eventually appear ) .99.99 % Herald Square staff professional exceedingly polite helpful exception ...... yep , rude , unhelpful , surly check - in person could not ' find ' reservation make nine month previously . classic case & quot ; Computer say ....... Naaaaaaaaaa ! . & quot ; .... not put first impression ......... ( tho ' think without people skill move back house good ) ........ Herald Square Hotel much recommend ! 
 Jun 10 2008 	 great rate city 	 Considering rate $ 99 / night city , know would not give much . room small , clean . enough room twin bed walk around . overall , good experience . could use coat paint outlet ( 3 ) ! choose type room , would advise take power strip . rotate charge phone , laptop , video camera , rechargeable battery . hair dryer flat iron deal . main complaint hotel shower , need something plumbing . would set temperature , would turn cold really hot . even cold water completely , would still cold . really annoying . know work floor hope address soon . get good rate time , would stay . 's decent part Midtown close everything . 
 Jun 9 2008 	 Bathroom big rest room 	 ' ve stay Herald Square several time year , room range bathroom - free unrenovated queen , be always dependable budget option . else get bed bath $ 99 ? actually , last time stay get bed bath . either ' ve extremely lucky upgrade every time ' ve , room literally cubby hole -- bed , couple narrow shelving unit mostly occupy phone , tv etc etc bathroom big room . since base operation , not huge deal , lack storage area little disconcerting . light minimal natural light -- room 's window open empty shaft . turn around arm outstretche be go hit something . even , Herald Square still one good deal city ... extremely clean , efficiently manage apparently ' m enough desk staff recognize now . but next time , either will keep finger cross upgrade move step room chain . 
 May 23 2008 	 Herald Square Worth Money 	 $ 250 per night Manhattan Herald Square good value . be sure get room Simmons Health Smart mattress . good location Times Square subway . room clean , plenty hot water , staff friendly helpful relocate due room construction noise close room problem whatsoever . overall , good experience worth money . want plush , move price . 
 May 22 2008 	 Basic hotel great location 	 Herald Square nothing fancy , be great part New York City . stay one night go nearby jazz club . elevator slow , first one arrive cart dirty towel . not really great first impression . take stair rest time problem . room small extremely clean . lighting room not good , outlet bathroom , bathtub large shower great water pressure enough hot water . plenty towel , sheet blanket good condition , door lock securely . much surprise , hotel silent night , get good night 's rest . staff friendly , though sort get feeling . $ 20 deposit get hairdryer iron ( iron board ) , be free coffee downstairs day . 's hotel would want spend lot time , be great be look place sleep freshen up . overall , can not beat location , book early enough advance , get room good price . will stay . 
 May 21 2008 	 pleasantly surprised ! 	 read review , new husband make point ask renovated room well worth . Manhattan 2 night honeymoon happy accommodation . stay first floor room comfortable bed flat screen television , although view window quiet spacious , clean nicely decorate . people front desk nice helpful coffee machine lounge area definite plus . location great : 2 block Empire State Building , 1 block subway couple train station ( carry week 's worth luggage problem ) , right Broadway 5th Avenue ( walk Mamma Mia hotel ) . grateful Tripadvisor website ! thank honest review fantastic honeymoon ! 
 May 19 2008 	 great hotel price 	 boyfriend spend five night Herald Square please stay . room big clean functional AC unit keep cool comfortable . bed comfortable bathroom big bright . although view whatsoever , pleased stay . downside change temperature water shower , especially . hotel staff friendly , important we . TIP - if need cab airport , take yellow cab private cab recommend hotel , fee $ 45 dollar plus toll compare $ 65 plus toll private cab . great time , hotel good location tourist area close . would return recommend other . 
 May 6 2008 	 great find 	 4th trip NY ' ve stay dump cost HS hotel , slightly weary staying read review - however pleasantly surprised . book unrenovated triple room ( 2 double bed ) . room small , date decor feel ( look similar picture previous review ) much view window , care . important thing room clean , secure linen fresh - certainly . bed extremely comfortable important long day shopping . hotel great position ( walk distance Macy 's ) nearby Metro get uptown downtown easily . people door friendly bar next door great glass wine . be also great place call Speedy 's Broadway great breakfast . overall , consider 's NY cost hotel , excellent budget hotel . 
 Apr 28 2008 	 ok pay 	 stay small room available hotel 6th floor . indeed small bed relatively small also , though comfy . rate excellent midtown hotel . big issue heating system - which automatic can not control ; mean operate whenever feel 's cold outside need room warm . AC control . view room towards stairway next build 10 foot away , need light room even daytime . open window , food smell might come since restaurant ( wine & amp ; cheese bar ) next door . think would need work bit put individual control heating device insure well ventilation room - mine feel stuffy would not open window tiny bit night . overall , get pay ; nothing fancy , good location , friendly staff , free coffee & amp ; tea 24/7 , free wireless internet conection . 
 Apr 23 2008 	 worth 	 book hotel birthday weekend boyfriend . cheap hotel book hope good . overall , realize New York , definitley not feel get money worth . not get renovated room not expect much . bed pretty comfortable small , double much small double ever see . also comforter stain gross , may coffee eww . our view fire escape look right room blind always shut privacy room end pitch black 10 . toilet not flush right take 15 minute get hot water weak water pressure . people front desk generally friendly big problem guy hold bag check . bus home leave 5 hotel offer hold bag . man come get bag lead we closet , stuffing bag ( breakable ) carelessly cubby , demand we tip ! ! ! reluctantly tip scared do not want mess around luggage . return pick luggage go back closet find luggage move around entire closet . man hand we bag realize forgot half , include laptop . hand bag upside stuff start fall breakable bag squish crunch . audacity ask another tip ! ! ! tell leave . overall worth ! 
 Apr 20 2008 	 Best Value NY Hotel 	 hotel recommend neighbor . book renovate room queen size bed delight hotel room . room spotless , well furnish appoint . bathroom clean appoint pipe hot water shower . there free wireless internet , flat screen tv importantly , safe room lock valuable . I view , spend time room , bother I . the hotel superbly position , close main Broadway Theaters , Madison square garden , Times square big shop . empire state building , Rockefeller Center Times square easy walking distance . also subway station around corner . this hotel excellent value would certainly stay . 
 Apr 11 2008 	 great 	 clean comfortable . nice room new bed bed . nice plasma tv cable . free wi - fi . great location - within walking distance many thing . 
 Apr 10 2008 	 love 	 great location , staff friendly helpful . 24 hour service good . room small clean . shower small . the hotel behind empire state building , close macys major shop . would recommend anyone stay . 
 Apr 6 2008 	 mmmmmmmmmmmmmmmm ................ 	 stay room 312 4 night . really pleasantly surprised , clean , safe , freshly paint , flat screen tv agree comfort queen size bed ! ! although en suite could freshen bit clean . shower weak water pressure hot day . front hotel expect hear traffic noise , mainly morning . really good location attraction , times square , empire state etc . do not really need help staff seem helpful enough give map direction , plus someone door pretty much hour night good . would recommend stay visit ny . 
 Apr 4 2008 	 well adequate 	 stay room 319 four night , pay $ 735 inc taxis . overall experience positive . room un - refurbished section . ask change , lady desk tell would pay . ah well . room face dingy concrete building end corridor hear little guest . room cool tfirst rather warm - ' m sure prefer . hotel room perfectly adequate clean , however , , other describe , bed extremely comfortable . the plus location ( two block Empire State building ) , bed , relative quiet . staf courteous I . negative : hotel low rent feel , give insistence $ 20 deposit iron $ 25 phone deposit ( use phone card , however , free - receive deposit back nothing deduct make 3 call UK ) . make wonder stay ? 
 Apr 3 2008 	 good hotel 	 good hotel New York . great location shopping . family stay five night two renovate room 1st floor . spacious clean comfortable bed , flat - screen tv lovely marble - tile bathroom . we travel elsewhere spend one night hotel fly home . time two room 9th floor , , although renovate , manage GRIM . bathroom not well decorate bedroom furniture , apart bed , not nice . so avoid 9th floor ! ! staff generally friendly helpful . 's complementary tea coffee , although hotel not offer breakfast , Speedy 's Deli minute walk away good . prefer anyway take generally mediocre complementary NYC hotel breakfast . the lobby area not impressive corridor generally bite grim , would DEFINITELY RECOMMEND HOTEL . 's good value New York , renovate room - 1st floor anyway - excellent . P.S . be , check wonderful korean restaurant nearby 32nd St. ( bet . B'way & amp ; 5th ) . Kum Gang San , example , great barbecue dish . 
 Apr 3 2008 	 Book ` ` New Queen Room '' will love ! 	 stay Herald Square three night September 2007 love . hotel build nothing flash , especially reception area , expect read review TripAdvisor . pretty confident & quot ; New Queen Room & quot ; book hotel website would adequate value money - ! bed comfortable , room huge NYC standard bathroom immaculate . room quiet , tv good everything room work . plus : laundry facility , free tea / coffee / hot chocolate / cookie lobby , fantastic mid - town location staff nice enough ( not many interation check - in check - out painless ) . , check - out present lovely souveni keyring ( unexpected ) ice cake pleasent comfortable stay . pay US $ 209 taxis / night reasonable standard accommodation receive . would definitely stay gain would recommend other want good value money excellent midtown location . attach picture room see . 
 Apr 2 2008 	 great staying : budget hotel ! 	 stay Herald Square 5 night , last week . give new large queen room , stunning : big , clean , high ceiling , flat screen beautiful shower . bed comfortable , crew always nice helpful location absolutely good . different idea 1 star hotel ( three four , see room ) price nyc quite reasonable , not understand people complain slow elevator extra service : everything will possibly need find herald square , rest enjoy city ! 
 Mar 30 2008 	 ILNY 	 Excellent budget hotel next everything ( walk distance Empire state Building ) . compact room everything ( plasma tv , desk , iron board iron , safe , daily room clean change towel ) clean room bathroom . great facility ( laundry room dryer , free beverages coffee machine , internet point office space , locker available suitcase [ handy evening flight ] .Looked tripadvisor hotel review book Herald choose especially cleanliness rating disappoint . good experience , hotel central place visit ( MET , Central Park , Wall Street , Grand Central , Empire State , Time Square ... ) either foot subway . 
 Mar 27 2008 	 great location - wonderful bed ! 	 ' ve come back 4 night stay Herald Square Hotel . impress everything hotel . location superb - locate west 31st Street 5th Broadway , Empire State Building literally around corner Macy 's . walk distance many main sight . walk MOMA , Times Square , St Patrick 's Cathedral etc . staff friendly ( thank especially Augusta Karl ) , room immaculately keep bed wonderful - 4 fantastic night 's sleep . free tea , coffee , hot chocolate etc lobby great idea . definitely stay hotel would friend travel . well do Herald Square Hotel ! ! 
 Mar 24 2008 	 small clean comfortable 	 single room stay , room small private bathroom , rare NYC price Herald Square Hotel . no - frill clean - good part bed , FABULOUS night 's sleep comfortable mattress . FYI , advertise hairdryer , iron etc . website , prepare leave $ 20 deposit , get back return . lobby coffee machine , morning put cookie , chocolate , etc , complimentary . I would absolutely stay Herald Square Hotel ! 
 Mar 21 2008 	 good hotel ! 	 get back 2 night stay hotel . old room think rate wonderful ( $ 98 night ) . read many review think get & quot ; newer & quot ; room realize book regular queen . okay be cost extra comfort room not necessarily need right . anyway , arrive hotel 2:00 . buzz not problem huge window receptionist sit right front entrance . say room not read would ready 3 . go come back around 3:15 still not ready , went decide come back night ready go bed . rent locker $ 2 leave luggage -- barely fit 1 -- 2 backpack , small duffel bag rolling carry - on . room old room -- bed , night stand , small bathroom closet . work we though need room sleep . bed comfortable enjoyable time . would recommend hotel . look rate recently notice go significantly . ' m assume try make renovation rate . 2 day book room , find room site $ 150 ! staff friendly , nothing exceptional . location great -- close many sight seeing place ! ! ! ! see old room stay -- hear construction noise morning , be assume redo entire hotel will not old / cheap room much long . overall good experience . 
 Mar 20 2008 	 Reception Staff Attitude 	 first arrive single bedroom ok size ws drilling work ask move . move much nice room newly decorate pleasant spacious . weekend come move shoe box room available . never slept TINY ROOM life ! ! ! ! ! ! small free . one horrendous experience ever . pay exactly amount move room quarter size previous one lack space . room small keep door open sitting inside . pay advance room bill use free access number call card hotel phone . ask charge told & quot ; do dealing & quot ; . never life experience rudeness hotel staff . needless say , check next day tiny room general moodiness front desk staff . never stay ! ! ! ! ! ! 
 Mar 20 2008 	 bit grim 	 stay Herald Square hotel 6 night even though cheap hotel NYC standard , still glad leave . go review must got old room old fashioned depressing . bed , though , comfortable . hotel general also drab unwelcome buzz staff , lift , slow . enjoy NYC , reflection , stay nice hotel ( book solely review - everyone different taste ) . 
 Mar 10 2008 	 would like keep one secret ! ! 	 return belate Valentine 's Day weekend wife Manhattan . select Herald Square Hotel week ago base recommendation make reservation . show , must admit , bit apprehensive due fact & quot ; buzz & quot ; get hotel lobby receptionist behind thick glass . feel bank bad neighborhood . however , no - frill hotel . concierge , porter , understand would take certain security measure . understand , hotel undergo renovation , part lobby prove fact . decent sit area another area grab cup free coffee along complimentary chocolate . we discover hotel use original LIFE magazine building , do good preserve heritage many , many life photograph position throughout lobby & amp ; building . we arrive early Saturday tell room indeed ready . receptionist friendly tell we beautiful room 8th floor . great ! keep mind building build late 1800 's , elevator ride experience . day age super fast elevator , elevator slow molasse . be hurry , take stair . room surprise . everything look brand new . previous poster 's picture , seem though room recently renovate . also , since top floor , 15 ft high ceiling , treat . wall freshly paint , window view nowhere , fine , be nothing see 8th floor window city , unless be shoreline . queen size bed room . size room , fairly small , high ceiling , not matter . bathroom also appear freshly renovate , completely tile , brand new tub , rain - style shower head . bathroom 1/4 size room , large ! one minor complaint hot water take little bit time get warm , get , issue . room amenity include 27 inch flat screen tv , large room safe , small table , small desk , telephone . night , strange noise quiet . the location good , right 31st & amp ; Broadway . be withe walk distance Village , Penn Station , Grand Central , Empire State building , Times Square , & amp ; Rockefeller Center . my wife want write review would prefer keep hotel secret , fortunately , believe sharing . since understand hotel currently renovate since lucky enough put 8th floor high ceiling renovate room , definitely favorable review . judge room show previous poster 's picture , would recommend be come hotel , ask renovated room . total cost Saturday night stay taxis , room queen size bed : $ 196 . 
 Mar 9 2008 	 dump 	 dump , ok location good , be well glorify boarding house unless one upgrade room . lobby revolt , elevator travel snail 's pace , seat area lobby youth hostel standard , bar - vend machine coffee . room tiny , bathroom size closet , hotel cold , numerous request put heating meet disdain ( ; cold enough outside yet ! ! ) well cold enough inside . corridor noisy unattractive . 
 Mar 3 2008 	 good find 	 good hotel budget . newly renovate queen room nice , small side . window not look much , courtyard building . bed comfy need good day shopping ! flat screen tv nice touch aswel aveda soap bathroom . room clean staff alright , good ! hot chocolate god stairs location , perfect . main road avoid noise night right beside macy 's someother god shop , block madison square etc ... would recommend anyone ! ! ! ! 
 Mar 2 2008 	 good value 	 good location , low rate , ugly lobby , slow elevator , great bed . 
 Feb 19 2008 	 Great Location price 	 place use stay convert condo 's look new place . end Herald Square Hotel . location right Macy 's . room small nice . window look nothing ... kinda claustrophobic first , get use . bathroom newly redo . make sure ask refurbish room . flat screen HD tv new bed . elevator small lobby nothing get excited . , feel safe rest well night . hardly street noise . price location great spot , unless look luxury extra amenity like restaurant hotel . say wireless internet could get strong signal room . call help twice , learn turn heat get hot water shower . time response time minute problem fix immediately . highly recommend place hope see room fix future . 
 Feb 9 2008 	 nice Stay Hereald Square 	 Booked 1 remodel queen room directly hotel ' website $ 139 / night 4 night February . location fine review state ' elaborate – although business district many ' good ' place eat nearby , easy use base go there . the hotel undergo renovation bin full building debris wheel lobby check . lobby dull exception little coffee room right walk . coffee machine make horrible coffee , also tea hot chocolate . bowl Hershey kiss peppermint patty nice touch . coffee room clean , first floor rest room . locker area need TLC provide ample room securely store luggage check early room ready . the elevator need help , ' see anything do hotel do use haul construction material in / out hotel . room 9th floor spotless . bright white fluffy duvet , white sheet , pillowcase blanket fantastic could tell glance clean – ' shove dirty comforter closet hotel ! room wonderfully high ceiling , flat screen tv , desk , table 2 chair , 2 queen bed , large closet plenty hanger luggage rack . work window open 31st street . heat would shut window open entire stay room comfortable . expose radiator pipe bathroom dangerous , touch could cause serious burn ; child we would done something . hotel provide soap ; hairdryer borrow desk ( bring ) bring shampoo lotion . photo little dark – room bright , clean cheerful . staff friendly accommodating . hotel many security camera monitor front desk area . night buzz / in attendant duty – always somewhere anytime come day night . this good value city outrageous hotel rate , safe ; would return . 
 Feb 6 2008 	 great hotel excellent position - bargain ! 	 return 5 night stay Herald Square honestly say fantastic hotel ! one refurbish room wonderfully do . huge 15 ' ceiling , flat screen tv really comfy bed ! bathroom also lovingly do bath big could swim . could not belive much space midtown hotel . the room thoroughly clean every day bathroom come supply Aveda tolietrie ( love ! ) .The desk staff little brisk , not think problem , seem quite usual nyc.the position hotel great , easily walkable Macy 's , Empire State Building plenty subway station really close by . I would recommend hotel , traveller budget , traveller want comfort long day sightseeing shopping city . 
 Jan 29 2008 	 great location ! 	 room 208 quite large one newly renovate room . our room clean quiet . great location . hotel validate parking around corner rate $ 21 day . 
 Jan 28 2008 	 Great Location 	 choose accommodation read review TripAdviser . location excellent purpose prove good value money . the staff not particularly friendly provided help request . the room small certainly problem - enjoy city room . clean enough . 
 Jan 25 2008 	 Fabulous ! 	 stay husband May 2007 . easy find great location . bump we nice room unexpecte much appreciated . room clean spacious . bed linen fantastic . thing would add refrigerator . service also good . would recommend hotel friend family . 
 Jan 21 2008 	 Great Location Cheap Accomodation 	 stay late December 07 til early January 2008 . unlike hotel nearby , Herald Square put price day surround new year . great , consider 15 minute walk time square . close empire state , madison square garden , macys 5th Avenue . staff helpful cleaning staff amazing . room clean daily get fresh sheet towel , hard come New York $ 300 night . there free tea/ coffee/ hot chocolate machine downstairs , well laundry computer room . always staff front door make safe . the room smallish , bathroom even small , do not spend much time room city like New York . I would thoroughly reccomend hotel . advice would give would ask newly renovate room , much large nice old one , come plasma television . 
 Jan 20 2008 	 Fantastic New York Find 	 book stay hotel directly website read great review , certainly live expectation . the hotel perfectly situate sight seeing shopping . base Midtown definitely place , 3 block Macys , 1 block Empire State Building & amp ; 20 - 25min walk Time Square . we book one Queen Bedrooms & amp ; travel another couple request room close , hotel able arrange we . queen room perfect stay New York need shower & amp ; sleep ! room surprisingly spacious , recently decorate , clean & amp ; modern , complete flat screen TV & amp ; comfortable mattress ' ve ever sleep ( hard day shop much appreciated ! ) & amp ; cheap hotel find mid - town nyc.all would highly recommend hotel anyone & amp ; would definitely booking . 
 Jan 14 2008 	 big bargain ny ! 	 come back 4 day stay Herald Square Hotel find excellent around . pay $ 99 per night not expect lot . however pay lot lot less ny number occasion ! yes room small fine ( spend long time room NYC anyway ? ! ) bed extremely comfortable , room spotlessly clean staff extremely helpful courteous . free tea coffee lobby great extra too . location excellent - 2 block Macy 's middle town . definitely stay would highly recommend . 
 Jan 12 2008 	 False advertising - think Twice Staying 	 find list Herald Square search Boutiqe Hotels NYC . Herald Square website look great . however , get , realize website way representative place . lobby good part hotel even , find fact staff remain encase behind assume bullet proof plexi glass disturbing . problem check we last name Carlson . staff keep mix we Karlsen ( stay ... name problem later ) . & quot ; upgrade & quot ; well room take incredibly filthy noisy elevator floor . enter room small , expect NYC . however , carpet dirty wear - idea old , tell neither sister dare walk bare foot . furniture basically formica cabinetry show webpage . light room spark turn on- scary . a / c unit room work , despite several call front desk fix one vist maintenance person , never fix . hair dryer room get one , leave $ 20 deposit . call front desk cup tell would bring , never arrive . cup huge deal , disregard request indicative type service place . last night , request wake call would sure catch flight . call never come luckily wake nick time . check experienced confusion regard last name & quot ; Carlson & quot ; vs. & quot ; Karlsen & quot ; . assure everything correct happily leave horrible hotel experience behind we . week later , Visa bill arrive find charge stay ( Carlson ) , also & quot ; Karlsens & quot ; . contact hotel error correct treat rudely unconcerned staff . tell would fix , course , not . many call later many rude employee , issue correct . hotel one redeem quality . boutique hotel city much well job . not waste time / money place . truly awful . 
 Jan 8 2008 	 great location 	 nice little hotel great location . within walk distance empire state build major shop ! staff lovely friendly . problem room absolutely tiny ! bed barely fit ! though , hotel fine look basic hotel good location , perfect . 
 Jan 1 2008 	 Unexpected Gem budget class hotel 	 wife stay Herald Square Hotel 2 nite december part shopping trip New York / Boston . little apprehenisive base previous review , yes hotel not look much outside , foyer tiny , lift look dodgy ! lovely room make difference .. newly renovate room surprisingly spacious ny , bed huge comfortable , plasma tv , lovely bathroom , clean .. lovely feel overall . location ( 31st ) also perfect Macys , within walking distance .. also within walking distance Penn station / Madison Square Gardens , handy train Boston . also find staff helpful efficient . my advice would ; not put first impression , excellent budget hotel , ideal shopping , make sure go newly renovate room . 
 Dec 18 2007 	 Fantastic Value 	 return 3 night stay Herald husband 2 teenage child . hotel provide fantastic value money . ideally situate Midtown , round corner Empire State building Macys . check efficient upgrade new refurbish room . room relatively spacious , 2 large double bed , comfortable indeed quality bedlinen . flat screen tv dvd player , bathroom clean . hair dryer borrow reception $ 20 deposit . additionally , hotel provide free beverage ( tea , coffee , hot choc etc ) lobby handy morning . also utility area washer dryer need they . we great trip use hotel next time visit . 
 Dec 15 2007 	 great hotel midtown 	 stay HSH Dec. 12 - 14 , 2007 . location good . room excellent bed well . front desk staff pleasant extremely helpful . would hesitate stay . definitely recommend hotel friend . 
 Dec 15 2007 	 real find ( not tell everyone ! ) 	 hotel real gem . previous reviewer say , fantastic , comfortable , bed , sheet change daily . also , plenty fresh , clean , towel every day bathroom . location hotel great , near Macy 's . think hotel nearer Times Square would bit much we . would highly recommend Le Bon Gout deli around corner hotel good reasonable food also . can not recommend place high enough ( money ) . go , will not disappoint . 
 Dec 6 2007 	 Good Stay 	 Hotel expect review . Room Small extremely clean . Hotel Old look currently room ( 2 room beside we done finish within 3 day we ) .Hotel well locate 31st 5th 3 block Macys ( G / f happy ) . like clean cheerful hotel much fancy airs grace stay . 
 Dec 4 2007 	 second stay even well first ! ! ! 	 ' ve travel another couple ny several time stay Herald Square twice . book remodel room would highly recommend ! reception staff good first time improve since last visit - professional . Monica extremely helpful , polite accommodating ! gentleman working morning leave also nice helpful ! recommend great italian place around corner , Bella Napoli - love , great NY charm reasonable . room clean bed AMAZINGLY comfortable ! ' ve never sleep comfortable bed , . hotel go great length great hotel succeed . would definitely stay recommend friend co - worker . 's hard beat price location , unless want right Times Square . 's short walk wherever want go walk much fast cab . : ) 
 Dec 3 2007 	 Basic Hotel Centrally Located . 	 Husband & amp ; stay Friday , 2nd November 3 night . first time New York book upon recommendation colleague . tell hotel basic location excellent lot place within walk distance importantly 's expensive hotel . compare price option look web certainly seem case , unless course manage get & quot ; special & quot ; one ' mind tacky place offer . therefore , ground decide try Herald Square Hotel . would entirely agree tell advance ; Hotel rather old fashioned , nothing glamorous . room basic , small clean look onto wall fire escape ( room view ! ! ) . sort fan air con system window blow cold air first night , although adequte amount bed clothe bed still warm stand walk room feel cold . tell receptionist next day think heating turn seem well . 3 night stay , not really noise , apart air con room , grateful . conclusion , would recommend hotel look centrally locate basic ( tv ) , clean , small room without fancy trimming reasonally price rate . say & quot ; reasonably pricedt & quot ; , well New York be talk , price beyond would normally expect pay . think 's suitable visit tourist move throughout day want use room base ; somewhere sleep day 's shopping tourist site . prepare 's Hilton stretch imagination , be sure . : ) 
 Nov 27 2007 	 wonderful hotel ! 	 commotion NYC holiday time , be wonderful know still hotel find level charm comfort reaonable rate ! would stay instant ! 
 Nov 17 2007 	 scarred life dodgey bed ! 	 hotel great location expensive . hadthe pleasure meeting grumpiest receptionist world weboth cut leg pointless bit metal stick bottom bed . small room natural light wierd andsomewhat disorientate . be well cheap around . 
 Nov 16 2007 	 truth room 	 stay Herald Square Hotel six night begin November . book hotel website ' standard double room ' several month ago option available date . promise early booker ' the good room selection ' hope will get new room ( read review ) . surprise open door pleasant one . room really small , something normal Manhattan . tiny window possible overlook wall fire escape stair constantly use keep curtain tightly draw time . big problem , however , dingy , smelly , basic soooo old . look like shabby motel room b movie . one time light beige furniture become dark gray dust time carpet carry sort stain . nice thing soft bed clean sheet . I go reception ask could upgrade well room since stay almost week . rather rude reply ' well , book cheap room , expect . ' explain website not offer option - specifically write could book new room high price would do . besides not think 270 dollar exactly cheap - certainly expensive kind room ' ve get . lady agree move we new room ... pay another 100 dollar per night . , mind Herald Square whole different hostel pension definitely not offer service amenity hotel ( one star - fact not pay much attention , not overlook ) think 370 dollar wayyyyyy much even new room . yes , location great check , price four star Radisson next door turn similar - 390 dollar difference huge ! careful book Herald Square . 's widely advertise budget hotel new room overprice old room bearably tolerable . place good value busy ( January example ) time find great deal much well hotel well . next time will definitely go somewhere else . 
 Nov 7 2007 	 family Croatia 	 stay Herald Square Hotel last September ( 8 night ) .That second time New York City . first time stay Herald Square Hotel , . say - excellent ! will back ! 
 Nov 4 2007 	 great value money 	 get back visit New York New York , find hotel fantastic position right near Empire State Building , approx half way mark Manhatten Island , hotel clean , bed comfortable great pillow , room big enough bathroom , New York , room much anyway much see . not explore Hotel much hardly anyway , buy time get back Hotel , really need fantastic comfy bed . would recommend hotel site see bit big apple , important aspect hotel ther eeg : goodbe hot water much need shower . 
 Oct 31 2007 	 honeymoon 	 stay Herald Square Hotel 10 day honeymoon April . find hotel Trip Advisor decide try base good review . Don´t let impressive entrance fool . quite simple average hotel . look candid camera picture decide stay here . got small dark room first floor tiny window towards tiny darkest court yard ever . room normal sized , clean newly renovate interior large flat screen tv . bathroom feel new clean . strong impression hotel clean keep room , forget , location excellent . block empire State Building . honeymooner might romantic getaway . great time city anyway ! 
 Oct 25 2007 	 Loved Herald 	 husband stay honeymoon USA stay 24th September 2007 27th September 2007 3 night total . we great time Herald . one new refurbish Queen bed room . room nice although really small aparently New York room small , know mean small , small bedroom home , queen bed middle two side table side table end that s wall , desk end bed enough room walk , do not get wrong great hotel , expect little big photo see site . the bathroom big , room clean great bed . if fridge would even well , invest money magnife makeup mirror think fridge would well investment . the facility good , free coffee laundry facility . great location . 1 block Empire State building block time sqaure . overall great time Herald Square Hotel . 
 Oct 22 2007 	 excellent location good value 	 choose hotel price around $ 230 per night good could find hotel good review location . stay 5 night & quot ; large double double & quot ; - unfortunatly hotel full could not get new room . the hotel currently work renovation . room top floor not renovate clean , spacious bed comfortable . little & quot ; tired & quot ; appearance . the hotel would describe frill . conceirge ( although hear reception booking car airport ) house restaurant / bar . lounge area free hot drink machine nice touch . the real plus hotel location . stress good money . walk time 3 min Empire State Building , 5 min Macys , 20mins Times Square , 2 min subway ( try , much easy appear ) . plenty place eat within walking distance ( restaurant right next door hotel not try ) . recommend cafe Radisson ( 2mins ) breakfast - la carte much well value buffet upstairs , basement restaurant Macys excellent dinner Heartlands Brewery Diner entrance ESB great lunch dinner . the thing would say look luxury stay elsewhere recommenmdation would spend extra shopping etc stay Herald Square . P.S - recommendation . try New York Party Shuttles want tour , go TKTS booth South Seaport get theatre ticket ( get Grease third - tell virtually impossible get ticket ) get bus Jersey Gardens want outlet shop much well Woodbury Common easy without buy tour . 
 Oct 14 2007 	 recomend 	 excellent location . the hotel everything want . 
