great 	 quaint hotel right Union Square far trolley car busline . staff always helpful . room keep clean maintenance clean people great . four time ask room away elevator stair go relax enjoy . get king size bed last time comfortable even write ask type pillow bed ! one thing San Francisco exclude hotel bothersome we , panhandler . without exaggeration , take walk block away , approach minimum six time money . love King George talk maybe stay next time find hotel similar , away Union Square area . not dangerous aggressive , not afraid , bothersome . love King George though . Lori 's restaurant right next door , great american food , nice old fashion 50 - 60 's diner , people great also . would suggest stay highly . be really lovely hotel . 
 Sep 22 2008 	 good location get pay .... read 	 husband book trip discount website , search review post tripadvisor stay area . finally settle place even forwarne other problem .. check quick easy , take note extremely small check area lack almost brochure tour sightseeing , . problem number 1 . extremely tiny mean enough room 4 people elevator . even take time send email general manager ahead time say , clostrophobia quiet badly please put tiny room , say need change hotel let know .. .i assured would work .. really use stair due , stair spiral way . agree one poster , room clean , old , power outlet coffee maker closet ! ! ice machine floor one guess lobby .. bed clean , bathroom give new meaning closet size , yes yes , know well nt go to much trip .. well guess , make diffrence , lucky back room without decent view , little road noise nice , a / c fan , window open way let nice breeze . make good situation , could see room hallway , . big crack , husband listen helplessly another frisky couple hour fun , room next our . , way drown noise , , , point take we thin wall ... anniversary trip .. really want rave little hotel , really , good location , safe location awesome irish bar across street , bar downstair hotel open three four hour one time three day open .. amenity non existent .. 
 Sep 10 2008 	 great location pleasant staff 	 hotel fantastic location one block Union Square . slightly old fashioned term decoration etc , clean well maintain . room average size , large , small either . air con , window open , provide fresh air also overhead fan . our room non - smoking , request bed comfortable . bathroom clean actually bad size mean . Shower work well sufficient amenity include fresh towel daily basis . decor hotel slightly reminiscent 70 's hotel nevertheless , serve purpose . room service hotel bar serve wine beer . happy hour 1700 - 1900 , believe . staff excellent . friendly , helpful pleasant . concierge go extra mile we front desk staff . also offer chaffeur service SFO airport slightly cheap rate . I would stay . question , please hesitate drop message . PS- diner next door fantastic , great staff great food . please visit , will not disappoint . pps- ' ve rate 3 star base purely amenity per standard , quality . Quality would score hotel 4 , easily ! thank 
 Sep 3 2008 	 like stay cardboard box ? 	 really want like King George , really . price good , location absolutely perfect ( one block Union Sq . Powell St. Cable Car route ) , room bathroom clean . bed even nicer average cheap hotel . staff friendly . however everything else awful . first , put miserably smelly smoking room ask non - smoking . could not move we complain last room hotel . well , hold room reservation , not hold right one ? move we next day compensation - could say minor problem really unpleasant experience . give however perspective two totally different room . room TINY , ' m talk cruise ship tiny . tolerate , especially price major city , wife displease . aware . secondly , bathroom , clean , small counter space , small glass shelf hold little . second bathroom much big first shelf space . order , much unpleasantly , water temperature shower wildly uneven . went freeze boil back , make take shower take twice long hide corner wait temperature regulate . , * sound * minor huge problem 4 night . but even give pass , single bad thing hotel , give two star , will not recommend anybody , door , floor , ceiling , wall thin balsa wood . hear everything try go bed . tv across hall ? check . couple next door romantic evening ? check . scream baby one floor ? check . cable Car bell 9 floor 1 block away ? check . horrible . build A / C can not blast fan drown noise , 's visitor try save buck cheapo King George . normally never complain much , can not think last time submit negative review something , something share . buyer beware ! 
 Aug 27 2008 	 great little Gem ! 	 love hotel ! cute little boutique hotel close Union Square . comfy bed room clean . love character hotel fact couple block Muni Bart . nice lounge , nice clean bathroom , nice staff . skip diner next door breakfast , be well place call David 's around corner . will stay ! 
 Jul 30 2008 	 great Stay 	 friend stay hotel 4 night end road trip . it easy find problem go car . the hotel ist around Union square within walk distance shop , restaurant etc . very friendly helpful staff . room nice clean . my next time San Francisco definetely stay ! 
 Jul 29 2008 	 Nice hotel great location good rate 	 first trip San Francisco & amp ; idea stay . finally go King George mainly price location . get great deal net Hotels.com 3 2 offer however check informed room 2 instead request room 3 - Dad , Mum & amp ; 16 year old son . however receptionist quickly save day & amp ; sort we upgrade big room 2 double , albeit pay small surcharge . room definitely small - adequate comfortable . Bathroom could squeeze 3 people together ? shower powerful warm towel soft change daily . overall everything need . we stay 3 night San Francisco wonderful city . do not really use concierge appear helpful guest . only try buffet breakfast final day really good especially price ( $ 8 ) .Drew Barman mention early review worth mention good fun great personality guest . overall , nice hotel comfortable stay . great location close Union Square . would recommend especially rate charge . 
 Jul 26 2008 	 great stay good price 	 hotel great find . book hostel like , first day San Francisco we circle Union Square area , look hotel space affordable . would not know , last place look , hotel 2 door hostel . the staff incredibly cheery , welcome gracious . front desk agent give we bargain , charge 3rd person rollaway . king bed clean comfortable . spacious closet , perfect 3 girl ' luggage , pristine white bathroom , blackout curtain ( always appreciate sleep - in ) large window let sun fresh air . Cable tv free wireless internet add bonus . also charming little lounge main floor . not actually use , serve continental breakfast , afternoon tea group weekend , think drink evening . ' ve stay lot hotel , not quite Hilton , well , totally satisfying . 
 Jul 14 2008 	 fantastic stay 	 REALLY nervous finding place stay . read lot review first time San Franciso , travel , want stay place safe also budget . get good deal cost room frighten even - let us say keep expectation low preparation go arrive . Boy suprise . reception staff friendly efficient . yes room tiny clean , nice decor everything could possibly need , include free internet . comfortable . room corner must look ally way window frost anyway . level 2 problem noise . bed comfortable . much closet space stay 2 night issue . bathroom toiletries shampoos , moisturiser etc . coffee facility room well . the location fantastic . block Union Square park right heart shopping district . btw , like Mexican , great take away place around block hotel . the downside find elevator rather slow stair do not wish wait . the concierge helpful ask assistance travel next destination , print timetable sort taxi . hotel minded luggage day leave afternoon . I say , really enjoy stay would highly recommend single couple travel - actually already recommend people meet sightseeing . ever go back San Fran , definately stay . 
 Jul 2 2008 	 Great Hidden Gem 	 hotel small , quaint cozy . great deal price great convenient location . hotel staff could not nicer . airport shuttle not show call taxi pay . fun , friendly bar bartender ( Drew ) make excellent way end day . 
 Jul 2 2008 	 Great Hotel 	 want find hotel resonable go city 5 night . review numerous review trip advisor hotel , go King George . hotel great friendly staff greet . not expect much room small room ideal two people / couple . not go expect big room ! besides room comfortable , would say street noises night need time get use . first couple night , hear garbage , people talk siren . use live downtown area lot noise , may like much . not mind would nice reduced level noise come . overall hotel really good , great location Union Square area restaurant go ( Sears breakfast must ) . downfall probably parking , car ask one front desk much parking , tell $ 20 park across street . think , pretty good deal go . next morning check , tell owe $ 28 . basically , staff evening give we wrong rate give we wrong direction work parking . would say probably bit turn end enjoy stay hotel . 
 Jul 2 2008 	 Disappointing compare last year stay 	 stay last year great stay susequently leave excellent rating . however , stay king george year big disappointment .... room small would issue housekeeping terrible ..... room half service day ... towel rarely change 5 night stay , coffee never top room musty smell room annoying . radiator make loud rattle hum sound tell heat old steam system ... not experience problem room stay year . addition must leak radiator carpet alongside radiator saturate , assume , likely responsible musty smell room . the thing hotel help keep rating ..... 1 ) location2 ) staff ( FrontDesk especially Drew Bar ) hotel , state previous review hotel , excellent .... block BART , shopping activity . the staff hotel , time , friendly polite . however good experience hotel Bar night . spend lot time year hotel bar entertain night draw barman . meet draw previous stay hotel 2007 time impressed ability relate person bar . year remember we could not anymore helpful friendly . another great thing frontdesk staff facility place advise arrange daytime tour taxi 's airport . staff hotel make experience comfortable consider unexpected drop standard room compare previous stay there . another improvement hotel offer change breakfast menu ..... self service buffet replace original overprice menu . variety offer increase make suited need . 
 Jul 1 2008 	 ok 	 SFO many time King George always list check . hotel good area , close everything . european feel . we arrive morning able get early check nice . the room small ok use small room SFO Europe . the main thing room clean functional . the one thing ceie fan air conditioning advertise Air con room weekend cool windy air require anyway . we major problem hotel . alot say . ok , great , bad . we get decent rate room , less regular room rate web site . would want pay per night ... ... worth itwould stay , probably .... unless rate good could turn . 
 Jun 26 2008 	 comfiest bed world ! 	 stay 19 - 25 June 2008 honestly say one good city hotel ' ve ever stay . staff reception friendly welcome arrival despite late check - in . room perfect . although not nice view ( low roof side next building ) utterly peaceful quiet . yes , little noise resident corridor , hear little guest room either side . the room great , temperature range 103 one day 53 next heating overhead fan enough keep room comfortable temperature . bed amazingly comfy bed ' ve ever sleep , need long day hike San Francisco street ! amenity wise room everything could need - safe , iron board & amp ; iron , coffee & amp ; tea facility , hair dryer even candy jar ! room compact perfectly comfortable bathroom small 's small find easy enough manouvre . sheet , towel room general clean fresh rest hotel . breakfast hotel typical continental breakfast . Croissant , muffin , cereal , yoghurt , fruit & amp ; coffee / tea $ 7.95 . diner either side hotel offer great american breakfast , find hotel breakfast suit we well . we use hotel bar quiet , comfortable , well price staff friendly there . the location hotel ( 2 min Union Square & amp ; 5 min Powel Street Cable , Bart & amp ; Muni ) second none . hotel surround restaurant , shop amenity could need perfectly place base view rest city . all King George really help make stay San Francisco fantastic would recommend anyone . just one last thing - transfer JFK New York direction delay least hour case 2 ( cause we bit panic way SF although still make due efficiency Delta airline transfer ground staff ) be go way make sure leave least 3 hrs transfer delay JFK seem regular thing . 
 Jun 6 2008 	 COURTESY not COST PENNY 	 know budget hotel decide stay . $ 165 night San Francisco bargain . ' m okay small room , room service , amenity . ' m okay employee nasty attitude , confusion check ( tell room ready , go considerable luggage , find housekeeper still clean room , sheet still floor ) , failure apologize & quot ; honest & quot ; mistake , lose package one take responsibilty . complain service , tell not like look another hotel . spend another night , be sure . package leave Thursday 4 p.m. find Friday 9 a.m. suggest remedy ( call person accept package , whose name ) someone begin start work . big difference bargain contempt customer . run , walk , away opportunity experience poor service . 
 Jun 5 2008 	 Meh ... 	 well . dunno say . not usually stay boutique hotel , may little biased . stay friend conference mid May 4 night , since major chain hotel book solid , close could moscone without break bank ... room 2 twin bed . room tiny , tiny closet . room kind ... & quot ; lived & quot ; smell ... like perhaps comforter not wash awhile , room well ventilate . Carpet little old . bathroom TINY -- keep bump knee tub everytime go , bathroom , clean . light rather poor , gal , make - up application difficult not bathroom .... upside , staff wonderful ! accommodate . fresh apple snack everyday lobby . although onsite gym , contract gym two block north Mason . lobby cute love spiral staircase . kind sketchy thing night , since hotel almost next door hostel , interesting , loiter character outside hotel -- none bother hotel guest . hmm ... overall ? probably bad boutique hotel . migtht stay bind , really cup tea . 
 may 14 2008 	 disappoint 	 travel agent book King George April 30th . receive email King George cancel reservation due ' software error ' . already confirmation . call hotel assure reservation . travel agent call tell reservation , willing offer free night another stay . disappointed lack professionalism staff hotel . stay , sure tell anyone ask honor reservation book King George risk . 
 Apr 30 2008 	 Loved Hotel . 	 stay one week January , love . warm comfortable room great service . 's location excellent right next shop . lovely little din next door . could fault way . definatley stay . warm welcome busy city . 
 Apr 19 2008 	 favorite sf hotel 	 first stay K.G . 80 's first open . since mid 90 be return steadily 2 - 3 time year . 's welcome revisit property greet name core staff stay many year time . this beautifully maintain old boutique hotel fairly price block half UnionSquare . do expect modern , hip , cut edge kind place [ two across street ] .Do expect old fashioned warmth hospitality professional staff folksy friendliness remind one time go hotel mean get away relax . v . Titus Reno Nv . 
 Apr 1 2008 	 Pleasant Stay 	 arrive Easter Sunday , 3/23 stay 4 night leave Thursday , 3/27 . request early check - in , queen bed , corner room accommodate . check - in easy problem . room small side large old city , expect . window single pained screen literally hear everything outside people talk , glass bottle thrower , siren . bother , bring plug not see problem change matter room stay . buy bottle wine room call front desk within 5 mintue , wine glass bottle opener send room . 1 elevator either patient take sprial staircase . People luggage complain take stair hello , SF ! ! ! walk angle kinda come territory ! ! ! ! ! hotel provide cold continental breakfast take part comment . bar area open night 930ish . nice , even & quot ; hh & quot ; price . Drew nice guy ! check - out easy check - in . 
 Mar 15 2008 	 feel deceive 	 read review description hotel gym spa attach . get find gym small gym street charge something like $ 10 work separate salon street . staff friendly room small uncomfortable ( live 11x13 ' studio w / separate kitchen bath 6 year ) .additionally warn elderly people knee problem careful quite flight stair without elevator . gentleman front friendly carry luggage knee problem beware ( ' m Physical Therapist lot client would problem stair ) . decide go let know ahead time need take least amount stair possible . parking also far keep mind ( unless get rare spot outside hotel ) . 
 Mar 9 2008 	 strange 	 recently stay , room small clean . feel like could hardly move room . hotel staff excellent friendly helpful . sean concierge excellent professional gentleman . location good convention . right hart oof everything . forget eat hotel try Lori 's diner right nextdoor great food service reasonable price . room large instead size coffin place would great . reason place decent itsemployee 
 Jan 24 2008 	 worry KG decent deal great locale- great staff 	 quite worried arrive discover have book local hovel , actually , king george centrally locate ( union square , across convenient parking lot rate nearby ) . be tiny place , seriously well worth . staff helpful kind- note ask could print business center , deskclerk offer bring flashdrive could print desk instead charge . staff always responsive , friendly ( even 2 am , ask recommendation dim sum ) , always take go way standard , remarkable . refresh free WIFI ? business , work hour day night , signal pretty decent , small slowdown first thing morning last thing night . first show 510 , size postage stamp , ask different room show 506 , large room really comfortable . general , room small , SF . corner store 2 bop away , able get water , etc room . noise level not bad . lot restaurant within spitting distance , easy walk MacWorld . look high low room , read review , well find price range , would go back , easily . 
 Jan 23 2008 	 Comfortable well - appoint ` ` Old World '' Hotel 	 much enjoy one - night stay King George , stopover flight Sydney London . accessible Powell Street BART Station . concerned look corridor , due shabbiness mere architecture look .... well ..... old . enter room , however , doubt relieve . small nice room comfortable bed lot nice touch . free WiFi internet , cable tv , big fluffy towel selection soap . neighborhood rife restaurant theater . would recommend King George other , will likely stay . 
 Jan 2 2008 	 Small room Big Location 	 return first trip San Francisco incredibly impressed stay King George . room , fit two twin size bed , charming clean . mattress bed comfortable . yes , room small side bathroom 's tight fit , not problem we . read comments street noise , however , learn another couple stay problem high floor . room fourth floor face alleyway , noise present minimal . staff attentive helpful . first night , problem radiator maintenance come right help . nothing major , radiator not turn . also get great tip front desk place plan visit , add experience . price location hotel beat . bit shock close everything ( BART , MUNI , Union Square shopping restaurant ) consider deal several high end hotel vicinity . feel lucke . can not comment hotel parking rely public transport entire stay . my complaint breakfast . 's standard continental buffet fare , go next door diner hearty hot breakfast price . overall , stay wonderful . small room not problem , King George place stay . 
 Dec 5 2007 	 Excellent hotel - great location value 	 family stay King George five night enjoy everything hotel . first time SF everyone amazingly courteous forthcoming . provide we restaurant suggestion extremely helpful . would certainly stay . 
 Dec 4 2007 	 stay risk ... 	 two word . Bed Bugs . stay weekend walk bites body , include face - fun . staff extremely apologetic compe we valet parking $ 32 , feel could do . room also old small . front door room not solid large gap underneath literally hear even see people walk . staff nice good rate location , enough convince stay . 
 Nov 28 2007 	 Great Place Great Price 	 think favorite place stay San Francisco . super close Union Square , $ 100 / night range . room not big ; , unless pay $ 400 night area , get huge room . basically , great place stay plan explore city . clean room great location ... ask city . 
 Nov 28 2007 	 nice little place 	 mention , small clear room , nice location , helpful staff . actually bathroom far big expect , read review go . new ( ) parking ticket machine/ ( hotel , restaurant ) validate process quite hassle . complicate necessary imho.this one old hotel , single slow elevator solo serve everybody , exactly effecient . internet horribly slow . ask desk connection kit not forget wireless connector ( old computer course ) .The sound proof good either , hear people slam door day well late night . next door conversation come fluctuate murky noise . room face side street street noise tolerable neighbor . this well bad old hotel ' ve . convenient average safety location really help . stay Maxwell around corner long ago . somehow be homeless people around King George . 
 Nov 14 2007 	 clean convenient heavy street noise 	 stay five night business trip . when arrive , wireless internet room . speak support , front desk provide & quot ; wireless bridge & quot ; refundable $ 150 deposit . not work either . end spend evening & quot ; bar & quot ; downstair wireless work . take reset server day shift get work . the room small , nobody stay less - expensive room boutique hotel expect large room . room two twin bed - wish hotel offer . be hard warm one monster king bed ! room clean every aspect . San Francisco hotel uniformly noisy . anyone read review know . rule , book room ask something away street comment section reservation room - something repeat front desk upon check in . they place fourth - floor room face side alley . hope would cut traffic noise , . room 's window hardly sufficient cut even conversation across street ( ' m kid ) much less loud voice SF 's ever - present bum . make hotel perhaps noisy half - dozen ' ve visit sf.i also note room steam heater AC . hot day suspect would pleasant . the hotel doable walk flat terrain Moscone center . be around corner Union Square . argue convenient . if substantially overweight travel similarly sized companion , elevator problem . small US elevator go . spiral staircase steep . watch group obese traveler end go room one time . I ' ve never understand people plan spend time San Francisco rent car . 's complete waste money give transportation option town . rent , not rely valet parking boutique hotel area . park car well away hotel . multiple parking garage , include one right across street . I ' m certain would stay due noise option book , would probably think pay big room , generally upper floor , hope would quieter . 
 oct 9 2007 	 Decent Hotel Room Rate 	 Located Mason Street two short block Union Square . convenient location restaurant theatre shopping around Union Square . parking garage locate directly across street $ 29.50 daily rate competitive San Francsico . stay first floor & quot ; Executive Level & quot ; . good size room clean quiet . queen size bed soft uncomfortable . free wireless internet greatly appreciate . overall good value expensive area . 
 Oct 8 2007 	 great location ! 	 find hotel Orbitz . 118 $ + tx , can not beat location . yes room small , , San Francisco , expect spend day room ? room 9th floor , yes elevator slow ( small ) . be vacation , heck . room nice . lot ( ton ! ) place shop / eat / drink around hotel . parking garage right across street . 29 $ 24 hour . 's normal price SF . start Powell / Mason cable car ride 2 block away ( take Fisherman 's wharf 20 minute ) , Chinatown 10 minute walk away . definitely go back . 
 Oct 3 2007 	 Bad experience 	 20 hour travel arrive King George tell problem room . holiday book 10 month advance problem . enquire male receptionist hotel overbooke ? tell definately pipe room burst old building 1914 . begrudingly get taxi hotel tell & quot ; upgrade & quot ; we tell nothing else could we night - manager available say would next morning speak . book King george near union square area around Whitcomb ( hotel & quot ; ugraded & quot ; ) desert arrive 10.00 - taxi drive also scary drove plesant area prostitute , people openly use drug smake head . cut long story short sleepless night go back King Georege see manager tell nothing could - almost hour resort get angry say leave get room King George another hotel area - lot hassle eventually give small room hotel . first evening stay King George hear tell another guest checking burst pipe room also & quot ; upgrade & quot ; another hotel - believe whitcomb upgrade room old smelly twin bed ( away wedding anniversary ! ! ) stank stale smoke even though request non smoking room . anyway word warning - book king george tell burst pipe room accept old chestnut ! ! ! manager also tell upgrade offer accommodation price pay King George . 
 Sep 20 2007 	 Fun Friendly 	 King George ideally locate two block Union square . walk hotel Powell Bart station five minute . room first floor away street , room quiet . room size large expect read early review . everything neat tidy nicely decorate . complaint hotel . staff extremely friendly . enjoy drink happy hour bartender entertain we witty sense humour . continental breakfast ok enjoy dinner locate next door hotel . location perfect safe , however , area west hotel little sketchy . tourist area north east . cable car line two block away Powell . take taxi entire stay SFO . hotel recommend would definately stay . value hotel beat . 
 Sep 14 2007 	 King George Hotel : Modest dig GREAT location 	 whim , husband decide visit San Francisco . know want stay nice area town , not want spend lot money . enter King George Hotel ( & quot ; KGH & quot ; ) .ABOUT PROPERTYIf not specifically look , might miss entrance . KGH face Mason Street , snuggle ( appear ) two 50 's era diner ( not try , ' m willing bet least one diner make pretty mean chocolate milkshake ) . be one thing need know KGH , be : room incredibly small , like size bedroom , INCLUDES closet bathroom . would guesstimate average room size ( one bed -- obviously , room double bed would large ) 14'x14 ' . also , not many blanket bed , problematic be cold - natured , like . sure pack pair wool sock . if be another thing need know KGH , be : room rate incredibly low , like half would pay hotel area . unless be stay W , expect pay roughly 1/3 go rate , mean will able afford try alleyway restaurant . ( believe , be well worth . ) LOCATION , LOCATION , LOCATIONKGH middle : Union Square , Chinatown , Nob Hill , Downtown / Financial District , Fisherman 's Wharf , Mission , Haight - Ashbury ( note : & quot ; Haight & quot ; pronounced & quot ; Hate & quot ; ) , etc . KGH three block Market Street , catch nearly bus above - name location ( ! ) take BART outlying area . block two ton shop Union Square . safe neighborhood . beware homeless people though , city may accost money appear friendly . try look gruff , manage . random DETAILS PROPERTYSTAFF : ultra - friendly , ultra - helpful . qualm allow we late checkout ( two hour late ) , stow bag locked room could go day checkout late flight leave . elevator : one small , old elevator . comfortably fit two people luggage . snugly fit two people luggage two people without luggage six people , without luggage . KGH old building , think type elevator must customary . ROOM WINDOWS : room window fun actually open , way , screen . not suggest jump . sixth floor city view , fun become enchanted city - ness . sound street smell local restaurant wafted room entice curiosity explore . ROOM SIZE : room small clean . not suggest attempt fit two people room ( unless , , get large - than - standard - size room ) . LITERALLY climb top . unless be sort thing . restrooms : lobby restroom nice , well light private full door . can not speak private bathroom , passable . clean , leave maintenance request fix toilet . contrary purpose , toilet like flush . spiral STAIRCASE : tall , narrow spiral staircase run basement , lobby , every floor building . walk , say . try get dizzy . INTERNET CONNECTION : wi - fi free hotel , bonus . sometimes finicky room , keep try . always access lobby . CONTINENTAL BREAKFAST : free , fine , since many awesome eatery San Francisco anyway . what SAN franciscothis certainly all - inclusive , choose highly depend much time enjoy . obviously . San Francisco rich culture ALWAYS something go . thing suggest : * self - GUIDED driving TOUR- Rent car ( conveniently , Hertz car rental across street KGH ) drive ( ) Sausalito ( b ) John Muir Woods . sure stop Stinson Beach , take day drive along Highway 1 . preferably convertible , weather allow , least sunroof window . * CLIFF HOUSE restaurant - historical area turn upscale restaurant . eat bistro . not bad seat house . seat right next window serve beach overlook . Cliff House locate West coast San Francisco , right Pacific Ocean . expect spend around $ 20 per person , plus tip . * FISHERMAN 'S WHARF - touristy , be kind place must visit . visit one first day be town , rest trip up - hill . go hungry get clam chowder bread bowl . Delicious ! wander around , maybe catch tour Alcatraz ( stand stare wharf ) . be lucky will choose time visit seal sun dock . hundred - follow bark noise find . * chinatown - love , love , love Chinatown . may ' m infatuate asian culture . move beat path ( tourist mecca Grant Street , home three - dollar visit ALCATRAZ t - shirt , cheaply embroider coin purse gaudy gold buddha ) go side street ( Kearny Stockton , example ) tiny alleyway . will find real Chinatown . * MISSION HAIGHT - ashbury - take bus Mission Haight - Ashbury . 's ton nightlife beckon . favorite Cha Cha Cha Haight , tapas restaurant Sangria pitcher ( glass , be feel puny ) liquor - infuse fruit might knock one nibble . music loud wait long , atmosphere totally worth . food pretty good , . sure order Warm Spinach Salad . will fight tablemate lick plate . all - in - all , KGH central location great price . would stay . San Francisco ? well , SF paradise young , old , gay , straight , male , female . not fall love city time leave , be possible soul . 
 Aug 5 2007 	 Quaint place great location 	 reading review , know room would small prepare . not prepare friendly staff , perfect location perfect cleanliness . course room small , need suck . staffer ever act put ask direction , check check simple be within walking distance BART , MUNI , trolley vibrant shopping district . price , ' m sure get much well . 
 Jul 18 2007 	 great choice value location 	 stick flight cancellation fly San Fran 2 am notice . rang hotel airport departing , give great $ 100 walk rate phone . cab airport people take shuttle , hotel staff fantastic , small clean , comfortable room tasteful furnishing . not check till 1 pm ! perfect location lovely lobby / bar . San Fran pay lot really crappy place - great find ! 
 Jul 9 2007 	 good location great service 	 please stay King George . hotel cute , old place . concierge say open business 1914 ; old world charm . room feel clean despite age . bathroom tiny ... everything work perfectly . fact , shower great ( good pressure ) . 3 woman room ( 2 double bed ) , little tight bath . 's really place plug hold appliance ; however hair dryer instal bathroom already . ( appliance , use main room . ) good part stay service . get late first night problem check . concierge helpful every request question - matter person work . know everything . we take red eye last day , want day sightsee ; problem check bag front desk . come back pick bag even print we list BART departures airport . the plus hotel location . be couple block Powell Station ( pick BART ) , well begin trolley car line , Union Square . walgreen , grocery diner surround ; never go far necessity . 's parking garage directly across street . think 's rather expensive , think 's true city . I would stay hotel . 
 Jun 20 2007 	 good hotel great location 	 nice hotel , room little small size pleasant . centrally locate within walking distance ( 5 minute ) union square . also diner next door good breakfast . 
 Jun 1 2007 	 Decent Price 	 exactly 3 - star hotel , great location . can not beat price place , esp since SanFran EXPENSIVE . service great ; even let we check late . appreciate free internet . room really small , like tourist , not stay room much , not mind . ( though sink counter space bathroom , be couple / group gal , might become problem . ) one big boo - boo place find pretty huge , unidentifiable yellow bug crawl bed one evening . course , number homeless people serenade we back hotel quite disturbing . ( Though be pretty much case . ) stay , recommend Lefty ' douls around corner breakfast , Colibri 's drink . 
 May 29 2007 	 Good Deal Price 	 $ 100 night can not beat location . yes room tiny care . hardly . not make sense pay $ 200 + crash pad . word caution , get room face south . quiet . book room face Mason St not sleep wink . window paper thin . ask move make difference inthe world . would stay . 
 May 21 2007 	 Decent hotel near Union Square 	 Average , decent hotel . staff kind , room small , location perfect ! , happy hour . 
 Apr 10 2007 	 lovely hotel centrally locate Union Squre 	 little concerned staying review read , however , ' m glad do . it small boutique hotel , not small single woman travel alone , would fine companion well . large Queen size bed , color tv cable , ceiling fan . even little one cup coffee maker walk closet along inroom safe . batroom nice , hotel far nicer imagine would . fresh , free apple front desk daily , staff warm , friendly , accomodating . everyone kind , pleasant , hotel centrally locate . aware alot homeless people area , one dangerous scary , sad , want little handout . I enjoy stay great deal . not Marriott , room not huge , certainly comfortable , clean , pleasant . bed delightful , room tidy . I would certainly stay ! 
 Mar 29 2007 	 bad excellent location 	 stay King George first last night road trip around California . the hotel excellent location , union square . find huge difference different room stay first last night US . first night , book king size room , v nice - decent size , nicely decorate , new fitting bathroom , feel negative comment room small , date decor unjustified . however , last night book queen size room , completely different - small room , absolutely tiny bathroom , rather shabby decor . the bar ok ; friendly chatty staff nice atmosphere , shame not restaurant , although plenty place eat close by . overall , bad hotel - could update - excellent location , fine look somewhere rest head night . would definitely recommend book king size room , queen room not great . 
 Mar 2 2007 	 Great Location Nice Hotel 	 King George bill & quot ; European & quot ; style hotel , mean small room . ok we , since use hotel mostly sleep , everything else hotel fine well -- clean room , well maintain property , helpful staff ( especially concierge ) , good price breakfast , . good feature , though , location : near Union Square , walk distance many SF 's good attraction . ' ve stay , . 
 Feb 28 2007 	 Good Location 	 location fab Union Square go shopping trip great Hotel . staff great friendly extremley attentive . room little small everything neededBut light sleeper would reccommend hotel , hotel double glazzing room thin wall wake everytime another guest move around . 
 Feb 8 2007 	 lovely 	 walk - in case give good rate . hotel adorable , clean nicely decorate room . central location friendly staff . convenient parking across street . 
 Jan 24 2007 	 great location .. great property 	 annual fancy food show run 3 day every January . hotel perfect spot ( 1/2 block Union Square .... 15 min . conference center ) . food ... many , many place pick choose ( within 5 -15 mintue walk ) oh yes everyday .... let forget hotel 's happy hour ( munchie nachos ...... main thing wine .. beer $ 3.00/ glass ... grerat way end day .. prepare forthe evening 
 Jan 17 2007 	 great location ! ! 	 understand maybe be travel need space , hotel room not tiny ! mean , course not expect giant suite , expect little city hotel . decoration little bit old fashioned , room .. let us call & quot ; intimate & quot ; .love location . near everything , union square , market street , embarcadero , chinatown , little italy , lombard st ... quiet night friendly staff.what else want ? would perfect room also big hiper - luxurius ! good value price . 
 Oct 17 2006 	 bad ! 	 read many negative review abit unsure hotel , book ready go particulary picky thought would cope bad ! book room 3 room 2 double pleasantly suprise , big expect , be not great deal room bed door plenty enough , cuboard easily hold 3 ( large ) suitcase . bathroom small manageable window . my main praise location hotel well place around corner union square , shopping , resturant cable car excellent ! hotel clean ... maybe certain age well keep opinion , staff pleasant enough ! much noise city ( 6 floor ) I d stay ritz great base explore city 
 Sep 26 2006 	 view Skeptic 	 comfortable , clean ' age , staff outstanding ! ! ! ! stay ? yes ! ! ! ! ! room small , bathroom tight super clean era , room rear hotel medium size window adjacent building kind New Yorkish NOISE .. sleep like anniversary , ! @ # $ % fantastic Breakfast hotel need improvement , side two restaurant visit morning separate day give 4.5 star everything .. good wholesome cooking ( favorite one hill 12 steep door . ) visit several restaurant area never less excellent meal , Warf ' visit " Crab House " mis big time .. wife crab sandwich sort crab linguine , hard time find noodle .. ( ' good ) overall … … Fun City , great food , Supper easy get around … ' bother rent car … .. watch " Bush Man " funM & amp ; K San Diego 
 Sep 15 2006 	 small room ' ve ever see 	 stay claustrophobia . room unbelievably tiny . barely room two twin bed bedroom . closet enough room single suitcase . bathroom size port - a - potty . literally never see small hotel room life - anywhere , price . 
 Sep 11 2006 	 would not stay 	 stay 2 night August ' 06 . room small . hotel old show everywhere ... hallway , door , inside room , stair . hotel use horror movie . bathroom aweful . vanity counter , pedestal . good thing free high speed internet every room . service fine . would want stay . stay Adagio , Nikko Hyatt . like Adagio well raise rate quite expensive stay . Hyatt nice gym free internet access lobby . 
 Aug 31 2006 	 tiny room 	 hotel past sell date , room small bathroom tiny close door use sink , read review stay knew expect , l wish cacelle , four people luggage fit room , there s nowhere hang clothe build wardrobe use store luggage . 5 ft 10 bed short . door fit frames large gap around . whole hotel wear old feel remind hotel use stay 50 60 parents.the one good point staff helpful , however breakfast worth money , there s really good place next door eat 
