wonderful 	 thoroughly enjoy stay Hotel Drisco . Situated Pacific Heights , hidden jewel sit among many Heritage building / home - well worth stroll see stunning architecture . room re - design update keep age character building . complimentary breakfast serve morning , well sit room enjoy read book / newspaper tea & amp ; coffee serve day . hotel quiet , comfortable staff kind helpful . look forward next trip San Francisco - Hotel Drisco hotel choice . 
 Mar 24 2009 	 Home Away home 	 husband recently pleasure stay Hotel Drisco recent visit daughter live San Francisco . delightful stay . tell daughter lovely intimate Hotel Drisco . yes , drisco indeed beautiful elegant - find offer much ! truly appreciate warmth hospitality entire staff respond every need efficiently graciously . arrival , inform Marti , reception desk , upgrade suite - lovely comfortable - second home . bowl fresh fruit everywhere , cookie leave room bedtime , lovely , ample buffet breakfast ( gratis ) wine hor d'oeuvres serve parlor evening ( gratis ) N.Y. Times deliver door morning .... special , unexpected , - beyond experienced hotel stay elsewhere . regret stay short . certainly look forward return visit ! 
 Mar 21 2009 	 Offseason splurge lovely Inn ! 	 see corner suite 3rd floor , tell surprisingly available , room reserve , internal view , persuade upgrade suite bargain price $ 244 per night . view ot city water sunshine streaming sell we make worth every penny . previous review mention , breakfast really great . presentation elegant . even though photo make look like breakfast room underground , street level eastern view lot light . evening wine reception wonderful amenity unfortunately able enjoy first night . SF great city walking , spend time away hotel . take advantage write information available front desk suggest thing . never happen upon coffee room exercise room last day . coffee room first room leave enter hotel ; like living room . exercise room breakfast room level several modern look machine even stability ball . love hotel . slight displeasure , due location hotel , easy access public transportation provide parking rental car . weekend street parking problem , week difficult . take advantage town car day leave take we downtown Bart station could take airport . feel able enjoy luxurious vacation reasonable price , since high season suite like $ 459 . 
 Mar 4 2009 	 fulfilling nurture stay SF Home 	 check , feel warm , smile deep . dignity , warmth , care employee exude , heal we start . every detail hotel provide guest mind ... lighting , linen , cleanliness , breakfast , concierge service , interior design detail make we feel like royalty . wait return ! ! ! ! ! 
 Feb 17 2009 	 absolutely superb 	 senior travel extensively . hotel comfortable charming - home away home . staff knowledgable helpful , anticipate every need . service outstanding . love location - away madden crowd , yet close everything . one positive stay ever ! 
 Feb 14 2009 	 exceed expectation 	 please stay Hotel Drisco . property neighborhood charming . sense privacy enjoy . experience outstanding service . breakfast terrific . good part excellent value . plan return . 
 Feb 13 2009 	 Charming 	 Drisco charming friendly hotel , quiet residential area . upgrade large comfortable suite . staff friendly accomodate , sunny sit room main level large low level dining room serve nice breakfast . low level small fitness center computer station . ( guest access local ymca ) Tripadvisor reader shoule aware Drisco particularly convenient Union Square , Downtown , tourist attraction S.F. , City compact good public transportation . would definitely stay stay SF . 
 Jan 28 2009 	 great place stay 	 excellent re - model 100 year old hotel Pacific Heights area San Francisco . forth floor corner suite beautifully furnish view city bay . service amenitie top line . 
 Jan 23 2009 	 wonderful staff 	 tempt stay part town sake convenience , select Drisco base Trip Advisor review disappoint . hotel warm home - like feel . room 2nd floor comfortable quiet . feel like private home rather hotel . room spacious decorate attractive manner . even impressed actual key rather electronic card get room . the bathroom also spacious nice shower head . impressed always good water pressure hot water morning . light fairly good bathroom , well , makeup would look natural , rather clown - like , go day . I take advantage free breakfast morning , well evening wine reception . also coffee water available day , nice perk . I think truly set property apart other city staff . Michael , Marty , front desk employee treat like family . depend everything , help select restaurant evening , get touch close drugstore unexpected need arise . take good care ! also , town car driver , Roberto , personable express genuine concern . know works town car company , mind ' ve make employee Drisco association . ( anyway , highly recommend service trip airport . ) not know if / when will ever visit San Francisco , , plan stay Drisco . know ? might make special trip city visit hotel family . : ) 
 Jan 20 2009 	 Perfect Perch San Francisco 	 college age son meet San Francisco beautiful day January want check new home California Academy Sciences . Hotel Drisco lovely , warm welcoming . much like stay home comfortably affluent uncle wish . room large , bright cozily elegant super - comfortable bed . like cookie - cutter glitz standard & quot ; top class & quot ; hotel . front desk staff Marti , great concierge , unfailingly helpful gracious . help we dinner suggestion , transportation find nearby beauty salon . breakfast offer lot choice late afternoon wine cheese wonderful idea -- great day sightseeing , little early yet dinner . love chocolate - cover cookie leave we evening ! Drisco high Pacific Heights , beautiful neighborhood walking -- gorgeous residence , several small park nearby walk distance Presidio shop restaurant Union Street Fillmore Street . walk get many beautiful vista bay city . everything else short drive away . 
 Jan 17 2009 	 wonderful 	 Hotel Drisco accommodate need welcoming . give high rating recommend anyone look nice quiet place stay San Francisco beat path . 
 Jan 14 2009 	 absolutely good hotel ever stay 	 could not happy hotel . first time family take trip San Francisco know stay . go Trip Advisor think hotel look interesting booked day . everything Hotel Drisco wonderful . room beautiful , continental breakfast excellent , staff nice could , quiet next beautiful mansion ... never stay hotel next time plan visit city ! ! 
 Jan 6 2009 	 Drisco gem neighborhood gem 	 select residential neighborhood , historic quality small size , Hotel Drisco disappoint . hotel club - like atmosphere friendly professional staff . member staff always ready whatever could make stay comfortable enjoyable , front desk personnel housekeeping staff . however , important we , never intrusive , quality sometimes find unappeale bed breakfast . guest know hotel add service hot panini sandwich , available 24 - hour basis , demonstrate concern hotel nothing contribute guest convenience overlook . after first experience Christmas hotel , already book time next year . two - room suite beautiful Bay view perfect place enjoy & quot ; home - like & quot ; holiday . 
 Dec 19 2008 	 's well place stay 	 spend 2 night Drisco late October , say good time ever San Francisco , despite terrible weather time year . arrive late evening , still greet helpful , extremely friendly doorman give good advise park vehicle spend good amount time show we hotel . our room decently size , certainly huge , 's would expect SF anyways , beautifully decorate . bed comfy tv / DVD combo awesome . mention every little corner room perfectly clean top notch condition . we enjoy breakfeast attend wine reception never make back hotel time . however , always cookie , free coffee tee available cosy , live room - style lounge room next reception , along selection daily newspaper . and be also location , - away tourist crowd Fisherman 's Wharf Union Square , yet walk distance many downtown dining , cultural shopping attraction . situated top Pacific Heights , will hard time find up - scale neighborhood . will find number good restaurant right next door Fillmore . bottom line , visit bay area quite frequently business leisure , good find ever trip advisor . will not stay anywhere else go downtown SF . 
 Dec 18 2008 	 delightful home away home 	 outstanding hotel every way ! room beautiful , clean comfortable , would say beyond compare . staff thoughtful way anticipate need even think . Michael exquisitely kind helpful , without we even ask . kind service pervade hotel . Michael 's associate , Eduardo , front desk , provide we gorgeous upgrade room . stun enter suite , Eduardo give we upgrade without take credit . go downstairs thank mention . gracious behavior trait every employee hotel . afternoon wine service relax delicious Julio wonderful . another staff member , Eduardo , fix internet access ! could go , , natural , unspoken kindness obvious philosophy hotel simply example we . hope opportunity stay jewel soon . 
 Dec 11 2008 	 wonderful place stay ! 	 absolutely love stay Hotel Drisco . many year ago , live Union Street steep hill hotel ) want spend time old neighborhood . select Drisco location excellent review . disappointed . the staff warm accommodating , even call we advance see anything could make stay enjoyable . mention sentimental journey , upgrade charming one - bedroom suite . thoroughly enjoy afternoon wine cheese conversation another guest . dinner recommendation excellent . the downside hotel convenient Bart , however Pacific Heights neighborhood make . able get around use public transportation . bus run regularly , bus line block away . 
 Nov 27 2008 	 Super Star Drisco 	 Dumfries , ScotlandOur week 's stay Hotel Drisco end October 2008 surpass expectation ! go holiday son , wife , three & quot ; wee one & quot ; , aged 5,3 , 10 month delegate task find hotel suit need , tall order ! read Tripadvisor 's rating hotel 1 San Francisco make phone call , speak Marti Reception , 2 bedroom suite recommend , follow booking prove one good decision ever ! adult child treat utmost kindness . nothing bother staff . standard accommodation excellent , also genuine warmth welcome desire ensure guest every comfort , son , wife , family relocate Summer 2009 San Francisco Edinburgh , Scotland , two year , important first visit make favourable impression city . Hotel Drisco certainly perfect & quot ; home home & quot ; we , particularly 3year old grandson , stay , start call hotel & quot ; house & quot ; ! find stylish comfortable 2bedroom suite ideal family , adult delightful sitting room relax busy day visit school , check area live , sightseeing , etc . child could peacefully sleep bedroom , necessary transatlantic flight time change ! bed superbly comfortable ! excellent complimentary breakfast evening & quot ; wine cheese & quot ; , 24 coffee / tea / iced water elegant lounge bonus comfort . guest friendly , contribute warm ambiance create Manager first class staff . the situation stunning view Bay . safe residential area beautiful Pacific Heights house admire stroll California sunshine ! good restaurant within walk distance too - perhaps take cab back steep hill ! hope return Hotel Drisco , fully endorse well deserve 1 rating . 
 Nov 24 2008 	 Charming hotel beautiful neighborhood 	 stay Hotel Drisco mid - November 5 night . first trip San Francisco staff extremely helpful map direction . stay 3rd floor suite clean , spacious comfortable . decor hotel charming - old fashioned elegant modern necessity . feel like stay friend 's home instead hotel . knowledge air conditioning however be likely needed year . simply open window need let wonderful bay breeze ( weather mid upper 70 's , quite unusual tell time year - much appreciated ! ! ) . reserve hotel 's town car one weekday morning go Union Square along another guest fantastic service . breakfast buffet delicious ( hard - boil egg , oatmeal , bagel , bread , croissant , fruit , meat cheese ) coffee refill table morning . also love 24/7 coffee , tea water available near lobby , especially long day sightseeing ! able order food deliver & quot ; Waiters Wheels & quot ; convenient want relax room ( though choice unfortunate one -gino 's Pizza bad ' ve ever ) . would probably much happy ordering panini offer hotel . Hotel Drisco beautiful neighborhood ( Pacific Heights ) enjoy walk around see gorgeous mansion view bay . use nearby bus stop - 2 3 block away - since purchase MUNI Passports though recommend take taxi save time walk destination not far . ( walk Union Street one day problem , Marina district take taxi back . ) rental car couple day parking challenge one night able find space block away . second night go street plenty space available really matter know go . check - out friendly efficient . staff always helpful courteous would definitely return lovely Hotel Drisco ! absolutely love ! 
 Nov 24 2008 	 great hotel ! 	 love hotel . although location central ambience , helpful staff warm welcome make . city cab available every morning free charge take we downtown taxi back hotel reasonable ( $ 10 ) . room spotless complimentary cheese wine early evening lovely touch . altogether hotel well worth visit go back San Francisco certainly use . 
 Nov 18 2008 	 Great Neighborhood Hotel 	 repeat visit we . staff exceptional , front desk maid service . well location stay congest area street people noise . breakfast evening reception make feel like someone 's home . every guest talk feel like Hotel Drisco & quot ; real find & quot ; . room extremely comfortable quiet . come back . E & amp ; e . 
 Nov 14 2008 	 Loved Everything - Staff Accommodations etc ! 	 travel SF Oct 29 , 2008 thru Nov 2 , 2008 get marry . four us party arrive early afternoon East coast . staff like ' ve experience worldly travel - staff genuinely show care , sincerity - end check - in . not make feel & quot ; putting & quot ; bother request . room modern , clean beyond 5 star rating , fresh fruit , & amp ; cookie every afternoon . include room extensive breakfast ; include room , still amazed gift bottle wine provide hotel staff card sign individually congratulate we . location within walk distance shop restaurant , parking , never issue find spot , free would expect pay surround hotel . Hotel Drisco meet exceed far beyond expectation four we . one person party state , & quot ; nothing negative say hotel staff - not happen & quot ; ! next trip SF , Hotel Drisco unavailable trip , schedule change reflect availability . exceptional ! 
 Nov 13 2008 	 Amazing Always 	 Drisco staff never disappoint we . hotel stay visit old home town . cancel two previous stay due illness excited return & quot ; home away home & quot ; . staff amazing . Marti greet we family . really appreciate everything make stay even special could expect . entire staff general manager go distance we . breakfast perfect afternoon wine cheese . wonderful elegant touch . return soon . 
 Nov 10 2008 	 good expect 	 often nervous bad review , say stay Drisco fantastic . allocate large , comfortable room top floor ( 409 ) . view , not look window anyway . we trouble noise , although would guess room ground floor nearer lift may noisy . simple thing request high room make booking . the bed comfortable , room safe , lot hanging space , large bathroom . tea coffee always available downstairs , well apple . complementary water provide first night , thereafter . housekeeping efficient neat , never request room make ( expensive hotel ) , despite sometimes vacate room 2 pm - staff seem keep track , work efficiently around we . large dvd selection available reception make use , otherwise use reception staff taxi booking really fairly self sufficient . impressed see staff deal trick treater turn Halloween night - charm patience admirable . wireless internet room quick easy utilise . breakfast well lay , definitely like eat - fresh bread , bagel , pastry , 4 type cereal , oatmeal , cheese , cold meat , hot beverage . also condiment available eg mustard mayonnaise nice touch . service quick efficient , table clear quickly ( necessary weekend short wait table ) , never sense rush . the evening wine service highlight , entirely due utterly charming wine waiter / concierge , Julio . Julio friendliest helpful person speak , recommendation dinner activity absolutely reliable . take ferry Sausalito Ferry Building number 10 bus back suggestion , great day ( much well tour Fisherman 's Wharf well reasonable ) . Julio also interested place ate hear , make note future guest . really make stay extra special . 
 Nov 6 2008 	 hit Miss 	 hotel beautiful lovely ground fixture . old style warm inviting . hotel staff friendly , however stay two night ask 4 time bust light fix . leave light still work . service room reception good . its totally mind blow . 
 Nov 4 2008 	 gem 	 get around check site surprised read acouple recent uncomplimentary review . experience late September first stay Drisco beyond expectation . feel staff 's warmth friendliness moment book reservation directly front desk , later courtesy call confirm reservation 48 hour arrival . must mention surprise find full weekend birthday ( Oct. ) else could strike speechless find beautiful , sunny , view room , split chill champagne BD card welcome arrival ! get well , attentive , friendly service enjoy throughout stay , especially doorman , Bob , also person show we room arrival . feel fortunate live wine country find new & quot ; home away home & quot ; three four time year spend night city . previously enjoy stay JV hotel SF well Aqua Mill Valley Inn Mill Valley , none feel invite aspect little gem tuck away beautiful , quiet location SF . 
 Nov 2 2008 	 still Love Drisco 	 husband previously stay Hotel Drisco . result , consider stay daughter 's wedding weekend , take place Presidio , Drisco first choice . little jewel hotel reminiscent fine family run inn find Europe , fill lovely furnishing design style early 20th century . lend certain romanticism enhance meticulously groom home surround Pacific Heights residential neighborhood . staff , Elizabeth Bob , particular , well breakfast staff , literally wait we hand foot . goodness sake , private staff . suite daughter stay night wed spacious beautiful , enough room accommodate visitor provide lovely backdrop photographer day wedding . frequent inquiry make we hotel staff certain everything require stay . room also comfortable , time prepare leave , wish book night , settle feel quite home . Breakfast , , satisfy , staff quick offer guest latte desire . wonderful authentic croissant hard resist , well . enough say recommend Hotel Drisco seek place stay San Francisco refined , elegant welcoming . plan return , . 
 Oct 30 2008 	 Disappointing 	 since website Hotel Drisco 's rave review lead book long weekend , feel appropriate write review . say disappoint less restful stay . on positive side , hotel staff friendly . price reasonable compare big downtown hotel . although neighborhood bit way , nice non - touristy section town . big issue encounter noise . every morning , wake early - rise neighbor 6:00 . manage get back sleep , hear housekeeping staff start early 8:00 include vacuuming room door wide open . also , virtually insulation room neighbor like watch television , prepared hear every word . I mention noise problem front desk ask perhaps quieter room . inform quiet corner . think right , comparatively speak . many hotel room locate less desirable section hotel , e.g. , sit room main floor , low level near breakfast room directly across elevator . clearly many people enjoyable stay hotel . may stay well section hotel less busy time . 
 Oct 29 2008 	 great neighborhood hotel 	 absolutely love area hotel locate . could walk everywhere . not concern lot hotel amenity work we . staff friendly accomodate . hotel AC ceiling fan not know would stay summer . also would stay child . style hotel clean quaint , modern . 
 Oct 29 2008 	 Bad Service part 	 Booked hotel anniversary . allocate disabled room ground floor , right next public lounge , inappropriate . raise front desk manager tell available room we move despite we first people check day , even wait till room free . the front desk seem concerned upselle we suite completely unhelpful way . wife tear return front desk meet uncooperative attitude . eventually agree pay discount upgrade . the whole experience unpleasant much difficult need . come another brand new hotel downtown San Francisco could not enough . Disco feel like big come . would recommend must stay Pacific Heights . otherwise avoid tired hotel 's bad customer service . 
 Oct 28 2008 	 STILL BEST CITY 	 back home annual trip Drisco . get well time . still smile helpful people wait serve every need . upon arrival , soon doorman see rental car run across street . grab traffic cone home renovation do . put empty parking spot say & quot ; , soon get situate prime spot save car . & quot ; many doorman city go ? simply love visit . comfortable , never want leave . good deal San Francisco , entire bay area matter . leave vist go Sonoma pay well four hundred night room comparison Hotel Drisco . love breakfast , be nice casual , pick newspaper make home . enjoy evening hour wine also . walker could walk anything want see . love Fillmore Street area . go San Francisco fool not stay , be simple . thank staff Drisco . Hope see next September . 
 oct 22 2008 	 wonderful hotel fabulous neighborhood 	 stay deluxe king room top floor 180 degree southern view city bay window . perfect . neighborhood full zillion dollar magnificent home top hill Pacific Avenue beautiful presidio - perfect . pleasant , professional efficient staff level varied bountiful breakfast , not know could well . particular note lovely concierge , Marti - everything concierge . forget Mr. Tanh kindly move car need avoid parking ticket ( three hour limit neighborhood 9 6 recall ) . little beat track 's plus mind . 's bus stop block away taxi readily available . tip Marti lead terrific restaurant 1638 Post Street call bushi - tei . 's Japan Town across Japanese Center great . ' m world traveler give high rating 10 10 go two night row . french / Japanese . sure Kobe beef appitizer ask owner , Mr Tak , help menu wine . 
 Oct 21 2008 	 Drisco 	 ok , read review -- glow smile . thought , really good ? , beautiful wife head SF honeymoon although not like over - the - top hotel chain , look something & quot ; nice & quot ; . experience NASCAR type trip van driver thru street SF , make greate warmly Elizabeth front desk associate . Bob ( Bill ? ) bellman help we overpacke luggage . since travel day get ( be East coast , West ) , want quick bite turning night .. Bob ( Bill ? ) recommend place Fillmore meet need . the next morning , breakfast downstair dining room . young man ( name escape beard need little help -- maybe year might help ) assist guest coffee , cleaning plate awayand generally helpful intrusive . each evening , hotel wine social hour . be nice way end day think . strange , guest take advantage social . maybe east coast hour make feel later ? anyway , great way end day . old gentleman helpful -- entertain well . never catch name , ask 7 week tour America last year reason move US ( be Central America come 25 ) . wife think adorable . check 5 day later , Nancy Thahn assist cordial process . , Drisco come ? simple , would stay anywhere else room available Drisco -- . could hotel management improve customer service -- . Drisco & quot ; over - the - top & quot ; hotel chain -- , truly great experience wonderful neighborhood dedicated staff care stay . strongly recommend Drisco look forward another visit beautiful city stay Drisco . thank Drisco , see year two . 
 Oct 20 2008 	 Unworthy policy hotel ! ! 	 several email book suite Disco family 3 adult . specifically ask pull sofa whether comfortable adult . on arrival , mattress sofabe shame , appear worn , extremely thin uncomfortable iron bar stick back . ask something could do , get extra blanket ( lol ) cover mattress , plus phonecall front desk pay extra 25 dollar per night 3rd person , not know would 3 ! ! ! ! ! ! ! ! ! . email confirmation price + fact party 3 . feel really bad . the next day Elizabeth Carr & quot ; waive & quot ; 1st night , get roll - up bed ( ruin sittingroom ) still pay 2 night extra 25 dollar p.n . a true 1st class hotel would apologize quality sofabe , fact 1 us bad 1st night would quietly take care . really feel let down . the room spacious nice , fact AC mean , also neighbourhood , September sleep open window air constantly wake noise street . by way want check email cost money ! small B & amp ; B Europe provide service free charge ! conclusion , Drisco elegant place , 1 Tripadvisor time maybe make bit arrogant .. 
 Oct 18 2008 	 Lovely Small Hotel 	 look hotel quiet charming upscale neighborhood , Hotel Drisco . staff ( especially Thanh ) go way make visit pleasant . unfortunately miss miss evening wine reception , breakfast great , along dining room 's staff . lobby living room nice place sit read cup tea , coffee apple , available time , along selection newspaper . hotel convenient mass transportation , desk call taxie need one minute . nice walk take past fine Pacific Heights home shop restaurant . look forward stay ! 
 Oct 17 2008 	 Hotel Drisco First Time Visit-10 - 13 Oct08 	 Long Weekend visit SF . bit main path , Drisco locate nice section town wonderful view . cab plentiful . say 15 min walk Fillmore area . parking easy weekend see could get problematic weekday spacious Room delightful wonderful bed bedding . hdtv pleasant surprise . air conditioning problem due local climatebreakfast nice plenty fresh fruit . not expect egg bacon , nice continental buffet Nightly wine reception wonderful way wind , Staff Service Impeccable . stay next visit . 
 Oct 16 2008 	 repeat experience well good 	 three previous stay , great expectation fever pitch . way disappointed . excellence undertaking always rare ; consistent excellence rarer yet . congratulation entire management staff . J & amp ; , McLean , VA 
 Oct 10 2008 	 wonderful ! 	 Hotel Drisco wonderful ! boyfriend stay 3 night late August , great time . location great ! feel like total tourist . sure small , intimate hotel , feel special staying . everyone Drisco incredibly nice helpful ; offer excellent sincere service . take advantage wine / cheese hour ; delicious Julio good host ! thank Hotel Drisco fabulous stay definitely return . 
 Oct 10 2008 	 second home we 	 visit San Francisco always stay Hotel Drisco . unless course fully book . prime real estate area surround house . beat path . hotel staff great gracious , room large well appoint . breakfast include price room quiet , lovely room . food offer wonderful fresh healthy , right choice . walk cab place want go see well situated city . can not say enough good thing hotel . go 12 year never disappoint . often upgrade room cost old room . can not beat . good , sort home away home we . 
 Oct 9 2008 	 give Drisco 's top rating feel be okay little nit - pick p 	 husband stay Hotel Drisco last month -Sept 08- first visit San Francisco . select hotel largely top Tripadvisor rating excellent review . whole disappoint - would happy stay - room good , neighbourhood market ( 10 minute brisk walk shop restaurant etc . ) hotel staff extremely pleasant helpful . however give Drisco 's current top rating tripadvisor , influence decision , feel 's okay little nit - pick point : Breakfast - rather disappointing - almost fresh fruit ( apart boring bowl apple , banana orange ) overall ambiance - decor throughout hotel restrain tasteful , generally old building , well maintain . however rather bland hotel - like , create atmosphere impersonal stiff . primness breakfast room example , , subdue generic orchestral music accompanie breakfast , drive couple table next hold conversation whisper ! Hotel Drisco serves probably target market - middle - class , middle - age middle - everything - well , definitely place non - conformity - though opinion lack . 
 Oct 7 2008 	 Great hotel - but A / c 	 hotel absolutely lovely . hotel staff extremely accomodate helpful . continental breakfast expect -- croissant , bagel , cereal , fresh fruit , dry fruit , yogart , oatmeal , hard boil egg , juice , coffee , tea , etc . nightly wine taste also exceptional appetizer choice wine . however , aware hotel A / C prior book trip . okay since weather mild -- however , do not know would necessarily stay summer -- especially sensitve heat . 
 Oct 5 2008 	 number one ? bet 	 reading review TripAdvisor , contact Drisco book triple room husband , elderly mother . although kindly warn staff room small comfortably accomdate three people , pleasantly surprised . room spacious , comfortable bed ever try , huge bathroom , possible amenity . staff extremely gracious ready help suggestion place go shop dining , good transportation option , even book behalf . nothing go way williningly guest . single Bob , warm friendly attitude , big smile exhaustive knowledge neighborhood extreme kindness elderly mother ; well read Julio extremely cooperative Tan . hotel lovely picturesque neighborhood several option dining shopping - even walk street - although steep - pure joy . hotel provide fill breakfast plenty option keep satisfied easily lunch also offer wine cheese hour easily skip lunch simply dinner . coffee available 24/7 ; even 3 morning , count freshly brew coffee lobby . if go Frisco , place stay . not look beyond Drisco ! 
 Sep 25 2008 	 Adored Drisco 	 certain check confirmation . receive confirmation , hotel book one two night , sell second night put waiting list eventually get straighten . thank goodness hotel treat ! location top hill Pacific Heights . CLIMB wherever go foot , although consider plus . room lovely photo depict , although sink crack half stain sofa chair sitting room . room 304A , view ocean , city , neighborhood ... perfect . breakfast european style plentiful . wine cheese hour highlight meet many interesting guest . service attentive helpful . would think may choice want thick tourist attraction , another good reason choose hotel . rather , elegant , quiet retreat . runner , go Broderick Marine front , turn right run Fisherman 's Wharf Bay Bridge early morning , turn leave run across Golden Gate Bridge . Cafe maritime close good seafood . 
 Sep 21 2008 	 Perfect Stay 	 , Husband , stay 3 9th September first stop travel PCH . choose hotel reading review TA disappointed way . first visit SF whilst hotel may convenient downtown sightseeing / shop well place place interest . also , mention many time , neighbourhood locate beautiful fun explore ( sure go bottom Lyon Steps may lucky enough , , meet friendly native know much area keen share knowledge ! ) . towncar service reach downtown area not much problem . check - in efficient ( Marti friendly ) make feel home immediately . reach room , assist charming Thanh ( apology spell incorrect ) discover bottle champagne ice lovely card congratulate us trip celebration 30th wedding anniversary - thrill long flight & quot ; Schramsberg & quot ; welcome . room beautiful spacious ( suite ) tastefully decorate furnish - would usually choose ( modern minimal ! ) surprised ( pleasantly ) much like . also delight great view window - bay face opposite direction still great view hope for . the breakfast selection great - day , fresh nicely present . would two reservation - toaster take age toast music , lovely thought ( classical ) little loud first thing morning . evening wine reception good nibble candle table plate snack buy table gentleman whose name ' m afraid not know - also top glass require . other touch like turn - down evening fresh ice water cookie buy room also welcome return hard day & quot ; hill climbing ! & quot ; . staff encounter courteous friendly . I would love visit future would hesitate recommend anyone . 
 Sep 18 2008 	 hide gem Heights 	 Hotel Drisco far enough town unwind hike hill San Fran close enough grab cab town Bob Bellman excellent providing ! room clean spacious great view 4th floor . breakfast disappoint little investment great produce need . free cheese wine reception evening great idea hotel bar snack provide lovely . would really recommend Drisco friendly staff , lovely room great location prettiest part town . 
 Sep 14 2008 	 Hotel Drisco top expectation ! 	 Bolton , EnglandWe return first trip California , incorporate two visit Hotel Drisco . see fantastic review feel quite secure booking pleasantly surprised find Hotel Staff exceed expectation ! receive warm welcome arrival beautiful room . bob extremely helpful provide we map highlight various useful item , nice touch new city . the furnishing beautiful could not fault anything , lovely oak floorboard throughout hotel , lovely crisp bedding . every evening Hotel hold complimentary wine reception lovely start evening give chance meet guest . host Julio , fantastic knowledge San Francisco able help we many arrangement . spend week tour area return Hotel Drisco final day holiday . lovely return give warm welcome really feel like come home ! ( also upgrade Junior Suite add bonus ! ) front house staff excellent professional , particular Michael help we miss bag beginning stay nothing ever much trouble . the position Hotel great - probably good City , surround fantastic house peaceful . lovely walk City easy get around / back hill use either taxis local bus system , find excellent . we would not hesitate recommend Hotel Drisco anyone look classic , beautiful place experience San Francisco . 
 Sep 11 2008 	 could positive review right ? ? ? bet ... 	 read lovely review hotel could not wait stay Hotel Drisco . day wine country , exhausted get hotel around 6 . check immediately offer warm towel . fancy ! boutique hotel old building . charming nice . walk room see beautiful white linen bed everything clean know stay really nice place . Michael concierge night helpful help we figure go night give we map call us cab ! stay 2 night breakfast morning , nice spread pastry , cereal , fruit , juice , hard boil egg , cheese ham , fabulous ! first morning go meet downtown tour SF cab call . not come 25 minute start cut close get bus . concierge ( forgot name ... ) talk driver towncar without hesitation drive we pier tour price cab . lifesaver .. would miss tour ! ! everyone go way make feel really important welcome . neighborhood . absolutely amazing . nice home district although hilly , walk around admired old victorian mansion . would stay heartbeat ! 
 Sep 9 2008 	 fantastic boutique hotel 	 fantaastic boutique hotel locate close Persido short distance downtown SF Fisherman 's Warf . quite hotel professional staff anxious please . room , although small , extremely comfortable date furnishing wise . room view spectacular however choose & quot ; room view & quot ; beautiful view Alcatraz Island Golden Gate Bridge . one great thing hotel party 7 arrive different time range 10:00 till 2:00 pm room ready occupancy . great experience consider time store luggage hang around room ready . site serve purpose well short distance excellent restaurant . hotel get 5 star book . 
 Sep 1 2008 	 like come home retreat 	 family complete second stay Hotel Drisco every bit wonderful remembered year ago . end long day city , feel come home luxurious yet relaxed retreat . room spacious , beautifully decorate appoint , clean comfortable . staff friendly helpful , often time give we direction , call taxi we , recommend restaurant . complimentary breakfast fresh healthy , present relax setting . plan return Hotel Drisco whenever ' m San Francisco would not hesitate recommend place other stay . 
 Aug 31 2008 	 highly rate ? ? 	 read stellar review , wife thrill find room Drisco short notice couple night August . vacation bay area look nice place stay San Fran head Sonoma day . we ' ve stay several good SF hotel past , base high tripadvisor rating guess expect lot , hotel BIG dissapointment . ok well . very helpful doorman ( much snooty front desk guy ... seem like new part - time staff ) . room bit cramp lots noise creak pipe , floorboard , adjacent room . also cold since room radiator not seem work despite someone come fix ... call extra electric heater . mind discount rate probably get poor room result ( ? ? ) . Breakfast include although trouble find seat , meal good . bottom line old property residential neighborhood without lot amenity . decent lodging price , wife can not comprehend rank highly . be bit baffle . we not stay next weekend way home stay return SF spring . , bad hotel , simply not seem fit top pick SF , city many fabulous hotel . be think maybe top 100 would accurate . can not emphasize enough confused high rating property receive . 
 Aug 19 2008 	 's wonderful world 	 family live Presidio , book room Drisco , one two Joie de Vivre hotel area stay . nice , Drisco like large , comfortable , well maintain home . set residential , gorgeous , ambiance wonderful . look reason return stay . 
 Aug 13 2008 	 Loved Drisco 	 return four night stay lovely boutique hotel . thoroughly enjoy stay Pacific Heights area , amongst mansion away hustle bustle city . street parking readily available - much well pay astronomical parking rate downtown hotel . the staff friendly , helpful , responsive request . our family three room - two room low level work well adult child toddler . room quite large . caveat avoid Room 109 . give room , large , turn noisy we since main hall , close reception , keep awake conversation lot people return hotel late late evening . follow morning , request change room quieter location . request accommodate quickly pleasantly . luggage move new room we . love second room , even though small original room . bed comfortable , room nicely lay - lot mirror good lighting . expand continental breakfast excellent . include oatmeal , cold cut , cheese , pastry , bread , fresh orange juice . coffee excellent . in evening , wine available dining room . able take advantage one evening , find wine serve good . we highly recommend boutique hotel , stay next time decide stay San Francisco . 
 Aug 13 2008 	 Elegance quality service wonderful locale 	 recently enjoy 3 night suite Hotel Drisco San Francisco . wonderful round experience quiet boutique hotel traditional friendly service quality room amenity . Located Pacific Heights exclusive upmarket quiet inner suburban locale facility require first class self service buffet breakfast .. find staff courteous friendly prepared go extra mile assist . ability ride town car limo service CBD morning real plus . we initially concern undercover parking , plenty readily available street parking staff move car need day . access city easy taxi fare cost $ 10.00 approx . downtown . we travel widely USA Europe stay mix 5 star hotel suite . thoroughly enjoy stay Hotel Drisco return future visit please provide summary recommendation . it marble glitz major chain high quality personal service boutique hotel enjoyable location slightly central business district . 
