Staff 	 wait guest room become available , hotel desk housekeeping staff go & amp ; beyond duty ( expectation ) make we comfortable happy . not get service like even Ritz ! 
 great location service 	 spend one night hotel enjoy . location convenient everything . service excellent . leave bag hotel follow day explore city checkout . problem make easy convenient . the downside -- paper thin wall . not normally complain noise , able hear neighbor . compound loud group next door . commend staff complain . get group next quiet immediately . sure , much appreciated . take earplug , especially bother city noise . even 12 story , will able hear street noise . the room comfortable . nicely decorate . all good stay money . would not pay $ 300 rate give thin wall . , $ 125 , well worth . 
 Apr 23 2009 	 GREAT hotel central Chicago 	 stay Hampton majestic week Easter 2009 . initially choose reasonably price seem central ... exceed expectation long way . room wonderful - great colour scheme ( recently renovate everything sparkle clean ) , possibly comfortable bed ever sleep , good internet access , seamless service . breakfast quite simple enough start big day sight seeing . gym small well fit free bottled water unexpected bonus . staff helpful friendly - Jersey Boys play downstairs building ice cake ! would go back tomorrow ! ( miss long stay fridge microwave room ) 
 Apr 4 2009 	 Nice hotel weekend getaway 	 friend & amp ; stay recently weekend getaway . room clean & amp ; contemporary . bathroom nice . front desk clerk courteous & amp ; give dinner suggestion . bellman store bag arrive town early day . location convenient downtown attraction . enjoy stay . 
 Apr 2 2009 	 blow away Chicago ! Girlfriends Getaway 	 first visit Chicago we ( group 4 ) great time ! went primarily see Broadway Musical & quot ; Jersey Boys & quot ; decide get reservation Hampton Inn majestic adjacent theater . not even step outside ( cold rain wind ) enter theater , entrance inside hotel . convenient ! hotel nice , although ' ve stay much nicer less money . , room clean bed comfy room long enough sleep ; spend day take advantage great city offer ! IMPRESSED friendly , accomodate staff . moment step hotel meet gracious doorman young woman oversee continental breakfast morning , make feel like royalty ! genuinely seem interested making stay pleasant possible . also , continental breakfast one good ' ve ever see . nice selection hot food pastry item , well cereal fruit . 4 5 juice choice well 3 choice coffee hot water available hot cocoa . also , food replenish need come 15 minute end allotted time breakfast , would still plenty food available . , consider great breakfast great service , problem price room around $ 140 per night . lobby comfortable , couple couch , chair several table ( seat 4 - 6 people ) . also small business center couple complimentary computer free internet . exercise room , not take time check . think location hotel perfect . able walk Art Institute , Park , fabulous shopping , great restaurant manage quite well . mild disability , able tolerate walk without much problem . easy hail cab whenever need one . would highly recommend Hampton Inn Majestic anyone visit Chicago go theater take advantage fabulous shopping . get cab Midway Airport Hamton Inn Majestic cost $ 25 ( count tip ) , split four we . can not imagine anyone like hotel ' location ! make another trip Chicago ( ) , try get reservation Hampton Majestic even consider another hotel . 
 Mar 23 2009 	 absolutely fantastic ! ! 	 beautiful hotel great location . room beautiful amenity expect Hampton . staff helpful . & quot ; Peter Great & quot ; Bellman cool helpful ! love . thank staff great service abd great stat Windy City . 
 Mar 20 2009 	 great hotel great location ! 	 hotel great location close everywhere . room really nice , comfy bed , nice tv , nice decoration , really nice bathroom - quiet , sleep like baby . another great feature hotel free wireless interent . thing bit disappointed room service , provide restaurant near hotel . side force go explore fantastic city try Chicago pizza : ) look nice hotel centre Chicago - find ! 
 Mar 12 2009 	 Loved every minute 	 love hotel . stay two year row . GREAT breakfast . helpful front desk staff . doorman always knowledgeable pleasant . unique hotel part theatre building . right around corner red line stop . street Gray Line tour pick point . also like computer use lobby case want look anything . 
 Mar 1 2009 	 Excellent Location Nice Hotel ! 	 hotel bang center everything worthwhile Chicago , expecially theatre district . hotel literally bolt one . see musical , & quot ; Jersey Boys & quot ; . excellent ! room big bright . breakfast big enough . bus underground literally across street around corner . many shop restaurant nearby . Sears Tower close . center & quot ; Loop & quot ; . 
 Feb 18 2009 	 place stay downtown Chicago ! ! ! 	 get great rate hotel ( $ 130.00 total ) Saturday night ( Valentines Day ) glad choose stay . hotel fancy entryway / foyer area , oh ..... wonderfully decorate room . room newly remodel , current new furniture , fresh paint even flat screen 40 inch hd tv ! ! ! ! ! stay many downtown hotel never room & quot ; roomy & quot ; ! ! king room huge downtown . room hotel go # 1 choice , gem ! Rosebud Prime around corner also Rosebud italian restaurant block away , great eat ! ! going stay downtown romantic getaway , look ....... Hampton Inn Downtown majestic place stay , hand ! ! Hampton Inn ......... gem ! ! 
 Feb 8 2009 	 Excellent Value 	 stay hotel five night December 25th December 30th , 2008 . wife two son ( age 17 & amp ; 20 ) , two room . average price $ 119 per night per room . include breakfast free internet ( free wireless two free computer lobby ) . check , charge bill room tax , plus $ 38 per night valet parking . price location make hotel good buy . however , also nicely appoint , breakfast good , staff helpful . see two show ( Wicked Dirty Dancing ) , within easy walk distance theatre . also within easy walk distance art museum , Magnificent Mile , Millennium Park Macy ' . notice review complaint price parking . location , price pretty good , actually . Parking Loop plain expensive . also — it seem Mayor ' plan make even expensive near future . still , lot cheap flying ( Columbus , Ohio ) four we there . anyway , completely enjoy stay , would definitely stay . 
 Feb 8 2009 	 Outstanding Hotel 	 daughter stay hotel February December 2008 attend theater production Chicago . hotel easy get service good . staff , check valet housekeep personnel friendly helpful . will definitely go back next theater outing . 
 Jan 20 2009 	 Great Theatre Experience 	 great way see Jersey Boys Chicago Theatre right next door ! nice boutique hotel . friendly staff . also great perk intermission bathroom line long go upstairs use bathroom enjoy drink time come downtstair 2nd half performance . Rosebud Resturant back make great quick dinner show . would stay , would go elsewhere well breakfast . 
 Jan 14 2009 	 Best Hotel experience ! ! ! 	 amazing experience hotel ! locate center downtown Chicago , Hampton Majestic everything could possibly want hotel . first , staff absolutely wonderful . go way make sure stay comfortable enjoyable . room decor beautiful free continental breakfast really put & quot ; happy place . & quot ; highly recommend venue anyone want pleasurable hotel experience ! 
 Jan 9 2009 	 Fantastic hotel 	 beautiful hotel wonderful staff . everyone , friendly accommodating . location perfect theater , museum good Chicago offer . would definitely recommend hotel ... probably good hotel experience ever . 
 Jan 2 2009 	 good ... 	 stay one night , say box , good value money . close enough Union Station walk morning , far walk Millennium Park close El need go far . decent city centre hotel . 
 Dec 22 2008 	 ok hotel price 	 hotel great , issue coul due holidayus , staff great room cold . also stay Affinia tripa nd reccommend one . 
 Dec 7 2008 	 can not say enough staff .... 	 friend stay night Thanksgiving please people Hampton Inn Majestic . , unfortunatey , not retain name two woman working desk gentleman greet we came go , help direction , help carry luggage nice . I ' ve stay number hotel experience variety different attitude staff , say good experience ' ve ever . hotel nice convenient stay , lot hotel , people bring back recommend Hampton Inn Majestic . great job ! 
 Nov 2 2008 	 Location Location Location 	 Fantastic Location heart Downtown Chicago . great breakfast ( include ) Wonderful Staff great room 
 Nov 2 2008 	 Loved Hampton Inn Majestic 	 take advice Trip Advisor reviewer book hotel three night . we great time Chicago ; one new & quot ; favourite & quot ; city . the hotel excellent location tourist . close shopping , theatre , Art Museum . the woman look breakfast room friendly helpful , doorman valet parking guy . the hotel spotless rate excellent value money location . we see Jersey Boys love . feel safe walk back hotel late night . Chicago beautiful city great tourist destination . 
 Oct 27 2008 	 Return 	 ' m still rave incredible customer service hotel provide , also affordable price location . thank , definitely back next stay Chicago ! 
 Oct 22 2008 	 great location especially go theater 	 hotel great location whether go theater , shop Magnificent Mile , MillenniumPark , art museum three . locate right Theater District . the staff help ful arrange river architectural tour , recommend restaurant . clean , great place stay . 
 Oct 18 2008 	 find Gem Heart Chicago Theatre District 	 oh gosh , & quot ; Gem & quot ; ! time arrive time leave everyone courteous , attentive awesome ! room wonderful , clean , comfortable bed great good night sleep . fact might get pillow . staff could gracious . breakfast bar delight wide choice . thing could find wrong make - up light mirror would help , thing wrong . hesitate stay . 4 day dream . manager office manager wonderful make sure everyone treat like special guest . thank whole staff Hampton . hotel staff , 5 star ! ! ! definetely back take shopping show walk distance . thank ! 
 Oct 11 2008 	 Fine Place stay 	 husband spend 5 night September . great stay . hotel locate Loop , within easy walk distance Millennium Park , Art Institute , El , shopping , restaurant , etc . hotel comfortable , exceed usual high standard Hampton Inns . room large comfortable ( although lack mirror decent lighting apply makeup ) , staff amazingly responsive cheerful . breakfast good computer lobby could use free . find excellent place stay explore fabulous city Chicago . 
 Oct 7 2008 	 simply Best ! ! ! ! 	 Mayor Daley proud hotel offer everything tourist / holiday maker etc . the room superior ! ! FABULOUS comfy bed , tv , Coffee maker , hair dryer plus iron board . thing would like magnify make mirror bathroom . mere observation ! ! complimentary breakfast excellent kitchen staff fine job . computer available lounge useful . reception lobby staff friendly helpful , fact , call duty ! ! thank ! Hilton Chain Management PROUD hotel ! ! conveniently locate ' touristy trip ' , restaurant , transport etc . take blue line loop straight O'Hare Hampton minute away Monroe . $ 2 single ride 40 min ! ! recommend Tall Ship ride ' Windy ' base Navy Pier , ' the Untouchables ' gangster theme trip real fun ! ! see ' the Jersey Boys ' far go right ! ! great show indeed plus ' the Turn Century ' Goodman theatre ony 5 min walk awaytake leisurely stroll along lake Field Museum Shedd Aquarium . GO CHICAGO wondeful time much see - lovely park tree throughout vibrant city . fun ! jane 
 Sep 26 2008 	 Great City Choice 	 choose big - city accomodation overwhelm due number choice , especially overly familiar city ... also overwhelm bank account . this Hampton inn fine choice city affordability get bang buck . bottom line this:1 . clean comfortable . room update , great condition.2 . good staff service . bellman exceptional.3 . location several & quot ; El & quot ; line within block - even close . line get to / from either airport also within walking distance , luggage . completely doable - look elevator entrance make easier.4 . continental breakfast decent quick start day . expect - cereal , toast , muffin , juice , hot choice etc . - remember city always plenty local choice real breakfast , still fine - fresh , clean , carbo load get going.5 . Location & quot ; loop & quot ; great - walkable Millenium Park , River walk , trolley 's tour , magnificent mile , Chicago Art Museum etc etc . right theatre district . plenty restaurant - sit fast food local choice . plenty transportation option - free trolley , tour trolley , loop line , taxi etc . affordability + accomodation + location = great choice Windy City 
 Sep 16 2008 	 perfect location ! 	 two friend stay Chicago Half Marathon . hotel ideal area- close shopping , train station , subway station , bus station . room spacious enough 3 us- big bathroom , large shower , large closet full length mirror . front desk friendly helpful . definitely stay next visit ! 
 Sep 14 2008 	 fabulous location service 	 stay majestic 5 night Labor Day excellent experience . hotel locate Majestic Theatre & quot ; loop & quot ; . hotel unique entrance ground floor , lobby level 4 . bellman always present ground level see . staff excellent never problem facility room . room good size decorate dark theatre color . build old , refurbish really unique place stay . never noise problem neighbor & quot ; city & quot ; noise - possibly well ( 16th floor ) . extra add bonus breakfast provide every day . 5 - star meal , definitely adequate get we start day nicely . definite money - saver stay family . pubic transportation extremely easy use Chicago Hampton locate within 1/2 block & quot ; Red & quot ; line El , give access anywhere city . Metra also within walking distance . able walk Sears tower , Millennium Park , waterfront , along Michigan Avenue . often walk far , become easy take & quot ; El & quot ; back hotel station close ( State / Monroe station ) . would stay convenience alone . price , 's excellent value consider location breakfast . excellent option will visit Chicago . 
 Sep 1 2008 	 other say GREAT HOTEL 	 hi , Stayed Hampton inn Majestic 10 day , ' m sure one thing would like go back . first ' m go to tell room . book double room , room large enough ( can not run room believe enough ) . bed comfortable , would sleep day long . tv huge free HBO HD room . lot lovable amenity room coffee maker , free wireless access room , iron table hair dryer . course air conditioning room . staff helpful need , housekeeper kind too . the hotel situate loop , be situate within reasonnable walking distance major attraction michigan avenue , state street ... also lot good place eat next hotel . 's also theatre 's district , build theatre , Jersey Boys perform theatre , recommend wan na spend cool evening . 's also fitness room hotel , good wan na train little . the district feel totally safe night , walk street without fear finish also recommend free breakfast hotel good complete . so wan na go Chicago , get good price hotel , 's place . 
 Aug 31 2008 	 good location 	 Chicago hotel , ask parking . majestic offer valet parking pay $ 38 . park . worth note compare price . Majestic LaSalle Bank theater therefore lot traffic theater let . hampton , like , good mattress decent breakfast . room clean quiet . hotel also feel secure safe . good shopping around corner State street far & quot ; Magnificent Mile . & quot ; hotel right heart theater district especially nice seeing show . near Art museum free trolly museum shopping . would stay would recommend other . 
 Aug 31 2008 	 great location shame breakfast 	 location great , literally 5 minute walk Millenium Park Art Institute ( tour busus also pick ) , 20 minute walk Pier . staff really helpful friendly , especially consider rather early booking . room good size , clean comfy , though hotel stay not fridge , miss , could not chill water drink ready take we next day . also disappoint breakfast - choice fairly basic , offer one hot dish , not able stock big American- size breakfast day ; seem cater business people , maybe ? also , proper crockery , polystyrene plate bowl , plastic cutlery , seem really strange decent hotel , not help we enjoy breakfast . 
 Aug 25 2008 	 great hotel perfect location 	 spend 4 wonderful day Chicago stay Hampton Majestic . location , can not beat Majestic . 's conveniently locate within walk distance theater Loop , right next door Bank America Theater . also we shopper , 3 block Macy 's shopping State Street . several great restaurant within walking distance , save buck , highly recommend take advantage free hot breakfast . staff extremely helpful kind , Darrel Bellman front desk staff , maid . head back Chicago Thanksgiving look forward another stay majestic . time music lover , HIGHLY recommend see Jersey Boys Bank America theater . disappointed ! 
 Jul 30 2008 	 Comfortable stay Great Location 	 get back three night stay Hampton Inn Majestic . pick hotel family four base location ( near theaters- go see Wicked , near Millenium Park , near Art Museum ) price . hotel clean , modern , comfortable bed . AC work well not noisy . street noise , would call loud . hear hotel guest . neighborhood feel safe -- travel kid subway block away . last morning noon checkout , go Macy 's State St ..... wow like Macy 's ' ve ever see . staff hotel friendly accomodate .... ask towel promptly deliver room . free breakfast huge plus -- variety good fresh egg ( bagel , yogurt , fruit , cereal , muffin etc . ) plenty restaurant within walking distance -- , problem walk around young kid ! ! would stay without hesistation . parking bit pricey , 's city . park car use subway walk ( Pizzano 's great thin crust pizza ) . check help staff breeze . look someplace Loop , definitely , consider hotel ! ! 
 Jul 27 2008 	 lack star quality 	 hotel well situaite generally comfortable . find room exceptionally clean decor dark little attempt compensate lack natural light due position room . breakfast real bonus avoid spend cafe etc . price wise find rate vary considerably throughout stay although $ 200 per night would view reflect value money . solid safe choice clean comfortable room do not expect luxury ! 
 Jul 9 2008 	 great hotel great staff great location . stay ! 	 plan trip long advance hit July 4th holiday ( could attend Taste Chicago ) , plan Amtrak trip stay Hampton Inn Majestic . though rail trip less perfect , Hampton prove awesome way recover . location perfect walk Taste , & quot ; el & quot ; red line well loop , countless bus - overall location . breakfast consistently good , well stocked , room adequate ( often problem free breakfast place ) . July 4th , even run breakfast extra hour since holiday . the staff exceptionally friendly ( front door staff good ' ve meet - one walk we bus catch train Union Station , excess bag tow ! ) . room clean quiet , clean staff early quick clean . regret could not take one show area . needless say , stay hotel - definite gem Hampton family . 
 Jul 7 2008 	 great hotel location ! 	 choose hotel base proximity Blue Line , also near great store shop . son live Bucktown , little hotel room , train good option . Chicago , Hampton Inn Majestic excellent value . cost reasonable , hot breakfast include , room large recently update , bed comfortable , bathroom large , employee helpful friendly . great job keep breakfast area stock keep open long lot hotel remain nameless . want emphasize friendliness employee , . many Chicago hotel worker not care put time . Majestic 's employee helpful outgoing . really want make feel welcome , take pride hotel . definitely stay ! 
 Jul 7 2008 	 Friendliest Staff Chicago 	 return 4 night stay Hampton Inn Majestic . hotel locate directly Bank America Theater ( aka Lasalle , Shubert , & amp ; Majestic Theater various time 's history ) . attend Jersey Boys ( highlight trip ! ) play theater . hotel also couple block Millenium Park Grant Park , able walk Taste Chicago & amp ; firework , ideal location trip . Hampton Inn Majestic lack grand entrance lobby , restaurant site , pool , concierge . small travel group feel & quot ; missing & quot ; item make hotel staff friendly helpful staff we encounter travel ! everyone , housekeeping valet front desk staff , go way answer question provide excellent service . hotel open year . room fairly small decorate dark color ( carpet brown , wall burn orange ) , basic yet comfortable functional . slept & quot ; heavenly & quot ; bed , pillow well ' ve hotel setting . soundproof extremely good downtown location Loop , problem hotel area . breakfast lobby area good , typical fare complimentary hotel breakfast . block hotel italian Village . 's kind landmark restaurant & amp ; recommend reason alone . palmer House Hilton block away , make sure walk lobby marvel 's beauty . Macy 's State Street couple block away -- -if like shop , make sure go , since 's flagship location former Marshall Fields ( boo - hoo ) . take escalator elevator 7th floor peer Walnut Room go Visitor 's Center . be hungry relatively inexpensive lunch , try restaurant 7th floor -- -a nice switch fast food joint . would recommend Hampton Inn Majestic anyone want location Loop business pleasure . 's ideal theater goer want location near Grant Park . free trolley stop couple block away , easily get around without car . 
 Jul 7 2008 	 Great Price Sophisticated Decor 	 stay 2 night June 28 - 30th , 2008 . flight delay arrive close midnight . valet , expensive $ 38 / day , outside immediately unload bag get we hotel . absolultely get money 's worth get car many , many time stay . the check - in easy especially consider hour get extra cot problem . hotel restaurant not really problem Chicago . order carry italian Village across street first night - highly recommend . next night get food Miller 's Pub , short walk around block ; good food . eat lunch Pizzeria Uno 's fantastic even 1 hour wait time 2 pm afternoon . breakfast include fine - standard microwave egg patty , bisquit , yogurt , cereal . good part choice 4 juice strong coffee brew . the room large clean $ 169 night middle summer - fantastic ! 
 Jun 15 2008 	 Great Stay 	 stay one night June 7 , 2008 . booked hotel reward stay point . everything hotel great - comfortable bed , nice tv , clean modern bathroom . complaint valet parking .... assume partner hotel operate theatre next door well . pay 38 dollar night since not pay hotel would recommend find self - park garage - even one use ! wait 45 minute upon check - out car apparently not know spot originally park ! although nice , organized . 
 May 15 2008 	 great Stay ! 	 please stay . room nicely decorate favorite color ( burn orange brown : - ) big flat screen t.v . room , large shower , hair dryer , amenity ( soap , lotion , shampoo , mouth wash , etc . ) loby locate fourth floor , also breakfast serve . make hotel 9:30 come back around 1:00 due room ready . allow store bag til come back . o.k . , give time look around . hotel great location , near everything . I would return ! 
 May 10 2008 	 Excellent Centrally Located Hotel 	 stay 2 night recently would recommend anybody . room good window decent black - out curtain . staff helpful decent breakfast include ... real bargain .. dc 
 May 9 2008 	 great find ! 	 find hotel Expedia immediately check Trip Advisor find 10 review relatively new hotel . good , enough . add another good review . reception fourth floor hotel theatre . hotel bar , large ( ish ) lobby section help breakfast serve morning , together & quot ; business area & quot ; wireless etc . one reason choose hotel one find USA include breakfast price ( USA hotel not ! ) . check , receptionist tell we room one small one , would move we large one - nice hear . room top floor ( 21st ) nice . bed enormous - could fit 3 people . thing double bed hotel small ( husband simply sleep ) could fit 3 people one comfortable . nice big flat screen tv mod con provide plus little nicety ( flannel , shampoo , mouthwash , hairdryer etc ) . good thing hotel location - central . right centre Loop . tourist short stay Chicago limited time , hotel ideal . definitely recommend . 
 may 4 2008 	 thille HAMPTON INN MAJESTIC stay ! 	 HAMPTON INN MAJESTIC staff can not beat Chicago stay - short long ! starter , delicous complimentary breakfast comfortably decorate room utilize perfectly historic building . consider convenience within easy walk distance ART INSTITUTE ; Chicago symphony ; Majestic Theater ( building ) well several notable theater ; endless shop architectural wonder ! culture easy sightseeing , Chicago fabulous HAMPTON INN MAJESTIC center . finally , unbeatable restaurant suggestion : AIGRE doux relatively new restaurant well rate new Zagat . be lucky , talented chef wander dining room time stop chat ! enjoy . 
 Apr 28 2008 	 great stay 	 friend choose hotel plan attend Lasalle Bank Theatre see Jersey Boys . hotel set safety mind ticket 3 woman Chicago . room pleasant , quiet clean . easy get around downtown hotel . staff pleasant helpful . reccomend hotel friend family . 
 Apr 27 2008 	 hotel ! 	 great comfy clean room , soft bed plenty room . enjoy breakfast Fitness room . along free wireless internet .... fit need perfect ! small issue first two day shampoo call housekeeping , .. fine job ! ! easy find next & quot ; Jersey Boys & quot ; 
 Apr 21 2008 	 great hotel close everything . 	 mom spend long weekend Chicago shopping , dining seeing show . hotel perfect . close everything .... walk everywhere ... Michigan Ave State Street . take cab Field Museum minute low fare . hotel safe staff lovely . room nice size , huge , doubt would want spend much time room everything close ! breakfast simple , abundant . price great . 
 Apr 7 2008 	 good find 	 great location theater , good downtown ( preferred northern neighborhood ) . free breakfast -- decent , nothing remarkable . comfortable room . internet include , 2 computer lobby . Free call 312 area code ; 2 phone . Gym . HBO ( Comedy Central ) . hair dryer . full length mirror , bathroom well separate sleeping area . elevator security system require card access room floor . several item ( alarm clock , phone ) easy - to - use preset ; digital thermostat near bed . bit dark , though . I stay Essex , note also say & quot ; cups & quot ; essex none ! 
 Mar 28 2008 	 great hotel convenient 	 great hotel heart Theatre district State Street . easy access CTA . easy get around city feel safe area . 
 Mar 23 2008 	 great boutique style hotel 	 like hotel last stay Chicago . quiet room , although small . Decor nice room keep clean . bathroom typical Hampton , nice vanity . it be theater district , handy seeing show . front desk staff okay , friendly . doorman bellhop almost make . would hesitate stay , although would recommend family . great boutique hotel half price other . also forget mention nice flat screen tv free wireless internet . 
 Mar 17 2008 	 Great Location pleasantly surprised 	 regular business traveler Chicago , surprised find convenient reasonably price hotel . good location anyone meeting Loop also convenient public transit . although arrive well check - in thank early flight , happy check upon arrival . service efficient room nicely appoint Hampton Inn . free breakfast perfect get quick bite eat meeting , WiFi work great . would definitely stay property already recommend other . 
 Mar 16 2008 	 afford stay ! 	 hotel fabulous ! beautiful , clean , comfortable great location . walk everywhere need go , good thing park Chicago outrageously price . ( ' m Northeastern Nevada parking free ) . staff helpful breakfast yummy . bed bedding die ! 
 Feb 29 2008 	 Perfect ! 	 stay could not well . walk distance Art Institute Chicago , State Street shopping . beautiful , clean , quiet room high ceiling , great breakfast , friendly staff . extremely affordable - $ 150 . feel like stay boutique hotel half price . definitely stay Chicago . 
 Feb 9 2008 	 great experience ! 	 pleasantly surprised hotel . never expect much Hampton Inn . choose proximity Federal Building would go back pleasure anytime . deluxe king room spacious pull couch coffee table , flat panel tv , microwave refrigerator bar area . room decorate wonderfully , well maintain bed comfortable . thing think could improve upon front desk forthcome dining info . due fact hotel in - house restaurant , would appreciate suggestion room nearby place eat . nice restaurant right across street wine bar . 
 Dec 23 2007 	 great small hotel ! 	 husband enjoy stay much . staff friendly helpful , location can not beat . stone 's throw State Street Art Institute . Civic Opera house 15 - minute walk Field Museum campus 30 - minute walk . room small extremely clean ( particular ) comfortable bed lot towel . bath vanity wide enough hold makeup case side sink , be room open shelf underneath supply . drawback parking fee $ 38 per day local newspaper . breakfast ample ( hot dish change daily ) , plenty table , coffee excellent ! 
 Dec 12 2007 	 Nice Hotel 	 wife stay Hampton Majestic one night , purpose see Wicked . we impress hotel room well appoint , bed extremely comfortable - luxury expect Hampton . everybody weekend see show - 's kind cool commiserate people show see . close Mag Mile Shopping , could walk . be probably 10 - 15 block heart it . for late night munch , front desk menus delivery service - order chinese place menu good chinese food ever taste . unfortunately room frig , could not save leftover . guess room not frig microwave make sure ask . we park Millenium Garage Parking 4 block hotel - convenient . would definitely stay need room loop . happy choice . look nice room loop , start . 
 Nov 25 2007 	 great deal loop 	 stay friend conference mid - November $ 200 / night . be clean , well - keep , breakfast buffet -- short , great deal convenient location right around corner EL Blue Line Monroe stop . staff friendly , terriblyforthcome neighborhood ; ask place eat , andthey send we awful pub . -- remember , Loop 's lot go eat drinking . it be within walk distance Milenium ( sp ) Park Michigan Avenue ( not mind cold ! ) -- Art Institute across street . be Miracle Mile , look save money , lunch restaurant Nordstroms ( cafe , restaurant ) -- be excellent get large salad hot meal $ 10 meal . great family . one warning : use VALET parking . 's plenty city parking ( check corner S. Dearborn Monroe -- behind Milenium Park ) $ 20 overnight , half price hotel charge . 
 Nov 22 2007 	 Nov 21 2007 -- Great Hotel stay Thanksgiving parade 	 family 3 return 1 night stay see Thanksgiving Day parade 11/21/2007 . literally step away parade pass State St . hotel clean contemporary furnishing staff friendly . & quot ; GRAND & quot ; lobby restaurant , Chop House across street w / wine bar italian Village 3 level restaurant block away . eat low level & quot ; excellent & quot ; ! ! ! king bed sofa bed . room spacious , love decor color . 's frig microwave beautiful flat screen tv . fresh cookie lobby around 5:30pm . breakfast pretty nice , fruit , brkt burritos , biscuit , cereal . pastry juice . overall great experience . would stay again . the room connect door may allow sound next room , neighbor rowdy , noise factor . 
 Nov 17 2007 	 Excellent hotel ! excellent stay ! 	 travel Chicago conference hotel conference locate severely overpriced . luck find Hampton Inn Majestic . 's reasonably price , well locate , come delicious breakfast , great gym . hotel well price stocked amenity , staff courteous , room large clean , entire hotel clean . city sound keep awake . room flat screen tv . , cardio machine gym ( 2 treadmill , bike , elliptical machine ) , small flat screen tv . graduate student , travel budget , hotel excellent solution . 
 Nov 13 2007 	 great value hotel central Chicago 	 central hotel , middle loop , minute Millenium Park Art Institute , convenient public transport , restaurant shop . Macy 's block away . bedroom modern , comfortable bed crisp clean white sheet . 's free wifi access throughout hotel , well free access two computer reception area not laptop . breakfast include price good choice . however , hotel not really gear serve meal ( restaurant ) , breakfast self service plastic plate let bit . breakfast serve reception area , lounge area speak . minor consideration , although frill , service generally great . staff friendly , especially doormen guard main entrance help find taxi etc . not many room floor , be quite homely feel place . 's old building , update well . would definitely stay . 
 Oct 30 2007 	 Hidden Little Gem Theatre District 	 stay last weekend October . go event Chicago Theatre take train city . location extremely convenient want near Union Station Theatre District and/or Loop . hotel less one mile Union Station . also close Millennium Park , Art Institute , Sears Tower Chicago Board Trade . also sort shop nearby , nothing swanky would find North Michigan Ave . the hotel small . sit top LaSalle Bank Theatre . entrance hotel locate right next entrance theatre . lobby hotel 4th floor . experience front desk staff tolerable . deal check wait clerk pick talk telephone ( twice ) even acknowledge . bell staff downstair entrance young unprofessional compare normally see downtown hotel . come back hotel theatre like kid play yard ... jump care world wait elevator . big deal , unprofessional . the hotel clean . room decorate well comfortable . bed comfortable pillow . since hotel small 10 room floor relatively quiet . we stay free breakfast crowd look decent . one hot item ( biscuit & amp ; gravy day ... yuck ! ) cold cereal , bagel , pastry , juice , etc . coffee & amp ; tea available lobby 24/7.we definitely return hotel . price right room clean comfortable ! 
 Oct 8 2007 	 Great Hotel 	 hotel great . great location , great staff , great room . really impressed . town chicago marathon go visit friend stay Renaissance . pay almost twice like room much , comfortable contemporary , even hd flatscreen room . thing different expected lobby fourth floor . entrance hotel first floor next door Majestic Theatre , lobby / room theatre . great hotel would stay . 
 Sep 15 2007 	 Wonderful Hotel ! 	 stay 6 night recent business trip . great hotel . room good size , clean ( clean ) quiety ( , quiet ) , nice contemporary decor , incredibly comfortable bed , free wireless internet connection , nice bathroom . zero complaint . breakfast available a.m. - couple hot item along toast , cereal , etc . bad . location great - near Art Institute Millenium Park . small hotel - 135 room much feel small boutique - type hotel . restaurant premisis , & quot ; room service & quot ; arrangment Italian Village Restaurant street , want dinner room problem . almost hate write good review hotel great find not want book unavailable want stay . much prefer stay Palmer House Drake ( stay past year ) . oh , & quot ; plus size & quot ; traveler room comfortable me- desk chair lounge chair room armless - nice plus . 
 Sep 3 2007 	 Excellent Hotel ! ! 	 room Hampton Inn Majestic great ! bed amazingly comfortable ... lot fluffy pillow right . decor nice- contemporary really make place look like 4 star hotel . staff extremely helpful courteous . short walk Michigan Ave Millenium Park . would definately recommend hotel- steal ! ! 
 Aug 29 2007 	 great hotel great location 	 Ideal hotel sightseeing ! get nice room , load space big bathroom . hot breakfast include price , always plus . hotel ideally locate sightseeing , centre Chicago loop . bit pricey though . 
 Aug 25 2007 	 great hotel great location 	 nice hotel locate two block away Millenium Park Art Institute . also middle theatre district , next door Schubert Theatre , block away many good restaurant . downside location hotel extremely close magnificent mile . room clean new , though particularly spacious . free breakfast include one hot item normal assortment cereal , muffin , toast , etc . staff friendly helpful . short , would highly reccomend Hampton Inn Magestic look affordable nice hotel close Chicago 's park musuem . 
 Aug 21 2007 	 great hotel Chicago downtown 	 good hotel stay far Chicago ( stay Travelodge Congress Plaza past ) .this one much central location room wonderful . renovate recently cheap renovation . big bed , nice bathroom big LCD tv' . also free wireless easy find Chicago hotel , usually pay $ 10 connexion . very close Michigan Avenue , Magnificient Mile many theatre great restaurant . breakfast free well , typical buffet hotel chain though , nothing exceptional side . room cheap ( $ 160 per night ) market price Chicago downtown . expect also $ 38 night valet parking expensivehighly recommend overall 
 Aug 14 2007 	 great experience 	 great hotel theater district . find room reasonably price ( far Chicago go ) , location can not beat -- block two El ( give access everything ) block two Millennium Park . room comfortable ( bed great ! ! ) , decent size , nice decor . complimentary breakfast well stock convenient -- expect Hampton Inn 's . problem wireless internet noise room . find staff ( desk valet ) friendly accommodating . one minus valet parking , though pretty much expect city . 
