glad 	 reading disturb review decide cancel stay even mission , 10 minute hold rude person end line finally go speak someone ! lucky escape 
 Mar 9 2009 	 look value hotel ? ? choose Whitcomb ! ! 	 ' m currently stay Whitcomb one Petite Double room . $ 69 night hotel absolutely unbeatable . ok , location may ideal due 's closeness Tenderloin City Hall BART , F - Line Tram Bus line stop outside hotel care ? ? be also easy 5 mintue walk be Westfield shopping centre 10 minute be Union square . 's Walgreen 's , Subway within minute walk Starbucks lobby ... essential cover right ? ? room clean tidy seem renovate recently new furniture . also independant air - con , free HBO , WiFi toiletrie product usually get ' fancy ' hotel . I also come long flight Australia man desk make good effort put quiet room available ... couple sirens odd motorbike hear nothing ! Michelle concierge desk know San Fran think possible willing help ! say early ... be cheap comfortable stay Whitcomb ! ! 
 Mar 8 2009 	 Perfect Location City 	 friend visit San Francisco 4 day . book room Whitcomb Orbitz reasonable rate stay City . hotel classic room quite nice high ceiling fully furnish . bathroom huge . historic hotel would expect high ceiling large room get . check , request room front hotel overlook Market St . glad . room view City Hall night wonderful view . typical old city hotel , hotel room overlook nothing wall . always ask room front building . starbuck lobby quite nice service totally fast Starbucks . people review hotel complain homeless population around hotel . well , guess ? homeless everywhere San Francisco , reflection hotel . neighborhood safe equal City . transportation outside front door wonderful , go anywhere City hotel front door . encounter concierge desk wonderful . friendly quite helpful , know talk . & quot ; hmm , not know & quot ; . like stay hotel Europe , hallway huge , old style . elevator second . work job well . staff friendly helpful . thank nice stay . problem could come internet service seem overwhelmed , slow download , fault service contract , could try another service . 6th floor ice machine miss , hoof 5th 7th floor ice . maintenance maintenance . 
 Mar 4 2009 	 luxurious would expect 3 - star hotel . 	 beautiful hotel convenient location . go outside hop taxi , jump street car , walk short block tram underground . the room decorate modern furnishing linen . bed comfortable . room 2 queen bed large bathroom massage shower head . if get include breakfast , will please delicious feast ! money save tip : internet cafe directly across street much cheap business center , take note always open post business hour . 
 Mar 4 2009 	 back 	 Room Mate go city Concert , find Whitcomb close attraction near Fillmore , concert venue . room mate never really hang city location perfect we go shop eat . upon check parking easy , nice young man valet car , remember everytime walk outside . the room look modern , could see people work room hall , think redo . room clean comfortable . go Lobby lounge drink night , invite , usually feel wierd walk strange bar , time , bartender nice too . all think staff great defenately back . 
 Mar 4 2009 	 great place stay San Francisco ! 	 stay Hotel Whitcomb 5 night everything perfect ! room bathroom bright clean , lovely view one slope street SF ! hotel great location , couple block main shopping area town . 's BART station streetcar stop outside hotel , well - connect rest city . use parking service great , car return quickly whenever need . hotel great find , close everything good value money . return Whitcomb ! 
 Mar 3 2009 	 Gorgeous hotel unbelievable customer service ! 	 Salsa Candela Austin TX stay Whitcomb part Salsa Rueda Festival . hotel far surpass expectation . great location step BART , amazing customer service , amenity price . neighborhood require bit street savvy . Rolando @ reception especially excellent . security guy awesome . 
 Mar 1 2009 	 girl weekend success - great service great price excellent service 	 girlfriend plan girl weekend need afforable place good location close restaurant bar shopping . Hotel Whitcomb perfect . able walk good shopping area bart right outside hotel need taxis concier would flag we cab would not wait outside . room clean service beyond . free high speed internet , fitness area starbuck hotel . oh go hotel go piano bar / restaurant hotel drink two bartender serve tasty potatoe chip hummus drink ... end go hotel bar night start evening . definitely return hotel every time come San Francisco . 
 Feb 28 2009 	 horrible hotel 	 awful experience ! expect much well place since & quot ; historic hotel & quot ; . entrance lobby historic looking . rest plain old & amp ; worn . night check give 2 double room suppose connect . reserve 2 king room suppose connect . 30 minute back front desk , give 2 king room hall . go back room find key not work . turn key machine not work . let room one staff . not work key middle next morning . alarm clock not work , tell housekeeping staff tell would take care . end take clock front desk 2 day later wait get 3 hour later take room . housekeeping leave 1 none washcloth room every day despite leave 3 hand towel 3 bathtowel every day . fortunately , room 4 5 washclothe every day could borrow . room look feel dirty , noise level hall every night keep we awake . concierge staff rude act like bother 3 day stop . good part whole experience bell staff . helpful friendly . restaurant price not much selection . good family small child . try get table Saturday night tell initially since not reservation , could not seat . seat dark corner place . opt go another place . service bad . bright spot elderly gentleman play piano lounge . homeless people aroung area overwhelming . walk home restaurant 8 block hotel one night not feel safe . never stay , recommend anyone else . 
 Feb 27 2009 	 wonderful experiance 	 beautiful room quiet . great bed , nice linen . Nice Starbucks right lobby . lounge nice couple drink , dining . housekeeper friendly helpful . 
 Feb 19 2009 	 great place stay visit SF . 	 great place stay visit SF . cost far less comparable place front desk service excellent . 
 Feb 10 2009 	 Hotel Whitcomb charm convenient great value 	 must say difficult financial time , 's refreshing find true value . may know pay upwards $ 300- $ 400 per night quality hotel room San Francisco . Hotel Whitocomb fraction offer quality , romantic San Francisco Flavor . location fantastic , easy access theater district , muni bart . charm old hotel warming upon enter beautiful lobby , staff quite accommodate helpful . would encourage try uniquely & quot ; San Franciscan & quot ; experience . 's well worth price admission . Rick 
 Feb 10 2009 	 Wonderful Visit 	 enjoyable stay . room clean , staff warm friendly , hotel centrally locate outing city . highly recommend Whitcomb . 
 Feb 9 2009 	 Perfect 	 hotel incredible value price . elegance historic hotel disceive . think cost lot . travel alone , East Coast , safety paramount . staff private security firm freindly , helpful , responsive . adjoining Starbucks perfect East Coast internal time clock Restaurant 's Hotel , Market Street Grill , also incredible value fresh gourmet cuisine never leave Hotel . not spend travel budget nice hotel ... could little extra make visit San Fransico unforgetable experience ! thank , Hotel Whitcomb . 
 Feb 3 2009 	 terrible hotel 	 terrible place stay several reason : - although centrally locate , homeless crowd street specific region- staff rude ! ! arrive , warn hotel would arrive early tell we would problem room already available . reach front desk check , attendant ( think name Rene ) , without look , tell could check early . 30 minute , decide check we in.- valet service terrible . every time need car , wait least 10 minute someone appear . cost almost usd 30 per day.- hotel old dirty . room , sofas couchs main hall dirty , look like never clean . - breakfast ridiculous . give ticket , wtih , entitle muffin , orange juice small piece fruit ( half banana , instance ) .- room noisy difficult sleep . every night two guy staff hotel talk laugh night long . do stay hotel . several good option San Francisco 
 Jan 28 2009 	 problem except amount credit card 	 come South Africa need hotel quite close conference attend course , bad exchange rate , quite reasonable . get pay find room clean , bed fresh staff , exclude one two front desk , quite friendly . would stay hotel receive credit card account back South AfricaI note nearly $ 40 's add original quote account . live far away suppose receive reaction e - mail query refund . make use amenity room service . thing happen locked room front desk block key card staff member register we could count day stay correctly . happen colleague . suppose charge high rate ? colleague charge quote rate . therefore warn potential guest - check account ! 
 Jan 13 2009 	 Budget bargin ... 	 perfect way spend Christmas & amp ; New Year friend come back second time year SF Edinburgh . get bargin good London travel agent stay Whitcombe 10 night festive season . Bargin . price almost double hotel , worth , come month December . the hotel grand entrance , marble chanderlier , excellent starbuck next door . lifesaver . try check - in late afternoon reception busy . beware : hotel hold deposit room put stop credit / debit card ! explain incidentals i.e . pay - per - view telly , restaurant , ( recommend , expensive well diner downtown , go Lori 's Diners breakfast ) , amount room stagger $ 500 room ! ridiculous . explain pocess credit / debit card try put friend card , luckily excess $ 1000 . say reduce day take least five antyhing upon complain . avoid embaresse restaurant moment card reject , hotel money ! also aware charge $ 220 smoking room . must admit smell hotel corridor could high suspect substance smoke alone . room fine time . clean everyday , fresh towel , sheet etc replace . complaint . remember first time visitor hotel greatly place , near avoidable Tenderloin across road . go homeless upset . find hassle though . come bargin may think would go apartment share friend Telegraph hill next time . worked bit comfort , worth look . go Lou 's square Washington Sq . great cocktail company , 's awesome trooper . 
 Jan 6 2009 	 Know pay . 	 boyfriend stay stop road trip coast . pay $ 70 non - smoking room queen bed , advertise 50 % original price ( ~ $ 140 ) Hotels.com week Thanksgiving 2008 . think , & quot ; wow ... be 50 % 's historic hotel . ' m there . & quot ; check review TripAdvisor saw recieve mediocre review mostly due poor parking situation room condition . thought would give go anyway . a day suppose arrive Hotel Whitcomb , call push reservation back day . easy . check see current rate hang . room still go $ 70 regular price ! get dupe . ' m usually good recognize phony & quot ; sale & quot ; , time didn't . here be fun part - figure park get hotel ! first , San Francisco disorient . we stop car see either public parking valet . plainly post sign ! circle around awhile try find parking , boyfriend , driving , try alley Hotel Whitcomb building next door . take we right valet parking ! Whitcomb need put sign somewhere , seriously . fun experience , figure would pay $ 28 / day valet . registrar desk sign say valet $ 28 / day plus tax ... website never mention tax ! determine keep open mind rest hotel . lobby level look nice . antique look furniture ( least non - pressboard veneer furniture ) many chandelier . elevator special ding door open . room ( least ) look fitting historic hotel room . though , upon close inspection notice furniture pressboard veneer . not let deter . expect furniture time period build . ( stay historic house York , England antique furniture . ) expect antique furniture $ 70 room ( hotel 460 room ) not realistic . my real beef room one washcloth ( two register guest ... call front desk twice first two night get bring still leave one second night ) , space around sink faucet not clean hair stick ( clean ) , bathroom door would not shut latch stuck door , stain blanket duvet , free breakfast ( even continental ) offer . also , hall us group college - aged look people noisy ( 23 ! ) one good thing sort counterbalance bad , concierge . Michelle , gift shop cashier hotel concierge , fantastic ! grow San Francisco know quite well . know 's worth see 's plain touristy . make public transportation route base activity day . even though SF 's public transportation really good , really confusing . Michelle 's help valuable boyfriend one day SF not do much research . so be breakdown ... 1 . plan drive , know parking situation.2 . not expect much $ 70.3 . not expect elegancy . though portray elegant , - evidence staff 's hotel resident 's mannerism , also homeless outside.4 . cleanliness iffy inside room . remember ... research chose hotel , motel , inn , B & amp ; b , etc . ! 
 Jan 5 2009 	 Nedd hotel San Fran ? try one ! ! ! 	 recently travel San Fran & amp ; Hotel Whitcombe upmarket area great city , hotel still great value . situate near think call Tenderloin district couple call OLDIES & amp ; never harass problem street people .. able walk Union Sq short time dine , shop check city foot .. transport right outside hotel easy get around .. Special mention favourite diner SAMS opposite great breakfast late snack . cheap dine well , service pleasant nice friendly staff . sadly can not remember lovely korean owner name tops.we wish well .. go San Francisco GO PAY VISIT rrewarde .. thank trip advisor info lead we Hotel .. 
 Dec 24 2008 	 like Whitcomb 	 spend five night Whitcomb , San Francisco . go Whitcomb can not afford anything well ( although much cheap ) . yes , historic building beautifu , staff helpful day tour direction .... room depressing ; dirty carpeting , stain bed cover day pillow , deform lamp ; bathroom look new , not clean . location ... yes , right next BART MUNI station bus street car stop five min away asian museum , within homeless people ' vicinity .... come cofee warmth starback accessable hotel 's lobby ... honestly , pleasant .... 
 Dec 22 2008 	 Mixed Review 	 stay Hotel Whitcomb 4 night . somehow upgrade suite nice surprise . however , corner room bit noisey ... heart San Francisco glad bring sleeping pill . read review regard location yes edge tenderloin Castro destination problem City Hall area not walk Union square directly behind hotel . another small problem third day accidental fall bathtub . tub really old worn result slick surface . look may happen several hole seem shower curtain rehung tile miss . tell front desk need rehang shower curtain bring rubber bathmat . take two call . tell manager last day nice enough offer complimentary breakfast leave morning . AAA special well worth watch tub call mat . 
 Dec 2 2008 	 Kinda Nice .... 	 hotel designate & quot ; Historic Hotel America & quot ; will not argue warn build need bit renovation . service staff fine however walk room kind strike moldy / mildew smell hallway . room nice , although Market St time feel like traffic street sound room . light sleeper beware ! bathroom big look partially renovate 70 . loose tile , mildew caulking make think new renovation due . lastly , commentor say , Market Street spot particular not pretty . dodge panhandlers day hassle evening see obvious prostitute hang front entrance kind make wince . recommend choice stay SF neighborhood away downtown . public transportation great SF SF looks feel good . 
 Nov 21 2008 	 genuinely neat place ! 	 honestly say probably spend night Whitcomb person planet ! result responsibility large event end june SF , fortunate Whitcomb call home nearly month year ( 9 year ! ) staffthe Whitcomb friendly hotel staff SF ! though visit typically 11 month apart , front desk staff actually remember name ! Olga Kazi well , continually go way make feel welcome ( even though stay sometimes financial loss property ) check always breeze time ' ve request ' ve handle expeditiously . propertywhile agree reviewer hotel 's location be not ideal , ' ve never make feel unsafe . routinely walk property location throughout Civic Center Plaza come back property late 3 am occasion never felt threaten . hotel incredible job & quot ; diamond rough & quot ; additionally , orpheum theater directly accross street un common see people dress nine mill late hour show get . also incredible fortune hotel hold rehersal Hairspray musical ballroom lobby ... opportunity hear worldclass performer rehearse ! ! also , desire - Burger King across street unusual fun place get autograph two show almost always find hungry actor actress performance next door orpheum . said - desire get civic center heavily populate tourist area , literally entrance MUNI BART doorstep . many reviewer mention availability F street car much practical grab BART MUNI underground . will find MUNI underground much fast F street car . literally grab & quot ; inbound & quot ; muni hotel Union Square 2 min ( next stop inbound hotel Powell ) good part cost $ 1.50 ! want go Fishermans Wharf always MUNI Powell grab cable car aweful lot fun ! basically get benefit stay overprice tourist trap union square soma Embarcadaro without steep price really see major pro con ! ! RoomsI can not speak highly enough comfort room . look marble bathroom granite counter look elsewhere , look clean comfortable room old San Francisco charm place . bed amongst comfortable ' ve ever sleep bathroom functional . every room ' ve stay ( ' ve stay plenty ! ! ) oversized closte . room desk side table read type chair well . room nice bright paint job remind boutique hotels downtown london . honestly , place be not Ritz get amazing value world class property . hang lobby get chance take amazing marble crystal chandalier . grab bite drink Market Street Grill ( crab cake great ! ) 
 Nov 18 2008 	 great hotel 	 bit worried read bad review think must different hotel go 25 wedding anniversary staff lovely helpful security night good lovely room keep lovely clean great location handy bart homeless never felt threaten overall lovely stay would definitly stay thank lovely two week 
 Nov 12 2008 	 great hotel excellent price 	 stay Hotel Whitcomb 4 night Jan 08 quite impressed hotel . I San Francisco time , know exactly area like , often consider stay hotel Ramada . check - in rather painless , good get flight Dublin via London pretty wreck . bag still London , not really put good mood . my first impression room corridor old hotel , well look . room fine bathroom also fine , bit small . I 2 city holday , San Francisco Las Vegas , 4 day split 1 day go Las Vegas 3 return Las Vegas . the hotel right beside f - line stop , handy get Fishermans Wharf etc . there slight problem return hotel trip Vegas due fact due turn day late , reservation actually cancel , however , receptionist able find reservation re - activate it . the Starbucks hotel also handy , able get Machiato get tram Pier 39overall , would recommend hotel consider stay next trip San Francisco . 
 Nov 10 2008 	 comfortable ... 	 well ... general , look like pretty nice comfortable hotel ... good : -comfortable bed , clean room ... bad : - however , hotel locate 8th street ... zone border sleezy / dodgy area SF city ... every night will hear police car , ambulance , fire engine zoom past ... - one night , unpack girlfriend .. hear 3 loud thumps door ! one ! * creepy * - room + toilet wallpaper tear ... reveal old yellowish stain wallpaper ... leave hotel , be realise ... hotel gazette heritage monument type building ... 40 year ago ... hospital - cum - mortuary ! ! ! ! YIKES ! 's common people hear footstep someone call middle night ! double YIKES ! ! ' m wonder whether loud knocks wall even human ... * gulp * 
 Nov 10 2008 	 Honeymoon Night 	 Husband Horrific Time get marry ( include mug robbery ) , hotel wonderful ! price extremely reasonable ( esp . quality hotel ) . room great . staff professional .... could not recommend ! 
 Nov 10 2008 	 Old Hotel history Amazing 	 great time & gt ; hotel walking distance everything . staff helpful friendly . room find small clean nicely decorate . would stay . lot homeless people never bother we . see next trip San Fran ! ! 
 Nov 10 2008 	 Hotel Whitcomb Honesty 	 stay Hotel Whitcomb San Francisco wedding comfortable , friendly enjoyable . folk desk helpful parking attendant willing put frequent trip lot . I especially impress honesty helpfulness staff . unusually large amount cash pay back mistakenly leave glass case drawer room stay . not discover drive city . return Hotel still could not find , within half hour , get call item find . money miss staff quite supportive agitation . treat respectfully could assitance . appreciate Hotel , management staff . Barbara Penny Garberville , CA 
 Nov 2 2008 	 Credit Crunch Whitcomb 	 ok reviewing comment make opted book Whitcomb would raise expectation . arrival Art - Deco hotel really see Hotel lot story tell , grand wood panel like adourn reception small seating area . check quick room 3rd floor . frequent business traveller stranger stay whole raft hotel phase room , 2 queen bed walk wardrobe , free Wi - Fi ...... bathroom blind , yes room overlook Market street bathroom window also view Market Street , ok window frosted desire shower ( tub ) view public . ask front desk another room tell one good room disabled person room generally big other . area expect rather seedy one wonder past front door dark , starbuck life saver free Wi - Fi elect stay one night make use Wi - fi find alernative hotel remainder 5 day . round hotel say tin , budget worry neighbour hood reasonable time Whitcomb . however urge managment address basic need room tired could refurbishment keeping hotel history , would also like see Citys authority pro - active sort homeless folk outside surround area real shame real problem 
 Nov 2 2008 	 Nice Old Hotel great area 	 get good rate Priceline get room 11:30 amso please that . room clean wireless work wellStaff friendly helpful tour option etc . lot homeless person around one bother we . walk cable car tour bus departure point without feel danger . nighttime would another matter . 
 Nov 1 2008 	 good superb 	 service hotel good . room spacious clean . bathroom big , clean . disadvantage noise could inside room . outside ( police car example ) inside hotel ( neighbour ) . 
 Oct 31 2008 	 not go night . 	 book hotel reasonable price close proximity public transportation . like many reviewer , husband concerned location , particularly panhandler somewhat unsavory street vendor Market St. near hotel . friend live San Francisco couple year describe neighborhood somewhere & quot ; safe day , stay group night . & quot ; seem fair enough . keep bag close , prepared say & quot ; today , & quot ; range people attempt get money beg sell thing really not want ( poorly write homeless activism newspaper , bootleg hip hop cd , etc . ) .That say , access public transportation make 's relatively easy avoid problem little planning ahead . Civic Center BART station F Train ( take Union Square , Fisherman 's Wharf , Ferries Castro ) within foot hotel door , train station , much less worry . hotel 8th 9th street , find get 9th St. F Train platform , deal few problem street . difference block make . I minor concern hotel . could clean . suspect thing floor bathroom not clean make sure leave towel top would pick towel . six night , two request wash rag bathmat , housekeeping leave towel hand towel bathroom . housekeep relatively prompt bring item request , really not request thing like linen hotel . that say , overall room tastefully appoint . stay nice room , ' ve also stay much less savory place . staff always friendly courteous , quick refund money difficulty use Internet Cafe area . 
 Oct 27 2008 	 scary area rude staff 	 book hotel , realize area would great , not realize would actually scare walk around . live big city comfortable walk around almost anywhere . travel alone extensively U.S. , Europe Central America never feel unsafe . one block area ( hotel Union Square ) , tourist / business people . instead leave luggage hotel could walk around red - eye flight , actually ask people another hotel ( Grand Hyatt ) keep afraid walk around near Whitcomb late night . if area surround hotel issue , would write review . wish hotel 's website state clearly locate unsafe area , feel hotel management blame street people around hotel . blame hotel terrible customer service . treat unkindly front desk staff upset day would never consider recommend hotel go back . experience actually ruin trip enjoy last day . year travel around world , never unimpressed hotel staff 's ability show basic kindness , let alone good customer service , client . considering stay 1 star hotel overseas perfectly happy , quite amazed negative experience reputable hotel major U.S. city . 
 Oct 26 2008 	 great location 	 Hotel choice limit San Francisco due major convention marathon . Hotel Whitcomb locate Market Street . near BART station , convient take train airport . hotel door literally step station . I really enjoy stay , wish hotel close shopping Fisherman 's Wharf . neighborhood hotel great . not feel safe walk around , take taxi home night . also order get area Fisherman 's Wharf cab essential plan shopping . not lot place around hotel food drink , not count various Gentlemen 's Clubs . despite less desirable location room clean , reasonable , Starbucks lobby . also bar grill hotel , not time try . 
 Oct 26 2008 	 Grand piece history 	 deduct one star location . beautiful grand hotel like . staff wil treat like five star hotel . room clean comfy . yes , renovate need address , overlook history hotel . leave early location move another hotel . area board building , men club group young man homeless roam street . not go dark & quot ; probably & quot ; OK.The inside cafe wonderful , lovely busy starbuck inside well . it experience stay , unhappy leave . thank Whitcomb staff super experience , front d , hotel operator conciere . 
 Oct 24 2008 	 Nice Hotel Nice Location 	 first foremost , rely heavily tripadvisor review trip . take time read page review , date back month long , make decision . make habit reture favor write review place stay . year . vast majority review hotel right . hotel , area . unfortuately hotel , area come it . I visit San Francisco 5 year ago live outlying suburb 1981 - 1985 . book hotel due fact old daughter stay group runner , participate Nike Womans Marathon . bottom line , hotel great , old boutique style hotel character flavor . room small , typical old , city hotel . like New York . accomodate , wife 15 year old daughter fine . fact , hotel problem . problem outside front door anyone book hotel aware area . edge Tenderloin district . secret area Market Street Civic Center homeless , apparent mental illness ( albeit functional ) large amount city 's dreg society . tourist area . certainly understand hotel 's fault , website provide information prospective guest , guest well informed . arrive checking , decide walk Powell Street Cable Car turnaround . 4 block hotel . cable car take Fisherman 's Wharf Aquatic Park , Ghiradelli Square . walk Union Square would another 2 block long . dusk , maybe 630pm . 20 yr veteran police officer New Jersey , hour south New York City . easily intimidate , sense thing right always protective family . walk last 2 maybe 3 block . uncomfortable walk wife teenage daughter , turn around hurried back hotel . flag cab useless . many creepy , sketchy people hang , panhandle eyeball we . People get high , deal drug drink brown bag . one guy ask time , could infer get glimpse fairly expensive watch wear short sleeve shirt . 20 yard later , put watch pocket tell wife . hotel even give guest safety guideline gear area , hotel information book room . stand like sore thumb . get back hotel tell desk uncomfortable walking cable car stop could call we cab . desk simply say step outside hail one . ( thank help ) . well , try , approach several homeless ask money well car service driver hawk people ride . pleasant . , reluctantly get car valet service drive Fisherman 's Wharf spot around city . want . next morning check . stay suppose 4 night . one enough . , hotel fine , stay somewhere vacation feel intimidate apprehensive walk front door . I sure hotel management respond state city San Francisco aware homeless , panhandle drug addict sketchy alcoholic seedy character congregate linger Market Street area Civic Center , directly across street hotel , actively try something . fact , San Francisco , liberal city much tolerant type problem major city , go away anytime soon . unfortunate hotel possibly recommend stay , especially young child . state previously , old daughter also stay Hotel Whitcomb group runner town Nike Woman 's Marathon . work Manhattan walk 10 block every day Port Authority 42nd Street . even say area way worse see daily basis NYC . stay we another hotel last 2 night . review honest insight nice hotel nice area San Francisco . 
 Oct 15 2008 	 Wonderful Old Hotel 	 hotel Histroic Hotels America belong . beautiful old hotel modern convenenice look . thin need update carpet room bathroom . place vaity personal item hole drain large drop piece jewlery be go . besides bed super comfortable sheet comforter new . hotel right outside muni station walk one leavel BART right . across sreet burger king gross Sam 's Diner . Fodd alright price high like anywhere city . try spicy sausage omlette 's $ 10.00 taste really good . inside hotel another resturant really expensive not eat omlette 14 buck . also starbuck inside hotel . back hotel Internet Cafe $ 5 30 min . get chance take trip eight floor look like pyscho ward hotel use temp city hall basement still prison cell . something find every hotel entertaining see actual history place . outside look little run inside amazing 's marble carve wood glass . pretty . rate good October . would definently stay people go San Francisco . 
 Oct 3 2008 	 HOTEL WHITCOMB SAN FRANCISCO 	 stay Hotel Whitcomb early September . staff friendly , consierge helpful planning trip Napa Sonoma hotel lobby elegant . however , hotel could use update room . sheet tear , floor tile broke , wall need update . exercise room treadmill break weight machine break well . do not report problem big issue we notice could use & quot ; facelift & quot ; . hotel starbuck helpful morning , big breakfast eater , could grab coffee something light breakfast . think homeless issue bad review read . one homeless person drift lady bathroom . immediately tell manager take care right away . might one homeless man front side hotel , hot bother anyone . hotel much get early morning usually get back hotel evening . get good rate hotel price match rate another company . 
 Sep 14 2008 	 GREAT find ! 	 partner reserve room four - night stay another San Fran hotel . however , review hotel TripAdvisor good , ( last minute ! ) cancel reservation take available room Whitcomb . property total gem wonderful find ! personally , LOVE historic hotel grand , old San Francisco . room elegantly decorate , clean bed , comfortable . maid service also great . concierge , addition , ABSOLUTELY WONDERFUL ! front desk staff seem little frustrated computer system , good we . return San Fran couple month business surely stay . * * say , though , reason ' m give review 4 star 5 star porter . deal two porter : extremely kind helpful gentleman east Africa snotty , 20 - something white kid . partner Latin America slight spanish accent . , however , Ivy League educate speak perfect English . 20 - something porter insultingly patronize partner become rather upset . , though , wonderful stay great property . 
 Sep 2 2008 	 deception 	 return 3 day Whitcomb SF 2 kid . arrive near 11 pm due unexpected delay ALAMO airport ( 2 hour wait rental car delivery ! ) , surprise , confirm reservation 4 people unknown front desk . solve problem apparently staff priority , finaly sleep room 2 people one additionnal bed ; day , move room 4 people luggage transfer take account propose staff , move stuff . to conclude : friendly efficient staff , hotel 's location far point interest environment worry nightfall : little convincing value money . 
 Aug 27 2008 	 great Stay ! 	 wonderful stay Witcomb . conference , feel well take care . location convenient catch bus / trolly anywhere SF . room clean , like atmosphere . 
 Aug 25 2008 	 great nostalgia 	 arrive late check - in problem . room ready , availed valet parking even close midnight . town outside Lands festival , not spend lot time room . hotel lovely quite nostalgic . lobby spectacular gorgeous granite marble carving , lovely carve wood ceiling beautiful stained glass . room , 7th floor , not much view , request quiet room . face Market Street , would ' ve noisy . room great , high ceiling way character chain hotel . public transit step front entrance . try hotel restaurant usually late bed late rise , close breakfast dinner normally would eaten ( 11 11 pm -- reasonable .. weird eating habit ) . room great . bed comfy . lots pillow . nicely furnish . bathroom quite spacious , think old hotel , room shape size vary . a / c not overly cool , keep we comfy enough . SF high room taxis , course , hotel not control . keep mind add budget . enjoy Sam 's Diner across street . , watch add & quot ; service charge & quot ; 15 % . good food , , guess , need figure tip since effectively add bill . thank , Hotel Whitmore . another reason decide stay , despite homeless part city ( hotel 's fault ) attention pay customer service . noticed manager respond review , positive negative , TripAdvisor , tell care reputation . , find action word one . great experience ! 
 Aug 24 2008 	 two issue consider Whitcomb 	 interesting stay hotel read much review travel therefor two main issue ( 1 ) Hotel ( 2 ) Neighbourhood ( 1 ) hotel absolutely fine . book 2 room party pretty pleased . room clean bed linen change ever day . hotel appear build edwardian period probably suffer result . example electric go one room due overload circuit hair straightner plug . mention staff deal immediately ' problem . building probably need rewire , re - plumb etc would undoubtedly cost million would probably uneconomic part owner . however complaint whitcomb hotel ( 2 ) Neighbourhood- surprised number destitute people appear suffer mental illness street San Francisco . hotel area full people . never problem anybody , understand issue bring much previous review hotel . party consist wife 3 young girl , 10 , 12 14 , know feel little uneasy area . hotel literally 500 yard east , say Mason Street onwards , main shopping area begin , hotel would probably receive rave reviewshowever , probably reflect price charge . nevertheless good geographical position get around city , public transport almost right outside . starbuck next hotel anyone want decent breakfast try " Sams " directly opposite hotelwould book again- yes would . hotel fault destitution street , issue ' overplay would prepared stay . little bit sensitive out , perhaps look elsewhere . 
 Aug 22 2008 	 aware location 	 lovely restore hotel Market Street San Fancisco . problem 's wrong end Market Street . 's good price center San Fran go night minder . not use valet car parking service -they will damage car . 
 Aug 17 2008 	 Problem free stay 	 overall stay satisfactory . not experience problem . even though arrive hotel early , able check . staff friendly helpful . especially lady concierge thrive help we whenever ask something . hotel close public transportation . BART / MUNI metro station outside hotel across street street car stop . however , first get hotel , scare little bit many homeless people loiter around . later get use scenery . pro continue Strarbucks entrance inside hotel . breakfast . hotel restaurant seem good never chance eat . room clean , towel change everyday . problem come early clean . forget hang & quot ; Disturb & quot ; sign , knock door matter early be . will stay hotel ? probably yes . 
 Aug 13 2008 	 great hotel - dodgy area ! 	 stay large tour group week ago . let start room . the room huge . beautifully decorate bed comfortable . there bad powerpoint fall wall quite dangerous forgot report . the bathroom small hey ' live bathroom problem . the hotel gorgeous old hotel restore . the staff mostly helpful must mention gentleman work opposite reception . we ticket tour baseball park game day want go ask could call make sure tour still go . he seem disintereste refer us lady giftshop go way help we . also 1 include breakfast hotel . as tour breakfast set meal . but mine come stone cold . it taste like rubber ' feed dog . the hotel block away ' tenderloin ' bad area crime . as other say homeless problem epidemic walk hotel see homeless people everywhere . I realize something hotel control also see man arrest drug possession metre hotel . I walk around large group night feel safe . this hotel gem wary area . take cab - try walk ! 
 Aug 13 2008 	 Cusomer Service Excellent ! 	 atttende buisness trip CA July . come Rochester , New York go CA 48 hour . meeting attend need item ship CA store somewhere need . call Hotel Whitcomb Restaurant Manager David explain need . said & quot ; problem accomodate & quot ; . perishable item ship hotel 2 day arrival . hotel store item cool free charge ! also box ship item would need store . anything ask able get we . luggage lose airport hotel help we get luggage back night . hotel historic hotel alot character . make trip annually decide Hotel Whitcomb 6 we stay . actually send gift basket happy everyone 's service ! 
 Aug 12 2008 	 okay stay 	 husband recently attend conference San Francisco , Hotel Whitcomb designate hotel . San Francisco often , look forward trip . lured picture web site , booked & quot ; junior suite & quot ; 7 - night stay . not mislead alluring picture lobby , indeed gorgeous . much time spend lobby ? junior suite also example luxury - on - the - surface , not - so - great underneath . first , arrangement & quot ; junior suite & quot ; awkward , long & quot ; hallway nowhere & quot ; . bathroom stark ( beige tile everywhere , not - very - fluffy white towel ) apparently carve one corner afterthought . shelf space bathroom . small refrigerator nice , in - room coffee . way many extension cord multiple item plug . electrical outlet near desk require jiggling keep lamp light , laptop battery run nearly zero one night not plug right angle . USA Today available front desk -- get early . restaurant food okay , overpriced . starbuck next door nice touch . staff pleasant helpful . outside , one catch trolley $ 1.50 -- frequently overcrowded , room additional rider . hotel Market Street , hear siren emergency vehicle loud clear hour ; . panhandler evident obnoxious . next time , will look elsewhere . 
