good 	 husband 2 year old son stay three night Thanksgiving weekend . get excellent rate priceline front desk staff upgrade we superior room 33rd floor . big room fantastic view hudson jersey city . small fridge room put milk yogurt son . hotel standard marriot room rather large Manhattan hotel . the 85 west restaurant decent menu bit pricy ( $ 20 burger ) . breakfast starbuck one day morning go diner block away ( Georges ) excellent . can not compalin hotel except would stay downtown sightseeing shopping . also many restaurant around . the hotel one block ground zero general lot construction area sidewalk block traffic divert . subway station close get town . 20 minute ride midtown 25 - 30 uptown / central park . , great hotel convenient location midtown sight , especially child stroller . also prefer come back hotel naps inconvenient midtown taxi ride $ 30 . plus side , ferry liberty ellis island 10 minute walk hotel . 
 Oct 29 2008 	 Good Value Hotel 	 stay hotel ( 2 plus 13 year old child ) previously use hotel around Times Square . hotel improvement other . moment check , make feel welcome . room consist 2 double bed adequate need , maid service excellent . although exactly central , still load restaurant / bar / deli 's immediate vicinity . check small Thai takeaway near back entrance - delicious , cheap food doorstep . hotel pool pretty good make nice start day . would highly recommend walk nearby Battery City Park & amp ; Winter Gardens . walk west side Hudson towards Battery Park & amp ; ferry . the downside - room service ridiculously expensive ( $ 7 bottle water , $ 42 pizza & amp ; pepsi ) put we use . issue lift seem drag age . one lift go far 12th floor stay could bit wait . bad news work upgrade take month . dare say will get eventually . overall - positive stay good hotel . would definitely use Marriott Downtown . 
 Oct 18 2008 	 Mixed experience 	 get good deal , hotel certainly ok , crowded large travel group . room 6th floor , could reach one four elevator , since another one repair . arrangement result frequent partially long wait elevator , hotel category price class acceptable . hotel room large bed furniture comfortable , however ice machine opposite room noisy could hear room night . air conditioning fail , service quick upon return hotel , everything work again . overall , rating reflect 1600 EUR 5 night , simply expect well , less noisy room hassle free elevator . however , Roys Restaurant delicious , albeit pricy . 
 Oct 16 2008 	 can not praise hotel highly 	 husband request river view room belate 50th birthday trip hope . arrive without luggage late Wednesday night find upgrade junior suite give toiletry pack help we . desk suite cheese platter , box cracker , bottle champagne two champagne flute , box Godiva truffle individual Godiva birthday cake shape truffle . walk past coffee table notice plate cover chocolate dip strawberry . like birthday ! deeply touch kind thought attention detail . we go lively cocktail bar lobby ( one dead dull place hotel bar ) 11.30pm , starve second meal plane pizza wheat intolerant husband hate cheese ! serve midnight french onion soup ( minus crouton ) excellent . cosmopolitan good too . the next day 5 pm knock door . sore foot shop padded door member staff another plate chocolate dip strawberry half bottle wine ! feel truly spoil . the hotel fit high standard come expect Marriotts , comfortable bed pillow ( need not bring memory foam one , good - note self ! ) . yes , elevator little slow tragically work . sad able see Ground Zero wait elevator need remember happen around corner , forget . excellent location get uptown Subway Rector Street station really couple block minute away . good line get Loehman 's 18th Street great bargain , stay long Macy 's 34th Street . view across river worth request impressive look Goldman Sachs Tower side . manager find even attach page Wikipedia explain building get home . level service provide hotel . we wonderful time spite luggage take full 48 hour long arrive . big thank staff make special . 
 Oct 16 2008 	 great weekend value 	 go NYC husband parent overnight able snag double room $ 350 ! amazing deal NYC , still sure happen . get hotel 11 am , check bag , go sightseeing actually return check 11pm . the room impeccable , comfortable bed , nice decor - obvisously set business traveler perfect one & quot ; crash & quot ; night . 9 next morning , really not spend lot time , serve need . staff check - in friendly efficient . the drawback location - 's downtown near Ground Zero 's happen area weekend ( especially Sunday morning ) . plan sightseeing Midtown ( Rockefeller , Central Park , Museums , etc . ) may like location . 
 oct 9 2008 	 great base 4 girl 	 return stay Downtown Marriott ( 2nd-6th Oct ) . travel 3 friend & amp ; stay 2 double bedded room . little worried 4 we one room ; amount space , one badroom , get ready etc . however room great , clean , everything need enough space & amp ; storage we . admittedly much much New York , base price excellent . go luxury personality . thing could fault fact one elevator work ( wait good minute one arrive ) staff reception desk friendly . would reccomend anyone go New York want somewhere clean & amp ; good value base . 
 Sep 23 2008 	 Excellent Hotel 	 recently stay Downtown Marriott couple night find excellent hotel . fortunately , husband Marriott point cover 2 night stay . location great visit Battery Park , go Staten Island Ferry also locate near Rector Street Subway station , find useful catch no.1 train travel uptown . 's location close Ground Zero , lot construction work nearby find problem all . our room king size , beautifully clean large compare hotel room size ' ve stay travel Europe . bed comfortable . plenty towel available bathroom . room provision include really good hairdryer iron ironing board . facility great . starbuck cafe - handy breakfast , really busy early morning lot business people stay hotel find useful . believe another bar not use also health facility - pool / sauna , not get chance use they . we room 10th floor , view pretty good - could see Hudson River building opposite . guess high floor even great view . we would definitely stay . 
 Sep 18 2008 	 wonderful hotel great view 	 stay 2 night weekend end August . room rate incredibly good , give standard hotel : $ 219 night 2 adult plus 2 kid double queen room , pre - pay rate ! request room high floor , , surprise pleasure , get . room amazingly clean comfortable ample space 4 we . probably good thing view - say views- right Statue Liberty . plus , second window , architect husband equally thrill able follow buidle site construction opposite ( without noise , course , great soundproofing ) .For girl , major plus heated indoor pool , real treat day 's sightseeing - Battery Park close , get one first boat Liberty / Ellis 10/15 min walk . Century 21 also nearby , Wall Street block away find Ground Zero -we even take photo look onto site window hotel elevator . hotel may little usual beat tourist path NYC , rest Manhattan short subway ride away , honest , low Manhattan near weekend ( stay Thurs/ Fri ) refreshingly calm compare non stop Times Square . the staff cheerful obliging ( special mention guy pool ) . elevator renovation really not bother we , tourist , business hotel guest seem be . we eat Roy 's first evening - excellent food , nice bar - like atmosphere , bit pricey . breakfast in - hotel Starbucks ( convenient get ? ) rather ' official ' one , even buy souvenir hotel 's gift shop rush . overall excellent experience . would not hesitate recommend hotel . 
 Sep 17 2008 	 nice place 	 nice hotel . room large NY hotel . linen fabulous . lobby pretty . view nice . one elevator service not wait long give day . 
 Sep 9 2008 	 expect ! 	 really fan Marriotts ... former stay , class act ! excellent accomodation ( spotlessly clean ) great bed view . wonderful helpful staff . area perfect low Manhattan site easy access via subway part NYC . lot restoration / revitalization area . enjoy walk along river morning coffee ! 
 Aug 29 2008 	 Fantastic 	 delighted find deal Expedia reasonable price fantastic hotel . first visit New York look forward go much , want everything perfect would load great memory happy NYC live hype . glad pick Marriott Downtown hotel . arrive box Day late night . everywhere quiet put fact box Day people family thing . throughout entire stay location prove peaceful retreat despite major road one block World Trade Centre site . city buzz New York , quiet respite truly welcome thing . greet friendly welcoming desk staff check quickly make friend helpful chirpy doorman much fun chat . could tell talk ( believe name Sandy ) love city work give we spring step leave hotel explore city ! room plush clean . bed comfortable find hard say goodbye . reserve standard room decent view , could see Statue Liberty immense skyscraper downtown . turndown service impecable every day bathroom restock clean lady even fold pyjama ! despite downtown distance hive activity midtown , hotel round corner Rector Street subway like say WTC one block away load access uptown . say 's plenty see neighbourhood ! Wall Street block away , shop Broadway even close take ferry ride Staten Island South Street Seaport take view skyline . 's also heliport aerial view catch boat Statue Liberty Battery Park . within 15 minute walk hotel . I absolutely love stay New York Marriott Downtown would not hesitate stay , New York Minute ! 
 Aug 26 2008 	 great place stay . 	 recently stay Marriot Downtown NYC four day husband two teenager . good experience would consider stay . get great rate Travelocity help . hotel right next World Trade Center site lot construction go - not bother we . exterior hotel nothing special location great - near couple subway stop , lot little restaurant store ( include Century 21 absolutely insane worth designer clothe handbag 1/2 price ) . room small ( normal NYC ) , hotel nice inside - lovely stained glass light lobby , Starbucks Roys - apparently great restaurant although not go ( bit expensive ) . front desk , bellman concierge nice helpful . chocolate fondue lobby one afternoon - nice little treat . complaint sometimes wait elevator - nothing would stop go . 
 Aug 16 2008 	 nice stay 	 book hotel airmile certainly worth . hotel position well sightsee Battery Park , ( ferry Statue Liberty , Statern Island ) South Street Sea Port , Ground Zero etc way go Times Square Central Park . clean , bed heavenly enough room 4 adult . amazing view miss Statue Liberty . bar serve nice cocktail choice restaurant Starbucks inside hotel want breakfast . otherwise lot cafe bar around . use swimming pool clean , warm reasonable size . really make hotel however service- everyone want help pleasant . problem lift leave bottled water expensive room give 4 5 . 
 Aug 14 2008 	 great location neighborhood vibe 	 stay property many time two occasion summer . location downtown bike walk path river view run mile along Hudson begin area . perfect spot bond Statue Liberty ! like downtown area quite neighborhood feel . hotel close tribeca , Meat Packing district Soho . large movie theatre block away many wonderful restaurant rest NYC cab ride subway ride away . hotel come long way since begin 's renovation . room fully speed , elevator different story . refurbish mean time extremely slow . concierge okay good ( live Northern New Jersey city time , we matter much ) . hotel staff go motion security seem around ( last stay year ago much ) . concierge lounge nice breakfast fine . nice Starbucks inthe lobby . would stay view like general area , would like see hotel management instill & quot ; can - do & quot ; attitude 's employee . wait elevator refurbishment complete ! 
 Aug 13 2008 	 Fair price great Manhattan hotel ! 	 book hotel last - minute thing one night ( extend trip one day , stay Millenium Hilton two night ) . pay $ 299+tax / fee hotel 's website , King regular room . run special room rate include $ 50 Exxon gas card ( 1 per stay ) nice . enjoy stay much definitely go back . & gt ; LOCATION – close lot tourist spot , convenient taxi close subway . Chinatown / SoHo within walk - able distance . & gt ; CHECK - IN – smooth , polite professional . wait line ~3min check - in take ~2min . & gt ; ROOM – nice sized room price , compare hotel ' stay , especially bathroom ; clean fresh , typical amenity ' need ; closet bit small typical Manhattan hotel ( actually bit big Westin Times Square ) . bed super comfy ( seem like hotel upgrade bed day ) . see uploaded photo take . & gt ; VIEW – good view harbor - view room – see decent amount harbor lady Liberty distance , surround building . & gt ; service – superb ! hotel clerk offer service elevator check - in since 2 3 main one ' modernize ' say could wait . professional everyone stop . get tray cheese & amp ; fruit welcome gift shortly enter room . next morning manager call tell we weather forecast wish we nice day . little touch make difference . & gt ; note : 1 ) hotel entrance face north bind West street divide big street . take taxi hotel West street north , try get across street walk , otherwise taxi go lot make u - turn . 2 ) ' well reserve car pick - up service airport since ' cheap take taxi ( comfy ) – ~ $ 30 LGA , $ 40 - 45 JFK . flat rate Manhattan ( high rate go back airport ) . 
 Jul 14 2008 	 great hotel affordable luxury . 	 hotel one Manhattan able accomodate requirement ; room two adult two teenager pool . pleased price feel hotel offer good value money . it clean luxurious extremely comfortable bed lot pillow . love pool - change area provide everything could think eg . towel , hairdrier , body wash shampoo . staff friendly helpful ; concierge arrange we take helicopter ride special time suit we . we love breakfast - eat buffet highlight . hotel downtown , 10 minute subway ride Times Square , easy negotiate cheap , course , easy get cab . mean near Battery Park virtually next door Ground Zero . , excellent hotel , thoroughly enjoy stay recommend . 
 Jul 13 2008 	 great 	 staff great , room well . stay two night . two block # 1 subway train . great view fo Hudson River Ellis Island . would stay . 
 Jul 12 2008 	 Marriott ` ` Downtrodden '' 	 know location hotel mean suffer extremis Sept 11 committment staff keep hotel operational dark day deeply impressive . however , 7 year , Marriott show age . public area good cosy & quot ; Cheers & quot ; style bar good restaurant . however , room simply long good enough need total rennovation . give 's particulalry cheap , need game substantially compete year ahead . thankfully , programme renovate room strongly advise check beforehand . the proximity WTC site also unfortunate due construction upsetting . 's also long way cut thrust city ( even financial district brisk walk ) one heavily dependent west side highway . say , stay demonstrate committment help regenerate part Manhattan . with many good property Manhattanm likley try luck elsewhere time . 
 Jul 10 2008 	 View Lady Liberty 4th July ! 	 stay overnight July 4th convenient place walk firework . great hotel ! big Marriott fan reason . yet stay Marriott disappoint . location : live CT NYC many time . never , may find Marriott Marquis well & quot ; touristy & quot ; location , smack dab middle Times Square , want able walk South Street Seaport watch firework . hotel 5 minute walk Battery Park catch ferry Ellis Island Statue Liberty . 10 - 15 minute walk South Street Seaport , around corner Twin tower site ( get chocked writing word ) . drive CT ( anywhere New England ) follow hotel direction FDR , West Side Highway , much less traffic easy . hotel : read review booking ( always ! ) know elevator slow , prepared wait . matter fact , be not bad process replae high speed elevator ! moment pull hotel , greet one nice Bellman every meet ! ( ps $ 50 valet car 24hours ) . set stage staff follow . tennile sweetheart front desk . ask room view Statue liberty , check able accomodate we ! stay room 3604 -- awesome view ! ! ! room clean , bright , flat screen tv , nice marble bathroom . Bed definatley & quot ; marriott bed & quot ; fine . package include breakfast 2 roy rest . lobby . nice buffet could want ! staff could not nice ! ! also real Starbucks attach hotel , enter right thru lobby . stay , can not go wrong ! 
 Jul 5 2008 	 easy location Manhattan - allow 4 adult room 	 one hotel Manhattan allow 4 adult room huge cost saving we ! get good rate stay holiday weekend , since hotel cater business traveler . even though south tip manhattan , find convenient everything want since close 3 major subway line . see broadway show easily take 1 train directly Times Square Rector Street hotel - change . room comfortable nicely decorate . nice gym pool . starbuck lobby - perfect ! 
 Jun 21 2008 	 Bittersweet stay NY Downtown Marriott 	 every February look forward saturday evening Chinatown New York City celebrate Chinese New Year adopt daughter chinese several adoptive family child . year able find room downtown Marriott $ 250 ( room plus tax ) decide stay overnight could catch famous Chinese New Year parade Sunday . since drop old daughter Newark Airport way , print direction Marriott website . unfortunately , direction incorrect , indicating turn right onto Laight street exit Holland Tunnel . since rarely drive city , turn right onto Laight street promptly stop cadre police officer pull one car ticketing go straight green arrow indicate . sign indicate right hand turn illegal . shortly thereafter , arrive Marriott - valet parking way go $ 50 night . room well appoint , comfortable private . yes elevator slow . take quick 10 minute taxi ride Chinatown meet family enjoy wonderful chinese meal tour endless row store outdoor bazaar . decide take 30 minute walk back hotel another family enjoy peacefulness area well architecture . since hotel close ground zero , stop observe construction site memorial structure build comtemplate moment amid peaceful sacred ruin many lose life . hotel wonderful indoor heated lap pool . discount room selling point we , first floor concession expensive family modest mean Sunday morning walk several block buy affordable croissant muffin . return home , contact hotel 's customer service let know result wrong direction Newark Airport website , confuse upon exit Holland Tunnel end get traffic ticket . expect pay fine thought might take responsibility erroneous direction , e.g . correct direction website maybe offerre small credit inconvenience incur . receive verbal apology direction never correct remain incorrect today , 6/21/08 . write letter CEO Marriott receive response - letter apologize inconvenience remuneration kind change incorrect direction . decide visit Marriott , follow Mapquest direction , Marriott 's ! 
 Jun 16 2008 	 wonderful Birthday Celebration ! 	 sister make plan take mother NYC weekend celebrate 80th birthday . want see Statue Liberty , choose stay Marriott Downtown . book Friday Saturday night stay amazing senior rate $ 212 night . check hour early give corner room 35th floor view Statue ( would expensive booked way online ) . hotel clearly center action NYC , perfect we . hotel 5 minute walk Battery Park Statue Libetry ferry , 15 minute walk South Street Seaport . $ 15 - $ 20 cab ride Times Square , subway station , Rector Street , around corner . 80 year old mother love subway , use shop knock offs Canal Street travel fromtime Square day night . the concierge helpful everyone front desk door friendly attentive . request extra towel ice injury meet promptly . we request late check Sunday could make day catch bus home , allow stay 2 pm without charge . drink hotel lounge , lunch Sunday . food surprisingly good . pizza chicken sandwich focaccia bread , large enough save half bus ride home . we read inconvenience elevator , experience problem . elevator update one 3 travel floor service entire stay , still wait elevator long 5 minute . the negative lot construction go street building area . noisy us 35th floor , hard navigate taxi somewhat walk . lot research planning travel , high expectation definitely meet hotel . 
 Jun 10 2008 	 Great Hotel great location great view 	 stay Marriott June 5th June 9th , get wknd special 289 per night excellent value . pay city view room request harbour view available , get room 3613 full hudson river room view ellis island new jersey beautiful night view , room newly renovate clean , housekeeping excellent , check staff excellent , front door man excellent . ok elevator suck 4 work peek time bit wait , people may like location seriously subway station around corner go anywhere anytime . definately stay . 
 may 14 2008 	 fabulous view 	 stay two night weekend reasonable rate NYC . room recently update nice furnishing . good size clean . corner room great view Statue Liberty Hudson River . hotel 2 1/2 block subway midtown . staff friendly helpful . two elevator operate , wait minute . however , negative regard hotel . 
 may 14 2008 	 Excellent Service Rooms 	 arrive around noon greet Anna front desk manager . check we right away despite early ( check time 4 pm ) . give we room view harbour Statue Liberty . know room charge extra , give we anyway . the room great view tremendous . even Starbucks ! midst elevator upfit , elevator slow . hotel locate southern tip Manhattan three major subway line converge ( 1/2/3 , 4/5/6 & amp ; N / r / W ) . therefore access east side , west side central midtown within short walk hotel . excellent discount shopping within 5 minute walk ( Century 21 Sym 's ) financial district finger tip . Staten Island Ferry also quick walk away . when check Anna recognize we wish we safe trip . definitely return New York Downtown Marriott . 
 May 12 2008 	 great visit ! 	 return NYC weekend trip stay hotel . simply wonderful trip great hotel . staff outstandingly pleasant , room perfect , bed amazingly comfortable , amenity first - class . hotel short cab ride away Union Square , Times Square , etc . doorman make get cab easy . low level floor still really neat view ; friend upper floor incredible view . think hotel restaurant little pricey , New York City , , really come surprise - affordable little cafe around within walking distance . complaint elevator - especially high floor , long wait , usually least one elevator service . not spoil visit , though . would certainly stay business financial district could not find affordable hotel Midtown . 
 May 11 2008 	 Staff top notch ! ! 	 receive one newly refurbish room ( ' m sure be do yet ) it . when check huge group ( lot kid ) , yet staff stay polite , professional helpful . the location good ( near 1 subway ) , great , otherwise can not think constructive feedback - room , service staff wonderful - even swamp . 
 May 5 2008 	 fabulous city break 	 stay 2 night two young daughter ( 2 5 month ) . little worried prior trip 's obvious hotel mainly inhabit business traveller , heart financial district . not see another child hotel entire trip - staff facility fantastic not struggle girl . room 27th floor double aspet view water , 1st night give complimentary access concierge lounge , stunning view statue liberty . room fairly spacious two king size bed , plus have add cot we ( real cot , travel cot hotel often provide ) drive city Boston hotel easy find . also valet parking 5.30pm day leave , car take care completely hotel . hotel short stroll Battery Park , pick Ellis Island ferry ( big queue tho ) . also immediately next Ground Zero could see work go elevator lobby window . take cabs centre city , Times Square , Blue Circle ferry pier trip around Manhatten , also Broadway theatre . grab cab easy plenty around . Central Park right side city long cab ride take . not think hotel would right want heart city , not bother we . would imagine , 100 % clean excellent service . friendly waiter breakfast waive charge toddler offer buffet without charge . waitress last day also offer take away carton we take whatever food want journey - great . front desk give child bag goody , lovely teddy , toy activity bit . could not fault hotel . 
 May 4 2008 	 mixed review 	 wife stay 2 night Marriott Downtown anniversary . check - in smooth friendly . wife 's parent send we large vase flower wait we front desk . ' m sure ASKED , would ' ve bring room we ( hand full luggage ) . , could ' ve offer . the room decent size - everything clean look like update recently ( nice flat screen tv , good bed linen ) . , find bed uncomfortable . not bother wife much , agree beat - up lumpy . now , not hold next complaint Marriott , worth mention . room 15th ( 35 + ) floor locate West St / front side building , late night Thursday , come 6:30am Friday cop blow whistle ( direct traffic ) right outside hotel . go 8:30 - 9am . 15th floor annoying loud . pair bad mattress bad night / morning I . we breakfast buffet Roy 's ( hotel restuarant ) . little everything . great selection fresh fruit . would not say food exceptionally good , ok . expensive ( $ 25 ) ok . also quick bite 85th St. Cafe ( also hotel ) . food pretty good , acoustic duo play night painfully loud ... bad . the hotel close 1 subway line ( 3 small block ) . r , w one block . 4 , 5 not far past . South St Seaport 25 minute walk away . overall , really bad place - nothing exceptional . would not recommend ideal location tourist . , can not get affordable room mid - town , not bad option . 
 May 3 2008 	 Awesome 	 awesome stay , everyone friendly room especially great . clean awesome view . would definitely stay heartbeat . bed vvvveeeeeeeeeeeeeeeeeeeeery comfy . 
 Apr 25 2008 	 good choice 	 choose location 8 year old 's first trip NYC . easy walk Brooklyn Bridge , even easy walk Statue Liberty ferry , nearby subway stop take we everywhere else . find good , moderately price restaurant neighborhood well . room decent size two adult 8 year old , find clean well - appoint . pool workout area add bonus . staff superb ! one minor downside : hotel seem magnet school group , lobby elevator get noisy crowded time , otherwise complaint . suggestion , be drive , go online reserve space one Icon garage , www.iconparking.com , locate next door . be bit less expensive valet parking offer hotel . 
 Apr 22 2008 	 Disgusting . Enema Package Drawer ! never stay 	 stay hotel January 2008 highly disappointed . actually book hotel due review tripadvisor . come hotel , lobby nice , get room different story . room stay worn . never go barefoot hotel room generally leave sock , case actually leave shoe time crawl bed . final straw search remote control ( end top tv ) open drawer next bed ENEMA package still drawer . bring two thing mind . # 1 ) cleaning staff obviously clean room inside guest # 2 ) someone previously stay room freakin ENEMA , obviously disgusting could throw package away . needless say touch anything room . turn light use piece kleenex . expect staying & quot ; nice 4 star hotel & quot ; not know kind hotel people give hotel high review stay , find enema package drawer next bed deal breaker never ever stay hotel again . absolutely disgusting . 
 Apr 21 2008 	 Nice Hotel - Slightly way 	 stay weekend . pretty much everything inside hotel extremely nice . great view Battery Park City Hudson River . service professional , friendly bartender ( expensive drink ) . good place romantic getaway . little way subway , walk distance downtown attraction ( next Ground Zero ) include South Street Seaport . 
 Apr 20 2008 	 Perfect ! 	 say outstanding every way . I , , fussy traveler incredibly impressed Marriot DowntownThey go way make stay perfect . absolutely fantastic customer service . 
 Apr 15 2008 	 Nice Marriott Good Service Location Okay 	 impress Marriott . room newly renovate hotel nice . 's Starbucks Roy 's lobby . service accommodate 's nice workout facility ( indoor pool ) . real complaint location . construction WTC site , difficult get around . business financial district , perfect location . be NYC visitor see site , be little cumbersome . , happy hotel -- probably nice Marriott ' ve stay . 
 Apr 12 2008 	 Fantastic ! ! ! 	 30th birthday girlfriend go New York City girl weekend stay Marriott Downtown ( formerly call Marriott Financial Center ) .We love everything property . fantastic location shopping nightclubing ( walk distance Century 21 famous SOHO shopping district ) . resonably price ( 300 dollar per night cheap staying close Times Square ) . bed like sleep heaven ! ! seriously comfortable bed I ve ever sleep ! ! room good size view fantastic ( nice veiw Statue Liberty ) .We also eat reasturant site call Roys . excellent . part stay do not enjoy elevator ride . sure elevator run slow think one actually order . nonetheless hotel terrific value stay New York City . want go New York do not feel like spend 500 600 night hotel room middle , stay place around 320 per night . 10 min subway ride short cab ride Times Square ( 30 block away ) . much economical still luxurious hotel . great value money ! ! ! 
 Apr 9 2008 	 Nice Stay 	 love hotel . room recently remodelle great job . hotel pool fabulous . many hotel New York pool , one great one . locker room amazing . sauna even dryer bathing suit ! go see Statue Liberty , spend time financial district , however , location might prohibit we stay future long subway ride midtown . we stay see room fabulous statue liberty view website . book bay view , room loosy view . hotel manager say room leave view . however , adjust rate accordinly . bit disappointing . sure many room available view statue show website . 
 Mar 24 2008 	 Nice Hotel Wonderful Staff 	 return overnight Marriott Downtown wedding . hard navigate way hotel downtown NYC map . find hotel , quite easy go back forth hotel . service friendly willing help way . know two people part wedding party , offer we early check . able check arrive . corner room 34th floor . room bright clean . beautiful view uptown Hudson River . quite honestly , impressed room hotel . hotel clean bright - not stand much place stay in . the hotel one block Ground Zero , several block away Battery Park . Taxis easy get area . suggest park car $ 50 . day hotel - find much ICON Parking , literally around corner . look www.iconparking.com find one West Street , entrance Albany Street . also , elevator take long time , really concern everywhere , not ? call front desk , bring service elevator help keep stress level ! btw - GREAT wedding ! 
 Mar 12 2008 	 enjoy stay 	 overall , impressed property . bell man front desk extremely helpful far activity New York . good location financial district . block train get anywhere . room great view , end two full window look slight view river . great meeting room wonderful food . staff everything need make pleasant stay , housekeeper great ! ! 
 Mar 11 2008 	 good hotel close transport link ! 	 arrive hotel 7 pm night , lobby full , check - in take 5 min . check - in staff welcome friendly . we go lift ..... wait 10mins one 3 lift go floor 17 + appear . another 15 + people wait lift . this occur throughtout 4 night stay . lift joke ! ( must note whole hotel renovate - include lift , schedule completion date & quot ; Spring & quot ; ) .maybe lift improve complete . warn ! ! ! arrive room 31st floor , look Liberty Island . FANTASTIC ! room one recently re - model one , great decor , think 37 & quot ; LCD TV , nice bathroom , extremely comfy bed . never eat restaurant site , seem pretty busy every evening . starbuck site convenient , staff far happy job , fact , seem like something wrong ask drink ! ! ! NUFF SAIDHotel locate 5 min walk World Trade Centre subway station link uptown . station Brooklyn etc within comfortable 10 min . take taxi La Guardia hotel rip well truly . $ 45 ! ! traffic bad , take we long way around fun . try limo - 7777 limo 's charge $ 30 airport , $ 35 airport . ( hotel want $ 65 journey ! ! ! ! ! ) .all , great stay downtown change , subway take 10mins max get popular attraction aound midtown . hotel meet expectation . 
 Feb 15 2008 	 poor 	 Room mini bar . upon arrival quickly down bottle . one bottle liquor enjoy inside mini bar . ask restock next day , never happne . call compalin never do upon request prior day . customer service state personnel access refill go evening . overbille item inside mini bar well . get money refunded bill . Marriott Rewards member expect well . do Marriott . final stay Marriott . need add stress deal poor customer service hotel caliber . poor experience Detroit well Marrriott Ren - Cen ( GM building ) . BOO ! ! ! ! IMPRESSED : - ( 
 Feb 13 2008 	 get new staff ! 	 check 9 pm . pull unload , doorman would not even get way . front desk staff finish leisure conversation decide make eye contact we . ask available suite , say not front desk , 's billing question . ? ! be wait lobby rest party maid start vacuum even though plenty people head night wait lobby well . People trip cord , give dirty look , keep vacuum . find extremely rude , refuse move chair hit foot vacuum ! nice lobby , nice room . make sure get , check quick possible run straight room . 
 Feb 4 2008 	 Smelly room poor costumer service 	 not like hotel . arrange trough website arrival 11.00 room ready 4.00 PM . staff rude . room smelly like dirty clothe , 4 request extra towel extra pillow , never arrive room . dirty bathroom , dirty towel , dirty room . for sure , never again . the location far everything . 
 Jan 31 2008 	 Location location location 	 perfectly adequate business travel hotel unbeatable location visitor Financial District . easily accessible via West Side Highway , sit within walk distance Wall Street WTC site every Manhattan subway line well . former , course , important meetings- much prefer hotel within walking distance ' m business- latter crucial evening . want go night , will almost certainly leave area . the hotel particularly remarkable perfectly fine . base two recent visit , room quality vary somewhat ; first visit , receive oddly - shape low floor room view residentially build across alley , second time receive well - lay , high - story room panoramic view WTC site . understand hotel undergo renovation ; hopefully lift 5 5 category , , location couple comfortable enough , problem - free room make solid 4 5 . 
 Jan 28 2008 	 reasonable service nice lobby 	 unlike previous poster , not get chocolate view harbour ... view apartment building . however , , bad experience . staff helpful couple question different occasion , would not describe particularly friendly ( possible exception doorman ) . bed okay bathroom spacious . experience previous poster -- kidding , room closet ... guy travel alone , big deal -- think strange . whatever elevator , still ... pile stuff land 6th floor , anyway . 
