awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Jan 30 2009 	 Lovely update historic hotel 	 ' m quite surprised see mixed review place find lovely old landmark hotel excellently update modern market deluxe room face inner courtyard chic designer touch modern victorian look bathroom . ok window frosted 's view , central London lowrise historic building - have surprise many room could get view , pleased traffic noise AldwychBoth dinner breakfast enjoy hotel excellent - garlic butter lobster well ' ve ever taste ! also executive lounge access simply perfect relax quiet lounge pre dinner gin tonic . user business people understand holiday times kid run atmosphere would not quite enjoyable ! ! not use gym partner public member understand people ' complaint - 's busy member ' gym , usual empty hotel gym , guest not expect share service could see might come bit shock stay simply lovely - Londoners , be nice see old landmark hotel sympathetically restore yet date 
 Jan 28 2009 	 Excellent stay Waldorf 	 book special deal end Executive King Room , fantastic ! super king size bed , sit room , dress room , large bathroom shower bath , frosted glass panel white tile . previously room traditional dark wood , really modern stylish . the executive package give lot benefit , private check , access executive lounge complimentary soft drink , afternoon tea , canape , take buffet full English . do mention bed ? think hotel really try give customer little bit extra . I not recognise ' shabby ' picture give reviewer , suppose everyone experience expectation . 
 Jan 26 2009 	 great location investment require 	 feel somewhat tear write review sister great weekend base Waldorf . however , feel like owner hotel rest slightly laurel . prior check - in correspond hotel , explain treat sister , recently become new mum . ask deluxe ' contemporary ' style room view Aldwych . request grant room allocate good size . complimetary chocolate cake go well sister ! niggle include bedside table drawer move runner properly , access screen side bath hanging , fix item quickly . window seem much paint shut easily , , good wallop shut ! bed really comfortable not disturb way ' corridor noise' . the bathroom feel functional rather five star luxury , overall would say OK.Room service take 50 minute rather 25 minute . firstly tell member staff bring order ' accident ' way , tell kitchen busy . either way , bit shame , deal breaker . the low point weekend health club . unfortunate main reason have choose particular Hilton hotel . gym , Hilton management point many time literature within hotel , manage , LA Fitness . simply not think excuse fact club tired beyond belief . wet area change room embarrasment , rather attractive lounger round pool show website not exist , tacky white lounger appear instead , generally feel like need close complete overhaul . not believe owner hotel absolve responsibility , surely lease space basement hotel LA Fitness , gym operator ? regardless own , five star hotel provide access shabby facility incredibly poor . so , be ' m bit torn . Waldorf indeed beautiful building , attain retain five star rating investment require building make sure continue exceed people 's expectation , ' ve get sort health club ! aside , be tell London Waldorf hotel not part Waldorf : Astoria Hilton brand ... quite standard ? return ? possibly , able take advantage similar half - price offer make room £ 175 B & amp ; B . health club renovate ! PS . not complete comment card hotel , go fill Hilton pen not work not one ! 
 Jan 26 2009 	 tired shabby ! ! 	 stay 2 night weekend breakupgrade delux room cost £ 300 nightwhat waste money ... book travel lodge £ 75 ! ! check -in poor , follow group people check -in staff stress do not stop gossipng amongst take notice we stand ! room disappointing gradeview central heating pipe grubby old window ! limited drawer space , good job staying week ! 1sachet coffee cupboard , take 3 attempt get house keeping ! hairdryer coffee make cupboard ( moveable ) mirror within least 7 yard away ! power shower power also water hot enough ! Complimentary & quot ; vanity box & quot ; empty ! flat screen tv plasma one advertise ! & quot ; SEE & quot ; toilet shower door ! pool area basement freeze cold ! pool area grubby cold ! notice around pool say & quot ; photo & quot ; wonder ) breakfast choice ok MUCH well many place half price ( sorry quarter price ! ) food bring kitchen barely warm heated small flame burner din room ( think MAY HEALTH & amp ; SAFTEY ISSUE ! ) stuck cold meat etc next morning fear poisoning ! ask toast 1st morning tell none LEFT 08 : 45 hrs . only one choice english newspaper available unless pay another , newspaper advertise include £ 300 room night ! paint work carpet corridor deperate need replace . ! parking hotel £ 50 per night , , , , , park 300yds away NCP £ 28 ! ! ! ! ! ! plus side location good ! walk car park next street TRAVELINN less money drawer space ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jan 21 2009 	 mixed bag 	 other note , hotel perfectly situate short block Covent Garden . hotel convenient theater opera . hotel restaurant also quite good , breakfast , include room rate , outstanding . choice include assorted fruit , cereal , bread , roll , cold cut , well good selection make - to - order dish include tasty omelet egg benedict . also dinner one night restaurant , pleasantly surprised quality food . unfortunately , accommodation less ideal . initially assign room size large walk - in closet , tiny porthole - size window . positive side , hotel staff cheerfully quickly arrange move another much large room quite spacious comfortable , large foyer well - appoint bathroom . however , room pleasant , hallway dingy depress , peel wallpaper , scratch marred door , stain carpet . room service tray hallway evening often still follow afternoon . housekeeping staff never get around cleaning room make bed early evening . overall , hotel ' meet standard ' expect hotel price range . dollar , nearby Renaissance Chancery Court offer much nice room , attractive public space , generally superior service . 
 Jan 20 2009 	 certainly bad hotel ! ! 	 return trip offer we Hotel rather bad experience last year . give complimentary two night bed breakfast stay hotel truly wonderful time time - could different hotel , change . still brilliant view certainly one could see sky building blank wall . room much well give complimentary goody use executivelounge / bar duration stay . concierge helpful help we organise taxi provide detailed map get we need . frequent visitor London child live nearby stay certainly good . previously write negative view hotel would like note Ms Debra de Jongh hotel commit make memory hotel positive negative . good see company listen comment customer thank Waldorf . 
 Jan 18 2009 	 great time 	 book overnight stay ( b & amp ; b ) birthday via Hilton website . offer generous discount Jan / Feb. we arrive noon pleased find deluxe room ready . staff friendly check quick . go shopping rest day . return room , find beautiful cake compliment hotel birthday , wonderful surpise . our room 4th floor , spacious , clean quiet consider centre London . the next morning breakfast lovely service prompt . went shop return hotel collect bag cocktail bar train journey home . a enjoyable stay ! 
 Jan 15 2009 	 Great Location Heritage Terrible Service 	 unfortunately 4th stay bad hotel stay experience ever term service event take place . set context ' spend lot time hotel due business last 5 year hold platinum , diamond gold membership big chain . book 1 night stay birthday use HHonors point ( ' m diamond member ) unfortunately right check - in experience poor . try check - in 15 minute allot time tell wait Executive Lounge would inform whilst wait room would ready . one 45 min later ask whether room ready tell ( not guest sit around waiting tell ! ) tell upgrade due membership status receive room key . upgrade room average size extremely noisy . construction work outside hotel exterior hotel not inform . make matter bad 3 worker bang wall window scaffolding mean difficult hear think never mind talk . fortunately ' offend colourful language worker give lot & quot ; Banter & quot ; . complain straight away ask move . ask whether inform maintenance work reply say ' point noise directly window wall hotel room . deal guest relation manager ring back promptly tell find room concierge would come new room key help luggage . wait 25 min phone back ask concierge receive apology wait would shortly . finally move Aldwych street room big nicer ( although Aldwych room nosier due street noise lack double glaze sound proof open plan bathroom window . ) plan get couple hrs sleep ( due early 5 am start work day ) give episode fact ' get final room 4 pm decide relax watch film . eat night leave dinner evening . return puzzled find bottle water side table turndown service occur . check morning downstair reception . tell member staff breakfast part room rate would charge £ 5 room service charge film watch . point switch another staff member stare blankly ask anything else . say ' actually receive revise bill one receive door night apologise say ' realise colleague ' check . unfortunately ' check first sheet charge ( since check overnight bill receive verbal confirmation additional charge ) sign second sheet . get later check credit card bill find overcharge £ 27 room service still ' receive refund despite complain . we also find return home unpacked bag two necklace miss . unfortunately leave table room go dinner pack bag morning assume partner pack unfortunately assume . security manager deal complaint nice provide excellent update every day investigation . unfortunately investigation come blank report matter police hope able recoup monetary value ( although one necklace Christmas present sentimental value ) . complain Hilton Honors stay experience receive prompt reply apologise raise concern level service hotel would contact directly . chase Honors guest relation week later receive standard response Guest Relations Manager apologise service head department would receive complaint review . top experience service offer prospect like stay London Waldorf would ensure would upgrade executive room lounge access . mention receive refund charge bill actually even bother review fact diamond member already access free upgrade executive room lounge access . lose faith entirely service London Waldorf forward reply Hilton Honors guest relation respond within 2 hrs apologise level service refund 40,000 Hilton Honors point use compensation experience . previous three stay good ( apart eat restaurant leave device waitress clocked pour champagne get find someone pay bill ) consistent lack service customer care receive last visit mean never stay recommend hotel . whereas Hilton Corporate restore faith customer service Hilton brand continue stay recommend Hilton hotel . 
 Jan 7 2009 	 Good Hotel 	 frequent vistor London book we Waldorf read many god review . outside look grand . arrive hotel 1 pm check 2 hour eary pleased wife mean shopping time ! room 8th floor . room beautifully furnish clean lovely bathroom . bed comfortable . problem get small heater work . could not get blow hot get chilly ! overall good hotel load history attach . would stay price location brilliant . 
 Jan 6 2009 	 great location ! 	 hotel great location like explore London foot . fantastic little fish restaurant around corner ( Loch Fyne Restaurant ) , theatre , pub , shopping , everything . hotel nice little bit need update - corridor carpet old , bathroom old shower need regroute leak , bedroom nice , free tea / coffee facility . Breakfast include & amp ; fantastic - hot buffet also huge table fill cheese , meat , fruit , yoghurt , juice , seed - really wide range food . huge disappointment us pool . first give swim cap wear ( mine hair not wear not end go pool anyway ) . enter freeze cold , dirty , old change room many locker & quot ; order & quot ; sign . walk pool area & amp ; get bad . absolutely freeze cold , pool water barely warm air . room desperate need re - vamp , good clean . pool cold try sauna ( one order ) . mildly warm , hair floor , smell B.O . gym huge & amp ; look nice not go . ....... hotel worth 's location breakfast . not expect glitzy , fancy hotel though . be go brave swimming pool , bring swim cap . 
 Jan 5 2009 	 never late give good first impression ... 	 Waldorf Hilton many respect truly great hotel . staff extremely helpful , great location , good in - house restaurant , room half - bad either . stay family December 2008 , thing complain fact change room two time ( thankfully three time lucky ) first night . book ordinary guestroom , informed hotel travel two - year old boy . arrive late Friday find room neighbour banqueting hall ( family friendly ) . make hotel aware problem immediatly move first eight floor . put room pre - heated , prove cold December - experience . hour give , contact concierge . , discuss problem night - time manager , upgrade we executive room . midnight finally settle , stay truly exellent . hotel staff throughout stay extremely kind helpful , wholeheartedly recommend hotel family . find London hotel , return 2009 . 
 Jan 5 2009 	 great location pleasant stay 	 return seven night stay New Year 's holiday . second visit Hilton management third stay altogether , first way back 1990.We please receive Diamond upgrade executive room , 7th floor . room spacious bath separate sitting room . 's drawback tiny window , old building , quirk expect . staff , concierge executive lounge personnel housekeeping , uniformally helpful friendly . concierge recommend book great jazz restaurant New Year 's Eve , end table right next band lovely evening . the location can not beat -- many bus stop right front hotel , property within walk distance Trafalgar , Brit Museum , theatre , Covent Garden . Temple tube station Covent Garden station nearby . one also walk Charing Cross . we small disappointment seek lunch restaurant New Year 's Day , open go , sandwich champagne bar happy service meal . as someone else note , holiday , executive lounge busy , many child . make good use amenity , take one look crowd one evening promptly withdraw public bar . cake tea snack cocktail hour good . we note continental breakfast lounge include egg , tomato , bacon , sausage , nice improvement visit 2007.we would love return warm weather , fear return long Diamond status , would hard get upgrade , certainlly enjoy extra amenity . many thank staff . 
 Jan 5 2009 	 enjoyable stay 	 stay Waldorf Hilton last weekend Christmas , mainly see London 's Xmas light West End show . find staff come contact polite helpful , particularly reception . would appear staff training hold high regard hotel management professionalism evident throughout . stay refurbish internal room comfortable quiet . nice powerful shower comfortable bed . hotel obviously busy time stay go breakfast Sunday morning , quite queue people wait seat restaurant . problem quickly resolve seat guest adjacent patisserie . do efficiently minimum fuss . food breakfast dinner restaurant high standard serve well train waiting staff . downside hotel pool / spa area . surrounding pool seem need redecoration look decidedly shabby . photograph pool area website flattering say least . whole area include change room look though could good clean . also small steam room order . although use gym , look well equip many exercise machine available . would certainly recommend hotel anyone want central location London - Trafalgar Square ten minute walk away west end theatre close . book another weekend Waldorf February need say ! 
 Jan 4 2009 	 great location disappoint hotel ! 	 stay Waldorf 31st December . hotel great location , reception staff attentive efficient . however ! would recommend cater Waldorf . although go bar quiet period , service really poor slow - seem staff interest small group buy expensive bottle champagne . wait least 30 minute , stand bar , someone would take cocktail order . breakfast disaster ! queue corridor 20 minute table clear / prepared . sure would wait long , many people give wait , leave queue . wait long time someone take tea / coffee order , people next table complain wait 20 minute . good selection breakfast item available , cook item luke warm . breakfast include hotel package , hindsight , make big mistake opt - £ 22 per person . advice guest position not ! find local cafe enjoy hot breakfast , good service , half price ! 
 Jan 4 2009 	 Lovely 	 stay Hilton 3 night December sister - Christmas present mother . room : room fine - would read comment people problem bathroom door , honest , see - through ! issue room fact 7th floor result limited view Aldwych tiny window . additionally request room good view obviously take account . restaurant : restaurant lovely food criticize . restaurant lovely atmosphere . problem encounter fact staff try charge we breakfast 2 occasion , despite include package . additionally , particular restaurant staff member find rather rude , noticed seem take seriously old guest get impression sister two young girl , less important - always ask tea / coffee etc whereas ( old ) guest get upon arrival breakfast . hotel staff : quite extreme comparison hotel staff - concierge staff extremely helpful lot reception staff , however find rather rude ignorant thought weird full stay hotel encounter one English memeber staff - foriegn . overall would definitely reccommend hotel . Location Aldwych near theatre dirty dancing theatre ( right next door ) , Lion King theatre , quite near strand Joseph Carousel theatre . 10 min walk distance Covent garden train station . additionally , read great reviews restaurant & quot ; Stranded . & quot ; advice not go - price , small portion food distasteful service appalling . 
 Jan 2 2009 	 top Hilton hotel 	 husband stay Waldorf Hilton one night 31st December . plan stay time look forward New Year London . always use Hilton hotel looking forward believe would one top grade Hotels . . disapointment disapointment . firstly luggage take 45 min get room complain offer bottle wine nice gesture . room major disappointment . design wrong homely mish mash different thing put together . bathroom horrendous . loo glass encasement bedroom partially see person use -- embarrisse . shower walk type real guard water easily flow room , real privacy glass encasement bedroom . bed kind platform ( try give split level look ) dangerous . husband fall much room walk around bed . picture website show this . we executive room executive lounge awful . child run around mainly table chair fall dodge pram real lounge area chill ( Dockland Hilton lounge mile well ) . Homage Salon dinner taste one course awful smell food horrendous service ( take 45 min get first course ) walk . hotel could well visit Hilton Cavilieri Rome , Hilton Paris Eiffel even Docklands Hilton see Executive lounge food . would spend money well go less grade Hilton get well food service . good thing hotel location . right Theatre land . want compromise food accomodation will not disapointe Location . way come previous reviewer pay £ 170 room pay £ 350 ? also Hilton Honours member -- good business practice await refund 
 Jan 2 2009 	 good hotel good location 	 Stayed Waldorf husband 1 night theatre break Christmas holiday . really please hotel overall , room good , breakfast good staff good . couple minor winge - back hotel view window brick wall pipework - surprised never seem anyone door whenever arrive left building . TIP : be go theatre , not forget get half price parking 72 hour select car park get parking ticket validate theatre . 
 Dec 31 2008 	 favorite ... always 	 hotel always favorite London . ' ve stay least year since 2004 . modern look room attractive ( ) location unbeatable ( especially love theater ) .The executive level treat change , however , well . breakfast use sumptuous treat restaurant gold diamond member . 's mediocre assortment lounge . other slight disappointment , still love Waldorf plan go back soon . 
 Dec 31 2008 	 Excellent Value excellent location 	 return quick trip London holiday getaway . Waldorf Hilton great value great location . hotel grand old hotel update modernize . ' ve do nice job mix historic feature modern amenity . stay Executive Suite , 2 room suite - open 2 room . work well although be privacy 2 room . room well appoint comfortable . bath original large marble bath new fixture new shower / tub . concierge level access Executive Lounge . usually stay concierge level Hiltons diamond status grant automatic upgrade . lounge Waldorf nicely appoint , poorly lay always pack . need large lounge well layout . 's holiday season , child everywhere lounge make even less comfortable . retreat lounge usually . often work , lounge loud crowded . be go play , hotel locate smack middle theatre district . walk theatre easily . hotel also centrally locate tourist attraction . close we walk Westminister Abbey , Buckingham Palace , tower London , etc . - great location . price pay ( 170 pound per night ) bargain London , especially Executive suite . ' m guess bargain price due season slow season many hotel . the hotel staff attentive ( unusual many Hiltons ) , feel like step Hilton reason . think fact historic hotel tradition excellent service help elevate typical Hilton service level . would certainly recommend hotel , especially rate . 
 Dec 30 2008 	 Ideal Location 	 stay 6 night Thanksgiving weekend . arrive Heathrow around midnight experiencing delay several hour United Washington . pre - book Heathrow Express long run arrive . United make accommodation transportation central London arrange 50 taxi meet flight cost 75 pound one - way . elect take public bus 2 pound , take one hour stop directly front hotel . Waldorf celebrate 100th birthday obviously make modern improvement still show age . use Hilton point upgrade executive room . however , exterior hotel undergo renovation maintenance worker scaffold outside room wake we first morning . change room find window & quot ; black & quot ; exterior renovation . ( window peel restore view complain ) . concierge lounge one well one visit . breakfast selection service quite mediocre . look forward use pool hotel ( run private health club ) disappoint appearance cleanliness . lobby hotel also particularly attractive appealing . however , overall comfortable stay location hotel beat . 
 Dec 29 2008 	 Caution HHonors Gold Members business traveller 	 date : December 29 , 2008reviewer : Patrick Vanhonacker , HHonors Gold MemberI book hotel Hilton website select hotel many recent nice review Tripadvisor . unfortunately bad experience hotel would recommend frequent traveller hhonor Gold member . at check , front desk manager immediately tell room upgrade available . tell disappoint ask could give access executive lounge . possible since rule change HHonors Gold member long invite executive lounge case room upgrade available . tell receive letter change policy ( ) .i live perk Gold member wonder Hilton deal frequent customer like time economic crisis : really push good customer go chain ( large choice good hotel ) .The bad experience give small room , view ( window glass whiten ) , heating/ ventilation system break ( fault message ) , front elevator noise ( baby crying ) room next . even free bottle water room , word welcome . quality / price service / price ratio 's poor . find well quality two star hotel London much low rate . , aware , expect perk frequent customer , look another hotel . still want stay hotel ( location good ) , not forget bring bottle water . 
 Dec 18 2008 	 fantastic value excellent service stunning hotel ... 	 book King Executive Room girlfriend 's 21st Birthday . always check booking Trip Advisor little nervous 's never clear photo room be book whether will get decent place ' room - lottery ' checking . * * * get KING EXECUTIVE OPTIONS ! * * * pay around £ 200 night book advance quiet time year , could cost £ 150 so . whether be suite room 's well worth . Executive Lounge get lovely buffet breakfast hot cold food standard British cook breakfast cold meat ( parma ham salmon ) fresh fruit , yoghurt , croissant , pain au chocolat danish pastry . 's would expect 5 - star 's include executive rate . where rate really excel lounge - verge 5 - star inclusive package . 6 - 8pm , hot cold canape ( carpaccio , smoke fish , satay , steak strip ) drink include spirit ( gordon gin , Johnny Walker , Absolut Vodka ) wine totally free . 8 - 11pm , wine small snack . Breakfast 7 - 10 tea , coffee cookie 11 - 3 . exec lounge open people book Executive package ( king room , suite ) never busy noisy . staff polite friendly check - in check - out also do lounge be rush . the King room stun wonderfully luxurious bedding , strong shower ( pour water * everywhere * be careful ! ) , wardrobe iron & amp ; board , cafetiere , kettle , teapot corby press etc ... room open plan mean although bed area double glaze , bathroom part , mean street sound come . Shower robe shoe include . we go dirty Dancing ( literally 50 m away ) Aldwych Theatre . be extremely busy Aldwych will get street noise least 11 - 12pm will not stop night , request internal room 's problem . we interconnect door hate , room quiet . check hilton.com - find good rate travel site pricier . I not user gym health centre ( enough time ) Grand Salon ( dining area ) look stunning . it be really worth save book hotel treat - ' m sure frequent 5 - star visitor always recognise lapse service great extent would . however , give evening drink easily cost considerable amount London , make perfect sense . 
 Dec 14 2008 	 Good Hotel 	 wonderful hotel , small room clean confortable , perfect staff , poor breakfast ( cool food , hot food must pay ... sunday free ! ) .We dinner nice , .. 
 Dec 11 2008 	 new favorite Hotel world 	 husband take niece Christmas - shopping trip year . year take London three day , one good part trip Waldorf Hilton , one good location London , walk distance almost everything , & quot ; tube & quot ; double - decker - bus distance everything else . room fabulous , thank wonderful concierge , Flavia , base request friend stay summer , treat we like family . room grand , high ceiling , silent heating system , heateed towel rack , amenity . hotel charm ( marble staircase , floor creek spot ) Waldorf Astoria build 100 year ago , comfort modern property . the concierge staff , include Flavia other , warm helpful , provide bus train map , excellent advice buy ticket easily . the doorman make we smile every time walk , feel luxurious pampered . I idea would pay room , use Hilton point stay , would recommend time , almost price . 
 Nov 30 2008 	 disastrous ! 	 stay birthday , King Executive room package include 1st evening dinner . Booked approx 4 pm ask time would like go dinner . say 8 - 8.30pm . & quot ; sorry bit busy make 9 pm & quot ; 9.35 pm cancel dinner still get restaurant . the executive lounge great snack young couple heavily pet middle room sofa . table wait age clear , guest . follow morning breakfast child run around . room , ask low floor , bath . get diable room . ask move , show 2 internal room ( window ) smell heavily smoke . call housekeeper find we another room , window could see , bath . four time told & quot ; upgrade king executive & quot ; upgrade . pay King Executive . bathroom dangerous water everywhere shower . no table chair sit , desk chair dreadful chaise longe awful . put bag case except floor . make coffee iron board kettle cupboard iron board . surface put cup saucer on . there two water stain ciele , decor shade grey highlight orange . room give husband nightmare . bed space area tiny - even two . the car valet service appear excellent , want car back . concierge say tell get . sat lady telephone he . when complain , one listen . compensation refund dinner get . voucher one night stay ( non - transferrable ) . would want go back hotel one want listen guest , try get pay ! since stay Guoman Tower Bridge lovely room , standard room , offer we free upgrade superior room . 
 Nov 29 2008 	 good 	 well stay Waldorf many occasion please everything , book 2 room weekend trip visit thing . Dinner Grand Salon Restaurant food quility excellent { 2 course 3 get } service poor { bit float wine waiter want argue float , ask bottle water twice , ask soup spoon soup , drink order arrive second time ask , order dessert inform would take 10 min prepare , 25minute later tell would 6 8 minute , time wait going see show . 30 minute far long wait dessert } tell go show . be tell sort sorry ! ! remove charge drink } charge 3 course tell way leave time time talk would miss show . Spoke Guest Relations manager next morning , see say drink charge remove { £ 14.00 } , would speak restaurant manager . expect reply get one . to add insult injury go check drink bill add back bill , complain receptionist speak duty manager phone remove . minor thing shower work one room floorboard carpet room break could easliy twist ankle , say food dinner breakfast excellent . thing never happen 5 star hotel . stay many hilton hotels Resorts world { hhonors GOLD vip } ever issue always put right stay , SADLY HAPPEN waldorf .. 
 Nov 23 2008 	 nothing special ! 	 know , hotel London : friendly service , yes , renovation do room , yes , solid brekfeast , yes . experience & quot ; sleep eat somewhere & quot ; : no . the room tiny , partly renovate ( one could see , new furniture / item place ) . otherway everything ok , . luxury ? way . 
 Nov 22 2008 	 change room 	 husband book hotel one night birthday go theater evening . arrive early check show room straight away good . room modern glass bathroom stunning . husband arrange flower deliver hotel beautiful . shower bathroom lovely although leave we wet bathroom floor evening shower door tight fit ! eat hotel restaurant fantastic service superb particularly ' long eat theatre . everything go well decide go bed ! notice return room 11.30 door suite next door we open look like drink reception / private party take place . ' realise noise keep we awake ! unfortunately party decide move corridor outside bedroom door , also make matter worse adjoining door room ad suite escalate noise even . husband call reception midnight find party due end . tell midnight reception would send security room . another 20 minute noise certainly ' die fact increase ! husband call reception ask speak manager say party due finish 1 am midnight previously tell . husband want assurance reception party would definitely finish . assurance could give suggestion move room ! husband keen avoid bed belonging current room . several call move room mean get dressed walk people outside bedroom door ! member staff show we new room different floor , mention apology , fact ' speak ! ! ! whilst room next party main road one noise swap another ! follow morning get dress return original room breakfast/ . breakfast good could done second ! ! husband speak reception morning experience night offer free upgrade next return . needless say impressed . expensive hotel somewhere could stay near future offer worthless . upon return husband email hotel finally offer 50 % next stay believe still ' make fact hotel simple option move husband rather anything stop party least make sure ' spill corridor . put anyone room next door room know party ! feel extremely sorry husband ' get quiet night away birthday plan . 
 Nov 19 2008 	 Great Deal money time 	 name Waldorf ususally signify luxury people NY 31/2 star standard . room ws little tight 2 son Fulham football tour last weekend . stumble great 3 night rate make hotel great choice . center everything , nice lobby plenty helpful staff . room basic bath nice . floor 506 creaky floor bad thing daily 6:30am wakeup get trashman dump empty pub previous night truck . be return April London Marathon f could get price would stay minute . 
 Nov 15 2008 	 nice week 	 special week Waldorf Hilton . husband travel tolondon celebrate birthday theater . book executive suite access executive lounge . worthwhile addition afford full delicious breakfast well pre - theater drink nibble . also serve afternoon tea day get take advantage . hotel perfectly locate . walk several major tube station theater . always bustle feel heart everything . room beautiful comfortable . we stay & quot ; contemporary & quot ; side hotel suppose mean room newly refurbish . beautiful . staff helpful courteous . provide delicious complimentary cake birthday change duvet pillow immediately allergy purpose . fine hotel definately stay . 
 Nov 10 2008 	 great stay Waldorf ! 	 stay Waldorf 2 night end October / begin November . book deluxe queen room use great minibreak deal Hilton website - room rate reduce 50 % full english breakfast include . absolutely fabulous deal represent amazing value money . we request early check swift friendly . internal - face room 4th floor - problem we mean traffic noise view important might worth request external facing room . we one ' design ' room glass toilet shower door - , problem we certainly not afford much privacy ! one small gripe use horizontal jet shower create bit flood bathroom floor - door seal ; seem able cope . fine use ' normal ' shower setting . the bed comfortable room facility high standard . mini bar expensive , unexpected . breakfast good , although doubt have pay £ 22 full English include room rate . service prompt polite . overall enjoyable stay - location hotel hard beat service area good . definitely back ! 
 Nov 6 2008 	 good 	 think hotel offer excellent service interior design bedroom bathroom simply fab , boutique hotel style . not cheap room not enormous everything do finesse . like . 
 Nov 2 2008 	 Tired Waldorf 	 return overnight stay , Waldorf , book part theatre trip . we high hope hotel , sadly disappointed , opulent interior , would expect hotel nature , room clean , whole hotel appear date , like Travelodge really . the bar small tatty , ambience all . we evening meal , hotel restaurant part package , nothing write home , overprice , £ 19.00 ribeye steak , nothing extra , rip - off . the breakfast cold , eat 9 am , impressive . bathroom small , date . on plus side bed comfy ! stay away , much well hotel money London . 
 Nov 1 2008 	 overrate - give miss save lot money ! 	 sister book two night stay Waldorf part surprise weekend London mum 60th birthday . hotel locate beautiful building boast great location . however , much ride rather outdate overinflated reputation . we find service rude time almost hostile - notably restaurant front desk . also mess bill real fight hand check get realise mistake - professional service expect widely advertise website . the room nice enough standard expect five star hotel one large hotel chain world . breakfast nice allow serve select table service , however , alone enough justify huge price tag attach stay Waldorf . there many really lovely hotel London offer much well , professional friendly , caring service Waldorf , would recommend friend family . 
 Oct 31 2008 	 fantastic hotel favorite London 	 stay 2 night parent trip UK book weekend package include free dinner hotel restaurant . room bit small normal London great job make nice room tight space . look like room recently renovate - nicely do . hotel far favorite hotel London . set menu hotel restaurant good value food fabulous . restaurant beautiful worth visit even be stay hotel ! bar downstairs great atmosphere ( drink bit expensive ) . absolutely recommend hotel , business pleasure ( especially stay weekend get package ! ) 
