great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 May 4 2009 	 great hotel fantastic staff amazing city ! 	 currently write review hotel 's free internet near lobby wait head back airport . great stay hotel - staff unbelievably helpful - recommend great place eat even offer print boarding pass we check online ! hotel room small everything need hotel great location explore city ! like steak would totally recommend restaurant call Keens - staff lovely steak amazing ! Brooklyn Diner Times Square pretty cool ! can not wait come back city much fit time ! 
 May 2 2009 	 overall ok - loud music spoil first 3 night ! 	 stay Hotel Chandler week easter . positive : -location central -It clean - hotel staff polite -room well furnish -Our second floor room quiet – see belowthe negative : -We request low floor room give first floor room bar . music loud floor vibrate , go early hour every night . struggle 3 night little sleep move middle night - could not take anymore ! departure email hotel suggest refunded one night involve sleep move room 3 am ! hotel respond ' the hotel advise state ' More Hotel Information ' hotel host live entertainment night would involve loud music . ' beware first floor , particularly room 225 . -The area around hotel great . not find nice bar restaurant near . night walk distance taxi . ( area around hotel , like rest NYC , feel safe . ) -over course 7 night stay 2 deluxe room one standard room ( due move noise . ) small term square foot ( even NYC -It expensive ; work 200 pound night inc tax . overall get high floor sure would happy stay . average hotel reasonable location . 
 Apr 30 2009 	 ' m back NYC will definitely go Hotel Chandler . 	 get home five - night pleasure stay Chandler . fabulous time . staff friendly helpful . check one afternoon next morning stepping paper , gentleman desk greet name . room tidy comfortable wide - screen television nice . would definitely recommend ! 
 Apr 30 2009 	 Great Hotel Good Location 	 stay 5 night 20th April read comment Trip Advisor . could pick well hotel , great location block Empire State Building . young staff excellent could helpful . the hotel spotlessly clean free coffee tea available day add bonus free internet access . sure room bite small side european standard New York . would certainly stay visit New York recomend friend .. 
 Apr 29 2009 	 another positive revew 	 much add previous positive review ( rely make booking ) . shall say front desk staff hotel amongst well ever come across . extremely helpful , , always two duty never wait long want see . 
 Apr 28 2009 	 walk to / from Madison Square Garden HELL ( night ) 	 lovely hotel , bed , shower , . two complaint : weak battery remote loud flush toilet . man desk say street really nice walk Madison Square Garden ( though suggest good pub en route ) . show Saturday night , short walk back ( 8th Ave hotel 5th Madison ) AWFUL.Prostitutes , would - be thief , disgusting people , catcall people , harass people , scary city - savy person . man , need game - face walk ny street . give pay , not want nighttime neighborhood around . go NYC disgusting , scary people night . almost check closet hotel MSG get away . 
 Apr 24 2009 	 perfect value money location Manhattan 	 reading review Tripadvidor decide hotel we . disappointed . room clean well furnish window could open onto street . bed extremely comfortable linen toiletry bathroom good quality . rainfall style shower fantastic long day sightseeing . staff helpful friendly . time avail complimentary wine evening - much see . hotel location perfect view get around Manhattan - far anything easy access subway . fact could slip end street watch light go Empire State Bldg Earth Hour magical . wi - fi internet access room fabulous allow we keep touch family Australia . 
 Apr 18 2009 	 great location great hotel ! 	 stay Easter holiday , fantastic location 5th Avenue . view Empire State Building hotel room ! book Superior King room , still small european standard perfectly adequate . every facility could ask room , really great shower bathroom . staff meet helpful would anything could help . breakfast include price room , fine , little variety day day would nice ! would highly recommend hotel , would stay New York . 
 Apr 15 2009 	 little Gem big City ! 	 friend & amp ; choose stay Hotel Chandler read review , 's little gem , positive thing people comment absolutely true . staff obliging , upgrade pleasant surprise & amp ; room lovely & amp ; clean . ideal location , 5 min get Empire State Building / Maceys & amp ; near subway . would def . recommend hotel . 
 Apr 10 2009 	 Disappointing 	 stay 2 night honeymoon . room superior room 11th floor right next elevator . disappointed . room really small could hear everything corridor ( include elevator ) . view , could see brick wall outside window . bed really comfortable . turndown service not get chocolate . coffee tea available lobby , nice . also enjoy complimentary wireless internet access . 
 Apr 10 2009 	 new york trip 	 husband stay chandler four night end march . room front hotel , standard room good , massive , big enough day stay . real complaint tea / coffee facility room , free one available hotel lobby ( much good get morning ) . staff friendly compare other meet new york . think noise night ( yes know be city ) not like alot noise maybe ask bedroom back hotel , view room much anyway . hotel two block away ( easy walk ) penn station travel via newark cost around $ 15 way easy useand frequent . gray bus tour excellent touring day night , take hat glove freeze time year . food find problem either fast food expensive resturant recommene Juniors time square good food , big portion cheap . 
 Apr 3 2009 	 highly recommend central location reasonable price 	 would hard well hotel price central Manhattan . room hotel general impeccably clean , great shower , comfortable bed , good tv , - helpful - free wi - fi internet access . little touch free NY Times little chocolate provide daily nice touch ( though , curiously , stop halfway 9 - night stay ) . nice reception room , tv , sofas , newspaper , computer free hi - speed internet connection . front desk staff always friendly helpful . incredibly room always quiet , surprising give location . breakfast good quite expensive generally make use numerous cafe area . subway station close , find walk place - uptown downtown . highly recommend . 
 Apr 1 2009 	 bad ... great 	 Hotel Chandler good overall . superior room . got good price . front desk helpful . room size typical NYC , bathroom small average . also , pipe bathroom make lot strange noise . lot noise hear wall hallway room . 
 Apr 1 2009 	 Great Pick ! 	 recently stay Hotel Chandler business trip New York . typically travel husband 's company ( much substantial travel budget work allow ) . use stay pretty nice hotel NYC know neighborhood like . job permit far less spending travel take gamble Hotel Chandler pay ! price excellent , hotel great . stay many time well know chic chain street room big , bed nice staff accomodate . hotel generally quiet , sometimes find rennovate old hotel . much street noise either . location perfect someone like walk attraction , also close subway . would certainly stay business friend . 
 Mar 30 2009 	 great find ! 	 book & quot ; superior & quot ; room three evening quite comfortable . front desk staff help we luggage take car valet parking , available we within 10 minute ask . plenty closet space & amp ; drawer need unpack belonging . mention previous review , shower large Aveda product restock daily . like little blue tile 20 style design bathroom . bed , pillow comforter clean comfortable . location extremely convenient nice resting spot adventure . disturbance fact second floor able hear noise hotel bar , first floor . suggest high floor . bar seem nice , street front door , not time stop complimentary glass wine . take peek gym small fully equip , sauna . check go smoothly hide charge . overall recomend place back . 
 Mar 20 2009 	 absolutely Terriffic ! Flaw ! 	 let start say , & quot ; not cut corner anything & quot ; , otherwise , stay home . travel , want pamper feel special . travel , always book 5 Star Hotels . past week meeting daughter NYC , take St. Patrick 's Day Parade enjoy another NYC experience . however , daughter want spend usual $ 400- $ 500 night , NYC , , recession , could blame . search Trip Advisor ... never travel anywhere , unless check Trip Advisor , search review photograph . find good review Hotel Chandler . rate $ 189.00 per night ! . quite skeptical , want stay hotel . base price alone ... uncomfortable , say least . , lieu daughter 's request , decide take chance , book Chandler Hotel two night . fear disolve arrive hotel . GREAT ! say . really GREAT ! Beautiful Contemporary Hotel . really surprised ... lovley hotels city reasonable price . staff could nicer . accommodate congenial . Valet parking , boot ! photograph on - line , exactly person . hotel trendy contemporary , nice wood marble accent ... cut corner anywhere hotel . lovley work Iron Staircase , choose take stair , marble public restroom choice toiletry , smart dining room . & quot ; skimp decor , either & quot ; . bedroom lovely , large ( 12x16 ) , well appoint , extremely clean well maintain . comfortable bed pillow comforter , chocolate pillow turn - down . dark wood cabinetry silk drapery . nicely do . bathroom large , nice size , shower ceiling rainshower ... nice touch . also provide plush bathrobe slipper , internet , flat screen tv , room service ! . surprisingly , hotel quiet . hallway elevator well keep nicely appoint . ' ve hear people say & quot ; travel , go , beautiful , expensive room waste , long enough enjoy & quot ; . disagree completely . want feel great step room . & quot ; Travel , total experience , moment leave home , moment arrive destination . definately return Hotel Chandler . feel 4 1/2 + plus hotel . thank , Trip Advisor ! 
 Mar 12 2009 	 good bet Manhattan ! 	 recently return four - night stay Chandler visit friend NYC , echo vast majority reviewer rank gem among good Manhattan hotel . everything stay top - notch . staff friendly , helpful ( yet unobtrusive ) , take every opportunity make feel home . case point , nightmarish travel day , graciously upgrade Deluxe King room . housekeeping keep whole place SPOTLESS , room immaculate every evening upon arrival - definitely consider & quot ; barefoot friendly & quot ; .The room great ( consider size ) , layout right . plush chair , flat - screen tv , in - room safe , iPod dock radio , work desk , blackout blind , spacious armoire appreciate get put good use . decor warm inviting , comfortable bed rest one 's weary foot long day 's walk . , morning , powerful rainfall shower free copy Times help start day right . the location ideal : esb loom right around corner , Macy 's , MSG , Penn Station , Times Square within 15 minute walk . neighbourhood cafe pub abound ( try Oxford 5th great breakfast ) , 6 , N , r , v train within three block take anywhere want go . offer , thankfully , neighbourhood still provide quiet night 's rest . to sum , Chandler 's & quot ; bang buck & quot ; tough beat . would wholeheartedly recommend NYC visitor , certainly help make first trip memorable one . thank everyone ! 
 Mar 9 2009 	 Nice New York All - Rounder 	 quite ( ) negative comment Hotel Chandler come anyone 's guessing , must one true hide gem NYC.A superb compliment staff , clean , tidy well - decorate room , awesome location real attention - to - detail ethic make Chandler well - advise stay New York . we really could not ask . Devoid sterile chain - tel atmosphere blight many be similarly - equip hideouly overprice competitor , Chandler enjoy true uniqueness be go struggle source anywhere else mid - town Manhattan . a hotel , businessman , would problem recommend friend client alike . 
 Mar 4 2009 	 great location friendly staff 	 November 08 . stay 4 night . really nice hotel , room clean well equipped . staff helpful , great bar recession happy hour drink half price . location fantastic short stroll Macy 's Empire state building . Staff advise we use underground get around feel completely safe give we good recommendation place eat , go Houstons . be far bloomingdale well worth visit . stay hotel thankyou people tripadvisor recommend . 
 Mar 1 2009 	 enjoyable stay 	 recently spend 6 wonderful day New York Hotel Chandler serve enhance trip . check staff bellman chambermaid , service faultless . former Hotel Manager might fussier , cause complaint . entire Hotel spotless , staff polite , friendly , helpful . little thing make difference Chandler go extra yard thing like mint pillow complimentary newspaper . one minor quibble would size bathroom . bit small mine equip powerful shower ' ve ever use . hotel well worth consider stay ! 
 Feb 25 2009 	 nice hotel ! ! 	 moment get , staff greate we cheerfully helpfull . room nice trendy . everything need well great room service . one thing always use woman , blow dryer . hotel awful one one good one actually dry hair . also , need good night 's sleep , get comfortable bed ! aside , walk distance many restaurant , attraction shopping . I would definately stay recommend hotel anyone ! ! 
 Feb 20 2009 	 could not ask much 	 4 night stay mid - winter special rate nothing praise . great location term walk hop subway . staff helpful courteous . room small , tell , besides , ' m New York not plan spend long period time room . special rate much well rack rate certainly make desirable 
 Feb 18 2009 	 great great great ! 	 get back 5 day Valentine 's break . find Hotel Chandler web check review Trip Advisor . arrive late Wednesday night , tired travel , lovely surprise get . staff be friendly helpful , room lovely . bed good bed ever hotel , like home home . next day walk hotel , end road not far , Empire State Building 's glory ! great area , safe , clean noisey close everything really . order wine chocolate dip strawberry Valentine 's day deliver afternoon , get back lovely surprise husband . seem get everything right , even include breakfast sufficient . I would recommend hotel , ever go back New York , top list ! 
 Feb 10 2009 	 great location value 	 girlfriend stay weekend please everything . location great ( able walk Central Park 20 minute ) , price reasonable . stay one junior suite find space room ample . definitely stay next trip NYC . 
 Feb 10 2009 	 Perfect 	 boyfriend stay begin Feb 3 night lovely stay ! check quick easy lady desk helpful give we map guide . also upgrade lovely suprise . bell boy great help we room open map show we point local point interest get . room lovely , spotless , warm welcoming . bed pure luxury bathroom really nice . cleanliness look really place spotless . complimentary toiletarie really good . Turndown service offer every night paper deliver morning . cute little thing make stay even enjoyable . hotel perfect location .... literally minute walk empire state build 7 min walk times square . do not eat hotel enjoy bar one night nice . staff lovely , especially bell boy , young polite overly helpful . check kindly hold bag book we cab later afternoon help we time leave snowstorm traffic . overall would definately go back hotel compare another hotel stay similar price would not even waste time try hotel one perfect ! thank Chandler make special trip even special ! 
 Feb 2 2009 	 nice room ; service room service okay 	 Hotel Chandler nice , safe location . 's attractive hotel bellman fairly nice . reserve king - sized room , check lovely room double bed , call front desk ask move . say not available king - sized room , could put queen - sized room . say okay moved & quot ; room & quot ; big large walk - in closet , window look onto brick wall foot away . DARK . immediately go downstairs ask put back original room . hotel staff helpful . seem enjoy play game . note : COMPLAIN , PUT worse ROOM ! put room - service breakfast order door early evening , state card , open door next morning ( ready meal deliver ) find card even pick ! call wait 15 minute breakfast deliver . food not edible . barely give enough coffee 2 cup ( not coffee maker en suite ) . $ 30 food not even want try eating - not appetizing . the room quite lovely . original room view Empire State Building , decorate well . beautiful flat screen tv , IPOD alarm clock stylish ( though small ) , tile bathroom . aveda amenity nice well . nice thing take advantage free glass wine night bar attach hotel . overall , would stay , would call ahead time make sure get reservation correct put king - sized room ask . 
 Jan 25 2009 	 ok ok 	 book hotel one night upon read great review really look forward not impress much . stay two cheap hotel time NY actually prefer . nothing significantly wrong Chandler feel well average 3 star , service certainly not anything special . room fine , average size bed comfortable . even though request room high floor view city , view bathroom clean properly . hotel ok ( perhaps unlucky ) think worth price would stay . 
 Jan 21 2009 	 Great Midtown stay 	 decide would good hotel 2 friend visit NYC base TripAdvisor review - not disappointed ! fantastic location , professional , courteous staff , all - around good stay . tend stay away non & quot ; chain & quot ; hotel Hotel Chandler outstanding choice . 
 Jan 10 2009 	 nice 	 stay 5 night start year . 7th time New York , mostly stay time year . hotel fine clean , room think small ! bathroom nice also small . go New York hotel would okay choice , 's location good , although prefere slightly Uptown , east side also opinion well west . book Chandler will not disappoint provide not expect 5 star luxury . 
 Jan 2 2009 	 great hotel great price 	 first visit New York pleased choice hotel . moment walked make feel welcome fairly small hotel feel family run . breakfast think expensive though french toast tea excellent . hotel excellent position 5th avenue short walk Empire State , Macy ` Madision State Garden . room clean comfortable , ( bed really comfortable ) bathroom one good shower ever use . reception staff helpful polite , staff chambermaid waiter . would problem reccomende hotel excellent among one good stay . stay christmas period surprised busy New York time year , prepare wait plenty queue visit major attraction , take 3 1/2 hour get top Empire State 8.00pm ! ! ! ! ! ! ! ! worth prepared . great time New York mainly thank great hotel return rest weary foot . many thank staff Chandler . 
 Jan 2 2009 	 Fantastic Hotel 	 Daughter treat first trip New York . Chandler Hotel great hotel convenient sight , particular , Empire State Building end street , minute walk ! ! staff hotel polite can not enough . room clean bed really comfy , need walk sightseeing . find room really good size shower powerful equip everything need . go New York reason , will not disappoint Chandler . 
 Dec 29 2008 	 good option New York 	 Perfect location hotel New York reasonable price too . located e 31st Street Midtown 's prefect spot take sight . right corner street get great view Empire State Building walk distance Rockafella Centre , Grand Central Station Chrysler Building . near subway station couple block away 34th Street . hotel great art deco building . staff really friendly serve free tea coffee selction fruit . breakfast not cheap though around $ 18 plenty cafe Park Ave pick tasty bagel . the room really clean spacious flat screen tv , iron board , hairdryer good i - pod docking station ! view back not great , perhaps better view front hotel . I would definitely stay 
 Dec 24 2008 	 could hotel well ! ! ! ! ! ! ! ! 	 first trip New York not think could choose well hotel . fantastic boutique style hotel , perfectly locate ! room lovely , cosy small ! bed amazingly comfy ( need hour walk round city ! ) . staff really professional friendly ! would go back New York minute ! 
 Dec 23 2008 	 Exquisite 	 stay Chandler hotel 5 night . first visit NY want stay nice accommodation not disappoint . Chandler great location - two min Empire State Building . hotel spotless room spacious . staff helpful friendly . pay end stay cost expect daily taxis add not know could fault read small print somewhere however watch 's add fair amount extra . fairly expensive really nice ! ! ! 
 Dec 14 2008 	 close everything 	 Hotel Chandler close / walk distance lot attraction . 20 min Times Sq , 5 min subway , 2 min Empire State Building , etc . staff friendly customer service orient , make relax time big city . room clean , newly renovate , nice touch ( big flat screen , high thread count sheet , naturally light shower ) .It probably pricier stay big convention hotel ( Chandler 200 room , big Sheratons / Westins / Holiday Inns 1000 + room ) , furnishing , renovation , & quot ; boutique - ness & quot ; allow feel relaxation usually whirlwind day city . 
 Dec 7 2008 	 Hotel Chandler - highly recommend ! ! ! ! 	 book hotel like name , location great price reasonable , pics hotel look fab always brochers net get disappoint ! ! ! ! ! .... reception staff friendly extreamly helpful , upgrade get ( good time ) . stay room 331 . twin room friend comfy double bed . room clean tidy . plasma screen , free internet access really helpful get touch family back uk rather use mobile phone ipod docking station listen music . also access gym not use cus walk round shop everyday ! ! ! ! bathroom spotless , fresh towel everyday , robe aveda product replace use . the room clean every day dress every night lil chocolate pillow nice touch . some may think give hotel rate 3 * expect much definatly like 4 * hotel UK ! room slightly dark would light time could room back hotel maybe time year ..... still huge problem ! location fab , empire state 5 min walk away time square around 30 min . 5th avenue round corner around 20 - 30min walk big designer shop like prada tiffany'sI would highly reccommend hotel definatly book hotel chandler next year ! ! ! ! ! ! thank hotel chandler great first time experience ! ! ! ! 
 Dec 3 2008 	 Great Hotel Great Location 	 thoroughly enjoy 3 night stay Hotel Chandler Nov. 28 – Dec. 01 2008 . Front Desk , Housekeeping , Bell staff efficient courteous . hotel location great- 5th Ave . 31st , nearby access major North / South subway line – ' F / Q / R ' 34th/6th ' # 6 ' park/34th . serve we well multiple show attend uptown ( Carnegie Hall ) well TriBeca Soho . ' basic ' room ( Superior Queen bed ) small size – typical NYC boutique hotel – cramp two people ' move without constantly run . furnishing amenity top notch throughout ( bed , linen , clothe drawer / armoire , flat screen tv , plentiful & amp ; accessible electrical outlet , stereo radio Ipod dock , bathroom fixture – overhead shower- , upscale toiletry , etc ) . in - room safe appreciate ( wish NYC hotel ) provide bathrobe nice touch . three phone might bit overkill room size , hey . comfortable lounge area lobby all - day complimentary coffee , tea & amp ; hot chocolate , tv / DVD / Stereo free internet access . two elevator efficient never wait minute one throughout stay , regardless time day . small annoyance might mention ice bucket room ( self - service ice machine snack vending machine hotel ) – unless wish splurge time room service mini - bar ( maxi price ) , might consider grab munchie beverage many nearby store / cafe way back room . also , in - room coffee maker , prepared throw clothe hit lobby need morning jolt java , . comparison purpose , would rate hotel par ( slightly well ) three boutique hotel ' stay NYC ; Roger Smith , Avenue , Muse . happen catch special rate stay ( less $ 200 / night ) , incredible value fine hotel . would definitely return depend available rate . 
 Nov 30 2008 	 excellent place outstanding value 	 quiet , understated , elegant boutique hotel . queen room small well - appoint . housekeep superb - good property ' ve ever stay ( mean every time leave room return find everything make every use item replace ) . staff extremely friendly helpful . be big breakfast fan , think hotel 's breakfast elegant , personalized , fairly price . , pleasant place tremendous value , especially want part town . 
 Nov 30 2008 	 Delightful 	 delightful boutique hotel , centrally situate , round corner Empire State . room beautifully decorate bed comfortable , turndown service . staff highly efficient , pleasant helpful . breakfast freshly prepare bit pricey . 
 Nov 28 2008 	 love stay ! 	 spend Thanksgiving eve hotel love everything . first , staff extremely efficient , courteous , helpful . frequent traveler , huge we . second , hotel room delightful . room , cozy , cramp beautifully appoint . everything new modern rainhead shower especially nice . bathrobe towels fluffy sooo comfortable ! bed pillow equally wonderful . room quiet . also like coffee tea available time day night . the hotel good walk theater district walkable . would definitely stay . 
 Nov 25 2008 	 want part ! 	 great location ! empire State Flat Iron building plus easy access subway ! room quite nice visually - look recently refurbish , like NY hotel pretty small , definitely well ! ! bathroom unreal , really spacious , plenty room 2 ! ! 
 Nov 23 2008 	 Heart Hotel Chandler 	 family stay Hotel Chandler whilst week long holiday New York . experience fantastic ! arrive check staff front desk extremely helpful ensure party room close together , even upgrade two room order close together . room spotlessly clean comfortable . size party ' room varied , small other ; New York City hotel room hardly huge . however room generously size . particularly love complementary Aveda ( good company ) toiletry restock everyday , alongside fresh towel . hotel also provide turn service evening supply fresh towel , chocolate weather card next day . also New York Times deliver morning room . stay one member party problem room , efficiently quickly deal staff . staff hotel extremely helpful friendly . book we tour theatre ticket , make reservation restaurant , book taxis departure airport . also helpful recommend great restaurant go Keane ' , sell great steak excellent atmosphere . hotel ' location brilliant well . around corner Empire State ( go whilst rain windy , unfortunately ) . hotel ' Midtown location great could walk many ' sight ' . walk around different sight New York recommended get real feel city see great deal ! corner hotel ' street also great vintage clothing store , hear visit star . unlike large , well know hotel , Hotel Chandler character . like everything , area Hotel Chandler could improve , hotel 's bar , small bar attendant friendly , would hard find area improve . Hotel Chandler play huge part make trip New York fabulous memorable . would highly recommend hotel anyone . sad leave can not wait return New York City ! ! ! 
 Nov 18 2008 	 average excellent location 	 Hotel Chandler 3 star ............ clean enough date , room dark dingy . room directly across lift quite noisy , keep blind closed time view build next door couple yard away . travel friend book month early , ask could room close togethere , 5th floor , friend 10th . bathroom small , accomodate one person time , report sharp broken tile shower floor reception , & quot ; engineer & quot ; smear mastic day , although not expect retile whole floor , expect make safe . plus side , bed large comfortable , staff friendly , course New York awesome , luckily not spend much time hotel , much see . stay quite major city across Europe stay much well place lot less money . 
 Nov 14 2008 	 Fantastic hotel ! ! 	 book hotel birthday surprise Mums 60th please booked Chandler . the location hotel fantastic , couple block empire state + macys . room great really comfortable bed change daily . bathroom great double sized shower towel soft ! aveda product bath robe lovely touch ! lounge complimentry tea coffee fruit also lovely great use return long day sightseeing shopping ! hotel really fantastic would highly recommend anyone stay ! lovely coffee shop block away breakfast , Oxford Cafe favourite ! fab hotel helpful staff , great facility perfect location ! would definately stay next stay New York ! 
 Nov 12 2008 	 Great Hotel highly recommend 	 wonderful Hotel , New York city go , room generous size , spotless , great bathroom large walk shower.turndown service every night , fresh linen nice touch , complimentary fruit , tea & amp ; coffee day long guest lounge . great staff , friendly & amp ; helpful , smash location , 5th Avenue , near Empire State & amp ; Macys , walkable selection subway stop . highly recommend 
 Nov 5 2008 	 great central place stay ! 	 sister spend week New york would highly reccommend hotel Chandler central place stay . 2 block Empire State building right 5th Ave . central ! cheap definatly expensive other . small room 2 double bed fully functional . shower bathroom amazing complimentary Aveda product nice touch . staff always courtious helpful . bellboy always grab cab , need . staff hand map arrival , great never city . negative thing could say lack tea / coffee make facility room . hotel offer complimentary tea / coffee lobby people would'nt want go lobby PJ 's morning grab cup ! stay room basis plenty deli 's nearby , open 24hrs . would advise people avoid eat area overprice obviously gear towards tourist . take taxi Greenwich Village evening variety well value money . however , nice Thai place across street hotel lovely food inexpensive . , Hotel Chandler great place stay check city tourist spot within walk distance . take city bus tour , must relevent info first day trip . agent every corner buy ticket . 
 Nov 5 2008 	 Welcoming Chandler 	 daughter return four night stay Hotel Chandler . whole extremely pleased Hotel . location excellent visit Macys Empire State Building- block away . reception staff excellent , friendliness manner always willing answer query . recommend visit Barking Dog restaurant breakfast , live recommendation . also Keens restaurant visit evening meal- want really good steak go - pricey good . there couple niggle hotel . one distinct lack english Breakfast Tea Bags 24 hour tea coffee availability- first two day none . minibar room work , nothing remotely cool cold although maintenance man came look , still leave . couple tip . guy gallard really good breakfast , short stroll away , also eat artisinal restaurant- evening meal pricey , book recommended- excellent food service . we also go River Brunch cruise Sunday , thoroughly recommend this- food service excellent- world yacht book leave England online . 
 Nov 4 2008 	 New York Gem 	 return New York stay one good hotel could wish . friendly efficient staff always willing help put . room beautiflully furnish good range cupboard , efficient air conditioning power shower joy use . spotlessly clean well maintain . availibility tea coffee 24/7 dining room bonus , enjoy especially hard day 's sight seeing . 
 Nov 4 2008 	 good Chandler 	 return trip Ny marathon stay Chandler . good . helpful front desk could'nt enough . friendly professional . great room nicely furnish clean . free coffee tea available lounge day nice couple minordownside view room non exsistent not 24/7 room service tea coffee make facility room would good . overall great stay PS . run marathon worth Ny crowd awesome ! 
 Nov 3 2008 	 lovely staff fantastic location 	 Choose Chandler base Tripadvisor review 's location . completely accurate . unfortunately take ill less 12hrs arrive admit hospital 36hrs . front desk staff organise doctor within 5 min advise go hospital . return hotel could not enough help me/ we get taxi , open door , hold lift etc . bed lovely comfortable , air conditioning could well try next October half term definately book Chandler . 
 Oct 31 2008 	 Fab Location 	 return New york stay hotel . first time impress . upgrade twin single room twin double great long journey Ireland .The bed super comfy room spotlessly clean . hotel locate around corner empire state building approx . 10 min walk Macy 's ton great shop . our disappointment breakfast completely optional , however push time one morning decide breakfast . cost $ 16 plus tax per person offer poor buffet selection . would definitely go back .great hotel . 
 Oct 22 2008 	 fabulous location 	 , sadly , return New York 4nights stay Hotel say without shadow doubt Chandler ideal situation . spotlessly clean staff friendly helpful . 2 minute Empire State Building within walk distance many tourist attraction . can not wait go back Big Apple defo stay . 
 Oct 21 2008 	 great little place 	 pleasantly surprise Hotel Chandler . expect cramp little place , rush staff , maybe clean facility , relatively cheap price pay room . get exact opposite ! wonderful attentive staff , clean room pretty nice amenity . room still small side cozy well furnish LCD tv , ipod player , free wireless connection . it be also great location block Empire State building , Koreatown , subway station . easy hop train head part city . the issue room temperature hard control . either hot stuffy air , cold air . seem way find happy medium . we still definitely stay next trip new york city ! 
 Oct 20 2008 	 special place Midtown 	 stay two night , book king room . great location Midtown , block Empire State Bdg , next Koreatown great restaurant . arrival classic pre - war building gorgeous modern furnishing lobby marble staircase ( two decent elevator well ) . staff friendly helpful , attentive bellman . room huge hotel standard , reasonable Manhattan standard . also beautifully furnish , flat screen tv 's , classic tile bath w/ aveda toilettrie bathrobe . neg noise another room shower outside revelry Sat night . most impressive upgrade manager standard room suite King bed pull sofa bed ( wife toddler ) extra charge . 
 Oct 15 2008 	 Birthday delight 	 daughter return home 4 night stay full praise kindness show staff . room clean comfortable . especially love location . plan return visit stay here . I receive friendly e - mail reservation department quick , fuss service try organise credit card authorisation stay . Thankyou . 
 Oct 2 2008 	 fabulous service+convenient Location = Great Place Stay 	 book stay Hotel Chandler 4 night stay go see & quot ; Equus & quot ; Broadway romantic getaway partner , could not please accomodation staff Hotel Chandler . first , glow comment review staff attentiveness willingness help deserve . genuine desire help anything necessary make stay pleasant possible refreshing wonderful . example high level customer service offer : provide street subway map we upon check without we ask , offer printer printing work document need email overhear talk partner lobby , reserve cab back JFK early wait we ( cabbie also highly knowledgable able traverse city street avoid horrible rush hour traffic LIE Belt Pkwy ) , hold luggage entire day check need leave evening , always bring ice promptly smile whenever request , complimentary turndown service pleasure come back dinner fun night town , complimentary 24 hour coffee / tea service blessing caffeine addict partner , etc . could go little thing do quickly , efficiently , smile make stay pleasant . another thing hotel go 's convenient central location city allow feel relatively close , feel seclude give locate side street rather major avenue . Times Square , Central Park , Rockefeller Center , St. Patrick 's Cathedral , 5th Avenue shopping one day foot . empire State Building literally 3 block away ! quick tip , thai restaurant locate directly across street quite good deliver directly room . room amenity comfortable nice . wall - mount flat screen touch home appreciate , Aveda toiletry iPod docking station alarm clock . bed comfortable climate control work relatively quietly efficiently . plenty space store clothe sundrie 4 night stay ( trust , not light traveler regard ) . couple minor thing kind irritated we bit . almost not bear mention , feel like balanced review . first , ice machine floor hotel always call ask bucket ice send . always promptly smile , make one feel like bother 's late night ' ve ask couple already day due previous one melt . tip time alleviate guilt porter usually always seem surprised grateful . second , site show hotel DVD player available loan room case offer movie sale in - room tv entertainment system . go one multitude small electronic store scatter throughout city buy cheap one use , would ' ve nice know not available prior arrive could bring one home make purchase get hotel . really two minor issue negative could find stay . obviously many positive far outweigh either . overall , would highly recommend hotel anyone plan visit New York desire quality accomodation central location operate truly one good staff ' ve encounter many trip domestically abroad . 
