overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Aug 13 2008 	 amazing weekend getaway 	 husband return Hotel Burnham celebrate one year wedding anniversary . know construction go around hotel , choose stay anyhow ( find average rate $ 155 night hotel 's website ) . stay absolutely amazing . soon say last name check - in , wish we happy anniversary . return room first evening , bottle champagne wait we . third day , ask assistance finding place . know would lot walk , return , bottle water waiting room we . service receive Atwood incredible well . server remember we second day seat us table day , say would seat we & quot ; usual . & quot ; wine reception evening nice touch well . never stay hotel pay attention please guest . husband never problem sleep , 14th floor . stay , need know construction go . request room top floor , probably hear noise . know return Chicago , go stay Hotel Burnham . 
 Aug 12 2008 	 great hotel great location 	 thing stop Hotel Burnham get perfect 5 - star score poor internet service experience . everything else top - notch . staff greet warm hello whenever walked tell & quot ; enjoy evening & quot ; walk out . I order room service one night send complimentary dessert ! grant chocolate mousse - type dessert , probably due extra dessert generally store well . nice gesture rate . tasty treat ! photo people attach site , Burnham justice . nice place ! marble everywhere , clean , great restaurant , good water pressure /hot water ... like say , everything great . location good could ask for . as internet ... connect via broadband plug first night list & quot ; complimentary internet & quot ; promptly charge $ 10 access fee room . charge terminate internet next evening something laptop would long connect internet . call tech support line ( city ) spend great deal time try get work . start work ( ie , connect Google ) hang .. attempt go hotmail cut would connect ... call tech support next guy tell & quot ; wait try 45 minute & quot ; . even attempt use wireless lobby laptop would not ' connect service ( never wireless problem ever ) . assume since charge $ 10 fee per night internet access ( although suppose complimentary ) not pay night time , system somehow exclude use internet ... poorly design glitch . stay Hotel Burnham 4 day usable internet first evening . 
 Aug 5 2008 	 historic Burnham Hotel offer much ... 	 date stay : July 27 , 2008 - July 31 , 2008the Hotel Burnham true gem Chicago 's Loop area . detailed architectural design captivate beautiful . room could little large . however , picture hotel provide website accurate . King Deluxe room include comfortable bed pillow type choice , comfortable sized bathroom L'Occitane bath product . desk free internet access . mini bar refridgerator . lot storage area though . 11th floor even sliver view lake . first visit hotel include impeccable service every level . staff welcoming go way make stay comfortable enjoyable . order flower via concierge room arrive . hotel add chocolate nice bottle red wine . hotel peaceful ... great afternoon nap . room service order arrive 15 minute like clockwork . hotel 's restaurant , Atwood Cafe , serve excellent food . good Cobb salad ' ve . pay $ 176 / not ... rate find Travelocity hotel price match . highly recommend hotel . centrally locate near Millenium Park corner Washington & amp ; State St. Great will visit Art Institute . cab ride not $ 5 $ 7 . downside L two block away could hear night ... nothing glass wine Benedryl not solve though . great choice romatic getaway . would defininitely stay . 
 Jul 23 2008 	 great location lovely hotel 	 Hotel great location , couple block Washington blue line come directly airport . check quick easy . room clean lay well mum use together . Bathrobe ( animal print ! ) pet goldfish great touch ! Doormen great . only disappointment restaurant - food nice enough wait staff bit hit miss breakfast dinner . awful , great not put hotel would stay again . overall , great hotel someone interested architecture want something smack bang middle Loop . 
 Jul 13 2008 	 fraudulent reservation policy 	 beware make reservation hotel . policy never hear hotel . use & quot ; hot date Great Rate & quot ; , allow cancel reservation try less 15 -- month -- stay , bill credit card whole stay . hotel allow cancel 24 48 hour schedule arrival , hotel would let cancel month advance . 
 Jul 10 2008 	 great experience Burnham 	 spend three night move another hotel conference . stay duration . beautiful , quite hotel historic building unparalleled location . staff uniformly friendly helpful -- seem happy working . definitely Chicago hotel future trip . 
 Jul 3 2008 	 Great Hotel need updating 	 stay Burnham recently business . second visit hotel . staff helpful place quiet inside room . the room fine could use update , shade fade . problem could use internet evening , however , able use morning problem . 
 Jun 17 2008 	 not even try sleep 	 Management kindly place third floor room directly roadwork project utilize jackhammer nonstop 9 p.m. 3 a.m . build has15 floor three side not face roadwork , attempt make improve situation . ' m town four day conference sleep hardly option -- neither sleep , circumstance . remember , be go Chicago , discount rate $ 828 , could go four night without sleep hotel . 
 Jun 15 2008 	 Fabulous 	 Best hotel service year -- people not simply ask , proactivity among staff ( chambermaid leave handwritten note name ask need anything , bellman introduce in - room amenity -- get in - room coffee service notice none [ optional ] ) , cheeky waiter restaurant make comment soccer jersey wear breakfast -- make superb experience . room well appoint ' ve see . view typical Chicago Loop skyscraper canyon tremendous in - room coffee Starbucks . Breakfast ( include ) ok ( bit funny menu ) , hardly enough spoil effect . 
 Jun 9 2008 	 Beautiful Hotel . 	 beautiful hotel . get great deal Memorial Day weekend could believe beautiful room get 10th floor . use hotel 's website pay $ 127 / night , plus $ 20 / night taxis . hotel great location , couple block Millenium Station . take commuter rail Northern Indiana walk block hotel . taxi need . the whole hotel stunning . love architecture , hotel real treat . do beautiful job renovate redecorate building . interior design bold whimsical approach . Atwater Cafe stair fun bold design . lovely . our room stun -- corner room huge , huge window two side . sliver view lake Mil Park ( Washington Ave ) . furnishing do deep navy blue regal gold stunning . room king bed separate sit room work desk , divan , entertainment center . bath compact , nicely do . windown overlook Chicago Theatre . ' ve stay several time Hotel Monaco enjoy property time . change go Burnham time glad chance experience hotel . like , much , prefer interior design one . richness color make feel like royalty ! always , service hospitable Kimpton hotel . can not say enough good thing hotel . 
 Jun 7 2008 	 great hotel 	 would read great review stay , hotel really must see live fully appreciate ! attention detail decor restoration amazing , really feel like living building gloriously bygone era . staff helpful , food good ( though watch slightly over - merry guest evening happy hour Cafe , drink free -- drink slop sandal lift , pleasant ) . Stepping , shop convenience store , big small , close Magnificent Mile within 10 minute walk . Chicago beautiful city ( first time visit ) , full gorgeous architecture -- stay Hotel Burnham add whole atmosphere . 
 Jun 1 2008 	 ARt Nouveau treasure 	 stay 2 night historic hotel - love original feature lift , door , decor . staff helpful - lovely restaurant especially good woman stay alone.great view city window . location -perfect sight see foot city . a delight 
 May 28 2008 	 dog love Burnham 	 wife celebrate anniversary Burnham outstanding stay . even accomodate small dog , bring bowl food water room give royal treatment whenever come hotel . room overlook Marshall Field 's building stunning view formal garden Frank Geary pavillion Millenium Park sailboat Lake Michigan distance . small suite beautiful huge window -- comfortable place lounge soak city . construction building across street appear . location fantastic . wonderful place stay car - free weekend . complaint bathroom little small . overall , would stay heartbeat . dog agree . 
 May 21 2008 	 wonderful room service . 	 great stay Hotel Burnham . wish chance join everyone lobby wine . location hotel perfect planning stay loop Chicago . close everything . walk shop , show dinner . room beautiful . king bed comfortable bathroom gorgeous . staff courteous . could ask well place stay . 
 May 18 2008 	 stylish comfortable . 	 arrive Chicago first time easily find hotel unique address . receptionist really helpful quickly book we . everthing exactly reserve . the Delux double Queen Room spacious , decor impressive everything could wish , toothbrush book hotel history available purchase honor- bar . the Restaurant equally stylish , range menu make choose difficult . choose fillet steak definately disapointe . desert superb . return room evening , housekeeping staff turn bedding , place chocolate pillow place bath gown ready use . light turn music play quietly background . impressive restful . want romantic setting overdrive . staff professional Concierge efficiently make reservation two tour need . as ' leisure guest ' breakfast little stressful , due ' breakfast meeting ' take place table next we . loud , forceful sale talk take away peaceful breakfast . guest aware ' intruder ' outside world , maybe staff could little ' guest aware ' position group breakfast room . this excellent hotel one would recommend ' m extremely hard please ! 
 May 15 2008 	 great hotel 	 wonderful hotel great location , room upgrade suite charge . staff courteous helpful , evening wine reception nice . neighborhood construction make access difficult . would definately stay 
 May 14 2008 	 classic every way 	 look hotel business trip walk distance work site . try contact usual big name hotel book . think several big event go week . , Chicago ! come across Burnham Google search hotel . I can not say impressed see online thought would give shot since option minimal . ' m glad do . now Hotel Burnham pride old school . word , not try blow away fancy , deck - out lobby . stick long time standard still work today . like great guest service hospitality . ' ve conserve build around many , many year 's cozy . restaurant lobby real good . parking sky high not try drive . besides , really not need car be stay around Chicago . especially downtown . room small , be expect old building . still feel comfortable area nice clean . stay ( April 2008 ) , renovation go downstair advise request room high get . 10th floor location good enough . location hard beat . right next door Walgreens bank Bank America , 2 door . bad ! Millenium Park across street pretty much walk downtown . 's safe say would recommend Hotel Burnham . probably large family small size everyone else , welcome . 
 May 13 2008 	 wonderful Location ! 	 good hotel great location . unique property , architecturally - much lobby - restaurant / bar take lobby space . dinner restaurant one night food good service so - so . standard guestroom comfortable clean . bathroom good size . rate hotel ' above average ' really unique architcture building make average . good part stay beautiful exterior building great location . able walk take public transportation almost everywhere . 
 May 10 2008 	 nice Stay Burnham 	 wife book Burnham Hotwire $ 134 stay two night May . consider great value charming well locate hotel Chicago . the Burnham relatively small , hotel pretty classic look . lobby quite small cozy , complimentary wine reception 5 - 6 pm everyday . lobby area take Atwood Cafe , popular ( expensive ) place eat . the hotel maintain many original touch build 1895 , like marble stair , doorknob , iron work . Kimpton Hotels make Burnham 1999 . decor modern feeling overwhelming ; cozy inviting . our room standard queen 10th floor . bed nice view impressive : huge window overlook corner State Washington , include Marshall Fields Chicago Theater . bathroom tiny tv radio little date , negative we . everything clean , bath amenity l'occitane . People complain construction noise huge project go across street . stay directly overlook construction not hear thing . , Looptopia go we late night disturb . worried little , issue report . the location excellent shopping , bus train access , walk Millennium Park / Michigan Ave . complaint : one elevator break Saturday , make impossible get 10th floor . walk stair day . also , business center way overprice ( although wire internet free room ) . ultimately , thing keep we give Burnham 5 star , strong 4 - star hotel mind . charming welcome boutique hotel heart Loop , really feel like stay one great historical building early era ( believe second & quot ; skyscraper & quot ; ever build Chicago ) . would gladly stay reason . 
 May 10 2008 	 week - end Chicago 	 Location , location , location ! combine great staff , excellent restaurant , beautiful decor restore historic building , be Burnham . 
 May 4 2008 	 favorite work spot Chicago 	 corporate rate hotel can not happy . 's ideal location office ( 3 block away ) be get great decor . everything feel like brand new yet look antique . huge window afford great look area outside check check extremely easy painless . staff always try make stay well previous one , great . check hotel exciting go bank get treat like chore . there construction go across street 24 - hour pace . surprisingly , yet disturb disrupt sleep . 
 Apr 23 2008 	 probably good loop 	 Kimpton Hotel Group run place . be familiar , get know . property nice Hotel Burnham exception . it be great renovation classic downtown Chicago office building . be incredibly charming not fit normal Marriott / Hilton / Hyatt property mold . staff great , room nicely decorate comfortable . location definitely good . be across street Marshall Fields ( Macy 's ) 1 block walk major & quot ; El & quot ; stop catch train . beyond shop State St easy walk Michigan Ave . the downer , hardwired internet ( wireless ) be pretty slow . fast dial - up much . case entire week stay . other , book ! 
 Apr 21 2008 	 destination 	 significant stay past weekend wonderful visit . the room tasteful decoration adequate room move stow luggage . service / concierge offer appropriate helpful dining suggestion walk direction . room immaculate turndown service nice touch . Hotel Burnham , way destination . definitely recommend . 
 Apr 15 2008 	 Great Hotel construction noise issue . 	 come back 5 night stay Burnham say positive thing . book double double deluxe room friend altho ' room compact ( bit short space clothe ! ) , room clean comfortable excellent bedding . ' turn ' service addition classical music await arrival back hard day 's sightseeing nice touch . staff helpful welcoming would recommend Burnham construction work road complete . downside stay noisy even night . Kimpton hotel standard Chicago would definately book . 
 Apr 10 2008 	 beware Construction ! ! ! ! 	 hotel clean / nice , find staff courteous , location good . , construction resume in - full directly across street ! ! stay two night early April . first night fairly quiet heavy machinery start 6:45am . second night run crane lifting move big metal pipe almost night directly across street . major construction project easily 6 month completion . 
 Apr 1 2008 	 well ! ! ! 	 can not rave enough hotel . often staff big city hotel consist folk bore , angry , disinterested , rude , etc .. people interact , many , absoutely outstanding -- friendly ( sincerely ) , helpful , pleasure talk . hotel gem ; read website believe every word . terrific value lovely place . restaurant handy good , decor blend well turn - of - the - century hotel decor . stay overnight two meal restaurant good . room bathroom small side , problem convenient , lay well , elegant every amenity would want . hope always stay future visit Chicago . ( could often , since live Madison , WI ) read many review . good one ( ) true ! read one negative one ( write French , ' m sure understand every single word ) mainly construction noise . room face construction hear sound hallway room near we . wonderful hotel ! 
 Mar 29 2008 	 fabulous value business travel 	 happend across Hotel Burnham search Loop hotel find one price could not believe . read review site , decide give try . my office Loop , usually work remotely home . occassion , back - to - back meeting ( Mon - Tues ) want return home head back Loop hour later . I find great price Hotel Burnham . room small ( queen - size bed , tiny bathroom ) , location three block office quality much expect . impress attention detail ( & quot ; see ' ve request quite room , room 's quite , view , would prefer ? & quot ; ) .The NY Times outside door complimentary coffee tea lobby nice touch . since need really include place & quot ; crash & quot ; night , hotel exceed expectation would recommend anyone need great place stay Loop . recommendation hotel management add dead bolt lock door . female business traveler , particularly aware kind safety issue . 
 Mar 11 2008 	 Favourite Boutique Hotel Loop 	 follow mix book another Loop hotel , end - hardship end ! fascinating history - one first skyscraper US - build Burnham build Flat Iron NYC . beautifully sensitively restore - stairway particular gem . the room lovely well equip ( include goldfish bowl ! ) bathroom excellent . lounge area comfortable nightly free drink hour . I would also recommend Atwood Cafe - excellent restaurant right . noise new shopping mall / cta station unobtrusive - 's complete , location even convenient . currently handy Loop business area , State St , Millenium Park short walk Michigan . 
 Mar 10 2008 	 fantastic stay 	 wife spend 3 night hotel burnham hand good experience ever hotel . upgrade suite ( 1503 ) top floor wonderful hotel house reliance building ( 1895 ) smack middle loop ! kimpton group , pioneer boutique hotel business always right ! top floor huge baywindow look lake , millenium park , marshall field across street ( Macy 's building ! ) spacious hip well appoint furnishing / lot space/ extreme comfort level . kimpton spend lot buck lovingly redo famous old building gem . go website google reliance building . say well . ny time every morning ! free good coffee morning ! great restaurant ( 4 star ) .the atwood . Ill review separately kick back california jet lag . great service also . really clean . actually look forward get back room look window . thanx hotel burnham make trip world class city ( home town i m partial ) special . 
 Feb 17 2008 	 still favorite ! 	 return post - Valentine 's Day weekend getaway Windy City stay favorite Chicago Loop hotel – Hotel Burnham ! see construction worker site next door overlook site bother construction noise ; perhaps 10th floor help . Alyssa Front Desk gem ! Anthony ( Conceriege ) ; Alex Gus ( Doormen ) ; Alex ( Bellhop ) ; staff Housekeeping Room Service . we eat Atwood Cafe Saturday night prior enjoy musical two block away ; many ' theatre - goer ' . meals delicious , cocktail well prepare wait staff pleasant professional . ' look forward next Windy City getaway return Burnham . 
 Feb 1 2008 	 beautiful history 	 stayed twice send others- hand everyone 's favorite Chicago hotel experience ! incredibly preserve historical building comfortable beautiful room freindly helpful staff- restaurant gem can not beat location . 
 Jan 29 2008 	 Best Kept Secret 	 stay Burnham three time jewel ! staff amazing concierge assist need ! location theatre district perfect . walk Wicked Oriental , Jersey Boys Goodman almost theatre . ( see show -- fabulous ) . restaurant hotel , Atwood , outstanding dinner , especially pre - theatre . book dinner reservation book hotel -- busy theatre goer . location wonderful shopping -- Nordstrom Rack next door , H & amp ; , Old Navy , Filene 's , TJ Maxx , Gap , State Street Macy 's ( formerly Marshall Field 's flagship ) right . easy walk Michigan long convenient walk Mag Mile . Millenium Park quick jaunt wonderful place run . , Gehry bridge lead right lake shore bike / run path . spring summer free Yoga Pilates class Park ! hotel room small elegant fluffy comfy bed . hotel room clean hotel well run . archtecture lovely . stay month husband 's business -- staff make we feel like & quot ; home away home . & quot ; construction plaza across street -- patient driving . cab know detour . ( drawback -- fitness center on - site -- nearby sister hotel w / fitness facility -- Bally 's street close weekend ! ) . 
 Jan 13 2008 	 Hotel Burnham Amazing ! 	 stay Burnham hotel last July 4 night partner love . small tour USA hotel favourite far . the hotel great location theatre block two away , 5 min Millenium Grant park , Michigan avenue 5 minute walk macy right accross road . also lot restaurant nearby food hotel restaurant look lovely reasonably price although not eat want get see Chicago . the staff hotel friendly helpful free glass wine snack every evening . also complimentary coffee muffin breakfast get early miss muffin , find last day ! hotel non smoke lovely art deco inspire theme . room huge compare room stay trip clean . window also look onto main road noise never issue . the downside hotel although lobby look impressive really enough seat great wine reception breakfast although take coffee go . I hopefully back Chicago soon definitely stay Burnham ! 
 Dec 30 2007 	 Good hotel 	 Burnham good boutique hotel ideally locate near shopping theater . beware loud construction take place across street hotel hotel recently get rid fitness center . able , book suite -- regular room small . Atwood Cafe 's food outstanding , though bit pricey . 
 Dec 19 2007 	 Room View 	 spend long weekend Burnham December . read review massive constant construction across street , call advance offer place high floor , give sleep - kit need , not . exterior work seem finished , never problem . get great rate ( thank Zipcar discount ) room obviously worth much . queen room not huge , ' ve see lot small , view 12th floor magnificent make seem much spacious . comfortably appoint , chaise bay window , read , relax , watch snow fall be lucky enough . hotel also perfectly locate sightseeing get around neighborhood town . complimentary wine hour well appreciate popular , small lobby get cramp . good bring room enjoy view . 9AM shut - off complimentary coffee seem bit early , 's Lavazza shop next door . otherwise staff gracious accommodate around . positive experience . 
 Dec 18 2007 	 Burnham recommend experience 	 Hotel Burnham recommend experience anyone exhaust bland environment many major chain hotel . first , ambience quite nice , up - to - date interior design exploit charm historic architecture quite modern flare . wife stay small room available ( queen bed ) , overlook State Street , find space large enough need . room clean , comfortable , visually pleasing . view Christmas Tree Macy 's make romantic quaint . staff quite professional friendly . overall , top - notch service great experience . addicted Kimpton hotel stay often possible travel . review find credible without constructive criticism . little serious criticism hotel , find food selection , particular , wine , restaurant slightly overprice consider competition world - class dining area . however , food service still , by - and - large , average . consider many respected hotel much bad food quality inflate price , hotel 's dining definitely ahead game . overall , memorable hotel stay . Hotel Burnham luxury reasonable price . 
 Dec 16 2007 	 one Best Chicago 	 stay Friday night Burnham ( 12/14/07 ) . Favorite Hotel Chicago ! take advantage one day Sale September , receive great rate King Executive Suite . corner room look State street , 6th floor . BEAUTIFUL ROOM , spacious . staff Great . centrally locate Theater District . quick trip State Morton 's dinner ( 1.5 mile , short cab ride ) . definitely romantic hotel ! presently Noisy outside . build new skyscraper across street . know will & quot ; Hear & quot ; . awoken 4:30 Satuday , 1/2 hour . UNDERSTAND may quiet experience . look First Class , romantic place , right loop . hotel . 
 Dec 12 2007 	 Wonderful Hotel 	 stay three night Thanksgiving . impressed hotel make stay memorable . the hotel situate theatre district convenient everything minute away . it beautifully renovate old building maintain immaculately . corner room large amazing view city . staff overall , particularly front desk concierge , could helpfull exceptionally welcoming . complimentary wine evening coffee morning lovely touch . foyer small cosy . one small drawback one small bar locate restaurant . notice noise building opposite appear nearly complete . overall hotel must stay Chicago would highly recommend anyone look something central outstanding staff special surrounding . 
 Nov 25 2007 	 Dissappointed 	 Stayed & quot ; Looptopia & quot ; .Some short - stay guest might great day two . our week - long stay however , allow we get quite familiar hotel . it be compromise . pay extra 2 - room suite . both room small . lack space baggage ( ok overnight bag ) , bathroom small w / chip sink & amp ; worn showerhead . front desk staff ok give we incorrect subway direction & amp ; florist suggest lacking service , choice & amp ; freshness flower . doorman often non - existant .. poor service Atwood Cafe include stained chinaware . room safe locate floor closet .. low light & amp ; on - the- floor- location seem thoughtless . as wife require injectable medicine , ask Front Desk appropriately - mark disposal container . hand small , plain plastic bag & amp ; tell room cleaning would pick use needle tidying room ( ! ) . hotel ' ve stay Chicago give plastic , sealable container renowned & quot ; hazard material & quot ; logo . Burnham , though . 's credit , loop location , great window , historic & amp ; charming ambience & amp ; nice touch throughout hotel nice . tally experience week , admit 's kind stay . 
 Nov 21 2007 	 Great Boutique Hotel 	 stay Burnham 7 night early November despite night time construction , love place . 9th floor jack hammer audible , especially annoying . clean morning rush hour , be really quite amazing , maybe be architect speak . case , service excellent , location beat room adequate . 's historic building . read history board elevator lobby . huge conference glad blow package deal opt hotel . ( nearly rate deal ) give 4 dot feel courtesy warn construction warrant . would still stay , know would prepared we . 
 Nov 19 2007 	 great hotel despite construction 	 stay burnham 2 night read many review ready construction noise , confirm go 24 hour day . however sleep ear plugs problem , partner slept say sleep fine noise bad air - con hotel room , 4th floor opposite construction site . perhaps lucky work heavy reviewer stay . the hotel superb , staff friendly , beautiful lobby , room although big clean well furnished , evening turn service nice . no coffee room starbuck free lobby 6.30 morning . walk hotel state street , washington station blue line 1 block away direct service ` hare . 
 Nov 18 2007 	 Construction noise unbearable 	 beautiful hotel , 24 hour construction directly outside hotel underway right continue time make unbearably loud place stay . note review , call first get detailed answer permit issue night work plan stay . 
 Oct 28 2007 	 beware construction noise : CALL first 	 jackhammer still go night check . Front desk give we earplug . could move room high floor . make sure call book . move tomorrow another hotel . 
 Oct 26 2007 	 stay amazingly influential architectural gem ! 	 although room may smallest ever stay -- accommodation lovely . linen , toiletry , decoration lovely , lobby amazing . stay be right middle everything , walk room , see great detail famous building . amazing job rehabbing building -- leave much original character . not feel quite like hotel , still retain office building feel , much be uncomfortable . willing trade space somersault room retain look feel Reliance Building . will love huge window room metalwork lobby 
 Oct 15 2007 	 worth money pay 	 staff friendly attentive need . however , cupboard door contain refrigerator broke . call someone desk fix . open fridge , pack alcohol . could not get personal item fridge . arm chair room dirty robe provide smell bad old . water pressure shower bad . spend additional 10 - 15 minute shower washing soap . could not recommend hotel . pay price be ask , expect well quality service amenity . instance , not provide empty fridge , microwave , coffee maker , room need update . tv cheap / old . obviously try save money . 
 Oct 4 2007 	 Increadible ! 	 much research fear stay Burnham weekend getway catch Cubs Cowboys Bears ! fear read construction go might loud problem . wrong count gamble pay get great reward increadible experience . Kimpton property come surprise customer service top notch hotel room unique say least . we stay 10 floor two room corner queen king room . queen small expect stay New York prison cell either . queen room small one long wide make use space way cookie cutter chain . bed canopy great bathroom roomy enough we huge either . king room folk stay considerably large less unique . corner room square retangle queen room space concern price king much . king queen available take finace love queen room though small spend much time go cozy spot curl long night town . size concern go king big guy several bag like queen room 's corner location . we delay retrieve bag O'hare follow Cubs game 40 minute check change get Soldier Field Sunday night Bears Cowboys game follow treck back airport . zip we get bag upstairs time cab wait we upon return downstairs game . make time kickoff Cowboys win ! say enough staff help recomendation . even night street work going let cab around barracade front door . short walk red line another block blue , perfect see town . building take back time almost feel like black white movie old window type door iron work wall . really word describe unique building hotel maybe good way put . Burnham true & quot ; old school & quot ; gem touch 2007 . chance give try well worth . increadible stay ! 
 Sep 13 2007 	 one favorite hotel anywhere 	 ' ve stay Burnham bunch time business leisure travel . place fantastic . comfortable stylish room , really nice restaurant ( great breakfast dinner ) , terrific location be attend meeting Loop , ideal spot respect rapid transit tourist activity . Blue Line O'Hare stop right around corner , not worry cab long walk get hotel airport . Millennium Park lakefront couple block away . be also right theater district , find free time week walk try last - minute ticket musical . Burnham 's staff member always extremely gracious helpful . favorite Kimpton property Chicago - Hotel Allegro Hotel Monaco nice , Burnham extra step up . one caveat : 's old building , room not huge . build great character everything spotlessly clean modern , room size not much issue . also will not prime shopping district , be easy take bus cab ( long walk ) shop North Michigan Avenue . 's fun walk way Michigan Avenue , bring comfortable shoe enjoy scenery ! note construction go across street moment , might daytime noise alter traffic pattern stay near future . not let scare . 
 Sep 11 2007 	 plus minus 	 choose Hotel Burnham first visit Chicago 's location , work well . could easily walk Millenium Park , Grant Park , Loop sculpture , Art Museum , Magnificent Mile . bed comfortable . room well appoint , small . place put suitcase . set mine stand short hall bathroom bedroom . Labor Day quiet , Tuesday morning construction next door ( view ) start ~7:30 . wine taste nice , without munchie ( need wine ) lobby small everyone sit . 's interesting building architecturally , small room , small lobby , breakfast , pool place congregate , feel overprice compare property consider . course not stay property yet , try return Hotel Burnham . 
 Sep 11 2007 	 really responsive feedback 	 ' ve stay Burnham four time . one early stay difficulty let hotel know via survey . responsive give another try worth , treat well upon return stay . room comfortable term cleanliness 's hit miss . two stay room clean two stay drapery dusty furntire dusty well . ' ve also experience Atwood , either rock 's pretty darn bad . ' ve really bad service twice four time 's nice . also find restaurant open feedback via thi guest survey well . 
 Sep 10 2007 	 beautiful hotel - pleasant helpful staff 	 not stay Burnham , feel write anyone else might . walk ask direction Lew Mitchell 's ( well - know breakfast place ) . front desk could accommodate . look address , print map we . also let we print boarding pass flight afternoon even though not stay . lobby old - world ( even though 's old ) beautiful -- actually , lobby small , rest main floor hotel restaurant pack brunch - ers . take peek elevator area , whole thing lead us conclusion 's will stay next time be Chicago . 
 Sep 10 2007 	 like everyone Else - Love Hotel Burnham 	 's much say Hotel Burnham , love like rest reviewer . think 's great value location everything else hotel . service great . downside room not coffeemaker .... however , ask one send room immediately . restaurant great dinner breakfast . become & quot ; & quot ; hotel Chicago . oh , can not beat location blue line subway , take right ohare . 
 Aug 31 2007 	 absolutely wonderful 	 nothing good thing say Burnham . family travel Chicago every year Christmas , see hotel decide try . arrive , later origionally plan . , hurry make dinner reservation . staff understand situation , thier good make sure take care , even call restarunt tell way . get room , soft music playing , view room gorgeous . stay three night , already plan stay year . would reccome room anyone travel Chicago . 
 Aug 25 2007 	 wonderful ! 	 wonderful hotel , great location , really excellent service , decor , comfort . great night 's sleep . right heart Chicago . 
 Jul 19 2007 	 Excellent Hotel 	 wife take advice TripAdvisor reader disappoint . Burnham excellent location heart Loop . convenient public transportation . red line outside door , blue line ( O'Hare ) block away rest el line catch via transfer another station 2 block away . Marshall Fields department store ( Macy 's ) caddycorner hotel Millenium Park short ( 3 block ) walk . area lively one feel safe walking evening many people out . the hotel renovate former office building stylishly furnish comfortable . room small nice . construction wing hotel 's outface side , quiet enough not difficulty fall asleep . wife happy buckwheat pillow request & quot ; Pillow Library & quot ; . hotel staff extremely friendly helpful obtain tour ticket we print airline boarding pass . opportunity eat Atwood Cafe ( hotel lobby restaurant ) , usually busy menu look good . enjoy stay Burnham Chicago immensely disappoint member ' advice choose hotel . disappointment , minor , hotel fitness room eliminate favor meeting room . however , direct sister hotel 3 block away ( Allegro ) exercise stay . easily understand Burnham popular member . 
 Jul 10 2007 	 's hype ? 	 stay hotel 3 night base review Trip Advisor . can not see excitement . average small hotel . yes staff friendly really say hotel . room clean SMALL . husband 6 '' 1 foot reach end bed 6 inch . room small , lobby even small . need resident lounge . impressed hotel . would not go back . 
 Jul 7 2007 	 Attention Detail 	 wife return extended weekend , OK - July 1 - 5 , attend Taste Chicago festival . 's number year since Chicago look something beat path . Burnham intrigue we decide try . great choice . Burnham refurbish office building . conversion tastefully do . room lack size make stlye amenity . staff quite impressive seemingly always greet smile & quot ; yes , sir ; , Sir & quot ; answer question . would hesitate least stay ! 
 Jul 6 2007 	 Loved ! 	 stay week attend course nearby French Pastry School . amazed find personal service Loop hotel ! comfortable , clean , easy get build quickly . entire staff helpful . Hotel Burnham new home Chicago ! ! 
