bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Mar 5 2009 	 Amenities Good / Service Bad 	 room Thistle fine . single traveler basically sleep go site see . bed fine enough room totally squish like european hotel ( although drawer space quite small . 10 - 15 minute walk close tube stop story terrible service begin . first receptionist give wrong direction tube ( waste 45 min walk begin vacation . never hot shower duration stay . one shower complain . take 3 complaint somebody show , slightly improved temperature tepid warm never get hot . buffet breakfast good expect line slow / inadequate service provide coffee / tea , clean table , make sure butter .... like every morning . internet service fee ridiculous - much cheap airport . 
 Mar 2 2009 	 hotel ok location poor 	 back though would try write fair review worry go . check offer upgrade three time , warn arrive would happen decline . room small clean going spend long room way . get deal ok would pay full price definalty . location hotel really let eat drink want stay local . would walk around night feel unsafe . say day light transport link good 4 take st paul onward covernt garden . take lot taxi . do orginal bus tour would really recomend . also see dirty dancing excellant . visit camden market excellant experenice overall excellant weekend next time try get hotel well location save taxi fare ! 
 Feb 25 2009 	 good budget hotel 	 stay last weekend 2 night , 7 we altogether , family room main building could not fault , double room main builing really impressed twin room across side clean need updating , pay price do not room well other . the breakfast really nice good choice , queue soon go , think people go away moan . the pool , gym area lovely free charge . I feel bargain pay stop would return again . the downfall bar price , apart good hotel . 
 Feb 23 2009 	 Hideous 	 Glad take room upgrade , ( offer everyone ) hate think standard room would like . good area stop London . stand long line 25 minute get cold breakfast . even fresh food kitchen luke warm . good entertainment watch manager get tell guest 
 Feb 17 2009 	 awful 	 trip easily bad hotel experience . book weekend package standard room extend stay London visit friend . deal great consider pool ( rarity London hotel ) , , ever thing , quite catch ! arrive , check ask three time receptionist whether want upgrade cost & quot ; 20 quid & quot ; , decline , decent hotel , be generally require . direct building opposite standard room could not believe dark , dingy cheaply finish building . room miniscule , cheap , ugly furnishing dreadful smell damp . return reception ask upgrade , send another room , equally small , slightly nice furniture . point , contact Hilton Islington offer deluxe room £ 4 , resolve leave . inform reception , advise would lose have pay room 2 pm ( 15 minute ) argue ten minute , offer upgrade suite . check room piece wallpaper tear , decorate orange , yellow , red green stripey wallpaper ( remain ) , size standard room anywhere else ( particularly sweet suite ) . despite happy , still able cancel booking , cost original upgrade still charge . add fact carpet lift wall rip someone tear ' you gay & quot ; foam , impressed . pool draw , give hotel terrible location ( pretty much middle council estate ) , nowhere close eat bar Farringdon generally close weekend . former London resident , even feel uncomfortable location . stay away ! ! 
 Feb 17 2009 	 bad ! 	 book 2 twin room hotel February girl weekend away . show ticket Hairspray include deal . go London come site read hotel review apprehensive say least hear people say . however , ' ve say one good weekend break ' ve ever hotel play part . minute arrive staff helpful , even book we car hotel show good price . room next clean good size . gather annex bit , room bit old fashioned , decor not bother we . give fresh towel every day could adjust heating whatever like . breakfast busy around 9 am , go back room get ready first , Saturday Sunday barely queue 10 am . food nice plenty ! location fine . not much way restaurant bar tube simple 10 minute walk away always taxis outside . king cross Station 10 minute ride away taxi , give idea close thing . thing say negative bar price . even London pretty steep . would definately use hotel , reason might many other choose London would like try another location . 
 Feb 15 2009 	 Decent HotelBad Location 	 partner stay hotel two night arrival ask would like & quot ; upgrage & quot ; .We decline offer twice , inspite get free upgrade anyway ! do not get rip say yes straight away . the near tube station Old Street 10minuite walk.so far . the location hotel great get cab go late night get lose do . room fine bed abit hard everything clean . breakfast decent take get seat would go breakfast 9 am , hair grill tomato , nice ! afew staff look little lost get quite busy breakfast time . other good stay would probably go bak do not put review . not everyone experience . 
 Feb 4 2009 	 ok money 	 pay £ 79 single room breakfast , good price central London . single room small clean . staff competent friendly , buffet breakfast excellent . location bit remote surrounding inspire , excellent fish restaurant right next door king Square , lot eat place within short walk great real ale pub [ Old Fountain Baldwin Street ] five minute away behind Eye Hospital . rate include free bottle house wine bar feel bit place among laptop mobile phone Blackberries stick pub : hot salt beef sandwich bowl chip £ 5.85 wonderful beer . would stay : yes 
 Feb 2 2009 	 simply dreadful 	 dare charge price ? £ 120 night wife offer tiny room ever see major hotel . complain give big room still much small TravelLodge Premier Inn . ( - course - try sell we upgrade , everyone ) . everything shabby . furniture seem old . bed hard . plumbing noisy . one set towel one set shampoo etc double room . ask , member staff totally sniffy aboiut request help , charge £ 10.95 second rate breakfast . nothing would make we go back . 
 Feb 2 2009 	 breakfast time zombie 	 stay last weekend . book room ready ask want pay £ 10 upgrade_the receptionist ask every one else too - must standard practice . one room ok size although wallpaper mark scruffy ; room , 2 floor tiny ! eventually give well room next door first one . breakfast laugh people queue reception later 8.30 , even though load empty table . wait staff amble around clear plan . hygiene non - existent 1 waitress sneeze fork put clean place - this turn napkin hide greasy mark . clean cloth use clean table wipe clean cup . McDonald 's staff train much well high standard comparison . would stay . 
 Jan 24 2009 	 Family weekend London 	 book two room close get . son room corridor scare little . the room comfy clean hot drink make facility . at breakfast walk around teapot fill everyone 's cup , instead give table teapot . the dining room staff look bewildered , land . there dead bluebottle sausage breakfast buffet - eat nothing hotel go Macdonald 's road instead . it bad area child ask we money whilst walk tube . feel uneasy - especially walk back night ! sleep , shower go early day . 
 Jan 21 2009 	 Barbican Thistle Hotel London 	 get back fabulous weekend break , child . book two room Barbican Thistle , arrival informed room next request , upgrade room delux compensation . the room nice , bathroom mold bathroon ceiling shower screen . bed comfortable . we queue half hour morning get restaurant breakfast another half hour get buffet breakfast , relay table keep give away resident , hotel staff ! ! good 15 min walk near tube station . 
 Jan 20 2009 	 Perfect weekend 	 give weekend surprise 40th Birthday . read previous review concerned go ruin whole weekend , need not worried . extremely good weekend yes even include hotel . disability surprise call hotel day arrival ask possible first floor room . arrival pleased able get straight room 11.00am second block first floor . pleased room enjoy stay . breakfast good queue staff efficient seat everyone quickly could consider number guest go smoothly . would certainly stay hotel . area , walk Old Street ( close ) never feel vulnerable . 
 Jan 12 2009 	 bad 	 reading & amp ; hear story build hotel , upgrade arrival ensure room main hotel . room hotel generally fine . great location though , 3 tube station lie little far walk . 
 Jan 7 2009 	 keen 	 work book hotel , mean pre - pay needless say go wrong moment enter building.despite state work pre - paying room room not pay . much arguement ignorant staff unwilling help go food . receptionist even call supervisor basically shrug shoulder walk , helpful.i enquire prior travel stop serve hot food know would check late ( 10 - 11pm ) , ask receptionist could get hot food , tell restaurant close hot food available . go onto change story mention rang confirm , hot food available another bar.off went bar , burger chip ok pricey , accept london.ok tired point room go , open door flick light switch light , fumble around look key power slot thingy , nothing , try light use mobile torch , nothing . call desk , tell 's master switch door . ok thought . could not find say switch , try call back answer . go see concierge poilte really want help , fact ask could wait paperwork important annoyed me.we go back room , check fuse box , trip lock nothing could do.back desk go , eventually get offer new room , well one , deluxe believe call . new room fine , date , lot old red wood etc . would not agree & quot ; deluxe & quot ; though.went check , still would not accept room pre - pay . pay it.i would not recommend hotel , ever . 
 Jan 4 2009 	 dreadful 	 ( family 3 ) stay hotel box day night day London wish return home instead . all round service dreadful . room dirty , shabby electric downright dangerous , much husband one complain take photo . mould tile ceiling bathroom , filthy stain carpet ( could really sick ) . 2nd room change hot tap bath come husband hand squirt hot water everywhere soak hot water first room . we stay Thistle hotel fine shocked appauling excuse four star hotel , would honestly well travel lodge . the staff could actually speak english rude idea anything happen within hotel . not seem slight bit worried ( even Managers ) bad time , one actually walk away laugh complain husband serve ice cream obviously thaw re - frozen restruant . so many thing go wrong one night stay end funny , especially realise everyone else stay place terrible experience . especially feel sorry family Belgium advise travel agent stay hotel good restraunt couple Yorkshire mis - fortune stay Christmas . when check tell reception staff problem encounter truely bother all . I would never stay hotel even desperate . 
 Jan 1 2009 	 Disappointing 	 hotel bill four star , three star establishment stay well . the room terribly small , almost claustrophobic , little room move around . indeed use desk way wife could cross room climbing bed . there soundproof . stay New Years Eve room next door return room 03:15 friend . let us say wall thin know every detail emotional turmoil one woman go . although afvertise Thistle City Barbican , away Barbican Centre run area . indeed lively middle emotional event next door distract mass brawl street ( 03:50 ) .due number guest take breakfast overspill area . breakfast buffet toast available . in summary experience Thistle Hotels good one great disappointment . 
 Dec 31 2008 	 's Ritz ... be fine ! ! 	 many previous review unfair hotel . really fine , look basic , clean , comfortable affordable accommodation London , night 2 . high class luxury hotel . not come close ........ experience good service polite staff . choose hotel attend concert Barbican Centre . name hotel little misleading . location beat track , Barbican Tube Station Barbican Centre 10 minute walk away residential area . minimal local amenity restaurant . head back West end … .only 15 minute Tube . main hotel lobby well decorate modern however bedroom small could definitely refurbishment . say that … this big deal … … our room everything need one night … … we ask towel , one hand towel one bath towel room . towel deliver housekeeping staff quickly . tea , coffee hot chocolate provide room complimentary newspaper available hotel lobby . breakfast buffet style . queue 15 minute table . restaurant busy 8.45am 9.45am . enjoy full cooked breakfast … there basic cereal , fruit , croissant , bread , cheese , ham , yogurt , juice available . coffee , taste fine . book one night stay via Superbreak . pay £ 90 standard double room include full english breakfast . feel get good value money. … .I ' m sure previous reviwer realistic expectation ........ see rat either ! ! ! ! ! ! ! ! 
 Dec 23 2008 	 Fair 	 room book hotel ( i.e . lastminute.com ) seem put old block definetly 2 star quality . transport average . free shuttle run weekday only . leisure centre nice impressed overall . 
 Dec 18 2008 	 Shabby property poor service 	 book room property Lastminute.com ' Top Secret Hotels ' offer . experience first hand , understand struggle fill room typical central London room rate . part hotel tire date , frustrated lack communication staff . specify via Lastminute.com would 2 people share room , check early time partner specifically tell expect check - in later ( would ) . & quot ; oh yes , problem Sir & quot ; , say staff member front desk , suspect time listen busy try persuade dinner hotel upgrade superior room . turn correct , partner arrive , claim knowledge staying room . shamble ! can not quite go far say experience ' terrible ' , certainly would not recommend . 
 Dec 17 2008 	 one night ok area convenient 	 book lastminute.com top secret hotel - price madness city 4 * hotel . guess Barbican Thistle wish would read review book . £ 72 night , fact need one night , describe 4 * could bad ? ? ? stay nice Travel inn , travel Lodges Premier inn . quite dodgy area walk Old Street dark reassuring ! receptionist try get upgrade deluxe double , add breakfast room status ! would ? ? ? Glad not probably would much rip ! room tiny , bed short - 5'10 & quot ; room temperature walk stiffle depsite window open - fortunately manage cool turning radiator ! bed comfortable enough get good night 's sleep - though diagonally across bed ! walk morning hotel reassure safe feeling ! would stay price less £ 70 , know 4 * would get ! long one night use base explore London - WAY ! 
 Dec 12 2008 	 grotty hotel dodgey area 	 hotel grotty room , cleanliness ok however room really run . bed hard uncomfortable , bathroom though need refurbishment . pay dissapointe stay . key card work come back room night go reception get change , another building . area dodgey nice part London , feel safe walk around . message stay . 
 Dec 11 2008 	 mixed 	 location great . good long walk Barbican make name misleading . area residential , quite poor residential although Islington 15 minute walk away lot antique shop market Starbucks . bitterly cold stay front door hotel badly need attention porch stop appal draught blow throughout public area include bar restaurant . lot people complain it . the reception people pushy upgrading even say thank continue upgrade quite expense , deduct card . ask reimburse . during 5 night one refill coffee tea , ask think rather mean they . I do not know tube nearby , do not see one walk use taxi . hugely popular business seem really tourist . hotel restaurant expensive la carte . nearby Jamie Olivers 15 ( must book ) , fabulous fish chip restaurant - Fishwork go one night nice italian family restaurant - Ravello . Islington great place go shop unusual shop include fantastic wholesale decorative item shop buy lovely thing half price less . if stay check carefully internet price . book extra night - hotel want 120 quid basic room , book last minute 72 pound even give free upgrade . cheap room nice really , small old fashioned . double deluxe mile well main part hotel . unless really need stay part town think well hotel , less draughty least 
 Dec 10 2008 	 poor customer service 	 upon arrival hotel seem nice enough , reception staff awful . room small basic ( 4 * ) , shower barely work water freeze cold , woken 9 am Sunday morning maid try get room , despite ' do disturb ' sign door . we order food via room service half order turn ... still charge it . we also book breakfast room Sunday morning , 45 min late call room service number tell ' on way ' ...... 1 hour later still sign.upon check report poor level room service . receptionist rude inform we entitle refund breakfast include price .... even though do not actually get breakfast . I would recommend hotel anyone ! 
 Dec 9 2008 	 ok ... never 4 * 	 stay barbican mum find last - minute deal reasonable price . all satisfied hotel - ok location , within walk distance tube station . nice clean entrance , helpful reception staff good facility ( pool etc ) . room fairly small ( book twin ) ok - decor date though ! whole room clean attention detail lack - dust picture wall etc . , room fine - nice warm cold December night ! balance satisfied ( esp deal get ) really not feel like 4 * hotel . good short - stay would say 
 Dec 5 2008 	 dread visit .... ! 	 absolutely dread visit Thistle City barbican hotel , book hotel back October promotion Lastminute.com website offer hotel room £ 10 night , take opportunity visit friend . however , snap cheap deal read site other appal review place look forward ! ! console fact cheap , 1 night need somewhere sleep . we get taxi Kings Cross cost £ 7.50 really quick . arrival enter lovely look lobby short wait check . approach desk serve young man train receptionist . supervisor helping soon take turn computer system go could not allocate room properly . bit wait whilst receptionist liaise together sort room give key . could not really hear supervisor man say mumble little catch room third floor follow something else word complimentary . think nothing trundle room . we get lift three follow sign room , hallway nicely decorate clean , , course , would see picture room various review site , know come ... put card door turn handle ! could not believe ... big room ... massive bed ... big LCD TV ... nice bathroom ... mouldy bit ... wallpaper hanging .... evidence rat infestation ! needless say relieve quite impressed , possible really lucky , get exact right moment manage get free room upgrade . whatever happen really get fantastic deal tenner ! 
 Dec 4 2008 	 average definitely 4 star 	 stay hotel 2 night 28 29/11/08.the main reason stay get excellent rate lastminute , £ 50 night 4 star hotel London . unfortuantely hotel mean 4 star cheap price prevent annoy . Pros - reasonable location , 10 minute walk Old Street Station 15 minute Angel . able walk Clerkenwell 10/15 minute also . 1 end street get bus direct Euston Paddington station , end bus go direct Oxford Street . con - tiny room . minibar , date bathroom , ridiculous price breakfast ( two cafe opposite hotel ) .Most annoyingly wall paper thin , neighbour wake talk fairly softly . for £ 50 night adequate , 4 star money would extremeley annoy 
 Dec 2 2008 	 great place 	 really worried go hotel read bad review say find hotel great relation food , service standard room side longish walk near tube standard hotel . 
 Dec 2 2008 	 tiny tatty room 	 never 4 * hotel ... ETB give rating beyond . bedroom absolutely tiny , barely enough room get bed side . bathroom also small quite shabby . decor peel dirty hotel regard 2 * get be urgently need refurb . onthe plus side bed comfortable staff friendly 
 Dec 1 2008 	 never 4 star 	 stay hotel weekend London . the room book competative rate seem good 4 star hotel . on arrival hotel unable provide doule room offer 2 single . room tiny , dirty , urgent need redecoration supposedly non - smoking room reake cigarette smoke . for duration stay , tray half eat room service leave corridor stair well . we really suporse poor quality standard service hotel reputable chain . want budget price hotel London weekend -l ook elsewhere . 
 Nov 29 2008 	 good we ! ! 	 return stay Thistle last night . it part package cash Red Letter day voucher , choose hotel choose we . I must say regardless negative review , good experience . we check Friday afternoon , reception staff friendly helpful . room main building nice size modern fitting clean . we go show West end , suppose real let location hotel , either walk tube ( shuttle bus run w / end inform ! ! ) , get taxi , approx £ 15 get busthe concierge helpful advise different form transport , decide risk bus trip ( £ 2 ) , experience ! ! ! claustraphobic not ! ! ! anyway return hotel later go straight bed , nice comfortable bed clean bedding . Shower bathroom clean work well . breakfast bit let , food , service , queue long time table , food front we , wait knife clean ! ! also take age get anyone bring we cofffee tea . Checkout fineall , good experience , reason would probably stay , due location , plenty reasonably price hotel , well locate visit London 
 Nov 28 2008 	 bad price 	 like people concerned read review hotel , however get really good deal 2 night think would risk it . the room date clean certainly bad many hotel ' ve stay . hot room though , sure heating not - ' ve never use fan November England ! ! ! 's true hotel 10 minute walk away tube station be London shopping sightseeing be expect bit walk anyway . although bar restaurant close hotel , 10 minute walk Angel ( tube station ) plenty choose . end night get taxi back hotel less £ 5 really not problem . 
 Nov 28 2008 	 great location 	 & quot ; Barbican & quot ; location title around 10 minute walk away good shuttle bus drop near tube . although public area hotel well decorate , room second floor tired . bathroom see well day appear something grow ( empty ) mini bar fridge ! bed comfortable & amp ; room warm ok one night stay would not want spend time 
 Nov 25 2008 	 FAB stay 	 fantastic weekend Thistle Barbican think post negative review read . room clean , tidy warm . breakfast fabuolous staff friendly helpful . able pick free newspaper also use spa free charge . lovely afternoon swimming pool , sauna steam room catch night Shorditch short walk away . 
 Nov 23 2008 	 bad hotel ever nothing like website photo ! ! ! ! 	 bad hotel London , dirty , damp , heating staff rude . will not give 2 star let alone 4 star claim . I ring comfirm late check - in pre pay double room , arrive get twin room . inform could pay additional fee get grade double room even though book double . get twin room heating room . freeze . wall ceil large damp patch sheet bed damp like room heated day . wallpaper come wall part room bathroom dirty .When rang reception complain tell turn radiator wall room would & quot ; heat & quot ; . receptionist rude seem think weird complain heat room get . November freeze outside- think heat basic ! ? two phone call reception unhelpful rude staff , ask speak manger . eventually move room another twin room . this bad last room , least warm . still damp patch wall curtain big rip they . I stay 3 day eat room service , steak sandwich chip . food discuste ! ! steak look like take half finish meal cut piece cover mustard put two tiny piece bread , chip fryer long hours- crispy understatement ! would never stay ! ! ! go london 4 - 6 time year bad hotel ever stay . 
 Nov 23 2008 	 Life Mars hotel 	 quite possibly one bad hotel ' ve stay year . firstly , not think hotel anywhere near Barbican - 's 10 - 15 minus walk away desirable part north London , especially night . get , reception like airport - empty , draughty soul - less . check ok , be downhill go across courtyard annex . will feel ' ve arrive set tv 's Life Mars . yellow paintwork , smelly , dank room , dirty , scuffed wall cupboard pass bathroom . bathroom will see scuzzy shower curtain hotel room even rank remember student day . aluminium window rattle draft , thankfully curtain least keep . cap miserable stay year , plug kettle blow fuse , knock tv time ! would desperate want stay . avoid like plague . 
 Nov 18 2008 	 central ... 	 although convenient arrive STN airport take Liverpool Express , hotel good 10minute walk underground . what s bad many restaurant around much activity vicinity . always dinner return hotel . we keep remind hotel two we staying room need two set towel . would leave 01 set ! instant coffee packet room . new staff reception every time walk . strange ! one lift repair entire stay 5nights . breakfast nothing write home .... first class hotel , thistle barbican well . 
 Nov 17 2008 	 great public area - rubbish room 	 would hotel , coffee , think rather shabby - much like Thistle hotel ' ve visit . however , need somewhere cheap close City , settle City barbican hotel despite previous visit . when arrive hotel , first thing notice new Thistle branding - chic , lowercase minimal - reflect bright , clean public reception bar area . figure improve cheerfully check in . however , public area room stay sixth floor like distant cousin . twin room old - fashioned cramp . concession modernity small flatscreen tv , beyond chip furniture , suspicious stain curtain shower badly need limescale treatment . stay awake night ear tune annoying dripping noise pipe wall behind headboard . I breakfast room . early slot 7.00 , slip advise early slot could book rang roomservice , , tray arrive , time , 6.30 slot have request . menu card , say ' wholemeal bloomer toast ' , rather give impression rustic , rough - cut bread , fact two slice floppy square - cut bread straight packet . tend measure hotel warmth toast inthe room service breakfast , toast pleasantly warm , even aesthetically par . this hotel quite remote , ten minute ( least ) either Old Street Barbican Underground station . free shuttle bus run either tube station ( Moorgate ) hotel every ten minute , good . overall , one night business stay need bed , fine , stay leisure reason would hugely disappoint . 
 Nov 8 2008 	 good value money 	 husband book hotel last minute break . get good deal happy read ' heart ' city . leave read review website . nervous book wrong hotel - review traveller bad ! arrive pleasantly suprise everything seem nice . pleasant check - in , nice bar area small restaurant . room adequate , quite large big bathroom . need update clean not spend day there . after city day happy spend hour bar area retire . not want eat restaurant serve fab snack bar . drink expensive expect London . the let around hotel night life tube station good 10 minute walk away - heart city advertise . get city quite expensive underground . taxi expensive . overall , lovely weekend . would go hotel . price pay 3 night stay good value . 
 Nov 5 2008 	 Dreadful Value Money 	 stay one night mid - week business trip pay £ 190 shabby , basic room tatty hotel . non - smoking room stank stale cigarette smoke cramp difficult find space turn . would poor value cost half price . 
 Nov 2 2008 	 poor condition room - glad leave ! 	 stay hotel recently work trip one night close conference centre . whilst staff helpful central area ok room awful . in first room walked find freeze cold , perhaps due window handle break therefore could close ! tv work find ask staff move I . I move big room window close honest overall room standard much well . Bear mind get single room £ 95 ok London - expect fancy room indeed date . find acceptable lack cleanliness . room grubby stain mark wall shower look like hold together rust . restaurant much well , captive audience , surround area lend nightlife - food ok outrageously expensive position near front door make cold dining experience . in one bad hotel stay long time glad leave next day . 
 Nov 1 2008 	 disappointing many way 	 stay hotel two night training course nearby Clerkenwell . overall feel hotel one disappointment , started check last right left . despite name , would not say hotel convenient City . 's mile north Bank , residential area . hotel also 10 - minute walk Angel , Old Street Barbican Tube station - good much luggage . the hotel consist two building ; main reception , bar restaurant together one building . public area actually quite smart clean , not reflect quality room . my room quite small , consider ' City ' hotel . fixture fitting quite worn ; ' safe ' actually come away wall certainly not go trust belonging ! room large , freestande fan , sign room could get hot - , make get good night 's sleep first night quite difficult . I accidentally flood bathroom next morning due leak behind bath tap . see picture seal mouldy . bathroom need refit . at breakfast food service standard . take age ask whether would like tea coffee . bread roll croissant seem stale , bean start congeal hash brown hard . spoon breakfast table stir coffee with . while check not ask whether have enjoy stay . presumably be interested make sure guest good experience . 
 Oct 29 2008 	 Excellant Hotel 	 leave book hotel trip London last year last minute , really do not know expect hotel get great deal Laterooms friend London nightlife not care much ! first impression hotel impressive staff nice helpful . one receptionist particular nice always hello we . the room little small clean everything would expect . encounter problem shower quickly give another room turn high standard ! ! concierage excellant book we taxis anything else require even drive we tube station check taxi available ! ! ! would certainly use hotel future recommend other . food good , although drink quite expensive would expect London prepare ! ! ! 
 Oct 25 2008 	 let thistle 	 book stay 3 night 6 adult group . we stay fair becasue price good pisture web site look nice . we arrive find reception area bright modern , breakfast / dinner area also clean bright.the hotel split 2 building , ask stay main building room highter standard ( expect start ) room block blue / green decoration date.the room verid size clean . the let look close wall floor dirty mark stain they . the wall tile hole pass drilling radiator 2 big rust mark ! ! . lay- tv pusse corner dressing area remind 70 's . noisey 1st night ask could move we quiet room . which main block . this expect find arrive , clean , hole wall tile , quiet , modern , whole room great ! ever would pay upgrade room would stay else . 
 Oct 22 2008 	 people try station 	 land back weekend theatre break barbican thistle wife , honest opinion hotel good staff could helpful room spotlessly clean good decor facility room , spa also big plus trek round London day , breakfast fine tea extremely weak , eat restaurant Saturday night [ carvery ] would recommend it.old street tube 10 min walk away come London walk requirement see site people complain probably irate businessman another bad day people try station life 
 Oct 18 2008 	 UNFAIR REVIEWS 	 read recent review say feel unfair , though 's unusual people take time write good average review - bad experience take time . read rat decide keep open mind . staff excellent - example need locate small road map content unable find , concierge make telephone call use internet produce comprehensive map . go meet friend drink not need much insist . be helpful indeed . staff polite willing assist whatever ask they . the room fine - overly modern , traditional clean . rat evident room . safe room not work . call reception within 5 minute manager arrive personally apologise offer free safe facility reception . food breakfast lovely . nothing well well - cook tasty fry - up morning plenty choice nice - despite high influx people . location hotel not great be use tube - 's good 10 minute walk across concrete terrain taxi always pull outside actually fairly cheap day - vary £ 6 £ 12 trip town ( West end ) . 
 Oct 11 2008 	 Hotel ok Tea / coffee dreadful 	 stay long weekend wife , daughter grandaughter 2 room , sightseeing , inc . trip Duck ( good ) show ( Wicked - average ) . hotel ok comfortable clean . swimming pool fitness suite bonus extra charge good , unlike hotel ' ve stay London levy additional charge ( eg Rembandt £ 12 person swim ) . B & amp ; B , breakfast ok Tea Coffee disgrace . first morning serve tea make warm water weak gnat pee . ask another pot , gave buy pot tea eleswhere later . second morning ask coffee , like treacle , strong . ask Tea , luke warm weak , point give beverage . staff hotel must teach make Good Cup TEA ! ! not know important ! ! ! ! ! hotel bit walk near underground , did'nt bother we , except carry luggage - Taxis need . advertise shuttle bus station / city operate , good . 
 Oct 2 2008 	 Hotel Good - Location Good 	 stay hotel 2 night weekend break london , mainly watch Rugby League final Wembly visit West end show meal . weekend package purchase trave agent . despite read lot poor review hotel book , find Hotel good , room clean small , big problem time . breakfast also good short wait seat hotel fully book weekend . find Hotel good value amount pay . the main problem location . 's 10 minute walk near tube station taxis West end average £ 10 per trip add another £ 80 stay , could use get Hotel nearer West end . 
 Oct 2 2008 	 rat attack ! rat 6th Floor 	 friend book hotel planning girl weekend London . to start shuttle bus suppose run hotel king Cross exist ! second point : way heel 4 star hotel . room small , date dirty . third point : breakfast joke ! rude waiting staff , cold food do not even bother ask tea , coffee , toast cutlery ignore anyway . last least : second night wake strange rustling sound 3 . put light find huge rat sit dress table ! ! ! ( room 6th floor ) call night manager come room tell much could do rat could long see . please stay - ever 
 Sep 27 2008 	 Average Overpriced 	 stay couple night whilst business London . the hotel pretty isolate there s lot vicinity . colleague car get we around visit London forget ! communial part hotel look ok room pretty tired . breakfast way price toast seem scarce commodity hotel . overall average stay . 
 Sep 27 2008 	 definitely 4 star 	 receiving room key follow short wait reception go room . room TINY extremely hot air flow . small fan make hardly difference noisy night choice keep awake noise fan heat . hotel definitely invest air conditioning . cleanliness room bathroom average , do particularly well room seem date worn . need taxi go evening , concierge helpful get we one sort quickly . breakfast next morning complete disaster . queue 40 min enter restaurant find half restaurant table empty - not use staff disorganise clear plate , not even case full . eventually seat , surround irate customer , one lady next we complain ask countless time still wait cup tea 40 minute ask . service awful - however note fault waitress waiter , however management . load seem system place clearing/ serve etc etc . clue go - staff training would wise investment . food mediocre . go use leisure facility . first time go tell key locker would leave stuff change room want swim . would not find anywhere we put valuable , room key etc . go later swim instead although jacuzzi break . I would never stay hotel , stay several 4 star hotel would say certainly not match rest . room sub standard staff untraine often unfriendly . 
 Sep 27 2008 	 disappointing ....... 	 hotel advertise 4 star establishment reality far ! room ok smell stale smoke even though request smoking room . gym good , pleasant helpful staff . breakfast joke ....... lukewarm , weak tea , coffee much well , cutlery table ask toast 2 morning still wait ........... stay good european hotel bad breakfast service ever experience ! 
 Sep 24 2008 	 Disappointing 	 disappointing night hotel . room shabby though ask arrival wish buy upgrade . big mistake not room definitely shabby well 4 * standard . shower head look like incubation zone Legionaires Disease . poor quality hand towel curtain remade . enough say ! 
