excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 may 26 2009 	 clean safe Central London 	 hotel clean , staff courteous helpful . good breakfast . good location room noisy consider central London . 
 May 25 2009 	 's hotel get know 	 Radisson Edwardian Grafton hotel chain hotel offer combination location , comfort relatively reasonable price London . hotel situate top Tottenham Court Road , next Warren Street tube station , within walk distance three major railroad station ( Euston , King 's Cross St. Pancras International ) . Oxford street 2 - station ride Warren St. station , comfortable 20 minute walk . several bus line stop front hotel within step hotel . hotel appear create remodel several exist building , comfort convenience one expect first - class hotel . room relatively spacious , well - equip . bathroom fine , over - sized bath towel real pleasure use shower . closet house iron board iron , even sew kit emergency repair . room equip wi - fi internet access , free unlimited hotel guest , daily newspaper deliver room weekday morning . the english breakfast available part certain rate package one expect , wide choice edible beverage . traveler aware room rate significantly low week - end . about criticism make check - out time ( 11 a.m. ) bit early , note concierge baggage storage room happy keep bag later day . 
 may 22 2009 	 ANNUAL reunion 	 improve upon perfection ? group use hotel number year year 's reunion lunch well yet . 58 we sit good food , well present , attend attentive staff ( full mark Alfredo Fayssal ) comfortable surrounding ( Warren Room ) hotel well situate ( next door Warren Street Underground Station ) Central London . we hold least one reunion per annum would hesitation choose Grafton future year 's event . 
 May 20 2009 	 Quality Hotel Friendly Attentive Staff 	 stay hotel several occasion year intention stay anywhere esle London . try several other compare Edwardian Grafton . staff welcome attentive , make every effort please . location good close tube station many eat place pub near . well situated activity would wish take part sightseeing . round excellent choice stay length . 
 May 19 2009 	 Weekend Break 	 Exellent hotel , great location , easy walk tourist site theatre land . room comfortable , clean , quiet , although back hotel , reccomend breakfast suggest eat nine oclock avoid wait . all exellent weekend . 
 May 15 2009 	 excllent staff convenient position . 	 staff friendly without intrusive . desk staff , concierge bar / restuarant staff polite friendly . hotel 's good asset . 
 May 14 2009 	 see show 	 travel London see son perform RADA . search hotel want get close school possible would walk distance great pick ! upon enter hotel greet cordially worry nothing ! ! ! breakfast serve AWESOME server pleasant ! also arrive son decide stay we hotel upgrade triple room not worry thing ! nice accomodate employee well , speak English well . location great - underground station right outside door . 
 may 14 2009 	 fancy central 	 Superb service - poor barman not understand difference diet coke real coke , keep get mixed , could not mix cocktail save life . minor gripe excellent experience . bar meal substantial tasty , room plush quiet , security excellent ( access ground floor without room key ) . extremely central , late night supermarket opposite last minute need , comfy bed . 
 May 11 2009 	 nice ! 	 great location , good staff , free internet nice room . need ? bed excellent , not like noise ask room face Tottenham Court Road . 
 may 8 2009 	 good hotel great staff 	 stay one night , order attend social function get room £ 100 laterooms.com . arrive check - in , record booking ( good , lateroom ! ) . however , extremely helpful chap front desk give access business suite , could check email nothing could do , honour price book . good service kind thing make think stay Radisson again . the hotel nice - common area well - present , bar pleasant staff generally attentive . the room good size , not expect large - panel tv - mine little 14 & quot ; job early 90 ! still , not watch tv . also country - mile reception - need leave trail breadcrumb find room night ! overall , clean room , good staff good value . 
 may 7 2009 	 great hotel ideal location 	 want stay centre London could walk attraction want could . tube next door less 10mins taxi king Cross . staff helpful whole stay , booking - in , breakfast room check - out . bag check - out lock away make use last day . whatever ask staff do . 
 may 6 2009 	 great friendly comfortable place stay home home 	 friendly hotel good comfortable room excellent service care guest make welcome . location north side London handy central London mail line railway station access underground close by . Staff afford everyone friendly welcome good service . 
 May 4 2009 	 hotel close euston give great service 	 hotel close tube national rail link . staff friendly eager help . room good standard , breakfast excellent . hotel close enough easy access west end . already book another trip May . 
 Apr 28 2009 	 ok - just ! 	 love London , go someone else pay ( work ) always delight . pleasure 6 time recent month although Radisson meeting first time stay . everything say take view not pay , would underwhelme . it ok location , say near tube station advantage , well hotel stay near tube , average . particularly near attraction , British Museum a15 minute walk British Library , average again . the food ok available time book , staff pleasant delay , , 's customer service . our room indelible foot mark loo seat , ingrain stain bed side shelf . electricity not work , complain , thank nice maintenace man fix it . the bed like , bit cream crackere ( note cockney rhyme slang american reader ) . everyone pleasant , good thing not cost penny , pay £ 155 . bed price would think ... ok ..... ! 
 Apr 27 2009 	 fabulous hotel excellent location 	 stay hotel , initially business also leisure always consistantly excellent place stay . localtion ideal practically next door warren tube station . locate within walk distance Euston station ( king cross fancy walk 10 min ) . also within walk distance shaftebury avenue leicester square tube nearby incase want public transport . hotel exterior average hide gem london term accomodation . public space bedroom complete high standard staff consistantly helpful friendly without intrusive . stay numerous time last year although staff may change quality service consistatly high . the breakfast offer wide range choice hot cold food always good quality . the room comfortable furnish high standard amenity would expect . this hotel always first chice stay london . as well close tube also pleanty place nearby eat well various foodstore ( late opening ) snack etc . room service also high quality . if stay central london recommend stay . cheap hotel reasonably price area . however much fine quality similarly price expensive hotel central london . 
 Apr 27 2009 	 Great Hotel regular business visitor perfect location good value 	 Grafton Hotel ( part Radisson group ) , one good hotel stay Central London . manage combine everything need , friendly staff , nice bar restaurant , neat tidy room , great location ( plenty shop near ) , great travel connection ( 1 minute walk Warrant Street station Victoria / northern line 10 minute walk Euston station ) .All room ( stay 15 different one 30 visit ) come Iron / Ironing Board , iron newish perfect iron work shirt , club gear ! . décor slight oriental feel , plenty wood around give whole hotel classy feel . some service make hotel great one free shoe shine service ( hang shoe door handle outside room provide bag shine night back 06:00H ) luggage store . luggage store simply genius . arrive London room not ready , simple check ask hotel store bag , go enjoy city return later collect room key bag . work reverse , check last day , store bag go office way back collect bag . indispensable arrive Euston way back get tube station early collect bag walk Euston , add 15 minute . regular London visitor , feed back system actualy work . stay option leave feed back actualy read get back you . the staff always pleased see , always ready help , nothing big problem . the restaurant nice , offer good selection english food sprinkle italian Indies dish . menu Grafton ' tempt location one surprise . 10 minute walk Hotel 30 Restaurants . a review would not complete without say Hotel stack local Competition . stay Hilton Holiday area neither offer convenience Grafton . Hilton expensive find restaurant food bit oily . Holiday Inn good location away Euston Oxford Road . opinion Grafton beat hand . 
 Apr 23 2009 	 Hassle free . 	 ' m really London person persuade friend go weekend break see show London . pleasant welcome await we hotel nothing much trouble ( even hail cab we ! ) . room comfortable sleep well meal restaurant nicely present staff friendly obliging . location hotel excellent theatre land . look forward next visit London ! 
 Apr 22 2009 	 4 - star clean convenient 	 lot work play attend spend night room - pro con . the pro spotlessly clean , smell fresh , despite locate right face Tottenham Court Road , quite busy street , double - pan window keep noise reasonable hush . location next Warren Street tube 10 - minute walk Oxford Street big plus able walk back Leicester Square club / pub half hour two night , take 7 - pound taxi next . internet rate also quite reasonable central London hotel . free WiFi room not fast , work big help . also complimentary newspaper appear door two three morning awake there . the con hotel seem needlessly understaffed peak checkout hour . staff duty , dilligent , overburdened . service , especially cheerful , curt , polite , efficient . hotel least 3 attendent duty peak check check hour . be fortunate not hurry checkout time . also , rather surprising hair dryer room , basic amenity toothbrush toothpaste , separate shampoo , conditioner soap ( rather all - purpose hair body wash shower ) , shoe - shine mitt , etc . 4 - star business traveller would certainly expect thing , dash night morning toothbrush would real hassle . Breakfast not include either . the hotel clean convenient , hardly 4 - star experience . 
 Apr 21 2009 	 good location easily accessible thru tube 	 big plus point hotel location central london closeness tube station - fact tube station next door . locate tube line directly connect main shopping area entertainment centre like oxford circus etc - thus do not go thru hassle change line . apart staff nice restaurant good . room well keep . 
 Apr 20 2009 	 tiny Room . 	 find experience Radisson Grafton disappointing . due poor staff , small room ( 375 ) . normally stay Radisson lot work , think bring business elsewhere . 
 Apr 15 2009 	 love 	 previous reviewer must unlucky , stay 1 night partner 4th April lovely time . arrive hotel 2 pm , impressed clean modern look , nice reception area , bar restaurant . inform room not ready yet able leave luggage . not really bother we come see London not plan spend much time hotel anyway , leave bag go explore . come back 5:30ish swiftly check handed room key . room fine , nicely decorate clean . small - ish go London weekend spend whole time room anyway ? ! return later evening find message tv reception ask credit card number incidental charge ... little confused call reception , turn try charge we item mini bar actually take ! quickly resolve , however , reception staff apoligetic . breakfast next morning lovely , plenty choose from - hot cold , staff could enough . overall think lovely hotel , location could fault ( warren st tube station literally step away ! ) would think twice stay . 
 Apr 15 2009 	 nice enough 's room improvement 	 location excellent - step away Warren St. underground station . staff professional helpful , whole place surely look grand enough well decorate . what not like whole place like maze . get elevator , need drag luggage long corridor many turn step reach room . cushion stain , room first floor face bar , really noisy night . need keep window tightly shut . stay one night price pay absolutely complaint . be stay one night , try ask quieter room . 
 Apr 14 2009 	 pleasant stay eventually 	 allocate room 331 initially opinion dark gloomy well smell distinctly like previous occupant . request move show another room sadly develop leak take residence ! eventually give another room fine .. problem cleanliness overall although decor slightly tired . staff however could accommodate apologetic even provide complimentary bottle wine inconvenience . loved breakfast make break good value . bathroom fine tiny . lovely towel . 
 Apr 14 2009 	 Service without smile disgusting room 	 travel alot definitely one bad hotel ever stay . can not believe get good review . staff unfrienldy rude ask question . first reservation lose , sort early check guarantee arrival hear check staff arrive . say would 2 room clean . apparent we get room . room 324 absolutely disgusting . Carpet lift floor filth . air conditioning work , window would stay open honelty afraid touch anything room grubby . wall stain fume cigarette smoke constanly venting . matter much showered lace would feel dirty . can not believe cheek rating dump 4 star,2 would push . bedside lamp shaving light bathroom . appaule , find something well . 
 Apr 3 2009 	 Unfriendly staff - distinctly average hotel 	 good location , nice art - work , be . staff indifferent , & amp ; member staff deliver breakfast room distinctly unpleasant & amp ; rude . complain check - out , meet complete disinterest & amp ; apology . not appreciate lift lid bin bathroom find previous occupant 's rusty razor ... nice . spoilt lovely theatre trip organise birthday . visiting & amp ; would recommend anyone . 
 Apr 3 2009 	 small hotel relax family style . 	 hotel frendly , clean relax lounge bar area family , enjoy snack without go resturant , great like eat like ! . 
 Mar 31 2009 	 Excellent stay 	 stay 2 night last week business , could not fault hotel , check - in fine , room spotless , breakfast excellent lot staff clearing table bring coffee toast . one small complaint price coffee bar kettle room next time will make one there . location excellent work UCLH across road also walk Oxford st one lunch time . load restaurant nearby recommend Mondello Italian Goodge st , reasonable price London . 
 Mar 29 2009 	 Good Location guest room small 	 arrive Friday afternoon two night stay . queue check long not seem enough staff cope amount weary traveller . get room really disapointe tiny ! , rang reception request big room sort quite quickly additional supplement king size room . second room get 2nd floor much big clean noisy window face main room . staff helpful always seem queue reception concierge . location great sightseeing , tip eat out- head towards fitzrovia really nice restaurant area especially Charlotte Street . another tip get breakfast early , Saturday morning 8 am , queue next day 9 am wait 15 minute get table . good hotel let room size queue . 
 Mar 29 2009 	 fault hotel 	 stay month birthday weekend . arrive 2 pm Friday afternoon busy time check . reception area crowd however wait less 3 minute get check ease . first thing like fact 2 lift require key room card operate good security point view . modern room , spotless clean bathroom also spotless , gleam . great view BT Tower window . bed comfortable noise night although back hotel . quite consious Nan Grandad would critital older easily wake night say great sleep night . breakfast fab , long queue worth wait . ideally locate step away Warren Street Tube Station Tottenham Court Road always black cab come along every second . go London time year theatre trip etc would certainly stay . 
 Mar 27 2009 	 great location . Great Hotel 	 Radisson Edwardian Grafton great hotel , situate less minute walk Warren Street tube station , 10 minute walk London zoo / oxford street . excellent hotel , staff friendly , upgrade room extra £ 30 night room great - bad word say really . take advantage valet parking nearby NCP - literally pull outside hotel concierge drive car away ( £ 36 per day beat get train ) handy - hotel easy find easy drive . 
 Mar 21 2009 	 good value excellent staff 	 stay one night March 2009 , stay couple time 2008.hotel handy underground ( Warren Street ) plenty restaurant bar nearby . bedroom bathroom comfortable clean . staff come contact helpful , friendly efficient . receive free copy Daily Telegraph . the breakfast fine good choice decent quality good internet facility 
 Mar 19 2009 	 convenient spotless hotel 	 location convenient underground station . room small side , stay big room . room bathroom spotless think important . go B + b option breakfast fresh plentiful , busy Sunday morning , get early . reception staff accommodate ask move first room allocate road side noisy . would definately stay hotel . 
 Mar 17 2009 	 excellent location next Warren Street tube lovely interior friendly staff 	 hotel excellent two night stay . staff hotel helpful friendly . concierge take luggage store check ... really useful mean not lug bag around . hotel literally round corner Warren St station make really easy get around . Breakfast delicious lot choice ! 
 Mar 17 2009 	 Radisson Edwardian Grafton 	 nice clean room small sixe . double bed atad small especially half 6ft7 & quot ; ! ! ! ! really one complaint breakfast , wait table clean food bring fresh cold ! ! excellent LOCATION , short walk oxford street theatre 5mins away . WINDOW open HEATING PERMANATELY busy ROAD LOL ! ! ! ! go LONDON different HOTEL ! ! ! ! 
 Mar 17 2009 	 Welcoming friendly working day 	 room sometimes small always clean comfortable . the good thing staff without exception helpful friendly . the location perfect business leisure visitor 
 Mar 14 2009 	 Great Location 	 ideally locate right beside Warren Street tube Tottenham Court Road within 10 minute walk Oxford Street . upgrade double studio suite locate corner building . lot amenity close . busy road quite lot noise locate side building not bother dog tired go straight sleep . good selection food breakfast . staff friendly efficient . 
 Mar 12 2009 	 great hotel great location 	 really nice overnight stay hotel . time limit really great tube station right next door hotel - make get around really easy . shop within walk distance also plenty place eat along street ' situate . staff perfectly friendly , check seamless . hotel spotlessly clean room twin room perfect size . Great Shower bathroom breakfast order room good plentiful . would definitely return hotel return London would definitely recommend ! ! ! 
 Mar 10 2009 	 Excellent location - would stay 	 hotel book we Superbreak reject original suggestion read poor review . aspect hotel excellent . check - in efficient polite , even though Superbreak book we 2 separate night use different initial , confuse everyone little . room small side , everything need ; bathroom bath well shower . everything clean . downside room much warm comfort , opening window ( though nice could ! ) mean lot noise street . window close , noise intrusive , difficult strike balance temperature noise . breakfast good , plenty choice hot cold food . Sunday morning , hotel busier , breakfast good lay 2 location , full choice centre room leave hand side ( serve area Monday ) - realise someone pass table plate fresh fruit - fortunately well have finish meal ! location excellent . two tube station ( Warren St Euston Square ) different line close hand ; 2 supermarket less minute away ; great choice restaurant nearby Charlotte Street good thing location we . depend price , would stay . 
 Mar 6 2009 	 want good location ? 	 location great access City . Warren St Tube Station literally round corner . also major road lot bus taxis . walkke ok ! staff hotel always friendly helpful . 
 Mar 2 2009 	 wonderful romantic Weekend Getaway ! ! 	 partner come theatre break celebrate anniversary , hear glow comment family friend Radisson hotel choose Radisson Grafton disappointed ! location Hotel fantastic , one minute walk Warren Street Underground ( Northern Victoria Line main attraction accessible ) . book Deluxe double room ( special occasion thought would pay bit extra ) upon check tell upgrade Suite ! excellent sign weekend go turn ! little topic theatre district area look good meal , would recommend Sophie 's Steakhouse yet another addition perfect weekend ! everything hotel room , breakfast , staff location exceptional would definitely recommend Radisson Grafton ! come back London certainly first choice . thank make stay memorable : ) 
 Mar 2 2009 	 great location good family room 	 great location next Walton Street tube station . good sized family room comfortable large double bed big clean bathroom . room also quiet . we come week - end theatre break great room available we arrive 11.00 a.m. enable we drop luggage freshen explore London . book reception also quick staff polite helpful . the hotel Tottenham Court Road handy Dominion Theatre go evening one stop away tube . also able get snack drink Sainsbury 's opposite hotel open midnight . we thoroughly enjoy whole week end look forward go London week end break near future . hoever , minus point . breakfast excellent child share room & quot ; stay free & quot ; tell would charge £ 17 per child excessive particularly child tend eat half sausage cornflake breakfast . fortunately , teenage daughter decide would rather lie get breakfast something financial relief . however , child want breakfast MacDonalds also cafe next door reasonable . other slight minus point fact complimentary Sunday paper arrive gym basement look rather small uninviting . brochure , hotel symbol indicate swimming pool . also big screen tv Aston Bar rather keep relaxed atmosphere room . 
 Feb 26 2009 	 make bit habit 	 second time stay Grafton . besides centrally locate simply great experience . room comfortable . staff go beyond call duty assure comfort ease . fact second visit welcoming . keep great note previous stay make sure accommodated ask . look forward return . 
 Feb 26 2009 	 great staff good service fab breakfast 	 friendly hotel good staff . breakfast excellent lot fresh fruit pastry hot good need . stay weekly basis keep come back . 
 Feb 25 2009 	 stay regularly good hotel close tube 	 stay regularly business . well situated tube Warren Street 1 minure walk . staff friendly helpfully . particularly Hasan breakfast dinning room . always happy see warm welcome . room good good . nosiey front hotel . lot pub place eat nearby . have recomme . good stay . Brian 
 Feb 25 2009 	 good location would stay 	 reasonable room . friendly staff , reasonable food restaurant good service . 
 Feb 24 2009 	 family friendly warm welcome 	 stay short weekend break wife two small daughter . staff among friendliest polite hotel stay worldwide . restaurant dine excellent . 
 Feb 22 2009 	 Radisson Edwardian Grafton London 	 well price , central location . check quick , friendly easy . also check 11.00am ( instead 2.00pm ) problem - not fancy drag bag around London . room clean tidy , situate back hotel . Red Roses Chocs already champer arrive later ( Valentines Weekend Special ) . voice mail message leave make sure everything okay . go stay show , return get good night sleep - get . could believe quiet - live North Yorkshire hotel much quieter street live ! far , great - something get go wrong - well , thought go breakfast 10.00am . pack wait short - staff breakfast room impressive everything run like clockwork - not get many people without great teamwork staff know exactly . incidentially food excellent well - okay , 's whinge , could do pot coffee instead one cup - live stuff . check easy , quick efficient hotel return . 
 Feb 18 2009 	 great stay book direct good rate 	 stay one night happy hotel , room staff . happy way book , fault . foolishly , thought would cheaper use Lastminute.com . ha ha . go direct . will say this . thank Tripadvisor , know ask room either side back hotel husband hate noise Grafton nearly opposite hospital . receptionist v helpful changed booking around accommodate we . position - next Warren St tube - ideal sightseeing trip would definitely recommend hotel . 
 Feb 10 2009 	 great value decent quality hotel central London 	 stay 3 girlfriend part weekend theatre break pleasantly surprised . hotel 's official rating 4 * , think much base location ( central London ) . price , excellent - quiet , clean , reasonably plush room central location . ask quiet room be light sleeper . ask quiet room back completely undisturbed . 
 Feb 9 2009 	 ok night 	 stay Saturday night , hotel good location literally ontop Warren St tube . staff relatively welcoming , check quick . Room somehwere want long feel like cupboard , dark due bottom half window opaque . could not open one side wardrobe hit back door . walk room bathroom leave immediately 5 stair bed . mean want bathroom night , turn light not trip . not problem fortuntaly TV keep turn self every hour hour , delightful - finally could bear long 7 am get go , bother breakfast . tell lady checking say call , say 2am,3am , 4 am , 5 am 6 am want thing go back sleep , someone come room fix . ( aware cold light day sound stupid , trust , middle night turn thing good idea ) , ask pleasant stay - ; think listen really . would not go back , usually stay City Inn find much well 
 Feb 3 2009 	 Good Budget Hotel 4 * Though ! 	 Radisson well locate - want walking access London Zoo , though top end Tottenham Court Road rather grotty , especially weekend . luckily restaurant Charlotte Street within reach , would not want eat hotel . the room ok , though single large outlook . bed fine , bathroom ( skimpy toiletry ) tv channel available unless want pay film . reception keep send annoying message via tv acknowledge could delete . however , everything need weekend great plus free Wi - Fi available everywhere . if deal , not breakfast . pretty awful - fatty undercooked bacon keep hot light , awful look fry egg , ditto light , surprisingly nice suasage , cold coffee & amp ; flabby toast . cold meats cheese look horrid - curl dry £ 17 , think try hard . go Cafe Republique road toast panini & amp ; coffee £ 5 ! bar ok friendly staff tasteless club sandwich . eat rest time . I think hotel reasonable value - £ 75 night central London not think warrant 4 * rating . however , staff friendly , foreign fine woman . 
 Feb 2 2009 	 Great Value money 	 stay one Radisson Edwardian 's property London last year , pretty good idea quality service offer admit pleasantly surprise great location , condition hotel room facility hotel offer . firstly hotel 1 - minute walk Warren Street station 3 - 4 station Green Park piccadily . be convenient get around city . hotel room relatively big , pretty good condition clean . basement hotel , internet room free internet access ( 6 pc ) , printer etc . good part , room cost £ 85 per night ! friendly reminder , make book online , remember print hardcopy confirmation bring along . case , manage lose online booking despite print copy , tell could offer online price per print . finally agree honour price , round negotiation ( heat ) . 
 Jan 28 2009 	 would never stay 	 give smoking room despite book non smoking room . query tell room available unless want travel sister hotel . apology get impression say room available . not sleep noise unbearable . would never stay base service . however , location breakfast service v. good . 
 Jan 27 2009 	 enjoyable stay 	 although wife stay one night ( theatre break ) agree hotel room clean well present , staff helpful friendly meet long time . I would recommend hotel ( ' the Sound Music ) anyone . 
 Jan 9 2009 	 Awful Staff . treat like dirt . 	 staff rude mess order , give wrong room , somehow fault . treatment FETTA duty manager time . room dusty , can not say they re awful . they re basic , adequate enough spend one night . long would probably go crazy . bad hotel london staff . find booking system , glare partner tell we probably thje wrong hotel have not book hotel maybe try Holiday Inn ! ! ! ! ! snob , look nose we whole time ! partner turn say something duty manager go say excuse talk girlfriend busy . get book phone internet show purposly put we standard room even though say deluxe suite . take 40 minute . finally get room manager call we say wrong room must move tis fault ! ! member staff manner would help anything.noisy location , close tube soho . 
 Nov 17 2008 	 Sirens night .... 	 theseday , find ' ramp ' review web site hotel staff . this hotel 250 metre Accident Emergancy Dept University hospital Grafton Way . ambulance leave siren blaring return victim later . heavy traffic nearby Euson Road junction neccesitate multi siren / horn mode clear junction . continue night till around 5 seem go quiet till 8.00am - start earnist . front room 418 . double glazing date useless . mention make reviewer . Checkin / generally busy efficent queue 6 people clear 5 minute 3 staff . would stay . 3 star rather be advertise 4 star hotel . 
 Nov 12 2008 	 Great Location 	 stay hotel book Theatre Breaks go see WICKED . excellent show careful say ticket show start 7.30 dot will not get late . Euston Tube right outside hotel fly Gatwick Airport get GATWICK EXPRESS bit exspensive 28sterling return get cheap bus slow get cheap train also slow . Espress take 30min . Express stop Victoria Station get tube Euston . hotel room bite small adequate . London great city lot see . Covent Gardens day HO night . not get TAXI 'S . bus service also good get day pass cover bus tube . 
 Nov 3 2008 	 love closeness Warren Street Station ... 	 spend 3 nites 1st weekend September hotel . after initial upset due Newbie error , reservation problem , good time . Dave Check - in helpful . really like place close tubestation . Warren Street Station . also one hungry dining place close hand.and sainsbury 's grocery store right Across Street . course , big English Breakfast Huge . also note like cottage cheese lot sausage ! ! room cute quaint charming homey feeling . lu ( sure spelling ) big enough be not fussy that . the teapot heater great good hot beverage . telly , much watch sure & amp ; . 
 Nov 2 2008 	 expensive average 	 friend stay one night theatre weekend get reasonable room rate - urge returngood point - location near tube , sight , pub etc ( not miss mini supermarket nearby smuggle cheap drink , fruit etc ! ) , nice bathroom , comfortable bed . bad point - window frame break noisy overnight , housekeeping 's odd decision knock door 9.30am Sunday morning request entrance , bar staff 's odd decision vacuum area thoroughly 11 am try enjoy quiet coffee . 
 Nov 2 2008 	 Great Location Nice Hotel without issue 	 stay Grafton 2 night weekend , stay know expect . fantastic location , plesant staff without problem . as mention reviewer , check joke long queue time day handle variety staff around world - would estimate 50 % could speak English . normally issue problem , wait even long English - speak member staff available help . we 3 room getting pay disappointing frustrating . breakfast good , room size fine . would probably return . 
 Nov 1 2008 	 sophisticated customer friendly hotel ! 	 stay Grafton business trip pleasantly suprise arrive read disparaging review Tripadvisor . reception bar beautifully decorate welcome staff really helpful efficient . single room - , yes , tiny ! - also immaculately clean , well design ( consider little space ) , contemporary design comfortable . the breakfast order room delicious , plentiful well serve - say , come include room price buy separately rather expensive . on leave , hotel receptionist helpfully leave reception hail cab run late - impressed little help nature London hotel ! good experience ! 
 Oct 26 2008 	 great location helpful staff room tiny ! 	 book smoking room pleasantly refreshing day reception staff friendly efficient . arrive room , shock 's size . bathroom particularly small could hardly get loo . locate front hotel noisy Tottenham court road ok . bed however . single ( sure firm book double ! ) sag middle ... disgraceful ! constant & quot ; steam & quot ; like noise come bathroom could not understand , seem logic reason . reception breakfast staff nice , chamber staff need sharpen . one coffee sachet use , never replace ..... ask guess . also believe bed change five day visit , unacceptable . breakfast reasonable , buffet become tired quickly kitchen staff keep look fresh , well do . , nice staff room get nerve end 5 day visit 
 Oct 20 2008 	 complaint ! 	 book hotel secret hotel site .. do not find name hotel pay .. u get discount rate . get confirmation email come review bad .. wen arrive pleasantly suprise . lovely room plenty space , clean location brilliant . arrive around 4hrs early check bring room immediately . could noisey time .. nothing do not expect inner city london . pleased hotel would def stay .. secret hotel price . 
 Oct 17 2008 	 overall happy 	 wife short theatre break London one night stay . excellent location , right beside warren st . tube station , ideal get around city . room well lay comfortable . breakfast excellent , lovely fry . drink bar , absolute rip - off . almost £ 11 beer glass wine . insist bringing charge we £ 1.20 privelage . seem bother business customer bite price aware totally excessive . nice couple pub road drink instead . go shower 9 am water freeze cold . acceptable , however tell wait new pump sort . overall bar couple gripe would happily stay . 
 Oct 16 2008 	 impressed ! 	 first good thing hotel - 's location Central London excellent . it be shame everything else awful . first lengthy check - in queue . get room find key card not work return reception another 15 minute wait . temperature gauge break shower cold shower arrival ( report fault fairness fix ) . first room look Tottenham Court Road opposite Sainsbury 's supermarket . spend seem like entire night listen delivery unload . soundproof terrible . next morning middle shower someone room next turn shower - water come shower finish . ask move another room morning reception . return evening give another room request . keycard work return reception . room back hotel much quieter . neither hairdryer tv remote control work second room . the staff deal ok , many thing wrong ever want stay recommend . 
 Sep 24 2008 	 highly overpriced unhelpful staff impress ! 	 would go back hotel pay ! ! stay many hotel around world vary price quality expect renound 4 * centre London great stopover girlie theatre break bitterly dissapointe . staff rude unhelpful , room , small basic consider £ 200 per room per night price hotel despite offer room service would provide we cold snack midnight Saturday could not even give we information anyone area would deliver food , frequently ask question would think ! also greet Sunday morning site park behind window full man inject something , hotel fault grant would hope hotel suppose calibre would attempt something problem appear frequent park litter use needle . to cap good mediocre experience , ask bar price list checking , tell do not preceede charge we £ 28 5 soft drink attempt include mandatory charge ! ! ! hate hotel , think staff snotty believe hotel rate 4 star ! 
 Sep 22 2008 	 great stay 	 Stayed weekend two child age 1 6 year . great room ( 164 ) - nice size London , lovely travel cot sofa bed . really quiet room central London . staff friendly helpful . breakfast good - plenty choice good quality . great location tube bus , theatre site . overall great stay ! 
 Sep 7 2008 	 Excellent location 	 get home pleasant stay London , due wonderful city . indeed checkin fast , double room quite big clean stylish bathroom bath . staff really friendly , answer question good restaurant town ... breakfast also good . sum : Awesome stay good hotel really well locate , one tube stop Oxford Circus , 3 Leicester Square , 30 meter tube station Warren Street deserve Victoria Northern Line . 
 Aug 30 2008 	 Loved Grafton 	 stay Grafton hotel weekend , excellently locate close london offer tube station within close proximity . check speedily complete , room clean bright good size central london . staff excellent especially return late room service arrive promptly . breakfast pleasant , amenity hotel include gym . overall excellent experience . 
 Aug 27 2008 	 beware Hotel Phone 	 hotel fine room well furnish clean . however , lot hotel guest aware exhorbitant telephone charge call make room . indication charge post room could find bill GBP 9.00 ( $ 18.00 ) 10 minute local ( London ) call . complain reduce 50 % . anyone wish make call hotel pop outside telephone box local ( 20 minute call anywhere UK ) cost 40 penny ( $ 0.80 ) also avoid use hotel phone access free 800 number - nit free call . hotel charge exhorbitant rate . use phone box street , 800 number uK USA truly free . certainly worth walk stair . 
 Jul 25 2008 	 great location 	 like previous reviewer also book Raddisson top secret deal Lastminute find good value 65 pound pay room 1 night . I arrive 5 pm check quick efficient . room single although small clean modern . stay single room london certainly small . bathroom clean airconditione work well good see window could left open seeing room face tottenham court road . the bed large comfortable . the bad point let natural light room open blind face large office block across road feel everyone could see room . also believe pay rate reviewer would feel short change . all , would stay 65 pound like location beside tube station cafe pub around . 
