Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 Apr 14 2009 	 Medicore service old hotel w / large room 	 room large expect . bathroom exceptional water pressure spacious . hotel old show 's wear still be clean . 's rub though . not ask staff anything ... mean anything ordinary . here two example . first , lounge seat party several child . ask move meet & quot ; & quot ; . waiter march never return half empty room . secondly , dislike first room assign face construction site . first , staff rebuff request . finally , relent tell would allow switch room . the front desk staff move make work . seem take delight fact powerless practically beg help . punishment brazen ask room change make wait four hour . average well . 
 Apr 14 2009 	 Superb right price ! 	 family six stay Omni Berkshire Place 3 Doubles week April brilliant time . hotel definately 4 * property service would expect . although 250 room feel like much small hotel floor 35 room plenty lift / elevator , could fault staff single time , everyone doorman receptionist housekeeping staff excellent , although impeccably behave , none prententious attitude sometime get luxury hotel - plain friendly . the room large NYC standard , even though make book Priceline get room half rate advertise hotel website date stay , allocate standard room . email advance ask room high possible , traffic noise issue night NYC location , give room 16th floor , great . pay $ 300 per night , might expect something even well we , choose stay 5 * hotel like Ritz Carlton Mandarin Oriental . the decor old - world , although incredibly well maintanie , hotel show 's age extensive use marble , old - fashioned ceiling cornice , brass everywhere small lift . prefer hotel Philippe Stark cool , might well choice you . be corner Madison Avenue 52nd street , 5th Avenue high end shop 30 second walk west , Park Avenue office minute east . location good New York tourist , Midtown shop , Times Square park etc . within walking distance , several subway stop around corner go downtown . doorman also always happy get taxis we instant rain , would great choice base first trip city . all , superb hotel superb city would definately return could get good deal ! 
 Apr 13 2009 	 great hotel great location 	 family book 2 room Easter , could treat well hotel staff . room upgrade suite , receive birthday greeting strawberry upon arrival ! many friend also stay hotel , everyone enjoy room wonderful location hotel . 
 Apr 13 2009 	 Excellent Hotel great location amazing value 	 stay 5 night impress well manage hotel ; great ( huge ) room , clean , quiet ( 18th fl ) well appoint . perfect location round corner Moma , 5th av , Rockefeller Center etc . absolutely amazing value $ 140 rate find online . hotel top list next NYC visit , business leasure . 
 Apr 12 2009 	 never thank . 	 hotel use , be sure . reserve two double room Easter weekend , request early check - in . get early check - in , room available one hour regular check - in time . not get two double room - one double one king . would not bad careless attitude front desk staff , basically shrug shoulder say & quot ; sorry , be really busy & quot ; .... finally get room , stuffy , small , sore need update . understand hotel due renovation , not excuse lack pillow ( two pillow room two full bed ? ) , wear sheet hole . tv 's ancient , incidental overprice . $ 50 / night parking ? ? $ 6 small bottle water ? ? ? price charge , expect least bed not make cringe . notice management stock response complaint , indicate renovation due soon , address poor attitude staff . husband get impression front desk staff not like , show . 
 Apr 10 2009 	 Horrible 	 starting check brain dead Front Desk agent could operate computer . bellman hand get go . tv 's room 20 tube set circa 1980 . room smell like clorox bleach . hallway filthy vacuum cleaner leave ornament hall day . never use . clean supply leave window sill outside guest room . toilet paper , glass , linen open view . could wait check dump . 
 Apr 9 2009 	 worth money 	 quality room , room furnishing extremely disappointing . stay Chicago Omni , expect quality Berkshire . disappoint . explain dissatisfaction front desk , reaction nothing could . two different type hotel - therefore two different type furnishing . even offer apology , give type resolution . front staff attitude disappointing . also inncident staff member opening door , enter room without invitation . also report front desk . , explanation , apology . deliver dessert apology next day - token far help satisfy . also , front staff explain complimentary morning beverage service ticket . happen see ticket 3rd day stay . , disappointing . 
 Apr 9 2009 	 Great Location 	 hotel fantastic location . easy walk distance Rockefeller Plaza , Time Square , good family love basketball 2 min walk NBA store . need car Public Transport New York fantastic cheap ( compare Australia ) . stay Christmas New Years street quiet sound garbage truck . room small clean , enough room two double bed four us bit room would good . furniture bit outdated . stay 5 Omni Hotels trip probably small would stay location big plus . room service food nice cafe acros road great pizza , open breakfast well . 
 Apr 7 2009 	 good value 	 hotel excellent location , room reasonably pleasant . get good rate Hotwire ( not know place would pay ) , $ 200 per night , great bargain . price similarly hotel , have fine , would equally fine many place . 
 Apr 6 2009 	 Fabulous hotel NYC 	 ' ve stay Omni Berkshire boyfriend three time will not stay anywhere else ! hotel great location , right along Madison Avenue close several subway strop . always find bellman cool friendly , front desk staff professional accommodating . housekeeping staff extremely diligent -- usually leave privacy sign sleep late , every day , voicemail housekeeping let we know call room clean whenever be convenient we . bed comfortable -- great thing ' ve walk around city day ! usually get small amenity ( chocolate cover pretzel bottled water ) stay , probably member select guest program . Omnis not ! , staff location fabulous . room pretty nice -- downside not nice view , face Madison Avenue 52nd quite lovely ! would recommend hotel anyone ! 
 Mar 29 2009 	 Great Location Good Value 	 spend extended weekend New York bargain - hunting end February . not think could afford , Expedia great deal , able pick Berkshire Place stay . always want try hotel , primarily location . request room 2 double bed , give large double room face Madison Ave , low floor . worry street noise , ' m light sleeper , problem . room decor fairly unimaginative , clean , bed comfortable bathroom fine . say , location main selling point . Minutes Sak 's , Rockefeller Center , St Patrick 's Cathedral , really great restaurant . four season east 52nd , west Fifth ave . will find 21 , stop drink end say hello Bill Hillary Clinton ! negative- business center charge almost $ 10 15 minute increment need use computer . sure join Omni frequent guest program go , in - room wi - fi free . all , would stay Berkshire Place able get similarly great deal . love location , frankly mystify Sofitel 's rate much high last Feb stay . apparently economic downturn not affect ... 
 Mar 27 2009 	 Omni Berkshire - great location - great room . 	 went NYC see Jersey Boys . Valet park go room early without hitch . quite large room ny 21st floor . beautiful bath whirlpool tub pink marble shower . bed sumptuous . tv little date . wonderful , upscale neighborhood , surround great store restaurant walk distance theatre . 
 Mar 24 2009 	 absolutely perfect we ! 	 stay Omni Berkshire Place 3 night early month really could not well . wife never New York location primary reason book hotel . location absolutely perfect . would not want anywhere else ... 5th Ave . Madison Ave ... else really say ? everyone friendly helpful . bed unbelievably comfortable . normally can not sleep hotel mattresse either soft hard . perfect . wife back NYC later year stay Omni Berkshire Place ! 
 Mar 17 2009 	 Excellent Location Good Hotel 	 return four night stay Omni Berkshire parent . location , many reviewer note , one good . second trip New York highly recommend stay Midtown travel leisure , particularly near 5th Avenue ( Omni 's location right 5th Madison ) . hotel arguably good value location ; four night stay price Grand Hyatt Central Station Waldorf - Astoria Expedia book via Omni website ! unfortunately , devil detail hotel ; aspect excellent other quite poor . sound insulation room nonexistent . every night could hear neighbor ( different room ) . first night couple return room ( 2 a.m. ) keep we awake 4 a.m. shout quite . second third morning ( around 6 7 a.m. ) could hear child 's conversation next door . could also hear neighbor take shower use bathroom room . a minor issue encounter lack outlet room ( two bathroom one accessible one bedroom ) . , although room three phone ( two bedroom one bathroom ) one work . positive detail include comfortable bed , excellent bathroom layout ( be lot shelving storage expect first glance ) , kind helpful staff . hotel almost boutique hotel due small size . fireside , restaurant lounge , good food lounge room service , overprice relative comparable option neighborhood . overall , ' m sure would stay hotel poor sound insulation . however , could book relatively low price ( compare nice option , Waldorf Astoria ) would consider visit Omni Berkshire Place . 
 Mar 17 2009 	 Loved Omni ! ! 	 get back long weekend NY ! stay omni Berkshire Place , say two big thumb way ! ! ! ! ! ! moment arrive , moment leave , nothing smile wonderful customer service . doormen super helpful , concierge . room great , bed COMFY importantly , SUPER CLEAN ! , plan stay Omni ! 
 Mar 13 2009 	 Spring Break W / E College Kids 	 Hotel expect . hotel offer might need without yet maintain initimate feel . staff , exception gentleman front desk , accomodate friendly every turn . room generous size Manhattan , clean comfortably furnish - great bed ! bathroom great water pressure update feature . corner street side room much noiser courtyard room . sleep important , forgo view extra space interior room . housekeeping room service staff courteous discreet . morning coffee service punctual steaming . hotel great location Midtown Manhattan . situated 5th Madison place we within walk distance Central Park , Times Square , great shopping , St. Patrick 's , plenty dining option . Green Line subway Union Square Downtown accessible within block 's walk . across street Isadora 's beverage light meal service . bellman friendly helpful guiding we time came go . concierge staff also terrific ; Marilyn , Tino Randy helpful offer great suggestion dining , show , general tourist info . drink appetizer Fireside follow theatre one evening . atmosphere cozy relax everything like . staff gracious . business center terrific help resolve problem print boarding pass . patient greatly appreciate . return next visit definitely . 
 Mar 3 2009 	 Excellent way 	 stay hotel weekend break . excellent location staff always knowledgeable helpful . give room upgrade arrival room always service well . good size gym open 5.30 . great place short long break . 
 Mar 3 2009 	 excellent stay Omni 	 stay family ths hotel February half ternm period . we really nice suite allocate 4th floor . do recall road noise tired end day sightseeing . do time use facility reason . we treat respect staff complaint . as many eat breakfast evening meal . fantastic location 10 - 15 minute walk Broadway Times Square . 
 Feb 23 2009 	 perfect good find 	 stay Omni Trip advisor review . pro : location great . would want low 5th floor street noise ; 7th hear bus day night , matter , fine . staff friendly . sign Omni reward , get free wireless . room ( Premium King room ) big NYC , bathroom update , bed comfortable . turndown service nice . put privacy sign door bother housekeeping am.con : oh Liz , fellow 7th floor guest , know ; hope , fear , 3am deep conversation visitor . ' m sorry not catch last name wall ; not think guest know either throughout hour long conversation . partly fault ; hear much project voice cell phone call early afternoon change room , instead assume manner speak softly hotel wee hour . con ( MINOR , people care ) : glassware outside door check wait collect housekeeping . still check . damage furniture , little peel wallpaper , tv could use update . phone handset not work . fitness center several different machine one turn treadmill . oh , park two block away . for pricerange Midtown , hotel one well one ' ve stay . noisy neighbor not fault ; maybe add insulation renovate place . 
 Jan 28 2009 	 Omni Berkshire special ` ` Place '' NYC 	 return four - night stay Omni Berkshire Place . moment arrive feel home . it fourth visit New York know way around 's location 5th Avenue outstanding . we junior suite 19th floor look 52nd Street fantastic , bed comfortable turn evening lovely touch . bathroom quite large New York standard lovely . staff check , bellhop maid service freindly , pushy really make feel welcome . the Omni also Bar Restaurant call Fireside , not eat food look good . use bar evening find atomosphear lovely drink price good New York hotel . couple tip , ' book breakfast ; one blook Maddison Europe Cafe , Manhatten offer great food breakfast lunch super price . restaurant area go : McCormick & amp ; Schmick 's 52nd 6th 7th Avenues , fantastic sea food good price . China Grill W 53rd St , great food pricey . wonderful trip , helped stay Omni Berkshire Place next year trip include return Omni , ' stay one friendly Hotels New York will not stay anywhere else . if go New York look Hotel ' expensive , offer good value , Omni Berkshire Place may bit ' worth every cent ! 
 Jan 15 2009 	 recommend hotel 	 would stay . young man front desk impolite we check . discourteous apparent reason . employee professional housekeeper rude not seem like use lobby bathroom . encounter unexplained hostility two employee make question management . also , doormen / bellman would stand talk watch we open heavy door wife try push stroller carry bag ( often rain stay struggle umbrella even would cooly stand watch without open door even acknowledge we ) . room shabby . foam stick hole upholstery chair . read hotel plan renovate room overdue repair . room properly maintain guest . friend ' room face dark alley loud construction noise long - term project next door right window day . rudeness several hotel 's employee rough room really detract otherwise wonderful trip . 
 Jan 3 2009 	 ok stay Big Apple 	 Omni Berkshire offer nice location 5th Ave Rockefeller Center . suite book available offer downgrade small room . child sleep single bed set next couch allow enough room room sleep comfortably . hotel describe & quot ; kid - friendly & quot ; family stay hotel . staff kind exceptionally helpful . hotel restaurant ( Fireside ) offer unusual dinner menu fall short & quot ; fine dining & quot ; . food deli across street hotel offer well food wait staff warm friendly . experience unforgettable asit time spend together family certainly 4 star . 
 Dec 29 2008 	 one good 	 want thank Omni making trip NYC memorable . family fall hard time right Christmas almost cancel trip . able get together take daughter Christmas . everyone Omni wonderful . room spacious immaculate . staff accomodate friendly . time able get back , stay Omni . thank make holiday special . 
 Dec 28 2008 	 Omni Berkshire - good not - so - good 	 stay Christmas weekend family . would not necessarily call 4 - star hotel . lobby lovely , service nice . location could not beat . workout room quite nice . bathroom spacious . good - wall like paper ( could hear tv next room ) , elevator not always work ( get stick first night ) , since 3rd floor , could hear traffic street noise night . lot choice NYC . would not pick one . 
 Nov 18 2008 	 love Omni Berkshire stay 	 stay Omni Berkshire October 2007 . totally forgot leave review back . anyway , stay excellent . arrive late day friday afternoon . immediately upgrade suite . even though view construction site , interfere weekend sleep time . suite nice room . living room , seperate bedroom seperate french door really nice marble granite bathroom . the bed extremely comfortable , sleep great . also robe room use it . in morning , receive complimentary coffee hot chocolate , since member select guest club . downstairs across elevator concierge . use recommend place breakfast also call ahead leave reservation we . on day leave , check able leave bag locked hotel go view city . great hotel , great stay . come back Omni Berkshire soon . 
 Nov 11 2008 	 Great Location 	 partner stay two- week break love . really amazing room good size , great gym , good turn service staff friendly - ish ( catch attention seem ) . can not beat location shopping get around , train block away always grab cab ( walk ) want go . little pricey worth . 
 Oct 30 2008 	 Loved ! 	 read recent review think must lucky do not know ? ? ? ? fabulous stay first time NY right middle everything noisy . Ou room upgrade arrive son take yummie toiletry room ! staff friendly could not enough we . would definitely go back recommend ! 
 Oct 27 2008 	 Nice hotel great loca 	 great location , clean quite room . staff polite helpful . restaurant fine food . minor issue room lock , responsive . make sure book trip Quikbook.com . good rate ' ve find ( well orbitz , hotwire , etc ) . doug 
 Oct 6 2008 	 pretty Good NY Hotel 	 husband get back weekend New York Omni Berkshire Place . book room Priceline get great deal ( $ 225 / night ) . hotel centrally locate Midtown -- close Columbus Circle Central Park . hotel pretty nice -- room small ( NYC concerend size ) , nicely decorate clean . mention pay actual go rate hotel -- somewhere mid $ 300 's probablly would disappoint , especially particular room give 3rd floor look hotel 's landry room . since get deal time spend room sleep , fine . overall think hotel staff nice . concerige desk set dinner reservation , theater show , etc . say location great sightseeing -- husband actually walk way Met , late 20' / early 30 's friend SoHo West Village spend lot time cab . want action ambiance NYC probably hotel . 
 Oct 4 2008 	 good Omnis 	 return 4 - night stay . ' ve Select Guest member 4 year , stay several Omni hotel throughout country . far least attractive least comfortable . chief complaint misleading room photo Omni hotel website location , show Superior room bear absolutely resemblance room get . Omni website Berkshire Hotel describe Superior room ( upgrade & quot ; Deluxe & quot ; ) & quot ; large , bright room face 52nd Street & quot ; show photograph attractive , good - sized , richly decorate room gleam appointment . base information , book Superior Double double two adult two child via Omni website . arrive late , check ahead time via email early check - in service guarantee room . family 4 arrive 10 pm , usher back dank , dismal corner hotel open door find give one small room , view dark dirty interior alleyway . heart actually sink - feel . disappointment ! immediately pick phone ring front desk , surprise -- phone break . bathroom phone inquire give Superior room , pad . front desk 's response indeed classify & quot ; superior room ' ( ? ? ? ? small room hotel alley view ! ) agree move we another & quot ; Superior Room & quot ; space . move slightly large room south - face side hotel , not dark , decor absolutely first -- old , worn , off - kilter , depressing . tired , stayed try make good , be fun feeling like want anything keep away return $ 550 hotel room ! bright side , concierge universally friendly helpful , housekeeping staff . doorman , however , would soon let lady open heavy door many occasion . I ' ve notice management reply review boilerplate rubber stamp response . unprofessional , tell . definitely stay - dozen dozen well property price range . 
 Oct 2 2008 	 5 Star - maybe 3 Star 	 , average start finish . check , try palm small room booked pay . end change room four time end average room third floor . double glaze good useless , noisy . alternative overlook major construction work . cheap hotel , many , many well place stay New York . positive side location . 
 Sep 29 2008 	 Omni feel like ` ` second home '' ! 	 flight get cancel long layover , call Hotel , would hold room midnight . arrive midnight greet check promptly . room amazing everything hope . since girlfriends birthday even put chocolate cover strawberry room ! bed open already leave light . bathroom amenity need also bathrobe , free beverage newspaper morning , since joined & quot ; Select Guest & quot ; program . nice touch ! review mention noise room , room end floor disturbance . window look Madison Avenue every would hear taxi honk , hey - 's New York ! need absolute silence , look hotel Island ? love detail friendly staff amaze we moment walk Omni Berkshire definitely back ! thank much ! 
 Sep 17 2008 	 really take care ! 	 stay Omni business trip - first , get exact kind room want - 1 king bed , clean , able extend stay . happen develop food poisoning first night . concierge - Beatriz - amazing , go drug store get medicine gatorade , take time check whenever walk door make sure okay . staff encounter friendly whenever order take - out food , security walk directly door not even go get . would LOVE stay ! 
 Sep 14 2008 	 WOW ! 	 start finish entire experience great . go top make we feel special wife 's birthday weekend . room adequately size exceptionally clean . stay Manhatten look . 
 Sep 3 2008 	 great midtown spot 	 hestiate staying want great room great location . stay several time . , staff excellent . upon arrive early , upgrade we executive room offer set roll away daughter . you find room little large NYC hotel room . size would compare well high end hotel like Plaza , Ritz Waldorf . 
 Aug 27 2008 	 Yucky Souvenir previous Guest 	 stay disappointment oppose previous one . place room low floor ( request high ) king bed ( request two double ) clean properly ( dirty sock window sill ) . receive bad attitude move really bad attitude weakly offer move we room request bed configuration last night . staff deal less enthusiastically professional . stay anytime soon . back Sofitel ! 
 Aug 26 2008 	 Loved Omni 	 family three great stay Omni . situated midtown Manhattan hotel near 2 subway station , be easy walk many must - see sight Theater District . 's excellent location want avoid crush stay near Times Square . the front - desk staff , concierge team , bellman professional helpful . room clean spacious , comfortable bed decent size closet space . room could use little updating : enough dresser space ( 4 night ) , television wildly date . the hotel amenitie fine , although bar / lounge little gloomy need make - over . breakfast hotel , choose instead go one least three nearby cafe . many good restaurant neighborhood concierge assist reservation , even last minute . we highly recommend Omni would stay . 
 Aug 26 2008 	 great late summer stay Omni 	 return stay Omni New York . location midtown 52nd , Fifth Avenue convenient Rockefeller Center , theater American Girl . stay comfortably , standard room 2 double bed , 10 year old daughter . staff attentive , extra attention pay daughter - kid gift bag upon arrival . staff friendly accomodating . definately go back . 
 Aug 17 2008 	 good location outdated decor . . . 	 book Berkshire Suite two adult one small child . location can not beat . staff friendly helpful . room , although fairly large , definitely modern , cheery inviting picture line . fairly outdated well worn furnishing kind depressing , view , etc . 17th floor . carpet also well worn seem pretty dirty ( evident per child play floor - yuck ! ) . comp . fruit , newspaper , etc . nice touch . pricey , expect update room , guess 's risk take . 
 Aug 5 2008 	 Excellent location service 	 stay Omni Berkshire Place 52nd Madison August 1 - 4 . location beat New York ! block 5th Avenue Madison . hotel staff accommodate concierge service . busy hotel extremely well - run . two grouping elevator ; one group 2 3 . wait minimal . the room looks recently refurbish king size bed , ottoman chair room . bath room marble , well - light maybe bit small guest . room also refrigerator , mini - bar . cable service major station well movie channel offer . would absolutely stay Omni Berkshire ! 
 Aug 4 2008 	 excellent choice mother / daughter getaway 	 take teenage daughter NYC first stay , choose Omni much research . want safe , convenient location , quiet , clean guestroom , good service . extremely happy choice . room spacious immaculate , request high floor ( help bit quiet part , New York City , ) fulfil . treat like royalty staff , sleep well night comfortable bed , appreciate spotless , renovate bathroom . location can not beat . many sight will want see within easy walk distance , anything else afield quick cab ride away . Sign preferred guest program - , plan frequent Omni customer experience . 
 Aug 1 2008 	 Good Hotel poor service 	 difficult review write . will start negative . arrive 11 pm fly Carribbean . book room three adult . arrive left room King . offer rollaway bed 6 foot 2 inch son . claim room leave one bed , include suite could offer second room . much arguement , option take room son leg dangle end flimsly rollaway bed . reason give hotel anythin poor rating . they give we two ( although three ) free breakfast compensation . however , put problem one side , hotel well locate , 5th Avenue . room stay big , well decorate nice new bathroom . would stay , ensure would hold proper room arrive . 
 Jul 28 2008 	 wonderful place 	 return New York stay Omni Berkshire Hotel wonderful visit . hotel lovely fantastic location . say enough staff - everyone pleasant accommodate . arrive , nice room ; however , disappointed location room . hotel crowd first night unable move we ; however , next day move we new room nice view make stay even enjoyable . hotel attractive clean . definitely return Omni next time visit New York . 
 Jul 24 2008 	 wonderful Hotel ! 	 get back trip NYC stay Omni Berkshire Place Hotel Midtown . go 18 year old daughter graduate high school . arrive 12:00 noon ask could check . also ask upgrade . upgrade we , say room ready hour two . check back 1:30 check . room fabulous ! king bed , chair w / ottoman , desk , couch . bathroom large , especially NYC standard . everything clean nicely appoint . a / c work great , important since extremely hot & amp ; humid NYC . hotel personnel nice & amp ; helpful , concierge . negative wish hotel restaurant casual . order room service two morning . would prefer restaurant like stay ( Hotel Roger Williams ) . negative plug . one plug easy get lamp desk . other hard get behind couch desk . would definitely stay ! excellent location ! 
 Jul 24 2008 	 great location - friendly staff 	 stay four night three teenage child serious shopper . hotel perfect location 5th Ave , close big store theatre nearby . room comfortable good size . find staff concierge desk helpful . din suggestion spot . avoid breakfast hotel expensive . local place get breakfast ( burger heaven Europa Cafe 2 block Madison good ) . would return . 
 Jul 22 2008 	 great hotel 	 family spend Saturday night Omni New York City . wonderful . check 3:00 , room ready arrive 10:00 . upgrade , go directly room . room nice size , king size bed , loveseat chair . give we complementary roll away son . bathroom excellent . large , good , immaculate . appear recently remodel marble tile floor wall tub . one big concern , bathroom great ! concierge helpful valet staff great . 
 Jul 21 2008 	 good hotel central location 	 book Omni berkshire stay Boston , Philidelphia San francisco hotel - well price hotel location standard NYC . delay book one 2 room housekeeper finished compensate complimentary bottle champagne write apology - much appreciated . one room front hotel ( expensive room ) good size NYC rear small darker still ok city . unfortunately face buiide site noise start 6 am - hotel offer move occupant one night stay ithey decide take offer . also large room book 3 peple discover bed settee - send rollaway immediately . room could refurbishment near future clean . nice foyer attentive doorman ! staff pleasant , courteous helpful particularly othe irish lady concierge duty . 
 Jul 18 2008 	 Excellent hotel great location love 	 find good price expedia book two room two night . check get two adjacent room we . room well setup clean . conceirge guide we city tour restaurant . issue whatsoeverWe order room service get prompt attention . use onsite restaurant many choice eat close . overall pleasant stay family 5 two kid . location great ( close Madison 52nd intersection ) get central park Times square within minute cab . I wish hotel 's good price post 's website . may want check travel site well . 
 Jul 17 2008 	 Perfect Place stay Midtown 	 enough good thing say hotel . family check July 4 stay seven night . overall decor hotel fresh nicely update . join Omni 's Select Guest program travel , entitle we complimentary room service coffee breakfast beverage morning , turn service every night , include Yohoo kid , well chocolate chip cookie chocolate pillow . also get room upgrade large room would otherwise give . room decor attractive , bathroom luxuriously appoint huge , especially New York . good thing hotel go , besides price , location 52nd Madison , block two Rockefeller Center , three avenue theater district . staff extremely friendly helpful . negative minor -- air conditioner seem blow hard time other , require & quot ; reset & quot ; turn . always plenty cool night ( always buy cheap fan room anyway be Texas use noise air movement fan provide ) . also , construction project ( high rise ) underway immediately adjacent hotel 53rd street side , since face front hotel ( 52nd street ) , never hear noise construction . three side hotel face construction , simply need request room one side hotel . finally , room furnish beautiful , oversized armoire serve closet , bureau , entertainment center , tv fit armoire large , go New York City sit room watch tv , hotel . not watch tv , never issue . summary , stay . 
 Jul 6 2008 	 Great Location Great Service 	 great 4th July package . great quick Yankee getaway . service outstanding , include select guest delivery beverage newspaper . upgrade suite , kid love plasma tv living room area . bathroom large huge shower , marble . location perfect activity . 1 block St. Pats Cathedral , three block Rockefeller Center . shopping galore include NBA store half block away . about six block subway Yankees game , take 4 express . get 59th street lexington , go # 4 express , less stop . Burger Heaven , three right around corner great burger salad . relish burger good . quick fast service , ny reasonable price . overall able walk central Park , Times Square Central Station hotel . child age 9 13 , problem , actually fun walk people watch . safe area lot people about . the Omni quality hotel great service . 
 Jul 3 2008 	 favorite ; ] 	 stay hotel last July vacation . staff nice make sure happy staying . far Times Square Central Park . room nice clean . view room amazing night ! would stay hotel anytime ! : ] 
 Jun 23 2008 	 Incredible Service Smile ! 	 first stay Omni property property far exceed expectation . simply , hotel intimate , clean serve good hospitality business . greet smile times staff make business remember guest face , simple important greeting & quot ; welcome back & quot ; walk front door . housekeeping amazing , turn service top notch . front desk staff courteous helpful . member concierge staff knowledgeable city offering . also , building centrally locate would understatement . plan stay Omni Berkshire future trip NYC . hotel well worth money ! 
 Jun 7 2008 	 comfortable convenient 	 stay special anniversary weekend . moment arrive staff friendly helpful . ask quiet room special occasion . turn would overlook building site give upgrade room quieter part hotel . return first evening find chill champagne room - unexpected pleasure start weekend . we choose hotel convenient location disappoint . lot sight within walk distance subway minute walk away . our room large comfortable . staff friendly attentive . return particularly wet afternoon sightseeing spy member housekeeping immediately buy extra towel room along two large umbrella wet weather forecast . the bed turn evening ( chocolate pillow ) along bowl ' help ' fruit foyer nice touch . we would definitely recommend hotel friend . 
 Jun 4 2008 	 fuss ? 	 ' m sure hotel generate overwhelmingly positive review do . I arrive late night ( 11 pm ) , tell could not find booking - reservation confirmation number front , clear day . & quot ; revenue manager & quot ; would able dig around find booking morning , make sign guarantee pay full rate & quot ; case & quot ; -- ask see next morning . full rate double rate pay , little worried not sleep well . next morning , person speak say & quot ; sorted & quot ; ; computer problem . relief , tell happen several people -- not appreciate sign piece paper night , even & quot ; policy & quot ; .In addition , four - minute call upstate ny cost almost $ 30 . know hotel add surcharge , could not believe it . as room , view construction site ( 11 pm tired ask another room , would next day ) . room well sized dark - much light come , indoor light weak . squeeze corner next amenity room constantly open closing . , would make sure got suitable room view light . bed comfortable . the airy gym good , free fruit , drink , towel shower facility . midtown location excellent - minute away MoMa , Rockefeller Center major subway stop . so , service not good , location excellent , hotel , pay , underwhelming . 
 Jun 3 2008 	 Hotel gem Midtown Manhattan 	 Excellent business hotel midtown Manhattan . well maintain . reasonably price NYC standard . previously stay Peninsula stop average room price top $ 1000 taxis . Omni Berkshire slightly less luxurious ( flatscreen bathroom ) slightly -- -- much less . 
 Jun 3 2008 	 fantastic room ! 	 read many review talk friend small room size NYC high price , finally settle Omni find excellent rate . it disappoint . middle construction lobby hotel bar close , otherwise , service professional speedy , concierge desk friendly helpful find we lovely french cafe breakfast one morning , room fantastic . the room much view , quiet , comfortable , large . bathroom spacious elegant . king size bed extremely comfortable . room large enough king size bed , armoire tv , arm chair ottoman , small desk chair . bathroom entry hall sidetable stock minibar . would definitely stay possible . 
 may 29 2008 	 nice place 	 enjoy stay Omni . hotel clean nice decor great bed . think complimentary delivery coffee and/or tea newspaper morning nice touch . bellman doormen exceptional ; however , find front desk Concierge desk unhelpful bit pretentious . week prior arrival start try arrange car service hotel cruise ship terminal six people Concierge say good could service $ 800 ! ! ! ! ! ! ! ! believe ? think ridiculous thing ever hear - even point ask several time truly think misunderstood . morning set depart happen speak doorman arrange private SUV service we pay $ 60 6 people , 12 piece luggage private ride Brooklyn Cruise terminal Omni ! 
 may 27 2008 	 wonderful hotel fantastic child 	 fantastic stay Omni Berkshire . staff excellent helpful . upgrade suite wonderful beautifully clean . housekeeping incredibly attentive . good thing hotel attention child . many upmarket hotel Manhattan kind child . two child , 7 4 give backpack full fun thing check , course luxury suite help enormously child . also , every evening , housekeeping staff leave chocolate milk cookie child bed . delightful experience would highly recommend family . 
 may 24 2008 	 good midtown location not overpay 	 's question - hotel well situate like midtown . be also clean , safe , staff reasonably attentive friendly . however , would stay anything close rack rate . book special weekend deal request two double bed . call twice - two day prior day arrival confirm would receive two double bed arrive give king roll - away ( extra cost ) . addition , room & quot ; soundproof & quot ; window receive daily paper advertised web site . finally , fan bathroom . overall , relatively minor thing receive deeply discount rate would annoyed pay close rack rate ( difference ~ $ 200 / night ) . transfer Omni stay budget hotel close Union Square first night ; next time would stay budget hotel entire trip 's . like midtown Omni good choice . know people ' ve stay multiple time love . 
