great 	 Hotel describe whilst obvious work go hotel never hear anything . staff always polite welcome situ ideal . would recommend Old Pancake House breakfast , per trip advisor recommendation , superb quality value . 
 Jan 7 2008 	 not accept sub par room ! 	 go romantic weekend getaway post holiday , choose Whitehall pleased past , location price / value can not beat ... least previous visit ( 4 plus time last 10 year ) . visit , unbelievable rate approx $ 135 per night regular room . well , probably cheap rate ever , give bad room . Unbelievable would even show room like anyone , especially hotel near capacity . Rm . 603 interested . first , course view , expect little money . ... notice actual hole wall next radiator , go way outside ... Chicago , Winter . room freeze ! management aware ? well , fur throw bed ( one next room transfer ) . room wall large building side , dark dark dark . realize get bargain rate , get bargain rate room , truly unacceptable . call downstairs move another room . offer another room price , could upgrade Pinnacle level $ 50 per night . . room actually size , actually room , 16th floor , hole great view . unfortunately learn early next morning also right next maid cart closet ... bang BANG BANG ! first room typical & quot ; regular & quot ; room , & quot ; pinnacle & quot ; room acceptable , opinion . believe times previously pay & quot ; pinnacle & quot ; room well . also , although pinnacle level room price ( except suite ) think many large big , four poster bed . whitehall visit , room large nicer . far small room ever stay . get good money , ask large pinnacle room four poster bed , away elevator , away maid closet good view . my feel whitehall need price competitive ( ) also need special something ( service ... feel guest welcome appreciate ) make inconvenience ( small room , outdated bathroom , tiny elevator , age wallpaper carpet , call ice ) either view charming pain , depend guest treat . time ... eh ... magic . stay ? sure . 
 Dec 31 2007 	 Location Location Location ! 	 fist time husband travel Chicago location small ' boutique ' hotel good part . 's less half block Michigan Ave 2 minute walk away Rush St ( lot bar , restaurant club Rush ) . could walk practically everywhere ; walk way Navy Pier one day . plenty cab around area case prefer too . I would consider Whitehall & quot ; one eight great small hotel U.S & quot ; service staff good ! concierge knowledgeable professional . lobby unpleasant smell : ( least carry anywhere else . 2 tiny elevator 's ok size hotel . standard room 17th floor , face Delaware St. nearby building view . room quite small little room store belonging ( lot winter gear ! ) . evident bathroom remodel nice ( exception tub would get clog quickly ! ) bed comfortable / clean AC unit work perfectly fine . remodel rooms new furniture though . the overall experience hotel good would stay 's center . 
 Dec 13 2007 	 overrate 	 Stayed business - ' ve around world unimpressed . price pay corporate rate still feel much quality stay . realize pay location - Magnificent Mile - hotel - blah . 
 Dec 7 2007 	 great hotel ......... 	 hotel excellent . personal service first class . quiet central , yet sophisticated . great staff , food room . decor restrain lot wood panelling ... sombre serious , good quiet drink . restaurant attach hotel food /service excellent . the problem use credit card , pay cash . reason hotel appreciate commendable approach insist keep credit balance favour . I never experience approach Europe . usually norm settle account departure . yes , detail include passport . find particularly irritate constantly provide deposit dollar satisfy hotel desk . wonder annoying ? find red light two telephone constantly flash credit exceed ..... wake early prevent get back sleep also feel hotel trust . detract hotel otherwise high standard . cop ! guest trust ! book holiday credit card Laser / Maestro , whitehall recognise guest . odd ! well american . get . great hotel otherwise . advice ... get program ! 's cultural shift . P.S love hotel ! 
 Nov 26 2007 	 Loved . like want . 	 whitehall charming , old style hotel . comfy bar lounge quality restaurant . 's bit wear tear around hotel , add ambiance . great location , good sized room find staff attentive . use stay whitehall many year ago please see 's still fine place spend vacation . 
 Nov 6 2007 	 horrendous experience 	 Let begin good : great location reasonably price compare nearby hotel . be it . now bad : room 611 overlook alley dumpster every nearby building seemingly locate . view less ideal , issue concerned noise . Friday morning 6:17 a.m. ( first morning hotel four hour plan get ) awake incredibly loud sound garbage truck back alley ( beep every second ) , pick dumpster , drop onto ground . happen would still annoy , might also reality stay downtown . unfortunately , happen . happen repeatedly 6:17 a.m. around 9 a.m. ( many separate dumpster load pick DROPPED ) . sleep ruin dumpster , rest morning ruin constant whistle bellman hail taxi ( last least 11 a.m. ) . complain hotel staff tell we room available move we later day , go business trying enjoy long weekend Chicago . return hotel late - afternoon , tell hotel one room available 5th floor hotel - albeit right dumpster alley , still pretty low . ask whether dumpster would pick dumpster alley Saturday morning ( weekend ) tell front desk person hotel 's pick Saturday & quot ; think & quot ; ( fairness ) could certain dumpster would pick next morning . place go wish re - pack move another low floor , risk one night . big mistake . next morning - precisely 6:42 a.m. - greet relentless sound dumpster pick drop . second morning completely ruin sound crash dumpster , complain , time decide re - pack move much high floor - away dumpster . scarcely believable whitehall would : ) warn guest whose room overlook alley ; b ) contact waste management company adjust pick schedule ; c ) work soundproof & quot ; dumpster alley & quot ; room . almost bad noise reaction hotel staff complaint . ultimately change room , quality hotel would compe night , whitehall - ironically describe & quot ; landmark destination , & quot ; & quot ; one eight great small hotel U.S. , & quot ; hotel & quot ; exceed [ ] expectation . & quot ; indeed , not even get fruit basket . from experience Whitehall , planning stay Whitehall definitely inquire whether room face alley . , stay hotel unless planning get 6:15 a.m . 
 Oct 27 2007 	 Boutique hotel great location 	 ' ve stay Whitehall many time great hotel - room always well - appoint location Rush Street Michigan Avenue can not beat . sausage - grape pizza restaurant fantastic . 
 Oct 25 2007 	 good enough 	 bad . good location . concierge helpful knowledgable . expensive many downtown hotel room fine people would need presuming not come Chicago stay hotel room . 
 Oct 19 2007 	 tired elegant hotel . little hotel could . 	 read review worried stay . arrive fear unfounded . stay nice . this old hotel one time traditional , classy elegant . look around common area ' sure use lovely . many way still . many poster describe hotel ' tired ' . tired look , still somewhat elegant . every place hotel dark , someone else describe ' soft lighting ' maybe good reason , hide age . the staff whitehall professional helpful . call ahead ask King pinnacle room . ready we arrive later day . two tiny elevator twenty floor . elevator recently facelift . 17th floor appear facelift well . room 1712 corner room away noise . king pinnacle room tiny , clean , furniture look somewhat new , new bed luxurious . tv cabinet hold thing look worn . view window another building . ok . ' sit room look window . teeny room nicely appoint , clean , odor free , bed linen new comfortable . type comforter also feather bed mattress , find odd first , get use feel somewhat cozy . pillow bed feather pillow . sleep well , kind like sleep cloud . room pricey mini bar room safe . closet quite large nice wood hanger satin hanger . iron ironing board . bathroom clean blow dryer , magnify makeup mirror , bath sheet size towel . maid generous refill shampoo soap . room always clean early turn service nice touch . the air conditioning / heat noisy good way . act ' white noise ' us night . never hear anything else . thermostat wall regulate temperature . one morning order continental breakfast $ 25.00 one person ! worth money , work convenience standpoint . parking pricy approximately $ 44.00 day . price inline Chicago Hotels . privilege . one night eat Fornetto Mei restaurant right next door . menu confuse italian oriental , food good . price average . cozy , intimate , gold coast restaurant & amp ; pizza bar . thing relax casual yet elegant venue . really like . location hotel fabulous . love neighborhood , quiet right Michigan Avenue close everything . would stay , get reasonable price . 
 Oct 17 2007 	 great location ok hotel 	 stay three night Whitehall Hotel Chicago . location great ; however , hotel similar location may well . ' m afraid bloom rise Whitehall . general , would call & quot ; tired & quot ; . nothing horribly wrong , neither anything outstanding . room leave lot desire . dark date . air conditiione working ( thank heaven , weather hot ) , pool water side bed entire time . realize leave husband say step , not bother say anything could see carpet long - stand problem nothing do date . well , rather stingy replenish bathroom amenity . see still product leave bottle shower , would replenish . sign good hotel . definitely would stay . 
 Oct 11 2007 	 Great Location Tiny room - 4 - 5 STAR HOTEL 	 first , let say location hotel great , especially want shop Michigan Avenue / Rush Street . when arrive check - in 5 pm Friday afternoon , ask front desk personnel would possible get two double bed , even King ( since travel friend . ) look reservation , look nose say snotty disdain & quot ; Ooh , see book stay third party website . sorry , king double room & quot ; committed & quot ; evening . & quot ; ( imply king / double available book directly hotel . otherwise , be stick random room nobody else want . ) say , find rather odd ( 1 ) every king / double room fully occupy point day , ( 2 ) every guest already check night , 1 room leave entire hotel . king room already & quot ; committed & quot ; guest , ability reserve one ? ? ? suspect , strange . as wait elevator , someone else come , ask king bed . clerk & quot ; yes , sir , king available you . & quot ; livid . proceed room , room key work . another trip lobby get proper key , promptly enter room find odd - shape corner room scarely large closet . foot bed ( double bed ) close armoire , could barely open cabinet door . odd shape , hard find place set luggage without bump something else . furthermore , furniture / drawer space unpack luggage planning stay city one night ! furniture terribly outdate , table top desk , nightstand , side table badly scratch / damage , airconditioner run loudly sound like washing machine mid - cycle , alarm clock faulty , kept & quot ; crackling & quot ; audibly night , tv cable channel suck ( majority channel either sport news ) wall room paper thin . could hear every conversation next room . the front desk staff not seem knowledgeable area . ask near pharmacy , mention Walgreens Michigan ( 4 block away . ) however , Walgreens 1.5 block away rush . the good leave early one morning , door man stand pick nose , reach grab door open . make sure touch door point on . the whitehall treat customer ... give preferential treatment customer book room directly hotel vs. third - party website . recommend hotel , convince would . need major updating , staff need school art etiquette . 
 oct 3 2007 	 odd niggle otherwise Great Value Choice 	 Whitehall clearly love many equally hate other . hopefully review give balance impression . look 4 - 5 * international chain hotel modern bland feature , excessively grand lobby , vast corridor stretch mile mile , room bathroom large could get lose , Whitehall . hand be look perfectly acceptable hotel superbly central location ( yard Hancock Tower ) , quiet location friendly staff , whitehall suit fine . if budget stretch $ 600 - 700 per night nearby Four Seasons , Westin numerous other ( loyalty program ) meet every whim . , be look change $ 300 - 400 per night go whitehall . sure whitehall lobby 's small , elevator tiny bathroom , mean save $ 200 night count . simply can not go wrong . also slight problem think whitehall boutique hotel ; well 200 room - Europe think boutique hotel usually dozen room - 's marketing label ! Whitehall never set world alight 'd qualm return . exactly set . whitehall deliver price either big chain charge much offer maybe customer look even grander quality service , deliver well value money . either way , choice ultimately . hope helpful ? 
 Oct 2 2007 	 pure slice HEAVEN ! ( + great location ! ) 	 reserve king , pinnacle room w / hotels.com four night average $ 209 / not + tax - absolute deal century . arrive 5 - 6 hour well check - in ( see review Tremont Hotel , could not wait leave morning ... ) , treat like royalty Whitehall front desk staff . tell would come night , would experience , , possible , would willing pay extra early check - in something available . ask take seat lobby , , within ( seriously ) 5 minute , front desk manager walk sit , present room key , informed would extra charge , & quot ; know will enjoy stay w / us & quot ; - WOW ! ! room king , pinnacle - sumptuous , softly - light , spacious , CLEAN , cool totally relaxing . ahhhhhhh . 41 year planet , never sleep comfortable bed ! ! ! appear 500 + thread - count sheet duvet ( far beyond expectation ! ) , feather bed sheet ( dreamy ) , cloud delicious , fluffy , warm goodness ( read : comforter ) top . mention fab pillow ? ? - six ! closet spacious , well - light , load hanger . bathroom absolutely perfect w / varied lighting , 1600 + watt hairdryer , FLUFFY bath sheet ( standard - sz towel ) , great marble tile work . hardly worth mention , negative come ( & amp ; hate go , ... ) thick hair shower water pressure poor - never able get shamp / cond hair without use faucet shower hand knee . the staff - oh , staff ! wow ! bellhop , housekeeper , concierge - keep get well well ! ! ! clearly , management something right hire treatment employee . go extra mile ( would treat someone home ) without prompt . impressive ! folk happy , show shine ! ! location , literally , beat . 's waaaaaaaaay well modest humble hotel description . disappoint hotel . hardly wait tell everyone - think ! 
 Sep 30 2007 	 good value well review suggest 	 stay hotel week September 2007 . read review TripAdviser ask room face street give one opposite lift , cause problem except someone talk loudly outside lift one morning . room furnish dark furniture expect review , bed really comfortable , bathroom , although small perfectly adequate purpose . bar price reasonable , complaint inform free coffee morning , find last day . book reduce rate LastMinute . Com . book face stay trepidation read review site warn , fear unfounded good value money pay . 
 Sep 25 2007 	 Great Location Awesome Bed ! 	 stay whitehall first time September 14 - 16 lovely experience . want rent car Chicago hotel location go important we . search reasonably price hotel near North Michigan Avenue week expensive we $ 300.00 plus per night . finally find www.gtahotels.com room whitehall $ 144.00 per night ! arrive give room 4th floor honest , view horrible . one window open face brick wall window face alley . bad thing say room . room super quiet even though hotel completely book . bed linen AWESOME ! 5 pillow bed , two fill . comforter bed feel like heaven faux fur throw blanket foot bed romantic look . the bathroom update elegant . towel bathrobe soft comfortable . huge closet , desk , mini - bar , 2 read chair ton lamp could control amount light room . the good feature still location . 1/2 block Michigan Avenue surround fabulous store restaurant . easy walk Navy Pier anywhere else want go . hotel hold luggage check since late flight able shop dine ! everyone friendly restaurant good thin crust pizza town . overall enjoyable experience absolutely book another vacation Whitehall . 
 Sep 7 2007 	 Location Location Location 	 husband stay Whitehall Saturday Sept 1 . town Cub game due wait make reservation - stay 2 hotel weekend . book hotel thru otel.com . never used - work well . location hotel wonderful . couple block favorite bar ( PIppin 's tavern ) . take Amtrak arrive 9 pm . 13th floor . elevator quite slow . old hotel enjoy stay . would certainly stay ! 
 Sep 3 2007 	 bad experience : hotel promise hold room not 	 2 night , prepay reservation Whitehall , hotel confirm phone would hold room even though arrive late . not not make much effort find room elsewhere : good could come , 30 minute try , hotel hour town . 
 Aug 28 2007 	 great location good thing 	 well begin . order two room request side side bedroom contain 2 seperate bed . 4 we want bed . however , show hotel seperate we we seperate floor . however , ask could switch we around say could . therefore , decide check room deal . however , upon enter room immediatly see one double bed . , request two bed room . extremely upset contact manager . admit empty room hotel policy move upgrade room free . say want two double bed room would pay cancelation fee room upgrade fee . say staff nice policy bogus . work customer service teach accomodate customer way possible . mean go beyond . however , hotel decide . last complaint air conditioning . room upstairs work . room unfortable . room downstair work AC . say , hotel great location right next Hancock tower . beach 5 minute walk , Michigan Ave 3 min , pier 15 minute walk . clean lady great . everyday room clean ! hope isolated incident see , great thing hotel . 
 Aug 15 2007 	 charime Hotel 	 Whitehall Hotel , national landmark hotel Chicago , charming hotel excellent location downtown . old character , minor inconvenience . two big one us ice machine ( call ask someone hotel get ice mean tip ) trouble get room electronic card . slide card least half dozen time get door open . annoy little thing make friendliness staff , great bed bathroom , concierge service . mention location ? whitehall less block northern end & quot ; Magnificent Mile & quot ; , near El Red Line major bus stop , within walk distance many Chicago 's major attraction . near several good restaurant feel safe time . 2 we , many family 4 5 member hotel . lot business man woman hotel well . 
 Aug 15 2007 	 Awesome Location 	 friend book hotel couple night use last Minute Travel.com . price perfect , 125 night . alot research tripadvisor place realize would get run room . however , arrived upgrade ( sure ) room king size bed . really can not say anything negative hotel , perfect location , great room , staff nice , extremely affordable . there one incident upon arrival stick major problem . half party walk room , overwhelmed mold smell . apparently room AC water leak hotel put huge fan room try dry . fan still go arrive room . hotel move half us 12th floor . new room incredible view lake John Hancock bldg . , work well . there ice machine , call room service . find fast bringing ice . AC work great . elevator usually full , point could not get one alot time . find service elevator work nice without crowd . 
 Aug 6 2007 	 fantastic experience 	 husband get home 3 night stay . love ! bed luxurious service wonderful . room tastefully decorate none problem people mention . call request renovate / non smoking room perhaps make difference . would go back second -- lovely hotel fantastic location . 
 Aug 3 2007 	 whitehall ? ? ? 	 stay whitehall recent business trip Chicago . hotel alot go ... intimate scale , great location , really nice staff make ideal combination . work airconditione room strange menu restaurant . know restaurant often lease operator , hotel lease restaurant need understand restauran direct reflection guest experience hotel brand reputation . please fix airconditione restaurant 
 Aug 1 2007 	 overall bad little disappointed 	 First will say part alright hotel great location right Mag mile . seem little & quot ; old & quot ; , , ! ( 1928 ) make reservation little month beforehand request & quot ; nice street view . & quot ; arrive around 2:45 Michigan see Tigers - White Sox game ( 7/25 ) , room ready ( ? ) . go tenth floor , card not work , go back , corner room ( small , enough room walk around king bed ( nice bed though ) ) view brick build next door . really ! ? ? month 's advance request still get & quot ; brick view . & quot ; disappointing , point not feel like go back switch room . normally would time constraint not want waste . also , choose self - park ( pay separate garage recommend cheap valet doorman ( ? ) ) actually come $ 44 24hrs 32mins ( maybe extra 32 kill we think , huh ? ) wonder valet would ' ve . wish time devote make sure satisfied content stay / purchase . may need extra minute not like brick view bed room . 
 Jul 30 2007 	 Avoid Whitehall 	 stay Whitehall 3 night . first night stay King & quot ; superior & quot ; room . notice air conditioner noisy night assume go . next afternoon go back room rest shower go dinner , surprised find room 90 degree humid sauna -- also gape hole air conditioner flimsy grate keep wide open outside 11 story ! furniture push wall . go lobby talk customer service people check say & quot ; fixing & quot ; air conditioning -- say try ignore we . inform need rest get clean room unusable dangerous . say work = = try ignore we . tell coud use room ask long go = = say work not know long would . refuse go away , one rep finally say would find we another room . put King suite much well room previous one thank rep ; however , neither room really 4 ( 5 ) star hotel : wallpaper bubble wall , uncomfortable bed ( bed firm -- hard cover feather bed ) , problem electrical outlet bathroom room ( suite outlet actually loose sparked -- could plug anything ) , etc . also dismay find charge bill thing use : wireless internet minibar . tell rep use thing , question we nastily crumple bill face say bill . we stay Whitehall . 
 Jul 24 2007 	 great location good service 	 location perfect . walk Chicago subway station ( red line ) , Michigan ave , bar / restaurant rush street , downtown ... service good room nice clean bathroom . call arrival confirm reservation ask room view , since street narrow , one side view delaware street . provide we room face street 15th floor . 
 Jul 23 2007 	 maybe good bed ever 	 great value ! room basic nice , clean big . service great . staff helpful . internet connection work give we pass free wireless access . concierge seem helpful well . the highlight probably bed . good bed / pillow ' ve ever sleep . 5 - star hotel go Whitehall probably Four season ... neither price . definitely well value money option Chicago ( would pay stay Best western ) . 
 Jul 17 2007 	 Great Location Lovely Room 	 Whitehall Hotel fantastic location , quiet street right Rush St. & amp ; Michigan Avenue . be right middle action , since Delaware small side street , room quiet . room small , almost everything need . bathroom large lovely . complaint view window -- cement wall . strange ice machine , first night request ice bring room service never arrive . second night go ask front desk prove much efficent . bed linen comfortable . desk easy chair great addition room . whitehall great experience we ! 
 Jun 26 2007 	 pleasant experience Whitehall 	 stay three night . may 15 - 18 , 2007 room nice . location , great . I unpleasant experience describe other . the thing add trip call reservation desk ask renovate non smoking room . -- get . I reserve via easyclick.com web site pay 443 tax thee night . 
 Jun 16 2007 	 good value money 	 hotel last week good experience . great location , Michigan Ave , friendly staff clean room . low end four star hotel reflect cost reasonable . smallish comfortable room , small well - equip clean bathroom complimentary toiletry . free newspaper deliver room every morning . 
 Jun 6 2007 	 depress experience 	 so - call 5 star hotel , select list hotel American Society Clinical Oncology ( ASCO ) meet Chicago June 2007 , booking come from . despite fact staff friendly , room awful condition : dark depressing ; piece fall wall ceiling ; window single layer glass poor condition : result los noise ventilator surround building , slept ear plug every night ; unpleasant smell room dirty airconditioning . a truly bad experience , repeat . good advice attend future ASCO meeting Chicago next year . Dr . J. Vansteenkiste , ASCO member 
 May 30 2007 	 avoid WhiteHall 	 staff incredibly rude . hotel patron wait bus child push sidewalk . child trip mother - in - law fall cut knee . bad enough child parent nothing help doorman offer help either . pass paramedic stop help . take inside could get towel water one staff offer help watch clean bandage knee . later mention incident doorman , say nothing snicker bellhop leave . 
 Apr 29 2007 	 get pay 	 Whitehall Hotel Chicago 's & quot ; truly independent boutique hotel . & quot ; mean traveler irrelevant . be . when one stay hotel , three basic criterion met:1 ) room clean2 ) room quiet safe3 ) everything room working order . the Whitehall clean . service lack many way . the noise hallway activity room door close easily audible hotel room . nothing seem working order . , thing promptly fix . I stay Whitehall four night check . across street Four Seasons , colleague allow use business center hotel . complimentary computer access . whitehall not . the Four Seasons also nice little amenity , like complimentary drink lobby , bottled water front door , stuff makes truly feel welcome . staff friendly helpful . at Whitehall , in - room coffee maker coffee service 7 - 10am . ice maker room service gladly bring full bucket ice . staff friendly , point stay little use . one person party get room ninth floor move room 8th floor heater / cooler / air vent box ping noise would not stop . also , bathroom smell like nursing home . even bell captain come assist room move put finger nose . my room fine . furniture little worn , perhaps & quot ; boutique hotel & quot ; . clock radio break , go set alarm time keep wind backward . call front desk , spanish - speak housekeeper promply come room replace radio new model . also volunteer set clock alarm , could understand engish direction step ( bilingual ) .Later , learn phone bathroom work properly , cordless desk phone inoperable , knob bathroom vent broken colour setting television way fix they . I tell front desk Friday 10:30am , package send overnight via FedEx Miami Thursday morning arrive . urgent , convention session rapidly come midday end , need . fast . I wait 20 minute heather front desk track person take care package send guest . 20 minute , tell package . frustrated , run back Drake , certain thing like not happen . but Drake want spend $ 269 night plus tax room . whitehall , tax , $ 160 night . for price , hotel - even little thing mean lot travel extensively noticeably absent - true value . 's heart Gold Coast , literally step away John Hancock Tower Magnificent Mile . price , will not beat . 's first - class service look , go elsewhere . sure electricity proper working order . 10 pm last night woman room 1110 come back find none light would turn room . nice , huh ? post - script , upon checkout hour ago ask receive FedEx package arrive Friday . astonish . ! ! ! seem come 1 pm - convention ending . front - desk receptionist say text message leave hotel room phone . ok - make sense . many hotel room phone text message capability ? , , not blink message - wait light phone - least one three phone room ? not know back Chicago , another colleague spend $ 40 stay Hilton Suites . least get HiltonHonors point assurance certainly get pay & quot ; little something extra & quot ; exist Whitehall . 
 Apr 11 2007 	 whitehall ok ... would not come back 	 good thing hotel location . 2 mininute walk Magnificient Mile love shopping ... block downtown Chicago . hotel room ok , nothing special . get room right across evalator quite noisy early morning . hotel use luxury apartment wall room bite thin . could hear water pour neighbour take shower morning . air conditioning work properly second night get trouble sleep . staff nice helpful . actually book Hotel Club Monoco trip . get discount rate Whitehall go . however , go Hotel Monaco since read lot good feedback ... matter , great time Chicago . love city .... definitely come back stay long ... : ) 
 Mar 18 2007 	 home away home 	 stay Whitehall past weekend , feel home european - style boutique hotel . one highlight we , moment enter depart , staff extremely friendly helpful ! tend somewhat fussy room , like view several room select one want . staff helpful accommodate . although view amazing , one consider location - west Michigan Blvd . room overlook part Michigan Avenue , include Water Tower Place John Hancock Building - pretty nice ! see two kind room . one bit standard . , one choose stay wonderful four poster bed , nice size pretty ( albeit small ) bathroom . also , plate chocolate marble table greet we enter . first time ever sleep feather bed - luxurious ! sheet soft . connected hotel italian / asian restaurant . enjoy lunch - european ambience . restaurant bar really comfy adjoining lounge , lot sofas chair staff serve drink light fare . , think smoke permit lounge . couple downside - 1 . instead ice machine floor , hotel instruct guest contact room service ice . take quite ice arrive . 2 . hotel old . 
 Mar 4 2007 	 will not stay 	 usually stay Ritz Carleton Chicago , full recent stay February 2007 , agent recommend Whitehall . note Whitehall website comment luxury , boutique hotel recently rennovate , think make good alternate choice . first reservation come enter lobby noticed reception desk appear rather shabby ( , anyway ) . , staff pleasant ( luggage ) move quickly room . pay deluxe room , surprised rather small . also surprised state room . furniture appear dusty / wear , leather chair wear crack , sash one curtain rip hang loose , wallpaper stain tear window , in - room safe not work , closet door come track open , food debris next couch . window view alley . idea deluxe . the room extemely hot arrive . play thermometer accomplish nothing . call front desk send engineer . say steam could - nothing . choose cold rather roast . problem one ( single pane ) window leak cold air . shut curtain tightly could , get pretty cold . the bath room small , reasonably well decorate fairly clean , exception major stain ceiling shower . notice oddity - control hot cold wather tub appear reveresed . move control cold get hot , visa versa . shower , keep carefully mind . we go bed rather late first night , awaken 6:45 garbage truck spend 20 minute bang outside window . window leak air , sound penetrate truck might well room we . call front desk staff person say would go talk truck driver . whatever happen , noise go minute . try get back sleep , waken 7:45 wake - up call . problem not ask wake - up call . we notice message light blink phone . try press message button , get voice tell we leave message . call front desk , person say would send someone look phone . say forget . decide order room service . try order couple item menu . room service operator wait 3 - 4 minute , tell item . order eggs hash . room service come knife , salt / pepper ( hash need ) napkin . pretty sad . the next evening , decide watch tv bed . notice major stain sheet ( sheet bit flimsy & quot ; deluxe & quot ; accommodation ) . tv also disrepair strawberry ad look brown . also notice early lead display bedside clock partially burn hard determine time . never stay whitehall , comment whether hotel go decay , second rate long period time . say , consider pay whitehall room would able get Ritz Carleton , feel get anthe close acceptable value . thing say staff pleasant we , hotel location good . , nothing could lure back whitehall another stay . 
 Mar 4 2007 	 Outstanding Service 	 staff Whitehall could well . phone inquire operable window , reservation agent take time find someone could unequivocally confirm would able open window . the room immaculate furnishing tasteful . everything work properly . bar look charming , though time check . overall location excellent , step North Michigan Avenue relatively quiet street . one downside , not deal - killer : corridor look bit weary -- paint need touch . 
 Jan 24 2007 	 ok .. expect 	 book travel last minute ( night ) . read couple review hotel figure would give try . fiance packing night land Chicago find luggage still Atlanta . decide let ruin vacation go check hotel . needless say exhausted . twelve noon say still clean room check three . decide go lunch ( dress Miami clothe sweater top ) . Front desk tell we would able check we return lunch . arrive back hotel 145 room still ready . tell women gentleman front desk exhaust would sit couch lobby wait call we . & quot ; problem let know soon room available . know travel day . & quot ; log laptop fiance fall asleep couch . 330 realize time fly return front desk . ask room available yet response & quot ; oh yes ma'am 's available sometime now . & quot ; shocked . could see we wait fiance sleep pack night ? find front desk helpfull whole trip . say concierge great door man . room standard , bathroom need major mold cleaning . also , water come shower either zero 1000 degree . happy medium . not think ever return hotel many hotel region less price ' m sure would provide we well customer service . BTW luggage arrive hotel 7 pm . 
 Jan 6 2007 	 disappointing ... substandard . 	 live Chicago area & amp ; good friend visit CA weekend , decide stay downtown night & amp ; enjoy city . want stay near MI Ave . shopping , save $ shopping , spa & amp ; dining , decide stay Whitehall instead 4 season , Peninsula , Ritz , etc . base experience , would absolutely recommend stay whitehall follow reasons:1 . promise non - smoking room 2 bed . show room , absolutely reeked smoke minute open door immediately ask move . 2.the room available one bed , preferable , willing deal . however , start getting settle , apparent bed change previous guest , room clean . even still personal food item minibar . YUCK ! room available time , send crew time clean ( pleasant & amp ; apologetic .... though see makeup bag ! ) . rush get dinner , leave cleaning , room fine get back.3 . next morning , realize could find makeup bag , fill least $ 250 worth expensive cosmetic ) , leave getting settle . think perhaps leave home , get home , . call see find , call never return . conclusion crew clean room leave go dinner take it.4 . run hot water shower 5 minute & amp ; one cold weekend year ... 5 - 10 degree ! brrr .... thank God spa appt . & amp ; shower there.5 . check & amp ; report problem , staff apologetic , willing ( , accord , sanctioned ) give we kind compensation , fact , tell we room NICER one reserve and/or high rate . ? ! manage get rate , could get . also overhear several guest complain cold water , broken faucet , etc . friend hurry get airport , not push , not time crunch , would spoken manager . instead , ( finally ) speak -- consumer ! 6 . write email experience hotel management never receive response . surprising , final push decide post review . my conclusion Whitehall go way downhill recent year , care customer service , would absolutely never stay recommend town guest . look small hotel planning visit Chicago , go elsewhere ! Calling & quot ; boutique & quot ; & quot ; luxury & quot ; hotel absoultey laughable . well experience highway motel ! ! ! good luck ! 
 Dec 29 2006 	 gem ! 	 stay least 5 time keep get well ! nice smallish hotel Delaware Michigan Ave Rush St .. room pleasant , although new decor dark side . bathroom attractively tile , bed comfortable . staff pleasant friendly throughout . location perfect - two minute walk busy Michigan Ave across street Four Seasons Hotel . restauarant go change last year although food good , service breakfast excruciatingly slow ! wait staff seem fall know . two small elevator cause people mutter , never feel inconvenience . hotel excellent choice Chicago mortgage house stay ! 
 Dec 11 2006 	 good location 	 stay past weekend holiday getaway . pinacle king room junior suite . place need update . light horriable table enjoy meal bring . one sink bathroom area heating unit sound like go fall wall . staff nice restaurant great end eat two night . holday whole town busy thing hectic . whitehall could use little update . oh view junior suite garbage area truck come 5am wake we . nice touch . 
 Dec 11 2006 	 Smoky bit shabby great location nice linen 	 sadly , hotel somewhat overrate . expect nice , small , elegant boutique hotel . unfortunately , property smell cigarette smoke somewhat shabby . check Thursday evening . give room 12th floor describe one step flea - bag . paint peel wall , furniture batter , carpet dirty , bathroom 60 's 70 's dirty burn light bulb . entire room reek must , mildew , cigarette smoke . window frozen shut . point bellman ask could open , shrug nothing . next morning smell bad ask move new room . inform entire 12th floor smoking . never ask ( either book room check - in ) prefer smoking non ( non - smoker ) . tell luggage would move new room day . return hotel evening nothing move . give new room seem different hotel - clean nice remodeled bathroom . 1000 time well . linen bed nice . agree previous guest hallway carpeting beyond shabby stain . also , cigarette smoke smell tend creep elevator shaft still smell smoke non - smoking floor pretty strongly , even room . avoid hotel can not stand cigarette smoke . unfortunately , none staff helpful . hotel great location could real gem effort . 
 Nov 23 2006 	 Descending Shabbiness 	 pick Whitehall friend rave elegant . unfortunately , year ago experience suggest Whitehall descend shabbiness . exit elevator floor , wallpaper begin peel wall carpet deeply stain -- downright grungy . room tend small part town , excuse dirty bedskirt . obvious prior guest stain shoe , little leg room sit chair try watch tv . tv , way , old Zenith last leg , picture alternate red purple . in bathroom , ceiling shower numerous dark brown water stain . ring upon ring water stain . disgusting ! forget take bath . stopper mechanism remove plug stopper kind . though Whitehall tout 24 hour room service check - in , call 8:30 pm , answer . though bed ws comfortable , leave feel hotel definitely past prime . will not back . 's plenty competition within block radius . 
 Oct 30 2006 	 overbooke 	 not understand hotel plan make good impression clientele arrive tell - & quot ; sorry , overbooke need send another hotel . & quot ; may also say booked room normal price - $ 350 / night - fact still not guarantee room . poor planning , supposedly , 4 - 5 star hotel . think simply forget problem come back next day room available . sorry guy , lose business forever . good luck . 
