good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Sep 30 2009 	 Brilliant Location - Love NY 	 drive Newark airport hotel could not miss . large building massive sign say & quot ; NEW YORKER & quot ; . friend excite visit New York could not wait get room grade thank brilliant Travel Counsellor Saranna , go get city view double double bed that s exactly get . 34th floor amazing view city clear view Empire State building change colour night . housekeeping great , even eco - friendly scheme encourage re - use towel save washing . unfortunately downfall go check - in ... room ready time wait half hour . go ask ready forget we be not one forget . guest behind wait hour I m lucky went find . room finally ready moody receptionist ask credit card ( not one ) tell give debit card would not allow . demand cash pre - auth . student enough cash entire holiday . friend really dishearten excited receptionist put we downer ! give $ 300 eventually get back end holiday . the location brilliant . could ask well location . groud floor Tick Tock diner serve chocolate pancake , yummy milkshake burger . visit diner day . restaurant visit bit expensive . empire State Building 10 minute walk , Macy 's 6 minute walk , Times Square 15 minute walk . Taxi 's really cheap compare London . taxi hotel Staten Island Ferry $ 14 . hotel toilet clean unlike one Newark Aiport . use gym business centre look fine . gift shop also . across road hotel everything need . mcdonalds open 24hour , clothe shop , train station , TGI 's , electronic store , bank etc . we go bike Rockerfeller Centre hotel $ 20 well worth , right laugh . definately recommend go top Rockerfeller Centre , $ 20 guy walk around bottom give coupon $ 2 ticket . get top 360 ' view city see mile . view amazing definately must see ! friend go see Mary Poppins theatre fantastic $ 60 cheap ticket buy information centre Times Square , want even cheap ticket middle Times Square stand call & quot ; TKTS & quot ; day get half price ticket long wait . Abercrombie fitch store 5th avenue hot staff get picture take good look male model ! 5th Avenue expensive shop prefer somewhere bit go Soho . if look go club recommend go Meat Packing District try get guest list wait hour Saturday night get club still could get ! go comedy club one evening absolutely hilarious would encourage anyone go , $ 10 sell ticket Times Square . $ 40 dollar horse cart ride round Central Park relaxing . definately go see Statue Liberty go Staten Island Ferry go every half hour take 25minute free ! Walk Brooklynn bridge sunset spectacular view . grand central beautiful building underground mega hot . 
 Sep 30 2009 	 must stay ! ! ! ! 	 daughter return New York pleasure stay New Yorker Hotel 8th Avenue . first time either us New York arrival hotel impressed say least . bill Art Deco 's . be nice see every hotel look & quot ; super modern & quot ; . lobby amazing get chance grab seat people watch . 25th floor pleased room . 2 large bed extremely comfortable plenty pillow ( something european hotel could provide ! ) clean crisp white sheet . bathroom large bath well shower spotless . everything room clean welcoming . room front building alcove view shield trafffic noise . say say one quiet hotel ever stay . clean staff unobtrusive friendly staff hotel . Tick Tock diner join onto hotel really great . would read expensive say ' ve pay England not get quantity quality food . ( try desert ! ! ) also restaurant attach call Coopers not try work way Diner menu ! ! ! location superb . Macy 's , Empire State Building , Times Square Rockefeller Centre withe easy walk distance 2 subway station really close hotel take Manhattan . book holiday Let'sgoto.com would recommend company sort everything brilliantly . be look great hotel will not break bank place . daughter already make plan return New York hotel definitely want stay . thank New Yorker make great holiday . 
 Sep 29 2009 	 Perfect Location 	 lot research book New Yorker , not disappoint ... great location , 5 min walk Penn Station . room clean , 29th floor problem traffic noise . bed comfortable clean linen . Maid service excellent . visit Tick Tock diner , next door , every morning - great food , large portion think excellent value money ... set we day visit different sight ! empire State Building 15mins walk hotel , similar time Times Square Broadway . Macys 5 min walk ! staff friendly . would definitely recommend other . 
 Sep 29 2009 	 perfect location 	 sister book hotel tell friend new york hotel pretty rough place not much find absolutely brilliant check leave hotel surpass everything . room newly refurbish , 31st floor look empire state building , Madison square garden view ! ! bed comfy tick tock diner great would definitely recommend hotel anyone visit new york short break . 
 Sep 29 2009 	 Excellent Hotel 	 return 4 not stay New Yorker honestly could'nt fault . check - in check - out staff friendly helpful . room 20th floor small clean comfortable . breakfast Tick Tock diner every morning think good value tasty . location great would'nt hesitate recommend anyone . Lorraine 
 Sep 28 2009 	 enjoyable hotel 	 hotel ideally locate travel around city close plenty night life especially Madison Square Gardens across road . hotel art deco feel lobby room . room clean bed comfortable . little tight space 's Manhattan ! bathroom good size shower good . staff provide good friendly service . would recommend hotel anyone stay Manhattan . 
 Sep 27 2009 	 close everything 	 close proximity Manhatten . foyer amazing however room probably expect expensive NYC . small , noisy ( renovation room next we ) , good thing nice high traffic noise - therefore ' in face NYC noise ' . overall good proximity worth expensive price tag . 
 Sep 25 2009 	 Nice Hotel OK price 	 great location near Madison Sq . Garden / Penn Station make easy get around City . hotel bustle check - in line move quickly . room ok - sized NYC , bed short save space . be 6 ' tall , foot hang end . furniture amenity nice . bathroom enough shelf space , 4 & quot ; strip mirror pedestal sink . ok single traveler , will challenge couple ( family ) .lobby area nice , comfortable good people - watching . Clerk name Mohammed especially helpful . 
 Sep 25 2009 	 Excellent Hotel 	 Check Hotel go smooth reception staff polite maid . although room small clean decor nice . view room Empire State Building could see top Chrysler Building . bed comfortable . aircon room great humid whilst . hotel free gym honest not good old tired machine . treadmill noisy thing really work . weight machine stick particular weight could not lift . think Hotel need spend little money upgrade gym . the Hotel free wi - fi excellent want bring laptop . we not breakfast Hotel would not know like , however go Tick Tock diner locate downstair Hotel . food ok big portion , salad enough four people ! ! location Hotel fantastic next madison Square Gardens , Macy 's , Empire State Building . be also 5 minute walk Times Square . Port Authority Bus Station also 5 minute away handy want take bus Woodbury Common Shopping Oulet even transfer bus Newark airport . I really like Hotel would definately stay due location . 
 Sep 21 2009 	 fabulous stay New Yorker Hotel 	 stay hotel Sept 09 . room absolutely great large NYC standard . loved art deco feel hotel , new renovation refurbishment keep theme . hallway room spotlessly clean . staff friendly helpful . elevator great - wait time ! sometimes real problem hotel ' ve stay NYC . bed comfortable linen new fresh . Bathroom hairdryer . closet size small certainly adequate two people 's week 's worth clothe . advice not overpack - amazed size suitcase people drag along ! store within two minute ' walk distance buy anything may need - toiletry clothing . ( example , want cheap thread , right around corner Conway store get entire outfit $ 10 . ) location hotel convenient two subway line well train bus station . quite restaurant area , include fast food want quick bite . stomach handle , suggest go two block Gray 's Papaya & quot ; Recession Special & quot ; - two hot dog drink $ 4 ! business center hotel computer one two printer . workout room nothing spectacular need walk around day . would highly recommend stay New Yorker hope guest someday . 
 Sep 13 2009 	 great location small good room 	 Location spot - directly opposite Penn Station 10 - 15mins walk Times Square . get hotel airport easy , use airtrain JFK Jamaica Long Island Rail Road ( LIRR ) Jamaica Penn Station - cost $ 18 , take 45 min . room fairly small , perfectly adequate trip spend time see city . room clean bed comfortable . glad air con room heat wave visit ! pretty good value consider hotel location , room pretty small price . Tick Tock diner hotel must , serve great breakfast friendly staff . 
 Sep 10 2009 	 Great Stay 	 stay not really problem . lady check - in not friendly security guy be make , always helpful ask question area go night - they could not friendlier we . 3 twenty - something girl always feel safe area - and could not complain loaction ... 10 min walk times square ! central metro stop outside . room modern clean . fact , maid fantastic ... room horribley messy even tidy mess dump everywhere - never well maid ! could not really comment food diner do not eat ... ny , hotel majority time . one thing ... not buy hotel phone card planning call UK ... do not work take money . would recommend , would problem stay ! 
 Sep 10 2009 	 Best Hotel far price ! 	 third trip NYC third different hotel time hotel top previous one . we arrive New York JFK airport take yellow taxi directly New Yorker . air train come Penn Station close hotel 4 we total l do not want parent lug case , taxi easy cheap option- $ 45 plus tip toll $ 55 total . check quick easy lady give we direction tell we diner restaurant . our room locate next request 19th floor . view little disappointing see Empire State building room be not end world we . room newly decorate clean . read review site regard bug l check room thoroughly peace mind ! do not find anything . yes room small everything need include flat screen tv , hairdryer , storage space even bath never NYC city hotel ! eat breakfast Tick Tock diner every morning convienient parent need breakfast . expensive place food good , portion large , staff friendly hard work much easy leave hotel . whilst hotel centrally locate close one land mark , whilst ok we mean bit walk subway station taxis close hand . previously stay Hotel Pennsivania Milford Plaza , New Yorker good quality hotel location Milford Plaza central Times Square . read review place people stay time we different story ! overall l would say , get pay never expect cheap New York hotel room much big room walk around bed ! go New York shop sightsee hotel great , go spend lot time room need pay . personally use room base spend time . hotel bargain ! 
 Sep 9 2009 	 Right action 	 ' ve stay hotel twice , renovation progress , since . 's fabulous . location great , renovation improve sight . Coopers restaurant really great come home day , enjoy fine dining right hotel course Tick Tock Diner always bustle great food 24 hour day . the staff always helpful courteous . always stay stay N.Y. way Melbourne Australia . 
 Sep 9 2009 	 great location sophisticate great breakfast diner 	 think hotel great . big art deco style hotel impressive reception hall express lift floor 20 beyond . 20th floor not much view good price New York 2 room ( single room ) go Mother . these room fairly large queen size bed would say nice touch like art deco light , furniture bathroom fixture . also nice HD plasma tv 's alarm clock nice sheet duvet . location great - could see 34th St Penn Station subway room , directly we station serve , c e line train ( take right near airport airtrain JFK airport ) block away another Penn St station subway serve 1,2 3 line - take Staten Island Ferry , Times Square West side Central Park . but not need subway walk Times Square ... 10 minute walk Empire State building 10 minute walk also . go Madison Square garden event would probably good hotel across road . New York quite noisy siren hoot air con great window close later evening traffic die not get disturbed noise sleep . the hotel diner attach call Tick Tock diner 24 hour serve great breakfast ! massive portion although see people complain expensive not really think case - compare place New York .. New York expensive eat think . hotel staff okay - nothing special , check we check we minmal effort busy security staff lift friendly . price pay 2 room would not got price 1 room hotel satisfy pay standard hotel location . plan go back NY husband would hesitation go back New Yorker Hotel . 
 Sep 8 2009 	 Rude Staff mouse 	 begining stay actually nice , come ba0ck room find bag pretzel chocolate nibble piece . call manager put voice mail , call operater disconnect ! third call get security manager call manager we . strange young man ( not get name ! ! ! ! ) ask number question regard condition bag , move room . upgrade , that s joke room 2x2 bathroom that s shelf maybe 2 inch wide crappy breakfast ( not even think mouse would eat that s eat chocolate pretzel ) probably would okay handle diffrently , almost bother manager bring attention . way season travler stay fair share moderate high end place bad bad experience . leave go small hotel across way enjoy rest time New York . sad really hotel stunning look not stay , bring mouse trap ! 
 Sep 7 2009 	 roach Vagrants 	 Place look okay room average , however wasa giant giant cockroach room . came move we time punch key computer , yet one person say sorry . I m jumpy person . highly afraid bug would expect apology . bunch dodgy people lounge lobby . location good . rest poor 
 Sep 5 2009 	 poor service 	 not expect room book Priceline one queen bed . want check matter could somehow solve manager . manager hotel , Mr. Rowan Bechford , arrogant , unfriendly impolite . try explain situation not want listen , interrupt several time , let complete phrase facial expression show total disdain uppity . another guy reception desk blue start make fun sun glass , make unpleasant joke comment . not allow familiriatie people meet first time . US citizen English not flawless . reason face attitude someone , work service . worth mention , size room approximately equal size hotel 's elevator . 
 Sep 4 2009 	 good stay 	 plus point ..... great location , within walk distance maddison square gardens , times square , empire state building , Macys , enough eat place proximaty please everyone taste . subway station right outside hotel , friendly staff , quality furnish clean room , free WiFi access room , great view iff get right room , Minus point ..... beware use hotel airport transfer service , , always turn , tick tok diner though food good overprice , wish see broadway show use hotel ticket sevice pay double ticket price . all great hotel great time teenage daughter great city enjoy ... 
 Sep 1 2009 	 Faultless Spotless Hotel 	 maybe low expectation , New Yorker absolutely fantastic hotel eye , superb location , right Penn Station , 2 minute walk Port Authority Bus Station , manner 24hour food outlet surround , well air condition room , great shower , great view , hotel staff amazingly helpful sight wife search , circle area map we suggest method transport use get want , return next summer another week . 
 Aug 31 2009 	 Great be travel via Penn Station 	 husband travel East Coast US train - arrive Penn Station Boston . three day later leave train Penn Station Atlantic City . choose New Yorker mainly close Penn Station , therefore far carry bag . right - conveniently locate station , pleased choice . this second time sightsee New York , last time stayed uptown . stay midtown ok , not mind bit walk ( say 15/20 minute walk Times Square , Rockefeller Center etc ) . subway convenient get downtown e.g . Status Liberty . not travel train , think would prefer stay uptown . breakfast diner ok , busy . one morning unpleasant people argue table next we . bar good drink - friendly . not eat bar serve food . the service hotel not good ( pretty rude staff check - in ) . room , 34th floor , small bathroom bite nasty . overall , price pay , think pretty average New York hotel . job . 
 Aug 30 2009 	 Loved ! ! ! ! 	 second trip New York location hotel totally perfect ! right opposite Penn station Times Square many place within walking distance ! ! hotel great , room 2818 good size two plenty storage space , room bathroom clean shower brilliant . fancy fantastic milkshake strawberry shake Tick Tock diner well ever taste breakfast diner really good . would stay hotel recommend , be 5 star ( advertised ) 's clean comfortable staff faultless . for get around Metro pass purchase subway station great buy $ 27 7 day unlimited pass , use subway bus go many place pass . could go forever , hope second trip would get city system would return tomorrow could NYC well never feel unsafe 's fab place ! ! 
 Aug 29 2009 	 Dissappointed 	 finish multistop holiday across states wife finish New Yorker , arrive check tell room small , say tiny , really single room queen bed . day sightseeing like unwind couple glass wine bar take glass room finish day , problem hotel , tell glass allow room offer Macdonald style paper cup wine , exactly classy , top tip put bill barstaff run 18 % , worth service , unlike hotel , charge leave baggage porter checkout . do not want put hotel far I m sure little think policy change could wonderful hotel 
 Aug 29 2009 	 average 	 Torn whether would recommend hotel client , friend family . good adn bad point . good : Air Conditioning hot Summer New York day / Location , right near 34 Penn Station near Maddison Square Garden Bad : Noisy , noisy . room small ( give NY know tell place recently rennovate ? paint job botchy ) . turn hot water shower never put cold water hot tap send luke warm water ! also nozzle spray bathroom ( not update bathroom ? ) check unpleasent reception lady later nice lady.overall tear . realise quite old hotel not much room improvement . I guess would recommend budget traveller . 
 Aug 27 2009 	 outstanding hotel great value location ! 	 hotel fabulous ! one favorite thing art deco style , classic old New York city glamor ! travel August 18 & amp ; 19th . upgrade suite terrace view Empire state building . recomend location highly enough , especially come city via connection Penn Station . describe nice drag luggage subway . convinient subway ( station right ) . also give we free breakfast perfect ! room clean nice neighborhood . stay times square , well ( cheap ) less road noise , light flash window night . nice quiet comfortable bed . two thumb way ! 
 Aug 27 2009 	 Good Location Price Room 	 title speak . location perfect , walk distance many local attraction . staff helpful , room tad bite small clean . definitely would recommend hotel . 
 Aug 24 2009 	 Location location location 	 finding decent , reasonably price accommodation New York City challenge . 's case pot luck recommendation friend . thankfully New Yorker latter disappoint . situated 7th Ave 35th St , seven block south Times Square three block west Empire State Building , New Yorker fantastic hotel base city adventure . it be Art Deco classic inside , offer 900 room amenity would expect part Ramada chain . we twin room although little tight get two double bed room , comfortable importantly room clean modern . nice flat screen tv incredibly deep bath , too . the Tick Tock diner ( attach ) little pricey although certainly worth try tleast breakfast . cost $ 1 per item leave luggage hotel have check think pretty reasonable nyc.gette hotel JFK / La Guardia pretty straight forward . take Port Authority run Airport transfer shuttle Penn Station - hotel one block north . shuttle $ 12.We get cab hotel JFK $ 50 advise standard airport rate . 
 Aug 23 2009 	 great location - super value ! ! 	 room small , husband super pleased location , cleanliness hotel , demeanor staff . would highly recommend hotel anyone look inexpensive , frill , clean place stay . location awesome . always cab front hotel , subway hard navigate Penn station across street . 
 Aug 21 2009 	 Charming Art Deco Style Hotel 	 nice little jewel discover New Yorker Hotel ! locate conveniently across Penn Station around corner Manhattan Center , Empire State Building attraction within walking distance . room small oppressively . one window magnificient view Empire State Building . decor charming art deco 1920 's feel . room clean , bed comfortable , large flat screen tv great add bonus full sized mirror outside bathroom . feel secure safe hotel 2 woman vacation alone NYC . plus : one get past security get elevator room without show room key guard . criticism : * 24 hour diner associated hotel awful . service awful , food mediocre price . unless else go , not advise bother . walk foot away towards Penn Station go another diner corner will far well experience well food reasonable price . * bathroom vanity shelve put toiletry pain 2 woman room . provide blow dryer nice ammenity . bathroom big closet . * tv place side room desk awkward want watch either bed seat . , well price hotel heart NYC totally recommend ! definitely stay . PS hotel movie Grey Matters ( 2008 ) . 
 Aug 19 2009 	 Perfect location helpful staff 	 stay New Yorker first visit city could not fault . slight mix arrive lead 15 minute delay check , staff extremely apologetic upgrade we well room . location fantastic , right next Penn station subway couple block Empire State Building Macy 's . room clean reasonably sized , attach hour diner serve decent food good price . 
 Aug 18 2009 	 good hotel tiny room 	 second time ' ve stay hotel , good , clean , comfortable , basic little room , be swell . location great , be always really busy . I leave computer home time use business center , 2 computer ! hard believe hotel size . the price right , ' ve stay lot well place rate ... 
 Aug 16 2009 	 great location 	 New Yorker offer we clean , quiet stay centre Manhatten . compare New York hotel reasonably price - though stay anywhere else world price would expect lot luxury . room small functional clean bathroom . staff overly friendly helped ask . tick tock diner downstairs excellent ( especially Oreo milkshake taste heaven ) . main thing location - two block Empire State allow we explore Manhatten without worry return late night . would stay . 
 Aug 14 2009 	 small clean room great price Manhattan '' 	 stay yesterday along colleague one night . low price room , queen room . room indeed small . door hit bed open , quite close ! however , experience , small room common NY hotel . important , one quite clean staff friendly . free wi - fi helpful . $ 160 room rate small , clean room convenient area well worth . colleague agree would stay business bring we back area soon -- likely . theatre district walking distance -- 10 block .. read review booking room , choose breakfast adjacent Tick Tock Diner , find also reasonable price basic diner fare . hotel would say would fairly average three star term amenity , room rate , cleanliness , convenience make good value . account overall rating 4 . 
 Aug 12 2009 	 great hotel nice staff 	 stay wife 2 teenage child week . room small compare european hotel , clean well design lot storage space clothe . staff friendly helpful . Coopers bar staff well ever experience hotel . 1 small insect problem , report staff imediately offer send someone pack bag we move we another room . say not necessary , someone room within 5 min remove offend insect , send we voucher free breakfast . quick efficient expect New Yorker . Loved hotel ....... 
 Aug 12 2009 	 fantasticly cleanwell run hotel 	 10/10 location , room good size New York clean . the staff helpful security guard lift make feel safe . I would def stay New Yorker would recommend . 
 Aug 12 2009 	 Outstanding 	 get back stay 6 night New Yorker hotel . recently refurbish room art decor roomy comfortable . the hotel central perfectly situate see sight . one thing miss marketing brochure fact great view Empire State Building road rear great view Hudson Bay . the staff helpful friendly hotel close numerous eating place . well worth stay good value . 
 Aug 9 2009 	 BEST HOTEL stay ! ! ! 	 stay hotel 3 time will go back ! hotel good location .. miute walk Macy 's department store famous Broadway ! ! liteally 10 step around corner hotel subway ! really great restaurant nearby hotel ! ! hotel also offer 24hr diner food great ! hotel one new york old hotel room really great .. may small clean , fantastic view city location perfect ! hotel refurbish recently that s even beter ! staff diner lovely .. reception staff nice helpful sometimes bit slow though . safes hotel useful ! get lose city look likely see & quot ; New Yorker & quot ; sign .. be tall ! ! 
 Aug 3 2009 	 Value money 	 stay hotel 1 week friend . arrival upgarded room we . however like lighting room , dark near mirror . would problem we , two girl need decent mirror space get ready every day . go straight back , show we another room like transfer we . decoration room pretty old fashioned , could do make . however price pay room reasonable . clean , important factor we . staff extremely friendly helpful . highlight we stay hotel . location GREAT ! ! right next Penn Station extremely convienient , 10minute walk Time Sq . also lot clothe shop near anyone come shop New York , Macys less 5 min walk away ! ! brilliant ! ! would recommend hotel anyone come lesuire break , want lot shop well sight seeing ( will not spend much time room ) . 
 Jul 29 2009 	 totally hype New Yorker ! 	 skeptic read anything negative property please disregard . season traveller stay well well worst bad year . property CLEAN , ideally locate attraction NYC . staff friendly especially Susie concierge desk ! check first day great map NYC . Tick Tock diner handy meal give large portion . maid service good front desk send coffee maker upon request charge stay . bed extremely comfortable . 3 adult room 2401 receive nice sized room two double bed 2 - 4 piece bathroom ( yes say two bathroom ) . certainly handy three woman get ready morning . please not hesitate stay New Yorker Hotel conveniently locate kiddie - corner Penn Station street Empire State Building Macy 's Department store . also , NYC try take street vendor fare disappoint . try Falafa evening meal grab fresh fruit light lunch breakfast . be great can not say enough ! also look NYC bagel place . good one 50th near Rockefeller Centre 6th 7th Ave . call Au Bon Pain . nothing like New York bagel ! love cheddar jalapeno variety ! discover tour operator call Board tour . charge $ 59 per person 5 1/2 hour tour 14 people . great small group hear everything ask many question . get highlight , include Ground Zero , Staten Island Ferry , Statue Liberty , Central Park , Wall Street etc . , etc . would like give shout guide Edwin survivor 9 - 11.the carriage ride Central Park affordable . base time number rider . 3 we 25 minute around $ 35 usd . also try little rickshaw ride , reasonable highly recommend night Times Square ! Hope help travel NYC . wish go ! ! ! LOVE NYC ! ! ! 
 Jul 29 2009 	 Big Hotel Big Room Great Location 	 travel New York first time July 09 , like many reviewer , idea stay , recommend hotel may unsure . arrival , able check - in early expect ( welcome tiring day travel ! ) stay hotel 10 night , receptionist advise we allocate & quot ; large & quot ; room view Hudson River . satisfied room well present clean - complete walk wardrobe , well additional wardrobe . note early review , shower bit savage hot water take come morning . apart everything fine - large LCD tv great , free WIFI connection . breakfast Tick Tock Diner morning , find menu varied food excellent . totally agree location - could walk main attraction , get subway close . take taxi airport come ( learn curve ! ) , get train Penn Station way back - much cheap & quot ; safe & quot ; option ! ! staff hotel extremely helpful friendly , would not hesitate stay . 
 Jul 28 2009 	 would totally stay ! 	 love New Yorker . room always perfectly clean , staff attentive friendly . absolutely worth rate ( be Manhattan ! ) . upgrade slightly large room upon check - in accommodate we well . be central lot thing mid - town walking distance , need go uptown far downtown , Penn Station subway entrance block ! 
 Jul 27 2009 	 good location standard room could better 	 good location near Maddison Square Gardens , however standard room poor compare hotel area . hotel close amenity underground short walk away Central Park . be visit New York first time not want spend stupid amount money accommodation hotel you . the hotel classic american diner side great snack take away food would definately recommend eat first meal New York 
 Jul 27 2009 	 got HereNo warmth ... Welcome water 	 find urgent write review form venting . receive bad service every experience hotel . stand line 5 mintue two man desk , one guest stand neither one greet . one finally ready assist summon waive . like wow interesting especially since name tag read Delworth Assing , Assistant Front Office Manager . thourghout check - in attempt engage question , rude . hand key tells & quot ; oh way may problem room , & quot ; inquire kind problem ? say leak morning , ask could move another side building . respond say room effect leak turn hot water . ask long say not know . unacceptable , arrive red eye unable take hot shower . write review 20 mintue . WHEW .. guess get well . oh yea one person greet security office name tag , ensure get correct elevator room . room literaly size walk - in closet . 
 Jul 27 2009 	 Art Deco brilliance brilliant location 	 receive complimentary room upgrade room magnificent view city include Empire State Building Madison Square Garden . room though small , romantic , warm charming . location within easy walk distance major attraction Manhattan . check - in check - out smooth staff helpful friendly . Tick - Tock Diner downstairs handy breakfast , lunch dinner expensive . McDonalds Burger King close transport option . complaint shower . showerhead adjustable fix one spray option hard feel sandblast . , water temperature lukewarm well find run shower least 10 minute warm enough use . hotel lot history lobby reception area fine example art deco . , great place stay ... hope shower water issue rectify next visit ! 
 Jul 26 2009 	 Excellent Central Location Friendly staff 	 american hotel , healthy living conference whilst buddist monk wonder around sort crazys , v.funny random . room small date could still hear honk orange ( yellow ! ) taxis fire truck / police whoop outside . staff helpful feel oblige tip heartbreake Yorkshire folk . Tick Tock diner nice breakfast . great place explore , near Times Sq etc around corner macy 's . gym small basic pool . would probably stay . 
 Jul 26 2009 	 Location Location Location 	 right heart manhattan . directly face madison Square garden Minutes empire state building , Times square etc .Tgi friday opp hotel hotel room basic upgrade need staff credit owner .Can say enough good stuff 
 Jul 25 2009 	 Professional staff great location 	 stay hotel week , really like ! room small , nice clean . concierge help we ticket , transport desk arrange transportation JFK , borrow adapter front desk , airconditioning start make funny noise 11 pm janitor come fix 10 minute . overall staff location make hotel good . oh , free easy accessible Wifi ! 
 Jul 24 2009 	 big hotel small room great location 	 travel NY winter , early year . first time New York , idea area stay . look tripadvisor review not help we make choice far many hotel ! end decide go New Yorker locate close train station would get train Liberty airport , NJ . could not convenient ! get Penn station , hotel minute ' walk . hotel really big ( can not remember many floor ! ) like architectural style . 's typical building would expect see NYC . Checking take time many holiday maker . room kinda small , not fuss long clean room , clean sheet clean bathroom . apparently room one refurbish , rather modern new . can not agree review , location excellent . could walk virtually anywhere hotel ! Broadway , fifth ave , central park , way battery park ... fantastic location ! reason would recommend hotel . 
 Jul 24 2009 	 poorly appoint room worth hefty price 	 may legendary hotel , think keep time . main asset ideal location right outside subway station good diner attach hotel . unfortunately Ramada Group 's & quot ; recently renovate & quot ; room service claim hotel ready modern era . room clean , tea service , kettle ( slowly get pitifully small coffeemaker request ) , fridge minibar . essentially pay hefty amount extremely basic room , without breakfast , central location . would recommend hotel basis location - location - location people need get Broadway show foot ( 15 min walk ) Port Authority Bus Terminal ( 10min walk ) .In addition would suggest hotel management streamline check - in check - out system , seem front desk staff tap keyboard inordinate amount time guest , result unpleasant glut tired traveller wait queue main check - in check - out time . not expect hotel pedigree . 
 Jul 23 2009 	 Nice hotel perfect location 	 city trip NY January stay 2 night New Yorker . short excellent stay . location perfect , arrive city center train Penn Station Madison Square Garden . hotel around corner . the room renovate , small , clean bed good . staff helpful could leave bag small fee baggage room near reception . you walk hotel right Tick Tock Diner excellent breakfast . price Diner really ok , consider portion get . next time book New Yorker Hotel , place need city trip . 
 Jul 22 2009 	 Pleasant Stay Good Location 	 New Yorker old hotel , well - renovate Art Deco style . double room spacious , bed comfortable , everything spotlessly clean . unlike old NY hotel , elevator airconditione efficient good repair . location well serve subway bus , Broadway theater walk distance . 
 Jul 21 2009 	 Nice hotel - perfect location 	 arrive hotel noon , train Newark Airport . check - in time 3.00 pm , first lady talk say could leave bag luggage room , 2 minute later another lady front desk find room immediately . 21 floor . view wasn´t good , hey , wasn´t look window ! room big enough we , one queen bed comfortable . often hotel comfy bed . walk distance Empire State Building , macy´s , Times Sq . , Flatiron Building . bring comfortable shoe , foot kill .... one day walk 26.000 step , step counter time check far walk . we breakfast restaurant call & quot ; Stage door & quot ; , breakfast hotel expensive . go back ny , stay hotel . 
 Jul 21 2009 	 's location ! 	 stay New Yorker August 2008 - could choose well location ! block Madison Square Garden , directly near train station , particularly easy get . easily walk anywhere would like go - leave hotel 9:00 , return almost midnight ! plenty see . room modern update - large , spend day room ! nice din next door , perfect fro breakfast . eat lunch go - Rockefeller Plaza ( good , tremendous , shaded cool ) , another time vendor . Dinner Little Italy - unbelievable ! 
 Jul 21 2009 	 nice 	 excellent location , excellent location excellent location ... else say .. staff nice . room nice view newy ork high . room small nice really like .. 
 Jul 19 2009 	 great location city history 	 remember hotel room NY small New Yorker average size . location great ; right near Macys , 2 subway station , load bus stop $ 10 - 15 dollar cab Time Square . the lobby fantastically decorate updae room tasteful . the Diner ; serve great food consider cost good late night snack be tired stay close home . the price reasonable quality hotel location - owuld downgrade get much close in . the staff effificient certainly hospitable ; post room even help parcel . 
 Jul 15 2009 	 essential part New York experience 	 mother grow shadow New Yorker , want stay week . join weekend - trully magical place . price reasonable , service excellent , view drop dead gorgeous . 2 terrace - one could seat 8 dinner ! ! ( not get balcony NYC hotel ) college friend stop drink dinner , not want leave room ! location central everything - subway Penn Station across street - 10 minute walk times square - history wherever turn . stay - regret ... 
