budget 	 hotel locate center London . allow easy access main objective , via bus via underground . we arrive late first impression lobby & quot ; frill & quot ; .Room clean keep like whole 5 day stay : 5 + star maintenance staff . furniture simple practical fit well neo style . comfortable bed , moderate size room 2 ppl maximum ( consider european standard , though american might find small , nonetheless tiny ) ; small bathroom , claustrophobic : ) . one many thing London will not spend day hotel room , feel really minor thing . great staff reception also restaurant / breakfast room . also maintenance stuff friendly great job . very good breakfast price ( enough option like : english breakfast , fruit , french croissant , cereal , several variety tea & amp ; coffee , etc ) . vegetable could add really make difference . stay 5 day enough morning option feel bored : ) really recommend hotel , first choice visit London . big price difference online lobby quote : book online , might able stay 50 % day . 
 Nov 20 2007 	 Great Hotel 	 great hotel . room clean spacious . flat screen tv 's also connect interent - cool . arrive midnight bar busy upstairs room quiet . breakfast amazing - would come back breakfast ! 
 Nov 10 2007 	 Location friendliness 	 stay hotel October 2005 could slight change since ... stay 2 night get pretty good Eurostar + Hotel deal . really pleased experience . this first visit London & quot ; real & quot ; tourist ( live London 3 year go back home country ) . aim find cheap place stay , good location . get expect . this hotel not actually super central 10 minute Tube ride Oxford Circus Piccadilly . think 's nice go back quieter area spend night long busy day shopping heart City ! staff pleasant friendly . french could really feel french vibe ( ' m French not mad ) . definitely speak good English . room quite nice . view so - so rest fine . spotlessly clean , shower big enough tall self ( ' m 6 ' 4 ) . bed comfortable , chamberladie say hello walk past morning , nice quiet breakfast sort mini croissant good general atmosphere . go bar second night enjoy beer watch football screen . bartender friendly French ; friendly everyone . this weekend London great experience hotel definitely make even well ! much recommend tight budget . 
 Oct 31 2007 	 clean place sleep 	 hotel great location clean . sit top Aldergate East Underground station . staff rude amenity terrible . accord front desk one hairdryer entire hotel ! pillow hard sleep . bathroom exactly like one would find cruise ship cabin . overall , cheap place sleep great place location would stay staff . 
 Oct 24 2007 	 Practical 	 stay 3 night begin Europe trip September 2007.the location handy tube around corner lot thing within easy walking - distance . like Ibis hotel room , get pay really need , i.e . bed , shower , tv space put stuff . everything clean hotel friendly atmosphere similar property somewhere else central London . the restaurant nice , decently price menu food good . should find need accommodation part London Ibis hotel good bet . 
 Oct 23 2007 	 excellent choice London 	 partner stay whenever go London . easy find ( right Aldgate east Tube ) , handy Hoxton , Brick Lane , Shoreditch , Columbia market etc . it be busy chain hotel , be bit impersonal , facility good , clean , room good . recommend . 
 Oct 20 2007 	 clean great location price 	 Ibis London city good quality price location London . room basic immaculately clean literally around corner Aldgate East tube station . staff helpful breakfast adequate . within walking distance London Tower . 
 Oct 19 2007 	 good functional hotel - clean soulless 	 hotel seem modern certainly build ultra - functional enterprise . e.g . easy clean bathroom , simple furnishing , minimal decoration . make glaringly obvious hotel run money ( heh- not course , not necessarily wish feel like another number room ) . corridor room particularly clinical - like row cell modern prison ! would recommend hotel look clean , modern hotel base explore London . will not want spend hour hotel immediate area pretty rough unattractive . conveniently place right next Aldgate East tube short walk financial district City . would recommend hotel holiday enjoy London tourist ( go stay somewhere West city ) particular area , can not imagine could much well . not bother breakfast . basic , continental coffee AWFUL ! side hotel let thing . staff helpful . supply one pillow one towel per person , rarely enough , happily give extra ask . stay 9th ( 10 ) floor relatively quiet . little noise outside , especially keep window shut . appear many restaurant immediate area explore far . on whole could lot bad hotel . think quite expensive , London hotel always . 
 Oct 14 2007 	 love ! ! 	 good ! ! great hotel ! ! good location , excelent breakfast ! ! ! 
 Sep 21 2007 	 Good Value 	 book via IBIS website review comment Travelcity website . stay 5 night Sept 2007 7th floor . check swift minor language barrier staff french difficult overcome . would agree previous comment , good pay check desk become busy time wth long queue , although staff efficient . room big enough , one outstanding feature clean keep way throughout stay . hair dryer provide every room hope one available desk request . ask desk staff something give deliver room quickly , ie need extra coat hanger , towel , tea milk . Shower , toilet & amp ; wash basin integral plastic unit suitable functional although much space leave toiletry anywhere . flat screen tv room good reception . noise adjacent room ( good solid wall ) . room wardrobe big drawer unit put clothe in . hotel situate next door Aldgate East station 5 min walk aldgate bus station tube station . also 10 min Liverpool St station . good eat place situate round area . try restaurant IBIS.Good value overall especially place expensive . room really suitable relax spend nearly time tour London need . bar noisy times good area relax . overall good experience . 
 Sep 21 2007 	 gem price 	 stay one night 10year old , late hospital appthaving live locally recently think would try place trip advisor good comment . must say staff good greate we warmly , room clean tidy strangely quiet middle noisy London . restaurant excellent good special wine resonably price hotel bar . restaurant busy 8 am morning did'nt really like quee breakfast like school . but would definately go every time hospital appointment . 
 Sep 20 2007 	 great value money 	 stay long weekend , book hotel 's website . special weekend low rate stay three night weekend ( £ 51 night weekend ) think excellent value money , especially London . hotel nice reception area bar restaurant . breakfast restaurant ( additional charge ) one morning- good continental style selection . the room luxurious adequate great price pay . clean every day big comfy bed flat screen tv . ' ve read couple comment trip advisor say hotel not good location disagree . right next door Aldgate East underground station , right City within walkable distance Tower London . also street Spitalfields Market ( def worth look Sunday morning ) street nice bar restaurant . addition stone 's throw Brick Lane . complaint would despite total cost stay little £ 200 , reception staff pre - authorise £ 400 card ( despite say happy pay whole cost stay front ) seem little excessive . I would definitely stay would consider Ibis hotel go elsewhere . 
 Sep 4 2007 	 one good hotel London 	 ' m London month , hotel favorite . price fair , location quite good , room clean . check - in check - out problem get want leave peak hour ( especially since not generate bill 3 am - early check - out / express bill ) , staff turn seem high ( always see new face ) seem still work lot paper ... efficient . the area quite noisy , make sure get room back building . 
 Aug 30 2007 	 Disappointment 	 centrally locate London hotel 100 GBP relatively good Tripadvisor review . though , disappoint due number reason . 1 . room cold windy - heating switch , untight window , draught ventilation outlet . room temperature 18 C. ask change room second night second one well , warm though . 2 . 3 towel double room . pick extra towel reception ( room delivery ) - dirty ! room , however , clean except dark stain carpet . 3 . wi - fi internet access room , contrary state web site . lobby Orange network accessible one could use extra fee . wire access room provide fee well ( sort 6 GBP per hour ) 4 . location far great . Aldgate East station around corner last station Zone 1 two tube line , train come often central line . limited bus connection central district - probably go Liverpool street ( 10 minute walk ) variety bus route . view room rather dull well . 5 . check - in credit card pre - authorize 200 pound , though book 174 pound . usually hotel , additionally offer SIGN check amount exceeding booking . staff promise cancel pre - authorization check - out . reason , imagine , make chargeback virtually impossible something go wrong . resume : much well hotel price . 
 Jul 20 2007 	 good value streache london price 	 hi stay 2 night june sit sun night . 4 star value money first class compare hotel london price . clean tidy room good location next tube . braekfast good good service . nice bar area nice snack / meal . stay , one small point check bit slow good 8 10 
 Jul 9 2007 	 good budget hotel 	 stay Ibis London city two night June . hotel new room spacious well - equip . free internet access wire internet available extra cost . room clean furnishing acceptable . book Ibis ' website issue check - in check - out . leave bag reception need . staff mostly foreign , would not rely detailed local area information . the hotel great area London - east London right next Aldgate East underground station . feel unsafe time , certainly well area stay . hotel within easy walk distance Tower London London bridge , still Zone 1 mean travelcard still cheap - ish . say , public transport London expensive - depend distance need travel group size , taxi may cheap . ( example , taxi fare Waterloo hotel 10 pound 2 underground ticket would 8 pound ) . be travel Heathrow , bear mind will need cross London get hotel - try avoid rush hour be carry big bag . overall , good budget hotel , would not pay 100 pound per night stay . 
 Jul 2 2007 	 good central location good public transport 	 stay IBIS London City 3 night , book website take advantage 3 night deal , save 25 % . hotel locate next Aldgate East underground station make ideal get around London . also 10 minute walk London Liverpool Street mainline station . the review hotel Tripadvisor mixed share observation . hotel clean modern decor fitting offer attractive ambience , room well maintain . room integrate bathroom , sence plastic prefabricate design good quality large shower , loo sink - everything need . lcd tv five channel , plus bbc news , sky 1 , couple radio station german , french spanish channel . tv also cable hook network port laptop . I room 9th floor overlook Gherkin , ask quiet room 2 3 night quiet siren nothing . problem Saturday night , even though return around 2 am , noise street level night club thump quite extreme . my impression housekeep good , do not leave room around 11 morning , disturb . dispite team maid always return serviced room , leave - even though next check due . check swift easy , however check monday mid morning tiresome . hotel obviously attract many visitor overseas , order front desk busy . various language speak guest desk staff mean group people end confused people serve turn . would advise pay front check save bother . do not eat hotel , restaurant bar look ok . 
 Jun 26 2007 	 Great Location 	 place affordable , centrally locate , comfortable . luxury look place else , need comfy place rest head , nice staff good choice . 
 Jun 26 2007 	 Good Location friendly staff 	 try find reasonably price room London read good review Ibis . Ibis London City June short holi work commence France week later . place good tube beside hotel . room functional traveller mention smallish . light sleeper occasional ambulance siren may wake . problem walk lot day must tired . problem aircon cos weather considerably cool may quite irritate air may get quite stale . agree reviews front desk staff good . also , use broadband speed reliable . would suggest use ground floor public internet access . 
 Jun 19 2007 	 price hard beat 	 sister stay May 2007 good thing say . take advantage 3 - night weekend stay deal 48 GBP . never see accommodation cheap London . 24 GBP per person night practically unbeatable , even really rundown place . imagine surprise arrive discover room spacious , king - size bed , cable tv clean facility . could not ask anything well ! fantastic deal . , right around corner Aldgate East tube station take we everywhere need go . would stay heartbeat ! 
 Jun 8 2007 	 bad ventilation / cool - beware summer bring earplug 	 hotel not bad budget option cental london . check - in bit chaotic , staff seem indicate come forward get process bark tell not finish previous client yet . maybe roped section people could line properly would not bad idea ? room student hall chic - pod shower room drop one corner , mdf shake stick . bed quite firm , think largely matress block concrete , be fine , like firm bed . real issue place ventilation . appear air con set wall temperature control . however , not operate night - call reception tell not air con , air - cool have open window . know Aldgate East will realise right next City Hospital air ambulance service operate , siren traffic noise night . bring EARPLUGS need window open summer . bizarrely , come 9am morning , air con unit room blow chilly air full blast . suspect Accor turn air - con night savve money reasoning give night manager fabricate . ibis claim be satisfied response problem within 15 minute , not pay room - well , not satisfy sleep bake house sleep window wide open Commercial Street traffic , one hotel make mention promise . functional , noisy , hot , reasonably price give centrality . 
 May 11 2007 	 Perfect 	 stay April nothing praise . take quite choose hotel reading review , quite simply .... : incredibly clean , modern comfortableB : staff incredibly helpful friendlyC : good locationpersonally do not want much hotel . thing would say find , ask hotel , somewhere eat , could find indian restaurant hour walking ! hotel nice bar restaurant howeveroverall , definitely recommend hotel 
 Apr 23 2007 	 careful .... careful ! 	 look hotel City London night London Marathon . find room hotel £ 75 pleased , book Accor 's website . when arrive , find usual price room night £ 65 . say notice Desk , also card back door room . nowhere say special rate apply night . also check Ibis guide room , although guide say room price may change without notice , far could see , turn day , rather give advance notice , would save £ 10.Now , hotel everything . everywhere sparkle clean new . staff pleasant . underground station around corner , car park outside congestion zone , taxis pass door ... could want ? well , would nice end sour taste mouth . say £ 65 book , desk , room , not feel good pay £ 10 . book agency , would shrug , think hotel 's site could make clear ask high price usual . nice feeling appear someone walk last minute get well price person book advance . book Ibis hotel future ask lot question ..... 
 Apr 21 2007 	 Great Budget Hotel East End 	 stay April 2007 day . hotel great location near Tower Bridge , Brick Lane , Southbank East End attraction . locate right next tube station within walk distance great sight / dining , budget hotel deliver expect ; clean , spacious room , helpful staff great price . no - frill room , 's good trip intend spend time rather room . room nice bathroom , LCD tv enough room two adult stay comfortably . would easily stay future trip . 
 Apr 12 2007 	 Nice hotel chaotic breakfast ! 	 4 adult stay hotel , take advantage 3 - night stay unbeatable 48 GBP per night . hotel easy find , 30 meter around corner tube station Aldgate East , convenient . Taxi Oxford Street cost we 16 GBP one night . nice welcoming staff , internet lobby free newspaper . room clean enough space . bathroom spotless . tv internet available . Breakfast however , rather chaotic . stay Easter weekend hotel seem fully book . Loooong wait line seem run everything people serve , staff replace constantly . complain nice enough remove breakfast bill ( 5 GBP ) . next morning breakfast small place nearby instead , solid english breakfast 3,30 highly recommend . the bar restaurant good . nearby nice traditional english pub , also small grocery store nearby buy snack beverage night . would definately stay price , will breakfast another place . 
 Apr 8 2007 	 stay Hotel 	 stay London City Ibis March 2007 would like share experience people . enter Hotel leave Hotel pleasurable stay . room spacious clean . en - suite spacious shower great . staff friendly smart , helpful . would definatly book go . Sandra Longstaff 
 Apr 2 2007 	 first time london 	 first trip London . last great hotelgood location . tube.it round corner . staff could helpful . tower London road one mile . come back London next year stop hotel . room clean tidy . 
 Mar 29 2007 	 Decent Affordable Hotel 	 stay Ibis London City two night March , overall , pleased stay . conveniently locate next tube stop , far St. Paul 's Tower London . room clean well - keep . though amenity sparse ( mini - bar , one towel per person , etc . ) , feel everything need short visit . friend pay $ 200 total 2 - night stay , breakfast include . , far , good deal find hotel heart London , fair share research . ibis , get pay . luxury , much nice stay hostel privately - run & quot ; budget & quot ; hotel ( hit - or - miss ) .Our double room fairly large , bathroom modern fixture . impressed water pressure shower -- well american hotel ! plenty room suitcase ( come long stay UK , lot stuff ! ) . maybe exhaustion nonstop sightseeing , find bed comfortable . breakfast lovely continental spread , plenty roll , croissant , bread , muffin , cereal , fruit , yogurt , beverage . well worth money spend . also dine in - hotel restaurant supper , quite delicious , convenient , affordably price . the one complaint concern front - desk staff . people work front desk speak English well , prove problem check later get direction . repeat name finally , write name guy order understand ( be common American / English / irish name ) . next day , ask direction nearest catholic church , another reception clerk look we like three head . ask , point direction , say , & quot ; think 's one way . & quot ; helpful ! staff friendly enough usually figure say eventually . 's something prepare check ! overall , decent place stay would certainly stay . 
 Mar 3 2007 	 convenient 	 stay location business middle February find convenient City short walk Lloyd 's . bus stop outside front door Aldgate tube station around corner . room small american standard , right UK hotel . clean quiet reliable high speed internet . daily internet cost pds 9.95 seem high especially since weekly rate available . continental breakfast good quality reasonably price . french restaurant pub lobby usually fill , although try either . many good bangladeshi restaurant Brick Lane two block away . stay . 
 Feb 28 2007 	 good location nice clean 	 happy hotel.the bed little hard , sleep fine . shower great , lot power nice warm . hotel clean personnel friendly , although hard understand sometimes . breakfast great , nice croissant . limited budget , expect , clean room , good shower , right next underground . next time ill definitely stay , hotel 50 meter subway , subway travel time stand location London . 8/10 
 Feb 27 2007 	 Nice hotel good cuisine 	 stay week business trip . location central , convenient go ExCel exhibition venue . hotel close undeground easy get point city . walk distance - Tower Tower Bridge . the hotel recently open interior quite modern good looking - lobby well room . simple , comfortable modern looking . room big , small ( especially London hotel ) .The hotel restaurant ground floor feature good cuisine - french , long hotel belong french hotel chain Accor . the staff speak English ( course : - ) ) also french - quite friendly helpful . in hotel wi - fi available room ( may floor , be well ask reception beforehand ) .In whole , hotel worth money quite much . would prefer stay next trip London . 
 Feb 27 2007 	 Clean 	 book hotel 2 week arrival cost £ 55 double room , breakfast . breakfast available £ 5.25 p / p. Hotel locate round corner Aldgate East tube ( Hammersmith & amp ; City line ) station 15 minute walk Liverpool street station , fenchurch street station tower hill tower gateway station . entrance , lobby , bar restaurant well present staff attend friendly quick . room large enough double bed , flat screen tv , internet , radio , movie additional cost . bathroom set corner wooden floor powerfull walk shower great . not see hairdryer though . our room view another building roof ! quiet away busy traffic front.bed comfortable sheet seem new although one flattish pillow leave we stiff neck next morning . I would recommend hotel anyone business pleasure . 
 Feb 26 2007 	 fair enough uncomfortable bed 	 book hotel base generally good review . say disappointed . main problem bed . never sleep hard bed . wake every day terrible back pain , old people . otherwise hotel ok : facility clean hotel quite new . mean exactly ok , nothing , furniture typical ibis quality ( plastic ) , toiletry , hairdryer , minibar room small . hotel locate cheap city would say price rip - off . 's London everything incredibly expensive , get limited budget . location exactly great 's really close tube , one strong point hotel . anyway , come back London go stay . not like spend holiday complain back . without bed problem , would rate & quot ; three & quot ; take account bed rate & quot ; two & quot ; . 
 Feb 21 2007 	 good enough 	 Standard Ibis fare whole hotel spotless , everything modern excellent condition , check - in quick , efficient friendly . room big enough short stay , adequate bathroom , good tv tea / coffe make facility . downside hard bed ever sleep ( rather slept ) view run tower block . let us kid , good part town , City stop several block away hotel really border run part East end . 's unsafe part London long take usual precaution . enjoy evening walk Brick Lane Spitalfield Market subway station right doorstep real plus get West End City without pay Central London hotel price . enjoy stay , 's good value hotel , can not forgive hard bed . less money get sweet , soft Hilton bed West London book early enough . interesting area convenient transport least will sleep surely point hotel room . 
 Feb 20 2007 	 nice hotel good location good price ! 	 room : - clean comfortable . en - suite , flat screen tv ( internet access ) .location : - Less minute walk Aldgate East tube station , bus stop right outside . easy walk tower brige / tower london . could possibly walk town , however drink , preffere idea taxi - cost £ 10 city centre . facility : - 24 hour reception kind helpful staff . restaurant open 11 pm ( last order 10.30 ) , bar stay open 1 am ( snack available bar also 1 am ) .Overall , good weekend - would definately recommend hotel would stay future visit . 
 Feb 19 2007 	 great stay air cool system ? ? ? 	 second stay hotel . location great . tube station step away be one stop Tower London . first stay good , learn thing second trip . hotel right next street air cool system well sure thing ! first time go June want open window hot hot enough hotel turn air cool system . ( mistaken air condition ! ) open window could sleep traffic noise . really get much sleep . hotel great . atmosphere nice staff nice . clean ! ! ! decide give second try . ask hotel room away street problem ! since February cool . like local hotel good bargin . 
 Feb 12 2007 	 Value money 	 hotel great value money . cost £ 146 three night ( hotel website weekend deal ) , fantastic rate London . stay 13 year old son family room kingsize bed single bed . room clean spacious tv pay movie ( £ 5.99 ) . breakfast continental £ 5 excellent value . son pay anything . whilst slightly way , hotel next door Aldgate east tube . around 15/20 min tube Westminster / Piccadilly / Oxford Street . the negative area surround hotel great certainly feel safe . second floor could hear traffic time . seem busy place Ambulance / police / fire engine go . good night sleep general though . I would recommend hotel anyone . save money hotel spend London instead ! 
 Feb 11 2007 	 fine business trip . would stay . 	 exception , ' ve stay Ibis hotel pretty much know 's store book another . woke swear could Sheffield Ibis , Glasgow Ghent - picture wall even appear same . the staff welcome enough , although initial language barrier . early review say clean staff friendly reception staff , tend agree . I stay business Ibis City London ( £ 89 per night satifsfye employer 's stingy budget ) . hotel well locate tube . Aldgate East station literally next door , give access Hammersmith & amp ; City District line . TIP : try avoid use Aldgate station , whilst be particularly long walk hotel mean use underpass , feel menace dark . also get Aldate East tube follow sign & quot ; Toynbee Hall & quot ; - mean emerge next hotel rather Whitechapel Road . although not get chance sample either breakfast bar facility , ' m sure past Ibis experience hazard educate guess would like i.e . ok / good . decent stay good access , quiet clean room relatively welcome staff . would certainly stay recommend hotel business trip . leisure break have inclined try West End budget accordingly . 
 Jan 18 2007 	 great location ! 	 although ibi like other ( clean , comfortable , bad surprise ) , sell well enough great location . first - time tourist London may see beat track , distance West end theatre and/or British Museum , superbly locate visit art gallery Whitechapel ( dorrstep ) exotic restaurant market Bricklane & quot ; Banglatown & quot ; ( 50 metre way ) . also short walk Tower London one direction vibrant trendy eat drinking scene Smithfields Market . will make regular London hotel . 
 Jan 17 2007 	 Best Hotel ever Stayed 	 stay 3 night , , last weekend . probably good hotel either we stayed think good value comparison price 3 star hotel capital city . service good find staff friendly helpful . room- bed big comfortable , bathroom well appoint big walk shower , flat screen tv house movie broadband access . love , bar ambiance hotel . thank previous comment make we choose hotel ... 
 Nov 5 2006 	 exellent value London 	 hotel rate London rise dizzying level , especially major trade event , hotel stand gem . modern , clean , excellent tube access ( literally next door Aldgate East stop ) , accommodate staff , Ibis City find . one hotel require prepayment ( loss re cancel ) rate , well , reasonable . room functional , comfortable bed , diminutive spotless bathroom , flat screen tv , broadband internet access ( , $ 20 day reasonable London ) . hotel French , staff restaurant , guest mostly continental Europeans . be necessarily bad , cuisine style come , without notorious french attitude . sum , would stay without question . negative 's slightly tourist track , London move east ( Canary Wharf , etc . ) , bring place like Greenwich ( great place spend afternoon ) , Liverpool Street area , Thames river cruise close , West end Kensington minute away tube . 
 Nov 4 2006 	 good option price range 	 stay 2 night base reader 's recommendation , agree one well accommodation option Zone 1 , end market . bathroom well design sufficient space room acceptable . breakfast excellent price ( bargain GBP4.95 ) , fresh fruit , cheese good , hot crossaint . note alot dining option area not like indian food , fast food chain hotel meal . 2 coin operate internet terminal lobby , reliable . whilst luggage room available , secure check ticket staff collect suitcase . 
 Oct 23 2006 	 help ! can not breathe ... 	 Greg Dublin absolutely right , would great hotel could bother sort temperature bedroom . , wife weekend London ruin uncomfortable , sleepless night . the lobby clean welcoming , staff perfectly friendly , lift work pleasant atmosphere lead believe might great place stay . however , get floor ( case floor 3 ) heat hit . be hot , air stale humid . after meal , wife come back hotel around 10.30pm get sleep . uncomfortable sleepless 3 hour go reception complain temperature . less - than - helpful Duty Manager tell nothing could . point hotel claim ' Air Cooling System ' tell winter ( actually late October ) turn . ' assistance ' offer tiny electric fan ( not work ) jug ice . also suggest open window . bear mind Saturday night central London major hospital nearby , sleep window open option - even ear plug ! curiously trickle cool air come vent get back room , enough make place comfortable . breakfast time stop place tropical again . the room decent size clean , bed ok shower great , count nothing can not sleep ! perhaps turn air - con summer ? [ aside , sticker window say room double glaze window lock safety guest . however window not lock device suppose limit far open remove . possible completely open window easily straight drop street level third floor - even convenient bench window small child could easily climb . bear mind senior member staff advise open window cool room question important Ibis , keep electricity bill keep guest comfortable safe ? ] 
 Oct 21 2006 	 Great Quality 	 stay Holiday - inn last several year , decide give hotel try base previous review .. room comfortable , clean , flat screen tv broadband access real difference . breakfast really nice ( get french pastry ) .The front office desk friendly skilled handling business request . the hotel great , would give strong recommendation vacationer also business traveler . 
 Oct 17 2006 	 reptile ! ! 	 proper air - conditioning could great hotel . I stay wife weekend . long back month Malaysia well use hot condition . exit lift like step " Botanical hothouse " . time reach room gasp fresh air . unfortunately open door find hot within without . apart heat , room great . love " Capsule " bathroom . " beam Scotty " feel . surprisingly spacious , immaculately clean bright . room generous size lay make good use available space . style decor refreshing change " one size fit " box usually encounter chain hotel . however , back dread heat . room thermostat control . enable turn temperature . ! ! complain reception tell hotel temperature set outside air temperature room temperature could reduce ? could however open window . window encase large double glazed panel pull back allow open window 6 8 inch little effect room temperature . amuse see catch double glaze panel break , though claw open frantic effort breathe air . decide good option leave window open time . sleep outside bed cover ( hot even sheet ) listen traffic . real pity sort problem . location great ( right next door Adgate East tube station ) rate reasonable . 
 Oct 16 2006 	 Good Hotel 	 Hotel nice . Great Location Bus stop front hotel tube station 50 meter . clean confortable . 
 Oct 16 2006 	 small clean 	 book hotel web site ( come cheap ) . hotel 's location convenient plan take subway , aldgate east right next door . visit london bridge , be good 15 - 20 minute walk . may need walk farther hotel get good place eat . hotel room small clean , look like average cruise line bedroom bathroom . not recommend eat restaurant , little expensive get . overall , good hotel stay be budget . 
 Oct 15 2006 	 Unbelievable 	 stay Ibis London City birthday recently . treat . hotel beyond comparison 3 star hotel . service impecable , hotel facility perfect condition room without doubt comfortable . we Dinner L ` Estaminet outstanding service impecable . definetely unblievable £ 65 per night . 
 Oct 11 2006 	 top budget hotel 	 Ibis London City top hotel stay London tight budget ( even be ) . room relatively large , clean comfortably . bathroom reasonably sized , also clean feature large shower . every room flat - screen tv set internet access ( via tv could plug - in laptop ) , video - on - demand , music - on - demand various & quot ; normal & quot ; tv station . internet access on - demand content flat - rate available advertise 9.99 Pounds 24 hour , however charge although use 48 hour . the entrence Aldgate East tube station 50 meter away Liverpool Street station reach short stroll 5 - 10 Minutes . surround area look bit worn , never feel unsafe wake around , even night . the hotel staff always nice helpful , never feel stay hotel almost 350 room . 
 Oct 7 2006 	 nice cosy 	 love small hotel rarely see anything similar big hotel like Ibis City . could swear Paris middle London City . hotel ooze charm , french restaurant incredible , stafff friendly helpful price right ! 
 Oct 1 2006 	 Perfect 	 love hotel . rate break bank account yet room comfortable . public area pleasantly decorate , well keep room immaculate . love breakfast arrangement . staff helpful provide type information area . enjoy hot chocolate bar every night . we go restaurant recommend disappointed . wil certainly stay area . perfect . 
 Sep 28 2006 	 experience stay marred attitude staff 	 stay Ibis London City 22 - 24 Sept ( 3 night ) due good review previous visitor hotel . hotel locate right next Aldgate East tube station get hotel easy . room clean modern . however , experience hotel mar staff work counter restaurant . majority staff encounter snobby , impatient cool indifferent air . attitude generally poor suited working service industry . counter staff check we express impatience not understand French - accent English one instance repeat . witness one counter staff raise voice 2 guest want check ask wait deal another guest agitate . enough counter staff handle guest time pass hotel lobby , numerous guest gather counter waiting serve . luggage room could keep bag check wait flight . simply give key room store luggage away , help offer , ask give back key store luggage . go collect bag help offer form hold luggage room door open we . believe may due want tip we . area around hotel rough ( 2 female traveller ) make sure back hotel 9 p.m. not feel safe walk tube hotel , albeit short distance . continental breakfast try not sit well we prefer full english breakfast . air - cool system room go interval . accord counter staff due system centrally control . end , open window get ventilation . , definitely will not stay particular ibis hotel future . 
 Sep 24 2006 	 Pleasant 	 Located Near Aldgate East Tube Station- London City Ibis wonderful efficient hotel sutable care bed night . 9 story hotel offer small clean update room . stay return trip Spain 3 day hold London see sight trip home US . Ibis London City little hour Heathrow tube , early morning flight Sunday trouble we tube start run 7:10am . take tube express train Heathrow make plenty time spare . the Ibis London CIty locate short 2 minute walk Aldgate East station . primarily businesse around hotel walk attraction nearby possible . within minute walk hotel dining option , mostly fast food , KFC , Burger King , food mart , local pub . tube main attraction 15 - 20 minute away tube . really convienent price . the Room small queen size bed , small desk build ledge window bench like seat near window . television several local channel , nothing spectacular late night channel surfing . interesting feature room bathroom . pod like plastic modular insert quite strange appearance , job give new feel . also clean . iron room , find ironing room one floor , major inconvience . try hotel breakfast , exchange rate would make breakfast 12 $ , little desire bit budget . 
 Sep 24 2006 	 Lovely Hotel 	 come London often stay many hotel different part City . cosy hotel well locate visit London . bus number 15 , pass infront hotel take Oxford Circus crossing Trafalgar , Piccadilly Regent Street . also Tube Station right next door . pleasant thing service staff . smile seem like love job . rare hospitality sector . also love decoration cosy ambiance within hotel . defineteley well competitor simular category . give try lovely hotel . 
 Sep 19 2006 	 good experience 	 review comment expect would good stay . wrong . yes , hotel room clean . location convenient -- near tube . actually nice room . ( one thing complain : hair - dryer find room . ) still dump choice . choose hotel . 's bad experience stay . reception staff unfriendly ( fact , rude ) , impatient question , helpful . moment get , feel & quot ; nice & quot ; , mention smile face . suprise see staff like , especially hotel recommend many user . day check 9/9 , Sat . night . wonder staff part - time ? simply hire weekend night ? could IBIS train staff like ? stay ibis one night . next hotel stay .... even room ... helpful staff ... good leave ibis choose another . 
 Sep 11 2006 	 cheap hotel London 	 hotel nice close subway station . room ok plastic bathroom . standard rate 65GBP pr night double room weekend must consider cheap London . thing complain taxi service hotel . quite expensive driver not know Tate Modern . would stay . 
 Aug 31 2006 	 nice ' cheap ' hotel 	 stay hotel last week august . relatevily cheap ( 70pounds per night ) staff kind helpfull . mainly business hotel . breakfast rich available 4 am ' till 12 pm . bathroom new big . believe positive thing hotel locate right financial centre London really really close ( 20yards ) tube station ( aldgate east ) 
 Aug 24 2006 	 Magnificient 	 excellent hotel London 1 zone , well connect centre city ( tube station ten meter far hotel ) .also close brick lane 's sunday 's market city district . excellent room , bathroom room big ! ! ! nice helpful staff , good continental breakfast ..... want ? ? ? ? 
 Jul 2 2006 	 Excellent 	 boyfiriend tell reserve Ibis City , idea go stay . however , first step loby lovely impression go memorable weekend . welcome front desk great rarely see even 5 star hotel . room practical air - cool large , clean shower small bathroom . hotel lovely bar huge screen live sport event athmospher incredible live football game even though hate game .... finally , good thing hotel close tube station help lot go central shop area within 10 - 15 minute . would definetly recommend hotel .... 
 Jun 17 2006 	 Surprising 	 Thie hotel ideal location London Tower Bridge tube station ( Aldgate East ) nearby . hotel , , well maintain , clean nicely decorate . service excellent helpful staff member . really surprising price pay ( £ 65 ) . good value money ... 
 Jun 5 2006 	 nicely impressed ! 	 Budget hotel London city almost impossible find treasure . dead easy find , right next door Aldergate East Tube . sure expect cheap ( £ 133 3 night bank holiday w / end ! ! ) pleasantly surprise . hotel welcome well present reception . bar nice bright restaurant look good reasonably price ( altho eat ) .Our room basic fresh clean feel time . however could get air conditioning work large open window serve purpose end . bathroom small clean everything place also shower big enough two ! ! Breakfast include could purchase additional amount ; chose go across road small cafe ( one ATM pavement front ) . eat well alot cheap . on last night tired come back hotel 10 pm find power failure nobody could access room . kindly request remain foyer try resolve soon possible . go bar drink staff could serve we without power , request bottle also refuse . go across road newsagent purchase bottle beer return bar request bottle opener ... surprisingly get one ! ! tell power hour , last 10min . also power come back bar hand free bottle 's beer grow crowd guest . overall think handle situation excellent . would definitely recommend hotel hope stay day . 
