fabulous 	 chic , everyone friendly , service amazing room large comfortable . restaurant great bar , good meal , breakfast excellent . night fun select window color illumination . business center well appoint well fitness room . wholeheartedly recommend Hotel G anyone stay Beijing . enjoy time , sure . 
 Aug 13 2009 	 worth every Penny Exceptional Hotel ! 	 will not say ' m war - tear travel veteran , stay litany different hotel . hotel G blow water . level service , genuine caring catering every need issue could ever expect . room incredibly comfortable , amenity second none : large screen tv , personal room WiFi , roomy shower bathroom area , comfortable bed , fresh fruit arrival , free sodas refrigerator , turn service little sweet candy bedtime . light see windows hotel , control room . choose whatever color want . talk cool ( not think , need try , will change tune . especially be ' friend ' ) .The hotel also keep feel comfortable secure staying . often will hear traveler rob blind someone break room . will not happen . elevator require room key , camera floor elevator . additionally , not room key enter elevator floor , go lobby . definite feature ' ve see elsewhere , really appreciate here . as not enough , hotel 5 minute place could possibly want party Beijing ! top road popular gay club & quot ; Destination & quot ; , along several club restaurant . Hop cab , short ride Sun Li Tun Hou Hai . shopping also close , Silk Market another shopping center either short cab ride within walking distance ( friend often walk back one shopping center , 15 minute walk ) .The general manager , Alex , gold standard come manager . welcome we hotel check we , consistently stop talk we stay go , offer we free drink fabulous restaurant , give we tip shop ( really appreciate give we price certain item , helpful ) . however , attitude not rest , permeate cascade every member staff . want , need , get . request iron board iron - do . dvd player ? do . really not like desk chair , another one ? problem , bring one restaurant ? not necessarily seem remarkable , ask anyone read : last time hotel staff actively engage , let alone general manager , genuinely care stay go ? generally , never meet manager , management staff , get question , & quot ; not really care polite ask stay be . & quot ; Alex everyone excited , display consistent enthusiasm role , try good damn host can . yes , place spend less . even slight curiosity , owe check hotel one night . would even go far say go Alex team night not think good hotel Beijing , would leg work set anywhere else want go . care happiness client - end discussion . 
 Aug 8 2009 	 Hotel g deliver 	 much say not say ... heap additional praise . wife live Shanghai travel quite extensively . end weekend Hotel G , agree among good stay anywhere . hotel truly excel front fault anything . I travel Beijing quite frequently work sightsee overseas guest . , dread make yet another trip Beijing see sight . find Hotel G , actually look forward return ! 
 Aug 3 2009 	 unique unforgettable experience miss 	 partner well travel , never either we come across fantastic hotel tick every single box ease , moreover actually impressive every level . everything decor breakfast service world , leave unable shake memory place . general manager Alex team incredibly motivated work effortlessly well together - well available around clock make feel home provide great advice eat , visit party thing . came end 3 night , sad leave , know go far hotel would experience China wide , possible even worldwide . room spacious large flat screen tv equip wide selection channel , excellent wall floor decor , huge comfortable king - sized bed pillow menu , ability change light colour window , free WiFi , iPod dock , free soft drink fridge alongside many little perk . bathroom also comparatively large double sized square shower cubicle well proportion bath . immaculately clean day room service wave magic wand . complement , level courteous willing service receive staff exceed . go Beijing stay worldwide chain 5 star hotel , feel incredibly unloved stay Hotel G. staff go extra mile time , book taxi , internal flight , overnight train , restaurant even hotel citie we , time provide array well research option pick . breakfast fresh tasty restaurant ground floor great food equip equally flamboyant decor rest hotel . room service available around clock , arrive promptly tasty restaurant food . want unique unforgettable experience , want Hotel G ! 
 Aug 2 2009 	 great place great location great fun 	 Hotel g great boutique hotel . fasionable , well design , different . well worth money . manager , alex legend ! return Beijing place will stay . nothing much trouble . 
 Aug 2 2009 	 Hotel g aim second home staying will not want go home . 	 stay Beijing ! hotel g like – aim second home Beijing ' stay ' want go back home ! staff wonderful go way make stay memorable , especially GM Alex Chakrabarti , colleague Mark , Jessica Alex charming receptionist bar staff . stay four night 17th 22nd July like much come back last part trip 26th 30th July . first arrive upgrade good great room extra cost . great room really spacious cool feature like floor ceiling mural , dock station i - pod choice colour light window . one good thing G relax flexible check in / out policy especially useful us travel arrangement mean arrive early leave late . need break chinese food , hotel ' Scarlett restaurant bar serve delicious european food good wine , particularly recommend eat pasta evening Tuesdays . g martini cocktail miss ! hotel ideal location , close number elegant bar , club restaurant Chaoyang district short subway taxi ride Beijing ' many attraction . look interesting night short walk hotel try Latte top floor build close Worker ' stadium ( reach via glass lift outside building ) – sit bar bar staff keep entertain sip cocktail . chinese club frequent local celebrity glitterati live singer really good . from visit Beijing complete without stay Hotel G , say , ' Shi Shi , G ! Simon Oscar , Chester , UK . 
 Jul 29 2009 	 many fake review hotel 	 number one hotel BJ - almost everyone give 5 star one review ( one ) good enough hotel try hard , honest stay quite average . 's well equip normal 5 * BJ hotel ( Westin , JW Marriott , etc ) . restaurant , despite massive promotion , empty , lack hipness Opposite House ( still good hotel BJ ) 
 Jul 23 2009 	 GREAT HOTEL ! ! 	 must stay hotel travel Beijing . nice friendly staff ! ! ! clean room . nice bed ... big room . lot bar around area . 
 Jul 19 2009 	 Swanky hotel impeccable service 	 wow . stay last two night honeymoon extremely impressed . book " great " room upgrade " great " room , huge . bathtub nice rain shower head ceiling . room king size bed amazing pillow comforter . fresh fruit room mini bar offer free soda ( mark sticker free ) . actually pick color window night find charming . service impeccable . literally within 60 second call get laundry pick , someone door . ask ice deliver room way past reception practically beat we room . turn service nice rise petal candle one night . ' try either restaurant lobby order breakfast room service delicious time . address write chinese taxi driver struggle bit find – look across street Bellagio small side street . location great nearby nightlife various fabulous restaurant bar . amazing dinner Green Tea House particularly like nearby rooftop Q - Bar . upon arrive home , spot photo room current issue Travel & amp ; leisure ! 
 Jul 18 2009 	 great value 	 get late night , cab driver drop like check night club , music blasting , try run drunk girl stumble onto street , inside room , quite pleased hotel except find strand red curly hair top toilet bowl , everything else hotel perfect , spacious room , really stylish , convenient quick cab ride restaurant shopping , great breakfast ( include price ) really good deal would come back 
 Jul 17 2009 	 really go way ! 	 hotel already rate number 1 tripadvisor , go bother write anything else ... however , amount effort staff put make feel home really merit write - up ! General Manager Alex run great ship . probably one first time ' ve really notice entire hotel team work well together , happy / motivated feeling get really make difference . nothing add outside positive review mention ..... great location , great food , lovely room , goldfish cool , service prompt friendly . 
 Jul 14 2009 	 Hotel g hit spot 	 travel around world business stay good Hotels good service great staff , however Hotel G really hit spot I . alex team First Class moment walk time leave . excellent service area staff special mention Thierry make good Chocolate Fondant world ( official ) .keep excellent work guy ' ve get & quot ; Spot & quot ; . 
 Jul 10 2009 	 quite brilliant 	 ' m quite tough critic , really find one single point criticise come hotel . five night , rather sad leave time come . room fantastic , food excellent , staff unfailingly courteous . location perfect . problem hard everything organise - taxi far complex excursion - second flat . staff speak good English Beijing standard , ( ) rare moment uncertain , always rather charming spanish french manager far away . unless obsessed collect mile big chain hotel , think would mind stay anywhere else Beijing - really great experience . 
 Jul 9 2009 	 first class experience 	 hotel g quite possibly comfortable hotel ' ve ever stay . stay week one & quot ; Greater & quot ; room room stun huge . incredibly comfortable bed , standard , consider China 's practically miraculous . internet connection free , reliable fast . the hotel restaurant nice , open 24 hour . be homesick cheeseburger will not disappoint . breakfast excellent western asian option . japanese restaurant next door , Morio , also good . if be one downside ( be minor one ) 's hotel not close subway would like . look close map 's Beijing huge - 's actually quite walk . consequence will usually end take cab want go , not really bad - front desk staff hail cab tell driver be go . not forget get card address map - many taxi driver never hear Hotel G will not able find without help ! would absolutely stay friend ever tell be go Beijing first thing mouth recommendation stay Hotel G ! 
 Jul 2 2009 	 great ! ! 	 travel Amsterdam train honey - moon arrive Beijing great hotel , could not well end trip .. great room , great staff , good breakfast good pillow ever .. certainly recommend everyone stay .. fantastic value money , that s come dutch person .. do not stay anywhere else Beijing 
 Jun 28 2009 	 outstanding expirience hightly recomend hotel ! 	 stay two night . got really unforgettable experience . believe - live hotel 6 month per year . one special ! arrive give aquarium little gold fish ( travel alone ) - lonely Beijing . get little fish name Selinda : ) really miss : ) staff friendly helpful . help find anything need Beijing . really grateful everybody specially general manager Alex : ) room course ... like room . design awesome colorful window something ( change color window way ) . unfortunately miss breakfast due comfortable bad : ) can not say good : ( , highly recommend hotel . comfortable staff friendly - special ! 
 Jun 27 2009 	 great Wall Forbidden City 	 overall great experience . four other stay 4 night . & quot ; Great & quot ; room , great food exuberance emanate top management down . the room comfortable stylish , probably good pillow ever lay head ! Scarlett , great dining breakfast freshly squeeze orange juice varied menu available evening . tapas cheese / cold cut board must . no hesitation recommend well situate accommodation experience . should return Beijing would stay . 
 Jun 26 2009 	 large design - centric chain aspire . 	 whilst contemporary avatar boutique hotel usually revolve around interior design frequently trump function identity dictate outset , Hotel G seem strike happy medium design function forge distinct identity boutique hotel scene . amazed generously - proportion room , trendy design might , contraption would need figure rung front desk . trendy design set tone spontaneous , friendly service staff , identity seems grow organically- corny tagline , artificial commitment ( eco otherwise ) , none overbear service trademark characteristic design / lifestyle hotel chain . what distinguish Hotel G , think , overall fun vibe 's actually top - down- genuinely fun - love management never lose cool , honest commitment thing work inclusive outlook 's hip never cross hipper - than - thou territory . 
 Jun 23 2009 	 good value young 	 stay 4 night book fairly last minute thank tripadvisor review ( rather overwhelmingly positive ) . hotel fairly new ( open last year , post Olympics , sound thing ) first hope chain . actually old hotel refurbe youthful trendy style , think slightly cheap version W hotel . feel american young ( not ask ' retro ' part sale speak come - not ) .We basic room ( much well name - ' Good ' ) . large amenity good , though couple niggle apparently new room . furniture place show use previously ding / dent ; room shower , though uncertain bath certainly large enough ; not really enough water pressure shower ( hence often overly hot , cold - hear other complain breakfast ) ; bathroom grout / general finish poor ; bed soft ( slightly soft ) . say , room nice , plenty space ; wi - fi free free soft drink water . the business centre good , 2 mac never use ( except we , despite fact 2 computer we - like ! ) . actually old room look thing nicely kitte modern study type room . the gym equipment look good , though use ( sadly , not use ! ) . also rooftop garden close ' safety ' . disappointingly , daylight , plant ( view ) recently leave wither die , detract view ... service good , though would expect arrival term tourist advice - ie , card address chinese taxi driver etc . bar , Scarlett , work well . breakfast , nice welcome customer age nationality . evening , become clubby night progress , especially weekend . nice lay back feel , might pain want nice quite space drink - thing Beijing bit trek / taxi ride find suit you . all , enjoy stay think good value money . would not feel strongly enough return , would recommend other look value style . 
 Jun 21 2009 	 highly recommend 	 Staying Hotel - g exceptional great experience . hotel boost atmosphere 60ties contemporary stylish design . boutique hotel real topper ' comfort ability amaze efficient broad service . service provide utmost high standard . luxury casual , without extravagant . staff management helpful friendly , result really feel , " home " . large room well think design equip match furniture . bed comfortable give morning real good relaxed feeling . restaurant place gourmet wide selection wine cheese delicious cuisine . hotel - G stay memory ultimate memorable place stay Beijing . next stay Beijing , doubt we , Hotel - g . 
 Jun 11 2009 	 Funky hotel ! 	 book hotel style room . room spacious , modern , nice detail ( drawer upholstered velvet wine glass scotch glass lie vertically velvet ) , .. bed like cloud ! ! ! soft ... instantly fall asleep . bathroom ok . Shower head need replacement . water come side . the food restaurant ( Scarlett ) avoid . first night order chinese meal clearly fresh . another night order chicken burger dry . tapa - style finger food good . Saturday night atmosphere great . bar/ restaurant fill 30 something expat local hip chinese . DJ put groovy beat another musician play live saxophone move around amongst crowd . restaurant manager Alex take care customer give bar/ restaurant visit personal touch . Merci Alex . although general satisfied hotel , couldn´t really recommend business hotel . meeting plan change another venue wouldn´t give right impression . holiday hotel hip young cowd . 
 Jun 5 2009 	 Lovely Hotel 	 Hotel g beautiful , small hotel locate convenient part Beijing . ten minute walk Sanlitun , across road Workers ' Stadium . go Beijing shop , access Yashow Market ( 8 minute walk ) , Silk Market ( 5 minute cab ) Hong Qiao market great . tiny convenience store next door stock great australian bubble wine , realize like , make sure every day fridge , ice . fabulous Face Bar around corner , course , convenient fab restaurant Sanlitun - love Alameida , Pink Loft , many good one . the room hotel divine . Great Room , flat screen tv , 55sqm space , divine bathroom huge bath rainshower , little snack every day deliver 6 pm , personally cook scrumptious breakfast every day . easy get cab everywhere , top location shopping , bar jumping , touring , close Forbidden City etc , whilst easy access 2nd 3rd ring road quick escape . highly recommend . 
 Jun 4 2009 	 Top Boutique Hotel Soul ! 	 intrigue high review hotel receive . hotel truly live expectation . may appear overdesign first , irritate . rather , design grow . tiptop condition hotel warm service staff make stay truly comfortable . high value enthusiasm display GM , Alex , make unbeatable ! 
 May 29 2009 	 word .. AWESOME 	 stay Hotel G last week honest one memorable hotel experience ever .. place super trendy .. staff tripping help , breakfast great Scarlett bar great night venue . compare behemoth hotel Beijing Hotel g personal hotel experience going get ! 
 May 28 2009 	 hip hotel Beijing 	 personally not stay hotel G hang lot know people . service hotel offer amazing - personal face level five star hotel without feel extravagant . environment chill although 's fancy hotel never feel like need dress formal soon walk outside door . tapas delicious far anything ' ve Beijing live half year . interior appeal love combination black white movie classic run widescreen tv , colourful wall paper sixty furnish . manager director care costumer would come say hello regular basis . everything seem carefully plan hotel think far hip hotel Beijing . be look luxury design chill environment without exaggerated pricing Hotel G one place want choose . recommend arrival night time check window lighting genious . 
 May 26 2009 	 LOOK REALLY GREAT HOTEL BEIJING 	 spend 2 week G Hotel , Beijing visit son live China . in term service , comfort , hospitality , decor cater one could ask formore . attention detail especially appreciate - offer truly 5 star international service - great room , linen , L'occitane toiletry little item may forget pack . staff extremely helpful calling taxi ( cheap ) , book sightseeing , train ticket etc etcand management could friendly helpful . thank Robert , Mark , Mary , Jessica , Adriana . wait return . Claire Guest 
 May 25 2009 	 Best Beijing .. without doubt ! ! 	 travel quite bit business .. normally get bored hotel quickly . prior stay Hotel G , stay Westin Financial District . nice room , great hotel .. still , typical hotel . leave Beijing mean return fornight . decide look trip advisor Hotel G rank first . check hotel website , unique nature hotel catch eye . would never stay boutique hotel take leap faith . dissapointe . hotel g good decision ever make . combination mordern vs retro . sheek . lovely decor around light window .. attractive . hotel g good managment team ever come across . warm , friendly welcoming . ' ve never personal interaction management hundred hotel ' ve stay around world . basically take care every need . rest hotel staff great . day stay hotel , restaurant staff know normally breakfast .. 's little thing differential one hotel another . location another great factor . hotel g surround buzz atmosphere attraction every person ... embassy , bar , club , restaurant , shopping .. close hotel . many Beijing tourist attraction fairly close , olympic stadium , Forbidden City among other . room hotel huge . comfortable bed ever come across . perhaps comfortable . difficult morning every day stay not want get bed . free wireless internet , flat screen tv .. else say ? wine bar hotel great different theme party organise fairly often , breath fresh air come back hotel long day . 's typical hotel bar drink go sleep . meet interesting people . be really nice place drink . write tonne hotel stay g almost month ... anyone go Beijing , give shot . keep go back .. that s guarantee ! 
 May 19 2009 	 place Beijing 	 anyone tire old hotel chain look , give hotel G shoot . personally anywhere else Beijing anymore . beautiful , huge room , great location , cool restaurant bar work beer need long day work . service really good . can not say enough , place Beijing far concerned . 
 May 6 2009 	 Uber trendy 	 first impression walk hotel trendy . look though staff love atmosphere guest . hotel grew long stay . spend 4 night enjoy stay immensely .The bed huge comfortable . room bathroom spacious ultra modern . internet free , gym good machine , good selection breakfast , quite soft drink provide free mini bar mostly staff try hard provide service . negative thing would say could take 10 minute certain time day get taxi . 
 Apr 29 2009 	 Best Hotel value Beijing good Hotel period ! 	 wife go Beijing short romantic getaway experience China . Adrianna ( hotel manager ) extremely helpful friendly . staff work hard make sure take care moment walk door . even book we amazing acrobatic show nearby somehow manage get us third row center seat around $ 15 ! never feel pamper . room modern trendy yet warm romantic time . comfortable bed , even choose ten pillow bring room ! stay five star hotel around world pretty jade , Hotel g special place heart . can not beat lovely hide gem . 
 Apr 29 2009 	 Gorgeous hotel - love ! 	 hotel g beautiful hotel , price , even great treat ! staff kind Kirby ( Reservations Manager ) Alex ( Hotel Manager ) helpful willing anything guest . love breakfast - combination buffet item custom - order menu . room huge comfortable - easily great , comfortable bed China ! gym also modern good equipment stock towel , water , snack , etc . check - in check - out also breeze japanese restaurant right next door great well restaurant right lobby . fabulous cheese selection probably can not find anywhere else China . gripe location one taxi driver familiar hotel . really help taxi driver navigate none familiar place . also think clientele obnoxious self - absorb . guest would come back late night , slam door yell hallway . incredibly rude , fault hotel . 
 Apr 27 2009 	 cosy atmosphere friendly service good attention detail 	 stay three night , select base tripadvisor rating , disappointed.this hotel clearly intend design edge , be certainly beyond ikea standard , feel overdone place ; room cramp flamboyant pattern . not get wrong , be still people would describe stylistic , eye accustom scandinavian minimalism room interior design go top.bed pillow super comfy , room spacious . bathroom shower bath , latter high usual nice . soaps shampoos whatnot smell good . good strong wifi everywhere go build , except man 's room downstairs restaurant . mac internet room , complimentary water , green apple candy , work flawlessly member staff duty , among thing , assist write chinese address internet . print couple page cost anything either.gym well - equip , bit small locate sort extension normal lobby , nice view roof garden nearby roof . roof garden really special nice extra get fresh air . & quot ; two outdoor jacuzzi & quot ; mention somewhere find . minibar free soft drinks.they good attention detail many place mention , good selection breakfast accompany buffet unexpected extra . could select colour windowside lead light button wall . come back late afternoon always bring something edible nice room . neighbourhood around hotel interesting , bar , food vendor , restaurant supermarket . next door friendly grocer / tobacconist.the staff , consist mainly cute girl age around 25 ( least meet mostly staff sort ) helpful , friendly , giggling . ability concierge english - speaker varied lot ; get spot - on recommendation shop location art gallery neighbourhood ( 798 ) receptionist unable point we really anywhere . staff , include two manager speak european language , make we feel like home without intrusive.base website review worried would much post - trendy - teenager hotel not.i get feel term money / value ratio , consider location hotel , place bit expensive side would still recommend anyone 's shoestring budget . street near hotel neither persistent bicycle taxi driver & quot ; student & quot ; hassle tea room art exhibition ( near hotel around wangfujing ) . feel huge plus beijing . 
 Apr 25 2009 	 Great Hotel . good value . 	 stay hotel mid - March 2009.They free upgrade time stay & quot ; Great & quot ; room . rate cheaper old , 5 start property Beijing . suspect hotel least comfortable convenient old 5 star property . mention Tripadvisor , bed comfortable . room ( include bathroom ) spacious . also pillow menu choice pillow . staff friendly helpful . decor trendy , plush dark tone would fact perfect romantic getaway . happen pub quiz restaurant . pub quiz fun food restaurant actually quite good overpriced consider location setting . location also convenient . near stretch club good 24 - hour restaurant ( unfortunately forget name . walk hotel main road . across road ) . take taxis everywhere . inexpensive ( 4 we ) convenient . hotel near Sanlitun area good shopping nightlife . the downside hotel gym business centre ( next ) stuffy ( really need sort ventilation ) . overall pleasantly surprised value money get . would recommend hotel anyone visit Beijing . 
 Apr 20 2009 	 nice hotel great service 	 book hotel online . within day , receive email hotel staff offer complimentary upgrade big room . upon arrive hotel week later , greet friendly hotel manager Adriana , personally take we room . eat breakfast hotel restaurant 3 day raw , say helpful staff ever encounter . 
 Apr 17 2009 	 Excellent boutique hotel heart action Beijing 	 stay one night Hotel G first ever stay Beijing . business trip get chance see sight activity around Hotel clear hotel well locate . trip airport 20 minute car . driver hotel pick we gracious consider wait hour . speak English break try nonetheless . check - in breeze staff friendly helpful entire time . understand service Beijing hotel luxury always give . room large hotel country billion people . since boutique hotel expect small room . sushi restaurant excellent ( lunch ) burger lounge also excellent . there definitely vibe energy hotel . overall great stay Beijing . 
 Apr 10 2009 	 Nice botique hotel far main tourist site 	 stay night Hotel g Beijing . room huge , well appoint bed comfortable hotel ' ve stay . bathroom clean separate shower soak tub , nice sit area room , big tv , ubiquitous wireless access , stylish furnishing . breakfast good staff , limited English , still helpful . travel business , would also pleased . real complaint hotel find location distant lot thing want . could not walk many place Santilun bar district cab everywhere . subway 10 + minute walk . actually move hotel 3 day could close Houhai lake area , central & amp ; convenient location mediocre hotel great neighborhood . ( stay Guixang 20 also review case helpful other plan first trip Beijing . ) 
 Apr 9 2009 	 gorgeous unusual style incredible comfort service 	 Hotel g Beijing one wonderful hotel ' ve ever stay business trip . hope come back husband leisurely stay . sometimes one - of - a - kind boutique hotel busy unique end user - friendly . hotel style , flare , comfort . room large well - design , lot storage space , fabulous bed , no - hassle internet connection , gorgeous spacious bathroom , excellent work relaxation space , really could go on . the hotel lovely section Beijing ( near Sanlitun / diplomatic area ) , quiet side street , wide range restaurant within five ten minute , safe , walk . also well - stock grocery store around corner . I able walk Beijing office , walk home end day feel like come home -- wonderful feeling woman solo business trip . because minor problem first arrive , trivial mention , manager end contact , show warm hospitality remember hotel . every member staff meet kind helpful . road three month year , high praise indeed . you read delightful amenity hotel provide review -- will not list . find hotel via TripAdvisor , hotel live excellent review . ' m usually kind person care & quot ; mood lighting & quot ; feature ; care well - light room well - light desk . completely enjoy playing & quot ; mood lighting & quot ; windows , evening ! enough member staff speak enough English make stay stress - free , term language issue . hotel breakfast terrific . chance try dinner yet . the in - room safe large enough laptop . I plan stay Hotel g whenever come Beijing , look forward next visit . guess tell love hotel . 
 Apr 6 2009 	 great place vibe 	 wonderful hotel . hip . gorgeous room big even american standard . comfortable bed . little dim , even parent enjoy place . bar nice scene evening , burger great . Similar Father 's Office Burger Los Angeles . restaurant across street also great , affordable feel like authentic Beijing food . Adriana believe manager wonderful .... welcome . great thing go . numerous breakfast option great . server little confused guest along breakfast even though willing pay breakfast we . otherwise , great hotel , beautiful design . 
 Apr 4 2009 	 Gem Beijing ! 	 LOCATION - Hotel g locate Chaoyang district city centre . taxi cost RMB80 airport airport bus take near subway Dongsishitiao cost RMB16 . dongsishitiao station take 15 min walk hotel . local restaurant directly opposite hotel pizza cafe next . addition , convenient store shop away . Sanlitun shopping mall bar around area prefer walk ( 30mins ) . , taxi ride cost RMB10 . taxi cheap chip Beijing not try walk not know direction . Beijing really huge ! subway easy access main attraction shopping district . room- hotel tastefully decorate modern yet nostalgia appeal . hotel exterior illuminate psychedelic neon light night . room size exceed expectation , furnish modern furniture , free wireless internet , LCD TV , Ipod docking , contemporary toilet Loccitane toiletry free drink ( mark red ) mini bar bonus ! pillow menu worth mention something find special exclusive ! hotel room stardard really comparable big name like Grand Hyatt Ritz ! service- front desk staff fluent English service orientate . check 9 am room ready . hotel staff groom stylish uniform well equip necessary information direction , restaurant , shopping , place interest . breakfast serve different chioce taste good ! thumb Hotel g staff ! perfect stay Beijing ! 
 Apr 3 2009 	 BEST HOTEL ' ve ever stay ! ! 	 Hotel G definitely BEST hotel ' ve ever stay . partner go Beijing five - days holiday . initially , choose Hotel G price quite convenient location , cheap deal could possibly get decide stay holiday . arrive , though little bit drama check , settle quickly . guess hotel still new , staff might able cope perfectly . head Beijing , friend tell experience Beijing , say hotel staff could even form english sentence . expect easy communication . however , would say brilliant staff actually talk we quite fluent english whole time . surprised impressive way . get room , can not help say & quot ; WOW & quot ; . room big , spacious bathroom also gianormous . really nice . guess bed queen - sized . tv 50 inch LCD . also incredibly comfy couch . guess , tolietrie L'OCCITANE . feel really nice shower . remember one night , blue , send we free dessert , delicious . spend four night Hotel G think good hotel ever stay . planning go Beijing , would definitely say stay Hotel G. check photo room . 
 Mar 20 2009 	 boutique feeling heart big Beijing 	 be creative business , look certain camaraderie hotel stay , recommend Hotel G , recently open . giant tour bus , vast clattering restaurant . instead , warm surprisingly engaging , friendly staff , lead Adriana Cuadrado . room big well design , good couch area workspace , & quot ; rain & quot ; shower large bathroom , amenity . relax airy business center upstairs . restaurant area large table , great colleague get organize morning . love . 
 Feb 28 2009 	 work good place stay 	 great place stay heavy day .... Big Room , Big Bathroom , big screen LCD tv , big nice Sofa good bed ... 
 Feb 25 2009 	 stop hotel research Beijing : go hotel g ! 	 stay Hotel G last business trip Beijing . pleasantly surprise modern trendy design room lobby . location perfect ! 2 minute away sanlitun main restaurant night club Chaoyang . service excellent , deserve 5 star , staff friendly preferred bed ! pillow soft mattress amazing … even well sleep bed ! ! ! ! ! definitely go back next business trip recommend french colleague ! 
 Jan 27 2009 	 Fantastic ! 	 amazing hotel fantastic Service . for traveller like less traditional stuffy hotel , appreciate Boutique Hotels great design good service competitive price , Hotel g good choice Beijing . Adriana , Guest Services Director Martin Concierge great make stay even well fantastic suggestion compliment map address , arrange trip wonderfully helpful welcoming . say , everyone work hotel extremely keen make stay memorable pleasant . matter whether Breakfast , evening drink Bar Housekeepers , smile face . norm Beijing thus even impressive . the combination great design , fantastic location wonderful service make true gem China 's capital . I definitely back ! 
 Jan 22 2009 	 great hotel great location 	 Beijing freeze visit delighted find hotel warm ( unlike frerezing good western shenzhen ! ) locate beside top night club restaurant , close silk market right side city everything want . concierge helpful printing map go taxi driver . amazing croissant outside paris ! modern creative design ... young pertying crowd old business crowd . 
 Dec 29 2008 	 Chic Boutique Beijing 	 friend Beijing refer Hotel G. room perfect , big spacious , stay 4 day , staff friendly . front desk staff great , every time need go somewhere give print out chinese English address map help lot move city . fitness centre small quite good range new fitness equipment . also , location great easy move around near everything ! definitely stay ! 
 Dec 15 2008 	 G ' Gorgeous ' 	 live Beijing , stay Hotel G romantic weekend fiancee . hotel staff prepare everything we ahead visit rise petal entry room chill bottle Champagne wait we arrive . the service , attention detail character among Beijing 's good . stay one & quot ; Greater & quot ; room , furniture elegant sublimely comfortable bath fantastic . bed feather comforter mattress cover unparalleled , though not take advantage , room full menu pillow option . hotel g small street main entertainment strip Beijing , G 's restaurant also delectable not want go . 25 degree first floor serve Beijing 's good burger host DJ party late evening weekend well . when friend family come visit Beijing next time , little doubt recommend stay . 
 Dec 8 2008 	 love love love hotel 	 arrive Beijing cold late November morning , Hotel g experience first welcome departure ten day later satisfied expectation more . this well manage , stylish fabulous hotel , large room , excellent decor , excellent service treat . breakfast include good croissant , definitely try 25 Degree restaurant signature burger . as seasoned traveler , highly recommend hotel . 
 Dec 4 2008 	 much well expect ! 	 hotel recently opend kind boutique hotel , nice modern design . situate small side road would expect building . use taxi neccessary walk underground 15min . room spacious everything need . shampoo etc . L'Occitane give good feeling , bed huge comfortable , front large LCD tv international programms need . the price mini - bar far high , littel shop outside get everything . the good breakfast . include rate . get freshly italian coffe , cappucino whatever want fresh orange juce , choose chinese , japanese american breakfast . prepare time . perfect start day . staff friendly helpful make stay easy possible . 
 Nov 12 2008 	 stylish hotel g 	 travel lot job , pleasure stay Hotel G. ideally locate Beijing near Sanlitun place . room beautiful , stylish cosy . perfect week - end business trip . 
 Nov 22 2009 	 Séjour inoubliable 
 Oct 19 2009 	 inoubliable ... 
 Sep 20 2009 	 Absolut empfehlenswert 
 Aug 31 2009 	 Excelente trato habitacione de lujo por precio razonable 
 May 28 2009 	 Un hotel comfortable un precio acequible muy bien situado 
 Jan 6 2009 	 modern einzigartig und nicht chinesisch 
