Great 	 two interconnect room 4 night . lovely hotel great location . room smart well appoint . room service twice day . Lobby impressive however shop lobby two basement floor niche / expensive . breakfast good restaurant nicely decorate . fortunately include package else RMB240 each . have dinner restaurant however average limited menu selection feel . swimming pool lovely always empty . temp nice warm plenty towel etc provide chair . good Wi Fi coverage room - Complimentary - wish hotel . 
 luxurious great value ! ! 	 stay Peninsula classmate sightseeing around Beijing . location amazing look night market around corner fastfood place like Mcdonalds KFC . great window shopping international brand boutique hotel lobby , amazing breakfast ! ! hotel staff good english speaker ( rare Beijing ) friendly . lot personal touch like note leave room hotel , even complimentary cake anyone celebrate birthday stay Peninsula ... would reccomend hotel anyone look amazing time Beijing ! ! 
 Jul 18 2008 	 amazing fav hotel far ! 	 Peninsula amazing , room huge beautiful , bathroom beatifully do . luxury shop base level / ground level also make penisula stand luxury hotel Beijing . enjoy live piano / classical music take tea break also hotel restaurant Jing highly recommend ! autosphere beautiful food good ' ve chinese restaurant . breakfast also great , wide range western chinese food . people might say peninsula beijing standard peninsular Hong Kong else , time , remember also lot cheap . else find great 5 star hotel less £ 150 ? easily spend 3 star hotel city ! 
 Jul 11 2008 	 Sub - Standard Peninsula Hotel 	 first glance upon enter Lobby evening check , think would equivalent Hong Kong Beverly Hills property term service / quality overall impression . wrong . service quality standard property . one seem willing go way help assist . thing love Peninsula property stay almost anticipate need even ask . case property . standard room also small . free bottled water come day evening around 8 pm - small half bottle ould wait day something drink room . one one day , privacy button turn room come back tomy room , maid actually room cleaning ! need well training . leave valuables room happy . wi - fi service slow intermittent , althought complimentary . hotel virtually empty ( many Beijing hotel time ) yet hotel unwilling give upgrade ( fee ) club floor . hotel airport transfer sub par well -- greeter airport disorganized make we walk around parking garage find car instead keep we pick spot wait car come we . arrive , old model mercede compare hotel like Mandarin Oriental Regent , standard . would use car service amount money pay ( $ 100 way ) . Doormen pretty god get taxi . Restaurant Jing good breakfast buffet expensive side - $ 40 person . overall , would recommend property , especially regularly stay Peninsula Hotels . stay luxury property subsequent trip Beijing . several new property like Grand Hyatt , Grand Millenium , well Regent . 
 Jun 12 2008 	 nice hotel drawback 	 spend four night Peninsula Beijing two room four us club floor . room attractive comfortable , nice bathroom , nice bath product . nice lounge chair next window sitting , well desk good access outlet etc . enter hotel , lobby , lobby consist large staircase , bar / lounge , Chanel , Hermes etc etc store . really tacky retail environment , not care & quot ; exclusive & quot ; store , expect actual lobby place sit wait people without buy drink . feel like mall . there place sit lobby . the club offer excellent breakfast , snack , hor d'oeurves dinner hour , drink . staff club friendly , helpful , really welcome . complaint club room comfy upholstered chair sofa smoking area , one point acrtually let someone smoke cigar . entire floor smell , real separation beytween smoke nonsmoking .. location easy walk wangfuje St night market , etc . this nice plush hotel give lack decent public area , think really special . club floor , would give bad review . 
 Jun 11 2008 	 great place stay Beijing 	 opinion hotel different reviewer . spend four night Peninsula find quite excellent . check - in smooth , despite fact arrive midnight desk staff time tends people less english speaking staff . problem . bag bring speedily request overture tip make time stay . check - out receive late check - out time 15:00 without problem . the room ( 7th floor - suite part club floor ) fairly large well appoint everything one would need , small Shangri La property stay . definitely large room ' ve stay luxury hotel New York City - really issue size room . perceivable smell smoke anywhere hotel room . problem plug electronic ( quite , different style plug ) universal outlet available throughout room . actually find quite clever . the bed hard expect . along line chinese preference super firm matresse , rather firm , soft , western bed . Shangri La much well bed , opinion bathroom large , huge . shower powerful hot . complaint there . the breakfast buffet varied , fresh delicious ( pain au chocolat every morning flaky , buttery could come straight Paris bakery - impressed ) staff courteous helpful . view Jing downstairs . lighting subdue . 's fine breakfast . also peke duck restaurant hotel , Huang Ting . absolutely delicious tell good peking duck Beijing ( long - time western resident take good client ) . excellent service lovely atmosphere Huang Ting . the outside staff always ready hail cab we , hand we hotel card taxi 's number tell driver go chinese . time go . tip overtures tip give . also arrange concierge private car twice - go Summer Palace day go Simatai . smooth excellent driver car decent price ( local would pay , whatever ) . use spa one evening . beautiful spa huge . , keen massage , unfortunately . find therapist get tired bit apply enough pressure . travel partner , instead , say receive good massage life . price wise , Peninsula good value $ 185 per night , include breakfast , drink taxis . overall , excellent 
 Jun 9 2008 	 AWESOME ! ! 	 travel worldwide , good hotel husband stay . would hesitate recommend friend would stay return Beijing . service impeccable , room spotless modern , bathroom roomy . can not say enough nice thing . 
 Jun 9 2008 	 one star service three star room five star price 	 five star hotel face lot trouble client service industry customer satisfaction always tie expectation . let ' face , ' tough mix master : courtesy , consideration , go extra mile customer without obsequious intrusive . ' wonder happen anywhere . expectation much high five star hotel ’ price point . customer naturally expect something pay . but number hotel , particularly Asia , succeed mix degree stun . Peninsula Beijing , unfortunately , one . , far , poor excuse five star hotel ever stay . let ' start less detail . first , room . upgrade large non - suite sized room club level . american probably find room unbearably small . reviewer complain cigarette smoke nonsmoke room . Peninsula yet remedy situation . sheet room reek smoke , error could avoid easily attentive management . admit bathroom decent size . cool switch every light think side bed , well large plasma tv , though day ' pretty rare find top property Japan China ' one every room . need ask hotel adapter ' use appliance american voltage . ask hotel anything , however , usually involve tip , even ' something ' ordinarily expect room . ' scene Curb Enthusiasm ( Episode 40 fan ) Larry stay Regency New York tip guy fix faulty air conditioning . ' less service like Peninsula . on food . Breakfast Jing restaurant simply dreadful . spread compare unfavorably number four star ' , quality food simply appalling . pastry , example , uniformly damp , almost stale . ' good omelette station , ' many hotel flub omelette . restaurant lack view dark , kind feel like ' transport high school brownout . ' service . staff Jing look act severely depressed , rude boot . witness waitress practically fling coffee american customer ask hot coffee get cold cup . Jing bad breakfast experience ever hotel . as reviewer note , check - in uncoordinate . arrive , bag lie around reception area completely unattended . finish check - in , locate bellhop find bag . by nearly measure think , Peninsula disappointment . ultimately , however , joylessness hotel great drawback . employee ’ lack enthusiasm contagious . unless ' important stay hotel sell overpriced designer good basement ( ' draw ? ) , ' save ` money well experience top hotel city . 
 may 27 2008 	 Peninsula revisit -- oasis ! 	 decide revisit Peninsula , Beijing stay 2 night May 2008 visit city Silk Road ... Dunhuang , Turpan , Urumqi Kashgar . last stay Peninsula March 2007 somewhat marred smell cigarette smoke even though stay non - smoking floor please hotel something rectify situation . therefore , opt stay hotel . during recent trip China , stay well hotel along route , pale comparison Peninsula . arrive hotel , like step oasis . grand deluxe room stay comfortable & quot ; luxurious & quot ; . provide nice touch , like ... freshly iron linen floor cloth place beside bed next bedroom slipper could step onto get bed ! say , non - smoking floor room situate suppose be- smoke - free also quiet . the service Jing Restaurant good buffet breakfast serve western chinese food excellent . waffle taste good . location hotel wonderful , short walk main shopping area food street sell kind barbeque food snack . arrive hotel staff observe 3 minute ' silence victim Sichuan earthquake . reception staff apologise keep we wait really apology require guest understand . feel service staff good act & quot ; human & quot ; , & quot ; robotic & quot ; go duty . 
 May 17 2008 	 good brilliant . 	 Sub - standard Peninsula property Bankok Hong Kong . room ok , Peninsula - kind touch present . however staff professional : porter shout fetch luggage 5 min main lobby customer ( ) stand right next . hotel transfer airport Mercedes r - r ? 10 + year old Audi ? ! swimming pool currently close & quot ; renovation & quot ; . overall ok defintely excellent . 
 May 13 2008 	 great stay ` ` reservation '' ! 	 stay Penn three night thoroughly enjoy stay however pluse minus hotel want share : plus : tell anniversary free bottle wine room upon arrival -- -nice touch ! Club Floor worth extra money breakfast fabulous . room great , top floor away elevator . wonderful location , close shopping , restaurant , food sight ! helpful attentive staff , Francos club floor superb ! fabulous piano player lobby , enjoyed listen she . minus : stay directly club floor could hear people walk around . the shower properly seal leak water floor . the Club Floor little anal remove glass floor . ATM machine frequently run money . would stay ? yes , would would recommend hotel friend . , pluse heavily outweigh minus ! 
 May 8 2008 	 overratte age hotel 	 read great review expect something magical . not fool tired , age hotel room look like 2 star property 5 star . definately world class hotel stretch imagination . bed hard might well sleep floor , bathroom also poor condition . beware not fool GO elsewhere ! 
 Apr 9 2008 	 Best Concierge Town 	 husband wonderful 5 - night stay Beijing 's Peninsula mid - March 2008 . hotel ' fancy lobby house classy bar area , complete live piano violin music , also upscale mall dozen store like Louis Vuitton , Cartier , Channel , similar boutique . fortunately , also one hot dining spot town : & quot ; Jing & quot ; restaurant . addition delicious dinner , Jing 's breakfast buffet tremendous . serve everything western - style bacon egg , chinese favorite , like dumpling noodle . food service impeccable . the Peninsula 's room spacious elegant . room ( suite ) almost 400 square foot live space - huge ! hotel also offer free internet , awesome plasma tv lot free amenity . luxurious . my complaint , be big one , view 9th floor overlook nothing construction go pool area behind hotel . biggie , good hotel far outweigh bad . the hotel also centrally locate . be 2 block wangfuje rd - big shopping area late night eatery . ' also 1.5 mile Tiananmen Square . 's nice walk T.Square , cab be hurry . lastly , concierge service stellar . first , concierge desk always well staff - 5 6 people desk . second , desk close 11:30 pm 6 . not speak Mandarin , rely heavily help . staff member speak English , professional , courteous never utter word & quot ; & quot ; & quot ; can not help you . & quot ; recommend restaurant attraction , give we Beijing travel tip , run purchase night - train ticket Shanghai , happily write destination chinese symbol hand non - english speak taxi driver . invaluable . good concierge service ' ve experience . highly recommend Peninsula . 
 Apr 7 2008 	 would go back Beijing could stay Peninsula 	 horrible experience hotel book travel package , book Peninsula directly . definitely great move staff speak English , room excellent price ( get upgrade staff hear horror story ) , staff professional , friendly ready help . food expensive worth . worth trip money . boutique hotel definitely major plus . not go far shop . 
 Mar 28 2008 	 could live ? ! really not want leave ! ! 	 stay Peninsula Hotel Beijing nearly week last July find hotel website book webpage ! minute walk magnific lobby love ! shop ! music ! space ! show room , well , impressed ! jacuzzi bath 2 tv ( one bathroom ! ) ! pool beautiful ! went swimming every morning , could sit pool , drink water eat fresh apple serve ! relax - tranqil ! restaurant delicious also ! 2 restaurant - love Jing restaurant ( ever eat hotel eat lobby ! ) LOVED huge buffet brekfast - waffle , fri , cereal , fruit , fresh juice , warm cake .... ever want ! also eat dinner - eat much want roughly EUR30 per person even though might slightly expensive - absolute quality cusine ! ! ! staff unbelievably helpful nice service fab ! situate beautifully within walk distanse main tourist attracion Beijing ie . Tianamen Square ! beijing main shopping centre also right around coner - lovely shop ! planning go Great Wall arrange trip via hotel ! also hotel know fantastic concierge service book restaurant show ( ie . brilliant acrobatic show ! ) possibly million thing could say hotel point make brilliant holiday , stay Beijing honest really hope make back another holiday soon ! ! ! 
 Mar 25 2008 	 5 well earn star ! 	 stay hotel 3 day . firstly find booking use package cheap booking room often ! - meet airport , efficient , drive good car directly hotel , swiftly book , give great advice reasonably price tour ( choose , sort pick & amp ; mix , include lunch , charge guide well excellent driver car . hotel room excellent , good sleep ' ve ever ! ! jing fusion food , try buffet , excellent snitch price . great breakfast Jing , well one chinese restaurant . take back airport style . superb . 
 Mar 15 2008 	 absolutely loved ! ! 	 entire experience surpass expectation 4 night stay . in opinion good location city . can walk take subway everywhere esp new subway line open time Olympics . we book website Executive suite include airport transfer club - lounge access less $ 300 usd night . check - in quick easy also upgrade Duplex suite ! ! would cost we $ 700 night peak tourist season . not sure would want Beijing hot summer month . the pollution , mass group tourism smog would much . club lounge good selection food breakfast happy hour . great self - serve selection alcoholic drink soft drink . the staff nice speak we daily experience city . it seem sincere every time ask . the Forbidden City T - Square within walk distance many Hutongs , high - end shopping mall subway stop . this safe city walk everywhere without worry end bad area rob . we also try lot different food include food stall sick . the two restaurant hotel great food esp chinese one low floor . would stay without doubt . the Regent street look promise well . before young chinese trying speak English you . Most want something - like take tea ceremony stick bill , buy cheap art , lady sex etc . minor nuisance know ahead time expect problem . usually outside major hotel tourist sight . Taxi 's horrible . they do not stop pedestrian do not speak English prepared know go . overall loved hotel love Beijing . 
 Mar 1 2008 	 great Stay Peninsula 	 choose hotel great review plus low winter rate . stay split 2 visit , 1 day . first 2 night book Executive Suite . major complaint hotel size room . otherwise else perfect . service good ' ve experience . meet door in - room check - in classy . staff welcome . room find amenity par . 2 two plasma tv 's cleanly mount wall many english speaking channel , mood light every part room include bathroom , bathroom tv control panel , master bedside control panel ... GREAT . , small side . minor complaint old construction hotel give small window ( new hotel seem big floor ceiling window ) interior design blow away . on 2nd stay put right Beijing Suite . fine hotel room stay . nice foyer office space luxurious desk , dining table 4 , living room surround sound system plasma tv , single bathroom large master bathroom technology . glass enclose chinese artifact nice touch . one satisfied hotel snob . 
 Feb 24 2008 	 Outstanding Experience 	 overall , fabulous hotel . visit vacation hotel would also work well business travel . look forward return . room beautiful contemporary asian decor bathroom spa - like . picture Peninsula website accurate , date depiction hotel . I recommend include breakfast buffet package . delicious . concierge desk helpful provide excellent recommendation . 
 Feb 24 2008 	 another Satisfied Customer 	 stay peninsular wife teenage son , take advantage special offer web site get Beijing Suite club floor good rate 2500 RNB / day . we spend holiday top end hotel , prefer four season possible . four season Beijing - try Peninsular disappointed . basic - staff - decor - beds good excellentThe location good tourist , within walk distance wangfuje street ( shop ) 15 min walk Tianamen Square Forbidden Palace . location may state ideal financial district , truth 10 minute taxi ride away something deter anyone stay . club floor true club floor , quiet , well serviced , good quality snack , free drink happy hour plenty staff give extra bit support . staff go way make personal contact . worth pay extra for . there two restaurant site , standard chinese , Fusion restaurant . fusion food interesting , chinese , great standard find western city . perhaps great variety eat place hotel standard . the Concierge service little disappointing . could recommend italian restaurant outside hotel ( try Regent across road Hyatt ) , know could get access People 's Congress ( Plenary Session due next week ) , Great Wall Trip average . maybe look find guide arrive . club floor staff knowledgeable helpful ( instance tell good place see construction Olympic stadium ) . good hotel . consider strongly business pleasure , bear mind limitations concierge service try restaurant outside hotel . 
 Feb 14 2008 	 well locate Great Staff ! 	 Peninsula well locate near Forbidden City Wangfujing shopping district . quite safe walk around neighborhood , several time . time need take taxi , Peninsula staff science . doorman speak English tell taxi driver go . hand small card several common tourist destination print chinese English , also note side taxi driver drive back . say something like & quot ; Driver -- please take Peninsula Hotel . & quot ; doorman also note card taxi 's identification number , case run problem lose something car . check - in Peninsula smooth process . one desk clerk come upstairs room check - in . be nice , especially come airport long international flight , be . our room comfortable , king size bed small sit area sofa tv . bathroom well appoint walk - in closet large . breakfast hotel delicious good selection Chinese , japanese , western food choice . problem sometimes main serve area get full , direct downstair one restaurant . food location , sit downstair feel much less ambience . hand , be nice wait eat . moral story : get main breakfast area fill up . we afternoon tea one day hotel also excellent , although particularly chinese . look authentic chinese experience , skip tea . mood sit rest , tea enjoy , totally western experience . the pool Peninsula fairly nice , although luxurious . heat indoor ( door open onto outdoor terrace ) , use even cool weather . locker room staff attentive quick bring towel , ponytail holder , anything else need . the main drawback see whole Peninsula experience basically small shopping mall full luxury brand store lobby basement level . feature high end shop like Harry Winston diamond . one hand , be cool see place . hand , little bit distraction go restaurant pass mall . overall , enjoyed stay Peninsula much , highly recommend , think location beat . 
 Feb 12 2008 	 highly recommend ! 	 husband stay Peninsula August . spend last 10 day Mongolian Gers . needless say , hotel would welcome & quot ; rustic & quot ; ger . walk Peninsula immediately send Club level floor check - in . club room , upgrade we Beijing suite . completely fuss several people dress impeccable suite . love attention - dirty underdress - fawn US ? feel great . send room , OMG gorgeous ! ! high end load ammenitie imagine . sprinkle throughout room snack label descripton . eat tour room . I begin tell nicely appoint room . two bathroom , bedroom , closet , office area large living room flat screen tv 's - curtain close open via remote . absolutely stunning large ! club executive level facility well take care food could want expect see time . breakfast plentiful , COKE could want . nowhere else China freely give refill COKE ! spend three day hotel nowhere else China greet warmly - name ! nowhere else China encounter familiar breakfast item - like scramble egg , croissant corn flake . truly wonderful experience highly recommend hotel . go back Beijing - stay . unfortunately , say enjoy Beijing much - way crowded . club executive level nice getaway hussle bussle city . 
 Feb 12 2008 	 love 	 nice room ( modern decor , lcd , good size , bed ) restaurantslove breakfast buffetperfect location 15 minute walk everything : wangfujin , square forbiden citydont miss peking duckalway good stay peninsula hotel still save try hong kong 
 Feb 7 2008 	 great stay fantastic breakfast spread 	 group stay hotel . travel throughout China stay another 5 - star hotel compare . room fantastic , clean convenient . staff extremely helpful polite ( always case chinese travel China ) . breakfast spread experience ! ! continental pastry corner , chinese breakfast corner rice porridge condiment could ever imagine , make - to - order egg meat section , european deli - style corner ! stay 5 night look forward breakfast every morning . the fitness center also nice although 24 hour . staff help operate machine , cold water , fresh air . great hotel , great price , great location . can not ask . 
 Feb 4 2008 	 enjoyable Stay - Nice Hotel Great Location 	 spend short period time Peninsula Beijing however thoroughly enjoy . stay duplex suite room locate top floor city view . notice room quite small size , also notice picture post Trip advisor room directly face another building - definately want avoid get type view ! suite really nice though still quite small compare hotel suite . check , staff main reception friendly however thankfully people check we - take we Club Lounge floor check . staff slightly friendly professional - offer we drink quickly check we . escort room beautiful fresh rose place lounge also upstairs bedroom . also give large fruit platter ( lot chinese fruit taste , great experience local produce ) . escort really nice show we around room - ceiling wall window offer great view city ( escort state ' good view city ' ) . bathroom quite small though beautifully present - marble television bath . floor nicely furnish modern - importantly , comfortable . the Club Lounge benefit good- offer buffet breakfast , afternoon tea pre dinner drink / snack . actually breakfast Jing instead Club Lounge ( give option take breakfast either Jing Lounge - l would definately recommend jing- much well ! ) great breakfast , everything could want breakfast available , 's fresh 's delicious . afternoon tea , offer coffee / tea biscuit , fine chocolate , sandwich , scone etc - good variety . evening drink also pretty good - offer warm snack variety wine spirit . stay hotel , l would recomme take advantage Club Lounge - 's worth extra cost . fault Club Lounge staff - friendly attentive look bore disintereste - actually , Peninsula staff offer kind service would expect five star hotel ... good thing hotel 's location , be close main tourist attraction around corner main shopping street & amp ; night street market . also another great thing hotel Jing restaurant - breakfast great however dinner absolutely scrumptious - definately good food l ever taste ! peke duck amazing , miss ! overall , l would stay hotel - great location , fantastic food , nice hotel however staff service could well . 
 Jan 9 2008 	 wow ! 	 stay Peninsula Beijing 6 night Christmas father 2 room . hotel fabulous beautiful , truely 5 star reasonably price room service . book Rolls Royce airport pickup nice touch . call ahead near hotel arrive team people wait we take bag escort we straight room in - room check ! easy hotel check ever have . the room nice location good . near shopping street also within walk distance forbid city . staff always friendly helpful . hotel restaurant excellent ( also overprice compare outside hotel ) shopping mall hotel every designer imaginable make fun window shop . Christmas Eve leave stocking room food goody bear dress like santa , nice touch . I room massage not good less $ 50 60 minute can not really complain . also book private tour around Beijing guide hotel happy . however , informed hotel offer give we another tour free charge ! take offer opinion hotel tour overprice get . those minor gripe come ... overall experience Peninsula Beijing close perfection ever experience ! 
 Dec 29 2007 	 Disappointing 	 disappoint Peninsula Beijing . can not compare fabulous sister hotel Bangkok . the hotel ist old worn . many well , cheap modern hotel beijing . book room club floor upgrade duplex suite . even room could convince we ( design , view , room configuration .. ) . club room quiet zone nice option breakfast ( instead huge restaurant downstairs without sun light ) . club room also nice view town . still , bit worn , small , one internet access , service inconsistent . f.ex . afternoon tea / cocktail run regularly time . breakfast choice limit ( small kitchen ) .The bad thing spa complex . look like basic public swimming pool , massage / fitness complex nothing speak either . hear part hotel renovate soon . we one dinner Jing restaurant . service food good , restaurant big unpersonal feel comfortable . entrance hall . my advice : skip Peninsula Beijing stay one recently open new modern hotel . 
 Dec 25 2007 	 Disapponted 	 great fan Peninsula Bangkok think Beijing would great ... book stay two night Beijing Suite ( enormous ) competiive winter rate ... totally lack sparkle anticipate . expect welcome note manager bowl fresh fruit ... view suite overlook another building , decor look little & quot ; old school & quot ; oh hard bed ! thought & quot ; Jing & quot ; restaurant okay crave good steak 10days China ... would recommend people want eat Beijing . the Club lounge access disappointing chef kitchen club level therefore food taste precook boring . must admit great order dvd ( limited library ) , get fluff bathrobe watch tv bath ....... move next day across road Regent Hotel much well deal ! 
 Nov 26 2007 	 great hotel great location 	 stay Peninsula 3 night end October impressed aspect stay . pick direct airport hotel check hotel do room pretty efficient . as per previous review , room big 's certainly enough room comfortable stay . bathroom excellent offer choice bath walk shower . large screen tv free dvds get bore ( not ) nice view front hotel entertain watch car people go past . the room hotel extremely clean could not fault maid service . a large number staff speak English receive lot advice concierge go especially night . we would definately stay hotel . 
 Nov 26 2007 	 Harold USA South Carolina 2nd Time around 	 second time around stay Peninsula Hotel Beijing . second time well first though impossible . arrive Birthday October 25th 2007 . know Birthday send wonderful birthday cake room . upgrade Deluxe King Suite present Platinum American Express . Entire Staff hotel wonderful . could go every concern Fine Hotel , want . need experience believe . enough say : 
 Nov 26 2007 	 great hotel great location ... 	 stay Peninsula Beijing 3 night recently extremely satisfied overall experience . hotel good location 20 minute walk Tienamen Square Forbidden City . also close Wangfujing Street . level service number english speaking staff great . interior hotel beautiful reservation room little small side extremely comfortable well appoint . restaurant hotel ( Jing Huang Ting ) great reasonably price breakfast serve Jing excellent . dvd rental hotel free good selection chinese tv interesting . overall Beijing relatively inexpensive place visit . would highly recommend hotel anyone think stay Beijing . 
 Nov 12 2007 	 stay elsewhere 	 would recommend hotel myriad reason . carpet stain , render floor unappetizing option despite uncomfortable bed . concierge service uninforme anything beyond 300 metre hotel . amenity within hotel subpar , rate 2 star property absolute good day . disappointing 
 Nov 9 2007 	 Gold Medal Winner ! 	 Peninsula Beijing strictly first class . room not spacious , well lay beautifully furnish . high - speed internet connection free easy use . linen towel luxurious bountiful . bathroom could use little counter space , glass - enclose tub provide great shower . room service morning night prompt impeccable . front desk staff welcome , efficient helpful speak excellent English . fact , entire staff speak English adequate function . the hotel 10 - 15 minute walk Tiananmen Square entrance Forbidden City convenient shopping nearby . 
 Nov 8 2007 	 Peninsula Hotel Beijing Outstanding ! 	 stay Peninsula Beijing week past October 2007 . stay wonderful . moment taxi pull front hotel staff make we feel welcome . bag immediately take bellhop . escort Member 's Floor give drink food seat check . welcome treat spend 14 hour airplane ! escort lovely room . room spotless everything could want , include internet connection . guest Member 's Floor enjoy super breakfast buffet include variety food different ethnic guest . also , afternoon provide lovely tea feature nice variety food drink guest . the staff hotel always friendly , prompt , eager help we way need . arrange tour we include bright english speak tour guide . take place pressure we buy thing . another occassion , hotel arrange we car day reasonable rate . room always clean promptly morning evening . hotel common area always clean . never see anything place messy . hotel locate good location allow we convenient access tourist sight , store , etc . two hotel restaurant excellent friendy staff . overall , extemely happy stay Peninsula Beijing . would hesitate stay advise other . v.a . White [ -- ] 
 Nov 7 2007 	 excellent hotel 	 stay 3 night Princess Cruise please Peninsula . Grand Deluxe room spacious beautifully appoint rate include breakfast Jing dining room . service first rate . location ideal easy walk wangfuje street mall , Oriental Mall doable walk Forbidden City . $ 2 cab silk market . ( street block long Beijing taxis dirt cheap . ) lot restaurant nearby hotel dining room excellent unreasonable avoid invite dinner buffet order la carte . food look great buffet sit long hot . breakfast buffet plentiful . would return without question appreciate number 5 star hotel area like oriental , Raffles , Grand Hyatt , Regent , etc might want compare . would never go wrong however Peninsula , one good hotel world . 
 Oct 28 2007 	 Staff could well 	 Booked hotel via travel agent three night club deluxe room . since book watch hotel slowly slip rating Trip Advisor & amp ; see . first thing get back pompus reception tell club rate mean get club room , present Asia Miles card say could not give point room book travel agent . get large ' L ' shape room normal floor comfortable & amp ; spacious . second thing annoy go Club lounge breakfast first morning wife accost manager say not . guess train staff understand book database computer . needless say breakfast poor & amp ; although chef walk around could not egg want . next two morning breakfast standard restaurant come people wait seat table stand empty . watch peninsular world come 2008 & amp ; need improve hotel soon . 
 Oct 26 2007 	 would definately go back 	 Peninsula brilliant hotel . 's position close main shoppng area close Forbidden City Tianamen Square . lobby huge , decorate black marble 's shopping arcade Tiffanys , Cartier top brand name . check - in pleasure pleasant staff speak exceptional English . room large 42 inch flat screen tv 's , coffee make facility , hairdryer , iron ironing board . mini - bar well stock 5 star hotel exceptionally cheap ! breakfast buffet one well ever experience . situate Jing restaurant ground something suit anyone . eggs bacon miso soup ; danish , massive choice fruit , make pancake waffle , omlette , fact anything want - even bake bean ! use hotel day trip badale Great Wall find tour guide good . guide call Lily english tailor day around want - tour book take jade market something like , tour tailor make suit we . cost 1900 yuen per person day include entrance fee , fantastic chinese lunch visit ming tomb . leave want hotel drop we back ready . I would definately recommend hotel . 
 Oct 22 2007 	 beautiful room noisy tour group public area 	 return Beijing spend two night Peninsula two interconnect Grand Deluxe Club room . room attractive , spotless , comfortable teensy bit small side . room really feel luxurious . unfortunately , leave room serenity shatter . find hotel fill brim tour group . lobby super noisy pack large tour group wait bus , check . elevator stuff full club lounge , hallway quite busy guest day night . find highly tout academy tour supposedly exclusive hotel over - price , standard , run - of - the - mill tour quite dissapointed regard . Huang Ting one high point stay truly outstanding ( absolutely not miss restaurant ! ) think Jing good must . find staff Club level helpful attentive . overall , mixed feeling stay Peninsula . may expectations high choose bad time stay coincide stay many tour group . not anything wrong tour group 's simply design public area hotel , lobby elevator hallway , not seem accomodate group well create atmosphere group feel obtrusive . obtrusive fact compromise feeling stay . 
 Oct 21 2007 	 perhaps 5 star Beijing 	 location hotel good , 30 min walk theForbidden City 10 min walk Metro station . the room good , large plasma tv , centralisedcontrol panel light , tv / Video etc . daily turndownservice bring we bottled water . room providesin - room fax machine , robe , slipper umbrella ( ! ) iron . I get English newspaper deliver door twicein 4 day stay . breakfast good providedfor chinese / western client . not find conceigeparticularly helpful . swim pool ok hadbad view old building next door . not even providea jacuzzi near swimming pool . movie ondemand hotel provide DVD library neededto contact house - keeping would deliver thedvd room . perhaps not stay Club room . I find bathroom granite title look bit use . perhaps 5 star Beijing standard compare toNorth America , not think 5 star . 
 Oct 16 2007 	 really disappoint - can not believe 's hotel 	 spend nine night place really can not imagine people write positive review stay ... room tiny mean tiny . room service trolley / table could not get past bed sideboard . massage therapist could not find place put massage table except directly bed sideboard . put floor 4 , maybe save especially westerner ? ( four sound like ' death ' chinese make wonder ) .The view horrible looking restaurant , office building contain people seem work 24 hour day , zero privacy open curtain . the good thing room shower powerful , Beijing water feel greasy , maybe great . everything place expensive live London know expensive . price would expect pay fairly good London hotel food nothing write home about . I would think , give pay room length time stay would give something well . I think experience hotel good reflection Beijing whole . unpleasant . experience place see big , round - eyed money box , show little regard anything pollution absolutely vile . would never go back not know ever ready Olympics . Verdict - not bother ! 
 Oct 11 2007 	 Tour Groups Overwhelm upscale look feel 	 pro : location good walk Forbidden City , Tianaman Square , long pedestrian shopping street , large indoor mall , high end designer shop , night market , good place eat , quick taxi ride site depend traffic time day , good service housekeeping staff , spa / fitness center staff , bell staff car service airport ; nice feature room large flat panel tv , high tech room feature could change / use bedside ; great designer shop within hotel ; room service prompt professional , seperate tub shower , tv bathroom , nice fitness center , pool spa ; bed comfortablenegative : Air Conditioning never comfortable temperature even maintenance & quot ; worked & quot ; , tour bus large group come go well checking ; service breakfast buffet , concierge service variable depend one work ; room bathroom average size nice hotel ; check quick impersonal highly mechanical feel like person check we kind time quotaoverall : hear read many positive thing hotel anticipate much experienced . although service good excellent seem rush , impersonal mechanical . hotel seem get alot tour group always huge tour bus come go big group check ; breakfast buffet hear much expansive selection either asian western service esentially nonexistant . leave hotel dissapointe feel way overrate seem become biased toward large tour group leave individual traveler & quot ; lost & quot ; mass tourist . 
 Oct 1 2007 	 amazing hotel 	 imagine anyone could anything complain ! close perfection experience . room lovely , average size , nice bathroom , plasma TV . view unremarkable fine . night turn service arrange slipper towel bed , dim light , turn soft classical music leave mint pillow ! ! ! buffet breakfast unbelievable , everything could want & quot ; American & quot ; style well many delicious chinese dish - could noodle breakfast every day ! chinese restaurant quite good well . the service top notch . need antcipate exceed regularly . the location great , main pedestrian street busy would not want stay it . there lot fancy shmancy store hotel - Hermes , Chanel etc - fun window shop unless lot cash spare . business center clean , convenient easily accessible . our stay nothing less perfect , can not recommend enough ! 
 Sep 11 2007 	 comfortable stay 	 first stay relatively pain free experience sometimes otherwise hectic city.the welcome back fruit basket actually delicious fruit ( vs. cheap fruit i.e . la starbuck fruit salad style ) , free internet access blessing ( case Beijing hotel ) , housekeeping efficient ( quick turnaround request like toothbrush -- not supply start ? ) despite face tthe main street noise issue , bathtub look invite usual , arcade convenient , location also make life easier.the annoyance roomkey work ( immediately check ) go back front desk 1 person behind desk help someone else seem long timestill one favs Beijing 
